pXC50,CATS2D_07_DA,MATS2p,MPC10,SpMin1_Bh.p.,CATS2D_04_DA,SpMin7_Bh.i.,Eig06_EA.ri.,Eig15_AEA.ed.,GATS2i,Eig02_EA.ed.,SM11_AEA.dm.,GGI5,MPC07,MATS4e,Eig02_EA.ri.,P_VSA_LogP_5,MATS2i,SpMin7_Bh.e.,MPC06,GATS1e,piPC05,Eig06_EA.bo.,ATS4v,SpMin6_Bh.i.,piID,SpMin1_Bh.i.,SpMin8_Bh.i.,SpMin6_Bh.e.,SpMin8_Bh.p.,SpMin6_Bh.m.,SpMin8_Bh.v.,SM02_EA.ri.,CATS2D_04_AA,X4,SpMin1_Bh.e.,SpMax8_Bh.p.,nHAcc,MATS2v,Eig06_AEA.ri.,MPC04,Eig02_AEA.ri.,Eig15_AEA.bo.,TIC1,Eig06_AEA.bo.,Eig05_AEA.bo.,piPC10,piPC09,nO,GGI6,Eig02_AEA.bo.,ATS4p,ATS2i,SpMax8_Bh.v.,Eig03_EA.ri.,P_VSA_p_2,MPC05,ATSC5i,ATS3v,SpMaxA_AEA.dm.,SM02_EA.ed.,Eig06_EA.ed.,SM15_AEA.dm.,TIC2,ATSC6e,SpDiam_EA.ed.,SpMin8_Bh.e.,TPC,ATS2e
7.357,5,0.174,5.425,2.032,8,1.284,2.376,4.068,0.942,11.609,11.609,1.647,5.333,-0.002,3.042,68.609,0.209,1.313,5.226,0.956,6.384,3.096,4.485,1.414,14.088,1.935,1.195,1.481,1.526,1.651,1.533,4.866,3,15.077,1.946,3.094,15,0.169,3.403,4.934,4.221,2.376,343.69,3.768,3.978,7.415,7.303,8,1.173,4.641,4.501,5.211,3.108,2.809,335.338,5.094,2.201,4.451,0.076,7.286,7.882,7.882,449.242,1.716,20.111,1.234,9.298,5.053
7.469,4,0.155,5.481,2.031,9,1.283,2.377,4.067,1.01,11.613,11.613,1.807,5.366,0.019,3.045,60.366,0.146,1.311,5.242,0.943,6.391,3.096,4.492,1.425,14.086,1.935,1.185,1.481,1.551,1.657,1.532,4.865,4,14.937,1.946,3.086,14,0.16,3.404,4.934,4.224,2.36,336.726,3.768,3.978,7.512,7.355,7,1.143,4.642,4.516,5.198,3.099,2.825,324.338,5.1,2.265,4.455,0.078,7.281,7.882,7.882,437.523,1.594,20.111,1.231,9.28,5.036
6.086,1,0.21,4.836,2.066,2,0.923,1.855,2.138,0.863,10.345,10.345,1.087,4.771,0.121,3.075,43.926,0.195,0.953,4.625,0.834,5.733,2.519,3.927,1.054,9.134,1.935,0.804,1.099,1.239,1.417,1.308,4.292,1,7.367,1.95,2.618,6,0.284,2.915,4.248,4.092,0.442,163.272,3.308,3.514,7.192,7.112,3,0.835,4.272,4.022,4.579,2.57,2.806,83.573,4.5,1.231,3.919,0.155,6.691,5.758,5.758,191.29,0.892,18.803,0.934,7.072,4.409
6.726,1,0.171,5.088,2.078,2,0.96,1.886,2.663,0.862,10.04,10.04,1.177,4.868,0.069,2.863,65.206,0.23,1.002,4.736,0.791,5.913,2.529,3.908,1.13,10.297,1.934,0.9,1.173,1.203,1.338,1.167,4.383,2,8.724,1.949,2.735,8,0.11,2.939,4.357,3.917,1.315,170.923,3.32,3.523,7.377,7.213,4,0.797,4.234,3.921,4.548,2.715,2.51,125.503,4.585,1.235,3.917,0.13,6.661,5.763,5.763,207.82,0.852,18.669,0.937,7.539,4.408
7.328,3,0.196,5.037,2.073,2,1.051,1.885,2.627,0.855,10.04,10.04,1.118,4.852,0.013,2.863,63.468,0.254,1.107,4.718,0.848,5.782,2.529,3.847,1.131,9.971,1.932,0.909,1.175,1.25,1.358,1.202,4.346,3,8.548,1.946,2.556,8,0.135,2.938,4.344,3.917,1.263,174.498,3.32,3.523,7.318,7.19,4,0.766,4.234,3.836,4.525,2.585,2.444,142.289,4.522,1.136,3.831,0.135,6.65,5.763,5.763,208.905,0.933,18.669,0.942,7.439,4.381
7.77,1,0.235,4.357,2.056,2,0.808,1.353,1.665,0.776,9.906,9.906,0.83,4.564,-0.035,2.825,43.926,0.262,0.877,4.477,0.878,5.659,1.946,3.615,0.939,8.867,1.932,0.53,0.964,0.793,1.116,0.791,4.082,1,6.385,1.945,2.22,6,0.308,2.391,4.094,3.888,-0.037,126.07,2.859,3.31,6.986,6.96,3,0.572,4.222,3.659,4.223,2.245,2.262,83.573,4.317,0.821,3.635,0.182,6.46,3.754,3.754,142.07,0.613,18.526,0.547,6.729,4.087
7.041,1,0.056,5.088,2.065,2,1.012,1.857,2.663,0.997,10.04,10.04,1.177,4.868,0.048,2.838,55.73,0.046,1.038,4.736,0.845,5.913,2.529,3.937,1.131,10.297,1.935,0.911,1.174,1.18,1.334,1.161,4.358,2,8.724,1.95,2.663,7,0.078,2.921,4.357,3.906,1.315,172.068,3.32,3.523,7.377,7.213,3,0.797,4.234,3.999,4.539,2.639,2.45,100.358,4.585,1.296,3.937,0.134,6.661,5.763,5.763,210.965,0.744,18.669,0.947,7.539,4.401
7.066,2,0.253,5.037,2.076,2,1.064,1.885,2.627,0.799,10.04,10.04,1.118,4.852,0.029,2.862,54.872,0.323,1.127,4.718,0.833,5.782,2.529,3.848,1.131,9.971,1.932,0.911,1.176,1.258,1.374,1.213,4.336,2,8.548,1.946,2.553,8,0.173,2.938,4.344,3.917,1.263,168.357,3.32,3.523,7.318,7.19,4,0.766,4.234,3.84,4.537,2.583,2.381,127.402,4.522,1.143,3.837,0.135,6.65,5.763,5.763,202.905,0.851,18.669,0.944,7.439,4.387
7.523,2,0.104,4.205,2.049,2,0.53,1.347,1.461,0.892,9.486,9.486,0.802,4.443,0.107,2.763,43.926,0.107,0.55,4.394,0.921,5.627,1.913,3.484,0.916,8.788,1.928,0.398,0.949,0.678,1.098,0.679,4.026,1,6.26,1.941,2.183,6,0.157,2.381,4.043,3.803,-0.118,113.851,2.839,3.241,6.893,6.883,3,0.41,4.149,3.499,4.087,2.172,2.157,98.459,4.248,0.726,3.516,0.184,6.347,3.651,3.651,125.851,0.6,17.748,0.463,6.624,3.98
7.886,1,0.085,5.088,2.066,2,0.996,1.857,2.663,0.939,10.04,10.04,1.177,4.868,0.068,2.839,65.206,0.105,1.021,4.736,0.845,5.913,2.529,3.948,1.13,10.297,1.936,0.904,1.174,1.179,1.331,1.159,4.361,1,8.724,1.951,2.735,7,0.098,2.921,4.357,3.906,1.315,172.923,3.32,3.523,7.377,7.213,3,0.797,4.234,4.016,4.54,2.715,2.508,100.358,4.585,1.33,3.948,0.134,6.661,5.763,5.763,207.82,0.705,18.669,0.944,7.539,4.401
7.658,1,0.124,5.017,2.063,2,1.127,1.858,2.708,0.904,10.039,10.039,1.0,4.844,0.041,2.837,54.872,0.174,1.173,4.7,0.877,5.779,2.53,3.942,1.134,9.997,1.934,0.994,1.202,1.232,1.426,1.238,4.338,2,8.762,1.948,2.663,7,0.129,2.924,4.357,3.904,1.32,182.034,3.322,3.524,7.267,7.148,3,0.802,4.233,4.007,4.604,2.634,2.344,102.257,4.522,1.315,3.916,0.134,6.661,5.765,5.765,221.46,0.863,18.668,1.024,7.493,4.448
6.398,1,0.13,4.898,2.007,1,1.118,1.718,2.817,0.961,9.241,9.241,1.039,4.625,0.099,2.728,68.695,0.071,1.161,4.511,0.833,5.926,2.56,3.936,1.13,11.204,1.896,0.961,1.191,1.233,1.437,1.247,4.339,1,8.744,1.917,2.79,5,0.128,2.869,4.317,3.882,1.206,179.903,3.297,3.474,7.665,7.347,2,0.551,4.327,4.056,4.566,2.763,2.467,72.089,4.443,1.298,3.935,0.104,6.613,5.426,5.426,222.923,0.41,17.035,1.013,7.514,4.433
5.678,1,0.185,4.127,2.019,0,1.001,1.69,2.193,0.888,9.125,9.125,0.643,4.304,-0.15,2.772,55.8,0.142,1.049,4.248,0.78,5.735,2.231,3.716,1.114,9.93,1.903,0.78,1.188,1.06,1.468,1.055,4.253,0,7.302,1.921,2.677,6,0.147,2.698,4.111,3.855,0.836,148.213,3.083,3.422,6.485,6.437,5,0.426,4.274,3.759,4.473,2.681,2.496,101.3,4.248,0.961,3.794,0.138,6.466,4.844,4.844,183.458,0.402,16.727,0.827,7.032,4.35
5.347,0,-0.077,3.951,2.014,0,0.801,1.685,2.0,0.986,7.507,7.507,0.462,4.143,-0.128,2.628,32.434,-0.092,0.836,4.078,0.62,5.618,2.228,3.439,0.816,9.598,1.899,0.642,0.862,0.915,1.107,0.943,4.162,0,6.4,1.922,2.352,5,-0.1,2.695,3.97,3.656,0.574,116.793,3.08,3.287,6.323,6.307,3,0.387,4.081,3.472,4.231,2.377,2.456,79.3,4.094,0.746,3.62,0.156,6.308,4.812,4.812,147.322,0.357,16.727,0.699,6.762,4.129
5.056,1,-0.03,4.094,2.017,0,0.816,1.772,2.0,1.065,7.857,7.857,0.636,4.29,-0.116,2.662,39.557,-0.048,0.859,4.22,0.704,5.696,2.386,3.639,1.041,10.036,1.903,0.798,1.08,1.066,1.224,1.06,4.274,0,7.123,1.924,2.709,6,-0.022,2.786,4.078,3.704,0.796,144.332,3.208,3.48,6.469,6.452,5,0.508,4.119,3.672,4.394,2.705,2.473,115.445,4.205,0.841,3.746,0.138,6.415,4.852,4.852,182.471,0.419,16.727,0.834,7.028,4.287
5.495,0,0.127,4.078,2.05,0,0.821,1.699,2.0,0.943,10.096,10.096,0.816,4.304,-0.01,3.024,26.499,0.098,0.934,4.263,0.667,5.696,2.238,3.82,1.024,9.913,1.949,0.804,1.063,1.239,1.417,1.253,4.349,0,6.895,1.974,2.66,4,0.127,2.707,4.06,4.055,0.578,155.094,3.092,3.49,6.41,6.461,3,0.426,4.41,3.961,4.582,2.69,2.567,79.3,4.205,1.101,3.938,0.138,6.589,4.887,4.887,190.393,0.235,18.533,0.934,7.028,4.427
5.553,1,-0.003,4.357,2.021,0,1.034,2.052,2.368,1.064,9.351,9.351,0.92,4.522,-0.148,2.794,55.8,-0.034,1.071,4.431,0.73,5.845,2.705,3.837,1.23,10.387,1.904,0.809,1.245,1.08,1.468,1.082,4.409,0,8.074,1.921,2.721,8,0.046,3.058,4.234,3.892,1.009,170.574,3.475,3.559,6.764,6.661,7,0.831,4.302,3.838,4.542,2.744,2.501,151.59,4.407,1.035,3.882,0.12,6.594,5.592,5.592,207.064,0.792,16.727,0.857,7.32,4.436
5.301,0,-0.101,5.037,2.05,1,0.952,1.704,3.0,1.217,9.274,9.274,0.983,4.963,-0.114,2.85,28.986,-0.164,1.005,4.828,0.789,6.233,2.56,3.981,1.219,11.728,1.902,0.895,1.229,1.158,1.249,1.178,4.431,0,9.666,1.931,2.755,5,-0.027,2.753,4.511,3.916,1.684,179.903,3.273,3.534,7.798,7.57,2,0.614,4.296,4.026,4.628,2.744,2.603,89.626,4.7,1.411,3.963,0.118,6.781,5.246,5.246,223.677,0.436,19.449,0.961,7.843,4.49
4.301,0,-0.061,4.779,2.042,0,0.908,1.694,2.42,1.181,8.416,8.416,0.82,4.727,-0.13,2.604,25.8,-0.114,0.97,4.605,0.81,6.12,2.491,3.809,1.113,11.172,1.896,0.874,1.185,1.114,1.181,1.123,4.285,0,8.217,1.925,2.735,5,-0.008,2.742,4.304,3.661,1.119,155.648,3.245,3.429,7.683,7.461,2,0.472,4.061,3.856,4.488,2.715,2.461,89.626,4.5,1.171,3.807,0.125,6.567,4.905,4.905,189.722,0.358,18.829,0.927,7.385,4.35
5.301,0,-0.156,4.779,2.038,0,0.908,1.688,2.42,1.209,8.416,8.416,0.82,4.727,-0.107,2.591,11.107,-0.145,0.97,4.605,0.762,6.12,2.491,3.825,1.146,11.172,1.896,0.874,1.205,1.114,1.181,1.122,4.276,0,8.217,1.925,2.735,4,-0.058,2.74,4.304,3.655,1.119,155.648,3.245,3.429,7.683,7.461,1,0.472,4.061,3.9,4.469,2.715,2.461,78.626,4.5,1.193,3.833,0.149,6.567,4.905,4.905,189.722,0.292,18.829,0.927,7.385,4.334
5.301,0,-0.073,4.812,2.052,0,0.911,1.716,2.457,1.188,8.416,8.416,0.938,4.762,-0.014,2.778,12.742,-0.118,0.97,4.644,0.75,6.134,2.523,3.93,1.207,11.27,1.914,0.875,1.225,1.197,1.417,1.199,4.359,0,8.432,1.944,2.735,4,0.001,2.768,4.331,3.789,1.131,171.317,3.276,3.488,7.692,7.465,1,0.472,4.121,4.019,4.619,2.715,2.466,78.626,4.522,1.351,3.933,0.121,6.629,4.97,4.97,211.556,0.288,18.829,0.934,7.465,4.457
5.301,0,-0.202,4.745,2.041,0,0.881,1.679,2.232,1.151,8.416,8.416,0.757,4.691,-0.146,2.586,18.678,-0.197,0.935,4.564,0.644,6.105,2.475,3.711,0.933,11.064,1.895,0.821,0.991,1.062,1.181,1.107,4.262,0,7.906,1.925,2.68,5,-0.138,2.728,4.277,3.642,0.723,138.202,3.226,3.404,7.674,7.457,1,0.472,4.042,3.738,4.38,2.687,2.461,78.626,4.477,1.08,3.739,0.13,6.541,4.838,4.838,167.421,0.406,18.829,0.886,7.298,4.253
5.301,0,-0.093,4.844,2.045,0,0.891,1.725,2.692,0.828,11.481,11.481,1.056,4.796,-0.191,2.877,57.623,0.171,0.947,4.682,0.591,6.149,2.577,3.836,1.056,11.359,1.899,0.842,1.1,1.107,1.181,1.107,4.373,0,8.606,1.928,2.735,7,-0.12,2.79,4.357,4.17,1.132,153.685,3.307,3.565,7.701,7.469,1,0.513,4.439,3.825,4.506,2.715,2.493,78.626,4.543,1.376,3.846,0.144,6.772,5.178,5.178,182.905,0.678,19.005,0.886,7.539,4.384
5.301,0,-0.185,4.779,2.042,0,0.892,1.7,2.42,1.201,8.416,8.416,0.82,4.727,-0.142,2.644,43.802,-0.172,0.948,4.605,0.748,6.149,2.52,3.769,1.064,11.359,1.899,0.845,1.114,1.095,1.181,1.107,4.303,0,8.217,1.928,2.735,5,-0.126,2.747,4.304,3.675,1.133,144.911,3.294,3.516,7.701,7.469,1,0.472,4.115,3.805,4.383,2.715,2.461,109.685,4.5,1.077,3.794,0.14,6.567,4.905,4.905,174.131,0.331,18.829,0.888,7.385,4.257
5.301,0,-0.129,4.745,2.038,0,0.882,1.588,2.232,1.239,8.416,8.416,0.757,4.691,-0.148,2.562,12.612,-0.185,0.936,4.564,0.744,6.105,2.475,3.734,0.941,11.064,1.896,0.821,0.995,1.062,1.18,1.107,4.239,0,7.906,1.925,2.735,4,-0.109,2.715,4.277,3.632,0.723,138.202,3.226,3.404,7.674,7.457,1,0.472,4.042,3.795,4.368,2.715,2.461,78.626,4.477,1.011,3.777,0.13,6.541,4.838,4.838,167.421,0.325,18.829,0.886,7.298,4.245
5.301,0,-0.154,4.844,2.053,0,0.91,1.737,2.692,1.227,11.481,11.481,1.056,4.796,-0.17,2.843,11.107,-0.155,0.97,4.682,0.565,6.177,2.627,3.901,1.207,11.516,1.987,0.874,1.225,1.115,1.181,1.126,4.376,0,8.606,1.975,2.735,6,-0.056,2.796,4.357,4.178,1.133,167.386,3.325,3.595,7.72,7.476,3,0.513,4.673,3.949,4.539,2.715,2.513,122.939,4.543,1.249,3.916,0.167,6.772,5.178,5.178,201.46,0.496,19.005,0.927,7.539,4.423
5.301,0,-0.03,4.828,2.042,0,0.898,1.862,2.858,0.711,10.195,10.195,0.903,4.828,-0.082,2.619,70.68,0.292,0.952,4.663,0.649,6.149,2.714,3.859,1.044,11.441,1.896,0.865,1.068,1.114,1.181,1.119,4.368,0,8.879,1.925,2.735,8,-0.124,2.952,4.382,3.9,1.135,160.503,3.394,3.658,7.692,7.495,2,0.674,4.206,3.848,4.532,2.715,2.461,89.626,4.564,1.572,3.832,0.139,6.751,6.092,6.092,189.722,0.944,18.829,0.91,7.609,4.421
5.301,0,-0.168,4.745,2.038,0,0.882,1.52,2.232,1.265,8.695,8.695,0.702,4.682,-0.195,2.622,13.057,-0.202,0.936,4.554,0.712,6.1,2.402,3.752,0.938,11.103,1.896,0.824,0.999,1.022,1.173,1.062,4.245,0,8.033,1.925,2.688,4,-0.12,2.565,4.29,3.76,0.785,138.202,3.114,3.327,7.674,7.474,1,0.39,4.184,3.802,4.37,2.678,2.461,78.626,4.477,1.003,3.775,0.13,6.561,4.446,4.446,165.421,0.387,18.829,0.868,7.298,4.248
5.301,0,-0.168,4.745,2.039,0,0.882,1.566,2.23,1.265,8.416,8.416,0.813,4.673,-0.051,2.575,13.057,-0.202,0.936,4.575,0.712,6.095,2.435,3.737,0.938,11.073,1.896,0.824,0.998,1.017,1.173,1.055,4.245,0,8.115,1.925,2.687,4,-0.12,2.674,4.29,3.656,0.886,138.202,3.172,3.368,7.674,7.459,1,0.39,4.07,3.78,4.37,2.676,2.461,78.626,4.466,1.003,3.765,0.13,6.544,4.666,4.666,168.666,0.393,18.829,0.868,7.298,4.248
5.301,0,-0.138,4.812,2.037,0,0.882,1.567,2.36,1.262,9.465,9.465,0.813,4.71,-0.161,2.658,16.558,-0.196,0.936,4.605,0.689,6.127,2.435,3.791,0.938,11.215,1.896,0.827,0.997,0.973,1.17,0.999,4.267,0,8.314,1.925,2.706,4,-0.096,2.674,4.331,3.868,1.101,143.24,3.172,3.369,7.699,7.487,1,0.39,4.327,3.84,4.369,2.694,2.461,78.626,4.511,0.985,3.836,0.126,6.637,4.789,4.789,171.015,0.499,18.829,0.847,7.385,4.257
5.301,0,-0.152,4.852,2.04,0,0.925,1.692,2.507,1.197,8.784,8.784,0.931,4.762,-0.118,2.731,47.302,-0.166,0.98,4.644,0.712,6.189,2.506,3.82,1.071,11.467,1.899,0.881,1.117,1.115,1.18,1.125,4.325,0,8.637,1.927,2.72,5,-0.101,2.738,4.357,3.831,1.135,153.95,3.327,3.49,7.731,7.507,1,0.513,4.298,3.853,4.381,2.707,2.461,109.685,4.543,1.083,3.853,0.136,6.645,4.898,4.898,182.479,0.395,18.829,0.934,7.466,4.266
5.301,0,-0.141,5.124,2.125,0,1.026,1.765,2.969,1.185,10.738,10.738,0.966,4.97,-0.139,3.036,18.203,-0.146,1.069,4.844,0.694,6.451,2.729,4.004,1.214,12.995,2.052,0.891,1.228,1.125,1.233,1.142,4.451,0,9.967,2.067,2.756,4,-0.096,2.854,4.533,4.1,1.589,157.976,3.358,3.535,8.013,7.902,1,0.473,4.58,4.061,4.521,2.752,2.461,78.626,4.754,1.264,4.012,0.11,6.792,5.339,5.339,194.996,0.367,18.829,0.947,7.988,4.403
5.301,0,-0.14,4.787,2.05,0,0.895,1.636,2.37,1.287,8.434,8.434,0.958,4.771,-0.254,2.66,13.057,-0.222,0.961,4.654,0.705,6.151,2.525,3.871,0.973,11.081,1.901,0.856,1.031,1.095,1.181,1.107,4.298,0,8.217,1.931,2.735,4,-0.069,2.726,4.344,3.71,0.76,152.44,3.248,3.431,7.724,7.507,1,0.588,4.067,3.917,4.458,2.715,2.461,78.626,4.564,1.231,3.857,0.13,6.64,5.135,5.135,184.905,0.352,19.448,0.914,7.347,4.326
5.301,0,-0.092,4.898,2.062,0,0.931,1.705,2.614,1.257,9.267,9.267,1.452,4.913,-0.132,2.753,13.057,-0.184,0.988,4.796,0.696,6.189,2.556,4.042,1.166,11.115,1.908,0.88,1.21,1.191,1.383,1.201,4.376,0,9.052,1.938,2.735,4,-0.019,2.762,4.443,3.796,1.319,175.846,3.266,3.447,7.8,7.604,1,0.764,4.095,4.093,4.615,2.715,2.462,78.626,4.663,1.543,3.987,0.123,6.73,5.316,5.316,213.556,0.36,19.89,0.934,7.44,4.465
5.301,1,-0.138,4.663,2.039,1,0.887,1.714,2.36,1.252,8.416,8.416,0.841,4.654,-0.154,2.524,13.057,-0.176,0.943,4.564,0.705,6.1,2.591,3.781,1.029,11.081,1.896,0.821,1.101,1.062,1.181,1.107,4.276,0,7.932,1.925,2.735,4,-0.086,2.802,4.277,3.59,1.093,150.44,3.312,3.417,7.554,7.402,1,0.345,4.016,3.85,4.462,2.715,2.461,78.626,4.489,1.092,3.816,0.127,6.55,5.24,5.24,181.66,0.312,18.828,0.886,7.347,4.327
5.301,0,-0.111,4.745,2.038,0,0.869,1.63,2.232,1.247,8.416,8.416,0.757,4.691,-0.171,2.566,19.348,-0.183,0.916,4.564,0.712,6.105,2.475,3.729,0.922,11.064,1.896,0.821,0.968,1.05,1.181,1.093,4.236,0,7.906,1.925,2.719,4,-0.102,2.724,4.277,3.634,0.723,138.202,3.226,3.404,7.674,7.457,1,0.472,4.042,3.796,4.37,2.706,2.363,78.626,4.477,1.029,3.764,0.13,6.541,4.838,4.838,167.421,0.361,18.829,0.886,7.298,4.248
5.301,0,-0.088,4.787,2.048,0,0.87,1.64,2.37,1.27,8.434,8.434,0.958,4.771,-0.272,2.656,19.348,-0.205,0.918,4.654,0.705,6.151,2.525,3.873,0.969,11.081,1.901,0.855,1.028,1.062,1.236,1.107,4.29,0,8.217,1.931,2.735,4,-0.053,2.732,4.344,3.707,0.76,152.44,3.248,3.431,7.724,7.507,1,0.588,4.067,3.934,4.458,2.715,2.396,78.626,4.564,1.25,3.856,0.13,6.64,5.135,5.135,184.905,0.386,19.448,0.914,7.347,4.326
5.301,0,-0.082,4.812,2.036,0,0.869,1.663,2.376,1.244,8.416,8.416,0.868,4.718,-0.133,2.6,22.849,-0.177,0.916,4.615,0.689,6.132,2.492,3.768,0.922,11.181,1.896,0.824,0.966,1.016,1.133,1.055,4.259,0,8.215,1.925,2.719,4,-0.078,2.736,4.317,3.755,0.959,143.24,3.242,3.438,7.699,7.471,1,0.472,4.223,3.834,4.369,2.707,2.366,78.626,4.511,1.012,3.826,0.125,6.619,4.893,4.893,171.77,0.467,18.829,0.868,7.385,4.257
5.301,0,-0.116,5.011,2.131,0,1.02,1.705,2.907,1.172,9.238,9.238,0.841,4.913,-0.065,2.915,20.993,-0.135,1.067,4.779,0.745,6.4,2.544,3.92,1.231,12.896,2.05,0.872,1.264,1.114,1.317,1.115,4.425,0,9.526,2.07,2.765,4,-0.099,2.76,4.466,3.924,1.304,148.056,3.276,3.492,7.929,7.847,1,0.492,4.408,3.998,4.522,2.762,2.439,78.626,4.682,1.263,3.954,0.114,6.706,4.956,4.956,185.406,0.296,18.829,0.917,7.912,4.395
5.301,1,-0.079,4.745,2.038,0,0.886,1.628,2.232,1.182,8.416,8.416,0.757,4.691,-0.113,2.566,19.348,-0.117,0.936,4.564,0.712,6.105,2.475,3.742,0.954,11.064,1.896,0.821,0.998,1.062,1.181,1.107,4.239,2,7.906,1.925,2.718,4,-0.079,2.722,4.277,3.634,0.723,138.202,3.226,3.404,7.674,7.457,1,0.472,4.042,3.816,4.371,2.706,2.394,78.626,4.477,1.011,3.773,0.13,6.541,4.838,4.838,167.421,0.313,18.829,0.886,7.298,4.248
5.301,0,-0.081,4.745,2.038,0,0.887,1.64,2.232,1.175,8.416,8.416,0.757,4.691,-0.186,2.566,10.301,-0.13,0.937,4.564,0.683,6.105,2.475,3.757,0.958,11.064,1.896,0.821,0.999,1.062,1.181,1.107,4.249,0,7.906,1.925,2.719,3,-0.101,2.732,4.277,3.634,0.723,132.858,3.226,3.404,7.674,7.457,1,0.472,4.042,3.834,4.386,2.706,2.409,61.84,4.477,1.02,3.795,0.13,6.541,4.838,4.838,164.911,0.248,18.829,0.886,7.298,4.266
5.301,2,0.025,4.852,2.039,0,0.889,1.726,2.232,1.187,8.566,8.566,0.813,4.762,-0.033,2.611,24.31,-0.072,0.941,4.615,0.683,6.149,2.567,3.795,0.968,11.221,1.896,0.821,1.022,1.062,1.196,1.107,4.324,4,8.161,1.925,2.735,4,0.03,2.868,4.317,3.665,0.728,157.648,3.301,3.523,7.783,7.567,1,0.624,4.112,3.854,4.515,2.715,2.564,80.28,4.533,1.09,3.844,0.125,6.603,5.573,5.573,189.722,0.348,18.868,0.886,7.407,4.357
5.301,0,-0.131,4.875,2.047,0,0.821,1.669,2.232,1.273,8.408,8.408,0.823,4.727,-0.178,2.567,22.105,-0.197,0.886,4.585,0.698,6.202,2.501,3.775,0.901,11.443,1.897,0.784,0.952,1.016,1.181,1.055,4.303,0,8.083,1.927,2.727,4,-0.12,2.76,4.29,3.634,0.783,134.586,3.24,3.408,7.894,7.581,1,0.493,4.042,3.822,4.446,2.713,2.498,78.626,4.543,1.077,3.849,0.125,6.553,4.834,4.834,170.851,0.322,18.823,0.842,7.408,4.31
5.301,0,-0.091,4.934,2.046,0,0.824,1.717,2.381,1.269,8.408,8.408,0.934,4.754,-0.135,2.601,25.605,-0.191,0.868,4.635,0.67,6.226,2.519,3.813,0.902,11.559,1.897,0.784,0.95,1.015,1.134,1.054,4.324,0,8.391,1.927,2.727,4,-0.096,2.775,4.331,3.755,0.96,140.387,3.256,3.44,7.914,7.593,1,0.493,4.223,3.859,4.444,2.713,2.498,78.626,4.575,1.061,3.906,0.121,6.629,4.889,4.889,175.685,0.441,18.823,0.842,7.493,4.318
5.301,0,-0.132,5.112,2.132,0,1.01,1.779,2.908,1.193,9.238,9.238,0.907,4.942,-0.091,2.915,23.75,-0.144,1.057,4.796,0.738,6.473,2.568,3.959,1.107,13.27,2.05,0.864,1.15,1.11,1.307,1.108,4.481,0,9.703,2.07,2.765,4,-0.113,2.8,4.477,3.924,1.305,143.159,3.289,3.492,8.104,7.933,1,0.513,4.408,4.02,4.587,2.762,2.498,78.626,4.736,1.311,4.024,0.11,6.715,4.951,4.951,187.398,0.265,18.823,0.912,8.012,4.449
5.301,0,-0.107,4.97,2.048,0,0.894,1.762,2.574,1.204,8.784,8.784,0.997,4.796,-0.136,2.731,56.35,-0.161,0.945,4.663,0.693,6.278,2.532,3.864,1.045,11.844,1.9,0.784,1.09,1.016,1.225,1.055,4.378,0,8.814,1.929,2.727,5,-0.101,2.784,4.369,3.831,1.169,151.204,3.333,3.491,7.94,7.625,1,0.534,4.298,3.896,4.456,2.713,2.498,109.685,4.605,1.151,3.93,0.132,6.655,4.894,4.894,186.503,0.364,18.823,0.843,7.571,4.327
5.301,0,-0.132,4.745,2.04,0,0.889,1.653,2.232,1.291,8.416,8.416,0.757,4.691,-0.189,2.567,27.086,-0.205,0.941,4.564,0.758,6.105,2.475,3.74,0.967,11.064,1.896,0.821,1.025,1.062,1.2,1.107,4.275,0,7.906,1.925,2.719,3,-0.119,2.743,4.277,3.634,0.723,137.604,3.226,3.404,7.674,7.457,1,0.472,4.042,3.783,4.434,2.706,2.508,78.626,4.477,1.048,3.794,0.13,6.541,4.838,4.838,171.658,0.314,18.829,0.886,7.298,4.296
5.301,0,-0.094,4.745,2.039,0,0.857,1.653,2.232,1.238,8.416,8.416,0.757,4.691,-0.153,2.567,28.855,-0.155,0.904,4.564,0.774,6.105,2.475,3.694,0.915,11.064,1.896,0.821,0.963,1.062,1.181,1.107,4.275,0,7.906,1.925,2.719,5,-0.098,2.743,4.277,3.634,0.723,138.202,3.226,3.404,7.674,7.457,2,0.472,4.042,3.712,4.387,2.706,2.508,88.133,4.477,0.971,3.744,0.13,6.541,4.838,4.838,167.421,0.564,18.829,0.886,7.298,4.263
5.301,0,-0.128,4.875,2.05,0,0.821,1.674,2.232,1.224,8.408,8.408,0.823,4.727,-0.171,2.57,13.486,-0.166,0.886,4.585,0.673,6.202,2.501,3.811,0.902,11.443,1.904,0.821,0.952,1.062,1.181,1.107,4.316,0,8.083,1.934,2.735,3,-0.122,2.766,4.29,3.635,0.783,128.266,3.24,3.408,7.894,7.581,1,0.493,4.042,3.874,4.46,2.715,2.546,61.84,4.543,1.083,3.882,0.125,6.553,4.834,4.834,158.762,0.197,18.823,0.886,7.408,4.326
