pXC50,NNRS,Eig04_EA.ri.,MWC08,Eig04_AEA.ri.,GGI3,ATSC8v,GGI5,MPC05,GGI7,ATSC8p,SpMax3_Bh.e.,MWC10,Eig03_EA.ri.,SpMax3_Bh.i.,Ram,SM10_EA.ri.,MPC08,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig03_AEA.ri.,Eig04_EA,SM12_AEA.bo.,ATS4p,ATS7v,Eta_C_A,Eig03_AEA.ed.,Eig03_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM10_EA.ed.,SM11_EA,SM12_AEA.dm.,SM12_AEA.ed.,SM12_EA,SM15_AEA.ed.,MPC09,MPC10,ATSC6p,GGI4,Eig04_EA.ed.,SM13_AEA.dm.,Chi0_EA.dm.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,ATSC4v,Eig07_EA,SM15_AEA.bo.,SpMax3_Bh.m.,Eig05_AEA.ed.,SM05_EA.ed.,SM06_EA.ed.,SM09_EA,SM09_EA.ed.,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.,SM11_EA.ed.,SM13_AEA.ed.,SM13_EA,SM14_AEA.ed.,SM14_EA
9.337,0.8,2.712,10.725,3.765,3.292,29.926,2.209,4.905,0.963,21.209,3.977,12.509,2.974,4.006,14,13.238,5.153,1.913,1.885,4.005,2.793,2.793,4.66,4.592,1.06,6.516,10.213,19.035,21.659,26.85,14.549,10.213,25.098,15.779,31.109,5.17,5.293,18.862,1.959,8.245,8.245,30.801,14.424,15.648,16.859,18.084,19.306,27.316,1.991,1.991,3.924,5.457,13.841,16.536,12.116,24.237,21.122,13.357,23.106,29.453,27.097,16.996,29.101,18.228
8.824,0.8,2.726,10.752,3.765,3.542,34.221,2.271,4.92,1.056,23.755,3.979,12.537,2.974,4.008,15,13.27,5.187,1.913,1.885,4.005,2.793,2.793,4.736,4.649,1.141,6.516,10.213,19.044,21.665,26.852,14.568,10.213,25.115,15.796,31.119,5.204,5.333,19.88,1.999,8.245,8.245,31.339,14.452,15.672,16.879,18.101,19.32,30.789,1.998,1.998,3.932,5.92,13.858,16.55,12.142,24.241,21.146,13.379,23.126,29.454,27.111,17.01,29.113,18.239
5.432,0.667,2.491,10.437,3.491,3.229,23.258,1.841,4.564,0.779,15.739,3.776,12.226,2.974,3.822,12,12.78,4.727,1.752,1.708,4.004,2.491,2.491,4.435,4.247,1.105,6.516,10.212,18.39,20.958,25.994,14.107,10.212,24.573,15.312,30.472,4.625,4.625,16.103,2.066,7.717,7.717,21.76,13.929,15.116,16.288,17.476,18.66,21.911,1.653,1.653,3.708,5.171,13.337,16.007,11.724,23.445,20.674,12.939,22.619,28.523,26.534,16.503,28.5,17.71
9.013,0.8,2.743,10.683,3.798,3.354,27.207,1.979,4.868,0.86,18.949,3.97,12.467,2.974,4.005,13,13.202,5.075,1.913,1.885,4.005,2.827,2.827,4.572,4.521,1.025,6.516,10.213,19.034,21.659,26.85,14.54,10.213,25.093,15.773,31.108,5.112,5.176,17.733,1.746,8.502,8.502,26.488,14.387,15.608,16.816,18.037,19.255,24.608,1.976,1.976,3.905,5.409,13.832,16.531,12.1,24.237,21.112,13.345,23.099,29.453,27.094,16.991,29.099,18.223
6.347,0.75,2.518,10.564,3.52,3.417,29.04,1.986,4.745,0.876,20.181,3.919,12.337,2.974,3.954,13,12.815,4.934,1.92,1.89,4.005,2.522,2.522,4.601,4.5,1.128,6.516,10.213,18.4,20.967,26.001,14.127,10.213,24.586,15.332,30.478,4.913,4.99,19.257,2.217,7.717,7.717,25.147,13.952,15.138,16.304,17.491,18.672,26.437,1.985,1.985,3.842,5.341,13.358,16.026,11.753,23.452,20.696,12.971,22.636,28.53,26.544,16.518,28.509,17.723
8.678,0.667,2.834,10.878,3.869,4.889,50.512,2.892,5.056,1.91,33.218,3.874,12.59,2.896,3.93,23,12.544,5.257,1.788,1.74,3.936,2.883,2.883,5.023,5.144,1.48,6.204,9.238,17.461,19.846,24.298,13.707,9.238,23.973,14.806,29.434,5.242,5.283,28.882,4.492,9.081,9.081,42.545,13.545,14.621,15.657,16.726,17.78,38.665,2.604,2.604,3.854,6.03,12.918,15.483,11.569,21.981,20.356,12.697,22.161,26.508,25.789,15.854,27.61,16.943
6.921,0.75,2.491,10.447,3.499,2.667,27.363,1.74,4.7,0.673,18.371,3.89,12.197,2.734,3.947,12,12.226,4.86,1.893,1.839,3.768,2.505,2.505,4.559,4.401,1.202,6.05,8.705,17.376,19.827,24.48,13.404,8.705,23.731,14.543,29.324,4.868,4.956,16.785,1.942,7.717,7.717,22.379,13.266,14.391,15.47,16.585,17.683,26.73,1.975,1.975,3.761,5.342,12.651,15.264,11.181,22.085,20.032,12.352,21.878,26.8,25.591,15.634,27.455,16.763
7.143,0.6,2.963,10.74,3.988,3.792,33.676,2.216,4.956,0.993,23.342,3.981,12.534,3.009,4.012,15,12.952,5.215,1.943,1.92,4.03,2.999,2.999,4.717,4.627,1.208,6.522,10.251,18.505,21.065,26.072,14.254,10.251,24.702,15.454,30.57,5.252,5.318,21.386,2.781,10.175,10.175,28.18,14.085,15.267,16.428,17.609,18.785,29.407,2.121,2.121,3.918,5.849,13.488,16.156,11.888,23.532,20.827,13.103,22.76,28.589,26.651,16.635,28.608,17.834
8.553,0.8,2.536,10.632,3.616,2.979,27.406,1.799,4.828,0.798,19.531,3.909,12.417,2.974,3.939,12,13.17,5.03,1.882,1.857,4.005,2.659,2.659,4.556,4.504,1.073,6.516,10.213,19.021,21.65,26.846,14.513,10.213,25.072,15.75,31.096,5.063,5.13,17.982,1.666,7.469,7.469,23.136,14.36,15.586,16.797,18.022,19.243,24.648,1.976,1.976,3.91,5.179,13.807,16.51,12.065,24.232,21.081,13.314,23.073,29.45,27.076,16.971,29.084,18.207
6.358,0.667,3.059,10.948,4.097,4.139,37.798,2.601,5.176,0.973,25.945,3.97,12.782,3.109,4.007,16,13.433,5.598,1.95,1.92,4.135,3.113,3.113,4.874,4.745,1.312,6.74,10.987,19.314,21.952,27.164,14.77,10.987,25.331,16.009,31.351,5.67,5.805,24.954,2.621,10.93,10.93,29.643,14.624,15.849,17.061,18.286,19.508,34.526,2.2,2.2,3.899,5.849,14.086,16.805,12.316,24.539,21.347,13.566,23.335,29.779,27.334,17.234,29.341,18.472
5.26,0.667,2.927,10.852,3.96,3.639,29.987,1.796,5.081,0.848,21.106,3.947,12.684,3.062,3.981,14,13.361,5.521,1.936,1.909,4.102,2.977,2.977,4.716,4.591,1.162,6.731,10.984,19.266,21.909,27.136,14.709,10.984,25.274,15.951,31.308,5.598,5.73,19.707,2.301,9.724,9.724,24.792,14.556,15.785,17.001,18.23,19.455,28.663,2.11,2.11,3.884,5.561,14.022,16.744,12.247,24.506,21.279,13.501,23.273,29.756,27.281,17.179,29.293,18.421
5.0,0.667,3.106,11.038,4.13,4.604,38.747,3.025,5.263,1.216,26.881,3.97,12.884,3.19,4.007,18,13.509,5.717,1.958,1.923,4.22,3.141,3.141,4.921,4.811,1.334,6.976,11.846,19.375,22.011,27.215,14.839,11.846,25.395,16.077,31.406,5.82,5.974,26.096,3.132,10.933,10.933,31.921,14.701,15.925,17.137,18.362,19.583,35.087,2.234,2.234,3.9,5.986,14.153,16.875,12.387,24.593,21.416,13.635,23.402,29.825,27.394,17.302,29.398,18.539
5.0,0.6,2.187,10.669,3.203,2.826,20.629,1.622,4.898,0.583,14.012,3.788,12.513,3.061,3.83,11,13.28,5.323,1.849,1.807,4.1,2.214,2.214,4.501,4.255,1.079,6.731,10.984,19.231,21.881,27.121,14.637,10.984,25.218,15.887,31.274,5.342,5.398,15.859,1.608,7.021,7.021,18.9,14.488,15.725,16.95,18.185,19.417,23.309,1.768,1.768,3.724,5.154,13.959,16.687,12.153,24.487,21.201,13.416,23.207,29.745,27.234,17.124,29.253,18.372
9.523,0.8,2.712,10.752,3.765,3.542,28.011,2.271,4.92,1.056,20.254,3.982,12.537,2.974,4.011,15,13.258,5.187,1.913,1.885,4.005,2.793,2.793,4.638,4.599,1.024,6.516,10.213,19.044,21.665,26.852,14.568,10.213,25.115,15.796,31.119,5.204,5.333,18.065,1.999,8.245,8.245,31.441,14.442,15.663,16.871,18.094,19.314,26.059,1.998,1.998,3.944,5.92,13.858,16.55,12.142,24.241,21.146,13.379,23.126,29.454,27.111,17.01,29.113,18.239
8.678,0.8,2.579,10.673,3.749,3.292,27.413,1.91,4.852,0.86,20.106,3.914,12.459,2.974,3.939,13,13.175,5.063,1.876,1.858,4.005,2.839,2.839,4.574,4.516,1.117,6.516,10.213,19.031,21.657,26.849,14.541,10.213,25.092,15.773,31.107,5.088,5.165,18.374,1.777,8.371,8.371,23.702,14.365,15.589,16.8,18.024,19.244,24.583,1.976,1.976,3.912,5.39,13.828,16.529,12.101,24.236,21.11,13.345,23.097,29.452,27.093,16.992,29.098,18.224
9.495,0.8,2.632,10.649,3.663,2.979,27.362,1.861,4.844,0.829,19.283,3.925,12.433,2.974,3.957,12,13.185,5.056,1.905,1.879,4.005,2.681,2.681,4.57,4.513,1.025,6.516,10.213,19.023,21.651,26.847,14.517,10.213,25.075,15.753,31.097,5.075,5.165,17.732,1.706,7.555,7.555,24.859,14.372,15.595,16.805,18.028,19.247,24.725,1.976,1.976,3.871,5.238,13.812,16.514,12.07,24.232,21.086,13.319,23.077,29.451,27.078,16.974,29.086,18.208
5.724,0.667,3.104,11.068,4.13,4.854,38.35,3.181,5.283,1.305,27.411,3.97,12.911,3.133,4.007,19,13.474,5.781,1.945,1.92,4.198,3.142,3.142,4.916,4.834,1.366,6.936,11.727,19.401,22.029,27.222,14.916,11.727,25.422,16.147,31.422,5.866,6.031,26.567,3.297,10.933,10.933,34.832,14.664,15.888,17.099,18.323,19.545,34.62,2.349,2.349,3.899,6.43,14.203,16.909,12.475,24.605,21.453,13.716,23.434,29.829,27.417,17.367,29.417,18.599
6.31,0.75,2.5,10.504,3.517,3.167,30.155,1.934,4.736,0.776,20.148,3.898,12.262,2.837,3.953,13,12.29,4.92,1.896,1.842,3.891,2.529,2.529,4.624,4.493,1.245,6.334,9.451,17.464,19.92,24.566,13.503,9.451,23.837,14.642,29.434,4.934,5.024,19.457,2.102,7.717,7.717,23.005,13.335,14.459,15.539,16.655,17.753,28.46,2.045,2.045,3.777,5.472,12.735,15.358,11.275,22.171,20.132,12.444,21.981,26.88,25.698,15.736,27.564,16.866
6.119,0.75,2.506,10.519,3.522,2.917,33.792,1.937,4.745,0.786,22.831,3.891,12.284,2.85,3.947,13,12.317,4.927,1.893,1.839,3.913,2.531,2.531,4.625,4.567,1.249,6.461,9.901,17.559,20.022,24.686,13.565,9.901,23.927,14.709,29.543,4.927,5.011,18.672,2.102,7.717,7.717,23.325,13.365,14.491,15.575,16.692,17.793,28.318,1.975,1.975,3.765,5.535,12.807,15.435,11.325,22.284,20.208,12.497,22.064,27.008,25.795,15.812,27.667,16.947
8.108,0.8,2.974,10.802,4.004,3.917,38.551,2.549,4.977,1.11,26.499,3.978,12.599,3.107,4.01,15,13.343,5.187,1.943,1.92,4.131,3.019,3.019,4.851,4.729,1.299,6.739,10.933,19.114,21.732,26.9,14.639,10.933,25.189,15.867,31.182,5.182,5.263,25.112,2.337,10.213,10.213,27.573,14.528,15.747,16.952,18.171,19.388,34.848,2.116,2.116,3.909,5.849,13.933,16.632,12.206,24.295,21.222,13.446,23.202,29.493,27.182,17.081,29.18,18.309
9.824,0.8,2.712,10.678,3.765,3.229,27.208,1.979,4.86,0.892,18.891,3.97,12.461,2.974,4.004,13,13.199,5.081,1.913,1.885,4.005,2.793,2.793,4.571,4.519,1.022,6.516,10.213,19.032,21.657,26.849,14.537,10.213,25.092,15.769,31.107,5.088,5.198,17.285,1.746,8.245,8.245,26.488,14.385,15.606,16.813,18.035,19.253,24.55,1.988,1.988,3.905,5.456,13.83,16.528,12.097,24.236,21.111,13.342,23.097,29.452,27.092,16.988,29.098,18.22
6.921,0.75,2.882,11.042,3.923,5.576,58.119,3.288,5.247,2.297,39.074,3.907,12.755,2.902,3.957,26,12.671,5.476,1.807,1.758,3.943,2.938,2.938,5.143,5.312,1.474,6.214,9.266,17.581,19.966,24.404,13.838,9.266,24.095,14.937,29.547,5.485,5.533,32.734,5.283,9.256,9.256,49.33,13.664,14.74,15.769,16.836,17.885,42.266,2.675,2.675,3.854,6.085,13.049,15.616,11.702,22.09,20.486,12.834,22.287,26.607,25.908,15.982,27.725,17.069
8.518,0.8,2.712,10.725,3.765,3.292,28.878,2.209,4.905,0.963,20.241,3.971,12.509,2.974,4.004,14,13.208,5.153,1.913,1.885,4.005,2.793,2.793,4.619,4.579,1.049,6.516,10.213,19.035,21.659,26.85,14.549,10.213,25.098,15.779,31.109,5.17,5.293,17.687,1.959,8.245,8.245,30.801,14.391,15.611,16.818,18.039,19.257,25.666,1.991,1.991,3.915,5.457,13.841,16.536,12.116,24.237,21.122,13.357,23.106,29.453,27.097,16.996,29.101,18.228
6.377,0.8,2.976,10.839,4.006,4.292,35.395,2.625,5.05,1.286,24.737,3.954,12.638,3.107,3.98,17,13.135,5.318,1.929,1.904,4.131,3.021,3.021,4.795,4.756,1.29,6.739,10.933,18.676,21.222,26.209,14.478,10.933,24.856,15.678,30.709,5.308,5.425,24.037,3.381,10.216,10.216,31.807,14.275,15.454,16.617,17.797,18.972,31.877,2.272,2.272,3.889,6.359,13.679,16.326,12.107,23.681,20.988,13.319,22.918,28.714,26.801,16.861,28.752,18.061
5.475,0.667,3.06,10.947,4.097,4.181,32.176,2.417,5.081,0.917,22.276,3.986,12.798,3.109,4.019,16,13.544,5.505,1.859,1.819,4.135,3.114,3.114,4.733,4.61,1.203,6.74,10.987,19.363,22.009,27.24,14.888,10.987,25.371,16.139,31.405,5.568,5.71,21.423,2.564,10.93,10.93,29.643,14.755,15.995,17.225,18.466,19.706,28.609,2.2,2.2,3.926,5.849,14.12,16.842,12.408,24.606,21.377,13.667,23.37,29.865,27.378,17.38,29.39,18.633
8.041,0.875,3.023,12.002,4.08,14.778,173.162,8.757,6.157,6.529,112.14,3.943,13.729,3.051,3.986,69,13.665,6.42,1.822,1.774,4.097,3.093,3.093,6.126,6.343,2.186,6.722,10.811,18.754,21.181,25.734,14.916,10.811,25.231,16.028,30.758,6.43,6.5,93.673,14.019,10.338,10.338,135.371,14.676,15.757,16.802,17.878,18.941,118.129,2.977,2.977,3.88,6.449,14.133,16.728,12.746,23.367,21.575,13.884,23.399,27.998,27.068,17.098,28.911,18.204
9.018,0.8,2.869,11.093,3.903,5.326,61.082,3.517,5.308,2.411,40.483,3.928,12.808,2.906,3.968,27,12.737,5.545,1.918,1.892,3.944,2.917,2.917,5.188,5.35,1.453,6.22,9.289,17.599,19.982,24.409,13.883,9.289,24.138,14.982,29.58,5.549,5.617,34.082,5.306,9.14,9.14,50.487,13.726,14.804,15.831,16.9,17.947,44.911,2.681,2.681,3.862,6.065,13.083,15.646,11.751,22.097,20.534,12.883,22.333,26.606,25.948,16.023,27.762,17.109
9.046,0.75,2.836,11.103,3.872,5.889,68.485,3.406,5.323,2.29,44.384,3.934,12.801,2.896,3.982,27,12.673,5.549,1.81,1.761,3.936,2.886,2.886,5.326,5.419,1.565,6.204,9.238,17.538,19.915,24.341,13.817,9.238,24.057,14.914,29.493,5.545,5.58,39.456,5.274,9.09,9.09,66.207,13.655,14.728,15.75,16.815,17.859,54.649,2.725,2.725,3.872,6.03,13.031,15.588,11.695,22.032,20.463,12.829,22.256,26.542,25.864,15.948,27.676,17.032
4.824,0.75,2.557,10.368,3.555,2.292,23.355,1.267,4.654,0.667,17.218,3.91,12.076,2.667,3.943,11,11.953,4.852,1.918,1.889,3.683,2.551,2.551,4.426,4.471,0.954,5.923,8.277,16.843,19.237,23.738,13.049,8.277,23.279,14.168,28.753,4.875,4.956,14.908,1.639,7.312,7.312,24.164,12.926,14.027,15.053,16.139,17.193,21.238,2.048,2.048,3.834,5.34,12.274,14.844,10.898,21.404,19.665,12.062,21.468,25.983,25.098,15.209,26.923,16.311
6.009,0.5,2.722,10.604,3.762,2.875,15.498,0.955,4.844,0.629,12.342,4.107,12.361,3.019,4.142,12,12.34,5.063,1.938,1.915,4.047,2.781,2.781,4.413,4.203,0.877,6.526,10.264,17.466,19.89,24.491,13.543,10.264,23.807,14.683,29.378,4.99,5.069,13.463,1.142,8.699,8.699,17.413,13.381,14.507,15.582,16.694,17.785,19.118,2.019,2.019,4.064,5.137,12.761,15.357,11.313,22.13,20.116,12.492,21.958,26.783,25.66,15.77,27.518,16.895
5.0,0.6,2.44,10.614,3.491,2.951,16.583,1.469,4.875,0.607,12.483,3.893,12.426,2.712,3.938,12,12.823,5.328,1.867,1.826,3.765,2.523,2.523,4.344,4.258,0.862,5.931,8.245,18.654,21.285,26.486,14.197,8.245,24.691,15.428,30.682,5.375,5.513,12.579,1.91,7.233,7.233,26.133,13.988,15.204,16.402,17.62,18.835,17.258,1.996,1.996,3.824,5.456,13.47,16.179,11.774,23.863,20.743,13.017,22.711,29.098,26.681,16.643,28.678,17.877
5.996,0.667,3.07,11.049,4.11,4.917,36.062,2.82,5.252,1.257,26.181,3.97,12.906,3.11,4.007,18,13.545,5.72,1.943,1.918,4.138,3.126,3.126,4.87,4.773,1.338,6.845,11.331,19.607,22.3,27.628,14.961,11.331,25.597,16.221,31.704,5.808,5.927,25.092,3.448,10.932,10.932,33.096,14.752,15.99,17.219,18.459,19.697,33.185,2.234,2.234,3.9,5.849,14.279,17.047,12.466,24.944,21.559,13.733,23.573,30.302,27.627,17.472,29.663,18.734
5.0,0.5,2.005,9.905,3.049,1.542,12.406,0.726,4.159,0.482,8.671,3.685,11.626,2.218,3.737,7,11.507,4.382,1.682,1.629,3.306,2.056,2.056,3.949,3.881,0.893,5.113,6.087,16.565,18.982,23.548,12.705,6.087,22.951,13.834,28.481,4.277,4.263,8.469,1.097,5.893,5.893,15.553,12.524,13.637,14.698,15.801,16.882,13.443,1.546,1.546,3.558,4.583,11.917,14.506,10.515,21.193,19.297,11.683,21.12,25.822,24.789,14.904,26.633,16.019
5.0,0.5,2.219,10.313,3.306,2.208,12.045,0.785,4.554,0.566,9.789,3.755,12.06,2.722,3.797,10,12.013,4.779,1.721,1.673,3.763,2.349,2.349,4.135,4.011,0.823,6.049,8.7,17.116,19.536,24.127,13.216,8.7,23.471,14.35,29.028,4.7,4.762,10.237,1.199,6.092,6.092,15.778,13.047,14.167,15.238,16.346,17.434,14.114,1.968,1.968,3.69,5.112,12.43,15.023,11.002,21.768,19.793,12.173,21.628,26.414,25.319,15.432,27.172,16.553
9.284,0.8,2.712,10.752,3.765,3.542,32.517,2.271,4.92,1.056,22.425,3.978,12.537,2.974,4.008,15,13.253,5.187,1.913,1.885,4.005,2.793,2.793,4.721,4.632,1.091,6.516,10.213,19.044,21.665,26.852,14.568,10.213,25.115,15.796,31.119,5.204,5.333,19.412,1.999,8.245,8.245,33.004,14.437,15.659,16.868,18.091,19.312,29.991,1.998,1.998,3.929,5.92,13.858,16.55,12.142,24.241,21.146,13.379,23.126,29.454,27.111,17.01,29.113,18.239
8.699,0.75,2.897,11.354,3.937,7.861,88.71,4.892,5.537,3.595,56.589,3.912,13.059,2.911,3.969,38,12.989,5.765,1.81,1.761,3.951,2.953,2.953,5.504,5.7,1.768,6.221,9.27,17.854,20.23,24.642,14.139,9.27,24.388,15.231,29.824,5.759,5.805,47.764,7.702,9.238,9.238,77.252,13.98,15.048,16.074,17.136,18.181,62.654,2.815,2.815,3.854,6.204,13.346,15.904,12.016,22.339,20.789,13.139,22.585,26.829,26.196,16.27,28.008,17.352
5.495,0.875,3.023,12.002,4.08,14.778,174.153,8.757,6.157,6.529,112.399,3.943,13.729,3.051,3.986,69,13.667,6.42,1.822,1.774,4.097,3.093,3.093,6.129,6.345,2.188,6.722,10.811,18.754,21.181,25.734,14.916,10.811,25.231,16.028,30.758,6.43,6.5,93.992,14.019,10.338,10.338,135.564,14.679,15.76,16.805,17.881,18.944,118.543,2.977,2.977,3.88,6.449,14.133,16.728,12.746,23.367,21.575,13.884,23.399,27.998,27.068,17.098,28.911,18.204
8.051,0.8,2.868,11.074,3.903,5.264,61.014,3.462,5.288,2.349,40.471,3.925,12.789,2.906,3.968,26,12.725,5.529,1.925,1.895,3.944,2.916,2.916,5.181,5.344,1.45,6.22,9.289,17.593,19.976,24.406,13.867,9.289,24.129,14.967,29.575,5.541,5.602,34.124,5.114,9.14,9.14,48.33,13.714,14.794,15.821,16.89,17.938,44.682,2.67,2.67,3.853,6.065,13.07,15.636,11.732,22.093,20.522,12.866,22.322,26.604,25.94,16.009,27.755,17.097
6.745,0.5,2.554,10.647,3.622,3.438,23.019,2.16,4.92,0.919,16.831,3.833,12.521,2.807,3.871,13,12.678,5.476,1.827,1.798,3.885,2.651,2.651,4.468,4.34,1.182,6.461,9.977,18.314,20.875,25.827,14.112,9.977,24.423,15.315,30.207,5.553,5.595,18.218,3.207,9.23,9.23,25.209,13.815,14.997,16.161,17.343,18.52,22.159,1.879,1.879,3.754,5.628,13.322,16.011,11.738,23.302,20.594,12.951,22.505,28.307,26.346,16.502,28.274,17.706
5.886,0.5,2.52,10.447,3.57,2.75,16.305,1.459,4.727,0.657,11.959,3.83,12.288,2.771,3.868,11,12.547,5.278,1.83,1.797,3.815,2.597,2.597,4.243,4.041,1.003,6.178,9.174,17.905,20.418,25.256,13.853,9.174,24.083,15.041,29.797,5.403,5.425,12.576,2.291,8.685,8.685,22.79,13.673,14.849,16.004,17.179,18.349,19.169,1.808,1.808,3.745,5.212,13.017,15.662,11.512,22.784,20.3,12.714,22.188,27.675,25.983,16.209,27.888,17.397
5.602,0.5,2.576,10.515,3.625,3.188,15.701,1.712,4.771,0.801,12.043,3.831,12.364,2.795,3.869,12,12.603,5.347,1.825,1.795,3.853,2.649,2.649,4.24,4.072,1.03,6.32,9.471,18.031,20.555,25.417,13.942,9.471,24.199,15.133,29.932,5.455,5.489,12.678,2.402,8.975,8.975,23.067,13.731,14.907,16.063,17.24,18.41,18.62,1.879,1.879,3.747,5.232,13.117,15.774,11.595,22.934,20.403,12.798,22.297,27.848,26.105,16.304,28.017,17.494
6.347,0.5,2.178,10.427,3.205,2.75,14.184,1.49,4.727,0.644,10.893,3.803,12.265,2.728,3.841,11,12.071,5.263,1.807,1.776,3.787,2.224,2.224,4.193,3.992,0.991,6.154,9.1,17.658,20.192,25.034,13.516,9.1,23.876,14.69,29.586,5.371,5.407,12.022,2.131,6.541,6.541,23.047,13.138,14.286,15.394,16.536,17.664,15.377,1.879,1.879,3.727,5.08,12.761,15.453,11.214,22.55,20.105,12.409,21.986,27.457,25.774,15.833,27.677,17.005
6.268,0.4,2.697,10.771,3.765,3.632,18.647,2.16,5.004,1.002,16.475,3.887,12.643,2.884,3.918,14,12.947,5.638,1.831,1.803,4.016,2.802,2.802,4.419,4.372,1.131,6.809,11.08,18.794,21.377,26.424,14.505,11.08,24.883,15.728,30.773,5.858,5.945,15.068,3.01,9.149,9.149,25.677,14.108,15.31,16.497,17.7,18.9,20.604,1.999,1.999,3.809,6.13,13.711,16.398,12.084,23.868,20.98,13.315,22.928,28.951,26.842,16.939,28.806,18.163
5.0,0.5,2.603,10.603,3.641,3.563,18.547,1.941,4.852,0.833,14.375,3.843,12.47,2.85,3.877,13,12.721,5.407,1.831,1.804,3.94,2.653,2.653,4.415,4.216,1.106,6.57,10.308,18.199,20.741,25.633,14.073,10.308,24.364,15.271,30.12,5.505,5.557,15.553,2.892,9.133,9.133,24.116,13.864,15.051,16.221,17.41,18.596,21.365,1.879,1.879,3.771,5.646,13.253,15.93,11.71,23.133,20.552,12.918,22.455,28.079,26.279,16.453,28.198,17.652
5.268,0.6,2.64,10.668,3.715,3.0,20.755,1.976,4.977,0.859,15.689,3.877,12.501,2.783,3.899,14,12.302,5.602,1.885,1.862,3.844,2.753,2.753,4.52,4.343,1.014,6.175,9.202,17.796,20.309,25.114,13.702,9.202,24.055,14.866,29.726,5.808,5.953,16.21,2.593,8.804,8.804,31.278,13.356,14.497,15.594,16.729,17.849,21.302,2.025,2.025,3.861,5.884,12.953,15.619,11.425,22.645,20.31,12.611,22.178,27.523,25.939,15.996,27.83,17.157
5.26,0.5,2.551,10.515,3.62,3.188,16.552,1.712,4.771,0.801,12.563,3.831,12.364,2.783,3.868,12,12.575,5.347,1.827,1.798,3.849,2.649,2.649,4.288,4.106,1.07,6.32,9.471,18.031,20.555,25.417,13.942,9.471,24.199,15.133,29.932,5.455,5.489,12.921,2.402,8.975,8.975,23.047,13.702,14.878,16.033,17.209,18.379,19.357,1.879,1.879,3.752,5.232,13.117,15.774,11.595,22.934,20.403,12.798,22.297,27.848,26.105,16.304,28.017,17.494
5.886,0.5,2.552,10.62,3.784,3.688,14.905,1.969,4.844,0.917,12.824,3.827,12.462,2.778,3.859,14,12.586,5.481,1.816,1.789,3.932,2.864,2.864,4.294,4.161,1.071,6.461,10.215,18.188,20.69,25.525,14.168,10.215,24.353,15.351,30.067,5.624,5.746,13.188,2.682,9.465,9.465,25.81,13.709,14.883,16.036,17.211,18.38,18.028,1.995,1.995,3.76,6.136,13.311,15.932,11.831,23.059,20.568,13.025,22.457,27.945,26.253,16.517,28.158,17.7
5.699,0.6,2.592,10.638,3.652,2.75,18.588,1.913,4.963,0.859,14.361,3.876,12.473,2.783,3.899,13,12.261,5.587,1.879,1.858,3.84,2.678,2.678,4.445,4.301,0.979,6.173,9.197,17.766,20.285,25.1,13.656,9.197,24.006,14.825,29.688,5.784,5.927,15.402,2.553,8.768,8.768,29.075,13.317,14.463,15.562,16.701,17.823,18.233,2.013,2.013,3.852,5.309,12.911,15.583,11.372,22.627,20.256,12.563,22.126,27.513,25.894,15.957,27.788,17.123
6.699,0.5,2.529,10.476,3.588,2.75,20.369,1.521,4.762,0.714,15.373,3.829,12.318,2.773,3.867,11,12.552,5.313,1.834,1.804,3.822,2.619,2.619,4.386,4.214,1.092,6.207,9.246,17.934,20.447,25.285,13.869,9.246,24.104,15.057,29.818,5.464,5.476,15.421,2.331,8.861,8.861,23.572,13.677,14.853,16.008,17.184,18.353,21.58,1.827,1.827,3.753,5.251,13.045,15.689,11.528,22.814,20.321,12.731,22.209,27.705,26.005,16.224,27.909,17.412
5.854,0.5,2.107,10.371,3.132,2.438,11.828,1.323,4.682,0.503,9.247,3.778,12.203,2.677,3.814,10,12.009,5.17,1.785,1.753,3.75,2.154,2.154,4.109,3.864,0.926,6.152,9.077,17.637,20.167,25.01,13.467,9.077,23.854,14.641,29.568,5.278,5.318,11.128,1.94,6.299,6.299,23.047,13.074,14.222,15.327,16.467,17.592,12.561,1.839,1.839,3.706,4.986,12.735,15.422,11.164,22.528,20.077,12.361,21.961,27.433,25.753,15.783,27.658,16.953
6.194,0.4,2.569,10.694,3.765,3.069,20.844,1.907,4.956,1.007,17.289,3.871,12.548,2.775,3.894,13,12.787,5.624,1.826,1.799,3.89,2.822,2.822,4.475,4.382,1.14,6.491,10.273,18.509,21.058,26.048,14.285,10.273,24.556,15.487,30.365,5.79,5.922,16.483,2.721,9.171,9.171,24.584,13.943,15.146,16.332,17.537,18.738,22.212,1.999,1.999,3.809,6.116,13.506,16.153,11.909,23.519,20.712,13.123,22.631,28.554,26.488,16.673,28.424,17.877
