pXC50,Cl.090,nPyrroles,SaaNH,nBnz,nCb.,nCbH,CATS2D_06_DD,P_VSA_LogP_6,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,NaaNH,SpMax1_Bh.e.,P_VSA_MR_8,N.,D.Dtr09,SM09_EA.bo.,SpDiam_EA.ed.,JGI2,JGI5,SaaaC,nR09,C.026,SM11_EA.bo.,MATS7i,C.033,GGI5,CATS2D_05_LL,SpMax1_Bh.s.,MAXDP,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM13_EA.bo.,SM12_EA.bo.,SsCl,GATS6v,PDI,SRW07,SRW09,nCrs,H.048,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Chi0_EA.dm.,ATSC4s,ATSC4e,NaaaC,CATS2D_04_DL,CATS2D_07_DA,nN,ATS7m,GGI8,SM10_EA.bo.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,N.075,NaaN,SM14_EA.ed.,PCD,SM15_EA.ed.,CATS2D_02_DL
5.5,0,0,0.0,2,4,8,0,20.274,4.649,4.649,7.649,4.649,0,4.097,31.278,13.0,122.805,14.036,18.713,0.061,0.026,1.539,1,2,17.041,0.017,1,0.858,2,7.431,5.193,11.528,11.528,11.528,20.067,18.587,0.0,0.918,1.044,4.727,6.862,0,1,6.892,6.892,29.218,3.563,5.563,3.563,20.473,33.276,0.23,2,11,0,6,3.508,0.205,15.617,3.246,3.246,5.246,3.246,2,2,34.242,4.115,36.679,5
5.9,0,0,0.0,2,4,8,0,53.182,4.712,4.712,7.712,4.712,0,4.119,31.278,8.1,157.728,14.155,19.202,0.062,0.024,1.988,1,2,17.186,-0.112,1,1.084,8,7.431,5.373,11.822,11.822,11.822,20.237,18.743,0.0,0.941,1.032,5.283,7.31,2,1,6.972,6.972,33.376,3.563,5.563,3.563,27.434,41.404,0.206,2,10,0,5,4.03,0.36,15.749,3.286,3.286,5.286,3.286,1,1,34.601,5.021,37.062,5
5.5,0,1,3.277,3,7,11,0,13.915,4.474,4.474,7.474,4.474,1,4.132,0.0,6.6,168.468,14.068,17.54,0.075,0.024,2.261,1,3,16.983,0.043,1,1.229,11,7.427,6.064,10.428,10.428,10.428,19.905,18.491,6.062,1.044,1.029,4.727,6.823,0,1,6.609,6.609,12.518,3.613,5.613,3.613,14.646,68.185,0.378,2,4,1,4,4.138,0.35,15.627,3.115,3.115,5.115,3.115,1,1,33.524,5.231,35.844,6
5.5,0,0,0.0,1,3,3,0,6.604,4.476,4.476,7.476,4.476,0,4.086,0.0,10.5,0.0,13.82,18.841,0.084,0.034,0.215,0,1,16.739,0.167,0,1.229,1,8.517,5.069,11.72,11.72,11.72,19.673,18.246,0.0,0.992,1.004,0.0,0.0,0,0,7.121,7.121,28.555,4.461,6.461,4.461,20.633,235.47,1.501,2,6,0,4,3.797,0.32,15.365,3.335,3.335,5.335,3.335,2,2,35.206,3.365,37.655,3
6.9,0,1,2.947,2,6,6,0,5.218,4.865,4.865,7.865,4.865,1,4.197,31.278,10.9,233.655,14.888,19.919,0.078,0.028,3.441,2,2,17.994,0.059,0,1.132,6,7.717,5.516,12.508,12.508,12.508,21.11,19.567,0.0,0.982,1.049,5.416,7.535,0,0,7.308,7.308,15.28,4.686,6.686,4.686,15.046,64.305,0.61,4,5,0,5,3.789,0.272,16.482,3.392,3.392,5.392,3.392,2,2,35.796,5.649,38.304,5
7.4,1,1,3.163,0,0,0,1,55.891,4.535,4.535,7.535,4.535,1,4.125,39.149,14.0,90.419,13.769,18.109,0.058,0.017,1.847,1,0,16.756,0.133,1,0.507,2,5.14,2.111,10.928,10.928,10.928,19.748,18.285,6.222,0.903,1.02,4.727,6.843,6,1,6.714,6.714,21.907,3.205,5.205,3.205,14.25,38.759,0.372,2,5,3,6,3.713,0.218,15.34,3.167,3.167,5.167,3.167,3,3,33.51,3.213,35.889,6
5.5,0,0,2.861,2,5,7,0,2.144,4.366,4.366,7.366,4.366,1,4.099,0.0,10.3,75.878,13.483,15.612,0.077,0.027,1.887,1,2,16.386,0.01,0,0.462,6,7.429,5.022,9.286,9.286,9.286,19.295,17.889,5.787,0.945,1.034,4.595,6.581,0,0,6.201,6.201,11.333,3.573,5.573,3.573,9.121,30.578,0.274,2,2,1,3,3.051,0.107,15.037,2.961,2.961,4.961,2.961,1,1,31.534,3.009,33.732,5
5.5,0,0,0.0,1,3,3,0,25.87,4.397,4.397,7.397,4.397,0,4.098,31.278,6.1,0.0,13.495,16.099,0.063,0.022,2.271,0,0,16.422,-0.22,2,0.438,4,6.456,2.821,9.639,9.639,9.639,19.352,17.93,0.0,1.029,0.992,4.443,6.293,0,2,6.304,6.304,11.409,3.033,5.033,3.033,7.215,18.121,0.102,2,2,0,2,3.096,0.074,15.054,3.021,3.021,5.021,3.021,1,1,31.927,3.068,34.164,1
5.5,0,0,2.878,2,5,7,0,4.472,4.52,4.52,7.52,4.52,1,4.136,0.0,8.7,114.45,14.327,17.763,0.078,0.029,1.631,1,1,17.315,-0.119,0,0.955,7,7.716,4.841,11.041,11.041,11.041,20.307,18.83,0.0,1.092,0.999,4.727,6.823,0,0,6.74,6.74,13.234,4.458,6.458,4.458,12.295,58.699,0.425,2,5,0,4,3.554,0.293,15.866,3.216,3.216,5.216,3.216,1,1,34.042,3.381,36.418,6
5.5,0,0,2.851,3,8,10,0,4.276,4.692,4.692,7.692,4.692,1,4.14,45.954,10.9,121.988,14.11,19.119,0.071,0.027,1.777,1,3,17.135,0.003,0,0.959,5,7.431,5.204,11.747,11.747,11.747,20.18,18.687,0.0,0.975,1.046,4.727,6.843,0,0,6.958,6.958,24.276,3.563,5.563,3.563,18.955,31.156,0.221,2,14,0,5,3.595,0.24,15.695,3.274,3.274,5.274,3.274,1,1,34.509,4.078,36.965,6
5.4,0,0,2.873,3,9,9,0,29.92,4.507,4.507,7.507,4.507,1,4.126,0.0,7.9,159.659,14.017,17.414,0.07,0.028,1.364,1,4,16.94,-0.13,0,1.396,7,8.211,6.174,10.46,10.46,10.46,19.876,18.446,0.0,0.897,1.015,4.727,6.823,0,0,6.576,6.576,50.483,3.622,5.622,3.622,34.471,108.289,0.862,2,7,0,5,4.19,0.549,15.563,3.13,3.13,5.13,3.13,1,1,33.394,4.183,35.707,3
7.7,0,0,0.0,1,1,5,1,0.0,4.636,4.636,7.636,4.636,0,4.125,0.0,12.2,103.125,13.977,18.537,0.072,0.029,0.294,1,0,16.99,-0.139,0,0.958,4,7.429,5.556,11.217,11.217,11.217,20.017,18.538,0.0,0.834,1.001,4.727,6.862,0,0,6.807,6.807,10.812,3.608,5.608,3.608,9.902,56.07,0.524,1,4,1,5,3.653,0.167,15.567,3.235,3.235,5.235,3.235,3,3,33.905,3.903,36.306,3
5.5,0,0,0.0,2,4,8,0,30.892,4.726,4.726,7.726,4.726,0,4.139,31.278,10.2,157.782,14.269,19.547,0.069,0.026,1.989,1,3,17.283,0.067,2,1.313,7,7.431,5.416,11.979,11.979,11.979,20.322,18.83,0.0,1.038,1.029,5.352,7.424,0,2,7.013,7.013,29.144,3.562,5.562,3.562,23.439,31.388,0.209,2,8,3,6,3.941,0.3,15.846,3.316,3.316,5.316,3.316,2,2,34.819,5.043,37.288,5
5.5,0,0,0.0,2,3,9,0,0.0,3.926,3.926,6.926,3.926,0,4.014,0.0,4.8,0.0,12.739,15.711,0.078,0.028,0.0,0,0,15.441,-0.025,0,0.806,6,7.429,5.403,9.268,9.268,9.268,18.133,16.944,0.0,0.94,0.959,0.0,0.0,0,0,6.215,6.215,11.475,3.589,5.589,3.589,8.463,41.258,0.171,0,6,0,2,3.346,0.156,14.343,2.947,2.947,4.947,2.947,1,1,31.821,2.98,34.018,2
6.4,0,0,0.0,1,2,4,0,17.064,4.573,4.573,7.573,4.573,0,4.105,31.278,7.1,68.146,13.823,18.197,0.081,0.026,1.788,1,1,16.822,-0.037,0,0.58,4,8.201,4.952,10.992,10.992,10.992,19.83,18.357,0.0,1.174,1.046,4.727,6.862,0,0,6.728,6.728,3.014,3.519,5.519,3.519,4.452,39.324,0.23,2,1,0,2,2.986,0.121,15.395,3.189,3.189,5.189,3.189,1,1,33.596,3.268,35.98,0
6.1,0,0,0.0,1,2,4,1,4.656,4.022,4.022,7.022,4.022,0,3.99,0.0,12.2,0.0,12.85,16.567,0.066,0.024,0.0,0,1,15.585,0.028,0,0.764,0,7.437,4.672,9.925,9.925,9.925,18.325,17.047,0.0,0.876,0.974,0.0,0.0,6,0,6.438,6.438,44.488,3.542,5.542,3.542,25.341,59.772,0.467,0,4,0,6,3.677,0.312,14.377,3.031,3.031,5.031,3.031,2,2,32.308,2.265,34.573,4
5.5,0,1,3.082,2,4,8,0,41.691,4.555,4.555,7.555,4.555,1,4.138,0.0,7.7,102.957,14.001,18.076,0.081,0.02,1.479,1,3,16.968,0.005,1,0.671,5,8.239,5.787,10.945,10.945,10.945,19.944,18.493,0.0,1.005,1.057,4.727,6.843,0,1,6.719,6.719,12.115,3.652,5.652,3.652,9.723,86.804,0.604,2,4,1,3,3.6,0.267,15.569,3.173,3.173,5.173,3.173,1,1,33.81,4.061,36.175,4
5.5,0,1,3.331,2,5,7,0,6.616,4.841,4.841,7.841,4.841,1,4.199,0.0,11.6,169.725,14.37,18.8,0.072,0.022,3.74,2,2,17.471,0.149,0,0.622,0,5.163,1.8,11.456,11.456,11.456,20.585,19.05,0.0,1.109,1.018,4.844,7.066,0,0,6.858,6.858,10.44,3.272,5.272,3.272,12.326,26.499,0.316,4,4,1,5,3.338,0.237,15.98,3.256,3.256,5.256,3.256,2,2,34.195,4.919,36.618,2
7.0,0,0,0.0,1,4,2,0,2.104,4.759,4.759,7.759,4.759,0,4.108,77.232,4.5,83.604,14.111,19.56,0.084,0.035,1.718,2,3,17.204,0.062,0,0.597,2,7.433,4.737,12.098,12.098,12.098,20.306,18.769,6.167,1.549,1.033,4.844,7.096,0,0,7.044,7.044,13.388,3.789,5.789,3.789,11.76,24.941,0.284,2,0,0,1,2.353,0.0,15.695,3.353,3.353,5.353,3.353,0,0,34.92,2.633,37.406,0
5.9,0,0,0.0,2,7,5,1,0.0,4.386,4.386,7.386,4.386,0,4.051,0.0,3.3,0.0,13.64,19.837,0.08,0.03,0.0,0,5,16.531,0.076,0,1.153,6,7.431,4.94,12.301,12.301,12.301,19.432,18.019,18.075,1.162,0.96,0.0,0.0,0,0,7.104,7.104,17.351,3.703,5.703,3.703,15.484,80.127,0.65,0,6,0,1,3.844,0.082,15.165,3.353,3.353,5.353,3.353,0,0,35.157,2.67,37.658,5
7.1,0,0,3.01,2,5,7,0,2.757,4.51,4.51,7.51,4.51,1,4.123,0.0,8.2,118.625,13.836,16.757,0.067,0.023,2.056,1,2,16.782,0.069,0,0.774,3,5.097,2.39,10.231,10.231,10.231,19.739,18.305,6.029,1.038,1.011,4.727,6.804,0,0,6.522,6.522,11.022,3.148,5.148,3.148,12.618,36.574,0.257,2,4,1,4,3.685,0.201,15.407,3.103,3.103,5.103,3.103,2,2,32.728,4.081,35.026,3
5.5,0,1,3.284,1,2,4,0,13.915,4.474,4.474,7.474,4.474,1,4.129,0.0,8.0,126.087,13.68,17.025,0.054,0.019,2.339,1,1,16.63,-0.019,1,0.577,4,5.054,2.38,10.301,10.301,10.301,19.586,18.161,0.0,1.069,1.014,4.727,6.823,0,1,6.533,6.533,7.94,3.162,5.162,3.162,8.592,32.462,0.223,2,2,0,4,3.615,0.153,15.271,3.072,3.072,5.072,3.072,2,2,32.68,4.588,35.0,4
5.5,0,0,0.0,2,4,8,0,0.0,3.927,3.927,6.927,3.927,0,4.016,0.0,4.4,0.0,12.887,15.639,0.08,0.031,0.0,0,1,15.591,0.032,0,0.896,9,7.429,5.478,9.158,9.158,9.158,18.287,17.076,0.0,1.025,0.971,0.0,0.0,0,0,6.185,6.185,18.055,3.586,5.586,3.586,13.021,37.238,0.166,0,3,0,2,3.406,0.185,14.463,2.944,2.944,4.944,2.944,1,1,31.683,3.072,33.863,3
5.8,0,0,2.792,2,4,8,0,0.0,4.521,4.521,7.521,4.521,1,4.122,56.782,16.7,89.691,13.969,17.875,0.078,0.024,1.744,1,0,16.93,0.235,0,0.66,5,5.248,1.907,10.675,10.675,10.675,19.895,18.444,0.0,1.123,1.074,5.416,7.496,0,0,6.666,6.666,14.467,3.33,5.33,3.33,11.612,23.997,0.199,2,4,4,6,4.284,0.056,15.524,3.173,3.173,5.173,3.173,3,3,33.488,3.915,35.828,2
5.5,0,0,0.0,3,4,14,1,15.245,4.137,4.137,7.137,4.137,0,4.013,45.192,6.5,0.0,13.085,23.242,0.092,0.014,0.0,0,2,15.862,0.045,0,0.604,10,8.201,5.907,15.289,15.289,15.289,18.65,17.355,0.0,1.016,0.948,0.0,0.0,0,0,8.082,8.082,21.497,4.38,6.38,4.38,18.565,73.552,0.498,0,12,0,3,3.877,0.276,14.65,3.655,3.655,5.655,3.655,0,0,38.18,2.117,40.907,4
5.5,0,0,0.0,0,0,0,0,17.288,4.69,4.69,7.69,4.69,0,4.095,0.0,9.5,0.0,14.053,19.484,0.083,0.036,0.054,0,2,17.093,0.016,0,1.254,1,8.201,6.808,11.77,11.77,11.77,20.15,18.639,0.0,1.137,0.92,4.595,6.581,2,0,6.99,6.99,27.31,3.643,5.643,3.643,19.939,159.892,1.073,2,2,1,4,3.528,0.296,15.618,3.321,3.321,5.321,3.321,2,2,34.634,2.515,37.076,5
5.5,0,0,0.0,1,4,2,0,6.604,4.052,4.052,7.052,4.052,0,3.96,0.0,14.7,0.0,12.969,16.216,0.079,0.029,0.0,0,3,15.714,0.009,0,0.694,0,7.431,4.947,9.513,9.513,9.513,18.464,17.171,6.04,1.039,0.941,0.0,0.0,0,0,6.281,6.281,26.657,4.057,6.057,4.057,20.274,46.056,0.499,0,3,0,5,3.315,0.193,14.487,3.003,3.003,5.003,3.003,2,2,31.619,2.365,33.842,1
5.5,0,0,0.0,0,0,0,0,33.672,4.388,4.388,7.172,4.388,0,4.046,62.555,22.2,0.0,13.671,19.472,0.072,0.019,0.0,0,0,16.543,-0.001,2,0.778,0,7.43,5.534,11.974,11.974,11.974,19.43,18.009,0.0,1.075,1.018,5.938,7.908,0,2,7.009,7.009,8.953,3.615,5.615,3.615,12.198,32.073,0.543,0,2,3,8,3.828,0.15,15.168,3.298,3.298,5.298,3.298,4,4,34.791,3.15,37.264,0
6.7,0,1,3.185,2,3,9,1,14.099,4.633,4.633,7.633,4.633,1,4.135,0.0,12.5,96.778,13.98,18.841,0.068,0.02,1.665,1,1,16.991,0.022,1,0.656,5,7.437,4.189,11.631,11.631,11.631,20.017,18.539,0.0,0.948,1.058,4.727,6.862,0,1,6.911,6.911,19.851,3.5,5.5,3.5,12.311,32.276,0.246,2,6,0,5,3.485,0.145,15.569,3.245,3.245,5.245,3.245,2,2,34.37,4.279,36.816,6
6.1,0,0,0.0,3,8,10,0,4.836,4.403,4.403,7.403,4.403,0,4.102,0.0,7.5,264.631,13.991,18.644,0.059,0.025,1.543,2,2,16.914,-0.127,0,1.084,6,7.429,5.248,11.269,11.269,11.269,19.84,18.418,0.0,1.063,1.042,5.416,7.516,0,0,6.813,6.813,35.393,3.659,5.659,3.659,24.205,45.388,0.372,2,5,0,4,3.801,0.279,15.541,3.23,3.23,5.23,3.23,1,1,34.023,4.41,36.421,5
5.5,0,0,0.0,3,9,9,1,0.0,4.157,4.157,7.157,4.157,0,4.072,0.0,6.9,0.0,13.612,17.218,0.085,0.024,0.0,0,5,16.395,-0.046,0,1.167,10,7.434,5.872,10.356,10.356,10.356,19.181,17.851,0.0,0.961,0.976,2.708,5.38,0,0,6.546,6.546,39.986,3.629,5.629,3.629,29.191,83.209,0.639,0,8,2,4,4.064,0.395,15.119,3.143,3.143,5.143,3.143,0,0,33.128,3.61,35.418,8
5.5,0,1,0.0,0,0,0,0,14.099,4.679,4.679,7.679,4.679,0,4.11,56.782,15.6,68.69,13.894,18.624,0.099,0.035,1.391,1,1,16.977,-0.152,1,0.591,0,6.494,3.781,11.489,11.489,11.489,20.061,18.535,0.0,1.044,0.905,4.844,7.034,0,1,6.89,6.89,9.918,3.376,5.376,3.376,10.63,71.964,0.593,2,1,2,5,3.771,0.078,15.477,3.253,3.253,5.253,3.253,2,2,34.191,2.093,36.626,1
5.6,0,0,0.0,1,3,3,0,21.564,4.528,4.528,7.528,4.528,0,4.075,0.0,16.1,0.0,13.664,17.842,0.065,0.019,0.724,0,2,16.662,0.093,0,0.444,1,8.201,5.641,10.72,10.72,10.72,19.666,18.206,0.0,0.952,1.016,0.0,0.0,0,0,6.669,6.669,18.993,3.571,5.571,3.571,13.35,37.144,0.39,2,3,0,5,3.176,0.107,15.258,3.122,3.122,5.122,3.122,3,3,33.226,3.282,35.588,2
5.5,0,0,0.0,1,3,3,0,0.0,4.157,4.157,7.157,4.157,0,3.999,0.0,8.8,0.0,13.294,19.621,0.088,0.03,0.0,0,3,16.094,0.015,0,0.785,0,7.501,4.735,11.621,11.621,11.621,18.893,17.554,11.816,1.049,1.001,0.0,0.0,0,0,6.95,6.95,27.533,3.967,5.967,3.967,17.812,49.141,0.479,0,1,1,3,3.609,0.25,14.808,3.297,3.297,5.297,3.297,1,1,34.356,2.381,36.796,3
6.0,0,0,0.0,0,0,0,1,5.402,4.893,4.893,7.893,4.893,0,4.139,31.278,28.6,69.685,14.349,19.176,0.08,0.024,3.066,2,0,17.505,0.272,0,0.264,0,5.289,1.771,11.831,11.831,11.831,20.667,19.102,0.0,1.28,1.091,4.844,7.081,0,0,6.972,6.972,5.0,3.321,5.321,3.321,6.325,19.365,0.202,4,2,0,6,0.847,0.0,15.97,3.303,3.303,5.303,3.303,4,4,34.602,3.261,37.067,1
5.5,0,0,0.0,1,2,4,0,31.387,4.662,4.662,7.662,4.662,0,4.152,0.0,12.3,127.033,14.063,19.398,0.068,0.019,0.692,1,1,17.073,-0.248,1,0.924,2,8.201,5.476,12.053,12.053,12.053,20.104,18.62,0.0,0.68,0.975,4.844,7.066,0,1,7.018,7.018,21.18,3.323,5.323,3.323,14.469,59.607,0.569,1,1,0,7,4.018,0.406,15.645,3.319,3.319,5.319,3.319,4,4,35.107,4.315,37.572,1
5.9,0,1,5.967,1,3,3,0,23.542,4.435,4.435,7.435,4.435,2,4.147,0.0,14.3,117.653,13.996,16.266,0.074,0.023,4.13,2,0,16.96,-0.236,2,0.368,4,5.121,1.401,9.751,9.751,9.751,19.917,18.473,0.0,0.934,1.127,5.283,7.273,0,2,6.341,6.341,0.0,3.051,5.051,3.051,0.0,14.527,0.1,4,3,1,4,2.78,0.082,15.555,3.051,3.051,5.051,3.051,2,2,32.305,4.027,34.548,3
5.5,0,0,0.0,2,4,8,0,19.121,4.626,4.626,7.626,4.626,0,4.105,77.232,9.5,118.128,13.979,18.662,0.063,0.023,2.073,1,3,16.981,-0.055,1,0.723,4,7.431,5.166,11.489,11.489,11.489,20.0,18.526,0.0,0.943,1.052,4.727,6.862,0,1,6.884,6.884,22.806,3.563,5.563,3.563,16.529,23.564,0.193,2,10,0,4,3.598,0.193,15.563,3.229,3.229,5.229,3.229,1,1,34.194,4.106,36.628,5
5.5,0,0,0.0,2,4,8,0,0.0,3.927,3.927,6.927,3.927,0,4.017,0.0,6.4,0.0,12.894,15.833,0.078,0.028,0.0,0,1,15.598,-0.014,0,0.924,6,7.429,5.582,9.343,9.343,9.343,18.294,17.082,0.0,1.009,0.976,0.0,0.0,0,0,6.23,6.23,17.698,3.589,5.589,3.589,12.88,41.018,0.191,0,5,0,3,3.538,0.205,14.468,2.96,2.96,4.96,2.96,1,1,31.913,3.037,34.114,2
5.5,0,1,3.353,1,2,4,0,2.757,4.607,4.607,7.607,4.607,1,4.135,0.0,7.5,83.199,13.939,19.023,0.092,0.032,1.748,1,0,16.944,-0.096,0,0.733,7,6.449,4.038,11.665,11.665,11.665,19.96,18.479,0.0,0.957,0.942,4.844,7.05,0,0,7.112,7.112,11.206,3.701,5.701,3.701,9.966,30.673,0.179,2,5,0,3,3.071,0.326,15.507,3.322,3.322,5.322,3.322,2,2,34.955,3.189,37.398,5
5.9,0,0,0.0,1,3,3,0,6.604,4.48,4.48,7.48,4.48,0,4.085,0.0,14.7,0.0,13.662,18.78,0.072,0.033,0.516,0,1,16.61,-0.194,0,0.986,1,8.513,4.975,11.736,11.736,11.736,19.572,18.135,0.0,0.909,1.007,0.0,0.0,0,0,7.123,7.123,22.484,4.461,6.461,4.461,16.178,115.069,0.865,2,4,0,5,3.492,0.132,15.233,3.339,3.339,5.339,3.339,3,3,34.61,3.251,37.054,2
5.5,0,0,0.0,1,3,3,0,56.219,4.707,4.707,7.707,4.707,0,4.196,0.0,13.0,105.387,14.55,19.696,0.073,0.029,0.742,1,2,17.58,-0.064,2,1.515,3,8.211,6.527,12.172,12.172,12.172,20.618,19.12,0.0,1.024,0.99,5.82,7.934,0,2,7.052,7.052,6.358,3.433,5.433,3.433,8.643,117.363,1.048,2,0,0,6,4.055,0.472,16.118,3.353,3.353,5.353,3.353,4,4,35.199,5.0,37.667,3
6.8,1,1,3.125,0,0,0,1,56.319,4.535,4.535,7.535,4.535,1,4.122,39.149,11.9,89.587,13.77,18.11,0.053,0.019,1.75,1,0,16.756,0.076,1,0.563,3,6.449,3.825,10.928,10.928,10.928,19.749,18.285,6.198,0.957,0.979,4.727,6.843,6,1,6.714,6.714,22.275,3.205,5.205,3.205,13.245,47.692,0.515,2,5,1,5,3.718,0.185,15.34,3.167,3.167,5.167,3.167,3,3,33.513,3.213,35.891,7
7.3,0,0,2.871,3,6,12,0,11.771,4.522,4.522,7.522,4.522,1,4.132,0.0,14.3,134.817,13.997,17.295,0.062,0.023,1.469,1,0,16.921,0.27,1,1.011,4,7.429,5.662,10.481,10.481,10.481,19.86,18.434,0.0,0.906,1.042,5.352,7.402,0,1,6.577,6.577,26.594,4.058,6.058,4.058,19.226,53.143,0.386,2,7,4,7,3.863,0.247,15.556,3.137,3.137,5.137,3.137,3,3,33.111,5.146,35.426,3
5.5,0,0,0.0,2,3,9,0,0.0,3.925,3.925,6.925,3.925,0,4.009,0.0,5.3,0.0,12.667,15.281,0.072,0.027,0.0,0,0,15.37,-0.015,0,0.604,6,7.429,5.145,9.109,9.109,9.109,18.064,16.884,0.0,0.851,1.005,0.0,0.0,0,0,6.165,6.165,9.649,3.561,5.561,3.561,7.745,34.473,0.162,0,4,0,2,3.164,0.086,14.288,2.911,2.911,4.911,2.911,1,1,31.253,3.057,33.431,2
5.5,0,0,0.0,2,4,8,0,30.892,4.726,4.726,7.726,4.726,0,4.141,31.278,10.0,161.407,14.274,19.548,0.067,0.027,1.896,1,3,17.287,0.048,2,1.366,5,7.431,5.387,11.98,11.98,11.98,20.325,18.833,0.0,0.999,1.008,5.352,7.434,0,2,7.013,7.013,27.981,3.562,5.562,3.562,23.252,40.536,0.355,2,8,3,6,4.055,0.364,15.85,3.316,3.316,5.316,3.316,2,2,34.822,5.096,37.29,5
6.8,0,0,2.896,2,4,8,0,11.771,4.521,4.521,7.521,4.521,1,4.128,0.0,12.8,112.253,13.844,17.206,0.06,0.022,1.65,1,0,16.797,0.278,1,0.764,3,7.429,4.901,10.467,10.467,10.467,19.763,18.316,0.0,0.947,1.015,5.352,7.402,0,1,6.573,6.573,24.041,3.598,5.598,3.598,16.433,40.401,0.314,2,6,4,6,3.619,0.138,15.404,3.131,3.131,5.131,3.131,3,3,33.023,4.045,35.346,3
5.6,0,0,0.0,1,2,4,0,3.559,4.069,4.069,7.069,4.069,0,4.002,56.782,16.7,0.0,12.957,17.04,0.074,0.016,0.0,0,2,15.734,0.228,0,0.313,4,7.429,4.998,10.276,10.276,10.276,18.508,17.2,0.0,1.37,1.058,2.708,5.38,0,0,6.526,6.526,26.983,3.625,5.625,3.625,16.723,29.846,0.345,0,2,0,4,3.267,0.031,14.487,3.106,3.106,5.106,3.106,2,2,32.731,2.582,35.038,4
6.3,0,0,2.824,1,2,4,1,19.075,4.622,4.622,7.622,4.622,1,4.13,31.278,10.3,0.0,13.942,18.66,0.089,0.027,1.45,0,1,16.959,-0.114,0,0.615,4,8.201,5.789,11.281,11.281,11.281,19.986,18.496,0.0,1.093,1.037,5.416,7.526,0,0,6.817,6.817,3.854,3.568,5.568,3.568,5.985,51.297,0.407,2,3,0,3,2.858,0.078,15.508,3.241,3.241,5.241,3.241,1,1,33.982,3.043,36.389,2
5.5,0,0,0.0,2,4,8,0,16.243,4.655,4.655,7.655,4.655,0,4.153,0.0,12.5,127.282,14.088,18.96,0.071,0.025,1.498,1,0,17.092,0.102,1,1.115,7,7.427,6.066,11.454,11.454,11.454,20.114,18.629,0.0,1.07,1.019,5.416,7.526,2,1,6.875,6.875,38.364,3.822,5.822,3.822,25.777,53.787,0.372,2,2,2,7,3.82,0.337,15.655,3.274,3.274,5.274,3.274,3,3,34.227,4.032,36.643,1
5.9,0,0,0.0,2,5,7,0,19.187,4.71,4.71,7.71,4.71,0,4.085,0.0,11.3,0.0,14.242,19.593,0.079,0.024,0.0,0,5,17.25,-0.041,0,1.028,0,8.201,6.215,12.181,12.181,12.181,20.284,18.787,0.0,0.938,0.981,0.0,0.0,0,0,7.24,7.24,45.182,4.685,6.685,4.685,30.639,83.441,0.756,0,3,2,6,3.973,0.386,15.797,3.377,3.377,5.377,3.377,2,2,35.016,3.563,37.51,4
5.5,0,0,0.0,1,3,3,0,46.347,4.727,4.727,7.727,4.727,0,4.161,0.0,11.3,123.693,14.25,19.882,0.071,0.029,0.548,1,2,17.277,-0.065,1,1.448,2,8.211,6.645,12.286,12.286,12.286,20.325,18.827,0.0,0.971,0.958,4.844,7.081,0,1,7.084,7.084,21.151,3.41,5.41,3.41,16.821,116.13,0.898,1,3,0,6,4.156,0.463,15.828,3.365,3.365,5.365,3.365,4,4,35.206,4.323,37.694,4
7.2,0,1,0.0,1,3,3,0,14.528,4.522,4.522,7.522,4.522,0,4.122,0.0,7.5,75.402,14.119,19.848,0.08,0.02,0.0,1,2,17.074,-0.157,1,0.563,8,7.716,4.982,12.29,12.29,12.29,20.038,18.568,0.0,1.086,1.031,5.82,7.689,3,1,7.258,7.258,34.46,4.387,6.387,4.387,23.193,63.558,0.396,0,2,0,3,3.494,0.277,15.628,3.398,3.398,5.398,3.398,0,0,35.398,2.377,37.883,1
5.5,0,1,0.0,5,10,18,0,4.901,4.831,4.831,7.831,4.831,0,4.194,0.0,2.7,167.982,14.686,20.693,0.068,0.025,3.975,1,3,17.747,0.065,0,1.771,18,7.475,5.88,12.916,12.916,12.916,20.823,19.31,0.0,1.032,1.021,4.949,7.248,0,0,7.249,7.249,36.362,3.703,5.703,3.703,26.75,42.998,0.426,4,5,2,2,4.458,0.652,16.281,3.447,3.447,5.447,3.447,0,0,35.897,5.323,38.437,3
5.6,0,0,3.261,3,7,11,0,2.144,4.403,4.403,7.403,4.403,1,4.115,0.0,9.5,210.376,13.93,18.516,0.067,0.025,1.937,2,1,16.851,-0.076,0,0.747,6,7.429,4.849,11.163,11.163,11.163,19.772,18.355,0.0,0.988,1.096,5.416,7.516,0,0,6.792,6.792,27.874,3.65,5.65,3.65,17.232,30.624,0.159,2,9,0,4,3.319,0.17,15.484,3.199,3.199,5.199,3.199,1,1,33.905,4.448,36.292,5
