pXC50,C.008,GATS2s,MATS7v,NsssCH,CATS2D_09_DD,NssCH2,MATS4v,SpMin1_Bh.s.,MATS2s,RFD,MATS8e,C.041,N.072,nCONN,MATS4s,nCs,GATS7v,CATS2D_02_DL,CATS2D_06_DA,MATS4p,CATS2D_09_DA,SpDiam_AEA.ed.,CATS2D_04_AL,GATS4v,D.Dtr09,nR09,Eig08_AEA.ed.,SpMaxA_EA.ed.,MATS4m,MATS7p,GATS2e,Chi1_EA.dm.,Eig08_EA.ed.,SM03_AEA.ri.,SpMax3_Bh.p.,SpMax3_Bh.v.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eta_sh_y,MATS5v,Eig01_AEA.ri.,Eig01_EA.ri.,SpDiam_AEA.ri.,SpDiam_EA.ed.,SpDiam_EA.ri.,SpMax_AEA.ri.,SpMax_EA.ri.,CATS2D_06_AA,SpMin5_Bh.p.,GATS7p,SpMin2_Bh.i.,SpMin3_Bh.m.,C.040,CATS2D_08_DA,GATS7m,JGI3,MATS6v,Chi0_EA.dm.,P_VSA_LogP_4,N.071,nArNR2
6.658,1,0.473,0.092,1,1,6,-0.079,1.424,0.086,0.095,-0.241,1,3,1,-0.039,3,0.931,2,1,-0.083,1,6.459,6,1.056,131.904,1,4.558,0.363,-0.04,0.08,0.625,42.742,4.41,4.41,3.676,3.673,3.821,3.821,0.349,-0.009,4.211,3.088,5.269,18.778,5.088,4.211,3.088,1,1.573,0.885,1.857,1.917,1,0,0.856,0.052,0.0,28.685,54.995,0,0
8.097,1,0.501,0.032,1,1,6,-0.071,1.424,0.082,0.16,-0.173,1,3,1,-0.014,3,0.95,2,1,-0.06,1,6.595,7,1.043,139.325,1,4.452,0.331,-0.077,0.054,0.708,40.173,4.437,4.437,3.674,3.673,3.819,3.819,0.327,-0.031,4.203,3.084,5.262,18.737,5.084,4.203,3.084,1,1.625,0.91,1.857,1.962,1,0,1.04,0.045,-0.027,25.456,83.551,0,0
5.444,0,1.123,0.213,0,0,4,-0.149,1.267,-0.105,0.0,-0.256,0,0,0,-0.016,0,0.54,0,0,-0.138,0,5.937,0,1.169,0.0,0,1.555,0.694,-0.113,0.299,1.628,18.321,-2.136,-2.136,2.941,2.91,3.1,3.1,0.158,-0.08,3.783,2.675,4.851,15.063,4.611,3.783,2.675,0,1.062,0.348,1.57,1.513,0,0,0.951,0.027,-0.05,11.915,40.328,1,1
8.022,1,0.472,0.009,1,1,6,-0.068,1.424,0.08,0.167,-0.146,1,3,1,-0.038,3,0.997,4,2,-0.084,1,6.589,6,1.052,284.077,2,4.607,0.331,-0.062,0.01,0.638,40.835,4.488,4.488,3.674,3.672,3.819,3.819,0.367,-0.016,4.203,3.084,5.268,18.737,5.084,4.203,3.084,1,1.667,0.958,1.858,1.962,1,0,0.947,0.054,-0.021,27.083,54.995,0,0
7.427,1,0.48,0.014,1,1,6,-0.079,1.424,0.087,0.167,-0.158,1,3,1,-0.027,3,0.968,1,1,-0.087,1,6.591,6,1.055,272.893,2,4.414,0.341,-0.078,0.068,0.675,40.173,4.312,4.312,3.674,3.672,3.819,3.819,0.329,-0.04,4.203,3.084,5.314,18.737,5.084,4.203,3.084,1,1.608,0.844,1.858,1.962,1,0,0.884,0.052,-0.05,25.456,54.995,0,0
4.699,0,0.544,-0.029,2,0,8,-0.173,1.42,0.035,0.0,-0.046,0,2,0,-0.151,3,0.973,1,0,-0.134,0,7.794,2,1.141,0.0,0,4.439,0.435,-0.212,0.004,0.799,37.605,4.021,4.021,3.714,3.713,4.168,4.168,0.257,0.011,4.62,3.535,5.676,23.389,5.535,4.62,3.535,0,1.643,0.933,1.87,1.982,2,1,1.121,0.055,0.051,28.135,59.699,1,1
4.699,0,0.541,-0.062,0,0,7,-0.162,1.42,0.048,0.077,-0.111,0,2,0,-0.132,2,1.025,0,0,-0.136,0,7.794,3,1.125,0.0,0,4.439,0.423,-0.189,-0.044,0.817,32.28,4.032,4.032,3.714,3.713,4.168,4.168,0.251,0.015,4.62,3.535,5.676,23.389,5.535,4.62,3.535,1,1.645,1.0,1.882,1.982,2,1,1.132,0.041,0.039,23.107,76.485,1,1
5.678,0,0.509,-0.092,0,0,7,-0.149,1.42,0.085,0.0,-0.062,0,2,0,-0.124,2,1.046,1,0,-0.13,0,7.794,2,1.12,0.0,0,3.802,0.461,-0.162,-0.057,0.824,32.332,3.156,3.156,3.714,3.712,4.168,4.168,0.196,0.03,4.62,3.535,5.668,23.389,5.535,4.62,3.535,0,1.642,1.009,1.881,1.982,2,1,1.177,0.04,0.033,24.759,59.699,1,1
7.602,1,0.525,0.057,1,0,6,-0.091,1.423,0.058,0.077,-0.056,0,2,0,-0.093,3,0.908,2,0,-0.074,0,7.794,4,1.053,0.0,0,4.443,0.412,-0.119,0.065,0.784,36.548,4.392,4.392,3.718,3.717,4.168,4.168,0.273,-0.041,4.62,3.535,5.671,23.389,5.535,4.62,3.535,0,1.645,0.885,1.882,1.987,2,1,1.009,0.047,-0.004,24.688,59.699,1,1
6.824,0,0.527,-0.052,0,0,7,-0.162,1.42,0.046,0.08,-0.046,0,2,0,-0.131,2,1.004,0,0,-0.129,0,7.794,2,1.121,146.083,1,4.414,0.435,-0.168,0.028,0.803,32.28,4.028,4.028,3.714,3.712,4.168,4.168,0.252,0.009,4.62,3.535,5.73,23.389,5.535,4.62,3.535,0,1.643,0.864,1.882,1.982,2,1,0.967,0.048,0.027,23.107,59.699,1,1
5.372,0,0.527,-0.018,1,0,10,-0.177,1.443,0.039,0.077,-0.059,0,2,0,-0.15,5,0.957,1,0,-0.147,0,7.794,3,1.144,0.0,0,4.439,0.423,-0.204,0.008,0.775,37.174,4.032,4.032,3.714,3.713,4.168,4.168,0.249,0.013,4.62,3.535,5.67,23.389,5.535,4.62,3.535,0,1.663,0.921,1.882,1.982,2,1,1.102,0.041,0.062,28.992,59.699,1,1
5.585,1,0.534,0.105,3,0,7,-0.098,1.423,0.048,0.0,-0.046,0,2,0,-0.109,4,0.846,2,0,-0.068,0,7.794,3,1.063,0.0,0,4.469,0.423,-0.139,0.113,0.781,41.873,4.141,4.141,3.718,3.717,4.168,4.168,0.282,-0.05,4.62,3.535,5.677,23.389,5.535,4.62,3.535,0,1.643,0.822,1.87,1.987,2,1,0.958,0.06,-0.003,29.716,59.699,1,1
5.229,0,0.573,-0.041,0,0,7,-0.195,1.42,0.042,0.0,-0.027,0,2,0,-0.148,2,0.982,2,1,-0.168,1,7.794,3,1.171,0.0,0,4.25,0.448,-0.213,0.026,0.945,37.936,3.908,3.908,3.712,3.711,4.168,4.168,0.262,-0.013,4.62,3.535,5.671,23.389,5.535,4.62,3.535,0,1.64,0.902,1.879,1.975,2,1,1.184,0.048,0.025,28.814,59.699,1,1
4.699,0,0.553,-0.063,0,0,7,-0.152,1.42,0.046,0.077,-0.106,0,2,0,-0.104,2,1.03,0,0,-0.116,0,7.794,3,1.118,0.0,0,4.439,0.423,-0.177,-0.032,0.843,32.28,4.032,4.032,3.714,3.713,4.168,4.168,0.252,0.019,4.62,3.535,5.69,23.389,5.535,4.62,3.535,1,1.644,0.992,1.882,1.982,2,1,1.145,0.041,0.04,23.107,105.041,1,1
5.319,0,0.702,-0.084,0,0,3,0.046,1.29,0.049,0.0,-0.017,0,0,0,-0.013,1,1.082,2,0,0.048,0,6.69,1,0.965,0.0,0,3.671,0.372,0.035,-0.131,1.188,12.991,2.75,2.75,3.753,3.752,3.268,3.268,0.277,0.016,4.2,3.199,5.244,18.756,5.199,4.2,3.199,0,1.704,1.122,1.838,1.937,0,0,0.968,0.042,-0.132,14.353,42.683,0,0
7.921,1,0.48,0.075,1,1,6,-0.087,1.424,0.076,0.095,-0.249,1,3,1,-0.029,3,0.95,2,1,-0.093,1,6.459,6,1.076,131.904,1,4.558,0.363,-0.069,0.03,0.612,42.784,4.41,4.41,3.671,3.67,3.821,3.821,0.36,-0.019,4.212,3.092,5.27,18.778,5.092,4.212,3.092,1,1.573,0.931,1.852,1.928,1,0,0.909,0.052,-0.021,28.711,54.995,0,0
7.42,2,0.497,0.096,2,1,5,0.017,1.426,0.062,0.095,-0.178,1,3,1,-0.029,4,0.946,2,1,-0.018,1,6.493,6,0.975,143.97,1,4.785,0.347,0.011,0.037,0.594,43.652,5.237,5.237,3.68,3.679,3.834,3.834,0.411,-0.101,4.242,3.117,5.3,19.155,5.117,4.242,3.117,1,1.586,0.923,1.852,1.932,1,0,0.918,0.057,-0.068,29.196,54.995,0,0
7.18,2,0.482,0.084,2,1,5,-0.012,1.426,0.075,0.16,-0.154,1,3,1,-0.015,4,0.908,2,1,-0.027,1,6.653,7,0.988,149.802,1,4.791,0.319,-0.005,0.079,0.609,42.715,5.256,5.256,3.685,3.686,3.834,3.834,0.373,-0.088,4.242,3.117,5.301,19.155,5.117,4.242,3.117,1,1.633,0.888,1.854,1.936,1,0,0.997,0.051,-0.056,26.993,54.995,0,0
8.523,2,0.484,0.14,2,1,5,0.022,1.426,0.076,0.095,-0.217,1,3,1,-0.011,4,0.912,3,1,-0.01,1,6.326,6,0.966,144.436,1,4.806,0.341,0.029,0.08,0.599,47.284,5.235,5.235,3.684,3.682,3.821,3.821,0.399,-0.092,4.211,3.088,5.27,18.779,5.088,4.211,3.088,1,1.586,0.878,1.857,1.919,1,0,0.773,0.058,-0.046,30.841,54.995,0,0
8.456,2,0.484,0.144,2,1,5,0.024,1.427,0.075,0.095,-0.204,1,3,1,-0.013,4,0.898,3,1,-0.005,1,6.326,6,0.95,144.436,1,4.806,0.341,0.024,0.091,0.601,47.353,5.235,5.235,3.688,3.683,3.821,3.821,0.382,-0.087,4.211,3.087,5.27,18.779,5.087,4.211,3.087,1,1.586,0.827,1.858,1.908,1,0,0.668,0.058,-0.037,30.884,54.995,0,0
8.523,1,0.465,0.101,1,1,6,-0.08,1.424,0.105,0.095,-0.255,1,3,1,-0.036,3,0.907,2,1,-0.078,1,6.459,6,1.033,131.904,1,4.558,0.363,-0.01,0.104,0.654,42.789,4.41,4.41,3.681,3.674,3.821,3.821,0.324,0.011,4.211,3.087,5.269,18.778,5.087,4.211,3.087,1,1.571,0.834,1.859,1.905,1,0,0.747,0.052,0.021,28.701,54.995,0,0
7.648,2,0.463,0.122,2,1,5,-0.008,1.427,0.108,0.16,-0.234,1,3,1,0.007,4,0.88,3,1,-0.023,1,6.599,7,0.979,150.268,1,4.812,0.314,0.013,0.115,0.634,46.348,5.241,5.241,3.69,3.688,3.821,3.821,0.363,-0.08,4.211,3.088,5.27,18.779,5.088,4.211,3.088,1,1.633,0.853,1.859,1.923,1,0,0.83,0.052,-0.037,28.638,54.995,0,0
7.959,2,0.471,0.103,2,1,5,0.007,1.426,0.085,0.095,-0.191,1,3,1,-0.002,4,0.933,3,1,-0.016,1,6.326,7,0.98,138.17,1,4.786,0.352,0.007,0.036,0.597,47.052,5.225,5.225,3.68,3.679,3.821,3.821,0.383,-0.096,4.212,3.092,5.27,18.779,5.092,4.212,3.092,1,1.586,0.923,1.853,1.931,1,0,0.841,0.058,-0.07,30.292,54.995,0,0
8.0,2,0.464,0.12,2,1,5,0.012,1.426,0.097,0.095,-0.182,1,3,1,-0.007,4,0.913,3,1,-0.007,1,6.326,7,0.962,138.17,1,4.786,0.352,0.019,0.084,0.609,47.01,5.225,5.225,3.684,3.682,3.821,3.821,0.371,-0.088,4.211,3.088,5.269,18.779,5.088,4.211,3.088,1,1.586,0.879,1.857,1.92,1,0,0.779,0.058,-0.051,30.266,54.995,0,0
8.26,2,0.466,0.126,2,1,5,-0.006,1.427,0.108,0.16,-0.23,1,3,1,0.005,4,0.869,3,1,-0.018,1,6.599,7,0.965,150.268,1,4.812,0.314,0.018,0.121,0.645,46.416,5.241,5.241,3.694,3.69,3.821,3.821,0.349,-0.076,4.211,3.087,5.27,18.779,5.087,4.211,3.087,1,1.633,0.812,1.86,1.912,1,0,0.693,0.052,-0.03,28.681,54.995,0,0
7.385,1,0.488,0.028,1,1,6,-0.095,1.424,0.084,0.16,-0.184,1,3,1,-0.039,3,0.949,2,1,-0.099,1,6.595,7,1.069,139.325,1,4.452,0.331,-0.091,0.037,0.674,40.173,4.437,4.437,3.674,3.673,3.819,3.819,0.325,-0.025,4.203,3.084,5.261,18.737,5.084,4.203,3.084,1,1.627,0.925,1.857,1.962,1,0,1.026,0.045,-0.025,25.456,54.995,0,0
8.155,1,0.473,0.045,1,1,6,-0.092,1.424,0.086,0.095,-0.189,1,3,1,-0.032,3,0.952,2,1,-0.101,1,6.462,7,1.068,131.904,1,4.591,0.363,-0.07,0.055,0.625,42.763,4.445,4.445,3.671,3.67,3.822,3.822,0.349,0.016,4.214,3.094,5.272,18.772,5.094,4.214,3.094,1,1.571,0.906,1.853,1.929,1,0,0.899,0.05,-0.018,28.685,54.995,0,0
8.398,1,0.498,0.034,1,1,6,-0.079,1.424,0.062,0.095,-0.159,1,3,1,-0.039,3,0.987,2,1,-0.094,1,6.462,6,1.081,138.17,1,4.591,0.352,-0.056,0.036,0.607,43.059,4.445,4.445,3.671,3.67,3.822,3.822,0.389,0.0,4.214,3.094,5.272,18.772,5.094,4.214,3.094,1,1.573,0.928,1.852,1.928,1,0,1.059,0.05,-0.027,29.286,54.995,0,0
8.398,1,0.477,0.043,1,1,6,-0.095,1.424,0.077,0.16,-0.241,1,3,1,-0.018,3,0.945,2,1,-0.098,1,6.599,6,1.079,144.002,1,4.558,0.322,-0.07,0.034,0.623,42.122,4.453,4.453,3.674,3.674,3.821,3.821,0.352,-0.019,4.212,3.092,5.271,18.778,5.092,4.212,3.092,1,1.627,0.925,1.853,1.929,1,0,1.0,0.046,-0.01,27.083,54.995,0,0
8.699,2,0.468,0.084,2,1,5,-0.012,1.426,0.088,0.16,-0.154,1,3,1,-0.001,4,0.908,3,1,-0.027,1,6.602,8,0.994,150.268,1,4.79,0.314,0.001,0.079,0.609,46.39,5.066,5.066,3.685,3.686,3.822,3.822,0.373,-0.073,4.214,3.094,5.273,18.772,5.094,4.214,3.094,1,1.633,0.888,1.854,1.933,1,0,0.997,0.049,-0.062,28.665,54.995,0,0
7.921,2,0.471,0.141,4,1,6,-0.023,1.426,0.085,0.083,-0.141,1,3,1,-0.013,5,0.835,3,1,-0.024,1,6.716,7,1.002,150.172,1,4.827,0.323,-0.024,0.133,0.605,51.715,5.098,5.098,3.688,3.688,3.822,3.822,0.385,-0.078,4.248,3.251,5.311,18.773,5.251,4.248,3.251,1,1.602,0.817,1.854,1.934,1,0,0.938,0.064,-0.051,33.692,54.995,0,0
7.398,1,0.462,-0.029,1,1,6,-0.058,1.424,0.127,0.095,-0.183,1,3,1,-0.014,3,1.011,2,1,-0.077,1,6.71,6,1.043,135.13,1,3.645,0.362,-0.036,-0.019,0.691,40.225,3.156,3.156,3.674,3.672,3.819,3.819,0.276,-0.017,4.203,3.084,5.26,18.737,5.084,4.203,3.084,1,1.596,0.99,1.857,1.962,1,0,1.064,0.044,-0.049,27.108,54.995,0,0
7.155,1,0.499,0.037,1,1,6,-0.083,1.424,0.084,0.16,-0.203,1,3,1,-0.049,3,0.96,2,2,-0.081,1,6.595,8,1.061,139.325,1,4.452,0.331,-0.096,0.028,0.708,40.173,4.437,4.437,3.674,3.672,3.819,3.819,0.327,-0.045,4.203,3.084,5.262,18.737,5.084,4.203,3.084,2,1.622,0.948,1.857,1.961,1,0,0.992,0.045,-0.018,25.456,83.551,0,0
8.194,2,0.453,0.126,2,1,5,0.006,1.426,0.119,0.095,-0.211,1,3,1,0.008,4,0.898,3,1,-0.015,1,6.326,7,0.958,138.17,1,4.786,0.352,0.004,0.104,0.627,46.989,5.225,5.225,3.685,3.682,3.821,3.821,0.361,-0.074,4.211,3.088,5.27,18.779,5.088,4.211,3.088,1,1.585,0.86,1.858,1.92,1,0,0.713,0.058,-0.038,30.24,54.995,0,0
8.0,1,0.462,0.057,1,1,6,-0.08,1.424,0.11,0.095,-0.228,1,3,1,-0.016,3,0.914,2,1,-0.096,1,6.459,6,1.047,131.904,1,4.558,0.363,-0.022,0.099,0.647,43.551,4.41,4.41,3.676,3.673,3.821,3.821,0.343,0.013,4.211,3.088,5.269,18.778,5.088,4.211,3.088,1,1.583,0.85,1.858,1.917,1,0,0.931,0.052,-0.033,29.482,54.995,0,0
7.0,2,0.484,0.141,4,1,6,-0.022,1.426,0.072,0.083,-0.141,1,3,1,-0.024,5,0.835,2,1,-0.024,1,6.767,6,0.996,149.705,1,4.855,0.328,-0.028,0.133,0.605,48.04,5.278,5.278,3.688,3.688,3.834,3.834,0.385,-0.092,4.248,3.251,5.311,19.155,5.251,4.248,3.251,1,1.602,0.817,1.854,1.937,1,0,0.938,0.065,-0.046,32.021,54.995,0,0
6.959,1,0.483,0.042,1,1,8,-0.118,1.424,0.084,0.16,-0.183,1,3,1,-0.061,5,0.926,2,1,-0.116,1,6.595,7,1.091,139.325,1,4.452,0.331,-0.117,0.049,0.661,53.27,4.437,4.437,3.674,3.673,3.819,3.819,0.325,-0.002,4.203,3.084,5.261,18.737,5.084,4.203,3.084,1,1.646,0.902,1.857,1.962,1,0,1.007,0.045,-0.01,34.385,54.995,0,0
6.921,1,0.477,0.044,1,1,6,-0.09,1.424,0.077,0.16,0.105,1,3,1,-0.03,3,0.954,2,1,-0.1,1,6.589,7,1.074,145.938,1,4.607,0.322,-0.076,0.034,0.623,40.835,4.49,4.49,3.674,3.673,3.819,3.819,0.352,-0.014,4.203,3.084,5.262,18.737,5.084,4.203,3.084,1,1.628,0.921,1.857,1.962,1,0,0.97,0.046,-0.029,27.083,54.995,0,0
7.367,2,0.476,0.083,2,1,5,0.0,1.426,0.084,0.095,-0.145,1,3,1,-0.017,4,0.93,2,1,-0.023,1,6.493,7,0.967,137.704,1,4.765,0.357,-0.015,0.063,0.609,43.356,5.205,5.205,3.68,3.68,3.834,3.834,0.371,-0.083,4.242,3.117,5.3,19.155,5.117,4.242,3.117,1,1.585,0.896,1.853,1.934,1,0,0.814,0.057,-0.059,28.594,54.995,0,0
5.292,0,0.535,-0.037,0,0,7,-0.17,1.42,0.043,0.077,-0.071,0,2,0,-0.136,2,0.988,1,0,-0.142,0,7.794,3,1.132,0.0,0,4.439,0.423,-0.195,-0.005,0.804,32.28,4.032,4.032,3.714,3.713,4.168,4.168,0.249,0.017,4.62,3.535,5.67,23.389,5.535,4.62,3.535,0,1.645,0.949,1.882,1.982,2,1,1.135,0.041,0.042,23.107,59.699,1,1
6.824,1,0.508,0.061,1,0,6,-0.081,1.423,0.049,0.0,-0.086,0,2,0,-0.07,3,0.943,2,0,-0.069,0,7.794,3,1.056,0.0,0,4.431,0.448,-0.109,0.024,0.66,37.485,4.014,4.014,3.716,3.714,4.168,4.168,0.3,-0.045,4.62,3.535,5.67,23.389,5.535,4.62,3.535,0,1.642,0.918,1.869,1.959,2,1,0.917,0.052,-0.008,26.891,59.699,1,1
5.469,1,0.513,0.045,1,0,6,-0.064,1.423,0.072,0.0,-0.023,0,2,0,-0.08,3,0.925,2,0,-0.056,0,7.794,4,1.026,0.0,0,4.428,0.461,-0.085,0.04,0.78,38.019,4.011,4.011,3.716,3.715,4.168,4.168,0.266,-0.074,4.62,3.535,5.669,23.389,5.535,4.62,3.535,0,1.642,0.914,1.882,1.985,2,1,0.96,0.054,-0.018,27.113,59.699,1,1
8.097,2,0.47,0.176,4,1,6,-0.018,1.426,0.1,0.083,-0.218,1,3,1,-0.011,5,0.807,3,1,-0.019,1,6.713,6,0.985,150.172,1,4.87,0.322,-0.006,0.17,0.631,51.673,5.258,5.258,3.692,3.69,3.821,3.821,0.375,-0.084,4.248,3.251,5.311,18.779,5.251,4.248,3.251,1,1.602,0.781,1.859,1.923,1,0,0.784,0.066,-0.028,33.666,54.995,0,0
8.398,1,0.473,0.097,1,1,6,-0.074,1.424,0.086,0.095,-0.228,1,3,1,-0.042,3,0.919,2,1,-0.069,1,6.459,6,1.037,131.904,1,4.558,0.363,-0.003,0.091,0.629,42.811,4.41,4.41,3.68,3.674,3.821,3.821,0.334,-0.005,4.211,3.087,5.269,18.778,5.087,4.211,3.087,1,1.573,0.844,1.859,1.905,1,0,0.765,0.052,0.009,28.727,54.995,0,0
8.131,2,0.464,0.11,2,1,5,0.0,1.426,0.097,0.095,-0.213,1,3,1,0.011,4,0.916,3,1,-0.023,1,6.326,7,0.974,138.17,1,4.786,0.352,-0.009,0.059,0.609,47.031,5.225,5.225,3.68,3.68,3.821,3.821,0.371,-0.082,4.212,3.092,5.27,18.779,5.092,4.212,3.092,1,1.585,0.895,1.853,1.93,1,0,0.742,0.058,-0.057,30.266,54.995,0,0
8.398,2,0.454,0.131,2,1,5,0.008,1.427,0.119,0.095,-0.201,1,3,1,0.006,4,0.885,3,1,-0.01,1,6.326,7,0.944,138.17,1,4.786,0.352,0.014,0.112,0.635,47.057,5.225,5.225,3.689,3.683,3.821,3.821,0.346,-0.069,4.211,3.087,5.269,18.779,5.087,4.211,3.087,1,1.585,0.814,1.859,1.909,1,0,0.65,0.058,-0.029,30.282,54.995,0,0
7.745,1,0.473,0.08,1,1,6,-0.092,1.424,0.086,0.095,-0.267,1,3,1,-0.02,3,0.935,2,1,-0.101,1,6.459,6,1.068,131.904,1,4.558,0.363,-0.07,0.05,0.625,42.763,4.41,4.41,3.671,3.67,3.821,3.821,0.349,-0.002,4.212,3.092,5.27,18.778,5.092,4.212,3.092,1,1.571,0.906,1.853,1.928,1,0,0.81,0.052,-0.007,28.685,54.995,0,0
6.886,2,0.481,0.076,2,1,5,0.007,1.426,0.075,0.095,-0.133,1,3,1,-0.026,4,0.947,2,1,-0.016,1,6.493,7,0.972,137.704,1,4.765,0.357,0.0,0.04,0.597,43.377,5.205,5.205,3.68,3.679,3.834,3.834,0.383,-0.097,4.242,3.117,5.3,19.155,5.117,4.242,3.117,1,1.586,0.923,1.853,1.934,1,0,0.936,0.057,-0.072,28.621,54.995,0,0
6.18,1,0.497,0.035,3,1,7,-0.103,1.424,0.076,0.083,-0.15,1,3,1,-0.059,4,0.932,2,1,-0.092,1,6.71,6,1.077,139.229,1,4.603,0.341,-0.116,0.049,0.671,45.498,4.477,4.477,3.676,3.675,3.819,3.819,0.336,-0.025,4.245,3.248,5.307,18.737,5.248,4.245,3.248,1,1.602,0.905,1.857,1.962,1,0,1.012,0.06,-0.007,30.484,54.995,0,0
8.432,2,0.475,0.179,4,1,6,-0.016,1.427,0.099,0.083,-0.213,1,3,1,-0.015,5,0.797,3,1,-0.014,1,6.713,6,0.97,150.172,1,4.87,0.322,0.01,0.169,0.642,51.741,5.258,5.258,3.695,3.692,3.821,3.821,0.36,-0.08,4.248,3.251,5.311,18.779,5.251,4.248,3.251,1,1.602,0.748,1.86,1.913,1,0,0.673,0.066,-0.021,33.709,54.995,0,0
5.367,0,0.555,-0.15,0,0,7,0.053,1.412,0.043,0.074,0.094,0,0,0,0.006,3,1.121,4,0,0.012,0,6.848,6,0.957,150.813,1,4.827,0.319,0.09,-0.167,0.873,16.636,5.155,5.155,3.785,3.782,3.659,3.659,0.326,0.181,4.31,3.258,5.437,19.521,5.258,4.31,3.258,1,1.659,1.14,1.882,1.974,0,1,1.046,0.04,0.047,17.325,115.645,0,0
