pXC50,Sp,Si,Sv,nAT,Se,nBT,nSK,nC,MW,nH,nBO,Me,nAB,SCBO,O.,RBN,AMW
5.0,26.784,49.149,25.256,43,43.014,44,21,15,290.41,22,22,1.0,10,28.0,4.7,6,6.754
4.98,34.307,59.979,32.31,53,52.781,55,27,21,366.51,26,29,0.996,16,38.0,3.8,8,6.915
6.292,31.307,56.979,29.31,50,49.781,52,24,18,330.48,26,26,0.996,10,32.0,4.0,6,6.61
5.0,30.0,54.773,28.498,48,48.225,50,24,17,332.45,24,26,1.005,10,32.0,6.3,6,6.926
5.917,38.932,66.837,36.686,59,59.091,62,31,23,442.01,28,34,1.002,16,43.0,3.4,7,7.492
5.023,40.222,70.359,38.462,62,62.389,65,33,25,452.58,29,36,1.006,16,46.0,4.8,8,7.3
5.081,25.023,45.734,23.73,40,40.131,41,20,14,276.38,20,21,1.003,10,27.0,5.0,6,6.909
7.037,23.523,43.049,24.046,37,39.011,38,23,14,329.31,14,24,1.054,10,31.0,8.1,5,8.9
7.646,23.154,36.126,20.971,32,32.331,33,18,12,359.19,14,19,1.01,10,25.0,6.3,4,11.225
7.796,26.779,47.651,25.235,42,41.912,44,21,16,287.4,21,23,0.998,10,29.0,4.8,4,6.843
7.069,25.466,43.946,24.402,39,39.254,40,21,16,286.36,18,22,1.007,11,29.5,7.7,5,7.343
10.347,23.006,39.239,21.665,35,34.825,37,18,15,243.33,17,20,0.995,6,25.0,5.7,3,6.952
10.62,28.29,49.484,26.246,44,43.476,46,21,18,285.42,23,23,0.988,6,28.0,4.5,4,6.487
10.886,30.052,52.9,27.773,47,46.36,49,22,19,299.45,25,24,0.986,6,29.0,4.3,5,6.371
9.959,31.052,53.9,28.773,48,47.36,51,23,20,311.46,25,26,0.987,6,31.0,4.2,5,6.489
10.495,28.103,50.503,27.396,44,45.014,46,24,18,339.39,20,26,1.023,6,31.0,4.5,4,7.713
8.959,31.057,55.398,28.794,49,48.461,51,23,19,314.47,26,25,0.989,6,30.0,4.1,5,6.418
8.569,32.29,53.484,30.246,48,47.476,51,25,22,333.46,23,28,0.989,12,36.0,4.2,5,6.947
8.193,34.574,60.73,31.826,54,53.127,57,25,22,339.52,29,28,0.984,6,33.0,3.7,5,6.287
9.056,31.176,49.989,28.906,45,44.669,48,24,20,339.49,21,27,0.993,11,34.5,4.4,5,7.544
10.161,29.773,49.152,28.214,44,43.811,47,24,20,320.42,20,27,0.996,12,35.0,4.5,4,7.282
8.959,32.745,54.694,30.961,49,48.803,52,26,22,349.46,23,29,0.996,12,37.0,6.1,5,7.132
10.244,32.745,54.694,30.961,49,48.803,52,26,22,349.46,23,29,0.996,12,37.0,6.1,5,7.132
8.523,32.745,54.694,30.961,49,48.803,52,26,22,349.46,23,29,0.996,12,37.0,6.1,5,7.132
7.0,36.267,61.524,34.014,55,54.571,58,28,24,377.52,27,31,0.992,12,39.0,5.5,6,6.864
7.886,35.813,60.315,33.299,54,53.243,57,27,24,361.52,27,30,0.986,12,38.0,3.7,5,6.695
8.854,37.574,63.73,34.826,57,56.127,60,28,25,375.55,29,31,0.985,12,39.0,3.5,5,6.589
8.886,34.176,52.989,31.906,48,47.669,52,27,23,375.52,21,31,0.993,16,41.0,4.2,4,7.823
7.609,19.614,31.459,18.467,28,28.32,29,16,12,237.32,12,17,1.011,10,23.0,3.6,3,8.476
6.695,28.722,43.549,27.091,39,39.676,41,24,18,363.48,15,26,1.017,16,35.0,2.6,5,9.32
5.0,30.483,46.964,28.618,42,42.56,44,25,19,377.51,17,27,1.013,16,36.0,2.4,6,8.988
6.039,33.245,51.379,31.145,46,46.443,49,27,21,403.55,19,30,1.01,16,39.0,2.2,6,8.773
5.0,30.074,43.39,28.117,39,39.905,41,25,18,442.37,14,27,1.023,16,36.0,2.6,5,11.343
5.544,33.103,50.323,30.973,45,45.767,47,27,20,425.98,18,29,1.017,16,38.0,2.2,7,9.466
6.627,29.722,44.549,28.091,40,40.676,42,25,19,375.49,15,27,1.017,16,37.0,2.5,6,9.387
6.726,31.483,47.964,29.618,43,43.56,45,26,20,389.52,17,28,1.013,16,38.0,2.3,7,9.059
9.0,37.336,65.145,34.353,58,57.01,60,27,24,365.56,31,29,0.983,12,36.0,3.4,10,6.303
7.0,29.017,48.235,27.708,43,43.029,46,24,19,321.41,19,27,1.001,16,36.0,4.7,4,7.475
7.699,29.017,48.235,27.708,43,43.029,46,24,19,321.41,19,27,1.001,16,36.0,4.7,4,7.475
10.086,29.017,48.235,27.708,43,43.029,46,24,19,321.41,19,27,1.001,16,36.0,4.7,4,7.475
9.796,23.256,40.82,22.181,36,36.145,38,19,14,259.34,17,21,1.004,10,27.0,5.6,3,7.204
10.081,25.017,44.235,23.708,39,39.029,41,20,15,273.37,19,22,1.001,10,28.0,5.1,4,7.009
10.443,25.017,44.235,23.708,39,39.029,41,20,15,273.37,19,22,1.001,10,28.0,5.1,4,7.009
10.409,26.779,47.651,25.235,42,41.912,44,21,16,287.4,21,23,0.998,10,29.0,4.8,5,6.843
10.357,26.017,45.235,24.708,40,40.029,43,21,16,285.38,19,24,1.001,10,30.0,5.0,4,7.134
10.585,27.779,48.651,26.235,43,42.912,46,22,17,299.41,21,25,0.998,10,31.0,4.7,5,6.963
9.319,23.068,41.839,23.331,36,37.683,38,22,14,313.31,14,24,1.047,10,30.0,5.6,3,8.703
9.509,24.83,45.254,24.858,39,40.567,41,23,15,327.34,16,25,1.04,10,31.0,5.1,4,8.393
8.046,38.341,67.643,35.374,60,59.112,62,28,24,380.58,32,30,0.985,12,37.0,3.3,10,6.343
7.69,43.023,78.474,40.374,69,68.854,70,33,25,456.65,36,34,0.998,12,42.0,5.8,14,6.618
7.37,44.785,81.889,41.9,72,71.738,73,34,26,470.68,38,35,0.996,12,43.0,5.6,15,6.537
7.24,46.546,85.304,43.427,75,74.621,76,35,27,484.71,40,36,0.995,12,44.0,5.3,16,6.463
8.47,48.307,88.72,44.954,78,77.505,79,36,28,498.74,42,37,0.994,12,45.0,5.1,17,6.394
7.7,51.83,95.55,48.008,84,83.272,85,38,30,526.8,46,39,0.991,12,47.0,4.8,19,6.271
8.4,55.353,102.38,51.061,90,89.039,91,40,32,554.86,50,41,0.989,12,49.0,4.4,21,6.165
7.84,37.796,67.853,35.089,60,59.44,61,28,23,384.57,32,29,0.991,12,36.0,5.0,13,6.409
6.13,48.307,88.72,44.954,78,77.505,79,36,28,498.74,42,37,0.994,12,45.0,5.1,17,6.394
6.42,55.353,102.38,51.061,90,89.039,91,40,32,554.86,50,41,0.989,12,49.0,4.4,21,6.165
6.54,47.694,86.308,45.33,76,76.392,77,38,28,526.7,38,39,1.005,12,49.0,7.9,15,6.93
7.222,40.199,68.587,37.202,61,60.436,64,30,25,427.03,31,33,0.991,12,40.0,3.3,9,7.0
8.398,39.097,68.56,35.88,61,59.894,63,28,25,379.59,33,30,0.982,12,37.0,3.3,10,6.223
8.699,38.336,66.145,35.353,59,58.01,62,28,25,377.57,31,31,0.983,12,38.0,3.4,10,6.399
10.398,28.017,47.235,26.708,42,42.029,44,23,18,309.4,19,25,1.001,16,34.0,4.8,5,7.367
5.959,28.017,47.235,26.708,42,42.029,44,23,18,309.4,19,25,1.001,16,34.0,4.8,5,7.367
7.553,28.017,47.235,26.708,42,42.029,44,23,18,309.4,19,25,1.001,16,34.0,4.8,5,7.367
5.0,30.233,51.86,28.95,46,46.24,48,25,19,339.43,21,27,1.005,16,36.0,6.5,6,7.379
8.222,37.574,63.73,34.826,57,56.127,60,28,25,375.55,29,31,0.985,16,40.0,3.5,10,6.589
7.678,37.58,65.228,34.848,58,57.229,60,28,24,378.56,30,30,0.987,16,39.0,3.4,10,6.527
7.959,40.341,69.643,37.374,62,61.112,65,30,26,404.6,32,33,0.986,16,42.0,3.2,9,6.526
7.638,39.336,67.145,36.353,60,59.01,63,29,26,389.58,31,32,0.984,16,41.0,3.3,9,6.493
6.979,40.341,69.643,37.374,62,61.112,65,30,26,404.6,32,33,0.986,16,42.0,3.2,8,6.526
7.796,38.336,66.145,35.353,59,58.01,61,28,25,377.57,31,30,0.983,16,39.0,3.4,11,6.399
6.0,35.535,58.03,33.441,52,51.545,55,28,25,373.5,24,31,0.991,18,41.0,1.9,4,7.183
6.0,39.273,66.022,37.036,59,58.672,62,31,26,416.56,28,34,0.994,18,44.0,5.1,6,7.06
6.0,43.552,73.77,40.595,66,65.221,69,33,29,443.63,33,36,0.988,18,46.0,4.5,8,6.722
6.291,37.813,62.315,35.299,56,55.243,59,29,26,385.54,27,32,0.986,18,42.0,3.6,5,6.885
8.585,35.813,60.315,33.299,54,53.243,57,27,24,361.52,27,30,0.986,16,39.0,3.7,8,6.695
6.0,41.034,69.438,38.562,62,61.556,65,32,27,430.59,30,35,0.993,18,45.0,4.8,6,6.945
8.678,37.574,63.73,34.826,57,56.127,60,28,25,375.55,29,31,0.985,16,40.0,3.5,9,6.589
6.0,31.75,55.192,29.982,49,48.905,51,25,20,340.46,24,27,0.998,12,34.0,6.1,5,6.948
6.0,35.597,57.69,33.058,52,51.032,55,27,25,355.51,25,30,0.981,18,40.0,1.9,4,6.837
6.638,39.165,62.156,36.325,56,55.472,59,30,26,464.43,26,33,0.991,18,43.0,3.6,5,8.293
8.62,38.58,66.228,35.848,59,58.229,62,29,25,390.57,30,32,0.987,16,41.0,3.4,8,6.62
6.0,37.813,62.315,35.299,56,55.243,59,29,26,385.54,27,32,0.986,18,42.0,3.6,5,6.885
6.0,40.029,66.939,37.541,60,59.454,63,31,27,415.57,29,34,0.991,18,44.0,5.0,6,6.926
6.79,30.29,51.484,28.246,46,45.476,48,23,20,309.44,23,25,0.989,12,32.0,4.3,4,6.727
8.432,38.336,66.145,35.353,59,58.01,61,28,25,377.57,31,30,0.983,16,39.0,3.4,10,6.399
6.0,26.472,47.907,25.124,42,42.207,44,21,16,292.39,21,23,1.005,6,27.0,4.8,4,6.962
6.0,40.029,66.939,37.541,60,59.454,63,31,27,415.57,29,34,0.991,18,44.0,5.0,6,6.926
6.0,32.506,56.109,30.487,50,49.687,52,25,21,339.47,25,27,0.994,12,34.0,6.0,5,6.789
7.658,36.819,62.813,34.321,56,55.345,59,28,24,376.54,28,31,0.988,16,40.0,3.6,7,6.724
6.796,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,3,6.301
6.0,28.296,50.983,26.267,45,44.578,47,21,17,288.43,24,23,0.991,6,27.0,4.4,3,6.41
6.0,41.79,70.355,39.068,63,62.338,66,32,28,429.6,31,35,0.989,18,45.0,4.8,7,6.819
9.886,39.341,68.643,36.374,61,60.112,64,29,25,392.59,32,32,0.985,12,39.0,3.3,9,6.436
9.222,29.296,51.983,27.267,46,45.578,49,22,18,300.44,24,25,0.991,6,29.0,4.3,5,6.531
8.89,32.052,54.9,29.773,49,48.36,51,24,21,323.47,25,26,0.987,12,33.0,4.1,5,6.601
8.862,30.29,51.484,28.246,46,45.476,48,23,20,309.44,23,25,0.989,12,32.0,4.3,4,6.727
8.21,28.529,48.069,26.719,43,42.592,45,22,19,295.41,21,24,0.991,12,31.0,4.7,3,6.87
9.456,24.773,44.152,23.214,39,38.811,41,19,15,260.37,20,21,0.995,6,25.0,5.1,4,6.676
10.301,39.341,68.643,36.374,61,60.112,64,29,25,392.59,32,32,0.985,12,39.0,3.3,10,6.436
8.31,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,6,6.301
6.0,27.233,50.322,25.651,44,44.091,45,21,16,294.41,23,22,1.002,6,26.0,4.5,4,6.691
8.456,29.302,53.481,27.289,47,46.68,49,22,17,303.45,25,24,0.993,6,28.0,4.3,6,6.456
6.0,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,4,6.301
9.018,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,5,6.533
6.0,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,3,6.301
9.027,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,7,6.301
7.928,27.54,50.066,25.762,44,43.796,46,21,16,289.42,23,23,0.995,6,27.0,4.5,4,6.578
8.509,27.54,50.066,25.762,44,43.796,46,21,16,289.42,23,23,0.995,6,27.0,4.5,5,6.578
6.807,29.296,51.983,27.267,46,45.578,49,22,18,300.44,24,25,0.991,6,29.0,4.3,3,6.531
6.936,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,3,6.301
6.0,23.711,43.492,22.597,38,38.323,39,19,14,266.35,19,20,1.009,6,24.0,5.3,3,7.009
8.886,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,5,6.301
6.0,29.534,50.567,27.74,45,44.694,48,23,19,310.43,22,26,0.993,11,32.5,4.4,3,6.898
6.0,31.063,56.896,28.815,50,49.563,52,23,18,317.48,27,25,0.991,6,29.0,4.0,3,6.35
5.0,34.057,58.398,31.794,52,51.461,54,26,22,350.5,26,28,0.99,16,37.0,3.8,6,6.74
6.0,29.54,52.066,27.762,46,45.796,48,23,18,313.44,23,25,0.996,11,31.5,4.3,3,6.814
7.352,29.296,51.983,27.267,46,45.578,49,22,18,300.44,24,25,0.991,6,29.0,4.3,3,6.531
6.0,29.302,53.481,27.289,47,46.68,49,22,17,303.45,25,24,0.993,6,28.0,4.3,3,6.456
6.036,24.824,37.571,23.698,34,33.723,37,21,18,271.34,13,24,0.992,22,35.0,0.0,2,7.981
6.23,32.819,58.813,30.321,52,51.345,54,24,20,328.5,28,26,0.987,10,32.0,3.8,6,6.317
6.33,32.057,56.398,29.794,50,49.461,53,24,20,326.48,26,27,0.989,10,33.0,4.0,5,6.53
8.951,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,4,6.676
5.0,30.296,52.983,28.267,47,46.578,50,23,19,312.45,24,26,0.991,10,32.0,4.3,4,6.648
7.238,28.534,49.567,26.74,44,43.694,47,22,18,298.42,22,25,0.993,10,31.0,4.5,5,6.782
7.182,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,5,6.661
7.975,31.057,55.398,28.794,49,48.461,51,23,19,314.47,26,25,0.989,10,31.0,4.1,6,6.418
6.936,29.296,51.983,27.267,46,45.578,48,22,18,300.44,24,24,0.991,10,30.0,4.3,6,6.531
8.07,30.057,54.398,27.794,48,47.461,49,22,18,302.46,26,23,0.989,10,29.0,4.2,6,6.301
6.32,33.819,59.813,31.321,53,52.345,56,25,21,340.51,28,28,0.988,10,34.0,3.8,5,6.425
8.086,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,4,6.809
7.939,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,4,6.533
6.21,28.534,49.567,26.74,44,43.694,47,22,18,298.42,22,25,0.993,10,31.0,4.5,4,6.782
6.754,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,4,6.809
6.674,29.296,51.983,27.267,46,45.578,48,22,18,300.44,24,24,0.991,10,30.0,4.3,6,6.531
8.777,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,4,6.843
8.261,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,4,6.676
10.301,36.819,62.813,34.321,56,55.345,59,28,24,376.54,28,31,0.988,16,40.0,3.6,9,6.724
10.301,35.057,59.398,32.794,53,52.461,56,27,23,362.51,26,30,0.99,16,39.0,3.8,8,6.84
10.301,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,6,6.661
10.301,26.773,46.152,25.214,41,40.811,44,21,17,284.39,20,24,0.995,10,30.0,4.9,5,6.936
10.301,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,5,6.809
10.301,37.819,63.813,35.321,57,56.345,61,29,25,388.55,28,33,0.989,16,42.0,3.5,9,6.817
6.41,27.074,45.86,25.004,41,40.265,42,20,18,267.4,21,21,0.982,12,28.0,2.4,6,6.522
7.16,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,12,29.0,4.8,6,6.748
7.03,31.29,52.484,29.246,47,46.476,49,24,21,321.45,23,26,0.989,12,34.0,4.3,6,6.839
7.23,28.983,49.279,27.434,44,43.92,45,23,19,311.41,21,24,0.998,12,32.0,6.8,6,7.077
6.638,26.767,44.654,25.192,40,39.709,41,21,18,281.38,19,22,0.993,12,30.0,5.0,5,7.034
6.59,31.29,52.484,29.246,47,46.476,49,24,21,321.45,23,26,0.989,12,34.0,4.3,6,6.839
5.66,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,12,29.0,4.8,6,6.748
6.44,29.29,50.484,27.246,45,44.476,46,22,19,297.43,23,23,0.988,12,30.0,4.4,7,6.61
5.92,24.551,40.029,22.951,36,35.498,37,19,17,251.35,17,20,0.986,12,28.0,2.8,4,6.982
5.44,24.551,40.029,22.951,36,35.498,37,19,17,251.35,17,20,0.986,12,28.0,2.8,4,6.982
6.29,24.551,40.029,22.951,36,35.498,37,19,17,251.35,17,20,0.986,12,28.0,2.8,4,6.982
6.16,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,12,29.0,4.8,6,6.748
5.38,25.313,42.445,23.477,38,37.382,39,19,17,253.37,19,20,0.984,12,27.0,2.6,5,6.668
7.594,66.694,120.048,62.974,106,106.116,109,52,40,718.98,54,55,1.001,20,69.0,7.5,25,6.783
6.28,29.29,50.484,27.246,45,44.476,46,22,19,297.43,23,23,0.988,12,30.0,4.4,7,6.61
7.081,48.444,85.727,45.814,76,76.072,78,38,30,522.7,38,40,1.001,16,51.0,7.9,18,6.878
5.189,47.023,82.474,44.374,73,72.854,76,37,29,504.69,36,40,0.998,20,52.0,5.5,14,6.914
8.022,50.841,89.312,49.233,79,80.163,82,43,31,592.71,36,46,1.015,20,60.0,10.1,16,7.503
7.697,54.364,96.142,52.286,85,85.93,88,45,33,620.77,40,48,1.011,20,62.0,9.4,18,7.303
6.669,57.887,102.972,55.34,91,91.698,94,47,35,648.83,44,50,1.008,20,64.0,8.8,20,7.13
7.223,61.41,109.803,58.394,97,97.465,100,49,37,676.89,48,52,1.005,20,66.0,8.2,22,6.978
8.174,20.029,32.199,18.897,29,28.731,30,16,14,211.28,13,17,0.991,11,24.5,3.4,2,7.286
6.0,18.489,32.907,17.633,29,29.16,29,15,11,206.27,14,15,1.006,6,20.0,6.9,3,7.113
7.721,21.79,35.614,20.424,32,31.614,34,17,15,225.31,15,19,0.988,11,25.5,3.1,2,7.041
9.523,24.006,40.239,22.665,36,35.825,38,19,16,255.34,17,21,0.995,11,27.5,5.6,3,7.093
8.432,24.006,40.239,22.665,36,35.825,38,19,16,255.34,17,21,0.995,11,27.5,5.6,3,7.093
10.222,26.222,44.863,24.907,40,40.036,42,21,17,285.37,19,23,1.001,11,29.5,7.5,4,7.134
7.602,21.034,34.697,19.918,31,30.833,32,17,14,226.3,14,18,0.995,11,25.5,3.2,2,7.3
10.398,22.245,36.824,21.139,33,32.942,34,18,15,241.31,15,19,0.998,11,26.5,6.1,3,7.312
10.0,22.245,36.824,21.139,33,32.942,34,18,15,241.31,15,19,0.998,11,26.5,6.1,3,7.312
8.509,23.25,39.322,22.16,35,35.043,36,19,15,256.33,16,20,1.001,11,27.5,5.7,3,7.324
10.523,24.46,41.448,23.38,37,37.153,38,20,16,271.34,17,21,1.004,11,28.5,8.1,4,7.334
9.699,25.466,43.946,24.402,39,39.254,40,21,16,286.36,18,22,1.007,11,29.5,7.7,4,7.343
7.06,21.46,38.448,20.38,34,34.153,35,17,13,235.31,17,18,1.004,6,22.0,8.8,4,6.921
8.57,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,4,6.843
6.917,33.722,59.734,31.729,53,52.898,54,26,21,357.49,27,27,0.998,12,34.0,7.5,10,6.745
7.418,33.506,57.109,31.487,51,50.687,52,26,22,351.48,25,27,0.994,12,36.0,5.9,7,6.892
7.721,35.029,61.939,32.541,55,54.454,56,26,22,355.52,29,27,0.99,12,34.0,5.5,10,6.464
7.392,33.267,58.524,31.014,52,51.571,53,25,21,341.49,27,26,0.992,12,33.0,5.8,9,6.567
7.485,31.506,55.109,29.487,49,48.687,50,24,20,327.46,25,25,0.994,12,32.0,6.1,8,6.683
8.29,26.125,43.994,24.239,39,39.04,40,20,15,339.26,19,21,1.001,10,27.0,5.1,6,8.699
7.98,24.364,40.579,22.712,36,36.156,37,19,14,325.23,17,20,1.004,10,26.0,5.6,4,9.034
7.85,26.125,43.994,24.239,39,39.04,40,20,15,339.26,19,21,1.001,10,27.0,5.1,5,8.699
4.89,28.773,48.152,27.214,43,42.811,45,23,19,308.41,20,25,0.996,16,34.0,4.7,5,7.172
7.8,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,5,6.533
6.21,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
8.45,22.603,37.163,21.185,33,33.273,34,18,13,311.2,15,19,1.008,10,25.0,6.1,4,9.43
8.38,24.364,40.579,22.712,36,36.156,37,19,14,325.23,17,20,1.004,10,26.0,5.6,5,9.034
5.9,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,5,7.01
5.23,32.296,54.983,30.267,49,48.578,51,25,21,336.47,24,27,0.991,16,36.0,4.1,6,6.867
8.38,26.773,46.152,25.214,41,40.811,42,21,17,284.39,20,22,0.995,12,29.0,4.9,6,6.936
7.77,25.909,41.369,23.997,37,36.829,38,20,16,333.25,17,21,0.995,12,28.0,2.7,5,9.007
9.08,22.773,42.152,21.214,37,36.811,37,17,13,236.35,20,17,0.995,6,21.0,5.4,6,6.388
5.89,28.534,49.567,26.74,44,43.694,45,22,18,298.42,22,23,0.993,12,30.0,4.5,6,6.782
6.88,31.534,52.567,29.74,47,46.694,49,25,21,334.45,22,27,0.993,17,36.5,4.3,6,7.116
9.09,21.012,38.737,19.687,34,33.927,34,16,12,222.32,18,16,0.998,6,20.0,5.9,5,6.539
6.9,24.557,41.528,22.972,37,36.6,38,19,16,254.36,18,20,0.989,12,27.0,2.7,5,6.875
6.49,31.296,53.983,29.267,48,47.578,50,24,20,324.46,24,26,0.991,12,33.0,4.2,7,6.76
6.72,25.319,43.943,23.499,39,38.483,41,19,16,256.38,20,21,0.987,10,27.0,2.6,4,6.574
6.94,28.08,48.358,26.026,43,42.367,46,21,18,282.42,22,24,0.985,10,30.0,2.3,5,6.568
6.43,29.841,51.773,27.552,46,45.251,49,22,19,296.45,24,25,0.984,10,31.0,2.2,5,6.445
5.58,31.603,55.188,29.079,49,48.134,52,23,20,310.48,26,26,0.982,10,32.0,2.0,3,6.336
5.23,35.126,62.019,32.133,55,53.901,58,25,22,338.54,30,28,0.98,10,34.0,1.8,5,6.155
7.12,27.08,47.358,25.026,42,41.367,44,20,17,270.41,22,22,0.985,10,28.0,2.4,5,6.438
7.38,28.841,50.773,26.552,45,44.251,47,21,18,284.44,24,23,0.983,10,29.0,2.2,6,6.321
7.879,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,6,6.533
8.959,28.534,49.567,26.74,44,43.694,45,22,18,298.42,22,23,0.993,12,30.0,4.5,6,6.782
6.523,24.46,41.448,23.38,37,37.153,38,20,16,271.34,17,21,1.004,12,28.0,8.1,5,7.334
7.076,23.25,39.322,22.16,35,35.043,36,19,15,256.33,16,20,1.001,12,27.0,5.7,4,7.324
6.69,29.319,47.943,27.499,43,42.483,46,23,20,304.42,20,26,0.988,16,35.0,2.3,4,7.08
6.6,35.603,59.188,33.079,53,52.134,57,27,24,358.52,26,31,0.984,16,40.0,1.9,4,6.765
6.62,31.08,51.358,29.026,46,45.367,49,24,21,318.45,22,27,0.986,16,36.0,2.2,3,6.923
6.55,28.415,44.472,26.8,40,39.923,43,23,19,324.83,17,26,0.998,16,35.0,2.5,3,8.121
10.301,50.535,86.308,47.384,77,76.418,80,39,33,526.73,38,42,0.992,22,55.0,5.2,14,6.841
6.83,31.08,51.358,29.026,46,45.367,49,24,21,318.45,22,27,0.986,16,36.0,2.2,4,6.923
8.36,31.534,52.567,29.74,47,46.694,50,25,21,334.45,22,28,0.993,16,37.0,4.3,5,7.116
9.6,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,3,6.907
7.18,36.819,62.813,34.321,56,55.345,59,28,24,376.54,28,31,0.988,16,40.0,3.6,6,6.724
6.541,31.938,51.302,29.853,46,45.691,49,25,21,352.89,21,28,0.993,16,37.0,2.2,3,7.672
6.0,29.296,51.983,27.267,46,45.578,49,22,18,300.44,24,25,0.991,6,29.0,4.3,3,6.531
8.14,31.534,52.567,29.74,47,46.694,50,25,21,334.45,22,28,0.993,16,37.0,4.3,4,7.116
7.74,31.534,52.567,29.74,47,46.694,50,25,21,334.45,22,28,0.993,16,37.0,4.3,5,7.116
6.29,35.057,59.398,32.794,53,52.461,56,27,23,362.51,26,30,0.99,16,39.0,3.8,5,6.84
6.0,31.057,55.398,28.794,49,48.461,52,23,19,314.47,26,26,0.989,6,30.0,4.1,3,6.418
6.561,33.296,55.983,31.267,50,49.578,53,26,22,348.48,24,29,0.992,16,38.0,4.0,4,6.97
6.57,36.819,62.813,34.321,56,55.345,59,28,24,376.54,28,31,0.988,16,40.0,3.6,6,6.724
6.36,36.057,60.398,33.794,54,53.461,58,28,24,374.52,26,32,0.99,16,41.0,3.7,5,6.936
9.658,28.296,50.983,26.267,45,44.578,47,21,17,288.43,24,23,0.991,6,27.0,4.4,6,6.41
6.0,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,2,6.533
6.0,31.819,57.813,29.321,51,50.345,53,23,19,316.49,28,25,0.987,6,29.0,3.9,5,6.206
8.292,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,4,6.533
9.745,29.296,51.983,27.267,46,45.578,49,22,18,300.44,24,25,0.991,6,29.0,4.3,6,6.531
8.38,30.296,52.983,28.267,47,46.578,48,23,19,312.45,24,24,0.991,12,31.0,4.3,8,6.648
6.699,29.302,53.481,27.289,47,46.68,49,22,17,303.45,25,24,0.993,6,28.0,4.3,3,6.456
6.0,29.302,53.481,27.289,47,46.68,49,22,17,303.45,25,24,0.993,6,28.0,4.3,3,6.456
6.98,28.074,46.86,26.004,42,41.265,44,21,19,279.41,21,23,0.983,12,30.0,2.4,3,6.653
6.16,28.319,46.943,26.499,42,41.483,44,22,19,292.41,20,24,0.988,16,33.0,2.4,5,6.962
5.4,23.557,40.528,21.972,36,35.6,38,18,15,242.35,18,20,0.989,10,26.0,2.8,4,6.732
6.65,28.773,48.152,27.214,43,42.811,45,23,19,308.41,20,25,0.996,16,34.0,4.7,5,7.172
9.77,28.222,46.863,26.907,42,42.036,44,23,19,309.39,19,25,1.001,16,34.0,7.1,5,7.366
4.0,31.813,56.315,29.299,50,49.243,51,23,20,313.48,27,24,0.985,11,30.5,4.0,9,6.27
10.492,23.909,37.042,21.477,33,33.113,34,18,13,358.2,15,19,1.003,10,25.0,6.1,4,10.855
10.004,26.983,47.279,25.434,42,41.92,43,21,17,287.39,21,22,0.998,11,28.5,7.1,6,6.843
7.069,21.767,39.654,20.192,35,34.709,35,16,13,221.33,19,16,0.992,6,20.0,5.7,6,6.324
