pXC50,SssNH,O.057,C.019,SsOH,SdssC,NsOH,P_VSA_MR_2,SsssCH,NdssC,MAXDN,nCconj,ATSC7s,P_VSA_m_3,MAXDP,DELS,ATS5m,P_VSA_e_5,P_VSA_LogP_4,ATSC7e,ATS6s,ATSC5e,nROH,ATSC1s,ATSC6e,JGI4,ATS6m,C.017,nR.Ct,ATSC6s,ATSC8e,PCR,GGI7,ATS5s,nArCO,SpMax4_Bh.s.,ATSC5s,ATS7s,C.008,ATS7m,Eig02_EA.ri.,GGI3,SaasC,Psi_e_A,Psi_i_A,NssNH,JGI7,GGI6,TIE,nR.Cs,SpMax1_Bh.s.,MATS5s,PCD,N.,SAacc,nRCONR2,SpMax3_Bh.s.,GGI5,CATS2D_03_DA,GGI4,CATS2D_02_DA,C.039,ATS8s,O.,nHAcc,CATS2D_06_AL,CATS2D_03_DL,P_VSA_i_4
4.4,0.0,1,1,10.747,-2.024,1,112.215,-0.897,4,2.402,4,109.983,112.215,6.462,45.28,4.373,112.215,122.408,0.935,6.318,0.855,1,13.823,0.879,0.051,4.455,1,1,87.681,0.788,1.41,0.868,6.27,1,5.215,83.946,6.187,1,4.453,3.019,3.375,2.197,7.965,2.465,0,0.017,1.05,68.344,1,7.435,0.191,3.254,4.3,134.936,1,6.459,1.605,2,2.759,0,1,6.0,10.9,7,17,0,22.721
5.436,5.847,0,0,0.0,-0.339,0,61.29,0.0,2,1.882,1,50.656,61.29,5.745,29.211,4.043,61.29,59.699,0.442,6.145,0.475,0,8.545,0.64,0.03,3.993,0,0,101.272,0.283,1.402,0.316,6.162,0,4.762,75.607,5.888,0,3.944,2.729,1.688,3.991,7.711,2.211,2,0.008,0.749,63.793,0,7.432,-0.067,3.153,6.3,103.56,0,4.874,1.125,1,1.338,2,0,5.908,4.7,7,7,5,42.27
4.899,0.0,0,0,0.0,-0.565,0,138.542,0.0,1,4.589,1,74.494,102.458,6.211,49.177,4.295,102.458,87.649,0.768,6.403,0.693,0,15.506,1.261,0.033,4.258,0,0,156.841,0.837,1.279,0.651,6.26,0,4.861,99.12,6.105,0,4.203,2.977,2.438,2.856,7.821,2.321,0,0.014,0.891,84.725,0,7.715,-0.121,2.125,3.0,107.1,0,6.999,1.285,0,1.636,0,0,6.204,9.1,8,5,0,4.643
4.4,2.828,0,0,0.0,-0.357,0,34.652,0.0,1,2.024,1,60.167,49.612,5.52,29.422,3.648,34.652,47.565,0.447,5.52,0.465,0,6.541,0.437,0.048,3.562,0,0,56.472,0.205,1.531,0.287,5.684,0,4.961,50.352,5.49,0,3.519,2.796,2.556,2.1,7.938,2.438,1,0.012,0.547,40.604,0,8.201,-0.055,3.951,5.4,84.409,0,5.077,0.723,1,1.547,1,0,5.08,5.4,5,3,2,49.756
5.846,2.786,0,0,0.0,-0.298,0,36.145,0.0,1,1.964,0,34.249,47.145,5.166,31.491,3.925,47.145,74.175,0.41,5.766,0.614,0,10.132,0.621,0.029,3.856,0,0,62.014,0.308,1.416,0.411,5.862,0,4.699,58.405,5.429,0,3.689,2.607,1.5,4.413,7.808,2.308,1,0.014,0.624,52.507,0,7.429,-0.037,3.214,7.8,101.606,0,5.034,0.875,1,1.129,1,0,5.54,5.9,7,9,2,54.461
5.452,2.794,0,0,0.0,-0.173,0,72.29,0.0,2,1.827,1,31.282,72.29,5.129,31.623,3.818,72.29,93.454,0.339,5.606,0.503,0,9.8,0.51,0.037,3.797,0,0,51.311,0.296,1.434,0.333,5.757,1,4.942,57.467,5.352,0,3.646,2.824,1.257,4.899,7.891,2.391,1,0.013,0.473,48.934,0,7.43,-0.006,3.325,6.5,123.626,0,5.067,0.837,0,1.293,1,1,5.459,8.7,7,4,3,51.337
5.001,2.693,0,0,0.0,-0.432,0,70.025,0.0,1,5.797,1,85.245,70.025,5.4,47.012,4.091,25.145,86.963,0.624,5.673,0.912,0,34.701,0.697,0.043,3.747,0,0,71.709,0.661,1.441,0.424,5.979,0,7.429,105.188,5.616,0,3.658,2.838,1.681,-0.276,8.437,2.937,1,0.015,0.5,62.259,0,8.513,0.098,3.123,10.5,121.607,0,7.999,1.028,2,1.574,1,0,5.722,2.6,7,5,2,98.361
5.354,2.853,0,0,0.0,-0.317,0,69.458,0.0,1,4.683,1,77.041,69.458,6.035,42.452,4.125,69.458,119.505,0.565,5.928,0.541,0,23.284,0.52,0.042,4.105,0,0,68.641,0.46,1.548,0.408,5.988,0,5.056,73.657,5.9,0,3.971,3.001,1.75,2.853,8.049,2.549,1,0.011,0.648,65.994,0,7.726,-0.042,4.264,8.3,152.331,0,6.999,1.465,0,1.871,3,0,5.757,6.3,7,7,6,82.873
5.301,0.0,0,2,0.0,0.713,0,25.145,0.0,3,1.893,4,33.75,36.145,5.844,25.204,3.976,36.145,68.462,0.351,5.569,0.482,0,5.333,0.368,0.044,3.911,0,0,40.554,0.454,1.392,0.389,5.648,0,4.709,50.865,5.483,0,3.775,2.567,1.75,2.655,7.849,2.349,0,0.013,0.426,45.444,2,7.428,-0.282,2.728,5.1,55.81,0,4.87,0.854,0,1.489,0,0,5.541,5.1,4,10,0,19.665
4.996,0.0,0,0,0.0,0.001,0,36.145,0.0,1,1.665,0,34.586,36.145,5.223,20.874,3.67,36.145,86.963,0.3,5.339,0.565,0,5.279,0.366,0.027,3.514,0,0,32.007,0.312,1.282,0.193,5.558,0,4.334,51.983,5.288,0,3.499,2.508,0.813,2.388,7.736,2.236,0,0.01,0.424,33.635,0,7.427,-0.105,1.91,10.0,75.965,1,4.848,0.66,0,0.676,0,0,5.221,5.0,6,4,0,39.82
5.176,2.981,0,0,0.0,-0.077,0,84.0,0.0,1,1.744,1,28.163,36.145,5.695,20.87,4.103,36.145,57.635,0.192,5.674,0.282,0,4.985,0.353,0.041,4.087,0,0,44.704,0.283,1.442,0.396,5.695,0,4.598,40.286,5.518,0,4.027,2.556,1.347,3.54,7.67,2.17,1,0.014,0.466,41.613,0,7.429,0.048,3.126,4.5,70.941,0,4.643,0.813,0,1.437,1,0,5.465,4.5,4,4,2,34.796
4.599,0.0,0,0,0.0,0.0,0,35.313,0.0,0,0.96,0,10.552,0.0,1.28,7.849,3.497,0.0,46.472,0.125,4.849,0.174,0,5.515,0.142,0.033,3.405,0,0,12.147,0.083,1.297,0.09,5.094,0,4.009,17.815,4.654,0,2.744,2.598,1.514,6.004,7.435,1.935,0,0.013,0.283,17.578,0,5.096,-0.318,1.914,9.4,33.326,0,4.057,0.389,0,0.752,0,0,4.291,0.0,2,4,0,35.225
5.792,2.877,0,0,0.0,-0.243,0,56.652,0.0,1,1.91,1,38.101,56.652,5.603,29.655,3.757,56.652,91.983,0.388,5.587,0.513,0,7.798,0.432,0.042,3.693,0,0,39.055,0.352,1.505,0.36,5.658,0,4.853,46.055,5.524,0,3.613,2.897,1.479,3.611,7.786,2.286,1,0.012,0.412,38.181,0,7.429,-0.005,4.087,7.0,108.234,0,4.938,0.775,0,1.565,1,0,5.336,9.3,7,3,3,51.582
5.414,8.786,0,0,0.0,0.002,0,109.145,0.403,2,1.74,0,36.491,50.29,5.053,21.16,3.451,50.29,54.995,0.239,5.642,0.32,0,7.717,0.369,0.046,3.263,0,0,60.974,0.264,1.188,0.209,5.765,0,4.41,56.181,5.347,2,3.128,2.796,1.979,3.125,7.761,2.261,3,0.013,0.278,52.397,0,7.432,-0.043,1.193,6.0,104.322,0,4.747,0.42,0,1.138,3,0,5.31,4.0,5,3,8,54.032
5.462,2.785,0,0,0.0,-0.363,0,116.542,0.0,1,4.456,1,39.038,69.458,5.636,34.415,3.822,69.458,74.163,0.273,5.938,0.48,0,15.741,0.682,0.041,3.786,0,0,105.378,0.328,1.297,0.299,5.808,0,4.779,82.745,5.444,0,3.619,2.784,1.965,2.076,7.923,2.423,1,0.013,0.506,58.949,0,7.715,-0.243,2.054,6.5,88.987,0,6.999,0.75,1,1.451,1,0,5.498,6.5,5,2,2,36.315
5.13,2.851,0,0,0.0,0.083,0,50.29,0.0,3,1.973,4,46.391,50.29,5.36,25.48,3.935,50.29,62.456,0.36,5.633,0.468,0,5.927,0.344,0.048,3.812,0,0,48.838,0.309,1.346,0.312,5.833,0,4.736,68.076,5.601,0,3.927,2.852,1.715,4.717,7.857,2.357,1,0.012,0.607,47.562,2,7.433,0.214,2.388,7.3,87.965,0,4.812,0.694,1,1.588,1,1,5.437,4.9,5,9,3,37.676
4.4,0.0,1,0,8.582,-0.813,1,77.336,0.0,1,2.48,0,20.423,77.336,3.44,17.443,3.299,77.336,68.738,0.14,4.929,0.346,1,9.561,0.205,0.045,3.423,0,0,22.401,0.106,1.358,0.178,5.12,0,4.673,30.494,4.585,0,3.181,2.421,0.597,3.455,8.005,2.505,0,0.02,0.238,26.451,0,7.474,0.231,2.129,0.0,77.336,0,5.062,0.452,0,0.757,1,0,4.579,10.7,3,2,1,0.0
5.786,0.0,1,0,9.386,-0.972,1,67.828,0.0,1,2.638,1,45.068,67.828,4.451,21.952,3.964,67.828,125.851,0.34,5.449,0.306,1,8.772,0.283,0.049,3.903,0,0,27.027,0.175,1.506,0.181,5.518,0,4.83,38.998,5.249,0,3.241,2.677,1.125,2.448,7.971,2.471,0,0.013,0.364,30.368,0,7.475,0.021,3.407,6.9,101.399,0,5.005,0.938,0,1.409,1,0,4.654,6.9,4,5,2,33.571
5.524,2.993,0,0,0.0,-0.136,0,25.145,0.0,1,1.803,1,35.081,25.145,6.006,20.692,4.211,25.145,75.069,0.177,5.821,0.237,0,6.044,0.346,0.046,4.234,0,0,45.759,0.212,1.512,0.402,5.774,0,4.705,35.144,5.69,0,4.018,2.737,1.632,5.409,7.67,2.17,1,0.011,0.66,42.134,0,7.429,0.16,3.871,8.5,76.604,0,4.942,1.187,0,1.805,1,0,5.632,2.1,4,7,2,53.236
4.971,2.852,0,0,0.0,-0.247,0,45.652,0.0,1,1.914,1,21.996,45.652,5.255,21.828,3.676,45.652,51.042,0.198,5.424,0.332,0,5.558,0.367,0.049,3.622,0,0,30.927,0.287,1.513,0.304,5.476,0,4.675,30.331,5.215,0,3.458,2.784,1.326,2.085,7.757,2.257,1,0.014,0.456,32.041,0,7.429,0.155,3.846,5.3,80.448,0,4.821,0.664,1,1.468,1,0,5.132,7.9,5,6,3,34.796
5.691,6.182,0,0,0.0,0.496,0,11.0,0.0,1,1.171,0,24.222,11.0,1.67,11.793,3.482,11.0,16.786,0.169,5.204,0.218,0,6.15,0.207,0.035,3.505,0,0,26.581,0.138,1.345,0.194,5.306,0,4.366,25.942,5.028,0,3.111,2.591,1.813,4.484,7.658,2.158,2,0.013,0.242,24.504,0,4.982,-0.415,2.131,8.1,63.807,0,4.721,0.632,0,0.836,1,0,4.846,2.7,4,2,2,52.807
5.148,2.837,0,0,0.0,-0.393,0,96.603,0.0,2,1.942,3,42.267,61.29,5.646,28.948,3.776,61.29,80.089,0.298,5.706,0.682,0,6.403,0.425,0.049,3.792,0,0,58.224,0.324,1.351,0.357,5.856,0,4.777,83.458,5.413,0,3.527,2.764,2.417,3.385,7.903,2.403,1,0.016,0.523,47.848,0,7.431,-0.21,2.479,7.3,99.21,0,4.874,0.91,1,1.797,1,0,5.353,7.3,6,3,4,37.921
4.4,0.0,1,1,10.92,-2.32,1,134.214,-1.081,4,2.47,4,137.433,134.214,6.686,53.387,4.491,134.214,122.408,1.564,6.546,1.186,1,14.583,1.292,0.045,4.538,1,1,116.537,1.289,1.408,0.938,6.447,1,5.215,104.741,6.539,1,4.471,3.031,3.813,1.69,7.98,2.48,0,0.014,1.468,81.435,1,7.435,0.089,3.324,3.7,156.935,1,6.459,1.977,2,2.951,0,1,6.368,13.0,9,12,0,22.721
4.4,0.0,1,1,10.771,-1.986,1,102.481,-0.921,4,2.322,4,201.513,128.441,6.481,55.276,4.303,113.48,113.811,1.234,6.381,1.067,1,16.843,0.953,0.045,4.367,1,1,114.273,1.153,1.365,0.82,6.356,1,6.459,121.081,6.542,1,4.347,3.006,3.215,-0.064,7.995,2.495,0,0.014,1.132,83.052,1,8.201,0.08,2.926,3.6,134.689,1,7.422,1.417,2,2.386,0,1,6.332,8.9,8,10,0,21.209
4.4,2.167,0,0,0.0,-0.886,0,79.759,0.0,1,5.931,1,193.474,94.72,6.107,58.887,4.058,34.879,83.702,1.222,5.952,0.993,0,61.177,1.076,0.044,4.094,0,0,149.861,0.74,1.422,0.452,5.893,0,7.999,110.429,6.076,0,3.819,2.709,2.813,-2.843,8.738,3.238,1,0.017,0.5,78.784,0,8.513,-0.117,2.993,12.1,165.653,0,7.999,1.251,1,1.838,2,0,5.461,6.1,10,8,0,130.774
6.75,0.0,0,0,0.0,0.0,0,0.0,0.0,0,1.949,0,29.801,14.96,5.233,22.942,3.811,0.0,62.128,0.174,5.664,0.178,0,8.495,0.217,0.045,3.808,0,0,31.482,0.196,1.563,0.434,5.599,0,4.722,29.127,5.598,0,3.662,2.74,1.563,4.707,7.82,2.32,0,0.014,0.563,35.731,0,8.201,0.019,4.197,10.0,98.214,0,4.881,1.125,0,1.702,1,0,5.539,0.0,5,9,1,98.214
4.4,0.0,1,1,10.67,-1.841,1,111.988,-0.822,4,2.32,4,84.008,111.988,6.37,44.242,4.257,111.988,143.139,0.815,6.351,0.779,1,12.463,0.95,0.045,4.272,1,1,113.445,0.631,1.411,0.648,6.24,1,5.112,85.664,6.149,1,4.1,3.007,3.063,1.183,7.961,2.461,0,0.014,0.842,63.631,1,7.435,0.16,3.219,4.3,131.898,1,6.459,1.469,2,2.238,0,1,5.939,10.9,7,9,0,19.91
4.4,2.811,0,0,0.0,-0.191,0,116.542,0.0,1,4.381,0,47.353,69.458,5.637,42.598,4.142,69.458,121.833,0.313,5.884,0.623,0,16.863,0.412,0.042,4.059,0,0,51.143,0.447,1.508,0.589,6.138,0,5.082,97.868,5.704,0,3.97,3.011,2.569,5.57,7.803,2.303,1,0.017,0.671,74.734,0,7.715,-0.162,4.269,7.9,122.558,0,6.999,1.136,0,2.139,2,0,5.893,4.8,7,4,6,69.886
4.482,0.0,0,0,0.0,0.0,0,0.0,0.0,0,1.405,0,39.879,0.0,3.11,15.3,3.252,0.0,33.387,0.159,5.185,0.104,0,8.932,0.119,0.052,3.117,0,0,28.98,0.165,1.425,0.224,5.271,0,4.563,30.126,4.884,0,2.807,2.425,1.375,3.796,7.948,2.448,0,0.032,0.302,25.097,0,6.82,-0.196,2.537,11.1,80.742,0,4.937,0.618,0,1.187,1,0,4.394,0.0,3,5,1,80.742
4.4,5.693,0,0,0.0,-0.394,0,108.374,0.391,2,1.938,2,40.78,61.29,5.567,28.021,4.179,61.29,59.699,0.263,5.776,0.378,0,7.378,0.396,0.043,3.901,0,0,65.96,0.358,1.343,0.311,5.864,0,4.715,56.741,5.593,0,3.941,2.819,1.563,2.931,7.856,2.356,2,0.012,0.508,64.8,0,7.431,-0.035,2.316,4.1,97.311,0,4.828,0.958,0,1.516,2,0,5.593,6.1,5,4,7,36.022
5.579,0.0,0,0,0.0,0.212,0,72.229,0.0,1,1.455,0,12.32,25.145,5.084,15.132,3.521,25.145,63.176,0.1,5.102,0.287,0,5.186,0.231,0.024,3.471,0,0,29.638,0.106,1.295,0.069,5.372,0,4.272,40.371,4.797,0,3.245,2.646,0.59,2.806,7.611,2.111,0,0.004,0.247,30.492,0,7.427,-0.017,1.927,7.9,61.595,1,4.61,0.584,0,0.543,0,0,4.804,2.6,4,2,0,36.45
6.857,5.305,0,0,10.409,-0.51,1,84.832,-0.222,2,2.382,0,45.511,103.973,4.409,27.89,3.222,103.973,57.481,0.379,5.125,0.535,1,14.673,0.417,0.036,2.99,0,0,53.681,0.502,1.034,0.228,5.358,0,4.503,67.57,5.092,2,3.109,2.288,1.833,0.0,8.116,2.616,2,0.019,0.234,44.972,0,7.434,-0.089,0.208,5.6,139.995,0,6.447,0.334,0,0.61,2,0,5.297,11.1,6,1,5,36.022
5.976,8.736,0,0,0.0,0.061,0,132.688,0.422,2,1.736,0,41.619,50.29,4.77,20.734,3.309,50.29,54.995,0.258,5.463,0.351,0,7.226,0.255,0.021,3.274,0,0,37.954,0.287,1.165,0.169,5.613,0,4.411,52.413,5.444,2,3.225,2.527,1.354,1.245,7.746,2.246,3,0.009,0.238,50.985,0,7.432,-0.116,1.034,6.0,104.322,0,4.753,0.393,0,0.436,3,0,5.396,4.0,5,4,5,54.032
4.4,0.0,1,1,10.85,-1.456,1,102.481,-0.681,4,2.201,4,94.059,113.48,6.557,43.897,4.272,113.48,113.811,0.668,6.327,0.803,1,11.035,0.729,0.047,4.319,1,1,96.798,0.654,1.364,0.947,6.309,1,5.109,104.245,6.278,1,4.28,3.006,3.09,1.957,7.813,2.313,0,0.017,1.042,73.374,1,7.435,0.175,2.918,3.4,119.729,1,6.459,1.473,2,2.466,0,1,6.278,8.5,7,13,0,6.249
6.065,2.869,0,0,0.0,-0.187,0,36.145,0.0,1,1.853,1,19.392,36.145,5.363,20.685,3.688,36.145,64.35,0.202,5.272,0.23,0,4.967,0.326,0.041,3.558,0,0,26.008,0.289,1.522,0.334,5.357,0,4.671,24.93,5.194,0,3.505,2.821,1.889,2.891,7.736,2.236,1,0.015,0.425,31.684,0,7.429,-0.079,3.93,8.1,87.727,0,4.852,0.758,0,1.312,2,0,5.159,5.4,5,4,2,51.582
4.4,0.0,1,0,9.322,-0.988,1,77.336,0.0,1,2.654,1,32.385,77.336,4.374,22.932,3.933,77.336,85.524,0.317,5.479,0.354,1,10.896,0.507,0.052,3.877,0,0,43.177,0.233,1.477,0.188,5.484,0,4.881,39.59,5.022,0,3.084,2.703,0.965,2.081,8.022,2.522,0,0.017,0.348,28.54,0,7.475,-0.021,3.15,3.7,94.121,0,5.124,0.819,0,1.468,1,0,4.337,11.1,4,5,2,16.786
4.4,0.0,1,1,10.734,-1.61,1,172.336,-0.747,4,2.242,4,104.828,113.48,6.283,44.353,4.281,113.48,151.758,0.935,6.353,0.73,1,12.392,0.86,0.042,4.295,1,1,112.804,0.904,1.294,0.844,6.304,1,5.022,100.181,6.326,1,4.261,2.841,3.181,1.971,7.896,2.396,0,0.016,0.963,78.596,1,7.435,0.087,2.224,5.3,133.39,1,6.459,1.362,2,2.177,0,1,6.241,8.8,7,9,0,21.809
5.052,2.678,0,0,0.0,-0.347,0,115.771,0.0,1,4.397,0,45.544,80.458,5.205,35.715,4.0,80.458,74.163,0.386,5.59,0.644,0,17.417,0.415,0.043,3.983,0,0,57.623,0.37,1.31,0.321,5.945,0,4.859,112.748,5.478,0,3.649,2.609,1.375,2.326,8.063,2.563,1,0.015,0.487,64.937,0,7.714,0.219,1.991,2.4,98.469,0,6.999,0.757,0,1.204,1,0,5.42,9.5,5,4,2,18.011
5.123,0.0,0,0,0.0,0.847,0,83.229,0.0,2,1.914,3,30.304,36.145,4.646,14.044,3.408,36.145,32.336,0.246,5.282,0.289,0,3.846,0.153,0.052,3.299,1,1,20.292,0.23,1.245,0.161,5.409,0,4.246,31.736,5.315,0,3.126,2.398,1.125,2.969,7.596,2.096,0,0.01,0.385,24.648,1,7.434,0.023,1.624,2.6,39.269,0,4.346,0.438,0,1.249,0,0,5.106,5.3,3,3,0,3.124
5.504,3.138,1,0,9.269,0.0,1,42.683,0.0,0,1.613,1,7.166,42.683,3.269,12.405,2.947,42.683,80.287,0.071,4.29,0.202,0,7.003,0.105,0.042,2.606,0,0,9.823,0.067,1.418,0.047,4.746,0,4.332,21.661,3.892,0,1.735,2.502,1.042,3.327,7.811,2.311,1,0.016,0.176,14.594,0,6.475,-0.062,2.666,13.6,94.265,0,4.58,0.219,1,0.722,2,0,3.455,4.5,4,1,3,51.582
4.856,2.78,0,0,0.0,-0.312,0,80.458,0.0,1,4.421,0,57.072,80.458,5.291,34.87,3.74,80.458,74.163,0.314,5.739,0.622,0,16.108,0.488,0.044,3.616,0,0,74.724,0.396,1.32,0.321,6.025,0,4.85,117.597,5.597,0,3.568,2.813,1.5,2.517,8.031,2.531,1,0.015,0.447,65.752,0,7.714,0.21,2.06,2.2,98.469,0,6.999,0.847,0,1.324,1,0,5.606,8.9,5,4,3,18.011
4.4,0.0,1,1,10.809,-2.875,1,148.359,-1.038,5,2.477,5,133.34,148.359,6.551,56.583,4.375,148.359,154.744,1.167,6.378,1.027,1,17.878,0.973,0.047,4.353,1,1,103.922,0.784,1.41,0.868,6.379,1,6.459,104.075,6.295,1,4.257,3.02,3.625,1.301,8.083,2.583,0,0.016,1.09,84.397,1,7.437,0.082,3.334,3.8,171.08,1,7.422,1.758,2,2.839,0,1,6.126,13.5,9,16,0,22.721
4.4,0.0,1,1,10.755,-1.585,1,196.649,-0.763,4,2.223,4,88.036,102.481,6.45,42.616,4.256,102.481,131.368,0.597,6.337,0.781,1,10.647,0.743,0.044,4.25,1,1,104.359,0.502,1.386,0.844,6.355,1,5.11,120.156,6.207,1,4.177,3.002,3.34,0.624,7.833,2.333,0,0.017,0.816,79.763,1,7.435,0.224,2.993,5.1,125.515,1,6.459,1.327,2,2.283,0,1,6.172,6.8,7,12,0,23.034
4.834,3.153,0,0,0.0,-0.759,0,85.603,0.0,2,2.063,1,62.79,50.29,5.624,29.339,3.85,50.29,89.791,0.55,5.788,0.489,0,6.724,0.52,0.059,3.807,0,0,54.699,0.482,1.304,0.51,5.705,0,4.862,33.327,5.783,0,3.736,2.645,2.292,2.951,7.928,2.428,1,0.018,0.695,47.298,0,7.444,-0.012,2.162,11.9,91.335,0,4.956,1.133,0,2.259,2,0,5.711,4.8,6,10,0,42.944
5.931,2.821,0,0,0.0,-0.209,0,25.145,0.0,1,1.949,1,36.324,40.105,5.583,27.677,3.835,25.145,63.421,0.326,5.521,0.448,0,6.175,0.313,0.047,3.814,0,0,34.913,0.19,1.496,0.449,5.662,0,4.88,49.833,5.453,0,3.68,2.767,2.236,4.035,7.897,2.397,1,0.017,0.642,41.894,0,8.201,-0.086,3.752,9.8,91.687,0,5.023,0.886,0,1.589,2,0,5.327,2.4,5,4,2,67.828
5.222,2.854,0,0,0.0,-0.928,0,98.977,0.0,3,2.198,3,86.204,75.435,5.737,35.933,4.067,75.435,89.978,0.487,6.042,0.434,0,11.323,0.524,0.036,4.073,0,0,96.051,0.335,1.372,0.534,6.0,1,4.897,71.322,6.012,0,4.024,2.889,2.667,5.076,7.887,2.387,1,0.013,0.855,66.507,0,7.439,-0.13,2.929,5.6,129.467,0,7.426,1.23,0,1.677,2,1,5.855,5.6,6,2,4,54.032
4.4,0.0,1,1,10.734,-2.057,1,114.973,-0.976,4,2.382,4,191.965,129.933,6.47,55.913,4.302,114.973,143.139,1.317,6.4,0.85,1,19.405,0.962,0.045,4.366,1,1,128.078,1.009,1.33,0.699,6.307,1,6.459,106.818,6.55,1,4.312,2.878,3.056,1.671,8.094,2.594,0,0.012,1.09,78.446,1,8.201,0.043,2.627,4.1,149.843,1,7.422,1.657,2,2.407,0,1,6.216,10.2,8,10,0,34.87
6.0,0.0,1,0,9.585,-0.958,1,67.828,0.0,1,2.624,1,57.513,67.828,4.693,20.788,4.122,67.828,85.524,0.393,5.751,0.225,1,7.955,0.239,0.052,4.077,0,0,44.474,0.232,1.513,0.21,5.755,0,4.716,40.827,5.556,0,4.006,2.584,1.938,3.271,7.885,2.385,0,0.014,0.589,34.069,0,7.475,-0.129,3.497,3.0,84.614,0,4.967,0.965,0,1.92,1,0,4.561,6.1,3,5,1,16.786
5.697,3.128,0,0,0.0,0.123,0,83.229,-0.002,1,1.544,0,55.019,36.145,5.851,27.451,4.174,36.145,79.839,0.399,6.06,0.637,0,12.074,0.44,0.037,4.159,0,0,50.833,0.474,1.466,0.533,6.173,0,4.744,67.178,6.073,0,4.143,2.843,2.792,6.774,7.597,2.097,1,0.011,1.079,61.544,0,7.428,-0.144,4.006,8.8,107.269,0,4.866,1.705,0,2.086,1,0,6.07,2.9,7,13,4,72.901
4.4,2.333,0,0,0.0,-2.667,0,104.678,0.0,2,6.277,2,169.621,104.678,4.906,52.502,4.097,59.797,76.914,0.997,5.787,0.681,0,52.085,0.616,0.044,4.026,0,0,98.905,1.051,1.342,0.519,5.848,1,7.43,100.615,5.911,0,3.746,2.816,1.653,-0.414,8.649,3.149,1,0.019,0.645,59.449,0,8.516,-0.106,2.303,6.5,139.474,0,7.999,1.018,1,1.585,2,1,5.98,9.7,8,2,1,79.677
5.632,2.968,0,0,0.0,-0.366,0,70.797,0.0,3,2.123,4,92.985,70.797,6.174,38.506,4.19,70.797,112.548,0.724,6.062,0.613,0,7.829,0.417,0.043,4.141,1,1,63.309,0.276,1.674,0.538,6.139,0,4.864,69.676,6.148,0,4.098,3.069,2.604,4.972,7.81,2.31,1,0.011,0.764,59.221,1,7.434,-0.112,6.001,5.5,122.379,0,5.262,1.334,0,2.409,1,0,5.856,7.3,7,7,5,51.582
4.4,0.0,1,0,9.201,-0.709,1,114.913,-0.267,1,2.376,0,42.802,67.828,4.189,23.976,4.194,67.828,102.309,0.342,5.523,0.515,1,8.618,0.161,0.04,4.113,0,0,17.406,0.193,1.441,0.264,5.758,0,4.716,57.702,5.697,0,4.091,2.757,1.375,3.593,7.76,2.26,0,0.008,0.584,41.882,0,7.474,-0.175,3.325,6.8,104.524,0,5.057,1.104,0,1.551,1,0,5.477,4.5,5,4,2,36.695
4.4,0.0,1,1,10.507,-1.558,1,126.023,-0.69,4,2.234,4,91.819,113.48,6.034,40.823,4.331,113.48,113.811,0.797,6.255,0.693,1,12.495,0.921,0.048,4.444,1,1,118.554,0.861,1.28,0.594,6.174,1,5.021,94.904,6.153,1,4.482,2.837,3.083,2.224,7.978,2.478,0,0.015,0.938,73.426,1,7.435,0.092,1.979,2.1,116.605,1,6.459,1.303,2,2.172,0,1,5.913,10.6,6,9,0,3.124
4.4,2.809,0,0,0.0,-0.484,0,34.652,0.0,1,2.151,1,50.832,34.652,5.801,31.435,4.353,34.652,81.738,0.474,6.073,0.439,0,7.924,0.41,0.042,4.271,0,0,53.881,0.394,1.602,0.516,5.948,0,5.028,46.781,6.05,0,4.286,2.825,2.646,1.801,7.864,2.364,1,0.01,0.889,47.246,0,7.43,-0.053,4.88,11.9,117.293,0,5.128,1.449,1,2.123,2,0,5.908,4.8,6,10,1,84.54
6.09,2.882,0,0,0.0,-0.224,0,47.145,0.0,1,1.891,1,32.522,47.145,5.594,26.088,3.816,47.145,64.35,0.364,5.396,0.39,0,6.529,0.393,0.045,3.671,0,0,29.481,0.302,1.501,0.343,5.497,0,4.671,30.71,5.346,0,3.676,2.891,1.951,3.347,7.724,2.224,1,0.014,0.467,34.413,0,7.429,0.088,4.05,7.7,98.727,0,4.935,0.723,0,1.605,2,0,5.208,7.7,6,3,2,51.582
4.4,0.0,1,1,10.632,-1.657,1,102.481,-0.742,4,2.27,4,82.56,102.481,6.153,40.777,4.284,102.481,143.139,0.617,6.304,0.603,1,11.728,0.786,0.049,4.393,1,1,106.768,0.716,1.323,0.713,6.178,1,5.022,80.208,6.145,1,4.403,2.843,2.896,3.027,7.951,2.451,0,0.015,0.946,67.937,1,7.435,0.132,2.399,4.3,122.39,1,6.459,1.556,2,2.323,0,1,6.02,8.7,6,13,0,19.91
4.4,0.0,1,1,10.774,-1.586,1,126.023,-0.727,4,2.234,4,109.017,102.481,6.47,41.149,4.237,102.481,143.139,0.683,6.311,0.641,1,11.56,0.584,0.045,4.272,1,1,96.362,0.442,1.417,0.757,6.254,1,5.11,93.956,6.266,1,4.195,3.005,3.028,1.847,7.87,2.37,0,0.014,0.913,68.621,1,7.435,0.126,3.31,3.8,122.39,1,6.459,1.362,2,2.274,0,1,6.075,7.7,6,10,0,19.91
