pXC50,CATS2D_09_AL,CATS2D_09_AN,CATS2D_09_DL,SpMin2_Bh.p.,nArOR,MATS3i,MATS3p,GATS3i,GATS4i,SpMin2_Bh.e.,SpMin2_Bh.i.,GATS4s,MATS7e,LOC,SpMin2_Bh.v.,SdO,SssCH2,CATS2D_08_NL,SpMAD_EA.ri.,nCrq,nCrs,GATS7v,MATS7v,nR06,Rperim,TRS,ATSC8m,SpMin1_Bh.s.,F.082,P_VSA_MR_4,MCD,Vindex,O.060,MATS7p,Xindex,SM08_EA.ri.,SM09_EA.ri.,Yindex,GATS7i,SM10_EA.ri.,nF,NsF,P_VSA_e_6,SpMax1_Bh.s.,SsF,D.Dtr06,SpMax2_Bh.s.,SpMax3_Bh.s.,ATSC7i,ATSC8i,X.,C.002,GGI5,ATSC4v,nR.Cs,nX,AECC,O.058,SM06_EA.ri.,RBF,SpMax3_Bh.e.,SpMax3_Bh.p.
6.0,2,0,2,1.88,0,-0.202,-0.212,1.309,1.062,1.765,1.735,0.358,0.034,1.608,1.893,10.758,3.603,2,1.559,3,3,1.02,-0.038,2,13,15,33.151,1.504,0,0.0,0.5,0.229,0,-0.059,0.358,11.238,12.483,0.633,1.031,13.772,0,0,0.0,7.476,0.0,137.682,6.351,4.768,1.648,1.525,0.0,3,1.215,26.616,3,0,10.423,1,8.768,0.067,3.719,3.619
5.553,4,0,1,2.028,1,-0.117,-0.138,1.197,1.036,1.892,1.869,0.741,0.023,0.771,2.013,23.704,3.589,0,1.447,1,7,1.415,-0.362,3,18,18,50.044,1.461,0,0.36,0.439,0.152,1,-0.342,0.255,10.476,11.545,0.377,1.4,12.744,0,0,0.0,7.474,0.0,522.013,7.43,6.517,1.921,1.971,0.0,3,1.625,27.944,6,0,18.463,2,8.331,0.107,3.835,3.726
6.009,2,0,2,2.008,0,-0.188,-0.191,1.26,0.992,1.93,1.908,0.611,0.123,0.974,2.02,11.167,2.395,2,1.56,2,2,0.715,0.272,3,16,18,28.636,1.503,0,0.0,0.593,0.251,0,0.232,0.383,10.831,11.999,0.722,0.74,13.242,0,0,0.0,7.475,0.0,230.67,6.351,4.809,1.625,1.437,0.0,2,1.208,25.981,0,0,9.481,1,8.5,0.051,3.68,3.599
6.583,1,1,1,1.935,1,0.125,0.034,0.818,0.748,1.855,1.831,0.388,-0.074,1.546,1.95,11.065,-0.701,1,1.485,0,0,1.126,-0.133,2,15,17,58.786,1.347,2,8.115,0.469,0.252,2,-0.149,0.382,10.192,11.213,0.737,1.166,12.387,2,2,29.92,8.362,26.093,190.426,7.999,7.476,2.831,2.721,3.3,0,1.837,18.707,1,2,10.281,1,8.094,0.113,3.676,3.573
5.0,2,0,2,2.006,0,-0.227,-0.23,1.281,1.047,1.929,1.907,0.646,0.05,0.871,2.016,10.99,2.424,2,1.545,2,2,0.874,0.109,3,16,18,24.455,1.502,0,0.0,0.615,0.225,0,0.094,0.353,10.747,11.912,0.617,0.864,13.157,0,0,0.0,7.475,0.0,224.901,6.351,4.803,1.408,1.181,0.0,2,1.174,24.17,1,0,10.462,1,8.426,0.054,3.675,3.596
5.699,2,0,2,2.006,0,-0.156,-0.158,1.23,1.06,1.929,1.907,0.654,0.027,0.96,2.017,11.074,3.43,2,1.538,2,2,1.005,-0.021,3,16,18,39.3,1.512,0,0.0,0.571,0.236,0,-0.03,0.365,10.812,11.976,0.662,0.991,13.22,0,0,0.0,7.475,0.0,242.319,6.351,4.793,2.069,1.87,0.0,3,1.653,26.667,1,0,10.464,1,8.493,0.065,3.712,3.632
7.125,3,0,3,1.973,0,-0.191,-0.17,1.284,1.015,1.854,1.827,0.615,0.103,0.857,1.966,11.155,4.578,3,1.568,3,4,0.993,-0.005,3,19,21,36.788,1.51,0,0.0,0.704,0.221,0,-0.067,0.336,11.27,12.507,0.642,1.055,13.792,0,0,0.0,7.475,0.0,223.177,6.351,4.874,1.883,1.637,0.0,4,1.51,25.641,0,0,9.481,1,8.816,0.051,3.744,3.645
7.19,2,1,1,1.936,1,0.005,0.01,1.015,0.949,1.855,1.831,0.816,-0.045,1.676,1.95,11.099,2.611,1,1.481,0,0,1.162,-0.152,2,15,17,59.969,1.348,0,0.0,0.455,0.249,2,-0.146,0.379,10.26,11.287,0.724,1.054,12.459,1,1,14.96,8.203,14.077,198.062,7.469,6.35,2.663,2.651,1.5,2,1.861,20.685,1,1,10.788,1,8.15,0.132,3.695,3.572
7.26,1,1,1,1.934,1,0.043,-0.091,0.932,0.703,1.868,1.846,0.289,-0.048,1.52,1.955,11.172,-0.684,1,1.489,0,0,1.257,-0.264,2,15,17,86.315,1.371,2,8.115,0.441,0.258,1,-0.216,0.389,10.75,11.881,0.76,1.228,13.09,2,2,29.92,8.362,26.447,205.233,7.999,7.476,3.492,3.842,3.0,0,2.573,26.68,1,2,10.382,1,8.485,0.103,3.689,3.586
7.921,1,1,1,1.94,1,-0.078,-0.063,1.147,0.91,1.868,1.846,0.479,-0.091,2.016,1.975,11.289,6.711,1,1.475,0,0,1.233,-0.218,2,15,17,85.296,1.382,0,0.0,0.405,0.239,1,-0.159,0.367,10.754,11.88,0.687,1.196,13.091,0,0,0.0,7.476,0.0,230.753,6.351,4.921,3.323,3.693,0.0,5,2.462,32.194,1,0,12.622,1,8.496,0.145,3.761,3.637
5.77,3,0,3,2.12,0,-0.172,-0.141,1.22,1.062,2.047,2.022,0.678,0.034,0.736,2.132,11.508,2.291,3,1.553,2,2,0.906,0.082,5,29,37,47.937,1.502,0,0.0,0.784,0.177,0,0.116,0.266,11.05,12.194,0.528,0.807,13.431,0,0,0.0,7.475,0.0,304.634,6.351,4.975,2.743,2.481,0.0,2,2.174,29.578,0,0,10.216,1,8.762,0.027,3.915,3.858
6.678,2,0,2,1.88,0,-0.202,-0.212,1.309,1.062,1.765,1.735,0.358,0.034,1.608,1.893,10.758,3.603,2,1.559,3,3,1.02,-0.038,2,13,15,33.151,1.504,0,0.0,0.5,0.229,0,-0.059,0.358,11.238,12.483,0.633,1.031,13.772,0,0,0.0,7.476,0.0,137.682,6.351,4.768,1.648,1.525,0.0,3,1.215,26.616,3,0,10.423,1,8.768,0.067,3.719,3.619
7.126,2,0,2,1.881,0,-0.192,-0.201,1.316,1.054,1.766,1.736,0.356,0.035,1.585,1.894,10.803,3.603,2,1.558,3,3,1.03,-0.057,2,13,15,38.313,1.51,0,0.0,0.481,0.237,0,-0.078,0.367,11.276,12.523,0.662,1.036,13.813,0,0,0.0,7.476,0.0,143.602,6.351,4.76,1.995,1.753,0.0,3,1.465,28.293,3,0,10.407,1,8.807,0.063,3.722,3.625
5.523,3,0,3,1.977,0,-0.216,-0.187,1.285,1.055,1.908,1.895,0.787,0.179,0.885,1.994,24.193,2.251,3,1.52,2,2,0.794,0.188,3,16,18,24.726,1.508,0,0.0,0.615,0.249,0,0.09,0.382,10.719,11.893,0.711,0.798,13.139,0,0,0.0,7.475,0.0,215.782,7.397,6.351,1.646,1.098,0.0,2,1.403,23.564,0,0,9.577,2,8.388,0.056,3.664,3.605
5.93,2,0,2,2.006,0,-0.216,-0.22,1.288,1.047,1.929,1.907,0.639,0.042,0.872,2.016,11.035,2.422,2,1.548,2,2,0.948,0.03,3,16,18,31.598,1.508,0,0.0,0.593,0.232,0,0.017,0.362,10.8,11.966,0.645,0.935,13.209,0,0,0.0,7.475,0.0,233.195,6.351,4.797,1.787,1.496,0.0,2,1.479,25.792,1,0,10.444,1,8.479,0.051,3.697,3.619
7.357,14,0,3,2.089,0,-0.167,-0.165,1.258,1.016,1.942,1.918,0.649,0.033,0.875,2.053,34.502,2.143,3,1.548,2,2,0.951,0.047,4,25,31,50.759,1.505,0,0.0,0.694,0.197,0,0.037,0.296,10.985,12.129,0.589,0.932,13.362,0,0,0.0,7.815,0.0,272.452,7.475,6.999,2.626,2.568,0.0,2,2.24,27.11,0,0,9.75,1,8.702,0.043,3.906,3.822
5.796,2,0,2,2.003,0,-0.155,-0.158,1.209,1.047,1.925,1.903,0.64,0.121,0.975,2.014,11.1,2.397,2,1.541,2,2,0.748,0.241,3,16,18,25.203,1.502,0,0.0,0.615,0.246,0,0.196,0.378,10.787,11.955,0.7,0.775,13.2,0,0,0.0,7.475,0.0,219.197,6.351,4.811,1.447,1.245,0.0,2,1.153,24.059,1,0,9.538,1,8.457,0.054,3.654,3.572
8.523,6,0,3,1.86,0,-0.23,-0.258,1.288,0.996,1.756,1.721,0.465,0.073,0.885,1.887,11.067,2.393,3,1.515,2,2,0.92,0.067,2,15,17,34.21,1.508,0,0.0,0.577,0.242,0,0.02,0.374,10.747,11.926,0.684,0.921,13.171,0,0,0.0,7.475,0.0,135.586,6.351,4.849,1.719,1.396,0.0,2,1.316,23.922,1,0,9.654,1,8.409,0.055,3.681,3.609
6.886,6,0,6,1.884,0,-0.113,-0.197,1.24,1.046,1.761,1.721,0.486,0.059,0.885,1.9,11.014,2.378,3,1.539,2,2,0.924,0.051,2,15,17,31.755,1.508,0,0.0,0.577,0.242,0,0.011,0.374,10.775,11.95,0.684,0.92,13.192,0,0,0.0,7.475,0.0,135.586,6.351,4.953,1.648,1.347,0.0,2,1.316,23.718,1,0,9.654,1,8.443,0.054,3.688,3.588
6.194,3,0,3,2.021,0,-0.173,-0.153,1.245,1.033,1.932,1.909,0.674,0.042,0.78,2.023,11.405,2.297,3,1.545,2,2,0.952,0.033,4,25,31,46.686,1.505,0,0.0,0.758,0.202,0,0.061,0.303,10.942,12.092,0.606,0.881,13.331,0,0,0.0,7.475,0.0,240.385,6.351,4.94,2.496,2.381,0.0,2,2.014,27.251,0,0,9.576,1,8.645,0.03,3.871,3.804
5.921,3,0,3,2.014,1,-0.194,-0.175,1.224,0.971,1.928,1.906,0.71,-0.013,0.765,2.017,11.348,2.243,3,1.53,2,2,0.814,0.166,4,25,31,33.224,1.502,0,0.0,0.781,0.198,1,0.214,0.298,10.884,12.034,0.59,0.761,13.275,0,0,0.0,7.475,0.0,233.598,6.351,5.014,2.037,1.823,0.0,2,1.611,24.42,0,0,9.563,1,8.589,0.032,3.861,3.792
7.81,1,1,1,1.899,1,0.023,-0.183,0.997,0.729,1.782,1.753,0.438,-0.011,2.178,1.909,10.746,-1.497,1,1.465,0,0,1.382,-0.379,1,6,6,89.766,1.361,0,0.0,0.188,0.43,1,-0.415,0.657,10.636,11.773,1.241,1.424,12.976,4,4,59.84,8.513,53.932,128.884,8.201,7.999,3.742,3.713,6.3,0,2.757,23.809,4,4,10.625,1,8.374,0.125,3.69,3.584
8.62,1,1,1,1.928,1,0.091,0.016,0.878,0.75,1.825,1.802,0.369,-0.014,2.091,1.93,10.764,-0.801,1,1.418,0,0,1.139,-0.115,2,12,12,57.615,1.311,2,8.115,0.364,0.286,1,-0.18,0.442,9.844,10.798,0.808,1.082,11.952,4,4,59.84,8.362,53.529,249.187,8.211,8.191,2.856,2.875,6.8,0,1.785,17.276,4,4,11.273,1,7.844,0.133,3.773,3.685
6.398,4,0,4,2.01,0,-0.186,-0.125,1.209,0.956,1.929,1.907,0.679,0.098,0.765,2.016,11.365,2.323,4,1.521,2,2,0.917,0.092,4,25,31,32.837,1.504,0,0.0,0.781,0.198,0,0.013,0.298,10.869,12.019,0.59,0.918,13.26,0,0,0.0,7.475,0.0,233.598,6.351,4.921,2.149,1.817,0.0,2,1.611,25.562,0,0,9.563,1,8.573,0.032,3.856,3.815
7.824,1,0,1,1.893,0,-0.159,-0.17,1.223,1.095,1.792,1.766,0.403,-0.34,1.646,1.904,10.662,3.613,1,1.472,1,3,1.019,-0.067,1,11,11,22.79,1.461,0,0.0,0.458,0.262,1,0.052,0.415,10.204,11.321,0.707,0.951,12.54,0,0,0.0,7.476,0.0,84.69,6.351,5.085,0.979,1.053,0.0,3,0.653,18.552,5,0,10.292,1,7.97,0.098,3.709,3.585
5.859,6,0,6,1.998,0,-0.157,-0.159,1.269,1.063,1.912,1.891,0.432,0.132,1.412,2.003,22.155,1.606,6,1.522,2,2,0.846,0.155,3,16,18,41.991,1.507,0,0.0,0.516,0.246,1,0.052,0.376,10.838,12.001,0.714,0.917,13.243,0,0,0.0,7.477,0.0,277.883,7.472,6.352,2.106,1.756,0.0,2,1.514,24.244,0,0,9.613,2,8.523,0.097,3.667,3.571
7.495,3,0,3,1.997,0,-0.238,-0.172,1.291,1.058,1.912,1.891,0.615,0.068,0.974,2.002,11.081,2.212,3,1.508,2,2,0.906,0.129,3,16,18,20.02,1.503,0,0.0,0.593,0.253,1,-0.027,0.386,10.785,11.953,0.731,0.801,13.198,0,0,0.0,7.475,0.0,227.255,6.543,6.351,1.308,1.039,2.0,2,1.458,22.358,0,1,9.519,1,8.456,0.057,3.632,3.567
6.975,3,0,3,1.999,0,-0.224,-0.206,1.339,0.987,1.912,1.891,0.722,0.133,1.412,2.004,11.291,2.833,3,1.523,2,2,0.893,0.092,3,16,18,45.516,1.507,0,0.0,0.516,0.246,1,0.056,0.376,10.838,12.001,0.714,0.921,13.243,0,0,0.0,7.475,0.0,277.883,6.351,4.967,2.273,2.091,0.0,2,1.514,26.638,0,0,9.613,1,8.524,0.088,3.703,3.574
6.979,3,0,3,1.908,0,-0.222,-0.203,1.358,0.996,1.778,1.743,0.39,0.002,1.784,1.923,10.882,6.908,3,1.514,1,4,1.488,-0.429,1,12,14,60.311,1.35,0,0.0,0.414,0.24,0,-0.402,0.368,10.729,11.882,0.687,1.401,13.107,0,0,0.0,7.476,0.0,84.928,6.351,4.753,2.592,2.689,0.0,4,1.931,26.601,3,0,9.966,1,8.434,0.118,3.777,3.686
6.678,3,0,3,1.93,0,-0.086,-0.127,1.24,1.117,1.788,1.75,0.366,0.07,2.073,1.943,10.714,4.113,3,1.488,2,2,0.903,0.065,2,10,12,32.255,1.501,0,0.0,0.385,0.276,0,0.106,0.434,10.65,11.832,0.757,0.807,13.084,0,0,0.0,7.476,0.0,145.126,6.351,4.759,1.545,1.524,0.0,2,1.069,25.263,3,0,10.5,1,8.307,0.1,3.672,3.543
6.793,2,0,2,1.914,0,-0.094,-0.141,1.219,1.06,1.792,1.758,0.364,0.116,1.562,1.926,10.821,5.792,2,1.522,2,5,0.88,0.093,2,15,17,35.333,1.501,0,0.0,0.556,0.231,0,0.105,0.359,10.707,11.88,0.642,0.816,13.128,0,0,0.0,7.476,0.0,133.529,6.351,4.762,1.708,1.632,0.0,4,0.962,26.27,3,0,10.37,1,8.381,0.065,3.709,3.589
7.315,3,0,3,1.918,0,-0.205,-0.224,1.385,0.974,1.781,1.744,0.393,0.014,2.274,1.935,10.773,2.779,3,1.482,0,0,1.479,-0.409,1,6,6,54.57,1.357,0,0.0,0.222,0.398,0,-0.382,0.617,10.45,11.585,1.116,1.396,12.788,0,0,0.0,7.476,0.0,107.176,6.351,4.754,2.303,2.387,0.0,1,1.889,24.892,3,0,10.0,1,8.186,0.141,3.685,3.583
6.0,1,0,1,1.913,0,-0.203,-0.212,1.306,1.089,1.808,1.776,0.371,-0.102,2.553,1.93,10.534,3.722,1,1.443,1,3,1.606,-0.536,1,6,6,24.477,1.461,0,0.0,0.273,0.333,0,-0.516,0.539,10.052,11.186,0.868,1.592,12.415,0,0,0.0,7.476,0.0,87.891,6.351,4.679,0.994,1.091,0.0,3,0.757,18.726,6,0,10.5,1,7.802,0.1,3.633,3.532
6.848,1,1,1,1.935,1,0.154,0.039,0.764,0.682,1.855,1.831,0.351,-0.093,1.534,1.95,11.06,-1.402,1,1.484,0,0,1.116,-0.124,2,15,17,61.744,1.347,0,0.0,0.455,0.252,2,-0.151,0.382,10.232,11.249,0.737,1.184,12.415,3,3,44.88,8.513,39.202,197.981,7.999,7.999,3.098,2.961,5.0,0,2.059,18.456,1,3,10.364,1,8.144,0.113,3.676,3.573
8.0,1,1,1,1.934,1,-0.065,-0.104,1.075,0.776,1.868,1.846,0.467,-0.038,1.663,1.956,11.204,0.238,1,1.482,0,0,1.281,-0.274,2,15,17,83.916,1.372,0,0.0,0.441,0.255,1,-0.213,0.386,10.749,11.88,0.75,1.136,13.09,1,1,14.96,8.195,12.926,205.562,7.476,6.351,3.207,3.62,1.4,1,2.462,27.508,1,1,10.794,1,8.482,0.113,3.69,3.586
8.0,1,1,1,1.934,1,0.088,-0.086,0.864,0.64,1.867,1.846,0.264,-0.053,1.506,1.955,11.167,-1.386,1,1.488,0,0,1.244,-0.253,2,15,17,90.675,1.371,0,0.0,0.429,0.258,1,-0.218,0.39,10.773,11.9,0.761,1.233,13.104,3,3,44.88,8.513,39.732,212.788,7.999,7.999,3.802,4.155,4.5,0,2.74,26.564,1,3,10.457,1,8.519,0.103,3.69,3.586
8.398,1,1,1,1.935,1,0.109,0.034,0.84,0.777,1.854,1.831,0.562,-0.07,1.534,1.949,11.039,-0.751,1,1.481,0,0,1.126,-0.124,2,15,17,60.259,1.347,2,8.115,0.455,0.252,2,-0.15,0.382,10.261,11.289,0.734,1.099,12.46,3,3,44.88,8.362,40.107,197.732,8.203,7.999,2.957,2.766,5.0,0,1.972,17.906,1,3,10.333,1,8.152,0.113,3.694,3.572
7.481,2,0,2,1.93,0,-0.188,-0.198,1.307,1.038,1.831,1.8,0.353,0.067,1.899,1.95,10.829,2.401,2,1.533,2,2,0.99,0.013,2,10,12,33.989,1.503,0,0.0,0.385,0.299,0,-0.016,0.461,10.729,11.906,0.847,1.013,13.152,0,0,0.0,7.476,0.0,143.033,6.351,4.783,1.635,1.613,0.0,2,1.264,25.855,3,0,9.577,1,8.392,0.068,3.672,3.572
7.921,1,1,1,1.95,1,-0.167,-0.17,1.252,0.89,1.871,1.848,0.517,-0.074,1.462,1.964,11.132,0.56,1,1.531,0,0,1.311,-0.307,2,15,17,68.856,1.367,0,0.0,0.469,0.26,2,-0.295,0.392,10.817,11.951,0.765,1.293,13.162,0,0,0.0,7.476,0.0,190.122,6.351,5.132,2.814,2.869,0.0,0,2.462,25.299,1,0,9.844,1,8.542,0.103,3.688,3.584
7.824,1,1,1,1.92,1,0.057,0.064,0.98,0.991,1.85,1.828,0.559,-0.035,1.556,1.941,11.146,1.633,1,1.465,0,0,1.168,-0.171,2,15,17,63.629,1.352,0,0.0,0.484,0.253,1,-0.117,0.384,10.053,11.056,0.74,1.124,12.219,0,0,0.0,7.476,0.0,182.871,6.351,4.918,2.545,2.667,0.0,1,1.726,21.607,1,0,10.194,1,7.982,0.123,3.676,3.579
7.959,1,1,1,1.919,1,0.08,0.081,0.956,1.055,1.849,1.828,0.516,-0.025,1.484,1.941,11.117,0.61,1,1.467,0,0,1.139,-0.147,2,15,17,59.135,1.352,0,0.0,0.5,0.255,1,-0.095,0.387,10.051,11.056,0.747,1.094,12.218,0,0,0.0,7.476,0.0,175.315,6.351,4.918,2.404,2.421,0.0,0,1.726,20.651,1,0,9.7,1,7.977,0.113,3.675,3.579
7.796,1,1,1,1.927,1,0.077,0.013,0.882,0.853,1.832,1.806,0.5,0.011,2.116,1.937,10.767,-0.755,1,1.42,0,0,1.133,-0.13,2,12,12,57.14,1.311,2,8.115,0.375,0.287,1,-0.177,0.443,9.852,10.818,0.813,1.202,11.977,3,3,44.88,8.362,40.329,240.818,8.201,7.999,2.835,2.848,5.1,0,1.812,17.382,4,3,11.156,1,7.831,0.133,3.771,3.685
7.745,1,1,1,1.898,1,-0.003,-0.189,1.045,0.724,1.788,1.756,0.279,-0.056,2.255,1.914,10.759,-0.672,1,1.467,0,0,1.425,-0.412,1,6,6,72.808,1.362,2,8.115,0.2,0.414,1,-0.412,0.637,10.577,11.721,1.179,1.371,12.932,2,2,29.92,8.362,25.882,119.845,7.999,7.476,3.073,2.922,3.1,0,2.507,24.47,4,2,10.633,1,8.299,0.125,3.689,3.584
8.049,3,0,3,1.998,0,-0.176,-0.185,1.297,1.093,1.912,1.891,0.649,0.152,1.132,2.003,11.17,2.307,3,1.529,2,2,0.852,0.119,3,16,18,35.666,1.507,0,0.0,0.571,0.254,1,0.063,0.387,10.827,11.995,0.738,0.878,13.239,0,0,0.0,7.475,0.0,239.329,6.351,4.985,1.979,1.538,0.0,2,1.514,23.911,0,0,9.5,1,8.5,0.068,3.663,3.571
8.086,1,1,1,1.891,1,0.252,0.008,0.751,0.885,1.777,1.747,0.575,-0.04,2.351,1.907,10.707,1.81,1,1.403,0,0,1.14,-0.15,1,6,6,61.459,1.304,2,1.824,0.188,0.413,1,-0.123,0.636,10.126,11.186,1.175,1.185,12.358,5,5,74.801,8.531,67.615,129.084,8.336,7.999,3.101,2.736,8.2,2,2.194,17.472,4,5,11.125,1,7.988,0.164,3.669,3.513
5.0,2,0,2,2.006,0,-0.168,-0.17,1.252,1.027,1.929,1.908,0.641,0.016,0.957,2.017,11.11,2.418,2,1.552,2,2,1.049,-0.059,3,16,18,46.887,1.514,0,0.0,0.552,0.24,0,-0.065,0.37,10.85,12.013,0.68,1.034,13.254,0,0,0.0,7.475,0.0,251.443,6.351,4.795,2.352,2.24,0.0,2,1.882,28.548,1,0,10.483,1,8.534,0.062,3.734,3.652
7.91,1,1,1,1.923,1,0.123,0.015,0.825,0.793,1.837,1.808,0.339,-0.071,2.14,1.942,10.77,-0.697,1,1.427,0,0,1.242,-0.245,2,12,12,53.546,1.311,2,8.115,0.387,0.288,1,-0.231,0.444,9.775,10.728,0.814,1.238,11.89,2,2,29.92,8.362,25.971,225.049,7.999,7.476,2.588,2.674,3.4,0,1.701,18.211,4,2,11.097,1,7.769,0.133,3.765,3.685
6.875,3,0,3,1.932,0,-0.116,-0.136,1.287,1.092,1.79,1.751,0.374,0.078,2.039,1.946,10.758,4.113,3,1.492,2,2,0.899,0.053,2,10,12,37.455,1.506,0,0.0,0.37,0.286,0,0.077,0.446,10.703,11.884,0.795,0.817,13.133,0,0,0.0,7.476,0.0,151.046,6.351,4.751,1.929,1.732,0.0,2,1.319,26.708,3,0,10.481,1,8.364,0.095,3.69,3.575
7.921,1,1,1,1.934,1,-0.027,-0.101,1.0,0.705,1.868,1.846,0.463,-0.016,1.647,1.956,11.201,-0.413,1,1.482,0,0,1.276,-0.264,2,15,17,87.031,1.372,2,8.115,0.429,0.253,1,-0.214,0.384,10.752,11.881,0.741,1.072,13.091,2,2,29.92,8.362,25.935,213.447,7.999,7.476,3.374,3.84,2.9,1,2.462,27.264,1,2,10.886,1,8.49,0.113,3.691,3.586
6.745,15,0,3,1.988,0,-0.216,-0.247,1.428,0.97,1.82,1.826,1.012,-0.093,1.093,2.014,37.3,2.212,3,1.556,2,2,0.874,0.084,2,15,17,47.405,1.508,0,0.0,0.469,0.244,0,0.111,0.375,11.151,12.347,0.694,0.817,13.595,0,0,0.0,7.716,0.0,174.783,7.475,6.999,2.113,1.811,0.0,2,1.976,27.081,1,0,9.938,3,8.775,0.075,3.735,3.652
7.481,2,0,2,1.934,0,-0.178,-0.166,1.233,0.934,1.87,1.849,0.393,-0.042,1.351,1.956,11.122,0.0,2,1.535,0,0,1.44,-0.431,2,15,17,64.148,1.391,0,0.0,0.5,0.256,0,-0.393,0.388,10.763,11.9,0.745,1.424,13.111,0,0,0.0,7.476,0.0,176.284,6.351,4.895,2.419,2.719,0.0,0,2.205,27.554,1,0,9.733,1,8.486,0.078,3.689,3.589
5.409,7,0,4,2.034,1,-0.233,-0.166,1.341,1.057,1.951,1.953,0.851,0.046,0.886,2.059,39.215,2.019,4,1.508,2,2,0.814,0.226,4,22,24,49.963,1.501,0,0.0,0.629,0.213,1,0.041,0.323,10.975,12.141,0.622,0.977,13.381,0,0,0.0,7.715,0.0,443.264,7.475,6.999,2.179,2.069,0.0,2,1.681,25.671,0,0,10.343,3,8.653,0.088,3.865,3.761
6.125,4,0,4,2.041,0,-0.178,-0.196,1.043,0.871,1.963,1.961,0.753,0.353,0.889,2.065,39.029,1.839,4,1.513,2,2,0.77,0.267,4,22,24,45.664,1.501,0,0.0,0.595,0.208,0,0.134,0.317,11.034,12.195,0.604,0.618,13.428,3,3,44.88,8.513,39.257,478.963,7.999,7.999,2.41,2.277,4.7,2,1.806,24.517,0,3,10.486,3,8.722,0.075,3.872,3.766
5.0,3,0,3,2.009,0,-0.132,-0.08,1.248,1.034,1.883,1.874,0.785,0.066,1.412,2.034,37.883,3.38,3,1.505,2,2,0.828,0.198,3,16,18,49.484,1.501,0,0.0,0.516,0.255,0,0.06,0.386,10.905,12.08,0.747,0.955,13.319,0,0,0.0,7.714,0.0,279.78,7.475,6.999,2.015,1.961,0.0,4,1.264,25.591,0,0,9.484,3,8.57,0.108,3.826,3.733
5.0,13,0,4,2.087,0,-0.242,-0.191,1.344,1.012,1.967,1.963,0.788,0.273,0.889,2.083,61.229,1.923,4,1.53,2,2,0.782,0.264,4,22,24,45.78,1.501,0,0.0,0.611,0.21,0,0.113,0.319,11.0,12.163,0.611,0.875,13.399,0,0,0.0,7.815,0.0,461.114,7.715,7.475,2.155,2.03,0.0,2,1.743,24.438,0,0,10.417,3,8.687,0.091,3.888,3.766
6.06,4,0,4,2.026,0,-0.254,-0.196,1.336,1.032,1.952,1.953,0.835,0.061,0.807,2.055,39.004,2.017,4,1.506,2,2,0.762,0.268,4,22,24,47.234,1.501,0,0.0,0.647,0.216,0,0.118,0.327,10.965,12.134,0.636,0.898,13.375,0,0,0.0,7.715,0.0,425.415,7.475,6.999,2.089,1.926,1.6,2,1.618,24.591,0,1,9.559,3,8.637,0.078,3.864,3.763
5.0,4,0,4,2.032,0,-0.248,-0.179,1.332,1.025,1.954,1.953,0.838,0.059,0.801,2.061,38.848,2.046,4,1.526,2,2,0.791,0.24,4,22,24,46.253,1.501,0,0.0,0.667,0.219,0,0.093,0.33,10.961,12.131,0.646,0.899,13.373,0,0,0.0,7.715,0.0,408.199,7.475,6.999,2.097,1.953,0.0,2,1.451,24.609,0,0,9.485,3,8.63,0.078,3.862,3.761
5.523,4,0,4,2.04,0,-0.263,-0.198,1.359,1.034,1.968,1.963,0.832,-0.025,0.807,2.07,39.103,2.044,4,1.528,2,2,0.769,0.236,4,22,24,47.535,1.501,0,0.0,0.647,0.216,0,0.132,0.327,10.977,12.144,0.636,0.848,13.383,0,0,0.0,7.715,0.0,425.415,7.475,6.999,2.193,2.029,0.0,2,1.618,26.273,0,0,9.559,3,8.656,0.075,3.868,3.766
6.0,2,0,2,1.88,0,-0.202,-0.212,1.309,1.062,1.765,1.735,0.358,0.034,1.608,1.893,10.758,3.603,2,1.559,3,3,1.02,-0.038,2,13,15,33.151,1.504,0,0.0,0.5,0.229,0,-0.059,0.358,11.238,12.483,0.633,1.031,13.772,0,0,0.0,7.476,0.0,137.682,6.351,4.768,1.648,1.525,0.0,3,1.215,26.616,3,0,10.423,1,8.768,0.067,3.719,3.619
7.824,1,0,1,1.913,0,-0.203,-0.212,1.306,1.089,1.808,1.776,0.371,-0.102,2.553,1.93,10.534,3.722,1,1.443,1,3,1.606,-0.536,1,6,6,24.477,1.461,0,0.0,0.273,0.333,0,-0.516,0.539,10.052,11.186,0.868,1.592,12.415,0,0,0.0,7.476,0.0,87.891,6.351,4.679,0.994,1.091,0.0,3,0.757,18.726,6,0,10.5,1,7.802,0.1,3.633,3.532
5.553,1,0,3,2.001,0,-0.201,-0.217,1.277,1.068,1.885,1.86,0.639,0.108,0.662,1.999,12.058,3.713,0,1.439,1,3,1.501,-0.457,2,12,12,33.481,1.461,0,0.0,0.414,0.208,0,-0.443,0.346,10.168,11.262,0.524,1.456,12.486,0,0,0.0,7.43,0.0,242.527,6.471,4.694,1.348,1.516,0.0,3,0.986,22.432,6,0,14.241,1,7.983,0.095,3.793,3.725
