pXC50,DECC,nCrs,nCs,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ed.,SpMin1_Bh.s.,Eta_FL_A,CATS2D_02_LL,C.002,CATS2D_03_LL,X4v,X5v,Eig02_EA.ri.,SpMin2_Bh.s.,Eig02_AEA.ri.,SpMin1_Bh.m.,Eig02_AEA.bo.,Eta_C_A,H.046,ATS4i,nCrt,nCt,ATSC4v,ATS4e,ATS5i,ATSC3p,X3v,C.004,nCq,nCrq,nCsp3,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,H.,Mv,NsssCH,C.003,PCR,Eta_L_A,CIC1,SsssCH,ATSC4p,ATSC5v,ATSC2v,IC1,SssssC,Eig03_EA.dm.,NssssC,Eta_betaP_A,SM10_EA.ri.,SpMaxA_EA.ed.,SM03_EA.ed.,SM08_AEA.ed.,SM09_AEA.ed.,SM10_AEA.ed.,ATS4p,Eta_L,nCconj,SM06_AEA.ed.,ATS3e,ATSC2p,C.016,Eta_beta_A
4.323,1.065,3,3,10.178,10.178,3.061,3.061,6.564,1.188,0.234,7,3,5,3.66,2.194,2.916,0.967,4.017,1.844,4.432,0.824,4,4.275,0,0,5.309,4.145,3.976,6.626,4.91,0,0,0,4,6.134,7.516,8.373,9.57,10.569,33.3,0.721,0,0,1.301,0.247,1.018,0.0,6.232,2.694,5.282,3.889,0.0,0.0,0,0.65,11.702,0.504,7.483,16.121,17.972,19.833,3.465,4.937,1,12.461,4.233,4.881,0,1.3
4.331,1.333,0,0,8.856,8.856,2.714,2.714,6.095,1.242,0.236,4,0,2,1.854,1.308,2.616,1.06,3.679,2.014,3.993,0.775,3,4.807,0,0,8.684,4.555,4.493,5.835,2.954,1,1,1,5,6.368,7.749,8.795,10.061,11.226,47.1,0.614,0,0,1.201,0.237,1.719,0.0,5.791,8.133,6.703,3.369,-0.707,0.4,1,0.528,12.464,0.693,7.684,16.325,18.283,20.254,3.5,4.271,0,12.47,4.414,4.76,0,1.153
4.513,1.583,2,2,11.139,11.139,3.222,3.222,6.795,1.214,0.247,6,2,4,5.488,3.609,3.102,1.211,4.187,1.982,4.492,0.751,0,4.81,0,0,9.833,4.647,4.574,11.513,7.29,0,0,0,4,6.493,7.898,8.816,10.052,11.11,40.0,0.681,0,0,1.339,0.235,1.95,0.0,11.185,7.049,7.887,3.372,0.0,0.0,0,0.729,12.288,0.504,8.065,16.806,18.766,20.741,3.903,5.638,1,12.944,4.631,7.224,0,1.365
4.097,0.982,3,3,11.343,11.343,3.201,3.201,6.838,1.417,0.222,14,2,10,4.665,3.043,3.115,1.212,4.174,2.102,4.394,1.036,1,5.326,2,2,18.739,5.099,5.201,11.707,5.353,0,0,0,7,6.853,8.219,9.187,10.42,11.51,43.8,0.646,1,1,1.291,0.248,1.83,-0.37,15.325,16.085,9.947,3.755,-1.289,0.68,2,0.537,12.701,0.451,8.363,16.91,18.828,20.755,4.298,6.704,0,13.119,4.928,7.966,0,1.176
4.097,0.992,0,0,9.226,9.226,2.764,2.764,6.289,1.159,0.254,3,0,4,2.704,1.458,2.682,1.055,3.734,1.97,4.053,0.846,0,4.655,0,0,9.241,4.521,4.879,6.804,3.827,0,0,0,5,6.286,7.687,8.607,9.843,10.914,43.6,0.65,0,0,1.351,0.226,1.561,0.0,7.899,11.124,7.214,3.725,0.0,0.293,0,0.682,12.103,0.534,7.585,16.243,18.124,20.017,3.932,4.966,1,12.528,4.421,5.565,0,1.307
4.097,1.69,1,1,7.588,7.588,2.706,2.706,5.557,1.178,0.27,4,0,4,2.138,1.379,2.7,0.999,3.706,2.001,4.119,0.677,0,4.628,0,0,8.393,4.426,4.501,7.007,3.232,0,0,0,4,5.74,7.203,7.783,9.002,9.775,43.6,0.643,1,0,1.354,0.216,1.782,-0.196,6.623,8.108,7.105,3.503,0.0,0.86,0,0.636,10.876,0.384,6.88,15.31,17.043,18.787,3.55,4.756,3,11.893,4.514,5.969,2,1.284
4.097,1.712,0,0,8.693,8.693,2.83,2.83,6.052,1.092,0.285,6,0,4,2.778,1.817,2.596,0.96,3.751,2.018,4.185,0.681,0,4.562,0,0,6.426,4.36,4.448,6.005,4.306,0,0,0,1,5.798,7.26,7.913,9.139,9.99,35.1,0.702,0,0,1.424,0.201,1.416,0.0,6.371,5.043,5.235,3.793,0.0,0.146,0,0.792,11.113,0.405,7.231,15.823,17.637,19.462,3.644,4.817,0,12.246,4.359,4.947,0,1.438
4.527,1.796,0,2,8.685,8.685,2.818,2.818,6.056,1.176,0.256,10,2,6,2.861,1.671,2.773,1.102,3.804,2.035,4.189,0.721,4,4.622,0,0,8.525,4.459,4.595,7.425,4.015,0,0,0,4,5.898,7.324,8.05,9.251,10.142,42.5,0.664,0,0,1.448,0.229,1.505,0.0,7.838,8.496,7.615,3.817,0.0,0.0,0,0.717,11.248,0.388,7.05,15.596,17.38,19.172,3.728,5.258,2,12.065,4.423,6.638,0,1.304
4.097,1.651,4,4,8.834,8.834,2.868,2.868,6.084,1.336,0.217,10,4,6,5.263,3.774,2.853,1.233,3.861,2.042,4.224,0.887,7,5.077,0,0,13.497,4.855,4.846,11.306,7.116,0,0,0,7,6.255,7.639,8.501,9.714,10.731,44.4,0.64,0,0,1.291,0.262,1.969,0.0,11.747,10.69,9.457,3.523,0.0,0.0,0,0.6,11.886,0.505,7.867,16.595,18.561,20.544,3.975,6.551,1,12.74,4.751,7.951,0,1.23
4.374,0.764,0,0,6.801,6.801,2.438,2.438,5.307,0.508,0.195,0,0,0,2.985,1.351,2.038,0.28,3.281,1.318,3.843,0.722,0,2.522,0,0,0.324,2.518,2.642,1.172,3.71,0,0,0,0,4.409,5.849,6.275,7.425,8.063,7.7,0.919,0,0,1.326,0.293,0.154,0.0,0.907,0.395,0.695,3.547,0.0,0.0,0,0.625,9.077,0.676,6.26,14.772,16.527,18.291,2.517,3.518,2,11.306,2.812,2.11,0,1.292
4.291,1.917,0,0,9.889,9.889,3.046,3.046,6.44,1.188,0.285,6,0,7,2.98,1.827,3.04,0.887,4.049,1.997,4.399,0.648,0,4.669,0,0,6.211,4.551,4.55,8.183,5.005,0,0,0,1,6.581,7.941,8.816,10.016,11.022,33.3,0.697,0,0,1.419,0.188,1.472,0.0,7.241,6.973,5.656,3.813,0.0,0.929,0,0.731,12.162,0.441,7.921,16.513,18.411,20.323,3.706,4.88,4,12.775,4.515,5.917,1,1.385
4.097,0.951,4,4,8.166,8.166,2.75,2.75,5.911,1.439,0.163,17,4,11,3.424,2.298,2.648,1.223,3.714,2.057,3.996,0.832,11,4.707,3,3,10.315,4.414,4.382,8.309,4.166,0,0,0,7,5.959,7.409,8.23,9.482,10.469,51.6,0.601,3,3,1.188,0.319,2.05,2.352,7.277,7.899,8.42,2.904,0.0,0.0,0,0.467,11.643,0.617,7.066,15.635,17.446,19.268,3.472,4.785,0,12.055,4.494,6.291,0,1.067
4.097,0.704,0,0,8.16,8.16,2.501,2.501,5.935,1.311,0.281,9,0,7,2.306,1.539,2.371,0.749,3.448,2.123,3.982,0.62,0,3.917,0,0,4.081,3.753,3.74,3.931,3.035,0,0,0,0,5.702,7.201,8.011,9.285,10.279,33.3,0.745,0,0,1.522,0.209,1.387,0.0,3.789,3.773,2.815,3.006,0.0,0.0,0,0.857,11.466,0.703,7.111,15.752,17.611,19.48,3.312,2.921,0,12.079,3.833,2.407,0,1.5
4.097,1.409,0,0,8.761,8.761,2.719,2.719,6.137,1.276,0.275,9,0,7,2.786,1.727,2.597,0.867,3.654,2.124,4.096,0.695,0,4.527,0,0,6.735,4.408,4.42,6.525,4.054,0,0,0,2,6.128,7.54,8.364,9.595,10.592,37.1,0.692,0,0,1.447,0.205,1.335,0.0,7.164,6.278,5.684,3.794,0.0,0.0,0,0.75,11.759,0.466,7.387,16.001,17.838,19.688,3.597,4.509,1,12.379,4.318,5.549,0,1.375
4.097,1.546,0,0,7.994,7.994,2.642,2.642,5.801,1.075,0.275,6,0,3,2.972,1.6,2.522,0.869,3.594,1.983,4.049,0.685,0,4.358,0,0,5.9,4.211,4.402,6.475,4.143,0,0,0,1,5.887,7.312,8.069,9.288,10.229,36.4,0.712,0,0,1.35,0.21,1.341,0.0,5.976,7.199,4.96,3.703,0.0,0.86,0,0.714,11.371,0.492,7.298,15.894,17.733,19.587,3.653,4.412,3,12.276,4.213,4.974,1,1.357
4.444,1.465,0,0,7.693,7.693,2.689,2.689,5.745,1.091,0.278,5,0,3,2.687,1.773,2.622,1.079,3.664,2.002,4.09,0.755,0,4.626,0,0,7.625,4.438,4.597,6.314,3.914,0,0,0,2,6.011,7.465,8.209,9.449,10.388,38.5,0.685,0,0,1.52,0.204,1.411,0.0,6.608,6.952,6.048,3.875,0.0,0.0,0,0.729,11.543,0.442,7.383,15.959,17.795,19.647,3.721,4.9,2,12.353,4.397,5.319,0,1.375
4.241,1.743,0,0,7.006,7.006,2.553,2.553,5.357,1.252,0.279,9,0,7,2.863,1.841,2.534,0.86,3.546,2.115,3.969,0.679,3,4.517,0,0,7.995,4.313,4.47,6.582,4.086,0,0,0,2,5.854,7.331,8.004,9.243,10.124,39.5,0.68,0,0,1.501,0.209,1.573,0.0,6.61,7.649,6.558,3.674,0.0,0.0,0,0.761,11.264,0.404,6.986,15.5,17.277,19.07,3.672,4.805,1,12.004,4.355,5.896,0,1.38
4.097,1.664,0,0,9.669,9.669,3.013,3.013,6.321,1.097,0.299,7,0,3,2.529,1.627,2.86,1.071,3.959,2.022,4.387,0.672,0,4.674,0,0,8.626,4.504,4.743,6.638,3.878,0,0,0,2,6.025,7.475,8.172,9.399,10.278,40.5,0.669,0,0,1.52,0.186,1.773,0.0,7.436,8.839,6.292,3.62,0.0,0.0,0,0.8,11.407,0.364,7.365,15.922,17.722,19.53,3.788,4.65,1,12.363,4.432,5.492,0,1.44
4.284,1.554,0,0,7.366,7.366,2.618,2.618,5.49,1.07,0.293,8,0,6,2.065,1.244,2.486,1.057,3.568,2.012,4.012,0.66,0,4.462,0,0,7.152,4.27,4.308,6.322,3.302,0,0,0,0,5.669,7.169,7.779,9.032,9.848,35.3,0.718,0,0,1.399,0.188,1.855,0.0,6.423,5.534,4.734,3.233,0.0,1.058,0,0.864,10.985,0.42,6.917,15.418,17.187,18.97,3.607,4.14,3,11.931,4.295,3.997,0,1.466
4.097,1.625,0,0,8.734,8.734,2.85,2.85,6.061,1.242,0.253,4,0,2,4.474,3.02,2.821,1.062,3.838,1.988,4.205,0.747,0,4.675,0,0,7.062,4.519,4.522,8.649,6.347,0,0,0,4,6.217,7.58,8.461,9.666,10.692,35.1,0.685,0,0,1.296,0.225,1.297,0.0,8.185,6.091,5.407,3.912,0.0,0.4,0,0.625,11.844,0.524,7.867,16.591,18.558,20.541,3.655,5.39,1,12.735,4.512,6.225,0,1.292
4.249,2.192,0,0,9.154,9.154,2.889,2.889,6.168,1.09,0.297,2,0,1,2.006,1.108,2.76,0.966,3.845,1.982,4.272,0.664,0,4.756,0,0,7.004,4.566,4.679,4.861,3.393,0,0,0,3,6.045,7.449,8.171,9.357,10.247,38.1,0.646,0,0,1.474,0.186,1.217,0.0,5.132,7.334,5.646,4.175,0.0,0.0,0,0.712,11.343,0.347,7.334,15.883,17.678,19.482,3.583,4.847,1,12.335,4.426,4.333,0,1.394
4.097,1.013,0,0,6.881,6.881,2.436,2.436,5.322,1.105,0.334,5,0,2,1.234,0.771,2.409,0.967,3.425,2.054,3.855,0.413,0,4.066,0,0,4.594,3.849,3.886,4.031,1.983,0,0,0,0,5.085,6.692,7.172,8.481,9.191,40.0,0.675,0,0,1.487,0.156,2.195,0.0,3.624,3.626,3.916,2.449,0.0,0.0,0,1.0,10.346,0.543,6.26,14.775,16.52,18.276,3.008,2.345,1,11.335,3.942,3.127,0,1.617
4.097,1.741,0,0,8.744,8.744,2.856,2.856,6.063,1.242,0.254,4,0,2,4.615,3.094,2.827,1.076,3.843,1.995,4.21,0.764,0,4.768,0,0,8.645,4.614,4.711,8.838,6.593,0,0,0,5,6.239,7.603,8.481,9.684,10.708,39.0,0.663,0,0,1.295,0.226,1.514,0.0,8.834,8.429,6.477,3.844,0.0,0.86,0,0.62,11.858,0.505,7.888,16.605,18.569,20.55,3.783,5.647,1,12.754,4.558,6.719,0,1.29
4.097,2.149,1,1,10.259,10.259,3.033,3.033,6.519,1.327,0.255,9,1,8,5.273,3.982,2.869,1.136,3.982,2.048,4.339,0.952,1,5.224,1,1,16.775,5.071,5.396,11.567,6.986,0,0,0,8,6.51,7.923,8.725,9.944,10.913,43.1,0.649,1,1,1.305,0.231,2.34,-0.33,14.45,19.472,10.45,3.518,0.0,1.937,0,0.606,12.061,0.321,7.947,16.535,18.379,20.232,4.426,7.636,0,12.89,4.872,9.093,0,1.273
4.097,1.176,0,0,7.092,7.092,2.541,2.541,5.39,1.127,0.304,2,0,1,1.711,1.08,2.495,1.009,3.522,2.003,3.902,0.521,0,4.322,0,0,6.614,4.097,4.272,4.84,2.619,0,0,0,2,5.376,6.934,7.477,8.752,9.514,41.4,0.659,0,0,1.348,0.191,1.561,0.0,4.883,6.425,4.711,3.297,0.0,0.532,0,0.794,10.651,0.487,6.629,15.103,16.854,18.616,3.268,3.245,0,11.651,4.108,4.01,0,1.471
4.097,1.149,4,4,8.767,8.767,2.829,2.829,6.07,1.394,0.224,16,4,11,4.118,2.966,2.839,1.142,3.834,2.043,4.198,0.868,9,4.761,0,0,10.99,4.576,4.607,9.628,5.1,0,0,0,5,6.17,7.601,8.406,9.642,10.617,43.6,0.656,0,0,1.304,0.256,1.642,0.0,9.823,7.997,8.602,3.643,0.0,0.0,0,0.614,11.775,0.481,7.42,16.027,17.874,19.735,3.843,5.626,2,12.389,4.534,6.982,0,1.216
4.507,2.211,3,5,11.148,11.148,3.18,3.18,6.778,1.229,0.221,7,4,8,4.58,3.056,3.047,1.104,4.137,2.045,4.408,1.1,0,5.15,1,1,13.84,5.032,5.258,11.879,6.568,0,0,0,9,7.0,8.381,9.374,10.636,11.775,41.4,0.662,1,0,1.28,0.255,2.126,0.237,13.556,18.007,10.84,3.732,-2.026,1.98,1,0.5,13.013,0.396,8.415,17.127,19.089,21.07,4.369,8.682,8,13.274,4.941,9.516,1,1.14
4.279,1.472,0,0,9.899,9.899,3.007,3.007,6.436,1.275,0.296,15,0,13,2.626,1.804,2.946,1.089,3.989,2.145,4.37,0.657,0,4.643,0,0,8.041,4.492,4.638,7.314,3.83,0,0,0,1,6.114,7.586,8.322,9.574,10.499,35.9,0.702,0,0,1.492,0.186,1.857,0.0,7.391,7.628,5.898,3.428,0.0,0.892,0,0.8,11.655,0.378,7.338,15.894,17.706,19.53,3.766,4.653,1,12.321,4.493,5.487,0,1.42
4.097,1.722,4,4,10.57,10.57,3.095,3.095,6.603,1.238,0.225,13,4,5,5.783,3.45,2.974,1.218,4.056,2.043,4.381,1.021,8,5.313,2,2,16.121,5.139,5.221,14.04,7.916,0,0,0,9,7.03,8.441,9.408,10.671,11.791,41.0,0.669,1,1,1.315,0.259,2.099,-0.249,14.119,15.544,12.359,3.832,-1.854,1.392,1,0.556,13.02,0.351,8.382,17.092,19.041,21.009,4.347,9.337,8,13.27,5.08,11.023,2,1.208
4.192,1.742,6,6,10.57,10.57,3.095,3.095,6.603,1.235,0.178,11,6,4,5.028,3.004,2.975,1.213,4.056,2.024,4.372,1.083,12,5.207,3,3,15.019,5.017,5.084,13.024,6.989,0,0,0,11,6.98,8.359,9.361,10.615,11.753,45.5,0.643,2,2,1.237,0.303,2.263,0.422,12.387,14.687,12.804,3.518,-1.77,0.982,1,0.433,12.982,0.424,8.305,17.011,18.971,20.95,4.212,9.103,8,13.162,4.994,10.362,2,1.067
4.097,2.291,0,0,8.556,8.556,2.801,2.801,6.023,1.121,0.288,9,0,6,2.133,1.31,2.699,1.112,3.765,2.026,4.164,0.672,3,4.816,0,0,8.697,4.656,4.801,7.643,3.647,0,0,0,4,6.112,7.504,8.188,9.375,10.224,39.1,0.658,0,0,1.31,0.189,1.897,0.0,7.79,9.235,7.451,3.626,0.0,2.03,0,0.714,11.319,0.299,7.13,15.62,17.371,19.131,3.717,5.294,1,12.157,4.629,6.505,0,1.339
4.097,1.597,0,0,8.834,8.834,2.868,2.868,6.084,1.242,0.236,6,0,4,4.902,3.273,2.816,1.083,3.848,1.968,4.224,0.843,0,4.659,0,0,7.475,4.51,4.512,9.74,6.821,0,0,0,4,6.176,7.551,8.434,9.645,10.674,35.1,0.702,0,0,1.297,0.241,1.297,0.0,9.24,6.144,5.414,3.912,0.0,0.4,0,0.625,11.83,0.524,7.867,16.594,18.56,20.544,3.738,5.792,1,12.737,4.5,6.562,0,1.281
4.536,1.306,7,7,11.316,11.316,3.184,3.184,6.85,1.618,0.13,23,6,26,5.609,4.35,3.145,1.256,4.172,2.178,4.471,1.187,16,5.421,3,3,22.065,5.176,5.464,13.766,6.812,1,1,1,12,6.857,8.288,9.355,10.657,11.845,53.3,0.588,4,3,1.165,0.347,2.424,1.578,15.813,21.522,12.75,3.068,0.095,0.0,1,0.333,13.113,0.607,8.242,16.999,18.982,20.979,4.308,7.282,0,13.09,4.972,9.484,0,0.94
4.666,1.556,0,1,8.656,8.656,2.751,2.751,6.032,1.076,0.248,4,1,3,3.786,2.468,2.558,0.974,3.68,1.966,4.127,0.756,0,4.269,0,0,5.478,4.153,4.181,7.234,4.9,0,0,0,3,5.944,7.35,8.144,9.356,10.326,36.4,0.703,0,0,1.329,0.237,1.25,0.0,6.579,4.282,5.631,3.794,0.0,0.473,0,0.667,11.469,0.485,7.294,15.896,17.732,19.58,3.592,4.979,1,12.279,4.252,5.727,0,1.31
4.656,1.227,0,0,6.923,6.923,2.482,2.482,5.332,1.133,0.296,10,0,7,1.601,1.132,2.43,1.044,3.46,2.059,3.903,0.562,0,4.121,0,0,5.22,3.915,3.891,5.381,2.676,0,0,0,0,5.15,6.755,7.221,8.541,9.236,38.5,0.708,0,0,1.476,0.189,2.375,0.0,4.88,3.755,4.162,2.325,0.0,0.0,0,0.938,10.403,0.513,6.447,14.911,16.644,18.388,3.164,3.018,1,11.49,4.018,3.418,0,1.516
4.097,1.868,0,1,9.91,9.91,3.03,3.03,6.386,1.344,0.264,5,0,5,4.854,3.519,2.9,1.22,3.988,2.094,4.384,0.954,0,5.484,0,0,20.525,5.276,5.621,11.64,6.829,0,0,0,10,6.569,8.02,8.78,10.018,10.962,44.9,0.624,1,0,1.382,0.223,2.384,-0.45,14.159,22.109,12.351,3.724,0.0,0.86,0,0.592,12.115,0.282,7.987,16.572,18.411,20.261,4.482,8.468,0,12.945,5.095,8.918,0,1.27
4.097,1.489,4,5,8.766,8.766,2.704,2.704,6.149,1.254,0.243,9,5,4,3.595,2.093,2.606,1.211,3.657,2.044,4.038,0.87,4,5.107,0,0,12.186,4.88,5.081,8.667,5.285,0,0,0,8,6.316,7.734,8.498,9.715,10.666,45.3,0.623,0,0,1.316,0.242,1.921,0.0,7.777,12.244,10.57,3.807,0.0,1.001,0,0.552,11.812,0.376,7.67,16.272,18.117,19.978,3.975,7.011,1,12.643,4.851,7.429,0,1.241
4.097,1.401,0,1,8.727,8.727,2.815,2.815,6.071,1.198,0.279,6,0,5,2.206,1.503,2.758,1.013,3.798,2.052,4.128,0.65,0,4.592,0,0,6.897,4.405,4.406,5.851,3.341,0,0,0,2,6.227,7.639,8.474,9.702,10.698,38.2,0.672,1,0,1.482,0.2,1.268,-0.96,5.904,6.402,5.655,3.819,0.0,0.14,0,0.714,11.857,0.484,7.383,15.983,17.812,19.651,3.588,4.191,1,12.37,4.39,4.602,0,1.369
4.097,1.153,3,4,10.298,10.298,2.945,2.945,6.574,1.474,0.223,14,3,11,4.193,3.332,2.854,1.175,3.914,2.162,4.268,0.907,3,5.11,0,0,16.436,4.903,5.193,10.419,5.129,0,0,0,7,6.461,7.919,8.804,10.082,11.142,47.7,0.623,1,0,1.324,0.259,2.144,0.283,12.101,17.356,10.138,3.316,0.0,0.0,0,0.587,12.357,0.479,7.799,16.449,18.328,20.219,4.192,5.96,0,12.742,4.782,7.543,0,1.217
4.097,1.824,1,1,8.789,8.789,2.868,2.868,6.112,1.296,0.241,15,1,4,4.293,2.821,2.874,1.174,3.868,2.022,4.292,0.795,4,4.956,4,4,9.399,4.789,4.748,9.692,5.613,0,0,0,7,6.735,8.14,9.071,10.324,11.413,36.4,0.676,4,4,1.2,0.236,1.789,-0.679,8.619,6.97,8.089,3.67,0.0,2.047,0,0.571,12.624,0.41,7.883,16.531,18.401,20.286,3.795,6.618,1,12.847,4.812,7.323,2,1.232
4.097,1.414,0,0,9.512,9.512,2.984,2.984,6.256,1.162,0.279,5,0,3,4.62,3.383,2.708,1.1,3.885,1.98,4.458,0.732,0,4.554,0,0,5.805,4.426,4.487,7.405,5.686,0,0,0,2,6.164,7.604,8.401,9.638,10.617,29.7,0.728,0,0,1.53,0.208,1.134,0.0,7.036,5.16,4.657,4.075,0.0,0.4,0,0.769,11.78,0.404,7.642,16.254,18.106,19.97,3.808,5.409,0,12.602,4.4,5.976,0,1.442
4.097,1.485,2,2,10.808,10.808,3.065,3.065,6.7,1.348,0.258,21,2,17,5.469,3.982,2.939,1.145,4.021,2.087,4.348,0.856,7,4.865,0,0,12.303,4.709,4.822,9.524,6.479,0,0,0,3,6.496,7.947,8.794,10.051,11.07,38.1,0.71,0,0,1.394,0.228,1.819,0.0,11.686,10.367,7.988,3.573,0.0,0.214,0,0.75,12.256,0.412,7.91,16.566,18.445,20.337,4.225,5.927,1,12.859,4.637,6.4,0,1.385
4.097,1.469,0,0,9.154,9.154,2.965,2.965,6.2,1.098,0.272,5,0,4,2.215,1.482,2.951,1.072,3.967,1.989,4.365,0.793,6,4.796,0,0,8.921,4.651,4.843,6.747,3.621,0,0,0,5,6.284,7.655,8.464,9.656,10.612,43.2,0.638,0,0,1.354,0.204,2.065,0.0,7.536,8.657,7.462,3.394,0.0,0.86,0,0.6,11.734,0.398,7.455,16.017,17.823,19.638,3.754,5.106,7,12.439,4.449,6.27,2,1.23
4.097,1.931,0,0,8.556,8.556,2.8,2.8,6.023,1.112,0.299,4,0,2,1.697,0.936,2.811,0.852,3.807,2.022,4.157,0.581,0,4.47,0,0,4.517,4.345,4.44,5.563,2.903,0,0,0,2,6.08,7.468,8.205,9.388,10.282,33.3,0.686,0,0,1.294,0.179,1.387,0.0,5.097,5.02,4.656,3.783,0.0,1.485,0,0.729,11.38,0.347,7.04,15.55,17.311,19.08,3.379,4.3,2,12.065,4.373,4.78,0,1.375
4.32,1.05,0,0,9.151,9.151,2.77,2.77,6.268,1.184,0.302,6,0,3,2.278,1.542,2.611,0.885,3.712,2.046,4.102,0.607,0,4.651,0,0,5.867,4.472,4.549,4.96,3.334,0,0,0,2,6.205,7.584,8.416,9.625,10.622,33.3,0.683,0,0,1.329,0.175,1.177,0.0,4.899,5.276,4.638,3.868,0.0,1.001,0,0.75,11.774,0.507,7.594,16.252,18.121,20.004,3.571,3.845,1,12.565,4.353,3.974,0,1.466
4.231,1.951,0,0,8.587,8.587,2.82,2.82,6.034,1.088,0.301,4,0,2,1.813,0.963,2.631,0.966,3.741,2.003,4.193,0.613,0,4.65,0,0,6.129,4.439,4.468,4.443,3.075,0,0,0,2,5.906,7.334,8.021,9.219,10.085,36.8,0.655,0,0,1.504,0.183,1.102,0.0,4.37,5.888,5.079,4.146,0.0,0.0,0,0.75,11.184,0.373,7.14,15.677,17.46,19.253,3.422,4.398,1,12.16,4.346,3.94,0,1.427
4.097,1.618,0,0,8.6,8.6,2.865,2.865,6.005,1.05,0.294,3,0,1,1.533,0.849,2.702,0.985,3.808,1.965,4.31,0.618,0,4.538,0,0,5.147,4.342,4.423,3.428,2.55,0,0,0,2,6.018,7.388,8.121,9.303,10.2,32.4,0.67,0,0,1.407,0.179,0.856,0.0,3.49,4.153,4.067,4.231,0.0,0.98,0,0.739,11.305,0.404,7.144,15.657,17.433,19.219,3.294,4.112,1,12.15,4.279,3.321,0,1.38
4.379,1.816,0,0,7.009,7.009,2.554,2.554,5.359,1.279,0.269,11,0,9,3.022,2.054,2.534,0.901,3.546,2.126,3.969,0.739,6,4.672,0,0,9.843,4.452,4.588,7.122,4.334,0,0,0,3,5.988,7.427,8.123,9.346,10.24,41.5,0.668,0,0,1.492,0.215,1.647,0.0,7.779,9.009,7.627,3.711,0.0,0.0,0,0.729,11.376,0.392,7.081,15.576,17.348,19.135,3.783,5.158,1,12.09,4.428,6.534,0,1.344
4.097,1.271,0,0,9.85,9.85,2.988,2.988,6.431,1.322,0.25,8,0,7,3.868,2.833,2.836,1.1,3.968,2.034,4.416,0.778,0,4.619,0,0,6.941,4.503,4.649,7.915,5.681,0,0,0,2,6.242,7.589,8.414,9.6,10.561,31.4,0.737,0,0,1.37,0.219,1.466,0.0,8.673,7.713,5.629,3.663,0.0,1.624,0,0.813,11.682,0.502,7.842,16.45,18.361,20.285,3.828,5.247,1,12.686,4.433,6.278,0,1.406
4.097,2.329,0,0,8.556,8.556,2.801,2.801,6.023,1.112,0.278,6,0,2,2.578,1.305,2.661,0.916,3.755,2.022,4.157,0.681,0,4.682,0,0,6.044,4.544,4.671,7.403,4.217,0,0,0,3,6.115,7.477,8.179,9.342,10.202,34.9,0.684,0,0,1.269,0.199,1.55,0.0,6.8,7.216,6.257,3.876,0.0,1.956,0,0.679,11.281,0.299,7.13,15.621,17.373,19.133,3.61,5.583,2,12.157,4.563,6.391,0,1.313
4.272,1.75,0,0,9.17,9.17,2.904,2.904,6.172,1.18,0.289,3,0,2,2.396,1.609,2.764,1.09,3.856,2.034,4.268,0.662,0,4.779,0,0,10.328,4.568,4.779,6.863,3.552,0,0,0,3,5.875,7.34,7.997,9.229,10.079,44.2,0.638,0,0,1.447,0.199,1.621,0.0,7.649,10.325,7.567,3.806,0.0,0.657,0,0.708,11.205,0.366,7.168,15.649,17.419,19.199,3.767,4.765,0,12.155,4.512,5.904,1,1.365
4.097,1.458,0,0,8.725,8.725,2.858,2.858,6.066,1.074,0.282,4,0,3,2.073,1.279,2.839,1.044,3.851,1.965,4.265,0.729,3,4.661,0,0,7.439,4.527,4.742,6.075,3.296,0,0,0,4,6.135,7.525,8.289,9.486,10.407,41.5,0.647,0,0,1.359,0.197,1.894,0.0,6.575,7.555,6.514,3.464,0.0,0.86,0,0.625,11.525,0.414,7.345,15.886,17.69,19.503,3.643,4.731,7,12.318,4.377,5.721,3,1.26
4.097,1.698,0,0,9.086,9.086,2.867,2.867,6.153,1.086,0.279,2,0,1,3.151,2.019,2.738,1.064,3.824,1.99,4.214,0.73,0,4.724,0,0,8.419,4.539,4.802,6.637,4.506,0,0,0,4,5.872,7.318,7.995,9.205,10.072,40.9,0.657,0,0,1.416,0.21,1.582,0.0,7.27,9.229,7.214,3.877,0.0,0.86,0,0.731,11.181,0.388,7.345,15.916,17.74,19.576,3.835,5.465,0,12.32,4.506,5.939,0,1.404
4.097,1.26,0,1,7.72,7.72,2.663,2.663,5.613,1.052,0.257,3,1,2,1.913,1.171,2.312,0.96,3.546,1.908,4.065,0.67,3,4.022,0,0,3.187,3.861,3.782,4.904,3.186,0,0,0,2,5.325,6.752,7.384,8.583,9.412,34.6,0.708,0,0,1.327,0.225,0.783,0.0,4.061,2.404,3.838,3.917,0.0,0.0,0,0.706,10.51,0.486,6.676,15.106,16.839,18.581,3.121,3.823,1,11.679,3.946,3.509,0,1.353
