pXC50,nBM,nCsp2,nN,nBT,nAB,Se,nAT,Si,SCBO,O.,nBO,MW,nC,N.,nH,Sp,nHet,Sv,nSK,nDB,C.,nCsp3,nCL,Mi,nO,RBN
5.6,22,16,6,53,21,50.007,50,56.521,42.5,2.0,31,374.49,21,12.0,22,33.58,7,32.058,28,1,42.0,5,0,1.13,1,5
7.2,22,18,4,42,22,39.033,39,43.428,38.0,0.0,27,334.83,19,10.3,15,28.449,5,27.074,24,0,48.7,1,1,1.114,0,4
5.3,17,13,4,46,16,43.247,43,48.318,38.0,4.7,28,334.41,19,9.3,18,29.262,6,28.203,25,0,44.2,5,0,1.124,2,3
5.6,22,16,6,53,22,50.843,50,56.805,44.0,2.0,33,426.92,21,12.0,20,34.375,9,33.268,30,0,42.0,5,1,1.136,1,6
5.6,19,18,2,47,18,45.323,45,50.492,38.0,4.4,28,350.42,21,4.4,19,30.711,5,29.597,26,1,46.7,3,0,1.122,2,6
5.6,15,9,5,41,15,38.138,38,43.192,31.5,2.6,24,283.37,15,13.2,17,25.051,6,23.983,21,0,39.5,6,0,1.137,1,3
5.6,11,7,5,45,10,43.232,43,49.232,30.0,4.7,24,303.41,15,11.6,21,27.029,7,25.751,22,1,34.9,8,0,1.145,2,3
5.4,23,20,4,44,22,41.549,41,46.034,41.0,2.4,29,346.39,20,9.8,15,28.983,6,28.345,26,1,48.8,0,0,1.123,1,3
5.6,23,20,4,50,22,48.341,47,53.543,45.0,2.1,33,410.43,22,8.5,17,32.381,8,32.165,30,1,46.8,2,0,1.139,1,3
7.6,29,25,5,58,28,56.032,54,61.301,56.0,1.9,41,523.55,26,9.3,17,38.972,11,38.756,37,1,48.1,1,0,1.135,1,4
6.2,20,14,4,43,20,39.592,40,44.9,35.0,0.0,25,290.4,18,10.0,18,27.353,4,25.773,22,0,45.0,4,0,1.122,0,2
9.0,29,24,7,69,27,65.28,65,72.979,57.5,3.1,42,525.69,28,10.8,27,45.211,10,43.034,38,2,43.1,4,0,1.123,2,6
5.6,13,11,4,33,11,31.593,31,34.807,30.5,3.2,22,286.74,14,12.9,11,22.381,6,21.735,20,1,45.2,2,1,1.123,1,1
6.0,24,20,6,54,22,51.527,51,57.235,47.0,3.9,34,432.55,22,11.8,20,35.921,9,34.433,31,2,43.1,2,0,1.122,2,4
5.6,19,18,2,50,18,47.694,48,53.567,38.0,4.2,28,346.46,22,4.2,22,32.534,4,30.74,26,1,45.8,4,0,1.116,2,5
5.2,24,21,6,80,22,76.403,77,87.052,55.0,2.6,42,526.75,31,7.8,38,50.126,8,46.987,39,2,40.3,10,0,1.131,2,10
5.6,18,16,3,35,17,33.051,33,36.78,31.5,3.0,22,263.32,16,9.1,13,23.279,4,22.413,20,1,48.5,0,0,1.115,1,2
8.801,28,23,6,56,27,52.712,52,58.365,51.5,1.9,37,458.56,24,11.5,19,37.404,9,36.101,33,1,46.2,1,0,1.122,1,4
4.6,16,13,2,29,16,27.393,27,30.076,27.0,7.4,19,226.25,13,7.4,10,18.966,4,18.58,17,0,48.1,0,0,1.114,2,1
5.2,22,19,1,48,21,45.105,45,49.584,41.5,6.7,30,471.31,22,2.2,18,33.881,5,31.224,27,1,48.9,3,0,1.102,3,4
5.6,15,16,2,39,12,37.564,37,41.036,34.0,8.1,25,326.4,17,5.4,14,26.591,6,25.535,23,3,45.9,1,0,1.109,3,3
5.6,17,14,4,36,16,34.382,34,38.12,32.0,2.9,23,345.22,15,11.8,13,24.637,6,23.46,21,1,44.1,1,0,1.121,1,3
5.6,17,12,5,40,16,36.447,36,40.282,36.0,2.8,27,323.41,16,13.9,13,26.176,7,25.116,23,1,44.4,4,0,1.119,1,1
5.6,26,20,5,57,26,52.789,53,59.438,47.0,1.9,34,397.52,24,9.4,23,36.336,6,34.563,30,0,45.3,4,0,1.121,1,6
5.6,17,12,4,43,15,41.247,41,46.318,34.5,4.9,25,310.39,17,9.8,18,27.262,6,26.203,23,2,41.5,5,0,1.13,2,4
5.6,17,14,2,30,16,28.654,28,31.127,30.0,3.6,21,272.32,14,7.1,9,21.097,5,20.435,19,1,50.0,0,0,1.112,1,2
5.6,20,20,3,55,18,53.334,52,59.085,46.0,3.8,35,439.47,24,5.8,20,35.353,8,34.912,32,2,46.2,4,0,1.136,2,3
7.0,21,17,7,68,18,66.047,65,73.655,52.0,6.2,40,590.56,24,10.8,28,44.233,13,42.016,37,3,36.9,7,0,1.133,4,8
5.2,13,13,1,46,12,45.458,44,50.298,35.0,6.8,28,365.38,19,2.3,18,28.796,7,28.584,26,1,43.2,6,0,1.143,3,6
5.6,20,20,3,47,18,45.029,45,50.235,39.0,4.4,28,345.43,21,6.7,19,31.017,5,29.708,26,2,46.7,1,0,1.116,2,4
5.6,23,17,6,55,22,53.36,52,59.41,47.0,3.8,35,438.48,22,11.5,20,34.909,10,34.539,32,1,42.3,5,0,1.142,2,6
5.6,21,15,6,51,21,47.636,47,53.445,42.5,2.1,32,378.45,20,12.8,19,31.756,8,30.914,28,0,42.6,5,0,1.137,1,4
5.2,24,21,5,76,22,72.745,73,82.348,54.0,4.1,41,513.7,30,6.8,35,47.813,8,45.153,38,2,41.1,9,0,1.128,3,8
5.8,23,18,8,60,22,56.211,56,63.517,48.0,1.8,36,428.55,23,14.3,24,37.591,9,36.1,32,1,41.1,5,0,1.134,1,5
5.2,9,10,2,31,6,30.68,30,33.621,25.0,10.0,19,264.33,12,6.7,12,20.83,6,20.008,18,3,40.0,2,0,1.121,3,3
5.6,21,21,5,62,18,58.556,59,66.268,47.0,1.7,35,425.58,26,8.5,27,39.858,6,37.617,32,3,44.1,5,0,1.123,1,7
5.9,34,28,8,86,33,80.032,80,89.723,69.5,2.5,52,630.84,35,10.0,34,55.5,11,52.636,46,1,43.8,7,0,1.122,2,9
5.0,16,13,3,29,16,27.353,27,30.495,27.0,0.0,19,227.26,13,11.1,10,19.0,4,18.555,17,0,48.1,0,0,1.129,0,1
5.2,19,18,2,53,18,51.091,51,57.322,40.0,3.9,30,378.48,23,3.9,23,34.233,5,32.651,28,1,45.1,5,0,1.124,2,7
6.2,24,21,5,50,23,47.534,47,52.947,44.5,2.1,32,387.45,22,10.6,18,32.75,7,31.893,29,1,46.8,1,0,1.127,1,3
5.6,12,8,4,35,11,34.625,34,38.954,26.5,2.9,20,282.38,12,11.8,15,22.631,7,21.532,19,1,35.3,4,0,1.146,1,6
5.6,13,11,4,26,12,24.502,24,27.033,25.0,4.2,18,212.23,11,16.7,8,17.0,5,16.854,16,1,45.8,0,0,1.126,1,0
5.3,22,17,6,44,22,42.705,41,46.899,42.0,2.4,31,402.82,18,14.6,13,29.029,10,29.071,28,0,43.9,1,1,1.144,1,4
7.3,30,25,5,60,28,55.982,56,61.943,56.0,1.8,39,475.61,28,8.9,21,41.222,7,39.223,35,1,50.0,1,0,1.106,1,3
5.6,18,15,5,51,17,49.771,48,55.251,42.5,4.2,33,417.43,20,10.4,18,31.841,10,31.901,30,1,41.7,5,0,1.151,2,3
5.6,29,26,4,65,28,60.781,61,67.979,54.0,3.3,39,462.59,29,6.6,26,42.307,6,40.31,35,1,47.5,3,0,1.114,2,8
5.6,23,20,3,45,22,41.818,42,46.611,40.0,2.4,28,327.41,21,7.1,17,29.801,4,28.467,25,1,50.0,1,0,1.11,1,4
5.6,27,21,6,50,27,45.912,46,51.481,45.5,0.0,32,366.46,22,13.0,18,32.603,6,31.289,28,0,47.8,1,0,1.119,0,4
8.9,28,23,6,64,27,61.647,60,67.954,56.5,5.0,42,536.61,26,10.0,22,41.773,12,40.968,38,1,43.3,3,0,1.133,3,7
5.6,19,14,4,51,16,49.418,49,55.278,40.0,6.1,29,386.52,19,8.2,22,32.887,8,31.158,27,3,38.8,5,0,1.128,3,7
5.6,19,14,4,39,17,36.269,36,39.863,39.5,2.8,27,312.35,19,11.1,12,26.523,5,25.908,24,0,52.8,2,0,1.107,1,2
5.6,13,12,3,37,12,35.818,36,40.611,27.0,2.8,20,255.35,15,8.3,17,23.801,4,22.467,19,1,41.7,3,0,1.128,1,6
5.6,17,13,6,55,16,52.774,53,60.351,38.0,1.9,29,366.52,20,11.3,26,34.103,7,32.111,27,1,37.7,7,0,1.139,1,9
5.3,13,14,0,31,12,30.611,30,33.329,26.0,13.3,19,244.26,14,0.0,12,20.386,4,20.02,18,1,46.7,0,0,1.111,4,2
5.2,18,16,2,41,16,38.814,38,42.325,37.0,10.5,27,322.34,18,5.3,14,26.398,6,26.063,24,2,47.4,2,0,1.114,4,2
5.6,19,14,2,36,16,34.756,34,37.541,35.0,8.8,24,332.43,15,5.9,12,25.477,7,24.195,22,3,44.1,1,0,1.104,3,3
5.2,8,7,1,42,6,40.592,41,46.069,27.0,4.9,21,271.39,17,2.4,21,26.529,3,24.719,20,1,41.5,8,0,1.124,2,5
5.6,17,14,3,31,16,29.491,29,32.309,30.0,3.4,21,271.72,14,10.3,10,21.375,5,20.714,19,1,48.3,0,1,1.114,1,2
6.1,24,20,6,51,22,48.643,48,53.82,46.0,4.2,33,418.52,21,12.5,18,34.159,9,32.906,30,2,43.8,1,0,1.121,2,4
5.6,19,18,2,52,17,48.694,49,54.567,40.5,4.1,30,358.47,23,4.1,22,33.534,4,31.74,27,2,46.9,5,0,1.114,2,3
5.6,15,15,1,32,12,31.273,30,33.206,32.0,16.7,23,283.25,15,3.3,9,21.324,6,21.703,21,3,50.0,0,0,1.107,5,2
5.6,26,20,4,53,26,48.88,49,54.444,46.0,2.0,33,400.54,23,8.2,20,35.216,6,33.202,29,0,46.9,3,0,1.111,1,6
5.6,25,16,6,50,25,47.592,46,52.579,46.5,4.3,34,410.42,20,13.0,16,31.387,10,31.485,30,0,43.5,4,0,1.143,2,4
4.0,10,6,3,16,10,15.265,15,16.83,16.0,0.0,11,151.21,6,20.0,5,11.426,4,10.778,10,0,40.0,0,0,1.122,0,0
5.6,15,16,2,38,12,36.236,36,39.827,33.0,5.6,24,310.4,17,5.6,14,26.137,5,24.82,22,3,47.2,1,0,1.106,2,3
5.8,11,7,5,33,11,32.233,32,36.329,24.5,0.0,19,328.27,11,15.6,14,22.836,7,20.953,18,0,34.4,4,0,1.135,0,4
5.2,19,14,3,47,16,45.76,45,50.574,39.0,8.9,28,373.47,18,6.7,19,30.574,8,29.325,26,3,40.0,4,0,1.124,4,6
5.6,9,10,1,27,6,26.771,26,28.627,24.0,11.5,18,267.35,11,3.8,9,19.71,6,18.647,17,3,42.3,1,0,1.101,3,2
5.2,23,24,5,84,18,79.956,80,89.972,61.0,5.0,47,579.76,34,6.3,37,53.029,9,50.395,43,5,42.5,10,0,1.125,4,7
5.6,12,10,2,27,10,27.116,26,28.884,26.0,7.7,19,303.18,11,7.7,8,20.33,7,19.422,18,2,42.3,1,2,1.111,2,2
5.6,23,19,6,49,22,46.316,46,51.61,43.0,2.2,31,390.51,20,13.0,18,32.705,8,31.191,28,1,43.5,1,0,1.122,1,3
7.5,23,20,4,53,22,52.323,50,57.172,48.0,8.0,36,458.43,22,8.0,17,33.745,11,34.309,33,1,44.0,2,0,1.143,4,5
7.0,24,20,5,66,22,61.632,62,69.188,53.0,1.6,39,481.67,28,8.1,27,43.506,7,40.804,35,1,45.2,6,0,1.116,1,4
5.7,29,26,4,65,28,61.105,61,67.923,55.0,3.3,40,497.03,29,6.6,25,43.165,7,41.137,36,1,47.5,3,1,1.113,2,8
5.2,18,12,4,30,15,29.484,28,31.661,32.5,14.3,22,272.24,12,14.3,8,19.364,8,19.998,20,3,42.9,0,0,1.131,4,3
6.1,16,12,4,43,16,39.92,40,45.109,33.0,2.5,25,294.39,17,10.0,18,26.807,5,25.488,22,0,42.5,5,0,1.128,1,2
5.6,18,15,4,40,17,41.112,38,44.732,39.5,2.6,30,400.31,17,10.5,10,25.671,11,27.261,28,1,44.7,2,0,1.177,1,2
7.2,23,17,9,62,22,57.985,58,65.806,50.0,0.0,37,439.58,24,15.5,25,39.142,9,37.407,33,0,41.4,6,0,1.135,0,6
6.9,29,21,5,50,26,47.062,46,51.036,51.0,6.5,35,449.55,21,10.9,15,34.494,10,33.26,31,3,45.7,0,0,1.109,3,5
5.6,11,12,3,28,6,27.378,26,28.898,31.0,11.5,22,287.67,13,11.5,6,19.761,7,20.09,20,4,50.0,0,1,1.111,3,0
5.5,16,11,6,46,16,43.12,43,48.84,35.0,0.0,27,342.87,17,14.0,19,29.222,7,27.644,24,0,39.5,6,1,1.136,0,3
5.2,21,19,2,42,18,39.793,39,42.878,41.0,7.7,29,429.31,19,5.1,13,29.943,7,28.56,26,3,48.7,0,0,1.099,3,3
5.6,17,14,3,31,16,29.491,29,32.309,30.0,3.4,21,271.72,14,10.3,10,21.375,5,20.714,19,1,48.3,0,1,1.114,1,2
5.6,16,13,2,35,16,32.909,33,36.617,29.0,3.0,21,270.38,15,6.1,14,23.682,4,22.106,19,0,45.5,2,0,1.11,1,4
5.2,17,14,2,29,17,27.065,27,29.867,27.5,3.7,19,222.26,14,7.4,10,19.512,3,18.865,17,0,51.9,0,0,1.106,1,1
5.6,19,14,4,48,16,46.534,46,51.863,39.0,6.5,28,372.49,18,8.7,20,31.125,8,29.632,26,3,39.1,4,0,1.127,3,6
5.7,23,20,5,49,22,46.251,46,51.449,43.0,2.2,31,436.34,21,10.9,18,33.165,7,31.535,28,1,45.7,1,0,1.118,1,3
5.2,23,20,5,67,22,63.792,63,71.572,52.0,3.2,40,491.59,27,7.9,27,41.949,9,40.625,36,1,42.9,7,0,1.136,2,6
8.801,28,23,6,63,27,59.294,59,66.065,53.5,3.4,39,484.63,26,10.2,24,41.443,9,39.486,35,1,44.1,3,0,1.12,2,6
5.6,19,18,2,44,18,41.927,42,46.737,36.0,4.8,26,318.4,20,4.8,18,29.012,4,27.687,24,1,47.6,2,0,1.113,2,5
5.6,17,14,2,30,16,28.654,28,31.127,30.0,3.6,21,272.32,14,7.1,9,21.097,5,20.435,19,1,50.0,0,0,1.112,1,2
5.7,13,11,6,51,12,48.891,49,55.936,34.0,2.0,27,340.48,18,12.2,24,31.341,7,29.584,25,1,36.7,7,0,1.142,1,5
6.3,23,20,3,42,22,39.96,39,43.875,41.0,2.6,29,349.36,20,7.7,13,27.915,6,27.706,26,1,51.3,0,0,1.125,1,3
5.6,17,14,1,29,16,27.88,27,29.838,30.0,7.4,21,273.3,14,3.7,8,20.546,5,20.129,19,1,51.9,0,0,1.105,2,2
5.4,13,10,4,34,11,33.153,32,36.124,30.5,9.4,23,351.18,13,12.5,11,22.784,8,22.362,21,2,40.6,3,0,1.129,3,4
5.2,17,14,3,32,16,30.494,30,33.575,30.0,6.7,21,253.28,14,10.0,11,20.972,5,20.601,19,1,46.7,0,0,1.119,2,2
4.0,15,10,3,27,15,25.611,25,28.159,25.5,8.0,18,215.23,11,12.0,9,17.21,5,17.074,16,0,44.0,1,0,1.126,2,2
6.9,22,17,5,46,21,43.465,43,48.402,40.5,4.7,29,347.41,19,11.6,17,29.506,7,28.697,26,1,44.2,2,0,1.126,2,5
5.6,12,10,1,24,10,23.036,22,23.868,26.0,9.1,19,330.59,11,4.5,5,19.057,6,18.071,17,2,50.0,1,1,1.085,2,0
5.6,22,18,4,52,22,49.011,49,54.883,42.0,2.0,31,392.92,22,8.2,21,34.188,6,32.369,28,0,44.9,4,1,1.12,1,6
5.6,23,20,4,53,22,49.687,50,55.939,43.0,2.0,31,370.49,23,8.0,22,34.33,5,32.542,28,1,46.0,3,0,1.119,1,7
5.2,25,21,6,70,22,66.869,67,75.391,55.0,3.0,40,494.65,29,9.0,30,45.08,8,42.88,37,2,43.3,7,0,1.125,2,7
5.5,19,18,2,47,18,44.811,45,50.152,37.0,4.4,27,332.43,21,4.4,20,30.773,4,29.214,25,1,46.7,3,0,1.114,2,5
5.6,21,15,6,39,21,36.214,36,40.371,36.5,0.0,26,416.25,16,16.7,13,27.739,7,25.552,23,0,44.4,1,0,1.121,0,3
5.6,20,20,3,48,18,46.618,46,51.495,41.0,4.3,30,395.49,21,6.5,18,32.603,7,31.279,28,2,45.7,1,0,1.119,2,5
5.6,13,10,4,44,11,43.414,42,48.077,34.5,9.5,27,348.37,16,9.5,17,27.108,9,27.016,25,2,38.1,6,0,1.145,4,3
5.5,16,12,3,27,16,25.033,25,27.661,26.0,0.0,18,227.31,12,12.0,9,18.949,4,17.832,16,0,48.0,0,0,1.106,0,1
5.6,14,11,5,35,12,35.022,34,38.515,32.0,5.9,23,317.76,14,14.7,12,23.841,8,23.471,22,1,41.2,2,1,1.133,2,3
5.6,22,14,8,39,20,37.505,36,40.66,41.0,5.6,29,386.46,14,22.2,10,27.011,12,26.502,26,2,38.9,0,0,1.129,2,5
5.6,21,15,5,45,21,40.811,41,45.983,38.5,0.0,28,315.41,19,12.2,17,28.597,5,27.268,24,0,46.3,4,0,1.122,0,4
6.1,23,20,4,57,22,53.342,53,59.358,47.0,5.7,35,414.5,24,7.5,22,36.239,7,34.971,31,1,45.3,4,0,1.12,3,7
5.7,21,21,4,61,18,58.88,58,65.192,49.0,8.6,37,460.53,25,6.9,24,38.909,9,37.928,34,3,43.1,4,0,1.124,5,6
5.6,10,6,5,33,10,32.651,32,36.707,24.0,6.3,19,363.19,10,15.6,14,22.404,8,20.487,18,0,31.3,4,0,1.147,2,4
5.6,18,14,5,33,17,32.0,31,35.286,32.5,3.2,23,283.29,14,16.1,10,21.705,7,21.786,21,1,45.2,0,0,1.138,1,2
5.6,17,14,2,30,16,29.167,28,31.466,31.0,3.6,22,290.31,14,7.1,8,21.034,6,20.819,20,1,50.0,0,0,1.124,1,2
5.6,15,15,3,36,12,35.025,34,37.878,34.0,5.9,25,348.2,16,8.8,11,25.449,7,24.783,23,3,47.1,1,2,1.114,2,5
5.4,20,16,3,44,18,42.549,42,46.95,38.0,7.1,27,355.45,18,7.1,17,29.358,7,28.083,25,2,42.9,2,0,1.118,3,5
5.5,13,13,2,44,12,43.465,43,48.571,31.0,9.3,24,316.39,17,4.7,20,27.682,6,26.643,23,1,39.5,4,0,1.13,4,5
6.1,22,18,4,55,22,52.669,52,58.568,44.0,7.7,33,406.48,22,7.7,22,34.693,8,33.686,30,0,42.3,4,0,1.126,4,7
6.833,28,21,9,91,26,85.152,85,96.341,67.0,3.5,52,621.82,34,10.6,39,55.836,12,53.239,46,2,40.0,13,0,1.133,3,6
6.4,20,18,8,73,18,69.072,69,78.388,52.0,2.9,41,500.67,27,11.6,32,45.091,10,42.922,37,2,39.1,9,0,1.136,2,7
5.6,15,8,6,23,15,21.687,21,23.91,24.5,0.0,17,218.27,8,28.6,6,15.682,7,15.316,15,0,38.1,0,0,1.139,0,0
5.6,22,16,7,60,22,57.061,57,64.98,45.0,0.0,34,419.56,23,12.3,26,37.591,8,35.801,31,0,40.4,7,0,1.14,0,7
5.6,20,14,4,31,20,28.058,28,31.239,31.0,0.0,21,234.28,14,14.3,10,20.307,4,19.666,18,0,50.0,0,0,1.116,0,1
5.5,17,15,3,32,12,30.611,29,32.005,37.0,13.8,26,372.14,15,10.3,6,22.71,8,23.002,23,5,51.7,0,0,1.104,4,1
5.2,19,15,4,44,16,42.338,41,46.001,41.0,7.3,30,405.26,18,9.8,14,29.671,9,29.046,27,3,43.9,3,2,1.122,3,2
6.4,23,20,4,45,22,42.342,42,46.455,42.0,2.4,30,439.36,20,9.5,15,32.046,7,30.174,27,1,47.6,0,0,1.106,1,3
5.6,19,18,3,49,18,46.912,47,52.651,38.0,4.3,28,347.45,21,6.4,21,31.779,5,30.235,26,1,44.7,3,0,1.12,2,6
5.6,23,20,4,51,22,47.88,48,53.444,43.0,2.1,31,388.53,22,8.3,20,34.216,6,32.202,28,1,45.8,2,0,1.113,1,3
8.6,22,18,4,56,22,52.342,52,58.358,45.0,5.8,34,402.49,23,7.7,22,35.239,7,33.971,30,0,44.2,5,0,1.122,3,5
5.9,16,12,3,42,16,39.702,40,45.026,31.0,2.5,23,281.39,17,7.5,19,26.563,4,24.993,21,0,42.5,5,0,1.126,1,3
5.6,18,14,5,36,17,35.909,34,39.381,35.5,2.9,26,333.3,15,14.7,10,23.341,9,24.079,24,1,44.1,1,0,1.158,1,2
5.6,25,16,6,50,25,47.592,46,52.579,46.5,4.3,34,410.42,20,13.0,16,31.387,10,31.485,30,0,43.5,4,0,1.143,2,4
6.5,24,20,6,54,22,51.778,51,57.524,47.0,5.9,34,416.48,22,11.8,20,34.728,9,33.96,31,2,43.1,2,0,1.128,3,5
7.5,29,25,6,63,28,60.2,58,65.959,59.0,5.2,44,532.52,27,10.3,19,40.301,12,40.637,39,1,46.6,2,0,1.137,3,4
5.6,19,18,2,40,18,37.716,38,42.112,34.0,2.6,24,288.37,19,5.3,16,26.796,3,25.445,22,1,50.0,1,0,1.108,1,4
6.2,23,17,6,45,22,42.542,42,47.406,43.0,0.0,30,358.41,20,14.3,15,29.779,7,29.146,27,0,47.6,2,0,1.129,0,4
5.6,22,16,6,50,21,47.123,47,53.106,41.5,2.1,30,360.46,20,12.8,20,31.819,7,30.531,27,1,42.6,4,0,1.13,1,6
5.6,13,11,4,26,12,24.571,24,26.754,26.0,4.2,19,338.12,11,16.7,7,19.659,6,18.171,17,1,45.8,0,0,1.115,1,0
5.2,25,22,4,64,22,61.436,61,68.398,52.0,6.6,38,470.57,27,6.6,26,41.216,8,39.74,35,3,44.3,5,0,1.121,4,8
5.6,16,12,3,31,15,29.756,29,32.625,29.5,3.4,21,275.33,13,10.3,10,21.102,6,20.457,19,1,44.8,1,0,1.125,1,2
5.2,15,17,1,38,12,35.942,36,39.824,32.0,5.6,23,277.34,18,2.8,15,25.245,3,24.139,21,3,50.0,1,0,1.106,2,3
5.4,12,10,3,42,11,40.353,40,45.179,30.5,5.0,24,319.82,16,7.5,18,26.875,6,25.536,22,1,40.0,6,1,1.129,2,3
5.6,22,16,7,60,21,55.992,56,63.434,46.5,1.8,35,415.55,23,12.5,25,37.347,8,35.606,31,1,41.1,7,0,1.133,1,4
5.7,21,17,6,55,18,54.578,53,60.409,46.0,7.5,34,460.54,20,11.3,21,35.529,12,34.772,32,3,37.7,3,0,1.14,4,8
6.5,24,20,5,76,22,72.167,73,81.849,55.0,1.4,41,525.78,31,6.8,35,49.552,7,45.911,38,1,42.5,9,0,1.121,1,10
5.2,20,14,4,34,20,31.171,31,34.496,33.0,0.0,23,327.2,15,12.9,11,23.421,5,22.218,20,0,48.4,1,0,1.113,0,1
5.2,17,14,2,30,16,28.371,28,30.628,30.0,3.6,21,333.22,14,7.1,9,22.512,5,21.077,19,1,50.0,0,0,1.094,1,2
5.6,22,16,6,56,22,53.916,53,60.615,45.0,1.9,34,424.5,22,11.3,22,35.216,9,34.351,31,0,41.5,6,0,1.144,1,6
5.9,34,28,8,83,33,77.149,77,86.308,68.5,2.6,51,616.81,34,10.4,32,53.739,11,51.109,45,1,44.2,6,0,1.121,2,8
5.2,24,21,5,74,22,71.189,71,80.142,54.0,5.6,41,515.67,29,7.0,33,46.506,9,44.341,38,2,40.8,8,0,1.129,4,10
5.2,22,22,1,51,18,48.033,48,52.598,47.0,4.2,33,411.9,26,2.1,18,35.625,4,34.02,30,3,54.2,3,1,1.096,2,4
5.4,14,11,3,43,11,40.549,40,44.95,34.5,7.5,26,331.43,16,7.5,17,27.358,7,26.083,23,3,40.0,5,0,1.124,3,4
5.3,21,14,5,35,20,32.389,32,35.579,37.0,0.0,25,352.21,16,15.6,10,24.665,6,23.713,22,0,50.0,1,0,1.112,0,1
5.2,18,15,3,46,17,44.105,44,49.155,36.5,4.5,27,353.48,19,6.8,19,30.665,6,28.895,25,1,43.2,4,0,1.117,2,5
5.6,23,20,4,46,22,42.036,42,46.694,42.0,2.4,30,340.41,21,9.5,16,30.046,5,28.961,26,1,50.0,1,0,1.112,1,3
6.7,23,20,4,52,22,49.971,49,55.283,45.0,6.1,33,406.45,22,8.2,19,33.415,8,32.828,30,1,44.9,2,0,1.128,3,4
5.6,18,15,4,41,17,40.902,39,44.922,37.5,5.1,28,362.34,17,10.3,13,26.313,9,26.826,26,1,43.6,2,0,1.152,2,3
5.6,15,15,3,39,12,38.8,37,42.424,36.0,5.4,27,347.32,17,8.1,12,25.307,8,25.805,25,3,45.9,2,0,1.147,2,5
5.6,13,11,4,33,11,31.338,31,34.584,30.5,3.2,22,378.19,14,12.9,11,24.182,6,22.224,20,1,45.2,2,0,1.116,1,1
5.6,23,20,4,52,22,48.36,49,54.73,42.0,0.0,30,354.49,23,8.2,22,33.875,4,31.827,27,1,46.9,3,0,1.117,0,5
8.1,24,21,5,55,22,52.822,52,58.492,48.0,3.8,35,449.55,23,9.6,20,36.614,9,35.321,32,2,44.2,2,0,1.125,2,5
5.6,19,17,4,41,16,39.127,38,42.376,40.0,5.3,29,387.24,18,10.5,12,28.455,8,27.804,26,3,47.4,1,2,1.115,2,5
6.5,24,20,5,61,22,57.749,58,64.773,50.0,1.7,36,455.63,26,8.6,25,40.745,7,38.277,33,1,44.8,4,0,1.117,1,3
7.5,22,17,8,58,22,54.207,54,61.252,46.0,0.0,35,434.98,22,14.8,23,36.995,9,35.213,31,0,40.7,5,1,1.134,0,5
5.6,22,17,5,48,21,45.022,45,50.607,40.5,2.2,29,345.44,20,11.1,19,30.813,6,29.509,26,1,44.4,3,0,1.125,1,4
5.2,24,21,6,71,22,67.752,68,76.806,52.0,2.9,39,484.66,28,8.8,32,44.841,8,42.406,36,2,41.2,7,0,1.13,2,7
5.6,25,21,6,64,22,61.101,61,68.561,53.0,3.3,38,466.59,27,9.8,26,41.557,8,39.826,35,2,44.3,5,0,1.124,2,6
6.8,24,20,5,61,22,57.749,58,64.773,50.0,1.7,36,455.63,26,8.6,25,40.745,7,38.277,33,1,44.8,4,0,1.117,1,4
5.6,17,12,5,38,16,37.28,36,41.456,34.0,2.8,25,317.33,15,13.9,13,24.165,8,24.222,23,1,41.7,3,0,1.152,1,4
5.6,18,15,4,40,17,41.112,38,44.732,39.5,2.6,30,400.31,17,10.5,10,25.671,11,27.261,28,1,44.7,2,0,1.177,1,2
6.2,24,20,6,51,22,48.643,48,53.82,46.0,4.2,33,418.52,21,12.5,18,34.159,9,32.906,30,2,43.8,1,0,1.121,2,4
5.6,23,20,3,45,23,41.818,42,46.611,39.5,2.4,28,327.41,21,7.1,17,29.801,4,28.467,25,0,50.0,1,0,1.11,1,5
5.2,28,22,6,60,24,58.065,57,64.069,54.0,7.0,38,490.59,24,10.5,22,39.591,11,38.389,35,4,42.1,2,0,1.124,4,7
5.2,18,15,5,39,18,37.254,37,41.777,33.0,2.7,24,293.36,16,13.5,15,25.29,6,24.456,22,0,43.2,1,0,1.129,1,4
8.611,28,23,6,60,27,56.923,56,62.99,53.5,3.6,39,488.59,25,10.7,21,39.62,10,38.343,35,1,44.6,2,0,1.125,2,6
6.0,19,19,2,40,17,37.16,37,40.907,36.5,5.4,26,302.35,19,5.4,14,26.489,4,25.633,23,2,51.4,0,0,1.106,2,2
4.0,16,13,2,31,16,28.949,29,32.282,27.0,3.4,19,224.28,14,6.9,12,20.273,3,19.392,17,0,48.3,1,0,1.113,1,1
6.1,18,16,4,42,17,39.873,39,43.978,37.5,2.6,28,356.81,18,10.3,14,27.841,7,27.172,25,1,46.2,2,1,1.128,1,2
6.6,25,24,4,61,23,56.898,57,63.564,50.5,3.5,37,436.55,27,7.0,24,39.546,6,37.783,33,2,47.4,3,0,1.115,2,7
5.6,15,15,3,36,12,34.702,34,37.934,33.0,5.9,24,313.76,16,8.8,12,24.591,6,23.955,22,3,47.1,1,1,1.116,2,5
5.6,18,15,4,37,17,37.014,35,40.242,36.5,2.9,27,366.75,16,11.4,10,24.955,9,25.412,25,1,45.7,1,1,1.15,1,2
