pXC50,Eig10_AEA.bo.,Eig10_EA.bo.,Eig09_EA.bo.,Eig04_AEA.ri.,Eig09_EA,SM03_AEA.dm.,Eig10_EA,SM04_AEA.dm.,NaasC,Eig04_EA.ri.,CATS2D_03_DA,Eig09_AEA.bo.,nCb.,P_VSA_LogP_3,SaasC,Eig09_EA.ed.,SM04_AEA.ri.,Eig04_EA.ed.,SM13_AEA.dm.,Eig12_AEA.dm.,Eig07_AEA.ri.,Eig07_EA.ri.,Eig08_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.ri.,Eig06_AEA.bo.,Eig06_EA.ri.,Eig07_EA.bo.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig09_EA.ri.,Eig11_EA.ed.,SM06_AEA.ri.,SpMaxA_AEA.bo.,SpMaxA_AEA.ed.,SpMaxA_AEA.ri.,SpMaxA_EA,TPC,Wap,X2,SpMax6_Bh.m.,CATS2D_04_LL,Eig06_EA.bo.,Eig10_AEA.ed.,Eig06_EA,SM14_AEA.bo.,ATS5v,ATS6v,BBI,BID,CATS2D_03_LL,CID,Eig05_AEA.ri.,Eig05_EA,Eig13_AEA.bo.,Eig13_AEA.ed.,Eig13_EA.bo.,Eig13_EA.ed.
4.051,2.282,1.185,1.475,3.056,1.0,1.0,0.881,0.881,3,1.967,0,2.53,5,90.665,0.021,2.303,2.303,6.731,6.731,0.452,2.25,1.234,0.994,12.234,12.234,12.234,12.234,12.234,12.753,3.048,1.542,1.823,2.554,1.539,0.977,0.495,0.495,0.202,0.312,0.181,0.144,6.967,8584.0,10.231,3.063,1,2.322,3.355,1.548,1.548,3.713,3.532,37,3.19,5,3.861,2.743,1.745,0.923,2.481,-0.794,-1.342
4.638,0.935,-0.503,-0.156,2.903,-0.13,-0.13,-0.399,-0.399,5,1.806,0,1.143,2,47.381,-1.149,-0.296,-0.296,5.463,5.463,-0.056,2.292,1.215,0.603,10.368,10.368,10.368,10.368,10.368,11.493,2.846,1.237,1.842,1.882,0.779,-0.094,-1.59,-1.59,0.213,0.339,0.199,0.159,6.221,3450.0,9.34,2.728,1,1.979,2.515,1.414,1.414,3.115,3.002,30,3.057,4,3.708,2.492,1.533,0.083,2.0,-1.0,-3.0
5.699,2.682,1.711,1.965,3.306,1.414,1.414,1.414,1.414,7,2.204,0,2.833,7,189.605,4.053,2.982,2.982,7.282,7.282,0.953,2.403,1.394,1.349,14.698,14.698,14.698,14.698,14.698,15.66,2.93,1.504,2.044,2.85,1.986,1.232,1.894,1.894,0.147,0.222,0.135,0.103,7.143,12092.0,11.603,3.295,4,2.097,3.603,1.576,1.576,3.858,3.945,40,3.375,9,4.057,2.624,1.718,1.336,2.686,0.246,0.351
7.796,2.832,1.964,1.978,3.262,1.414,1.414,1.414,1.414,7,2.213,0,2.845,7,104.239,4.162,2.985,2.985,6.512,6.512,0.953,2.491,1.477,1.393,14.803,14.803,14.803,14.803,14.803,15.647,2.986,1.542,2.085,2.875,2.043,1.234,2.125,2.125,0.146,0.217,0.133,0.101,7.143,12162.0,11.943,3.299,5,2.159,3.603,1.647,1.647,3.823,3.916,40,3.375,10,4.057,2.807,1.851,1.383,2.729,0.167,0.346
4.629,2.5,1.5,1.566,3.239,1.265,1.265,1.19,1.19,5,2.215,0,2.551,3,94.762,4.892,2.824,2.824,6.347,6.347,1.0,2.537,1.513,1.503,16.374,16.374,16.374,16.374,16.374,16.761,3.117,1.738,2.113,2.8,1.886,1.235,2.33,2.33,0.138,0.205,0.127,0.098,7.603,19819.0,12.742,3.145,11,2.308,3.478,1.8,1.8,4.147,4.197,44,3.441,10,4.141,3.123,2.153,2.082,3.247,1.0,2.136
4.81,2.5,1.5,1.628,3.239,1.276,1.276,1.247,1.247,5,2.215,0,2.602,3,94.762,4.908,2.933,2.933,6.346,6.346,1.0,2.593,1.586,1.503,16.874,16.874,16.874,16.874,16.874,17.261,3.115,1.759,2.113,2.818,1.895,1.258,2.606,2.606,0.134,0.199,0.123,0.095,7.687,22178.0,13.096,3.145,11,2.304,3.587,1.816,1.816,4.195,4.255,45,3.472,13,4.173,3.121,2.151,2.247,3.414,1.247,2.175
5.213,2.5,1.5,1.857,3.244,1.291,1.291,1.242,1.242,7,2.216,0,2.746,5,132.667,5.831,3.068,3.068,6.415,6.415,1.0,2.666,1.62,1.503,16.84,16.84,16.84,16.84,16.84,17.503,3.411,1.846,2.351,2.947,2.113,1.259,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.229,12,2.708,3.605,2.057,2.057,4.093,4.143,46,3.472,11,4.17,3.207,2.23,2.421,3.414,1.385,2.186
4.131,2.599,1.596,1.858,3.242,1.395,1.395,1.276,1.276,7,2.221,0,2.747,5,132.667,5.985,3.093,3.093,6.414,6.414,1.0,2.681,1.629,1.571,17.34,17.34,17.34,17.34,17.34,18.003,3.412,1.849,2.351,2.955,2.117,1.371,2.544,2.544,0.131,0.193,0.12,0.092,7.745,23999.0,13.717,3.261,12,2.71,3.632,2.064,2.064,4.131,4.174,47,3.502,11,4.201,3.212,2.234,2.426,3.414,1.39,2.186
4.509,2.738,1.774,1.86,3.242,1.509,1.509,1.281,1.281,7,2.223,0,2.774,5,132.667,6.185,3.296,3.296,6.414,6.414,1.0,2.775,1.748,1.614,18.34,18.34,18.34,18.34,18.34,19.003,3.412,1.857,2.351,2.964,2.12,1.457,2.544,2.544,0.124,0.183,0.113,0.087,7.856,28721.0,14.425,3.402,13,2.71,3.771,2.069,2.069,4.203,4.242,49,3.56,13,4.259,3.215,2.236,2.427,3.414,1.392,2.275
5.267,2.5,1.5,1.857,3.269,1.291,1.291,1.242,1.242,7,2.252,0,2.746,5,132.667,6.615,3.068,3.068,6.415,6.415,1.0,2.676,1.654,1.503,16.84,16.84,16.84,16.84,16.84,17.227,3.411,1.982,2.351,2.947,2.113,1.277,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.145,12,2.708,3.605,2.057,2.057,4.112,4.153,46,3.472,12,4.17,3.233,2.23,2.421,3.414,1.385,2.186
5.022,2.5,1.5,1.857,3.243,1.291,1.291,1.242,1.242,7,2.215,0,2.746,5,132.667,6.336,3.068,3.068,6.415,6.415,1.0,2.664,1.604,1.503,16.84,16.84,16.84,16.84,16.84,17.561,3.411,1.813,2.351,2.947,2.113,1.254,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.485,12,2.708,3.605,2.057,2.057,4.096,4.149,46,3.472,11,4.17,3.202,2.23,2.421,3.414,1.385,2.186
5.52,2.5,1.5,1.767,3.239,1.265,1.265,1.19,1.19,6,2.215,0,2.682,4,142.144,5.395,2.824,2.824,6.347,6.347,1.0,2.537,1.513,1.503,16.374,16.374,16.374,16.374,16.374,16.761,3.198,1.738,2.164,2.947,2.113,1.235,2.33,2.33,0.139,0.205,0.127,0.098,7.603,19819.0,12.742,3.145,11,2.466,3.478,1.8,1.8,4.079,4.12,44,3.441,10,4.141,3.123,2.153,2.379,3.247,1.321,2.136
5.194,2.598,1.595,1.768,3.241,1.395,1.395,1.197,1.197,6,2.22,0,2.684,4,142.144,5.543,2.99,2.99,6.347,6.347,1.0,2.603,1.576,1.513,16.874,16.874,16.874,16.874,16.874,17.261,3.199,1.744,2.164,2.954,2.117,1.371,2.33,2.33,0.135,0.199,0.123,0.095,7.663,21824.0,13.096,3.26,11,2.467,3.559,1.812,1.812,4.117,4.151,45,3.472,10,4.172,3.128,2.162,2.383,3.247,1.325,2.136
4.066,2.599,1.596,1.858,3.242,1.395,1.395,1.276,1.276,7,2.221,0,2.747,5,132.667,6.491,3.093,3.093,6.414,6.414,1.0,2.68,1.613,1.569,17.34,17.34,17.34,17.34,17.34,18.061,3.412,1.816,2.351,2.955,2.117,1.371,2.544,2.544,0.131,0.193,0.12,0.092,7.745,23999.0,13.717,3.488,12,2.71,3.632,2.064,2.064,4.134,4.179,47,3.502,11,4.201,3.207,2.234,2.426,3.414,1.39,2.186
4.991,2.5,1.5,1.857,3.249,1.291,1.291,1.242,1.242,7,2.217,0,2.746,5,132.667,4.418,3.068,3.068,6.415,6.415,1.0,2.674,1.65,1.503,16.84,16.84,16.84,16.84,16.84,17.353,3.411,1.926,2.351,2.947,2.113,1.27,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.145,11,2.708,3.605,2.057,2.057,4.084,4.131,46,3.472,10,4.17,3.222,2.23,2.421,3.414,1.385,2.186
5.249,2.5,1.5,1.857,3.243,1.291,1.291,1.242,1.242,7,2.215,0,2.746,5,132.667,6.329,3.068,3.068,6.415,6.415,1.0,2.667,1.608,1.503,16.84,16.84,16.84,16.84,16.84,17.561,3.411,1.807,2.351,2.947,2.113,1.254,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.484,11,2.708,3.605,2.057,2.057,4.092,4.149,46,3.472,12,4.17,3.2,2.23,2.421,3.414,1.385,2.186
5.365,2.5,1.5,1.857,3.243,1.291,1.291,1.242,1.242,7,2.216,0,2.746,5,132.667,5.833,3.068,3.068,6.415,6.415,1.0,2.669,1.625,1.503,16.84,16.84,16.84,16.84,16.84,17.503,3.411,1.839,2.351,2.947,2.113,1.259,2.544,2.544,0.135,0.199,0.123,0.095,7.686,21838.0,13.364,3.234,11,2.708,3.605,2.057,2.057,4.09,4.143,46,3.472,12,4.17,3.205,2.23,2.421,3.414,1.385,2.186
4.987,2.531,1.541,1.904,3.42,1.399,1.399,1.26,1.26,7,2.395,0,2.788,5,132.667,6.713,3.295,3.295,7.648,7.648,1.0,2.715,1.691,1.503,17.808,17.808,17.808,17.808,17.808,18.195,3.496,2.041,2.377,2.947,2.113,1.39,2.661,2.661,0.127,0.188,0.116,0.09,7.836,26226.0,14.263,3.278,15,2.71,3.686,2.121,2.121,4.206,4.204,49,3.532,16,4.228,3.238,2.238,2.449,3.433,1.428,2.275
4.866,2.5,1.5,1.866,3.287,1.301,1.301,1.247,1.247,7,2.226,0,2.753,5,132.667,5.99,3.092,3.092,6.753,6.753,1.0,2.685,1.661,1.503,17.268,17.268,17.268,17.268,17.268,17.846,3.44,1.971,2.359,2.947,2.113,1.281,2.566,2.566,0.131,0.193,0.12,0.092,7.763,24031.0,13.533,3.145,11,2.709,3.605,2.084,2.084,4.143,4.164,47,3.503,10,4.201,3.235,2.235,2.429,3.414,1.399,2.192
5.37,2.672,1.752,2.01,3.241,1.414,1.414,1.264,1.264,7,2.216,0,2.858,5,132.667,5.553,3.045,3.045,6.506,6.506,1.0,2.538,1.518,1.503,16.841,16.841,16.841,16.841,16.841,17.463,3.224,1.754,2.166,2.947,2.113,1.258,2.661,2.661,0.136,0.201,0.124,0.096,7.686,21838.0,13.27,3.288,10,2.486,3.608,1.864,1.864,4.124,4.163,46,3.472,11,4.17,3.17,2.199,2.386,3.433,1.331,2.136
5.602,2.641,1.708,1.892,3.242,1.313,1.313,1.255,1.255,7,2.216,0,2.771,5,132.667,5.722,3.067,3.067,6.463,6.463,1.0,2.648,1.599,1.503,16.857,16.857,16.857,16.857,16.857,17.511,3.353,1.807,2.327,2.947,2.113,1.259,2.661,2.661,0.135,0.199,0.123,0.095,7.686,21838.0,13.376,3.255,12,2.642,3.605,2.011,2.011,4.107,4.159,46,3.472,10,4.17,3.192,2.222,2.382,3.433,1.326,2.142
4.78,2.5,1.5,1.507,3.239,1.26,1.26,1.118,1.118,5,2.215,0,2.505,3,94.762,4.876,2.738,2.738,6.351,6.351,0.985,2.536,1.503,1.436,15.874,15.874,15.874,15.874,15.874,16.261,3.12,1.724,2.113,2.785,1.878,1.227,2.238,2.238,0.143,0.212,0.131,0.101,7.513,17639.0,12.389,3.145,11,2.314,3.458,1.788,1.788,4.1,4.136,43,3.408,8,4.107,3.126,2.156,1.849,3.241,0.766,1.699
7.319,2.783,1.907,2.241,3.521,1.587,1.587,1.334,1.334,9,2.507,1,3.024,6,170.572,8.789,3.914,3.914,7.922,7.922,1.107,2.889,1.875,1.666,19.314,19.314,19.314,19.314,19.314,19.663,3.529,2.106,2.581,3.142,2.413,1.553,2.886,2.886,0.121,0.181,0.111,0.086,8.264,45933.0,15.172,3.453,14,2.729,3.895,2.14,2.14,4.42,4.466,54,3.589,19,4.297,3.309,2.338,2.5,3.489,1.5,2.423
8.59,2.803,1.929,2.258,3.521,1.606,1.606,1.386,1.386,9,2.498,1,3.039,6,170.572,8.499,4.029,4.029,7.931,7.931,1.198,2.889,1.863,1.687,19.762,19.762,19.762,19.762,19.762,20.244,3.531,2.105,2.582,3.156,2.425,1.57,2.894,2.894,0.118,0.177,0.108,0.084,8.304,47665.0,15.385,3.445,16,2.73,3.902,2.148,2.148,4.489,4.564,55,3.616,19,4.325,3.309,2.351,2.5,3.49,1.5,2.423
7.886,2.803,1.929,2.258,3.523,1.606,1.606,1.386,1.386,9,2.508,1,3.039,6,170.572,8.944,4.029,4.029,7.931,7.931,1.129,2.896,1.88,1.69,19.762,19.762,19.762,19.762,19.762,20.14,3.531,2.115,2.582,3.156,2.425,1.571,2.894,2.894,0.118,0.177,0.108,0.084,8.304,47665.0,15.385,3.453,16,2.73,3.902,2.148,2.148,4.497,4.572,55,3.616,19,4.325,3.323,2.351,2.5,3.49,1.5,2.423
6.886,2.974,2.103,2.302,3.527,1.677,1.677,1.574,1.574,9,2.51,1,3.099,6,170.572,9.013,4.243,4.243,7.935,7.935,1.339,3.066,2.046,1.868,20.834,20.834,20.834,20.834,20.834,21.191,3.533,2.164,2.582,3.247,2.451,1.654,3.052,3.052,0.112,0.169,0.103,0.08,8.382,51453.0,16.606,3.453,16,2.73,4.31,2.195,2.195,4.59,4.701,58,3.669,19,4.375,3.359,2.383,2.505,3.562,1.507,2.647
5.699,3.016,2.222,2.395,3.527,1.677,1.677,1.574,1.574,9,2.51,2,3.132,6,170.572,6.834,4.243,4.243,7.935,7.935,1.386,3.069,2.04,1.867,20.834,20.834,20.834,20.834,20.834,21.197,3.543,2.161,2.696,3.304,2.579,1.653,3.052,3.052,0.113,0.169,0.103,0.08,8.382,51453.0,16.606,3.453,14,2.732,4.31,2.195,2.195,4.529,4.614,58,3.669,19,4.375,3.36,2.383,2.532,3.562,1.539,2.647
7.444,2.761,1.877,2.164,3.511,1.524,1.524,1.299,1.299,9,2.511,1,2.967,6,180.049,8.012,3.42,3.42,7.796,7.796,1.185,2.874,1.86,1.644,18.851,18.851,18.851,18.851,18.851,19.057,3.517,2.076,2.58,3.112,2.378,1.524,2.817,2.817,0.121,0.179,0.112,0.085,8.221,44361.0,14.731,3.444,26,2.729,3.827,2.104,2.104,4.306,4.323,52,3.561,29,4.272,3.257,2.282,2.5,3.472,1.5,2.329
7.678,2.785,1.823,1.966,3.287,1.414,1.414,1.338,1.338,9,2.207,0,2.833,9,85.286,3.547,3.603,3.603,7.012,7.012,1.105,2.512,1.44,1.319,15.244,15.244,15.244,15.244,15.244,16.611,3.453,1.772,2.107,2.879,1.997,1.239,1.925,1.925,0.143,0.214,0.131,0.1,7.26,14173.0,12.729,3.291,8,2.766,3.773,2.104,2.104,3.763,3.865,43,3.408,7,4.086,3.01,2.133,1.418,2.716,0.203,0.41
7.495,2.803,1.929,2.258,3.527,1.606,1.606,1.386,1.386,10,2.515,1,3.039,6,170.572,9.473,4.029,4.029,7.931,7.931,1.199,2.895,1.874,1.723,19.762,19.762,19.762,19.762,19.762,19.968,3.531,2.116,2.582,3.156,2.425,1.602,2.894,2.894,0.118,0.177,0.109,0.084,8.304,47665.0,15.385,3.445,33,2.73,3.902,2.148,2.148,4.505,4.573,55,3.616,32,4.325,3.325,2.351,2.5,3.49,1.5,2.423
8.415,2.803,1.929,2.258,3.523,1.606,1.606,1.386,1.386,9,2.494,1,3.039,6,170.572,8.728,4.029,4.029,7.931,7.931,1.199,2.889,1.862,1.7,19.762,19.762,19.762,19.762,19.762,20.137,3.531,2.113,2.582,3.156,2.425,1.589,2.894,2.894,0.118,0.177,0.109,0.084,8.304,47665.0,15.385,3.445,22,2.73,3.902,2.148,2.148,4.488,4.563,55,3.616,22,4.325,3.317,2.351,2.5,3.49,1.5,2.423
7.553,2.802,1.925,2.256,3.545,1.598,1.598,1.386,1.386,9,2.534,1,3.037,6,213.256,8.137,3.98,3.98,8.365,8.365,1.142,2.809,1.797,1.692,19.704,19.704,19.704,19.704,19.704,19.942,3.556,2.097,2.512,3.135,2.368,1.585,2.878,2.878,0.118,0.177,0.109,0.084,8.304,46882.0,15.411,3.402,23,2.915,3.907,2.115,2.115,4.496,4.563,56,3.616,24,4.322,3.433,2.45,2.5,3.49,1.5,2.422
8.032,2.761,1.877,2.164,3.506,1.524,1.524,1.299,1.299,9,2.497,1,2.967,6,170.572,8.012,3.42,3.42,7.796,7.796,1.185,2.869,1.85,1.628,18.851,18.851,18.851,18.851,18.851,19.243,3.517,2.054,2.58,3.112,2.378,1.509,2.817,2.817,0.121,0.179,0.111,0.085,8.221,44361.0,14.731,3.444,14,2.729,3.827,2.104,2.104,4.286,4.311,52,3.561,19,4.272,3.247,2.282,2.5,3.472,1.5,2.329
6.523,2.761,1.877,2.164,3.506,1.524,1.524,1.299,1.299,9,2.498,1,2.967,6,170.572,8.457,3.42,3.42,7.796,7.796,1.106,2.873,1.861,1.633,18.851,18.851,18.851,18.851,18.851,19.139,3.517,2.064,2.58,3.112,2.378,1.509,2.817,2.817,0.121,0.179,0.111,0.085,8.221,44361.0,14.731,3.452,14,2.729,3.827,2.104,2.104,4.296,4.321,52,3.561,19,4.272,3.259,2.282,2.5,3.472,1.5,2.329
4.866,1.0,-0.131,0.238,2.685,0.226,0.226,-0.123,-0.123,0,1.684,0,1.349,0,37.905,0.0,0.41,0.41,3.328,3.328,-0.216,1.897,0.895,0.568,9.432,9.432,9.432,9.432,9.432,9.437,2.339,1.196,0.923,1.737,0.632,0.226,-0.866,-0.866,0.187,0.245,0.171,0.118,5.352,1313.0,7.132,3.025,13,1.297,1.836,1.197,1.197,3.466,3.388,19,3.052,14,3.68,2.464,1.463,0.262,1.0,-1.108,-2.0
6.412,1.378,0.066,1.436,3.0,1.0,1.0,0.051,0.051,3,1.986,0,2.466,5,144.674,1.376,2.136,2.136,5.834,5.834,-0.083,2.268,1.268,1.0,11.399,11.399,11.399,11.399,11.399,11.747,2.888,1.424,1.899,2.5,1.5,0.983,-1.083,-1.083,0.213,0.319,0.19,0.149,6.829,7563.0,9.672,2.687,8,2.055,2.942,1.441,1.441,3.643,3.504,33,3.105,8,3.783,2.68,1.681,0.89,2.272,-1.088,-1.886
4.886,2.246,1.065,1.125,3.05,0.777,0.777,0.724,0.724,3,1.96,0,2.27,3,69.885,0.13,1.908,1.908,6.724,6.724,0.404,2.07,1.05,0.854,11.734,11.734,11.734,11.734,11.734,12.568,3.048,1.542,1.653,2.375,1.304,0.698,0.491,0.491,0.211,0.325,0.189,0.15,6.871,7464.0,9.877,3.063,1,2.322,3.283,1.548,1.548,3.596,3.436,36,3.149,3,3.816,2.661,1.696,0.766,2.451,-1.141,-2.0
5.149,2.041,0.8,1.069,3.149,0.728,0.728,0.536,0.536,3,2.124,0,2.254,3,69.885,0.668,1.742,1.742,6.124,6.124,-0.056,2.172,1.147,0.728,11.312,11.312,11.312,11.312,11.312,11.968,3.055,1.498,1.803,2.359,1.25,0.639,-0.947,-0.947,0.22,0.339,0.197,0.157,6.759,6461.0,9.793,2.85,2,2.31,3.223,1.537,1.537,3.499,3.343,35,3.105,6,3.771,2.72,1.743,0.691,2.373,-1.191,-2.303
6.0,0.953,-0.495,0.516,2.901,0.431,0.431,-0.391,-0.391,3,1.821,0,1.739,0,9.476,-2.235,1.001,1.001,5.48,5.48,0.51,2.098,1.079,0.983,10.868,10.868,10.868,10.868,10.868,12.104,2.766,1.217,1.197,2.0,1.0,0.361,-1.566,-1.566,0.204,0.324,0.19,0.151,6.246,3595.0,9.694,2.866,1,1.84,2.839,1.426,1.426,3.299,3.072,31,3.102,0,3.755,2.751,1.774,0.195,2.0,-1.0,-2.347
5.131,2.187,1.006,1.072,3.017,0.732,0.732,0.676,0.676,3,1.97,0,2.255,3,69.885,0.605,1.747,1.747,6.371,6.371,-0.051,2.062,1.046,0.792,11.296,11.296,11.296,11.296,11.296,11.952,3.048,1.542,1.642,2.367,1.278,0.677,-0.696,-0.696,0.22,0.339,0.197,0.157,6.759,6459.0,9.686,2.989,2,2.321,3.283,1.548,1.548,3.516,3.36,35,3.105,6,3.771,2.653,1.683,0.631,2.366,-1.226,-2.259
5.071,2.222,1.069,1.475,2.919,1.0,1.0,0.731,0.731,3,1.905,0,2.531,4,90.665,0.355,2.304,2.304,5.939,5.939,0.158,2.205,1.2,1.1,11.813,11.813,11.813,11.813,11.813,12.149,3.123,1.551,1.788,2.626,1.659,0.994,-1.332,-1.332,0.211,0.325,0.189,0.151,6.837,7184.0,10.052,2.829,3,2.401,3.465,1.599,1.599,3.688,3.514,36,3.149,7,3.818,2.806,1.815,0.793,2.294,-1.152,-2.0
5.0,2.199,1.048,1.475,2.99,1.0,1.0,0.728,0.728,3,1.902,0,2.53,5,90.665,-1.219,2.303,2.303,6.381,6.381,0.213,2.234,1.22,0.994,11.796,11.796,11.796,11.796,11.796,12.244,3.048,1.542,1.813,2.551,1.538,0.977,-0.692,-0.692,0.21,0.325,0.189,0.15,6.858,7455.0,10.04,2.89,1,2.322,3.305,1.548,1.548,3.555,3.391,36,3.149,5,3.818,2.73,1.734,0.923,2.366,-1.193,-2.0
5.959,2.377,1.294,1.5,3.269,1.0,1.0,0.883,0.883,2,2.256,0,2.5,4,98.743,-0.372,2.449,2.449,7.367,7.367,0.471,2.476,1.468,1.306,13.327,13.327,13.327,13.327,13.327,13.986,3.174,1.559,2.226,2.817,1.976,1.0,1.743,1.743,0.189,0.292,0.171,0.136,7.471,16134.0,11.017,2.994,7,2.383,3.541,1.633,1.633,3.864,3.762,41,3.231,9,3.921,2.874,1.908,1.0,2.734,-0.848,-1.524
4.481,0.929,-0.509,-0.445,2.96,-0.347,-0.347,-0.404,-0.404,5,1.826,0,1.0,2,47.381,-1.007,-0.833,-0.833,5.537,5.537,-0.056,2.182,1.15,0.57,10.39,10.39,10.39,10.39,10.39,11.546,2.769,1.221,1.748,1.824,0.72,-0.251,-1.353,-1.353,0.213,0.339,0.199,0.159,6.221,3450.0,9.456,2.727,1,1.848,2.508,1.424,1.424,3.115,2.992,30,3.057,4,3.708,2.789,1.879,0.113,2.0,-1.0,-3.0
4.0,0.935,-0.503,0.0,2.915,0.0,0.0,-0.399,-0.399,4,1.822,0,1.221,1,56.857,-1.091,0.0,0.0,5.463,5.463,-0.056,2.0,1.0,0.976,10.407,10.407,10.407,10.407,10.407,11.303,2.771,1.228,1.5,2.211,1.177,0.0,-1.501,-1.501,0.213,0.339,0.199,0.159,6.174,3377.0,9.176,2.687,1,1.85,2.69,1.423,1.423,3.157,3.016,29,3.056,5,3.712,2.534,1.547,0.446,2.0,-1.0,-2.347
5.367,2.531,1.5,1.735,3.269,1.158,1.158,1.0,1.0,2,2.256,0,2.683,6,119.522,-0.474,2.824,2.824,7.367,7.367,0.576,2.485,1.483,1.306,13.827,13.827,13.827,13.827,13.827,14.171,3.22,1.667,2.229,2.817,1.976,1.148,2.304,2.304,0.183,0.281,0.164,0.131,7.557,18246.0,11.37,2.992,7,2.484,3.541,1.689,1.689,3.955,3.829,42,3.27,11,3.962,2.889,1.918,1.0,2.799,-0.686,-1.316
4.0,1.895,0.81,1.5,3.023,1.0,1.0,0.7,0.7,6,1.862,0,2.5,3,94.762,3.67,2.136,2.136,5.719,5.719,-0.056,2.055,1.049,1.0,11.887,11.887,11.887,11.887,11.887,12.562,3.173,1.665,1.597,2.5,1.5,1.0,-0.289,-0.289,0.18,0.258,0.163,0.123,6.721,7009.0,9.54,2.849,3,2.458,3.224,1.725,1.725,3.435,3.387,32,3.146,9,3.831,2.837,1.923,0.847,2.122,-0.678,-1.3
4.495,2.254,1.069,1.255,3.286,0.839,0.839,0.728,0.728,3,2.273,0,2.363,2,69.885,-0.563,2.154,2.154,7.143,7.143,0.405,2.427,1.422,1.033,12.297,12.297,12.297,12.297,12.297,12.912,3.094,1.471,2.074,2.578,1.591,0.739,1.39,1.39,0.203,0.312,0.182,0.145,6.924,7729.0,10.629,3.02,1,2.327,3.302,1.548,1.548,3.674,3.554,38,3.19,4,3.856,2.771,1.798,0.708,2.48,-1.129,-2.0
5.456,2.041,0.8,1.069,3.094,0.728,0.728,0.536,0.536,3,1.99,0,2.254,3,69.885,-1.0,1.742,1.742,6.124,6.124,0.151,2.163,1.136,0.728,11.312,11.312,11.312,11.312,11.312,12.09,3.055,1.496,1.803,2.359,1.25,0.638,-0.947,-0.947,0.22,0.339,0.197,0.157,6.759,6461.0,9.793,2.806,1,2.31,3.223,1.537,1.537,3.42,3.266,35,3.105,3,3.771,2.716,1.743,0.691,2.373,-1.191,-2.303
5.215,2.105,0.926,1.475,3.204,1.0,1.0,0.676,0.676,3,2.115,0,2.531,5,90.665,-0.01,2.303,2.303,6.584,6.584,0.447,2.219,1.209,1.047,12.24,12.24,12.24,12.24,12.24,12.768,3.106,1.541,1.812,2.614,1.63,0.994,0.554,0.554,0.202,0.312,0.181,0.144,6.967,8588.0,10.315,2.902,0,2.382,3.272,1.588,1.588,3.684,3.552,37,3.19,5,3.861,2.803,1.811,0.923,2.503,-0.845,-1.438
4.481,0.884,-0.56,-0.464,2.888,-0.364,-0.364,-0.45,-0.45,4,1.799,0,0.979,1,56.857,-1.312,-0.944,-0.944,5.426,5.426,-0.19,2.0,1.0,0.567,9.907,9.907,9.907,9.907,9.907,10.795,2.765,1.218,1.5,1.823,0.716,-0.331,-2.002,-2.002,0.224,0.356,0.209,0.166,6.098,2941.0,8.823,2.687,0,1.844,2.444,1.408,1.408,3.057,2.938,28,3.009,3,3.662,2.48,1.5,0.083,2.0,-1.0,-3.0
8.699,2.832,1.964,1.979,3.529,1.414,1.414,1.414,1.414,7,2.469,1,2.846,7,104.239,2.596,2.986,2.986,7.919,7.919,1.136,2.494,1.479,1.393,15.234,15.234,15.234,15.234,15.234,16.017,2.987,1.542,2.086,2.875,2.043,1.235,2.296,2.296,0.145,0.217,0.133,0.101,7.201,12843.0,12.32,3.299,4,2.16,3.603,1.648,1.648,3.835,3.926,42,3.408,9,4.088,2.809,1.858,1.827,3.115,0.715,1.314
8.602,2.832,1.964,1.979,3.499,1.414,1.414,1.414,1.414,7,2.407,1,2.845,7,146.922,3.043,2.986,2.986,7.919,7.919,1.059,2.493,1.479,1.393,15.234,15.234,15.234,15.234,15.234,16.14,2.986,1.542,2.086,2.875,2.043,1.235,2.296,2.296,0.143,0.217,0.132,0.101,7.201,12843.0,12.32,3.299,4,2.16,3.603,1.648,1.648,3.87,3.956,42,3.408,9,4.088,2.809,1.858,1.812,3.115,0.683,1.314
6.187,2.794,1.91,2.061,3.54,1.424,1.424,1.386,1.386,9,2.532,0,2.911,6,170.572,8.278,3.224,3.224,8.122,8.122,1.137,2.727,1.716,1.603,18.747,18.747,18.747,18.747,18.747,18.92,3.452,2.001,2.467,3.044,2.261,1.421,2.68,2.68,0.124,0.187,0.114,0.089,8.163,38818.0,14.552,3.224,23,2.811,3.715,2.014,2.014,4.434,4.508,53,3.562,24,4.27,3.387,2.401,2.5,3.49,1.5,2.355
