pXC50,Eta_beta,CATS2D_08_DD,P_VSA_e_3,Eig07_AEA.bo.,Eta_FL,D.Dtr09,TPSA.Tot.,Eta_betaP,DECC,P_VSA_m_2,CATS2D_08_DP,Eig07_EA.bo.,Ui,SpMax3_Bh.p.,X0sol,SpMax3_Bh.v.,Eig08_AEA.bo.,Eig09_EA.ed.,SM04_AEA.ri.,Eta_F,SpMax2_Bh.i.,Eig07_EA,SM15_AEA.bo.,CATS2D_06_DL,Vindex,UNIP,H.050,nHDon,Eig09_AEA.dm.,SssNH,SMTIV,SMTI,Eig09_AEA.ri.,Eig09_EA.ri.,Xindex,Eig09_EA,SM03_AEA.dm.,ZM2Mad,MSD,LPRS,P_VSA_MR_6,GMTI,nBM,Uc,Chi0_EA.dm.,X3sol,Eig08_EA.ri.,Hy,Eig07_AEA.ri.,SpMax2_Bh.e.,Eig09_AEA.bo.,Yindex,Eig08_AEA.ri.,piPC01,SCBO,Eig15_AEA.dm.,CATS2D_05_DL,X0,Eig08_AEA.dm.,Eig06_AEA.bo.,SpMax3_Bh.m.,N.069,Eig08_EA.bo.,IDE,Chi1_EA.dm.,SpMax6_Bh.m.,X4sol,Eig08_EA,SM02_AEA.dm.
5.4,43.25,0,78.966,3.437,7.813,0.0,102.93,17.0,2.488,202.475,0,2.588,3.17,3.689,26.811,3.69,3.096,5.676,5.676,36.805,3.976,2.167,2.167,3,0.15,193.0,2,2,2.176,6.437,32586.0,21931.0,2.92,1.857,0.238,1.97,1.97,269.849,8.367,211.289,84.909,23285.0,14,3.907,41.796,14.634,1.904,0.175,3.107,3.938,3.081,0.402,2.976,3.932,50.0,1.077,0,26.811,2.306,3.571,3.73,0,2.138,3.97,69.22,3.332,12.164,2.038,2.038
5.4,42.5,1,102.49,3.275,7.882,175.95,121.17,23.0,1.969,222.979,1,2.554,3.7,3.77,21.018,3.757,3.139,4.65,4.65,30.107,3.976,1.881,1.881,8,0.156,134.0,4,4,1.906,5.854,19445.0,12050.0,2.673,1.613,0.249,1.706,1.706,233.205,7.24,154.987,128.022,13044.0,23,4.585,24.231,12.302,1.716,1.598,2.821,3.942,3.013,0.418,2.724,3.85,46.0,0.503,10,20.665,1.971,3.446,3.827,1,2.326,3.753,29.077,3.178,11.374,1.736,1.736
5.6,36.0,1,84.479,3.156,6.878,190.082,137.38,19.5,1.805,189.506,1,2.422,3.7,3.532,18.966,3.527,3.007,3.18,3.18,25.018,3.992,1.723,1.723,4,0.204,92.0,3,3,1.14,2.571,13065.0,7448.0,2.055,1.038,0.315,1.099,1.099,220.691,6.044,126.096,98.025,7741.0,22,4.524,9.945,11.425,1.403,0.974,2.646,3.979,2.6,0.574,2.451,3.738,41.0,-0.248,3,18.259,1.52,3.361,3.633,1,2.249,3.488,7.162,3.109,10.122,1.516,1.516
5.7,53.5,0,106.043,3.528,10.173,158.523,108.06,27.0,2.27,272.463,0,2.741,3.954,3.817,27.313,3.817,3.414,5.491,5.491,44.108,4.08,2.226,2.226,1,0.135,191.0,3,3,1.961,6.472,39214.0,25688.0,2.862,1.817,0.212,1.906,1.906,270.776,8.513,225.694,123.028,27841.0,28,4.858,29.259,14.714,1.998,0.731,3.181,4.044,3.357,0.369,3.025,4.103,59.5,1.172,3,27.313,2.298,3.605,3.835,0,2.667,3.976,41.877,3.43,12.787,2.033,2.033
5.4,44.25,0,71.492,3.363,8.197,144.402,69.2,21.0,2.286,219.442,0,2.421,3.585,3.804,23.777,3.798,3.106,4.487,4.487,32.719,3.967,2.171,2.171,3,0.142,155.0,2,2,1.675,0.0,25578.0,17980.0,2.522,1.498,0.223,1.56,1.56,248.645,7.749,188.952,140.641,19782.0,22,4.524,25.723,13.535,1.616,0.105,3.121,3.923,2.921,0.39,2.657,3.951,51.0,0.956,3,23.777,1.87,3.587,3.804,1,2.33,3.864,26.054,3.313,11.852,1.709,1.709
5.9,26.0,0,69.348,2.529,5.215,0.0,74.43,14.5,0.934,135.532,0,1.478,3.0,3.023,12.328,3.057,1.607,0.0,0.0,16.139,3.798,1.0,1.0,0,0.313,43.0,2,2,0.482,5.823,4181.0,2118.0,0.942,0.0,0.456,0.0,0.0,129.375,3.824,67.771,66.185,2161.0,13,3.807,16.564,6.65,0.252,0.526,2.003,3.765,1.286,0.969,1.225,3.296,26.0,-1.399,2,11.828,0.723,2.795,3.431,0,0.358,2.721,26.849,2.672,5.643,0.288,0.288
5.4,28.5,0,66.897,2.5,5.593,0.0,79.76,16.5,1.562,161.617,0,1.5,3.248,3.473,13.27,3.468,2.5,1.686,1.686,15.9,3.922,1.0,1.0,2,0.218,63.0,1,1,1.0,0.0,6134.0,3635.0,1.631,0.646,0.346,0.689,0.689,135.117,5.538,84.131,72.705,3828.0,17,4.17,5.279,7.283,0.983,-0.249,2.0,3.889,2.174,0.581,1.984,3.418,29.5,-1.0,1,12.916,1.0,2.571,3.699,0,1.5,3.349,4.511,2.687,6.034,1.0,1.0
5.5,40.75,1,51.337,3.239,8.321,0.0,101.4,24.0,1.435,182.45,0,2.52,3.644,3.786,18.803,3.784,2.695,2.339,2.339,30.742,3.908,1.841,1.841,3,0.207,89.0,5,5,1.0,3.273,14168.0,8074.0,2.0,1.0,0.316,1.0,1.0,180.422,5.948,132.084,126.028,8457.0,23,4.585,15.957,9.952,1.205,2.474,2.801,3.883,2.5,0.597,2.222,3.75,41.5,0.041,11,18.803,1.363,3.409,3.791,0,1.773,3.413,20.988,2.833,8.078,1.269,1.269
5.4,35.75,0,34.796,2.869,7.32,0.0,51.22,20.0,1.846,192.587,0,1.987,3.459,3.645,18.518,3.651,2.725,2.584,2.584,26.268,3.953,1.478,1.478,1,0.207,105.0,1,1,1.15,3.046,12872.0,7989.0,2.057,1.053,0.33,1.08,1.08,160.982,6.695,128.602,122.045,8214.0,19,4.322,15.446,9.285,1.254,-0.408,2.454,3.927,2.548,0.556,2.262,3.664,38.0,-0.379,3,18.518,1.575,2.953,3.693,0,1.806,3.645,19.526,3.002,7.432,1.266,1.266
7.1,47.5,1,119.03,3.436,9.354,137.76,136.96,27.0,2.156,269.821,1,2.761,3.954,3.802,22.432,3.801,3.191,4.382,4.382,35.616,3.973,1.992,1.992,7,0.146,153.0,5,5,1.694,5.707,24788.0,14896.0,2.596,1.556,0.234,1.631,1.631,239.95,7.926,170.204,156.768,16136.0,28,4.858,17.311,12.707,1.739,2.345,2.903,3.937,3.09,0.384,2.755,3.942,50.5,0.624,10,22.079,2.042,3.469,3.832,1,2.456,3.893,24.218,3.38,11.642,1.767,1.767
5.4,39.0,0,53.052,3.106,7.757,94.582,61.15,20.0,1.357,186.74,0,2.347,3.755,3.72,17.673,3.748,2.954,3.806,3.806,30.124,4.082,1.708,1.708,0,0.197,91.0,0,0,1.42,0.0,15295.0,8484.0,2.384,1.362,0.298,1.414,1.414,220.517,5.634,136.75,107.158,9067.0,25,4.7,9.58,10.447,1.401,-0.707,2.635,4.034,2.81,0.581,2.419,3.818,44.5,0.235,0,19.413,1.466,3.481,3.831,0,2.177,3.323,6.987,3.026,9.44,1.461,1.461
4.4,25.5,0,67.755,2.5,5.156,51.981,56.21,14.5,0.906,152.264,0,1.5,3.17,3.08,10.958,3.102,2.156,-0.71,-0.71,14.779,3.859,1.0,1.0,2,0.311,36.0,2,2,-0.183,0.0,3138.0,1878.0,0.622,-0.288,0.454,-0.309,-0.309,111.354,3.819,62.635,95.084,1923.0,16,4.087,3.162,6.056,0.662,0.451,1.928,3.823,1.047,0.958,1.646,3.296,26.0,-1.877,2,10.958,0.749,2.5,3.216,1,1.007,2.726,2.5,2.643,5.371,0.705,0.705
5.4,43.25,1,88.515,3.232,9.067,132.843,102.41,23.5,2.053,234.068,1,2.481,3.7,3.748,19.51,3.756,3.155,4.131,4.131,35.276,3.962,1.879,1.879,6,0.167,142.0,4,4,1.625,4.977,23320.0,12182.0,2.467,1.463,0.269,1.469,1.469,210.616,7.572,156.34,178.449,12802.0,23,4.585,22.454,10.295,1.678,1.664,2.787,3.932,2.95,0.441,2.713,3.829,45.0,0.338,6,21.25,2.235,3.497,3.795,1,2.367,3.804,30.042,3.071,8.931,1.731,1.731
6.9,33.25,1,68.367,2.984,6.287,128.9,70.67,17.5,1.583,181.932,0,2.226,3.585,3.589,16.897,3.586,2.857,2.954,2.954,23.086,3.95,1.484,1.484,1,0.21,82.0,2,2,1.335,2.969,9387.0,5997.0,2.265,1.258,0.323,1.257,1.257,173.069,5.645,112.824,78.941,6268.0,21,4.459,9.101,8.829,1.35,0.255,2.459,3.923,2.767,0.59,2.354,3.664,38.0,-0.815,2,16.897,1.483,3.36,3.626,0,2.019,3.37,18.192,2.967,7.994,1.356,1.356
5.4,42.75,0,70.879,3.208,7.578,150.222,91.02,21.0,2.01,215.608,0,2.473,3.7,3.771,24.079,3.762,3.101,3.507,3.507,34.221,3.952,1.803,1.803,1,0.179,155.0,1,1,1.901,2.923,24533.0,15800.0,2.453,1.444,0.281,1.467,1.467,223.671,7.595,182.235,112.013,16386.0,19,4.322,23.435,12.58,1.688,-0.392,2.749,3.929,2.923,0.491,2.692,3.912,49.0,1.0,3,24.079,2.107,3.362,3.779,0,2.045,3.819,26.047,3.328,10.119,1.69,1.69
5.4,39.5,0,86.439,2.993,8.103,104.661,77.23,20.5,1.501,211.783,0,2.206,3.585,3.604,17.769,3.633,2.72,2.856,2.856,29.412,3.885,1.527,1.527,1,0.209,90.0,1,1,1.273,3.124,14198.0,7999.0,2.15,1.13,0.32,1.222,1.222,186.087,5.97,131.971,82.375,8297.0,22,4.524,11.0,9.371,1.341,-0.272,2.468,3.852,2.619,0.602,2.389,3.738,41.0,0.205,0,18.64,1.548,3.019,3.752,0,1.81,3.448,14.194,2.966,8.256,1.469,1.469
6.8,36.0,0,69.348,3.071,7.058,80.661,90.64,19.0,1.586,182.75,0,2.22,3.585,3.632,17.673,3.628,3.019,2.889,2.889,25.779,4.054,1.63,1.63,3,0.172,97.0,3,3,1.437,5.451,13124.0,8009.0,2.254,1.252,0.269,1.247,1.247,192.452,6.191,126.764,101.821,8819.0,19,4.322,17.303,10.045,1.529,0.936,2.638,4.024,2.666,0.472,2.549,3.738,41.0,0.214,4,17.673,1.811,3.285,3.649,0,2.149,3.499,18.934,3.052,8.833,1.572,1.572
5.4,46.0,0,85.753,3.444,8.937,160.073,170.86,23.5,2.493,224.468,0,2.703,3.907,3.773,25.793,3.796,3.144,4.58,4.58,40.746,4.049,2.07,2.07,4,0.157,183.0,4,4,2.19,5.851,34970.0,18752.0,2.516,1.511,0.254,1.51,1.51,290.538,8.762,192.921,126.865,19307.0,22,4.524,27.998,13.308,1.691,1.605,3.047,4.06,3.025,0.41,2.706,3.97,52.0,0.764,4,25.543,2.547,3.815,3.914,1,2.342,4.052,40.052,3.362,10.755,1.716,1.716
7.8,35.5,1,85.153,3.173,6.693,0.0,102.99,17.5,1.796,201.39,0,2.245,3.322,3.656,20.474,3.658,2.881,3.25,3.25,26.183,3.945,1.744,1.744,6,0.209,116.0,3,3,1.437,3.132,15076.0,9472.0,2.182,1.179,0.331,1.199,1.199,187.391,6.884,141.75,61.165,9554.0,15,4.0,26.523,10.043,1.324,0.917,2.681,3.912,2.664,0.567,2.356,3.689,39.0,-0.147,3,20.474,1.74,3.205,3.717,0,1.933,3.66,45.402,3.002,7.304,1.414,1.414
5.4,27.5,0,69.225,2.653,4.709,109.966,166.22,13.0,0.67,88.65,0,1.701,3.322,3.414,14.784,3.405,2.397,2.23,2.23,14.861,3.872,1.33,1.33,0,0.267,49.0,2,0,1.053,0.0,5880.0,3186.0,1.801,0.804,0.38,0.869,0.869,221.279,3.818,83.392,7.117,3467.0,18,4.248,8.037,10.465,1.068,0.557,2.244,3.829,2.328,0.87,2.08,3.526,33.0,-0.962,0,13.43,1.144,3.139,3.83,0,1.362,2.648,4.228,3.096,10.401,1.112,1.112
6.6,37.25,0,71.43,3.034,7.501,113.497,79.7,19.5,1.444,205.747,0,2.155,3.644,3.656,19.673,3.687,2.914,2.991,2.991,28.921,4.016,1.534,1.534,0,0.212,92.0,1,1,1.332,0.0,13818.0,8634.0,2.262,1.251,0.321,1.291,1.291,195.202,5.868,137.903,102.756,9037.0,22,4.524,16.518,10.694,1.463,-0.323,2.518,3.966,2.751,0.618,2.469,3.773,42.5,0.185,0,19.673,1.534,3.041,3.767,0,2.024,3.365,25.201,3.061,8.722,1.479,1.479
5.7,36.25,0,68.367,2.933,7.27,90.944,53.6,20.5,1.545,193.099,0,2.127,3.585,3.69,16.855,3.699,2.899,2.561,2.561,23.648,3.959,1.493,1.493,2,0.194,85.0,2,2,1.044,3.331,10648.0,6399.0,2.0,1.0,0.304,1.031,1.031,167.252,5.925,114.061,111.863,6872.0,22,4.524,11.313,9.015,1.341,0.255,2.48,3.921,2.526,0.536,2.386,3.664,38.0,-0.597,2,16.355,1.46,3.046,3.823,0,2.071,3.445,17.755,3.047,8.018,1.432,1.432
5.4,34.25,0,67.755,2.991,6.805,101.386,85.17,17.5,1.728,173.318,0,2.194,3.459,3.526,17.225,3.54,2.905,2.275,2.275,24.075,3.934,1.523,1.523,2,0.19,93.0,2,2,1.518,0.0,11934.0,7178.0,1.959,0.956,0.299,1.0,1.0,171.256,6.262,120.908,78.257,7633.0,17,4.17,16.484,9.387,1.202,0.273,2.489,3.886,2.5,0.52,2.265,3.664,38.0,-0.279,4,17.225,1.983,3.213,3.617,0,1.5,3.537,18.276,2.908,8.068,1.395,1.395
5.4,41.0,0,86.439,3.182,7.931,119.644,88.23,20.5,1.551,207.982,0,2.435,3.585,3.677,20.933,3.684,3.016,3.398,3.398,32.034,3.901,1.788,1.788,1,0.205,108.0,2,2,1.377,3.164,18785.0,10406.0,2.218,1.184,0.314,1.283,1.283,222.892,6.349,151.901,74.564,10686.0,22,4.524,12.213,11.179,1.431,0.276,2.677,3.854,2.733,0.586,2.467,3.807,44.0,0.369,0,21.303,1.558,3.482,3.792,0,2.266,3.524,15.508,3.148,8.977,1.526,1.526
5.4,35.25,0,34.796,2.828,7.35,0.0,62.22,19.5,1.885,176.756,0,1.944,3.459,3.642,17.485,3.652,2.72,2.579,2.579,26.622,3.952,1.418,1.418,5,0.207,104.0,2,2,1.13,2.693,13777.0,8045.0,2.001,1.0,0.328,1.02,1.02,159.2,6.691,128.647,121.33,8322.0,19,4.322,10.264,8.612,1.209,0.213,2.411,3.919,2.516,0.556,2.223,3.664,38.0,-0.166,6,18.355,1.528,3.058,3.708,0,1.801,3.645,9.598,2.845,6.833,1.248,1.248
5.4,25.75,0,68.306,2.537,4.943,81.465,68.62,12.0,1.601,141.849,0,1.551,3.087,3.521,14.071,3.549,2.399,2.136,2.136,15.509,3.981,1.291,1.291,0,0.195,71.0,1,1,1.04,0.0,7444.0,4697.0,1.969,0.963,0.307,1.0,1.0,147.121,5.633,95.579,45.379,5126.0,15,4.0,9.057,7.97,0.982,-0.244,2.215,3.916,2.181,0.53,1.986,3.481,31.5,-0.784,0,14.071,1.2,2.815,3.632,0,1.389,3.374,5.988,2.866,6.817,1.025,1.025
5.4,25.5,0,56.605,2.56,4.924,83.292,85.35,10.0,1.236,119.036,0,1.522,2.807,3.294,15.69,3.326,2.5,2.222,2.222,17.698,3.949,1.414,1.414,2,0.264,65.0,2,2,1.046,0.0,7394.0,4396.0,1.865,0.867,0.398,0.916,0.916,154.173,4.973,99.178,39.65,4433.0,11,3.585,16.238,8.478,0.945,0.393,2.383,3.891,2.103,0.773,1.947,3.434,30.0,-0.587,1,15.69,1.425,2.708,3.447,0,1.5,3.135,21.865,2.914,6.762,1.0,1.0
5.4,41.5,1,69.348,3.343,8.587,136.543,69.81,22.5,2.049,216.991,0,2.606,3.7,3.765,18.803,3.768,2.97,4.045,4.045,34.062,3.982,1.909,1.909,6,0.163,142.0,3,3,1.535,5.036,23356.0,12419.0,2.41,1.371,0.263,1.437,1.437,209.714,7.695,156.868,128.914,13098.0,23,4.585,18.603,9.814,1.473,0.9,2.883,3.949,2.864,0.425,2.496,3.829,45.0,0.51,7,21.303,1.844,3.376,3.799,0,2.173,3.808,25.872,3.247,8.653,1.531,1.531
7.3,53.0,1,102.49,3.44,10.672,165.922,121.17,29.0,2.362,270.812,1,2.845,4.0,3.811,23.139,3.811,3.416,4.627,4.627,46.461,3.985,2.016,2.016,7,0.138,203.0,4,4,2.04,4.603,42695.0,21875.0,2.638,1.583,0.224,1.695,1.695,285.433,8.854,206.538,166.317,23312.0,29,4.907,19.296,12.957,1.823,1.525,2.982,3.957,3.148,0.361,2.908,4.043,56.0,1.0,8,26.156,2.047,3.694,3.83,1,2.682,4.052,24.778,3.433,11.819,1.978,1.978
6.7,30.0,0,66.897,3.031,5.57,154.479,57.36,16.0,1.397,176.982,0,2.24,3.459,3.571,15.32,3.569,2.817,2.536,2.536,18.947,4.043,1.534,1.534,6,0.219,70.0,2,2,1.01,0.0,7053.0,4745.0,1.972,0.969,0.335,1.009,1.009,160.992,5.236,99.845,76.993,5005.0,20,4.392,6.063,8.57,1.339,0.259,2.499,4.007,2.506,0.623,2.347,3.584,35.0,-0.927,5,15.32,1.367,3.037,3.589,0,1.943,3.25,5.882,2.772,7.3,1.364,1.364
7.8,53.0,1,122.155,3.514,10.457,170.896,155.2,28.5,2.711,294.871,1,2.826,4.044,3.811,27.164,3.817,3.474,5.171,5.171,44.526,3.984,2.147,2.147,6,0.137,207.0,5,5,2.238,8.331,39514.0,23726.0,2.823,1.793,0.222,1.862,1.862,281.385,9.224,214.303,169.869,25094.0,29,4.907,26.286,15.197,1.961,2.214,3.127,3.941,3.28,0.359,3.015,4.069,57.5,1.0,10,26.811,2.29,3.705,3.884,1,2.819,4.149,33.219,3.409,12.803,2.066,2.066
5.4,27.25,0,97.283,2.859,5.415,69.679,87.72,14.5,0.77,186.058,0,1.668,3.248,3.399,14.776,3.421,2.599,1.09,1.09,18.343,3.862,1.225,1.225,7,0.318,46.0,3,3,1.194,0.0,5782.0,3051.0,1.507,0.519,0.458,0.547,0.547,153.663,4.043,84.599,79.95,3027.0,13,3.807,14.014,8.04,1.021,1.152,2.191,3.826,2.161,1.022,2.03,3.45,30.5,-0.889,2,14.276,1.401,2.994,3.526,0,1.563,2.686,15.265,2.853,7.103,1.076,1.076
7.7,45.25,0,120.5,3.363,8.896,146.644,150.27,25.0,2.273,252.778,0,2.641,3.807,3.823,22.311,3.82,3.232,4.629,4.629,34.506,3.995,1.978,1.978,3,0.154,158.0,5,5,2.086,8.417,24354.0,14103.0,2.68,1.666,0.251,1.681,1.681,224.856,8.216,165.01,138.588,14937.0,24,4.644,27.256,11.624,1.718,2.413,2.879,3.963,3.117,0.397,2.856,3.871,47.0,0.519,4,21.957,2.129,3.423,3.841,1,2.481,3.927,39.769,3.288,10.752,1.879,1.879
5.4,35.75,0,34.796,2.859,7.319,0.0,51.22,20.0,1.911,192.587,0,2.003,3.459,3.669,18.518,3.673,2.733,2.639,2.639,26.215,3.954,1.414,1.414,1,0.202,108.0,1,1,1.151,3.03,13082.0,8151.0,2.061,1.056,0.323,1.085,1.085,161.148,6.857,129.158,122.045,8382.0,19,4.322,15.446,9.354,1.269,-0.408,2.378,3.928,2.55,0.535,2.28,3.664,38.0,-0.373,2,18.518,1.494,2.939,3.71,0,1.818,3.673,19.526,2.988,7.379,1.292,1.292
5.7,30.25,1,82.58,2.805,6.164,0.0,82.0,18.0,1.065,189.173,2,1.945,3.392,3.379,14.113,3.383,2.589,1.776,1.776,20.848,3.896,1.325,1.325,5,0.279,55.0,4,4,0.869,0.0,5783.0,3367.0,1.7,0.7,0.416,0.715,0.715,130.325,4.539,86.436,128.298,3410.0,18,4.248,5.987,7.198,1.091,1.879,2.311,3.862,2.227,0.835,2.092,3.481,31.5,-0.982,5,14.113,1.117,2.951,3.44,1,1.627,2.978,4.851,2.739,6.163,1.092,1.092
7.8,48.5,1,104.144,3.465,9.634,142.688,126.1,27.0,2.226,260.441,1,2.772,3.954,3.8,22.432,3.802,3.251,4.651,4.651,38.08,3.97,2.089,2.089,5,0.145,161.0,4,4,1.878,5.356,28354.0,16124.0,2.67,1.611,0.233,1.704,1.704,250.887,8.116,177.318,171.099,17373.0,28,4.858,19.675,12.723,1.691,1.573,3.036,3.929,3.132,0.381,2.768,3.961,51.5,0.697,7,22.949,2.239,3.566,3.859,1,2.535,3.936,25.279,3.376,11.546,1.848,1.848
5.7,25.75,0,52.494,2.6,5.28,56.259,72.28,15.0,0.858,134.936,0,1.648,3.17,3.156,11.828,3.178,2.146,-0.833,-0.833,16.165,3.851,1.112,1.112,2,0.306,39.0,3,3,-0.057,0.0,3888.0,2165.0,0.612,-0.344,0.447,-0.362,-0.362,118.7,3.93,68.232,115.339,2198.0,16,4.087,5.319,6.383,0.678,1.193,2.101,3.83,1.023,0.942,1.676,3.332,27.0,-1.682,5,11.828,0.71,2.661,3.271,1,0.987,2.725,3.663,2.606,5.663,0.683,0.683
5.4,31.75,0,88.944,2.897,6.279,103.755,118.11,15.0,1.69,170.695,0,1.972,3.392,3.608,17.389,3.633,2.619,2.388,2.388,23.232,3.969,1.526,1.526,1,0.189,94.0,3,3,1.282,0.0,12450.0,7177.0,2.02,1.015,0.297,1.044,1.044,179.631,6.225,120.933,60.666,7634.0,17,4.17,10.86,9.696,1.238,1.045,2.516,3.924,2.459,0.515,2.248,3.651,37.5,-0.253,0,17.389,1.534,3.034,3.72,0,1.631,3.521,11.437,3.016,7.86,1.266,1.266
5.7,32.5,1,34.796,2.814,6.599,0.0,102.92,18.0,1.743,149.1,0,1.927,3.322,3.593,16.587,3.565,2.754,2.136,2.136,22.287,3.914,1.387,1.387,2,0.217,83.0,2,2,1.035,2.738,10306.0,5728.0,2.0,1.0,0.342,1.0,1.0,169.63,6.08,108.715,103.277,5884.0,15,4.0,14.539,8.938,1.136,0.321,2.36,3.887,2.5,0.588,2.191,3.555,34.0,-0.431,5,16.234,1.545,2.885,3.765,0,1.676,3.489,15.157,2.941,7.504,1.264,1.264
5.4,29.25,0,115.302,2.588,5.817,90.794,69.81,16.0,1.583,164.825,0,1.628,3.322,3.311,15.656,3.349,2.5,1.598,1.598,17.849,3.946,1.103,1.103,3,0.203,77.0,3,3,1.0,5.625,8801.0,4832.0,1.624,0.622,0.327,0.691,0.691,160.002,6.086,97.152,84.324,5070.0,17,4.17,13.592,7.914,1.0,1.109,2.067,3.917,1.965,0.532,2.0,3.497,32.0,-0.902,4,14.656,1.131,3.034,3.777,0,1.5,3.489,17.987,2.855,6.172,1.0,1.0
5.4,22.75,0,98.753,1.594,4.419,0.0,101.03,12.0,1.017,167.398,0,0.282,2.807,3.31,12.836,3.335,1.301,-0.897,-0.897,15.237,3.661,0.246,0.246,3,0.446,44.0,3,3,0.404,2.494,4005.0,2090.0,0.568,-0.357,0.666,-0.378,-0.378,97.479,4.437,70.02,76.765,1851.0,8,3.17,15.702,4.882,-0.105,1.309,1.151,3.595,0.947,1.315,0.832,3.178,23.0,-1.486,0,12.836,0.628,2.464,3.393,1,-0.162,2.958,22.096,2.694,4.257,-0.112,-0.112
5.4,32.0,0,70.021,2.795,5.703,162.162,104.18,16.0,1.278,137.983,0,1.876,3.322,3.519,15.742,3.544,2.5,2.62,2.62,19.566,3.921,1.474,1.474,1,0.213,68.0,1,1,1.24,2.963,8572.0,5169.0,2.002,0.997,0.318,1.044,1.044,203.617,4.94,104.395,34.143,5682.0,17,4.17,15.889,10.304,1.318,-0.241,2.421,3.884,2.476,0.632,2.328,3.611,36.0,-0.612,3,15.389,1.407,3.148,3.671,0,1.5,3.153,20.315,2.922,9.72,1.341,1.341
4.6,25.25,0,36.022,2.529,5.064,0.0,48.65,14.5,0.934,130.526,0,1.478,3.0,3.167,11.828,3.184,1.607,0.0,0.0,15.679,3.844,1.0,1.0,0,0.313,43.0,2,2,0.361,6.182,3443.0,2118.0,0.973,0.0,0.456,0.0,0.0,115.517,3.824,67.771,85.68,2161.0,13,3.807,17.388,6.388,0.28,0.353,2.014,3.815,1.286,0.969,1.267,3.296,26.0,-1.407,3,11.828,0.659,2.795,3.284,0,0.358,2.721,27.678,2.705,5.423,0.288,0.288
6.4,58.25,1,111.066,3.721,11.208,424.832,136.43,26.5,3.07,279.602,1,3.06,4.0,3.791,31.949,3.794,3.682,5.666,5.666,52.338,4.154,2.473,2.473,6,0.113,268.0,3,3,2.294,3.02,60788.0,38986.0,2.893,1.842,0.181,1.942,1.942,340.459,9.93,272.209,160.956,42662.0,28,4.858,35.77,18.394,2.227,0.712,3.456,4.115,3.264,0.3,3.282,4.22,67.0,1.532,4,31.949,2.424,3.855,3.832,1,2.797,4.249,42.239,3.46,15.812,2.318,2.318
5.4,41.75,0,99.794,3.141,8.309,255.999,92.61,22.5,1.969,245.69,0,2.319,3.807,3.719,20.501,3.735,3.045,3.709,3.709,29.739,4.14,1.834,1.834,4,0.142,140.0,4,4,1.546,0.0,20032.0,12943.0,2.468,1.443,0.23,1.509,1.509,207.175,7.665,156.872,109.704,14270.0,26,4.755,11.017,11.557,1.501,1.564,2.813,4.104,2.951,0.371,2.518,3.871,47.0,0.676,3,20.501,1.596,3.308,3.805,0,2.267,3.831,9.41,3.244,9.805,1.546,1.546
5.4,30.25,0,53.236,2.867,5.699,67.681,76.88,15.5,1.285,146.614,0,2.028,3.392,3.513,16.397,3.511,2.664,1.79,1.79,21.746,3.851,1.394,1.394,3,0.267,70.0,1,1,1.347,2.787,8154.0,4889.0,2.017,1.013,0.4,1.013,1.013,157.201,5.135,105.372,64.264,4850.0,17,4.17,14.557,8.358,1.199,-0.284,2.379,3.81,2.134,0.792,2.203,3.57,34.5,-0.491,2,16.397,1.353,3.019,3.566,0,1.69,3.185,19.474,2.952,7.043,1.204,1.204
6.7,27.25,0,49.683,2.626,5.429,66.818,84.22,15.5,1.08,140.033,0,1.686,3.322,3.298,12.889,3.308,2.543,1.292,1.292,17.674,3.859,1.14,1.14,1,0.282,50.0,2,2,0.475,0.0,5803.0,2971.0,1.371,0.415,0.42,0.472,0.472,152.564,4.465,80.637,72.255,2990.0,17,4.17,4.452,7.522,0.932,0.393,2.123,3.838,1.957,0.84,1.958,3.434,30.0,-1.129,1,13.405,1.155,2.925,3.465,0,1.466,2.976,3.014,2.796,6.409,1.0,1.0
5.9,42.25,1,54.032,3.232,8.662,138.647,70.23,22.0,1.887,203.627,0,2.481,3.585,3.763,20.543,3.769,3.202,4.62,4.62,37.737,3.981,1.879,1.879,8,0.184,137.0,3,3,2.129,7.738,23967.0,13254.0,2.642,1.632,0.288,1.637,1.637,224.626,7.166,167.607,122.079,13820.0,20,4.392,28.774,10.503,1.764,0.853,2.879,3.95,3.085,0.504,2.798,3.85,46.0,0.51,7,23.043,2.147,3.522,3.817,0,2.406,3.722,43.022,3.244,9.592,1.815,1.815
7.9,49.5,1,138.2,3.478,9.604,0.0,137.17,24.5,2.137,231.206,0,2.786,3.7,3.691,27.829,3.684,2.967,4.038,4.038,41.943,4.009,2.143,2.143,2,0.17,183.0,3,3,1.86,8.627,36037.0,20016.0,2.51,1.458,0.271,1.574,1.574,332.329,8.222,204.423,113.89,20636.0,21,4.459,35.803,15.575,1.59,0.889,3.038,3.981,2.901,0.459,2.613,3.97,52.0,1.03,2,26.579,2.279,3.753,3.937,0,2.145,3.94,56.529,3.608,11.764,1.635,1.635
