pXC50,nAB,nDB,nBM,Se,nSK,Si,Sv,nAT,nCsp2,nHet,nBT,MW,nBO,nO,SCBO
7.143,11,3,14,43.844,24,48.122,27.711,43,11,8,44,369.5,25,5,33.5
7.796,22,3,26,55.425,33,60.906,37.357,55,21,7,58,458.57,36,4,52.0
5.347,6,2,8,56.734,26,64.856,32.771,57,7,7,57,381.6,26,3,31.0
7.523,0,4,4,79.13,33,91.387,43.7,80,4,8,79,485.82,32,4,36.0
9.523,0,3,3,57.4,24,66.188,31.803,58,3,6,57,358.61,23,3,26.0
7.131,17,5,22,71.967,40,79.774,45.443,71,21,10,74,545.64,43,7,56.5
7.959,11,5,16,77.392,39,87.308,46.33,77,15,10,79,538.71,41,6,51.5
7.444,17,4,21,67.531,37,75.438,42.508,67,19,9,70,502.62,40,5,52.5
7.886,11,5,16,93.356,46,105.677,55.173,93,15,12,96,637.86,49,7,59.5
7.244,17,4,21,71.196,38,79.77,44.54,71,20,8,74,515.66,41,5,53.5
7.31,17,4,21,78.065,40,88.099,47.615,78,20,9,80,546.73,42,5,54.5
4.0,0,2,2,33.338,15,37.796,18.546,33,1,6,33,235.25,15,4,17.0
4.638,12,3,15,67.978,34,76.687,41.046,68,16,7,70,466.63,36,5,45.0
8.301,6,3,9,70.05,31,80.434,40.383,71,9,6,71,448.74,31,3,37.0
8.222,0,3,3,73.363,31,84.557,40.646,74,3,8,74,457.76,31,4,34.0
6.602,0,2,2,53.516,22,61.773,29.276,54,2,6,53,332.57,21,3,23.0
8.301,12,4,16,42.262,25,45.338,28.065,41,12,9,43,400.53,27,6,37.0
6.481,12,4,16,45.145,26,48.753,29.591,44,12,9,46,414.56,28,6,38.0
6.284,12,4,16,48.029,27,52.168,31.118,47,12,9,49,428.59,29,6,39.0
6.42,12,4,16,50.913,28,55.584,32.645,50,12,9,52,442.62,30,6,40.0
5.409,6,4,10,31.167,18,33.298,20.296,30,6,8,31,308.43,19,5,26.0
4.921,6,4,10,34.051,19,36.713,21.823,33,6,8,34,322.46,20,5,27.0
5.208,6,4,10,36.935,20,40.129,23.35,36,6,8,37,336.49,21,5,28.0
5.456,6,4,10,39.818,21,43.544,24.877,39,6,8,40,350.52,22,5,29.0
9.854,0,2,2,62.167,25,72.018,33.857,63,2,6,62,374.66,24,3,26.0
7.921,0,3,3,51.101,22,58.73,27.772,51,3,7,50,315.47,21,4,24.0
9.854,0,3,3,60.283,25,69.603,33.33,61,3,6,60,372.64,24,3,27.0
7.699,0,4,4,82.014,34,94.802,45.227,83,4,8,82,499.85,33,4,37.0
8.097,0,2,2,53.516,22,61.773,29.276,54,2,6,53,332.57,21,3,23.0
7.921,0,2,2,62.167,25,72.018,33.857,63,2,6,62,374.66,24,3,26.0
8.699,6,5,11,73.014,35,82.521,41.726,72,9,13,72,515.71,35,7,43.0
6.827,12,3,15,76.949,37,87.514,45.142,77,15,9,78,512.72,38,5,47.0
9.0,12,3,15,76.949,37,87.514,45.142,77,15,9,78,512.72,38,5,47.0
8.699,12,3,15,64.64,33,72.564,38.728,64,15,9,65,457.58,34,6,43.0
8.301,6,3,9,61.414,29,69.853,35.035,61,9,9,61,408.56,29,5,35.0
9.0,12,3,15,67.523,34,75.979,40.255,67,15,9,68,471.61,35,6,44.0
9.0,6,3,9,62.196,29,70.77,35.54,62,9,8,62,407.57,29,5,35.0
8.097,0,3,3,51.632,22,59.358,28.75,52,3,6,51,330.55,21,3,24.0
7.469,12,3,15,71.189,35,80.311,42.287,71,15,8,72,484.65,36,6,45.0
6.097,18,4,22,63.865,36,71.106,40.476,63,22,10,65,489.58,38,5,51.0
8.693,12,2,14,47.651,26,52.919,29.809,47,13,8,49,376.38,28,5,36.0
8.182,12,2,14,62.069,31,69.995,37.442,62,13,8,64,446.53,33,5,41.0
7.62,0,3,3,83.897,34,97.217,45.754,85,3,8,84,501.87,33,4,36.0
7.777,12,2,14,64.171,32,72.494,38.464,64,13,9,66,461.55,34,5,42.0
6.824,17,3,20,53.451,30,59.485,34.191,53,19,7,55,405.49,32,4,43.5
6.097,10,2,12,31.705,18,35.199,19.843,31,10,6,32,247.28,19,3,26.0
7.959,12,2,14,52.636,28,58.833,32.357,52,13,9,54,405.43,30,5,38.0
6.556,12,2,14,45.542,25,50.793,28.588,45,12,8,47,361.37,27,4,35.0
6.301,17,3,20,53.451,30,59.485,34.191,53,19,7,55,405.49,32,4,43.5
6.5,6,2,8,43.651,22,48.919,25.809,43,7,8,44,328.34,23,5,28.0
8.947,16,2,18,54.636,30,60.833,34.357,54,15,9,57,429.45,33,5,43.0
7.096,12,2,14,46.836,26,52.05,29.477,46,13,8,48,378.37,28,4,36.0
7.37,12,2,14,46.323,25,51.71,29.094,46,13,7,48,360.38,27,4,35.0
7.052,12,3,15,50.207,27,56.125,31.621,50,15,7,52,386.42,29,4,38.0
6.602,0,2,2,45.116,19,51.817,24.224,45,2,6,44,274.41,18,4,20.0
7.285,12,2,14,46.836,26,52.05,29.477,46,13,8,48,378.37,28,4,36.0
7.379,12,2,14,49.207,26,55.125,30.621,49,13,7,51,374.41,28,4,36.0
8.466,18,2,20,59.52,33,66.248,37.883,59,18,9,62,467.5,36,5,47.0
6.481,6,3,9,41.138,21,46.362,24.928,41,9,5,42,288.38,22,3,28.0
8.284,12,3,15,62.058,33,69.082,37.84,61,14,11,63,477.5,35,7,44.0
8.42,11,2,13,47.727,26,52.839,29.996,47,11,9,49,396.44,28,5,35.5
7.493,12,2,14,46.836,26,52.05,29.477,46,13,8,48,378.37,28,4,36.0
6.456,10,2,12,32.029,19,35.143,20.67,31,10,7,32,281.72,20,3,27.0
6.0,18,4,22,71.741,39,80.062,44.75,71,22,10,73,532.65,41,6,54.0
9.222,18,2,20,56.636,32,62.833,36.357,56,18,9,59,453.47,35,5,46.0
7.635,12,2,14,53.418,28,59.75,32.862,53,13,8,55,404.44,30,5,38.0
8.189,24,2,26,70.069,39,77.995,45.442,70,25,8,74,542.61,43,5,57.0
8.341,12,2,14,63.069,32,70.995,38.442,63,13,8,66,458.54,35,5,43.0
6.097,12,2,14,50.534,27,56.335,31.335,50,13,8,52,390.41,29,5,37.0
5.086,11,3,14,43.683,24,48.654,27.138,43,13,7,44,329.39,25,4,33.5
8.282,18,2,20,60.302,33,67.165,38.389,60,19,8,63,466.51,36,5,47.0
5.357,10,3,13,41.902,23,46.737,25.632,41,11,8,42,318.37,24,4,32.0
5.481,12,3,15,51.778,28,57.694,31.906,51,15,8,52,385.46,29,5,38.0
6.928,12,3,15,42.025,25,45.95,27.304,41,15,7,43,340.36,27,5,36.0
6.222,12,3,15,48.894,27,54.279,30.379,48,15,8,49,371.43,28,5,37.0
5.523,12,3,15,51.778,28,57.694,31.906,51,15,8,52,385.46,29,5,38.0
7.417,12,2,14,52.091,27,58.54,32.147,52,13,7,54,388.44,29,4,37.0
6.064,12,3,15,50.905,27,57.192,31.982,51,15,5,53,364.48,29,3,38.0
4.678,12,1,13,57.581,29,65.117,34.329,57,13,7,58,406.52,30,3,37.0
4.301,12,1,13,54.698,28,61.702,32.802,54,13,7,55,392.49,29,3,36.0
4.301,12,1,13,56.254,28,63.908,33.614,56,13,6,57,390.52,29,2,36.0
7.284,12,3,15,37.814,23,41.325,25.063,37,15,6,39,310.33,25,4,34.0
4.854,12,3,15,34.931,22,37.91,23.536,34,15,6,36,296.3,24,4,33.0
7.686,12,2,14,52.647,26,59.746,31.959,53,13,6,54,374.46,27,3,35.0
5.0,16,3,19,56.142,32,62.243,35.783,55,14,10,59,458.56,36,4,47.0
7.745,12,3,15,52.232,28,58.401,32.697,52,15,6,54,380.48,30,4,39.0
4.921,12,3,15,50.654,27,56.903,32.454,51,15,5,53,380.55,29,2,38.0
7.0,11,4,15,43.673,26,47.741,27.535,42,14,10,43,360.36,27,6,36.5
7.638,12,4,16,63.385,34,69.989,38.797,62,14,11,64,492.6,36,8,46.0
4.357,11,3,14,43.683,24,48.654,27.138,43,13,7,44,329.39,25,4,33.5
4.054,17,2,19,61.643,34,68.757,39.094,61,17,9,64,483.01,37,4,47.5
4.398,16,2,18,66.6,36,74.73,41.496,66,14,11,70,510.68,40,4,50.0
6.42,12,4,16,67.807,38,74.424,41.473,65,14,14,67,560.6,40,8,50.0
5.0,12,4,16,69.6,36,77.899,42.442,69,14,10,72,515.69,39,6,49.0
5.959,12,4,16,67.825,35,75.61,41.135,67,14,10,69,504.66,37,7,47.0
5.0,12,4,16,63.385,34,69.989,38.797,62,14,11,64,492.6,36,8,46.0
5.658,12,4,16,64.923,37,71.009,39.947,62,14,14,64,546.57,39,8,49.0
6.032,12,4,16,64.942,34,72.195,39.609,64,14,10,66,490.63,36,7,46.0
6.018,12,4,16,67.043,35,74.694,40.63,66,14,11,68,505.65,37,7,47.0
6.745,12,4,16,64.923,37,71.009,39.947,62,14,14,64,546.57,39,8,49.0
6.174,6,4,10,61.942,31,69.195,36.609,61,8,10,63,454.6,33,7,40.0
6.301,12,4,16,69.927,36,78.109,42.157,69,14,11,71,519.68,38,7,48.0
8.155,12,2,14,48.971,27,54.501,30.325,48,11,10,50,392.39,29,5,37.0
6.785,6,3,9,54.0,26,61.232,31.75,54,9,6,55,360.5,27,4,33.0
4.996,22,2,24,66.716,38,74.315,42.969,66,20,11,70,532.68,42,4,55.0
9.722,12,3,15,62.596,35,68.799,38.232,60,13,13,62,518.56,37,7,46.0
5.921,12,4,16,65.16,35,72.278,40.103,64,14,11,67,503.63,38,7,48.0
5.959,17,3,20,64.596,36,71.445,40.092,63,14,13,66,517.62,39,7,50.5
5.921,17,3,20,66.134,39,72.464,41.242,63,14,16,66,571.59,42,7,53.5
6.796,17,3,20,76.887,43,85.208,46.844,74,14,17,77,628.7,46,7,57.5
5.62,17,3,20,62.487,35,69.318,38.872,61,13,13,64,502.61,38,6,49.5
6.367,17,3,20,62.487,35,69.318,38.872,61,13,13,64,502.61,38,6,49.5
5.796,17,3,20,66.142,39,72.092,41.441,63,15,15,66,571.58,42,8,53.5
6.432,17,3,20,72.683,41,80.211,44.801,70,15,15,73,598.66,44,7,55.5
5.745,17,3,20,67.698,39,74.297,42.253,65,16,14,68,569.61,42,7,53.5
5.0,17,3,20,67.698,39,74.297,42.253,65,16,14,68,569.61,42,7,53.5
5.77,17,3,20,66.134,39,72.464,41.242,63,14,16,66,571.59,42,7,53.5
7.77,18,3,21,51.793,31,56.78,34.358,51,21,7,54,416.46,34,5,46.0
4.959,17,2,19,58.76,33,65.342,37.567,58,17,9,61,468.98,36,4,46.5
8.721,18,4,22,54.338,34,59.073,36.567,53,22,9,57,457.47,38,6,51.0
4.0,6,3,9,63.272,30,71.69,36.727,63,6,9,65,439.64,32,5,38.0
5.509,6,3,9,61.683,30,69.531,36.089,61,7,9,63,442.61,32,5,38.0
4.602,5,3,8,60.716,29,68.484,34.915,60,4,10,62,429.6,31,6,36.5
5.0,5,4,9,72.687,35,82.311,42.012,72,5,12,75,511.72,38,6,44.5
5.0,5,5,10,68.105,33,76.527,39.365,67,4,13,69,506.72,35,7,42.5
5.0,5,3,8,56.505,27,63.86,32.674,56,4,9,58,399.57,29,5,34.5
5.0,5,3,8,65.156,30,74.105,37.254,65,4,9,67,441.66,32,5,37.5
5.0,5,4,9,73.469,35,83.228,42.517,73,5,11,76,510.73,38,6,44.5
5.0,5,3,8,63.298,31,71.369,36.494,62,4,11,64,463.61,33,5,38.5
5.0,5,5,10,63.12,31,70.614,36.817,62,4,12,64,477.67,33,7,40.5
5.0,5,4,9,66.701,32,75.398,38.463,66,5,11,68,470.66,34,6,40.5
5.0,6,3,9,60.389,29,68.275,35.2,60,6,9,62,425.61,31,5,37.0
5.0,5,3,8,66.483,31,75.315,37.969,66,4,10,68,457.66,33,6,38.5
5.0,5,3,8,64.374,30,73.188,36.749,64,4,10,66,442.65,32,5,37.5
5.0,5,3,8,59.389,28,67.275,34.201,59,4,9,61,413.6,30,5,35.5
5.0,5,3,8,62.272,29,70.69,35.727,62,4,9,64,427.63,31,5,36.5
5.921,6,3,9,61.494,30,69.136,36.533,61,7,9,63,459.06,32,5,38.0
5.0,6,5,11,71.669,35,80.361,42.376,71,7,11,74,528.76,38,7,46.0
5.0,6,5,11,67.785,33,75.946,39.849,67,7,11,69,502.72,35,7,43.0
5.0,6,3,9,60.389,29,68.275,35.2,60,6,9,62,425.61,31,5,37.0
6.174,6,3,9,58.287,28,65.776,34.179,58,7,8,60,410.59,30,5,36.0
5.745,6,3,9,61.171,29,69.192,35.706,61,7,8,63,424.62,31,5,37.0
5.071,6,3,9,60.389,29,68.275,35.2,60,6,9,62,425.61,31,5,37.0
5.051,6,3,9,63.272,30,71.69,36.727,63,6,9,65,439.64,32,5,38.0
5.0,5,3,8,60.465,29,68.195,35.388,60,4,10,62,445.67,31,5,36.5
5.0,6,3,9,63.272,30,71.69,36.727,63,6,9,65,439.64,32,5,38.0
8.328,12,4,16,43.244,27,47.033,28.799,42,16,8,45,365.37,30,5,40.0
8.174,12,3,15,54.52,28,60.946,33.126,54,13,8,55,406.55,29,5,38.0
7.102,11,3,15,46.618,26,51.411,30.017,46,11,8,47,392.54,27,4,37.5
7.201,23,3,27,73.247,41,81.112,47.893,73,23,9,76,588.8,44,5,60.5
7.301,23,4,28,71.363,41,78.696,47.366,71,24,9,74,586.78,44,5,61.5
7.114,21,3,25,63.371,36,70.155,41.619,63,19,9,66,521.71,39,4,54.5
6.187,21,3,25,62.345,36,68.577,41.785,62,19,9,65,538.76,39,4,54.5
7.678,11,3,15,51.578,29,56.746,33.731,51,11,9,53,450.65,31,4,41.5
8.367,17,3,21,60.269,34,66.657,39.598,60,17,8,63,494.68,37,4,50.5
7.708,12,3,15,54.52,28,60.946,33.126,54,13,8,55,406.55,29,5,38.0
5.0,18,1,20,60.109,34,67.189,39.025,60,17,7,64,454.57,38,3,50.0
10.0,12,3,15,70.138,38,77.918,42.592,68,13,13,71,557.65,41,6,50.0
9.398,12,3,15,46.094,26,50.412,29.239,45,13,8,47,377.45,28,6,37.0
8.538,12,3,15,46.418,27,50.356,30.066,45,13,9,47,411.89,29,6,38.0
9.523,12,3,15,46.418,27,50.356,30.066,45,13,9,47,411.89,29,6,38.0
8.301,12,3,15,46.742,28,50.3,30.894,45,13,10,47,446.33,30,6,39.0
10.0,12,3,15,47.422,27,51.621,29.953,46,13,9,48,393.45,29,7,38.0
10.0,12,3,15,56.073,30,61.867,34.534,55,13,9,57,435.54,32,7,41.0
8.77,18,3,21,55.862,32,61.242,36.292,55,19,8,58,453.55,35,6,47.0
7.372,12,3,15,50.516,30,54.846,31.915,48,13,11,50,445.45,32,6,41.0
9.699,12,3,15,51.843,31,56.055,32.63,49,13,12,51,461.45,33,7,42.0
10.0,12,3,15,50.054,28,54.747,31.952,49,13,9,51,423.55,30,6,39.0
9.602,12,3,15,51.593,31,55.766,33.102,49,13,12,51,477.52,33,6,42.0
8.824,12,3,16,55.963,31,61.74,35.313,55,13,9,57,444.55,33,6,44.0
8.959,18,3,21,62.949,35,69.654,39.862,62,18,10,65,497.62,38,6,50.0
9.222,18,3,21,64.487,38,70.673,41.012,62,18,13,65,551.59,41,6,53.0
10.0,12,3,15,65.48,36,72.214,39.759,63,13,13,65,532.59,38,7,47.0
10.0,12,4,16,57.829,34,62.969,36.178,55,14,13,57,502.51,36,7,46.0
10.0,12,3,16,57.502,34,62.759,36.463,55,13,12,57,498.52,36,6,47.0
9.745,12,3,15,55.502,32,60.759,34.463,53,13,12,55,474.5,34,6,43.0
10.0,12,3,15,61.269,34,67.59,37.517,59,13,12,61,502.56,36,6,45.0
9.699,12,3,15,60.731,32,67.571,37.367,60,13,9,63,460.6,35,6,44.0
8.699,12,3,16,60.403,32,67.361,37.652,60,13,8,62,456.61,34,5,45.0
8.658,12,3,15,64.171,32,72.192,38.706,64,13,8,66,460.65,34,5,43.0
9.678,12,3,15,63.614,33,70.986,38.894,63,13,9,66,474.63,36,6,45.0
7.085,12,5,18,58.367,33,63.87,37.215,57,13,11,59,492.62,35,7,48.0
8.42,12,3,15,50.524,29,55.119,31.975,49,13,10,52,420.48,32,7,41.0
9.523,12,3,16,55.407,32,60.534,35.501,54,13,10,57,458.53,35,7,46.0
9.569,12,3,15,60.502,33,66.574,37.27,59,13,11,62,478.57,36,8,45.0
10.0,12,3,15,57.291,32,62.95,36.028,56,13,10,60,460.55,36,7,45.0
8.721,12,3,15,60.174,33,66.365,37.555,59,13,10,63,474.58,37,7,46.0
8.638,12,3,15,58.058,33,63.965,36.275,56,13,11,59,484.54,36,5,45.0
8.398,12,3,15,51.291,30,56.135,32.222,49,13,11,51,444.47,32,5,41.0
8.721,12,3,15,59.941,33,66.38,36.802,58,13,11,60,486.56,35,5,44.0
8.824,12,3,15,57.058,32,62.965,35.275,55,13,11,57,472.53,34,5,43.0
9.602,12,3,15,62.345,35,68.51,38.704,60,13,13,62,534.63,37,6,46.0
9.658,12,3,15,52.618,31,57.344,32.937,50,13,12,52,460.47,33,6,42.0
9.824,12,3,15,59.385,34,65.175,36.99,57,13,12,60,500.54,37,6,46.0
9.699,18,3,21,64.487,38,70.673,41.012,62,18,13,65,551.59,41,6,53.0
4.712,17,2,19,47.465,27,52.571,30.643,47,19,6,49,364.43,29,4,39.5
9.143,12,5,17,46.898,30,50.452,31.229,45,17,10,48,409.38,33,7,44.0
9.143,12,4,16,43.567,28,46.977,29.627,42,16,9,45,399.81,31,5,41.0
6.699,12,3,15,45.869,25,50.7,28.545,45,13,8,46,364.46,26,5,35.0
8.284,12,3,15,58.436,32,65.398,36.74,58,15,8,62,434.54,36,4,45.0
7.569,12,4,16,57.88,33,64.192,36.928,57,16,9,61,448.52,37,5,47.0
6.883,18,3,21,61.436,35,68.398,39.74,61,21,8,65,470.57,39,4,51.0
7.854,12,4,16,53.996,31,59.777,34.401,53,16,9,56,422.48,34,5,44.0
7.796,12,3,15,51.669,29,57.568,32.686,51,15,8,54,394.47,32,4,41.0
8.959,12,3,15,61.32,33,68.813,38.266,61,15,8,65,448.57,37,4,46.0
7.585,18,3,21,64.32,36,71.813,41.266,64,21,8,68,484.6,40,4,52.0
8.824,12,4,16,56.88,32,63.192,35.928,56,16,9,59,436.51,35,5,45.0
8.721,12,3,15,54.552,30,60.983,34.213,54,15,8,57,408.5,33,4,42.0
7.367,17,4,21,58.073,35,63.697,38.588,57,20,10,61,490.58,39,5,51.5
7.367,18,4,23,62.098,38,68.275,41.422,61,22,10,65,509.56,42,5,57.0
7.347,18,4,22,60.422,37,66.219,40.25,59,21,11,63,519.98,41,5,54.0
7.886,12,4,16,60.763,34,67.607,38.454,60,16,9,64,462.55,38,5,48.0
7.721,17,4,21,60.956,36,67.112,40.115,60,20,10,64,504.61,40,5,52.5
7.553,18,4,23,64.982,39,71.691,42.949,64,22,10,68,523.59,43,5,58.0
6.959,18,4,22,63.305,38,69.635,41.776,62,21,11,66,534.01,42,5,55.0
7.854,12,4,16,63.647,35,71.023,39.981,63,16,9,67,476.58,39,5,49.0
7.444,18,4,22,67.723,39,74.943,44.168,67,22,10,71,544.68,43,5,56.0
5.924,18,4,22,77.952,43,86.687,48.991,77,22,11,81,586.7,47,7,60.0
7.155,18,4,22,69.512,42,76.251,44.846,67,22,13,71,582.58,46,6,59.0
6.81,12,4,16,72.298,38,81.268,44.562,72,16,9,76,518.67,42,5,52.0
6.425,18,4,22,77.952,43,86.687,48.991,77,22,11,81,586.7,47,7,60.0
7.553,18,4,22,66.189,39,73.05,43.303,65,21,11,69,548.04,43,5,56.0
6.719,12,5,17,64.411,37,71.398,40.685,63,17,12,67,506.57,41,6,52.0
8.541,22,4,26,69.974,41,77.232,45.696,69,24,10,74,552.63,46,6,61.0
6.668,22,4,26,67.676,42,73.811,45.852,66,24,12,71,607.1,47,5,62.0
7.602,17,4,21,66.974,38,74.232,42.696,66,20,10,70,516.6,42,6,54.5
7.469,23,4,27,68.083,41,75.189,44.97,67,24,11,72,550.62,46,5,61.5
7.292,17,4,21,63.84,37,70.527,41.641,63,20,10,67,518.64,41,5,53.5
6.921,24,5,29,80.069,47,88.272,52.464,79,29,11,84,632.72,52,7,69.0
6.703,18,4,22,67.403,41,74.125,43.626,65,21,13,69,567.57,45,5,58.0
7.357,18,4,22,66.647,38,74.023,42.981,66,22,9,70,512.61,42,5,55.0
6.55,18,4,22,63.992,38,70.449,42.48,63,22,10,67,577.47,42,5,55.0
7.06,18,4,22,64.411,39,70.495,43.109,63,22,11,67,567.46,43,5,56.0
7.208,18,4,22,69.531,39,77.438,44.508,69,22,9,73,526.64,43,5,56.0
6.762,18,4,22,66.971,39,73.967,43.809,66,22,10,70,547.05,43,5,56.0
7.114,12,4,16,72.298,38,81.268,44.562,72,16,9,76,518.67,42,5,52.0
7.092,18,4,22,64.142,40,69.918,42.987,62,21,13,66,586.44,44,5,57.0
7.62,12,4,16,67.076,37,74.73,41.717,66,16,11,70,507.6,41,6,51.0
7.131,23,5,28,78.92,45,87.481,50.958,78,25,12,83,627.78,50,6,66.5
7.032,18,4,22,67.723,39,74.943,44.168,67,22,10,71,544.68,43,5,56.0
6.67,22,4,26,69.967,41,77.604,45.497,69,23,11,74,552.64,46,5,61.0
6.156,18,6,24,87.669,49,96.939,55.156,86,22,15,91,691.83,54,9,69.0
6.01,28,4,32,84.476,49,93.687,55.77,84,29,11,90,673.85,55,5,73.0
7.824,23,6,29,78.909,47,86.567,51.355,77,25,15,82,658.75,52,8,69.5
7.244,18,6,24,72.992,43,80.199,47.003,71,22,14,75,609.69,47,7,62.0
7.553,24,6,30,86.458,50,95.315,55.914,85,28,14,90,697.83,55,8,73.0
7.097,18,6,24,75.363,43,83.275,48.146,74,22,13,78,605.73,47,7,62.0
7.119,18,6,24,76.254,45,84.149,49.926,75,24,13,80,626.75,50,6,65.0
5.046,6,2,8,28.287,16,31.25,18.637,28,9,4,29,282.15,17,2,22.0
5.678,17,3,20,69.272,36,77.69,42.727,69,16,9,72,511.7,39,5,50.5
5.678,17,3,20,63.505,34,70.86,39.674,63,16,9,66,483.64,37,5,48.5
8.098,12,2,14,29.731,17,33.199,19.897,30,15,2,31,223.29,18,1,26.0
5.722,12,2,14,32.614,18,36.614,21.424,33,15,2,34,237.32,19,1,27.0
5.742,12,2,14,30.054,18,33.143,20.725,30,15,3,31,257.73,19,1,27.0
5.71,12,2,14,31.382,19,34.352,21.439,31,15,4,32,273.73,20,2,28.0
5.74,12,2,14,31.382,19,34.352,21.439,31,15,4,32,273.73,20,2,28.0
5.678,17,3,20,60.622,33,67.444,38.147,60,16,9,63,469.61,36,5,47.5
5.509,12,3,15,43.734,25,47.996,28.491,43,13,8,45,378.51,27,4,36.0
5.796,12,3,15,57.371,30,64.155,35.619,57,13,9,59,449.65,32,4,41.0
5.367,12,4,16,53.156,30,58.245,33.974,52,14,10,54,450.58,32,6,42.0
4.708,12,4,16,59.691,32,66.736,37.135,59,14,11,61,477.67,34,4,44.0
4.728,12,6,18,82.96,43,93.6,50.043,82,16,16,84,633.89,45,5,57.0
6.06,12,2,14,36.422,21,39.873,24.228,36,12,6,38,321.45,23,3,31.0
5.678,17,2,19,64.203,34,72.228,39.793,64,17,8,67,462.6,37,4,47.5
5.678,17,3,20,75.04,38,84.52,45.781,75,16,9,78,539.76,41,5,52.5
5.678,17,3,20,59.847,33,66.155,37.84,59,16,9,62,470.59,36,6,47.5
4.0,12,3,15,38.574,22,42.949,26.138,39,17,3,41,307.44,24,1,33.0
4.167,6,2,8,30.942,16,34.824,19.139,31,9,3,32,217.29,17,2,22.0
5.678,17,3,20,60.622,33,67.444,38.147,60,16,9,63,469.61,36,5,47.5
5.678,17,3,20,66.389,35,74.275,41.2,66,16,9,69,497.67,38,5,49.5
5.678,17,3,20,63.505,34,70.86,39.674,63,16,9,66,483.64,37,5,48.5
5.678,17,3,20,72.156,37,81.105,44.254,72,16,9,75,525.73,40,5,51.5
5.821,17,3,20,61.403,33,68.361,38.652,61,16,8,64,468.62,36,5,47.5
4.0,6,2,8,25.153,15,27.545,17.583,25,9,4,26,284.19,16,1,21.0
5.678,17,3,20,69.272,36,77.69,42.727,69,16,9,72,511.7,39,5,50.5
5.301,17,3,20,75.04,38,84.52,45.781,75,16,9,78,539.76,41,5,52.5
5.678,17,3,20,60.622,33,67.444,38.147,60,16,9,63,469.61,36,5,47.5
5.678,17,3,20,60.622,33,67.444,38.147,60,16,9,63,469.61,36,5,47.5
5.678,17,3,20,72.156,37,81.105,44.254,72,16,9,75,525.73,40,5,51.5
5.678,17,3,20,72.156,37,81.105,44.254,72,16,9,75,525.73,40,5,51.5
5.678,17,3,20,63.505,34,70.86,39.674,63,16,9,66,483.64,37,5,48.5
5.678,17,4,21,67.389,36,75.275,42.2,67,18,9,70,509.68,39,5,51.5
5.678,17,3,20,63.505,34,70.86,39.674,63,16,9,66,483.64,37,5,48.5
5.678,17,3,20,57.738,32,64.029,36.62,57,16,9,60,455.58,35,5,46.5
5.678,17,3,20,63.505,34,70.86,39.674,63,16,9,66,483.64,37,5,48.5
5.678,17,3,20,62.731,34,69.571,39.367,62,16,9,65,484.62,37,6,48.5
5.678,17,3,20,69.272,36,77.69,42.727,69,16,9,72,511.7,39,5,50.5
5.678,17,3,20,66.389,35,74.275,41.2,66,16,9,69,497.67,38,5,49.5
7.959,12,3,15,43.214,25,47.127,28.044,42,13,9,43,429.32,26,5,35.0
6.635,12,3,16,53.865,30,59.372,34.624,53,13,9,54,495.43,31,5,42.0
5.222,6,2,8,30.942,16,34.824,19.139,31,9,3,32,217.29,17,2,22.0
4.027,6,3,9,28.807,16,32.119,19.084,29,11,3,30,231.34,17,1,23.0
4.658,6,3,9,32.171,18,35.665,21.164,32,11,4,33,308.19,19,2,25.0
6.78,12,3,16,62.734,34,69.701,39.699,62,13,10,64,550.52,36,5,47.0
4.0,18,2,20,44.458,26,49.365,30.665,45,21,3,48,357.5,29,1,40.0
4.62,12,2,14,37.825,21,42.239,24.665,38,15,3,40,279.36,23,2,31.0
5.097,6,4,10,35.825,19,40.239,22.665,36,13,3,37,255.34,20,2,27.0
7.959,12,3,15,54.8,31,60.024,34.524,53,13,11,55,472.96,33,6,42.0
4.495,12,2,14,39.153,22,43.448,25.38,39,15,4,41,295.36,24,3,32.0
7.959,12,2,14,52.636,28,58.833,32.357,52,13,9,54,405.43,30,5,38.0
4.027,12,2,14,34.92,21,38.376,24.636,35,15,4,37,360.29,23,1,31.0
6.412,12,3,16,52.309,30,57.167,33.812,51,13,10,52,497.4,31,6,42.0
7.379,12,2,14,49.207,26,55.125,30.621,49,13,7,51,374.41,28,4,36.0
7.02,12,2,14,48.425,26,54.208,30.115,48,13,8,50,375.4,28,4,36.0
6.321,12,3,16,49.425,29,53.751,32.285,48,13,10,49,483.37,30,6,41.0
5.672,17,3,20,58.88,34,65.192,37.928,58,18,9,62,460.53,38,5,49.5
10.1,18,2,20,57.418,32,63.75,36.862,57,19,8,60,452.48,35,5,46.0
7.417,12,2,14,52.091,27,58.54,32.147,52,13,7,54,388.44,29,4,37.0
6.517,12,3,16,48.098,28,52.542,31.57,47,13,9,48,467.37,29,5,40.0
6.86,23,5,28,72.294,43,79.813,47.212,71,24,12,76,580.65,48,6,64.5
9.222,18,2,20,56.636,32,62.833,36.357,56,18,9,59,453.47,35,5,46.0
6.457,12,2,14,50.534,27,56.335,31.335,50,13,8,52,390.41,29,5,37.0
10.0,18,2,20,59.52,33,66.248,37.883,59,19,9,62,467.5,36,5,47.0
6.5,6,2,8,43.651,22,48.919,25.809,43,7,8,44,328.34,23,5,28.0
8.947,12,2,14,56.52,30,63.248,34.884,56,13,9,59,431.47,33,5,41.0
8.189,24,2,26,70.069,39,77.995,45.442,70,25,8,74,542.61,43,5,57.0
