pXC50,nAB,nH,RBN,Sp,Sv,nSK,SCBO,nBO,Si,nBM,nC,Se,nBT,MW,nAT,nCsp2,H.,Mv,nCsp3,AMW,RBF,Me,C.,Mp,nN,nHet,Mi,N.
5.4,16,15,4,26.591,24.459,21,31.0,23,40.246,16,15,36.014,38,363.31,36,13,41.7,0.679,2,10.092,0.105,1.0,41.7,0.739,4,6,1.118,11.1
5.4,22,18,3,31.012,29.687,26,41.0,29,48.737,23,22,43.927,47,342.42,44,20,40.9,0.675,2,7.782,0.064,0.998,50.0,0.705,2,4,1.108,4.5
4.1,6,6,0,13.097,12.342,11,16.0,12,18.795,7,8,17.309,18,212.05,17,7,35.3,0.726,1,12.474,0.0,1.018,47.1,0.77,1,3,1.106,5.9
5.4,17,9,2,20.659,19.691,18,28.5,20,30.08,17,13,27.287,29,301.16,27,13,33.3,0.729,0,11.154,0.069,1.011,48.1,0.765,4,5,1.114,14.8
5.4,16,20,7,31.148,30.713,28,39.0,30,55.457,17,19,49.327,50,391.44,48,13,41.7,0.64,6,8.155,0.14,1.028,39.6,0.649,5,9,1.155,10.4
5.4,22,29,9,41.017,39.263,34,48.0,37,71.731,22,25,63.381,66,464.6,63,16,46.0,0.623,9,7.375,0.136,1.006,39.7,0.651,6,9,1.139,9.5
5.4,16,14,2,26.682,25.106,22,35.0,25,39.617,17,18,35.909,39,306.41,36,13,38.9,0.697,3,8.511,0.051,0.997,50.0,0.741,2,4,1.1,5.6
5.4,18,16,3,25.591,24.246,21,32.0,23,41.484,18,17,36.709,39,276.37,37,15,43.2,0.655,2,7.469,0.077,0.992,45.9,0.692,4,4,1.121,10.8
5.4,12,15,1,26.495,25.655,23,35.0,26,42.405,14,18,38.262,41,305.36,38,12,39.5,0.675,5,8.036,0.024,1.007,47.4,0.697,3,5,1.116,7.9
5.4,18,20,6,30.773,29.214,25,37.0,27,50.152,19,21,44.811,47,332.43,45,18,44.4,0.649,3,7.387,0.128,0.996,46.7,0.684,2,4,1.114,4.4
5.4,21,15,6,32.449,30.679,28,42.5,31,48.059,22,18,43.833,46,430.98,43,16,34.9,0.713,2,10.023,0.13,1.019,41.9,0.755,6,10,1.118,14.0
5.4,12,17,6,29.654,29.411,27,36.0,29,50.242,13,19,45.782,46,399.82,44,13,38.6,0.668,6,9.087,0.13,1.04,43.2,0.674,1,8,1.142,2.3
5.4,15,3,0,13.131,13.429,14,23.5,16,19.519,15,7,18.051,19,206.61,17,7,17.6,0.79,0,12.154,0.0,1.062,41.2,0.772,6,7,1.148,35.3
5.4,16,12,1,23.273,22.392,20,33.0,23,35.282,18,17,31.949,35,260.31,32,17,37.5,0.7,0,8.135,0.029,0.998,53.1,0.727,2,3,1.103,6.3
5.4,17,15,3,27.62,27.638,26,37.5,28,47.128,18,18,42.458,43,360.37,41,15,36.6,0.674,3,8.79,0.07,1.036,43.9,0.674,4,8,1.149,9.8
5.4,18,17,4,27.04,25.641,22,33.0,24,43.658,18,19,38.785,41,292.38,39,17,43.6,0.657,2,7.497,0.098,0.994,48.7,0.693,2,3,1.119,5.1
5.5,16,18,3,28.671,27.337,24,35.0,27,47.551,16,17,42.345,45,343.85,42,11,42.9,0.651,6,8.187,0.067,1.008,40.5,0.683,5,7,1.132,11.9
5.4,17,17,4,29.381,29.165,27,38.5,29,50.543,18,19,45.341,46,374.4,44,15,38.6,0.663,4,8.509,0.087,1.03,43.2,0.668,4,8,1.149,9.1
5.4,15,20,4,31.216,29.202,25,37.5,28,50.444,17,19,44.88,48,352.5,45,14,44.4,0.649,5,7.833,0.083,0.997,42.2,0.694,4,6,1.121,8.9
5.4,12,18,6,28.08,26.735,23,32.0,25,45.807,13,18,41.36,43,331.82,41,13,43.9,0.652,5,8.093,0.14,1.009,43.9,0.685,1,5,1.117,2.4
6.2,6,19,3,24.472,23.423,20,26.0,21,44.445,8,14,39.356,40,277.36,39,8,48.7,0.601,6,7.112,0.075,1.009,35.9,0.627,3,6,1.14,7.7
5.4,22,18,5,33.455,31.675,28,44.0,31,51.029,24,22,45.996,49,386.51,46,21,39.1,0.689,1,8.402,0.102,1.0,47.8,0.727,4,6,1.109,8.7
7.2,0,15,2,20.495,19.655,17,23.0,18,36.405,5,12,32.262,33,233.3,32,8,46.9,0.614,4,7.291,0.061,1.008,37.5,0.64,3,5,1.138,9.4
6.4,10,16,3,24.046,22.961,20,30.0,22,40.694,13,15,36.036,38,268.35,36,12,44.4,0.638,3,7.454,0.079,1.001,41.7,0.668,4,5,1.13,11.1
5.4,15,7,1,18.438,17.821,17,28.5,19,26.827,16,11,24.469,26,241.3,24,10,29.2,0.743,0,10.054,0.038,1.02,45.8,0.768,5,6,1.118,20.8
5.4,17,21,5,36.699,34.405,30,42.5,33,57.246,18,21,51.513,54,462.44,51,16,41.2,0.675,5,9.067,0.093,1.01,41.2,0.72,5,9,1.122,9.8
6.8,26,32,9,49.944,47.308,41,61.0,45,81.936,29,31,73.156,77,568.76,73,25,43.8,0.648,6,7.791,0.117,1.002,42.5,0.684,6,10,1.122,8.2
5.4,16,16,1,23.796,22.445,19,29.0,21,39.112,16,16,34.716,37,252.34,35,12,45.7,0.641,4,7.21,0.027,0.992,45.7,0.68,2,3,1.117,5.7
7.5,27,26,6,43.205,41.013,36,54.5,40,69.481,28,27,62.178,66,498.66,62,23,41.9,0.662,4,8.043,0.091,1.003,43.5,0.697,6,9,1.121,9.7
5.4,12,19,6,30.699,29.089,25,34.0,27,49.167,13,19,44.567,46,380.29,44,13,43.2,0.661,6,8.643,0.13,1.013,43.2,0.698,1,6,1.117,2.3
5.4,18,19,5,29.563,27.993,24,36.0,26,48.026,19,20,42.702,45,317.42,43,18,44.2,0.651,2,7.382,0.111,0.993,46.5,0.688,3,4,1.117,7.0
5.4,23,27,7,42.858,40.617,35,53.5,39,69.268,26,29,61.556,66,461.61,62,25,43.5,0.655,4,7.445,0.106,0.993,46.8,0.691,5,6,1.117,8.1
5.5,11,27,7,36.006,34.22,29,39.5,31,63.734,14,22,56.178,58,398.53,56,14,48.2,0.611,8,7.117,0.121,1.003,39.3,0.643,4,7,1.138,7.1
4.1,16,11,1,19.063,18.171,16,26.0,18,30.156,16,13,26.84,29,209.27,27,13,40.7,0.673,0,7.751,0.034,0.994,48.1,0.706,3,3,1.117,11.1
5.4,27,22,7,38.489,37.487,34,52.5,38,62.94,28,25,56.662,60,454.53,56,22,39.3,0.669,3,8.117,0.117,1.012,44.6,0.687,6,9,1.124,10.7
5.4,22,11,3,28.017,28.029,27,42.0,30,42.902,23,19,39.502,41,384.79,38,19,28.9,0.738,0,10.126,0.073,1.04,50.0,0.737,4,8,1.129,10.5
5.4,16,18,3,28.671,27.337,24,35.0,27,47.551,16,17,42.345,45,343.85,42,11,42.9,0.651,6,8.187,0.067,1.008,40.5,0.683,5,7,1.132,11.9
5.4,22,22,6,35.216,34.351,31,45.0,34,60.615,22,22,53.916,56,424.5,53,16,41.5,0.648,6,8.009,0.107,1.017,41.5,0.664,6,9,1.144,11.3
6.2,18,19,1,29.108,27.279,23,35.0,26,46.817,18,20,41.374,45,301.42,42,18,45.2,0.649,2,7.177,0.022,0.985,47.6,0.693,3,3,1.115,7.1
4.1,11,9,1,18.154,17.031,15,23.5,17,26.289,12,12,24.04,26,215.29,24,11,37.5,0.71,1,8.97,0.038,1.002,50.0,0.756,1,3,1.095,4.2
4.1,9,3,0,10.528,10.1,10,15.5,11,14.857,9,4,13.807,14,174.63,13,4,23.1,0.777,0,13.433,0.0,1.062,30.8,0.81,4,6,1.143,30.8
5.4,23,23,3,39.779,37.936,33,51.5,38,62.113,25,29,55.763,61,434.54,56,25,41.1,0.677,4,7.76,0.049,0.996,51.8,0.71,2,4,1.109,3.6
5.8,14,23,5,32.438,30.465,26,39.0,30,55.567,16,18,49.192,53,373.53,49,8,46.9,0.622,10,7.623,0.094,1.004,36.7,0.662,5,8,1.134,10.2
5.6,18,25,6,36.006,34.519,30,42.0,33,62.272,18,22,55.327,58,407.52,55,15,45.5,0.628,7,7.409,0.103,1.006,40.0,0.655,5,8,1.132,9.1
5.4,17,12,2,22.977,22.622,21,32.5,23,37.073,18,15,33.596,35,280.31,33,15,36.4,0.686,0,8.494,0.057,1.018,45.5,0.696,4,6,1.123,12.1
6.3,18,16,5,30.08,28.926,26,38.0,28,47.127,19,20,42.702,44,370.45,42,18,38.1,0.689,2,8.82,0.114,1.017,47.6,0.716,2,6,1.122,4.8
4.7,11,5,0,15.097,15.155,15,23.5,17,22.562,12,9,20.942,22,220.63,20,9,25.0,0.758,0,11.032,0.0,1.047,45.0,0.755,4,6,1.128,20.0
5.4,16,11,3,21.222,21.117,20,32.0,22,35.156,18,13,31.814,33,269.29,31,12,35.5,0.681,1,8.687,0.091,1.026,41.9,0.685,5,7,1.134,16.1
5.4,20,10,1,23.358,22.601,21,34.0,24,34.835,20,15,31.683,34,345.19,31,14,32.3,0.729,1,11.135,0.029,1.022,48.4,0.753,4,6,1.124,12.9
5.4,11,16,5,24.103,22.282,19,25.5,20,39.847,11,12,35.211,36,297.85,35,7,45.7,0.637,5,8.51,0.139,1.006,34.3,0.689,5,7,1.138,14.3
5.4,22,13,3,28.142,27.262,25,40.0,28,42.223,23,19,38.476,41,348.81,38,19,34.2,0.717,0,9.179,0.073,1.013,50.0,0.741,4,6,1.111,10.5
8.4,18,22,9,36.659,35.437,32,45.0,34,61.139,20,20,55.498,56,479.99,54,16,40.7,0.656,4,8.889,0.161,1.028,37.0,0.679,5,12,1.132,9.3
5.7,10,14,1,20.83,19.72,17,26.0,19,35.069,11,13,30.825,33,226.31,31,6,45.2,0.636,5,7.3,0.03,0.994,41.9,0.672,4,4,1.131,12.9
5.4,26,15,4,32.392,31.358,29,47.0,33,48.906,27,21,44.658,48,401.48,44,21,34.1,0.713,0,9.125,0.083,1.015,47.7,0.736,5,8,1.112,11.4
5.4,16,16,6,31.693,31.707,30,43.0,32,52.697,19,20,47.992,48,436.85,46,17,34.8,0.689,3,9.497,0.125,1.043,43.5,0.689,4,10,1.146,8.7
5.4,22,38,9,50.126,46.987,39,55.0,42,87.052,24,31,76.403,80,526.75,77,21,49.4,0.61,10,6.841,0.113,0.992,40.3,0.651,6,8,1.131,7.8
5.4,6,21,3,24.324,22.52,18,23.0,19,44.441,7,14,38.585,40,247.38,39,6,53.8,0.577,8,6.343,0.075,0.989,35.9,0.624,3,4,1.14,7.7
5.4,16,15,3,24.04,22.94,20,31.0,22,39.196,17,16,34.934,37,265.34,35,13,42.9,0.655,3,7.581,0.081,0.998,45.7,0.687,3,4,1.12,8.6
5.4,17,18,5,29.659,27.874,24,35.5,26,46.657,18,19,42.003,44,338.46,42,16,42.9,0.664,3,8.059,0.114,1.0,45.2,0.706,2,5,1.111,4.8
5.4,22,33,9,46.052,43.627,37,53.0,40,78.933,24,29,69.861,73,499.67,70,21,47.1,0.623,8,7.138,0.123,0.998,41.4,0.658,5,8,1.128,7.1
5.4,11,7,0,15.648,14.648,13,20.5,15,22.084,11,10,20.084,22,235.09,20,9,35.0,0.732,1,11.755,0.0,1.004,50.0,0.782,2,3,1.104,10.0
5.4,16,18,3,25.353,23.773,20,30.0,22,42.9,16,16,37.592,40,266.38,38,12,47.4,0.626,4,7.01,0.075,0.989,42.1,0.667,4,4,1.129,10.5
4.3,6,8,1,14.0,13.854,13,19.0,14,24.033,8,8,21.502,22,176.2,21,8,38.1,0.66,0,8.39,0.045,1.024,38.1,0.667,4,5,1.144,19.0
5.4,27,16,5,33.932,33.771,32,50.5,36,54.37,28,23,49.265,52,430.45,48,22,33.3,0.704,1,8.968,0.096,1.026,47.9,0.707,6,9,1.133,12.5
6.1,16,20,5,28.569,27.015,23,34.0,25,48.524,17,18,42.803,45,308.42,43,15,46.5,0.628,3,7.173,0.111,0.995,41.9,0.664,4,5,1.128,9.3
5.4,11,10,1,18.512,17.865,16,25.5,18,28.867,13,13,26.065,28,210.25,26,13,38.5,0.687,0,8.087,0.036,1.003,50.0,0.712,2,3,1.11,7.7
5.4,15,13,1,24.722,23.401,21,33.5,24,38.072,16,15,34.12,37,295.4,34,10,38.2,0.688,4,8.688,0.027,1.004,44.1,0.727,5,6,1.12,14.7
5.4,22,20,5,33.455,32.824,30,44.0,33,57.2,22,21,51.032,53,410.47,50,16,40.0,0.656,5,8.209,0.094,1.021,42.0,0.669,6,9,1.144,12.0
5.4,21,20,3,36.273,35.246,32,50.5,37,58.315,24,24,52.451,57,424.5,52,20,38.5,0.678,4,8.163,0.053,1.009,46.2,0.698,6,8,1.121,11.5
5.4,16,24,3,36.875,35.965,32,45.0,36,63.915,17,24,57.101,60,443.51,56,15,42.9,0.642,9,7.92,0.05,1.02,42.9,0.658,3,8,1.141,5.4
5.5,17,27,7,37.926,35.664,30,41.5,33,64.338,17,23,56.989,60,426.99,57,14,47.4,0.626,9,7.491,0.117,1.0,40.4,0.665,4,7,1.129,7.0
5.9,22,31,10,46.427,43.977,38,54.0,41,78.066,24,28,69.341,72,534.72,69,21,44.9,0.637,7,7.75,0.139,1.005,40.6,0.673,6,10,1.131,8.7
5.8,18,28,7,40.978,39.266,34,48.0,37,69.813,20,26,62.32,65,460.58,62,20,45.2,0.633,6,7.429,0.108,1.005,41.9,0.661,4,8,1.126,6.5
5.4,16,21,6,29.574,28.036,24,35.0,26,51.023,17,18,44.905,47,323.44,45,13,46.7,0.623,5,7.188,0.128,0.998,40.0,0.657,5,6,1.134,11.1
4.8,16,10,1,19.0,18.555,17,27.0,19,30.495,16,13,27.353,29,227.26,27,12,37.0,0.687,1,8.417,0.034,1.013,48.1,0.704,3,4,1.129,11.1
5.6,11,11,2,26.727,25.319,23,35.5,25,37.253,15,17,34.582,36,387.27,34,15,32.4,0.745,1,11.39,0.056,1.017,50.0,0.786,2,6,1.096,5.9
5.4,17,17,6,28.699,27.17,24,35.5,26,46.112,18,17,41.214,43,339.46,41,15,41.5,0.663,2,8.28,0.14,1.005,41.5,0.7,5,7,1.125,12.2
5.4,16,14,2,25.489,24.633,22,35.0,25,39.907,18,18,36.16,39,290.34,36,17,38.9,0.684,1,8.065,0.051,1.004,50.0,0.708,2,4,1.109,5.6
5.9,17,18,4,29.466,28.402,25,37.5,28,47.946,18,20,43.254,46,334.4,43,17,41.9,0.661,3,7.777,0.087,1.006,46.5,0.685,2,5,1.115,4.7
5.4,11,15,5,27.563,28.03,27,39.5,29,47.824,16,16,43.891,44,373.36,42,12,35.7,0.667,4,8.89,0.114,1.045,38.1,0.656,5,11,1.139,11.9
5.4,16,18,3,28.216,26.622,23,34.0,26,46.342,16,17,41.018,44,327.85,41,11,43.9,0.649,6,7.996,0.068,1.0,41.5,0.688,5,6,1.13,12.2
5.4,12,13,3,29.87,30.564,30,42.0,32,49.621,16,19,45.622,45,440.81,43,17,30.2,0.711,2,10.251,0.067,1.061,44.2,0.695,4,11,1.154,9.3
5.4,17,19,5,30.665,28.895,25,36.5,27,49.155,18,19,44.105,46,353.48,44,15,43.2,0.657,4,8.034,0.109,1.002,43.2,0.697,3,6,1.117,6.8
5.4,11,14,1,18.58,17.204,14,20.5,15,31.488,11,12,27.505,29,186.28,28,10,50.0,0.614,2,6.653,0.034,0.982,42.9,0.664,2,2,1.125,7.1
5.4,16,15,4,25.904,24.789,22,33.0,24,41.638,17,16,37.36,39,314.8,37,13,40.5,0.67,3,8.508,0.103,1.01,43.2,0.7,4,6,1.125,10.8
5.4,22,30,10,45.193,43.508,38,55.0,41,76.438,25,29,68.531,71,514.63,68,22,44.1,0.64,7,7.568,0.141,1.008,42.6,0.665,4,9,1.124,5.9
5.4,16,18,2,26.353,24.773,21,32.0,24,43.9,16,17,38.592,42,278.39,39,12,46.2,0.635,5,7.138,0.048,0.99,43.6,0.676,4,4,1.126,10.3
4.6,5,11,1,15.972,15.601,14,19.5,15,28.575,7,9,25.494,26,193.23,25,6,44.0,0.624,3,7.729,0.038,1.02,36.0,0.639,3,5,1.143,12.0
5.8,22,34,10,48.25,45.12,38,54.0,41,81.141,24,29,71.712,75,530.76,72,21,47.2,0.627,8,7.372,0.133,0.996,40.3,0.67,6,9,1.127,8.3
6.8,17,23,5,33.779,31.551,27,38.5,30,56.73,17,19,49.858,53,381.56,50,13,46.0,0.631,6,7.631,0.094,0.997,38.0,0.676,7,8,1.135,14.0
5.4,22,33,10,47.506,45.341,39,56.0,42,81.142,25,30,72.189,75,527.68,72,22,45.8,0.63,8,7.329,0.133,1.003,41.7,0.66,5,9,1.127,6.9
5.4,27,20,4,34.364,32.816,29,46.5,33,54.896,27,23,48.796,53,380.49,49,21,40.8,0.67,2,7.765,0.075,0.996,46.9,0.701,6,6,1.12,12.2
5.4,16,12,2,21.273,20.392,18,29.0,20,33.282,17,15,29.949,32,236.29,30,14,40.0,0.68,1,7.876,0.063,0.998,50.0,0.709,2,3,1.109,6.7
5.4,17,15,3,27.62,27.638,26,37.5,28,47.128,18,18,42.458,43,360.37,41,15,36.6,0.674,3,8.79,0.07,1.036,43.9,0.674,4,8,1.149,9.8
5.4,26,16,5,30.546,29.993,28,45.0,32,49.857,26,19,44.676,48,372.43,44,16,36.4,0.682,3,8.464,0.104,1.015,43.2,0.694,8,9,1.133,18.2
5.4,32,18,4,37.909,36.39,33,54.0,38,56.238,32,26,51.323,56,450.55,51,26,35.3,0.714,0,8.834,0.071,1.006,51.0,0.743,4,7,1.103,7.8
5.4,18,37,8,53.483,51.11,44,62.0,48,91.182,23,34,81.283,85,595.76,81,24,45.7,0.631,10,7.355,0.094,1.003,42.0,0.66,5,10,1.126,6.2
4.5,10,5,0,12.341,11.836,11,17.0,12,17.878,10,7,16.527,17,213.04,16,7,31.3,0.74,0,13.315,0.0,1.033,43.8,0.771,2,4,1.117,12.5
5.4,34,32,8,56.625,55.303,50,75.0,57,92.367,35,39,83.283,89,675.76,82,32,39.0,0.674,7,8.241,0.09,1.016,47.6,0.691,5,11,1.126,6.1
5.4,17,9,2,23.972,25.351,26,37.5,28,40.977,18,16,37.716,37,368.29,35,15,25.7,0.724,1,10.523,0.054,1.078,45.7,0.685,4,10,1.171,11.4
6.7,15,18,4,27.603,26.289,23,35.5,26,46.481,16,17,40.912,44,306.41,41,9,43.9,0.641,7,7.473,0.091,0.998,41.5,0.673,6,6,1.134,14.6
4.4,10,5,0,12.137,11.638,11,17.0,12,18.25,10,6,16.52,17,213.05,16,6,31.3,0.727,0,13.316,0.0,1.032,37.5,0.759,4,5,1.141,25.0
6.2,16,20,5,33.08,31.051,27,39.0,31,52.887,16,19,47.305,51,401.96,47,12,42.6,0.661,7,8.552,0.098,1.006,40.4,0.704,5,8,1.125,10.6
5.4,17,20,3,32.273,31.246,28,41.5,32,54.315,18,20,48.451,52,376.46,48,14,41.7,0.651,6,7.843,0.058,1.009,41.7,0.672,6,8,1.132,12.5
5.4,22,15,3,30.142,28.842,26,41.0,29,45.325,23,20,41.338,44,361.45,41,20,36.6,0.703,0,8.816,0.068,1.008,48.8,0.735,3,6,1.105,7.3
6.0,16,12,2,21.773,21.424,20,31.0,22,36.445,17,13,32.589,34,268.31,32,12,37.5,0.669,1,8.385,0.059,1.018,40.6,0.68,6,7,1.139,18.8
4.1,9,8,1,14.648,14.041,13,19.5,14,23.953,10,7,21.578,22,196.26,21,6,38.1,0.669,1,9.346,0.045,1.028,33.3,0.698,4,6,1.141,19.0
5.4,10,22,3,27.33,25.542,21,29.0,23,48.939,11,16,42.687,45,286.42,43,8,51.2,0.594,8,6.661,0.067,0.993,37.2,0.636,4,5,1.138,9.3
5.4,18,18,5,29.262,28.203,25,37.0,27,48.318,19,19,43.247,45,334.41,43,16,41.9,0.656,3,7.777,0.111,1.006,44.2,0.681,4,6,1.124,9.3
5.4,22,27,9,42.426,40.96,36,53.0,39,70.524,25,28,63.545,66,485.58,63,22,42.9,0.65,6,7.708,0.136,1.009,44.4,0.673,3,8,1.119,4.8
4.6,16,10,3,19.25,19.071,18,28.0,20,32.077,16,12,28.673,30,243.27,28,11,35.7,0.681,1,8.688,0.1,1.024,42.9,0.688,5,6,1.146,17.9
5.4,12,23,11,33.665,32.722,29,39.0,30,58.661,15,19,53.516,53,425.5,52,13,44.2,0.629,6,8.183,0.208,1.029,36.5,0.647,1,10,1.128,1.9
5.4,10,5,0,12.341,11.836,11,17.0,12,17.878,10,7,16.527,17,213.04,16,7,31.3,0.74,0,13.315,0.0,1.033,43.8,0.771,2,4,1.117,12.5
5.4,16,20,4,30.432,28.864,25,36.0,28,50.967,16,18,45.229,48,357.88,45,12,44.4,0.641,6,7.953,0.083,1.005,40.0,0.676,5,7,1.133,11.1
5.4,18,16,5,27.5,26.676,24,36.0,26,44.903,19,18,40.363,42,320.38,40,16,40.0,0.667,2,8.009,0.119,1.009,45.0,0.688,4,6,1.123,10.0
6.9,27,28,7,45.421,43.255,38,56.5,42,74.105,28,28,66.389,70,528.69,66,23,42.4,0.655,5,8.01,0.1,1.006,42.4,0.688,6,10,1.123,9.1
5.4,23,16,3,32.625,32.659,31,46.5,34,53.626,24,22,48.56,50,423.43,47,21,34.0,0.695,1,9.009,0.06,1.033,46.8,0.694,5,9,1.141,10.6
5.2,16,9,1,19.21,19.074,18,29.0,21,30.159,16,13,27.611,30,239.25,27,12,33.3,0.706,1,8.861,0.033,1.023,48.1,0.711,3,5,1.117,11.1
5.8,22,34,8,46.603,43.933,37,53.0,40,80.221,24,29,70.636,74,498.69,71,21,47.9,0.619,8,7.024,0.108,0.995,40.8,0.656,6,8,1.13,8.5
4.8,16,10,1,18.307,17.666,16,26.0,18,29.239,16,12,26.058,28,210.26,26,12,38.5,0.679,0,8.087,0.036,1.002,46.2,0.704,4,4,1.125,15.4
6.0,17,15,5,25.699,24.59,22,32.5,24,42.01,17,15,37.353,39,314.81,37,13,40.5,0.665,2,8.508,0.128,1.01,40.5,0.695,6,7,1.135,16.2
5.4,20,13,2,25.637,24.46,22,35.0,25,39.12,20,16,35.382,38,357.23,35,14,37.1,0.699,2,10.207,0.053,1.011,45.7,0.732,4,6,1.118,11.4
5.4,22,25,8,40.665,39.433,35,52.0,38,67.109,25,27,60.662,63,471.55,60,22,41.7,0.657,5,7.859,0.127,1.011,45.0,0.678,3,8,1.118,5.0
5.4,22,23,7,35.733,34.682,31,45.0,34,61.485,22,22,54.731,57,422.51,54,16,42.6,0.642,6,7.824,0.123,1.014,40.7,0.662,6,9,1.139,11.1
5.4,18,18,5,29.012,27.687,24,36.0,26,46.737,19,20,41.927,44,318.4,42,18,42.9,0.659,2,7.581,0.114,0.998,47.6,0.691,2,4,1.113,4.8
5.4,16,18,3,28.216,26.622,23,34.0,26,46.342,16,17,41.018,44,327.85,41,11,43.9,0.649,6,7.996,0.068,1.0,41.5,0.688,5,6,1.13,12.2
5.4,16,17,5,27.665,26.316,23,34.0,25,45.053,17,17,40.243,42,328.83,40,13,42.5,0.658,4,8.221,0.119,1.006,42.5,0.692,4,6,1.126,10.0
7.1,16,21,6,30.824,29.552,26,38.0,29,53.604,17,18,47.225,50,351.46,47,12,44.7,0.629,6,7.478,0.12,1.005,38.3,0.656,7,8,1.141,14.9
5.4,16,28,7,36.319,34.353,29,41.0,32,64.976,17,21,56.985,60,396.55,57,11,49.1,0.603,10,6.957,0.117,1.0,36.8,0.637,6,8,1.14,10.5
6.7,16,19,7,30.392,30.208,28,39.0,30,54.54,17,18,48.545,49,392.43,47,13,40.4,0.643,5,8.35,0.143,1.033,38.3,0.647,6,10,1.16,12.8
4.0,5,5,0,11.881,11.493,11,16.5,12,18.04,7,6,16.593,17,167.21,16,6,31.3,0.718,0,10.451,0.0,1.037,37.5,0.743,3,5,1.127,18.8
5.4,12,13,3,27.313,27.826,27,39.0,29,45.922,16,18,41.902,42,374.35,40,17,32.5,0.696,1,9.359,0.071,1.048,45.0,0.683,4,9,1.148,10.0
5.4,27,27,8,43.256,41.736,37,55.5,41,72.316,28,28,64.498,68,498.61,64,24,42.2,0.652,4,7.791,0.118,1.008,43.8,0.676,6,9,1.13,9.4
5.4,17,13,2,27.858,28.111,27,40.5,29,45.713,19,19,41.574,42,370.36,40,15,32.5,0.703,2,9.259,0.048,1.039,47.5,0.696,4,8,1.143,10.0
7.6,17,19,7,30.62,29.763,27,37.5,29,52.888,17,17,47.062,48,391.88,46,12,41.3,0.647,5,8.519,0.146,1.023,37.0,0.666,7,10,1.15,15.2
5.4,11,17,6,24.449,22.654,19,26.5,20,40.531,12,14,35.894,37,275.41,36,10,47.2,0.629,4,7.65,0.162,0.997,38.9,0.679,3,5,1.126,8.3
5.4,16,18,7,31.034,30.373,28,39.0,30,52.962,17,18,47.52,48,409.48,46,13,39.1,0.66,5,8.902,0.146,1.033,39.1,0.675,5,10,1.151,10.9
5.4,16,8,1,18.409,17.988,17,27.0,19,28.266,16,11,25.6,27,245.69,25,11,32.0,0.72,0,9.828,0.037,1.024,44.0,0.736,5,6,1.131,20.0
5.4,17,10,2,24.034,24.968,25,36.5,27,40.637,18,16,37.203,37,350.3,35,15,28.6,0.713,1,10.009,0.054,1.063,45.7,0.687,4,9,1.161,11.4
6.9,23,31,10,45.745,43.815,38,54.5,42,77.727,24,29,69.305,73,513.65,69,21,44.9,0.635,8,7.444,0.137,1.004,42.0,0.663,5,9,1.126,7.2
7.387,12,35,7,47.677,45.002,38,51.0,43,82.79,14,28,73.17,78,539.14,73,13,47.9,0.616,15,7.385,0.09,1.002,38.4,0.653,6,10,1.134,8.2
5.022,6,12,3,17.977,17.622,16,22.0,16,32.073,8,10,28.596,28,220.26,28,6,42.9,0.629,3,7.866,0.107,1.021,35.7,0.642,4,6,1.145,14.3
8.222,22,22,5,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.093,0.994,46.0,0.687,4,5,1.119,8.0
8.301,22,23,6,35.995,34.477,30,45.0,34,59.275,22,24,53.123,57,401.5,53,18,43.4,0.651,6,7.575,0.105,1.002,45.3,0.679,3,6,1.118,5.7
8.222,22,24,6,36.546,34.783,30,45.0,34,60.564,22,24,53.898,58,400.52,54,18,44.4,0.644,6,7.417,0.103,0.998,44.4,0.677,4,6,1.122,7.4
8.097,22,23,6,38.097,36.378,32,49.0,36,61.405,24,24,55.527,59,449.57,55,18,41.8,0.661,6,8.174,0.102,1.01,43.6,0.693,3,8,1.116,5.5
8.155,22,24,6,38.648,36.685,32,49.0,36,62.693,24,24,56.302,60,448.59,56,18,42.9,0.655,6,8.011,0.1,1.005,42.9,0.69,4,8,1.12,7.1
8.699,22,27,7,41.415,39.233,34,51.0,38,68.607,24,25,61.287,65,477.64,61,18,44.3,0.643,7,7.83,0.108,1.005,41.0,0.679,5,9,1.125,8.2
8.398,22,24,7,39.102,37.4,33,50.0,37,63.903,24,24,57.629,61,464.59,57,18,42.1,0.656,6,8.151,0.115,1.011,42.1,0.686,4,9,1.121,7.0
8.699,22,25,7,39.654,37.706,33,50.0,37,65.192,24,24,58.403,62,463.61,58,18,43.1,0.65,6,7.993,0.113,1.007,41.4,0.684,5,9,1.124,8.6
8.222,22,31,9,42.836,40.385,34,49.0,38,73.308,22,27,64.65,69,457.63,65,18,47.7,0.621,9,7.04,0.13,0.995,41.5,0.659,5,7,1.128,7.7
8.398,22,32,9,45.5,43.32,37,53.0,42,77.644,22,29,69.087,74,500.65,69,18,46.4,0.628,11,7.256,0.122,1.001,42.0,0.659,4,8,1.125,5.8
8.222,22,33,9,46.052,43.627,37,53.0,42,78.933,22,29,69.861,75,499.67,70,18,47.1,0.623,11,7.138,0.12,0.998,41.4,0.658,5,8,1.128,7.1
8.222,22,33,9,45.597,42.912,36,52.0,41,77.723,22,29,68.534,74,483.67,69,18,47.8,0.622,11,7.01,0.122,0.993,42.0,0.661,5,7,1.126,7.2
