pXC50,D.Dtr09,Eig11_AEA.bo.,Xindex,Eig08_AEA.bo.,Vindex,Eig08_EA,SM02_AEA.dm.,SpMax5_Bh.m.,Eig08_EA.ed.,SM03_AEA.ri.,Eig08_AEA.ed.,Eig08_AEA.ri.,RDCHI,Eig08_EA.ri.,Eig10_AEA.bo.,Eig11_EA.bo.,Yindex,Eig11_AEA.ri.,SpMax5_Bh.p.,SpMax5_Bh.v.,Eig07_EA,SM15_AEA.bo.,GMTIV,Eig02_EA,SM10_AEA.bo.,SMTIV,Eig07_AEA.ri.,X1v,Eig08_EA.bo.,GMTI,Wap,ATS2p,CSI,SpAD_EA.bo.,ATS1p,ATSC3i,SpMax5_Bh.i.,ATS2v,Eig13_EA.ed.,SM08_AEA.ri.,piID,SpAD_AEA.dm.,SpMaxA_AEA.ri.,LPRS,SMTI,X0v,Eig09_AEA.bo.,SpAD_EA.ri.,Eig06_EA.ri.,ATSC4i,X2sol,Eig09_AEA.ri.,X1sol,Eig10_EA.bo.,piPC01,SCBO,Eig11_AEA.ed.,Eig13_EA.bo.,MWC04,Psi_i_1,ECC,SpAD_EA.ed.,piPC02,SM02_EA.bo.,SpMax4_Bh.v.,MSD,SpMin4_Bh.p.,Eig09_EA.ri.,ZM2V
4.817,0.0,2.657,0.293,3.232,0.18,1.814,1.814,3.516,5.122,5.122,4.689,2.766,4.342,1.685,2.82,1.716,0.464,2.196,3.305,3.33,1.938,1.938,57910.0,2.845,2.845,29385.0,2.913,11.09,2.403,15211.0,20311.0,4.038,975.0,64.502,3.661,1.31,3.523,3.975,1.433,1.433,10.372,56.572,0.12,172.533,14971.0,19.351,2.929,47.036,2.014,1.335,15.699,2.432,16.209,1.948,3.829,45.0,3.516,0.688,6.779,17.285,468.0,141.63,4.369,5.056,3.384,8.497,1.699,1.306,513.0
4.0,0.0,1.399,0.353,2.541,0.225,1.055,1.055,3.22,2.678,2.678,3.594,2.028,3.477,1.023,2.17,0.158,0.615,1.046,2.917,2.92,1.389,1.389,18509.0,2.822,2.822,9614.0,2.332,6.86,1.536,5105.0,7851.0,3.583,443.0,49.324,3.226,0.849,3.128,3.573,-1.573,-1.573,10.066,37.073,0.165,101.881,4986.0,12.104,2.52,34.487,1.391,0.851,9.998,2.005,10.92,1.008,3.541,33.5,2.846,-0.873,6.441,11.831,208.0,100.597,4.147,4.832,3.069,5.771,1.481,0.994,370.0
5.123,0.0,0.882,0.373,2.34,0.24,0.866,0.866,3.042,2.409,2.409,3.606,1.759,3.27,0.754,1.293,-0.658,0.667,0.382,2.928,2.895,1.398,1.398,12798.0,2.91,2.91,6992.0,2.392,7.258,1.225,3893.0,6111.0,3.655,374.0,46.201,3.278,0.782,3.098,3.574,-1.838,-1.838,9.732,34.362,0.181,88.572,3772.0,12.256,2.179,30.9,1.396,0.807,10.127,1.649,10.328,-0.153,3.466,31.0,2.282,-0.927,6.395,11.327,173.0,95.176,4.123,4.808,3.003,5.168,1.398,0.648,332.0
4.807,0.0,1.858,0.302,2.5,0.185,1.0,1.0,3.054,2.275,2.275,3.414,2.0,3.836,1.0,2.5,0.699,0.475,1.516,3.046,3.038,1.386,1.386,21468.0,2.718,2.718,12314.0,2.384,7.75,1.5,7528.0,8597.0,3.778,632.0,51.529,3.439,1.123,3.21,3.733,-0.555,-0.555,9.862,39.182,0.147,117.813,7207.0,13.114,2.5,36.945,1.428,1.07,9.579,2.0,11.31,1.5,3.611,36.0,3.092,-0.325,6.431,13.392,295.0,100.161,4.167,4.852,3.27,7.11,1.591,1.0,320.0
5.059,0.0,2.159,0.373,2.816,0.23,1.414,1.414,3.363,3.004,3.004,3.803,2.335,3.875,1.23,2.366,0.979,0.594,1.525,3.009,3.101,1.422,1.422,40932.0,2.852,2.852,19718.0,2.412,8.668,1.929,9203.0,6047.0,3.725,693.0,54.848,3.378,0.979,3.403,3.708,0.237,0.237,8.453,44.248,0.138,137.632,9256.0,15.581,2.5,38.602,1.5,0.908,12.698,2.152,13.471,1.213,3.676,38.5,3.253,0.131,6.544,13.598,338.0,114.636,4.216,4.902,3.239,7.5,1.686,1.131,463.0
5.413,0.0,2.153,0.313,2.642,0.193,1.126,1.126,3.129,2.758,2.758,3.581,2.111,3.761,1.107,2.298,0.914,0.499,1.563,3.099,3.101,1.414,1.414,21516.0,2.695,2.695,12171.0,2.392,7.382,1.662,7147.0,9967.0,3.689,600.0,52.59,3.355,1.026,3.295,3.668,-0.499,-0.499,10.784,38.835,0.153,117.211,6951.0,13.023,2.5,37.177,1.73,1.013,10.458,2.0,11.614,1.085,3.624,36.5,3.159,-0.279,6.485,12.915,282.0,104.71,4.208,4.894,3.328,6.923,1.632,1.0,358.0
4.004,98.193,1.928,0.32,2.478,0.207,1.354,1.354,3.177,2.934,2.934,3.802,2.319,3.585,1.277,2.0,0.618,0.583,1.477,3.084,3.102,1.386,1.386,16681.0,3.276,3.276,9842.0,2.349,8.284,1.442,6499.0,13096.0,3.827,501.0,50.961,3.412,1.258,3.333,3.82,-0.297,-0.297,9.31,43.797,0.161,112.817,6079.0,13.632,2.278,40.294,1.519,1.265,10.761,1.984,11.596,1.0,3.555,34.0,3.598,-0.134,6.701,14.701,225.0,126.113,4.147,4.832,3.297,5.616,1.658,0.983,355.0
4.886,0.0,1.683,0.416,2.566,0.281,1.2,1.2,3.23,3.093,3.093,3.926,2.182,3.381,1.175,2.145,0.655,0.855,1.568,3.108,3.091,1.469,1.469,20063.0,3.241,3.241,10836.0,2.472,9.667,1.563,5668.0,9858.0,3.866,412.0,53.387,3.465,1.31,3.311,3.826,-1.372,-1.372,8.995,46.802,0.162,116.542,5709.0,14.721,2.352,40.484,2.019,1.294,13.037,1.964,12.564,0.863,3.611,36.0,3.432,-0.746,6.718,14.837,197.0,130.291,4.227,4.913,3.276,5.02,1.753,0.957,407.0
5.627,88.867,1.661,0.29,2.749,0.182,1.252,1.252,3.125,3.293,3.293,4.04,2.237,3.799,1.21,2.445,0.547,0.487,1.356,2.981,2.976,1.702,1.702,22467.0,2.845,2.845,12706.0,2.666,8.617,1.755,7817.0,21815.0,3.847,655.0,55.831,3.466,1.03,3.292,3.807,0.206,0.206,10.846,43.631,0.15,121.902,7420.0,14.645,2.5,39.697,1.67,1.088,11.579,2.0,12.582,1.421,3.651,37.5,3.053,0.099,6.683,14.442,299.0,123.844,4.28,4.966,3.172,6.595,1.546,1.0,407.0
5.351,0.0,0.694,0.445,2.165,0.286,0.686,0.686,3.002,1.64,1.64,3.266,1.6,3.191,0.6,1.027,-0.605,0.789,0.401,2.898,2.868,1.091,1.091,11623.0,2.856,2.856,6782.0,2.065,7.796,0.99,3551.0,3035.0,3.667,375.0,41.097,3.304,0.849,3.141,3.547,-1.788,-1.788,7.935,33.049,0.19,89.288,3675.0,13.113,2.038,28.924,1.046,0.8,10.007,1.55,10.324,-0.414,3.367,28.0,2.0,-0.944,6.312,10.868,184.0,89.113,3.942,4.625,3.118,5.387,1.637,0.566,327.0
4.0,0.0,1.618,0.32,2.169,0.198,0.898,0.898,2.897,2.092,2.092,3.289,1.866,3.591,0.867,1.982,0.618,0.515,1.464,2.836,2.846,1.0,1.0,12535.0,2.612,2.612,7823.0,2.0,7.187,0.967,5243.0,5273.0,3.663,470.0,43.204,3.303,1.032,3.08,3.615,-1.998,-1.998,8.815,34.212,0.167,97.643,4969.0,11.788,2.118,32.774,1.274,0.904,8.894,1.618,10.31,0.724,3.45,30.5,2.963,-0.936,6.319,12.101,216.0,88.603,3.946,4.63,3.353,6.276,1.621,0.618,279.0
4.947,0.0,0.971,0.4,2.118,0.249,0.618,0.618,2.944,1.372,1.372,3.0,1.482,3.36,0.509,1.62,-0.52,0.651,0.591,2.86,2.862,1.0,1.0,13516.0,2.632,2.632,7575.0,2.0,6.778,0.927,4090.0,2850.0,3.521,419.0,40.046,3.206,0.79,3.227,3.461,-2.43,-2.43,7.785,32.332,0.181,91.166,4101.0,11.698,1.741,28.343,1.071,0.768,8.845,1.461,10.14,0.392,3.384,28.5,2.299,-1.349,6.192,10.371,202.0,79.498,3.887,4.57,3.125,5.984,1.514,0.501,304.0
5.369,88.029,1.185,0.343,2.203,0.216,1.094,1.094,3.043,2.438,2.438,3.445,2.093,3.463,1.092,1.584,-0.041,0.58,0.912,2.951,2.96,1.207,1.207,11437.0,2.732,2.732,7212.0,2.195,7.083,1.181,4782.0,6730.0,3.693,432.0,43.412,3.312,1.039,3.283,3.638,-1.65,-1.65,8.865,34.841,0.171,96.176,4593.0,11.979,1.713,32.624,1.534,0.977,9.014,1.476,10.242,0.482,3.434,30.0,2.683,-0.976,6.375,12.124,199.0,92.331,3.989,4.673,3.114,5.756,1.611,0.479,281.0
4.896,0.0,0.813,0.462,2.583,0.301,1.15,1.15,3.016,2.825,2.825,3.617,2.108,3.21,1.085,1.403,-0.684,0.848,0.426,2.897,2.911,1.227,1.227,20957.0,3.184,3.184,9958.0,2.155,6.318,1.613,4252.0,4449.0,3.404,368.0,44.211,3.09,1.139,3.247,3.468,-2.025,-2.025,8.7,36.563,0.185,100.557,4431.0,11.995,1.895,32.614,1.497,1.217,8.698,1.618,9.292,-0.058,3.434,30.0,2.451,-1.0,6.488,10.922,182.0,107.195,3.998,4.682,3.067,5.325,1.44,0.621,404.0
5.317,69.987,0.487,0.382,2.165,0.247,0.666,0.666,3.147,1.639,1.639,3.266,1.544,3.146,0.561,1.034,-0.89,0.687,0.128,2.899,2.87,1.076,1.076,9806.0,2.841,2.841,5399.0,1.991,8.201,0.987,3004.0,4493.0,3.71,313.0,38.811,3.27,0.874,3.145,3.548,-2.625,-2.625,8.139,30.998,0.196,76.536,2896.0,12.752,1.574,26.788,1.318,0.764,10.451,1.241,10.114,-0.383,3.296,26.0,2.0,-1.114,6.29,10.983,143.0,85.859,3.882,4.564,2.975,4.847,1.34,0.304,313.0
5.374,0.0,1.636,0.33,2.5,0.206,1.0,1.0,3.015,2.275,2.275,3.414,2.0,3.583,1.0,1.828,0.526,0.545,1.332,2.919,2.926,1.331,1.331,17926.0,2.793,2.793,9781.0,2.263,7.587,1.5,5529.0,7783.0,3.613,505.0,47.49,3.297,0.98,3.203,3.582,-1.019,-1.019,9.849,38.011,0.163,103.326,5351.0,12.64,2.196,33.022,1.346,1.079,9.287,1.707,10.802,0.703,3.512,32.5,2.762,-0.643,6.402,11.916,236.0,96.173,4.099,4.783,3.063,6.247,1.454,0.711,364.0
4.595,77.011,1.0,0.407,2.198,0.272,1.077,1.077,3.044,2.444,2.444,3.47,2.069,3.168,1.066,1.195,-0.801,0.802,0.428,2.77,2.762,1.278,1.278,15936.0,2.895,2.895,7460.0,2.262,5.873,1.174,3478.0,6045.0,3.371,313.0,44.219,2.995,0.709,2.968,3.44,-2.0,-2.0,8.871,36.62,0.186,86.86,3437.0,10.652,1.833,32.015,1.358,0.653,9.548,1.516,9.83,-0.11,3.434,30.0,2.596,-0.996,6.444,10.526,146.0,99.735,4.034,4.718,3.025,4.637,1.529,0.536,384.0
5.498,0.0,1.059,0.383,2.421,0.249,0.942,0.942,2.954,2.275,2.275,3.414,1.899,3.205,0.899,1.145,-0.338,0.699,0.572,2.735,2.715,1.0,1.0,10383.0,2.787,2.787,5910.0,2.0,6.096,1.384,3368.0,5247.0,3.44,348.0,43.68,3.106,0.757,2.925,3.429,-2.954,-2.954,9.685,31.588,0.191,82.307,3273.0,10.911,2.165,29.699,1.209,0.751,8.65,1.646,9.526,-0.202,3.418,29.5,2.265,-1.414,6.326,10.316,161.0,88.579,4.047,4.732,2.959,4.98,1.37,0.652,330.0
4.764,86.157,1.172,0.363,2.41,0.232,0.812,0.812,3.2,2.103,2.103,3.509,1.815,3.343,0.808,2.065,-0.292,0.637,0.688,2.854,2.829,1.342,1.342,20351.0,2.932,2.932,9448.0,2.319,6.845,1.246,4431.0,7005.0,3.49,399.0,49.946,3.124,0.667,3.061,3.497,-2.0,-2.0,9.803,37.19,0.174,95.226,4343.0,11.773,2.156,32.663,1.489,0.597,10.499,1.648,10.739,0.88,3.541,33.5,2.66,-1.496,6.463,11.094,186.0,102.658,4.212,4.898,3.104,5.495,1.422,0.647,423.0
4.996,0.0,0.623,0.444,2.113,0.284,1.0,1.0,2.951,1.776,1.776,3.142,1.955,3.162,0.945,1.139,-0.73,0.777,0.443,2.954,2.935,1.0,1.0,6615.0,2.663,2.663,4815.0,2.0,7.219,1.077,3160.0,3196.0,3.696,375.0,35.223,3.323,1.053,3.152,3.596,-2.21,-2.21,7.738,29.994,0.199,83.456,3271.0,11.816,1.408,28.228,1.066,1.032,7.669,1.149,9.241,-0.216,3.258,25.0,2.0,-1.108,6.196,11.235,184.0,77.548,3.726,4.407,3.233,5.393,1.666,0.132,210.0
5.532,77.417,1.036,0.375,2.204,0.241,1.0,1.0,2.912,2.199,2.199,3.414,1.953,3.271,0.941,1.131,-0.363,0.668,0.688,2.884,2.883,1.017,1.017,9551.0,2.764,2.764,6092.0,2.0,6.535,1.129,3831.0,6993.0,3.559,396.0,45.212,3.219,0.947,3.188,3.542,-1.687,-1.687,9.94,33.188,0.186,88.789,3781.0,11.498,2.155,31.717,1.307,0.962,8.747,1.78,9.669,-0.156,3.434,30.0,2.465,-0.997,6.405,11.203,185.0,95.453,4.107,4.792,3.2,5.331,1.507,0.787,310.0
4.662,0.0,2.5,0.298,2.716,0.182,1.202,1.202,3.312,2.87,2.87,3.726,2.215,4.02,1.207,2.5,1.475,0.469,2.0,3.021,3.06,1.442,1.442,35374.0,2.761,2.761,18394.0,2.44,8.509,1.723,10031.0,12460.0,3.831,751.0,57.754,3.481,1.028,3.258,3.804,-0.14,-0.14,10.327,44.693,0.134,137.943,9731.0,14.941,2.53,41.1,1.723,1.051,12.142,2.005,13.297,1.5,3.714,40.0,3.414,-0.072,6.575,14.519,355.0,116.563,4.284,4.97,3.239,7.69,1.556,1.0,402.0
5.03,0.0,1.114,0.419,2.5,0.265,1.0,1.0,3.309,2.275,2.275,3.414,2.0,3.31,1.0,1.251,-0.364,0.709,0.569,2.796,2.769,1.169,1.169,19986.0,2.807,2.807,9541.0,2.134,6.873,1.5,4330.0,3471.0,3.542,435.0,43.235,3.19,0.654,2.925,3.51,-2.416,-2.416,8.272,35.761,0.179,96.337,4388.0,12.76,1.707,29.404,1.264,0.621,10.299,1.353,10.835,-0.182,3.434,30.0,2.358,-1.295,6.315,10.709,211.0,90.219,4.007,4.691,3.046,5.806,1.293,0.352,359.0
5.099,0.0,1.864,0.29,2.65,0.182,1.261,1.261,3.091,2.923,2.923,3.606,2.224,3.783,1.209,2.185,0.759,0.49,1.457,2.977,2.991,1.476,1.476,20063.0,2.793,2.793,11340.0,2.39,8.463,1.714,7194.0,18166.0,3.756,574.0,52.461,3.417,1.01,3.317,3.733,-0.281,-0.281,10.643,40.657,0.147,115.276,6708.0,13.93,2.447,36.76,1.47,1.0,10.937,2.123,12.268,1.038,3.597,35.5,3.16,-0.124,6.575,13.758,259.0,111.967,4.193,4.879,3.231,6.316,1.541,1.106,387.0
5.124,0.0,1.051,0.396,2.5,0.261,1.0,1.0,3.183,2.236,2.236,3.408,2.0,3.224,1.0,1.402,-0.347,0.754,0.648,2.935,2.882,1.114,1.114,10423.0,2.78,2.78,6132.0,2.103,7.289,1.496,3636.0,5498.0,3.709,343.0,43.655,3.295,0.958,3.076,3.621,-2.0,-2.0,8.66,34.881,0.192,87.476,3561.0,11.627,2.154,32.294,1.257,0.92,9.425,1.947,10.073,0.209,3.418,29.5,2.68,-1.272,6.425,11.79,159.0,96.384,4.003,4.687,3.099,4.831,1.531,0.937,304.0
5.389,75.495,0.738,0.37,2.174,0.237,1.0,1.0,2.981,2.275,2.275,3.414,2.0,3.243,1.0,1.398,-0.753,0.653,0.302,2.773,2.747,1.015,1.015,12595.0,2.707,2.707,6494.0,2.017,6.481,1.141,3532.0,5179.0,3.497,359.0,41.171,3.132,0.671,2.925,3.482,-2.511,-2.511,8.707,33.006,0.189,82.847,3391.0,11.437,1.634,29.515,1.329,0.65,9.18,1.34,9.798,0.08,3.367,28.0,2.269,-1.197,6.312,10.522,164.0,87.924,3.951,4.635,2.93,5.128,1.429,0.375,311.0
5.991,107.438,2.633,0.332,2.901,0.221,1.675,1.675,3.468,4.122,4.122,4.42,2.605,4.108,1.554,2.693,1.641,0.662,2.179,3.404,3.402,1.76,1.76,37836.0,3.299,3.299,21604.0,2.697,11.972,2.097,12669.0,32096.0,4.058,665.0,73.639,3.7,1.634,3.591,4.032,1.869,1.869,12.255,55.903,0.123,169.922,12381.0,19.132,2.875,51.031,1.891,1.701,15.599,2.397,16.779,1.759,3.922,49.5,3.62,1.052,6.942,18.77,313.0,159.41,4.593,5.281,3.444,6.138,1.795,1.391,545.0
5.544,75.68,2.232,0.325,2.768,0.218,1.275,1.275,3.019,2.885,2.885,3.876,2.274,3.491,1.274,2.48,1.043,0.654,1.73,2.992,2.991,1.528,1.528,14467.0,3.057,3.057,8303.0,2.527,7.574,1.901,5521.0,30107.0,3.818,416.0,56.428,3.414,0.846,3.127,3.796,-1.239,-1.239,11.611,44.436,0.181,104.085,5070.0,12.153,2.539,41.781,1.618,0.862,10.416,2.102,11.232,1.387,3.651,37.5,3.516,-0.574,6.838,14.644,182.0,136.011,4.317,5.004,3.333,4.835,1.545,1.094,370.0
5.376,72.419,0.925,0.376,2.5,0.242,1.0,1.0,3.008,2.275,2.275,3.414,2.0,3.228,0.998,1.195,-0.578,0.672,0.436,2.776,2.765,1.052,1.052,10816.0,2.615,2.615,6004.0,2.013,6.561,1.5,3446.0,5681.0,3.534,357.0,44.386,3.169,0.84,2.95,3.485,-2.439,-2.439,10.293,31.989,0.196,82.615,3333.0,11.579,1.991,29.338,1.331,0.763,9.105,1.388,9.815,-0.146,3.434,30.0,2.253,-1.397,6.33,10.595,164.0,88.544,4.09,4.775,3.035,5.048,1.333,0.408,305.0
5.212,0.0,1.259,0.4,2.5,0.25,1.0,1.0,3.222,2.42,2.42,3.468,2.002,3.521,1.0,1.583,-0.02,0.659,0.928,3.01,3.004,1.229,1.229,16284.0,2.788,2.788,9910.0,2.177,7.44,1.498,5680.0,4598.0,3.666,512.0,45.695,3.344,1.07,3.307,3.624,-1.456,-1.456,8.472,37.386,0.161,109.933,5766.0,14.107,2.448,33.216,1.33,1.131,10.188,2.0,11.279,0.48,3.497,32.0,2.674,-0.938,6.375,11.978,250.0,95.495,4.025,4.71,3.191,6.445,1.591,0.991,320.0
5.01,0.0,-0.244,0.617,0.577,0.444,-0.888,-0.888,2.545,-2.127,-2.127,2.0,0.076,2.367,-0.693,-0.226,-2.473,1.467,-0.806,2.339,2.329,-0.539,-0.539,2570.0,2.214,2.214,1538.0,0.406,4.368,-1.235,747.0,1148.0,3.142,108.0,27.696,2.772,0.481,2.682,3.07,-7.083,-7.083,7.822,19.919,0.313,40.385,801.0,7.875,0.236,17.902,0.131,0.433,5.886,-0.201,6.365,-2.092,2.97,18.5,1.166,-3.0,5.861,6.653,52.0,55.287,3.651,4.331,2.564,2.923,0.936,-0.877,186.0
6.445,0.0,2.385,0.316,2.918,0.207,1.426,1.426,3.446,3.213,3.213,3.997,2.423,3.87,1.42,2.5,1.282,0.593,1.81,3.383,3.345,1.932,1.932,28000.0,3.172,3.172,15536.0,2.885,10.839,2.068,9198.0,17721.0,4.007,612.0,65.373,3.631,1.222,3.481,3.928,1.372,1.372,10.945,48.895,0.14,138.348,8768.0,16.55,2.569,45.17,1.944,1.267,14.682,2.043,14.713,1.5,3.818,44.5,3.414,0.927,6.786,16.393,282.0,139.872,4.469,5.156,3.461,6.005,1.63,1.039,483.0
5.323,78.151,0.919,0.384,2.585,0.25,1.094,1.094,2.985,2.553,2.553,3.481,2.062,3.245,1.05,1.135,-0.525,0.709,0.565,2.99,2.963,1.215,1.215,9373.0,2.701,2.701,5902.0,2.204,7.294,1.583,3773.0,5985.0,3.729,346.0,46.511,3.35,0.893,3.216,3.629,-2.018,-2.018,10.297,33.118,0.189,88.027,3670.0,12.238,2.114,31.552,1.395,0.915,9.434,1.551,10.056,-0.222,3.466,31.0,2.286,-1.183,6.409,11.637,160.0,95.64,4.139,4.824,3.079,5.007,1.406,0.575,297.0
5.218,0.0,1.919,0.306,2.838,0.188,1.376,1.376,3.133,3.081,3.081,3.785,2.369,3.865,1.32,2.5,0.823,0.485,1.613,3.025,3.041,1.534,1.534,32149.0,2.822,2.822,16553.0,2.429,8.522,1.882,8817.0,11935.0,3.803,657.0,54.884,3.447,0.959,3.254,3.774,-0.166,-0.166,10.09,46.956,0.145,130.678,8599.0,14.655,2.53,40.155,1.815,1.038,12.13,2.005,12.844,1.475,3.664,38.0,3.247,-0.088,6.6,14.094,311.0,118.903,4.22,4.905,3.167,7.325,1.531,1.0,417.0
5.048,0.0,1.178,0.367,2.5,0.237,1.0,1.0,2.968,2.272,2.272,3.465,2.0,3.405,1.0,2.353,-0.199,0.66,0.809,2.903,2.821,1.132,1.132,11548.0,2.679,2.679,7057.0,2.0,7.634,1.5,4486.0,5707.0,3.75,416.0,47.41,3.387,0.877,3.093,3.65,-1.889,-1.889,9.503,35.168,0.18,94.918,4332.0,12.484,2.5,33.121,1.343,0.969,9.404,1.98,10.708,1.234,3.512,32.5,2.686,-1.162,6.395,12.053,193.0,94.581,4.099,4.783,3.063,5.409,1.47,0.937,298.0
5.167,74.049,0.749,0.392,2.5,0.257,1.0,1.0,2.859,2.136,2.136,3.247,2.0,3.187,1.0,1.841,-1.065,0.734,0.28,2.798,2.774,1.099,1.099,9060.0,2.833,2.833,5407.0,2.063,6.759,1.5,3314.0,4857.0,3.593,325.0,44.242,3.236,0.797,3.043,3.521,-2.347,-2.347,9.448,32.645,0.193,81.763,3201.0,11.224,1.847,29.99,1.373,0.858,8.795,1.398,9.662,0.521,3.434,30.0,2.24,-1.49,6.337,10.818,149.0,89.478,4.056,4.741,3.047,4.786,1.233,0.395,300.0
5.425,90.773,1.175,0.409,2.661,0.272,1.175,1.175,3.167,2.731,2.731,3.876,2.159,3.271,1.13,2.14,-0.108,0.807,0.721,2.849,2.858,1.447,1.447,19923.0,3.072,3.072,9820.0,2.445,7.291,1.686,4806.0,7896.0,3.69,391.0,50.427,3.282,0.815,3.021,3.694,-1.38,-1.38,9.261,41.925,0.186,104.669,4778.0,12.981,2.48,36.916,1.441,0.758,11.081,1.948,11.436,0.731,3.555,34.0,2.818,-0.723,6.666,12.74,184.0,121.683,4.174,4.86,3.047,4.944,1.336,0.94,401.0
5.109,0.0,1.711,0.378,2.5,0.232,1.0,1.0,3.416,2.321,2.321,3.557,2.0,3.67,1.0,2.161,0.453,0.598,1.314,3.0,3.105,1.51,1.51,37109.0,2.939,2.939,17009.0,2.492,8.87,1.5,7405.0,5669.0,3.65,606.0,54.365,3.314,0.921,3.421,3.634,-2.0,-2.0,8.729,42.216,0.163,124.239,7521.0,14.003,2.457,36.848,1.55,0.827,13.586,1.86,12.966,0.986,3.651,37.5,3.028,-1.029,6.518,12.782,297.0,113.652,4.273,4.959,3.307,7.193,1.646,0.847,481.0
4.004,90.353,1.807,0.354,2.711,0.226,1.212,1.212,3.013,2.861,2.861,3.599,2.22,3.467,1.216,1.941,0.422,0.619,1.321,2.943,2.954,1.414,1.414,16226.0,2.803,2.803,8929.0,2.379,6.786,1.754,5145.0,7050.0,3.638,447.0,49.664,3.273,1.07,3.179,3.624,-1.827,-1.827,9.697,38.142,0.174,101.614,4971.0,11.598,2.426,35.232,1.498,1.09,8.867,1.888,10.254,0.706,3.555,34.0,2.818,-1.03,6.46,12.174,207.0,101.318,4.171,4.856,3.194,5.666,1.594,0.88,330.0
5.151,0.0,1.186,0.352,2.656,0.224,1.174,1.174,3.205,2.607,2.607,3.565,2.168,3.481,1.161,2.157,-0.236,0.612,0.79,2.805,2.778,1.336,1.336,18379.0,2.785,2.785,9565.0,2.319,6.928,1.724,5161.0,7089.0,3.609,445.0,49.019,3.266,0.916,2.956,3.602,-1.025,-1.025,9.779,36.928,0.168,101.868,5008.0,12.102,2.368,34.329,1.349,0.828,9.347,1.867,10.526,0.98,3.541,33.5,2.692,-0.54,6.444,11.938,208.0,100.141,4.147,4.832,3.062,5.764,1.498,0.861,358.0
5.378,0.0,1.0,0.421,2.205,0.265,0.716,0.716,2.995,1.7,1.7,3.264,1.515,3.182,0.561,1.051,-0.897,0.705,0.198,2.884,2.829,1.0,1.0,13678.0,2.697,2.697,7030.0,2.0,6.126,1.057,3363.0,2931.0,3.367,350.0,41.146,3.058,0.723,3.087,3.353,-2.496,-2.496,8.744,30.761,0.197,84.205,3419.0,10.717,1.399,27.487,1.01,0.667,8.857,1.104,9.513,-0.424,3.384,28.5,2.144,-1.37,6.209,9.585,170.0,81.021,3.984,4.668,3.018,5.526,1.537,0.144,334.0
5.427,87.731,1.847,0.323,2.683,0.21,1.328,1.328,3.311,3.285,3.285,4.024,2.294,3.541,1.257,2.154,0.521,0.59,1.347,2.983,2.973,1.471,1.471,16579.0,3.035,3.035,9333.0,2.467,8.192,1.681,5797.0,14292.0,3.82,452.0,53.682,3.398,1.032,3.237,3.767,-0.807,-0.807,10.321,41.593,0.162,106.518,5437.0,13.035,2.555,38.986,1.532,0.995,11.063,2.108,11.539,1.114,3.597,35.5,3.057,-0.368,6.648,13.814,203.0,119.616,4.256,4.942,3.269,5.436,1.68,1.097,383.0
5.281,0.0,1.135,0.317,2.5,0.196,1.0,1.0,2.951,2.136,2.136,3.254,2.0,3.622,1.0,1.829,0.0,0.507,0.861,2.854,2.86,1.0,1.0,14031.0,2.732,2.732,8248.0,2.0,8.085,1.5,5291.0,5226.0,3.689,493.0,43.317,3.393,0.848,3.004,3.595,-1.604,-1.604,9.147,37.969,0.166,97.822,5013.0,12.384,2.262,31.694,1.174,0.774,9.338,1.647,10.81,0.7,3.466,31.0,2.618,-0.885,6.315,12.272,227.0,87.102,3.97,4.654,3.342,6.337,1.563,0.654,277.0
5.066,0.0,1.042,0.38,2.5,0.247,1.0,1.0,2.953,2.275,2.275,3.414,2.0,3.278,1.0,1.402,-0.605,0.698,0.551,2.954,2.947,1.249,1.249,9515.0,2.65,2.65,5945.0,2.241,6.457,1.5,3822.0,6214.0,3.619,373.0,46.018,3.264,0.893,3.165,3.57,-1.618,-1.618,9.96,33.728,0.187,88.161,3701.0,11.129,2.202,32.125,1.434,0.919,8.642,1.686,9.737,0.098,3.481,31.5,2.327,-0.927,6.358,11.31,172.0,90.887,4.111,4.796,3.159,5.049,1.498,0.69,281.0
5.098,64.23,0.632,0.392,2.118,0.255,0.618,0.618,2.791,1.372,1.372,3.0,1.461,3.085,0.506,0.952,-1.256,0.716,0.122,2.776,2.769,0.758,0.758,7451.0,2.779,2.779,4306.0,1.68,6.1,0.927,2597.0,3796.0,3.48,273.0,40.583,3.123,0.7,2.976,3.407,-2.824,-2.824,9.619,28.252,0.208,70.418,2485.0,9.738,1.847,26.518,1.318,0.63,7.983,1.295,8.781,-0.391,3.35,27.5,2.0,-1.5,6.217,9.723,124.0,79.057,3.998,4.682,2.964,4.6,1.392,0.328,271.0
5.33,0.0,1.537,0.356,2.5,0.227,1.0,1.0,3.097,2.552,2.552,3.523,1.957,3.515,0.954,2.161,0.358,0.626,1.242,3.025,3.053,1.394,1.394,16122.0,2.832,2.832,9448.0,2.359,7.117,1.5,5648.0,7904.0,3.676,468.0,51.122,3.32,1.03,3.294,3.659,-1.171,-1.171,9.879,38.751,0.165,107.854,5514.0,12.791,2.44,36.538,1.581,1.059,10.127,1.938,11.042,0.985,3.57,34.5,2.987,-0.572,6.512,12.585,220.0,107.284,4.193,4.879,3.107,5.832,1.541,0.93,348.0
