pXC50,nDB,N.,nCsp3,Sp,Sv,Se,nSK,Si,nBO,SCBO,nAT,nBT,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB
6.0,0,9.7,1,21.762,21.082,31.236,19,34.911,21,29.5,31,33,15,8.171,48.4,38.7,1.008,1.126,0.702,0.68,253.3,17
6.625,0,9.4,1,22.216,21.796,32.563,20,36.12,22,30.5,32,34,15,8.416,46.9,37.5,1.018,1.129,0.694,0.681,269.3,17
5.675,0,12.1,1,22.83,21.72,32.825,19,37.069,21,29.5,33,35,15,7.586,45.5,42.4,0.995,1.123,0.692,0.658,250.33,17
6.277,0,12.1,1,22.83,21.72,32.825,19,37.069,21,29.5,33,35,15,7.586,45.5,42.4,0.995,1.123,0.692,0.658,250.33,17
6.0,0,11.1,2,24.591,23.246,35.709,20,40.484,22,30.5,36,38,16,7.343,44.4,44.4,0.992,1.125,0.683,0.646,264.36,17
6.0,0,12.5,1,23.068,22.193,31.942,20,35.654,22,32.5,32,34,16,8.135,50.0,37.5,0.998,1.114,0.721,0.694,260.32,17
6.0,0,12.5,1,23.068,22.193,31.942,20,35.654,22,32.5,32,34,16,8.135,50.0,37.5,0.998,1.114,0.721,0.694,260.32,17
6.0,1,9.1,1,23.279,22.413,33.051,20,36.78,22,31.5,33,35,16,7.979,48.5,39.4,1.002,1.115,0.705,0.679,263.32,17
5.683,0,8.1,1,26.586,25.225,36.607,22,40.986,25,36.0,37,40,19,7.713,51.4,40.5,0.989,1.108,0.719,0.682,285.37,22
6.107,0,8.1,1,26.586,25.225,36.607,22,40.986,25,36.0,37,40,19,7.713,51.4,40.5,0.989,1.108,0.719,0.682,285.37,22
6.07,0,7.3,1,29.347,27.752,40.491,24,45.401,27,38.5,41,44,21,7.595,51.2,41.5,0.988,1.107,0.716,0.677,311.41,23
5.403,0,13.3,1,21.068,20.193,29.942,18,33.654,20,28.5,30,32,14,7.877,46.7,40.0,0.998,1.122,0.702,0.673,236.3,17
6.312,0,13.3,1,21.068,20.193,29.942,18,33.654,20,28.5,30,32,14,7.877,46.7,40.0,0.998,1.122,0.702,0.673,236.3,17
6.0,0,11.8,2,23.284,22.434,34.153,20,38.279,22,30.5,34,36,15,7.833,44.1,41.2,1.004,1.126,0.685,0.66,266.33,17
6.039,0,11.1,1,25.83,24.72,35.825,22,40.069,25,36.0,36,39,18,7.954,50.0,38.9,0.995,1.113,0.717,0.687,286.36,22
5.906,0,10.7,1,20.71,19.359,27.916,17,31.076,19,27.0,28,30,13,8.619,46.4,39.3,0.997,1.11,0.74,0.691,241.34,16
5.486,0,10.7,1,20.71,19.359,27.916,17,31.076,19,27.0,28,30,13,8.619,46.4,39.3,0.997,1.11,0.74,0.691,241.34,16
6.032,0,10.7,1,21.568,20.186,28.24,18,31.02,20,28.0,28,30,13,9.849,46.4,35.7,1.009,1.108,0.77,0.721,275.78,16
6.014,1,10.0,1,22.165,21.073,30.244,19,33.285,21,30.0,30,32,14,8.978,46.7,36.7,1.008,1.11,0.739,0.702,269.35,16
6.381,0,10.7,1,21.568,20.186,28.24,18,31.02,20,28.0,28,30,13,9.849,46.4,35.7,1.009,1.108,0.77,0.721,275.78,16
6.6,0,10.7,1,20.71,19.359,27.916,17,31.076,19,27.0,28,30,13,8.619,46.4,39.3,0.997,1.11,0.74,0.691,241.34,16
6.551,0,8.8,1,25.472,23.885,33.8,21,37.491,24,34.5,34,37,17,8.571,50.0,38.2,0.994,1.103,0.749,0.703,291.4,21
5.937,0,8.8,1,25.472,23.885,33.8,21,37.491,24,34.5,34,37,17,8.571,50.0,38.2,0.994,1.103,0.749,0.703,291.4,21
5.287,0,10.7,1,19.517,18.886,28.167,17,31.365,19,27.0,28,30,13,8.045,46.4,39.3,1.006,1.12,0.697,0.675,225.27,16
5.548,0,10.7,1,19.517,18.886,28.167,17,31.365,19,27.0,28,30,13,8.045,46.4,39.3,1.006,1.12,0.697,0.675,225.27,16
6.0,0,8.8,1,24.279,23.413,34.051,21,37.78,24,34.5,34,37,17,8.098,50.0,38.2,1.001,1.111,0.714,0.689,275.33,21
6.081,0,8.6,1,24.733,24.128,35.378,22,38.99,25,35.5,35,38,17,8.324,48.6,37.1,1.011,1.114,0.707,0.689,291.33,21
6.754,1,2.9,4,24.097,22.236,34.171,18,38.82,20,27.0,35,37,17,6.724,48.6,48.6,0.976,1.109,0.688,0.635,235.35,12
7.523,1,2.9,4,24.097,22.236,34.171,18,38.82,20,27.0,35,37,17,6.724,48.6,48.6,0.976,1.109,0.688,0.635,235.35,12
7.886,1,3.8,1,18.813,17.655,25.52,15,28.574,17,24.0,26,28,14,7.433,53.8,42.3,0.982,1.099,0.724,0.679,193.26,12
8.155,1,3.4,2,20.574,19.182,28.403,16,31.99,18,25.0,29,31,15,7.148,51.7,44.8,0.979,1.103,0.709,0.661,207.29,12
7.886,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
6.134,1,4.0,0,17.813,16.655,24.52,14,27.574,15,22.0,25,26,13,7.25,52.0,44.0,0.981,1.103,0.713,0.666,181.25,12
7.347,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
8.155,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
8.398,1,3.3,2,21.029,19.897,29.731,17,33.199,19,26.0,30,32,15,7.443,50.0,43.3,0.991,1.107,0.701,0.663,223.29,12
8.689,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
8.301,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
6.386,1,6.5,3,21.034,19.918,30.833,17,34.697,19,25.5,31,33,14,7.3,45.2,45.2,0.995,1.119,0.679,0.643,226.3,11
6.476,1,7.4,2,18.818,17.677,26.622,15,30.073,17,23.5,27,29,13,7.269,48.1,44.4,0.986,1.114,0.697,0.655,196.27,11
6.32,0,9.1,1,16.409,15.175,21.967,13,24.499,14,19.5,22,23,10,10.778,45.5,40.9,0.999,1.114,0.746,0.69,237.11,11
7.959,2,4.9,2,28.705,27.875,41.371,25,45.531,28,38.5,41,44,20,8.107,48.8,39.0,1.009,1.111,0.7,0.68,332.38,17
6.495,0,8.0,2,16.818,15.677,24.622,13,28.073,14,19.5,25,26,11,6.89,44.0,48.0,0.985,1.123,0.673,0.627,172.25,11
7.553,2,5.4,1,26.489,25.633,37.16,23,40.907,26,36.5,37,40,19,8.172,51.4,37.8,1.004,1.106,0.716,0.693,302.35,17
7.022,4,7.7,1,27.642,27.557,40.033,26,43.409,29,41.5,39,42,19,8.906,48.7,33.3,1.026,1.113,0.709,0.707,347.35,17
7.824,1,8.1,6,24.801,23.467,36.818,20,41.611,23,29.5,37,40,16,7.226,43.2,45.9,0.995,1.125,0.67,0.634,267.36,11
8.237,1,7.5,7,26.563,24.993,39.702,21,45.026,24,30.5,40,43,17,7.035,42.5,47.5,0.993,1.126,0.664,0.625,281.39,11
8.42,1,7.0,8,28.324,26.52,42.585,22,48.441,25,31.5,43,46,18,6.87,41.9,48.8,0.99,1.127,0.659,0.617,295.42,11
7.62,1,7.3,8,27.563,25.993,40.702,22,46.026,26,32.5,41,45,18,7.156,43.9,46.3,0.993,1.123,0.672,0.634,293.4,11
8.377,1,6.8,9,29.324,27.52,43.585,23,49.441,27,33.5,44,48,19,6.987,43.2,47.7,0.991,1.124,0.666,0.625,307.43,11
7.0,2,8.6,4,24.04,22.94,34.934,20,39.196,23,30.5,35,38,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,265.34,11
7.721,1,6.8,5,30.5,29.377,44.214,26,49.366,30,39.5,44,48,21,7.896,47.7,40.9,1.005,1.122,0.693,0.668,347.42,17
7.745,1,6.8,5,30.5,29.377,44.214,26,49.366,30,39.5,44,48,21,7.896,47.7,40.9,1.005,1.122,0.693,0.668,347.42,17
7.538,1,6.8,5,30.5,29.377,44.214,26,49.366,30,39.5,44,48,21,7.896,47.7,40.9,1.005,1.122,0.693,0.668,347.42,17
7.056,1,6.3,6,32.779,31.235,47.912,27,53.651,31,40.5,48,52,22,7.489,45.8,43.8,0.998,1.118,0.683,0.651,359.46,17
6.983,1,6.3,6,32.779,31.235,47.912,27,53.651,31,40.5,48,52,22,7.489,45.8,43.8,0.998,1.118,0.683,0.651,359.46,17
6.517,1,8.9,5,31.807,30.488,44.92,27,50.109,31,42.5,45,49,22,7.876,48.9,40.0,0.998,1.114,0.707,0.678,354.44,17
6.511,1,8.9,5,31.807,30.488,44.92,27,50.109,31,42.5,45,49,22,7.876,48.9,40.0,0.998,1.114,0.707,0.678,354.44,17
7.481,1,6.8,5,30.563,28.993,43.702,25,49.026,29,38.5,44,48,21,7.487,47.7,43.2,0.993,1.114,0.695,0.659,329.43,17
7.328,1,7.3,5,28.256,27.181,41.145,24,45.82,28,37.0,41,45,19,7.79,46.3,41.5,1.004,1.118,0.689,0.663,319.39,16
7.745,1,7.3,5,29.449,27.654,40.894,24,45.531,28,37.0,41,45,19,8.182,46.3,41.5,0.997,1.111,0.718,0.674,335.46,16
6.07,1,11.4,6,29.813,28.509,44.022,25,49.607,29,38.0,44,48,19,7.578,43.2,43.2,1.0,1.127,0.678,0.648,333.43,16
6.506,1,6.7,2,20.727,20.106,30.276,18,33.491,20,27.0,30,32,14,8.009,46.7,40.0,1.009,1.116,0.691,0.67,240.28,12
6.572,1,6.1,3,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
7.721,1,5.6,4,24.25,23.16,36.043,20,40.322,22,29.0,36,38,16,7.454,44.4,44.4,1.001,1.12,0.674,0.643,268.34,12
6.171,1,5.6,4,24.25,23.16,36.043,20,40.322,22,29.0,36,38,16,7.454,44.4,44.4,1.001,1.12,0.674,0.643,268.34,12
7.721,1,5.1,5,26.012,24.687,38.927,21,43.737,23,30.0,39,41,17,7.24,43.6,46.2,0.998,1.121,0.667,0.633,282.37,12
5.769,1,4.7,7,28.773,27.214,42.811,23,48.152,26,33.0,43,46,19,7.172,44.2,46.5,0.996,1.12,0.669,0.633,308.41,12
6.12,1,4.3,8,30.534,28.74,45.694,24,51.567,27,34.0,46,49,20,7.01,43.5,47.8,0.993,1.121,0.664,0.625,322.44,12
7.658,1,4.7,3,30.012,28.687,42.927,25,47.737,28,38.0,43,46,21,7.684,48.8,41.9,0.998,1.11,0.698,0.667,330.41,18
6.75,1,4.3,4,31.773,30.214,45.811,26,51.152,29,39.0,46,49,22,7.488,47.8,43.5,0.996,1.112,0.691,0.657,344.44,18
7.921,1,6.9,2,21.625,20.417,29.178,18,32.124,20,27.0,29,31,14,10.454,48.3,37.9,1.006,1.108,0.746,0.704,303.17,12
5.933,1,5.1,2,27.796,26.445,38.716,23,43.112,26,36.0,39,42,20,7.702,51.3,41.0,0.993,1.105,0.713,0.678,300.38,18
5.96,1,7.9,2,27.04,25.94,37.934,23,42.196,26,36.0,38,41,19,7.931,50.0,39.5,0.998,1.11,0.712,0.683,301.37,18
6.682,1,5.6,2,26.682,25.106,35.909,22,39.617,25,34.5,36,39,18,8.511,50.0,38.9,0.997,1.1,0.741,0.697,306.41,17
6.539,2,4.9,2,28.705,27.875,41.371,25,45.531,28,38.5,41,44,20,8.107,48.8,39.0,1.009,1.111,0.7,0.68,332.38,17
6.69,1,5.6,5,24.796,23.445,35.716,20,40.112,23,30.0,36,39,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,264.35,12
6.249,1,5.4,5,25.25,24.16,37.043,21,41.322,24,31.0,37,40,17,7.577,45.9,43.2,1.001,1.117,0.682,0.653,280.35,12
7.018,2,5.4,4,25.796,24.445,36.716,21,41.112,24,32.0,37,40,18,7.469,48.6,43.2,0.992,1.111,0.697,0.661,276.36,12
7.131,1,5.1,6,26.557,24.972,38.6,21,43.528,24,31.0,39,42,18,7.138,46.2,46.2,0.99,1.116,0.681,0.64,278.38,12
6.125,1,4.4,8,30.08,28.026,44.367,23,50.358,26,33.0,45,48,20,6.81,44.4,48.9,0.986,1.119,0.668,0.623,306.44,12
5.889,1,3.8,11,34.603,32.079,51.134,26,58.188,30,37.0,52,56,23,6.664,44.2,50.0,0.983,1.119,0.665,0.617,346.51,12
7.071,1,4.3,5,32.773,31.214,46.811,27,52.152,31,41.0,47,51,23,7.584,48.9,42.6,0.996,1.11,0.697,0.664,356.45,18
6.409,1,4.3,5,32.319,30.499,45.483,26,50.943,30,40.0,46,50,23,7.401,50.0,43.5,0.989,1.107,0.703,0.663,340.45,18
6.893,1,4.0,6,34.534,32.74,49.694,28,55.567,32,42.0,50,54,24,7.41,48.0,44.0,0.994,1.111,0.691,0.655,370.48,18
6.857,1,4.0,6,34.534,32.74,49.694,28,55.567,32,42.0,50,54,24,7.41,48.0,44.0,0.994,1.111,0.691,0.655,370.48,18
7.284,1,4.0,6,34.534,32.74,49.694,28,55.567,32,42.0,50,54,24,7.41,48.0,44.0,0.994,1.111,0.691,0.655,370.48,18
7.056,1,4.3,5,32.256,30.882,45.996,27,51.283,31,41.0,46,50,23,7.792,50.0,41.3,1.0,1.115,0.701,0.671,358.44,18
7.252,1,4.3,5,32.256,30.882,45.996,27,51.283,31,41.0,46,50,23,7.792,50.0,41.3,1.0,1.115,0.701,0.671,358.44,18
7.292,1,4.3,5,33.176,31.326,45.807,27,50.887,31,41.0,46,50,23,8.15,50.0,41.3,0.996,1.106,0.721,0.681,374.89,18
7.495,1,4.3,5,33.176,31.326,45.807,27,50.887,31,41.0,46,50,23,8.15,50.0,41.3,0.996,1.106,0.721,0.681,374.89,18
7.387,1,4.1,6,34.08,32.026,48.367,27,54.358,31,41.0,49,53,24,7.234,49.0,44.9,0.987,1.109,0.696,0.654,354.48,18
5.801,1,3.8,7,35.466,35.852,54.327,34,59.811,38,48.0,52,56,25,9.162,48.1,34.6,1.045,1.15,0.682,0.689,476.45,18
5.301,1,5.4,5,25.25,24.16,37.043,21,41.322,24,31.0,37,40,17,7.577,45.9,43.2,1.001,1.117,0.682,0.653,280.35,12
7.131,1,5.6,5,24.796,23.445,35.716,20,40.112,23,30.0,36,39,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,264.35,12
6.33,2,5.4,4,25.796,24.445,36.716,21,41.112,24,32.0,37,40,18,7.469,48.6,43.2,0.992,1.111,0.697,0.661,276.36,12
7.432,1,5.1,6,26.557,24.972,38.6,21,43.528,24,31.0,39,42,18,7.138,46.2,46.2,0.99,1.116,0.681,0.64,278.38,12
6.879,1,4.3,5,32.319,30.499,45.483,26,50.943,30,40.0,46,50,23,7.401,50.0,43.5,0.989,1.107,0.703,0.663,340.45,18
5.301,1,4.0,6,34.534,32.74,49.694,28,55.567,32,42.0,50,54,24,7.41,48.0,44.0,0.994,1.111,0.691,0.655,370.48,18
5.301,1,4.1,6,34.08,32.026,48.367,27,54.358,31,41.0,49,53,24,7.234,49.0,44.9,0.987,1.109,0.696,0.654,354.48,18
5.301,1,4.3,5,33.176,31.326,45.807,27,50.887,31,41.0,46,50,23,8.15,50.0,41.3,0.996,1.106,0.721,0.681,374.89,18
6.231,1,4.3,5,32.256,30.882,45.996,27,51.283,31,41.0,46,50,23,7.792,50.0,41.3,1.0,1.115,0.701,0.671,358.44,18
5.301,0,9.1,5,22.586,21.225,32.607,18,36.986,20,27.5,33,35,15,7.192,45.5,45.5,0.988,1.121,0.684,0.643,237.33,11
5.155,0,9.1,5,22.523,21.608,33.12,19,37.326,21,28.5,33,35,15,7.737,45.5,42.4,1.004,1.131,0.683,0.655,255.32,11
7.051,0,11.8,3,23.705,23.486,34.851,22,38.749,25,33.5,34,37,16,8.774,47.1,35.3,1.025,1.14,0.697,0.691,298.32,17
7.387,0,10.0,5,27.165,26.923,41.131,25,45.919,28,36.5,40,43,18,8.609,45.0,37.5,1.028,1.148,0.679,0.673,344.37,17
7.77,0,10.0,3,29.449,28.074,40.033,25,44.428,29,40.0,40,44,20,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,22
7.495,0,9.8,5,27.745,26.871,41.432,24,46.449,27,35.5,41,44,18,7.912,43.9,41.5,1.011,1.133,0.677,0.655,324.39,17
7.319,0,9.8,6,29.211,27.601,40.916,24,45.844,28,36.5,41,45,19,8.216,46.3,41.5,0.998,1.118,0.712,0.673,336.85,17
8.301,0,8.5,7,31.33,29.542,46.687,25,52.939,28,36.5,47,50,20,7.116,42.6,46.8,0.993,1.126,0.667,0.629,334.46,17
7.658,0,10.8,4,26.262,26.224,38.571,25,42.448,28,36.5,37,40,17,9.859,45.9,32.4,1.042,1.147,0.71,0.709,364.78,17
8.301,0,10.0,3,28.591,27.246,39.709,24,44.484,28,39.0,40,44,20,7.81,50.0,40.0,0.993,1.112,0.715,0.681,312.4,22
5.76,0,14.3,1,14.239,14.028,21.469,13,24.08,14,19.5,21,22,9,8.438,42.9,38.1,1.022,1.147,0.678,0.668,177.2,11
8.523,1,6.1,1,24.585,23.934,33.6,22,36.435,25,34.5,33,36,17,9.417,51.5,33.3,1.018,1.104,0.745,0.725,310.75,17
7.629,1,6.1,1,26.387,24.423,33.345,22,36.212,25,34.5,33,36,17,12.188,51.5,33.3,1.01,1.097,0.8,0.74,402.2,17
6.983,1,4.7,1,31.25,30.16,43.043,27,47.322,31,43.5,43,47,23,8.196,53.5,37.2,1.001,1.101,0.727,0.701,352.41,23
7.386,1,5.4,2,25.943,25.348,37.487,23,41.116,26,35.5,37,40,18,8.279,48.6,37.8,1.013,1.111,0.701,0.685,306.34,17
7.83,1,5.0,3,27.705,26.875,40.371,24,44.531,27,36.5,40,43,19,8.009,47.5,40.0,1.009,1.113,0.693,0.672,320.37,17
7.719,1,4.7,4,29.466,28.402,43.254,25,47.946,28,37.5,43,46,20,7.777,46.5,41.9,1.006,1.115,0.685,0.661,334.4,17
7.599,1,4.1,6,32.989,31.455,49.022,27,54.777,30,39.5,49,52,22,7.397,44.9,44.9,1.0,1.118,0.673,0.642,362.46,17
7.815,1,4.3,5,31.228,29.928,46.138,26,51.362,29,38.5,46,49,21,7.575,45.7,43.5,1.003,1.117,0.679,0.651,348.43,17
7.618,1,4.5,5,30.466,29.402,44.254,26,48.946,30,39.5,44,48,21,7.873,47.7,40.9,1.006,1.112,0.692,0.668,346.41,17
7.001,1,4.3,6,32.228,30.928,47.138,27,52.362,31,40.5,47,51,22,7.669,46.8,42.6,1.003,1.114,0.686,0.658,360.44,17
6.628,1,5.9,1,24.182,23.821,34.604,22,37.701,25,34.5,34,37,17,8.597,50.0,35.3,1.018,1.109,0.711,0.701,292.31,17
6.17,1,8.6,1,24.733,24.128,35.378,22,38.99,25,34.5,35,38,17,8.324,48.6,37.1,1.011,1.114,0.707,0.689,291.33,17
5.757,2,1.8,15,36.881,33.638,55.683,26,63.936,30,35.0,57,61,24,6.133,42.1,54.4,0.977,1.122,0.647,0.59,349.56,6
6.0,0,7.7,3,26.256,25.181,39.145,22,43.82,24,32.5,39,41,17,7.574,43.6,43.6,1.004,1.124,0.673,0.646,295.37,17
6.0,0,8.6,2,24.04,22.94,34.934,20,39.196,22,30.5,35,37,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,265.34,17
5.667,0,9.7,1,21.762,21.082,31.236,19,34.911,21,29.5,31,33,15,8.171,48.4,38.7,1.008,1.126,0.702,0.68,253.3,17
5.468,0,12.1,1,22.83,21.72,32.825,19,37.069,21,29.5,33,35,15,7.586,45.5,42.4,0.995,1.123,0.692,0.658,250.33,17
5.0,2,0.0,2,22.784,21.402,31.513,18,35.116,20,28.0,32,34,17,7.322,53.1,43.8,0.985,1.097,0.712,0.669,234.31,12
8.509,0,10.0,4,20.824,19.698,29.723,17,33.571,19,26.5,30,32,14,7.443,46.7,43.3,0.991,1.119,0.694,0.657,223.3,11
7.133,1,6.3,10,43.455,41.448,64.851,36,72.116,40,49.5,64,68,26,8.304,40.6,43.8,1.013,1.127,0.679,0.648,531.48,17
4.26,0,3.1,5,22.336,20.709,31.287,17,35.405,20,26.0,32,35,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.507,3,8.6,1,24.881,25.031,36.149,24,38.993,27,38.5,35,38,17,9.18,48.6,31.4,1.033,1.114,0.711,0.715,321.31,17
6.767,0,10.0,4,20.824,19.698,29.723,17,33.571,19,26.5,30,32,14,7.443,46.7,43.3,0.991,1.119,0.694,0.657,223.3,11
6.063,0,7.1,1,19.818,18.677,27.622,16,31.073,18,26.0,28,30,14,7.439,50.0,42.9,0.986,1.11,0.708,0.667,208.28,16
6.43,0,13.0,1,16.301,15.645,22.956,14,25.741,15,22.5,23,24,11,7.967,47.8,39.1,0.998,1.119,0.709,0.68,183.23,11
4.046,0,6.7,5,20.58,19.204,29.505,16,33.488,19,24.5,30,33,14,7.01,46.7,46.7,0.984,1.116,0.686,0.64,210.3,11
4.721,0,6.7,5,20.58,19.204,29.505,16,33.488,19,24.5,30,33,14,7.01,46.7,46.7,0.984,1.116,0.686,0.64,210.3,11
5.0,2,6.7,2,21.921,20.579,30.025,18,33.202,20,27.5,30,32,14,8.545,46.7,40.0,1.001,1.107,0.731,0.686,256.35,11
7.777,1,7.4,2,18.756,18.06,27.134,16,30.412,18,24.5,27,29,13,7.936,48.1,40.7,1.005,1.126,0.695,0.669,214.26,11
7.229,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
7.824,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.606,1,6.7,3,20.58,19.204,29.505,16,33.488,18,24.5,30,32,14,7.01,46.7,46.7,0.984,1.116,0.686,0.64,210.3,11
7.244,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
8.215,0,3.2,1,22.029,20.897,30.731,18,34.199,20,28.5,31,33,16,7.59,51.6,41.9,0.991,1.103,0.711,0.674,235.3,17
7.036,1,3.4,2,20.574,19.182,28.403,16,31.99,18,25.0,29,31,15,7.148,51.7,44.8,0.979,1.103,0.709,0.661,207.29,12
6.301,0,3.2,1,22.029,20.897,30.731,18,34.199,20,28.5,31,33,16,7.59,51.6,41.9,0.991,1.103,0.711,0.674,235.3,17
7.187,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
7.959,1,3.4,2,20.574,19.182,28.403,16,31.99,18,25.0,29,31,15,7.148,51.7,44.8,0.979,1.103,0.709,0.661,207.29,12
6.851,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
8.523,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
7.55,0,3.7,0,19.813,18.655,26.52,16,29.574,18,26.5,27,29,15,7.603,55.6,40.7,0.982,1.095,0.734,0.691,205.27,17
7.678,1,3.4,2,20.512,19.566,28.916,17,32.329,19,26.0,29,31,15,7.768,51.7,41.4,0.997,1.115,0.707,0.675,225.28,12
7.62,1,3.4,2,21.926,20.207,28.633,17,31.831,19,26.0,29,31,15,9.868,51.7,41.4,0.987,1.098,0.756,0.697,286.18,12
7.644,1,9.7,3,21.824,20.698,30.723,18,34.571,20,28.5,31,33,15,7.591,48.4,41.9,0.991,1.115,0.704,0.668,235.31,11
8.018,1,6.7,3,20.58,19.204,29.505,16,33.488,18,24.5,30,32,14,7.01,46.7,46.7,0.984,1.116,0.686,0.64,210.3,11
6.967,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.509,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
7.585,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
8.046,1,2.9,0,25.336,23.709,34.287,20,38.405,22,32.0,35,37,19,7.353,54.3,42.9,0.98,1.097,0.724,0.677,257.35,18
7.244,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
6.529,0,8.0,0,18.057,17.15,24.738,15,27.657,17,25.0,25,27,13,7.77,52.0,40.0,0.99,1.106,0.722,0.686,194.25,16
7.854,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
7.538,0,3.2,1,22.887,21.725,31.054,19,34.143,21,29.5,31,33,16,8.701,51.6,38.7,1.002,1.101,0.738,0.701,269.74,17
7.699,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
8.398,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
8.0,0,3.2,2,22.574,21.182,30.403,18,33.99,21,29.5,31,34,17,7.462,54.8,41.9,0.981,1.096,0.728,0.683,231.31,17
7.387,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
6.349,1,8.3,1,17.057,16.15,23.738,14,26.657,16,22.5,24,26,12,7.593,50.0,41.7,0.989,1.111,0.711,0.673,182.24,11
7.602,2,5.4,1,27.841,26.658,37.389,24,40.748,27,37.5,37,40,19,10.304,51.4,35.1,1.011,1.101,0.752,0.72,381.24,17
6.481,0,9.1,1,14.995,14.533,22.251,13,24.997,14,19.5,22,23,10,8.01,45.5,40.9,1.011,1.136,0.682,0.661,176.21,11
7.553,0,3.2,1,23.744,22.552,31.378,20,34.087,22,30.5,31,33,16,9.812,51.6,35.5,1.012,1.1,0.766,0.727,304.18,17
7.658,1,2.9,0,25.336,23.709,34.287,20,38.405,22,32.0,35,37,19,7.353,54.3,42.9,0.98,1.097,0.724,0.677,257.35,18
8.301,1,3.0,0,24.574,23.182,32.403,20,35.99,23,33.0,33,36,19,7.737,57.6,39.4,0.982,1.091,0.745,0.702,255.33,18
7.959,1,3.4,2,20.512,19.566,28.916,17,32.329,19,26.0,29,31,15,7.768,51.7,41.4,0.997,1.115,0.707,0.675,225.28,12
7.585,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
5.357,0,8.6,2,24.04,22.94,34.934,20,39.196,22,30.5,35,37,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,265.34,17
5.779,0,9.7,1,21.699,21.465,31.749,20,35.25,22,30.5,31,33,15,8.751,48.4,35.5,1.024,1.137,0.7,0.692,271.29,17
6.558,0,6.9,1,21.466,19.864,28.698,17,31.993,19,27.0,29,31,14,8.288,48.3,41.4,0.99,1.103,0.74,0.685,240.35,16
5.0,2,6.7,2,21.273,20.392,29.949,18,33.282,20,28.0,30,32,15,7.876,50.0,40.0,0.998,1.109,0.709,0.68,236.29,12
4.699,2,6.9,2,20.273,19.392,28.949,17,32.282,19,26.5,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,11
