pXC50,nO,O.,Si,Se,nSK,Sp,nDB,Sv,nCsp3,C.,nBT,nAT,nC,MW,nHet,SCBO,AMW,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM
5.182,3,13.6,25.55,23.862,16,14.534,5,15.534,2,40.9,23,22,9,228.17,7,22.0,10.371,27.3,1.085,1.161,0.661,0.706,9.1,0,0,5
5.353,3,10.7,32.38,29.629,18,18.057,5,18.588,4,39.3,29,28,11,256.23,7,24.0,9.151,35.7,1.058,1.156,0.645,0.664,7.1,0,0,5
6.611,3,9.7,35.795,32.513,19,19.818,5,20.115,5,38.7,32,31,12,270.26,7,25.0,8.718,38.7,1.049,1.155,0.639,0.649,6.5,0,0,5
6.893,3,8.8,39.211,35.396,20,21.58,5,21.641,6,38.2,35,34,13,284.29,7,26.0,8.361,41.2,1.041,1.153,0.635,0.637,5.9,0,0,5
6.511,3,8.1,42.626,38.28,21,23.341,5,23.168,7,37.8,38,37,14,298.32,7,27.0,8.063,43.2,1.035,1.152,0.631,0.626,5.4,0,0,5
6.561,3,8.8,39.211,35.396,20,21.58,5,21.641,6,38.2,35,34,13,284.29,7,26.0,8.361,41.2,1.041,1.153,0.635,0.637,5.9,0,0,5
5.382,3,7.3,47.041,42.163,23,26.103,5,25.695,9,39.0,43,41,16,324.36,7,30.0,7.911,43.9,1.028,1.147,0.637,0.627,4.9,0,0,5
6.328,3,13.0,25.79,23.913,15,16.307,5,15.955,2,39.1,24,23,9,224.26,6,21.0,9.75,34.8,1.04,1.121,0.709,0.694,8.7,0,0,5
5.0,3,13.6,24.87,22.836,14,14.659,5,14.768,2,40.9,23,22,9,192.19,5,20.0,8.736,36.4,1.038,1.13,0.666,0.671,9.1,0,0,5
5.0,3,9.7,35.116,31.487,17,19.943,5,19.348,5,38.7,32,31,12,234.28,5,23.0,7.557,45.2,1.016,1.133,0.643,0.624,6.5,0,0,5
5.0,3,8.8,38.531,34.371,18,21.705,5,20.875,6,38.2,35,34,13,248.31,5,24.0,7.303,47.1,1.011,1.133,0.638,0.614,5.9,0,0,5
5.0,3,7.9,42.531,38.371,22,25.705,5,24.875,4,44.7,40,38,17,296.35,5,32.0,7.799,42.1,1.01,1.119,0.676,0.655,5.3,6,0,11
5.0,3,10.3,32.701,29.604,17,19.182,5,18.821,5,41.4,31,29,12,232.26,5,24.0,8.009,41.4,1.021,1.128,0.661,0.649,6.9,0,0,5
5.0,3,10.3,32.701,29.604,17,19.182,6,18.821,3,41.4,30,29,12,232.26,5,24.0,8.009,41.4,1.021,1.128,0.661,0.649,6.9,0,0,6
5.0,3,8.6,40.135,37.025,24,23.756,5,24.498,3,45.7,37,35,16,336.29,8,34.0,9.608,31.4,1.058,1.147,0.679,0.7,5.7,6,0,11
5.0,5,17.9,31.704,29.375,18,18.33,6,18.724,3,39.3,29,28,11,250.23,7,25.0,8.937,35.7,1.049,1.132,0.655,0.669,7.1,0,0,6
5.0,3,13.0,25.954,24.055,16,15.903,5,16.262,2,43.5,24,23,10,217.2,6,24.0,9.443,30.4,1.046,1.128,0.691,0.707,13.0,0,0,6
5.0,3,7.5,45.445,40.356,21,25.472,5,24.423,8,37.5,42,40,15,289.37,6,28.0,7.234,47.5,1.009,1.136,0.637,0.611,7.5,0,0,5
5.0,5,13.2,42.455,39.218,24,26.5,7,25.965,3,42.1,40,38,16,346.39,8,36.0,9.116,36.8,1.032,1.117,0.697,0.683,5.3,6,0,13
5.955,4,15.4,29.495,27.047,16,16.875,5,17.009,3,38.5,27,26,10,222.22,6,22.0,8.547,38.5,1.04,1.134,0.649,0.654,7.7,0,0,5
5.469,4,13.8,32.91,29.931,17,18.636,5,18.536,4,37.9,30,29,11,236.25,6,23.0,8.147,41.4,1.032,1.135,0.643,0.639,6.9,0,0,5
5.495,4,8.3,53.571,48.465,28,32.682,2,31.643,2,45.8,50,48,22,376.44,6,41.0,7.842,41.7,1.01,1.116,0.681,0.659,4.2,18,0,20
6.032,4,9.1,49.103,45.2,28,31.671,2,30.626,2,43.2,46,44,19,417.9,9,40.5,9.498,36.4,1.027,1.116,0.72,0.696,6.8,17,0,19
7.537,4,8.5,52.654,47.683,28,31.926,2,31.138,4,44.7,50,47,21,377.43,7,41.5,8.03,40.4,1.015,1.12,0.679,0.663,6.4,17,0,19
6.461,4,8.2,55.152,49.785,29,32.932,2,32.159,4,42.9,52,49,21,392.45,8,42.5,8.009,40.8,1.016,1.126,0.672,0.656,8.2,17,0,19
6.538,5,11.6,48.531,44.345,27,28.864,2,28.82,2,41.9,45,43,18,368.38,9,39.5,8.567,37.2,1.031,1.129,0.671,0.67,9.3,17,0,19
6.051,5,11.6,48.531,44.345,27,28.864,2,28.82,2,41.9,45,43,18,368.38,9,39.5,8.567,37.2,1.031,1.129,0.671,0.67,9.3,17,0,19
5.529,5,11.6,48.531,44.345,27,28.864,2,28.82,2,41.9,45,43,18,368.38,9,39.5,8.567,37.2,1.031,1.129,0.671,0.67,9.3,17,0,19
5.466,5,11.6,48.531,44.345,27,28.864,2,28.82,2,41.9,45,43,18,368.38,9,39.5,8.567,37.2,1.031,1.129,0.671,0.67,9.3,17,0,19
5.824,5,10.9,51.947,47.229,28,30.625,2,30.347,3,41.3,48,46,19,382.41,9,40.5,8.313,39.1,1.027,1.129,0.666,0.66,8.7,17,0,19
7.284,5,11.9,47.615,43.564,27,28.108,2,28.315,2,40.5,44,42,17,369.37,10,39.5,8.795,35.7,1.037,1.134,0.669,0.674,11.9,17,0,19
7.444,5,11.9,47.615,43.564,27,28.108,2,28.315,2,40.5,44,42,17,369.37,10,39.5,8.795,35.7,1.037,1.134,0.669,0.674,11.9,17,0,19
6.301,5,11.1,51.03,46.447,28,29.869,2,29.842,3,40.0,47,45,18,383.4,10,40.5,8.52,37.8,1.032,1.134,0.664,0.663,11.1,17,0,19
7.409,5,10.9,52.445,47.331,27,29.631,3,29.369,6,37.0,48,46,17,373.41,10,37.5,8.118,41.3,1.029,1.14,0.644,0.638,10.9,11,0,14
7.515,5,10.2,55.86,50.214,28,31.392,3,30.895,7,36.7,51,49,18,387.44,10,38.5,7.907,42.9,1.025,1.14,0.641,0.631,10.2,11,0,14
6.142,5,10.2,55.86,50.214,28,31.392,3,30.895,7,36.7,51,49,18,387.44,10,38.5,7.907,42.9,1.025,1.14,0.641,0.631,10.2,11,0,14
6.67,4,8.3,54.99,49.4,28,30.875,3,30.564,7,37.5,50,48,18,389.43,10,38.5,8.113,41.7,1.029,1.146,0.643,0.637,10.4,11,0,14
6.387,4,8.7,52.492,47.298,27,29.87,3,29.543,7,39.1,48,46,18,374.41,9,37.5,8.139,41.3,1.028,1.141,0.649,0.642,8.7,11,0,14
6.387,4,22.2,20.498,18.844,10,10.864,3,10.966,2,33.3,17,18,6,144.14,4,12.0,8.008,44.4,1.047,1.139,0.604,0.609,0.0,0,0,3
6.0,4,19.0,23.914,21.727,11,12.625,3,12.493,3,33.3,20,21,7,158.17,4,13.0,7.532,47.6,1.035,1.139,0.601,0.595,0.0,0,0,3
5.377,4,19.0,23.914,21.727,11,12.625,3,12.493,3,33.3,20,21,7,158.17,4,13.0,7.532,47.6,1.035,1.139,0.601,0.595,0.0,0,0,3
6.119,4,16.7,27.329,24.611,12,14.386,3,14.02,4,33.3,23,24,8,172.2,4,14.0,7.175,50.0,1.025,1.139,0.599,0.584,0.0,0,0,3
6.155,4,14.8,30.744,27.494,13,16.148,3,15.547,5,33.3,26,27,9,186.23,4,15.0,6.897,51.9,1.018,1.139,0.598,0.576,0.0,0,0,3
5.602,4,13.3,34.159,30.378,14,17.909,3,17.074,6,33.3,29,30,10,200.26,4,16.0,6.675,53.3,1.013,1.139,0.597,0.569,0.0,0,0,3
5.456,4,16.0,27.914,25.727,15,16.625,3,16.493,1,44.0,25,25,11,206.21,4,21.0,8.248,40.0,1.029,1.117,0.665,0.66,0.0,6,0,9
5.244,4,14.3,31.329,28.611,16,18.386,3,18.02,2,42.9,28,28,12,220.24,4,22.0,7.866,42.9,1.022,1.119,0.657,0.644,0.0,6,0,9
5.0,4,14.3,31.329,28.611,16,18.386,3,18.02,2,42.9,28,28,12,220.24,4,22.0,7.866,42.9,1.022,1.119,0.657,0.644,0.0,6,0,9
5.009,4,16.0,27.755,25.956,16,17.977,3,17.518,1,44.0,25,25,11,285.1,5,22.0,11.404,36.0,1.038,1.11,0.719,0.701,0.0,6,0,9
5.051,4,16.0,27.858,26.051,16,17.483,3,17.321,1,44.0,25,25,11,240.65,5,22.0,9.626,36.0,1.042,1.114,0.699,0.693,0.0,6,0,9
5.62,4,16.0,28.253,26.24,16,16.563,3,16.877,1,44.0,25,25,11,224.2,5,22.0,8.968,36.0,1.05,1.13,0.663,0.675,0.0,6,0,9
5.092,3,18.8,17.874,16.633,10,10.648,2,10.725,0,43.8,16,16,7,138.13,3,14.5,8.633,37.5,1.04,1.117,0.665,0.67,0.0,5,0,7
5.26,2,12.5,17.584,16.382,10,11.841,2,11.197,0,43.8,16,16,7,154.2,3,14.5,9.638,37.5,1.024,1.099,0.74,0.7,0.0,5,0,7
6.42,5,12.5,44.452,40.924,25,27.608,2,27.283,1,47.5,42,40,19,337.35,6,37.5,8.434,37.5,1.023,1.111,0.69,0.682,2.5,17,0,19
5.858,4,16.7,27.0,25.24,16,16.761,6,16.67,2,37.5,25,24,9,240.26,7,23.0,10.011,33.3,1.052,1.125,0.698,0.695,8.3,0,0,6
6.903,4,15.4,29.495,27.047,16,16.875,5,17.009,3,38.5,27,26,10,222.22,6,22.0,8.547,38.5,1.04,1.134,0.649,0.654,7.7,0,0,5
5.0,4,13.8,32.91,29.931,17,18.636,5,18.536,4,37.9,30,29,11,236.25,6,23.0,8.147,41.4,1.032,1.135,0.643,0.639,6.9,0,0,5
6.545,4,12.1,37.325,33.814,19,21.398,5,21.063,6,39.4,35,33,13,262.29,6,26.0,7.948,42.4,1.025,1.131,0.648,0.638,6.1,0,0,5
6.721,4,11.1,40.325,36.814,22,24.398,5,24.063,3,44.4,38,36,16,298.32,6,32.0,8.287,38.9,1.023,1.12,0.678,0.668,5.6,6,0,11
5.0,4,10.3,43.741,39.698,23,26.159,5,25.59,4,43.6,41,39,17,312.35,6,33.0,8.009,41.0,1.018,1.122,0.671,0.656,5.1,6,0,11
6.86,5,15.2,37.535,34.142,19,20.852,5,20.778,5,36.4,34,33,12,266.28,7,25.0,8.069,42.4,1.035,1.137,0.632,0.63,6.1,0,0,5
5.686,5,13.9,40.95,37.025,20,22.614,5,22.304,6,36.1,37,36,13,280.31,7,26.0,7.786,44.4,1.028,1.138,0.628,0.62,5.6,0,0,5
6.38,4,12.5,36.325,32.814,18,20.398,5,20.063,5,37.5,33,32,12,250.28,6,24.0,7.821,43.8,1.025,1.135,0.637,0.627,6.3,0,0,5
6.496,4,10.3,44.156,39.582,21,24.921,5,24.116,8,38.5,41,39,15,290.35,6,28.0,7.445,46.2,1.015,1.132,0.639,0.618,5.1,0,0,5
6.585,4,11.4,39.741,35.698,19,22.159,5,21.59,6,37.1,36,35,13,264.31,6,25.0,7.552,45.7,1.02,1.135,0.633,0.617,5.7,0,0,5
6.947,5,12.5,44.95,41.025,24,26.614,5,26.304,4,42.5,42,40,17,328.35,7,34.0,8.209,40.0,1.026,1.124,0.665,0.658,5.0,6,0,11
6.066,5,12.5,44.95,41.025,24,26.614,5,26.304,4,42.5,42,40,17,328.35,7,34.0,8.209,40.0,1.026,1.124,0.665,0.658,5.0,6,0,11
5.974,5,12.5,44.95,41.025,24,26.614,5,26.304,4,42.5,42,40,17,328.35,7,34.0,8.209,40.0,1.026,1.124,0.665,0.658,5.0,6,0,11
6.876,4,10.3,44.76,41.236,26,25.972,5,26.74,4,43.6,41,39,17,366.32,9,36.0,9.393,33.3,1.057,1.148,0.666,0.686,5.1,6,0,11
6.538,4,10.3,44.76,41.236,26,25.972,5,26.74,4,43.6,41,39,17,366.32,9,36.0,9.393,33.3,1.057,1.148,0.666,0.686,5.1,6,0,11
6.569,4,10.3,44.76,41.236,26,25.972,5,26.74,4,43.6,41,39,17,366.32,9,36.0,9.393,33.3,1.057,1.148,0.666,0.686,5.1,6,0,11
6.623,4,8.5,52.239,47.8,30,33.165,5,32.611,3,48.9,50,47,23,399.43,7,46.0,8.499,36.2,1.017,1.111,0.706,0.694,6.4,12,0,18
6.141,4,8.5,52.239,47.8,30,33.165,5,32.611,3,48.9,50,47,23,399.43,7,46.0,8.499,36.2,1.017,1.111,0.706,0.694,6.4,12,0,18
6.536,4,9.1,49.662,45.531,29,30.347,5,30.489,3,45.5,47,44,20,394.39,9,43.0,8.963,34.1,1.035,1.129,0.69,0.693,9.1,12,0,17
6.132,4,11.4,39.409,36.033,22,23.642,5,23.557,3,42.9,37,35,15,299.31,7,32.0,8.552,37.1,1.03,1.126,0.675,0.673,8.6,6,0,11
7.032,4,11.8,38.492,35.251,22,22.886,5,23.052,3,41.2,36,34,14,300.3,8,32.0,8.832,35.3,1.037,1.132,0.673,0.678,11.8,6,0,11
7.201,5,12.2,46.448,42.127,24,26.619,5,26.326,6,39.0,43,41,16,331.36,8,33.5,8.082,41.5,1.027,1.133,0.649,0.642,7.3,5,0,10
6.231,5,11.4,49.864,45.011,25,28.381,5,27.853,7,38.6,46,44,17,345.39,8,34.5,7.85,43.2,1.023,1.133,0.645,0.633,6.8,5,0,10
5.0,5,14.3,39.618,36.36,22,23.097,5,23.272,4,40.0,37,35,14,303.3,8,31.5,8.666,37.1,1.039,1.132,0.66,0.665,8.6,5,0,10
6.04,4,14.3,31.495,29.047,18,18.875,5,19.009,3,42.9,29,28,12,246.24,6,26.0,8.794,35.7,1.037,1.125,0.674,0.679,7.1,0,0,6
6.372,4,12.9,34.91,31.931,19,20.636,5,20.536,4,41.9,32,31,13,260.27,6,27.0,8.396,38.7,1.03,1.126,0.666,0.662,6.5,0,0,6
7.018,4,11.8,38.325,34.814,20,22.398,5,22.063,5,41.2,35,34,14,274.3,6,28.0,8.068,41.2,1.024,1.127,0.659,0.649,5.9,0,0,6
7.276,4,10.8,41.741,37.698,21,24.159,5,23.59,6,40.5,38,37,15,288.33,6,29.0,7.793,43.2,1.019,1.128,0.653,0.638,5.4,0,0,6
7.469,4,11.4,39.325,35.814,21,23.398,5,23.063,6,42.9,37,35,15,286.31,6,30.0,8.18,40.0,1.023,1.124,0.669,0.659,5.7,0,0,6
6.752,4,9.1,49.571,44.465,24,28.682,5,27.643,9,40.9,46,44,18,328.4,6,33.0,7.464,45.5,1.011,1.127,0.652,0.628,4.5,0,0,6
6.506,5,15.6,36.12,33.258,20,21.091,5,21.251,4,40.6,33,32,13,276.27,7,28.0,8.633,37.5,1.039,1.129,0.659,0.664,6.3,0,0,6
6.747,5,14.3,39.535,36.142,21,22.852,5,22.778,5,40.0,36,35,14,290.3,7,29.0,8.294,40.0,1.033,1.13,0.653,0.651,5.7,0,0,6
7.585,5,13.2,42.95,39.025,22,24.614,5,24.304,6,39.5,39,38,15,304.33,7,30.0,8.009,42.1,1.027,1.13,0.648,0.64,5.3,0,0,6
6.863,4,9.8,45.741,41.698,25,28.159,5,27.59,4,46.3,43,41,19,336.37,6,37.0,8.204,39.0,1.017,1.116,0.687,0.673,4.9,6,0,12
7.18,4,9.3,48.571,43.465,23,27.682,5,26.643,8,39.5,44,43,17,316.39,6,31.0,7.358,46.5,1.011,1.13,0.644,0.62,4.7,0,0,6
6.764,4,8.5,52.986,47.349,25,30.443,5,29.17,10,40.4,49,47,19,342.43,6,34.0,7.286,46.8,1.007,1.127,0.648,0.621,4.3,0,0,6
7.658,4,9.1,49.571,44.465,24,28.682,5,27.643,9,40.9,46,44,18,328.4,6,33.0,7.464,45.5,1.011,1.127,0.652,0.628,4.5,0,0,6
7.046,4,9.8,46.156,41.582,23,26.921,5,26.116,8,41.5,43,41,17,314.37,6,32.0,7.668,43.9,1.014,1.126,0.657,0.637,4.9,0,0,6
7.174,4,9.1,49.571,44.465,24,28.682,5,27.643,9,40.9,46,44,18,328.4,6,33.0,7.464,45.5,1.011,1.127,0.652,0.628,4.5,0,0,6
6.373,4,11.8,38.325,34.814,20,22.398,5,22.063,5,41.2,35,34,14,274.3,6,28.0,8.068,41.2,1.024,1.127,0.659,0.649,5.9,0,0,6
6.0,4,8.7,51.986,46.349,24,29.443,6,28.17,9,39.1,48,46,18,330.42,6,32.0,7.183,47.8,1.008,1.13,0.64,0.612,4.3,0,0,6
6.0,4,8.3,54.401,48.232,24,30.205,5,28.697,11,37.5,50,48,18,332.44,6,31.0,6.926,50.0,1.005,1.133,0.629,0.598,4.2,0,0,5
7.796,4,12.1,37.665,34.327,20,21.335,5,21.446,6,39.4,35,33,13,280.28,7,27.0,8.493,39.4,1.04,1.141,0.647,0.65,6.1,0,0,5
7.509,4,17.4,26.08,24.164,15,15.114,5,15.482,2,39.1,24,23,9,208.19,6,21.0,9.052,34.8,1.051,1.134,0.657,0.673,8.7,0,0,5
6.538,4,20.0,22.665,21.28,14,13.352,5,13.956,1,40.0,21,20,8,194.16,6,20.0,9.708,30.0,1.064,1.133,0.668,0.698,10.0,0,0,5
7.004,4,15.4,29.495,27.047,16,16.875,5,17.009,3,38.5,27,26,10,222.22,6,22.0,8.547,38.5,1.04,1.134,0.649,0.654,7.7,0,0,5
7.77,4,13.8,32.91,29.931,17,18.636,5,18.536,4,37.9,30,29,11,236.25,6,23.0,8.147,41.4,1.032,1.135,0.643,0.639,6.9,0,0,5
6.658,4,15.4,29.495,27.047,16,16.875,5,17.009,3,38.5,27,26,10,222.22,6,22.0,8.547,38.5,1.04,1.134,0.649,0.654,7.7,0,0,5
5.0,4,20.0,23.684,22.818,17,13.165,5,15.106,1,40.0,21,20,8,248.13,9,23.0,12.407,15.0,1.141,1.184,0.658,0.755,10.0,0,0,5
5.796,4,17.4,27.099,25.702,18,14.926,5,16.632,2,39.1,24,23,9,262.16,9,24.0,11.398,21.7,1.117,1.178,0.649,0.723,8.7,0,0,5
5.0,4,14.8,30.08,28.164,19,19.114,5,19.482,0,48.1,29,27,13,256.23,6,29.0,9.49,29.6,1.043,1.114,0.708,0.722,7.4,6,0,11
5.0,6,26.1,26.083,24.935,17,15.261,6,16.385,1,39.1,24,23,9,238.17,8,24.0,10.355,26.1,1.084,1.134,0.664,0.712,8.7,0,0,6
6.032,6,20.7,32.914,30.702,19,18.784,6,19.439,3,37.9,30,29,11,266.23,8,26.0,9.18,34.5,1.059,1.135,0.648,0.67,6.9,0,0,6
6.77,4,13.3,33.835,31.56,21,20.813,5,21.393,1,46.7,32,30,14,288.25,7,31.0,9.608,30.0,1.052,1.128,0.694,0.713,6.7,6,0,11
5.886,5,20.8,27.289,25.491,16,15.568,5,16.197,2,37.5,25,24,9,224.19,7,22.0,9.341,33.3,1.062,1.137,0.649,0.675,8.3,0,0,5
5.215,4,11.1,40.325,36.814,22,24.398,5,24.063,3,44.4,38,36,16,298.32,6,32.0,8.287,38.9,1.023,1.12,0.678,0.668,5.6,6,0,11
7.585,4,12.1,36.83,34.007,21,23.284,5,22.723,3,42.4,35,33,14,304.35,7,30.5,9.223,36.4,1.031,1.116,0.706,0.689,6.1,5,0,10
7.328,4,13.3,33.415,31.124,20,21.523,5,21.196,2,43.3,32,30,13,290.32,7,29.5,9.677,33.3,1.037,1.114,0.717,0.707,6.7,5,0,10
7.721,4,12.5,36.325,32.814,18,20.398,5,20.063,5,37.5,33,32,12,250.28,6,24.0,7.821,43.8,1.025,1.135,0.637,0.627,6.3,0,0,5
7.553,4,11.4,39.741,35.698,19,22.159,5,21.59,6,37.1,36,35,13,264.31,6,25.0,7.552,45.7,1.02,1.135,0.633,0.617,5.7,0,0,5
6.959,5,16.7,34.12,31.258,18,19.091,5,19.251,4,36.7,31,30,11,252.25,7,24.0,8.408,40.0,1.042,1.137,0.636,0.642,6.7,0,0,5
7.959,4,13.3,33.83,31.007,18,20.284,5,19.723,4,36.7,31,30,11,268.32,7,24.0,8.944,40.0,1.034,1.128,0.676,0.657,6.7,0,0,5
6.328,6,18.8,36.249,33.662,20,21.193,7,21.153,4,34.4,33,32,11,300.32,9,28.0,9.385,37.5,1.052,1.133,0.662,0.661,6.3,0,0,7
6.638,4,12.5,36.325,32.814,18,20.398,5,20.063,5,37.5,33,32,12,250.28,6,24.0,7.821,43.8,1.025,1.135,0.637,0.627,6.3,0,0,5
6.509,4,12.5,36.325,32.814,18,20.398,5,20.063,5,37.5,33,32,12,250.28,6,24.0,7.821,43.8,1.025,1.135,0.637,0.627,6.3,0,0,5
8.398,4,12.5,36.325,32.814,18,20.398,5,20.063,5,37.5,33,32,12,250.28,6,24.0,7.821,43.8,1.025,1.135,0.637,0.627,6.3,0,0,5
5.0,4,11.4,39.741,35.698,19,22.159,5,21.59,6,37.1,36,35,13,264.31,6,25.0,7.552,45.7,1.02,1.135,0.633,0.617,5.7,0,0,5
8.301,4,11.4,39.741,35.698,19,22.159,5,21.59,6,37.1,36,35,13,264.31,6,25.0,7.552,45.7,1.02,1.135,0.633,0.617,5.7,0,0,5
8.523,4,13.8,33.59,30.956,19,18.511,5,19.303,4,37.9,30,29,11,272.23,8,25.0,9.387,34.5,1.067,1.158,0.638,0.666,6.9,0,0,5
8.0,4,13.8,33.929,31.469,20,18.449,5,19.686,4,37.9,30,29,11,290.22,9,26.0,10.008,31.0,1.085,1.17,0.636,0.679,6.9,0,0,5
7.886,4,13.3,33.91,30.931,18,19.636,5,19.536,5,40.0,32,30,12,248.26,6,25.0,8.275,40.0,1.031,1.13,0.655,0.651,6.7,0,0,5
9.0,4,12.1,37.325,33.814,19,21.398,5,21.063,6,39.4,35,33,13,262.29,6,26.0,7.948,42.4,1.025,1.131,0.648,0.638,6.1,0,0,5
8.398,4,12.1,37.325,33.814,19,21.398,5,21.063,6,39.4,35,33,13,262.29,6,26.0,7.948,42.4,1.025,1.131,0.648,0.638,6.1,0,0,5
7.409,4,11.1,40.741,36.698,20,23.159,5,22.59,7,38.9,38,36,14,276.32,6,27.0,7.676,44.4,1.019,1.132,0.643,0.627,5.6,0,0,5
8.0,4,11.1,40.741,36.698,20,23.159,5,22.59,7,38.9,38,36,14,276.32,6,27.0,7.676,44.4,1.019,1.132,0.643,0.627,5.6,0,0,5
8.699,4,11.1,40.741,36.698,20,23.159,5,22.59,7,38.9,38,36,14,276.32,6,27.0,7.676,44.4,1.019,1.132,0.643,0.627,5.6,0,0,5
7.796,4,10.3,44.156,39.582,21,24.921,5,24.116,8,38.5,41,39,15,290.35,6,28.0,7.445,46.2,1.015,1.132,0.639,0.618,5.1,0,0,5
8.155,4,12.1,37.269,34.138,20,22.256,5,21.89,6,39.4,35,33,13,296.73,7,27.0,8.992,39.4,1.034,1.129,0.674,0.663,6.1,0,0,5
5.99,2,7.7,29.491,26.276,14,16.727,1,16.106,6,38.5,28,26,10,192.24,4,19.5,7.394,46.2,1.011,1.134,0.643,0.619,7.7,5,0,6
7.071,2,6.7,33.907,30.16,16,19.489,1,18.633,8,40.0,33,30,12,218.28,4,22.5,7.276,46.7,1.005,1.13,0.65,0.621,6.7,5,0,6
6.851,3,11.1,30.701,27.604,15,17.182,1,16.821,6,37.0,29,27,10,208.24,5,20.5,7.713,44.4,1.022,1.137,0.636,0.623,7.4,5,0,6
5.607,3,11.1,30.701,27.604,15,17.182,1,16.821,6,37.0,29,27,10,208.24,5,20.5,7.713,44.4,1.022,1.137,0.636,0.623,7.4,5,0,6
7.081,2,7.4,30.411,27.353,15,18.375,1,17.294,6,37.0,29,27,10,224.31,5,20.5,8.308,44.4,1.013,1.126,0.681,0.641,7.4,5,0,6
6.067,2,7.4,30.411,27.353,15,18.375,1,17.294,6,37.0,29,27,10,224.31,5,20.5,8.308,44.4,1.013,1.126,0.681,0.641,7.4,5,0,6
6.717,3,10.0,34.116,30.487,16,18.943,1,18.348,7,36.7,32,30,11,222.27,5,21.5,7.409,46.7,1.016,1.137,0.631,0.612,6.7,5,0,6
5.0,3,10.0,34.116,30.487,16,18.943,1,18.348,7,36.7,32,30,11,222.27,5,21.5,7.409,46.7,1.016,1.137,0.631,0.612,6.7,5,0,6
5.0,3,8.8,38.116,34.487,20,22.943,1,22.348,5,44.1,37,34,15,270.31,5,29.5,7.95,41.2,1.014,1.121,0.675,0.657,5.9,11,0,12
7.854,2,6.7,33.907,30.16,16,19.489,1,18.633,8,40.0,33,30,12,218.28,4,22.5,7.276,46.7,1.005,1.13,0.65,0.621,6.7,5,0,6
5.0,2,6.1,37.322,33.043,17,21.25,1,20.16,9,39.4,36,33,13,232.31,4,23.5,7.04,48.5,1.001,1.131,0.644,0.611,6.1,5,0,6
5.0,2,6.7,33.491,30.276,18,20.727,1,20.106,4,46.7,33,30,14,240.28,4,27.5,8.009,40.0,1.009,1.116,0.691,0.67,6.7,11,0,12
5.0,2,6.1,36.907,33.16,19,22.489,1,21.633,5,45.5,36,33,15,254.31,4,28.5,7.706,42.4,1.005,1.118,0.681,0.656,6.1,11,0,12
7.609,2,8.7,26.076,23.393,13,14.966,1,14.58,5,39.1,25,23,9,178.21,4,18.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,5,0,6
6.375,2,8.7,26.076,23.393,13,14.966,1,14.58,5,39.1,25,23,9,178.21,4,18.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,5,0,6
5.932,2,8.7,26.076,23.393,13,14.966,1,14.58,5,39.1,25,23,9,178.21,4,18.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,5,0,6
4.672,2,8.7,26.076,23.393,13,14.966,1,14.58,5,39.1,25,23,9,178.21,4,18.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,5,0,6
7.889,2,10.0,22.661,20.509,12,13.205,1,13.053,4,40.0,22,20,8,164.18,4,17.5,8.209,40.0,1.025,1.133,0.66,0.653,10.0,5,0,6
7.506,2,7.7,29.491,26.276,14,16.727,1,16.106,6,38.5,28,26,10,192.24,4,19.5,7.394,46.2,1.011,1.134,0.643,0.619,7.7,5,0,6
6.559,2,7.7,29.491,26.276,14,16.727,1,16.106,6,38.5,28,26,10,192.24,4,19.5,7.394,46.2,1.011,1.134,0.643,0.619,7.7,5,0,6
7.561,2,10.0,22.661,20.509,12,13.205,1,13.053,4,40.0,22,20,8,164.18,4,17.5,8.209,40.0,1.025,1.133,0.66,0.653,10.0,5,0,6
5.752,2,6.9,32.907,29.16,15,18.489,1,17.633,7,37.9,31,29,11,206.27,4,20.5,7.113,48.3,1.006,1.135,0.638,0.608,6.9,5,0,6
5.788,2,6.9,32.907,29.16,15,18.489,1,17.633,7,37.9,31,29,11,206.27,4,20.5,7.113,48.3,1.006,1.135,0.638,0.608,6.9,5,0,6
6.648,2,6.3,36.322,32.043,16,20.25,1,19.16,8,37.5,34,32,12,220.3,4,21.5,6.884,50.0,1.001,1.135,0.633,0.599,6.3,5,0,6
5.264,2,6.3,36.322,32.043,16,20.25,1,19.16,8,37.5,34,32,12,220.3,4,21.5,6.884,50.0,1.001,1.135,0.633,0.599,6.3,5,0,6
5.951,2,5.7,39.737,34.927,17,22.012,1,20.687,9,37.1,37,35,13,234.33,4,22.5,6.695,51.4,0.998,1.135,0.629,0.591,5.7,5,0,6
5.0,2,5.7,39.737,34.927,17,22.012,1,20.687,9,37.1,37,35,13,234.33,4,22.5,6.695,51.4,0.998,1.135,0.629,0.591,5.7,5,0,6
5.0,2,6.9,32.907,29.16,15,18.489,1,17.633,7,37.9,31,29,11,206.27,4,20.5,7.113,48.3,1.006,1.135,0.638,0.608,6.9,5,0,6
7.092,2,6.3,36.322,32.043,16,20.25,1,19.16,8,37.5,34,32,12,220.3,4,21.5,6.884,50.0,1.001,1.135,0.633,0.599,6.3,5,0,6
