pXC50,SpMin1_Bh.p.,MATS6p,SpMin1_Bh.i.,SpMin1_Bh.e.,Eig02_EA,SM10_AEA.bo.,MATS6i,S2K,SpMin1_Bh.v.,SpMax2_Bh.i.,Eig02_EA.ri.,Eig02_AEA.ri.,PW2,GATS6i,PHI,Eig02_AEA.bo.,GATS7s,MATS7v,JGI7,Eta_B_A,JGI5,CATS2D_05_AL,RBN,Eig02_AEA.ed.,Eig02_EA.ed.,GGI4,SM11_AEA.dm.,GGI8,SIC5,Eig08_AEA.bo.,Eta_B,IVDE,MATS2m,Eig03_EA,SM11_AEA.bo.,MATS1e,CATS2D_08_DL,SpMax1_Bh.v.,SpMax1_Bh.e.,SpMax1_Bh.i.,Eig02_AEA.dm.,SpMAD_AEA.ed.,H.050,Hy,nHDon,GGI2,GGI5,MCD,Rperim,X5,HVcpx,Eig03_AEA.ri.,JGI4,JGT,GGI6,Eta_L_A,Eig04_AEA.ed.,MATS7s,IDE,Eig01_EA.bo.,Eig02_EA.bo.,Eig04_EA.ri.
6.708,2.114,-0.254,1.969,1.988,2.832,2.832,-0.231,7.832,2.099,3.869,2.777,3.819,0.584,1.278,5.715,4.133,1.984,0.023,0.016,0.029,0.029,4,6,6.385,9.606,2.253,9.606,0.239,0.887,2.821,0.754,1.549,0.12,2.531,2.531,-0.007,0,3.968,4.059,4.082,3.449,1.594,1,-0.37,1,3.333,1.146,0.5,12,6.708,3.216,3.509,0.051,0.474,0.672,0.293,5.444,-0.1,3.409,4.238,3.548,2.338
6.738,2.114,-0.265,1.97,1.988,2.84,2.84,-0.279,6.338,2.099,3.91,2.781,3.826,0.581,1.236,4.019,4.152,1.892,-0.109,0.014,0.023,0.03,3,3,6.386,9.615,2.084,9.615,0.152,0.926,2.801,0.572,1.388,0.034,2.553,2.553,-0.045,0,3.969,4.06,4.082,3.45,1.571,1,-0.317,1,2.889,1.097,0.76,18,7.188,3.119,3.53,0.05,0.387,0.59,0.216,5.495,-0.177,3.262,4.239,3.597,2.363
6.489,2.112,-0.201,1.969,1.987,2.841,2.841,-0.197,6.114,2.097,3.838,2.77,3.819,0.584,1.151,3.945,4.154,1.763,-0.121,0.014,0.024,0.03,3,3,6.386,9.615,1.968,9.615,0.117,0.958,2.712,0.572,1.406,0.058,2.561,2.561,-0.061,0,3.968,4.058,4.079,3.451,1.568,1,-0.26,1,2.889,1.09,0.75,17,6.576,3.02,3.508,0.048,0.397,0.549,0.234,5.499,-0.149,3.173,4.239,3.607,2.176
6.983,2.116,-0.078,1.97,1.989,3.068,3.068,-0.155,6.834,2.101,3.859,2.924,4.022,0.594,1.108,4.921,4.255,2.404,-0.076,0.021,0.032,0.033,4,4,6.745,10.802,2.093,10.802,0.313,0.78,2.732,0.81,1.55,0.192,2.642,2.642,0.008,0,3.97,4.062,4.085,3.562,1.661,0,-0.79,0,3.556,1.285,0.52,12,6.232,2.922,3.623,0.043,0.478,0.793,0.277,5.879,-0.281,3.076,4.241,3.618,2.365
8.735,2.116,-0.163,1.971,1.989,2.841,2.841,-0.194,7.438,2.104,3.927,2.783,3.827,0.575,1.205,5.035,4.135,2.175,-0.142,0.016,0.022,0.028,6,4,6.387,9.621,2.084,9.621,0.173,0.889,2.705,0.572,1.37,0.029,2.559,2.559,-0.011,1,3.97,4.063,4.086,3.451,1.559,1,-0.37,1,2.889,1.125,0.731,18,7.438,3.18,3.539,0.047,0.376,0.651,0.304,5.497,-0.215,3.316,4.238,3.549,2.379
8.564,2.181,-0.081,2.024,2.065,3.336,3.336,-0.144,6.85,2.2,4.052,3.265,4.311,0.598,1.132,4.321,4.464,2.797,-0.064,0.015,0.029,0.028,7,4,7.043,12.098,2.307,12.098,0.276,0.828,3.0,0.88,1.526,0.053,2.801,2.801,-0.004,1,4.005,4.103,4.141,3.587,1.61,1,-0.415,1,3.111,1.306,0.767,18,10.172,3.237,3.793,0.044,0.454,0.836,0.326,5.941,-0.296,3.407,4.239,3.602,2.524
7.971,2.195,0.115,2.052,2.089,3.348,3.348,0.026,6.853,2.213,4.057,3.28,4.323,0.611,0.888,4.45,4.635,3.385,-0.047,0.018,0.038,0.032,7,4,7.048,12.112,3.133,12.112,0.416,0.864,3.144,1.209,1.766,0.145,3.038,3.038,0.002,1,4.032,4.123,4.161,3.715,1.632,1,-0.434,1,3.778,1.528,0.719,18,10.446,3.23,4.018,0.051,0.572,0.999,0.327,6.714,-0.376,3.441,4.239,3.729,2.935
7.367,2.123,-0.206,1.986,2.003,2.841,2.841,-0.246,7.67,2.111,3.928,2.793,3.828,0.58,1.274,5.271,4.146,2.3,-0.184,0.018,0.024,0.033,7,4,6.397,9.657,2.316,9.657,0.222,0.882,2.76,0.661,1.447,0.071,2.66,2.66,-0.007,1,3.987,4.074,4.096,3.467,1.574,1,-0.382,1,3.111,1.437,0.704,18,7.779,3.163,3.635,0.048,0.401,0.731,0.306,5.56,-0.249,3.314,4.336,3.564,2.409
7.879,2.181,-0.124,2.025,2.065,3.377,3.377,-0.193,7.099,2.2,4.06,3.315,4.355,0.602,1.194,4.546,4.469,2.897,-0.108,0.017,0.031,0.032,8,4,7.136,12.436,2.538,12.436,0.276,0.826,3.0,0.97,1.589,0.088,2.803,2.803,-0.001,1,4.014,4.108,4.145,3.601,1.622,1,-0.425,1,3.333,1.618,0.742,18,10.513,3.225,3.793,0.045,0.473,0.917,0.327,6.096,-0.323,3.406,4.336,3.615,2.578
7.74,2.107,-0.172,1.967,1.984,2.942,2.942,-0.2,6.418,2.093,3.934,2.919,3.939,0.59,1.218,4.042,4.146,2.229,-0.217,0.014,0.024,0.026,5,3,6.482,9.992,1.929,9.992,0.171,0.88,2.743,0.624,1.296,-0.022,2.747,2.747,-0.015,0,3.988,4.084,4.111,3.469,1.574,1,-0.37,1,2.722,1.059,0.846,21,7.573,3.123,3.733,0.043,0.357,0.611,0.306,5.585,-0.207,3.282,4.24,3.549,2.424
8.453,2.105,-0.158,1.966,1.983,2.942,2.942,-0.191,6.977,2.088,3.933,2.919,3.938,0.587,1.215,4.471,4.146,2.445,-0.205,0.013,0.023,0.026,5,3,6.482,9.992,1.903,9.992,0.209,0.862,2.744,0.624,1.28,-0.025,2.746,2.746,-0.011,0,3.988,4.084,4.112,3.468,1.568,1,-0.382,1,2.722,1.083,0.852,22,7.698,3.159,3.732,0.041,0.349,0.652,0.313,5.584,-0.234,3.331,4.24,3.549,2.414
7.987,2.181,-0.08,2.024,2.065,3.361,3.361,-0.146,6.125,2.2,4.072,3.279,4.333,0.611,1.139,3.641,4.465,2.859,-0.124,0.014,0.031,0.027,6,3,7.075,12.221,2.152,12.221,0.298,0.817,3.0,0.932,1.453,0.008,2.927,2.927,-0.007,0,4.014,4.113,4.149,3.592,1.617,1,-0.415,1,2.944,1.239,0.867,21,10.307,3.185,3.926,0.041,0.435,0.797,0.328,6.215,-0.289,3.37,4.24,3.602,2.68
8.375,2.181,-0.103,2.024,2.065,3.35,3.35,-0.165,6.594,2.2,4.054,3.272,4.322,0.61,1.168,4.16,4.464,2.715,-0.171,0.013,0.034,0.032,6,3,7.066,12.178,2.347,12.178,0.33,0.804,3.0,1.008,1.603,0.081,2.842,2.842,-0.004,0,4.006,4.104,4.142,3.59,1.626,1,-0.415,1,3.333,1.479,0.767,18,10.071,3.185,3.836,0.044,0.483,0.96,0.322,6.128,-0.221,3.368,4.24,3.602,2.602
7.167,2.181,-0.278,2.024,2.065,3.457,3.457,-0.353,5.876,2.2,4.055,3.369,4.436,0.62,1.356,3.648,4.472,3.436,-0.007,0.017,0.038,0.034,6,2,7.291,13.119,2.658,13.119,0.33,0.791,3.0,1.095,1.709,0.121,3.03,3.03,-0.007,0,4.007,4.105,4.142,3.667,1.625,1,-0.405,1,3.778,1.5,0.793,18,10.042,3.146,4.036,0.053,0.544,0.673,0.313,6.26,-0.461,3.329,4.259,3.604,2.664
8.022,2.181,-0.132,2.024,2.065,3.363,3.363,-0.155,6.562,2.2,4.054,3.277,4.333,0.608,1.159,4.126,4.47,2.205,-0.094,0.015,0.032,0.032,5,3,7.09,12.267,2.618,12.267,0.255,0.823,3.0,0.97,1.603,0.066,2.839,2.839,-0.017,0,4.005,4.104,4.141,3.605,1.635,1,-0.382,1,3.556,1.479,0.767,18,10.187,3.232,3.83,0.049,0.49,0.896,0.316,6.03,-0.273,3.402,4.311,3.67,2.522
7.432,2.181,-0.133,2.024,2.065,3.387,3.387,-0.161,6.78,2.2,4.056,3.29,4.354,0.611,1.172,4.315,4.475,1.834,-0.102,0.015,0.034,0.032,5,3,7.116,12.364,2.969,12.364,0.33,0.823,3.0,1.059,1.64,0.074,2.873,2.873,-0.022,0,4.006,4.106,4.142,3.631,1.644,1,-0.361,1,3.778,1.59,0.742,18,10.503,3.24,3.858,0.053,0.507,1.098,0.312,6.176,-0.152,3.413,4.382,3.719,2.527
8.04,2.181,-0.128,2.024,2.065,3.367,3.367,-0.162,7.08,2.2,4.052,3.281,4.337,0.601,1.18,4.525,4.471,2.662,-0.099,0.015,0.03,0.032,5,4,7.096,12.302,2.658,12.302,0.28,0.824,3.0,0.932,1.589,0.077,2.85,2.85,-0.011,0,4.006,4.105,4.141,3.601,1.634,1,-0.393,1,3.556,1.569,0.742,18,10.412,3.296,3.841,0.047,0.479,0.997,0.314,6.065,-0.27,3.467,4.316,3.678,2.522
7.714,2.124,-0.048,1.986,2.006,2.902,2.902,-0.07,7.68,2.112,3.93,2.866,3.896,0.581,1.07,4.885,4.164,1.878,-0.084,0.012,0.022,0.026,8,3,6.469,9.938,1.996,9.938,0.275,0.895,2.884,0.624,1.247,-0.022,2.715,2.715,-0.016,2,3.99,4.077,4.1,3.499,1.547,1,-0.405,1,3.111,1.229,0.862,24,8.654,3.275,3.7,0.04,0.34,0.813,0.259,5.57,-0.109,3.408,4.243,3.566,2.42
7.833,2.122,-0.042,1.986,2.005,2.902,2.902,-0.067,8.273,2.11,3.929,2.866,3.895,0.578,1.072,5.345,4.164,2.085,-0.079,0.012,0.021,0.026,8,3,6.469,9.938,1.969,9.938,0.314,0.877,2.887,0.624,1.231,-0.022,2.714,2.714,-0.011,2,3.99,4.078,4.101,3.499,1.542,1,-0.415,1,3.111,1.253,0.867,25,8.779,3.307,3.699,0.039,0.333,0.854,0.267,5.57,-0.138,3.457,4.243,3.566,2.41
7.738,2.181,0.016,2.025,2.065,3.355,3.355,-0.04,7.205,2.2,4.063,3.275,4.327,0.601,1.027,4.333,4.465,2.502,-0.022,0.013,0.028,0.026,9,3,7.073,12.215,2.218,12.215,0.403,0.834,3.0,0.932,1.406,0.006,2.881,2.881,-0.008,2,4.016,4.11,4.146,3.603,1.588,1,-0.442,1,3.333,1.41,0.879,24,11.389,3.332,3.877,0.038,0.416,0.998,0.284,6.197,-0.202,3.501,4.243,3.605,2.655
7.337,2.195,0.211,2.052,2.089,3.366,3.366,0.123,7.227,2.213,4.069,3.289,4.339,0.613,0.812,4.476,4.644,3.083,-0.008,0.015,0.036,0.029,9,3,7.076,12.226,3.044,12.226,0.544,0.868,3.329,1.26,1.671,0.108,3.044,3.044,-0.002,2,4.038,4.128,4.165,3.723,1.603,1,-0.458,1,4.0,1.632,0.829,24,11.662,3.327,4.024,0.045,0.525,1.162,0.287,6.714,-0.287,3.537,4.243,3.729,2.935
6.149,2.128,-0.048,1.991,2.011,2.97,2.97,-0.068,7.92,2.117,3.931,2.936,3.965,0.584,1.058,5.117,4.205,1.636,-0.108,0.011,0.024,0.026,8,3,6.602,10.389,2.427,10.389,0.325,0.893,2.911,0.713,1.347,0.022,2.726,2.726,-0.011,2,3.996,4.084,4.107,3.558,1.563,1,-0.415,1,3.111,1.368,0.833,24,8.983,3.263,3.712,0.044,0.367,1.056,0.265,5.575,-0.024,3.406,4.247,3.589,2.421
6.354,2.181,0.006,2.025,2.065,3.389,3.389,-0.043,7.455,2.2,4.067,3.29,4.356,0.603,1.023,4.552,4.468,2.231,-0.05,0.012,0.03,0.026,9,3,7.13,12.438,2.649,12.438,0.477,0.836,3.106,1.021,1.489,0.042,2.953,2.953,-0.004,2,4.019,4.114,4.149,3.63,1.602,1,-0.45,1,3.333,1.549,0.853,24,11.717,3.324,3.95,0.042,0.436,1.241,0.289,6.248,-0.113,3.501,4.248,3.614,2.663
5.0,2.181,0.034,2.026,2.066,3.41,3.41,0.011,8.825,2.2,4.075,3.302,4.375,0.596,0.995,5.322,4.47,1.952,-0.06,0.013,0.027,0.023,12,4,7.168,12.604,2.92,12.604,0.632,0.844,3.32,1.035,1.352,-0.008,3.023,3.023,-0.002,4,4.034,4.124,4.157,3.673,1.579,1,-0.485,1,3.556,1.771,0.897,30,13.543,3.405,4.021,0.039,0.387,1.245,0.268,6.273,-0.128,3.601,4.251,3.677,2.674
6.262,2.125,-0.069,1.99,2.01,2.909,2.909,-0.109,7.92,2.114,3.934,2.877,3.903,0.587,1.123,5.117,4.177,1.828,-0.079,0.013,0.024,0.027,8,3,6.47,9.942,2.187,9.942,0.374,0.887,2.885,0.73,1.347,0.029,2.729,2.729,-0.011,2,3.994,4.081,4.104,3.5,1.566,1,-0.415,1,3.556,1.34,0.833,24,8.884,3.337,3.716,0.043,0.385,0.934,0.262,5.574,-0.086,3.473,4.243,3.676,2.43
6.317,2.181,-0.004,2.025,2.065,3.356,3.356,-0.074,7.455,2.2,4.065,3.275,4.328,0.606,1.07,4.552,4.465,2.449,-0.021,0.013,0.031,0.028,9,3,7.073,12.215,2.409,12.215,0.501,0.831,3.171,1.038,1.489,0.047,2.889,2.889,-0.004,2,4.018,4.112,4.148,3.603,1.606,1,-0.45,1,3.778,1.521,0.853,24,11.618,3.388,3.887,0.041,0.45,1.119,0.286,6.198,-0.177,3.563,4.243,3.677,2.67
7.602,2.128,-0.049,1.996,2.014,2.903,2.903,-0.035,7.92,2.117,3.931,2.866,3.896,0.585,1.059,5.117,4.171,1.729,-0.101,0.013,0.024,0.026,10,3,6.47,9.948,2.347,9.948,0.374,0.887,2.885,0.73,1.347,0.029,2.753,2.753,-0.011,2,4.001,4.085,4.108,3.503,1.553,1,-0.415,1,3.111,1.34,0.833,24,9.015,3.278,3.74,0.044,0.378,1.014,0.262,5.578,-0.053,3.416,4.285,3.587,2.433
7.187,2.113,-0.304,1.968,1.986,2.833,2.833,-0.331,6.248,2.099,3.927,2.774,3.818,0.588,1.34,4.089,4.134,2.472,-0.068,0.015,0.025,0.03,5,2,6.376,9.57,2.044,9.57,0.152,0.887,2.683,0.61,1.406,0.043,2.528,2.528,-0.021,0,3.966,4.058,4.081,3.447,1.57,1,-0.342,1,2.889,1.007,0.792,18,7.014,3.099,3.507,0.052,0.399,0.448,0.286,5.478,-0.312,3.235,4.238,3.549,2.345
7.284,2.111,-0.282,1.967,1.985,2.832,2.832,-0.315,6.834,2.095,3.926,2.774,3.818,0.585,1.33,4.552,4.133,2.692,-0.069,0.015,0.024,0.029,5,2,6.376,9.57,2.018,9.57,0.191,0.866,2.692,0.61,1.388,0.036,2.523,2.523,-0.015,0,3.967,4.058,4.081,3.447,1.563,1,-0.356,1,2.889,1.031,0.8,19,7.139,3.134,3.502,0.05,0.388,0.489,0.294,5.477,-0.34,3.288,4.238,3.549,2.34
7.26,2.181,-0.168,2.024,2.065,3.331,3.331,-0.239,5.854,2.2,4.048,3.262,4.306,0.611,1.222,3.572,4.464,3.094,0.009,0.015,0.033,0.03,6,2,7.035,12.049,2.267,12.049,0.255,0.817,3.0,0.918,1.56,0.062,2.791,2.791,-0.011,0,4.003,4.101,4.139,3.585,1.618,1,-0.394,1,3.111,1.188,0.821,18,9.748,3.158,3.783,0.048,0.477,0.633,0.312,5.865,-0.393,3.326,4.238,3.602,2.513
7.62,2.115,-0.242,1.97,1.988,2.84,2.84,-0.269,6.834,2.102,3.927,2.782,3.826,0.581,1.29,4.552,4.135,2.264,-0.183,0.014,0.023,0.03,5,3,6.386,9.615,2.084,9.615,0.152,0.888,2.699,0.572,1.388,0.036,2.553,2.553,-0.015,0,3.969,4.061,4.084,3.45,1.571,1,-0.356,1,2.889,1.097,0.76,18,7.188,3.119,3.532,0.05,0.387,0.59,0.296,5.495,-0.216,3.262,4.238,3.549,2.374
7.943,2.113,-0.225,1.969,1.988,2.839,2.839,-0.257,7.438,2.099,3.926,2.781,3.825,0.578,1.284,5.035,4.135,2.48,-0.174,0.014,0.022,0.03,5,3,6.386,9.615,2.058,9.615,0.191,0.869,2.706,0.572,1.37,0.029,2.55,2.55,-0.011,0,3.969,4.061,4.084,3.45,1.562,1,-0.37,1,2.889,1.121,0.769,19,7.313,3.155,3.529,0.048,0.377,0.631,0.304,5.494,-0.243,3.313,4.238,3.549,2.367
6.959,2.122,-0.055,1.986,2.005,2.903,2.903,-0.073,7.102,2.109,3.933,2.866,3.896,0.584,1.068,4.441,4.164,1.67,-0.088,0.012,0.022,0.026,8,3,6.469,9.939,1.879,9.939,0.24,0.894,2.882,0.624,1.264,-0.022,2.717,2.717,-0.02,2,3.989,4.077,4.1,3.499,1.542,1,-0.394,1,3.111,1.222,0.857,23,8.042,3.192,3.703,0.038,0.346,0.772,0.25,5.572,-0.077,3.335,4.243,3.566,2.437
5.77,2.02,0.12,1.896,1.912,3.258,3.258,0.072,9.419,2.003,3.947,3.111,4.212,0.584,0.779,7.117,4.592,0.873,-0.029,0.018,0.031,0.025,3,6,6.916,11.634,2.183,11.634,0.608,0.927,2.822,0.937,1.697,0.123,2.792,2.792,-0.065,2,3.967,4.033,4.044,3.693,1.583,2,0.342,2,3.778,1.223,0.5,15,7.135,3.283,3.7,0.042,0.491,0.702,0.242,5.736,-0.071,3.484,4.326,4.201,2.292
5.507,2.036,0.04,1.901,1.92,3.299,3.299,0.13,8.293,2.023,3.953,3.1,4.249,0.595,0.805,5.886,4.569,0.812,-0.071,0.016,0.032,0.026,3,4,6.977,11.84,2.201,11.84,0.593,0.907,2.807,0.967,1.679,0.114,2.864,2.864,-0.051,0,3.974,4.044,4.059,3.787,1.587,1,-0.25,1,3.778,1.261,0.633,19,7.623,3.288,3.793,0.044,0.502,0.793,0.249,6.069,-0.028,3.481,4.331,4.076,2.424
6.226,2.035,0.046,1.901,1.92,3.389,3.389,0.052,7.58,2.016,3.955,3.104,4.286,0.609,0.756,5.357,4.571,0.77,-0.036,0.018,0.04,0.027,2,3,7.023,12.017,2.249,12.017,0.648,0.908,2.863,1.192,1.8,0.128,3.207,3.207,-0.045,0,3.974,4.045,4.061,4.095,1.611,1,-0.217,1,4.111,1.317,0.633,19,7.57,3.243,4.125,0.045,0.571,0.957,0.242,6.07,0.001,3.444,4.331,4.076,2.424
5.335,2.032,0.003,1.879,1.897,3.219,3.219,0.095,8.12,2.007,3.932,2.946,4.134,0.605,0.82,5.796,4.38,0.911,-0.021,0.019,0.039,0.03,2,4,6.815,11.33,2.232,11.33,0.473,0.91,2.867,1.219,1.784,0.152,3.172,3.172,-0.061,0,3.97,4.042,4.057,4.095,1.587,1,-0.201,1,3.667,1.539,0.613,19,7.599,3.344,4.026,0.045,0.563,0.995,0.238,6.282,-0.07,3.529,4.331,3.947,2.306
6.201,2.035,0.039,1.896,1.912,3.397,3.397,0.015,7.79,2.01,3.961,3.15,4.311,0.613,0.765,5.554,4.612,0.787,-0.006,0.02,0.041,0.026,2,3,7.023,12.018,2.601,12.018,0.733,0.908,2.885,1.281,1.816,0.131,3.207,3.207,-0.046,0,3.974,4.047,4.063,4.095,1.628,1,-0.201,1,4.333,1.372,0.613,19,7.902,3.242,4.125,0.048,0.588,0.957,0.241,6.343,-0.014,3.445,4.334,4.202,2.462
5.793,2.028,0.078,1.901,1.92,3.288,3.288,0.144,8.681,2.032,3.95,3.098,4.24,0.591,0.79,6.172,4.568,0.632,-0.16,0.014,0.03,0.026,3,3,6.973,11.824,1.978,11.824,0.545,0.887,2.695,0.899,1.615,0.118,2.696,2.696,-0.035,0,3.972,4.04,4.056,3.77,1.566,1,-0.283,1,3.778,1.261,0.7,21,7.779,3.247,3.634,0.039,0.446,0.659,0.268,6.042,0.015,3.423,4.33,4.076,2.424
5.672,2.024,0.036,1.879,1.897,3.178,3.178,0.21,9.273,2.031,3.926,2.937,4.031,0.587,0.883,6.656,4.376,0.813,-0.155,0.015,0.03,0.029,3,4,6.583,10.534,1.961,10.534,0.37,0.889,2.865,0.926,1.595,0.142,2.874,2.874,-0.046,0,3.968,4.036,4.05,3.771,1.549,1,-0.265,1,3.333,1.483,0.677,21,7.808,3.345,3.751,0.038,0.441,0.697,0.263,6.044,-0.059,3.51,4.33,3.946,2.292
5.595,2.018,0.128,1.901,1.92,3.258,3.258,0.133,9.246,2.012,3.942,3.088,4.21,0.58,0.77,6.936,4.564,0.873,-0.057,0.015,0.029,0.027,3,6,6.916,11.634,1.832,11.634,0.548,0.927,2.611,0.847,1.658,0.117,2.664,2.664,-0.063,2,3.966,4.03,4.041,3.686,1.559,2,0.33,2,3.556,1.167,0.517,15,6.803,3.288,3.602,0.038,0.47,0.702,0.244,5.729,-0.059,3.483,4.323,4.076,2.29
7.041,2.042,0.125,1.868,1.89,2.883,2.883,0.01,9.373,2.029,3.9,2.612,3.799,0.591,1.078,7.093,4.244,1.611,-0.145,0.019,0.032,0.026,8,5,6.098,8.88,2.076,8.88,0.415,0.895,2.797,0.936,1.658,0.06,2.69,2.69,-0.07,2,3.877,3.981,4.018,3.557,1.53,2,0.364,2,3.556,1.056,0.621,18,6.568,3.492,3.627,0.051,0.518,0.772,0.246,5.355,-0.281,3.692,4.141,3.882,2.363
8.371,2.179,-0.121,2.023,2.064,3.343,3.343,-0.151,7.762,2.199,4.027,3.254,4.31,0.597,1.184,5.363,4.469,2.513,-0.038,0.015,0.032,0.03,6,6,7.041,12.014,2.174,12.014,0.466,0.812,3.0,0.956,1.648,0.149,2.76,2.76,0.005,1,4.01,4.098,4.136,3.587,1.63,1,-0.415,1,3.111,1.32,0.633,15,8.975,3.291,3.747,0.045,0.499,0.901,0.353,5.879,-0.289,3.472,4.368,3.63,2.493
7.678,2.18,0.005,2.022,2.064,3.236,3.236,-0.049,6.983,2.199,4.049,3.113,4.193,0.59,1.062,4.578,4.448,2.585,-0.076,0.013,0.028,0.025,7,6,6.841,11.299,1.814,11.299,0.343,0.811,3.0,0.778,1.526,0.069,2.666,2.666,0.046,1,3.984,4.092,4.139,3.585,1.593,1,-0.323,1,2.667,0.931,0.679,15,8.18,3.287,3.645,0.042,0.451,0.738,0.337,5.665,-0.398,3.458,4.144,3.542,2.443
8.316,2.18,0.044,2.022,2.064,3.279,3.279,0.025,8.642,2.199,4.074,3.138,4.232,0.588,1.046,5.602,4.463,2.67,-0.092,0.012,0.026,0.028,14,7,6.871,11.447,2.175,11.447,0.507,0.826,3.0,0.897,1.455,0.065,2.823,2.823,0.053,3,3.992,4.105,4.152,3.589,1.583,1,-0.392,1,3.111,1.407,0.735,21,10.228,3.431,3.809,0.04,0.431,1.029,0.31,6.01,-0.351,3.634,4.262,3.715,2.546
6.131,2.032,0.006,1.87,1.9,2.808,2.808,0.054,7.878,2.023,3.931,2.762,3.796,0.573,0.918,5.576,4.166,1.605,-0.054,0.016,0.025,0.03,5,6,6.32,9.382,1.912,9.382,0.332,0.893,2.683,0.648,1.502,0.138,2.464,2.464,0.045,1,3.938,4.067,4.112,3.435,1.568,1,-0.332,1,2.667,1.122,0.577,15,6.255,3.238,3.447,0.046,0.424,0.716,0.245,5.392,-0.183,3.385,4.379,3.615,2.259
5.0,2.033,0.016,1.871,1.896,2.818,2.818,0.04,8.718,2.021,3.936,2.766,3.803,0.575,0.936,6.324,4.175,1.536,-0.046,0.017,0.026,0.032,5,7,6.32,9.382,2.143,9.382,0.389,0.887,2.714,0.716,1.531,0.158,2.598,2.598,0.025,1,3.939,4.068,4.112,3.436,1.581,1,-0.323,1,3.111,1.24,0.536,15,6.644,3.402,3.57,0.048,0.459,0.796,0.243,5.495,-0.116,3.556,4.379,3.681,2.265
5.0,2.032,0.005,1.867,1.894,2.815,2.815,0.031,8.055,2.019,3.938,2.765,3.801,0.58,0.813,5.761,4.173,1.049,-0.044,0.016,0.028,0.031,5,6,6.32,9.382,2.103,9.382,0.389,0.893,2.712,0.754,1.541,0.157,2.563,2.563,0.012,1,3.938,4.068,4.112,3.436,1.588,1,-0.309,1,3.111,1.177,0.556,15,6.546,3.318,3.536,0.049,0.471,0.796,0.243,5.443,0.008,3.468,4.379,3.669,2.263
5.345,2.03,0.065,1.884,1.914,2.777,2.777,0.128,8.533,2.028,3.945,2.742,3.77,0.572,0.836,6.123,4.142,1.609,-0.102,0.014,0.024,0.033,5,7,6.311,9.327,1.832,9.327,0.352,0.894,2.737,0.648,1.487,0.112,2.506,2.506,0.05,1,3.936,4.066,4.111,3.426,1.559,1,-0.346,1,2.889,1.205,0.556,15,6.376,3.332,3.501,0.044,0.418,0.696,0.252,5.347,-0.147,3.505,4.379,3.572,2.264
6.287,2.049,-0.041,1.846,1.888,2.813,2.813,0.044,9.054,2.06,3.932,2.77,3.802,0.567,1.002,6.751,4.154,1.728,-0.125,0.014,0.023,0.028,7,7,6.322,9.392,2.197,9.392,0.332,0.867,2.624,0.61,1.487,0.087,2.464,2.464,0.063,1,3.941,4.072,4.118,3.44,1.567,1,-0.346,1,2.667,1.149,0.556,15,6.7,3.251,3.447,0.049,0.413,0.797,0.33,5.403,-0.172,3.397,4.387,3.574,2.29
7.013,2.179,0.007,2.023,2.064,3.366,3.366,0.049,8.065,2.199,4.077,3.296,4.342,0.59,0.966,5.527,4.47,2.338,-0.059,0.014,0.03,0.028,8,7,7.109,12.32,2.419,12.32,0.442,0.817,3.0,0.918,1.633,0.107,2.761,2.761,0.067,1,3.996,4.107,4.152,3.591,1.625,1,-0.393,1,2.889,1.33,0.613,15,9.435,3.306,3.759,0.046,0.486,0.982,0.348,5.874,-0.251,3.482,4.387,3.623,2.496
5.394,2.05,-0.055,1.856,1.892,3.092,3.092,0.072,9.036,2.061,3.933,3.069,4.082,0.586,1.02,6.881,4.28,1.489,-0.138,0.014,0.032,0.029,11,7,6.795,10.871,2.927,10.871,0.48,0.814,2.642,0.937,1.713,0.149,2.769,2.769,0.069,1,3.961,4.086,4.13,3.575,1.584,1,-0.371,1,3.333,1.413,0.517,15,7.278,3.239,3.744,0.057,0.495,1.122,0.332,5.668,-0.085,3.41,4.439,3.614,2.413
6.38,2.179,-0.014,2.023,2.064,3.456,3.456,0.07,8.255,2.199,4.083,3.393,4.438,0.605,0.985,5.79,4.479,2.052,-0.081,0.014,0.038,0.029,12,7,7.291,13.091,3.149,13.091,0.639,0.777,3.0,1.245,1.777,0.161,3.081,3.081,0.071,1,4.003,4.115,4.159,3.655,1.634,1,-0.412,1,3.556,1.594,0.576,15,10.012,3.299,4.069,0.053,0.551,1.307,0.349,6.296,-0.158,3.492,4.439,3.651,2.662
6.602,2.048,0.023,1.841,1.885,2.788,2.788,0.104,8.179,2.06,3.93,2.719,3.769,0.569,0.917,5.951,4.116,1.723,-0.146,0.014,0.022,0.026,5,6,6.314,9.35,1.792,9.35,0.258,0.87,2.439,0.559,1.44,0.056,2.464,2.464,0.055,1,3.916,4.053,4.1,3.404,1.553,1,-0.317,1,2.667,0.893,0.6,15,5.86,3.254,3.447,0.047,0.399,0.675,0.318,5.345,-0.207,3.387,4.257,3.54,2.156
6.886,2.021,0.024,1.82,1.851,2.787,2.787,0.1,8.854,2.009,3.929,2.718,3.768,0.566,0.927,6.525,4.116,1.943,-0.135,0.013,0.021,0.026,5,6,6.314,9.35,1.766,9.35,0.297,0.854,2.569,0.559,1.42,0.045,2.455,2.455,0.059,1,3.916,4.054,4.1,3.404,1.544,1,-0.332,1,2.667,0.917,0.615,16,5.985,3.286,3.437,0.045,0.386,0.716,0.325,5.341,-0.238,3.434,4.257,3.54,2.155
