pXC50,C.002,SpMin2_Bh.s.,nCt,C.003,C.043,H.046,SaaO,GATS5s,C.031,nCs,SaaN,NaaO,GATS4s,GATS4e,nCrt,N.075,NaaN,P_VSA_s_4,Eta_L_A,nCrs,Eta_FL_A,C.024,nCbH,MATS4m,CATS2D_04_LL,NssCH2,MATS4s,nBnz,MATS4v,GATS2v,ATSC7s,SpMin8_Bh.e.,SdO,GATS2p,MATS4e,P_VSA_MR_1,SpMax6_Bh.s.,MATS1s,CATS2D_01_AA,SRW05,SRW07,ATSC8s,nR05,SpMin8_Bh.i.,ATSC5s,P_VSA_LogP_3,P_VSA_s_3,GATS8i,GATS4m,MATS3s,SpMax8_Bh.s.,SpMin1_Bh.s.,P_VSA_MR_7,nCsp3,SpMin6_Bh.s.,SaaCH,GATS4v,H.051,CIC2,IC1,Eta_L,MAXDP,MATS2p,Eig05_AEA.dm.,ATSC6s,nCb.
6.387,2,1.163,0,0,0,0,0.0,1.312,0,2,0.0,0,1.449,1.337,0,0,0,135.593,0.207,0,0.273,13,13,-0.249,3,4,-0.189,3,-0.149,0.973,150.658,1.103,50.559,0.958,-0.216,258.964,4.867,-0.088,0,0.0,0.0,149.306,0,1.051,141.481,171.804,34.612,1.007,1.389,0.038,4.687,1.306,5.807,5,0.584,21.755,1.118,2,1.413,3.627,7.259,6.334,0.066,2.905,140.594,5
6.328,2,1.185,0,0,0,0,0.0,1.316,0,2,0.0,0,1.391,1.335,0,0,0,135.593,0.207,0,0.27,13,13,-0.25,1,4,-0.175,3,-0.145,0.959,169.104,1.134,63.301,0.939,-0.238,258.964,6.493,-0.124,0,0.0,0.0,205.974,0,1.059,175.322,177.612,28.272,0.965,1.4,0.023,4.732,1.307,28.02,5,0.638,20.266,1.122,2,1.581,3.56,7.446,6.346,0.081,2.906,159.994,5
6.538,2,1.219,0,0,0,0,0.0,1.056,0,2,0.0,0,1.295,1.237,0,0,0,95.402,0.217,0,0.252,8,8,-0.29,1,4,-0.196,2,-0.226,0.923,241.361,0.913,60.786,0.989,-0.232,235.422,6.493,-0.119,0,0.0,0.0,141.518,0,0.846,163.373,130.469,25.516,1.008,1.301,-0.026,4.644,1.317,11.853,6,0.573,12.037,1.201,2,1.25,3.62,6.509,6.078,0.088,2.905,149.124,4
5.041,2,1.224,0,0,0,0,0.0,1.078,0,2,0.0,0,1.298,1.153,0,0,0,95.402,0.217,0,0.253,8,8,-0.139,1,4,-0.197,2,-0.181,0.923,196.356,0.923,62.164,0.989,-0.152,235.422,6.493,-0.118,0,0.0,0.0,164.9,0,0.854,258.335,130.469,25.516,0.946,1.335,-0.044,4.659,1.334,11.853,6,0.579,12.379,1.187,2,1.176,3.62,6.51,6.27,0.088,2.907,189.11,4
4.77,2,1.26,0,0,0,9,0.0,1.192,0,2,0.0,0,1.254,1.169,0,0,0,113.28,0.247,0,0.222,9,9,-0.1,8,4,-0.117,2,-0.044,0.939,129.918,0.934,37.721,0.916,-0.095,282.506,4.704,-0.098,0,0.0,0.0,142.646,0,0.821,100.976,133.899,21.907,0.812,1.208,0.054,4.084,1.33,5.807,8,0.495,16.435,1.026,2,1.724,3.32,6.915,6.147,0.143,2.762,122.319,3
5.328,1,1.218,0,0,0,0,0.0,1.032,0,1,0.0,0,1.307,1.282,0,0,0,95.402,0.231,0,0.237,8,8,-0.19,0,4,-0.187,2,-0.174,0.904,185.001,0.886,61.184,0.975,-0.226,246.24,4.866,-0.129,0,0.0,0.0,119.964,0,0.821,180.682,87.663,24.31,0.96,1.113,-0.075,4.384,1.304,11.853,6,0.584,12.146,1.116,0,1.106,3.56,6.699,6.046,0.031,2.901,113.369,4
4.886,2,1.219,0,0,0,0,0.0,1.08,0,2,0.0,0,1.33,1.297,0,0,0,95.402,0.239,0,0.23,8,8,-0.257,1,5,-0.179,2,-0.22,0.93,213.224,1.083,61.245,0.989,-0.222,269.783,4.866,-0.124,0,0.0,0.0,122.794,0,1.019,141.965,87.663,26.844,0.923,1.206,-0.065,4.385,1.319,11.853,7,0.669,12.363,1.17,2,1.264,3.49,7.176,6.142,0.022,2.905,137.513,4
4.0,1,1.219,0,0,0,0,0.0,1.034,0,1,0.0,0,1.332,1.28,0,0,0,95.402,0.214,0,0.252,8,8,-0.298,0,4,-0.22,2,-0.254,0.896,279.242,1.09,60.596,0.972,-0.256,235.422,6.465,-0.15,0,0.0,0.0,160.227,0,1.021,170.479,130.469,24.658,0.975,1.304,-0.015,4.863,1.315,11.853,6,0.572,11.935,1.233,0,1.232,3.699,6.619,6.138,0.109,2.906,142.432,4
4.854,2,1.221,0,0,0,0,0.0,1.213,0,2,0.0,0,1.398,1.368,0,0,0,95.402,0.249,0,0.222,8,8,-0.227,1,5,-0.164,2,-0.186,0.936,177.569,0.886,49.299,0.98,-0.235,246.24,4.644,-0.146,0,0.0,0.0,89.855,0,0.821,118.491,87.663,21.711,0.953,1.179,-0.029,4.318,1.328,11.853,7,0.588,12.814,1.131,0,1.198,3.388,6.97,6.052,0.027,2.684,96.037,4
5.027,1,1.218,0,0,0,0,0.0,1.18,0,1,0.0,0,1.421,1.373,0,0,0,95.402,0.24,0,0.23,8,8,-0.173,0,4,-0.182,2,-0.194,0.909,164.044,0.886,48.968,0.966,-0.25,246.24,4.644,-0.151,0,0.0,0.0,91.958,0,0.821,132.915,87.663,19.176,0.976,1.092,-0.043,4.309,1.312,11.853,6,0.571,12.716,1.134,0,1.23,3.378,6.47,5.927,0.037,2.671,72.088,4
7.032,2,1.161,0,0,0,0,0.0,1.356,0,2,0.0,0,1.355,1.253,0,0,0,135.593,0.206,0,0.275,13,13,-0.209,1,4,-0.155,3,-0.142,0.998,155.209,1.125,50.438,0.978,-0.184,258.964,4.868,-0.093,0,0.0,0.0,151.408,0,1.055,142.618,171.804,33.754,0.981,1.345,0.007,4.703,1.306,5.807,5,0.585,21.896,1.125,2,1.525,3.64,7.422,6.342,0.052,2.905,149.514,5
6.456,2,1.161,0,0,0,0,0.0,1.291,0,2,0.0,0,1.35,1.2,0,0,0,137.0,0.207,0,0.273,12,12,-0.241,1,4,-0.166,3,-0.183,0.935,160.585,1.154,50.671,0.925,-0.187,282.506,4.885,-0.093,0,0.0,0.0,155.546,0,1.075,147.792,162.328,38.998,1.014,1.352,-0.001,4.709,1.306,5.807,6,0.587,19.731,1.173,2,1.625,3.704,7.869,6.384,0.111,2.905,156.192,6
7.377,2,1.161,0,0,0,0,0.0,1.096,0,2,0.0,0,1.152,1.131,0,0,0,126.117,0.209,0,0.264,12,12,-0.237,1,4,-0.153,3,-0.155,0.967,234.133,1.137,50.544,0.942,-0.198,247.193,7.429,-0.097,0,0.0,0.0,281.762,0,1.061,258.767,162.328,36.94,0.677,1.329,0.017,6.493,1.306,5.807,6,0.585,16.193,1.154,2,1.471,3.863,8.348,6.36,0.096,3.092,192.735,6
5.523,1,1.078,0,0,0,0,0.0,1.395,0,1,0.0,0,1.467,1.358,0,0,0,97.688,0.2,0,0.279,9,9,-0.297,2,2,-0.205,2,-0.143,0.93,100.517,0.886,37.144,0.913,-0.261,188.338,4.749,-0.111,0,0.0,0.0,92.137,0,0.821,109.012,133.899,18.896,0.888,1.526,0.039,3.969,1.246,5.807,3,0.218,14.438,1.109,2,1.191,3.518,4.788,5.924,0.113,2.789,126.748,3
5.347,1,1.111,0,0,0,0,0.0,1.18,0,1,0.0,0,1.528,1.369,0,0,0,97.688,0.209,0,0.27,9,9,-0.198,1,3,-0.235,2,-0.086,0.93,114.907,0.886,37.173,0.896,-0.244,211.88,4.75,-0.101,0,0.0,0.0,96.274,0,0.821,90.5,133.899,21.43,0.916,1.329,0.048,4.034,1.274,5.807,4,0.411,15.122,1.044,2,1.156,3.545,5.223,5.928,0.132,2.794,143.028,3
6.046,2,1.155,0,0,0,0,0.0,1.266,0,2,0.0,0,1.508,1.33,0,0,0,97.688,0.219,0,0.26,9,9,-0.277,2,4,-0.217,2,-0.178,0.963,128.509,0.886,37.228,0.927,-0.219,211.88,4.75,-0.092,0,0.0,0.0,107.454,0,0.821,111.337,133.899,23.965,0.903,1.441,0.059,4.083,1.304,5.807,5,0.49,15.572,1.154,2,1.334,3.478,5.698,5.945,0.109,2.751,128.852,3
4.553,2,1.133,0,0,0,0,0.0,1.437,0,2,0.0,0,1.433,1.382,0,0,0,97.688,0.212,0,0.268,9,9,-0.252,2,3,-0.186,2,-0.101,0.965,107.099,0.886,37.203,0.944,-0.287,188.338,4.749,-0.101,0,0.0,0.0,122.062,0,0.821,114.254,133.899,21.43,0.963,1.476,0.058,4.042,1.287,5.807,4,0.405,14.763,1.074,2,1.156,3.545,5.288,6.013,0.09,2.79,101.102,3
5.0,2,1.14,0,0,0,0,0.0,1.222,0,2,0.0,0,1.502,1.398,0,0,0,97.688,0.22,0,0.259,9,9,-0.173,1,4,-0.22,2,-0.06,0.963,128.43,0.886,37.232,0.927,-0.274,211.88,4.75,-0.092,0,0.0,0.0,132.731,0,0.821,95.965,133.899,23.965,0.928,1.3,0.063,4.086,1.306,5.807,5,0.502,15.392,1.02,2,1.126,3.562,5.723,6.017,0.109,2.794,106.371,3
5.31,3,1.183,0,0,0,0,0.0,1.31,0,3,0.0,0,1.487,1.363,0,0,0,97.688,0.23,0,0.251,9,9,-0.25,2,5,-0.206,2,-0.147,0.992,134.955,0.886,37.287,0.954,-0.252,211.88,4.75,-0.085,0,0.0,0.0,150.8,0,0.821,113.916,133.899,26.499,0.897,1.41,0.071,4.119,1.326,5.807,6,0.569,15.807,1.124,2,1.256,3.493,6.198,6.034,0.088,2.753,89.917,3
4.469,0,1.106,0,0,0,0,0.0,0.855,0,0,0.0,0,1.329,1.204,0,0,0,88.212,0.197,0,0.277,8,8,-0.108,0,2,-0.241,2,-0.05,0.869,116.38,0.886,37.106,0.865,-0.229,191.527,4.849,-0.096,0,0.0,0.0,181.462,0,0.821,147.705,124.423,28.017,0.976,1.179,-0.011,4.327,1.245,5.807,3,0.38,10.889,1.02,0,1.113,3.686,4.937,5.804,0.154,2.82,164.466,4
4.137,0,1.057,0,0,0,0,0.0,1.076,0,0,0.0,0,1.414,1.23,0,0,0,99.095,0.19,0,0.286,8,8,-0.215,0,1,-0.218,2,-0.169,0.793,80.734,0.886,37.446,0.803,-0.235,188.338,4.839,-0.124,0,0.0,0.0,96.321,0,0.821,142.103,124.423,21.605,0.945,1.355,0.017,4.322,1.216,5.807,3,0.42,11.917,1.143,0,1.43,3.566,4.76,5.931,0.223,2.813,135.549,4
4.745,1,1.149,0,0,0,0,0.0,1.07,0,1,0.0,0,1.459,1.2,0,0,0,99.095,0.21,0,0.268,8,8,-0.201,0,3,-0.23,2,-0.196,0.848,85.92,0.886,37.409,0.832,-0.192,211.88,4.842,-0.102,0,0.0,0.0,111.404,0,0.821,156.73,124.423,26.674,0.918,1.294,0.048,4.327,1.286,5.807,5,0.566,13.07,1.182,0,1.337,3.594,5.67,5.909,0.201,2.818,128.626,4
4.174,0,1.126,0,0,0,0,0.0,0.936,0,0,0.0,0,1.208,1.161,0,0,0,88.212,0.203,0,0.264,8,8,-0.131,0,2,-0.219,2,-0.058,0.847,204.959,0.886,37.255,0.821,-0.241,176.567,6.999,-0.109,0,0.0,0.0,192.43,0,0.821,240.487,124.423,22.081,0.932,1.178,0.03,4.85,1.253,5.807,4,0.391,9.242,1.046,0,1.234,3.749,5.673,5.857,0.209,2.852,210.034,4
4.092,1,1.199,0,0,0,0,0.0,1.143,0,1,0.0,0,1.361,1.084,0,0,0,53.431,0.254,0,0.226,4,4,-0.199,0,8,-0.154,1,-0.176,0.921,153.478,0.912,37.25,0.877,-0.148,270.735,4.627,-0.073,0,0.0,0.0,148.84,0,0.844,117.554,86.518,33.747,0.853,1.31,0.062,4.126,1.308,5.807,9,0.601,6.102,1.203,2,1.294,3.47,6.605,5.953,0.157,2.818,139.126,2
5.77,2,1.121,0,0,0,3,0.0,1.401,0,3,0.0,0,1.413,1.292,0,0,0,67.957,0.254,0,0.217,4,4,-0.313,2,3,-0.173,1,-0.164,0.934,118.911,0.886,36.623,0.928,-0.225,176.567,4.333,-0.098,0,0.0,0.0,112.169,0,0.821,142.623,86.518,18.674,0.743,1.598,0.065,3.881,1.32,5.807,7,0.482,6.079,1.19,2,0.915,3.55,5.584,5.724,0.144,2.766,151.866,2
6.0,6,1.233,1,1,0,10,0.0,1.184,0,6,0.0,0,1.3,1.192,1,0,0,50.307,0.288,5,0.191,4,4,-0.09,1,8,-0.129,1,-0.014,1.058,142.349,0.92,37.351,1.014,-0.15,270.735,4.333,-0.058,0,0.0,0.0,121.507,0,0.855,98.074,86.518,30.917,0.924,1.217,0.106,3.987,1.52,5.807,10,0.616,6.223,0.99,2,1.348,3.358,7.19,5.997,0.07,2.688,167.411,2
5.092,2,1.111,0,0,0,0,0.0,1.283,0,2,4.182,0,1.563,1.371,0,1,1,87.783,0.216,0,0.264,7,4,-0.325,2,4,-0.249,1,-0.195,0.948,121.306,0.886,37.175,0.927,-0.253,223.651,4.845,-0.092,0,0.0,0.0,115.942,0,0.821,115.927,114.947,23.536,0.861,1.493,0.042,4.083,1.288,22.593,5,0.49,13.066,1.169,4,1.03,3.689,5.612,5.925,0.105,2.751,140.563,2
5.77,1,1.078,0,0,0,0,0.0,1.305,0,1,0.0,0,1.45,1.279,0,0,0,99.095,0.201,0,0.276,8,8,-0.334,2,2,-0.215,2,-0.203,0.84,108.257,0.886,37.471,0.842,-0.259,211.88,4.839,-0.111,0,0.0,0.0,99.649,0,0.821,113.866,124.423,24.139,1.035,1.52,0.026,4.322,1.247,5.807,4,0.5,12.343,1.183,2,1.381,3.584,5.235,6.047,0.191,2.813,137.692,4
6.0,2,1.156,0,0,0,0,0.0,1.199,0,2,0.0,0,1.496,1.254,0,0,0,99.095,0.219,0,0.259,8,8,-0.31,1,4,-0.227,2,-0.226,0.886,130.873,0.913,37.446,0.865,-0.219,235.422,4.842,-0.093,0,0.0,0.0,114.957,0,0.846,116.269,124.423,29.208,0.936,1.444,0.049,4.328,1.305,5.807,6,0.569,13.369,1.215,2,1.491,3.522,6.145,6.025,0.174,2.821,135.802,4
5.638,2,1.156,0,0,0,0,0.0,1.224,0,2,0.0,0,1.487,1.242,0,0,0,99.095,0.219,0,0.259,8,8,-0.284,2,4,-0.218,2,-0.205,0.886,138.456,0.919,37.492,0.865,-0.208,235.422,4.842,-0.093,0,0.0,0.0,121.572,0,0.857,118.373,124.423,29.208,0.848,1.418,0.045,4.328,1.305,5.807,6,0.57,13.384,1.194,2,1.39,3.522,6.145,6.043,0.174,2.821,134.312,4
4.959,2,1.161,0,0,0,0,0.0,1.113,0,2,0.0,0,1.319,1.256,0,0,0,93.882,0.206,0,0.269,8,8,-0.311,1,4,-0.213,2,-0.194,0.947,181.429,0.899,58.855,0.938,-0.255,200.109,6.493,-0.058,2,0.0,0.0,162.248,0,0.829,177.84,124.423,26.722,0.883,1.44,0.052,4.69,1.306,11.477,5,0.491,11.628,1.188,2,1.175,3.763,5.976,5.999,0.123,2.828,147.615,4
4.638,2,1.184,0,0,0,0,0.0,1.072,0,2,0.0,0,1.293,1.247,0,0,0,88.212,0.216,0,0.253,8,8,-0.291,1,4,-0.205,2,-0.218,0.93,184.53,0.909,60.16,0.941,-0.249,200.109,6.493,-0.15,0,0.0,0.0,168.3,0,0.841,181.571,161.522,25.516,0.758,1.303,0.0,4.828,1.313,11.615,5,0.529,11.576,1.197,2,1.335,3.713,6.468,6.035,0.109,2.827,153.416,4
4.398,4,1.202,1,1,0,0,0.0,0.871,0,5,0.0,0,1.211,1.231,0,0,0,8.396,0.251,0,0.214,0,0,-0.164,1,4,-0.262,0,-0.018,1.228,289.998,0.637,56.084,1.408,-0.311,129.482,6.493,-0.089,0,0.0,0.0,263.762,0,0.568,267.33,42.806,26.072,0.913,1.112,-0.146,6.35,1.266,0.0,7,0.074,0.0,0.999,7,0.881,3.375,5.775,5.042,-0.155,3.531,287.823,0
4.071,3,1.187,1,1,0,0,0.0,0.875,0,4,0.0,0,1.246,1.276,0,0,0,8.396,0.287,0,0.179,0,0,-0.11,1,4,-0.239,0,-0.036,1.206,190.912,0.434,44.468,1.243,-0.291,140.301,6.35,-0.089,0,0.0,0.0,181.835,0,0.373,207.811,0.0,19.732,0.901,1.085,-0.174,4.224,1.251,0.0,7,0.05,0.0,0.982,5,0.757,3.403,5.736,4.834,-0.167,3.23,184.681,0
4.377,4,1.226,0,0,0,0,0.0,0.821,0,7,0.0,0,1.207,1.161,0,0,0,87.759,0.237,3,0.24,8,8,-0.1,2,6,-0.17,2,-0.064,1.116,215.282,1.23,63.075,1.218,-0.175,211.88,6.494,-0.065,0,2.398,4.595,294.429,1,1.169,268.255,118.616,44.244,1.039,1.079,-0.061,6.468,1.259,0.0,10,0.859,12.022,1.044,3,1.433,3.744,9.478,6.539,-0.112,3.516,204.442,4
5.0,1,1.057,0,0,0,0,0.0,1.134,0,2,0.0,0,1.295,1.208,0,0,0,48.788,0.206,0,0.261,4,4,-0.216,0,1,-0.256,1,-0.152,0.977,106.009,0.482,45.984,1.033,-0.253,117.711,6.351,-0.151,0,0.0,0.0,121.007,0,0.446,245.734,102.923,14.943,0.825,1.347,-0.109,4.33,1.195,5.807,3,0.191,5.255,1.123,2,0.593,4.0,4.321,5.038,0.067,2.812,242.248,2
5.553,1,1.111,0,0,0,0,0.0,1.108,0,2,0.0,0,1.322,1.184,0,0,0,97.688,0.204,0,0.271,9,9,-0.102,1,2,-0.208,2,-0.061,0.948,142.408,0.886,49.762,0.936,-0.177,200.109,6.351,-0.116,0,0.0,0.0,171.246,0,0.821,251.362,133.899,20.234,0.903,1.262,-0.04,4.749,1.279,5.807,4,0.409,13.856,1.029,2,1.042,3.771,5.709,6.21,0.109,2.853,314.498,3
4.161,0,1.056,0,0,0,0,0.0,1.157,0,0,0.0,0,1.432,1.3,0,0,0,97.688,0.188,0,0.29,9,9,-0.164,0,1,-0.209,2,-0.097,0.889,76.689,0.831,37.101,0.878,-0.234,164.795,4.748,-0.123,0,0.0,0.0,89.104,0,0.782,138.268,133.899,16.361,0.763,1.347,0.031,3.87,1.215,5.807,2,0.218,13.975,1.058,0,1.232,3.473,4.313,5.807,0.14,2.776,126.095,3
7.471,9,1.329,2,2,1,17,5.052,0.612,1,9,7.462,1,0.602,0.772,1,2,2,0.0,0.323,5,0.159,0,0,0.057,7,9,0.043,0,0.032,1.276,80.811,0.692,22.512,1.418,0.044,237.75,4.297,0.015,1,2.398,4.595,108.562,1,0.617,77.658,42.806,39.568,1.012,0.893,0.162,3.792,1.539,36.382,11,0.415,0.0,0.965,3,1.718,3.061,7.437,4.458,-0.18,2.519,82.349,0
6.936,9,1.329,2,2,1,17,5.446,0.871,1,9,8.552,1,0.807,1.028,1,2,2,47.381,0.307,5,0.183,5,5,0.053,8,9,-0.021,1,0.046,1.217,44.668,0.996,11.686,1.289,-0.068,296.605,4.034,0.076,1,2.398,4.595,43.886,1,0.942,65.526,90.187,38.049,1.115,0.934,0.142,3.724,1.539,36.382,11,0.735,9.628,0.913,3,1.832,3.206,7.991,4.686,-0.155,2.516,64.942,1
8.016,9,1.329,2,2,1,17,5.216,0.714,1,9,7.872,1,0.964,0.956,1,2,2,19.917,0.32,5,0.16,0,0,0.064,7,9,-0.026,0,0.045,1.127,62.82,0.996,23.484,1.21,0.007,308.377,4.209,0.044,1,2.398,4.595,86.119,1,0.942,75.907,42.806,39.568,1.137,0.91,0.176,3.794,1.539,36.382,13,0.735,0.0,0.929,3,1.816,2.894,8.009,4.901,-0.041,2.519,77.266,0
7.495,9,1.329,2,2,1,17,5.408,0.8,1,9,8.406,1,0.789,0.972,1,2,2,37.905,0.293,5,0.192,4,4,0.028,8,9,-0.024,1,0.025,1.187,82.73,1.005,22.712,1.267,-0.086,284.834,4.648,0.007,1,2.398,4.595,78.121,1,0.946,98.869,80.711,42.144,1.092,0.953,0.118,4.033,1.539,36.382,11,0.735,6.205,0.953,3,1.692,3.442,8.507,4.732,-0.121,2.717,79.926,2
7.125,9,1.329,2,2,1,17,5.434,0.79,1,9,8.446,1,1.068,1.17,1,2,2,46.301,0.293,5,0.188,4,4,-0.045,8,9,-0.09,1,0.004,1.12,90.441,1.143,35.521,1.136,-0.159,320.148,4.647,-0.041,1,2.398,4.595,80.539,1,1.064,100.582,102.923,39.6,1.116,0.944,0.116,4.134,1.539,42.19,12,0.764,6.158,0.955,3,1.599,3.504,9.095,4.869,-0.032,2.708,84.644,2
8.523,9,1.329,2,2,1,17,5.446,0.841,1,9,8.483,1,0.593,0.839,1,2,2,45.095,0.29,5,0.188,4,4,0.062,8,9,0.027,1,0.06,1.187,67.037,1.131,34.447,1.315,-0.045,320.148,4.704,-0.045,1,2.398,4.595,87.106,1,1.064,104.695,86.518,40.806,1.13,0.854,-0.006,4.035,1.539,58.595,12,0.825,6.627,0.932,3,1.599,3.504,9.005,4.782,-0.169,2.763,99.096,2
8.301,9,1.329,2,2,1,17,5.476,0.851,1,9,8.635,1,0.73,0.778,1,2,2,3.124,0.345,5,0.146,0,0,0.039,7,14,-0.014,0,-0.01,1.203,48.223,1.153,11.711,1.272,0.004,355.461,4.038,0.086,1,2.398,4.595,41.043,1,1.064,66.776,42.806,50.365,1.126,0.903,0.093,3.761,1.539,36.382,16,0.825,0.0,1.011,3,1.708,2.913,9.302,4.711,-0.105,2.523,73.337,0
8.222,9,1.329,2,2,1,17,5.399,0.758,1,9,8.367,1,0.798,0.97,1,2,2,37.905,0.293,5,0.192,4,4,0.049,8,9,-0.033,1,0.055,1.187,80.048,1.049,22.909,1.267,-0.085,284.834,4.652,0.007,1,2.398,4.595,63.586,1,1.01,91.644,80.711,42.144,1.119,0.932,0.116,4.033,1.539,36.382,11,0.735,6.303,0.924,3,1.585,3.442,8.507,4.741,-0.121,2.72,109.657,2
7.602,9,1.329,2,2,1,17,5.406,0.844,1,9,12.645,1,0.787,0.96,1,3,3,37.476,0.304,5,0.186,3,0,0.07,7,9,-0.004,0,0.048,1.216,48.89,0.996,11.674,1.309,-0.023,284.834,4.034,0.079,1,2.398,4.595,51.963,1,0.942,66.394,71.234,37.62,1.077,0.912,0.157,3.805,1.539,53.168,11,0.735,7.169,0.925,3,1.606,3.293,7.91,4.674,-0.173,2.516,67.572,0
8.699,9,1.329,2,2,1,17,5.426,0.837,1,9,12.478,1,0.795,0.992,1,3,3,37.047,0.304,5,0.186,2,0,0.052,8,9,-0.02,0,0.038,1.201,45.858,0.986,11.678,1.281,-0.066,284.834,4.035,0.084,1,2.398,4.595,46.738,1,0.936,70.412,61.758,38.049,1.133,0.928,0.138,3.74,1.539,53.168,11,0.735,6.971,0.937,3,1.668,3.307,7.91,4.678,-0.144,2.516,67.042,0
8.523,9,1.329,2,2,1,17,5.335,0.624,1,9,8.269,1,0.915,0.999,1,2,2,20.346,0.323,5,0.157,0,0,-0.027,7,10,-0.072,0,-0.04,1.162,54.339,1.084,22.954,1.255,-0.069,331.919,4.158,0.046,1,2.398,4.595,56.927,1,0.977,88.042,42.806,41.674,1.117,0.995,0.051,3.804,1.539,36.382,14,0.735,0.0,1.031,6,1.648,2.904,8.399,4.63,-0.082,2.624,83.433,0
6.489,9,1.329,2,2,1,17,5.232,0.594,1,9,8.015,1,0.753,0.93,1,2,2,0.0,0.321,5,0.162,0,0,0.005,7,10,-0.043,0,0.009,1.288,64.688,0.999,22.291,1.407,-0.062,261.292,4.297,0.013,1,2.398,4.595,72.187,1,0.943,91.576,42.806,41.245,1.095,0.951,0.05,4.012,1.539,36.382,12,0.734,0.0,0.992,3,1.591,3.16,8.028,4.558,-0.167,2.574,89.649,0
7.523,9,1.329,2,2,1,17,5.409,0.815,1,9,16.478,1,0.799,0.953,1,4,4,27.778,0.304,5,0.183,2,0,0.053,7,9,-0.006,0,0.044,1.185,54.721,1.008,11.701,1.31,-0.01,296.605,4.036,0.088,2,2.398,4.595,57.817,1,0.946,67.031,61.758,40.377,1.053,0.931,0.144,3.895,1.539,69.708,12,0.735,3.62,0.927,6,1.584,3.273,8.22,4.701,-0.154,2.52,65.827,0
7.854,9,1.329,2,2,1,17,5.391,0.797,1,9,16.289,1,0.771,0.932,1,4,4,26.713,0.301,5,0.189,0,0,0.085,8,9,0.011,0,0.078,1.178,50.487,0.986,11.666,1.254,-0.003,273.063,4.034,0.091,1,2.398,4.595,52.574,1,0.936,69.288,42.806,38.049,1.085,0.901,0.15,3.866,1.539,69.953,11,0.734,4.657,0.896,3,1.662,3.281,7.833,4.666,-0.116,2.516,67.121,0
7.131,9,1.329,2,2,1,17,5.362,0.827,1,9,12.362,1,0.767,0.89,1,3,3,18.524,0.315,5,0.176,1,0,0.094,7,9,0.011,0,0.055,1.235,49.096,1.005,11.628,1.356,0.02,261.292,4.033,0.086,1,3.045,5.209,53.798,2,0.945,67.035,61.329,37.62,1.09,0.88,0.156,3.706,1.539,53.045,11,0.712,3.444,0.932,3,1.575,3.355,7.869,4.628,-0.18,2.517,66.314,0
8.523,11,1.418,2,2,1,17,5.466,0.872,1,12,8.551,1,0.921,0.995,1,2,2,8.709,0.337,8,0.142,0,0,-0.087,7,14,-0.072,0,-0.066,1.216,75.939,1.153,35.048,1.301,-0.081,355.461,4.361,-0.024,1,2.398,4.595,79.286,1,1.064,112.331,66.624,46.25,1.079,1.026,0.019,4.039,1.539,42.19,18,0.825,0.0,1.059,3,1.767,3.033,10.787,4.786,-0.125,2.765,100.252,0
7.409,9,1.329,2,2,1,17,5.374,0.816,1,9,12.249,1,0.771,0.908,1,3,3,18.095,0.315,5,0.176,0,0,0.089,8,9,0.008,0,0.066,1.219,47.688,1.008,11.63,1.326,0.008,261.292,4.033,0.09,1,3.045,5.209,50.078,2,0.946,68.056,51.853,38.049,1.111,0.888,0.142,3.711,1.539,53.045,11,0.733,3.306,0.914,3,1.575,3.355,7.87,4.63,-0.15,2.517,64.679,0
8.0,9,1.329,2,2,1,17,5.287,0.635,1,9,8.049,1,0.646,0.768,1,2,2,9.047,0.301,5,0.183,0,0,0.117,8,9,0.127,0,0.054,1.214,83.805,0.996,34.726,1.32,0.117,249.521,4.365,0.025,1,2.398,4.595,88.777,1,0.942,104.083,42.806,47.029,1.119,0.865,0.074,4.032,1.539,36.382,11,0.734,0.0,0.938,3,1.524,3.427,8.433,4.896,-0.141,2.984,99.056,0
8.222,9,1.329,2,2,1,17,5.359,0.72,1,9,12.34,1,0.793,0.929,1,3,3,28.0,0.291,5,0.194,2,0,0.068,7,9,-0.023,0,0.046,1.185,85.616,1.003,22.869,1.285,-0.051,273.063,4.799,0.008,1,2.398,4.595,72.424,1,0.959,104.378,61.758,41.716,1.083,0.912,0.124,4.033,1.539,53.168,11,0.735,4.123,0.946,3,1.468,3.541,8.425,4.728,-0.137,2.72,106.952,0
7.854,9,1.329,2,2,1,20,5.193,0.816,1,9,7.643,1,0.781,0.869,1,2,2,46.73,0.284,5,0.194,4,4,0.099,7,9,0.128,1,0.036,1.139,134.35,1.153,49.091,1.175,0.093,320.148,5.261,-0.039,1,2.398,4.595,132.573,1,1.064,141.224,86.518,44.304,1.034,0.879,0.095,4.296,1.539,42.19,12,0.772,6.024,0.943,3,1.548,3.596,9.371,5.445,-0.069,2.951,125.907,2
7.77,9,1.329,2,2,1,17,5.191,0.8,1,9,7.629,1,0.807,0.879,1,2,2,48.788,0.278,5,0.202,4,4,0.062,7,9,0.113,1,0.007,1.115,116.682,1.153,49.23,1.154,0.055,320.148,5.261,-0.037,1,2.398,4.595,170.105,1,1.064,147.054,86.518,46.362,0.985,0.91,0.097,4.328,1.539,42.19,12,0.735,5.503,0.98,3,1.524,3.656,9.465,5.493,-0.049,2.952,148.06,2
