pXC50,SRW09,D.Dtr05,nR05,SRW05,SRW07,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_EA.ed.,Eig01_AEA.ed.,SpMax_AEA.ed.,Eig03_AEA.dm.,P_VSA_s_3,SpMin6_Bh.i.,Eig02_EA.bo.,SM12_AEA.ri.,JGI7,SpMin7_Bh.e.,SsOH,GATS3p,SpMin5_Bh.p.,SpMin6_Bh.e.,SpMax1_Bh.m.,SpMin6_Bh.m.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,SpMax6_Bh.p.,P_VSA_i_1,S.107,SM15_EA.ri.,SpMin6_Bh.s.,SpDiam_AEA.bo.,SpMin7_Bh.m.,SpMAD_EA.dm.,P_VSA_MR_8,CATS2D_02_AL,CATS2D_06_AL,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SpMax5_Bh.i.,SpMin7_Bh.s.,MATS8v,SssO,nCb.,GATS1s,P_VSA_e_2,Eig01_AEA.ri.,SpMax_AEA.ri.,SdS,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,nDB,SM11_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SpMin5_Bh.e.,MATS3v,Eig06_AEA.ed.,SpMin5_Bh.i.
4.301,7.609,189.068,2,3.045,5.476,10.725,10.725,17.79,10.725,6.67,6.67,3.596,61.945,1.18,3.697,3.697,0.012,1.136,8.848,0.877,1.558,1.23,4.221,1.329,26.685,29.054,31.39,33.75,36.099,3.011,77.412,1,17.18,0.413,5.491,1.181,0.491,77.412,8,3,3.07,5.07,3.07,3.583,0.305,-0.122,0.0,3,0.629,210.947,4.145,4.145,5.357,19.735,21.985,24.376,4,12.831,15.0,16.102,1.311,0.03,4.92,1.297
4.046,7.644,174.239,2,3.045,5.476,12.949,12.949,20.949,12.949,7.311,7.311,3.555,69.333,1.024,4.521,4.521,0.018,0.976,0.0,0.898,1.483,1.005,4.743,1.181,28.733,31.28,33.812,36.358,38.898,3.115,37.085,1,18.365,0.227,5.72,1.118,0.123,31.278,9,8,3.34,5.34,3.34,3.387,0.218,-0.302,0.0,8,0.619,121.871,4.447,4.447,0.0,21.196,23.662,26.22,4,13.663,16.007,17.188,1.234,0.194,5.642,1.222
4.26,6.605,69.577,1,2.398,4.595,9.491,9.491,16.0,9.491,6.273,6.273,2.933,27.597,0.858,3.884,3.884,0.013,0.886,9.734,1.09,1.375,0.9,4.024,1.181,25.252,27.5,29.691,31.927,34.137,2.8,0.0,0,16.681,0.218,5.208,1.096,0.148,0.0,5,7,2.97,4.97,2.97,3.232,0.127,-0.03,5.091,5,0.744,114.29,3.994,3.994,0.0,18.734,20.817,23.097,1,12.454,14.564,15.639,1.084,-0.167,4.525,1.02
4.519,7.486,117.15,2,3.045,5.416,10.207,10.207,17.145,10.207,6.574,6.574,3.28,56.059,0.824,3.713,3.713,0.015,0.838,0.0,0.987,1.234,0.867,4.213,1.063,25.864,28.186,30.464,32.776,35.07,2.802,77.412,1,16.668,0.15,5.208,0.894,0.544,77.412,5,2,2.949,4.949,2.949,2.922,0.015,-0.071,0.0,2,0.567,175.981,4.045,4.045,5.09,19.091,21.269,23.618,3,12.422,14.544,15.619,1.061,-0.117,4.587,1.086
4.456,7.368,108.845,2,3.045,5.352,10.018,10.018,16.756,10.018,6.465,6.465,3.209,56.059,0.824,3.672,3.672,0.016,0.64,0.0,1.033,1.137,0.868,4.204,1.015,25.644,27.945,30.207,32.499,34.775,2.729,77.412,1,16.533,0.157,5.187,0.761,0.553,77.412,4,1,2.961,4.961,2.961,2.922,0.0,0.21,0.0,2,0.584,167.585,4.013,4.013,4.93,18.919,21.086,23.413,3,12.29,14.409,15.486,1.062,-0.057,4.133,1.084
4.301,0.0,0.0,0,0.0,0.0,10.849,10.849,18.062,10.849,6.695,6.695,3.265,64.975,1.184,3.872,3.872,0.009,1.039,0.0,1.03,1.616,1.237,4.16,1.457,26.656,29.034,31.377,33.747,36.103,3.146,32.22,1,17.525,0.668,5.539,1.208,0.257,32.22,5,6,3.122,5.122,3.122,3.521,0.333,-0.103,0.0,6,0.554,188.166,4.15,4.15,0.0,19.696,21.943,24.343,1,13.061,15.29,16.42,1.477,-0.002,5.19,1.442
4.284,0.0,0.0,0,0.0,0.0,10.345,10.345,17.296,10.345,6.537,6.537,2.985,56.335,1.048,3.616,3.616,0.012,0.944,0.0,1.033,1.41,1.096,4.118,1.291,25.738,28.084,30.392,32.732,35.056,3.009,32.22,1,16.437,0.391,5.383,1.181,0.254,32.22,5,7,2.96,4.96,2.96,3.346,0.225,-0.038,0.0,6,0.68,170.05,4.039,4.039,0.0,18.914,21.101,23.465,0,12.21,14.318,15.402,1.252,-0.131,4.882,1.208
4.222,6.555,63.944,1,2.398,4.595,10.906,10.906,18.103,10.906,6.709,6.709,3.067,61.174,1.125,3.91,3.91,0.014,1.004,0.0,1.022,1.501,1.194,4.342,1.279,26.526,28.9,31.24,33.61,35.969,2.978,31.278,1,17.32,0.467,5.455,1.168,0.124,70.426,5,7,3.137,5.137,3.137,3.314,0.239,-0.114,5.322,5,0.591,166.82,4.167,4.167,0.0,19.598,21.83,24.222,1,12.873,15.089,16.214,1.284,-0.09,4.954,1.293
4.222,6.555,71.334,1,2.398,4.595,10.887,10.887,18.04,10.887,6.704,6.704,3.076,67.002,1.384,3.87,3.87,0.013,1.235,0.0,0.905,1.635,1.401,4.342,1.525,26.738,29.111,31.452,33.819,36.173,3.25,31.278,1,17.472,0.623,5.562,1.319,0.106,70.426,7,5,3.131,5.131,3.131,3.552,0.543,-0.023,0.0,4,0.54,171.241,4.16,4.16,0.0,19.782,22.032,24.426,1,13.03,15.246,16.369,1.473,0.043,5.059,1.42
4.0,6.986,83.454,1,2.398,4.844,10.572,10.572,17.56,10.572,6.651,6.651,3.684,67.191,1.057,3.628,3.628,0.012,0.934,0.0,0.904,1.452,1.111,4.224,1.417,26.055,28.414,30.739,33.092,35.431,2.953,77.412,1,16.171,0.469,5.404,1.151,0.724,77.412,4,8,2.9,4.9,2.9,3.285,0.327,-0.123,5.119,3,0.538,167.081,4.071,4.071,5.252,19.16,21.381,23.762,4,12.024,14.092,15.147,1.243,-0.056,4.658,1.221
4.0,6.986,90.528,1,2.398,4.844,10.556,10.556,17.511,10.556,6.647,6.647,3.682,67.794,1.195,3.396,3.396,0.01,1.119,0.0,0.915,1.556,1.233,4.213,1.491,25.936,28.306,30.644,33.005,35.354,3.078,77.412,1,16.045,0.639,5.388,1.417,0.699,77.412,4,6,2.89,4.89,2.89,3.459,0.527,-0.062,5.161,1,0.531,186.636,4.061,4.061,5.348,18.987,21.233,23.624,4,11.903,13.968,15.027,1.404,-0.016,4.641,1.392
4.0,6.986,77.002,1,2.398,4.844,10.556,10.556,17.512,10.556,6.647,6.647,3.672,64.596,1.024,3.53,3.53,0.012,0.886,0.0,0.862,1.446,1.087,4.215,1.277,25.939,28.308,30.646,33.007,35.355,2.921,77.412,1,16.057,0.512,5.378,1.181,0.718,77.412,4,5,2.89,4.89,2.89,3.273,0.218,-0.101,4.599,2,0.514,168.053,4.061,4.061,5.302,18.997,21.239,23.629,4,11.908,13.977,15.037,1.244,0.062,4.626,1.216
6.252,7.368,115.2,2,3.045,5.352,10.382,10.382,17.495,10.382,6.597,6.597,3.42,59.559,0.827,3.735,3.735,0.015,0.639,0.0,1.005,1.135,0.847,4.208,0.939,25.963,28.301,30.594,32.924,35.235,2.757,77.412,1,16.583,0.08,5.243,0.738,0.529,77.412,4,1,2.97,4.97,2.97,2.917,0.0,0.128,0.0,3,0.591,161.609,4.052,4.052,4.93,19.153,21.342,23.704,3,12.332,14.454,15.533,1.06,-0.032,4.362,1.084
4.0,6.986,54.55,1,2.398,4.844,10.53,10.53,17.486,10.53,6.644,6.644,3.389,50.767,0.808,3.695,3.695,0.022,0.393,9.48,0.891,1.004,0.804,4.221,0.889,26.12,28.475,30.786,33.131,35.458,2.697,77.412,1,16.214,0.0,5.291,0.709,0.625,77.412,2,0,2.894,4.894,2.894,2.918,0.0,-0.022,0.0,4,0.716,133.213,4.065,4.065,5.117,19.25,21.46,23.842,3,12.049,14.129,15.185,0.849,0.082,4.629,0.827
4.347,6.986,92.204,1,2.398,4.844,10.558,10.558,17.519,10.558,6.648,6.648,3.596,72.428,1.169,3.677,3.677,0.014,1.173,8.667,0.821,1.564,1.187,4.214,1.461,26.12,28.471,30.79,33.136,35.469,3.085,77.412,1,16.348,0.562,5.384,1.335,0.711,77.412,6,5,2.902,4.902,2.902,3.448,0.524,-0.057,11.038,3,0.652,175.233,4.065,4.065,5.336,19.234,21.458,23.83,4,12.184,14.263,15.321,1.399,0.124,4.637,1.392
4.0,6.986,81.193,1,2.398,4.844,10.556,10.556,17.512,10.556,6.647,6.647,3.596,58.0,1.169,3.584,3.584,0.013,0.934,8.635,0.87,1.503,1.175,4.213,1.417,25.992,28.351,30.68,33.034,35.377,3.019,77.412,1,16.395,0.523,5.374,1.301,0.661,77.412,3,5,2.898,4.898,2.898,3.424,0.469,-0.044,0.0,2,0.636,168.223,4.062,4.062,5.318,19.09,21.318,23.695,4,12.241,14.315,15.371,1.336,0.03,4.638,1.314
6.201,7.368,118.365,2,3.045,5.352,9.436,9.436,15.891,9.436,6.248,6.248,3.32,59.559,0.824,3.737,3.737,0.017,0.628,0.0,1.074,1.131,0.867,4.206,0.963,25.247,27.495,29.688,31.922,34.132,2.769,77.412,1,16.458,0.132,5.16,0.713,0.529,77.412,4,2,2.942,4.942,2.942,2.922,0.0,-0.141,0.0,3,0.594,161.609,3.978,3.978,4.93,18.721,20.808,23.089,3,12.248,14.35,15.42,1.056,-0.134,4.293,1.085
5.875,7.368,110.261,2,3.045,5.352,9.37,9.37,15.758,9.37,6.219,6.219,3.147,56.059,0.824,3.642,3.642,0.014,0.649,0.0,1.101,1.136,0.867,4.203,1.031,25.123,27.37,29.567,31.8,34.012,2.729,77.412,1,16.431,0.15,5.136,0.821,0.553,77.412,4,1,2.938,4.938,2.938,2.922,0.0,-0.044,0.0,2,0.586,167.585,3.963,3.963,4.93,18.582,20.678,22.958,3,12.219,14.322,15.393,1.061,-0.152,4.216,1.084
5.26,7.368,116.617,2,3.045,5.352,9.454,9.454,15.88,9.454,6.239,6.239,3.174,59.559,0.827,3.698,3.698,0.013,0.647,0.0,1.169,1.134,0.849,4.205,1.0,25.206,27.461,29.661,31.902,34.119,2.753,77.412,1,16.466,0.105,5.156,0.819,0.529,77.412,4,1,2.944,4.944,2.944,2.918,0.0,-0.141,0.0,3,0.596,161.609,3.979,3.979,4.93,18.662,20.752,23.041,3,12.25,14.355,15.427,1.059,-0.248,4.618,1.084
5.155,6.986,105.571,1,2.398,4.844,10.558,10.558,17.519,10.558,6.648,6.648,3.596,80.032,1.347,3.677,3.677,0.013,1.187,8.699,0.828,1.666,1.386,4.214,1.582,26.12,28.471,30.79,33.136,35.469,3.228,77.412,1,16.348,0.645,5.384,1.465,0.644,77.412,6,6,2.902,4.902,2.902,3.511,0.594,-0.091,11.317,3,0.641,182.837,4.065,4.065,5.366,19.234,21.458,23.83,4,12.184,14.263,15.323,1.456,0.12,4.638,1.414
4.699,7.506,185.59,2,3.045,5.416,11.748,11.748,19.04,11.748,7.121,7.121,3.688,62.596,1.131,3.95,3.95,0.014,1.061,9.126,0.951,1.508,1.12,4.226,1.235,27.652,30.096,32.525,34.969,37.408,3.004,77.412,1,17.417,0.256,5.425,1.203,0.658,77.412,8,4,3.026,5.026,3.026,3.344,0.236,-0.092,0.0,4,0.647,219.786,4.223,4.223,5.21,20.429,22.79,25.243,4,13.109,15.26,16.349,1.272,-0.061,5.258,1.273
4.0,7.002,61.709,1,2.398,4.844,11.323,11.323,18.496,11.323,6.859,6.859,3.361,49.661,0.821,3.613,3.613,0.014,0.886,0.0,0.899,1.262,0.886,4.221,1.181,26.713,29.147,31.558,33.987,36.407,2.735,77.412,1,16.515,0.218,5.374,1.141,0.593,77.412,5,4,2.981,4.981,2.981,3.099,0.218,-0.244,5.133,3,0.568,200.498,4.152,4.152,5.35,19.548,21.876,24.326,3,12.246,14.375,15.461,1.13,-0.013,4.455,1.071
4.0,7.002,74.396,1,2.398,4.844,11.323,11.323,18.496,11.323,6.859,6.859,3.361,52.846,1.071,3.711,3.711,0.016,0.934,0.0,0.915,1.467,1.129,4.222,1.417,26.741,29.168,31.573,33.998,36.415,2.956,77.412,1,16.756,0.469,5.375,1.181,0.527,77.412,5,4,2.983,4.983,2.983,3.3,0.31,-0.045,5.159,4,0.598,211.858,4.152,4.152,5.405,19.614,21.924,24.363,3,12.516,14.631,15.707,1.263,-0.024,4.923,1.263
4.0,7.002,74.396,1,2.398,4.844,11.323,11.323,18.496,11.323,6.859,6.859,3.361,52.417,1.071,3.711,3.711,0.016,0.934,0.0,0.96,1.466,1.129,4.222,1.417,26.741,29.168,31.573,33.998,36.415,2.955,77.412,1,16.646,0.469,5.375,1.181,0.586,77.412,7,4,2.982,4.982,2.982,3.3,0.31,-0.019,5.156,4,0.594,210.571,4.152,4.152,5.398,19.614,21.924,24.363,3,12.412,14.523,15.598,1.26,-0.094,4.923,1.246
4.0,7.002,56.653,1,2.398,4.844,11.321,11.321,18.492,11.321,6.858,6.858,3.359,44.417,0.821,3.66,3.66,0.013,0.82,9.478,0.908,1.136,0.883,4.221,1.136,26.712,29.146,31.557,33.986,36.406,2.746,77.412,1,16.522,0.158,5.368,0.963,0.544,77.412,3,3,2.978,4.978,2.978,2.968,0.059,-0.193,0.0,3,0.722,184.372,4.149,4.149,5.296,19.546,21.874,24.325,3,12.251,14.382,15.468,0.886,-0.027,4.457,0.841
4.301,7.002,71.193,1,2.398,4.844,11.489,11.489,19.021,11.489,6.884,6.884,3.366,59.953,1.154,3.867,3.867,0.016,1.13,0.0,0.85,1.509,1.195,4.242,1.391,27.439,29.88,32.293,34.728,37.152,3.091,77.412,1,17.885,0.467,5.606,1.226,0.418,77.412,5,8,3.237,5.237,3.237,3.326,0.323,-0.002,5.215,7,0.57,248.695,4.253,4.253,5.542,20.255,22.589,25.049,3,13.315,15.593,16.746,1.277,0.019,5.289,1.27
6.06,7.002,73.049,1,2.398,4.844,11.341,11.341,18.632,11.341,6.862,6.862,3.363,60.05,1.1,3.87,3.87,0.016,1.128,0.0,0.871,1.525,1.158,4.23,1.432,27.2,29.623,32.02,34.437,36.843,2.96,77.412,1,17.463,0.528,5.504,1.192,0.514,77.412,7,6,3.12,5.12,3.12,3.342,0.312,0.026,10.635,6,0.595,231.247,4.182,4.182,5.465,20.064,22.383,24.826,3,13.014,15.235,16.358,1.275,0.017,4.932,1.269
4.301,7.002,82.829,1,2.398,4.844,11.324,11.324,18.5,11.324,6.859,6.859,3.362,56.629,1.224,3.703,3.703,0.016,1.161,0.0,0.77,1.584,1.22,4.223,1.454,26.783,29.204,31.604,34.024,36.437,3.112,77.412,1,16.689,0.549,5.379,1.181,0.546,77.412,9,4,2.986,4.986,2.986,3.407,0.358,0.011,5.17,4,0.595,215.641,4.154,4.154,5.459,19.678,21.982,24.413,3,12.457,14.567,15.642,1.351,0.139,4.96,1.256
6.06,7.002,68.286,1,2.398,4.844,11.323,11.323,18.497,11.323,6.859,6.859,3.361,49.661,0.822,3.824,3.824,0.015,0.837,19.0,0.927,1.314,0.886,4.222,1.164,26.764,29.189,31.591,34.013,36.428,2.771,77.412,1,16.692,0.218,5.375,1.079,0.547,77.412,4,3,2.984,4.984,2.984,3.132,0.158,-0.392,5.069,5,0.839,181.546,4.153,4.153,5.295,19.646,21.952,24.391,3,12.441,14.561,15.64,1.182,-0.081,4.853,1.112
4.861,7.002,70.142,1,2.398,4.844,11.323,11.323,18.496,11.323,6.859,6.859,3.361,52.846,1.038,3.699,3.699,0.015,0.886,0.0,0.941,1.354,1.043,4.222,1.181,26.718,29.151,31.56,33.989,36.408,2.859,77.412,1,16.607,0.218,5.374,1.181,0.547,77.412,6,5,2.982,4.982,2.982,3.238,0.218,-0.256,5.127,4,0.522,205.632,4.152,4.152,5.343,19.566,21.887,24.334,4,12.366,14.48,15.559,1.13,-0.075,4.92,1.073
4.602,7.002,64.134,1,2.398,4.844,11.327,11.327,18.511,11.327,6.86,6.86,3.364,51.418,0.821,3.807,3.807,0.016,0.799,9.353,0.938,1.062,0.869,4.232,1.096,26.766,29.193,31.595,34.018,36.433,2.773,77.412,1,16.583,0.169,5.382,0.851,0.5,77.412,3,6,2.984,4.984,2.984,2.925,0.0,-0.216,0.0,5,0.715,172.42,4.155,4.155,5.29,19.641,21.949,24.391,3,12.321,14.447,15.53,0.886,-0.076,4.853,0.824
7.476,7.002,60.831,1,2.398,4.844,11.321,11.321,18.493,11.321,6.858,6.858,3.359,44.417,0.821,3.79,3.79,0.015,0.82,18.832,0.92,1.137,0.883,4.221,1.135,26.737,29.166,31.571,33.997,36.414,2.746,77.412,1,16.636,0.156,5.37,0.936,0.521,77.412,3,3,2.98,4.98,2.98,2.968,0.0,-0.236,0.0,4,0.832,174.896,4.15,4.15,5.277,19.6,21.914,24.358,3,12.376,14.502,15.584,0.886,-0.054,4.486,0.842
6.06,7.486,123.838,2,3.045,5.416,10.219,10.219,17.163,10.219,6.575,6.575,3.283,59.559,0.824,3.759,3.759,0.02,0.837,0.0,0.976,1.232,0.868,4.216,1.072,26.17,28.508,30.801,33.127,35.433,2.823,77.412,1,16.766,0.154,5.24,0.804,0.521,77.412,5,3,2.971,4.971,2.971,2.922,0.012,0.069,0.0,3,0.57,170.005,4.058,4.058,5.09,19.335,21.538,23.904,3,12.497,14.63,15.71,1.058,-0.112,4.679,1.086
6.06,7.486,123.506,2,3.045,5.416,10.207,10.207,17.146,10.207,6.574,6.574,3.28,59.559,0.827,3.749,3.749,0.014,0.838,0.0,1.037,1.232,0.849,4.215,1.0,25.905,28.228,30.504,32.816,35.108,2.849,77.412,1,16.696,0.105,5.214,0.891,0.521,77.412,5,2,2.954,4.954,2.954,2.918,0.015,-0.116,0.0,3,0.572,170.005,4.047,4.047,5.09,19.141,21.311,23.662,3,12.447,14.57,15.646,1.059,-0.197,4.618,1.086
6.06,7.486,125.254,2,3.045,5.416,10.207,10.207,17.145,10.207,6.574,6.574,3.28,59.244,0.919,3.773,3.773,0.018,0.867,0.0,0.973,1.31,0.944,4.213,1.111,25.925,28.243,30.515,32.824,35.113,2.872,77.412,1,16.762,0.175,5.215,1.016,0.521,77.412,5,3,2.961,4.961,2.961,3.164,0.08,-0.101,0.0,3,0.572,178.515,4.047,4.047,5.102,19.177,21.343,23.688,3,12.524,14.64,15.714,1.157,-0.141,4.597,1.137
4.0,7.391,110.261,2,3.045,5.352,11.338,11.338,18.532,11.338,6.861,6.861,3.367,55.802,0.804,3.632,3.632,0.009,0.711,0.0,0.853,1.14,0.86,4.222,1.042,26.727,29.163,31.575,34.005,36.427,2.733,77.412,1,16.529,0.131,5.377,0.794,0.568,77.412,6,3,2.984,4.984,2.984,2.955,0.0,-0.281,0.0,2,0.53,179.067,4.155,4.155,5.19,19.555,21.884,24.338,3,12.255,14.386,15.469,1.046,0.05,4.386,1.072
4.0,6.986,103.023,1,2.398,4.844,10.558,10.558,17.518,10.558,6.648,6.648,3.596,71.021,1.169,3.672,3.672,0.013,1.18,8.698,0.943,1.564,1.189,4.214,1.473,26.06,28.413,30.732,33.081,35.417,3.13,77.412,1,16.476,0.611,5.382,1.396,0.59,77.412,6,5,2.908,4.908,2.908,3.457,0.538,-0.057,5.923,4,0.641,210.325,4.065,4.065,5.371,19.192,21.403,23.774,4,12.331,14.4,15.458,1.428,-0.026,4.66,1.412
4.0,0.0,0.0,0,0.0,0.0,9.265,9.265,15.758,9.265,6.218,6.218,3.025,21.584,0.803,3.839,3.839,0.027,0.446,18.466,1.108,1.032,0.8,4.094,0.866,24.886,27.119,29.283,31.501,33.686,2.745,0.0,0,15.913,0.0,5.11,0.73,0.23,0.0,3,0,2.848,4.848,2.848,2.922,0.0,0.289,5.396,6,0.884,78.441,3.926,3.926,0.0,18.44,20.491,22.76,1,11.829,13.868,14.915,0.869,-0.174,4.047,0.824
5.553,0.0,0.0,0,0.0,0.0,9.446,9.446,15.988,9.446,6.263,6.263,3.04,23.544,0.824,3.9,3.9,0.02,0.868,10.17,1.043,1.146,0.883,4.039,1.141,25.221,27.467,29.656,31.889,34.095,2.756,0.0,0,16.325,0.169,5.138,1.053,0.232,0.0,5,3,2.91,4.91,2.91,2.981,0.087,0.376,5.627,6,0.731,134.051,3.96,3.96,0.0,18.703,20.786,23.067,0,12.17,14.244,15.307,0.886,-0.1,4.247,0.842
6.699,0.0,0.0,0,0.0,0.0,9.18,9.18,15.64,9.18,6.189,6.189,2.739,20.674,0.801,3.799,3.799,0.029,0.465,9.704,1.131,1.027,0.812,4.093,0.907,24.645,26.882,29.042,31.26,33.441,2.745,0.0,0,15.368,0.014,5.075,0.754,0.096,0.0,2,0,2.745,4.745,2.745,2.922,0.0,0.021,5.509,6,0.894,86.356,3.879,3.879,0.0,18.211,20.249,22.527,0,11.401,13.384,14.414,0.87,-0.225,4.037,0.824
6.155,0.0,0.0,0,0.0,0.0,9.446,9.446,15.988,9.446,6.263,6.263,3.04,23.115,0.838,3.9,3.9,0.02,0.867,10.157,1.035,1.15,0.883,4.039,1.124,25.221,27.467,29.656,31.889,34.095,2.788,0.0,0,16.211,0.144,5.138,1.044,0.232,0.0,6,1,2.883,4.883,2.883,3.001,0.063,0.352,5.619,6,0.737,134.051,3.955,3.955,0.0,18.703,20.786,23.067,0,12.09,14.148,15.205,0.93,-0.073,4.247,0.899
4.481,0.0,0.0,0,0.0,0.0,9.443,9.443,15.981,9.443,6.263,6.263,2.791,23.859,0.824,3.867,3.867,0.021,0.796,10.145,1.063,1.118,0.869,4.096,1.101,25.195,27.443,29.632,31.866,34.072,2.748,0.0,0,16.204,0.141,5.133,0.991,0.072,0.0,4,1,2.906,4.906,2.906,2.969,0.013,0.295,5.63,6,0.869,117.764,3.958,3.958,0.0,18.674,20.758,23.041,0,12.04,14.119,15.187,0.883,-0.127,4.235,0.839
6.854,0.0,0.0,0,0.0,0.0,9.443,9.443,15.981,9.443,6.263,6.263,2.791,23.859,0.824,3.867,3.867,0.021,0.869,10.165,1.034,1.12,0.883,4.096,1.119,25.195,27.443,29.632,31.866,34.072,2.749,0.0,0,16.232,0.172,5.133,1.099,0.072,0.0,2,2,2.912,4.912,2.912,2.969,0.138,0.326,5.645,7,0.869,128.098,3.959,3.959,0.0,18.674,20.758,23.041,0,12.059,14.142,15.215,0.886,-0.09,4.235,0.839
6.538,0.0,0.0,0,0.0,0.0,9.205,9.205,15.679,9.205,6.194,6.194,2.771,25.743,0.839,3.808,3.808,0.021,0.869,10.09,1.029,1.243,0.883,4.094,1.136,24.731,26.964,29.121,31.337,33.517,2.796,0.0,0,15.659,0.172,5.126,1.102,0.078,0.0,2,1,2.79,4.79,2.79,3.085,0.162,0.161,5.641,6,0.851,100.251,3.895,3.895,0.0,18.318,20.347,22.618,0,11.666,13.66,14.693,1.005,-0.053,4.26,0.949
4.0,6.293,61.955,1,2.398,4.443,9.446,9.446,15.988,9.446,6.264,6.264,2.797,23.002,0.824,3.869,3.869,0.022,0.81,10.017,1.173,1.135,0.869,4.095,1.099,25.199,27.447,29.636,31.87,34.077,2.746,0.0,0,16.025,0.0,5.138,0.855,0.075,0.0,4,0,2.868,4.868,2.868,2.969,0.0,0.43,5.562,6,0.878,79.859,3.951,3.951,0.0,18.676,20.761,23.045,0,11.917,13.968,15.022,0.883,-0.177,4.237,0.839
6.357,0.0,0.0,0,0.0,0.0,9.2,9.2,15.669,9.2,6.193,6.193,2.763,31.463,0.839,3.807,3.807,0.015,0.883,10.22,1.049,1.23,0.886,4.095,1.181,24.732,26.959,29.114,31.326,33.505,2.82,0.0,0,15.677,0.218,5.181,1.137,0.064,0.0,2,1,2.771,4.771,2.771,3.101,0.172,0.044,5.683,7,0.821,135.702,3.889,3.889,0.0,18.337,20.36,22.623,0,11.72,13.698,14.738,1.039,-0.08,4.27,0.997
7.119,0.0,0.0,0,0.0,0.0,9.2,9.2,15.67,9.2,6.193,6.193,2.794,28.928,0.839,3.808,3.808,0.02,0.883,10.201,1.073,1.142,0.886,4.095,1.147,24.735,26.962,29.116,31.329,33.507,2.789,0.0,0,15.692,0.218,5.143,1.112,0.066,0.0,2,1,2.776,4.776,2.776,2.994,0.172,-0.006,5.672,7,0.833,133.167,3.89,3.89,0.0,18.34,20.362,22.626,0,11.725,13.708,14.749,0.912,-0.118,4.269,0.893
7.31,0.0,0.0,0,0.0,0.0,9.197,9.197,15.664,9.197,6.193,6.193,3.044,20.674,0.79,3.823,3.823,0.027,0.41,9.684,1.127,1.023,0.796,4.094,0.842,24.689,26.924,29.084,31.302,33.484,2.745,0.0,0,15.463,0.0,5.09,0.643,0.305,0.0,3,0,2.763,4.763,2.763,2.922,0.0,0.434,5.444,6,0.76,94.133,3.887,3.887,0.0,18.257,20.296,22.569,0,11.478,13.469,14.502,0.869,-0.171,4.039,0.824
4.678,0.0,0.0,0,0.0,0.0,9.265,9.265,15.758,9.265,6.218,6.218,3.022,25.378,0.818,3.839,3.839,0.027,0.574,9.745,1.091,1.054,0.828,4.094,0.955,24.886,27.119,29.283,31.501,33.686,2.746,0.0,0,15.995,0.0,5.11,0.794,0.184,0.0,3,0,2.865,4.865,2.865,2.951,0.0,0.219,5.437,6,0.869,82.236,3.929,3.929,0.0,18.44,20.491,22.76,1,11.889,13.938,14.989,0.87,-0.168,4.047,0.824
6.194,0.0,0.0,0,0.0,0.0,9.207,9.207,15.683,9.207,6.194,6.194,2.881,25.965,0.832,3.815,3.815,0.019,0.842,10.162,1.051,1.135,0.871,4.095,1.103,24.775,27.004,29.157,31.369,33.546,2.773,0.0,0,15.706,0.158,5.105,1.086,0.123,0.0,5,0,2.793,4.793,2.793,2.969,0.119,0.139,5.644,6,0.853,120.299,3.897,3.897,0.0,18.377,20.4,22.667,0,11.71,13.707,14.748,0.883,-0.139,4.265,0.839
6.076,0.0,0.0,0,0.0,0.0,9.207,9.207,15.683,9.207,6.194,6.194,2.881,26.394,0.832,3.815,3.815,0.019,0.841,10.166,1.138,1.135,0.871,4.095,1.103,24.775,27.004,29.157,31.369,33.546,2.773,0.0,0,15.762,0.156,5.105,1.04,0.123,0.0,4,2,2.799,4.799,2.799,2.969,0.078,0.197,5.647,6,0.845,120.299,3.898,3.898,0.0,18.377,20.4,22.667,0,11.758,13.758,14.8,0.883,-0.21,4.265,0.839
6.959,0.0,0.0,0,0.0,0.0,9.197,9.197,15.664,9.197,6.193,6.193,2.749,23.208,0.824,3.806,3.806,0.027,0.675,9.835,0.998,1.078,0.862,4.094,1.07,24.689,26.924,29.084,31.302,33.484,2.746,0.0,0,15.476,0.133,5.082,0.862,0.091,0.0,2,1,2.765,4.765,2.765,2.967,0.0,0.018,5.554,6,0.87,88.891,3.887,3.887,0.0,18.257,20.296,22.569,0,11.488,13.48,14.514,0.88,-0.03,4.039,0.839
6.638,0.0,0.0,0,0.0,0.0,9.485,9.485,16.041,9.485,6.272,6.272,2.842,27.045,0.839,3.877,3.877,0.022,0.869,10.235,1.087,1.158,0.883,4.097,1.124,25.249,27.502,29.693,31.931,34.142,2.807,0.0,0,16.371,0.172,5.144,1.101,0.069,0.0,2,2,2.935,4.935,2.935,3.041,0.141,0.223,5.669,8,0.871,130.632,3.973,3.973,0.0,18.727,20.806,23.095,0,12.185,14.274,15.347,0.971,-0.174,4.354,0.947
