pXC50,ATSC1e,ATSC2s,CATS2D_04_DA,SsssCH,CATS2D_07_PL,AECC,ATS1m,ATS2m,ATS3s,ATS4s,ATS5s,ATS6s,ATSC1s,ATSC3e,ATSC3p,ATSC3s,ATSC4p,ATSC4s,ATSC5e,ATSC5m,ATSC5p,ATSC5s,ATSC6e,ATSC6m,ATSC6p,ATSC6s,ATSC7s,ATSC8e,BAC,C.001,C.008,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DP,CATS2D_05_DA,CATS2D_05_DP,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_07_DD,CATS2D_08_AA,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_PL,CATS2D_09_AP,CATS2D_09_DD,CATS2D_09_DL,DBI,DECC,DELS,DLS_cons,Eig05_AEA.dm.,Eig06_AEA.dm.,Eig06_EA.dm.,Eig07_AEA.dm.,Eig07_EA.dm.,Eig08_AEA.dm.,Eig08_EA.dm.,Eig09_AEA.dm.,Eig09_AEA.ed.,Eig09_EA.dm.
5.179,0.147,159.453,5,0.0,0,11.065,3.716,4.155,5.825,5.964,6.009,6.02,21.756,0.544,9.039,47.714,9.144,53.832,0.759,26.511,7.646,79.287,0.713,23.655,7.662,59.83,75.377,0.721,12.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,3.536,1.619,37.666,0.84,2.559,2.254,0.0,1.928,0.0,1.769,0.0,1.446,3.588,0.0
5.471,0.085,88.555,4,-2.843,0,11.733,3.679,4.043,5.795,5.88,5.911,5.812,13.719,0.406,9.034,37.457,9.1,47.866,0.557,26.459,7.729,60.281,0.448,24.026,7.552,48.489,42.353,0.428,7.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.082,1.751,29.408,0.84,2.548,2.283,0.0,1.948,0.0,1.772,0.0,1.445,3.588,0.0
5.382,0.085,88.566,5,-2.869,0,10.967,3.679,4.043,5.79,5.891,5.908,5.922,13.719,0.406,9.034,37.351,9.118,47.761,0.561,26.562,7.582,59.726,0.539,24.256,7.629,50.099,54.662,0.582,7.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,3.082,1.573,30.066,0.84,2.527,2.241,0.0,1.923,0.0,1.768,0.0,1.446,3.588,0.0
5.433,0.019,29.082,4,0.0,0,11.067,3.696,4.041,5.782,5.779,5.692,5.708,6.938,0.228,9.938,28.468,9.579,37.743,0.364,27.233,7.943,32.812,0.338,25.052,7.371,30.989,31.663,0.308,0.0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2.646,1.604,19.379,0.86,2.463,2.093,0.0,1.991,0.0,1.8,0.0,1.743,3.589,0.0
5.063,0.034,23.403,4,0.0,0,10.862,3.641,3.976,5.893,5.875,5.806,5.763,6.521,0.435,9.08,45.159,9.095,48.409,0.465,26.772,7.696,51.229,0.303,24.066,7.472,35.823,34.152,0.451,6.0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.646,1.541,25.31,0.84,2.315,2.142,0.0,1.941,0.0,1.771,0.0,1.445,3.588,0.0
5.469,0.044,27.203,3,0.0,0,12.719,3.754,4.093,5.875,5.897,5.879,5.846,9.44,0.359,10.973,29.049,11.692,36.363,0.375,35.751,11.51,36.217,0.355,35.52,10.265,31.485,34.407,0.241,3.0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.55,1.906,16.778,0.86,2.66,2.207,0.0,1.973,0.0,1.761,0.0,1.496,4.166,0.0
6.032,0.019,28.373,5,0.0,0,11.379,3.645,3.966,5.755,5.766,5.712,5.713,9.323,0.261,8.465,29.365,8.735,38.218,0.338,26.378,7.916,34.215,0.253,25.635,7.98,30.085,34.069,0.356,9.0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2.828,1.634,17.955,0.9,2.569,2.234,0.0,1.903,0.0,1.728,0.0,1.295,3.496,0.0
5.095,0.019,28.262,4,0.0,0,11.828,3.645,3.966,5.76,5.755,5.696,5.666,9.323,0.261,8.465,30.053,8.717,37.512,0.349,26.179,8.064,34.468,0.207,25.213,7.871,26.766,35.212,0.224,9.0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.828,1.707,17.777,0.9,2.603,2.263,0.0,1.915,0.0,1.729,0.0,1.133,3.414,0.0
4.903,0.105,98.239,2,-2.515,0,12.909,3.772,4.131,5.921,5.994,6.029,5.901,15.24,0.5,10.284,46.237,10.978,53.395,0.702,32.95,9.186,72.381,0.511,28.125,8.321,55.279,46.766,0.536,15.0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.464,1.862,34.292,0.87,2.664,2.524,0.302,2.305,0.0,1.974,0.0,1.899,4.387,0.0
6.114,0.105,98.263,3,-2.559,0,12.182,3.772,4.131,5.917,6.003,6.027,6.002,15.24,0.5,10.284,46.061,10.996,53.339,0.706,33.086,9.037,71.127,0.601,28.431,8.415,58.278,57.54,0.69,15.0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,3.464,1.774,34.972,0.87,2.666,2.5,0.302,2.264,0.0,1.969,0.0,1.874,4.35,0.0
5.975,0.167,173.149,2,0.302,0,13.029,3.806,4.234,5.951,6.06,6.125,5.969,23.175,0.641,10.29,57.5,11.003,60.407,0.896,33.345,9.245,89.078,0.694,28.053,8.361,76.032,50.17,0.697,22.0,0,1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.873,1.917,41.733,0.87,2.671,2.558,0.394,2.315,0.0,1.975,0.0,1.902,4.738,0.0
5.757,0.044,31.22,3,0.412,0,11.581,3.701,4.017,5.86,5.865,5.825,5.798,11.056,0.316,10.272,35.67,10.946,40.971,0.418,31.905,8.921,41.766,0.299,28.414,8.361,35.987,38.034,0.449,9.0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,3.0,1.686,19.532,0.89,2.569,2.307,0.0,1.975,0.0,1.903,0.0,1.442,3.587,0.0
6.26,0.167,173.155,3,0.279,0,12.294,3.806,4.234,5.947,6.069,6.117,6.093,23.175,0.641,10.29,57.533,11.021,60.312,0.907,33.423,9.095,91.272,0.784,28.205,8.442,71.168,74.592,0.837,22.0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,0,3.873,1.841,42.654,0.87,2.67,2.525,0.394,2.278,0.0,1.97,0.0,1.88,4.688,0.0
5.717,0.104,148.387,3,0.0,0,13.184,3.931,4.345,6.178,6.409,6.311,6.372,18.855,0.603,12.575,50.898,13.641,104.159,0.803,44.955,13.831,85.286,1.074,46.89,12.939,126.7,115.359,0.753,21.0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.606,2.055,49.298,0.76,2.897,2.662,0.4,2.224,0.0,2.116,0.0,1.793,4.444,0.0
5.682,0.054,144.181,3,0.0,0,12.132,3.921,4.349,6.189,6.434,6.332,6.404,16.701,0.427,13.472,43.749,14.667,104.111,0.677,47.545,14.384,80.104,0.91,48.758,13.765,118.62,113.481,0.662,27.0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.536,1.868,47.211,0.76,2.949,2.489,0.0,2.301,0.0,2.144,0.0,1.867,4.49,0.0
5.693,0.168,152.109,3,0.0,0,13.231,3.96,4.383,6.286,6.489,6.39,6.427,23.738,0.896,12.631,75.716,13.685,119.683,1.1,45.599,13.916,121.023,1.303,46.46,12.939,151.546,135.145,1.061,30.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.674,2.055,60.466,0.76,2.95,2.695,0.4,2.233,0.0,2.147,0.0,2.084,4.448,0.0
6.252,0.122,147.177,3,0.0,0,12.132,3.927,4.361,6.245,6.493,6.343,6.426,22.071,0.648,12.903,62.65,13.755,130.613,0.888,45.283,13.879,103.78,1.185,46.224,12.944,146.52,130.243,1.016,27.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.536,1.868,57.4,0.76,2.95,2.628,0.0,2.224,0.0,2.121,0.0,1.809,4.451,0.0
5.928,0.055,26.702,3,0.0,0,11.4,3.663,3.998,5.827,5.857,5.814,5.787,10.205,0.259,10.236,30.003,11.316,37.813,0.319,32.108,9.998,36.213,0.344,30.677,8.325,35.035,34.626,0.313,11.0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.739,1.6,16.198,0.84,2.499,2.281,0.0,2.003,0.0,1.78,0.0,1.551,4.116,0.0
6.357,0.055,26.702,3,0.0,0,11.0,3.663,3.998,5.827,5.859,5.81,5.796,10.205,0.259,10.236,29.836,11.293,38.257,0.352,32.389,9.747,36.008,0.298,29.562,8.46,33.464,38.117,0.28,11.0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.739,1.6,16.257,0.84,2.47,2.309,0.0,2.032,0.0,1.782,0.0,1.514,4.149,0.0
6.42,0.179,167.493,4,0.0,0,12.182,3.783,4.214,5.898,6.036,6.091,6.078,22.259,0.635,9.399,49.316,10.343,50.755,0.883,31.554,9.205,86.83,0.863,27.767,7.871,72.884,77.005,0.764,22.0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3.742,1.846,41.11,0.84,2.707,2.521,0.394,2.202,0.0,1.884,0.0,1.765,4.358,0.0
6.481,0.179,167.474,3,0.0,0,12.909,3.783,4.214,5.902,6.027,6.1,5.953,22.259,0.635,9.399,49.281,10.325,50.774,0.869,31.51,9.354,83.594,0.783,27.694,7.796,79.956,50.415,0.638,22.0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.742,1.917,40.199,0.84,2.705,2.557,0.394,2.241,0.0,1.903,0.0,1.767,4.359,0.0
6.108,0.13,141.96,3,0.0,0,12.125,3.745,4.165,6.0,6.102,5.939,5.851,20.268,0.523,9.73,45.793,10.622,79.275,0.716,30.085,8.764,79.6,0.63,24.807,7.057,51.078,56.681,0.604,21.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.606,1.836,41.836,0.78,2.657,2.344,0.0,2.048,0.0,1.816,0.0,1.744,4.357,0.0
6.268,0.112,95.14,4,-2.879,0,12.063,3.748,4.109,5.867,5.968,5.999,5.987,14.611,0.496,9.39,39.417,10.312,46.743,0.671,31.364,9.148,66.601,0.678,28.076,7.845,59.59,58.351,0.619,15.0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,3.317,1.762,33.465,0.86,2.693,2.492,0.302,2.191,0.0,1.88,0.0,1.764,4.333,0.0
6.367,0.055,28.737,3,0.0,0,11.935,3.713,4.045,5.962,5.954,5.906,5.838,7.179,0.521,9.433,47.263,10.283,48.63,0.56,31.355,9.268,57.355,0.431,27.62,7.685,41.812,38.784,0.483,14.0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915,1.688,28.671,0.9,2.614,2.265,0.0,2.133,0.0,1.895,0.0,1.766,4.161,0.0
5.714,0.115,144.013,3,0.0,0,12.273,3.772,4.183,6.024,6.116,6.016,6.064,20.044,0.477,10.608,46.764,11.303,82.65,0.615,31.965,9.634,70.097,0.973,31.776,7.989,100.775,56.824,0.633,21.0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3.742,1.934,43.187,0.75,2.698,2.452,0.0,2.064,0.0,1.881,0.0,1.775,4.365,0.0
6.009,0.024,27.3,3,0.0,0,11.4,3.671,4.014,5.89,5.888,5.869,5.785,7.22,0.301,9.686,38.064,10.322,41.786,0.462,31.046,9.246,52.599,0.327,27.365,7.65,36.096,42.535,0.326,11.0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.739,1.6,24.929,0.84,2.652,2.381,0.0,2.016,0.0,1.78,0.0,1.551,4.116,0.0
6.42,0.024,25.475,3,0.0,0,11.0,3.671,4.014,5.906,5.961,5.83,5.835,7.332,0.278,9.69,35.652,10.355,57.917,0.377,30.733,9.248,43.84,0.366,27.382,7.635,42.589,35.957,0.489,11.0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.739,1.6,25.695,0.84,2.575,2.257,0.0,1.94,0.0,1.773,0.0,1.523,3.87,0.0
5.379,0.064,24.371,3,0.0,0,11.433,3.713,4.078,5.954,5.839,5.762,5.767,6.818,0.519,9.654,54.762,9.836,46.216,0.475,28.668,8.439,42.133,0.409,25.017,7.371,37.503,42.495,0.415,11.0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.739,1.633,28.048,0.84,2.616,2.261,0.0,2.118,0.0,1.896,0.0,1.766,4.041,0.0
6.114,0.044,30.134,3,0.0,0,11.969,3.741,4.069,6.012,6.025,5.967,5.885,7.966,0.51,10.437,49.714,11.8,52.187,0.581,35.551,10.4,61.75,0.426,29.38,8.177,44.39,40.594,0.523,14.0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915,1.662,29.064,0.89,2.614,2.263,0.0,2.133,0.0,1.895,0.0,1.804,4.161,0.0
5.545,0.056,30.0,3,0.0,0,11.9,3.662,3.982,5.915,5.951,5.958,5.865,8.009,0.519,7.95,45.192,9.719,44.123,0.6,33.993,9.885,64.184,0.46,30.15,8.208,46.203,42.309,0.442,43.0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.606,1.713,28.064,0.9,2.614,2.252,0.0,2.131,0.0,1.894,0.0,1.521,4.159,0.0
5.873,0.044,31.301,3,0.601,0,11.969,3.741,4.083,6.009,6.021,5.964,5.906,8.495,0.482,10.294,48.695,11.517,54.966,0.541,34.097,10.283,58.815,0.456,30.835,8.452,48.143,39.84,0.544,21.0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.662,29.492,0.89,2.615,2.329,0.0,2.162,0.0,2.102,0.0,1.894,4.173,0.0
4.605,0.053,30.723,3,0.0,0,13.162,3.886,4.225,6.105,6.113,6.112,6.034,8.501,0.577,10.921,48.39,12.939,50.473,0.631,40.436,13.135,67.39,0.504,36.849,11.043,50.89,46.445,0.487,14.0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.082,1.959,31.044,0.78,2.742,2.614,0.4,2.259,0.0,2.133,0.0,1.975,4.554,0.0
5.042,0.087,50.405,3,0.0,0,13.282,3.936,4.307,6.273,6.374,6.36,6.168,11.056,0.818,12.356,67.637,14.837,89.801,1.212,47.302,12.233,123.967,0.587,39.389,12.011,60.037,75.474,0.853,61.0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.359,1.996,44.335,0.83,2.903,2.766,0.4,2.614,0.4,2.328,0.13,2.213,4.755,0.0
4.377,0.043,36.467,0,-1.023,0,7.55,3.248,3.6,5.74,5.849,6.087,5.813,13.692,0.351,10.398,60.925,10.985,66.337,0.725,33.041,10.908,125.363,0.361,31.526,10.846,66.956,73.257,0.652,17.0,1,3,0,0,0,0,5,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1.732,1.005,29.128,0.98,2.277,1.844,0.0,1.263,0.0,0.931,0.0,0.823,2.901,0.0
4.62,0.051,68.514,1,-1.598,0,15.82,4.155,4.527,6.507,6.637,6.809,6.721,14.214,0.622,22.057,90.003,22.544,110.227,1.247,66.763,21.157,206.717,1.004,64.217,19.831,146.17,173.69,1.319,41.0,1,2,1,1,1,2,6,0,3,0,0,2,2,1,3,3,0,9,0,0,0,1,12,5.523,2.394,64.581,0.59,3.526,3.01,0.424,2.553,0.3,2.481,0.114,2.386,5.02,0.0
6.924,0.5,274.55,3,-19.668,2,39.862,5.137,5.496,7.764,7.938,8.213,8.131,95.696,3.876,54.048,541.431,55.363,683.798,6.173,231.051,58.929,1189.17,5.647,256.148,68.155,851.28,1001.11,7.727,1473.0,7,13,6,6,6,17,34,1,19,1,1,19,21,8,17,24,4,39,2,2,2,20,46,11.247,6.607,312.629,0.34,3.84,3.822,1.985,3.806,1.976,3.759,1.968,3.733,6.09,1.955
7.807,0.521,299.87,3,-23.03,2,45.397,5.225,5.586,7.861,8.033,8.31,8.231,100.975,4.23,59.353,589.289,60.848,750.505,6.758,253.953,64.622,1305.61,6.199,282.655,75.621,931.776,1092.13,8.466,1879.0,10,15,6,6,6,19,37,1,21,1,1,21,23,8,19,26,4,40,2,2,1,23,50,11.958,7.092,341.777,0.34,3.844,3.838,1.991,3.817,1.984,3.78,1.973,3.748,6.08,1.967
4.955,0.183,45.427,0,0.0,0,6.429,2.893,3.145,5.19,5.073,5.054,4.976,13.668,0.383,3.431,40.849,3.421,47.826,0.393,10.011,2.921,44.047,0.392,8.588,2.222,53.363,47.101,0.274,23.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2.739,1.143,21.265,0.75,1.0,0.977,0.0,0.938,0.0,0.325,0.0,-0.43,1.603,0.0
4.377,0.008,5.334,0,0.0,0,5.429,2.909,3.234,4.94,4.801,4.518,3.995,3.222,0.072,3.613,9.778,3.218,10.222,0.07,6.946,2.673,10.445,0.033,5.075,2.178,6.667,4.556,0.011,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414,0.776,5.899,0.7,1.414,1.0,0.0,0.686,0.0,-0.414,0.0,-0.427,2.308,0.0
7.824,0.383,277.973,3,-23.092,2,52.836,5.227,5.559,7.829,7.964,8.23,8.141,82.934,4.056,61.727,554.653,61.417,639.205,6.044,245.726,63.158,1156.76,5.61,265.512,70.954,828.114,901.711,7.23,1681.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,37,13.058,8.355,317.728,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
7.842,0.468,285.09,3,-23.077,2,47.472,5.176,5.517,7.789,7.93,8.204,8.112,91.649,4.148,56.134,566.569,55.848,669.894,6.166,229.678,57.562,1165.46,5.783,249.655,65.364,851.29,942.587,7.428,1673.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,37,12.748,7.438,315.347,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
8.638,1.377,561.875,11,-47.123,4,67.922,5.596,5.964,8.238,8.414,8.722,8.601,213.262,7.692,73.03,1078.59,74.526,1392.49,11.755,323.254,79.367,2152.14,11.034,359.435,91.866,1666.15,1845.74,14.317,4359.0,14,26,7,7,7,32,40,3,43,3,4,37,35,12,34,49,11,52,7,3,7,35,55,15.906,10.693,555.488,0.31,3.849,3.848,2.009,3.841,2.006,3.838,2.004,3.83,6.207,1.998
7.703,0.412,274.28,3,-22.818,3,51.349,5.206,5.542,7.819,7.953,8.216,8.133,88.342,3.928,59.93,562.795,59.507,656.323,5.893,240.338,61.647,1146.68,5.476,261.736,69.297,836.915,923.477,7.143,1670.0,9,15,6,6,6,17,32,1,19,1,2,19,21,8,17,25,4,31,3,3,3,20,38,12.942,8.016,315.255,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.713,6.076,1.955
8.301,0.582,269.26,4,-21.97,2,39.076,4.995,5.369,7.624,7.784,8.077,7.956,92.71,3.785,42.504,522.109,43.207,673.656,5.87,179.669,44.726,1082.21,5.47,195.698,50.578,804.86,884.595,6.629,1283.0,11,14,2,2,2,16,25,1,19,1,2,19,17,4,17,21,4,27,3,2,2,17,27,11.489,6.195,270.253,0.34,3.838,3.781,1.99,3.76,1.982,3.738,1.97,3.713,6.077,1.956
8.476,1.299,541.466,10,-46.983,5,67.747,5.647,6.015,8.259,8.42,8.739,8.647,200.237,7.471,77.569,1047.27,79.482,1320.95,11.566,337.895,84.824,2101.42,11.043,375.698,97.896,1661.58,1819.96,14.459,4181.0,14,26,7,7,7,30,46,2,42,2,3,38,34,12,35,48,12,59,6,4,7,35,58,15.984,10.667,568.51,0.31,3.855,3.847,2.009,3.84,2.006,3.83,2.004,3.81,6.199,1.999
6.967,0.393,271.414,3,-22.757,2,47.553,5.214,5.547,7.817,7.959,8.222,8.13,83.705,3.905,60.481,548.165,60.085,644.565,5.947,242.368,61.86,1151.57,5.447,263.053,69.878,818.388,907.505,7.211,1691.0,9,15,5,5,5,17,32,1,19,1,1,19,21,8,17,25,4,31,2,2,1,20,38,12.981,7.217,314.986,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
8.722,0.694,320.14,5,-26.944,3,52.6,5.297,5.674,7.9,8.067,8.342,8.219,120.09,4.878,58.449,652.674,58.429,868.795,7.53,238.94,60.812,1395.87,6.698,266.135,72.561,974.856,1158.86,8.856,1667.0,8,18,5,5,5,18,26,1,22,1,3,25,17,7,24,25,6,34,7,4,5,16,33,12.708,8.488,364.662,0.31,3.847,3.84,1.997,3.814,1.991,3.781,1.985,3.762,6.178,1.978
7.827,0.491,286.787,3,-23.072,2,46.19,5.163,5.506,7.779,7.921,8.197,8.104,93.85,4.172,54.732,569.44,54.452,677.869,6.197,225.559,56.159,1167.45,5.828,245.586,63.963,857.271,953.38,7.481,1671.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,36,12.669,7.297,314.388,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
4.0,0.236,116.247,9,-1.763,0,16.861,4.536,4.971,7.055,7.33,7.398,7.422,30.834,1.766,25.951,186.915,27.325,324.903,2.719,96.926,29.188,407.397,2.227,103.896,33.139,254.123,529.773,3.356,239.0,6,2,1,1,1,3,11,0,3,0,0,8,4,3,5,4,0,6,0,0,0,4,11,6.481,1.802,138.971,0.37,3.614,3.567,1.08,3.561,1.08,3.533,1.068,3.015,5.739,0.652
7.292,0.372,270.884,3,-22.722,2,52.686,5.232,5.563,7.832,7.974,8.234,8.146,83.901,3.826,62.472,547.339,61.94,642.815,5.889,248.049,63.855,1150.44,5.354,268.692,71.472,818.61,919.343,7.104,1694.0,9,15,6,6,6,16,34,1,19,1,1,18,20,9,17,25,3,34,2,2,2,18,39,13.096,8.177,319.709,0.34,3.838,3.781,1.983,3.765,1.974,3.745,1.965,3.713,6.076,1.951
7.553,0.393,271.414,3,-22.743,2,49.447,5.214,5.547,7.817,7.959,8.222,8.13,83.705,3.905,60.481,548.165,60.085,644.565,5.947,242.368,61.86,1151.57,5.447,263.053,69.878,818.388,907.505,7.211,1685.0,9,15,5,5,5,17,32,1,19,1,1,19,21,8,17,25,4,31,2,2,2,20,38,12.981,7.614,314.724,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
7.688,0.633,322.998,3,-23.347,2,51.46,5.228,5.556,7.828,7.94,8.228,8.139,102.46,5.276,55.12,613.105,55.892,689.642,6.994,236.798,57.341,1211.42,6.905,252.573,64.862,901.772,972.266,8.329,1679.0,8,15,5,5,5,15,30,1,20,1,1,21,19,8,17,25,4,28,2,2,2,19,34,12.981,8.078,333.219,0.34,3.839,3.798,2.002,3.767,1.997,3.75,1.986,3.734,6.076,1.975
8.745,0.413,197.419,3,-15.1,2,27.963,4.602,4.974,7.254,7.4,7.667,7.587,71.659,2.503,29.377,364.998,29.871,489.813,3.694,117.469,29.826,702.726,3.727,131.399,33.485,594.986,643.785,4.203,697.0,8,10,2,2,2,12,18,1,13,2,2,11,12,4,9,13,3,20,2,2,2,11,18,9.566,4.313,178.34,0.36,3.755,3.691,1.955,3.639,1.937,3.615,1.919,3.58,5.838,1.905
7.319,0.376,261.56,3,-22.237,3,50.945,5.179,5.515,7.791,7.928,8.18,8.1,83.972,3.698,58.961,534.607,58.41,630.766,5.601,234.078,60.097,1096.83,5.207,254.013,67.242,809.041,891.136,6.661,1548.0,9,15,6,6,6,16,32,1,18,2,2,18,20,8,16,23,3,30,2,3,3,18,35,12.748,7.806,302.617,0.34,3.833,3.774,1.981,3.763,1.973,3.743,1.962,3.691,6.072,1.948
7.288,0.404,279.788,3,-23.089,2,51.46,5.215,5.549,7.819,7.956,8.224,8.133,85.092,4.079,60.331,557.675,60.026,646.69,6.074,241.773,61.761,1159.02,5.652,261.606,69.559,833.788,911.597,7.278,1679.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,37,12.981,8.078,317.27,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
7.125,0.386,263.858,3,-21.634,2,49.154,5.161,5.487,7.769,7.901,8.168,8.092,82.296,3.71,57.252,531.527,57.136,615.921,5.528,229.487,58.907,1081.09,5.234,250.89,65.975,798.97,878.488,6.772,1615.0,9,14,5,5,5,18,31,1,19,1,1,17,22,8,15,25,4,32,2,2,1,22,38,12.826,7.786,296.301,0.34,3.784,3.777,1.981,3.752,1.971,3.714,1.96,3.675,6.007,1.949
7.793,0.446,283.353,3,-23.081,2,48.767,5.189,5.528,7.799,7.938,8.211,8.119,89.452,4.125,57.534,563.643,57.242,662.037,6.135,233.752,58.963,1163.38,5.738,253.68,66.764,845.379,932.032,7.377,1675.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,37,12.826,7.623,316.11,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
7.62,0.55,284.834,3,-22.815,2,42.789,5.1,5.45,7.725,7.872,8.16,8.065,100.703,4.113,50.006,558.359,49.801,677.144,6.146,210.222,51.5,1151.41,5.814,230.373,59.305,851.167,966.297,7.484,1584.0,8,15,6,6,6,15,30,1,20,1,1,20,19,8,17,24,4,28,2,2,2,19,34,12.268,6.935,301.565,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
7.886,0.568,256.041,4,-21.556,2,38.5,4.986,5.361,7.618,7.774,8.06,7.938,91.017,3.723,41.789,515.353,42.21,664.672,5.68,175.791,43.746,1055.62,5.329,194.116,50.166,786.162,858.177,6.536,1282.0,11,14,3,3,3,16,25,1,19,1,2,19,17,4,17,21,4,27,3,2,2,17,27,11.446,6.11,265.65,0.34,3.822,3.78,1.984,3.753,1.971,3.72,1.96,3.712,6.077,1.951
7.74,0.424,281.583,3,-23.085,2,50.095,5.202,5.539,7.809,7.947,8.217,8.126,87.265,4.102,58.933,560.675,58.635,654.301,6.104,237.783,60.363,1161.23,5.694,257.663,68.162,839.544,921.703,7.326,1677.0,9,15,5,5,5,15,31,1,20,1,1,20,19,8,17,25,4,30,2,2,2,19,37,12.903,7.829,316.738,0.34,3.839,3.798,1.997,3.767,1.986,3.75,1.975,3.734,6.076,1.966
5.878,0.35,251.859,3,-21.706,2,46.676,5.132,5.459,7.737,7.875,8.138,8.07,77.83,3.484,56.313,502.52,56.281,586.854,5.265,224.936,58.07,1036.27,4.97,246.442,65.334,765.694,849.308,6.481,1541.0,9,14,5,5,5,17,31,1,18,1,1,16,21,8,14,24,4,32,2,2,1,21,39,12.629,7.506,286.569,0.36,3.793,3.777,1.977,3.731,1.966,3.713,1.954,3.664,6.007,1.942
