pXC50,nO,nC,O.,nCsp2,Mp,nBO,nF,nSK,Sp,nBM,Sv,MW,Me,nAB,nX,Se,Si,nBT,C.,nAT,nH,SCBO,H.,RBF,nDB,Mv,X.,RBN,nN,nCL
7.15,3,21,6.3,12,0.66,29,1,26,31.682,13,30.344,355.44,1.007,11,1,48.316,54.033,51,43.8,48,22,36.5,45.8,0.078,2,0.632,2.1,4,1,0
7.95,3,21,6.3,12,0.665,31,1,27,31.926,16,30.839,368.44,1.011,15,1,48.534,54.117,52,43.8,48,21,39.5,43.8,0.058,1,0.642,2.1,3,2,0
7.2,2,21,4.3,17,0.677,33,3,30,31.836,19,31.88,414.42,1.036,18,3,48.669,53.753,50,44.7,47,17,43.0,36.2,0.06,1,0.678,6.4,3,4,0
6.0,2,16,5.3,12,0.66,26,3,24,25.068,13,25.331,337.33,1.044,12,3,39.683,43.839,40,42.1,38,14,33.0,36.8,0.05,1,0.667,7.9,2,3,0
6.0,2,23,3.9,18,0.69,35,3,32,35.211,19,34.739,461.9,1.033,18,4,52.658,58.029,54,45.1,51,19,45.0,37.3,0.056,1,0.681,7.8,3,3,1
6.0,2,22,4.2,18,0.707,34,3,31,33.944,19,33.41,492.32,1.035,18,4,49.68,54.511,51,45.8,48,17,44.0,35.4,0.059,1,0.696,8.3,3,3,0
6.1,3,22,5.9,17,0.668,35,3,32,34.051,19,34.121,444.45,1.037,18,3,52.88,58.377,54,43.1,51,19,45.0,37.3,0.074,1,0.669,5.9,4,4,0
6.536,3,24,4.9,11,0.632,30,0,28,38.552,12,35.595,383.58,0.987,11,0,60.221,68.77,63,39.3,61,33,36.5,54.1,0.175,1,0.584,0.0,11,1,0
6.6,2,22,4.2,18,0.678,34,4,31,32.529,19,32.768,431.42,1.041,18,4,49.963,55.009,51,45.8,48,17,44.0,35.4,0.059,1,0.683,8.3,3,3,0
6.6,2,22,4.2,18,0.697,34,3,31,33.449,19,33.212,447.87,1.037,18,4,49.774,54.614,51,45.8,48,17,44.0,35.4,0.059,1,0.692,8.3,3,3,1
6.8,2,22,4.0,17,0.672,34,3,31,33.597,19,33.406,428.45,1.031,18,3,51.552,57.168,53,44.0,50,19,44.0,38.0,0.057,1,0.668,6.0,3,4,0
6.4,2,23,3.9,18,0.674,34,3,31,34.353,19,33.912,427.46,1.026,18,3,52.334,58.085,54,45.1,51,20,44.0,39.2,0.056,1,0.665,5.9,3,3,0
5.9,2,22,4.2,18,0.697,34,3,31,33.449,19,33.212,447.87,1.037,18,4,49.774,54.614,51,45.8,48,17,44.0,35.4,0.059,1,0.692,8.3,3,3,1
6.3,2,22,4.2,18,0.679,33,3,30,32.591,19,32.385,413.43,1.03,18,3,49.451,54.67,51,45.8,48,18,43.0,37.5,0.059,1,0.675,6.3,3,3,0
6.8,2,21,4.3,17,0.7,31,0,28,32.881,19,31.557,394.89,1.01,18,1,47.454,52.678,50,44.7,47,19,41.0,40.4,0.06,1,0.671,2.1,3,4,1
9.481,2,19,4.3,12,0.67,27,2,25,30.813,14,29.2,365.48,1.013,12,2,46.578,52.084,48,41.3,46,21,35.0,45.7,0.104,2,0.635,4.3,5,1,0
5.3,2,23,3.9,18,0.674,34,3,31,34.353,19,33.912,427.46,1.026,18,3,52.334,58.085,54,45.1,51,20,44.0,39.2,0.056,1,0.665,5.9,3,3,0
9.398,1,22,2.0,12,0.654,27,0,24,33.358,12,30.585,321.5,0.979,12,0,49.916,57.105,54,43.1,51,27,33.0,52.9,0.056,0,0.6,0.0,3,1,0
8.745,2,22,3.8,12,0.648,30,2,27,33.688,12,32.066,373.48,1.005,12,2,52.269,58.994,55,42.3,52,25,36.0,48.1,0.073,0,0.617,3.8,4,1,0
5.699,3,16,6.5,7,0.644,25,0,23,29.642,9,27.664,337.49,1.004,6,0,46.2,52.195,48,34.8,46,23,31.0,50.0,0.104,3,0.601,0.0,5,3,0
9.301,3,20,6.0,13,0.665,30,2,28,33.273,15,31.936,408.51,1.02,12,2,51.007,56.791,52,40.0,50,22,39.0,44.0,0.115,3,0.639,4.0,6,2,0
5.8,2,22,4.2,18,0.679,33,3,30,32.591,19,32.385,413.43,1.03,18,3,49.451,54.67,51,45.8,48,18,43.0,37.5,0.059,1,0.675,6.3,3,3,0
9.387,2,21,4.0,12,0.671,30,2,27,33.574,14,31.726,391.52,1.009,12,2,50.461,56.499,53,42.0,50,23,38.0,46.0,0.057,2,0.635,4.0,3,1,0
8.62,3,19,6.7,13,0.679,27,1,25,30.568,15,29.004,361.47,1.011,12,1,45.509,50.538,47,42.2,45,20,36.0,44.4,0.106,3,0.645,2.2,5,1,0
5.0,1,16,2.2,6,0.613,20,0,19,27.603,6,25.079,262.44,0.981,6,0,44.134,51.188,46,35.6,45,26,23.0,57.8,0.13,0,0.557,0.0,6,2,0
9.276,2,20,4.3,12,0.682,29,2,27,32.057,15,30.694,390.49,1.017,12,2,47.796,53.167,49,42.6,47,20,39.0,42.6,0.102,2,0.653,4.3,5,2,0
9.18,2,20,4.3,12,0.682,29,2,27,32.057,15,30.694,390.49,1.017,12,2,47.796,53.167,49,42.6,47,20,39.0,42.6,0.102,2,0.653,4.3,5,2,0
4.523,6,32,7.3,19,0.643,46,0,43,52.699,19,50.351,589.76,1.006,12,0,82.494,92.806,85,39.0,82,39,59.0,47.6,0.129,7,0.614,0.0,11,5,0
6.27,2,13,5.3,6,0.665,20,0,19,25.279,8,23.228,302.86,1.006,6,1,38.211,43.016,39,34.2,38,19,25.0,50.0,0.077,2,0.611,2.6,3,2,1
8.301,1,21,2.1,12,0.654,29,3,26,31.41,12,30.208,361.44,1.012,12,3,48.57,54.709,51,43.8,48,22,35.0,45.8,0.059,0,0.629,6.3,3,1,0
7.0,3,21,6.3,17,0.673,34,3,31,32.29,19,32.594,430.42,1.042,18,3,49.996,54.962,51,43.8,48,17,44.0,35.4,0.078,1,0.679,6.3,4,4,0
8.62,1,21,2.1,12,0.656,28,2,25,31.472,12,29.824,343.45,1.001,12,2,48.058,54.37,51,43.8,48,23,34.0,47.9,0.059,0,0.621,4.2,3,1,0
7.51,1,12,3.4,8,0.656,17,0,15,19.034,10,17.918,202.28,0.994,10,0,28.833,32.697,31,41.4,29,14,22.0,48.3,0.065,0,0.618,0.0,2,2,0
7.991,0,11,0.0,8,0.67,16,1,14,16.756,10,16.06,190.24,1.005,10,1,25.134,28.412,27,44.0,25,11,21.0,44.0,0.037,0,0.642,4.0,1,2,0
5.325,2,22,3.8,5,0.65,29,0,25,33.813,7,31.299,337.5,0.985,5,0,51.243,58.315,56,42.3,52,27,34.5,51.9,0.0,1,0.602,0.0,0,1,0
9.284,3,20,6.0,13,0.665,30,2,28,33.273,15,31.936,408.51,1.02,12,2,51.007,56.791,52,40.0,50,22,39.0,44.0,0.115,3,0.639,4.0,6,2,0
7.338,1,12,3.4,8,0.656,17,0,15,19.034,10,17.918,202.28,0.994,10,0,28.833,32.697,31,41.4,29,14,22.0,48.3,0.065,0,0.618,0.0,2,2,0
6.824,2,22,4.2,13,0.675,31,2,28,32.409,14,31.507,382.44,1.015,12,2,48.72,54.247,51,45.8,48,20,40.0,41.7,0.059,1,0.656,4.2,3,2,0
8.921,2,19,4.3,12,0.673,25,0,23,30.938,14,28.433,329.5,0.99,12,0,45.552,51.404,48,41.3,46,23,33.0,50.0,0.104,2,0.618,0.0,5,1,0
8.509,1,21,2.1,12,0.654,29,3,26,31.41,12,30.208,361.44,1.012,12,3,48.57,54.709,51,43.8,48,22,35.0,45.8,0.059,0,0.629,6.3,3,1,0
6.8,1,22,2.1,18,0.704,33,3,30,33.784,19,32.857,429.5,1.025,18,3,49.2,54.38,51,45.8,48,18,43.0,37.5,0.059,1,0.685,6.3,3,3,0
7.796,1,21,2.1,12,0.658,26,0,23,31.597,12,29.058,307.47,0.98,12,0,47.032,53.69,51,43.8,48,25,32.0,52.1,0.059,0,0.605,0.0,3,1,0
7.387,0,11,0.0,8,0.651,14,0,13,17.58,10,16.204,174.27,0.982,10,0,26.505,30.488,28,40.7,27,14,19.0,51.9,0.071,0,0.6,0.0,2,2,0
7.824,2,20,4.1,12,0.667,26,0,24,32.699,14,29.96,343.53,0.988,12,0,48.436,54.82,51,40.8,49,25,34.0,51.0,0.118,2,0.611,0.0,6,1,0
7.2,2,21,4.3,17,0.677,33,3,30,31.836,19,31.88,414.42,1.036,18,3,48.669,53.753,50,44.7,47,17,43.0,36.2,0.06,1,0.678,6.4,3,4,0
7.0,2,22,4.0,17,0.672,34,3,31,33.597,19,33.406,428.45,1.031,18,3,51.552,57.168,53,44.0,50,19,44.0,38.0,0.057,1,0.668,6.0,3,4,0
10.398,2,13,6.9,10,0.718,19,0,17,20.835,14,19.637,294.16,1.01,14,1,29.287,32.25,31,44.8,29,12,26.0,41.4,0.065,0,0.677,3.4,2,1,0
8.481,1,21,2.1,12,0.654,29,3,26,31.41,12,30.208,361.44,1.012,12,3,48.57,54.709,51,43.8,48,22,35.0,45.8,0.059,0,0.629,6.3,3,1,0
8.854,2,19,4.3,12,0.688,28,2,26,31.671,14,30.027,399.92,1.02,12,3,46.902,52.028,48,41.3,46,20,36.0,43.5,0.104,2,0.653,6.5,5,1,1
7.509,2,23,3.6,12,0.646,30,1,27,35.512,12,33.21,369.52,0.993,12,1,54.64,62.07,58,41.8,55,28,36.0,50.9,0.086,0,0.604,1.8,5,1,0
8.658,1,12,3.2,8,0.639,16,0,15,19.796,10,18.445,204.3,0.991,10,0,30.716,35.112,32,38.7,31,16,21.0,51.6,0.094,0,0.595,0.0,3,2,0
6.617,2,20,4.3,13,0.676,27,1,25,31.086,13,29.457,361.87,1.007,12,2,46.312,51.768,48,43.5,46,21,34.0,45.7,0.125,1,0.64,4.3,6,1,1
8.538,0,22,0.0,12,0.656,28,2,25,32.779,12,30.636,341.48,0.992,12,2,49.614,56.575,53,44.0,50,25,34.0,50.0,0.057,0,0.613,4.0,3,1,0
8.585,2,20,4.3,12,0.682,29,2,27,32.057,15,30.694,390.49,1.017,12,2,47.796,53.167,49,42.6,47,20,39.0,42.6,0.102,2,0.653,4.3,5,2,0
6.08,3,14,7.1,6,0.634,21,0,20,26.637,8,24.642,298.45,1.002,6,0,42.098,47.697,43,33.3,42,22,26.0,52.4,0.093,2,0.587,0.0,4,2,0
7.79,3,24,5.5,14,0.658,32,1,29,36.205,14,34.398,395.51,1.002,12,1,55.083,61.864,58,43.6,55,26,40.0,47.3,0.086,2,0.625,1.8,5,1,0
6.18,3,22,5.5,12,0.646,31,0,28,35.517,13,33.53,381.52,0.998,12,0,54.891,62.106,58,40.0,55,27,38.0,49.1,0.086,1,0.61,0.0,5,3,0
5.0,3,17,6.7,12,0.724,28,0,26,32.586,14,30.187,505.26,1.017,12,2,45.774,50.463,47,37.8,45,19,36.0,42.2,0.106,2,0.671,4.4,5,3,0
6.363,0,8,0.0,7,0.751,14,0,13,15.017,7,14.3,216.08,1.03,6,2,20.604,22.629,21,40.0,20,7,18.0,35.0,0.0,1,0.715,10.0,0,3,2
6.01,1,20,2.1,12,0.661,27,0,24,31.086,13,29.047,321.46,0.989,12,0,46.469,52.856,50,42.6,47,23,34.0,48.9,0.06,1,0.618,0.0,3,3,0
8.08,4,25,6.8,14,0.655,36,1,32,38.665,17,37.134,438.54,1.009,16,1,59.512,66.572,63,42.4,59,27,45.0,45.8,0.079,1,0.629,1.7,5,2,0
8.235,4,25,6.8,14,0.651,34,1,31,38.421,14,36.639,425.54,1.005,12,1,59.294,66.488,62,42.4,59,28,42.0,47.5,0.097,2,0.621,1.7,6,1,0
6.05,3,23,5.4,13,0.648,31,0,28,36.273,13,34.036,380.53,0.994,12,0,55.672,63.022,59,41.1,56,28,38.0,50.0,0.085,1,0.608,0.0,5,2,0
8.385,2,23,3.9,14,0.671,32,1,28,34.233,17,32.651,378.48,1.002,16,1,51.091,57.322,55,45.1,51,23,41.0,45.1,0.055,1,0.64,2.0,3,2,0
5.63,4,24,6.7,13,0.641,33,0,30,38.489,13,36.277,410.56,0.998,12,0,59.883,67.647,63,40.0,60,30,40.0,50.0,0.095,1,0.605,0.0,6,2,0
8.517,1,20,2.0,11,0.644,28,0,25,32.853,12,30.595,338.5,0.989,10,0,50.454,57.77,54,39.2,51,26,35.0,51.0,0.056,2,0.6,0.0,3,4,0
5.0,3,17,6.7,12,0.721,29,0,27,32.455,14,30.619,450.8,1.029,12,3,46.287,50.612,47,37.8,45,18,37.0,40.0,0.106,2,0.68,6.7,5,3,3
6.569,0,9,0.0,5,0.715,13,0,13,18.58,6,16.416,261.21,0.993,6,1,25.811,29.249,26,34.6,26,13,16.0,50.0,0.154,0,0.631,3.8,4,2,0
5.398,0,18,0.0,12,0.659,21,0,19,27.0,12,24.553,252.41,0.973,12,0,39.88,45.858,43,43.9,41,22,27.0,53.7,0.047,0,0.599,0.0,2,1,0
6.638,0,15,0.0,5,0.644,19,0,18,27.035,6,24.025,264.48,0.976,6,0,41.0,47.484,43,35.7,42,24,22.0,57.1,0.116,0,0.572,0.0,5,2,0
5.3,4,26,6.2,15,0.659,37,1,34,42.836,16,40.374,486.66,1.005,12,1,65.356,73.322,68,40.0,65,31,47.0,47.7,0.118,4,0.621,1.5,8,2,0
7.495,0,17,0.0,12,0.672,20,0,18,24.858,12,22.763,237.37,0.974,12,0,36.054,41.235,39,45.9,37,19,26.0,51.4,0.077,0,0.615,0.0,3,1,0
7.0,0,8,0.0,0,0.604,9,0,10,17.506,0,14.95,161.35,0.97,0,0,28.131,33.155,28,27.6,29,19,9.0,65.5,0.143,0,0.516,0.0,4,1,0
6.319,1,15,2.3,5,0.639,20,0,19,27.489,6,24.74,280.48,0.984,6,0,42.327,48.693,44,34.9,43,24,23.0,55.8,0.114,0,0.575,0.0,5,2,0
7.585,3,29,4.4,21,0.666,41,0,37,45.29,24,43.1,497.65,1.0,23,0,67.978,76.517,72,42.6,68,31,53.5,45.6,0.083,1,0.634,0.0,6,5,0
6.0,3,30,4.5,21,0.676,42,0,37,45.284,24,43.078,494.64,0.998,23,0,66.876,75.019,72,44.8,67,30,54.5,44.8,0.056,1,0.643,0.0,4,4,0
5.523,2,26,3.1,15,0.65,36,0,32,41.591,17,38.89,432.62,0.991,16,0,63.432,72.225,68,40.6,64,32,45.0,50.0,0.132,1,0.608,0.0,9,4,0
7.345,3,22,5.9,12,0.656,30,1,27,33.444,13,31.871,369.47,1.004,11,1,51.2,57.449,54,43.1,51,24,37.5,47.1,0.093,2,0.625,2.0,5,1,0
5.658,2,27,3.0,15,0.647,37,0,33,43.353,17,40.417,446.65,0.99,16,0,66.316,75.64,71,40.3,67,34,46.0,50.7,0.127,1,0.603,0.0,9,4,0
4.921,0,14,0.0,12,0.699,17,0,15,19.574,12,18.182,195.28,0.979,12,0,27.403,30.99,30,50.0,28,13,23.0,46.4,0.0,0,0.649,0.0,0,1,0
6.319,0,16,0.0,12,0.679,19,0,17,23.097,12,21.236,223.34,0.976,12,0,33.171,37.82,36,47.1,34,17,25.0,50.0,0.056,0,0.625,0.0,2,1,0
6.268,0,17,0.0,12,0.672,20,0,18,24.858,12,22.763,237.37,0.974,12,0,36.054,41.235,39,45.9,37,19,26.0,51.4,0.051,0,0.615,0.0,2,1,0
5.921,0,11,0.0,3,0.662,15,0,15,23.159,5,20.158,244.47,0.98,5,0,34.309,39.573,35,31.4,35,20,17.5,57.1,0.143,0,0.576,0.0,5,2,0
6.285,2,17,4.0,6,0.629,23,0,22,31.466,8,28.508,324.54,0.988,6,0,49.421,56.733,51,34.0,50,28,28.0,56.0,0.078,2,0.57,0.0,4,2,0
6.495,0,15,0.0,11,0.688,19,0,18,24.75,12,22.444,258.42,0.982,12,0,35.349,40.238,37,41.7,36,18,25.0,50.0,0.135,0,0.623,0.0,5,2,0
5.237,2,24,3.2,14,0.655,34,0,31,41.239,18,38.077,440.67,0.992,16,0,62.509,71.145,66,38.1,63,32,44.0,50.8,0.152,2,0.604,0.0,10,4,0
6.0,0,11,0.0,7,0.72,16,0,15,20.875,10,18.578,238.41,0.988,10,0,28.658,32.328,30,37.9,29,14,21.0,48.3,0.133,0,0.641,0.0,4,2,0
8.125,3,25,4.7,13,0.676,38,1,34,43.273,15,40.341,503.72,1.005,12,1,64.323,72.116,68,39.1,64,30,47.0,46.9,0.103,3,0.63,1.6,7,3,0
7.495,1,21,2.0,12,0.664,26,0,24,33.216,12,30.412,343.93,0.985,12,1,49.24,56.049,52,42.0,50,26,32.0,52.0,0.115,0,0.608,2.0,6,1,1
9.097,2,26,3.2,14,0.669,37,1,33,42.171,14,39.439,467.66,0.999,12,1,62.92,70.986,67,41.3,63,30,45.0,47.6,0.09,2,0.626,1.6,6,3,0
7.69,1,19,2.4,14,0.668,23,0,21,28.074,13,26.004,279.41,0.983,12,0,41.265,46.86,44,45.2,42,21,30.0,50.0,0.068,1,0.619,0.0,3,1,0
8.658,3,22,5.9,15,0.665,32,1,29,33.932,15,32.86,395.47,1.012,12,1,51.636,57.615,54,43.1,51,22,41.0,43.1,0.093,3,0.644,2.0,5,3,0
5.699,2,38,2.0,12,0.637,53,0,46,62.455,11,57.674,624.96,0.986,6,0,96.588,110.958,105,38.8,98,52,61.0,53.1,0.057,5,0.589,0.0,6,6,0
6.7,2,24,3.4,16,0.656,33,0,30,38.069,18,35.837,404.56,0.994,17,0,57.665,65.394,61,41.4,58,28,42.5,48.3,0.098,1,0.618,0.0,6,4,0
6.1,2,23,3.4,15,0.668,33,0,30,38.716,19,36.024,424.62,0.996,17,0,57.741,65.314,61,39.7,58,28,43.5,48.3,0.098,2,0.621,0.0,6,4,0
6.0,1,25,1.7,16,0.66,35,0,31,39.62,18,37.143,415.59,0.991,17,0,59.44,67.683,64,41.7,60,29,44.5,48.3,0.078,1,0.619,0.0,5,5,0
6.1,2,25,3.4,16,0.662,35,0,31,39.069,18,36.837,416.57,0.994,17,0,58.665,66.394,63,42.4,59,28,44.5,47.5,0.079,1,0.624,0.0,5,4,0
6.4,0,25,0.0,18,0.674,34,0,30,38.404,22,35.902,397.57,0.986,22,0,56.229,64.059,61,43.9,57,27,45.0,47.4,0.082,0,0.63,0.0,5,5,0
5.2,4,25,6.0,10,0.627,35,0,32,42.017,12,39.352,441.63,0.996,10,0,66.752,75.976,70,37.3,67,35,42.0,52.2,0.143,2,0.587,0.0,10,3,0
5.0,4,24,6.3,10,0.629,34,0,31,40.256,12,37.825,427.6,0.998,10,0,63.869,72.561,67,37.5,64,33,41.0,51.6,0.134,2,0.591,0.0,9,3,0
6.6,1,24,1.8,16,0.66,32,0,29,37.614,18,35.122,388.56,0.988,17,0,56.338,64.185,60,42.1,57,28,41.5,49.1,0.083,1,0.616,0.0,5,4,0
7.1,1,29,1.6,22,0.678,38,0,34,43.375,24,40.649,450.63,0.988,23,0,63.221,71.6,68,45.3,64,30,50.5,46.9,0.088,1,0.635,0.0,6,4,0
6.8,1,27,1.6,20,0.675,38,0,34,41.864,24,39.638,452.61,0.994,23,0,61.658,69.766,66,43.5,62,28,50.5,45.2,0.091,1,0.639,0.0,6,6,0
6.5,1,25,1.6,16,0.651,34,0,31,40.381,18,37.67,417.61,0.989,17,0,61.323,70.099,65,40.3,62,31,43.5,50.0,0.092,1,0.608,0.0,6,5,0
5.2,1,29,1.5,22,0.672,39,0,35,44.381,24,41.67,465.65,0.99,23,0,65.323,74.099,70,43.9,66,31,51.5,47.0,0.086,1,0.631,0.0,6,5,0
8.509,1,25,1.7,13,0.652,33,0,29,39.131,13,36.154,389.59,0.983,12,0,59.003,67.517,64,41.7,60,31,40.0,51.7,0.078,1,0.603,0.0,5,3,0
9.097,1,23,1.8,13,0.677,32,0,28,37.256,13,34.288,393.6,0.987,12,0,54.312,61.607,59,41.8,55,27,39.0,49.1,0.085,1,0.623,0.0,5,3,0
7.959,2,27,2.9,14,0.661,39,1,35,44.938,14,41.988,496.71,0.999,12,1,67.905,76.9,72,39.7,68,33,47.0,48.5,0.097,2,0.617,1.5,7,4,0
8.921,1,24,1.8,13,0.655,33,1,29,37.307,13,35.011,393.55,0.994,12,1,56.632,64.442,61,42.1,57,28,40.0,49.1,0.082,1,0.614,1.8,5,3,0
8.678,1,24,1.7,13,0.673,33,0,29,39.017,13,35.814,407.63,0.986,12,0,57.196,65.022,62,41.4,58,29,40.0,50.0,0.081,1,0.617,0.0,5,3,0
6.437,3,24,5.4,17,0.686,35,0,31,38.404,20,36.19,435.59,1.001,17,0,56.083,62.61,60,42.9,56,25,46.5,44.6,0.05,3,0.646,0.0,3,3,0
6.119,3,24,5.4,17,0.686,35,0,31,38.404,20,36.19,435.59,1.001,17,0,56.083,62.61,60,42.9,56,25,46.5,44.6,0.05,3,0.646,0.0,3,3,0
5.835,3,25,5.1,17,0.681,36,0,32,40.165,20,37.717,449.62,0.999,17,0,58.967,66.026,63,42.4,59,27,47.5,45.8,0.048,3,0.639,0.0,3,3,0
7.319,3,25,5.1,17,0.681,36,0,32,40.165,20,37.717,449.62,0.999,17,0,58.967,66.026,63,42.4,59,27,47.5,45.8,0.048,3,0.639,0.0,3,3,0
6.342,3,26,4.8,17,0.676,37,0,33,41.926,20,39.244,463.65,0.998,17,0,61.851,69.441,66,41.9,62,29,48.5,46.8,0.061,3,0.633,0.0,4,3,0
6.152,3,26,4.8,17,0.676,37,0,33,41.926,20,39.244,463.65,0.998,17,0,61.851,69.441,66,41.9,62,29,48.5,46.8,0.045,3,0.633,0.0,3,3,0
7.292,3,27,4.5,14,0.662,39,1,35,44.387,14,41.681,497.69,1.002,12,1,67.13,75.611,71,40.3,67,32,47.0,47.8,0.113,2,0.622,1.5,8,3,0
5.629,0,13,0.0,6,0.646,21,0,18,22.597,10,21.268,243.35,0.995,10,0,34.811,39.983,38,37.1,35,17,26.0,48.6,0.026,0,0.608,0.0,1,5,0
5.636,0,14,0.0,6,0.641,22,0,19,24.358,10,22.795,257.38,0.992,10,0,37.694,43.398,41,36.8,38,19,27.0,50.0,0.024,0,0.6,0.0,1,5,0
6.233,0,15,0.0,6,0.637,23,0,20,26.12,10,24.321,271.41,0.99,10,0,40.578,46.813,44,36.6,41,21,28.0,51.2,0.023,0,0.593,0.0,1,5,0
6.86,0,12,0.0,6,0.635,19,0,17,21.597,10,20.268,231.34,0.994,10,0,33.811,38.983,36,35.3,34,17,24.0,50.0,0.056,0,0.596,0.0,2,5,0
5.109,1,19,2.2,12,0.665,29,0,25,30.574,16,29.036,335.45,0.998,16,0,45.905,52.023,50,41.3,46,21,37.0,45.7,0.06,0,0.631,0.0,3,5,0
6.188,1,19,2.2,12,0.663,30,1,26,30.512,16,29.42,353.44,1.009,16,1,46.418,52.362,50,41.3,46,20,38.0,43.5,0.06,0,0.64,2.2,3,5,0
7.495,1,19,2.2,12,0.663,30,1,26,30.512,16,29.42,353.44,1.009,16,1,46.418,52.362,50,41.3,46,20,38.0,43.5,0.06,0,0.64,2.2,3,5,0
8.523,1,19,2.2,12,0.663,30,1,26,30.512,16,29.42,353.44,1.009,16,1,46.418,52.362,50,41.3,46,20,38.0,43.5,0.06,0,0.64,2.2,3,5,0
5.573,2,20,4.0,12,0.656,31,0,27,32.79,16,31.278,365.48,1.002,16,0,50.116,56.647,54,40.0,50,23,39.0,46.0,0.074,0,0.626,0.0,4,5,0
7.398,2,20,4.0,12,0.656,31,0,27,32.79,16,31.278,365.48,1.002,16,0,50.116,56.647,54,40.0,50,23,39.0,46.0,0.074,0,0.626,0.0,4,5,0
5.579,2,20,4.0,12,0.656,31,0,27,32.79,16,31.278,365.48,1.002,16,0,50.116,56.647,54,40.0,50,23,39.0,46.0,0.074,0,0.626,0.0,4,5,0
5.287,1,18,2.2,11,0.663,29,0,25,29.819,16,28.531,336.44,1.003,16,0,45.123,51.106,49,40.0,45,20,37.0,44.4,0.061,0,0.634,0.0,3,6,0
7.201,1,18,2.2,11,0.663,29,0,25,29.819,16,28.531,336.44,1.003,16,0,45.123,51.106,49,40.0,45,20,37.0,44.4,0.061,0,0.634,0.0,3,6,0
5.911,1,18,2.2,11,0.663,29,0,25,29.819,16,28.531,336.44,1.003,16,0,45.123,51.106,49,40.0,45,20,37.0,44.4,0.061,0,0.634,0.0,3,6,0
5.689,2,22,3.6,13,0.653,34,0,30,36.557,17,34.826,406.54,1.002,16,0,56.101,63.561,60,39.3,56,26,43.0,46.4,0.067,1,0.622,0.0,4,6,0
6.118,2,21,3.9,13,0.667,34,0,29,34.034,17,32.772,390.49,1.007,16,0,51.334,57.73,56,41.2,51,22,43.0,43.1,0.054,1,0.643,0.0,3,6,0
5.22,0,19,0.0,6,0.659,26,1,21,28.319,6,26.2,283.42,0.985,6,1,42.334,48.405,48,44.2,43,22,29.0,51.2,0.083,0,0.609,2.3,4,1,0
5.0,0,20,0.0,6,0.654,27,1,22,30.08,6,27.726,297.45,0.983,6,1,45.218,51.82,51,43.5,46,24,30.0,52.2,0.078,0,0.603,2.2,4,1,0
9.14,3,22,5.9,12,0.661,32,1,28,33.688,16,32.365,382.47,1.008,15,1,51.418,57.532,55,43.1,51,23,40.5,45.1,0.073,1,0.635,2.0,4,2,0
7.046,2,25,3.3,14,0.673,36,1,32,40.409,14,37.913,453.63,1.001,12,1,60.036,67.571,64,41.7,60,28,44.0,46.7,0.094,2,0.632,1.7,6,3,0
7.046,2,24,3.4,13,0.669,34,0,30,39.472,13,36.529,423.63,0.992,12,0,58.523,66.231,63,40.7,59,29,41.0,49.2,0.079,1,0.619,0.0,5,3,0
8.119,1,24,1.7,13,0.672,34,1,30,38.955,13,36.198,425.62,0.995,12,1,57.709,65.362,62,41.4,58,28,41.0,48.3,0.081,1,0.624,1.7,5,3,0
7.824,1,24,1.7,13,0.672,34,1,30,38.955,13,36.198,425.62,0.995,12,1,57.709,65.362,62,41.4,58,28,41.0,48.3,0.081,1,0.624,1.7,5,3,0
9.699,2,23,3.6,13,0.655,33,1,29,36.0,13,34.199,395.52,1.001,12,1,55.076,62.236,59,41.8,55,26,40.0,47.3,0.085,1,0.622,1.8,5,3,0
9.046,1,25,1.7,13,0.651,34,1,30,39.069,13,36.537,407.58,0.992,12,1,59.516,67.857,64,41.7,60,30,41.0,50.0,0.078,1,0.609,1.7,5,3,0
9.277,1,24,1.7,13,0.672,34,1,30,38.955,13,36.198,425.62,0.995,12,1,57.709,65.362,62,41.4,58,28,41.0,48.3,0.081,1,0.624,1.7,5,3,0
7.924,2,23,3.6,13,0.656,32,0,28,36.063,13,33.815,377.53,0.992,12,0,54.563,61.896,59,41.8,55,27,39.0,49.1,0.085,1,0.615,0.0,5,3,0
5.0,0,12,0.0,9,0.812,18,2,17,17.057,13,17.05,246.25,1.051,11,2,22.073,23.426,22,57.1,21,4,27.5,19.0,0.0,0,0.812,9.5,0,2,0
7.208,1,25,1.6,13,0.669,34,0,30,40.779,13,37.341,421.66,0.985,12,0,60.08,68.437,65,41.0,61,31,41.0,50.8,0.092,1,0.612,0.0,6,3,0
6.759,2,37,2.2,20,0.65,51,0,45,59.171,23,55.094,606.89,0.988,23,0,89.937,102.713,97,40.7,91,46,62.5,50.5,0.124,0,0.605,0.0,12,6,0
6.611,2,37,2.2,20,0.65,51,0,45,59.171,23,55.094,606.89,0.988,23,0,89.937,102.713,97,40.7,91,46,62.5,50.5,0.124,0,0.605,0.0,12,6,0
4.0,2,34,2.4,18,0.648,44,0,39,53.154,18,49.03,525.8,0.983,18,0,80.632,92.218,87,41.5,82,43,53.0,52.4,0.115,0,0.598,0.0,10,3,0
5.836,0,15,0.0,8,0.643,20,1,18,23.802,10,22.167,246.36,0.991,10,1,36.669,42.073,39,40.5,37,19,25.0,51.4,0.077,0,0.599,2.7,3,2,0
