pXC50,GGI10,Eig04_EA.bo.,SM14_AEA.ri.,ATSC1p,Psi_e_1,SsssCH,Eig04_AEA.bo.,ATSC2p,SM06_AEA.bo.,GGI9,X2v,SpMin3_Bh.i.,ATS1m,Eig04_EA,SM12_AEA.bo.,SM07_AEA.bo.,Eig04_AEA.ri.,SM05_AEA.bo.,ZM1MulPer,SpMax5_Bh.v.,ATS4s,X1v,Eig03_EA,SM11_AEA.bo.,Eig03_AEA.ri.,SM08_AEA.bo.,X3v,SpMax5_Bh.p.,SM05_EA.bo.,Eig04_EA.ri.,X2sol,ZM1V,SM04_EA.bo.,ZM2Mad,ATSC6s,ATSC5e,Eig02_AEA.bo.,SpMax2_Bh.e.,SpMax2_Bh.i.,ATSC5s,GGI1,ZM1Kup,ZM1Per,Eig03_AEA.bo.,SM07_EA.bo.,ZM2MulPer,DELS,Eig03_EA.ri.,SM06_EA.bo.,SpMax8_Bh.s.,ATS2s,SpMin3_Bh.e.,SM03_EA,Psi_i_s,SMTIV,SM03_EA.ri.,ZM2V,ZM1Mad,nCs,SpMax4_Bh.s.,SM08_EA,SpMax4_Bh.p.,SM08_EA.bo.,SM02_EA.dm.,SM07_EA
8.959,0.376,3.158,3.158,8.434,6.685,-1.378,4.019,13.545,10.5,0.604,12.073,1.8,4.006,2.88,2.88,11.894,3.854,9.124,655.451,3.489,6.637,14.707,2.922,2.922,3.891,13.304,7.492,3.483,7.937,2.797,18.75,610.0,7.262,279.638,154.489,1.33,4.333,3.904,3.946,170.815,10.0,674.057,856.32,4.1,10.658,586.641,62.801,2.824,9.646,4.476,6.105,1.838,4.635,100.528,44370.0,4.529,546.0,250.839,5,6.45,10.589,3.641,12.201,3.422,9.362
8.0,0.388,3.158,3.158,8.302,6.848,-1.34,4.019,13.68,10.51,0.574,12.361,1.801,4.021,2.881,2.881,11.903,3.855,9.137,660.29,3.489,6.602,14.968,2.931,2.931,3.898,13.312,7.655,3.484,7.937,2.799,19.218,616.0,7.273,289.078,147.926,1.231,4.34,3.909,3.949,161.443,9.5,680.057,869.5,4.101,10.661,597.913,64.107,2.827,9.653,4.389,6.114,1.844,4.635,99.528,45106.0,4.529,562.0,258.167,5,6.45,10.605,3.642,12.207,3.422,9.367
6.222,0.384,3.185,3.185,7.72,6.41,-1.711,4.052,12.725,10.422,0.417,11.535,1.798,3.927,2.816,2.816,11.809,3.786,9.054,625.128,3.483,6.633,13.754,2.922,2.922,3.895,13.21,6.89,3.479,7.811,2.722,17.325,578.0,7.182,258.874,207.662,0.919,4.222,3.904,3.948,153.528,9.5,656.697,806.39,4.065,10.492,541.414,66.597,2.837,9.532,4.476,6.051,1.838,4.575,97.861,36613.0,4.469,507.0,234.912,5,7.423,10.501,3.641,12.043,3.321,9.274
7.553,0.384,3.185,3.185,7.677,6.598,-1.722,4.052,12.883,10.48,0.497,12.035,1.798,3.982,2.887,2.887,11.873,3.839,9.105,687.248,3.483,6.604,14.238,2.924,2.924,3.896,13.281,7.365,3.479,7.921,2.724,18.223,634.0,7.242,281.672,216.729,1.146,4.306,3.905,3.947,183.566,10.0,690.9,878.44,4.095,10.631,579.202,70.395,2.837,9.624,4.476,6.07,1.835,4.635,101.639,40582.0,4.496,542.0,256.432,5,7.423,10.561,3.641,12.172,3.321,9.337
6.222,0.45,3.185,3.185,7.677,6.568,-1.644,4.052,12.883,10.47,0.472,12.087,1.798,3.982,2.843,2.843,11.859,3.8,9.1,687.285,3.483,6.631,14.232,2.923,2.923,3.895,13.261,7.275,3.479,7.896,2.705,18.223,634.0,7.235,277.002,238.338,0.975,4.255,3.904,3.947,153.787,10.5,690.9,877.76,4.083,10.58,578.064,69.536,2.837,9.598,4.476,6.078,1.835,4.635,101.639,40963.0,4.496,541.0,256.432,5,7.423,10.531,3.641,12.12,3.321,9.309
6.222,0.384,3.185,3.185,7.677,6.583,-1.722,4.052,12.883,10.47,0.497,12.087,1.798,3.982,2.844,2.844,11.859,3.803,9.1,687.285,3.483,6.599,14.232,2.923,2.923,3.895,13.261,7.287,3.479,7.896,2.711,18.223,634.0,7.235,277.002,216.729,1.216,4.257,3.905,3.947,191.719,10.5,690.9,877.76,4.081,10.58,578.062,70.3,2.837,9.598,4.476,6.078,1.835,4.635,101.639,40613.0,4.496,541.0,256.432,5,7.423,10.531,3.641,12.12,3.321,9.309
8.585,0.384,3.185,3.185,8.066,6.403,-1.436,4.052,13.121,10.433,0.477,11.756,1.799,3.953,2.835,2.835,11.82,3.806,9.064,609.311,3.483,6.589,14.178,2.922,2.922,3.895,13.223,7.124,3.479,7.82,2.745,18.043,566.0,7.193,263.372,197.99,0.842,4.237,3.904,3.947,139.616,9.5,618.321,795.37,4.072,10.507,545.366,58.77,2.837,9.545,4.392,6.051,1.84,4.575,95.361,37829.0,4.476,509.0,237.96,5,6.45,10.516,3.641,12.059,3.373,9.287
6.222,0.417,3.185,3.185,8.066,6.393,-1.394,4.04,13.121,10.422,0.532,11.79,1.799,3.953,2.761,2.761,11.804,3.736,9.059,609.53,3.483,6.557,14.172,2.922,2.922,3.894,13.199,7.1,3.479,7.793,2.687,18.128,566.0,7.186,262.04,188.615,0.937,4.172,3.903,3.947,142.618,10.0,618.321,794.81,4.053,10.448,544.698,58.285,2.836,9.516,4.393,6.054,1.839,4.575,95.361,38304.0,4.476,508.0,237.96,5,6.45,10.477,3.641,12.0,3.373,9.251
6.222,0.434,3.185,3.185,8.406,6.554,-1.435,4.052,13.677,10.437,0.512,11.984,1.799,3.975,2.838,2.838,11.824,3.808,9.07,612.92,3.483,6.596,14.765,2.923,2.923,3.895,13.226,7.204,3.479,7.82,2.746,18.424,570.0,7.197,267.704,194.577,0.812,4.239,3.904,3.947,136.412,9.5,622.321,802.85,4.073,10.508,550.862,59.82,2.837,9.547,4.387,6.08,1.84,4.575,96.861,39897.0,4.476,517.0,242.624,5,6.45,10.52,3.641,12.06,3.373,9.288
8.886,0.434,3.185,3.185,8.434,6.7,-1.531,4.052,13.545,10.5,0.592,12.096,1.799,4.006,2.911,2.911,11.895,3.879,9.124,655.582,3.483,6.641,14.707,2.93,2.93,3.902,13.305,7.418,3.479,7.937,2.807,18.762,610.0,7.262,279.805,205.842,1.129,4.334,3.905,3.947,155.083,10.0,674.057,856.38,4.1,10.659,586.997,63.466,2.841,9.647,4.476,6.105,1.838,4.635,100.528,43190.0,4.529,546.0,250.839,5,6.45,10.593,3.641,12.202,3.422,9.364
7.886,0.446,3.185,3.185,8.302,6.863,-1.493,4.052,13.68,10.51,0.562,12.385,1.8,4.021,2.915,2.915,11.904,3.883,9.137,660.42,3.483,6.606,14.968,2.935,2.935,3.905,13.313,7.582,3.479,7.937,2.811,19.23,616.0,7.273,289.244,199.219,1.032,4.34,3.91,3.949,145.755,9.5,680.057,869.56,4.101,10.662,598.27,64.773,2.842,9.653,4.389,6.113,1.843,4.635,99.528,43916.0,4.529,562.0,258.167,5,6.45,10.608,3.642,12.208,3.422,9.369
5.77,0.31,3.138,3.138,7.046,6.165,-1.806,4.002,11.743,10.407,0.428,11.097,1.796,3.873,2.813,2.813,11.794,3.783,9.038,611.359,3.485,6.599,12.778,2.871,2.871,3.846,13.195,6.693,3.48,7.803,2.721,16.791,562.0,7.167,248.047,167.365,1.125,4.222,3.899,3.944,174.037,9.5,637.111,782.11,4.065,10.482,523.001,66.696,2.797,9.521,4.626,6.035,1.838,4.575,96.861,33005.0,4.469,489.0,225.473,5,7.423,10.479,3.641,12.033,3.266,9.258
7.77,0.31,3.138,3.138,6.99,6.354,-1.816,4.002,11.849,10.466,0.508,11.597,1.796,3.931,2.861,2.861,11.859,3.827,9.089,673.48,3.485,6.568,13.262,2.896,2.896,3.856,13.267,7.168,3.48,7.914,2.723,17.689,618.0,7.227,270.844,177.533,1.347,4.306,3.9,3.944,203.635,10.0,671.314,854.16,4.095,10.622,560.788,70.469,2.797,9.613,4.828,6.056,1.835,4.635,100.639,36668.0,4.496,524.0,246.992,5,7.423,10.54,3.641,12.164,3.266,9.323
6.222,0.376,3.138,3.138,6.99,6.324,-1.739,4.002,11.849,10.456,0.484,11.649,1.796,3.931,2.837,2.837,11.844,3.796,9.084,673.517,3.485,6.596,13.256,2.873,2.873,3.847,13.246,7.078,3.48,7.889,2.704,17.689,618.0,7.221,266.175,198.464,1.179,4.255,3.9,3.944,174.975,10.5,671.314,853.48,4.083,10.571,559.651,69.618,2.797,9.587,4.857,6.063,1.835,4.635,100.639,37029.0,4.496,523.0,246.992,5,7.423,10.51,3.641,12.111,3.266,9.293
6.222,0.31,3.138,3.138,6.99,6.339,-1.816,4.002,11.849,10.456,0.508,11.649,1.796,3.931,2.838,2.838,11.844,3.799,9.084,673.517,3.485,6.563,13.256,2.874,2.874,3.847,13.246,7.09,3.48,7.889,2.71,17.689,618.0,7.221,266.175,177.533,1.413,4.257,3.9,3.944,210.685,10.5,671.314,853.48,4.081,10.571,559.649,70.374,2.797,9.587,4.867,6.063,1.835,4.635,100.639,36699.0,4.496,523.0,246.992,5,7.423,10.51,3.641,12.111,3.266,9.293
8.77,0.31,3.138,3.138,7.4,6.159,-1.534,4.002,12.164,10.418,0.488,11.318,1.797,3.901,2.83,2.83,11.806,3.801,9.048,595.543,3.485,6.552,13.202,2.873,2.873,3.848,13.208,6.927,3.48,7.812,2.742,17.509,550.0,7.177,252.545,156.965,1.048,4.237,3.899,3.944,158.822,9.5,598.735,771.09,4.072,10.496,526.952,58.879,2.799,9.533,4.394,6.036,1.839,4.575,94.361,34167.0,4.476,491.0,228.521,5,6.45,10.495,3.641,12.049,3.321,9.271
6.222,0.343,3.138,3.138,7.4,6.149,-1.492,4.001,12.164,10.407,0.544,11.353,1.797,3.901,2.759,2.759,11.789,3.734,9.043,595.762,3.485,6.519,13.196,2.868,2.868,3.844,13.183,6.903,3.48,7.784,2.687,17.594,550.0,7.171,251.212,145.883,1.139,4.172,3.899,3.943,161.886,10.0,598.735,770.53,4.041,10.437,526.285,58.397,2.796,9.504,4.395,6.039,1.839,4.575,94.361,34618.0,4.476,490.0,228.521,5,6.45,10.455,3.641,11.989,3.321,9.235
6.222,0.359,3.138,3.138,7.742,6.31,-1.533,4.002,12.73,10.422,0.524,11.547,1.797,3.924,2.833,2.833,11.809,3.803,9.054,599.152,3.485,6.56,13.789,2.873,2.873,3.848,13.21,7.007,3.48,7.812,2.744,17.89,554.0,7.182,256.877,152.021,1.017,4.239,3.899,3.944,155.896,9.5,602.735,778.57,4.073,10.497,532.448,59.939,2.799,9.535,4.389,6.065,1.84,4.575,95.861,36113.0,4.476,499.0,233.185,5,6.45,10.499,3.641,12.051,3.321,9.272
8.553,0.359,3.138,3.138,7.775,6.456,-1.628,4.002,12.61,10.486,0.604,11.659,1.797,3.957,2.864,2.864,11.881,3.838,9.109,641.814,3.485,6.606,13.731,2.922,2.922,3.89,13.291,7.221,3.48,7.93,2.786,18.228,594.0,7.247,268.977,164.086,1.337,4.333,3.9,3.944,173.748,10.0,654.471,832.1,4.1,10.65,568.584,63.562,2.821,9.636,4.493,6.09,1.837,4.635,99.528,39164.0,4.529,528.0,241.399,5,6.45,10.574,3.641,12.194,3.373,9.35
8.155,0.371,3.138,3.138,7.634,6.62,-1.59,4.002,12.717,10.497,0.574,11.947,1.798,3.972,2.865,2.865,11.89,3.839,9.122,646.652,3.485,6.57,13.991,2.931,2.931,3.898,13.299,7.384,3.48,7.93,2.787,18.696,600.0,7.259,278.416,158.443,1.235,4.34,3.906,3.946,165.166,9.5,660.471,845.28,4.101,10.653,579.856,64.868,2.824,9.643,4.391,6.099,1.843,4.635,98.528,39824.0,4.529,544.0,248.728,5,6.45,10.589,3.642,12.2,3.373,9.355
6.538,0.368,3.166,3.166,7.046,6.184,-1.963,4.034,11.743,10.407,0.397,11.121,1.795,3.873,2.815,2.815,11.795,3.785,9.038,611.49,3.479,6.605,12.778,2.906,2.906,3.88,13.196,6.619,3.476,7.803,2.721,16.803,562.0,7.167,248.213,233.823,0.938,4.222,3.9,3.945,156.3,9.5,637.111,782.17,4.065,10.483,523.358,67.449,2.825,9.521,4.626,6.035,1.837,4.575,96.861,32245.0,4.469,489.0,225.473,5,7.423,10.483,3.641,12.034,3.266,9.261
8.076,0.368,3.166,3.166,6.99,6.373,-1.973,4.035,11.849,10.466,0.477,11.621,1.795,3.931,2.883,2.883,11.86,3.836,9.089,673.61,3.479,6.574,13.262,2.911,2.911,3.882,13.268,7.094,3.476,7.914,2.723,17.701,618.0,7.227,271.011,243.709,1.166,4.306,3.9,3.944,186.28,10.0,671.314,854.22,4.095,10.623,561.145,71.224,2.825,9.613,4.828,6.055,1.835,4.635,100.639,35868.0,4.496,524.0,246.992,5,7.423,10.544,3.641,12.165,3.266,9.325
6.721,0.434,3.166,3.166,6.99,6.343,-1.896,4.035,11.849,10.456,0.452,11.673,1.795,3.931,2.841,2.841,11.845,3.799,9.084,673.647,3.479,6.602,13.256,2.907,2.907,3.88,13.247,7.004,3.476,7.889,2.703,17.701,618.0,7.221,266.341,264.639,0.997,4.255,3.9,3.944,157.62,10.5,671.314,853.54,4.083,10.571,560.007,70.372,2.824,9.587,4.857,6.063,1.835,4.635,100.639,36229.0,4.496,523.0,246.992,5,7.423,10.514,3.641,12.112,3.266,9.296
6.222,0.368,3.166,3.166,6.99,6.358,-1.973,4.035,11.849,10.456,0.477,11.673,1.795,3.931,2.842,2.842,11.845,3.802,9.084,673.647,3.479,6.57,13.256,2.907,2.907,3.88,13.247,7.016,3.476,7.889,2.709,17.701,618.0,7.221,266.341,243.709,1.231,4.257,3.9,3.944,193.331,10.5,671.314,853.54,4.081,10.571,560.006,71.13,2.824,9.587,4.867,6.063,1.835,4.635,100.639,35899.0,4.496,523.0,246.992,5,7.423,10.514,3.641,12.112,3.266,9.296
8.886,0.368,3.166,3.166,7.4,6.177,-1.688,4.035,12.164,10.418,0.457,11.342,1.796,3.901,2.834,2.834,11.806,3.804,9.048,595.674,3.479,6.558,13.202,2.907,2.907,3.88,13.209,6.853,3.476,7.812,2.743,17.521,550.0,7.177,252.711,224.073,0.857,4.237,3.899,3.944,140.142,9.5,598.735,771.15,4.072,10.497,527.309,59.593,2.826,9.533,4.394,6.036,1.839,4.575,94.361,33391.0,4.476,491.0,228.521,5,6.45,10.499,3.641,12.05,3.321,9.274
6.222,0.401,3.166,3.166,7.4,6.167,-1.646,4.033,12.164,10.408,0.512,11.376,1.796,3.901,2.76,2.76,11.789,3.734,9.043,595.892,3.479,6.526,13.196,2.906,2.906,3.879,13.184,6.829,3.476,7.784,2.685,17.606,550.0,7.171,251.379,212.991,0.948,4.172,3.899,3.944,143.207,10.0,598.735,770.59,4.042,10.438,526.642,59.11,2.824,9.504,4.395,6.039,1.838,4.575,94.361,33842.0,4.476,490.0,228.521,5,6.45,10.459,3.641,11.99,3.321,9.238
6.222,0.417,3.166,3.166,7.742,6.328,-1.687,4.035,12.73,10.422,0.492,11.571,1.796,3.924,2.837,2.837,11.809,3.807,9.054,599.282,3.479,6.566,13.789,2.907,2.907,3.88,13.211,6.933,3.476,7.812,2.745,17.902,554.0,7.182,257.043,219.286,0.823,4.239,3.899,3.944,136.975,9.5,602.735,778.63,4.073,10.498,532.805,60.659,2.826,9.536,4.389,6.065,1.839,4.575,95.861,35315.0,4.476,499.0,233.185,5,6.45,10.503,3.641,12.052,3.321,9.275
8.699,0.417,3.166,3.166,7.775,6.474,-1.783,4.035,12.61,10.486,0.572,11.683,1.796,3.957,2.899,2.899,11.882,3.869,9.109,641.944,3.479,6.612,13.731,2.925,2.925,3.895,13.292,7.148,3.476,7.93,2.802,18.24,594.0,7.247,269.144,231.18,1.149,4.334,3.901,3.944,155.09,10.0,654.471,832.16,4.1,10.65,568.94,64.312,2.833,9.637,4.493,6.09,1.837,4.635,99.528,38332.0,4.529,528.0,241.399,5,6.45,10.577,3.641,12.195,3.373,9.352
8.167,0.429,3.166,3.166,7.634,6.638,-1.745,4.035,12.717,10.497,0.542,11.971,1.797,3.972,2.901,2.901,11.891,3.871,9.122,646.783,3.479,6.577,13.991,2.933,2.933,3.901,13.3,7.311,3.476,7.93,2.805,18.708,600.0,7.259,278.583,225.49,1.048,4.34,3.907,3.946,146.579,9.5,660.471,845.34,4.101,10.653,580.213,65.592,2.834,9.644,4.391,6.099,1.842,4.635,98.528,38986.0,4.529,544.0,248.728,5,6.45,10.593,3.641,12.2,3.373,9.357
5.155,0.364,3.179,3.179,8.743,7.817,-4.123,3.922,15.582,10.544,0.571,13.221,1.714,4.155,2.755,2.755,11.931,3.733,9.182,733.707,3.567,6.732,17.627,2.852,2.852,3.831,13.339,10.074,3.577,7.883,2.681,20.307,682.0,7.289,327.95,164.821,1.92,4.354,3.993,4.038,337.065,8.0,742.165,960.68,4.015,10.617,656.83,74.23,2.783,9.629,4.557,6.24,1.763,4.575,113.556,64136.0,4.53,618.0,291.474,11,7.426,10.658,3.616,12.185,4.05,9.389
5.481,0.025,2.8,2.8,4.907,4.558,-0.372,3.592,8.586,10.141,0.076,8.486,1.673,3.647,2.384,2.384,11.528,3.346,8.775,473.655,3.165,6.101,10.075,2.66,2.66,3.615,12.934,5.706,3.15,7.595,2.28,13.392,436.0,6.997,201.727,104.87,0.671,4.186,3.852,3.877,130.638,6.5,427.673,608.81,3.963,10.342,409.219,37.641,2.529,9.386,4.189,5.69,1.72,4.205,68.389,13408.0,4.068,384.0,186.096,1,4.96,10.125,3.43,11.941,2.925,8.874
4.699,0.082,2.854,2.854,5.644,4.786,-0.231,3.656,9.787,10.16,0.19,8.897,1.674,3.714,2.414,2.414,11.546,3.375,8.796,487.243,3.29,6.172,11.051,2.671,2.671,3.625,12.951,6.005,3.289,7.605,2.3,13.892,452.0,7.015,212.388,83.751,0.694,4.187,3.852,3.877,116.396,6.5,447.258,633.01,3.969,10.352,427.153,36.731,2.537,9.399,4.189,5.71,1.72,4.205,69.389,15668.0,4.068,402.0,195.535,1,4.894,10.144,3.449,11.949,3.002,8.889
4.699,0.025,2.8,2.8,5.413,4.526,-0.196,3.592,9.266,10.141,0.076,8.408,1.685,3.602,2.384,2.384,11.528,3.36,8.775,420.419,3.199,6.12,10.008,2.66,2.66,3.631,12.934,5.664,3.186,7.595,2.315,12.984,388.0,6.997,191.968,87.242,0.58,4.186,3.856,3.881,121.999,6.5,401.469,550.01,3.963,10.342,384.426,33.98,2.575,9.386,4.06,5.688,1.735,4.205,66.278,12448.0,4.127,360.0,170.577,1,4.937,10.125,3.437,11.941,2.925,8.874
4.699,0.025,2.8,2.8,5.087,4.652,-0.697,3.592,8.699,10.141,0.076,8.049,1.671,3.611,2.384,2.384,11.528,3.352,8.775,473.655,3.159,6.135,9.697,2.66,2.66,3.622,12.934,5.47,3.145,7.595,2.293,12.35,436.0,6.997,194.878,131.917,0.746,4.186,3.853,3.879,146.505,6.5,487.58,608.81,3.963,10.342,409.219,45.029,2.546,9.386,4.22,5.741,1.719,4.205,72.278,13408.0,4.098,384.0,174.407,1,6.351,10.125,3.426,11.941,2.925,8.874
4.699,0.025,2.707,2.707,5.051,4.373,-0.182,3.556,8.643,10.073,0.076,7.905,1.673,3.569,2.349,2.349,11.459,3.322,8.711,411.498,3.155,6.077,9.597,2.613,2.613,3.58,12.864,5.418,3.145,7.478,2.271,12.35,380.0,6.929,184.968,92.63,0.568,4.183,3.851,3.877,123.394,5.5,393.469,537.44,3.902,10.229,372.571,33.175,2.515,9.305,4.045,5.654,1.722,4.111,64.611,11596.0,4.026,350.0,164.577,1,4.937,10.079,3.426,11.848,2.925,8.819
5.26,0.025,2.816,2.816,4.54,4.552,-0.78,3.631,7.821,10.176,0.076,8.017,1.668,3.643,2.384,2.384,11.563,3.346,8.809,485.141,3.164,6.096,9.719,2.66,2.66,3.615,12.966,5.551,3.15,7.634,2.28,13.392,446.0,7.03,201.727,108.329,0.672,4.188,3.852,3.875,135.99,6.5,437.673,622.37,3.965,10.367,418.934,39.096,2.529,9.411,4.302,5.681,1.708,4.205,69.722,13718.0,4.068,392.0,186.096,1,4.961,10.125,3.431,11.958,2.974,8.874
4.699,0.037,3.05,3.05,5.018,4.84,-1.026,3.936,8.675,10.276,0.106,8.873,1.671,3.682,2.66,2.66,11.674,3.615,8.895,510.477,3.166,6.166,10.089,2.841,2.841,3.807,13.088,5.702,3.151,7.704,2.529,14.528,468.0,7.059,211.388,131.56,0.892,4.223,3.854,3.877,158.705,8.0,467.822,651.49,4.065,10.42,436.521,46.269,2.734,9.449,4.313,5.78,1.71,4.443,74.306,15052.0,4.288,408.0,196.864,1,6.351,10.407,3.43,11.993,2.925,9.174
4.699,0.07,3.217,3.217,4.615,5.092,-0.798,3.867,7.973,10.263,0.154,8.546,1.805,3.742,2.518,2.518,11.646,3.501,8.903,525.647,3.262,6.124,10.776,2.66,2.66,3.615,13.045,6.281,3.262,7.692,2.475,14.502,486.0,7.196,223.727,95.852,0.679,4.193,3.901,3.929,132.393,6.0,477.673,683.7,3.977,10.445,467.199,38.641,2.529,9.574,4.308,5.754,1.827,4.205,74.722,18472.0,4.068,440.0,204.096,1,4.961,10.178,3.468,12.102,2.925,8.908
4.815,0.025,2.799,2.799,5.051,4.367,-0.159,3.587,8.643,10.059,0.076,7.968,1.673,3.569,2.332,2.332,11.436,3.296,8.704,411.691,3.165,6.049,9.591,2.62,2.62,3.583,12.831,5.283,3.15,7.439,2.252,12.494,380.0,6.92,182.017,94.839,0.511,4.038,3.847,3.878,120.915,6.0,393.469,536.86,3.926,10.154,371.829,32.787,2.514,9.269,3.991,5.658,1.72,4.111,64.611,11695.0,4.026,349.0,164.577,1,4.932,10.025,3.43,11.782,2.925,8.766
5.658,0.025,2.8,2.8,4.921,4.531,-0.243,3.592,8.749,10.141,0.076,8.933,1.673,3.739,2.384,2.384,11.528,3.345,8.775,473.655,3.165,6.075,10.49,2.66,2.66,3.614,12.934,6.084,3.151,7.595,2.273,13.763,436.0,6.997,223.933,97.762,0.61,4.186,3.851,3.876,124.02,6.5,420.124,608.81,3.963,10.342,409.219,34.864,2.525,9.386,3.991,5.673,1.72,4.205,67.028,13408.0,4.057,384.0,236.447,1,4.932,10.125,3.431,11.941,2.925,8.874
5.721,0.025,2.801,2.801,5.494,4.661,-0.358,3.593,9.234,10.155,0.116,8.299,1.673,3.646,2.397,2.397,11.543,3.367,8.788,457.839,3.165,6.142,10.12,2.666,2.666,3.625,12.95,5.595,3.151,7.606,2.32,13.213,424.0,7.01,198.007,102.142,0.67,4.207,3.858,3.882,128.263,6.5,449.205,597.79,3.964,10.359,413.17,37.495,2.552,9.4,4.189,5.738,1.72,4.205,69.778,14060.0,4.108,386.0,177.455,1,4.94,10.147,3.43,11.958,3.002,8.893
5.921,0.058,2.853,2.853,5.915,4.955,-0.5,3.633,9.772,10.242,0.211,8.64,1.674,3.717,2.481,2.481,11.64,3.45,8.866,504.109,3.173,6.225,10.649,2.694,2.694,3.658,13.056,5.89,3.159,7.749,2.392,13.931,468.0,7.092,214.439,109.301,0.89,4.325,3.87,3.887,139.082,7.0,504.94,658.8,3.973,10.533,454.802,42.145,2.589,9.517,4.297,5.81,1.719,4.29,74.944,16857.0,4.184,423.0,190.334,1,4.957,10.257,3.431,12.116,3.073,9.006
5.62,0.184,2.856,2.856,6.896,5.753,-0.327,3.659,11.953,10.25,0.235,10.646,1.704,3.87,2.417,2.417,11.624,3.389,8.9,568.785,3.467,6.346,13.236,2.671,2.671,3.63,13.017,7.103,3.451,7.663,2.336,16.489,524.0,7.09,239.859,124.159,0.759,4.187,3.853,3.878,135.334,7.5,529.741,728.77,3.969,10.383,485.356,48.786,2.555,9.44,4.324,5.95,1.76,4.29,87.056,29778.0,4.173,456.0,224.031,5,6.351,10.179,3.585,11.971,3.206,8.92
5.854,0.262,3.074,3.074,7.029,6.096,-0.243,3.877,12.279,10.347,0.322,11.514,1.813,3.914,2.624,2.624,11.723,3.589,8.993,587.108,3.453,6.439,13.713,2.835,2.835,3.802,13.116,8.136,3.437,7.735,2.538,17.386,542.0,7.15,262.357,126.937,0.931,4.188,3.897,3.948,157.933,8.5,549.053,758.83,4.029,10.438,512.664,51.21,2.737,9.491,4.325,5.967,1.858,4.443,87.889,30226.0,4.321,482.0,238.725,4,6.351,10.331,3.588,12.011,3.232,9.082
6.032,0.245,3.109,3.109,6.672,5.977,-0.783,3.919,11.655,10.353,0.322,11.085,1.795,3.891,2.673,2.673,11.734,3.652,8.992,582.907,3.442,6.463,13.24,2.86,2.86,3.835,13.133,7.902,3.427,7.753,2.605,16.895,538.0,7.151,260.021,101.016,1.028,4.188,3.889,3.937,157.435,8.0,545.053,754.09,4.04,10.458,510.402,51.726,2.788,9.503,4.324,5.939,1.842,4.443,86.389,27768.0,4.321,480.0,234.725,3,6.351,10.358,3.587,12.026,3.232,9.113
6.432,0.143,3.063,3.063,6.951,5.484,-0.11,3.862,11.804,10.252,0.277,10.347,1.765,3.812,2.596,2.596,11.638,3.555,8.891,475.144,3.424,6.329,12.753,2.81,2.81,3.773,13.041,7.304,3.415,7.664,2.488,15.194,444.0,7.083,233.979,85.522,0.72,4.209,3.864,3.918,110.319,6.5,464.7,634.13,4.024,10.408,449.57,36.175,2.698,9.454,4.189,5.805,1.824,4.29,73.278,20248.0,4.188,422.0,205.656,4,4.843,10.276,3.586,11.998,2.904,9.012
6.301,0.245,3.109,3.109,7.179,6.08,-0.768,3.92,12.153,10.364,0.362,10.898,1.795,3.89,2.677,2.677,11.746,3.657,9.003,567.09,3.442,6.492,13.286,2.865,2.865,3.841,13.146,7.792,3.426,7.762,2.613,16.715,526.0,7.162,256.301,99.309,1.026,4.209,3.889,3.937,154.083,8.0,566.585,743.07,4.042,10.473,514.354,51.504,2.793,9.516,4.345,5.977,1.842,4.443,87.778,28754.0,4.352,482.0,226.084,3,6.351,10.376,3.587,12.042,3.289,9.128
6.347,0.312,3.109,3.109,7.576,6.375,-0.925,3.925,12.646,10.436,0.477,11.239,1.795,3.946,2.694,2.694,11.826,3.673,9.066,613.361,3.443,6.551,13.815,2.877,2.877,3.848,13.234,8.086,3.427,7.886,2.625,17.433,570.0,7.233,272.734,106.713,1.243,4.326,3.89,3.937,164.964,8.5,622.321,804.08,4.046,10.63,555.985,56.353,2.795,9.621,4.381,6.034,1.842,4.511,92.944,32989.0,4.412,519.0,238.963,3,6.351,10.464,3.588,12.188,3.342,9.218
4.699,0.312,3.109,3.109,7.576,6.375,-0.925,3.925,12.646,10.436,0.477,11.239,1.795,3.946,2.694,2.694,11.826,3.673,9.066,613.361,3.443,6.551,13.815,2.877,2.877,3.848,13.234,8.086,3.427,7.886,2.625,17.433,570.0,7.233,272.734,106.713,1.243,4.326,3.89,3.937,164.964,8.5,622.321,804.08,4.046,10.63,555.985,56.353,2.795,9.621,4.381,6.034,1.842,4.511,92.944,32989.0,4.412,519.0,238.963,3,6.351,10.464,3.588,12.188,3.342,9.218
6.658,0.312,3.109,3.109,7.576,6.375,-0.925,3.925,12.646,10.436,0.477,11.239,1.795,3.946,2.694,2.694,11.826,3.673,9.066,613.361,3.443,6.551,13.815,2.877,2.877,3.848,13.234,8.086,3.427,7.886,2.625,17.433,570.0,7.233,272.734,106.713,1.243,4.326,3.89,3.937,164.964,8.5,622.321,804.08,4.046,10.63,555.985,56.353,2.795,9.621,4.381,6.034,1.842,4.511,92.944,32989.0,4.412,519.0,238.963,3,6.351,10.464,3.588,12.188,3.342,9.218
