pXC50,MATS3p,MATS3i,NdssC,MATS3v,SaaCH,nR06,D.Dtr07,nR07,GATS3v,C.019,C.017,nR.Ct,nCconj,ARR,D.Dtr11,SpMin1_Bh.v.,C.038,SpMin8_Bh.e.,GATS3i,ATSC7i,D.Dtr12,nR12,C.016,NdsCH,nR.Cs,ATS7s,SpMin8_Bh.i.,SpMin8_Bh.v.,SpMax2_Bh.i.,ATS4m,ATS5m,ATS7e,nR11,ATSC6i,CATS2D_05_AL,SpMin1_Bh.p.,ATS3m,ATS8e,CATS2D_06_AL,SpMin8_Bh.p.,ATS7i,ATS7p,GGI4,SpMax3_Bh.m.,SpMax8_Bh.m.,SpMin1_Bh.m.,Eig02_AEA.dm.,nRCO,SdssC,SpMin8_Bh.m.,nDB,ATS6m,ATS7v,SpMax8_Bh.v.,NaaCH,Eig05_EA,SM13_AEA.bo.,Eig04_AEA.dm.,ATS6e,ATS7m,ATS8i,SM11_EA.bo.,ATSC7v,SM12_EA.bo.
4.398,-0.106,-0.12,0,-0.106,14.432,3,0.0,0,0.98,0,0,0,0,0.773,0.0,2.121,0,0.558,1.133,0.456,0.0,0,0,0,0,4.837,0.502,0.817,3.886,3.604,3.541,3.77,0,0.563,1,2.126,3.749,3.673,1,0.813,3.954,3.084,1.48,3.609,2.44,2.099,2.912,0,0.0,0.811,0,3.185,2.995,2.408,8,1.948,1.948,2.544,3.999,3.0,3.889,16.699,4.602,18.229
5.367,-0.039,-0.083,0,-0.045,12.613,3,0.0,0,0.953,0,0,0,0,0.68,0.0,2.122,0,0.808,1.161,0.856,0.0,0,0,0,0,5.494,0.742,1.028,3.888,3.81,3.71,4.401,0,0.938,3,2.134,3.865,4.193,2,0.99,4.624,3.507,1.911,3.458,2.613,2.095,3.026,0,0.0,1.087,0,3.553,3.423,2.633,7,1.973,1.973,2.505,4.464,3.365,4.403,16.837,8.612,18.365
5.433,-0.103,-0.1,1,-0.099,14.18,2,0.0,0,1.058,0,0,0,1,0.533,0.0,2.03,0,1.099,1.175,1.15,0.0,0,0,0,0,5.553,1.011,1.361,3.978,4.001,3.864,4.703,0,1.215,2,2.032,4.025,4.6,0,1.33,4.957,3.795,1.873,3.642,2.909,2.025,3.33,0,0.652,1.421,1,3.757,3.679,2.883,7,2.061,2.061,2.806,4.762,3.577,4.874,16.923,12.812,18.428
6.201,-0.103,-0.1,1,-0.099,14.18,2,0.0,0,1.058,0,0,0,1,0.533,0.0,2.03,0,1.099,1.175,1.15,0.0,0,0,0,0,5.553,1.011,1.361,3.978,4.001,3.864,4.703,0,1.215,2,2.032,4.025,4.6,0,1.33,4.957,3.795,1.873,3.642,2.909,2.025,3.33,0,0.652,1.421,1,3.757,3.679,2.883,7,2.061,2.061,2.806,4.762,3.577,4.874,16.923,12.812,18.428
6.131,-0.055,-0.1,0,-0.064,14.655,3,0.0,0,0.966,0,0,0,0,0.739,0.0,2.125,0,0.741,1.144,0.69,0.0,0,0,0,0,5.256,0.684,0.945,3.888,3.616,3.525,4.144,0,0.745,3,2.133,3.719,3.941,0,0.92,4.36,3.3,1.6,3.414,2.541,2.104,2.93,0,0.0,0.992,0,3.321,3.203,2.573,8,1.966,1.966,2.484,4.236,3.105,4.185,16.715,6.598,18.244
5.638,-0.116,-0.113,0,-0.111,15.133,3,0.0,0,1.032,0,0,0,2,0.68,0.0,2.102,0,0.692,1.118,0.588,0.0,0,2,2,2,5.083,0.653,0.902,3.931,3.55,3.434,3.989,0,0.646,3,2.112,3.693,3.882,4,0.875,4.169,3.283,1.395,3.578,2.526,2.082,3.014,0,0.0,0.961,1,3.337,3.215,2.501,8,1.971,1.971,2.244,4.059,3.138,4.067,16.751,5.231,18.286
4.745,-0.055,-0.1,0,-0.04,14.871,3,0.0,0,0.943,0,0,0,0,0.739,0.0,2.123,0,0.764,1.144,0.726,0.0,0,0,0,0,5.269,0.709,0.968,3.883,3.686,3.568,4.227,0,0.81,2,2.134,3.756,3.972,2,0.94,4.454,3.35,1.6,3.447,2.596,2.1,2.996,0,0.0,1.019,0,3.386,3.242,2.611,8,1.799,1.799,2.243,4.308,3.096,4.203,16.793,7.468,18.327
4.398,-0.073,-0.117,0,-0.073,10.539,3,0.0,0,0.958,0,0,0,0,0.63,0.0,2.111,0,0.808,1.178,0.776,0.0,0,0,0,0,5.404,0.741,1.032,3.9,3.871,3.765,4.325,0,0.892,1,2.124,3.91,4.262,5,0.992,4.498,3.496,1.777,3.523,2.587,2.082,3.202,0,0.0,1.095,0,3.662,3.438,2.617,6,1.981,1.981,2.666,4.455,3.401,4.482,16.941,7.34,18.462
4.854,-0.09,-0.135,0,-0.065,12.698,3,0.0,0,0.955,0,0,0,0,0.68,0.0,2.112,0,0.738,1.164,0.653,0.0,0,0,0,0,5.235,0.696,0.922,3.895,3.745,3.63,4.155,0,0.788,2,2.123,3.805,3.964,4,0.907,4.34,3.324,1.466,3.511,2.549,2.087,3.165,0,0.0,0.943,0,3.506,3.257,2.551,7,1.965,1.965,2.259,4.289,3.198,4.155,16.896,6.296,18.422
5.658,-0.184,-0.209,0,-0.151,11.161,2,0.0,0,1.027,0,0,0,0,0.727,0.0,2.09,0,0.342,1.206,0.416,0.0,0,0,0,0,4.7,0.29,0.714,3.829,3.594,3.527,3.65,0,0.505,1,2.102,3.671,3.339,1,0.714,3.802,2.93,1.374,3.519,2.323,2.057,3.056,0,0.0,0.665,0,3.304,2.805,2.228,6,1.773,1.773,2.184,3.821,2.903,3.559,16.814,3.408,18.337
4.638,-0.072,-0.075,0,-0.1,10.19,2,0.0,0,0.986,0,0,0,0,0.727,0.0,2.092,0,0.339,1.095,0.387,0.0,0,0,0,0,4.79,0.286,0.715,3.859,3.515,3.387,3.671,0,0.47,3,2.106,3.588,3.36,2,0.724,3.823,2.806,1.374,3.493,2.238,2.059,3.056,0,0.0,0.665,0,3.191,2.747,2.144,6,1.773,1.773,2.184,3.842,2.708,3.577,16.814,3.092,18.337
4.398,-0.071,-0.103,0,-0.07,22.385,4,0.0,0,0.977,0,0,0,0,0.742,0.0,2.114,0,0.886,1.104,0.831,0.0,0,0,0,0,5.361,0.821,1.107,3.942,3.836,3.768,4.351,0,0.888,1,2.124,3.957,4.135,3,1.062,4.547,3.59,1.697,3.754,2.687,2.09,3.093,0,0.0,1.137,0,3.671,3.501,2.715,12,2.184,2.184,2.669,4.417,3.397,4.343,16.872,8.234,18.404
4.398,-0.038,-0.083,0,-0.022,12.669,3,0.0,0,0.931,0,0,0,0,0.68,0.0,2.126,0,0.727,1.161,0.961,0.0,0,0,0,0,5.521,0.683,0.951,3.897,3.868,3.716,4.507,0,0.979,2,2.133,3.898,4.29,1,0.918,4.766,3.572,1.991,3.379,2.573,2.111,3.138,0,0.0,1.004,0,3.533,3.471,2.597,7,2.012,2.012,2.555,4.535,3.449,4.519,16.857,10.634,18.372
4.398,-0.097,-0.135,0,-0.106,12.698,3,0.0,0,0.994,0,0,0,0,0.68,0.0,2.113,0,0.725,1.163,0.56,0.0,0,0,0,0,5.093,0.693,0.904,3.895,3.655,3.522,3.991,0,0.669,1,2.123,3.779,3.88,3,0.894,4.149,3.215,1.546,3.521,2.555,2.089,3.062,0,0.0,0.921,0,3.406,3.165,2.536,7,1.976,1.976,2.572,4.15,3.131,4.081,16.837,4.905,18.365
4.398,-0.063,-0.068,0,-0.081,12.997,3,0.0,0,0.968,0,0,0,0,0.773,0.0,2.124,0,0.536,1.076,0.603,0.0,0,0,0,0,5.089,0.486,0.791,3.889,3.53,3.313,3.808,0,0.68,0,2.133,3.676,3.707,1,0.83,3.983,3.036,1.32,3.408,2.53,2.103,2.903,0,0.0,0.777,0,3.251,3.002,2.421,8,1.814,1.814,2.564,4.014,3.019,3.921,16.697,4.127,18.226
5.824,-0.139,-0.153,0,-0.121,17.442,3,0.0,0,1.052,0,0,0,0,0.773,0.0,2.13,0,0.756,1.187,0.712,0.0,0,0,0,0,5.079,0.695,0.96,3.92,3.535,3.374,4.112,0,0.769,2,2.134,3.654,3.962,0,0.928,4.361,3.332,1.249,3.387,2.499,2.118,2.995,0,0.0,1.015,0,3.204,3.205,2.57,9,1.678,1.678,2.184,4.207,3.05,4.212,16.655,7.173,18.182
6.051,-0.066,-0.141,0,-0.072,12.483,3,0.0,0,0.955,0,0,0,0,0.708,0.0,2.11,0,0.52,1.143,0.475,0.0,0,0,0,0,5.049,0.487,0.749,3.889,3.786,3.614,3.896,0,0.55,2,2.12,3.864,3.668,2,0.778,4.047,3.192,1.426,3.529,2.421,2.083,3.21,0,0.0,0.686,0,3.575,3.101,2.287,7,1.951,1.951,2.256,3.999,3.182,3.861,16.887,4.42,18.414
4.398,-0.058,-0.096,0,-0.066,8.618,3,0.0,0,0.956,0,0,0,0,0.586,0.0,2.111,0,0.891,1.193,1.047,0.0,0,0,0,0,5.673,0.835,1.108,3.905,4.021,3.922,4.622,0,1.068,3,2.124,4.04,4.415,3,1.121,4.857,3.676,2.408,3.535,2.809,2.08,3.354,0,0.0,1.111,0,3.773,3.603,2.782,5,2.061,2.061,2.589,4.635,3.615,4.625,17.025,11.049,18.542
5.959,-0.142,-0.169,0,-0.156,10.705,3,0.0,0,1.042,0,0,0,0,0.63,0.0,2.109,0,0.737,1.183,0.59,0.0,0,0,0,0,5.23,0.707,0.905,3.923,3.716,3.595,4.05,0,0.641,2,2.12,3.836,3.907,3,0.91,4.193,3.255,1.652,3.542,2.472,2.082,3.311,0,0.0,0.88,0,3.52,3.241,2.425,6,1.976,1.976,2.615,4.115,3.299,4.072,16.931,4.478,18.45
4.398,-0.029,-0.011,0,-0.032,14.305,3,0.0,0,0.915,0,0,0,0,0.81,0.0,2.12,0,0.543,1.054,0.522,0.0,0,0,0,0,4.945,0.48,0.811,3.865,3.465,3.363,3.847,0,0.606,4,2.131,3.599,3.579,2,0.812,4.061,3.023,1.289,3.4,2.437,2.094,2.808,0,0.0,0.812,0,3.108,2.917,2.39,8,1.786,1.786,2.137,3.99,2.742,3.851,16.665,4.496,18.201
6.208,-0.08,-0.117,0,-0.111,10.557,3,0.0,0,0.996,0,0,0,0,0.63,0.0,2.111,0,0.755,1.178,0.847,0.0,0,0,0,0,5.522,0.714,0.951,3.9,3.843,3.791,4.377,0,0.85,4,2.123,3.886,4.282,2,0.923,4.569,3.525,2.017,3.525,2.579,2.084,3.123,0,0.0,1.004,0,3.651,3.462,2.567,6,2.061,2.061,2.555,4.403,3.466,4.505,16.898,7.904,18.421
4.398,-0.052,-0.097,0,-0.03,8.609,3,0.0,0,0.92,0,0,0,0,0.586,0.0,2.11,0,0.902,1.193,1.057,0.0,0,0,0,0,5.668,0.85,1.118,3.905,4.065,3.949,4.649,0,1.143,2,2.124,4.06,4.432,5,1.133,4.883,3.7,2.248,3.53,2.856,2.079,3.357,0,0.0,1.118,0,3.814,3.623,2.817,5,1.983,1.983,2.722,4.699,3.609,4.637,17.079,11.441,18.597
5.252,-0.088,-0.13,0,-0.099,13.65,3,0.0,0,0.993,0,0,0,0,0.773,0.0,2.124,0,0.564,1.155,0.575,0.0,0,0,0,0,5.114,0.51,0.819,3.882,3.513,3.396,3.974,0,0.621,1,2.133,3.667,3.747,0,0.839,4.177,3.138,1.48,3.411,2.444,2.104,2.841,0,0.0,0.817,0,3.223,3.044,2.423,8,1.966,1.966,2.441,4.066,2.906,4.002,16.701,5.184,18.231
4.398,-0.024,-0.093,0,0.028,11.999,3,33.086,1,0.919,0,0,0,0,0.63,106.818,2.113,0,0.795,1.091,0.774,0.0,0,0,0,0,5.238,0.747,1.0,3.927,3.896,3.772,4.294,2,0.963,2,2.123,3.973,4.06,3,0.975,4.506,3.47,1.752,3.544,2.62,2.09,3.26,0,0.0,1.029,0,3.533,3.368,2.615,6,2.051,2.051,2.439,4.481,3.241,4.276,17.086,8.194,18.62
4.398,-0.139,-0.153,0,-0.121,17.448,3,0.0,0,1.052,0,0,0,0,0.773,0.0,2.13,0,0.761,1.187,0.554,0.0,0,0,0,0,4.874,0.718,0.933,3.921,3.505,3.259,3.862,0,0.693,0,2.134,3.654,3.855,1,0.919,4.067,3.185,1.169,3.402,2.499,2.118,2.98,0,0.0,0.965,0,3.08,3.082,2.57,9,1.669,1.669,2.184,4.134,2.96,4.106,16.645,5.492,18.171
4.398,-0.079,-0.117,0,-0.088,10.601,3,0.0,0,0.973,0,0,0,0,0.63,0.0,2.112,0,0.806,1.178,0.782,0.0,0,0,0,0,5.398,0.742,1.026,3.901,3.838,3.712,4.318,0,0.863,2,2.123,3.918,4.12,3,0.989,4.526,3.436,1.937,3.529,2.597,2.084,3.212,0,0.0,1.083,0,3.584,3.381,2.618,6,1.976,1.976,2.589,4.402,3.394,4.305,16.924,7.659,18.444
5.658,0.136,0.179,5,0.128,1.658,1,134.246,2,0.855,1,2,2,7,0.182,112.393,2.012,1,1.156,0.916,1.897,117.985,1,3,3,4,6.359,1.077,1.444,3.799,4.402,4.399,5.212,1,2.062,14,2.02,4.38,5.113,11,1.406,5.426,4.338,2.751,3.657,3.052,2.004,3.643,1,1.673,1.496,5,4.378,4.223,2.955,1,2.232,2.232,3.327,5.286,4.328,5.334,16.459,20.835,17.932
5.77,0.152,0.164,6,0.155,1.776,1,148.031,2,0.823,1,2,2,7,0.171,120.477,2.015,1,1.178,0.911,2.269,129.623,1,3,3,4,6.503,1.101,1.468,3.814,4.482,4.508,5.372,1,2.3,15,2.026,4.416,5.34,13,1.467,5.579,4.536,2.871,3.671,3.084,2.006,3.69,1,1.458,1.498,6,4.516,4.411,2.983,1,2.261,2.261,3.474,5.38,4.442,5.581,16.484,24.798,17.957
5.854,0.064,0.132,5,0.073,2.039,1,121.331,2,0.857,1,2,2,7,0.194,99.561,2.015,1,1.158,0.909,2.164,106.503,1,3,3,4,6.095,1.08,1.438,3.794,4.476,4.479,5.2,1,2.211,10,2.025,4.43,5.041,6,1.365,5.443,4.479,2.791,3.8,3.077,2.006,3.97,0,4.743,1.491,5,4.466,4.244,2.911,1,2.205,2.205,3.502,5.238,4.446,5.293,16.482,24.504,17.956
5.854,0.144,0.11,5,0.165,1.907,1,148.096,2,0.869,1,2,2,7,0.171,123.15,2.015,1,1.169,1.013,2.008,129.95,1,3,3,4,6.481,1.084,1.524,3.807,4.437,4.442,5.352,1,2.09,18,2.025,4.361,5.284,16,1.503,5.575,4.379,2.871,3.593,3.051,2.007,3.58,1,0.791,1.558,5,4.393,4.299,2.971,1,2.235,2.235,3.135,5.354,4.306,5.529,16.474,22.651,17.948
5.357,0.04,0.072,6,0.059,10.468,2,169.679,2,0.879,1,2,2,8,0.308,132.374,2.026,1,1.159,0.97,2.288,147.848,1,3,3,4,6.547,1.088,1.448,3.927,4.536,4.562,5.358,1,2.292,17,2.035,4.494,5.295,15,1.452,5.549,4.559,2.982,3.829,3.11,2.023,3.709,1,1.196,1.497,6,4.58,4.466,3.029,6,2.446,2.446,3.469,5.358,4.546,5.491,16.577,23.384,18.054
5.854,0.144,0.175,6,0.153,1.796,1,150.769,2,0.824,1,2,2,7,0.171,119.981,2.016,1,1.159,0.901,2.202,131.659,1,3,3,4,6.507,1.08,1.464,3.812,4.483,4.506,5.351,1,2.248,15,2.027,4.418,5.296,14,1.461,5.552,4.502,2.871,3.656,3.083,2.007,3.731,1,1.432,1.497,6,4.517,4.388,2.985,1,2.297,2.297,3.471,5.354,4.446,5.52,16.484,23.675,17.957
5.678,0.11,0.104,5,0.171,1.728,1,161.853,2,0.842,1,2,2,7,0.167,126.76,2.013,1,1.179,0.966,1.961,140.965,1,3,4,4,6.503,1.102,1.49,3.801,4.497,4.521,5.278,1,2.077,17,2.025,4.432,5.184,16,1.51,5.459,4.383,2.791,3.638,3.104,2.004,3.779,1,1.048,1.498,6,4.522,4.304,3.003,1,2.283,2.283,3.334,5.304,4.423,5.381,16.479,19.71,17.954
5.77,0.058,0.075,4,0.088,1.657,1,109.184,2,0.882,1,2,2,7,0.207,90.031,2.011,1,1.11,0.983,1.5,95.952,1,3,4,4,6.182,1.037,1.41,3.794,4.304,4.263,4.958,1,1.758,11,2.02,4.282,4.758,8,1.374,5.174,4.057,2.511,3.623,2.966,2.004,3.53,1,2.0,1.384,5,4.205,3.925,2.884,1,2.187,2.187,3.156,5.111,4.071,4.995,16.451,16.045,17.927
4.495,0.046,0.06,4,0.088,1.694,1,98.625,2,0.886,1,2,2,7,0.222,80.28,2.011,1,0.923,1.0,1.358,86.573,1,3,3,4,5.916,0.829,1.277,3.79,4.221,4.138,4.849,1,1.602,8,2.02,4.233,4.625,5,1.267,5.091,3.926,2.511,3.596,2.839,2.004,3.523,1,2.242,1.257,4,4.026,3.75,2.789,1,2.18,2.18,3.098,5.011,3.813,4.889,16.448,15.191,17.924
5.77,0.098,0.106,5,0.133,1.678,1,127.334,2,0.856,1,2,2,7,0.188,106.336,2.012,1,1.154,0.971,1.961,111.94,1,3,3,4,6.335,1.077,1.443,3.808,4.387,4.36,5.219,1,2.072,11,2.02,4.356,5.127,8,1.393,5.444,4.372,2.671,3.665,3.018,2.005,3.622,1,2.016,1.472,5,4.348,4.232,2.939,1,2.228,2.228,3.326,5.27,4.287,5.366,16.459,22.095,17.932
4.959,-0.067,-0.045,0,-0.03,15.477,3,0.0,0,0.941,0,0,0,0,0.85,0.0,2.124,0,0.32,1.011,0.538,0.0,0,0,0,0,4.944,0.263,0.731,3.883,3.442,3.282,3.662,0,0.615,1,2.133,3.588,3.398,0,0.712,3.867,2.883,1.129,3.362,2.296,2.105,2.825,0,0.0,0.685,0,2.999,2.806,2.163,9,1.455,1.455,1.832,3.821,2.738,3.653,16.797,3.982,18.341
4.921,-0.053,-0.047,3,-0.037,3.88,1,94.971,1,1.022,1,1,1,7,0.24,0.0,2.023,1,1.062,1.097,1.112,0.0,0,4,4,5,5.453,0.974,1.342,3.869,3.916,3.66,4.651,0,1.167,4,2.026,4.009,4.486,4,1.303,4.94,3.739,1.619,3.585,2.921,2.028,3.378,1,1.829,1.4,4,3.461,3.557,2.849,2,2.061,2.061,2.723,4.699,3.437,4.751,15.774,13.824,17.215
5.638,0.071,0.083,4,0.118,1.735,1,103.617,2,0.873,1,2,2,7,0.214,84.947,2.012,1,1.129,0.988,1.544,91.025,1,3,3,4,6.009,1.042,1.422,3.794,4.27,4.21,4.982,1,1.812,8,2.02,4.264,4.788,5,1.374,5.217,4.082,2.511,3.611,2.917,2.005,3.528,1,2.554,1.462,4,4.129,3.907,2.875,1,2.186,2.186,3.125,5.134,3.957,5.047,16.45,17.257,17.926
5.854,0.127,0.147,6,0.158,1.734,1,167.42,2,0.841,1,2,2,7,0.162,131.845,2.013,1,1.184,0.939,2.17,145.892,1,3,3,4,6.564,1.107,1.527,3.805,4.521,4.558,5.373,1,2.238,17,2.025,4.451,5.28,16,1.513,5.565,4.488,2.951,3.653,3.118,2.004,3.779,1,0.869,1.555,6,4.572,4.4,3.04,1,2.303,2.303,3.476,5.373,4.493,5.477,16.484,22.625,17.957
5.469,-0.095,-0.14,0,-0.084,15.981,3,0.0,0,0.99,0,0,0,0,0.85,0.0,2.124,0,0.333,1.142,0.433,0.0,0,0,0,0,4.922,0.274,0.738,3.881,3.388,3.186,3.727,0,0.495,1,2.131,3.531,3.514,0,0.729,3.915,2.954,1.089,3.376,2.264,2.108,2.734,0,0.0,0.692,0,3.052,2.859,2.162,9,1.767,1.767,2.0,3.846,2.721,3.756,16.655,4.252,18.191
5.387,0.128,0.185,5,0.198,1.724,1,173.149,2,0.806,1,2,2,7,0.158,135.553,2.016,1,1.205,0.936,2.575,150.784,1,3,3,4,6.659,1.152,1.537,3.816,4.666,4.697,5.534,1,2.541,16,2.02,4.582,5.471,16,1.52,5.74,4.673,3.191,3.873,3.163,2.002,3.593,1,1.633,1.573,6,4.714,4.538,3.083,1,2.44,2.44,3.37,5.467,4.655,5.679,16.66,27.786,18.118
5.066,-0.036,-0.027,3,-0.04,3.839,1,94.971,1,1.044,1,1,1,7,0.24,0.0,2.023,1,1.062,1.121,1.039,0.0,0,4,4,5,5.479,0.973,1.342,3.874,3.856,3.622,4.658,0,1.113,5,2.026,3.922,4.492,5,1.303,4.947,3.687,1.619,3.37,2.864,2.028,3.377,1,1.161,1.4,4,3.41,3.536,2.83,2,2.061,2.061,2.555,4.706,3.386,4.756,15.774,13.124,17.215
5.638,0.141,0.162,5,0.107,1.653,1,114.75,2,0.89,1,2,2,7,0.2,95.116,2.013,1,1.143,0.969,1.654,100.88,1,3,3,4,6.297,1.065,1.429,3.818,4.293,4.272,5.12,1,1.857,11,2.021,4.235,4.963,8,1.409,5.36,4.134,2.671,3.565,2.972,2.006,3.515,1,1.543,1.464,5,4.182,4.04,2.898,1,2.201,2.201,3.104,5.206,4.036,5.213,16.456,18.252,17.93
4.398,-0.064,-0.113,0,-0.027,16.943,3,0.0,0,0.93,0,0,0,0,0.81,0.0,2.125,0,0.576,1.129,0.57,0.0,0,0,0,0,5.058,0.514,0.824,3.882,3.533,3.39,3.996,0,0.646,3,2.133,3.627,3.793,2,0.814,4.2,3.188,1.169,3.374,2.415,2.107,2.803,0,0.0,0.86,0,3.166,3.073,2.417,9,1.494,1.494,1.833,4.104,2.887,4.058,16.811,5.907,18.356
5.319,-0.067,-0.113,0,-0.055,16.908,3,0.0,0,0.957,0,0,0,0,0.81,0.0,2.125,0,0.516,1.129,0.498,0.0,0,0,0,0,4.956,0.463,0.754,3.882,3.469,3.289,3.859,0,0.615,1,2.133,3.59,3.766,2,0.774,4.039,3.135,1.129,3.406,2.374,2.109,2.805,0,0.0,0.782,0,3.159,3.045,2.372,9,1.794,1.794,2.062,4.02,2.931,3.98,16.663,5.095,18.198
5.495,-0.108,-0.125,0,-0.082,16.717,3,0.0,0,0.983,0,0,0,0,0.85,0.0,2.122,0,0.325,1.126,0.395,0.0,0,0,0,0,4.64,0.268,0.723,3.881,3.484,3.451,3.618,0,0.454,2,2.126,3.625,3.369,0,0.696,3.834,2.939,1.249,3.593,2.416,2.103,2.856,0,0.0,0.685,0,3.004,2.798,2.167,9,1.774,1.774,2.134,3.797,2.713,3.62,16.658,4.497,18.194
4.0,-0.025,-0.069,3,-0.015,12.183,5,0.0,0,1.052,0,0,0,0,0.239,378.166,2.099,0,1.443,1.22,6.592,384.89,2,2,2,2,7.455,1.403,1.698,4.146,5.362,5.473,6.463,2,6.707,32,2.098,5.143,6.437,34,1.701,6.687,5.583,8.033,3.847,3.37,2.101,4.362,0,-1.919,1.749,4,5.465,5.482,3.321,6,3.317,3.317,3.701,6.488,5.392,6.677,17.545,72.261,19.046
5.481,-0.064,-0.071,0,-0.057,15.295,3,0.0,0,0.967,0,0,0,0,0.85,0.0,2.125,0,0.323,1.036,0.435,0.0,0,0,0,0,4.7,0.265,0.728,3.883,3.393,3.287,3.623,0,0.577,1,2.132,3.542,3.382,0,0.713,3.842,2.89,1.249,3.384,2.302,2.107,2.842,0,0.0,0.686,0,2.922,2.77,2.159,9,1.774,1.774,2.133,3.81,2.618,3.641,16.658,4.434,18.194
4.398,-0.061,-0.066,0,-0.042,4.288,3,0.0,0,1.09,0,0,0,2,0.214,0.0,2.155,0,0.977,1.125,1.326,0.0,0,2,2,2,5.688,0.899,1.265,3.928,3.957,3.796,4.863,0,1.618,0,2.138,4.069,4.729,0,1.231,5.13,3.984,2.044,3.543,2.796,2.185,3.33,0,0.0,1.327,1,3.66,3.805,2.754,2,1.951,1.951,2.392,5.075,3.524,4.994,15.823,16.227,17.251
5.027,-0.147,-0.149,1,-0.133,4.264,3,0.0,0,1.192,0,1,1,2,0.222,0.0,2.155,0,0.934,1.227,1.253,0.0,0,1,1,1,5.557,0.804,1.272,3.93,3.95,3.802,4.807,0,1.606,0,2.138,4.053,4.617,0,1.237,5.092,3.912,2.204,3.537,2.708,2.185,3.332,0,1.216,1.334,1,3.583,3.722,2.691,2,2.042,2.042,2.554,5.079,3.428,4.873,15.861,15.518,17.288
5.377,-0.053,-0.054,0,-0.041,4.055,3,0.0,0,1.09,0,0,0,0,0.222,0.0,2.15,0,0.897,1.125,1.174,0.0,0,0,0,0,5.631,0.804,1.243,3.909,3.944,3.793,4.805,0,1.492,3,2.134,4.07,4.638,3,1.209,5.066,3.85,2.044,3.461,2.731,2.179,3.36,0,0.0,1.309,0,3.633,3.687,2.691,2,1.95,1.95,2.452,5.055,3.436,4.904,15.783,14.194,17.207
5.537,-0.09,-0.093,0,-0.073,4.23,3,0.0,0,1.117,0,0,0,2,0.231,0.0,2.155,0,0.883,1.153,1.136,0.0,0,2,2,2,5.488,0.799,1.177,3.925,3.907,3.718,4.711,0,1.492,0,2.137,4.022,4.496,0,1.143,4.995,3.801,2.044,3.479,2.704,2.185,3.33,0,0.0,1.241,1,3.5,3.609,2.691,2,1.948,1.948,2.388,5.0,3.313,4.765,15.822,14.012,17.249
4.398,-0.04,-0.06,1,-0.073,4.195,3,0.0,0,1.029,0,0,0,0,0.222,0.0,2.147,0,0.877,1.071,1.22,0.0,0,0,0,0,5.555,0.794,1.167,3.905,4.294,4.341,4.755,0,1.693,6,2.127,4.498,4.326,4,1.132,5.045,3.92,2.324,3.778,2.757,2.175,3.557,0,-0.136,1.234,1,4.229,3.621,2.686,2,2.129,2.129,2.966,5.077,3.932,4.563,15.773,15.884,17.192
5.319,-0.044,-0.038,0,-0.062,4.038,3,0.0,0,1.107,0,0,0,0,0.222,0.0,2.15,0,0.934,1.113,1.175,0.0,0,0,0,0,5.574,0.804,1.27,3.91,3.96,3.827,4.796,0,1.531,3,2.135,4.072,4.642,3,1.237,5.066,3.856,2.204,3.479,2.709,2.179,3.37,0,0.0,1.329,0,3.612,3.692,2.691,2,2.042,2.042,2.542,5.095,3.453,4.891,15.788,14.367,17.212
6.041,-0.036,-0.034,0,-0.039,4.021,3,0.0,0,1.086,0,0,0,0,0.231,0.0,2.15,0,0.883,1.106,1.058,0.0,0,0,0,0,5.5,0.799,1.173,3.908,3.919,3.745,4.699,0,1.418,3,2.134,4.041,4.524,3,1.14,4.966,3.739,2.044,3.427,2.707,2.179,3.36,0,0.0,1.239,0,3.532,3.576,2.691,2,1.948,1.948,2.448,5.016,3.34,4.785,15.783,12.849,17.207
4.398,-0.056,-0.061,0,-0.037,4.426,3,0.0,0,1.098,0,0,0,0,0.214,0.0,2.157,0,0.987,1.133,1.412,0.0,0,0,0,0,5.708,0.909,1.271,3.931,3.97,3.809,4.944,0,1.685,0,2.14,4.077,4.842,0,1.235,5.22,4.041,2.044,3.531,2.8,2.188,3.346,0,0.0,1.335,0,3.672,3.849,2.766,2,1.951,1.951,2.419,5.135,3.54,5.125,15.783,17.454,17.207
5.523,-0.049,-0.022,0,-0.043,4.194,3,0.0,0,1.097,0,0,0,0,0.231,0.0,2.154,0,0.883,1.111,1.152,0.0,0,0,0,0,5.506,0.799,1.178,3.922,3.918,3.737,4.753,0,1.486,0,2.138,4.035,4.582,0,1.148,5.044,3.797,2.044,3.445,2.709,2.182,3.339,0,0.0,1.24,0,3.523,3.611,2.691,2,1.948,1.948,2.409,5.032,3.336,4.866,15.783,13.778,17.207
4.398,-0.12,-0.123,0,-0.103,4.385,3,0.0,0,1.175,0,0,0,0,0.222,0.0,2.158,0,0.934,1.21,1.337,0.0,0,0,0,0,5.586,0.804,1.285,3.933,3.959,3.813,4.893,0,1.649,0,2.14,4.061,4.743,0,1.239,5.186,3.973,2.204,3.52,2.717,2.188,3.349,0,0.0,1.352,0,3.595,3.769,2.691,2,2.042,2.042,2.443,5.124,3.446,5.02,15.788,16.706,17.212
