pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB
5.2,10.534,44.7,26.3,1.082,1.177,0.676,0.717,400.31,10.5,17,38,0,18,30,0,40,17,0,0,15,2,1
7.4,9.773,45.7,32.6,1.023,1.109,0.75,0.723,449.55,10.9,26,46,0,29,35,0,50,21,0,0,21,0,3
5.2,11.064,50.0,23.1,1.053,1.111,0.76,0.773,287.67,11.5,6,26,0,11,22,0,28,13,1,1,12,0,4
5.2,9.37,48.3,34.5,1.017,1.114,0.737,0.714,271.72,10.3,16,29,0,17,21,0,31,14,1,0,14,0,1
5.2,8.193,45.5,42.4,0.997,1.11,0.718,0.67,270.38,6.1,16,33,0,16,21,0,35,15,0,0,13,2,0
5.2,8.098,39.1,43.5,1.012,1.127,0.677,0.644,372.49,8.7,16,46,0,19,28,0,48,18,0,0,14,4,3
5.4,9.486,45.7,39.1,1.005,1.118,0.721,0.686,436.34,10.9,22,46,0,23,31,1,49,21,0,0,20,1,1
5.2,8.176,47.2,38.9,1.014,1.114,0.693,0.676,294.33,5.6,12,36,0,15,23,0,37,17,0,1,15,1,2
5.2,8.214,44.1,40.7,1.005,1.12,0.702,0.669,484.63,10.2,27,59,0,28,39,0,63,26,0,0,23,3,1
5.2,7.581,47.6,42.9,0.998,1.113,0.691,0.659,318.4,4.8,18,42,0,19,26,0,44,20,0,0,18,2,1
5.2,9.726,50.0,32.1,1.023,1.112,0.753,0.73,272.32,7.1,16,28,0,17,21,0,30,14,0,0,14,0,1
6.6,6.949,36.7,49.0,0.998,1.142,0.64,0.604,340.48,12.2,12,49,0,13,27,0,51,18,0,0,11,7,1
6.0,8.958,51.3,33.3,1.025,1.125,0.716,0.71,349.36,7.7,22,39,0,23,29,0,42,20,0,0,20,0,1
5.2,10.122,51.9,29.6,1.033,1.105,0.761,0.746,273.3,3.7,16,27,0,17,21,0,29,14,0,0,14,0,1
5.2,8.079,44.2,39.5,1.011,1.126,0.686,0.667,347.41,11.6,21,43,0,22,29,0,46,19,0,0,17,2,1
5.2,15.027,50.0,22.7,1.047,1.085,0.866,0.821,330.59,4.5,10,22,0,12,19,1,24,11,1,0,10,1,2
5.2,11.886,50.0,26.7,1.049,1.101,0.792,0.776,356.59,3.3,12,30,0,14,24,0,32,15,3,0,15,0,2
6.6,8.019,44.9,42.9,1.0,1.12,0.698,0.661,392.92,8.2,22,49,0,22,31,0,52,22,1,0,18,4,0
5.2,7.41,46.0,44.0,0.994,1.119,0.687,0.651,370.49,8.0,22,50,0,23,31,0,53,23,0,0,20,3,1
5.2,7.387,46.7,44.4,0.996,1.114,0.684,0.649,332.43,4.4,18,45,0,19,27,0,47,21,0,0,18,3,1
6.2,11.562,44.4,36.1,1.006,1.121,0.771,0.71,416.25,16.7,21,36,0,21,26,0,39,16,0,0,15,1,0
5.2,8.598,45.7,39.1,1.013,1.119,0.709,0.68,395.49,6.5,18,46,0,20,30,0,48,21,0,0,20,1,2
5.2,8.295,38.1,40.5,1.034,1.145,0.645,0.643,348.37,9.5,11,42,0,13,27,0,44,16,0,0,10,6,2
5.3,9.346,41.2,35.3,1.03,1.133,0.701,0.69,317.76,14.7,12,34,0,14,23,0,35,14,1,1,11,2,1
5.2,10.735,38.9,27.8,1.042,1.129,0.75,0.736,386.46,22.2,20,36,0,22,29,0,39,14,0,0,14,0,2
5.2,6.769,40.7,50.0,0.992,1.128,0.649,0.608,365.52,5.6,15,54,0,16,30,0,57,22,0,0,12,10,1
6.3,7.693,46.3,41.5,0.995,1.122,0.697,0.665,315.41,12.2,21,41,0,21,28,0,45,19,0,0,15,4,0
5.2,7.821,45.3,41.5,1.006,1.12,0.684,0.66,414.5,7.5,22,53,0,23,35,0,57,24,0,0,20,4,1
5.4,7.94,43.1,41.4,1.015,1.124,0.671,0.654,460.53,6.9,18,58,0,21,37,0,61,25,0,0,21,4,3
5.4,11.35,31.3,43.8,1.02,1.147,0.7,0.64,363.19,15.6,10,32,0,10,19,0,33,10,0,0,6,4,0
5.2,9.138,45.2,32.3,1.032,1.138,0.7,0.703,283.29,16.1,17,31,0,18,23,0,33,14,0,0,14,0,1
5.9,10.368,50.0,28.6,1.042,1.124,0.751,0.744,290.31,7.1,16,28,0,17,22,0,30,14,0,0,14,0,1
5.2,10.241,47.1,32.4,1.03,1.114,0.748,0.729,348.2,8.8,12,34,0,15,25,0,36,16,2,0,15,1,3
5.4,10.394,38.1,28.6,1.033,1.139,0.747,0.729,218.27,28.6,15,21,0,15,17,0,23,8,0,0,8,0,0
5.2,7.361,40.4,45.6,1.001,1.14,0.659,0.628,419.56,12.3,22,57,0,22,34,0,60,23,0,0,16,7,0
6.3,8.367,50.0,35.7,1.002,1.116,0.725,0.702,234.28,14.3,20,28,0,20,21,0,31,14,0,0,14,0,0
5.2,10.461,47.6,35.7,1.008,1.106,0.763,0.718,439.36,9.5,22,42,0,23,30,1,45,20,0,0,20,0,1
5.2,7.393,44.7,44.7,0.998,1.12,0.676,0.643,347.45,6.4,18,47,0,19,28,0,49,21,0,0,18,3,1
5.2,8.094,45.8,41.7,0.997,1.113,0.713,0.671,388.53,8.3,22,48,0,23,31,0,51,22,0,0,20,2,1
6.2,7.035,42.5,47.5,0.993,1.126,0.664,0.625,281.39,7.5,16,40,0,16,23,0,42,17,0,0,12,5,0
5.2,9.803,44.1,29.4,1.056,1.158,0.687,0.708,333.3,14.7,17,34,0,18,26,0,36,15,0,0,14,1,1
6.9,8.922,43.5,34.8,1.035,1.143,0.682,0.684,410.42,13.0,25,46,0,25,34,0,50,20,0,0,16,4,0
5.9,8.166,43.1,39.2,1.015,1.128,0.681,0.666,416.48,11.8,22,51,0,24,34,0,54,22,0,0,20,2,2
5.2,7.589,50.0,42.1,0.993,1.108,0.705,0.67,288.37,5.3,18,38,0,19,24,0,40,19,0,0,18,1,1
5.2,8.344,43.3,40.0,1.01,1.121,0.698,0.67,500.63,10.0,27,60,0,28,40,0,64,26,0,0,23,3,1
5.9,7.669,42.6,42.6,1.003,1.13,0.677,0.65,360.46,12.8,21,47,0,22,30,0,50,20,0,0,16,4,1
5.2,14.088,45.8,29.2,1.024,1.115,0.819,0.757,338.12,16.7,12,24,0,13,19,0,26,11,0,0,11,0,1
5.2,8.27,43.5,39.1,1.018,1.143,0.679,0.665,380.44,13.0,21,46,0,21,32,0,50,20,0,0,14,6,0
5.2,8.871,39.5,39.5,1.034,1.141,0.674,0.66,381.44,7.0,6,43,0,9,29,0,46,17,0,0,10,7,3
5.7,9.494,44.8,34.5,1.026,1.125,0.728,0.705,275.33,10.3,15,29,0,16,21,0,31,13,0,0,12,1,1
5.2,7.995,40.0,45.0,1.009,1.129,0.672,0.638,319.82,7.5,11,40,0,12,24,0,42,16,1,0,10,6,1
5.2,7.421,41.1,44.6,1.0,1.133,0.667,0.636,415.55,12.5,21,56,0,22,35,0,60,23,0,0,16,7,1
6.0,8.689,37.7,39.6,1.03,1.14,0.67,0.656,460.54,11.3,18,53,0,21,34,0,55,20,0,0,17,3,3
5.3,7.202,42.5,47.9,0.989,1.121,0.679,0.629,525.78,6.8,22,73,0,24,41,0,76,31,0,2,20,9,1
5.2,8.009,41.5,41.5,1.017,1.144,0.664,0.648,424.5,11.3,22,53,0,22,34,0,56,22,0,0,16,6,0
5.2,8.286,40.0,42.5,1.014,1.124,0.684,0.652,331.43,7.5,11,40,0,14,26,0,43,16,0,0,11,5,3
5.4,7.407,49.3,43.8,0.992,1.108,0.696,0.659,540.7,2.7,33,73,0,34,46,0,78,36,0,0,31,5,1
5.2,8.2,47.6,38.1,1.009,1.117,0.702,0.683,344.4,9.5,22,42,0,23,29,0,45,20,0,0,19,1,1
5.2,8.105,50.0,38.1,1.001,1.112,0.715,0.69,340.41,9.5,22,42,0,23,30,0,46,21,0,0,20,1,1
5.6,8.295,44.9,38.8,1.02,1.128,0.682,0.67,406.45,8.2,22,49,0,23,33,0,52,22,0,0,20,2,1
5.2,9.291,43.6,33.3,1.049,1.152,0.675,0.688,362.34,10.3,17,39,0,18,28,0,41,17,0,0,15,2,1
5.2,9.387,45.9,32.4,1.049,1.147,0.684,0.697,347.32,8.1,12,37,0,15,27,0,39,17,0,0,15,2,3
5.5,12.2,45.2,35.5,1.011,1.116,0.78,0.717,378.19,12.9,11,31,0,13,22,0,33,14,0,1,11,2,1
5.2,7.234,46.9,44.9,0.987,1.117,0.691,0.65,354.49,8.2,22,49,0,23,30,0,52,23,0,0,20,3,1
5.4,8.645,44.2,38.5,1.016,1.125,0.704,0.679,449.55,9.6,22,52,0,24,35,0,55,23,0,0,21,2,2
5.2,10.191,47.4,31.6,1.03,1.115,0.749,0.732,387.24,10.5,16,38,0,19,29,0,41,18,2,0,17,1,3
6.3,7.856,44.8,43.1,0.996,1.117,0.702,0.66,455.63,8.6,22,58,0,24,36,0,61,26,0,2,20,4,1
5.2,7.676,44.4,42.2,1.0,1.125,0.685,0.656,345.44,11.1,21,45,0,22,29,0,48,20,0,0,17,3,1
5.3,7.127,41.2,47.1,0.996,1.13,0.659,0.624,484.66,8.8,22,68,0,24,39,0,71,28,0,0,21,7,2
5.6,7.649,44.3,42.6,1.002,1.124,0.681,0.653,466.59,9.8,22,61,0,25,38,0,64,27,0,1,21,5,2
6.0,7.856,44.8,43.1,0.996,1.117,0.702,0.66,455.63,8.6,22,58,0,24,36,0,61,26,0,2,20,4,1
5.2,8.815,41.7,36.1,1.036,1.152,0.671,0.673,317.33,13.9,16,36,0,17,25,0,38,15,0,0,12,3,1
5.2,10.534,44.7,26.3,1.082,1.177,0.676,0.717,400.31,10.5,17,38,0,18,30,0,40,17,0,0,15,2,1
5.2,8.719,43.8,37.5,1.013,1.121,0.712,0.686,418.52,12.5,22,48,0,24,33,0,51,21,0,0,20,1,2
5.2,7.795,50.0,40.5,0.996,1.11,0.71,0.678,327.41,7.1,23,42,0,23,28,0,45,21,0,0,20,1,0
6.5,8.725,44.6,37.5,1.016,1.125,0.707,0.685,488.59,10.7,27,56,0,28,39,0,60,25,0,0,23,2,1
5.6,9.149,46.2,35.9,1.022,1.128,0.714,0.697,356.81,10.3,17,39,0,18,28,0,42,18,1,0,16,2,1
5.2,9.228,47.1,35.3,1.021,1.116,0.723,0.705,313.76,8.8,12,34,0,15,24,0,36,16,1,0,15,1,3
5.2,10.479,45.7,28.6,1.058,1.15,0.713,0.726,366.75,11.4,17,35,0,18,27,0,37,16,1,0,15,1,1
5.2,8.636,47.5,37.5,1.0,1.112,0.737,0.698,345.46,12.5,25,40,0,25,29,0,44,19,0,0,17,2,0
5.2,5.978,31.7,57.1,0.987,1.15,0.602,0.552,376.62,9.5,6,63,0,8,27,0,63,20,0,0,8,12,2
5.2,9.556,39.0,34.1,1.046,1.136,0.682,0.686,391.8,12.2,12,41,0,14,29,0,43,16,1,1,11,4,1
5.2,11.281,47.6,33.3,1.016,1.105,0.783,0.738,473.8,9.5,22,42,0,23,31,1,45,20,1,0,19,1,1
9.4,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61,0,25,42,0,68,28,0,0,19,9,1
5.4,7.46,42.7,45.1,1.008,1.122,0.66,0.634,611.75,3.7,24,82,0,25,50,0,87,35,0,0,25,10,1
7.3,7.302,40.0,46.2,1.003,1.132,0.654,0.625,474.62,9.2,17,65,0,19,39,0,69,26,0,0,17,9,2
5.2,9.758,44.1,32.4,1.036,1.137,0.715,0.71,331.76,14.7,17,34,0,18,25,0,36,15,1,0,15,0,1
5.2,8.594,41.5,37.7,1.031,1.152,0.668,0.665,455.49,13.2,18,53,0,20,36,0,56,22,0,0,18,4,2
5.2,8.558,45.2,35.5,1.016,1.127,0.702,0.69,265.3,16.1,17,31,0,18,22,0,33,14,0,0,14,0,1
6.1,7.757,45.6,41.8,1.002,1.126,0.688,0.66,612.77,10.1,34,79,0,35,52,0,85,36,0,0,30,6,1
5.2,9.859,44.1,35.3,1.024,1.123,0.735,0.709,335.21,11.8,16,34,0,17,24,0,36,15,2,0,14,1,1
5.2,8.198,41.4,41.4,1.03,1.144,0.651,0.645,475.51,5.2,17,58,0,18,37,0,61,24,0,0,15,9,1
5.2,8.033,46.7,42.2,0.995,1.11,0.716,0.671,361.5,6.7,22,45,0,22,29,0,48,21,0,0,18,3,0
5.2,8.365,45.8,39.6,1.002,1.115,0.718,0.681,401.53,10.4,22,48,0,23,33,0,52,22,0,0,19,3,1
5.2,8.14,45.7,39.1,1.012,1.12,0.689,0.672,374.43,8.7,22,46,0,23,31,0,49,21,0,0,19,2,1
5.2,8.744,47.1,35.3,1.026,1.127,0.696,0.692,297.31,8.8,12,34,0,15,24,0,36,16,0,0,15,1,3
5.2,7.51,39.7,44.8,1.007,1.141,0.656,0.63,435.56,12.1,22,58,0,22,35,0,61,23,0,0,16,7,0
5.6,7.9,44.4,42.9,0.999,1.117,0.698,0.659,497.67,7.9,22,63,0,24,40,0,67,28,0,2,20,6,1
5.2,8.265,45.5,40.0,1.002,1.117,0.713,0.677,454.6,10.9,27,55,0,28,37,0,59,25,0,0,23,2,1
6.0,9.224,44.9,36.7,1.015,1.116,0.73,0.699,451.97,10.2,22,49,0,24,34,0,52,22,1,0,21,1,2
5.4,8.905,44.8,34.5,1.036,1.121,0.685,0.69,258.25,6.9,11,29,0,13,21,0,31,13,0,0,11,2,2
5.2,7.56,38.8,44.9,1.014,1.134,0.647,0.626,370.45,8.2,12,49,0,14,28,0,50,19,0,1,12,6,1
5.2,7.51,41.1,44.6,1.005,1.137,0.661,0.634,420.54,10.7,22,56,0,22,34,0,59,23,0,0,16,7,0
5.2,14.863,48.0,28.0,1.027,1.105,0.851,0.78,371.57,12.0,11,25,0,13,20,0,27,12,1,0,12,0,2
5.2,9.291,43.6,33.3,1.049,1.152,0.675,0.688,362.34,10.3,17,39,0,18,28,0,41,17,0,0,15,2,1
6.4,9.37,48.3,34.5,1.017,1.114,0.737,0.714,271.72,10.3,16,29,0,17,21,0,31,14,1,0,14,0,1
5.6,7.657,38.3,46.8,1.002,1.136,0.664,0.625,359.9,10.6,12,47,0,13,27,0,49,18,1,0,12,6,1
5.2,8.508,43.2,40.5,1.01,1.125,0.7,0.67,314.8,10.8,17,37,0,17,24,0,39,16,1,0,13,3,0
5.2,8.586,46.8,38.3,1.006,1.12,0.722,0.689,403.52,10.6,25,47,0,25,34,0,52,22,0,0,18,4,0
5.2,8.079,44.2,39.5,1.011,1.126,0.686,0.667,347.41,11.6,22,43,0,22,29,0,46,19,0,0,17,2,0
5.9,7.986,48.8,39.5,1.003,1.112,0.704,0.679,343.41,7.0,22,43,0,23,29,0,46,21,0,0,20,1,1
7.0,8.035,51.3,38.5,0.998,1.108,0.719,0.691,313.38,7.7,22,39,0,23,27,0,42,20,0,0,20,0,1
5.5,8.315,44.2,44.2,1.006,1.115,0.697,0.657,432.37,1.9,16,52,0,18,31,0,54,23,2,0,17,6,2
5.2,10.683,46.2,30.8,1.026,1.108,0.779,0.745,277.75,11.5,16,26,0,16,20,0,28,12,1,0,12,0,0
5.2,10.228,41.2,29.4,1.053,1.133,0.706,0.717,347.74,14.7,12,34,0,15,25,0,35,14,1,1,12,1,2
6.0,7.558,43.8,45.3,0.992,1.119,0.692,0.646,483.69,7.8,22,64,0,24,38,0,67,28,0,2,20,6,1
7.8,8.043,39.0,42.4,1.026,1.152,0.646,0.636,474.54,10.2,12,59,0,14,38,0,63,23,0,0,12,11,2
5.2,7.843,43.8,41.7,1.01,1.124,0.677,0.655,376.45,8.3,21,48,0,22,31,0,51,21,0,0,17,4,1
5.2,9.69,44.4,36.1,1.025,1.111,0.735,0.705,348.83,5.6,16,36,0,17,25,0,38,16,1,0,14,2,1
5.2,7.684,45.0,42.5,1.004,1.121,0.681,0.655,307.38,7.5,12,40,0,15,25,0,42,18,0,0,15,3,3
5.2,8.354,50.0,39.5,0.992,1.103,0.743,0.695,317.44,7.9,22,38,0,22,26,0,41,19,0,0,18,1,0
5.5,7.085,39.6,47.2,0.994,1.136,0.658,0.621,375.53,13.2,17,53,0,18,31,0,56,21,0,0,15,6,1
5.2,10.368,44.4,36.1,1.02,1.12,0.725,0.699,373.23,11.1,17,36,0,18,25,1,38,16,0,0,15,1,1
5.3,7.67,46.0,42.0,0.998,1.12,0.691,0.661,383.49,10.0,22,50,0,24,32,0,53,23,0,0,21,2,2
5.3,8.169,45.5,38.6,1.011,1.123,0.693,0.675,359.42,11.4,22,44,0,23,30,0,47,20,0,0,19,1,1
5.2,8.268,43.9,40.9,1.014,1.116,0.69,0.665,545.66,4.5,24,66,0,27,43,0,70,29,0,0,25,4,3
5.5,7.436,45.9,44.3,0.998,1.116,0.681,0.648,453.58,4.9,26,61,0,27,38,0,65,28,0,0,22,6,1
5.3,7.05,40.0,48.0,0.998,1.131,0.651,0.616,352.48,8.0,16,50,0,17,28,0,52,20,0,0,14,6,1
6.8,7.329,40.3,45.8,1.003,1.132,0.657,0.627,527.69,9.7,26,72,0,26,44,0,77,29,0,0,18,11,0
5.2,10.783,48.1,29.6,1.026,1.116,0.779,0.753,291.15,14.8,17,27,0,17,21,0,29,13,2,0,13,0,0
5.2,8.036,40.5,40.5,1.016,1.135,0.669,0.653,297.35,13.5,12,37,0,14,23,0,38,15,0,1,11,3,1
5.3,8.843,47.9,33.3,1.021,1.119,0.713,0.706,424.45,12.5,23,48,0,26,36,0,52,23,0,0,23,0,3
5.5,7.967,46.8,40.4,1.007,1.125,0.692,0.668,374.45,8.5,22,47,0,23,31,0,50,22,0,0,20,2,1
5.2,8.011,44.7,42.6,0.997,1.116,0.707,0.664,376.52,8.5,21,47,0,22,30,0,50,21,0,0,18,3,1
5.2,7.585,45.0,42.5,0.995,1.125,0.69,0.657,303.4,12.5,21,40,0,21,26,0,43,18,0,0,15,3,0
5.2,8.744,43.8,43.8,1.0,1.109,0.728,0.67,279.81,3.1,6,32,0,8,20,0,34,14,1,0,9,5,2
5.2,8.169,45.5,38.6,1.011,1.123,0.693,0.675,359.42,11.4,22,44,0,23,30,0,47,20,0,0,19,1,1
5.2,8.279,43.9,41.5,1.005,1.116,0.705,0.668,339.45,7.3,17,41,0,18,26,0,43,18,0,0,15,3,1
5.2,7.974,40.4,42.1,1.02,1.145,0.657,0.642,454.53,10.5,22,57,0,22,36,0,60,23,0,0,16,7,0
5.4,7.337,37.9,46.6,1.009,1.136,0.642,0.617,425.54,8.6,17,58,0,17,34,0,61,22,0,0,13,9,0
5.2,8.474,43.2,40.9,1.015,1.132,0.69,0.664,372.86,9.1,16,44,0,17,29,0,47,19,1,0,14,5,1
5.2,7.375,39.7,46.0,1.006,1.139,0.651,0.623,464.6,9.5,22,63,0,22,37,0,66,25,0,0,16,9,0
5.3,11.106,42.5,32.5,1.056,1.147,0.697,0.702,444.23,7.5,11,40,0,14,29,1,42,17,0,0,13,4,3
5.2,9.613,44.8,37.9,1.012,1.108,0.751,0.704,278.78,6.9,11,29,0,12,20,0,31,13,1,0,10,3,1
5.5,8.787,48.8,37.2,1.011,1.111,0.724,0.698,377.85,7.0,23,43,0,23,30,0,46,21,1,0,21,0,0
6.4,8.97,46.9,34.7,1.011,1.116,0.734,0.708,439.54,14.3,30,49,0,31,37,0,54,23,0,0,22,1,1
5.9,8.329,44.7,38.3,1.018,1.131,0.685,0.673,391.44,10.6,22,47,0,23,32,0,50,21,0,0,20,1,1
5.3,8.299,44.7,39.5,1.022,1.139,0.676,0.664,315.35,7.9,16,38,0,17,25,0,40,17,0,0,14,3,1
5.2,7.577,45.9,43.2,1.001,1.117,0.682,0.653,560.7,5.4,24,74,0,26,47,0,79,34,0,1,25,8,1
5.2,7.587,48.1,42.3,0.994,1.114,0.699,0.664,394.51,7.7,23,52,0,25,33,0,55,25,0,0,23,2,2
5.2,10.47,48.0,32.0,1.014,1.104,0.792,0.746,261.75,12.0,16,25,0,16,19,0,27,12,1,0,12,0,0
5.2,7.009,38.5,48.7,1.001,1.134,0.641,0.608,273.37,7.7,6,39,0,9,21,0,40,15,0,0,9,6,3
6.1,8.154,40.5,42.9,1.008,1.125,0.688,0.652,342.46,9.5,12,42,0,14,26,0,44,17,0,0,13,4,2
5.2,8.295,45.2,38.1,1.016,1.122,0.689,0.676,348.39,9.5,21,42,0,22,29,0,45,19,0,0,17,2,1
6.1,8.358,47.8,37.0,1.009,1.127,0.707,0.689,384.45,13.0,27,46,0,27,33,0,50,22,0,0,21,1,0
5.2,7.734,41.4,43.1,1.011,1.136,0.664,0.642,448.55,10.3,12,58,0,16,37,0,62,24,0,0,15,9,4
5.2,8.569,42.4,39.0,1.02,1.122,0.692,0.671,505.6,8.5,22,59,0,26,40,0,63,25,0,0,21,4,4
5.2,8.52,39.6,39.6,1.018,1.131,0.686,0.664,451.56,13.2,21,53,0,23,35,0,56,21,0,0,17,4,2
5.2,8.086,42.3,40.4,1.016,1.136,0.673,0.657,420.49,11.5,21,52,0,22,35,0,56,22,0,0,16,6,1
5.2,9.671,44.7,34.2,1.014,1.111,0.759,0.719,367.49,13.2,21,38,0,22,28,0,41,17,0,0,16,1,1
7.3,8.187,40.5,42.9,1.008,1.132,0.683,0.651,343.85,11.9,16,42,0,16,27,0,45,17,1,0,11,6,0
5.4,7.657,41.2,43.1,1.007,1.132,0.667,0.643,390.49,11.8,21,51,0,22,32,0,54,21,0,0,16,5,1
5.4,9.011,42.9,37.1,1.022,1.118,0.71,0.687,315.38,8.6,6,35,0,11,23,0,36,15,0,1,12,2,4
5.2,7.738,40.9,45.5,0.997,1.124,0.687,0.641,340.49,9.1,15,44,0,16,27,0,47,18,0,0,12,6,1
5.7,8.453,46.5,39.5,1.005,1.11,0.719,0.683,363.47,7.0,21,43,0,22,29,0,46,20,0,0,18,2,1
7.5,10.804,40.9,34.1,1.03,1.124,0.732,0.707,475.36,13.6,18,44,0,21,31,1,46,18,0,1,16,1,2
6.9,7.943,40.6,43.5,1.009,1.131,0.672,0.644,548.1,10.1,26,69,0,26,44,0,74,28,1,0,18,10,0
5.2,6.97,39.2,49.0,1.0,1.131,0.642,0.608,355.48,5.9,11,51,0,13,28,0,53,20,0,0,12,8,2
5.2,8.93,46.9,37.5,1.012,1.116,0.723,0.695,285.75,9.4,16,32,0,17,22,0,34,15,1,0,14,1,1
5.2,7.67,41.5,43.4,1.008,1.137,0.666,0.641,406.51,11.3,22,53,0,22,33,0,56,22,0,0,16,6,0
5.2,8.009,46.0,40.0,1.009,1.119,0.69,0.669,400.47,8.0,22,50,0,23,34,0,54,23,0,0,20,3,1
5.5,9.498,42.6,42.6,1.005,1.115,0.719,0.669,446.4,6.4,17,47,0,20,29,1,49,20,0,0,17,3,3
5.6,7.509,50.0,43.1,0.995,1.105,0.698,0.664,435.55,1.7,27,58,0,28,37,0,62,29,0,0,25,4,1
5.2,9.522,46.7,33.3,1.034,1.134,0.717,0.707,428.47,8.9,22,45,0,23,33,0,48,21,0,0,20,1,1
6.2,8.335,46.5,39.5,1.024,1.139,0.677,0.666,358.39,4.7,16,43,0,17,29,0,46,20,0,0,16,4,1
5.4,8.696,48.1,37.0,1.009,1.116,0.725,0.696,469.58,9.3,28,54,0,29,38,0,58,26,0,0,25,1,1
5.2,10.483,47.2,27.8,1.055,1.137,0.728,0.735,377.37,8.3,21,36,0,21,29,0,39,17,0,0,15,2,0
6.5,8.913,43.9,36.6,1.016,1.12,0.717,0.692,365.45,12.2,22,41,0,24,29,0,44,18,0,0,18,0,2
5.4,8.693,44.9,40.8,1.006,1.113,0.72,0.679,425.97,6.1,18,49,0,20,31,0,51,22,1,0,20,2,2
5.2,8.522,48.9,37.8,0.997,1.109,0.739,0.699,383.51,11.1,26,45,0,27,32,0,49,22,0,0,22,0,1
5.8,6.979,43.1,47.7,0.99,1.125,0.667,0.626,453.64,7.7,22,65,0,22,39,0,70,28,0,0,18,10,0
6.0,9.046,44.6,35.7,1.026,1.131,0.706,0.692,506.58,10.7,27,56,0,28,40,0,60,25,0,0,23,2,1
6.0,8.402,47.8,39.1,1.0,1.109,0.727,0.689,386.51,8.7,22,46,0,24,31,0,49,22,0,0,21,1,2
5.2,9.707,50.0,34.2,1.015,1.099,0.763,0.728,368.86,5.3,18,38,0,19,28,0,41,19,1,0,18,1,1
6.2,8.989,44.4,35.6,1.017,1.12,0.72,0.697,404.49,13.3,22,45,0,24,32,0,48,20,0,0,20,0,2
5.2,8.343,44.4,37.8,1.018,1.125,0.688,0.676,375.42,11.1,16,45,0,20,31,0,48,20,0,0,18,2,4
5.2,8.955,43.6,34.5,1.034,1.148,0.684,0.686,492.51,14.5,27,55,0,28,40,0,59,24,0,0,22,2,1
6.2,8.57,38.0,40.0,1.024,1.133,0.677,0.657,428.52,12.0,18,50,0,21,32,0,52,19,0,0,17,2,3
5.2,9.057,45.2,33.3,1.033,1.142,0.695,0.696,380.39,14.3,25,42,0,25,32,0,46,19,0,0,16,3,0
5.2,7.695,42.9,42.9,1.007,1.126,0.671,0.647,269.33,8.6,11,35,0,13,22,0,37,15,0,0,12,3,2
4.9,9.822,47.6,33.3,1.021,1.119,0.756,0.724,206.26,9.5,11,21,0,11,16,0,23,10,0,0,9,1,0
5.2,8.452,39.5,41.9,1.022,1.133,0.676,0.651,363.45,7.0,6,43,0,9,28,0,46,17,0,0,10,7,3
5.2,8.476,46.7,36.7,1.015,1.133,0.7,0.686,254.29,13.3,17,30,0,17,21,0,32,14,0,0,13,1,0
5.2,7.313,42.4,45.5,0.998,1.127,0.668,0.635,241.32,9.1,12,33,0,13,19,0,34,14,0,0,12,2,1
5.9,7.805,43.6,41.0,1.001,1.13,0.688,0.661,304.39,15.4,21,39,0,21,26,0,42,17,0,0,15,2,0
5.85,8.043,43.5,41.9,1.003,1.121,0.697,0.662,498.66,9.7,27,62,0,28,40,0,66,27,0,0,23,4,1
5.3,9.754,46.2,30.8,1.034,1.113,0.732,0.724,380.41,10.3,10,39,0,16,30,0,42,18,0,1,16,1,5
5.2,8.974,50.0,32.1,1.022,1.113,0.722,0.717,251.26,10.7,15,28,0,17,21,0,30,14,0,1,12,1,1
5.2,8.88,44.2,37.2,1.018,1.124,0.706,0.687,381.85,11.6,22,43,0,22,30,0,46,19,1,0,17,2,0
5.25,7.382,46.5,44.2,0.993,1.117,0.688,0.651,317.42,7.0,18,43,0,19,26,0,45,20,0,0,18,2,1
5.2,8.322,47.9,37.5,1.011,1.124,0.703,0.685,399.46,10.4,27,48,0,27,34,0,52,23,0,0,21,2,0
5.6,10.673,48.1,37.0,1.003,1.111,0.756,0.711,288.16,11.1,16,27,0,16,19,1,29,13,0,0,13,0,0
5.2,8.767,48.5,33.3,1.015,1.12,0.72,0.709,289.32,15.2,21,33,0,22,25,0,36,16,0,0,16,0,1
5.2,8.51,46.4,35.7,1.014,1.123,0.706,0.692,238.27,14.3,16,28,0,17,20,0,30,13,0,0,13,0,1
5.2,7.445,46.8,43.5,0.993,1.117,0.691,0.655,461.61,8.1,23,62,0,26,39,0,66,29,0,0,25,4,3
7.0,8.814,43.5,34.8,1.028,1.137,0.689,0.687,405.43,15.2,22,46,0,24,33,0,49,20,0,0,20,0,2
5.3,8.837,50.0,36.8,1.007,1.109,0.734,0.704,335.81,7.9,22,38,0,22,27,0,41,19,1,0,18,1,0
5.4,7.617,43.1,45.1,1.013,1.141,0.655,0.632,388.47,3.9,16,51,0,16,31,0,54,22,0,0,14,8,0
5.5,7.01,45.9,47.5,0.991,1.114,0.673,0.632,427.58,1.6,22,61,0,23,35,0,64,28,0,0,21,7,1
5.2,8.134,45.8,39.6,1.013,1.127,0.687,0.669,390.45,8.3,22,48,0,23,32,0,51,22,0,0,20,2,1
