pXC50,C.037,D.Dtr11,nR11,D.Dtr07,nR07,nArC.N,Eta_beta_A,SpDiam_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,Eta_betaP_A,Eig01_AEA.dm.,SpMax_AEA.dm.,SIC4,SaasC,RCI,RFD,SdO,NdssC,SpMax1_Bh.m.,Eig02_AEA.dm.,SpMAD_AEA.ed.,P_VSA_MR_7,SM10_EA.ri.,SM08_EA.ri.,SM11_EA.ri.,CIC4,O.058,GGI5,nPyridines,NdO,SpMax2_Bh.s.,GGI3,SpDiam_AEA.dm.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SIC5,SM09_EA.ri.,Eig05_EA.ri.,SM15_EA.ri.,SM07_EA.ri.,SpMAD_EA.ed.,Eta_sh_p,Rbrid,Eta_B_A,GNar,X4A,CIC5,ARR,GATS2e,Mi,X5A,SpMAD_EA,Eig01_AEA.ri.,SpMax_AEA.ri.,HNar,X0A,BIC4,P_VSA_m_3,nCbH,JGI3,Hy,JGI1,nCIR,BIC5
5.248,0,0.0,0,0.0,0,0,1.478,5.257,3.257,3.257,0.848,3.816,3.816,0.948,3.906,1.1,0.1,12.928,2,4.221,2.83,1.512,26.262,11.951,9.723,13.062,0.27,1,0.927,0,1,4.885,2.021,5.816,14.246,15.395,16.573,0.948,10.742,1.896,17.74,8.435,4.272,0.029,1,0.019,2.196,0.11,0.27,0.654,0.72,1.098,0.071,1.498,4.309,4.309,2.123,0.68,0.873,25.145,9,0.059,-0.815,0.115,5,0.873
6.511,1,82.235,2,23.802,1,1,1.6,4.841,2.841,2.841,0.967,3.292,3.292,0.982,3.535,1.267,0.267,0.0,0,3.964,2.746,1.485,9.047,10.826,8.86,11.748,0.083,0,0.167,0,0,4.645,0.5,5.292,12.834,13.808,14.865,1.0,9.677,1.405,15.866,7.578,4.037,0.0,2,0.016,2.228,0.119,0.0,0.706,1.05,1.099,0.078,1.455,3.941,3.941,2.195,0.673,0.892,11.0,8,0.02,-0.846,0.118,6,0.909
8.52,1,82.235,2,23.802,1,1,1.533,4.962,2.962,2.962,0.933,3.233,3.233,0.967,4.979,1.267,0.267,0.0,0,3.983,2.727,1.485,9.047,11.167,9.119,12.147,0.154,0,0.167,0,0,4.643,0.5,5.233,13.26,14.288,15.378,0.984,9.999,1.405,16.429,7.827,4.037,0.0,2,0.016,2.228,0.119,0.077,0.706,0.984,1.099,0.078,1.455,3.981,3.981,2.195,0.673,0.886,0.0,8,0.02,-0.912,0.118,6,0.901
7.28,1,115.762,2,32.798,1,1,1.434,5.126,3.126,3.126,0.816,3.692,3.692,0.958,4.633,1.267,0.267,11.843,1,4.006,3.214,1.541,9.047,11.705,9.56,12.76,0.211,1,0.597,0,1,4.911,1.063,5.692,13.9,14.993,16.122,0.958,10.532,1.481,17.234,8.297,4.192,0.092,2,0.02,2.113,0.113,0.211,0.571,0.828,1.107,0.073,1.458,4.138,4.138,2.0,0.697,0.888,36.145,7,0.031,-0.828,0.143,6,0.888
9.319,1,122.01,2,35.284,1,1,1.434,5.009,3.009,3.009,0.816,3.654,3.654,0.958,4.856,1.267,0.267,11.57,1,4.001,3.228,1.53,9.047,11.5,9.435,12.501,0.211,1,0.486,0,1,4.909,0.813,5.654,13.608,14.65,15.741,0.958,10.351,1.468,16.804,8.187,4.164,0.092,2,0.021,2.113,0.116,0.211,0.571,0.828,1.107,0.074,1.457,4.029,4.029,2.0,0.697,0.888,36.145,7,0.025,-0.828,0.167,6,0.888
5.959,0,0.0,0,0.0,0,0,1.079,4.818,2.818,2.818,0.474,4.808,4.808,0.87,0.861,1.0,0.0,23.022,2,4.3,3.933,1.561,156.595,10.556,8.619,11.488,0.625,2,0.708,0,2,7.426,1.375,6.808,12.55,13.531,14.576,0.87,9.458,1.262,15.583,7.439,4.35,0.392,0,0.042,1.788,0.125,0.625,0.316,0.508,1.111,0.089,1.495,4.033,4.033,1.594,0.77,0.829,50.29,4,0.055,-0.094,0.342,1,0.829
4.046,0,0.0,0,0.0,0,0,0.725,4.387,2.436,2.436,0.225,4.316,4.316,0.802,0.0,0.0,0.0,10.366,4,3.919,3.507,1.393,28.429,9.764,8.131,10.454,1.105,1,0.444,0,1,6.351,0.875,5.955,11.427,12.177,13.11,0.854,8.724,1.302,13.9,6.974,3.195,0.267,0,0.025,1.762,0.168,0.813,0.0,0.409,1.128,0.11,1.363,3.439,3.439,1.622,0.769,0.79,67.828,0,0.046,-0.37,0.237,0,0.841
5.903,0,0.0,0,0.0,0,0,1.183,4.721,2.776,2.776,0.6,3.762,3.762,0.914,0.278,1.0,0.0,0.0,2,3.88,2.934,1.51,26.262,10.503,8.585,11.417,0.411,0,0.285,1,0,6.543,0.875,5.762,12.464,13.425,14.451,0.914,9.409,0.956,15.436,7.389,3.706,0.234,0,0.022,1.852,0.147,0.411,0.4,0.486,1.144,0.088,1.398,3.803,3.803,1.698,0.751,0.872,57.766,0,0.046,-0.2,0.233,1,0.872
4.959,0,0.0,0,0.0,0,0,1.077,4.658,2.739,2.739,0.538,3.762,3.762,0.906,1.187,1.0,0.0,0.0,2,4.222,2.849,1.479,9.476,10.22,8.303,11.148,0.443,0,0.222,0,0,4.72,0.847,5.705,12.179,13.145,14.16,0.906,9.15,0.609,15.145,7.139,3.59,0.203,0,0.017,1.872,0.153,0.443,0.385,0.491,1.12,0.086,1.386,3.785,3.785,1.733,0.745,0.864,42.806,0,0.061,-0.202,0.192,1,0.864
8.0,0,0.0,0,0.0,0,0,1.425,4.58,2.58,2.58,0.9,4.216,4.216,0.875,1.005,1.0,0.0,0.0,0,6.88,3.158,1.468,0.0,9.585,7.772,10.354,0.5,0,0.153,0,0,4.746,0.438,6.216,11.435,12.28,13.305,0.875,8.405,0.117,14.194,6.415,3.484,0.302,0,0.016,1.888,0.145,0.5,0.6,0.708,1.099,0.101,1.384,3.713,3.713,1.765,0.74,0.797,0.0,5,0.04,-0.768,0.15,1,0.797
5.352,0,0.0,0,0.0,0,0,1.398,5.266,3.266,3.266,0.773,3.825,3.825,0.942,1.221,1.133,0.133,23.405,3,4.019,3.465,1.563,9.476,11.987,9.758,13.1,0.294,2,1.167,0,2,7.476,2.111,5.825,14.283,15.435,16.614,0.942,10.783,1.84,17.782,8.485,4.386,0.126,1,0.028,2.043,0.106,0.294,0.5,0.514,1.116,0.071,1.505,4.317,4.317,1.886,0.713,0.873,107.933,8,0.062,-0.31,0.188,4,0.873
6.886,0,0.0,0,0.0,0,0,0.802,5.739,3.739,3.739,0.25,3.754,3.754,0.882,0.0,1.2,0.2,33.278,1,3.961,3.213,1.601,43.749,13.353,10.819,14.632,0.683,3,0.785,0,3,7.45,2.875,5.754,15.931,17.228,18.532,0.882,12.055,1.688,19.838,9.501,4.493,0.217,1,0.029,1.906,0.114,0.683,0.0,0.568,1.13,0.07,1.458,4.739,4.739,1.735,0.741,0.864,75.435,0,0.068,-0.864,0.26,3,0.864
6.301,0,0.0,0,0.0,0,0,1.402,5.323,3.323,3.323,0.75,3.957,3.957,0.935,3.883,1.1,0.1,36.858,3,4.235,3.626,1.583,55.934,12.288,10.049,13.411,0.351,3,1.07,0,3,7.428,3.021,5.957,14.592,15.751,16.934,0.935,11.093,2.087,18.11,8.798,4.506,0.161,1,0.029,2.072,0.111,0.351,0.548,0.515,1.107,0.072,1.512,4.342,4.342,1.909,0.708,0.866,75.435,7,0.067,-0.288,0.194,5,0.866
7.28,1,122.01,2,35.284,1,1,1.487,4.929,2.929,2.929,0.842,3.655,3.655,0.968,3.298,1.267,0.267,11.519,1,3.983,3.287,1.53,9.047,11.26,9.25,12.226,0.158,1,0.486,0,1,5.011,0.813,5.655,13.311,14.32,15.387,0.968,10.13,1.448,16.418,8.018,4.164,0.094,2,0.021,2.113,0.116,0.158,0.571,0.956,1.107,0.074,1.457,4.0,4.0,2.0,0.697,0.892,47.145,7,0.025,-0.776,0.167,6,0.892
5.879,0,0.0,0,0.0,0,0,1.077,4.676,2.767,2.767,0.538,3.762,3.762,0.906,1.164,1.0,0.0,0.0,2,4.207,2.849,1.479,9.476,10.374,8.437,11.318,0.443,0,0.222,0,0,4.723,0.847,5.705,12.347,13.325,14.342,0.906,9.311,0.609,15.336,7.289,3.59,0.203,0,0.017,1.872,0.153,0.443,0.385,0.506,1.12,0.086,1.386,3.796,3.796,1.733,0.745,0.864,42.806,0,0.061,-0.202,0.192,1,0.864
4.921,0,0.0,0,0.0,0,0,1.25,4.438,2.438,2.438,0.75,2.84,2.84,0.829,1.326,1.0,0.0,0.0,0,6.88,1.801,1.424,0.0,9.052,7.345,9.681,0.667,0,0.063,0,0,3.937,0.188,4.84,10.787,11.505,12.538,0.829,7.833,-0.588,13.314,5.945,3.156,0.276,0,0.009,1.929,0.16,0.667,0.75,1.037,1.1,0.111,1.355,3.479,3.479,1.846,0.727,0.777,0.0,5,0.027,-0.828,0.125,1,0.777
5.959,0,0.0,0,0.0,0,0,0.75,3.4,2.174,2.174,0.3,3.599,3.599,0.397,0.0,0.0,0.0,9.766,1,6.88,1.844,1.281,0.0,7.772,6.229,8.542,2.004,1,0.0,0,1,3.95,0.0,4.201,9.322,10.097,10.874,0.0,6.984,0.0,11.651,5.416,2.613,0.684,0,0.029,1.431,0.0,0.0,0.0,0.736,1.13,0.0,1.241,3.189,3.189,1.304,0.857,0.397,25.145,0,0.0,-0.539,0.375,0,0.0
7.409,0,0.0,0,0.0,0,0,0.75,3.59,2.148,2.148,0.214,3.712,3.712,0.764,0.0,0.0,0.0,10.143,1,6.88,1.907,1.341,0.0,7.668,6.171,8.396,0.897,1,0.0,0,1,4.47,0.25,4.738,9.184,9.933,10.708,0.621,6.848,-1.225,11.465,5.276,2.643,0.542,0,0.015,1.575,0.232,1.441,0.0,0.901,1.137,0.204,1.236,3.277,3.277,1.448,0.814,0.764,36.145,0,0.05,-0.535,0.25,0,0.621
6.0,0,0.0,0,0.0,0,0,1.35,5.177,3.177,3.177,0.65,3.977,3.977,0.907,3.926,1.1,0.1,37.028,3,4.232,3.621,1.61,33.571,12.018,9.893,13.08,0.525,3,1.196,0,3,7.428,2.597,5.977,14.205,15.304,16.43,0.907,10.881,2.283,17.55,8.701,4.547,0.176,1,0.029,2.048,0.111,0.525,0.485,0.58,1.129,0.069,1.517,4.299,4.299,1.875,0.714,0.853,75.435,4,0.052,-0.25,0.197,5,0.853
6.0,0,0.0,0,0.0,0,0,1.383,5.177,3.177,3.177,0.667,3.977,3.977,0.939,3.148,1.1,0.1,37.018,3,4.232,3.621,1.611,33.571,12.001,9.869,13.067,0.339,3,1.116,0,3,7.428,2.722,5.977,14.194,15.296,16.424,0.939,10.861,2.209,17.545,8.676,4.548,0.178,1,0.029,2.048,0.111,0.339,0.485,0.799,1.13,0.07,1.517,4.299,4.299,1.875,0.714,0.881,86.435,4,0.054,-0.217,0.197,5,0.881
6.602,0,0.0,0,0.0,0,0,1.295,5.323,3.323,3.323,0.636,4.489,4.489,0.921,-5.14,1.1,0.1,36.839,3,4.235,3.957,1.628,16.786,12.566,10.326,13.689,0.434,3,1.376,0,3,8.209,4.771,6.489,14.859,16.011,17.182,0.921,11.385,2.231,18.349,9.098,4.818,0.196,1,0.039,1.983,0.112,0.434,0.472,0.483,1.148,0.068,1.535,4.342,4.342,1.776,0.73,0.858,150.235,5,0.084,-0.232,0.25,5,0.858
5.523,0,0.0,0,0.0,0,0,1.175,5.259,3.259,3.259,0.55,3.818,3.818,0.886,1.579,1.143,0.143,23.395,3,4.003,3.464,1.547,9.476,11.956,9.719,13.075,0.595,2,0.921,0,2,7.427,2.083,5.818,14.254,15.408,16.584,0.886,10.759,1.829,17.752,8.458,4.385,0.106,1,0.025,2.077,0.107,0.595,0.273,0.417,1.12,0.07,1.509,4.309,4.309,1.935,0.706,0.84,92.973,4,0.072,-0.32,0.159,4,0.84
6.0,0,0.0,0,0.0,0,0,1.355,5.177,3.177,3.177,0.645,3.977,3.977,0.937,3.096,1.1,0.1,37.137,3,4.233,3.621,1.607,33.571,12.071,9.923,13.145,0.358,3,1.248,0,3,7.428,2.972,5.977,14.275,15.381,16.51,0.937,10.927,2.208,17.632,8.723,4.5,0.172,1,0.028,2.046,0.11,0.358,0.471,0.765,1.13,0.07,1.508,4.299,4.299,1.879,0.714,0.882,86.435,4,0.057,-0.233,0.176,5,0.882
5.242,0,0.0,0,0.0,0,0,1.288,5.177,3.177,3.177,0.596,3.977,3.977,0.858,2.351,1.133,0.133,36.683,3,4.019,3.62,1.635,16.786,11.964,9.828,13.032,0.788,3,0.987,0,3,7.428,2.5,5.977,14.159,15.262,16.39,0.858,10.825,2.208,17.512,8.639,4.576,0.25,1,0.034,1.97,0.112,0.788,0.393,0.581,1.137,0.069,1.52,4.299,4.299,1.773,0.731,0.815,75.435,4,0.057,-0.256,0.214,4,0.815
6.0,0,0.0,0,0.0,0,0,1.388,5.177,3.177,3.177,0.672,3.977,3.977,0.952,2.981,1.1,0.1,36.925,3,4.237,3.621,1.616,72.72,11.972,9.836,13.039,0.262,3,1.053,0,3,7.428,2.722,5.977,14.168,15.272,16.402,0.952,10.829,2.208,17.524,8.639,4.6,0.195,1,0.031,2.049,0.111,0.262,0.5,0.622,1.126,0.069,1.528,4.299,4.299,1.871,0.714,0.887,75.435,4,0.057,-0.2,0.203,5,0.887
4.787,0,0.0,0,0.0,0,0,1.259,5.177,3.177,3.177,0.574,3.977,3.977,0.89,2.396,1.133,0.133,36.79,3,4.019,3.62,1.636,16.786,11.99,9.854,13.057,0.62,3,1.014,0,3,7.428,2.5,5.977,14.184,15.286,16.414,0.89,10.85,2.208,17.535,8.661,4.512,0.24,1,0.031,1.971,0.112,0.62,0.379,0.575,1.137,0.07,1.502,4.299,4.299,1.78,0.73,0.849,75.435,4,0.054,-0.272,0.207,4,0.849
6.921,0,0.0,0,0.0,0,0,1.239,4.812,2.812,2.812,0.636,4.659,4.659,0.875,1.94,1.0,0.0,12.225,1,4.305,3.743,1.509,156.595,10.665,8.762,11.547,0.629,1,0.882,0,1,5.147,1.313,6.659,12.626,13.574,14.625,0.875,9.525,1.649,15.609,7.5,4.232,0.268,0,0.033,1.933,0.125,0.629,0.522,0.475,1.1,0.086,1.487,4.036,4.036,1.772,0.735,0.824,25.145,9,0.044,-0.22,0.261,2,0.824
4.796,0,0.0,0,0.0,0,0,1.05,3.326,1.663,1.663,0.6,2.818,2.818,0.693,0.0,0.0,0.0,9.318,0,3.544,1.537,1.207,30.377,5.784,4.772,0.0,1.061,1,0.0,0,1,4.361,0.125,4.199,6.799,0.0,7.816,0.33,0.0,0.0,0.0,0.0,1.732,0.357,0,0.0,1.516,0.354,2.319,0.0,0.74,1.132,0.0,1.118,2.649,2.649,1.429,0.824,0.669,25.145,0,0.063,-0.719,0.125,0,0.318
5.0,0,0.0,0,0.0,0,0,1.615,4.815,2.815,2.815,1.0,3.177,3.177,0.916,1.717,1.0,0.0,19.925,0,3.903,3.043,1.479,0.0,10.466,8.494,11.409,0.356,2,0.292,0,2,7.503,0.688,5.177,12.484,13.473,14.526,0.941,9.342,1.024,15.538,7.261,3.586,0.196,0,0.017,1.872,0.134,0.25,0.462,0.229,1.118,0.091,1.383,3.852,3.852,1.733,0.745,0.828,50.29,3,0.043,-0.673,0.192,1,0.85
5.721,0,0.0,0,0.0,0,0,0.909,4.386,2.476,2.476,0.409,3.502,3.502,0.89,0.0,0.0,0.0,20.631,1,3.7,2.809,1.319,30.377,9.188,7.473,9.905,0.51,2,0.111,0,2,7.426,0.375,5.284,10.947,11.746,12.73,0.89,8.043,0.174,13.576,6.147,2.612,0.226,0,0.01,1.718,0.18,0.51,0.0,0.604,1.133,0.135,1.252,3.423,3.423,1.61,0.775,0.869,50.29,0,0.042,-0.79,0.15,0,0.869
6.0,0,0.0,0,0.0,0,0,1.379,5.177,3.177,3.177,0.672,3.977,3.977,0.919,3.556,1.1,0.1,36.938,3,6.88,3.621,1.616,33.571,11.965,9.829,13.033,0.443,3,1.133,0,3,7.428,2.597,5.977,14.162,15.266,16.396,0.919,10.822,2.208,17.518,8.632,4.593,0.229,1,0.031,2.049,0.11,0.443,0.5,0.62,1.124,0.069,1.525,4.299,4.299,1.871,0.714,0.856,75.435,4,0.054,-0.2,0.203,5,0.856
5.921,0,0.0,0,0.0,0,0,1.37,5.261,3.261,3.261,0.74,3.821,3.821,0.96,2.54,1.133,0.133,35.663,4,4.015,3.651,1.587,9.476,12.121,9.913,13.222,0.214,3,1.129,0,3,7.432,2.486,5.821,14.39,15.528,16.693,0.96,10.934,2.084,17.849,8.66,4.369,0.163,1,0.027,2.015,0.108,0.214,0.444,0.672,1.116,0.072,1.495,4.31,4.31,1.852,0.719,0.898,86.435,8,0.062,0.273,0.185,4,0.898
7.29,0,0.0,0,0.0,0,0,1.219,4.831,2.831,2.831,0.604,4.659,4.659,0.868,2.504,1.0,0.0,12.383,1,4.305,3.743,1.527,156.595,10.782,8.881,11.671,0.689,1,1.056,0,1,5.147,1.375,6.659,12.743,13.695,14.743,0.868,9.659,1.655,15.732,7.649,4.263,0.289,0,0.033,1.916,0.124,0.689,0.48,0.737,1.106,0.082,1.482,4.038,4.038,1.745,0.739,0.823,36.145,8,0.04,-0.219,0.28,2,0.823
6.878,0,0.0,0,0.0,0,0,1.3,4.858,2.858,2.858,0.68,4.659,4.659,0.873,1.39,1.0,0.0,33.653,1,4.305,3.779,1.55,162.265,11.0,9.072,11.915,0.65,1,1.118,0,3,7.429,1.625,6.659,12.979,13.946,14.991,0.873,9.891,1.658,15.988,7.865,4.37,0.297,0,0.037,1.897,0.123,0.65,0.462,0.472,1.109,0.081,1.504,4.039,4.039,1.714,0.745,0.816,75.892,8,0.045,-0.159,0.288,2,0.816
7.423,0,0.0,0,0.0,0,0,1.207,4.817,2.817,2.817,0.609,4.659,4.659,0.875,2.784,1.0,0.0,12.321,1,6.88,3.743,1.536,156.595,10.687,8.786,11.57,0.629,1,0.993,0,1,5.147,1.375,6.659,12.649,13.598,14.648,0.875,9.551,1.653,15.634,7.533,4.315,0.341,0,0.036,1.912,0.122,0.629,0.5,0.498,1.096,0.083,1.492,4.037,4.037,1.736,0.741,0.824,25.145,8,0.043,-0.198,0.292,2,0.824
5.699,0,0.0,0,0.0,0,0,1.29,4.837,2.837,2.837,0.68,4.659,4.659,0.862,2.036,1.0,0.0,33.754,1,4.304,3.786,1.549,123.116,11.08,9.153,11.997,0.724,1,1.174,0,3,7.429,1.625,6.659,13.054,14.019,15.057,0.862,9.981,2.02,16.049,7.961,4.356,0.285,0,0.037,1.897,0.123,0.724,0.462,0.412,1.113,0.081,1.498,4.038,4.038,1.714,0.745,0.81,75.892,8,0.045,-0.198,0.288,2,0.81
4.602,0,0.0,0,0.0,0,0,1.218,5.041,3.041,3.041,0.532,4.472,4.472,0.905,0.29,1.095,0.095,12.467,1,4.088,3.679,1.553,16.786,11.979,9.871,13.019,0.543,1,1.091,1,1,7.999,2.604,6.472,14.134,15.208,16.314,0.905,10.835,2.181,17.404,8.65,4.486,0.109,1,0.03,2.057,0.115,0.543,0.471,0.494,1.152,0.076,1.516,4.28,4.28,1.908,0.71,0.861,112.709,3,0.053,0.94,0.206,5,0.861
4.602,0,0.0,0,0.0,0,0,1.297,5.04,3.04,3.04,0.625,3.679,3.679,0.925,2.398,1.16,0.16,12.592,1,4.09,3.168,1.52,16.786,11.821,9.775,12.814,0.441,1,0.667,1,1,6.471,1.792,5.679,13.923,14.964,16.057,0.925,10.671,2.183,17.123,8.523,4.226,0.044,2,0.022,2.174,0.118,0.441,0.583,0.826,1.127,0.078,1.491,4.072,4.072,2.087,0.685,0.875,67.828,7,0.037,0.822,0.167,7,0.875
4.602,0,0.0,0,0.0,0,0,1.283,4.644,2.644,2.644,0.609,3.788,3.788,0.863,2.174,1.0,0.0,12.157,1,3.996,3.014,1.479,55.934,10.485,8.709,11.257,0.732,1,0.451,1,1,4.967,0.938,5.788,12.306,13.152,14.156,0.863,9.354,1.707,15.045,7.429,3.893,0.095,0,0.02,2.093,0.129,0.732,0.48,0.789,1.126,0.085,1.45,3.794,3.794,2.0,0.699,0.82,36.145,4,0.03,-0.729,0.18,3,0.82
4.602,0,0.0,0,0.0,0,0,1.333,4.865,2.865,2.865,0.667,3.788,3.788,0.885,2.17,1.091,0.091,12.304,1,4.033,3.066,1.504,55.934,11.152,9.239,12.042,0.638,1,0.59,1,1,4.991,1.188,5.788,13.121,14.076,15.127,0.885,10.012,1.944,16.118,7.971,4.1,0.08,1,0.022,2.142,0.122,0.638,0.567,0.762,1.119,0.08,1.474,3.911,3.911,2.051,0.69,0.834,36.145,8,0.03,-0.769,0.183,5,0.834
4.602,0,0.0,0,0.0,0,0,1.277,5.04,3.04,3.04,0.589,3.68,3.68,0.915,2.709,1.095,0.095,12.461,1,4.089,3.314,1.542,55.934,11.611,9.562,12.611,0.48,1,0.681,1,1,6.471,1.979,5.68,13.717,14.764,15.857,0.915,10.468,1.921,16.927,8.322,4.241,0.103,1,0.023,2.115,0.119,0.48,0.516,0.754,1.132,0.078,1.489,4.072,4.072,2.0,0.697,0.867,67.828,3,0.046,0.953,0.161,5,0.867
4.602,0,0.0,0,0.0,0,0,1.212,4.872,2.872,2.872,0.538,4.46,4.46,0.855,0.285,1.0,0.0,12.165,1,3.913,3.788,1.494,16.786,11.163,9.23,12.084,0.79,1,0.75,1,1,7.999,1.438,6.46,13.145,14.118,15.16,0.855,10.055,2.018,16.161,8.02,4.22,0.102,0,0.029,2.027,0.127,0.79,0.429,0.495,1.152,0.081,1.485,4.17,4.17,1.891,0.714,0.815,81.025,4,0.039,-0.684,0.232,3,0.815
4.602,0,0.0,0,0.0,0,0,1.267,4.872,2.872,2.872,0.6,4.46,4.46,0.877,0.281,1.091,0.091,12.311,1,4.029,3.788,1.514,16.786,11.556,9.577,12.504,0.695,1,0.889,1,1,7.999,1.688,6.46,13.58,14.574,15.631,0.877,10.434,2.213,16.649,8.355,4.357,0.087,1,0.029,2.079,0.122,0.695,0.515,0.48,1.142,0.078,1.501,4.17,4.17,1.946,0.705,0.83,81.025,8,0.037,-0.726,0.227,5,0.83
6.31,0,0.0,0,0.0,0,0,0.667,3.357,1.678,1.678,0.222,3.688,3.688,0.678,0.0,0.0,0.0,0.0,0,4.321,3.555,1.257,18.952,6.007,5.04,0.0,1.368,0,0.056,0,0,4.695,0.125,4.981,6.998,0.0,8.004,0.678,0.0,-0.303,0.0,0.0,2.135,0.182,0,0.0,1.714,0.206,1.368,0.0,1.015,1.097,0.151,1.19,2.787,2.787,1.636,0.772,0.666,0.0,0,0.021,-0.636,0.063,0,0.666
7.481,1,91.453,2,26.412,1,1,1.469,4.967,2.967,2.967,0.875,3.256,3.256,0.984,6.001,1.267,0.267,0.0,0,6.88,2.916,1.506,9.047,11.189,9.14,12.171,0.077,0,0.212,0,0,4.64,0.688,5.256,13.284,14.314,15.404,0.984,10.022,1.431,16.458,7.854,4.191,0.153,2,0.022,2.174,0.117,0.077,0.667,0.779,1.093,0.077,1.477,3.996,3.996,2.087,0.685,0.901,0.0,7,0.025,-0.856,0.167,6,0.901
7.0,1,122.605,2,35.463,1,1,1.434,5.013,3.013,3.013,0.816,3.653,3.653,0.958,4.876,1.267,0.267,11.537,1,4.001,3.23,1.532,9.047,11.501,9.435,12.502,0.211,1,0.476,0,1,4.911,0.813,5.653,13.61,14.653,15.745,0.958,10.351,1.454,16.809,8.187,4.171,0.092,2,0.021,2.113,0.116,0.211,0.571,0.828,1.107,0.074,1.459,4.029,4.029,2.0,0.697,0.888,36.145,7,0.025,-0.828,0.167,6,0.888
7.509,1,116.311,2,32.929,1,1,1.434,5.116,3.116,3.116,0.816,3.682,3.682,0.958,4.632,1.267,0.267,11.787,1,4.006,3.22,1.54,9.047,11.7,9.558,12.752,0.211,1,0.511,0,1,4.908,1.188,5.682,13.889,14.978,16.104,0.958,10.528,1.476,17.212,8.297,4.183,0.092,2,0.02,2.113,0.114,0.211,0.571,0.828,1.107,0.074,1.456,4.129,4.129,2.0,0.697,0.888,36.145,7,0.035,-0.828,0.143,6,0.888
7.509,1,116.311,2,32.929,1,1,1.434,5.094,3.094,3.094,0.816,3.688,3.688,0.958,4.584,1.267,0.267,11.774,1,4.005,3.216,1.54,9.047,11.672,9.543,12.716,0.211,1,0.511,0,1,4.903,1.188,5.688,13.847,14.928,16.046,0.958,10.505,1.476,17.145,8.284,4.183,0.092,2,0.02,2.113,0.114,0.211,0.571,0.828,1.107,0.074,1.456,4.122,4.122,2.0,0.697,0.888,36.145,7,0.035,-0.828,0.143,6,0.888
7.721,1,122.605,2,35.463,1,1,1.434,5.004,3.004,3.004,0.816,3.654,3.654,0.958,4.853,1.267,0.267,11.529,1,4.0,3.229,1.532,9.047,11.497,9.434,12.497,0.211,1,0.476,0,1,4.908,0.813,5.654,13.603,14.643,15.733,0.958,10.349,1.46,16.795,8.186,4.171,0.092,2,0.021,2.113,0.116,0.211,0.571,0.828,1.107,0.074,1.459,4.026,4.026,2.0,0.697,0.888,36.145,7,0.025,-0.828,0.167,6,0.888
9.046,0,0.0,0,0.0,0,0,1.596,4.704,2.704,2.704,1.038,4.234,4.234,0.947,1.216,1.0,0.0,0.0,1,4.02,3.869,1.497,48.625,10.157,8.285,11.01,0.222,0,0.229,0,0,6.782,0.75,6.234,12.073,12.988,14.016,0.947,9.026,0.572,14.965,7.021,3.574,0.232,0,0.017,1.872,0.14,0.222,0.462,0.552,1.098,0.092,1.379,3.795,3.795,1.733,0.745,0.84,0.0,4,0.047,-0.748,0.192,1,0.84
8.456,1,89.648,2,25.716,1,1,1.469,4.982,2.982,2.982,0.875,3.367,3.367,0.984,6.032,1.267,0.267,0.0,0,6.88,2.94,1.516,9.047,11.235,9.172,12.226,0.077,0,0.358,0,0,4.641,0.813,5.367,13.342,14.379,15.473,0.984,10.067,1.445,16.533,7.889,4.211,0.153,2,0.021,2.174,0.117,0.077,0.667,0.779,1.093,0.075,1.476,4.044,4.044,2.087,0.685,0.901,0.0,7,0.029,-0.856,0.139,6,0.901
6.801,1,101.575,2,29.338,1,1,1.603,4.99,2.99,2.99,1.0,4.058,4.058,0.984,5.188,1.267,0.267,0.0,0,3.997,3.237,1.502,9.047,11.321,9.269,12.309,0.074,0,0.274,0,0,4.908,0.688,6.058,13.421,14.456,15.549,0.984,10.162,1.438,16.608,8.001,4.108,0.048,2,0.018,2.163,0.117,0.074,0.632,0.718,1.098,0.076,1.454,4.006,4.006,2.082,0.686,0.892,0.0,7,0.024,-0.865,0.158,6,0.892
8.796,1,98.062,2,27.976,1,1,1.603,5.07,3.07,3.07,1.0,4.075,4.075,0.984,5.021,1.267,0.267,0.0,0,4.001,3.262,1.511,9.047,11.511,9.394,12.543,0.074,0,0.42,0,0,4.906,0.813,6.075,13.675,14.749,15.865,0.984,10.338,1.463,16.958,8.12,4.132,0.048,2,0.017,2.163,0.116,0.074,0.632,0.718,1.098,0.075,1.454,4.081,4.081,2.082,0.686,0.892,0.0,7,0.027,-0.865,0.132,6,0.892
9.824,1,98.062,2,27.976,1,1,1.662,4.963,2.963,2.963,1.029,4.076,4.076,1.0,3.354,1.267,0.267,0.0,0,3.983,3.317,1.511,9.047,11.206,9.162,12.192,0.0,0,0.42,0,0,5.002,0.813,6.076,13.296,14.326,15.411,1.0,10.057,1.457,16.463,7.906,4.132,0.049,2,0.017,2.163,0.116,0.0,0.632,0.977,1.098,0.075,1.454,4.047,4.047,2.082,0.686,0.898,11.0,7,0.027,-0.807,0.132,6,0.898
