pXC50,nCsp3,nH,Se,Si,nBT,nO,nAT,Mv,Sv,Sp,Mp,AMW,MW,C.,H.,Mi,nC,nSK,nBO,SCBO,Me,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nDB
5.0,7,16,40.567,44.997,43,1,40,0.679,27.143,28.523,0.713,9.082,363.27,42.5,40.0,1.125,17,24,27,35.0,1.014,10.0,10,0,12,0,2,1,9,1
5.7,6,18,37.92,43.109,40,1,38,0.618,23.488,24.807,0.653,7.115,270.37,39.5,47.4,1.134,15,20,22,28.0,0.998,10.5,6,0,9,0,0,0,9,3
6.2,1,17,44.214,49.112,47,1,44,0.686,30.17,31.699,0.72,8.534,375.49,45.5,38.6,1.116,20,27,30,42.0,1.005,11.4,22,0,23,0,0,0,19,1
5.7,2,17,40.138,45.192,42,1,40,0.65,25.983,27.051,0.676,7.685,307.39,42.5,42.5,1.13,17,23,25,34.5,1.003,12.5,17,0,18,0,0,0,15,1
5.7,2,20,46.803,52.524,50,1,47,0.66,31.015,32.569,0.693,7.584,356.46,46.8,42.6,1.118,22,27,30,42.0,0.996,8.5,22,0,23,0,0,0,20,1
5.7,8,27,58.538,65.896,60,4,58,0.617,35.761,37.222,0.642,7.337,425.54,37.9,46.6,1.136,22,31,33,42.0,1.009,8.6,12,0,15,0,0,0,14,3
5.7,3,11,42.887,47.021,43,0,40,0.714,28.568,27.222,0.681,10.283,411.34,45.0,27.5,1.176,18,29,32,42.5,1.072,12.5,21,0,21,0,0,0,15,0
5.7,2,13,39.574,43.713,40,1,38,0.687,26.111,25.858,0.68,9.114,346.34,44.7,34.2,1.15,17,25,27,36.5,1.041,10.5,17,0,18,0,0,0,15,1
5.7,1,10,30.116,32.787,30,3,29,0.69,19.998,20.318,0.701,9.597,278.32,37.9,34.5,1.131,11,19,20,28.5,1.038,13.8,11,0,14,0,0,0,10,3
5.7,4,21,50.982,56.943,55,1,51,0.671,34.223,36.222,0.71,8.148,415.56,45.1,41.2,1.117,23,30,34,46.0,1.0,9.8,22,0,23,0,0,0,19,1
5.7,2,17,49.661,55.125,51,1,48,0.681,32.681,32.631,0.68,8.884,426.44,43.8,35.4,1.148,21,31,34,46.0,1.035,12.5,22,0,23,0,0,0,19,1
5.7,3,17,41.549,45.95,43,3,41,0.661,27.083,28.358,0.692,8.377,343.44,41.5,41.5,1.121,17,24,26,36.5,1.013,7.3,17,0,19,0,0,0,14,2
5.7,5,22,49.014,55.149,52,2,49,0.638,31.256,32.784,0.669,7.397,362.47,42.9,44.9,1.125,21,27,30,40.0,1.0,8.2,16,0,18,0,0,0,16,2
5.7,1,12,36.884,39.715,38,2,36,0.735,26.475,27.852,0.774,10.536,379.28,47.2,33.3,1.103,17,24,26,36.0,1.025,5.6,16,0,18,0,2,0,16,2
5.9,7,26,57.101,64.561,60,2,57,0.629,35.826,37.557,0.659,7.343,418.55,40.4,45.6,1.133,23,31,34,44.0,1.002,10.5,18,0,19,0,0,0,16,1
5.7,4,20,49.167,55.073,53,0,49,0.671,32.892,34.705,0.708,8.276,405.54,44.9,40.8,1.124,22,29,33,45.5,1.003,10.2,25,0,25,0,0,0,18,0
5.9,1,10,28.058,31.239,30,0,28,0.702,19.666,20.307,0.725,8.367,234.28,50.0,35.7,1.116,14,18,20,30.0,1.002,14.3,16,0,17,0,0,1,12,0
5.7,1,18,48.643,53.82,51,2,48,0.686,32.906,34.159,0.712,8.719,418.52,43.8,37.5,1.121,21,30,33,46.0,1.013,12.5,22,0,24,0,0,0,20,2
5.7,0,17,49.836,54.578,53,2,49,0.71,34.773,35.847,0.732,9.072,444.52,49.0,34.7,1.114,24,32,36,50.5,1.017,8.2,27,0,28,0,0,0,24,1
5.7,5,18,49.149,54.785,52,1,48,0.673,32.297,32.694,0.681,8.509,408.45,43.8,37.5,1.141,21,30,34,45.0,1.024,12.5,22,0,22,0,0,0,16,0
5.7,4,21,49.225,55.604,52,1,49,0.644,31.552,32.824,0.67,7.663,375.48,40.8,42.9,1.135,20,28,31,42.5,1.005,14.3,21,0,22,0,0,0,16,1
6.1,0,11,35.018,38.25,36,1,34,0.723,24.584,25.244,0.742,10.241,348.21,44.1,32.4,1.125,15,23,25,34.5,1.03,14.7,17,0,18,0,2,0,15,1
5.7,5,21,54.436,60.583,56,2,53,0.659,34.933,35.358,0.667,8.349,442.48,43.4,39.6,1.143,23,32,35,46.0,1.027,7.5,22,0,22,0,0,0,18,0
5.7,6,24,51.898,58.564,55,2,52,0.63,32.783,34.546,0.664,7.24,376.5,42.3,46.2,1.126,22,28,31,41.0,0.998,7.7,16,0,18,0,0,0,16,2
5.7,11,33,67.207,76.514,73,1,68,0.621,42.197,45.143,0.664,6.877,467.67,42.6,48.5,1.125,29,35,40,51.0,0.988,7.4,22,0,22,0,0,0,18,0
5.7,2,21,51.982,57.943,55,1,52,0.677,35.223,37.222,0.716,8.222,427.57,46.2,40.4,1.114,24,31,34,48.0,1.0,9.6,22,0,24,0,0,2,20,1
5.7,1,12,36.582,40.817,40,0,36,0.701,25.225,25.568,0.71,8.788,316.36,44.4,33.3,1.134,16,24,28,40.5,1.016,22.2,25,0,25,0,0,0,15,0
5.7,3,23,57.847,63.986,60,4,57,0.665,37.894,39.347,0.69,8.379,477.59,42.1,40.4,1.123,24,34,37,51.0,1.015,8.8,18,0,23,0,0,0,21,5
6.8,4,16,35.036,39.694,37,1,35,0.627,21.961,23.046,0.658,7.324,256.34,40.0,45.7,1.134,14,19,21,28.5,1.001,11.4,15,0,15,0,0,0,10,0
5.7,0,17,49.836,54.578,53,2,49,0.71,34.773,35.847,0.732,9.072,444.52,49.0,34.7,1.114,24,32,36,50.5,1.017,8.2,27,0,28,0,0,0,24,1
5.7,3,20,48.88,54.444,53,1,49,0.678,33.202,35.216,0.719,8.174,400.54,46.9,40.8,1.111,23,29,33,46.0,0.998,8.2,26,0,26,0,0,0,20,0
6.1,6,20,42.796,48.896,46,0,43,0.624,26.816,28.364,0.66,7.173,308.43,39.5,46.5,1.137,17,23,26,34.0,0.995,14.0,16,0,16,0,0,0,11,0
5.7,7,20,44.098,49.781,47,1,44,0.634,27.904,29.262,0.665,7.396,325.42,43.2,45.5,1.131,19,24,27,34.5,1.002,6.8,11,0,13,0,0,0,12,2
5.7,1,18,46.429,51.099,48,2,46,0.69,31.723,33.523,0.729,8.955,411.94,45.7,39.1,1.111,21,28,30,41.0,1.009,6.5,18,0,20,0,1,0,20,2
5.7,4,13,36.447,40.282,40,1,36,0.698,25.116,26.176,0.727,8.984,323.41,44.4,36.1,1.119,16,23,27,36.0,1.012,13.9,16,0,17,0,0,0,12,1
5.7,1,10,37.203,40.637,37,1,35,0.713,24.968,24.034,0.687,10.009,350.3,45.7,28.6,1.161,16,25,27,36.5,1.063,11.4,17,0,18,0,0,0,15,1
5.7,1,14,39.334,43.06,42,1,39,0.717,27.954,29.546,0.758,9.433,367.88,48.7,35.9,1.104,19,25,28,39.5,1.009,7.7,21,0,22,0,1,0,18,1
6.4,2,22,55.083,61.441,59,1,55,0.677,37.245,39.228,0.713,8.265,454.6,45.5,40.0,1.117,25,33,37,51.5,1.002,10.9,27,0,28,0,0,0,23,1
5.7,4,22,52.014,58.149,56,2,52,0.659,34.256,35.784,0.688,7.663,398.5,46.2,42.3,1.118,24,30,34,46.0,1.0,7.7,22,0,23,0,0,0,20,1
5.7,0,15,41.331,45.697,44,1,41,0.699,28.643,29.938,0.73,8.816,361.46,46.3,36.6,1.115,19,26,29,41.0,1.008,12.2,22,0,23,0,0,0,19,1
5.7,4,27,62.96,70.398,67,2,63,0.659,41.518,43.961,0.698,7.9,497.67,44.4,42.9,1.117,28,36,40,56.0,0.999,7.9,28,0,30,0,0,0,24,2
5.7,15,38,76.05,86.843,80,3,76,0.595,45.218,47.83,0.629,6.878,522.73,35.5,50.0,1.143,27,38,42,50.0,1.001,10.5,12,0,14,0,0,0,12,2
5.7,3,14,33.153,37.279,35,1,33,0.65,21.434,22.284,0.675,7.707,254.32,42.4,42.4,1.13,14,19,21,29.5,1.005,12.1,15,0,16,0,0,0,11,1
8.2,11,30,63.156,72.02,67,1,63,0.612,38.569,40.569,0.644,7.168,451.61,38.1,47.6,1.143,24,33,37,45.0,1.002,11.1,12,0,14,0,0,0,13,2
5.7,3,16,36.036,40.694,38,1,36,0.638,22.961,24.046,0.668,7.454,268.35,41.7,44.4,1.13,15,20,22,30.0,1.001,11.1,16,0,16,0,0,0,12,0
5.7,0,8,29.255,31.685,30,2,28,0.729,20.418,20.318,0.726,10.346,289.7,42.9,28.6,1.132,12,20,22,30.0,1.045,17.9,12,0,14,0,1,0,12,2
5.7,7,25,55.287,62.691,58,1,55,0.627,34.494,36.04,0.655,7.428,408.53,40.0,45.5,1.14,22,30,33,43.5,1.005,10.9,21,0,21,0,0,0,15,0
5.7,0,7,26.796,29.036,29,1,26,0.751,19.536,19.892,0.765,10.358,269.31,46.2,26.9,1.117,12,19,22,31.0,1.031,19.2,16,0,17,0,0,0,12,1
5.7,3,21,50.011,55.883,53,1,50,0.667,33.369,35.188,0.704,8.099,404.93,46.0,42.0,1.118,23,29,32,44.0,1.0,8.0,22,0,23,0,1,0,20,1
5.7,16,39,76.832,87.76,81,3,77,0.594,45.723,48.586,0.631,6.776,521.74,36.4,50.6,1.14,28,38,42,50.0,0.998,9.1,12,0,14,0,0,0,12,2
5.7,4,21,50.982,56.943,55,1,51,0.671,34.223,36.222,0.71,8.148,415.56,45.1,41.2,1.117,23,30,34,46.0,1.0,9.8,22,0,23,0,0,0,19,1
5.7,2,16,42.189,46.534,45,1,42,0.698,29.335,31.341,0.746,9.06,380.53,45.2,38.1,1.108,19,26,29,41.0,1.004,9.5,20,0,22,0,0,0,17,2
5.7,9,33,72.854,82.305,78,2,73,0.636,46.428,48.847,0.669,7.338,535.71,42.5,45.2,1.127,31,40,45,59.5,0.998,9.6,27,0,28,0,0,0,22,1
5.7,11,33,67.207,76.514,73,1,68,0.621,42.197,45.143,0.664,6.877,467.67,42.6,48.5,1.125,29,35,40,51.0,0.988,7.4,22,0,22,0,0,0,18,0
5.7,0,7,24.825,26.977,26,1,24,0.737,17.682,17.858,0.744,10.278,246.67,45.8,29.2,1.124,11,17,19,26.0,1.034,16.7,12,0,13,0,1,0,11,1
5.7,0,17,44.473,49.03,47,3,44,0.679,29.896,30.71,0.698,8.168,359.41,47.7,38.6,1.114,21,27,30,41.5,1.011,6.8,23,0,23,0,0,0,21,0
5.7,4,22,47.694,53.567,50,2,48,0.64,30.74,32.534,0.678,7.218,346.46,45.8,45.8,1.116,22,26,28,38.0,0.994,4.2,18,0,19,0,0,0,18,1
6.3,1,20,52.2,58.026,56,1,52,0.687,35.718,37.466,0.721,8.472,440.57,46.2,38.5,1.116,24,32,36,50.5,1.004,11.5,27,0,28,0,0,0,23,1
5.7,3,15,44.163,48.872,47,1,43,0.692,29.749,29.926,0.696,8.823,379.4,46.5,34.9,1.137,20,28,32,44.5,1.027,11.6,25,0,25,0,0,0,17,0
4.7,0,10,26.058,29.239,28,0,26,0.679,17.666,18.307,0.704,8.087,210.26,46.2,38.5,1.125,12,16,18,26.0,1.002,15.4,16,0,16,0,0,0,12,0
5.7,1,16,47.6,52.207,49,3,46,0.689,31.684,31.591,0.687,8.922,410.41,45.7,34.8,1.135,21,30,33,45.0,1.035,8.7,22,0,23,0,0,0,20,1
5.7,4,18,41.92,47.109,45,1,42,0.654,27.488,28.807,0.686,7.581,318.41,45.2,42.9,1.122,19,24,27,38.0,0.998,9.5,20,0,21,0,0,0,15,1
5.7,11,31,64.65,73.308,68,2,65,0.621,40.385,42.836,0.659,7.04,457.63,41.5,47.7,1.128,27,34,37,49.0,0.995,7.7,16,0,19,0,0,1,15,2
5.7,3,17,44.752,50.03,47,1,44,0.668,29.387,29.995,0.682,8.282,364.42,43.2,38.6,1.137,19,27,30,41.0,1.017,13.6,22,0,22,0,0,0,16,0
6.5,3,16,42.363,46.903,46,2,42,0.683,28.676,29.5,0.702,8.2,344.4,47.6,38.1,1.117,20,26,30,41.0,1.009,9.5,16,0,19,0,0,0,17,3
5.7,5,23,59.502,65.405,61,6,58,0.661,38.324,39.256,0.677,8.579,497.58,39.7,39.7,1.128,23,35,38,52.0,1.026,8.6,16,0,22,0,0,0,18,6
5.7,7,25,53.0,60.062,55,2,53,0.619,32.805,34.552,0.652,7.161,379.51,39.6,47.2,1.133,21,28,30,39.0,1.0,9.4,12,0,15,0,0,0,14,3
5.7,3,8,28.724,31.165,32,0,28,0.758,21.217,22.739,0.812,11.445,320.46,39.3,28.6,1.113,11,20,24,33.0,1.026,21.4,18,0,18,0,0,0,8,0
5.7,5,22,50.007,56.521,53,1,50,0.641,32.058,33.58,0.672,7.49,374.49,42.0,44.0,1.13,21,28,31,42.5,1.0,12.0,21,0,22,0,0,0,16,1
6.5,1,15,39.033,43.428,42,0,39,0.694,27.074,28.449,0.729,8.585,334.83,48.7,38.5,1.114,19,24,27,38.0,1.001,10.3,22,0,22,0,1,0,18,0
5.7,5,18,43.247,48.318,46,2,43,0.656,28.203,29.262,0.681,7.777,334.41,44.2,41.9,1.124,19,25,28,38.0,1.006,9.3,16,0,17,0,0,1,13,0
5.7,3,19,45.323,50.492,47,2,45,0.658,29.597,30.711,0.682,7.787,350.42,46.7,42.2,1.122,21,26,28,38.0,1.007,4.4,18,0,19,0,0,0,18,1
5.7,6,17,38.138,43.192,41,1,38,0.631,23.983,25.051,0.659,7.457,283.37,39.5,44.7,1.137,15,21,24,31.5,1.004,13.2,15,0,15,0,0,0,9,0
5.7,8,21,43.232,49.232,45,2,43,0.599,25.751,27.029,0.629,7.056,303.41,34.9,48.8,1.145,15,22,24,30.0,1.005,11.6,10,0,11,0,0,0,7,1
5.7,2,17,48.341,53.543,50,1,47,0.684,32.165,32.381,0.689,8.733,410.43,46.8,36.2,1.139,22,30,33,45.0,1.029,8.5,22,0,23,0,0,0,20,1
5.7,1,17,56.032,61.301,58,1,54,0.718,38.756,38.972,0.722,9.695,523.55,48.1,31.5,1.135,26,37,41,56.0,1.038,9.3,28,0,29,0,0,0,25,1
6.6,4,18,39.592,44.9,43,0,40,0.644,25.773,27.353,0.684,7.26,290.4,45.0,45.0,1.122,18,22,25,35.0,0.99,10.0,20,0,20,0,0,0,14,0
5.7,4,27,65.28,72.979,69,2,65,0.662,43.034,45.211,0.696,8.088,525.69,43.1,41.5,1.123,28,38,42,57.5,1.004,10.8,27,0,29,0,0,0,24,2
5.7,2,11,31.593,34.807,33,1,31,0.701,21.735,22.381,0.722,9.25,286.74,45.2,35.5,1.123,14,20,22,30.5,1.019,12.9,11,0,13,0,1,1,11,1
5.7,2,20,51.527,57.235,54,2,51,0.675,34.433,35.921,0.704,8.481,432.55,43.1,39.2,1.122,22,31,34,47.0,1.01,11.8,22,0,24,0,0,0,20,2
5.7,4,22,47.694,53.567,50,2,48,0.64,30.74,32.534,0.678,7.218,346.46,45.8,45.8,1.116,22,26,28,38.0,0.994,4.2,18,0,19,0,0,0,18,1
5.7,0,13,33.051,36.78,35,1,33,0.679,22.413,23.279,0.705,7.979,263.32,48.5,39.4,1.115,16,20,22,31.5,1.002,9.1,17,0,18,0,0,0,16,1
5.7,1,19,52.712,58.365,56,1,52,0.694,36.101,37.404,0.719,8.818,458.56,46.2,36.5,1.122,24,33,37,51.5,1.014,11.5,27,0,28,0,0,0,23,1
5.7,0,10,27.393,30.076,29,2,27,0.688,18.58,18.966,0.702,8.38,226.25,48.1,37.0,1.114,13,17,19,27.0,1.015,7.4,16,0,16,0,0,0,13,0
5.7,1,14,37.564,41.036,39,3,37,0.69,25.535,26.591,0.719,8.822,326.4,45.9,37.8,1.109,17,23,25,34.0,1.015,5.4,12,0,15,0,0,0,16,3
5.7,1,13,34.382,38.12,36,1,34,0.69,23.46,24.637,0.725,10.154,345.22,44.1,38.2,1.121,15,21,23,32.0,1.011,11.8,16,0,17,1,0,0,14,1
5.7,4,13,36.447,40.282,40,1,36,0.698,25.116,26.176,0.727,8.984,323.41,44.4,36.1,1.119,16,23,27,36.0,1.012,13.9,16,0,17,0,0,0,12,1
5.7,13,39,85.152,96.341,91,3,85,0.626,53.239,55.836,0.657,7.316,621.82,40.0,45.9,1.133,34,46,52,67.0,1.002,10.6,26,0,28,0,0,0,21,2
5.7,4,23,52.789,59.438,57,1,53,0.652,34.563,36.336,0.686,7.5,397.52,45.3,43.4,1.121,24,30,34,47.0,0.996,9.4,26,0,26,0,0,0,20,0
5.7,5,18,41.247,46.318,43,2,41,0.639,26.203,27.262,0.665,7.57,310.39,41.5,43.9,1.13,17,23,25,34.5,1.006,9.8,15,0,17,0,0,0,12,2
5.7,0,9,28.654,31.127,30,1,28,0.73,20.435,21.097,0.753,9.726,272.32,50.0,32.1,1.112,14,19,21,30.0,1.023,7.1,16,0,17,0,0,0,14,1
5.7,4,20,53.334,59.085,55,2,52,0.671,34.912,35.353,0.68,8.451,439.47,46.2,38.5,1.136,24,32,35,46.0,1.026,5.8,18,0,20,0,0,0,20,2
7.1,7,28,66.047,73.655,68,4,65,0.646,42.016,44.233,0.681,9.086,590.56,36.9,43.1,1.133,24,37,40,52.0,1.016,10.8,18,0,21,1,0,0,17,3
5.7,1,19,45.029,50.235,47,2,45,0.66,29.708,31.017,0.689,7.676,345.43,46.7,42.2,1.116,21,26,28,39.0,1.001,6.7,18,0,20,0,0,0,20,2
5.7,5,20,53.36,59.41,55,2,52,0.664,34.539,34.909,0.671,8.432,438.48,42.3,38.5,1.142,22,32,35,47.0,1.026,11.5,22,0,23,0,0,0,17,1
5.7,5,19,47.636,53.445,51,1,47,0.658,30.914,31.756,0.676,8.052,378.45,42.6,40.4,1.137,20,28,32,42.5,1.014,12.8,21,0,21,0,0,0,15,0
5.7,5,24,56.211,63.517,60,1,56,0.645,36.1,37.591,0.671,7.653,428.55,41.1,42.9,1.134,23,32,36,48.0,1.004,14.3,22,0,23,0,0,0,18,1
5.7,5,27,58.556,66.268,62,1,59,0.638,37.617,39.858,0.676,7.213,425.58,44.1,45.8,1.123,26,32,35,47.0,0.992,8.5,18,0,21,0,0,0,21,3
5.7,1,18,47.534,52.947,50,1,47,0.679,31.893,32.75,0.697,8.244,387.45,46.8,38.3,1.127,22,29,32,44.5,1.011,10.6,23,0,24,0,0,0,21,1
5.7,4,15,34.625,38.954,35,1,34,0.633,21.532,22.631,0.666,8.305,282.38,35.3,44.1,1.146,12,19,20,26.5,1.018,11.8,11,0,12,0,0,0,8,1
5.7,1,13,42.705,46.899,44,1,41,0.709,29.071,29.029,0.708,9.825,402.82,43.9,31.7,1.144,18,28,31,42.0,1.042,14.6,22,0,22,0,1,0,17,0
5.7,1,21,55.982,61.943,60,1,56,0.7,39.223,41.222,0.736,8.493,475.61,50.0,37.5,1.106,28,35,39,56.0,1.0,8.9,28,0,30,0,0,2,25,1
5.7,5,18,49.771,55.251,51,2,48,0.665,31.901,31.841,0.663,8.696,417.43,41.7,37.5,1.151,20,30,33,42.5,1.037,10.4,17,0,18,0,0,0,15,1
5.7,3,26,60.781,67.979,65,2,61,0.661,40.31,42.307,0.694,7.583,462.59,47.5,42.6,1.114,29,35,39,54.0,0.996,6.6,28,0,29,0,0,0,26,1
5.7,1,17,41.818,46.611,45,1,42,0.678,28.467,29.801,0.71,7.795,327.41,50.0,40.5,1.11,21,25,28,40.0,0.996,7.1,22,0,23,0,0,0,20,1
5.7,1,18,45.912,51.481,50,0,46,0.68,31.289,32.603,0.709,7.967,366.46,47.8,39.1,1.119,22,28,32,45.5,0.998,13.0,27,0,27,0,0,0,21,0
7.1,5,22,49.418,55.278,51,3,49,0.636,31.158,32.887,0.671,7.888,386.52,38.8,44.9,1.128,19,27,29,40.0,1.009,8.2,16,0,19,0,0,0,14,3
5.7,2,12,36.269,39.863,39,1,36,0.72,25.908,26.523,0.737,8.676,312.35,52.8,33.3,1.107,19,24,27,39.5,1.007,11.1,17,0,19,0,0,3,14,0
5.7,1,12,34.756,37.541,36,3,34,0.712,24.195,25.477,0.749,9.777,332.43,44.1,35.3,1.104,15,22,24,35.0,1.022,5.9,16,0,19,0,0,0,14,3
4.7,0,10,26.058,29.239,28,0,26,0.679,17.666,18.307,0.704,8.087,210.26,46.2,38.5,1.125,12,16,18,26.0,1.002,15.4,16,0,16,0,0,0,12,0
5.7,0,10,29.491,32.309,31,1,29,0.714,20.714,21.375,0.737,9.37,271.72,48.3,34.5,1.114,14,19,21,30.0,1.017,10.3,16,0,17,0,1,0,14,1
5.7,1,18,48.643,53.82,51,2,48,0.686,32.906,34.159,0.712,8.719,418.52,43.8,37.5,1.121,21,30,33,46.0,1.013,12.5,22,0,24,0,0,0,20,2
5.7,12,37,80.941,91.716,87,2,81,0.63,50.997,53.62,0.662,7.306,591.79,40.7,45.7,1.132,33,44,50,65.0,0.999,11.1,26,0,28,0,0,0,21,2
5.9,5,22,48.694,54.567,52,2,49,0.648,31.74,33.534,0.684,7.316,358.47,46.9,44.9,1.114,23,27,30,40.5,0.994,4.1,17,0,19,0,0,0,18,2
5.7,3,20,48.88,54.444,53,1,49,0.678,33.202,35.216,0.719,8.174,400.54,46.9,40.8,1.111,23,29,33,46.0,0.998,8.2,26,0,26,0,0,0,20,0
5.7,4,16,47.592,52.579,50,2,46,0.684,31.485,31.387,0.682,8.922,410.42,43.5,34.8,1.143,20,30,34,46.5,1.035,13.0,25,0,25,0,0,0,16,0
5.7,1,14,36.236,39.827,38,2,36,0.689,24.82,26.137,0.726,8.622,310.4,47.2,38.9,1.106,17,22,24,33.0,1.007,5.6,12,0,15,0,0,0,16,3
5.7,1,9,26.771,28.627,27,3,26,0.717,18.647,19.71,0.758,10.283,267.35,42.3,34.6,1.101,11,17,18,24.0,1.03,3.8,6,0,9,0,0,0,10,3
5.7,1,8,27.116,28.884,27,2,26,0.747,19.422,20.33,0.782,11.661,303.18,42.3,30.8,1.111,11,18,19,26.0,1.043,7.7,10,0,12,0,2,0,10,2
5.7,1,18,46.316,51.61,49,1,46,0.678,31.191,32.705,0.711,8.489,390.51,43.5,39.1,1.122,20,28,31,43.0,1.007,13.0,22,0,23,0,0,0,19,1
5.7,6,27,61.632,69.188,66,1,62,0.658,40.804,43.506,0.702,7.769,481.67,45.2,43.5,1.116,28,35,39,53.0,0.994,8.1,22,0,24,0,0,2,20,1
5.7,3,25,61.105,67.923,65,2,61,0.674,41.137,43.165,0.708,8.148,497.03,47.5,41.0,1.113,29,36,40,55.0,1.002,6.6,28,0,29,0,1,0,26,1
5.7,5,18,39.92,45.109,43,1,40,0.637,25.488,26.807,0.67,7.36,294.39,42.5,45.0,1.128,17,22,25,33.0,0.998,10.0,16,0,16,0,0,0,12,0
5.7,2,10,41.112,44.732,40,1,38,0.717,27.261,25.671,0.676,10.534,400.31,44.7,26.3,1.177,17,28,30,39.5,1.082,10.5,17,0,18,0,0,0,15,1
6.6,0,15,47.062,51.036,50,3,46,0.723,33.26,34.494,0.75,9.773,449.55,45.7,32.6,1.109,21,31,35,51.0,1.023,10.9,26,0,29,0,0,0,21,3
5.7,0,6,27.378,28.898,28,3,26,0.773,20.09,19.761,0.76,11.064,287.67,50.0,23.1,1.111,13,20,22,31.0,1.053,11.5,6,0,11,0,1,1,12,4
5.7,0,10,29.491,32.309,31,1,29,0.714,20.714,21.375,0.737,9.37,271.72,48.3,34.5,1.114,14,19,21,30.0,1.017,10.3,16,0,17,0,1,0,14,1
5.7,2,14,32.909,36.617,35,1,33,0.67,22.106,23.682,0.718,8.193,270.38,45.5,42.4,1.11,15,19,21,29.0,0.997,6.1,16,0,16,0,0,0,13,0
7.6,4,20,46.534,51.863,48,3,46,0.644,29.632,31.125,0.677,8.098,372.49,39.1,43.5,1.127,18,26,28,39.0,1.012,8.7,16,0,19,0,0,0,14,3
5.7,1,18,46.251,51.449,49,1,46,0.686,31.535,33.165,0.721,9.486,436.34,45.7,39.1,1.118,21,28,31,43.0,1.005,10.9,22,0,23,1,0,0,20,1
5.7,2,18,41.927,46.737,44,2,42,0.659,27.687,29.012,0.691,7.581,318.4,47.6,42.9,1.113,20,24,26,36.0,0.998,4.8,18,0,19,0,0,0,18,1
5.7,0,9,28.654,31.127,30,1,28,0.73,20.435,21.097,0.753,9.726,272.32,50.0,32.1,1.112,14,19,21,30.0,1.023,7.1,16,0,17,0,0,0,14,1
5.9,7,24,48.891,55.936,51,1,49,0.604,29.584,31.341,0.64,6.949,340.48,36.7,49.0,1.142,18,25,27,34.0,0.998,12.2,12,0,13,0,0,0,11,1
5.7,0,13,39.96,43.875,42,1,39,0.71,27.706,27.915,0.716,8.958,349.36,51.3,33.3,1.125,20,26,29,41.0,1.025,7.7,22,0,23,0,0,0,20,1
5.7,0,8,27.88,29.838,29,2,27,0.746,20.129,20.546,0.761,10.122,273.3,51.9,29.6,1.105,14,19,21,30.0,1.033,3.7,16,0,17,0,0,0,14,1
6.5,2,17,43.465,48.402,46,2,43,0.667,28.697,29.506,0.686,8.079,347.41,44.2,39.5,1.126,19,26,29,40.5,1.011,11.6,21,0,22,0,0,0,17,1
5.7,1,5,23.036,23.868,24,2,22,0.821,18.071,19.057,0.866,15.027,330.59,50.0,22.7,1.085,11,17,19,26.0,1.047,4.5,10,0,12,1,1,0,10,2
5.7,4,21,49.011,54.883,52,1,49,0.661,32.369,34.188,0.698,8.019,392.92,44.9,42.9,1.12,22,28,31,42.0,1.0,8.2,22,0,22,0,1,0,18,0
5.7,3,22,49.687,55.939,53,1,50,0.651,32.542,34.33,0.687,7.41,370.49,46.0,44.0,1.119,23,28,31,43.0,0.994,8.0,22,0,23,0,0,0,20,1
5.7,3,20,44.811,50.152,47,2,45,0.649,29.214,30.773,0.684,7.387,332.43,46.7,44.4,1.114,21,25,27,37.0,0.996,4.4,18,0,19,0,0,0,18,1
7.0,1,13,36.214,40.371,39,0,36,0.71,25.552,27.739,0.771,11.562,416.25,44.4,36.1,1.121,16,23,26,36.5,1.006,16.7,21,0,21,0,0,0,15,0
5.7,1,18,46.618,51.495,48,2,46,0.68,31.279,32.603,0.709,8.598,395.49,45.7,39.1,1.119,21,28,30,41.0,1.013,6.5,18,0,20,0,0,0,20,2
5.7,2,12,35.022,38.515,35,2,34,0.69,23.471,23.841,0.701,9.346,317.76,41.2,35.3,1.133,14,22,23,32.0,1.03,14.7,12,0,14,0,1,1,11,1
5.7,0,10,37.505,40.66,39,2,36,0.736,26.502,27.011,0.75,10.735,386.46,38.9,27.8,1.129,14,26,29,41.0,1.042,22.2,20,0,22,0,0,0,14,2
5.7,4,17,40.811,45.983,45,0,41,0.665,27.268,28.597,0.697,7.693,315.41,46.3,41.5,1.122,19,24,28,38.5,0.995,12.2,21,0,21,0,0,0,15,0
5.7,4,22,53.342,59.358,57,3,53,0.66,34.971,36.239,0.684,7.821,414.5,45.3,41.5,1.12,24,31,35,47.0,1.006,7.5,22,0,23,0,0,0,20,1
5.7,4,24,58.88,65.192,61,5,58,0.654,37.928,38.909,0.671,7.94,460.53,43.1,41.4,1.124,25,34,37,49.0,1.015,6.9,18,0,21,0,0,0,21,3
5.7,4,14,32.651,36.707,33,2,32,0.64,20.487,22.404,0.7,11.35,363.19,31.3,43.8,1.147,10,18,19,24.0,1.02,15.6,10,0,10,0,0,0,6,0
5.7,0,10,32.0,35.286,33,1,31,0.703,21.786,21.705,0.7,9.138,283.29,45.2,32.3,1.138,14,21,23,32.5,1.032,16.1,17,0,18,0,0,0,14,1
5.7,0,8,29.167,31.466,30,1,28,0.744,20.819,21.034,0.751,10.368,290.31,50.0,28.6,1.124,14,20,22,31.0,1.042,7.1,16,0,17,0,0,0,14,1
