pXC50,Sp,Sv,nBT,Se,nAT,Si,nSK,nBO,nC,MW,nH,SCBO,RBN,nCsp2,RBF,nAB,nBM
6.2,32.392,31.358,48,44.658,44,48.906,29,33,21,401.48,15,47.0,4,21,0.083,26,27
4.5,20.517,19.886,31,29.167,29,32.365,18,20,14,237.28,11,29.0,2,13,0.065,16,17
5.6,24.324,22.52,40,38.585,39,44.441,18,19,14,247.38,21,23.0,3,6,0.075,6,7
5.6,24.04,22.94,37,34.934,35,39.196,20,22,16,265.34,15,31.0,3,13,0.081,16,17
5.6,29.659,27.874,44,42.003,42,46.657,24,26,19,338.46,18,35.5,5,16,0.114,17,18
4.1,16.546,16.139,24,23.174,23,25.824,15,16,11,196.23,8,24.0,1,9,0.042,12,13
5.6,46.052,43.627,73,69.861,70,78.933,37,40,29,499.67,33,53.0,9,21,0.123,22,24
5.6,15.648,14.648,22,20.084,20,22.084,13,15,10,235.09,7,20.5,0,9,0.0,11,11
6.4,25.353,23.773,40,37.592,38,42.9,20,22,16,266.38,18,30.0,3,12,0.075,16,16
5.4,14.0,13.854,22,21.502,21,24.033,13,14,8,176.2,8,19.0,1,8,0.045,6,8
8.3,33.932,33.771,52,49.265,48,54.37,32,36,23,430.45,16,50.5,5,22,0.096,27,28
4.0,17.517,16.886,27,26.167,26,29.365,15,16,11,201.25,11,22.5,2,10,0.074,11,12
5.6,28.569,27.015,45,42.803,43,48.524,23,25,18,308.42,20,34.0,5,15,0.111,16,17
5.65,18.512,17.865,28,26.065,26,28.867,16,18,13,210.25,10,25.5,1,13,0.036,11,13
5.7,24.722,23.401,37,34.12,34,38.072,21,24,15,295.4,13,33.5,1,10,0.027,15,16
5.6,33.455,32.824,53,51.032,50,57.2,30,33,21,410.47,20,44.0,5,16,0.094,22,22
5.7,36.273,35.246,57,52.451,52,58.315,32,37,24,424.5,20,50.5,3,20,0.053,21,24
5.6,36.875,35.965,60,57.101,56,63.915,32,36,24,443.51,24,45.0,3,15,0.05,16,17
6.1,37.926,35.664,60,56.989,57,64.338,30,33,23,426.99,27,41.5,7,14,0.117,17,17
5.6,46.427,43.977,72,69.341,69,78.066,38,41,28,534.72,31,54.0,10,21,0.139,22,24
7.0,40.978,39.266,65,62.32,62,69.813,34,37,26,460.58,28,48.0,7,20,0.108,18,20
5.2,16.409,15.568,25,24.462,24,27.368,14,15,8,210.29,10,20.5,1,6,0.04,9,10
5.9,29.574,28.036,47,44.905,45,51.023,24,26,18,323.44,21,35.0,6,13,0.128,16,17
6.1,19.0,18.555,29,27.353,27,30.495,17,19,13,227.26,10,27.0,1,12,0.034,16,16
4.4,19.063,18.171,29,26.84,27,30.156,16,18,13,209.27,11,26.0,1,13,0.034,16,16
6.1,26.727,25.319,36,34.582,34,37.253,23,25,17,387.27,11,35.5,2,15,0.056,11,15
6.4,28.699,27.17,43,41.214,41,46.112,24,26,17,339.46,17,35.5,6,15,0.14,17,18
5.6,25.489,24.633,39,36.16,36,39.907,22,25,18,290.34,14,35.0,2,17,0.051,16,18
6.5,29.466,28.402,46,43.254,43,47.946,25,28,20,334.4,18,37.5,4,17,0.087,17,18
6.0,27.563,28.03,44,43.891,42,47.824,27,29,16,373.36,15,39.5,5,12,0.114,11,16
6.3,28.216,26.622,44,41.018,41,46.342,23,26,17,327.85,18,34.0,3,11,0.068,16,16
5.6,29.87,30.564,45,45.622,43,49.621,30,32,19,440.81,13,42.0,3,17,0.067,12,16
5.6,30.665,28.895,46,44.105,44,49.155,25,27,19,353.48,19,36.5,5,15,0.109,17,18
4.1,17.404,16.967,25,23.498,23,25.768,16,18,11,230.67,7,26.0,1,11,0.04,16,16
7.8,25.904,24.789,39,37.36,37,41.638,22,24,16,314.8,15,33.0,4,13,0.103,16,17
5.7,31.602,30.578,47,44.767,44,49.033,28,31,20,392.47,16,45.0,4,19,0.085,22,25
5.6,45.193,43.508,71,68.531,68,76.438,38,41,29,514.63,30,55.0,10,22,0.141,22,25
5.6,26.353,24.773,42,38.592,39,43.9,21,24,17,278.39,18,32.0,2,12,0.048,16,16
4.8,15.972,15.601,26,25.494,25,28.575,14,15,9,193.23,11,19.5,1,6,0.038,5,7
5.6,48.25,45.12,75,71.712,72,81.141,38,41,29,530.76,34,54.0,10,21,0.133,22,24
7.8,33.779,31.551,53,49.858,50,56.73,27,30,19,381.56,23,38.5,5,13,0.094,17,17
5.6,47.506,45.341,75,72.189,72,81.142,39,42,30,527.68,33,56.0,10,22,0.133,22,25
6.8,34.364,32.816,53,48.796,49,54.896,29,33,23,380.49,20,46.5,4,21,0.075,27,27
6.1,21.273,20.392,32,29.949,30,33.282,18,20,15,236.29,12,29.0,2,14,0.063,16,17
4.6,19.58,18.204,31,28.505,29,32.488,15,17,13,198.29,14,22.5,1,9,0.032,11,11
5.6,27.62,27.638,43,42.458,41,47.128,26,28,18,360.37,15,37.5,3,15,0.07,17,18
5.6,30.546,29.993,48,44.676,44,49.857,28,32,19,372.43,16,45.0,5,16,0.104,26,26
6.0,37.909,36.39,56,51.323,51,56.238,33,38,26,450.55,18,54.0,4,26,0.071,32,32
5.2,14.943,13.81,22,19.931,20,22.162,12,14,9,176.26,8,19.0,0,7,0.0,10,10
5.6,53.483,51.11,85,81.283,81,91.182,44,48,34,595.76,37,62.0,8,24,0.094,18,23
5.5,12.341,11.836,17,16.527,16,17.878,11,12,7,213.04,5,17.0,0,7,0.0,10,10
5.7,20.529,19.929,33,31.371,31,35.362,18,20,12,243.3,13,27.5,2,9,0.061,15,15
4.2,14.432,13.8,21,19.367,19,21.328,13,15,8,190.25,6,22.0,0,8,0.0,14,14
5.6,56.625,55.303,89,83.283,82,92.367,50,57,39,675.76,32,75.0,8,32,0.09,34,35
5.6,23.972,25.351,37,37.716,35,40.977,26,28,16,368.29,9,37.5,2,15,0.054,17,18
5.8,27.603,26.289,44,40.912,41,46.481,23,26,17,306.41,18,35.5,4,9,0.091,15,16
4.9,12.137,11.638,17,16.52,16,18.25,11,12,6,213.05,5,17.0,0,6,0.0,10,10
4.4,17.756,17.359,27,25.284,25,27.95,16,18,12,211.24,9,25.0,1,12,0.037,6,10
4.3,20.727,20.106,32,30.276,30,33.491,18,20,14,240.28,12,28.0,2,13,0.063,16,16
4.5,17.551,17.161,27,25.276,25,28.322,16,18,11,211.25,9,26.0,1,11,0.037,16,16
5.6,33.08,31.051,51,47.305,47,52.887,27,31,19,401.96,20,39.0,5,12,0.098,16,16
6.1,32.273,31.246,52,48.451,48,54.315,28,32,20,376.46,20,41.5,3,14,0.058,17,18
5.6,30.142,28.842,44,41.338,41,45.325,26,29,20,361.45,15,41.0,3,20,0.068,22,23
5.9,21.773,21.424,34,32.589,32,36.445,20,22,13,268.31,12,31.0,2,12,0.059,16,17
4.1,14.648,14.041,22,21.578,21,23.953,13,14,7,196.26,8,19.5,1,6,0.045,9,10
6.8,27.33,25.542,45,42.687,43,48.939,21,23,16,286.42,22,29.0,3,8,0.067,10,11
5.6,30.909,29.39,48,44.323,44,49.238,26,30,19,366.48,18,39.5,3,14,0.063,15,17
5.6,29.262,28.203,45,43.247,43,48.318,25,27,19,334.41,18,37.0,5,16,0.111,18,19
4.2,15.301,14.933,22,21.811,21,23.292,14,15,9,209.24,7,20.5,2,8,0.091,5,8
4.9,19.25,19.071,30,28.673,28,32.077,18,20,12,243.27,10,28.0,3,11,0.1,16,16
6.2,33.665,32.722,53,53.516,52,58.661,29,30,19,425.5,23,39.0,11,13,0.208,12,15
5.6,30.432,28.864,48,45.229,45,50.967,25,28,18,357.88,20,36.0,4,12,0.083,16,16
5.6,27.5,26.676,42,40.363,40,44.903,24,26,18,320.38,16,36.0,5,16,0.119,18,19
5.6,45.421,43.255,70,66.389,66,74.105,38,42,28,528.69,28,56.5,7,23,0.1,27,28
5.6,32.625,32.659,50,48.56,47,53.626,31,34,22,423.43,16,46.5,3,21,0.06,23,24
6.6,19.21,19.074,30,27.611,27,30.159,18,21,13,239.25,9,29.0,1,12,0.033,16,16
6.1,46.603,43.933,74,70.636,71,80.221,37,40,29,498.69,34,53.0,8,21,0.108,22,24
5.8,25.699,24.59,39,37.353,37,42.01,22,24,15,314.81,15,32.5,5,13,0.128,17,17
5.6,25.637,24.46,38,35.382,35,39.12,22,25,16,357.23,13,35.0,2,14,0.053,20,20
5.6,40.665,39.433,63,60.662,60,67.109,35,38,27,471.55,25,52.0,8,22,0.127,22,25
5.6,35.733,34.682,57,54.731,54,61.485,31,34,22,422.51,23,45.0,7,16,0.123,22,22
5.6,29.012,27.687,44,41.927,42,46.737,24,26,20,318.4,18,36.0,5,18,0.114,18,19
8.1,28.216,26.622,44,41.018,41,46.342,23,26,17,327.85,18,34.0,3,11,0.068,16,16
7.4,27.665,26.316,42,40.243,40,45.053,23,25,17,328.83,17,34.0,5,13,0.119,16,17
5.8,30.824,29.552,50,47.225,47,53.604,26,29,18,351.46,21,38.0,6,12,0.12,16,17
6.5,36.319,34.353,60,56.985,57,64.976,29,32,21,396.55,28,41.0,7,11,0.117,16,17
6.3,30.392,30.208,49,48.545,47,54.54,28,30,18,392.43,19,39.0,7,13,0.143,16,17
5.1,11.881,11.493,17,16.593,16,18.04,11,12,6,167.21,5,16.5,0,6,0.0,5,7
5.6,27.313,27.826,42,41.902,40,45.922,27,29,18,374.35,13,39.0,3,17,0.071,12,16
5.6,43.256,41.736,68,64.498,64,72.316,37,41,28,498.61,27,55.5,8,24,0.118,27,28
5.6,27.858,28.111,42,41.574,40,45.713,27,29,19,370.36,13,40.5,2,15,0.048,17,19
5.6,30.62,29.763,48,47.062,46,52.888,27,29,17,391.88,19,37.5,7,12,0.146,17,17
6.7,24.449,22.654,37,35.894,36,40.531,19,20,14,275.41,17,26.5,6,10,0.162,11,12
5.6,31.034,30.373,48,47.52,46,52.962,28,30,18,409.48,18,39.0,7,13,0.146,16,17
8.699,18.409,17.988,27,25.6,25,28.266,17,19,11,245.69,8,27.0,1,11,0.037,16,16
5.7,24.034,24.968,37,37.203,35,40.637,25,27,16,350.3,10,36.5,2,15,0.054,17,18
5.9,45.745,43.815,73,69.305,69,77.727,38,42,29,513.65,31,54.5,10,21,0.137,23,24
5.6,26.739,25.85,42,39.331,39,43.95,23,26,18,309.37,16,35.5,1,14,0.024,15,17
5.45,43.478,41.999,70,67.81,67,76.438,37,40,26,507.63,30,52.0,13,18,0.186,22,23
5.0,27.819,26.531,45,43.123,43,49.106,23,25,16,312.42,20,33.0,3,7,0.067,10,12
5.3,31.75,30.893,49,46.534,46,51.947,28,31,21,375.44,18,43.0,3,20,0.061,22,23
8.0,18.517,17.886,29,27.167,27,30.365,16,18,12,213.26,11,24.5,1,10,0.034,11,12
6.137,27.989,27.665,43,40.8,40,45.069,26,29,18,346.38,14,40.5,2,18,0.047,23,23
7.538,37.688,36.665,61,54.567,54,60.069,33,40,26,439.5,21,53.0,1,19,0.016,24,25
6.481,50.739,48.793,81,73.203,73,81.228,43,51,35,570.69,30,68.0,3,26,0.037,30,32
5.6,27.819,26.531,45,43.123,43,49.106,23,25,16,312.42,20,33.0,3,7,0.067,10,12
5.6,29.262,28.203,46,43.247,43,48.318,25,28,19,334.41,18,38.5,2,16,0.043,21,21
6.4,26.892,27.073,41,40.353,39,43.99,26,28,17,351.35,13,40.0,6,17,0.146,18,21
5.45,36.597,34.718,57,54.523,54,61.161,30,33,22,475.4,24,41.5,6,14,0.105,17,17
5.0,23.597,22.268,38,35.811,36,40.983,19,21,14,255.36,17,28.5,3,10,0.079,15,15
5.9,37.642,36.025,58,57.541,56,64.128,32,34,20,532.46,24,41.5,10,11,0.172,11,13
5.0,42.159,41.756,65,62.53,61,69.453,39,43,28,529.57,22,58.5,6,25,0.092,29,30
5.3,35.995,35.797,53,50.596,49,54.942,34,38,25,476.89,15,52.0,4,24,0.075,24,26
5.3,32.239,30.971,51,49.342,49,55.358,27,29,20,366.46,22,38.0,7,16,0.137,18,18
5.7,21.074,20.214,33,31.043,31,35.152,18,20,13,239.31,13,27.0,1,11,0.03,12,13
7.553,19.273,18.392,30,27.949,28,31.282,16,18,13,212.27,12,25.5,1,11,0.033,15,15
5.3,27.978,27.323,42,39.447,39,43.535,25,28,20,331.37,14,39.5,3,20,0.071,23,23
5.0,44.006,41.755,68,65.625,65,73.405,36,39,26,530.5,29,49.5,9,15,0.132,17,18
4.8,20.063,19.171,30,27.84,28,31.156,17,19,14,221.28,11,27.5,2,14,0.067,17,17
6.65,32.841,30.157,51,49.051,49,55.404,25,27,17,380.59,24,33.0,6,7,0.118,10,11
6.0,47.074,44.858,74,67.767,68,75.893,39,45,32,515.66,29,61.0,5,25,0.068,26,29
5.0,39.563,38.257,62,60.047,59,66.971,34,37,24,485.99,25,47.5,9,17,0.145,17,19
6.1,42.523,40.552,68,62.992,63,70.604,35,40,28,468.6,28,53.0,2,20,0.029,20,23
5.0,30.415,29.828,49,46.971,46,52.283,27,30,19,370.42,19,40.0,5,14,0.102,20,20
5.6,29.063,28.314,44,44.196,43,48.74,26,27,16,375.45,17,38.0,6,12,0.136,12,16
8.409,33.33,31.542,52,48.687,49,54.939,27,30,22,358.48,22,41.0,6,18,0.115,22,22
6.0,28.04,27.649,41,37.927,37,40.645,26,30,20,362.78,11,42.5,1,20,0.024,21,23
5.9,24.904,23.369,39,37.222,37,41.74,20,22,14,291.41,17,29.5,2,9,0.051,11,13
6.602,33.222,32.661,53,52.872,51,58.665,30,32,18,441.51,21,41.0,6,11,0.113,12,15
5.0,34.171,32.33,48,45.644,45,49.917,29,32,21,443.38,16,43.0,4,19,0.083,18,20
5.6,37.551,35.805,60,56.0,56,63.062,31,35,24,415.54,25,45.5,7,14,0.117,17,18
5.6,25.455,24.095,39,37.134,37,41.927,21,23,15,301.81,16,31.0,2,11,0.051,16,16
6.886,21.892,20.326,33,32.018,32,35.744,17,18,13,249.36,15,23.0,3,9,0.091,6,8
5.6,47.284,45.594,75,73.651,72,82.206,41,44,26,587.61,31,57.0,15,18,0.2,22,24
6.9,32.75,31.691,51,48.898,48,53.641,28,31,21,401.87,20,39.0,2,15,0.039,12,14
5.6,29.818,28.82,45,44.978,44,49.657,26,27,17,374.46,18,38.0,6,12,0.133,12,16
7.076,32.75,31.691,51,48.898,48,53.641,28,31,21,401.87,20,39.0,2,15,0.039,12,14
5.3,31.955,31.391,49,45.691,45,50.113,29,33,22,384.42,16,45.5,4,21,0.082,23,24
6.538,28.983,27.879,44,42.996,42,47.705,25,27,16,382.28,17,34.5,4,11,0.091,11,13
5.0,53.387,50.216,82,77.578,77,86.282,43,48,32,641.67,34,61.5,7,20,0.085,17,22
4.4,12.994,12.833,20,19.4,19,21.535,12,13,8,161.18,7,19.0,1,8,0.05,10,11
6.1,38.87,37.368,61,58.752,58,65.714,33,36,23,468.99,25,46.0,7,17,0.115,18,19
5.9,42.961,41.967,69,66.145,65,74.106,38,42,26,518.61,27,55.0,8,20,0.116,22,24
6.013,44.722,43.494,72,69.029,68,77.522,39,43,27,532.64,29,56.0,8,20,0.111,22,24
5.3,37.097,36.827,60,58.712,57,65.113,34,37,22,470.51,23,47.0,7,16,0.117,18,19
5.3,36.688,34.981,57,54.512,54,61.149,31,34,21,437.58,23,47.0,5,17,0.088,22,24
5.4,18.057,17.15,27,24.738,25,27.657,15,17,13,194.25,10,25.0,1,13,0.037,16,16
5.6,32.449,30.679,46,43.833,43,48.059,28,31,18,430.98,15,42.5,6,16,0.13,21,22
5.6,40.489,39.897,61,58.505,57,63.851,37,41,27,518.96,20,55.0,6,24,0.098,24,26
5.0,41.767,40.046,65,62.211,62,69.687,35,38,27,469.59,27,51.5,9,22,0.138,23,25
5.387,19.426,19.316,31,29.822,29,32.784,18,20,12,245.26,11,26.0,1,10,0.032,6,9
5.6,42.79,40.513,65,62.414,62,69.781,35,38,26,512.48,27,49.0,9,19,0.138,18,20
5.45,39.461,37.935,64,60.505,60,67.944,33,37,25,450.56,27,47.5,8,16,0.125,21,21
5.0,37.017,35.562,61,58.531,58,66.268,31,34,21,425.55,27,43.5,5,8,0.082,15,16
5.6,23.426,23.316,36,33.822,33,36.784,22,25,16,293.3,11,36.0,1,15,0.028,16,19
5.574,53.853,50.264,86,82.116,82,93.039,42,46,30,614.29,40,57.0,9,16,0.105,18,20
5.0,48.586,45.723,81,76.832,77,87.76,38,42,28,521.74,39,50.0,7,12,0.086,12,14
5.42,42.313,39.936,67,62.683,62,70.108,35,40,23,513.71,27,52.0,5,13,0.075,20,22
5.3,33.517,32.441,54,50.52,50,56.861,29,33,21,392.48,21,43.0,2,16,0.037,16,18
5.0,29.262,28.203,46,43.247,43,48.318,25,28,19,334.41,18,37.5,4,15,0.087,17,18
5.638,36.006,34.22,58,56.178,56,63.734,29,31,22,398.53,27,39.5,7,14,0.121,11,14
5.6,22.767,22.402,35,32.487,32,35.947,21,24,15,277.31,11,35.0,2,15,0.057,20,21
5.7,32.364,30.816,50,46.796,47,52.896,27,30,21,356.47,20,41.5,6,19,0.12,23,23
6.5,29.159,28.59,45,42.698,42,46.741,26,29,20,348.38,16,39.0,2,19,0.044,18,19
5.3,34.449,33.191,54,52.451,52,58.485,29,31,22,393.48,23,41.5,10,14,0.185,17,18
5.3,46.421,44.664,70,67.232,66,74.017,40,44,29,581.11,26,60.0,11,24,0.157,28,30
5.0,36.205,37.357,57,56.083,53,61.559,37,41,24,518.46,16,54.5,5,21,0.088,27,27
5.6,38.034,36.772,60,55.334,55,61.73,33,38,25,438.53,22,51.5,3,20,0.05,21,24
6.028,28.949,28.369,45,41.589,41,45.614,26,30,20,345.38,15,41.0,4,18,0.089,22,22
6.262,30.142,28.842,45,41.338,41,45.325,26,30,20,361.45,15,41.0,4,18,0.089,22,22
5.3,40.762,38.341,65,61.054,61,69.268,33,37,23,464.66,28,46.5,7,14,0.108,17,18
5.0,34.336,32.563,54,50.789,51,57.438,28,31,22,373.5,23,41.0,5,17,0.093,18,19
5.122,28.955,28.391,46,42.691,42,47.113,26,30,19,348.39,16,40.5,2,15,0.043,21,21
5.3,43.66,42.578,71,69.392,68,78.324,38,41,26,529.63,30,51.0,8,17,0.113,18,19
5.0,48.398,46.023,77,72.483,72,81.145,40,45,29,560.74,32,58.5,8,19,0.104,25,26
6.2,38.017,36.024,58,52.974,53,59.315,32,37,24,439.59,21,52.0,5,21,0.086,30,30
5.0,35.75,34.128,55,52.832,52,59.081,30,33,21,450.38,22,41.5,5,14,0.091,17,17
5.398,38.347,37.015,58,56.836,56,63.346,33,35,24,467.97,23,47.5,8,18,0.138,17,20
5.0,29.358,28.504,44,41.687,41,45.847,26,29,19,366.83,15,40.5,3,17,0.068,21,22
5.268,42.523,40.552,68,62.992,63,70.604,35,40,28,468.6,28,53.0,2,20,0.029,20,23
5.6,36.557,35.236,58,55.945,55,62.472,31,34,22,446.95,24,42.5,8,14,0.138,17,17
5.3,45.631,43.186,72,67.643,68,76.68,37,41,29,493.67,31,54.0,7,22,0.097,24,25
