pXC50,nBO,nSK,SCBO,nCsp3,N.,nC,nCsp2,nH,Sv,Se,Sp,Si,nBT,nAT,nN,nHet,MW,RBN,nBM,nAB,Mi,nCsp,nCL,nX,nO,nF,RBF,C.
5.8,42,38,50.0,16,9.1,28,12,39,45.723,76.832,48.586,87.76,81,77,7,10,521.74,7,14,12,1.14,0,0,0,3,0,0.086,36.4
5.8,34,30,46.0,4,9.8,23,19,21,34.223,50.982,36.222,56.943,55,51,5,7,415.56,3,23,22,1.117,0,0,0,1,0,0.055,45.1
5.8,29,26,41.0,2,9.5,19,17,16,29.335,42.189,31.341,46.534,45,42,4,7,380.53,3,22,20,1.108,0,0,0,1,0,0.067,45.2
5.8,40,35,51.0,11,7.4,29,18,33,42.197,67.207,45.143,76.514,73,68,5,6,467.67,7,22,22,1.125,0,0,0,1,0,0.096,42.6
5.8,19,17,26.0,0,16.7,11,11,7,17.682,24.825,17.858,26.977,26,24,4,6,246.67,0,13,12,1.124,0,1,1,1,0,0.0,45.8
5.8,30,27,41.5,0,6.8,21,21,17,29.896,44.473,30.71,49.03,47,44,3,6,359.41,4,23,23,1.114,0,0,0,3,0,0.085,47.7
5.8,28,26,38.0,4,4.2,22,18,22,30.74,47.694,32.534,53.567,50,48,2,4,346.46,5,19,18,1.116,0,0,0,2,0,0.1,45.8
5.8,36,32,50.5,1,11.5,24,23,20,35.718,52.2,37.466,58.026,56,52,6,8,440.57,4,28,27,1.116,0,0,0,1,0,0.071,46.2
4.8,18,16,26.0,0,15.4,12,12,10,17.666,26.058,18.307,29.239,28,26,4,4,210.26,1,16,16,1.125,0,0,0,0,0,0.036,46.2
5.8,33,30,45.0,1,8.7,21,20,16,31.684,47.6,31.591,52.207,49,46,4,9,410.41,4,23,22,1.135,0,0,2,3,2,0.082,45.7
6.745,37,33,51.0,5,10.5,25,20,24,37.299,57.218,38.796,64.145,61,57,6,8,440.55,8,27,26,1.125,0,0,0,2,0,0.131,43.9
5.8,27,24,38.0,4,9.5,19,15,18,27.488,41.92,28.807,47.109,45,42,4,5,318.41,2,21,20,1.122,0,0,0,1,0,0.044,45.2
5.8,37,34,49.0,11,7.7,27,15,31,40.385,64.65,42.836,73.308,68,65,5,7,457.63,7,19,16,1.128,1,0,0,2,0,0.103,41.5
5.8,30,26,41.0,3,9.5,20,17,16,28.676,42.363,29.5,46.903,46,42,4,6,344.4,3,19,16,1.117,0,0,0,2,0,0.065,47.6
5.8,38,35,52.0,5,8.6,23,18,23,38.324,59.502,39.256,65.405,61,58,5,12,497.58,8,22,16,1.128,0,0,0,6,0,0.131,39.7
5.8,30,28,39.0,7,9.4,21,14,25,32.805,53.0,34.552,60.062,55,53,5,7,379.51,5,15,12,1.133,0,0,0,2,0,0.091,39.6
5.8,24,20,33.0,3,21.4,11,8,8,21.217,28.724,22.739,31.165,32,28,6,9,320.46,0,18,18,1.113,0,0,0,0,0,0.0,39.3
5.8,31,28,42.5,5,12.0,21,16,22,32.058,50.007,33.58,56.521,53,50,6,7,374.49,5,22,21,1.13,0,0,0,1,0,0.094,42.0
5.8,27,24,38.0,1,10.3,19,18,15,27.074,39.033,28.449,43.428,42,39,4,5,334.83,4,22,22,1.114,0,1,1,0,0,0.095,48.7
5.8,28,25,38.0,5,9.3,19,13,18,28.203,43.247,29.262,48.318,46,43,4,6,334.41,3,17,16,1.124,1,0,0,2,0,0.065,44.2
5.8,28,26,38.0,3,4.4,21,18,19,29.597,45.323,30.711,50.492,47,45,2,5,350.42,6,19,18,1.122,0,0,1,2,1,0.128,46.7
5.8,24,21,31.5,6,13.2,15,9,17,23.983,38.138,25.051,43.192,41,38,5,6,283.37,3,15,15,1.137,0,0,0,1,0,0.073,39.5
5.8,24,22,30.0,8,11.6,15,7,21,25.751,43.232,27.029,49.232,45,43,5,7,303.41,3,11,10,1.145,0,0,0,2,0,0.067,34.9
5.8,33,30,45.0,2,8.5,22,20,17,32.165,48.341,32.381,53.543,50,47,4,8,410.43,3,23,22,1.139,0,0,3,1,3,0.06,46.8
5.8,41,37,56.0,1,9.3,26,25,17,38.756,56.032,38.972,61.301,58,54,5,11,523.55,4,29,28,1.135,0,0,4,1,4,0.069,48.1
5.8,25,22,35.0,4,10.0,18,14,18,25.773,39.592,27.353,44.9,43,40,4,4,290.4,2,20,20,1.122,0,0,0,0,0,0.047,45.0
5.8,42,38,57.5,4,10.8,28,24,27,43.034,65.28,45.211,72.979,69,65,7,10,525.69,6,29,27,1.123,0,0,0,2,0,0.087,43.1
5.8,22,20,30.5,2,12.9,14,11,11,21.735,31.593,22.381,34.807,33,31,4,6,286.74,1,13,11,1.123,1,1,1,1,0,0.03,45.2
5.8,34,31,47.0,2,11.8,22,20,20,34.433,51.527,35.921,57.235,54,51,6,9,432.55,4,24,22,1.122,0,0,0,2,0,0.074,43.1
5.8,28,26,38.0,4,4.2,22,18,22,30.74,47.694,32.534,53.567,50,48,2,4,346.46,5,19,18,1.116,0,0,0,2,0,0.1,45.8
5.8,22,20,31.5,0,9.1,16,16,13,22.413,33.051,23.279,36.78,35,33,3,4,263.32,2,18,17,1.115,0,0,0,1,0,0.057,48.5
5.9,37,33,51.5,1,11.5,24,23,19,36.101,52.712,37.404,58.365,56,52,6,9,458.56,4,28,27,1.122,0,0,1,1,1,0.071,46.2
5.8,19,17,27.0,0,7.4,13,13,10,18.58,27.393,18.966,30.076,29,27,2,4,226.25,1,16,16,1.114,0,0,0,2,0,0.034,48.1
5.8,25,23,34.0,1,5.4,17,16,14,25.535,37.564,26.591,41.036,39,37,2,6,326.4,3,15,12,1.109,0,0,0,3,0,0.077,45.9
5.8,23,21,32.0,1,11.8,15,14,13,23.46,34.382,24.637,38.12,36,34,4,6,345.22,3,17,16,1.121,0,0,1,1,0,0.083,44.1
7.3,52,46,67.0,13,10.6,34,21,39,53.239,85.152,55.836,96.341,91,85,9,12,621.82,6,28,26,1.133,0,0,0,3,0,0.066,40.0
5.8,34,30,47.0,4,9.4,24,20,23,34.563,52.789,36.336,59.438,57,53,5,6,397.52,6,26,26,1.121,0,0,0,1,0,0.105,45.3
5.8,25,23,34.5,5,9.8,17,12,18,26.203,41.247,27.262,46.318,43,41,4,6,310.39,4,17,15,1.13,0,0,0,2,0,0.093,41.5
5.8,21,19,30.0,0,7.1,14,14,9,20.435,28.654,21.097,31.127,30,28,2,5,272.32,2,17,16,1.112,0,0,1,1,1,0.067,50.0
5.8,35,32,46.0,4,5.8,24,20,20,34.912,53.334,35.353,59.085,55,52,3,8,439.47,3,20,18,1.136,0,0,3,2,3,0.055,46.2
6.6,40,37,52.0,7,10.8,24,17,28,42.016,66.047,44.233,73.655,68,65,7,13,590.56,8,21,18,1.133,0,0,1,4,0,0.118,36.9
5.8,28,26,39.0,1,6.7,21,20,19,29.708,45.029,31.017,50.235,47,45,3,5,345.43,4,20,18,1.116,0,0,0,2,0,0.085,46.7
5.8,35,32,47.0,5,11.5,22,17,20,34.539,53.36,34.909,59.41,55,52,6,10,438.48,6,23,22,1.142,0,0,2,2,2,0.109,42.3
5.8,36,32,48.0,5,14.3,23,18,24,36.1,56.211,37.591,63.517,60,56,8,9,428.55,5,23,22,1.134,0,0,0,1,0,0.083,41.1
5.8,32,29,44.5,1,10.6,22,21,18,31.893,47.534,32.75,52.947,50,47,5,7,387.45,3,24,23,1.127,0,0,1,1,1,0.06,46.8
6.5,31,28,42.0,1,14.6,18,17,13,29.071,42.705,29.029,46.899,44,41,6,10,402.82,4,22,22,1.144,0,1,3,1,2,0.091,43.9
5.8,39,35,56.0,1,8.9,28,25,21,39.223,55.982,41.222,61.943,60,56,5,7,475.61,3,30,28,1.106,2,0,0,1,0,0.05,50.0
5.8,33,30,42.5,5,10.4,20,15,18,31.901,49.771,31.841,55.251,51,48,5,10,417.43,3,18,17,1.151,0,0,3,2,3,0.059,41.7
5.8,39,35,54.0,3,6.6,29,26,26,40.31,60.781,42.307,67.979,65,61,4,6,462.59,8,29,28,1.114,0,0,0,2,0,0.123,47.5
5.8,28,25,40.0,1,7.1,21,20,17,28.467,41.818,29.801,46.611,45,42,3,4,327.41,4,23,22,1.11,0,0,0,1,0,0.089,50.0
5.8,32,28,45.5,1,13.0,22,21,18,31.289,45.912,32.603,51.481,50,46,6,6,366.46,4,27,27,1.119,0,0,0,0,0,0.08,47.8
5.8,29,27,40.0,5,8.2,19,14,22,31.158,49.418,32.887,55.278,51,49,4,8,386.52,7,19,16,1.128,0,0,0,3,0,0.137,38.8
5.8,27,24,39.5,2,11.1,19,14,12,25.908,36.269,26.523,39.863,39,36,4,5,312.35,2,19,17,1.107,3,0,0,1,0,0.051,52.8
5.8,24,22,35.0,1,5.9,15,14,12,24.195,34.756,25.477,37.541,36,34,2,7,332.43,3,19,16,1.104,0,0,0,3,0,0.083,44.1
4.8,18,16,26.0,0,15.4,12,12,10,17.666,26.058,18.307,29.239,28,26,4,4,210.26,1,16,16,1.125,0,0,0,0,0,0.036,46.2
5.8,33,30,46.0,1,12.5,21,20,18,32.906,48.643,34.159,53.82,51,48,6,9,418.52,4,24,22,1.121,0,0,0,2,0,0.078,43.8
6.9,50,44,65.0,12,11.1,33,21,37,50.997,80.941,53.62,91.716,87,81,9,11,591.79,5,28,26,1.132,0,0,0,2,0,0.057,40.7
5.8,30,27,40.5,5,4.1,23,18,22,31.74,48.694,33.534,54.567,52,49,2,4,358.47,3,19,17,1.114,0,0,0,2,0,0.058,46.9
5.8,33,29,46.0,3,8.2,23,20,20,33.202,48.88,35.216,54.444,53,49,4,6,400.54,6,26,26,1.111,0,0,0,1,0,0.113,46.9
5.8,34,30,46.5,4,13.0,20,16,16,31.485,47.592,31.387,52.579,50,46,6,10,410.42,4,25,25,1.143,0,0,2,2,2,0.08,43.5
5.8,24,22,33.0,1,5.6,17,16,14,24.82,36.236,26.137,39.827,38,36,2,5,310.4,3,15,12,1.106,0,0,0,2,0,0.079,47.2
5.8,18,17,24.0,1,3.8,11,10,9,18.647,26.771,19.71,28.627,27,26,1,6,267.35,2,9,6,1.101,0,0,0,3,0,0.074,42.3
5.8,19,18,26.0,1,7.7,11,10,8,19.422,27.116,20.33,28.884,27,26,2,7,303.18,2,12,10,1.111,0,2,2,2,0,0.074,42.3
5.8,31,28,43.0,1,13.0,20,19,18,31.191,46.316,32.705,51.61,49,46,6,8,390.51,3,23,22,1.122,0,0,0,1,0,0.061,43.5
5.8,39,35,53.0,6,8.1,28,20,27,40.804,61.632,43.506,69.188,66,62,5,7,481.67,4,24,22,1.116,2,0,0,1,0,0.061,45.2
5.8,40,36,55.0,3,6.6,29,26,25,41.137,61.105,43.165,67.923,65,61,4,7,497.03,8,29,28,1.113,0,1,1,2,0,0.123,47.5
5.8,25,22,33.0,5,10.0,17,12,18,25.488,39.92,26.807,45.109,43,40,4,5,294.39,2,16,16,1.128,0,0,0,1,0,0.047,42.5
5.8,30,28,39.5,2,10.5,17,15,10,27.261,41.112,25.671,44.732,40,38,4,11,400.31,2,18,17,1.177,0,0,6,1,6,0.05,44.7
5.8,35,31,51.0,0,10.9,21,21,15,33.26,47.062,34.494,51.036,50,46,5,10,449.55,5,29,26,1.109,0,0,0,3,0,0.1,45.7
5.8,22,20,31.0,0,11.5,13,12,6,20.09,27.378,19.761,28.898,28,26,3,7,287.67,0,11,6,1.111,1,1,1,3,0,0.0,50.0
5.8,21,19,30.0,0,10.3,14,14,10,20.714,29.491,21.375,32.309,31,29,3,5,271.72,2,17,16,1.114,0,1,1,1,0,0.065,48.3
5.8,21,19,29.0,2,6.1,15,13,14,22.106,32.909,23.682,36.617,35,33,2,4,270.38,4,16,16,1.11,0,0,0,1,0,0.114,45.5
5.8,28,26,39.0,4,8.7,18,14,20,29.632,46.534,31.125,51.863,48,46,4,8,372.49,6,19,16,1.127,0,0,0,3,0,0.125,39.1
5.8,31,28,43.0,1,10.9,21,20,18,31.535,46.251,33.165,51.449,49,46,5,7,436.34,3,23,22,1.118,0,0,1,1,0,0.061,45.7
5.8,26,24,36.0,2,4.8,20,18,18,27.687,41.927,29.012,46.737,44,42,2,4,318.4,5,19,18,1.113,0,0,0,2,0,0.114,47.6
5.8,21,19,30.0,0,7.1,14,14,9,20.435,28.654,21.097,31.127,30,28,2,5,272.32,2,17,16,1.112,0,0,1,1,1,0.067,50.0
5.8,27,25,34.0,7,12.2,18,11,24,29.584,48.891,31.341,55.936,51,49,6,7,340.48,5,13,12,1.142,0,0,0,1,0,0.098,36.7
5.8,29,26,41.0,0,7.7,20,20,13,27.706,39.96,27.915,43.875,42,39,3,6,349.36,3,23,22,1.125,0,0,2,1,2,0.071,51.3
5.8,29,26,40.5,2,11.6,19,17,17,28.697,43.465,29.506,48.402,46,43,5,7,347.41,5,22,21,1.126,0,0,0,2,0,0.109,44.2
5.8,19,17,26.0,1,4.5,11,10,5,18.071,23.036,19.057,23.868,24,22,1,6,330.59,0,12,10,1.085,0,1,2,2,0,0.0,50.0
5.8,31,28,42.0,4,8.2,22,18,21,32.369,49.011,34.188,54.883,52,49,4,6,392.92,6,22,22,1.12,0,1,1,1,0,0.115,44.9
5.8,31,28,43.0,3,8.0,23,20,22,32.542,49.687,34.33,55.939,53,50,4,5,370.49,7,23,22,1.119,0,0,0,1,0,0.132,46.0
5.8,27,25,37.0,3,4.4,21,18,20,29.214,44.811,30.773,50.152,47,45,2,4,332.43,5,19,18,1.114,0,0,0,2,0,0.106,46.7
5.8,26,23,36.5,1,16.7,16,15,13,25.552,36.214,27.739,40.371,39,36,6,7,416.25,3,21,21,1.121,0,0,1,0,0,0.077,44.4
6.0,30,28,41.0,1,6.5,21,20,18,31.279,46.618,32.603,51.495,48,46,3,7,395.49,5,20,18,1.119,0,0,1,2,1,0.104,45.7
5.8,23,22,32.0,2,14.7,14,11,12,23.471,35.022,23.841,38.515,35,34,5,8,317.76,3,14,12,1.133,1,1,1,2,0,0.086,41.2
5.959,31,28,39.5,7,7.8,21,14,23,32.611,51.222,34.404,57.508,54,51,4,7,398.93,5,17,17,1.128,0,1,1,2,0,0.093,41.2
5.8,29,26,41.0,0,22.2,14,14,10,26.502,37.505,27.011,40.66,39,36,8,12,386.46,5,22,20,1.129,0,0,0,2,0,0.128,38.9
5.8,28,24,38.5,4,12.2,19,15,17,27.268,40.811,28.597,45.983,45,41,5,5,315.41,4,21,21,1.122,0,0,0,0,0,0.089,46.3
5.8,37,34,49.0,4,6.9,25,21,24,37.928,58.88,38.909,65.192,61,58,4,9,460.53,6,21,18,1.124,0,0,0,5,0,0.098,43.1
5.8,19,18,24.0,4,15.6,10,6,14,20.487,32.651,22.404,36.707,33,32,5,8,363.19,4,10,10,1.147,0,0,1,2,0,0.121,31.3
5.8,23,21,32.5,0,16.1,14,14,10,21.786,32.0,21.705,35.286,33,31,5,7,283.29,2,18,17,1.138,0,0,1,1,1,0.061,45.2
4.602,43,38,60.0,4,9.4,30,26,26,42.826,64.101,44.557,71.561,69,64,6,8,502.62,9,33,32,1.118,0,0,0,2,0,0.13,46.9
5.8,22,20,31.0,0,7.1,14,14,8,20.819,29.167,21.034,31.466,30,28,2,6,290.31,2,17,16,1.124,0,0,2,1,2,0.067,50.0
5.8,25,23,34.0,1,8.8,16,15,11,24.783,35.025,25.449,37.878,36,34,3,7,348.2,5,15,12,1.114,0,2,2,2,0,0.139,47.1
5.8,17,15,24.5,0,28.6,8,8,6,15.316,21.687,15.682,23.91,23,21,6,7,218.27,0,15,15,1.139,0,0,0,0,0,0.0,38.1
5.8,21,18,31.0,0,14.3,14,14,10,19.666,28.058,20.307,31.239,31,28,4,4,234.28,1,20,20,1.116,0,0,0,0,0,0.032,50.0
5.8,30,27,42.0,0,9.5,20,20,15,30.174,42.342,32.046,46.455,45,42,4,7,439.36,3,23,22,1.106,0,0,1,1,0,0.067,47.6
5.8,28,26,38.0,3,6.4,21,18,21,30.235,46.912,31.779,52.651,49,47,3,5,347.45,6,19,18,1.12,0,0,0,2,0,0.122,44.7
5.8,31,28,43.0,2,8.3,22,20,20,32.202,47.88,34.216,53.444,51,48,4,6,388.53,3,23,22,1.113,0,0,0,1,0,0.059,45.8
7.252,39,35,50.5,7,6.6,27,20,26,40.048,61.501,41.864,68.678,65,61,4,8,493.02,7,23,23,1.126,0,1,2,2,1,0.108,44.3
5.8,23,21,31.0,5,7.5,17,12,19,24.993,39.702,26.563,45.026,42,40,3,4,281.39,3,16,16,1.126,0,0,0,1,0,0.071,42.5
5.8,26,24,35.5,1,14.7,15,14,10,24.079,35.909,23.341,39.381,36,34,5,9,333.3,2,18,17,1.158,0,0,3,1,3,0.056,44.1
6.0,34,30,46.5,4,13.0,20,16,16,31.485,47.592,31.387,52.579,50,46,6,10,410.42,4,25,25,1.143,0,0,2,2,2,0.08,43.5
4.8,14,13,20.0,1,13.6,9,8,9,14.359,22.284,14.756,24.95,23,22,3,4,175.21,1,11,10,1.134,0,0,0,1,0,0.043,40.9
6.886,36,32,50.0,4,12.7,24,20,23,36.079,55.109,37.586,62.019,59,55,7,8,425.54,6,27,26,1.128,0,0,0,1,0,0.102,43.6
5.8,34,31,47.0,2,11.8,22,20,20,33.96,51.778,34.728,57.524,54,51,6,9,416.48,5,24,22,1.128,0,0,0,3,0,0.093,43.1
5.8,30,27,41.5,4,12.8,20,16,20,30.531,47.123,31.819,53.106,50,47,6,7,360.46,6,22,21,1.13,0,0,0,1,0,0.12,42.6
5.8,19,17,26.0,0,16.7,11,11,7,18.171,24.571,19.659,26.754,26,24,4,6,338.12,0,13,12,1.115,0,0,1,1,0,0.0,45.8
4.8,19,17,27.5,0,12.5,11,11,7,17.735,24.804,18.097,26.664,26,24,3,6,245.28,2,16,15,1.111,0,0,0,2,0,0.077,45.8
5.8,21,19,29.5,1,10.3,13,12,10,20.457,29.756,21.102,32.625,31,29,3,6,275.33,2,16,15,1.125,0,0,1,1,1,0.065,44.8
5.8,35,31,46.5,7,12.5,23,16,25,35.606,55.992,37.347,63.434,60,56,7,8,415.55,4,22,21,1.133,0,0,0,1,0,0.067,41.1
5.9,34,32,46.0,3,11.3,20,17,21,34.772,54.578,35.529,60.409,55,53,6,12,460.54,8,21,18,1.14,0,0,1,4,1,0.145,37.7
7.5,26,23,34.5,5,7.5,16,11,17,26.083,40.549,27.358,44.95,43,40,3,7,331.43,4,14,11,1.124,0,0,0,3,0,0.093,40.0
5.8,30,26,42.0,1,9.5,21,20,16,28.961,42.036,30.046,46.694,46,42,4,5,340.41,3,23,22,1.112,0,0,0,1,0,0.065,50.0
5.8,33,30,45.0,2,8.2,22,20,19,32.828,49.971,33.415,55.283,52,49,4,8,406.45,4,23,22,1.128,0,0,1,3,1,0.077,44.9
5.8,28,26,37.5,2,10.3,17,15,13,26.826,40.902,26.313,44.922,41,39,4,9,362.34,3,18,17,1.152,0,0,3,2,3,0.073,43.6
5.8,27,25,36.0,2,8.1,17,15,12,25.805,38.8,25.307,42.424,39,37,3,8,347.32,5,15,12,1.147,0,0,3,2,3,0.128,45.9
5.8,30,27,42.0,3,8.2,23,20,22,31.827,48.36,33.875,54.73,52,49,4,4,354.49,5,23,22,1.117,0,0,0,0,0,0.096,46.9
5.8,29,26,40.0,1,10.5,18,17,12,27.804,39.127,28.455,42.376,41,38,4,8,387.24,5,19,16,1.115,0,2,2,2,0,0.122,47.4
5.8,36,33,50.0,4,8.6,26,20,25,38.277,57.749,40.745,64.773,61,58,5,7,455.63,3,24,22,1.117,2,0,0,1,0,0.049,44.8
5.8,29,26,40.5,3,11.1,20,17,19,29.509,45.022,30.813,50.607,48,45,5,6,345.44,4,22,21,1.125,0,0,0,1,0,0.083,44.4
5.8,36,33,50.0,4,8.6,26,20,25,38.277,57.749,40.745,64.773,61,58,5,7,455.63,4,24,22,1.117,2,0,0,1,0,0.066,44.8
5.8,25,23,34.0,3,13.9,15,12,13,24.222,37.28,24.165,41.456,38,36,5,8,317.33,4,17,16,1.152,0,0,2,1,2,0.105,41.7
5.8,30,28,39.5,2,10.5,17,15,10,27.261,41.112,25.671,44.732,40,38,4,11,400.31,2,18,17,1.177,0,0,6,1,6,0.05,44.7
5.8,33,30,46.0,1,12.5,21,20,18,32.906,48.643,34.159,53.82,51,48,6,9,418.52,4,24,22,1.121,0,0,0,2,0,0.078,43.8
6.5,28,25,39.5,1,7.1,21,20,17,28.467,41.818,29.801,46.611,45,42,3,4,327.41,5,23,23,1.11,0,0,0,1,0,0.111,50.0
6.3,39,35,53.5,2,10.7,25,23,21,38.343,56.923,39.62,62.99,60,56,6,10,488.59,6,28,27,1.125,0,0,1,2,1,0.1,44.6
5.8,28,25,37.5,2,10.3,18,16,14,27.172,39.873,27.841,43.978,42,39,4,7,356.81,2,18,17,1.128,0,1,2,1,1,0.048,46.2
5.8,24,22,33.0,1,8.8,16,15,12,23.955,34.702,24.591,37.934,36,34,3,6,313.76,5,15,12,1.116,0,1,1,2,0,0.139,47.1
5.8,27,25,36.5,1,11.4,16,15,10,25.412,37.014,24.955,40.242,37,35,4,9,366.75,2,18,17,1.15,0,1,4,1,3,0.054,45.7
5.8,29,25,41.5,2,12.5,19,17,15,27.928,40.003,29.483,44.488,44,40,5,6,345.46,3,25,25,1.112,0,0,0,0,0,0.068,47.5
5.8,29,27,38.0,4,12.2,16,11,14,28.143,42.887,27.966,46.559,43,41,5,11,391.8,0,14,12,1.136,1,1,1,5,0,0.0,39.0
5.8,31,28,43.0,1,9.5,20,19,14,31.001,42.665,32.904,46.399,45,42,4,8,473.8,4,23,22,1.105,0,1,2,1,0,0.089,47.6
7.5,42,35,55.0,9,6.6,28,19,26,40.025,61.109,41.762,68.189,68,61,4,7,466.58,2,25,24,1.118,0,0,0,3,0,0.029,45.9
5.8,50,45,63.0,10,3.7,35,25,37,52.023,82.618,54.142,92.019,87,82,3,10,611.75,11,25,24,1.122,0,0,0,7,0,0.126,42.7
5.8,39,35,49.5,9,9.2,26,17,30,40.594,65.196,42.534,73.6,69,65,6,9,474.62,6,19,17,1.132,0,0,0,3,0,0.087,40.0
5.8,25,23,34.5,0,14.7,15,15,11,24.14,35.207,24.324,38.645,36,34,5,8,331.76,3,18,17,1.137,0,1,2,1,1,0.083,44.1
5.8,36,33,47.0,4,13.2,22,18,20,35.229,54.647,35.398,61.038,56,53,7,11,455.49,4,20,18,1.152,0,0,3,1,3,0.071,41.5
5.8,22,20,31.5,0,16.1,14,14,11,21.402,31.487,21.767,34.947,33,31,5,6,265.3,2,18,17,1.127,0,0,0,1,0,0.061,45.2
8.0,52,46,70.0,6,10.1,36,30,33,52.118,79.141,54.336,88.933,85,79,8,10,612.77,8,35,34,1.126,0,0,1,1,1,0.094,45.6
5.8,24,22,33.0,1,11.8,15,14,12,24.089,34.8,25.0,38.167,36,34,4,7,335.21,3,17,16,1.123,0,2,2,1,0,0.083,44.1
6.0,37,34,46.5,9,5.2,24,15,24,37.395,59.756,37.784,66.334,61,58,3,10,475.51,7,18,17,1.144,0,0,3,4,3,0.115,41.4
5.8,29,26,40.0,3,6.7,21,18,19,30.181,44.778,32.211,49.946,48,45,3,5,361.5,6,22,22,1.11,0,0,0,1,0,0.125,46.7
5.8,33,29,45.0,3,10.4,22,19,19,32.697,48.098,34.461,53.527,52,48,5,7,401.53,2,23,22,1.115,0,0,0,1,0,0.038,45.8
5.8,24,22,33.0,1,8.8,16,15,12,23.511,34.891,23.671,38.329,36,34,3,6,297.31,5,15,12,1.127,0,0,1,2,1,0.139,47.1
5.8,40,36,54.0,6,7.9,28,20,27,41.518,62.96,43.961,70.398,67,63,5,8,497.67,4,24,22,1.117,2,0,0,2,0,0.06,44.4
5.8,37,33,51.5,2,10.9,25,23,22,37.245,55.083,39.228,61.441,59,55,6,8,454.6,4,28,27,1.117,0,0,0,1,0,0.068,45.5
6.9,34,31,47.0,1,10.2,22,21,18,34.239,49.749,35.773,54.681,52,49,5,9,451.97,4,24,22,1.116,0,1,1,2,0,0.077,44.9
5.8,21,19,28.5,2,6.9,13,11,10,20.009,30.047,19.875,32.495,31,29,2,6,258.25,2,13,11,1.121,0,0,0,4,0,0.065,44.8
5.8,20,18,27.5,0,12.0,12,12,7,19.504,25.676,21.273,27.615,27,25,3,6,371.57,1,13,11,1.105,0,1,2,1,0,0.037,48.0
5.8,28,26,37.5,2,10.3,17,15,13,26.826,40.902,26.313,44.922,41,39,4,9,362.34,3,18,17,1.152,0,0,3,2,3,0.073,43.6
5.8,21,19,30.0,0,10.3,14,14,10,20.714,29.491,21.375,32.309,31,29,3,5,271.72,2,17,16,1.114,0,1,1,1,0,0.065,48.3
5.8,24,22,32.5,3,10.8,16,13,15,24.789,37.36,25.904,41.638,39,37,4,6,314.8,5,17,17,1.125,0,1,1,1,0,0.128,43.2
6.0,34,29,46.5,4,10.6,22,18,18,32.365,47.283,33.944,52.658,52,47,5,7,403.52,4,25,25,1.12,0,0,1,0,1,0.077,46.8
5.8,29,26,41.0,1,7.0,21,20,17,29.181,43.145,30.256,47.82,46,43,3,5,343.41,4,23,22,1.112,0,0,0,2,0,0.087,48.8
5.8,27,24,39.0,0,7.7,20,20,15,26.94,38.934,28.04,43.196,42,39,3,4,313.38,3,23,22,1.108,0,0,0,1,0,0.071,51.3
6.5,31,29,41.0,6,1.9,23,17,23,34.142,52.334,36.222,57.997,54,52,1,6,432.37,7,18,16,1.115,0,2,2,3,0,0.13,44.2
5.8,20,18,28.0,0,11.5,12,12,8,19.374,26.684,20.261,28.814,28,26,3,6,277.75,2,16,16,1.108,0,1,1,1,0,0.071,46.2
5.8,25,24,35.0,1,14.7,14,12,10,24.374,35.793,23.989,38.519,35,34,5,10,347.74,4,15,12,1.133,1,1,1,4,0,0.114,41.2
5.8,38,35,52.0,6,7.8,28,20,29,41.33,63.516,44.267,71.603,67,64,5,7,483.69,5,24,22,1.119,2,0,0,1,0,0.075,43.8
5.8,38,34,46.0,11,10.2,23,12,25,37.503,60.523,38.131,67.995,63,59,6,11,474.54,6,14,12,1.152,0,0,3,2,3,0.095,39.0
5.8,26,23,37.0,1,7.9,19,18,15,26.412,37.683,28.233,41.906,41,38,3,4,317.44,4,22,22,1.103,0,0,0,0,0,0.098,50.0
5.8,31,28,40.5,6,13.2,21,15,25,32.891,52.665,34.893,60.225,56,53,7,7,375.53,5,18,17,1.136,0,0,0,0,0,0.089,39.6
5.8,25,23,34.5,1,11.1,16,15,13,25.174,36.709,26.091,40.33,38,36,4,7,373.23,3,18,17,1.12,0,0,1,2,0,0.079,44.4
5.8,32,29,45.0,2,10.0,23,21,21,33.036,49.905,34.574,56.023,53,50,5,6,383.49,6,24,22,1.12,0,0,0,1,0,0.113,46.0
5.8,30,27,42.0,1,11.4,20,19,17,29.697,44.465,30.506,49.402,47,44,5,7,359.42,3,23,22,1.123,0,0,0,2,0,0.064,45.5
5.8,43,39,58.0,4,4.5,29,25,27,43.862,66.949,45.529,73.654,70,66,3,10,545.66,7,27,24,1.116,0,0,0,6,0,0.1,43.9
5.8,44,39,57.0,11,9.7,29,18,33,45.143,72.181,47.302,81.514,77,72,7,10,527.69,8,26,26,1.132,0,0,0,3,0,0.104,40.3
5.8,21,19,29.5,0,14.8,13,13,8,20.321,27.705,21.023,30.127,29,27,4,6,291.15,2,17,17,1.116,0,2,2,0,0,0.069,48.1
5.8,23,22,32.0,3,13.5,15,11,15,24.171,37.582,24.745,41.986,38,37,5,7,297.35,5,14,12,1.135,1,0,0,2,0,0.132,40.5
5.8,31,28,43.0,2,8.5,22,20,19,31.398,47.316,32.506,52.864,50,47,4,6,374.45,4,23,22,1.125,0,0,1,1,1,0.08,46.8
5.8,30,27,41.5,3,8.5,21,18,20,31.202,46.88,33.216,52.444,50,47,4,6,376.52,5,22,21,1.116,0,0,0,1,0,0.1,44.7
