pXC50,nC,nBM,nAB,RBN,nO,Sv,Sp,nBO,Se,nH,Si,nAT,nBT,RBF,MW
8.06,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.721,13,6,5,9,2,22.762,24.54,18,40.796,23,47.066,41,41,0.22,253.39
7.877,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
8.083,13,6,5,10,2,22.762,24.54,18,40.796,23,47.066,41,41,0.244,253.39
7.745,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.601,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
7.699,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
8.585,31,18,16,11,5,49.547,51.944,46,82.563,40,93.352,82,86,0.128,581.76
7.921,12,6,5,8,2,21.235,22.779,17,37.912,21,43.651,38,38,0.211,239.36
8.959,26,18,16,10,5,41.913,43.137,41,68.145,30,76.276,67,71,0.141,511.61
6.5,9,6,5,6,2,16.655,17.495,14,29.262,15,33.405,29,29,0.207,197.27
8.678,27,18,16,10,5,43.966,45.659,41,72.912,34,82.106,72,75,0.133,527.66
7.638,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
7.721,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
6.979,18,12,11,7,2,28.783,30.546,26,47.898,24,54.564,48,50,0.14,328.46
7.369,27,17,16,5,3,39.089,41.796,36,63.44,32,71.853,64,68,0.074,432.61
7.785,11,6,5,8,2,19.708,21.017,16,35.029,19,40.235,35,35,0.229,225.33
8.086,31,19,16,13,7,51.998,53.858,48,87.319,41,98.269,86,89,0.146,628.78
8.481,31,18,16,10,5,49.547,51.944,46,82.563,40,93.352,82,86,0.116,581.76
7.252,13,12,11,6,1,21.127,22.688,19,33.011,15,37.116,33,34,0.176,261.38
7.886,28,24,22,10,5,44.407,45.381,44,70.363,29,78.359,69,73,0.137,548.63
6.45,13,12,11,6,2,21.676,22.5,20,35.363,16,39.903,35,36,0.167,260.33
8.337,31,25,23,10,4,46.725,48.444,45,73.701,32,82.482,73,77,0.13,557.68
8.194,30,13,11,12,4,48.885,52.012,43,84.003,44,95.973,84,87,0.138,557.79
8.174,31,19,17,11,4,49.133,51.586,46,79.676,37,89.671,79,83,0.133,598.18
8.208,31,19,17,11,4,49.33,52.08,46,79.581,37,89.569,79,83,0.133,642.63
8.62,33,19,17,12,4,52.38,55.256,48,87.221,43,99.056,87,91,0.132,606.82
8.155,32,19,17,12,5,50.547,52.944,47,83.563,40,94.352,83,87,0.138,593.77
8.009,33,19,16,14,7,55.051,57.381,50,93.087,45,105.099,92,95,0.147,656.84
8.444,32,19,17,12,5,50.547,52.944,47,83.563,40,94.352,83,87,0.138,593.77
8.387,30,24,22,10,5,46.439,47.898,45,74.029,32,82.691,73,77,0.13,561.67
8.538,31,19,17,11,4,48.688,50.665,46,79.865,37,90.067,79,83,0.133,581.73
7.553,31,19,16,13,7,51.998,53.858,48,87.319,41,98.269,86,89,0.146,628.78
8.42,31,19,17,11,4,48.688,50.665,46,79.865,37,90.067,79,83,0.133,581.73
9.252,29,18,16,12,5,47.02,49.182,43,78.679,38,88.937,78,81,0.148,555.72
7.793,23,17,16,4,1,31.552,33.841,29,49.251,24,55.773,50,53,0.075,344.49
8.143,27,13,11,11,4,44.305,46.728,40,75.352,38,85.727,75,78,0.141,515.7
9.237,32,13,11,13,5,53.148,56.234,48,91.316,47,104.096,91,95,0.137,614.85
8.796,31,24,22,11,5,47.966,49.659,46,76.912,34,86.106,76,80,0.138,575.7
8.208,28,23,21,10,5,45.1,46.784,44,71.221,30,79.196,70,74,0.135,567.7
5.793,23,18,16,6,3,32.455,33.989,31,50.022,22,55.777,50,53,0.113,374.47
8.854,33,19,17,11,4,51.359,54.251,47,85.119,42,96.558,85,89,0.124,591.8
7.689,13,14,11,7,4,22.579,22.648,22,36.134,14,39.907,35,36,0.194,290.31
8.155,30,19,17,10,4,46.778,48.966,44,76.469,36,86.312,76,80,0.125,549.71
8.328,32,19,17,11,4,49.832,52.489,46,82.236,40,93.142,82,86,0.128,577.77
8.824,33,20,17,11,4,51.326,53.733,48,83.454,39,94.226,83,87,0.126,602.78
8.699,30,13,11,11,4,48.885,52.012,43,84.003,44,95.973,84,87,0.126,557.79
8.793,25,17,16,5,3,37.057,39.279,35,59.774,29,67.521,60,64,0.078,419.57
8.076,29,19,17,10,5,45.966,47.659,44,74.912,34,84.106,74,78,0.128,551.68
7.509,32,19,17,11,4,51.487,54.205,48,82.883,38,93.03,82,86,0.128,646.65
8.18,33,19,17,11,4,51.359,54.251,47,85.119,42,96.558,85,89,0.124,591.8
8.432,28,18,16,12,6,46.208,47.875,43,77.123,36,86.731,76,79,0.152,557.69
6.857,23,17,16,5,1,32.574,34.847,30,51.352,25,58.272,52,55,0.091,359.51
6.788,22,17,16,5,2,30.74,32.534,29,47.694,22,53.567,48,51,0.098,346.46
6.96,25,17,16,6,4,37.772,39.733,36,61.101,29,68.73,61,65,0.092,435.57
6.821,26,17,16,5,3,38.584,41.04,36,62.658,31,70.936,63,67,0.075,433.6
7.349,27,17,16,5,3,40.111,42.802,37,65.541,33,74.351,66,70,0.071,447.63
8.18,28,17,16,5,3,40.616,43.557,37,66.323,34,75.268,67,71,0.07,446.64
8.209,26,17,16,5,3,37.562,40.034,35,60.556,30,68.438,61,65,0.077,418.58
8.161,27,17,16,5,3,39.089,41.796,36,63.44,32,71.853,64,68,0.074,432.61
7.201,23,17,16,5,1,32.574,34.847,30,51.352,25,58.272,52,55,0.091,359.51
7.481,26,17,16,5,3,38.584,41.04,36,62.658,31,70.936,63,67,0.075,433.6
7.172,24,17,16,5,4,36.245,37.972,35,58.218,27,65.315,58,62,0.081,421.54
7.588,22,17,16,5,2,30.74,32.534,29,47.694,22,53.567,48,51,0.098,346.46
7.959,14,6,5,7,2,23.762,25.54,20,41.796,23,48.066,42,43,0.163,265.4
8.114,28,18,16,10,6,45.681,47.114,44,75.24,34,84.316,74,78,0.128,555.67
7.886,29,24,22,10,5,44.913,46.137,44,71.145,30,79.276,70,74,0.135,547.64
8.824,27,18,16,10,5,43.439,44.898,42,71.029,32,79.691,70,74,0.135,525.64
7.711,14,12,11,6,2,23.331,23.068,23,37.683,14,41.839,36,37,0.162,313.31
7.512,13,14,11,7,4,22.579,22.648,22,36.134,14,39.907,35,36,0.194,290.31
7.77,26,18,16,5,3,37.036,39.273,35,58.672,28,66.022,59,63,0.079,416.56
7.862,27,17,16,5,3,39.089,41.796,36,63.44,32,71.853,64,68,0.074,432.61
7.301,22,18,16,4,1,29.499,31.319,28,44.483,20,49.943,45,48,0.083,328.44
8.921,32,20,17,11,4,49.8,51.972,47,80.57,37,90.81,80,84,0.131,588.75
7.31,25,17,16,5,3,37.057,39.279,35,59.774,29,67.521,60,64,0.078,419.57
6.793,25,17,16,5,4,36.75,38.728,35,59.0,28,66.232,59,63,0.079,420.55
9.066,29,18,16,10,5,46.493,48.421,44,76.796,36,86.521,76,80,0.125,553.7
8.208,27,23,21,10,5,44.594,46.029,44,70.44,29,78.279,69,73,0.137,568.69
8.638,30,25,23,10,4,46.219,47.688,45,72.92,31,81.565,72,76,0.132,558.67
8.638,29,18,16,12,5,47.02,49.182,43,78.679,38,88.937,78,81,0.148,555.72
8.62,30,18,16,10,5,48.02,50.182,45,79.679,38,89.937,79,83,0.12,567.73
8.155,29,13,11,11,4,47.359,50.251,42,81.119,42,92.558,81,84,0.131,543.76
7.877,13,12,11,6,2,20.655,21.495,19,33.262,15,37.405,33,34,0.176,245.31
8.387,26,18,16,10,5,42.439,43.898,40,70.029,32,78.691,69,72,0.139,513.63
7.678,31,19,17,11,4,48.305,50.728,45,79.352,38,89.727,79,83,0.133,563.74
8.886,25,14,11,10,5,39.397,40.887,37,64.825,30,72.694,64,67,0.149,471.58
8.194,31,19,17,12,5,50.041,52.188,47,82.781,39,93.435,82,86,0.14,594.76
7.349,23,17,16,4,1,31.552,33.841,29,49.251,24,55.773,50,53,0.075,344.49
7.854,28,19,17,10,4,44.251,46.205,41,72.585,34,81.897,72,75,0.133,523.67
7.959,29,19,17,11,4,45.778,47.966,42,75.469,36,85.312,75,78,0.141,537.7
8.585,29,13,11,13,4,47.359,50.251,42,81.119,42,92.558,81,84,0.155,543.76
7.021,21,17,16,4,2,29.214,30.773,28,44.811,20,50.152,45,48,0.083,332.43
8.585,28,23,21,10,5,45.1,46.784,44,71.221,30,79.196,70,74,0.135,567.7
7.959,29,24,22,10,5,45.934,47.142,45,73.247,31,81.774,72,76,0.132,562.66
8.523,22,12,11,8,3,36.483,38.228,34,61.49,30,69.857,61,64,0.125,431.57
8.051,26,13,11,10,4,42.778,44.966,39,72.469,36,82.312,72,75,0.133,501.67
8.959,30,13,11,12,4,48.885,52.012,43,84.003,44,95.973,84,87,0.138,557.79
8.509,21,12,11,8,3,34.956,36.466,33,58.607,28,66.442,58,61,0.131,417.54
8.189,22,17,16,4,1,30.026,32.08,28,46.367,22,52.358,47,50,0.08,330.46
8.854,30,13,11,13,4,48.885,52.012,43,84.003,44,95.973,84,87,0.149,557.79
7.379,23,17,16,4,1,31.552,33.841,29,49.251,24,55.773,50,53,0.075,344.49
8.553,31,13,11,13,4,50.412,53.773,44,86.887,46,99.388,87,90,0.144,571.82
7.854,30,19,17,12,4,47.305,49.728,43,78.352,38,88.727,78,81,0.148,551.73
7.23,22,17,16,4,1,30.026,32.08,28,46.367,22,52.358,47,50,0.08,330.46
8.959,28,13,11,11,4,45.832,48.489,41,78.236,40,89.142,78,81,0.136,529.73
8.389,13,12,11,6,2,21.482,22.352,20,33.585,14,37.349,33,34,0.176,279.75
8.62,29,18,16,11,5,47.02,49.182,43,78.679,38,88.937,78,81,0.136,555.72
5.659,20,22,21,4,1,26.94,28.04,27,38.934,15,43.196,39,42,0.095,313.38
7.664,24,17,16,4,1,33.079,35.603,30,52.134,26,59.188,53,56,0.071,358.52
8.959,31,13,11,13,5,51.622,54.472,47,88.432,45,100.681,88,92,0.141,600.82
6.922,17,17,16,6,2,25.181,26.256,24,39.145,17,43.82,39,41,0.146,295.37
7.469,15,12,11,7,2,24.73,26.023,22,41.131,20,46.734,41,42,0.167,288.39
7.389,12,11,10,7,3,20.369,20.949,19,33.589,15,37.614,33,34,0.206,249.3
7.812,14,14,11,8,4,24.106,24.409,23,39.018,16,43.322,38,39,0.205,304.34
7.959,14,12,11,6,2,22.181,23.256,20,36.145,17,40.82,36,37,0.162,259.34
7.61,14,12,11,6,2,23.331,23.068,23,37.683,14,41.839,36,37,0.162,313.31
7.197,15,12,11,7,2,23.708,25.017,21,39.029,19,44.235,39,40,0.175,273.37
7.389,15,12,11,7,2,23.708,25.017,21,39.029,19,44.235,39,40,0.175,273.37
7.498,13,6,5,7,2,22.235,23.779,19,38.912,21,44.651,39,40,0.175,251.37
7.911,14,12,11,7,2,23.498,25.915,21,36.214,16,40.541,36,37,0.189,385.23
7.284,11,6,5,7,2,19.181,20.256,17,33.145,17,37.82,33,34,0.206,223.31
5.9,15,18,16,7,3,26.599,27.608,26,41.869,17,46.531,41,43,0.163,347.44
7.812,14,12,11,6,2,23.331,23.068,23,37.683,14,41.839,36,37,0.162,313.31
7.959,14,12,11,7,2,22.181,23.256,20,36.145,17,40.82,36,37,0.189,259.34
7.161,13,6,5,6,2,22.235,23.779,19,38.912,21,44.651,39,40,0.15,251.37
7.593,16,12,11,9,2,25.235,26.779,22,41.912,21,47.651,42,43,0.209,287.4
7.585,14,12,11,7,3,24.046,23.523,24,39.011,14,43.049,37,38,0.184,329.31
7.911,15,12,11,7,2,24.858,24.83,24,40.567,16,45.254,39,40,0.175,327.34
7.6,15,16,16,6,1,24.148,25.693,23,37.113,16,41.614,37,39,0.154,300.42
6.9,15,16,16,5,0,24.095,25.455,23,37.134,16,41.927,37,39,0.128,301.81
6.7,14,16,16,5,0,22.569,23.693,22,34.251,14,38.512,34,36,0.139,287.78
7.022,14,13,11,6,3,22.369,22.949,21,35.589,15,39.614,35,36,0.167,273.32
7.7,15,16,16,6,1,23.789,24.904,23,36.36,15,40.638,36,38,0.158,302.79
8.05,13,12,11,6,2,21.971,24.154,20,33.331,14,37.126,33,34,0.176,371.2
7.31,15,12,11,7,2,23.708,25.017,21,39.029,19,44.235,39,40,0.175,273.37
5.6,15,17,16,6,2,24.863,26.148,24,38.44,16,42.823,38,40,0.15,316.42
8.5,14,16,16,5,1,23.089,24.0,23,33.8,12,37.167,33,35,0.143,323.2
7.2,20,22,22,6,1,28.488,29.807,28,42.92,18,48.109,43,46,0.13,330.42
6.7,15,16,16,5,0,23.24,25.091,22,34.007,14,37.85,34,36,0.139,303.84
8.0,14,16,16,5,1,21.818,22.222,22,33.665,13,37.618,33,35,0.143,272.31
8.1,15,16,16,5,1,24.111,23.858,25,37.574,13,41.713,36,38,0.132,322.32
7.877,12,6,5,7,2,20.708,22.017,18,36.029,19,41.235,36,37,0.189,237.34
8.252,12,6,5,5,0,18.257,20.103,14,31.272,18,36.318,32,32,0.156,190.32
8.2,14,16,16,5,1,22.751,24.943,22,33.222,13,36.999,33,35,0.143,380.21
7.178,7,6,5,2,0,10.623,11.296,9,16.854,8,19.242,17,17,0.118,120.17
7.799,18,12,11,5,0,24.784,26.864,22,39.156,20,44.733,40,42,0.119,264.4
8.292,11,6,5,2,0,16.204,17.58,14,26.505,14,30.488,27,28,0.071,174.27
8.845,15,6,5,3,0,21.784,23.864,19,36.156,20,41.733,37,39,0.077,228.37
8.553,14,6,5,7,0,21.311,23.625,16,37.04,22,43.149,38,38,0.184,218.38
8.34,24,17,16,6,2,34.321,36.819,31,55.345,28,62.813,56,59,0.102,376.54
8.24,23,17,16,5,2,32.156,33.989,30,50.872,24,57.239,51,54,0.093,365.48
8.521,20,7,6,4,1,31.154,34.131,26,54.003,31,62.517,55,57,0.07,329.54
8.1,19,7,6,4,1,30.649,33.376,26,53.221,30,61.6,54,56,0.071,330.53
8.57,23,17,16,6,3,32.487,34.506,30,51.687,25,58.109,52,55,0.109,363.49
9.269,22,17,16,5,2,31.012,32.165,30,48.501,21,54.164,48,51,0.098,369.44
7.886,13,6,5,7,2,22.762,24.54,18,40.796,23,47.066,41,41,0.171,253.39
9.389,23,17,16,5,2,31.773,34.052,29,50.36,25,56.9,51,54,0.093,347.49
8.868,25,17,16,6,2,34.299,36.813,32,54.243,27,61.315,55,59,0.102,373.53
8.852,23,16,16,5,2,32.299,34.813,29,52.243,27,59.315,53,56,0.089,349.51
9.189,22,17,16,5,2,31.073,33.148,29,47.8,22,53.428,48,51,0.098,367.9
8.98,23,17,16,5,2,32.6,34.909,30,50.683,24,56.844,51,54,0.093,381.93
9.0,24,17,16,6,2,33.299,35.813,30,53.243,27,60.315,54,57,0.105,361.52
9.305,16,12,11,7,2,23.687,25.012,22,37.927,18,42.737,38,40,0.175,270.36
9.242,22,17,16,5,2,30.629,32.228,29,47.989,22,53.824,48,51,0.098,351.45
8.78,26,13,12,7,3,38.616,41.557,34,64.323,34,73.268,65,68,0.103,422.62
8.478,22,16,16,5,2,30.773,33.052,28,49.36,25,55.9,50,53,0.094,335.48
8.59,22,17,16,4,1,30.026,32.08,28,46.367,22,52.358,47,50,0.08,330.46
7.301,18,9,6,6,2,27.762,29.54,25,45.796,23,52.066,46,48,0.125,313.44
7.347,17,9,6,6,2,26.235,27.779,24,42.912,21,48.651,43,45,0.133,299.41
7.432,18,9,6,6,2,27.762,29.54,25,45.796,23,52.066,46,48,0.125,313.44
6.085,17,9,6,6,3,26.95,28.233,25,44.24,21,49.86,44,46,0.13,315.41
8.44,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.959,20,9,6,7,2,30.815,33.063,27,51.563,27,58.896,52,54,0.13,341.5
8.119,21,9,6,7,2,32.342,34.824,28,54.447,29,62.311,55,57,0.123,355.53
7.921,25,15,12,8,2,36.342,38.824,33,58.447,29,66.311,59,62,0.129,403.57
6.975,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.319,19,9,6,7,3,30.003,31.756,27,50.007,25,56.69,50,52,0.135,343.47
6.37,19,9,6,7,3,30.003,31.756,27,50.007,25,56.69,50,52,0.135,343.47
8.375,18,9,6,6,2,27.762,29.54,25,45.796,23,52.066,46,48,0.125,313.44
6.46,18,9,6,6,2,27.762,29.54,25,45.796,23,52.066,46,48,0.125,313.44
6.0,19,10,6,2,2,29.256,30.784,28,47.014,22,53.149,47,50,0.04,338.45
8.516,20,9,6,4,2,30.289,32.302,28,49.68,25,56.481,50,53,0.075,339.48
8.222,21,9,6,4,2,31.815,34.063,29,52.563,27,59.896,53,56,0.071,353.51
6.0,17,9,6,2,1,26.542,28.33,24,43.687,22,49.939,44,46,0.043,298.43
6.593,20,9,6,3,1,30.595,32.853,28,50.454,26,57.77,51,54,0.056,338.5
6.378,18,9,6,3,1,28.068,30.091,25,46.571,24,53.355,47,49,0.061,312.46
6.0,18,9,6,2,1,27.542,29.33,26,44.687,22,50.939,45,48,0.042,310.44
6.73,21,10,6,3,2,32.31,34.307,30,52.781,26,59.979,53,56,0.054,366.51
6.733,19,10,6,3,2,29.783,31.546,27,48.898,24,55.564,49,51,0.059,340.47
7.076,21,10,6,4,2,32.31,34.307,30,52.781,26,59.979,53,56,0.071,366.51
7.036,26,16,12,5,2,38.22,40.006,37,60.178,27,67.734,60,64,0.078,446.57
7.337,20,10,6,4,2,30.783,32.546,29,49.898,24,56.564,50,53,0.075,352.48
8.634,18,9,6,6,2,27.762,29.54,25,45.796,23,52.066,46,48,0.125,313.44
7.959,20,9,6,7,2,31.199,33.0,28,52.076,26,59.236,52,54,0.13,359.49
7.959,20,9,6,7,2,31.965,32.875,30,53.101,24,59.915,52,54,0.13,395.47
8.022,20,9,6,8,3,31.53,33.517,28,52.891,27,60.106,53,55,0.145,357.5
8.102,24,15,12,7,2,34.815,37.063,32,55.563,27,62.896,56,59,0.119,389.54
7.658,23,15,12,7,2,34.31,36.307,32,54.781,26,61.979,55,58,0.121,390.53
8.102,22,15,12,7,2,33.805,35.552,32,54.0,25,61.062,54,57,0.123,391.52
8.06,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
8.0,23,15,12,7,2,34.31,36.307,32,54.781,26,61.979,55,58,0.121,390.53
7.921,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.155,23,15,12,7,2,34.31,36.307,32,54.781,26,61.979,55,58,0.121,390.53
7.569,19,9,6,6,2,29.672,31.239,27,49.192,24,55.821,49,51,0.118,345.46
7.161,18,9,6,6,2,28.145,29.478,26,46.309,22,52.405,46,48,0.125,331.43
7.854,19,9,6,6,2,30.116,32.159,27,49.003,24,55.425,49,51,0.118,361.91
7.387,19,9,6,6,2,30.055,31.177,28,49.705,23,56.16,49,51,0.118,363.45
7.398,18,9,6,6,2,28.528,29.415,27,46.821,21,52.745,46,48,0.125,349.42
6.64,19,9,6,7,3,30.003,31.756,27,50.007,25,56.69,50,52,0.135,343.47
6.955,19,10,6,6,2,29.256,30.784,27,47.014,22,53.149,47,49,0.122,338.45
7.155,17,9,6,6,2,27.256,28.784,25,45.014,22,51.149,45,47,0.128,314.43
8.337,20,9,6,6,2,30.815,33.063,27,51.563,27,58.896,52,54,0.111,341.5
7.284,20,9,6,6,2,30.815,33.063,27,51.563,27,58.896,52,54,0.111,341.5
8.42,23,14,12,6,2,33.815,36.063,31,54.563,27,61.896,55,58,0.103,377.53
6.0,22,14,12,5,2,32.289,34.302,30,51.68,25,58.481,52,55,0.091,363.5
8.046,23,14,12,6,2,33.815,36.063,31,54.563,27,61.896,55,58,0.103,377.53
8.444,22,14,12,6,2,32.289,34.302,30,51.68,25,58.481,52,55,0.109,363.5
8.745,24,14,12,6,2,35.342,37.824,32,57.447,29,65.311,58,61,0.098,391.56
7.921,29,20,18,8,2,41.696,44.444,39,64.654,30,72.671,65,69,0.116,488.07
7.638,29,20,18,8,2,41.696,44.444,39,64.654,30,72.671,65,69,0.116,488.07
8.081,23,13,11,7,2,35.529,38.472,32,57.523,29,65.231,58,61,0.115,411.62
7.721,23,13,11,7,2,35.529,38.472,32,57.523,29,65.231,58,61,0.115,411.62
5.933,24,13,11,9,3,37.771,40.688,34,61.734,31,69.856,62,65,0.138,441.65
5.523,24,13,11,9,3,37.771,40.688,34,61.734,31,69.856,62,65,0.138,441.65
6.777,22,13,11,9,2,34.529,37.472,30,56.523,29,64.231,57,59,0.153,399.61
8.155,22,13,11,7,2,34.003,36.711,31,54.64,27,61.816,55,58,0.121,397.59
7.921,23,13,11,8,2,35.529,38.472,32,57.523,29,65.231,58,61,0.131,411.62
7.237,24,13,11,8,2,37.056,40.233,33,60.407,31,68.647,61,64,0.125,425.65
7.921,27,19,17,8,2,40.357,43.33,38,61.847,28,69.175,62,66,0.121,494.1
6.845,27,19,17,8,2,40.357,43.33,38,61.847,28,69.175,62,66,0.121,494.1
8.699,22,9,6,6,2,33.342,35.824,30,55.447,29,63.311,56,59,0.102,367.54
8.367,22,9,6,6,2,33.342,35.824,30,55.447,29,63.311,56,59,0.102,367.54
8.328,22,8,6,6,2,33.869,36.586,30,57.33,31,65.727,58,61,0.098,369.56
8.027,22,8,6,6,2,33.869,36.586,30,57.33,31,65.727,58,61,0.098,369.56
8.921,23,9,6,6,2,34.869,37.586,31,58.33,31,66.727,59,62,0.097,381.57
8.347,23,9,6,6,2,34.869,37.586,31,58.33,31,66.727,59,62,0.097,381.57
7.7,15,12,11,5,1,23.488,24.807,22,37.92,18,43.109,38,40,0.125,270.37
6.7,13,11,11,6,1,21.492,23.154,19,34.047,16,38.452,34,35,0.171,310.22
7.0,14,12,11,6,1,22.488,23.807,20,36.92,18,42.109,37,38,0.158,258.36
5.0,14,12,11,6,1,22.488,23.807,20,36.92,18,42.109,37,38,0.158,258.36
8.301,13,11,11,6,1,20.762,23.455,18,31.785,15,35.833,32,33,0.182,342.2
7.611,24,1,0,1,0,36.052,40.478,30,63.992,40,74.885,66,70,0.014,356.66
7.877,13,11,11,6,1,20.47,22.148,18,31.945,15,35.954,32,33,0.182,295.2
8.4,13,11,11,6,1,19.445,20.796,17,31.716,16,36.112,32,33,0.182,216.31
7.237,18,9,6,4,1,27.047,29.086,24,44.469,23,50.856,45,47,0.085,297.44
7.367,17,9,6,4,1,25.52,27.324,23,41.585,21,47.441,42,44,0.091,283.41
6.87,17,9,6,4,1,25.52,27.324,23,41.585,21,47.441,42,44,0.091,283.41
7.377,23,15,12,5,1,32.574,34.847,30,51.352,25,58.272,52,55,0.091,359.51
7.319,23,15,12,5,1,32.957,34.785,31,51.865,24,58.611,52,55,0.091,377.5
7.585,23,15,12,5,1,33.401,35.705,31,51.676,24,58.216,52,55,0.091,393.95
7.745,24,15,12,6,1,34.101,36.608,31,54.236,27,61.687,55,58,0.103,373.54
6.616,22,15,12,5,1,32.068,34.091,30,50.571,24,57.355,51,54,0.093,360.5
8.046,19,9,6,6,2,28.267,30.296,25,46.578,24,52.983,47,49,0.122,312.45
8.071,20,9,6,6,2,29.794,32.057,26,49.461,26,56.398,50,52,0.115,326.48
7.921,20,9,6,6,2,29.794,32.057,26,49.461,26,56.398,50,52,0.115,326.48
7.678,20,9,6,6,2,29.794,32.057,26,49.461,26,56.398,50,52,0.115,326.48
6.842,20,9,6,6,2,29.794,32.057,26,49.461,26,56.398,50,52,0.115,326.48
7.721,25,15,12,7,2,35.321,37.819,32,56.345,28,63.813,57,60,0.117,388.55
8.018,25,15,12,7,2,35.704,37.756,33,56.858,27,64.153,57,60,0.117,406.54
8.0,26,15,12,8,2,36.848,39.58,33,59.229,30,67.228,60,63,0.127,402.58
8.523,21,10,6,6,2,31.289,33.302,28,50.68,25,57.481,51,53,0.113,351.49
8.102,26,15,12,7,2,36.848,39.58,33,59.229,30,67.228,60,63,0.111,402.58
8.62,24,14,12,6,2,34.321,36.819,31,55.345,28,62.813,56,59,0.102,376.54
6.301,20,9,6,6,2,29.794,32.057,26,49.461,26,56.398,50,52,0.115,326.48
6.7,13,11,11,6,1,21.783,24.461,19,33.887,16,38.331,34,35,0.171,357.22
7.377,22,6,6,3,3,33.068,35.79,30,56.338,31,64.355,57,61,0.049,357.54
8.45,24,12,12,5,0,33.945,37.432,29,56.458,32,65.225,58,61,0.082,348.58
9.429,24,12,12,5,0,33.945,37.432,29,56.458,32,65.225,58,61,0.082,348.58
6.95,31,18,18,7,0,42.525,46.717,37,69.108,38,79.47,71,75,0.093,438.71
7.52,28,18,18,7,0,38.472,42.194,33,62.341,34,71.64,64,67,0.104,398.64
7.53,31,18,18,7,0,42.525,46.717,37,69.108,38,79.47,71,75,0.093,438.71
8.37,28,12,12,8,0,40.052,44.478,33,67.992,40,78.885,70,73,0.11,404.7
7.79,28,12,12,8,0,40.052,44.478,33,67.992,40,78.885,70,73,0.11,404.7
7.9,28,12,12,8,0,40.052,44.478,33,67.992,40,78.885,70,73,0.11,404.7
8.06,28,12,12,8,0,40.052,44.478,33,67.992,40,78.885,70,73,0.11,404.7
8.851,28,12,12,8,0,40.052,44.478,33,67.992,40,78.885,70,73,0.11,404.7
7.58,29,12,12,8,0,41.579,46.239,34,70.876,42,82.301,73,76,0.105,418.73
7.58,29,12,12,8,0,41.579,46.239,34,70.876,42,82.301,73,76,0.105,418.73
8.83,28,12,12,9,1,40.767,44.932,34,69.319,40,80.095,71,74,0.122,420.7
8.75,28,12,12,9,1,40.767,44.932,34,69.319,40,80.095,71,74,0.122,420.7
8.18,33,18,18,10,1,46.294,50.694,40,76.203,42,87.51,78,82,0.122,482.77
8.33,33,18,18,10,1,46.294,50.694,40,76.203,42,87.51,78,82,0.122,482.77
8.18,34,18,18,11,2,48.535,52.91,42,80.414,44,92.135,82,86,0.128,512.8
8.68,34,18,18,11,2,48.535,52.91,42,80.414,44,92.135,82,86,0.128,512.8
4.22,23,12,12,7,0,31.923,35.427,26,53.356,31,61.726,55,57,0.123,321.55
4.36,23,12,12,6,0,31.923,35.427,26,53.356,31,61.726,55,57,0.105,321.55
8.886,20,14,12,5,2,29.96,32.699,26,48.436,25,54.82,49,51,0.098,343.53
9.046,21,14,12,6,2,31.487,34.461,27,51.32,27,58.235,52,54,0.111,357.56
9.222,22,14,12,7,2,33.013,36.222,28,54.203,29,61.65,55,57,0.123,371.59
8.577,22,14,12,6,2,33.013,36.222,28,54.203,29,61.65,55,57,0.105,371.59
9.222,26,20,18,7,2,37.013,40.222,33,58.203,29,65.65,59,62,0.113,419.63
9.0,24,14,12,6,2,35.54,38.983,31,58.087,31,66.065,59,62,0.097,397.63
8.854,22,14,12,8,3,33.728,36.677,29,55.531,29,62.859,56,58,0.138,387.59
8.921,21,14,12,7,3,32.201,34.915,28,52.647,27,59.444,53,55,0.127,373.56
9.0,23,14,12,9,3,35.255,38.438,30,58.414,31,66.275,59,61,0.148,401.62
9.155,23,14,12,9,3,35.255,38.438,30,58.414,31,66.275,59,61,0.148,401.62
9.097,22,14,12,8,3,33.728,36.677,29,55.531,29,62.859,56,58,0.138,387.59
9.77,25,14,12,7,3,37.782,41.199,33,62.298,33,70.69,63,66,0.106,427.66
8.959,24,14,12,6,3,36.255,39.438,32,59.414,31,67.275,60,63,0.095,413.63
9.699,25,14,12,7,3,37.782,41.199,33,62.298,33,70.69,63,66,0.106,427.66
8.613,21,14,12,7,3,32.201,34.915,28,52.647,27,59.444,53,55,0.127,373.56
7.879,22,14,12,8,3,33.728,36.677,29,55.531,29,62.859,56,58,0.138,387.59
8.056,18,8,6,6,2,28.289,30.302,25,47.68,25,54.481,48,50,0.12,315.46
