pXC50,Sv,MW,Sp,nAT,Se,nBT,Si,nBO,nSK,SCBO,nH,nC,RBN,nN,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR
5.0,19.149,234.29,19.739,31,31.48,31,35.488,17,17,23.0,14,11,4,4,7.558,35.5,45.2,1.015,1.145,0.637,0.618,12.9,6,0,8,0
5.0,25.116,323.41,26.176,36,36.447,40,40.282,27,23,36.0,13,16,1,5,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,17,0
5.5,53.239,621.82,55.836,85,85.152,91,96.341,52,46,67.0,39,34,6,9,7.316,40.0,45.9,1.002,1.133,0.657,0.626,10.6,26,0,28,0
5.9,34.563,397.52,36.336,53,52.789,57,59.438,34,30,47.0,23,24,6,5,7.5,45.3,43.4,0.996,1.121,0.686,0.652,9.4,26,0,26,0
5.0,26.203,310.39,27.262,41,41.247,43,46.318,25,23,34.5,18,17,4,4,7.57,41.5,43.9,1.006,1.13,0.665,0.639,9.8,15,0,17,0
5.0,20.435,272.32,21.097,28,28.654,30,31.127,21,19,30.0,9,14,2,2,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,0,17,0
5.0,34.912,439.47,35.353,52,53.334,55,59.085,35,32,46.0,20,24,3,3,8.451,46.2,38.5,1.026,1.136,0.68,0.671,5.8,18,0,20,0
6.0,42.016,590.56,44.233,65,66.047,68,73.655,40,37,52.0,28,24,8,7,9.086,36.9,43.1,1.016,1.133,0.681,0.646,10.8,18,0,21,1
5.0,29.708,345.43,31.017,45,45.029,47,50.235,28,26,39.0,19,21,4,3,7.676,46.7,42.2,1.001,1.116,0.689,0.66,6.7,18,0,20,0
5.0,34.539,438.48,34.909,52,53.36,55,59.41,35,32,47.0,20,22,6,6,8.432,42.3,38.5,1.026,1.142,0.671,0.664,11.5,22,0,23,0
5.0,30.914,378.45,31.756,47,47.636,51,53.445,32,28,42.5,19,20,4,6,8.052,42.6,40.4,1.014,1.137,0.676,0.658,12.8,21,0,21,0
5.0,36.1,428.55,37.591,56,56.211,60,63.517,36,32,48.0,24,23,5,8,7.653,41.1,42.9,1.004,1.134,0.671,0.645,14.3,22,0,23,0
5.0,37.617,425.58,39.858,59,58.556,62,66.268,35,32,47.0,27,26,7,5,7.213,44.1,45.8,0.992,1.123,0.676,0.638,8.5,18,0,21,0
5.0,31.893,387.45,32.75,47,47.534,50,52.947,32,29,44.5,18,22,3,5,8.244,46.8,38.3,1.011,1.127,0.697,0.679,10.6,23,0,24,0
5.0,21.532,282.38,22.631,34,34.625,35,38.954,20,19,26.5,15,12,6,4,8.305,35.3,44.1,1.018,1.146,0.666,0.633,11.8,11,0,12,0
5.0,16.854,212.23,17.0,24,24.502,26,27.033,18,16,25.0,8,11,0,4,8.843,45.8,33.3,1.021,1.126,0.708,0.702,16.7,12,0,13,0
5.0,29.071,402.82,29.029,41,42.705,44,46.899,31,28,42.0,13,18,4,6,9.825,43.9,31.7,1.042,1.144,0.708,0.709,14.6,22,0,22,0
5.0,39.223,475.61,41.222,56,55.982,60,61.943,39,35,56.0,21,28,3,5,8.493,50.0,37.5,1.0,1.106,0.736,0.7,8.9,28,0,30,0
5.0,31.901,417.43,31.841,48,49.771,51,55.251,33,30,42.5,18,20,3,5,8.696,41.7,37.5,1.037,1.151,0.663,0.665,10.4,17,0,18,0
5.0,40.31,462.59,42.307,61,60.781,65,67.979,39,35,54.0,26,29,8,4,7.583,47.5,42.6,0.996,1.114,0.694,0.661,6.6,28,0,29,0
5.0,28.467,327.41,29.801,42,41.818,45,46.611,28,25,40.0,17,21,4,3,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,22,0,23,0
5.1,19.261,259.31,19.858,27,27.687,30,30.079,21,18,28.5,9,12,1,3,9.604,44.4,33.3,1.025,1.114,0.735,0.713,11.1,15,0,15,0
5.0,31.289,366.46,32.603,46,45.912,50,51.481,32,28,45.5,18,22,4,6,7.967,47.8,39.1,0.998,1.119,0.709,0.68,13.0,27,0,27,0
5.0,27.552,296.45,29.841,46,45.251,48,51.773,24,22,30.0,24,19,6,2,6.445,41.3,52.2,0.984,1.126,0.649,0.599,4.3,12,0,12,0
5.0,31.158,386.52,32.887,49,49.418,51,55.278,29,27,40.0,22,19,7,4,7.888,38.8,44.9,1.009,1.128,0.671,0.636,8.2,16,0,19,0
5.0,25.908,312.35,26.523,36,36.269,39,39.863,27,24,39.5,12,19,2,4,8.676,52.8,33.3,1.007,1.107,0.737,0.72,11.1,17,0,19,0
5.0,22.467,255.35,23.801,36,35.818,37,40.611,20,19,27.0,17,15,6,3,7.093,41.7,47.2,0.995,1.128,0.661,0.624,8.3,12,0,13,0
5.0,32.111,366.52,34.103,53,52.774,55,60.351,29,27,38.0,26,20,9,6,6.915,37.7,49.1,0.996,1.139,0.643,0.606,11.3,16,0,17,0
5.0,24.195,332.43,25.477,34,34.756,36,37.541,24,22,35.0,12,15,3,2,9.777,44.1,35.3,1.022,1.104,0.749,0.712,5.9,16,0,19,0
5.0,20.714,271.72,21.375,29,29.491,31,32.309,21,19,30.0,10,14,2,3,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,17,0
5.0,18.392,212.27,19.273,28,27.949,29,31.282,17,16,24.0,12,13,3,2,7.581,46.4,42.9,0.998,1.117,0.688,0.657,7.1,12,0,13,0
5.0,32.906,418.52,34.159,48,48.643,51,53.82,33,30,46.0,18,21,4,6,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0
5.2,50.997,591.79,53.62,81,80.941,87,91.716,50,44,65.0,37,33,5,9,7.306,40.7,45.7,0.999,1.132,0.662,0.63,11.1,26,0,28,0
5.0,31.74,358.47,33.534,49,48.694,52,54.567,30,27,40.5,22,23,3,2,7.316,46.9,44.9,0.994,1.114,0.684,0.648,4.1,17,0,19,0
5.0,21.703,283.25,21.324,30,31.273,32,33.206,23,21,32.0,9,15,2,1,9.442,50.0,30.0,1.042,1.107,0.711,0.723,3.3,12,0,15,0
5.7,33.202,400.54,35.216,49,48.88,53,54.444,33,29,46.0,20,23,6,4,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,26,0,26,0
5.0,31.485,410.42,31.387,46,47.592,50,52.579,34,30,46.5,16,20,4,6,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,0,25,0
5.0,24.82,310.4,26.137,36,36.236,38,39.827,24,22,33.0,14,17,3,2,8.622,47.2,38.9,1.007,1.106,0.726,0.689,5.6,12,0,15,0
5.0,18.647,267.35,19.71,26,26.771,27,28.627,18,17,24.0,9,11,2,1,10.283,42.3,34.6,1.03,1.101,0.758,0.717,3.8,6,0,9,0
5.0,19.422,303.18,20.33,26,27.116,27,28.884,19,18,26.0,8,11,2,2,11.661,42.3,30.8,1.043,1.111,0.782,0.747,7.7,10,0,12,0
5.0,31.191,390.51,32.705,46,46.316,49,51.61,31,28,43.0,18,20,3,6,8.489,43.5,39.1,1.007,1.122,0.711,0.678,13.0,22,0,23,0
5.0,40.804,481.67,43.506,62,61.632,66,69.188,39,35,53.0,27,28,4,5,7.769,45.2,43.5,0.994,1.116,0.702,0.658,8.1,22,0,24,0
5.2,41.137,497.03,43.165,61,61.105,65,67.923,40,36,55.0,25,29,8,4,8.148,47.5,41.0,1.002,1.113,0.708,0.674,6.6,28,0,29,0
5.0,25.488,294.39,26.807,40,39.92,43,45.109,25,22,33.0,18,17,2,4,7.36,42.5,45.0,0.998,1.128,0.67,0.637,10.0,16,0,16,0
5.2,27.261,400.31,25.671,38,41.112,40,44.732,30,28,39.5,10,17,2,4,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,0,18,0
5.7,33.26,449.55,34.494,46,47.062,50,51.036,35,31,51.0,15,21,5,5,9.773,45.7,32.6,1.023,1.109,0.75,0.723,10.9,26,0,29,0
5.0,20.09,287.67,19.761,26,27.378,28,28.898,22,20,31.0,6,13,0,3,11.064,50.0,23.1,1.053,1.111,0.76,0.773,11.5,6,0,11,0
5.0,20.714,271.72,21.375,29,29.491,31,32.309,21,19,30.0,10,14,2,3,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,17,0
5.0,22.106,270.38,23.682,33,32.909,35,36.617,21,19,29.0,14,15,4,2,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,0,16,0
5.0,29.632,372.49,31.125,46,46.534,48,51.863,28,26,39.0,20,18,6,4,8.098,39.1,43.5,1.012,1.127,0.677,0.644,8.7,16,0,19,0
5.1,31.535,436.34,33.165,46,46.251,49,51.449,31,28,43.0,18,21,3,5,9.486,45.7,39.1,1.005,1.118,0.721,0.686,10.9,22,0,23,1
5.0,24.348,294.33,24.943,36,36.487,37,40.116,23,22,33.0,14,17,4,2,8.176,47.2,38.9,1.014,1.114,0.693,0.676,5.6,12,0,15,0
5.0,39.486,484.63,41.443,59,59.294,63,66.065,39,35,53.5,24,26,6,6,8.214,44.1,40.7,1.005,1.12,0.702,0.669,10.2,27,0,28,0
5.0,27.687,318.4,29.012,42,41.927,44,46.737,26,24,36.0,18,20,5,2,7.581,47.6,42.9,0.998,1.113,0.691,0.659,4.8,18,0,19,0
5.0,20.435,272.32,21.097,28,28.654,30,31.127,21,19,30.0,9,14,2,2,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,0,17,0
5.4,29.584,340.48,31.341,49,48.891,51,55.936,27,25,34.0,24,18,5,6,6.949,36.7,49.0,0.998,1.142,0.64,0.604,12.2,12,0,13,0
5.0,28.676,344.4,29.5,42,42.363,45,46.903,29,26,41.0,16,20,4,4,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,22,0,23,0
5.0,27.706,349.36,27.915,39,39.96,42,43.875,29,26,41.0,13,20,3,3,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,0,23,0
5.0,20.129,273.3,20.546,27,27.88,29,29.838,21,19,30.0,8,14,2,1,10.122,51.9,29.6,1.033,1.105,0.761,0.746,3.7,16,0,17,0
5.0,28.697,347.41,29.506,43,43.465,46,48.402,29,26,40.5,17,19,5,5,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,21,0,22,0
5.0,18.071,330.59,19.057,22,23.036,24,23.868,19,17,26.0,5,11,0,1,15.027,50.0,22.7,1.047,1.085,0.866,0.821,4.5,10,0,12,1
5.1,23.282,356.59,23.75,30,31.473,32,33.035,24,22,32.0,8,15,1,1,11.886,50.0,26.7,1.049,1.101,0.792,0.776,3.3,12,0,14,0
6.2,32.369,392.92,34.188,49,49.011,52,54.883,31,28,42.0,21,22,6,4,8.019,44.9,42.9,1.0,1.12,0.698,0.661,8.2,22,0,22,0
5.0,32.542,370.49,34.33,50,49.687,53,55.939,31,28,43.0,22,23,7,4,7.41,46.0,44.0,0.994,1.119,0.687,0.651,8.0,22,0,23,0
5.0,29.214,332.43,30.773,45,44.811,47,50.152,27,25,37.0,20,21,5,2,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,0,19,0
5.0,25.552,416.25,27.739,36,36.214,39,40.371,26,23,36.5,13,16,3,6,11.562,44.4,36.1,1.006,1.121,0.771,0.71,16.7,21,0,21,0
5.0,31.279,395.49,32.603,46,46.618,48,51.495,30,28,41.0,18,21,5,3,8.598,45.7,39.1,1.013,1.119,0.709,0.68,6.5,18,0,20,0
5.0,27.016,348.37,27.108,42,43.414,44,48.077,27,25,34.5,17,16,3,4,8.295,38.1,40.5,1.034,1.145,0.645,0.643,9.5,11,0,13,0
5.0,23.471,317.76,23.841,34,35.022,35,38.515,23,22,32.0,12,14,3,5,9.346,41.2,35.3,1.03,1.133,0.701,0.69,14.7,12,0,14,0
5.0,26.502,386.46,27.011,36,37.505,39,40.66,29,26,41.0,10,14,5,8,10.735,38.9,27.8,1.042,1.129,0.75,0.736,22.2,20,0,22,0
5.0,32.815,365.52,35.063,54,53.563,57,60.896,30,27,38.5,27,22,4,3,6.769,40.7,50.0,0.992,1.128,0.649,0.608,5.6,15,0,16,0
5.0,27.268,315.41,28.597,41,40.811,45,45.983,28,24,38.5,17,19,4,5,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,21,0,21,0
5.0,34.971,414.5,36.239,53,53.342,57,59.358,35,31,47.0,22,24,7,4,7.821,45.3,41.5,1.006,1.12,0.684,0.66,7.5,22,0,23,0
5.0,37.928,460.53,38.909,58,58.88,61,65.192,37,34,49.0,24,25,6,4,7.94,43.1,41.4,1.015,1.124,0.671,0.654,6.9,18,0,21,0
5.0,20.487,363.19,22.404,32,32.651,33,36.707,19,18,24.0,14,10,4,5,11.35,31.3,43.8,1.02,1.147,0.7,0.64,15.6,10,0,10,0
5.0,21.786,283.29,21.705,31,32.0,33,35.286,23,21,32.5,10,14,2,5,9.138,45.2,32.3,1.032,1.138,0.7,0.703,16.1,17,0,18,0
5.0,20.819,290.31,21.034,28,29.167,30,31.466,22,20,31.0,8,14,2,2,10.368,50.0,28.6,1.042,1.124,0.751,0.744,7.1,16,0,17,0
5.0,24.783,348.2,25.449,34,35.025,36,37.878,25,23,34.0,11,16,5,3,10.241,47.1,32.4,1.03,1.114,0.748,0.729,8.8,12,0,15,0
5.0,15.316,218.27,15.682,21,21.687,23,23.91,17,15,24.5,6,8,0,6,10.394,38.1,28.6,1.033,1.139,0.747,0.729,28.6,15,0,15,0
5.0,35.801,419.56,37.591,57,57.061,60,64.98,34,31,45.0,26,23,7,7,7.361,40.4,45.6,1.001,1.14,0.659,0.628,12.3,22,0,22,0
5.0,19.666,234.28,20.307,28,28.058,31,31.239,21,18,31.0,10,14,1,4,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,20,0,20,0
5.0,30.174,439.36,32.046,42,42.342,45,46.455,30,27,42.0,15,20,3,4,10.461,47.6,35.7,1.008,1.106,0.763,0.718,9.5,22,0,23,1
5.0,30.235,347.45,31.779,47,46.912,49,52.651,28,26,38.0,21,21,6,3,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,18,0,19,0
5.0,32.202,388.53,34.216,48,47.88,51,53.444,31,28,43.0,20,22,3,4,8.094,45.8,41.7,0.997,1.113,0.713,0.671,8.3,22,0,23,0
5.0,24.993,281.39,26.563,40,39.702,42,45.026,23,21,31.0,19,17,3,3,7.035,42.5,47.5,0.993,1.126,0.664,0.625,7.5,16,0,16,0
5.0,24.079,333.3,23.341,34,35.909,36,39.381,26,24,35.5,10,15,2,5,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,0,18,0
5.0,31.485,410.42,31.387,46,47.592,50,52.579,34,30,46.5,16,20,4,6,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,0,25,0
5.3,33.96,416.48,34.728,51,51.778,54,57.524,34,31,47.0,20,22,5,6,8.166,43.1,39.2,1.015,1.128,0.681,0.666,11.8,22,0,24,0
5.0,25.445,288.37,26.796,38,37.716,40,42.112,24,22,34.0,16,19,4,2,7.589,50.0,42.1,0.993,1.108,0.705,0.67,5.3,18,0,19,0
5.0,40.201,500.63,41.898,60,60.622,64,67.275,40,36,54.5,24,26,7,6,8.344,43.3,40.0,1.01,1.121,0.698,0.67,10.0,27,0,28,0
5.0,30.531,360.46,31.819,47,47.123,50,53.106,30,27,41.5,20,20,6,6,7.669,42.6,42.6,1.003,1.13,0.677,0.65,12.8,21,0,22,0
5.7,45.835,515.27,50.961,78,76.487,80,87.789,37,35,45.0,43,30,12,2,6.606,38.5,55.1,0.981,1.126,0.653,0.588,2.6,16,0,16,0
5.0,18.171,338.12,19.659,24,24.571,26,26.754,19,17,26.0,7,11,0,4,14.088,45.8,29.2,1.024,1.115,0.819,0.757,16.7,12,0,13,0
5.0,30.583,380.44,31.239,46,46.821,50,52.576,32,28,42.5,18,20,3,6,8.27,43.5,39.1,1.018,1.143,0.679,0.665,13.0,21,0,21,0
5.0,28.377,381.44,28.995,43,44.458,46,49.044,29,26,35.0,17,17,2,3,8.871,39.5,39.5,1.034,1.141,0.674,0.66,7.0,6,0,9,0
5.0,20.457,275.33,21.102,29,29.756,31,32.625,21,19,29.5,10,13,2,3,9.494,44.8,34.5,1.026,1.125,0.728,0.705,10.3,15,0,16,0
5.0,23.262,300.77,24.142,34,34.476,36,38.223,23,21,32.0,13,15,3,4,8.846,44.1,38.2,1.014,1.124,0.71,0.684,11.8,16,0,17,0
5.0,25.536,319.82,26.875,40,40.353,42,45.179,24,22,30.5,18,16,3,3,7.995,40.0,45.0,1.009,1.129,0.672,0.638,7.5,11,0,12,0
5.0,35.606,415.55,37.347,56,55.992,60,63.434,35,31,46.5,25,23,4,7,7.421,41.1,44.6,1.0,1.133,0.667,0.636,12.5,21,0,22,0
5.0,34.772,460.54,35.529,53,54.578,55,60.409,34,32,46.0,21,20,8,6,8.689,37.7,39.6,1.03,1.14,0.67,0.656,11.3,18,0,21,0
5.0,34.351,424.5,35.216,53,53.916,56,60.615,34,31,45.0,22,22,6,6,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,0,22,0
5.5,26.083,331.43,27.358,40,40.549,43,44.95,26,23,34.5,17,16,4,3,8.286,40.0,42.5,1.014,1.124,0.684,0.652,7.5,11,0,14,0
5.0,28.676,344.4,29.5,42,42.363,45,46.903,29,26,41.0,16,20,3,4,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,22,0,23,0
5.0,28.961,340.41,30.046,42,42.036,46,46.694,30,26,42.0,16,21,3,4,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,0,23,0
5.0,32.828,406.45,33.415,49,49.971,52,55.283,33,30,45.0,19,22,4,4,8.295,44.9,38.8,1.02,1.128,0.682,0.67,8.2,22,0,23,0
5.0,26.826,362.34,26.313,39,40.902,41,44.922,28,26,37.5,13,17,3,4,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,0,18,0
5.0,25.805,347.32,25.307,37,38.8,39,42.424,27,25,36.0,12,17,5,3,9.387,45.9,32.4,1.049,1.147,0.684,0.697,8.1,12,0,15,0
5.0,22.224,378.19,24.182,31,31.338,33,34.584,22,20,30.5,11,14,1,4,12.2,45.2,35.5,1.011,1.116,0.78,0.717,12.9,11,0,13,0
5.0,31.827,354.49,33.875,49,48.36,52,54.73,30,27,42.0,22,23,5,4,7.234,46.9,44.9,0.987,1.117,0.691,0.65,8.2,22,0,23,0
5.0,35.321,449.55,36.614,52,52.822,55,58.492,35,32,48.0,20,23,5,5,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,0,24,0
5.9,27.804,387.24,28.455,38,39.127,41,42.376,29,26,40.0,12,18,5,4,10.191,47.4,31.6,1.03,1.115,0.749,0.732,10.5,16,0,19,0
5.2,38.277,455.63,40.745,58,57.749,61,64.773,36,33,50.0,25,26,3,5,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,24,0
5.0,29.509,345.44,30.813,45,45.022,48,50.607,29,26,40.5,19,20,4,5,7.676,44.4,42.2,1.0,1.125,0.685,0.656,11.1,21,0,22,0
5.0,39.826,466.59,41.557,61,61.101,64,68.561,38,35,53.0,26,27,6,6,7.649,44.3,42.6,1.002,1.124,0.681,0.653,9.8,22,0,25,0
5.0,38.277,455.63,40.745,58,57.749,61,64.773,36,33,50.0,25,26,4,5,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,24,0
5.0,24.222,317.33,24.165,36,37.28,38,41.456,25,23,34.0,13,15,4,5,8.815,41.7,36.1,1.036,1.152,0.671,0.673,13.9,16,0,17,0
5.0,27.261,400.31,25.671,38,41.112,40,44.732,30,28,39.5,10,17,2,4,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,0,18,0
5.0,32.906,418.52,34.159,48,48.643,51,53.82,33,30,46.0,18,21,4,6,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0
5.0,28.467,327.41,29.801,42,41.818,45,46.611,28,25,39.5,17,21,5,3,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,23,0,23,0
5.9,38.343,488.59,39.62,56,56.923,60,62.99,39,35,53.5,21,25,6,6,8.725,44.6,37.5,1.016,1.125,0.707,0.685,10.7,27,0,28,0
6.5,27.172,356.81,27.841,39,39.873,42,43.978,28,25,37.5,14,18,2,4,9.149,46.2,35.9,1.022,1.128,0.714,0.697,10.3,17,0,18,0
5.0,23.955,313.76,24.591,34,34.702,36,37.934,24,22,33.0,12,16,5,3,9.228,47.1,35.3,1.021,1.116,0.723,0.705,8.8,12,0,15,0
5.0,25.412,366.75,24.955,35,37.014,37,40.242,27,25,36.5,10,16,2,4,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,0,18,0
5.0,27.928,345.46,29.483,40,40.003,44,44.488,29,25,41.5,15,19,3,5,8.636,47.5,37.5,1.0,1.112,0.737,0.698,12.5,25,0,25,0
5.9,34.745,376.62,37.91,63,62.192,63,72.427,27,27,32.0,36,20,15,6,5.978,31.7,57.1,0.987,1.15,0.602,0.552,9.5,6,0,8,0
5.0,28.143,391.8,27.966,41,42.887,43,46.559,29,27,38.0,14,16,0,5,9.556,39.0,34.1,1.046,1.136,0.682,0.686,12.2,12,0,14,0
5.0,31.001,473.8,32.904,42,42.665,45,46.399,31,28,43.0,14,20,4,4,11.281,47.6,33.3,1.016,1.105,0.783,0.738,9.5,22,0,23,1
8.3,40.025,466.58,41.762,61,61.109,68,68.189,42,35,55.0,26,28,2,4,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,25,0
5.0,52.023,611.75,54.142,82,82.618,87,92.019,50,45,63.0,37,35,11,3,7.46,42.7,45.1,1.008,1.122,0.66,0.634,3.7,24,0,25,0
5.0,40.594,474.62,42.534,65,65.196,69,73.6,39,35,49.5,30,26,6,6,7.302,40.0,46.2,1.003,1.132,0.654,0.625,9.2,17,0,19,0
5.0,24.14,331.76,24.324,34,35.207,36,38.645,25,23,34.5,11,15,3,5,9.758,44.1,32.4,1.036,1.137,0.715,0.71,14.7,17,0,18,0
5.0,35.229,455.49,35.398,53,54.647,56,61.038,36,33,47.0,20,22,4,7,8.594,41.5,37.7,1.031,1.152,0.668,0.665,13.2,18,0,20,0
5.0,21.402,265.3,21.767,31,31.487,33,34.947,22,20,31.5,11,14,2,5,8.558,45.2,35.5,1.016,1.127,0.702,0.69,16.1,17,0,18,0
7.8,52.118,612.77,54.336,79,79.141,85,88.933,52,46,70.0,33,36,8,8,7.757,45.6,41.8,1.002,1.126,0.688,0.66,10.1,34,0,35,0
5.0,24.089,335.21,25.0,34,34.8,36,38.167,24,22,33.0,12,15,3,4,9.859,44.1,35.3,1.024,1.123,0.735,0.709,11.8,16,0,17,0
5.0,37.395,475.51,37.784,58,59.756,61,66.334,37,34,46.5,24,24,7,3,8.198,41.4,41.4,1.03,1.144,0.651,0.645,5.2,17,0,18,0
5.0,30.181,361.5,32.211,45,44.778,48,49.946,29,26,40.0,19,21,6,3,8.033,46.7,42.2,0.995,1.11,0.716,0.671,6.7,22,0,22,0
5.0,32.697,401.53,34.461,48,48.098,52,53.527,33,29,45.0,19,22,2,5,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,23,0
5.0,30.918,374.43,31.716,46,46.574,49,51.528,31,28,43.0,18,21,5,4,8.14,45.7,39.1,1.012,1.12,0.689,0.672,8.7,22,0,23,0
5.0,23.511,297.31,23.671,34,34.891,36,38.329,24,22,33.0,12,16,5,3,8.744,47.1,35.3,1.026,1.127,0.696,0.692,8.8,12,0,15,0
5.0,36.516,435.56,38.046,58,58.389,61,66.189,35,32,46.0,26,23,8,7,7.51,39.7,44.8,1.007,1.141,0.656,0.63,12.1,22,0,22,0
5.0,41.518,497.67,43.961,63,62.96,67,70.398,40,36,54.0,27,28,4,5,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,22,0,24,0
5.0,37.245,454.6,39.228,55,55.083,59,61.441,37,33,51.5,22,25,4,6,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,28,0
5.5,34.239,451.97,35.773,49,49.749,52,54.681,34,31,47.0,18,22,4,5,9.224,44.9,36.7,1.015,1.116,0.73,0.699,10.2,22,0,24,0
5.0,20.009,258.25,19.875,29,30.047,31,32.495,21,19,28.5,10,13,2,2,8.905,44.8,34.5,1.036,1.121,0.685,0.69,6.9,11,0,13,0
5.0,35.494,420.54,37.04,56,56.287,59,63.691,34,31,45.0,25,23,7,6,7.51,41.1,44.6,1.005,1.137,0.661,0.634,10.7,22,0,22,0
5.0,19.504,371.57,21.273,25,25.676,27,27.615,20,18,27.5,7,12,1,3,14.863,48.0,28.0,1.027,1.105,0.851,0.78,12.0,11,0,13,0
5.0,26.826,362.34,26.313,39,40.902,41,44.922,28,26,37.5,13,17,3,4,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,0,18,0
5.0,20.714,271.72,21.375,29,29.491,31,32.309,21,19,30.0,10,14,2,3,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,17,0
5.0,24.789,314.8,25.904,37,37.36,39,41.638,24,22,32.5,15,16,5,4,8.508,43.2,40.5,1.01,1.125,0.7,0.67,10.8,17,0,17,0
5.0,32.365,403.52,33.944,47,47.283,52,52.658,34,29,46.5,18,22,4,5,8.586,46.8,38.3,1.006,1.12,0.722,0.689,10.6,25,0,25,0
5.1,28.697,347.41,29.506,43,43.465,46,48.402,29,26,40.0,17,19,5,5,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,22,0,22,0
5.0,29.181,343.41,30.256,43,43.145,46,47.82,29,26,41.0,17,21,4,3,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,22,0,23,0
5.0,26.94,313.38,28.04,39,38.934,42,43.196,27,24,39.0,15,20,3,3,8.035,51.3,38.5,0.998,1.108,0.719,0.691,7.7,22,0,23,0
5.2,34.142,432.37,36.222,52,52.334,54,57.997,31,29,41.0,23,23,7,1,8.315,44.2,44.2,1.006,1.115,0.697,0.657,1.9,16,0,18,0
5.0,19.374,277.75,20.261,26,26.684,28,28.814,20,18,28.0,8,12,2,3,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,16,0,16,0
5.0,24.374,347.74,23.989,34,35.793,35,38.519,25,24,35.0,10,14,4,5,10.228,41.2,29.4,1.053,1.133,0.706,0.717,14.7,12,0,15,0
5.0,41.33,483.69,44.267,64,63.516,67,71.603,38,35,52.0,29,28,5,5,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,22,0,24,0
5.0,37.503,474.54,38.131,59,60.523,63,67.995,38,34,46.0,25,23,6,6,8.043,39.0,42.4,1.026,1.152,0.646,0.636,10.2,12,0,14,0
5.0,31.444,376.45,32.478,48,48.458,51,53.943,31,28,42.5,20,21,5,4,7.843,43.8,41.7,1.01,1.124,0.677,0.655,8.3,21,0,22,0
5.5,30.068,336.48,32.091,49,48.571,51,55.355,27,25,35.5,24,20,7,4,6.867,40.8,49.0,0.991,1.13,0.655,0.614,8.2,17,0,17,0
5.0,25.363,348.83,26.449,36,36.887,38,39.98,25,23,34.0,13,16,4,2,9.69,44.4,36.1,1.025,1.111,0.735,0.705,5.6,16,0,17,0
5.0,26.181,307.38,27.256,40,40.145,42,44.82,25,23,34.0,17,18,3,3,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,12,0,15,0
5.0,26.412,317.44,28.233,38,37.683,41,41.906,26,23,37.0,15,19,4,3,8.354,50.0,39.5,0.992,1.103,0.743,0.695,7.9,22,0,22,0
5.6,32.891,375.53,34.893,53,52.665,56,60.225,31,28,40.5,25,21,5,7,7.085,39.6,47.2,0.994,1.136,0.658,0.621,13.2,17,0,18,0
