pXC50,MW,Si,nAT,nSK,nBT,Sv,nC,nBO,nH,Sp,Se,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nCsp3,nDB,nF
7.1,375.48,55.604,49,28,52,31.552,20,31,21,32.824,49.225,42.5,7.663,40.8,42.9,1.005,1.135,0.67,0.644,14.3,21,0,22,0,0,0,16,4,1,0
9.2,348.21,38.25,34,23,36,24.584,15,25,11,25.244,35.018,34.5,10.241,44.1,32.4,1.03,1.125,0.742,0.723,14.7,17,0,18,0,2,0,15,0,1,0
4.9,184.26,29.073,26,14,28,16.677,12,16,12,17.818,25.622,21.5,7.087,46.2,46.2,0.985,1.118,0.685,0.641,7.7,11,0,11,0,0,0,9,3,0,0
7.9,370.93,55.671,49,26,52,30.697,19,29,23,32.745,48.887,37.0,7.57,38.8,46.9,0.998,1.136,0.668,0.626,12.2,16,0,16,0,1,0,11,8,0,0
4.5,154.22,18.328,16,10,17,10.8,5,11,6,11.432,16.367,15.5,9.639,31.3,37.5,1.023,1.146,0.714,0.675,25.0,9,0,9,0,0,0,4,1,0,0
7.1,376.5,58.564,52,28,55,32.783,22,31,24,34.546,51.898,41.0,7.24,42.3,46.2,0.998,1.126,0.664,0.63,7.7,16,0,18,0,0,0,16,6,2,0
5.4,323.79,40.768,37,23,40,25.966,19,26,14,27.102,37.265,35.5,8.751,51.4,37.8,1.007,1.102,0.732,0.702,2.7,17,0,18,0,1,0,16,3,1,0
5.3,427.57,57.943,52,31,55,35.223,24,34,21,37.222,51.982,48.0,8.222,46.2,40.4,1.0,1.114,0.716,0.677,9.6,22,0,24,0,0,2,20,2,1,0
5.8,293.35,41.405,37,22,39,24.655,17,24,15,25.495,37.262,33.0,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,0,15,0,0,0,15,2,3,0
7.2,369.38,47.002,41,27,44,28.418,19,30,14,28.409,42.349,41.0,9.009,46.3,34.1,1.033,1.146,0.693,0.693,12.2,22,0,22,0,0,0,17,2,0,3
6.4,267.36,41.611,37,20,39,23.467,16,22,17,24.801,36.818,29.0,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,12,0,13,0,0,0,12,4,1,0
5.6,322.41,47.69,42,24,45,27.004,17,27,18,28.057,42.24,37.0,7.676,40.5,42.9,1.006,1.135,0.668,0.643,14.3,14,0,16,0,0,1,9,7,1,0
5.3,477.59,63.986,57,34,60,37.894,24,37,23,39.347,57.847,51.0,8.379,42.1,40.4,1.015,1.123,0.69,0.665,8.8,18,0,23,0,0,0,21,3,5,0
7.9,256.34,39.694,35,19,37,21.961,14,21,16,23.046,35.036,28.5,7.324,40.0,45.7,1.001,1.134,0.658,0.627,11.4,15,0,15,0,0,0,10,4,0,0
6.1,442.56,66.189,59,33,63,38.025,26,37,26,39.762,59.109,49.0,7.501,44.1,44.1,1.002,1.122,0.674,0.644,6.8,22,0,23,0,0,0,20,6,1,0
6.3,444.52,54.578,49,32,53,34.773,24,36,17,35.847,49.836,50.5,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,0,28,0,0,0,24,0,1,1
5.0,325.42,49.781,44,24,47,27.904,19,27,20,29.262,44.098,34.5,7.396,43.2,45.5,1.002,1.131,0.665,0.634,6.8,11,0,13,0,0,0,12,7,2,1
5.5,411.94,51.099,46,28,48,31.723,21,30,18,33.523,46.429,41.0,8.955,45.7,39.1,1.009,1.111,0.729,0.69,6.5,18,0,20,0,1,0,20,1,2,0
4.2,168.6,18.352,16,11,17,11.44,6,12,5,11.642,16.615,17.0,10.538,37.5,31.3,1.038,1.147,0.728,0.715,25.0,10,0,10,0,1,0,6,0,0,0
6.3,323.41,40.282,36,23,40,25.116,16,27,13,26.176,36.447,36.0,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,17,0,0,0,12,4,1,0
7.9,350.3,40.637,35,25,37,24.968,16,27,10,24.034,37.203,36.5,10.009,45.7,28.6,1.063,1.161,0.687,0.713,11.4,17,0,18,0,0,0,15,1,1,4
6.6,589.78,82.809,74,43,79,49.088,33,48,31,51.733,74.047,65.5,7.97,44.6,41.9,1.001,1.119,0.699,0.663,9.5,33,0,34,0,0,0,28,5,1,0
6.3,367.88,43.06,39,25,42,27.954,19,28,14,29.546,39.334,39.5,9.433,48.7,35.9,1.009,1.104,0.758,0.717,7.7,21,0,22,0,1,0,18,1,1,0
5.0,454.6,61.441,55,33,59,37.245,25,37,22,39.228,55.083,51.5,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,28,0,0,0,23,2,1,0
6.1,214.22,26.163,23,16,25,16.523,11,18,7,16.483,23.687,26.0,9.314,47.8,30.4,1.03,1.138,0.717,0.718,17.4,16,0,16,0,0,0,11,0,0,1
8.699,209.27,30.156,27,16,29,18.171,13,18,11,19.063,26.84,26.0,7.751,48.1,40.7,0.994,1.117,0.706,0.673,11.1,16,0,16,0,0,0,12,1,0,0
5.6,301.28,35.626,31,22,33,22.169,14,24,9,21.642,32.513,33.5,9.719,45.2,29.0,1.049,1.149,0.698,0.715,16.1,17,0,18,0,0,0,14,0,1,2
6.8,366.75,40.242,35,25,37,25.412,16,27,10,24.955,37.014,36.5,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,0,18,0,1,0,15,1,1,3
6.4,361.46,45.697,41,26,44,28.643,19,29,15,29.938,41.331,41.0,8.816,46.3,36.6,1.008,1.115,0.73,0.699,12.2,22,0,23,0,0,0,19,0,1,0
5.5,220.28,25.953,23,15,25,16.041,9,17,8,16.648,23.578,23.5,9.577,39.1,34.8,1.025,1.128,0.724,0.697,17.4,9,0,11,0,0,0,7,2,2,0
7.0,497.67,70.398,63,36,67,41.518,28,40,27,43.961,62.96,56.0,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,28,0,30,0,0,0,24,4,2,0
5.0,522.73,86.843,76,38,80,45.218,27,42,38,47.83,76.05,50.0,6.878,35.5,50.0,1.001,1.143,0.629,0.595,10.5,12,0,14,0,0,0,12,15,2,0
6.1,254.32,37.279,33,19,35,21.434,14,21,14,22.284,33.153,29.5,7.707,42.4,42.4,1.005,1.13,0.675,0.65,12.1,15,0,16,0,0,0,11,3,1,0
4.2,217.64,18.821,17,13,18,13.234,7,14,4,13.398,18.251,20.0,12.802,41.2,23.5,1.074,1.107,0.788,0.778,5.9,6,0,9,0,1,0,7,0,3,0
5.8,353.23,38.539,35,22,37,24.944,18,24,13,26.387,35.062,34.5,10.092,51.4,37.1,1.002,1.101,0.754,0.713,5.7,17,0,19,1,0,0,18,0,2,0
5.2,529.65,69.903,62,38,66,41.891,27,42,24,43.387,62.909,57.5,8.543,43.5,38.7,1.015,1.127,0.7,0.676,11.3,27,0,29,0,0,0,24,3,2,1
7.0,451.61,72.02,63,33,67,38.569,24,37,30,40.569,63.156,45.0,7.168,38.1,47.6,1.002,1.143,0.644,0.612,11.1,12,0,14,0,0,0,13,11,2,1
7.8,285.37,40.986,37,22,39,25.225,19,24,15,26.586,36.607,35.0,7.713,51.4,40.5,0.989,1.108,0.719,0.682,8.1,18,0,19,0,0,1,17,1,0,0
7.6,449.01,64.667,57,32,61,36.74,23,36,25,38.756,57.091,47.0,7.877,40.4,43.9,1.002,1.135,0.68,0.645,14.0,22,0,22,0,1,0,17,6,0,0
5.0,408.53,62.691,55,30,58,34.494,22,33,25,36.04,55.287,43.5,7.428,40.0,45.5,1.005,1.14,0.655,0.627,10.9,21,0,21,0,0,0,15,7,0,1
6.3,169.59,17.436,15,11,16,10.935,5,12,4,10.886,15.833,17.0,11.306,33.3,26.7,1.056,1.162,0.726,0.729,33.3,10,0,10,0,1,0,5,0,0,0
5.6,269.31,29.036,26,19,29,19.536,12,22,7,19.892,26.796,31.0,10.358,46.2,26.9,1.031,1.117,0.765,0.751,19.2,16,0,17,0,0,0,12,0,1,0
5.6,521.74,87.76,77,38,81,45.723,28,42,39,48.586,76.832,50.0,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,12,0,14,0,0,0,12,16,2,0
6.0,223.29,33.199,30,17,32,19.897,15,19,13,21.029,29.731,26.0,7.443,50.0,43.3,0.991,1.107,0.701,0.663,3.3,12,0,13,0,0,0,13,2,1,0
6.7,415.56,56.943,51,30,55,34.223,23,34,21,36.222,50.982,46.0,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,0,23,0,0,0,19,4,1,0
7.7,267.37,41.983,37,20,39,23.268,15,22,17,24.597,36.811,30.0,7.226,40.5,45.9,0.995,1.135,0.665,0.629,13.5,16,0,16,0,0,0,11,4,0,0
4.7,153.23,19.245,17,10,18,11.305,6,11,7,12.188,17.149,15.5,9.014,35.3,41.2,1.009,1.132,0.717,0.665,17.6,9,0,9,0,0,0,5,1,0,0
5.4,203.22,27.159,24,15,26,16.074,10,17,9,16.21,24.611,22.0,8.468,41.7,37.5,1.025,1.132,0.675,0.67,12.5,6,0,8,0,0,0,8,2,2,0
5.1,380.53,46.534,42,26,45,29.335,19,29,16,31.341,42.189,41.0,9.06,45.2,38.1,1.004,1.108,0.746,0.698,9.5,20,0,22,0,0,0,17,2,2,0
5.7,354.82,44.847,40,25,42,27.504,18,27,15,28.358,40.687,37.0,8.87,45.0,37.5,1.017,1.121,0.709,0.688,10.0,12,0,16,0,1,0,17,1,4,0
5.9,262.28,33.076,30,20,33,21.58,16,23,10,21.966,30.393,33.5,8.743,53.3,33.3,1.013,1.103,0.732,0.719,6.7,21,0,21,0,0,0,16,0,0,0
6.4,535.71,82.305,73,40,78,46.428,31,45,33,48.847,72.854,59.5,7.338,42.5,45.2,0.998,1.127,0.669,0.636,9.6,27,0,28,0,0,0,22,9,1,0
5.0,467.67,76.514,68,35,73,42.197,29,40,33,45.143,67.207,51.0,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,0,22,0,0,0,18,11,0,0
7.1,357.32,41.381,36,26,38,26.079,17,28,10,25.341,37.909,39.5,9.926,47.2,27.8,1.053,1.149,0.704,0.724,13.9,17,0,19,0,0,1,15,1,1,3
5.1,268.37,34.574,31,19,33,21.38,14,21,12,22.716,31.018,29.5,8.657,45.2,38.7,1.001,1.115,0.733,0.69,12.9,17,0,17,0,0,0,13,1,0,0
8.2,330.86,47.84,42,23,44,26.644,16,25,19,28.222,42.12,33.0,7.878,38.1,45.2,1.003,1.139,0.672,0.634,14.3,16,0,16,0,1,0,11,5,0,0
5.9,359.41,49.03,44,27,47,29.896,21,30,17,30.71,44.473,41.5,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,23,0,23,0,0,0,21,0,0,0
5.7,346.46,53.567,48,26,50,30.74,22,28,22,32.534,47.694,38.0,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,0,19,0,0,0,18,4,1,0
5.0,379.4,48.872,43,28,47,29.749,20,32,15,29.926,44.163,44.5,8.823,46.5,34.9,1.027,1.137,0.696,0.692,11.6,25,0,25,0,0,0,17,3,0,2
8.6,370.93,55.671,49,26,52,30.697,19,29,23,32.745,48.887,37.0,7.57,38.8,46.9,0.998,1.136,0.668,0.626,12.2,16,0,16,0,1,0,11,8,0,0
4.9,210.26,29.239,26,16,28,17.666,12,18,10,18.307,26.058,26.0,8.087,46.2,38.5,1.002,1.125,0.704,0.679,15.4,16,0,16,0,0,0,12,0,0,0
5.4,410.41,52.207,46,30,49,31.684,21,33,16,31.591,47.6,45.0,8.922,45.7,34.8,1.035,1.135,0.687,0.689,8.7,22,0,23,0,0,0,20,1,1,2
6.7,457.63,73.308,65,34,68,40.385,27,37,31,42.836,64.65,49.0,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,16,0,19,0,0,1,15,11,2,0
6.7,364.42,50.03,44,27,47,29.387,19,30,17,29.995,44.752,41.0,8.282,43.2,38.6,1.017,1.137,0.682,0.668,13.6,22,0,22,0,0,0,16,3,0,1
8.3,351.44,48.983,44,27,48,30.268,22,31,17,31.597,43.811,44.5,7.987,50.0,38.6,0.996,1.113,0.718,0.688,11.4,27,0,27,0,0,0,21,1,0,0
5.7,630.84,89.723,80,46,86,52.636,35,52,34,55.5,80.032,69.5,7.885,43.8,42.5,1.0,1.122,0.694,0.658,10.0,33,0,34,0,0,0,28,7,1,0
6.3,344.4,46.903,42,26,46,28.676,20,30,16,29.5,42.363,41.0,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,16,0,19,0,0,0,17,3,3,0
6.3,497.58,65.405,58,35,61,38.324,23,38,23,39.256,59.502,52.0,8.579,39.7,39.7,1.026,1.128,0.677,0.661,8.6,16,0,22,0,0,0,18,5,6,0
6.2,379.51,60.062,53,28,55,32.805,21,30,25,34.552,53.0,39.0,7.161,39.6,47.2,1.0,1.133,0.652,0.619,9.4,12,0,15,0,0,0,14,7,3,0
5.0,320.46,31.165,28,20,32,21.217,11,24,8,22.739,28.724,33.0,11.445,39.3,28.6,1.026,1.113,0.812,0.758,21.4,18,0,18,0,0,0,8,3,0,0
6.1,374.49,56.521,50,28,53,32.058,21,31,22,33.58,50.007,42.5,7.49,42.0,44.0,1.0,1.13,0.672,0.641,12.0,21,0,22,0,0,0,16,5,1,0
5.6,334.41,48.318,43,25,46,28.203,19,28,18,29.262,43.247,38.0,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,16,0,17,0,0,1,13,5,0,0
5.0,426.92,56.805,50,30,53,33.268,21,33,20,34.375,50.843,44.0,8.538,42.0,40.0,1.017,1.136,0.688,0.665,12.0,22,0,22,0,1,0,16,5,0,1
6.2,350.42,50.492,45,26,47,29.597,21,28,19,30.711,45.323,38.0,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,0,19,0,0,0,18,3,1,1
7.5,283.37,43.192,38,21,41,23.983,15,24,17,25.051,38.138,31.5,7.457,39.5,44.7,1.004,1.137,0.659,0.631,13.2,15,0,15,0,0,0,9,6,0,0
5.0,303.41,49.232,43,22,45,25.751,15,24,21,27.029,43.232,30.0,7.056,34.9,48.8,1.005,1.145,0.629,0.599,11.6,10,0,11,0,0,0,7,8,1,0
5.6,346.39,46.034,41,26,44,28.345,20,29,15,28.983,41.549,41.0,8.449,48.8,36.6,1.013,1.123,0.707,0.691,9.8,22,0,23,0,0,0,20,0,1,1
5.9,346.46,47.82,42,24,44,26.906,15,26,18,28.159,42.643,36.0,8.249,35.7,42.9,1.015,1.139,0.67,0.641,14.3,16,0,18,0,0,0,12,3,2,0
6.0,410.43,53.543,47,30,50,32.165,22,33,17,32.381,48.341,45.0,8.733,46.8,36.2,1.029,1.139,0.689,0.684,8.5,22,0,23,0,0,0,20,2,1,3
7.1,290.4,44.9,40,22,43,25.773,18,25,18,27.353,39.592,35.0,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,20,0,20,0,0,0,14,4,0,0
5.0,525.69,72.979,65,38,69,43.034,28,42,27,45.211,65.28,57.5,8.088,43.1,41.5,1.004,1.123,0.696,0.662,10.8,27,0,29,0,0,0,24,4,2,0
5.1,286.74,34.807,31,20,33,21.735,14,22,11,22.381,31.593,30.5,9.25,45.2,35.5,1.019,1.123,0.722,0.701,12.9,11,0,13,0,1,1,11,2,1,0
5.0,432.55,57.235,51,31,54,34.433,22,34,20,35.921,51.527,47.0,8.481,43.1,39.2,1.01,1.122,0.704,0.675,11.8,22,0,24,0,0,0,20,2,2,0
6.1,346.46,53.567,48,26,50,30.74,22,28,22,32.534,47.694,38.0,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,0,19,0,0,0,18,4,1,0
5.0,263.32,36.78,33,20,35,22.413,16,22,13,23.279,33.051,31.5,7.979,48.5,39.4,1.002,1.115,0.705,0.679,9.1,17,0,18,0,0,0,16,0,1,0
5.6,458.56,58.365,52,33,56,36.101,24,37,19,37.404,52.712,51.5,8.818,46.2,36.5,1.014,1.122,0.719,0.694,11.5,27,0,28,0,0,0,23,1,1,1
5.9,226.25,30.076,27,17,29,18.58,13,19,10,18.966,27.393,27.0,8.38,48.1,37.0,1.015,1.114,0.702,0.688,7.4,16,0,16,0,0,0,13,0,0,0
6.1,471.31,49.584,45,27,48,31.224,22,30,18,33.881,45.105,41.5,10.474,48.9,40.0,1.002,1.102,0.753,0.694,2.2,21,0,22,0,0,0,19,3,1,0
6.4,339.39,47.611,42,25,45,27.412,17,28,17,27.96,42.793,37.5,8.081,40.5,40.5,1.019,1.134,0.666,0.653,11.9,15,0,17,0,0,0,12,5,2,0
7.5,326.4,41.036,37,23,39,25.535,17,25,14,26.591,37.564,34.0,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,0,15,0,0,0,16,1,3,0
6.0,345.22,38.12,34,21,36,23.46,15,23,13,24.637,34.382,32.0,10.154,44.1,38.2,1.011,1.121,0.725,0.69,11.8,16,0,17,1,0,0,14,1,1,0
5.0,234.29,35.488,31,17,31,19.149,11,17,14,19.739,31.48,23.0,7.558,35.5,45.2,1.015,1.145,0.637,0.618,12.9,6,0,8,0,0,1,6,4,1,0
5.0,323.41,40.282,36,23,40,25.116,16,27,13,26.176,36.447,36.0,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,0,17,0,0,0,12,4,1,0
4.3,224.28,32.282,29,17,31,19.392,14,19,12,20.273,28.949,26.0,7.734,48.3,41.4,0.998,1.113,0.699,0.669,6.9,12,0,13,0,0,0,13,1,1,0
5.8,310.39,46.318,41,23,43,26.203,17,25,18,27.262,41.247,34.5,7.57,41.5,43.9,1.006,1.13,0.665,0.639,9.8,15,0,17,0,0,0,12,5,2,0
5.3,336.38,46.113,41,25,43,27.391,18,27,16,27.955,41.691,37.0,8.204,43.9,39.0,1.017,1.125,0.682,0.668,9.8,18,0,19,0,0,0,17,1,1,0
5.0,439.47,59.085,52,32,55,34.912,24,35,20,35.353,53.334,46.0,8.451,46.2,38.5,1.026,1.136,0.68,0.671,5.8,18,0,20,0,0,0,20,4,2,3
7.6,590.56,73.655,65,37,68,42.016,24,40,28,44.233,66.047,52.0,9.086,36.9,43.1,1.016,1.133,0.681,0.646,10.8,18,0,21,1,0,0,17,7,3,0
5.0,345.43,50.235,45,26,47,29.708,21,28,19,31.017,45.029,39.0,7.676,46.7,42.2,1.001,1.116,0.689,0.66,6.7,18,0,20,0,0,0,20,1,2,0
5.0,438.48,59.41,52,32,55,34.539,22,35,20,34.909,53.36,47.0,8.432,42.3,38.5,1.026,1.142,0.671,0.664,11.5,22,0,23,0,0,0,17,5,1,2
8.3,407.97,55.511,49,27,51,31.292,18,29,22,33.296,49.516,39.0,8.326,36.7,44.9,1.011,1.133,0.68,0.639,10.2,16,0,18,0,1,0,12,6,2,0
5.0,378.45,53.445,47,28,51,30.914,20,32,19,31.756,47.636,42.5,8.052,42.6,40.4,1.014,1.137,0.676,0.658,12.8,21,0,21,0,0,0,15,5,0,1
5.1,428.55,63.517,56,32,60,36.1,23,36,24,37.591,56.211,48.0,7.653,41.1,42.9,1.004,1.134,0.671,0.645,14.3,22,0,23,0,0,0,18,5,1,0
7.7,264.33,33.621,30,18,31,20.008,12,19,12,20.83,30.68,25.0,8.811,40.0,40.0,1.023,1.121,0.694,0.667,6.7,6,0,9,0,0,0,10,2,3,0
5.0,425.58,66.268,59,32,62,37.617,26,35,27,39.858,58.556,47.0,7.213,44.1,45.8,0.992,1.123,0.676,0.638,8.5,18,0,21,0,0,0,21,5,3,0
7.4,227.26,30.495,27,17,29,18.555,13,19,10,19.0,27.353,27.0,8.417,48.1,37.0,1.013,1.129,0.704,0.687,11.1,16,0,16,0,0,0,13,0,0,1
6.1,178.23,19.956,18,12,19,12.998,8,13,6,13.636,18.375,19.0,9.902,44.4,33.3,1.021,1.109,0.758,0.722,11.1,10,0,11,0,0,0,8,0,1,0
7.0,378.48,57.322,51,28,53,32.651,23,30,23,34.233,51.091,40.0,7.421,45.1,45.1,1.002,1.124,0.671,0.64,3.9,18,0,19,0,0,0,18,5,1,1
5.4,387.45,52.947,47,29,50,31.893,22,32,18,32.75,47.534,44.5,8.244,46.8,38.3,1.011,1.127,0.697,0.679,10.6,23,0,24,0,0,0,21,1,1,1
4.4,196.2,18.96,17,13,18,12.901,7,14,4,12.784,18.146,19.0,11.541,41.2,23.5,1.067,1.115,0.752,0.759,11.8,0,0,5,0,0,0,7,0,5,0
5.4,282.38,38.954,34,19,35,21.532,12,20,15,22.631,34.625,26.5,8.305,35.3,44.1,1.018,1.146,0.666,0.633,11.8,11,0,12,0,0,0,8,4,1,1
4.7,203.21,26.787,24,15,25,16.273,11,16,9,16.415,24.618,22.0,8.467,45.8,37.5,1.026,1.116,0.684,0.678,4.2,6,0,9,0,0,0,10,1,3,0
6.9,402.82,46.899,41,28,44,29.071,18,31,13,29.029,42.705,42.0,9.825,43.9,31.7,1.042,1.144,0.708,0.709,14.6,22,0,22,0,1,0,17,1,0,2
8.5,297.4,46.607,41,22,43,25.509,16,24,19,26.813,41.022,31.0,7.254,39.0,46.3,1.001,1.137,0.654,0.622,12.2,12,0,13,0,0,0,11,5,1,0
5.7,417.43,55.251,48,30,51,31.901,20,33,18,31.841,49.771,42.5,8.696,41.7,37.5,1.037,1.151,0.663,0.665,10.4,17,0,18,0,0,0,15,5,1,3
5.7,462.59,67.979,61,35,65,40.31,29,39,26,42.307,60.781,54.0,7.583,47.5,42.6,0.996,1.114,0.694,0.661,6.6,28,0,29,0,0,0,26,3,1,0
5.0,327.41,46.611,42,25,45,28.467,21,28,17,29.801,41.818,40.0,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,22,0,23,0,0,0,20,1,1,0
5.9,259.31,30.079,27,18,30,19.261,12,21,9,19.858,27.687,28.5,9.604,44.4,33.3,1.025,1.114,0.735,0.713,11.1,15,0,15,0,0,0,10,2,0,0
8.1,366.46,51.481,46,28,50,31.289,22,32,18,32.603,45.912,45.5,7.967,47.8,39.1,0.998,1.119,0.709,0.68,13.0,27,0,27,0,0,0,21,1,0,0
5.0,296.45,51.773,46,22,48,27.552,19,24,24,29.841,45.251,30.0,6.445,41.3,52.2,0.984,1.126,0.649,0.599,4.3,12,0,12,0,0,0,11,8,0,0
5.6,536.61,67.954,60,38,64,40.968,26,42,22,41.773,61.647,56.5,8.943,43.3,36.7,1.027,1.133,0.696,0.683,10.0,27,0,28,0,0,0,23,3,1,2
6.4,386.52,55.278,49,27,51,31.158,19,29,22,32.887,49.418,40.0,7.888,38.8,44.9,1.009,1.128,0.671,0.636,8.2,16,0,19,0,0,0,14,5,3,0
6.6,255.35,40.611,36,19,37,22.467,15,20,17,23.801,35.818,27.0,7.093,41.7,47.2,0.995,1.128,0.661,0.624,8.3,12,0,13,0,0,0,12,3,1,0
5.8,366.52,60.351,53,27,55,32.111,20,29,26,34.103,52.774,38.0,6.915,37.7,49.1,0.996,1.139,0.643,0.606,11.3,16,0,17,0,0,0,13,7,1,0
8.3,287.78,38.512,34,20,36,22.569,14,22,14,23.693,34.251,30.0,8.464,41.2,41.2,1.007,1.133,0.697,0.664,14.7,16,0,16,0,1,0,12,2,0,0
7.1,322.34,42.325,38,24,41,26.063,18,27,14,26.398,38.814,37.0,8.483,47.4,36.8,1.021,1.114,0.695,0.686,5.3,16,0,18,0,0,0,16,2,2,0
6.7,175.21,24.95,22,13,23,14.359,9,14,9,14.756,22.284,20.0,7.964,40.9,40.9,1.013,1.134,0.671,0.653,13.6,10,0,11,0,0,0,8,1,1,0
5.6,364.49,57.564,51,27,54,31.783,21,30,24,33.546,50.898,38.0,7.147,41.2,47.1,0.998,1.129,0.658,0.623,7.8,6,0,11,0,0,0,14,7,5,0
6.8,271.72,32.309,29,19,31,20.714,14,21,10,21.375,29.491,30.0,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,17,0,1,0,14,0,1,0
6.4,212.27,31.282,28,16,29,18.392,13,17,12,19.273,27.949,24.0,7.581,46.4,42.9,0.998,1.117,0.688,0.657,7.1,12,0,13,0,0,0,12,1,1,0
5.3,418.52,53.82,48,30,51,32.906,21,33,18,34.159,48.643,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0,0,0,20,1,2,0
5.4,238.27,31.448,28,18,30,19.381,13,20,10,19.762,28.385,29.0,8.51,46.4,35.7,1.014,1.123,0.706,0.692,14.3,16,0,17,0,0,0,13,0,1,0
5.3,591.79,91.716,81,44,87,50.997,33,50,37,53.62,80.941,65.0,7.306,40.7,45.7,0.999,1.132,0.662,0.63,11.1,26,0,28,0,0,0,21,12,2,0
5.0,358.47,54.567,49,27,52,31.74,23,30,22,33.534,48.694,40.5,7.316,46.9,44.9,0.994,1.114,0.684,0.648,4.1,17,0,19,0,0,0,18,5,2,0
5.0,283.25,33.206,30,21,32,21.703,15,23,9,21.324,31.273,32.0,9.442,50.0,30.0,1.042,1.107,0.711,0.723,3.3,12,0,15,0,0,0,15,0,3,0
5.0,410.42,52.579,46,30,50,31.485,20,34,16,31.387,47.592,46.5,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,0,25,0,0,0,16,4,0,2
5.8,151.21,16.83,15,10,16,10.778,6,11,5,11.426,15.265,16.0,10.081,40.0,33.3,1.018,1.122,0.762,0.719,20.0,10,0,10,0,0,0,6,0,0,0
5.4,310.4,39.827,36,22,38,24.82,17,24,14,26.137,36.236,33.0,8.622,47.2,38.9,1.007,1.106,0.726,0.689,5.6,12,0,15,0,0,0,16,1,3,0
7.2,230.67,25.768,23,16,25,16.967,11,18,7,17.404,23.498,26.0,10.029,47.8,30.4,1.022,1.12,0.757,0.738,17.4,16,0,16,0,1,0,11,0,0,0
6.2,328.27,36.329,32,18,33,20.953,11,19,14,22.836,32.233,24.5,10.258,34.4,43.8,1.007,1.135,0.714,0.655,15.6,11,0,11,1,0,0,7,4,0,0
6.5,373.47,50.574,45,26,47,29.325,18,28,19,30.574,45.76,39.0,8.299,40.0,42.2,1.017,1.124,0.679,0.652,6.7,16,0,19,0,0,0,14,4,3,0
7.6,267.35,28.627,26,17,27,18.647,11,18,9,19.71,26.771,24.0,10.283,42.3,34.6,1.03,1.101,0.758,0.717,3.8,6,0,9,0,0,0,10,1,3,0
5.6,579.76,89.972,80,43,84,50.395,34,47,37,53.029,79.956,61.0,7.247,42.5,46.3,0.999,1.125,0.663,0.63,6.3,18,0,23,0,0,0,24,10,5,0
7.1,303.18,28.884,26,18,27,19.422,11,19,8,20.33,27.116,26.0,11.661,42.3,30.8,1.043,1.111,0.782,0.747,7.7,10,0,12,0,2,0,10,1,2,0
5.4,390.51,51.61,46,28,49,31.191,20,31,18,32.705,46.316,43.0,8.489,43.5,39.1,1.007,1.122,0.711,0.678,13.0,22,0,23,0,0,0,19,1,1,0
5.1,481.67,69.188,62,35,66,40.804,28,39,27,43.506,61.632,53.0,7.769,45.2,43.5,0.994,1.116,0.702,0.658,8.1,22,0,24,0,0,2,20,6,1,0
5.0,497.03,67.923,61,36,65,41.137,29,40,25,43.165,61.105,55.0,8.148,47.5,41.0,1.002,1.113,0.708,0.674,6.6,28,0,29,0,1,0,26,3,1,0
7.7,272.24,31.661,28,20,30,19.998,12,22,8,19.364,29.484,32.5,9.723,42.9,28.6,1.053,1.131,0.692,0.714,14.3,15,0,18,0,0,0,12,0,3,0
5.6,393.49,58.857,52,29,55,32.993,21,32,23,34.245,52.443,42.0,7.567,40.4,44.2,1.009,1.132,0.659,0.634,9.6,16,0,18,0,0,0,15,6,2,0
5.3,196.25,23.581,21,13,22,14.24,8,14,8,14.852,21.585,18.5,9.345,38.1,38.1,1.028,1.123,0.707,0.678,9.5,5,0,7,0,0,0,6,2,2,0
