pXC50,Sp,Sv,nBT,Si,nAT,nBO,nSK,SCBO,nH,nC,MW,Se,nCsp2,nN,nCsp3,RBN,nDB,nBM,Mv,H.,nAB,nHet,nHM,Me,O.,AMW,N.,Mp
4.824,25.523,24.908,38,38.863,35,26,23,37.5,12,18,300.34,35.269,18,4,0,2,0,23,0.712,34.3,23,5,0,1.008,2.9,8.581,11.4,0.729
5.523,28.228,26.958,38,38.547,35,28,25,39.5,10,18,458.12,35.727,18,4,0,2,0,23,0.77,28.6,23,7,2,1.021,2.9,13.089,11.4,0.807
4.301,17.761,17.67,26,28.0,25,18,17,24.5,8,10,252.27,26.24,9,2,1,3,1,12,0.707,32.0,11,7,1,1.05,16.0,10.091,8.0,0.71
7.274,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,15,4,5,4,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
4.0,29.046,27.961,44,45.694,41,28,25,39.5,16,20,328.4,41.036,18,4,2,2,0,23,0.682,39.0,23,5,0,1.001,2.4,8.01,9.8,0.708
4.796,29.597,28.268,45,46.983,42,28,25,39.5,17,20,327.42,41.811,18,5,2,4,0,23,0.673,40.5,23,5,0,0.995,0.0,7.796,11.9,0.705
5.357,36.949,35.185,55,57.85,52,34,31,44.5,21,23,456.98,52.749,17,2,6,6,2,19,0.677,40.4,17,8,2,1.014,7.7,8.788,3.8,0.711
4.0,37.12,35.321,56,57.813,52,35,31,49.5,21,26,403.52,51.578,24,5,2,5,0,29,0.679,40.4,29,5,0,0.992,0.0,7.76,9.6,0.714
5.0,36.091,34.357,55,57.906,52,33,30,43.5,22,23,422.54,52.425,17,2,6,6,2,19,0.661,42.3,17,7,1,1.008,7.7,8.126,3.8,0.694
6.046,26.636,27.675,42,47.095,41,28,27,36.5,14,17,385.32,43.673,13,1,4,6,3,14,0.675,34.1,11,10,0,1.065,14.6,9.398,2.4,0.65
4.886,36.995,36.088,56,58.493,52,37,33,51.5,19,26,439.5,52.603,24,5,2,6,0,29,0.694,36.5,29,7,0,1.012,0.0,8.452,9.6,0.711
4.301,36.886,35.447,55,57.83,52,35,32,47.5,20,22,472.58,53.273,17,2,5,6,4,21,0.682,38.5,17,10,2,1.024,11.5,9.088,3.8,0.709
4.0,37.057,35.705,56,58.153,52,36,32,50.5,20,26,421.51,52.091,24,5,2,6,0,29,0.687,38.5,29,6,0,1.002,0.0,8.106,9.6,0.713
5.481,30.75,31.227,46,51.352,45,31,30,40.5,15,19,490.25,47.785,15,1,4,7,4,15,0.694,33.3,11,11,1,1.062,13.3,10.894,2.2,0.683
5.31,31.512,31.753,48,53.767,47,31,30,39.5,17,19,492.27,49.669,13,1,6,7,3,14,0.676,36.2,11,11,1,1.057,12.8,10.474,2.1,0.67
5.213,37.58,36.346,57,59.072,53,37,33,51.0,20,24,460.55,53.862,22,4,2,4,5,23,0.686,37.7,18,9,1,1.016,7.5,8.69,7.5,0.709
6.692,32.818,31.82,51,52.657,47,33,29,44.0,18,20,410.49,47.978,16,4,4,4,5,17,0.677,38.3,12,9,1,1.021,8.5,8.734,8.5,0.698
4.301,26.284,25.723,38,39.83,36,26,24,36.5,12,17,340.38,37.007,17,2,0,5,2,19,0.715,33.3,17,7,1,1.028,11.1,9.455,5.6,0.73
5.222,34.881,32.848,54,57.228,51,31,28,42.5,23,23,369.51,50.461,18,5,5,6,0,23,0.644,45.1,23,5,0,0.989,0.0,7.245,9.8,0.684
5.018,36.995,36.088,56,58.493,52,37,33,51.5,19,26,439.5,52.603,24,5,2,5,0,29,0.694,36.5,29,7,0,1.012,0.0,8.452,9.6,0.711
4.0,27.239,26.563,38,38.751,35,28,25,39.5,10,18,369.22,35.916,18,4,0,2,0,23,0.759,28.6,23,7,2,1.026,2.9,10.549,11.4,0.778
5.409,37.79,36.267,58,61.661,55,35,32,45.5,23,24,454.56,55.822,17,2,7,7,2,19,0.659,41.8,17,8,1,1.015,7.3,8.265,3.6,0.687
5.194,35.034,34.807,54,60.598,53,33,32,41.5,21,21,520.33,55.436,13,1,8,7,3,14,0.657,39.6,11,11,1,1.046,11.3,9.818,1.9,0.661
6.921,29.75,30.227,45,50.352,44,30,29,38.5,15,18,478.24,46.785,13,1,5,7,3,14,0.687,34.1,11,11,1,1.063,13.6,10.869,2.3,0.676
5.0,25.063,24.998,39,42.661,38,24,23,32.5,15,16,317.32,39.251,13,1,3,6,3,14,0.658,39.5,11,7,0,1.033,15.8,8.351,2.6,0.66
5.921,26.415,26.023,39,42.503,38,25,24,33.5,14,16,396.21,39.48,13,1,3,6,3,14,0.685,36.8,11,8,1,1.039,15.8,10.427,2.6,0.695
5.886,26.636,27.675,42,47.095,41,28,27,36.5,14,17,385.32,43.673,13,1,4,6,3,14,0.675,34.1,11,10,0,1.065,14.6,9.398,2.4,0.65
6.31,28.398,29.201,45,50.511,44,29,28,37.5,16,18,399.35,46.556,13,1,5,7,3,14,0.664,36.4,11,10,0,1.058,13.6,9.076,2.3,0.645
5.114,33.273,33.28,51,57.183,50,32,31,40.5,19,20,506.3,52.552,13,1,7,7,3,14,0.666,38.0,11,11,1,1.051,12.0,10.126,2.0,0.665
4.699,35.017,35.556,53,57.87,51,36,34,47.5,17,23,495.86,53.763,19,1,4,6,3,20,0.697,33.3,17,11,1,1.054,11.8,9.723,2.0,0.687
5.0,29.75,30.227,45,50.352,44,30,29,38.5,15,18,478.24,46.785,13,1,5,6,3,14,0.687,34.1,11,11,1,1.063,13.6,10.869,2.3,0.676
5.678,26.574,28.058,42,47.435,41,29,28,37.5,13,17,403.31,44.185,13,1,4,6,3,14,0.684,31.7,11,11,0,1.078,14.6,9.837,2.4,0.648
5.208,20.682,21.743,30,33.647,29,24,23,32.5,6,10,369.33,32.284,9,3,1,3,3,14,0.75,20.7,11,13,2,1.113,17.2,12.736,10.3,0.713
4.602,26.932,25.91,38,39.75,36,26,24,37.5,12,16,360.44,37.084,16,2,0,5,3,20,0.72,33.3,17,8,2,1.03,11.1,10.012,5.6,0.748
5.398,28.693,27.437,41,43.165,39,27,25,38.5,14,17,374.47,39.967,16,2,1,5,3,20,0.704,35.9,17,8,2,1.025,10.3,9.602,5.1,0.736
4.301,19.733,19.837,29,31.439,28,20,19,27.0,9,12,280.68,29.371,11,2,1,3,1,13,0.708,32.1,12,7,1,1.049,14.3,10.024,7.1,0.705
4.824,28.506,28.587,41,44.185,39,30,28,41.5,11,17,428.44,41.505,16,2,1,5,3,20,0.733,28.2,17,11,2,1.064,10.3,10.986,5.1,0.731
7.149,45.563,42.637,74,78.766,70,39,35,49.0,35,29,473.67,69.425,16,3,13,7,2,18,0.609,50.0,16,6,0,0.992,4.3,6.767,4.3,0.651
7.328,47.324,44.164,77,82.182,73,40,36,50.0,37,30,487.7,72.309,16,3,14,7,2,18,0.605,50.7,16,6,0,0.991,4.1,6.681,4.1,0.648
4.262,19.733,19.837,29,31.439,28,20,19,27.0,9,12,280.68,29.371,11,2,1,3,1,13,0.708,32.1,12,7,1,1.049,14.3,10.024,7.1,0.705
4.824,26.852,26.778,41,43.535,39,27,25,37.0,14,18,338.34,40.142,17,2,1,5,1,19,0.687,35.9,18,7,0,1.029,12.8,8.675,5.1,0.689
4.301,15.659,15.768,24,25.87,23,16,15,22.0,8,10,204.2,23.836,10,2,0,1,0,12,0.686,34.8,12,5,0,1.036,13.0,8.878,8.7,0.681
7.0,32.267,31.12,46,48.499,44,30,28,42.0,16,22,438.29,44.709,22,1,0,6,3,21,0.707,36.4,18,6,1,1.016,9.1,9.961,2.3,0.733
4.538,17.972,18.31,26,28.024,25,19,18,26.0,7,11,266.65,26.487,11,2,0,2,1,13,0.732,28.0,12,7,1,1.059,16.0,10.666,8.0,0.719
7.387,47.324,44.164,77,82.182,73,40,36,50.0,37,30,487.7,72.309,16,3,14,6,2,18,0.605,50.7,16,6,0,0.991,4.1,6.681,4.1,0.648
7.31,42.563,39.637,70,75.766,67,35,32,43.0,35,26,437.64,66.425,12,3,14,6,3,13,0.592,52.2,10,6,0,0.991,4.5,6.532,4.5,0.635
7.745,49.086,45.691,80,85.597,76,41,37,51.0,39,31,501.73,75.192,16,3,15,7,2,18,0.601,51.3,16,6,0,0.989,3.9,6.602,3.9,0.646
5.097,24.602,24.262,37,39.953,36,23,22,32.0,14,17,298.31,36.822,15,0,2,7,3,15,0.674,38.9,12,5,0,1.023,13.9,8.286,0.0,0.683
6.613,45.563,42.637,74,78.766,70,39,35,49.0,35,29,473.67,69.425,16,3,13,7,2,18,0.609,50.0,16,6,0,0.992,4.3,6.767,4.3,0.651
7.167,42.04,39.584,68,71.936,64,37,33,47.0,31,27,445.61,63.658,16,3,11,5,2,18,0.618,48.4,16,6,0,0.995,4.7,6.963,4.7,0.657
6.833,44.563,41.637,72,77.766,69,37,34,47.0,35,28,461.66,68.425,16,3,12,7,2,18,0.603,50.7,16,6,0,0.992,4.3,6.691,4.3,0.646
7.409,43.802,41.111,71,75.351,67,38,34,48.0,33,28,459.64,66.541,16,3,12,5,2,18,0.614,49.3,16,6,0,0.993,4.5,6.86,4.5,0.654
6.745,32.205,31.504,46,48.839,44,31,29,43.0,15,22,456.28,45.222,22,1,0,6,3,21,0.716,34.1,18,7,1,1.028,9.1,10.37,2.3,0.732
8.046,53.063,49.459,87,93.637,83,44,40,54.0,43,33,545.79,82.287,16,3,17,9,2,18,0.596,51.8,16,7,0,0.991,4.8,6.576,3.6,0.639
7.921,44.659,41.938,71,75.295,67,39,35,49.0,32,28,494.08,66.865,16,3,12,5,2,18,0.626,47.8,16,7,1,0.998,4.5,7.374,4.5,0.667
8.046,49.54,46.406,81,86.806,77,42,38,52.0,39,31,517.73,76.519,16,3,15,7,2,18,0.603,50.6,16,7,0,0.994,5.2,6.724,3.9,0.643
7.509,35.966,34.224,58,61.817,55,32,29,41.5,26,23,394.51,55.116,14,2,9,5,2,17,0.622,47.3,15,6,0,1.002,7.3,7.173,3.6,0.654
6.959,33.125,31.948,46,48.443,44,31,29,43.0,15,22,472.73,45.033,22,1,0,6,3,21,0.726,34.1,18,7,2,1.023,9.1,10.744,2.3,0.753
7.959,42.654,39.917,67,71.797,64,36,33,46.0,31,27,467.05,63.763,16,2,11,6,2,18,0.624,48.4,16,6,1,0.996,4.7,7.298,3.1,0.666
7.108,43.802,41.111,71,75.351,67,38,34,48.0,33,28,459.64,66.541,16,3,12,7,2,18,0.614,49.3,16,6,0,0.993,4.5,6.86,4.5,0.654
7.77,45.114,42.653,71,76.505,68,39,36,50.0,32,28,510.08,68.192,17,3,11,7,3,19,0.627,47.1,16,8,1,1.003,5.9,7.501,4.4,0.663
8.155,47.216,44.555,74,78.634,70,42,38,54.0,32,28,558.15,70.596,16,3,12,6,4,20,0.636,45.7,16,10,2,1.009,7.1,7.974,4.3,0.675
6.548,43.324,40.164,72,78.182,69,35,32,42.0,37,26,439.66,68.309,10,3,16,6,2,12,0.582,53.6,10,6,0,0.99,4.3,6.372,4.3,0.628
7.208,41.796,39.089,67,71.853,64,35,32,45.0,32,27,432.61,63.44,16,2,11,6,2,18,0.611,50.0,16,5,0,0.991,4.7,6.76,3.1,0.653
5.569,36.796,35.195,54,57.828,52,33,31,45.0,21,24,481.37,52.578,22,2,2,8,3,21,0.677,40.4,18,7,1,1.011,7.7,9.257,3.8,0.708
5.222,36.313,34.227,55,59.16,53,31,29,40.0,24,23,458.38,53.243,16,1,7,8,3,15,0.646,45.3,12,6,1,1.005,7.5,8.649,1.9,0.685
4.824,33.131,32.337,50,53.282,48,31,29,43.0,19,23,389.43,48.691,22,1,1,7,3,21,0.674,39.6,18,6,0,1.014,10.4,8.113,2.1,0.69
7.155,40.074,37.754,62,64.575,58,36,32,45.0,26,26,496.43,58.127,16,1,10,6,3,15,0.651,44.8,12,6,1,1.002,6.9,8.559,1.7,0.691
6.0,33.824,32.448,49,52.286,47,31,29,43.0,18,22,452.33,47.585,22,3,0,6,3,21,0.69,38.3,18,7,1,1.012,6.4,9.624,6.4,0.72
6.699,34.551,32.701,52,55.745,50,30,28,39.0,22,22,444.35,50.36,16,1,6,6,3,15,0.654,44.0,12,6,1,1.007,8.0,8.887,2.0,0.691
5.161,29.307,29.492,44,46.744,42,30,28,43.5,14,20,378.36,43.469,20,2,0,6,5,22,0.702,33.3,17,8,0,1.035,14.3,9.009,4.8,0.698
4.0,31.716,31.206,47,50.079,45,31,29,44.5,16,20,412.45,46.429,20,2,0,6,5,22,0.693,35.6,17,9,1,1.032,13.3,9.166,4.4,0.705
4.854,37.54,36.9,60,66.251,58,35,33,44.0,25,24,462.51,59.538,16,2,8,8,3,15,0.636,43.1,12,9,0,1.027,6.9,7.974,3.4,0.647
5.319,30.029,28.127,42,45.588,41,26,25,35.0,16,18,453.25,41.876,16,1,2,6,3,15,0.686,39.0,12,7,1,1.021,12.2,11.055,2.4,0.732
6.0,36.688,33.964,49,51.635,47,32,30,44.0,17,23,578.21,47.662,22,1,1,7,3,21,0.723,36.2,18,7,2,1.014,8.5,12.302,2.1,0.781
5.658,33.966,33.03,49,52.254,47,32,30,44.0,17,23,470.31,48.105,22,1,1,7,3,21,0.703,36.2,18,7,1,1.024,8.5,10.007,2.1,0.723
5.553,30.574,28.412,43,45.378,41,27,25,36.0,16,19,449.26,41.549,16,1,3,6,3,15,0.693,39.0,12,6,1,1.013,9.8,10.958,2.4,0.746
7.0,35.551,33.701,54,56.745,51,32,29,41.0,22,23,456.36,51.36,16,1,7,6,3,15,0.661,43.1,12,6,1,1.007,7.8,8.948,2.0,0.697
4.824,36.25,34.611,55,59.5,53,32,30,41.0,23,23,476.37,53.756,16,1,7,8,3,15,0.653,43.4,12,7,1,1.014,7.5,8.988,1.9,0.684
5.149,38.483,36.256,61,66.149,59,32,30,41.0,29,25,407.55,58.781,16,1,9,9,3,15,0.615,49.2,12,5,0,0.996,6.8,6.908,1.7,0.652
7.046,32.205,31.504,46,48.839,44,31,29,43.0,15,22,456.28,45.222,22,1,0,6,3,21,0.716,34.1,18,7,1,1.028,9.1,10.37,2.3,0.732
6.638,32.142,31.887,46,49.179,44,32,30,44.0,14,22,474.27,45.734,22,1,0,6,3,21,0.725,31.8,18,8,1,1.039,9.1,10.779,2.3,0.731
6.602,34.029,32.647,49,51.914,47,31,29,43.0,18,23,452.32,47.593,22,1,1,6,3,21,0.695,38.3,18,6,1,1.013,8.5,9.624,2.1,0.724
5.155,37.62,34.519,55,59.039,53,31,29,40.0,24,23,505.38,53.083,16,1,7,8,3,15,0.651,45.3,12,6,1,1.002,7.5,9.535,1.9,0.71
7.097,32.722,31.835,47,49.709,45,31,29,43.0,16,22,454.29,46.036,22,1,0,6,3,21,0.707,35.6,18,7,1,1.023,11.1,10.095,2.2,0.727
5.174,28.154,27.568,42,44.242,40,27,25,38.5,15,20,333.36,40.596,20,1,0,5,3,20,0.689,37.5,17,5,0,1.015,10.0,8.334,2.5,0.704
6.349,43.802,41.111,71,75.351,67,38,34,48.0,33,28,459.64,66.541,16,3,12,5,2,18,0.614,49.3,16,6,0,0.993,4.5,6.86,4.5,0.654
7.745,48.847,45.218,81,87.012,77,40,36,48.0,41,30,491.74,76.076,12,3,18,6,3,13,0.587,53.2,10,6,0,0.988,3.9,6.386,3.9,0.634
5.244,14.864,14.966,22,24.498,22,14,14,20.0,8,10,192.18,22.844,9,0,1,4,3,9,0.68,36.4,6,4,0,1.038,18.2,8.735,0.0,0.676
4.0,40.341,38.48,58,60.618,55,37,34,52.0,21,28,513.41,55.251,28,2,0,7,3,27,0.7,38.2,24,6,1,1.005,5.5,9.335,3.6,0.733
5.509,28.091,27.952,42,44.582,40,28,26,39.5,14,20,351.35,41.109,20,1,0,5,3,20,0.699,35.0,17,6,0,1.028,10.0,8.784,2.5,0.702
7.155,31.71,31.306,46,48.941,44,31,29,43.0,15,22,411.83,45.316,22,1,0,6,3,21,0.711,34.1,18,7,1,1.03,9.1,9.36,2.3,0.721
6.0,15.318,15.681,23,25.708,23,15,15,21.0,8,10,208.18,24.171,10,0,0,3,3,9,0.682,34.8,6,5,0,1.051,21.7,9.051,0.0,0.666
4.553,36.199,34.675,55,58.903,53,32,30,44.0,23,25,401.49,53.131,22,1,3,7,3,21,0.654,43.4,18,5,0,1.002,7.5,7.575,1.9,0.683
4.319,38.438,37.149,57,59.488,54,36,33,51.0,21,28,435.5,54.247,28,1,0,7,3,27,0.688,38.9,24,5,0,1.005,7.4,8.065,1.9,0.712
4.0,30.369,29.81,46,48.867,44,29,27,40.5,17,21,363.39,44.807,20,1,1,6,3,20,0.677,38.6,17,6,0,1.018,11.4,8.259,2.3,0.69
4.658,30.182,30.96,46,49.886,44,32,30,43.5,14,21,417.36,46.345,20,1,1,6,3,20,0.704,31.8,17,9,0,1.053,11.4,9.485,2.3,0.686
5.409,28.091,27.952,42,44.582,40,28,26,39.5,14,20,351.35,41.109,20,1,0,5,3,20,0.699,35.0,17,6,0,1.028,10.0,8.784,2.5,0.702
4.921,40.796,39.195,59,61.828,56,38,35,53.0,21,28,529.41,56.578,28,2,0,7,3,27,0.7,37.5,24,7,1,1.01,7.1,9.454,3.6,0.728
5.585,29.284,28.424,42,44.293,40,28,26,39.5,14,20,367.42,40.858,20,1,0,5,3,20,0.711,35.0,17,6,1,1.021,7.5,9.185,2.5,0.732
5.222,29.063,28.998,44,46.661,42,29,27,40.5,15,20,365.36,43.251,19,1,1,7,3,20,0.69,35.7,17,7,0,1.03,14.3,8.699,2.4,0.692
6.071,34.551,32.701,52,55.745,50,30,28,39.0,22,22,444.35,50.36,16,1,6,7,3,15,0.654,44.0,12,6,1,1.007,8.0,8.887,2.0,0.691
5.161,30.852,30.478,46,48.997,44,30,28,42.0,16,22,377.39,44.993,22,1,0,6,3,21,0.693,36.4,18,6,0,1.023,9.1,8.577,2.3,0.701
5.337,29.011,28.396,42,44.186,40,28,26,39.5,14,20,367.8,40.92,20,1,0,5,3,20,0.71,35.0,17,6,1,1.023,10.0,9.195,2.5,0.725
5.398,30.182,30.96,46,49.886,44,32,30,43.5,14,21,417.36,46.345,20,1,1,6,3,20,0.704,31.8,17,9,0,1.053,11.4,9.485,2.3,0.686
4.569,31.563,30.282,46,48.578,44,29,27,40.5,17,21,379.46,44.556,20,1,1,6,3,20,0.688,38.6,17,6,1,1.013,9.1,8.624,2.3,0.717
5.824,29.347,28.041,42,43.953,40,27,25,38.5,15,20,349.43,40.345,20,1,0,5,3,20,0.701,37.5,17,5,1,1.009,7.5,8.736,2.5,0.734
5.585,37.551,35.701,55,58.745,53,33,31,45.0,22,25,480.38,53.36,22,1,3,8,3,21,0.674,41.5,18,6,1,1.007,7.5,9.064,1.9,0.709
4.721,19.233,20.132,29,32.625,29,20,20,28.0,9,12,279.22,30.927,12,1,0,5,5,11,0.694,31.0,6,8,0,1.066,24.1,9.628,3.4,0.663
5.745,34.324,32.809,50,52.993,48,31,29,43.0,19,23,405.5,48.44,22,1,1,7,3,21,0.684,39.6,18,6,1,1.009,8.3,8.448,2.1,0.715
6.699,33.534,32.449,49,52.017,47,31,29,43.0,18,23,407.87,47.687,22,1,1,6,3,21,0.69,38.3,18,6,1,1.015,8.5,8.678,2.1,0.713
6.081,33.244,31.368,47,51.212,46,29,28,39.0,18,20,495.29,47.087,17,1,3,9,4,16,0.682,39.1,12,8,1,1.024,13.0,10.767,2.2,0.723
4.187,22.972,22.59,33,35.589,32,22,21,30.5,11,15,306.33,33.2,14,0,1,5,3,14,0.706,34.4,11,6,1,1.037,12.5,9.573,0.0,0.718
4.886,27.154,26.568,41,43.242,39,26,24,37.0,15,19,321.35,39.596,18,1,1,5,3,19,0.681,38.5,16,5,0,1.015,10.3,8.24,2.6,0.696
4.721,22.841,22.735,34,36.538,33,22,21,31.0,12,16,284.28,33.938,16,0,0,5,3,15,0.689,36.4,12,5,0,1.028,15.2,8.615,0.0,0.692
6.301,32.818,31.427,47,49.788,45,30,28,42.0,17,22,437.31,45.483,22,2,0,6,3,21,0.698,37.8,18,6,1,1.011,6.7,9.718,4.4,0.729
4.678,24.091,23.952,37,40.582,36,23,22,31.5,14,16,303.31,37.109,14,1,2,5,3,14,0.665,38.9,11,6,0,1.031,11.1,8.425,2.8,0.669
4.301,32.58,32.03,49,51.993,47,31,29,43.0,18,23,390.41,47.916,22,0,1,8,3,21,0.681,38.3,18,6,0,1.019,12.8,8.307,0.0,0.693
4.237,14.318,14.681,22,24.708,22,14,14,19.5,8,9,196.17,23.171,8,0,1,3,3,8,0.667,36.4,5,5,0,1.053,22.7,8.917,0.0,0.651
4.357,36.654,35.39,56,60.113,54,33,31,45.0,23,25,417.49,54.458,22,1,3,8,3,21,0.655,42.6,18,6,0,1.008,9.3,7.731,1.9,0.679
6.097,35.034,33.668,51,54.413,49,32,30,44.0,19,23,467.34,49.694,22,2,1,7,3,21,0.687,38.8,18,7,1,1.014,8.2,9.538,4.1,0.715
5.699,28.267,26.6,39,42.172,38,25,24,34.0,14,17,439.22,38.993,16,1,1,6,3,15,0.7,36.8,12,7,1,1.026,13.2,11.558,2.6,0.744
5.658,36.313,34.227,55,59.16,53,31,29,40.0,24,23,458.38,53.243,16,1,7,7,3,15,0.646,45.3,12,6,1,1.005,7.5,8.649,1.9,0.685
4.699,30.369,29.81,46,48.867,44,29,27,40.5,17,21,363.39,44.807,20,1,1,6,3,20,0.677,38.6,17,6,0,1.018,11.4,8.259,2.3,0.69
5.26,32.926,32.847,48,51.103,46,33,31,47.0,15,22,438.84,47.676,22,2,0,7,5,23,0.714,32.6,18,9,1,1.036,13.0,9.54,4.3,0.716
4.824,40.796,39.195,59,61.828,56,38,35,53.0,21,28,529.41,56.578,28,2,0,7,3,27,0.7,37.5,24,7,1,1.01,7.1,9.454,3.6,0.728
4.0,30.563,29.702,44,46.475,42,29,27,41.0,15,21,378.83,42.694,21,2,0,5,3,21,0.707,35.7,18,6,1,1.017,7.1,9.02,4.8,0.728
6.699,31.773,30.923,46,48.602,44,30,28,42.0,16,22,393.84,44.804,22,1,0,6,3,21,0.703,36.4,18,6,1,1.018,9.1,8.951,2.3,0.722
4.328,32.159,31.59,47,49.741,45,31,29,45.0,16,23,384.41,45.698,22,2,0,6,3,22,0.702,35.6,18,6,0,1.016,8.9,8.542,4.4,0.715
6.301,36.648,35.001,52,55.274,50,33,31,45.0,19,24,500.79,50.8,22,1,2,8,3,21,0.7,38.0,18,7,2,1.016,8.0,10.016,2.0,0.733
4.0,29.307,29.492,44,46.744,42,30,28,43.5,14,20,378.36,43.469,20,2,0,6,5,22,0.702,33.3,17,8,0,1.035,14.3,9.009,4.8,0.698
4.0,31.716,31.206,47,50.079,45,31,29,44.5,16,20,412.45,46.429,20,2,0,6,5,22,0.693,35.6,17,9,1,1.032,13.3,9.166,4.4,0.705
5.896,36.341,34.873,57,59.488,53,35,31,46.0,22,22,438.55,53.745,16,4,6,3,5,17,0.658,41.5,12,9,1,1.014,7.5,8.275,7.5,0.686
4.77,30.915,30.095,46,48.658,44,29,27,41.0,17,22,359.4,44.48,22,1,0,6,3,21,0.684,38.6,18,5,0,1.011,9.1,8.168,2.3,0.703
5.886,31.318,30.208,45,47.392,43,29,27,41.0,16,22,377.84,43.476,22,1,0,5,3,21,0.703,37.2,18,5,1,1.011,7.0,8.787,2.3,0.728
6.222,35.728,34.557,52,55.669,50,33,31,45.0,19,24,484.34,50.989,22,1,2,8,3,21,0.691,38.0,18,7,1,1.02,8.0,9.687,2.0,0.715
6.398,42.25,40.91,61,64.037,58,40,37,56.0,21,29,557.42,58.905,29,2,0,8,4,28,0.705,36.2,24,8,1,1.016,8.6,9.611,3.4,0.728
5.081,24.085,23.93,36,39.084,35,23,22,32.0,13,17,300.3,36.007,16,0,1,5,3,15,0.684,37.1,12,5,0,1.029,11.4,8.58,0.0,0.688
4.131,22.972,22.59,33,35.589,32,22,21,30.5,11,15,306.33,33.2,14,0,1,5,3,14,0.706,34.4,11,6,1,1.037,12.5,9.573,0.0,0.718
6.42,21.847,21.756,33,37.037,33,20,20,28.0,13,14,275.28,34.04,10,1,3,7,3,10,0.659,39.4,6,6,0,1.032,15.2,8.342,3.0,0.662
4.398,17.08,17.208,26,29.123,26,16,16,22.0,10,11,222.21,27.055,10,0,1,4,3,9,0.662,38.5,6,5,0,1.041,19.2,8.547,0.0,0.657
5.398,13.75,13.627,19,21.003,19,13,13,18.5,6,8,198.21,20.036,8,0,0,3,3,8,0.717,31.6,5,5,1,1.055,21.1,10.432,0.0,0.724
5.337,23.636,23.536,35,37.91,34,23,22,33.5,12,16,296.3,34.931,14,2,1,5,3,15,0.692,35.3,11,6,0,1.027,11.8,8.715,5.9,0.695
4.167,23.034,22.207,33,35.249,32,21,20,29.5,12,15,288.34,32.687,14,0,1,5,3,14,0.694,37.5,11,5,1,1.021,12.5,9.011,0.0,0.72
6.959,22.301,22.471,34,38.246,34,21,21,29.0,13,14,291.28,35.367,10,1,3,7,3,10,0.661,38.2,6,7,0,1.04,17.6,8.567,2.9,0.656
5.174,22.671,21.6,38,40.574,36,20,18,23.0,18,14,250.32,36.262,4,0,10,3,3,3,0.6,50.0,0,4,0,1.007,11.1,6.953,0.0,0.63
5.131,22.267,22.808,34,37.507,33,23,22,31.5,11,15,307.27,34.738,14,1,1,5,3,14,0.691,33.3,11,7,0,1.053,12.1,9.311,3.0,0.675
5.086,22.801,21.755,35,38.162,34,20,19,25.5,15,13,281.36,34.673,8,1,5,4,3,8,0.64,44.1,5,6,1,1.02,11.8,8.275,2.9,0.671
4.585,20.182,20.53,29,31.15,28,21,20,29.5,8,13,293.67,29.596,13,1,0,3,3,14,0.733,28.6,11,7,1,1.057,17.9,10.488,3.6,0.721
5.201,23.636,23.536,35,37.91,34,23,22,33.5,12,16,296.3,34.931,14,2,1,5,3,15,0.692,35.3,11,6,0,1.027,11.8,8.715,5.9,0.695
5.086,17.273,16.68,25,27.834,25,15,15,20.5,10,10,226.27,25.804,8,0,2,3,3,8,0.667,40.0,5,5,1,1.032,16.0,9.051,0.0,0.691
4.745,25.091,24.952,38,41.582,37,24,23,33.5,14,17,315.32,38.109,16,1,1,6,4,15,0.674,37.8,11,6,0,1.03,10.8,8.522,2.7,0.678
4.824,27.369,25.877,37,38.544,35,26,24,37.0,11,15,377.5,36.051,15,3,0,4,5,17,0.739,31.4,12,9,3,1.03,8.6,10.786,8.6,0.782
4.553,22.386,22.02,33,35.329,32,21,20,30.0,12,16,268.28,32.611,16,0,0,4,3,15,0.688,37.5,12,4,0,1.019,12.5,8.384,0.0,0.7
4.824,30.034,28.812,42,42.88,39,30,27,41.0,12,17,420.52,40.487,16,2,1,4,5,17,0.739,30.8,12,10,3,1.038,12.8,10.783,5.1,0.77
6.699,37.529,36.462,58,63.885,56,35,33,44.5,23,21,504.6,58.134,12,2,9,6,4,15,0.651,41.1,11,12,2,1.038,8.9,9.011,3.6,0.67
4.854,16.079,16.208,25,28.123,25,15,15,20.5,10,10,210.2,26.055,8,0,2,3,3,8,0.648,40.0,5,5,0,1.042,20.0,8.408,0.0,0.643
4.089,36.137,34.173,56,62.016,55,30,29,38.0,26,20,443.99,55.953,10,1,10,9,5,11,0.621,47.3,6,9,2,1.017,10.9,8.073,1.8,0.657
4.086,23.892,23.035,33,35.193,32,22,21,30.5,11,15,322.78,33.011,14,0,1,5,3,14,0.72,34.4,11,6,2,1.032,12.5,10.087,0.0,0.747
6.611,37.983,37.177,59,65.095,57,36,34,45.5,23,21,520.6,59.462,12,2,9,7,4,15,0.652,40.4,11,13,2,1.043,10.5,9.133,3.5,0.666
4.319,16.079,16.208,25,28.123,25,15,15,20.5,10,10,210.2,26.055,8,0,2,3,3,8,0.648,40.0,5,5,0,1.042,20.0,8.408,0.0,0.643
