pXC50,SCBO,MW,RBN,nH,nSK,Sv,nBO,Se,Sp,Si,nBT,nAT,nCsp3,nHet,nO,nC,nDB,nAB,C.,H.,Mi,nCsp2,AMW,nN,Mv,RBF,nBM,Mp,nF,nCsp
8.032,57.5,528.73,9,32,38,44.792,42,69.836,47.694,78.354,74.0,70.0,8,8,3,30,2,27,42.9,45.7,1.119,22,7.553,4,0.64,0.122,29,0.681,0,0
8.051,58.5,544.73,10,32,39,45.507,43,71.163,48.148,79.564,75.0,71.0,8,9,4,30,2,27,42.3,45.1,1.121,22,7.672,4,0.641,0.133,29,0.678,0,0
8.018,57.5,549.14,9,29,38,44.093,42,67.276,46.79,74.883,71.0,67.0,7,9,3,29,2,27,43.3,43.3,1.118,22,8.196,4,0.658,0.127,29,0.698,0,0
8.009,57.5,593.59,9,29,38,44.291,42,67.181,47.284,74.781,71.0,67.0,7,9,3,29,2,27,43.3,43.3,1.116,22,8.86,4,0.661,0.127,29,0.706,0,0
8.0,57.5,532.69,9,29,38,43.649,42,67.465,45.87,75.279,71.0,67.0,7,9,3,29,2,27,43.3,43.3,1.124,22,7.951,4,0.651,0.127,29,0.685,1,0
8.0,60.5,582.7,9,29,41,45.942,45,71.374,47.506,79.373,74.0,70.0,8,11,3,30,2,27,42.9,41.4,1.134,22,8.324,4,0.656,0.122,29,0.679,3,0
7.959,61.5,559.7,10,29,40,45.19,44,69.825,47.085,77.441,73.0,69.0,7,11,5,29,4,27,42.0,42.0,1.122,22,8.112,5,0.655,0.137,31,0.682,0,0
8.495,58.0,610.79,7,42,44,51.614,47,86.807,53.921,97.929,89.0,86.0,17,13,7,31,6,10,36.0,48.8,1.139,14,7.102,6,0.6,0.079,16,0.627,0,0
9.301,45.0,588.32,11,20,32,35.439,34,53.523,37.296,58.752,54.0,52.0,5,13,4,19,2,18,36.5,38.5,1.13,14,11.314,6,0.682,0.204,20,0.717,0,0
7.231,54.5,500.56,7,24,37,40.444,41,62.2,41.159,68.774,65.0,61.0,6,11,5,26,2,23,42.6,39.3,1.127,20,8.206,6,0.663,0.108,25,0.675,0,0
10.398,55.0,520.66,7,28,37,42.168,41,65.723,44.08,72.943,69.0,65.0,8,10,5,27,3,22,41.5,43.1,1.122,19,8.01,4,0.649,0.101,25,0.678,0,0
7.658,57.0,534.63,7,26,38,42.555,42,65.174,43.977,71.365,68.0,64.0,6,10,7,28,4,22,43.8,40.6,1.115,22,8.354,2,0.665,0.103,26,0.687,0,0
6.157,95.0,956.31,25,69,70,84.199,74,138.723,89.279,157.035,143.0,139.0,22,15,8,55,7,28,39.6,49.6,1.13,33,6.88,7,0.606,0.175,35,0.642,0,0
8.367,54.0,650.39,11,22,37,40.966,40,60.407,43.057,66.167,62.0,59.0,4,13,4,24,2,24,40.7,37.3,1.121,20,11.024,6,0.694,0.177,26,0.73,0,0
8.553,48.0,616.33,9,20,34,37.154,37,55.851,38.75,60.962,57.0,54.0,6,14,5,20,2,18,37.0,37.0,1.129,14,11.414,6,0.688,0.158,20,0.718,0,0
8.921,45.0,543.87,11,20,32,35.242,34,53.618,36.801,58.855,54.0,52.0,5,13,4,19,2,18,36.5,38.5,1.132,14,10.459,6,0.678,0.204,20,0.708,0,0
8.721,47.0,555.46,13,23,34,37.371,36,58.833,38.614,64.745,59.0,57.0,6,14,6,20,2,18,35.1,40.4,1.136,14,9.745,6,0.656,0.22,20,0.677,0,0
9.398,48.0,589.9,13,22,35,38.198,37,59.156,39.472,64.689,59.0,57.0,6,15,6,20,2,18,35.1,38.6,1.135,14,10.349,6,0.67,0.22,20,0.692,0,0
8.658,44.0,573.3,10,19,31,34.418,33,51.422,36.29,56.254,52.0,50.0,5,12,4,19,2,18,38.0,38.0,1.125,14,11.466,5,0.688,0.192,20,0.726,0,0
8.959,45.0,587.33,11,21,32,35.945,34,54.305,38.051,59.669,55.0,53.0,6,12,4,20,2,18,37.7,39.6,1.126,14,11.082,5,0.678,0.2,20,0.718,0,0
7.59,54.0,523.62,12,25,37,40.851,40,63.385,42.017,69.82,65.0,62.0,5,12,6,25,2,24,40.3,40.3,1.126,20,8.445,5,0.659,0.185,26,0.678,0,0
5.344,43.0,433.49,9,19,30,32.271,32,50.734,32.733,55.574,51.0,49.0,4,12,6,18,2,18,36.7,38.8,1.134,14,8.847,5,0.659,0.176,20,0.668,0,0
8.367,66.0,629.76,13,31,45,49.947,49,77.356,51.551,85.647,80.0,76.0,7,14,6,31,2,30,40.8,40.8,1.127,24,8.286,7,0.657,0.163,32,0.678,0,0
8.097,64.0,601.7,14,27,43,46.894,47,71.589,48.029,78.817,74.0,70.0,5,14,6,29,2,30,41.4,38.6,1.126,24,8.596,7,0.67,0.189,32,0.686,0,0
6.131,53.0,511.57,11,21,36,38.313,39,58.938,38.744,64.571,60.0,57.0,4,14,6,22,2,24,38.6,36.8,1.133,18,8.975,7,0.672,0.183,26,0.68,0,0
7.75,65.0,615.73,14,29,44,48.42,48,74.472,49.79,82.232,77.0,73.0,6,14,6,30,2,30,41.1,39.7,1.126,24,8.435,7,0.663,0.182,32,0.682,0,0
8.553,65.0,636.14,14,26,44,47.721,48,71.913,48.886,78.761,74.0,70.0,5,15,6,29,2,30,41.4,37.1,1.125,24,9.088,7,0.682,0.189,32,0.698,0,0
8.658,65.0,680.59,14,26,44,47.919,48,71.818,49.381,78.658,74.0,70.0,5,15,6,29,2,30,41.4,37.1,1.124,24,9.723,7,0.685,0.189,32,0.705,0,0
8.495,66.0,631.73,15,29,45,49.135,49,75.8,50.244,83.441,78.0,74.0,6,15,7,30,2,30,40.5,39.2,1.128,24,8.537,7,0.664,0.192,32,0.679,0,0
8.959,66.0,647.8,15,29,45,49.608,49,75.549,51.438,83.152,78.0,74.0,6,15,6,30,2,30,40.5,39.2,1.124,24,8.754,7,0.67,0.192,32,0.695,0,0
8.523,68.0,669.7,14,26,47,49.57,51,76.011,49.602,83.251,77.0,73.0,6,17,6,30,2,30,41.1,35.6,1.14,24,9.174,7,0.679,0.182,32,0.679,3,0
8.114,68.0,641.77,15,31,46,50.947,51,78.356,52.551,86.647,82.0,77.0,8,14,6,32,2,30,41.6,40.3,1.125,24,8.335,7,0.662,0.183,32,0.682,0,0
5.321,68.0,661.76,16,31,47,51.377,51,80.011,52.46,88.066,82.0,78.0,7,16,8,31,2,30,39.7,39.7,1.129,24,8.484,7,0.659,0.195,32,0.673,0,0
8.824,67.0,708.65,13,30,46,50.972,50,77.585,52.904,85.489,80.0,76.0,7,15,6,31,2,30,40.8,39.5,1.125,24,9.324,7,0.671,0.163,32,0.696,0,0
7.983,63.0,652.53,12,22,42,44.865,46,66.051,45.858,71.828,68.0,64.0,3,15,6,27,2,30,42.2,34.4,1.122,24,10.196,7,0.701,0.176,32,0.717,0,0
7.137,64.0,666.56,13,24,43,46.392,47,68.934,47.619,75.243,71.0,67.0,4,15,6,28,2,30,41.8,35.8,1.123,24,9.949,7,0.692,0.183,32,0.711,0,0
8.174,66.0,694.62,15,28,45,49.446,49,74.702,51.142,82.073,77.0,73.0,6,15,6,30,2,30,41.1,38.4,1.124,24,9.515,7,0.677,0.195,32,0.701,0,0
6.947,54.0,590.46,11,20,37,39.338,40,59.167,40.097,64.413,60.0,57.0,4,15,6,22,2,24,38.6,35.1,1.13,18,10.359,7,0.69,0.183,26,0.703,0,0
7.854,55.0,604.49,12,22,38,40.865,41,62.051,41.858,67.828,63.0,60.0,5,15,6,23,2,24,38.3,36.7,1.13,18,10.075,7,0.681,0.19,26,0.698,0,0
8.027,56.0,618.52,13,24,39,42.392,42,64.934,43.619,71.243,66.0,63.0,6,15,6,24,2,24,38.1,38.1,1.131,18,9.818,7,0.673,0.197,26,0.692,0,0
8.367,57.0,632.55,14,26,40,43.919,43,67.818,45.381,74.658,69.0,66.0,7,15,6,25,2,24,37.9,39.4,1.131,18,9.584,7,0.665,0.203,26,0.688,0,0
8.721,65.0,681.58,14,25,44,47.413,48,71.036,48.625,77.741,73.0,69.0,4,16,6,28,2,30,40.6,36.2,1.127,24,9.878,8,0.687,0.192,32,0.705,0,0
8.102,55.0,605.48,12,21,38,40.36,41,61.269,41.102,66.911,62.0,59.0,4,16,6,22,2,24,37.3,35.6,1.134,18,10.262,8,0.684,0.194,26,0.697,0,0
8.004,56.0,619.51,13,23,39,41.887,42,64.153,42.864,70.326,65.0,62.0,5,16,6,23,2,24,37.1,37.1,1.134,18,9.992,8,0.676,0.2,26,0.691,0,0
8.42,57.0,633.54,14,25,40,43.413,43,67.036,44.625,73.741,68.0,65.0,6,16,6,24,2,24,36.9,38.5,1.134,18,9.747,8,0.668,0.206,26,0.687,0,0
8.77,58.0,647.57,15,27,41,44.94,44,69.92,46.387,77.156,71.0,68.0,7,16,6,25,2,24,36.8,39.7,1.135,18,9.523,8,0.661,0.211,26,0.682,0,0
8.155,66.0,695.61,14,27,45,48.94,49,73.92,50.387,81.156,76.0,72.0,5,16,6,29,2,30,40.3,37.5,1.127,24,9.661,8,0.68,0.184,32,0.7,0,0
6.728,60.0,661.55,12,25,42,45.128,46,69.363,46.08,75.951,71.0,67.0,7,17,7,25,2,24,37.3,37.3,1.134,18,9.874,8,0.674,0.169,26,0.688,0,0
8.678,65.0,681.58,14,25,44,47.413,48,71.036,48.625,77.741,73.0,69.0,4,16,6,28,2,30,40.6,36.2,1.127,24,9.878,8,0.687,0.192,32,0.705,0,0
8.469,65.0,680.59,14,26,44,47.919,48,71.818,49.381,78.658,74.0,70.0,4,15,6,29,2,30,41.4,37.1,1.124,25,9.723,7,0.685,0.189,32,0.705,0,0
8.854,62.0,688.62,14,30,44,48.687,48,75.912,50.358,83.698,78.0,74.0,8,16,7,28,2,24,37.8,40.5,1.131,20,9.306,7,0.658,0.179,26,0.681,0,0
7.854,59.0,643.57,14,27,41,45.424,45,69.6,47.137,76.575,72.0,68.0,7,14,6,27,2,24,39.7,39.7,1.126,20,9.464,6,0.668,0.194,26,0.693,0,0
7.398,57.0,633.53,14,25,40,43.612,43,67.043,44.83,73.369,68.0,65.0,5,15,7,25,2,24,38.5,38.5,1.129,20,9.747,6,0.671,0.206,26,0.69,0,0
8.161,60.0,677.59,17,29,43,47.381,46,74.138,48.807,81.409,75.0,72.0,7,16,8,27,2,24,37.5,40.3,1.131,20,9.411,6,0.658,0.227,26,0.678,0,0
8.469,42.0,546.23,8,14,29,30.859,31,44.873,32.012,48.507,45.0,43.0,2,13,4,16,2,18,37.2,32.6,1.128,14,12.703,6,0.718,0.178,20,0.744,0,0
7.0,216.5,2516.12,48,147,172,194.569,177,327.257,200.893,364.714,324.0,319.0,57,69,37,103,29,21,32.3,46.1,1.143,46,7.888,27,0.61,0.148,50,0.63,0,0
8.161,55.0,603.5,13,23,38,41.371,41,62.833,42.614,68.745,64.0,61.0,4,14,6,24,2,24,39.3,37.7,1.127,20,9.893,6,0.678,0.203,26,0.699,0,0
9.0,55.0,603.5,13,23,38,41.371,41,62.833,42.614,68.745,64.0,61.0,4,14,6,24,2,24,39.3,37.7,1.127,20,9.893,6,0.678,0.203,26,0.699,0,0
8.854,56.0,637.94,13,22,39,42.198,42,63.156,43.472,68.689,64.0,61.0,4,15,6,24,2,24,39.3,36.1,1.126,20,10.458,6,0.692,0.203,26,0.713,0,0
8.167,52.0,557.47,11,21,35,38.414,38,57.294,39.943,62.911,59.0,56.0,3,12,4,23,2,24,41.1,37.5,1.123,20,9.955,6,0.686,0.186,26,0.713,0,0
9.155,53.0,571.5,11,23,36,39.941,39,60.178,41.705,66.326,62.0,59.0,4,12,4,24,2,24,40.7,39.0,1.124,20,9.686,6,0.677,0.177,26,0.707,0,0
8.854,53.0,591.91,11,20,36,39.242,39,57.618,40.801,62.855,59.0,56.0,3,13,4,23,2,24,41.1,35.7,1.122,20,10.57,6,0.701,0.186,26,0.729,0,0
8.796,53.0,636.36,11,20,36,39.439,39,57.523,41.296,62.752,59.0,56.0,3,13,4,23,2,24,41.1,35.7,1.121,20,11.364,6,0.704,0.186,26,0.737,0,0
8.638,54.0,585.53,12,25,37,41.468,40,63.062,43.466,69.741,65.0,62.0,5,12,4,25,2,24,40.3,40.3,1.125,20,9.444,6,0.669,0.185,26,0.701,0,0
8.444,55.0,599.56,12,27,38,42.995,41,65.945,45.228,73.156,68.0,65.0,6,12,4,26,2,24,40.0,41.5,1.125,20,9.224,6,0.661,0.176,26,0.696,0,0
8.77,43.0,560.26,9,16,30,32.386,32,47.756,33.773,51.922,48.0,46.0,3,13,4,17,2,18,37.0,34.8,1.129,14,12.18,6,0.704,0.188,20,0.734,0,0
9.097,44.0,574.29,10,18,31,33.913,33,50.64,35.534,55.337,51.0,49.0,4,13,4,18,2,18,36.7,36.7,1.129,14,11.72,6,0.692,0.196,20,0.725,0,0
9.523,46.0,602.35,12,22,33,36.966,35,56.407,39.057,62.167,57.0,55.0,6,13,4,20,2,18,36.4,40.0,1.13,14,10.952,6,0.672,0.211,20,0.71,0,0
8.357,46.0,586.3,10,18,32,34.913,35,51.64,36.534,56.337,53.0,50.0,5,13,4,19,2,18,38.0,36.0,1.127,14,11.726,6,0.698,0.189,20,0.731,0,0
8.284,55.0,505.59,6,23,36,39.808,40,60.182,41.006,65.823,63.0,59.0,4,10,6,26,4,22,44.1,39.0,1.116,22,8.569,3,0.675,0.095,26,0.695,0,0
8.301,56.0,521.59,7,23,37,40.523,41,61.509,41.46,67.033,64.0,60.0,4,11,7,26,4,22,43.3,38.3,1.117,22,8.693,3,0.675,0.109,26,0.691,0,0
9.26,58.0,549.65,8,27,39,43.576,43,67.276,44.983,73.863,70.0,66.0,6,11,7,28,4,22,42.4,40.9,1.119,22,8.328,3,0.66,0.114,26,0.682,0,0
8.959,57.0,535.62,7,25,38,42.05,42,64.393,43.222,70.448,67.0,63.0,5,11,7,27,4,22,42.9,39.7,1.118,22,8.502,3,0.667,0.104,26,0.686,0,0
8.066,62.0,699.67,6,39,46,53.113,51,86.152,55.512,96.356,90.0,85.0,18,14,7,32,6,10,37.6,45.9,1.134,14,8.231,6,0.625,0.067,16,0.653,0,0
8.538,62.0,634.81,6,42,46,53.614,51,88.807,55.921,99.929,93.0,88.0,19,13,7,33,6,10,37.5,47.7,1.136,14,7.214,6,0.609,0.065,16,0.635,0,0
5.208,63.0,667.87,7,41,47,54.296,50,89.101,56.813,99.932,91.0,88.0,17,15,7,32,6,10,36.4,46.6,1.136,14,7.589,7,0.617,0.077,17,0.646,0,1
9.541,226.5,2533.26,45,158,176,202.947,184,339.744,211.535,380.74,342.0,334.0,59,62,32,114,24,37,34.1,47.3,1.14,55,7.585,26,0.608,0.132,61,0.633,0,0
8.9,42.0,410.46,9,22,30,33.6,32,53.003,34.352,58.405,54.0,52.0,5,8,6,22,1,18,42.3,42.3,1.123,17,7.893,2,0.646,0.167,19,0.661,0,0
6.678,59.0,562.69,9,30,40,45.609,44,70.942,47.5,78.195,74.0,70.0,8,10,7,30,4,22,42.9,42.9,1.117,22,8.038,2,0.652,0.122,26,0.679,0,0
7.143,60.0,575.74,8,33,41,47.442,45,74.6,49.813,82.899,78.0,74.0,9,10,6,31,4,22,41.9,44.6,1.12,22,7.78,3,0.641,0.103,26,0.673,0,0
7.509,56.0,520.6,7,24,37,41.028,41,62.291,42.216,67.95,65.0,61.0,5,10,7,27,4,22,44.3,39.3,1.114,22,8.534,2,0.673,0.108,26,0.692,0,0
7.495,58.0,548.66,8,28,39,44.082,43,68.058,45.739,74.78,71.0,67.0,7,10,7,29,4,22,43.3,41.8,1.116,22,8.189,2,0.658,0.113,26,0.683,0,0
9.0,53.0,508.65,9,28,36,41.168,39,64.723,43.08,71.943,67.0,64.0,7,10,5,26,3,22,40.6,43.8,1.124,19,7.948,4,0.643,0.134,25,0.673,0,0
7.921,54.0,491.56,6,21,35,38.281,39,57.298,39.244,62.408,60.0,56.0,3,10,6,25,4,22,44.6,37.5,1.114,22,8.778,3,0.684,0.1,26,0.701,0,0
8.796,85.0,860.04,27,49,61,69.461,65,111.952,71.881,124.059,114.0,110.0,15,18,12,43,6,28,39.1,44.5,1.128,28,7.819,5,0.631,0.237,34,0.653,0,0
7.721,44.0,395.47,5,17,28,30.798,31,45.876,31.813,50.159,48.0,45.0,2,8,4,20,2,22,44.4,37.8,1.115,18,8.788,3,0.684,0.104,24,0.707,0,0
6.796,44.0,454.59,10,26,32,37.125,34,58.52,39.068,64.946,60.0,58.0,7,8,5,24,1,18,41.4,44.8,1.12,17,7.838,2,0.64,0.167,19,0.674,0,0
5.0,36.5,357.81,5,16,25,27.923,27,41.804,28.773,45.602,43.0,41.0,2,6,4,19,1,17,46.3,39.0,1.112,17,8.727,1,0.681,0.116,18,0.702,0,0
8.222,42.0,410.46,9,22,30,33.6,32,53.003,34.352,58.405,54.0,52.0,5,8,6,22,1,18,42.3,42.3,1.123,17,7.893,2,0.646,0.167,19,0.661,0,0
9.64,52.0,506.54,10,26,37,41.282,40,64.433,41.989,70.282,66.0,63.0,6,9,9,28,3,18,44.4,41.3,1.116,22,8.04,0,0.655,0.152,21,0.666,0,0
5.009,37.5,357.47,6,19,25,28.61,27,44.433,30.12,49.365,46.0,44.0,3,7,3,18,2,17,40.9,43.2,1.122,15,8.124,3,0.65,0.13,19,0.685,0,0
4.854,30.5,297.32,4,11,20,20.933,21,32.553,20.983,35.123,32.0,31.0,2,9,5,11,4,11,35.5,35.5,1.133,9,9.591,3,0.675,0.125,15,0.677,0,0
5.0,92.0,966.31,26,71,70,84.155,73,141.261,88.95,159.869,144.0,141.0,25,17,10,53,8,22,37.6,50.4,1.134,28,6.853,7,0.597,0.181,30,0.631,0,0
8.638,57.0,533.65,7,27,38,42.862,42,65.949,44.529,72.654,69.0,65.0,6,10,6,28,4,22,43.1,41.5,1.118,22,8.21,3,0.659,0.101,26,0.685,0,0
8.398,92.0,950.26,23,67,69,82.102,73,136.494,86.427,154.038,140.0,136.0,24,17,10,52,8,22,38.2,49.3,1.133,28,6.987,7,0.604,0.164,30,0.635,0,0
8.6,38.5,437.35,6,17,26,29.13,28,43.88,30.716,48.289,45.0,43.0,3,9,3,17,2,17,39.5,39.5,1.123,14,10.171,4,0.677,0.133,19,0.714,0,0
6.443,93.0,964.29,25,69,70,83.629,74,139.377,88.188,157.453,143.0,139.0,25,17,10,53,8,22,38.1,49.6,1.133,28,6.937,7,0.602,0.175,30,0.634,0,0
8.041,57.5,598.79,13,38,42,49.232,44,80.796,51.796,90.437,82.0,80.0,12,12,7,30,5,17,37.5,47.5,1.13,18,7.485,4,0.615,0.159,22,0.647,0,0
6.509,57.0,581.62,12,31,42,46.786,46,74.956,47.426,82.03,77.0,73.0,10,12,11,30,2,18,41.1,42.5,1.124,20,7.967,1,0.641,0.156,20,0.65,0,0
5.051,77.5,838.09,24,59,60,70.511,62,120.279,73.631,135.959,121.0,119.0,22,19,10,41,8,15,34.5,49.6,1.143,19,7.043,9,0.593,0.198,23,0.619,0,0
7.886,70.0,688.83,13,36,49,54.936,53,86.56,56.739,95.813,89.0,85.0,10,15,8,34,3,24,40.0,42.4,1.127,22,8.104,6,0.646,0.146,28,0.668,0,2
4.602,98.0,939.13,23,54,69,78.436,74,124.41,81.103,138.63,128.0,123.0,12,18,10,51,7,34,41.5,43.9,1.127,39,7.635,8,0.638,0.18,41,0.659,0,0
5.444,112.0,1102.46,26,75,81,96.209,87,156.028,101.473,175.699,162.0,156.0,24,17,10,64,8,34,41.0,48.1,1.126,40,7.067,7,0.617,0.16,42,0.65,0,0
5.18,46.0,450.56,6,22,32,35.873,35,54.745,37.341,60.488,57.0,54.0,5,9,4,23,2,18,42.6,40.7,1.12,18,8.344,4,0.664,0.105,20,0.692,0,0
6.748,96.0,958.23,25,63,70,82.048,74,133.726,85.904,150.208,137.0,133.0,19,17,10,53,8,28,39.8,47.4,1.129,34,7.205,7,0.617,0.182,36,0.646,0,0
5.602,144.5,1596.12,31,106,112,131.289,117,220.435,137.831,248.266,223.0,218.0,39,36,18,76,14,27,34.9,48.6,1.139,37,7.322,16,0.602,0.139,41,0.632,0,0
5.174,26.5,270.31,3,11,18,19.392,19,30.193,19.767,32.961,30.0,29.0,2,7,3,11,2,11,37.9,37.9,1.137,9,9.321,2,0.669,0.1,13,0.682,1,0
5.561,24.0,323.21,3,7,16,17.167,17,24.218,18.307,25.552,24.0,23.0,1,8,3,8,2,10,34.8,30.4,1.111,7,14.053,2,0.746,0.125,12,0.796,0,0
5.301,98.0,987.28,26,66,72,84.596,76,138.712,88.671,156.121,142.0,138.0,21,18,10,54,8,28,39.1,47.8,1.131,33,7.154,8,0.613,0.183,36,0.643,0,0
6.6,36.5,406.33,4,16,24,27.394,26,40.451,29.256,44.582,42.0,40.0,2,7,2,17,2,17,42.5,40.0,1.115,15,10.158,3,0.685,0.095,19,0.731,0,0
5.7,36.5,361.88,4,16,24,27.196,26,40.545,28.762,44.684,42.0,40.0,2,7,2,17,2,17,42.5,40.0,1.117,15,9.047,3,0.68,0.095,19,0.719,0,0
7.672,44.0,454.57,8,30,33,38.707,36,63.538,40.398,71.066,66.0,63.0,11,8,6,25,2,12,39.7,47.6,1.128,14,7.215,2,0.614,0.121,14,0.641,0,0
8.301,56.0,549.76,10,35,39,46.055,42,74.149,48.915,83.477,77.0,74.0,10,10,4,29,3,22,39.2,47.3,1.128,19,7.429,5,0.622,0.13,25,0.661,0,0
5.3,36.5,453.33,4,16,24,27.685,26,40.291,30.563,44.461,42.0,40.0,2,7,2,17,2,17,42.5,40.0,1.112,15,11.333,3,0.692,0.095,19,0.764,0,0
5.539,45.0,420.86,4,17,30,33.143,34,47.913,33.983,51.728,51.0,47.0,3,6,5,24,2,18,51.1,36.2,1.101,21,8.954,0,0.705,0.078,20,0.723,0,0
6.62,46.0,432.5,7,24,32,36.61,35,56.567,37.864,62.239,59.0,56.0,5,6,6,26,2,18,46.4,42.9,1.111,21,7.723,0,0.654,0.119,20,0.676,0,0
6.284,36.0,345.46,4,19,24,27.61,26,43.433,29.12,48.365,45.0,43.0,4,7,3,17,2,16,39.5,44.2,1.125,13,8.034,3,0.642,0.089,18,0.677,0,0
5.602,209.5,2061.43,53,117,150,168.407,161,271.726,172.825,303.001,278.0,267.0,33,47,24,103,19,59,38.6,43.8,1.135,70,7.721,23,0.631,0.191,78,0.647,0,0
8.312,45.0,468.6,9,32,34,40.234,37,66.421,42.159,74.481,69.0,66.0,12,8,6,26,2,12,39.4,48.5,1.129,14,7.1,2,0.61,0.13,14,0.639,0,0
6.5,37.5,420.36,4,18,25,28.921,27,43.334,31.017,47.997,45.0,43.0,3,7,2,18,2,17,41.9,41.9,1.116,15,9.776,3,0.673,0.089,19,0.721,0,0
8.1,38.5,372.49,5,20,26,29.632,28,46.534,31.125,51.863,48.0,46.0,4,8,3,18,2,17,39.1,43.5,1.127,14,8.098,4,0.644,0.104,19,0.677,0,0
8.337,98.0,980.2,31,57,70,80.283,75,128.814,83.381,142.929,132.0,127.0,17,19,13,51,6,34,40.2,44.9,1.125,34,7.718,5,0.632,0.235,40,0.657,0,0
6.9,36.5,407.32,4,15,24,26.888,26,39.669,28.5,43.665,41.0,39.0,2,8,2,16,2,17,41.0,38.5,1.12,14,10.444,4,0.689,0.098,19,0.731,0,0
5.8,36.5,342.46,4,18,24,27.39,26,42.323,28.909,47.238,44.0,42.0,3,7,2,17,2,17,40.5,42.9,1.125,14,8.154,4,0.652,0.091,19,0.688,0,0
8.854,50.0,476.51,7,24,35,39.04,39,60.222,39.773,65.658,63.0,59.0,6,8,8,27,2,18,45.8,40.7,1.113,21,8.076,0,0.662,0.111,20,0.674,0,0
7.77,59.0,576.78,10,36,41,48.275,45,77.258,51.125,86.603,81.0,77.0,12,10,5,31,3,22,40.3,46.8,1.125,19,7.491,4,0.627,0.123,25,0.664,0,0
6.9,52.0,473.51,7,23,35,38.82,40,59.113,39.563,64.531,63.0,58.0,6,8,7,27,1,22,46.6,39.7,1.113,21,8.164,1,0.669,0.111,23,0.682,0,0
7.337,46.0,432.5,7,24,32,36.61,35,56.567,37.864,62.239,59.0,56.0,5,6,6,26,2,18,46.4,42.9,1.111,21,7.723,0,0.654,0.119,20,0.676,0,0
5.4,38.5,372.49,6,20,26,29.632,28,46.534,31.125,51.863,48.0,46.0,4,8,3,18,2,17,39.1,43.5,1.127,14,8.098,4,0.644,0.125,19,0.677,0,0
7.745,53.5,466.51,5,22,35,39.084,40,57.683,40.102,62.824,62.0,57.0,4,6,6,29,2,23,50.9,38.6,1.102,25,8.184,0,0.686,0.081,25,0.704,0,0
4.959,95.0,958.28,25,67,70,83.387,74,137.166,87.972,154.829,141.0,137.0,21,16,9,54,7,28,39.4,48.9,1.13,33,6.995,7,0.609,0.177,35,0.642,0,0
7.854,53.5,466.51,5,22,35,39.084,40,57.683,40.102,62.824,62.0,57.0,4,6,6,29,2,23,50.9,38.6,1.102,25,8.184,0,0.686,0.081,25,0.704,0,0
6.319,46.0,416.45,5,20,31,34.557,35,51.8,35.341,56.408,55.0,51.0,4,6,6,25,2,18,49.0,39.2,1.106,21,8.166,0,0.678,0.091,20,0.693,0,0
4.699,33.0,302.38,3,14,21,23.535,23,35.564,24.591,39.036,37.0,35.0,2,6,3,15,2,16,42.9,40.0,1.115,13,8.639,2,0.672,0.081,18,0.703,0,0
4.921,45.0,387.41,4,17,29,31.81,33,46.807,32.369,50.867,50.0,46.0,2,6,5,23,1,22,50.0,37.0,1.106,21,8.422,1,0.692,0.08,23,0.704,0,0
4.735,79.0,848.12,24,61,61,72.521,63,122.843,76.143,138.793,124.0,122.0,22,17,10,44,8,16,36.1,50.0,1.138,22,6.952,7,0.594,0.194,24,0.624,0,0
5.62,57.0,493.54,7,23,37,41.105,42,60.785,42.108,66.322,65.0,60.0,3,7,6,30,1,28,50.0,38.3,1.105,27,8.226,1,0.685,0.108,29,0.702,0,0
5.0,44.0,391.82,3,14,28,30.396,32,42.92,31.011,46.186,46.0,42.0,1,6,4,22,1,22,52.4,33.3,1.1,21,9.329,1,0.724,0.065,23,0.738,0,0
6.62,52.0,459.43,4,17,34,35.954,40,52.789,35.733,56.495,57.0,51.0,4,9,8,25,1,22,49.0,33.3,1.108,21,9.008,1,0.705,0.07,23,0.701,0,0
5.616,45.0,400.45,4,20,30,33.842,34,50.473,34.887,55.199,54.0,50.0,4,5,5,25,2,18,50.0,40.0,1.104,21,8.009,0,0.677,0.074,20,0.698,0,0
4.199,68.0,664.86,13,44,49,58.109,54,93.05,61.182,104.182,98.0,93.0,14,9,7,40,2,24,43.0,47.3,1.12,26,7.149,2,0.625,0.133,26,0.658,0,0
8.0,48.0,446.48,8,22,33,36.798,36,56.011,37.557,61.033,58.0,55.0,4,7,7,26,3,18,47.3,40.0,1.11,22,8.118,0,0.669,0.138,21,0.683,0,0
8.678,50.0,476.51,7,24,35,39.04,39,60.222,39.773,65.658,63.0,59.0,6,8,8,27,2,18,45.8,40.7,1.113,21,8.076,0,0.662,0.111,20,0.674,0,0
7.886,43.0,422.51,5,26,31,36.137,35,57.451,37.625,63.654,61.0,57.0,10,6,6,25,2,12,43.9,45.6,1.117,15,7.412,0,0.634,0.082,14,0.66,0,0
6.495,37.0,354.38,4,18,26,29.03,29,44.916,29.58,48.993,47.0,44.0,5,6,6,20,2,12,45.5,40.9,1.113,15,8.054,0,0.66,0.085,14,0.672,0,0
7.398,53.0,527.09,9,27,36,41.281,39,63.72,43.483,70.677,66.0,63.0,7,10,4,26,3,22,41.3,42.9,1.122,19,8.367,4,0.655,0.136,25,0.69,0,0
7.921,52.0,506.54,8,26,37,41.282,41,64.433,41.989,70.282,67.0,63.0,7,9,9,28,2,18,44.4,41.3,1.116,21,8.04,0,0.655,0.119,20,0.666,0,0
