pXC50,CATS2D_04_PL,GATS4s,MPC04,SM07_EA,SM04_AEA.ed.,SM05_EA,piPC07,SM06_AEA.bo.,SM07_AEA.bo.,SpMin3_Bh.p.,Eig06_AEA.ed.,C.028,CATS2D_04_DL,MWC06,SpMin2_Bh.e.,ATSC3m,SpMin2_Bh.i.,SpMin1_Bh.i.,SRW10,Eig06_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMin3_Bh.v.,SM05_AEA.bo.,GATS4e,SM05_AEA.ed.,SM06_AEA.ed.,SM06_EA,SM07_AEA.ed.,SM08_AEA.ed.,ATS2p,Eig06_EA.ri.,Eig06_EA.ed.,SM15_AEA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SpMin2_Bh.v.,SM04_AEA.bo.,SpMax3_Bh.i.,SM11_EA,SM12_AEA.ed.,Eig06_EA.bo.,SaaN,C.034,N.073,NaaaC,NNRS,nPyrroles,RCI,RFD,SaaaC,X3A,SpMax1_Bh.e.,SM14_EA.bo.,MWC05,SRW08,Eig05_EA,SM13_AEA.bo.,Ram
6.745,4,0.655,4.025,8.514,8.846,6.275,6.113,10.088,11.495,1.594,4.879,1,4,8.212,1.809,16.179,1.776,1.901,10.006,2.815,1.879,1.879,1.601,8.698,0.78,10.569,12.327,7.707,14.109,15.909,3.617,1.756,5.225,5.225,4.137,4.137,7.137,4.137,1.95,7.334,3.474,12.935,23.218,2.481,7.988,0,0,0,1.0,0,1.0,0.0,0.0,0.186,3.976,20.536,7.339,8.345,2.061,2.061,8
5.602,2,0.834,4.043,8.525,8.874,6.293,6.258,10.076,11.479,1.666,4.481,0,2,8.246,1.777,15.537,1.742,1.899,10.02,2.549,1.605,1.605,1.65,8.692,0.91,10.595,12.351,7.731,14.13,15.924,3.605,1.508,4.358,4.358,4.126,4.126,7.126,4.126,1.926,7.334,3.521,12.906,23.198,2.261,7.753,0,0,0,1.0,0,1.0,0.0,0.0,0.188,3.977,20.322,7.376,8.369,2.061,2.061,8
6.495,4,0.742,4.127,8.665,8.972,6.415,6.306,10.157,11.569,1.666,4.879,1,4,8.327,1.809,17.463,1.776,1.901,10.113,2.815,1.879,1.879,1.652,8.764,0.856,10.708,12.477,7.836,14.268,16.075,3.673,1.756,5.225,5.225,4.15,4.15,7.15,4.15,1.95,7.397,3.522,13.093,23.398,2.481,8.008,0,0,0,1.0,0,1.0,0.0,0.0,0.184,3.982,20.58,7.446,8.447,2.061,2.061,9
6.009,4,0.918,4.078,8.641,8.946,6.399,6.222,10.145,11.557,1.607,4.879,1,5,8.289,1.809,16.451,1.776,1.899,10.083,2.815,1.879,1.879,1.594,8.751,0.89,10.681,12.448,7.808,14.237,16.042,3.632,1.756,5.225,5.225,4.149,4.149,7.149,4.149,1.95,7.383,3.481,13.062,23.358,2.481,7.875,0,0,0,1.0,0,1.0,0.0,0.0,0.185,3.979,20.576,7.41,8.417,2.061,2.061,9
6.959,4,0.713,4.078,8.641,8.946,6.399,6.222,10.145,11.557,1.685,4.879,1,4,8.289,1.809,18.632,1.776,1.916,10.083,2.815,1.879,1.879,1.697,8.751,0.758,10.681,12.448,7.808,14.237,16.042,3.696,1.756,5.225,5.225,4.149,4.149,7.149,4.149,1.951,7.383,3.563,13.062,23.358,2.481,8.038,0,0,0,1.0,0,1.0,0.0,0.0,0.185,3.988,20.576,7.41,8.417,2.061,2.061,9
6.959,4,0.713,4.078,8.641,8.946,6.399,6.222,10.145,11.557,1.685,4.879,1,4,8.289,1.809,18.632,1.776,1.916,10.083,2.815,1.879,1.879,1.697,8.751,0.758,10.681,12.448,7.808,14.237,16.042,3.696,1.756,5.225,5.225,4.149,4.149,7.149,4.149,1.951,7.383,3.563,13.062,23.358,2.481,8.038,0,0,0,1.0,0,1.0,0.0,0.0,0.185,3.988,20.576,7.41,8.417,2.061,2.061,9
6.959,4,0.713,4.078,8.641,8.946,6.399,6.222,10.145,11.557,1.685,4.879,1,4,8.289,1.809,18.632,1.776,1.916,10.083,2.815,1.879,1.879,1.697,8.751,0.758,10.681,12.448,7.808,14.237,16.042,3.696,1.756,5.225,5.225,4.149,4.149,7.149,4.149,1.951,7.383,3.563,13.062,23.358,2.481,8.038,0,0,0,1.0,0,1.0,0.0,0.0,0.185,3.988,20.576,7.41,8.417,2.061,2.061,9
7.678,4,0.589,4.174,8.577,8.96,6.365,6.297,10.129,11.52,1.871,4.879,1,4,8.365,1.819,25.503,1.783,1.929,10.136,2.815,1.879,1.879,1.872,8.758,0.403,10.665,12.404,7.821,14.166,15.946,3.871,1.756,5.225,5.225,4.137,4.137,7.137,4.137,1.967,7.415,3.755,12.927,23.164,2.481,8.125,0,0,0,1.0,0,1.0,0.0,0.0,0.187,4.005,20.294,7.493,8.494,2.12,2.12,9
7.638,4,0.685,4.22,8.603,8.986,6.382,6.358,10.143,11.535,1.872,5.014,1,4,8.4,1.835,27.814,1.798,1.93,10.166,2.92,1.975,1.975,1.875,8.772,0.471,10.692,12.434,7.848,14.2,15.982,3.925,1.863,5.671,5.671,4.15,4.15,7.15,4.15,1.982,7.429,3.755,12.968,23.218,2.546,8.29,0,0,0,1.0,0,1.0,0.0,0.0,0.186,4.007,20.324,7.528,8.521,2.124,2.124,9
7.215,4,0.677,4.174,8.577,8.96,6.365,6.616,10.215,11.608,1.864,4.879,1,4,8.365,1.835,19.378,1.801,1.971,10.136,2.815,1.879,1.879,1.866,8.842,0.533,10.665,12.404,7.821,14.166,15.946,3.857,1.756,5.225,5.225,4.139,4.139,7.139,4.139,1.968,7.494,3.793,12.927,23.164,2.491,12.177,0,0,0,1.0,0,1.0,0.0,0.0,0.187,4.025,20.467,7.493,8.494,2.12,2.12,9
7.222,4,0.781,4.22,8.603,8.986,6.382,6.661,10.228,11.621,1.865,5.014,1,4,8.4,1.849,21.989,1.814,1.971,10.166,2.92,1.975,1.975,1.869,8.854,0.629,10.692,12.434,7.848,14.2,15.982,3.912,1.863,5.671,5.671,4.151,4.151,7.151,4.151,1.983,7.507,3.795,12.968,23.218,2.546,12.351,0,0,0,1.0,0,1.0,0.0,0.0,0.186,4.027,20.492,7.528,8.521,2.124,2.124,9
7.149,4,0.712,4.443,8.79,9.143,6.524,7.141,10.421,11.83,1.941,5.019,1,4,8.585,1.888,22.278,1.863,2.066,10.37,3.016,2.073,2.073,1.939,9.033,0.658,10.86,12.617,8.018,14.401,16.205,4.034,1.937,5.897,5.897,4.493,4.493,7.493,4.493,1.998,7.672,3.881,13.252,23.548,2.635,12.506,0,0,2,0.75,0,1.091,0.091,2.234,0.178,4.112,21.413,7.699,8.696,2.152,2.152,10
7.77,4,0.773,4.477,8.887,9.218,6.621,7.191,10.462,11.875,1.95,5.043,1,4,8.639,1.902,24.663,1.878,2.067,10.425,3.046,2.124,2.124,1.947,9.071,0.654,10.945,12.709,8.093,14.498,16.306,4.086,1.953,5.937,5.937,4.494,4.494,7.494,4.494,2.006,7.708,3.889,13.346,23.65,2.749,12.568,0,0,2,0.75,0,1.091,0.091,2.23,0.179,4.114,21.429,7.75,8.747,2.199,2.199,11
7.108,4,0.778,4.407,8.724,9.117,6.494,6.826,10.341,11.737,1.918,5.019,1,4,8.561,1.854,24.898,1.825,1.984,10.343,3.016,2.073,2.073,1.909,8.964,0.726,10.818,12.555,7.984,14.317,16.096,3.997,1.937,5.897,5.897,4.147,4.147,7.147,4.147,1.987,7.613,3.835,13.099,23.319,2.635,8.261,0,0,0,0.75,0,1.091,0.091,0.0,0.181,4.042,20.663,7.682,8.681,2.154,2.154,10
7.638,4,0.827,4.443,8.827,9.194,6.594,6.889,10.386,11.787,1.927,5.043,1,4,8.616,1.86,27.238,1.833,1.989,10.399,3.047,2.124,2.124,1.919,9.004,0.714,10.907,12.653,8.062,14.422,16.208,4.052,1.954,5.937,5.937,4.153,4.153,7.153,4.153,1.989,7.65,3.845,13.208,23.446,2.748,8.311,0,0,0,0.75,0,1.091,0.091,0.0,0.182,4.048,20.697,7.733,8.733,2.248,2.248,11
4.438,2,0.991,3.434,7.623,8.156,5.485,5.251,9.414,10.769,1.429,3.247,0,2,7.61,1.731,11.347,1.684,1.909,9.375,2.0,1.0,1.0,1.429,8.079,0.977,9.803,11.487,7.002,13.195,14.921,3.271,1.0,2.136,2.136,3.898,3.898,6.898,3.898,1.891,6.771,3.295,11.812,21.938,1.5,7.837,0,0,0,1.0,0,1.0,0.0,0.0,0.199,3.966,19.246,6.772,7.782,1.338,1.338,4
7.585,3,0.637,4.407,8.827,9.106,6.538,6.067,10.061,11.446,1.798,5.0,0,3,8.552,1.834,29.435,1.805,1.901,10.309,2.887,1.934,1.934,1.798,8.696,0.436,10.839,12.609,7.997,14.405,16.221,3.94,1.844,5.818,5.818,3.933,3.933,6.933,3.933,1.959,7.359,3.808,13.37,23.625,2.383,8.288,0,0,0,0.75,0,1.15,0.2,0.0,0.172,4.064,19.849,7.638,8.615,2.061,2.061,10
7.523,5,0.738,4.007,8.356,8.713,6.111,6.554,9.965,11.372,1.613,4.671,1,5,8.155,1.854,16.968,1.834,1.99,9.957,2.618,1.683,1.683,1.602,8.58,0.805,10.421,12.17,7.586,13.948,15.751,3.645,1.544,4.78,4.78,4.575,4.575,7.575,4.575,1.937,7.224,3.524,12.842,23.134,2.309,8.233,0,0,2,0.667,0,1.125,0.125,1.565,0.179,4.064,21.342,7.265,8.28,2.0,2.0,7
8.398,4,0.571,4.19,8.731,8.92,6.382,7.234,10.093,11.547,1.639,4.499,1,4,8.329,1.783,20.639,1.723,2.019,10.107,2.422,1.452,1.452,1.638,8.663,0.853,10.692,12.501,7.827,14.337,16.193,3.674,1.405,4.008,4.008,4.855,4.855,7.855,4.855,1.974,7.267,3.633,13.391,23.735,2.075,8.34,1,1,4,0.333,1,1.308,0.308,3.948,0.166,4.202,22.187,7.404,8.383,1.965,1.965,8
6.886,5,0.54,4.263,8.561,8.931,6.293,6.695,10.082,11.484,1.815,4.727,1,5,8.394,1.892,26.403,1.862,1.991,10.184,2.758,1.844,1.844,1.828,8.704,0.494,10.642,12.395,7.811,14.177,15.983,3.881,1.673,4.944,4.944,4.575,4.575,7.575,4.575,2.024,7.361,3.712,13.037,23.348,2.337,8.361,0,0,2,0.75,0,1.091,0.091,1.61,0.177,4.068,21.355,7.507,8.512,2.008,2.008,8
8.097,5,0.537,4.111,9.012,9.054,6.661,6.644,10.2,11.63,1.724,4.748,1,5,8.34,1.933,24.505,1.905,1.995,10.169,2.714,1.779,1.779,1.762,8.791,0.507,10.839,12.666,8.062,14.523,16.402,3.882,1.647,5.036,5.036,4.575,4.575,7.575,4.575,2.037,7.409,3.626,13.694,24.044,2.356,8.34,0,0,2,0.667,0,1.125,0.125,1.623,0.176,4.069,21.39,7.438,8.484,2.008,2.008,9
7.699,5,0.718,4.043,8.382,8.745,6.133,6.585,9.981,11.389,1.614,4.696,1,5,8.19,1.854,17.352,1.835,1.99,9.987,2.634,1.695,1.695,1.603,8.596,0.776,10.454,12.203,7.617,13.981,15.782,3.655,1.581,4.82,4.82,4.575,4.575,7.575,4.575,1.953,7.241,3.525,12.861,23.155,2.315,8.262,0,0,2,0.667,0,1.125,0.125,1.575,0.18,4.064,21.345,7.302,8.312,2.004,2.004,7
7.222,5,0.692,4.007,8.356,8.713,6.111,6.554,9.965,11.372,1.613,4.671,1,5,8.155,1.864,16.919,1.837,1.99,9.957,2.627,1.683,1.683,1.603,8.58,0.708,10.421,12.17,7.586,13.948,15.751,3.636,1.578,4.78,4.78,4.575,4.575,7.575,4.575,1.966,7.224,3.525,12.842,23.134,2.309,8.235,0,0,2,0.667,0,1.125,0.125,1.568,0.179,4.064,21.342,7.265,8.28,2.0,2.0,7
6.699,5,0.61,4.159,8.553,8.894,6.293,6.659,10.059,11.467,1.76,4.723,1,5,8.314,1.887,26.558,1.857,1.991,10.105,2.68,1.749,1.749,1.792,8.676,0.66,10.615,12.375,7.766,14.162,15.97,3.855,1.615,4.901,4.901,4.575,4.575,7.575,4.575,2.009,7.323,3.652,13.019,23.34,2.333,8.353,0,0,2,0.667,0,1.125,0.125,1.62,0.18,4.067,21.355,7.427,8.431,2.008,2.008,8
7.301,5,0.519,4.263,8.561,8.931,6.293,6.695,10.082,11.484,1.855,4.727,1,5,8.394,1.958,31.172,1.924,1.996,10.184,2.809,1.844,1.844,1.884,8.704,0.546,10.642,12.395,7.811,14.177,15.983,4.012,1.771,4.944,4.944,4.575,4.575,7.575,4.575,2.078,7.361,3.777,13.037,23.348,2.337,8.398,0,0,2,0.75,0,1.091,0.091,1.659,0.177,4.072,21.355,7.507,8.512,2.008,2.008,8
7.222,5,0.768,4.025,8.432,8.75,6.155,6.57,9.981,11.397,1.613,4.135,1,5,8.174,1.854,18.557,1.834,1.99,9.984,2.387,1.414,1.414,1.602,8.588,0.885,10.477,12.245,7.631,14.041,15.858,3.645,1.362,3.643,3.643,4.576,4.576,7.576,4.576,1.939,7.227,3.524,12.94,23.262,2.053,8.226,0,0,2,0.667,0,1.125,0.125,1.527,0.177,4.064,21.371,7.281,8.298,1.801,1.801,7
7.377,5,0.659,4.025,8.363,8.713,6.111,6.554,9.965,11.373,1.613,4.598,1,5,8.16,1.854,16.968,1.834,1.99,9.962,2.593,1.661,1.661,1.602,8.58,0.7,10.423,12.173,7.589,13.953,15.757,3.645,1.503,4.66,4.66,4.575,4.575,7.575,4.575,1.937,7.224,3.524,12.854,23.142,2.289,8.23,0,0,2,0.667,0,1.125,0.125,1.55,0.176,4.064,21.346,7.266,8.282,1.964,1.964,7
10.222,4,0.575,4.317,8.879,9.039,6.509,7.358,10.186,11.647,1.758,5.008,1,4,8.454,1.812,24.389,1.756,2.02,10.219,2.824,1.862,1.862,1.797,8.751,0.953,10.821,12.64,7.953,14.485,16.351,3.799,1.783,5.703,5.703,4.891,4.891,7.891,4.891,1.991,7.349,3.663,13.603,23.942,2.389,8.451,2,1,4,0.333,1,1.308,0.308,4.046,0.163,4.213,22.307,7.518,8.486,2.022,2.022,9
9.796,4,0.658,4.078,8.618,8.831,6.312,7.169,10.051,11.499,1.671,4.401,1,4,8.237,1.744,15.691,1.689,2.015,10.017,2.396,1.427,1.427,1.65,8.626,0.884,10.586,12.376,7.732,14.192,16.027,3.547,1.379,3.988,3.988,4.831,4.831,7.831,4.831,1.927,7.232,3.567,13.223,23.496,1.995,8.25,2,1,4,0.333,1,1.308,0.308,3.742,0.166,4.196,22.104,7.314,8.302,1.96,1.96,8
9.638,4,0.642,4.511,8.995,9.228,6.673,7.417,10.416,11.86,1.78,5.159,1,4,8.648,1.898,19.341,1.884,2.02,10.429,2.972,2.061,2.061,1.754,8.995,0.791,10.984,12.776,8.125,14.594,16.432,3.866,1.901,6.118,6.118,4.852,4.852,7.852,4.852,2.007,7.604,3.768,13.594,23.904,2.806,8.373,1,1,4,0.5,1,1.211,0.211,3.516,0.167,4.203,22.261,7.731,8.713,2.075,2.075,11
9.187,4,0.553,4.22,8.748,8.921,6.382,7.295,10.123,11.585,1.753,4.723,1,4,8.348,1.764,19.991,1.706,2.018,10.117,2.567,1.614,1.614,1.78,8.686,0.734,10.694,12.505,7.836,14.343,16.201,3.668,1.532,4.69,4.69,4.885,4.885,7.885,4.885,1.951,7.283,3.612,13.451,23.756,2.143,8.373,2,1,4,0.333,1,1.308,0.308,4.008,0.162,4.208,22.285,7.415,8.387,1.894,1.894,8
7.638,4,0.647,3.932,8.395,8.618,6.066,6.977,9.903,11.354,1.587,3.47,1,4,8.05,1.513,9.045,1.449,2.014,9.853,2.025,1.074,1.074,1.577,8.477,0.741,10.372,12.166,7.523,13.988,15.831,3.274,1.019,2.429,2.429,4.807,4.807,7.807,4.807,1.735,7.083,3.331,13.02,23.34,1.578,8.101,1,1,4,0.333,1,1.308,0.308,3.655,0.166,4.183,22.022,7.133,8.129,1.447,1.447,6
8.699,4,0.615,4.078,8.696,8.854,6.347,7.173,10.088,11.551,1.634,4.633,1,4,8.239,1.669,12.272,1.608,2.017,10.035,2.494,1.539,1.539,1.624,8.648,0.638,10.629,12.439,7.768,14.274,16.128,3.446,1.465,4.455,4.455,4.88,4.88,7.88,4.88,1.871,7.237,3.394,13.379,23.669,2.108,8.229,2,1,4,0.333,1,1.308,0.308,3.851,0.166,4.201,22.267,7.307,8.303,1.789,1.789,8
5.301,5,0.791,3.761,8.219,8.536,5.969,5.968,9.713,11.115,1.633,3.414,1,5,7.929,1.703,15.4,1.66,1.933,9.727,2.0,1.0,1.0,1.652,8.332,0.869,10.261,12.026,7.407,13.819,15.637,3.422,1.0,2.275,2.275,4.229,4.229,7.229,4.229,1.855,6.979,3.485,12.717,23.064,1.5,8.197,0,0,0,1.0,0,1.0,0.0,0.0,0.182,4.002,20.279,7.043,8.056,1.717,1.717,6
5.322,2,1.014,3.434,7.609,8.174,5.485,4.894,9.425,10.775,1.551,3.247,0,2,7.626,1.776,13.731,1.732,1.904,9.386,2.0,1.0,1.0,1.569,8.095,0.958,9.814,11.49,7.015,13.191,14.91,3.368,1.0,2.136,2.136,3.88,3.88,6.88,3.88,1.929,6.792,3.425,11.755,21.9,1.5,7.869,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.957,19.207,6.799,7.808,1.414,1.414,4
4.663,2,0.925,3.434,7.609,8.174,5.485,5.554,9.481,10.834,1.481,3.247,0,2,7.626,1.764,11.167,1.722,1.906,9.386,2.0,1.0,1.0,1.487,8.148,0.849,9.814,11.49,7.015,13.191,14.91,3.303,1.0,2.136,2.136,3.917,3.917,6.917,3.917,1.917,6.843,3.378,11.755,21.9,1.5,7.767,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.958,19.349,6.799,7.808,1.414,1.414,4
5.845,0,1.067,3.584,8.024,8.473,5.889,5.073,9.683,11.058,1.433,4.042,0,0,7.838,1.726,14.532,1.683,1.881,9.632,2.306,1.414,1.414,1.419,8.324,1.264,10.148,11.852,7.313,13.576,15.314,3.358,1.199,3.524,3.524,3.891,3.891,6.891,3.891,1.901,6.989,3.297,12.208,22.35,1.948,7.588,0,0,0,1.0,0,1.0,0.0,0.0,0.202,3.941,19.693,6.995,8.022,1.473,1.473,6
6.517,2,0.948,3.912,8.241,8.624,5.994,6.427,9.881,11.285,1.609,4.068,0,2,8.064,1.778,13.996,1.733,2.069,9.869,2.37,1.432,1.432,1.631,8.501,0.916,10.331,12.076,7.498,13.849,15.641,3.58,1.34,3.608,3.608,4.434,4.434,7.434,4.434,1.937,7.152,3.522,12.644,22.924,1.968,7.997,0,0,2,0.667,0,1.125,0.125,2.441,0.183,4.1,21.009,7.191,8.206,1.618,1.618,6
6.269,0,1.381,4.22,9.056,9.189,6.735,5.859,10.447,11.891,1.948,4.954,0,2,8.488,1.898,33.253,1.883,1.977,10.273,3.005,2.09,2.09,1.913,9.028,1.356,10.942,12.744,8.167,14.583,16.451,4.022,1.901,5.794,5.794,4.697,4.697,7.697,4.697,2.01,7.646,3.879,13.699,24.103,2.752,7.709,0,0,0,1.0,0,1.0,0.0,0.0,0.196,4.08,21.808,7.63,8.65,2.286,2.286,10
5.251,0,1.131,3.638,8.141,8.521,5.943,5.116,9.704,11.093,1.45,4.009,0,0,7.871,1.727,11.097,1.683,1.881,9.676,2.355,1.414,1.414,1.441,8.335,1.233,10.225,11.965,7.375,13.729,15.51,3.358,1.318,3.472,3.472,3.99,3.99,6.99,3.99,1.903,6.993,3.299,12.453,22.74,1.965,7.577,0,0,0,1.0,0,1.0,0.0,0.0,0.196,3.943,19.907,7.018,8.048,1.585,1.585,6
5.7,0,1.253,4.382,8.832,9.145,6.538,6.037,10.261,11.651,1.95,5.133,0,0,8.563,1.887,26.957,1.868,1.883,10.301,3.066,2.087,2.087,1.922,8.895,1.345,10.864,12.624,8.032,14.416,16.231,3.994,2.077,6.386,6.386,4.146,4.146,7.146,4.146,1.968,7.564,3.877,13.409,23.652,2.727,7.712,0,0,0,0.75,0,1.095,0.095,0.0,0.186,4.027,20.38,7.691,8.664,2.226,2.226,10
6.387,0,1.001,4.06,8.249,8.782,6.089,5.637,9.974,11.334,1.943,4.409,0,0,8.242,1.894,24.848,1.875,1.9,9.987,2.661,1.727,1.727,1.909,8.634,1.201,10.437,12.129,7.627,13.847,15.584,3.858,1.623,4.309,4.309,3.917,3.917,6.917,3.917,2.0,7.325,3.877,12.455,22.641,2.124,7.753,0,0,0,1.0,0,1.0,0.0,0.0,0.198,3.973,19.863,7.405,8.393,2.09,2.09,7
6.538,3,1.297,4.554,9.365,9.473,6.995,6.66,10.686,12.139,1.961,5.284,0,3,8.789,1.967,40.803,1.946,2.045,10.582,3.262,2.284,2.284,1.963,9.263,1.161,11.251,13.082,8.444,14.954,16.858,4.313,2.225,6.577,6.577,4.863,4.863,7.863,4.863,2.062,7.876,3.889,14.141,24.687,2.936,0.0,0,0,0,1.0,0,1.0,0.0,0.0,0.187,4.135,22.293,7.911,8.923,2.404,2.404,13
6.315,0,1.402,4.111,8.951,9.089,6.635,5.721,10.376,11.816,1.945,4.952,0,2,8.39,1.903,32.164,1.882,1.977,10.171,3.003,2.088,2.088,1.913,8.963,1.397,10.832,12.629,8.074,14.467,16.336,3.983,1.9,5.79,5.79,4.697,4.697,7.697,4.697,2.013,7.586,3.877,13.606,24.015,2.727,7.691,0,0,0,1.0,0,1.0,0.0,0.0,0.2,4.08,21.764,7.541,8.564,2.238,2.238,9
4.606,0,0.99,3.555,7.816,8.355,5.707,5.089,9.575,10.933,1.578,3.414,0,2,7.777,1.746,13.965,1.695,1.885,9.542,2.0,1.0,1.0,1.578,8.233,0.957,10.002,11.68,7.188,13.379,15.093,3.36,1.0,2.275,2.275,3.881,3.881,6.881,3.881,1.92,6.916,3.423,11.931,22.045,1.5,7.759,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.951,19.369,6.944,7.953,1.476,1.476,5
5.178,0,1.15,3.526,7.902,8.362,5.74,5.011,9.574,10.946,1.511,3.604,0,3,7.751,1.746,13.591,1.695,1.885,9.537,2.333,1.414,1.414,1.509,8.222,1.207,10.038,11.75,7.209,13.485,15.237,3.347,1.232,2.982,2.982,3.884,3.884,6.884,3.884,1.916,6.897,3.381,12.112,22.334,1.944,7.723,0,0,0,1.0,0,1.0,0.0,0.0,0.2,3.947,19.537,6.913,7.933,1.414,1.414,5
7.427,2,1.213,4.466,8.953,9.234,6.648,6.298,10.336,11.736,1.935,5.247,0,2,8.641,1.887,27.833,1.868,1.912,10.387,3.066,2.026,2.026,1.925,8.959,1.245,10.967,12.739,8.125,14.539,16.36,4.05,2.093,6.426,6.426,4.146,4.146,7.146,4.146,1.968,7.616,3.852,13.532,23.782,2.662,7.987,0,0,0,0.75,0,1.095,0.095,0.0,0.182,4.032,20.555,7.758,8.732,2.243,2.243,11
4.924,2,1.01,3.989,8.497,8.845,6.275,6.18,10.063,11.466,1.606,4.35,0,3,8.205,1.777,14.527,1.742,1.897,9.987,2.519,1.571,1.571,1.593,8.678,0.954,10.565,12.318,7.701,14.094,15.886,3.561,1.485,4.111,4.111,4.124,4.124,7.124,4.124,1.926,7.319,3.48,12.869,23.15,2.252,7.62,0,0,0,1.0,0,1.0,0.0,0.0,0.19,3.973,20.317,7.338,8.338,2.061,2.061,8
6.319,5,1.017,4.111,9.012,9.054,6.661,6.644,10.2,11.63,1.614,4.748,1,5,8.34,1.879,13.937,1.857,1.991,10.169,2.694,1.779,1.779,1.603,8.791,1.061,10.839,12.666,8.062,14.523,16.402,3.665,1.614,5.036,5.036,4.575,4.575,7.575,4.575,1.97,7.409,3.528,13.694,24.044,2.356,8.043,0,0,2,0.667,0,1.125,0.125,1.221,0.176,4.066,21.39,7.438,8.484,2.008,2.008,9
7.244,4,0.616,4.248,9.115,9.166,6.758,6.853,10.289,11.723,1.75,5.009,1,4,8.469,1.933,29.35,1.905,1.995,10.287,2.921,1.983,1.983,1.764,8.875,0.628,10.953,12.783,8.163,14.641,16.52,3.969,1.846,5.795,5.795,4.626,4.626,7.626,4.626,2.036,7.491,3.63,13.807,24.161,2.711,8.431,0,0,2,0.667,0,1.125,0.125,1.488,0.174,4.076,21.541,7.562,8.592,2.056,2.056,10
5.393,2,1.033,3.871,8.128,8.594,5.943,6.231,9.869,11.256,1.571,4.172,0,2,8.041,1.789,16.326,1.746,2.051,9.837,2.428,1.488,1.488,1.605,8.502,0.928,10.268,11.978,7.452,13.712,15.463,3.671,1.405,3.77,3.77,4.336,4.336,7.336,4.336,1.949,7.164,3.51,12.395,22.568,2.095,7.942,0,0,2,0.667,0,1.125,0.125,2.478,0.19,4.077,20.751,7.185,8.201,1.618,1.618,6
6.567,2,1.397,4.454,9.286,9.392,6.919,6.575,10.628,12.078,1.949,5.249,0,2,8.701,1.933,34.723,1.911,2.045,10.497,3.228,2.279,2.279,1.952,9.206,1.296,11.167,12.997,8.368,14.869,16.775,4.192,2.156,6.577,6.577,4.863,4.863,7.863,4.863,2.041,7.821,3.881,14.064,24.622,2.924,7.98,0,0,0,1.0,0,1.0,0.0,0.0,0.189,4.134,22.253,7.828,8.847,2.404,2.404,12
7.509,2,1.214,4.466,8.953,9.234,6.648,6.302,10.336,11.736,1.936,5.249,0,2,8.641,1.887,27.833,1.868,1.912,10.387,3.066,2.026,2.026,1.926,8.959,1.245,10.967,12.739,8.125,14.539,16.36,4.05,2.093,6.426,6.426,4.146,4.146,7.146,4.146,1.968,7.616,3.853,13.532,23.782,2.664,7.97,0,0,0,0.75,0,1.095,0.095,0.0,0.182,4.032,20.555,7.758,8.732,2.242,2.242,11
6.569,0,0.891,3.912,8.234,8.636,5.994,6.252,9.888,11.288,1.628,4.127,0,0,8.071,1.735,14.179,1.692,2.061,9.875,2.392,1.483,1.483,1.648,8.512,1.101,10.337,12.078,7.506,13.847,15.635,3.55,1.345,3.715,3.715,4.43,4.43,7.43,4.43,1.922,7.167,3.536,12.614,22.906,1.985,7.744,0,0,2,0.667,0,1.125,0.125,2.333,0.186,4.091,20.997,7.207,8.223,1.618,1.618,6
4.623,0,0.731,3.664,8.751,8.783,6.431,5.328,9.887,11.291,1.769,4.17,0,0,7.996,1.737,19.602,1.694,1.94,9.813,2.372,1.455,1.455,1.797,8.502,0.851,10.554,12.37,7.808,14.218,16.09,3.618,1.328,3.759,3.759,3.883,3.883,6.883,3.883,1.925,7.143,3.657,13.389,23.722,1.964,7.712,0,0,0,1.0,0,1.0,0.0,0.0,0.195,3.984,19.658,7.133,8.192,1.648,1.648,7
4.947,0,0.956,3.434,7.609,8.174,5.485,4.894,9.425,10.775,1.511,3.247,0,2,7.626,1.746,12.749,1.694,1.884,9.386,2.0,1.0,1.0,1.509,8.095,1.026,9.814,11.49,7.015,13.191,14.91,3.284,1.0,2.136,2.136,3.88,3.88,6.88,3.88,1.921,6.792,3.381,11.755,21.9,1.5,7.744,0,0,0,1.0,0,1.0,0.0,0.0,0.203,3.943,19.207,6.799,7.808,1.414,1.414,4
7.347,4,0.626,4.304,8.825,9.134,6.581,6.7,10.352,11.76,1.905,4.93,1,4,8.503,1.863,23.552,1.835,2.007,10.292,2.889,1.916,1.916,1.912,8.963,0.528,10.865,12.63,8.002,14.42,16.229,4.003,1.879,5.479,5.479,4.215,4.215,7.215,4.215,1.98,7.598,3.837,13.269,23.584,2.558,8.157,0,0,0,1.0,0,1.0,0.0,0.0,0.183,4.053,20.821,7.614,8.625,2.12,2.12,11
