pXC50,Eig08_AEA.ed.,Eig12_AEA.ed.,Psi_i_1,P_VSA_s_3,X4v,ATS1p,ATS2p,ATS3p,ATS3v,Eig05_AEA.ed.,Eig06_AEA.ed.,X2v,ALOGP,ALOGP2,ATS2v,ATSC2i,Eig10_AEA.ed.,Eig11_AEA.ed.,SM02_EA.ri.,SpAD_AEA.bo.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,X1v,X5v,SpMax7_Bh.p.,SpMax7_Bh.v.,SpMin6_Bh.s.,SpMin7_Bh.i.,TPC,ATSC3m,ATSC4m,Chi1_EA.bo.,Eta_C,Eta_L,SpMax7_Bh.m.,Wap,X1Kup,X1MulPer,X1Per,X3v,X4,X4sol,ATS4p,ATSC4p,MPC03,MPC04,MWC05,MWC06,MWC07,MWC08,SM02_AEA.ed.,Sp,SpAD_EA.ed.,SpMax6_Bh.i.,SpMax6_Bh.p.,SpMax7_Bh.e.,SpMaxA_EA.bo.,SpMin6_Bh.e.,SpMin6_Bh.i.,SRW06,SRW08,X5,X5sol,BLTA96
6.398,4.487,3.414,17.797,34.461,3.038,3.701,4.061,4.163,4.053,4.911,4.911,8.154,6.096,37.161,3.984,1.371,3.46,3.414,4.333,49.56,50.681,49.631,49.314,11.484,1.976,2.997,3.022,0.409,1.074,6.904,40.792,40.745,14.0,29.092,8.02,3.322,11351.0,10.647,10.41,8.717,4.938,7.762,8.096,4.08,10.613,3.871,4.007,7.418,8.229,9.011,9.823,5.765,42.148,125.87,3.508,3.191,3.257,0.104,1.353,1.271,6.909,8.38,5.595,6.066,-5.51
4.469,3.0,2.0,10.406,15.207,5.536,3.15,3.74,4.031,3.824,3.857,3.857,6.992,1.908,3.64,3.622,0.916,2.222,2.0,3.996,23.398,24.642,23.433,23.398,5.695,3.434,2.274,2.228,0.42,0.455,6.1,26.516,28.102,7.464,17.675,5.69,2.236,2352.0,5.686,5.375,4.466,4.669,6.019,6.019,3.881,11.191,3.526,4.06,7.235,8.261,9.15,10.177,5.533,20.62,84.721,2.862,2.488,2.582,0.246,0.79,0.665,6.629,8.44,3.608,3.608,-4.3
6.476,3.417,2.335,14.671,23.721,3.405,3.566,3.972,4.114,3.957,4.657,3.799,7.053,2.958,8.752,3.855,1.182,2.74,2.505,4.103,35.878,36.595,35.271,35.115,9.546,2.064,2.921,2.93,0.796,1.09,6.28,36.664,36.864,11.347,30.719,9.197,2.99,3962.0,9.464,9.272,7.728,4.911,5.427,5.427,4.084,12.32,3.584,3.738,7.13,7.968,8.796,9.646,5.442,35.216,90.425,3.302,3.063,3.157,0.128,1.361,1.313,6.558,8.04,3.718,3.718,-3.44
4.215,4.931,3.734,18.839,46.207,4.582,3.639,4.087,4.305,4.292,5.717,5.545,8.467,1.552,2.41,4.088,1.324,4.569,4.277,4.643,55.561,58.566,54.708,54.631,10.206,3.348,2.916,2.938,0.652,0.989,8.89,26.393,38.741,13.902,30.107,7.363,3.0,89893.0,10.033,9.711,8.011,6.253,11.068,11.068,4.324,13.149,4.407,4.745,7.999,8.948,9.895,10.846,6.184,35.904,177.789,3.248,3.02,3.105,0.131,1.262,1.212,7.292,9.011,9.751,9.751,-2.8
4.959,4.515,3.47,19.024,55.892,4.944,3.674,4.114,4.278,4.203,5.316,5.181,8.58,3.318,11.006,4.068,1.559,3.933,3.712,4.532,52.141,53.27,51.633,51.468,10.963,3.639,2.941,2.948,0.805,1.064,8.281,35.976,39.453,13.955,31.283,8.615,3.052,53500.0,10.812,10.606,8.676,6.695,10.213,9.954,4.255,12.69,4.234,4.522,7.777,8.675,9.568,10.467,5.989,37.006,152.137,3.297,3.029,3.169,0.133,1.163,1.099,7.127,8.767,8.198,7.951,-4.84
6.046,3.161,2.0,11.625,41.547,1.822,3.311,3.614,3.676,3.615,4.18,3.708,4.836,2.125,4.517,3.563,0.87,2.646,2.204,3.96,32.252,33.301,32.062,32.041,7.559,1.109,2.735,2.715,0.218,0.821,6.08,24.364,23.109,9.272,18.472,5.898,2.771,3096.0,7.432,7.278,6.096,2.931,4.77,4.77,3.62,6.687,3.434,3.526,6.965,7.772,8.561,9.373,5.313,28.449,80.147,3.176,2.936,2.952,0.164,1.055,1.031,6.454,7.92,3.322,3.322,-3.66
2.886,0.211,0.0,4.005,7.397,0.576,2.315,2.618,2.48,2.309,1.663,1.0,1.599,-0.714,0.509,2.542,0.323,0.0,0.0,2.837,11.061,11.396,10.816,10.838,2.61,0.206,0.856,0.783,0.0,0.0,4.078,7.41,5.678,3.055,3.841,1.959,0.704,168.0,2.561,2.52,2.127,0.955,1.707,1.707,2.201,1.342,2.398,2.485,5.814,6.589,7.353,8.129,4.143,10.301,25.238,2.09,1.482,1.336,0.435,0.0,0.0,5.283,6.681,0.697,0.697,-0.89
5.602,3.247,2.0,11.324,16.255,2.227,3.351,3.696,3.849,3.723,3.881,3.59,5.321,3.871,14.985,3.609,0.896,2.335,2.229,3.946,30.726,31.369,30.37,30.33,7.05,1.511,2.735,2.715,0.537,0.821,6.05,21.161,25.162,8.286,15.586,4.614,2.687,2491.0,6.974,6.647,5.637,3.396,5.104,5.104,3.851,9.973,3.526,3.738,7.054,7.906,8.752,9.609,5.323,27.836,80.399,3.117,2.89,2.874,0.186,1.074,1.001,6.475,8.03,4.026,4.026,-4.73
4.442,3.045,2.0,10.196,75.316,3.243,3.207,3.517,3.505,3.365,4.337,3.556,6.868,-0.355,0.126,3.393,0.832,2.339,2.0,3.829,29.105,29.35,28.82,29.044,8.853,2.011,2.23,2.231,0.113,0.516,5.784,19.661,29.408,7.784,16.911,5.387,2.435,2022.0,5.476,5.042,4.2,4.135,4.395,6.368,3.546,7.63,3.258,3.466,6.903,7.757,8.523,9.375,5.333,23.938,79.526,2.929,2.593,2.552,0.222,0.912,0.84,6.415,7.886,2.397,3.686,-1.31
3.721,0.0,0.0,3.399,2.106,0.335,2.31,2.677,2.94,2.687,2.0,0.282,3.034,-1.574,2.478,2.575,0.314,0.0,0.0,2.648,8.427,8.769,8.461,8.427,2.67,0.0,0.493,0.491,0.0,0.0,3.367,10.041,9.851,2.927,5.054,1.947,0.584,46.0,2.586,2.395,2.132,0.862,0.75,0.75,2.716,2.491,1.609,1.386,5.434,6.286,6.913,7.768,4.174,11.409,23.581,2.027,1.29,1.041,0.516,0.0,0.0,5.198,6.65,0.0,0.0,2.13
5.585,4.418,3.247,21.521,44.795,5.005,3.8,4.213,4.4,4.319,5.584,4.822,9.356,2.484,6.169,4.162,1.732,3.61,3.462,4.512,56.796,59.468,56.993,56.855,13.228,3.552,3.126,3.124,0.873,1.262,8.071,48.334,48.812,17.249,43.255,10.878,3.178,31463.0,12.967,12.826,10.509,6.84,10.968,10.968,4.441,11.974,4.29,4.615,7.84,8.743,9.65,10.563,6.023,46.046,159.043,3.427,3.126,3.368,0.119,1.327,1.262,7.172,8.796,9.549,9.549,-3.26
4.201,0.586,0.0,4.976,8.423,1.5,2.716,3.06,3.349,3.152,0.838,0.586,2.914,0.361,0.13,2.891,0.499,0.0,0.0,2.886,10.314,14.81,10.37,10.314,4.243,0.0,1.905,1.841,0.058,0.143,3.829,13.833,15.259,3.5,9.414,3.454,1.749,88.0,4.195,3.957,3.464,3.0,1.5,1.5,3.506,6.666,2.565,1.946,5.994,6.804,7.601,8.412,4.489,16.239,29.62,2.403,1.905,2.233,0.413,0.308,0.143,5.549,7.136,0.0,0.0,0.18
5.377,4.806,3.541,21.544,38.145,4.278,3.85,4.233,4.395,4.31,5.313,5.204,9.392,4.221,17.813,4.187,1.689,4.15,4.047,4.656,61.129,61.655,60.676,60.636,12.457,3.137,3.036,3.031,0.735,1.136,8.411,34.233,41.833,15.83,29.967,7.718,3.084,68589.0,12.293,11.937,9.945,6.573,10.811,10.811,4.367,14.546,4.277,4.5,7.812,8.671,9.522,10.381,6.071,45.631,168.484,3.467,3.214,3.242,0.097,1.344,1.291,7.225,8.801,9.213,9.213,-4.14
6.167,2.843,1.541,9.542,23.554,2.41,3.087,3.508,3.619,3.515,3.757,3.594,4.175,2.79,7.784,3.426,0.695,2.0,2.0,3.859,25.424,26.284,25.44,25.399,5.52,1.792,2.355,2.37,0.168,0.509,6.372,16.162,15.775,6.368,10.241,3.834,2.467,4073.0,5.496,5.378,4.446,3.213,5.149,5.149,3.494,5.427,3.555,3.85,7.076,7.974,8.871,9.771,5.273,19.58,73.989,2.833,2.547,2.638,0.268,0.699,0.623,6.435,8.104,4.302,4.302,-3.44
5.357,2.306,1.236,10.375,15.207,4.735,3.15,3.718,3.965,3.754,4.515,3.396,6.069,2.205,4.86,3.582,0.902,2.268,1.859,3.884,23.095,24.778,23.112,23.095,5.934,4.015,2.274,2.228,0.325,0.455,6.073,25.097,25.496,7.419,16.477,5.927,2.161,2358.0,5.923,5.721,4.712,5.052,4.885,4.885,3.813,9.983,3.526,3.892,7.125,8.076,8.993,9.943,5.352,20.62,75.051,2.897,2.3,2.524,0.236,0.682,0.512,6.494,8.261,4.226,4.226,-4.3
