pXC50,Si,Se,MW,nBT,nAT,Sv,nBO,Sp,nH
5.5,71.603,63.516,483.69,67,64,41.33,38,44.267,29
5.2,36.711,33.422,393.17,34,32,21.39,22,22.551,12
5.2,76.394,68.163,539.72,72,68,44.561,43,46.972,29
5.2,60.615,53.916,424.5,56,53,34.351,34,35.216,22
5.2,27.671,25.353,337.13,27,25,18.676,19,20.415,8
5.9,66.773,60.225,476.57,65,60,40.498,41,42.0,24
5.2,24.927,24.007,341.22,25,23,18.925,20,20.091,5
5.4,65.919,59.152,490.51,60,57,37.359,38,37.307,22
5.9,66.405,59.807,502.62,63,59,39.87,40,41.381,23
5.2,41.279,37.153,302.36,39,37,25.434,25,26.284,14
5.2,42.611,37.818,279.37,40,38,24.467,23,25.801,17
5.2,70.52,62.298,458.68,68,63,39.836,38,43.023,30
6.3,59.302,53.665,448.94,57,53,35.799,36,37.097,21
5.2,32.575,29.494,241.27,31,29,19.601,20,19.972,11
5.2,90.75,80.843,600.21,85,81,51.233,47,54.398,38
5.2,35.697,31.833,238.31,34,32,20.918,20,22.034,14
6.4,54.939,48.687,358.48,52,49,31.542,30,33.33,22
7.7,36.243,34.324,399.69,35,33,25.776,26,26.949,9
5.2,46.625,42.574,387.28,44,42,29.342,28,30.727,16
5.2,63.976,55.985,384.54,57,56,33.353,29,35.319,28
5.2,27.95,25.284,211.24,27,25,17.359,18,17.756,9
5.2,37.14,33.258,275.76,35,33,21.767,21,22.898,14
7.9,54.03,48.752,412.46,52,48,33.387,35,33.995,17
5.2,47.239,42.8,339.38,44,42,27.611,27,28.165,17
5.2,39.381,35.909,333.3,36,34,24.079,26,23.341,10
5.2,74.105,66.389,528.69,70,66,43.255,42,45.421,28
5.2,58.066,51.796,385.5,55,52,33.762,32,35.54,23
5.5,51.999,48.029,459.61,50,47,33.172,33,35.108,17
5.2,45.449,40.432,312.38,42,40,25.871,25,26.745,17
5.2,45.581,42.327,373.41,44,41,28.185,29,28.71,15
5.2,31.867,28.564,249.33,29,28,18.589,18,19.415,11
5.2,44.156,40.313,380.43,42,39,27.842,30,28.125,12
5.9,82.141,72.712,542.77,76,73,46.12,42,49.25,34
5.2,45.405,41.262,341.39,45,41,28.655,30,29.495,15
5.2,42.95,38.331,297.36,40,38,24.85,24,25.739,16
5.2,49.235,44.029,333.42,46,44,28.708,27,30.017,19
5.2,39.408,35.556,302.39,37,35,23.336,23,24.387,14
5.2,50.492,45.323,350.42,47,45,29.597,28,30.711,19
5.2,53.243,48.694,486.35,52,48,34.723,36,35.858,16
5.2,65.145,58.218,452.56,62,58,38.299,38,39.796,24
5.7,85.261,74.73,506.72,79,75,44.702,41,47.58,38
5.8,50.361,44.662,339.5,48,45,28.707,27,30.972,21
5.2,37.116,33.487,258.3,35,33,21.348,21,21.943,14
6.2,58.492,52.822,449.55,55,52,35.321,35,36.614,20
7.7,49.402,44.465,359.42,47,44,29.697,30,30.506,17
5.2,67.631,60.534,480.01,64,60,38.874,38,40.625,26
6.1,49.86,44.24,315.41,45,44,26.95,24,28.233,21
5.9,63.936,56.891,436.56,61,57,37.584,37,39.341,24
5.2,40.186,37.338,401.19,37,35,26.239,28,25.813,9
5.3,60.773,54.225,404.51,57,54,34.498,33,36.0,24
5.2,65.394,57.665,404.56,60,58,35.837,32,38.069,28
5.2,63.85,55.876,393.55,59,56,34.133,32,36.108,27
5.3,43.823,39.44,328.43,41,39,25.863,25,27.148,16
5.2,45.903,41.363,332.39,44,41,27.676,28,28.5,16
6.9,46.342,41.018,327.85,44,41,26.622,26,28.216,18
5.2,42.903,38.363,296.36,41,38,24.676,25,25.5,16
5.2,33.139,30.822,282.23,31,29,20.455,22,19.744,9
5.2,28.814,26.684,277.75,28,26,19.374,20,20.261,8
5.2,75.243,68.421,607.69,73,67,47.274,50,48.324,23
5.2,49.369,44.509,380.48,47,44,30.058,30,31.392,17
7.7,36.09,33.673,361.26,35,33,25.234,25,26.636,10
5.2,56.82,52.12,451.47,55,51,36.127,38,36.415,17
5.2,49.03,44.473,359.41,47,44,29.896,30,30.71,17
5.2,45.946,41.254,310.38,43,41,26.402,25,27.466,18
5.2,56.983,50.578,360.49,53,51,32.267,29,34.296,24
5.2,62.774,55.505,421.53,58,55,34.989,34,36.284,24
5.2,41.199,37.229,322.42,41,37,25.622,27,26.932,14
5.2,32.538,30.356,317.67,30,28,20.578,23,19.642,7
5.2,32.073,28.596,220.26,28,28,17.622,16,17.977,12
5.2,34.863,31.269,252.3,32,31,20.908,20,21.523,12
5.2,52.152,46.785,356.42,47,46,29.159,27,29.932,20
6.1,46.322,42.018,340.37,43,41,27.106,27,27.409,16
5.2,57.767,52.505,443.95,52,51,32.636,30,33.864,22
5.2,58.906,53.4,434.52,53,52,33.303,31,34.25,22
5.2,48.485,43.683,360.41,46,43,29.192,30,29.75,16
5.7,49.504,45.222,414.38,46,43,30.342,33,29.563,13
5.0,76.438,67.81,507.63,70,67,41.999,40,43.478,30
5.2,51.607,46.022,357.45,49,46,30.509,30,31.813,19
5.2,81.601,73.171,570.67,77,72,46.54,47,47.693,30
5.02,47.82,42.643,346.46,44,42,26.906,26,28.159,18
5.0,49.106,43.123,312.42,45,43,26.531,25,27.819,20
5.15,51.947,46.534,375.44,49,46,30.893,31,31.75,18
6.6,30.365,27.167,213.26,29,27,17.886,18,18.517,11
6.6,46.694,42.036,340.41,46,42,28.961,30,30.046,16
6.2,41.535,37.447,307.35,40,37,25.323,26,25.978,14
5.244,45.069,40.8,346.38,43,40,27.665,29,27.989,14
5.0,60.069,54.567,439.5,61,54,36.665,40,37.688,21
5.0,81.228,73.203,570.69,81,73,48.793,51,50.739,30
5.4,46.954,42.625,378.46,45,42,29.532,30,30.631,15
6.8,42.697,38.807,322.35,40,38,25.864,26,26.193,14
6.5,45.069,40.8,346.38,43,40,27.665,29,27.989,14
5.6,60.505,53.425,404.95,55,53,32.654,30,34.415,25
5.0,61.161,54.523,475.4,57,54,34.718,33,36.597,24
5.0,40.983,35.811,255.36,38,36,22.268,21,23.597,17
5.2,64.128,57.541,532.46,58,56,36.025,34,37.642,24
5.0,69.453,62.53,529.57,65,61,41.756,43,42.159,22
5.2,54.489,48.527,368.45,51,48,30.64,30,31.722,21
5.0,54.942,50.596,476.89,53,49,35.797,38,35.995,15
5.2,53.983,48.785,411.46,52,48,33.213,35,33.756,17
5.2,39.152,35.043,287.35,38,35,24.214,25,25.074,13
5.0,55.358,49.342,366.46,51,49,30.971,29,32.239,22
5.3,48.535,43.945,394.47,46,43,30.048,31,30.881,15
5.2,51.369,46.803,453.32,49,46,31.943,32,33.068,17
5.2,51.472,46.898,408.87,49,46,31.745,32,32.574,17
5.0,43.535,39.447,331.37,42,39,27.323,28,27.978,14
5.0,73.405,65.625,530.5,68,65,41.755,39,44.006,29
5.0,55.404,49.051,380.59,51,49,30.157,27,32.841,24
5.0,75.893,67.767,515.66,74,68,44.858,45,47.074,29
5.2,45.398,39.694,281.4,42,40,24.795,23,26.358,19
5.2,42.666,38.632,333.36,41,38,26.992,28,27.461,13
5.0,66.971,60.047,485.99,62,59,38.257,37,39.563,25
6.2,46.558,42.913,391.83,45,42,30.197,31,30.807,14
5.5,50.03,45.473,371.42,48,45,30.896,31,31.71,17
5.2,71.11,63.941,512.59,69,63,41.924,44,42.949,25
6.4,55.361,49.662,399.55,53,50,33.707,32,35.972,21
8.4,55.943,49.982,403.55,53,50,33.223,32,35.222,21
5.0,52.283,46.971,370.42,49,46,29.828,30,30.415,19
5.2,48.518,44.084,383.89,44,43,28.152,26,29.432,18
5.2,62.322,56.283,448.55,56,55,34.83,32,36.012,24
6.276,54.939,48.687,358.48,52,49,31.542,30,33.33,22
5.2,38.934,35.702,325.77,38,35,24.955,26,25.591,12
5.0,58.665,52.872,441.51,53,51,32.661,32,33.222,21
5.0,49.917,45.644,443.38,48,45,32.33,32,34.171,16
5.2,69.524,62.069,476.65,66,62,39.739,38,42.171,28
6.2,64.896,57.061,416.61,59,57,34.54,31,36.966,28
5.5,50.029,44.996,374.5,48,45,30.675,30,32.455,18
5.3,46.558,42.436,394.91,45,42,29.976,30,31.551,15
7.0,45.069,40.8,346.38,43,40,27.665,29,27.989,14
5.2,63.062,56.0,415.54,60,56,35.805,35,37.551,25
6.0,54.445,48.636,390.46,51,48,31.914,32,32.756,19
6.1,54.106,48.123,372.47,51,48,31.531,31,32.819,20
5.2,57.963,52.276,459.45,53,50,34.085,36,33.574,17
5.5,56.366,50.763,465.38,53,50,34.987,35,36.33,18
5.7,50.785,45.149,360.41,46,44,28.297,28,28.694,18
5.2,53.641,48.898,401.87,51,48,31.691,31,32.75,20
5.2,49.657,44.978,374.46,45,44,28.82,27,29.818,18
5.461,53.641,48.898,401.87,51,48,31.691,31,32.75,20
5.0,50.113,45.691,384.42,49,45,31.391,33,31.955,16
5.9,31.207,28.396,304.16,30,28,19.911,20,20.87,10
5.0,47.705,42.996,382.28,44,42,27.879,27,28.983,17
5.0,86.282,77.578,641.67,82,77,50.216,48,53.387,34
5.2,65.714,58.752,468.99,61,58,37.368,36,38.87,25
5.2,33.226,30.273,270.73,32,30,21.219,21,22.131,11
5.0,77.522,69.029,532.64,72,68,43.494,43,44.722,29
6.602,41.405,37.262,293.35,39,37,24.655,24,25.495,15
6.284,42.697,38.807,322.35,40,38,25.864,26,26.193,14
4.301,52.575,47.542,387.44,50,47,32.092,32,32.955,18
5.2,30.569,28.556,282.67,29,27,19.505,21,19.216,8
5.6,56.72,52.407,478.48,53,50,34.695,36,34.597,17
5.1,65.113,58.712,470.51,60,57,36.827,37,37.097,23
5.0,61.149,54.512,437.58,57,54,34.981,34,36.688,23
4.301,57.943,51.982,427.57,56,52,35.223,35,37.222,21
4.936,48.74,44.222,375.48,47,44,30.369,30,31.904,17
5.2,48.759,44.76,417.44,46,43,30.518,32,30.716,14
5.2,48.059,43.833,430.98,46,43,30.679,31,32.449,15
5.7,52.026,46.2,368.51,49,46,29.718,29,31.466,20
5.2,63.851,58.505,518.96,61,57,39.897,41,40.489,20
5.0,69.687,62.211,469.59,65,62,40.046,38,41.767,27
5.6,73.308,64.65,457.63,68,65,40.385,37,42.836,31
4.398,44.658,40.48,311.36,42,40,26.095,25,26.915,17
5.1,67.944,60.505,450.56,64,60,37.935,37,39.461,27
5.0,66.268,58.531,425.55,61,58,35.562,34,37.017,27
6.0,34.009,32.084,437.23,34,31,24.293,26,25.972,8
5.2,62.102,55.327,438.54,59,55,36.574,37,37.83,22
5.7,36.784,33.822,293.3,36,33,23.316,25,23.426,11
5.1,93.039,82.116,614.29,86,82,50.264,46,53.853,40
6.796,43.907,40.134,338.35,41,39,26.579,27,26.648,14
5.2,41.199,37.229,322.42,40,37,25.622,26,26.932,14
5.347,87.76,76.832,521.74,81,77,45.723,42,48.586,39
5.2,58.008,53.182,477.5,54,51,35.002,36,35.148,18
5.31,49.03,44.473,359.41,47,44,29.896,30,30.71,17
6.1,63.062,56.0,415.54,59,56,35.805,34,37.551,25
5.0,70.108,62.683,513.71,67,62,39.936,40,42.313,27
5.1,56.861,50.52,392.48,54,50,32.441,33,33.517,21
5.4,59.351,51.774,354.51,54,52,31.111,28,33.103,26
5.0,48.318,43.247,334.41,46,43,28.203,28,29.262,18
5.4,37.863,34.269,288.33,37,34,23.908,25,24.523,12
7.229,40.196,35.934,277.35,38,36,23.94,23,25.04,15
6.032,63.734,56.178,398.53,58,56,34.22,31,36.006,27
5.2,38.152,34.043,275.34,37,34,23.214,24,24.074,13
5.4,40.405,36.262,281.34,39,36,23.655,24,24.495,15
5.1,58.485,52.451,393.48,54,52,33.191,31,34.449,23
5.1,74.017,67.232,581.11,70,66,44.664,44,46.421,26
5.0,61.559,56.083,518.46,57,53,37.357,41,36.205,16
5.2,40.365,37.142,333.33,38,36,25.832,27,25.676,11
4.301,74.102,66.069,495.6,69,65,40.519,40,41.688,29
5.2,61.73,55.334,438.53,60,55,36.772,38,38.034,22
5.1,69.268,61.054,464.66,65,61,38.341,37,40.762,28
5.0,57.438,50.789,373.5,54,51,32.563,31,34.336,23
5.0,47.113,42.691,348.39,46,42,28.391,30,28.955,16
5.0,78.324,69.392,529.63,71,68,42.578,41,43.66,30
5.0,81.145,72.483,560.74,77,72,46.023,45,48.398,32
5.2,21.844,21.022,271.13,22,20,16.653,18,17.352,4
5.6,59.315,52.974,439.59,58,53,36.024,37,38.017,21
5.0,59.081,52.832,450.38,55,52,34.128,33,35.75,22
5.0,63.346,56.836,467.97,58,56,37.015,35,38.347,23
5.0,45.847,41.687,366.83,44,41,28.504,29,29.358,15
5.316,27.452,25.182,220.24,28,25,18.338,20,18.75,8
4.469,31.076,28.393,238.26,30,28,19.58,20,19.966,10
4.582,29.787,27.618,239.24,29,27,19.273,20,19.415,9
5.0,70.604,62.992,468.6,68,63,40.552,40,42.523,28
5.2,62.472,55.945,446.95,58,55,35.236,34,36.557,24
5.1,76.68,67.643,493.67,72,68,43.186,41,45.631,31
5.2,52.362,46.418,353.44,49,46,29.42,29,30.512,20
