pXC50,SpMax1_Bh.e.,C.017,MPC10,nCconj,nR.Ct,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SpDiam_AEA.ri.,C.016,Eig01_EA.ri.,nCIR,NdsCH,nR.Cs,SpDiam_EA.ri.,SpMax_EA.ri.,H.052,P_VSA_MR_5,MWC09,TWC,CATS2D_05_DL,SdsCH,nCrt,Rbrid,SpMax1_Bh.i.,X2A,SpMin1_Bh.e.,GATS4v,D.Dtr10,SpMin1_Bh.i.,P_VSA_LogP_2,X1A,nCt,SpMAD_EA.ri.,SpMin1_Bh.p.,SpMin1_Bh.s.,MATS4v,Eig03_EA.ri.,Eig01_AEA.bo.,SpMax_AEA.bo.,MATS4i,SpMax1_Bh.v.,MWC08,C.002,MATS1p,SM05_AEA.ed.,MPC07,SpMax1_Bh.m.,BIC3,C.026,MATS1v,nBnz,PW5,S3K,MPC05,nCrq,nCs,SRW07,SRW09,MATS1i,CATS2D_04_LL
6.588,4.174,1,6.604,2,1,7.651,9.099,10.226,11.564,6.094,2,3.905,19,2,2,5.905,3.905,5,51.423,12.287,13.735,7,4.171,4,5,4.209,0.256,2.052,1.078,259.521,2.024,33.98,0.418,4,1.514,2.143,1.645,-0.102,2.999,4.978,4.978,-0.047,4.085,11.325,6,0.072,12.035,5.966,4.179,0.879,1,0.062,2,0.118,4.415,5.485,2,7,5.938,8.153,0.02,30
7.262,4.164,1,6.565,2,1,7.607,9.055,10.189,11.531,6.133,1,3.905,19,1,1,5.905,3.905,9,59.398,12.228,13.676,7,2.435,4,5,4.2,0.256,2.052,1.068,237.699,2.023,28.78,0.414,4,1.51,2.144,1.646,-0.097,2.999,4.978,4.978,-0.06,4.079,11.266,11,0.111,11.985,5.911,4.377,0.87,0,0.087,1,0.112,4.299,5.421,2,13,5.9,8.089,0.092,29
7.618,4.165,1,6.59,2,1,7.622,9.064,10.197,11.536,6.133,1,3.905,19,1,1,5.905,3.905,5,46.725,12.243,13.691,7,2.25,4,5,4.199,0.258,2.052,1.105,246.416,2.023,16.107,0.414,4,1.504,2.143,1.645,-0.13,3.001,4.978,4.978,-0.067,4.082,11.283,6,0.11,12.002,5.927,4.377,0.889,2,0.083,2,0.111,4.269,5.438,2,7,5.9,8.089,0.08,29
7.076,4.166,1,6.59,2,1,7.625,9.068,10.199,11.538,6.094,1,3.906,19,1,1,5.906,3.906,5,53.406,12.243,13.691,7,2.236,4,5,4.199,0.258,2.052,1.137,246.416,2.023,19.8,0.414,4,1.51,2.143,1.645,-0.151,3.001,4.978,4.978,-0.093,4.081,11.283,6,0.084,12.002,5.927,4.316,0.889,2,0.072,2,0.111,4.171,5.438,2,7,5.9,8.089,0.055,25
6.759,4.172,1,6.605,2,1,7.662,9.101,10.23,11.565,6.094,1,3.905,19,1,1,5.905,3.905,5,49.318,12.279,13.727,7,2.249,4,5,4.207,0.257,2.052,1.133,253.284,2.023,16.107,0.414,4,1.519,2.143,1.645,-0.148,3.001,4.978,4.978,-0.06,4.084,11.318,6,0.075,12.042,5.948,4.174,0.887,2,0.065,2,0.111,4.209,5.464,2,7,5.938,8.148,0.016,28
7.108,4.173,1,6.605,2,1,7.666,9.106,10.233,11.568,6.045,1,3.906,19,1,1,5.906,3.906,5,56.703,12.279,13.727,7,2.235,4,5,4.209,0.257,2.052,1.141,253.284,2.023,19.8,0.414,4,1.525,2.143,1.645,-0.156,3.001,4.978,4.978,-0.07,4.083,11.318,6,0.037,12.042,5.948,4.12,0.887,2,0.053,2,0.111,4.113,5.464,2,7,5.938,8.148,-0.014,24
7.28,4.168,1,6.592,2,1,7.65,9.1,10.22,11.561,6.055,1,3.905,19,1,1,5.905,3.905,5,44.581,12.239,13.687,7,2.254,4,5,4.202,0.259,2.067,1.124,446.059,2.05,16.107,0.415,4,1.524,2.143,1.645,-0.145,3.001,4.978,4.978,-0.09,4.09,11.281,6,0.109,12.003,5.932,4.14,0.879,3,0.084,3,0.112,4.384,5.455,2,7,5.533,7.758,0.101,32
7.237,4.169,1,6.592,2,1,7.654,9.105,10.224,11.564,6.006,1,3.906,19,1,1,5.906,3.906,5,48.274,12.239,13.687,7,2.241,4,5,4.203,0.259,2.065,1.147,446.059,2.048,19.8,0.415,4,1.529,2.143,1.645,-0.161,3.001,4.978,4.978,-0.109,4.087,11.281,6,0.08,12.003,5.932,4.111,0.879,3,0.073,3,0.112,4.283,5.455,2,7,5.533,7.758,0.076,28
7.614,4.167,1,6.592,2,1,7.642,9.09,10.213,11.553,6.067,1,3.905,19,1,1,5.905,3.905,5,46.725,12.239,13.687,7,2.249,4,5,4.201,0.259,2.052,1.116,446.059,2.024,16.107,0.415,4,1.518,2.143,1.645,-0.136,3.001,4.978,4.978,-0.068,4.083,11.281,6,0.099,12.003,5.932,4.134,0.889,2,0.078,2,0.112,4.367,5.455,2,7,5.533,7.758,0.073,31
7.35,4.167,1,6.592,2,1,7.645,9.094,10.216,11.555,6.021,1,3.906,19,1,1,5.906,3.906,5,50.418,12.239,13.687,7,2.235,4,5,4.202,0.259,2.052,1.139,446.059,2.024,19.8,0.415,4,1.523,2.143,1.645,-0.153,3.001,4.978,4.978,-0.088,4.082,11.281,6,0.067,12.003,5.932,4.11,0.889,2,0.067,2,0.112,4.267,5.455,2,7,5.533,7.758,0.047,27
7.184,4.167,1,6.597,2,1,7.653,9.101,10.225,11.564,6.065,1,3.905,19,1,1,5.905,3.905,5,53.629,12.25,13.699,7,2.249,4,5,4.201,0.258,2.052,1.121,434.76,2.025,16.107,0.416,4,1.518,2.143,1.645,-0.136,3.001,4.978,4.978,-0.08,4.085,11.291,6,0.099,12.015,5.94,4.146,0.886,2,0.078,2,0.112,4.294,5.46,2,7,5.533,7.758,0.073,30
7.876,4.165,1,6.59,2,1,7.641,9.082,10.212,11.55,6.085,1,3.905,19,1,1,5.905,3.905,5,57.014,12.243,13.691,7,2.235,4,5,4.199,0.258,2.052,1.116,246.416,2.023,16.107,0.414,4,1.517,2.143,1.645,-0.124,3.001,4.978,4.978,-0.063,4.078,11.283,6,0.072,12.002,5.927,4.144,0.892,2,0.065,1,0.111,4.154,5.438,2,7,5.9,8.089,0.025,27
7.845,4.161,1,6.528,2,1,7.575,9.02,10.166,11.509,6.056,1,3.905,17,1,1,5.905,3.905,5,63.369,12.159,13.609,7,2.239,4,4,4.196,0.26,2.052,1.128,224.732,2.023,16.107,0.418,4,1.505,2.143,1.645,-0.137,3.001,4.978,4.978,-0.061,4.076,11.196,6,0.085,11.936,5.852,4.112,0.881,2,0.068,1,0.109,4.04,5.347,2,7,5.533,7.758,0.035,27
7.063,4.164,1,6.607,4,1,7.675,9.115,10.24,11.575,6.073,1,3.905,19,1,1,5.905,3.905,5,79.378,12.267,13.715,8,2.225,4,5,4.198,0.259,2.052,1.114,458.03,2.023,34.118,0.415,4,1.519,2.143,1.645,-0.128,3.001,4.978,4.978,-0.071,4.078,11.309,6,0.101,12.032,5.951,4.118,0.894,3,0.08,2,0.112,4.454,5.476,2,7,5.533,7.758,0.064,28
5.409,4.029,0,5.22,0,0,6.208,7.711,8.264,9.528,5.132,0,2.876,4,0,0,4.876,2.876,0,6.746,11.241,12.668,0,0.0,0,0,4.056,0.299,1.964,0.823,0.0,1.942,6.746,0.443,0,1.374,2.061,1.261,0.2,2.608,4.467,4.467,0.064,3.959,10.388,1,0.008,10.871,4.828,6.893,0.793,7,0.021,4,0.094,7.395,4.673,0,1,0.0,0.0,-0.03,10
5.726,4.067,0,5.333,0,0,6.689,8.078,8.808,10.012,5.234,0,3.053,4,0,0,5.053,3.053,0,17.629,11.397,12.819,1,0.0,0,0,4.085,0.305,1.975,0.998,0.0,1.951,8.804,0.441,0,1.411,2.084,1.262,0.004,2.701,4.66,4.66,0.04,3.966,10.542,0,-0.061,11.149,4.984,4.716,0.849,8,0.018,4,0.095,9.064,4.82,0,0,0.0,0.0,-0.075,10
5.603,4.046,0,5.112,1,0,6.538,7.948,8.737,9.963,5.264,0,3.159,3,0,0,5.159,3.159,0,29.01,11.312,12.737,0,0.0,0,0,4.056,0.294,1.986,0.824,0.0,1.975,2.535,0.446,1,1.418,2.07,1.268,0.131,2.721,4.542,4.542,0.019,3.983,10.426,1,0.005,11.008,4.913,6.893,0.846,5,0.018,3,0.102,6.055,4.673,0,1,0.0,0.0,-0.002,14
5.678,4.031,0,5.252,0,0,6.289,7.768,8.352,9.601,5.139,0,2.876,4,0,0,4.876,2.876,0,6.746,11.297,12.722,0,0.0,0,0,4.056,0.297,1.963,0.831,0.0,1.941,6.746,0.442,0,1.37,2.061,1.26,0.201,2.652,4.467,4.467,0.047,3.959,10.441,1,0.008,10.955,4.852,6.893,0.827,8,0.021,4,0.094,7.378,4.71,0,1,0.0,0.0,-0.027,8
6.046,4.031,0,5.293,0,0,6.345,7.805,8.4,9.639,5.142,0,2.876,4,0,0,4.876,2.876,0,6.746,11.339,12.764,0,0.0,0,0,4.057,0.298,1.963,0.843,0.0,1.941,6.746,0.441,0,1.371,2.061,1.26,0.204,2.658,4.467,4.467,0.081,3.959,10.481,1,0.008,11.001,4.883,6.893,0.819,9,0.021,4,0.095,7.604,4.745,0,1,0.0,0.0,-0.025,8
5.523,4.03,0,5.252,0,0,6.25,7.74,8.307,9.563,5.142,0,2.876,4,0,0,4.876,2.876,0,6.746,11.297,12.722,0,0.0,0,0,4.056,0.297,1.964,0.839,0.0,1.942,6.746,0.442,0,1.359,2.06,1.261,0.192,2.622,4.467,4.467,0.066,3.96,10.441,1,0.009,10.955,4.852,6.893,0.827,8,0.02,4,0.094,7.544,4.71,0,1,0.0,0.0,-0.03,9
5.585,4.031,0,5.293,0,0,6.279,7.757,8.33,9.58,5.146,0,2.876,4,0,0,4.876,2.876,0,6.746,11.339,12.764,0,0.0,0,0,4.056,0.298,1.963,0.834,0.0,1.942,6.746,0.441,0,1.349,2.06,1.261,0.208,2.628,4.467,4.467,0.066,3.961,10.481,1,0.009,11.001,4.883,6.893,0.832,9,0.019,4,0.095,7.938,4.745,0,1,0.0,0.0,-0.03,10
5.0,4.03,0,5.252,0,0,6.239,7.732,8.295,9.553,5.144,0,2.876,4,0,0,4.876,2.876,0,6.746,11.297,12.722,0,0.0,0,0,4.056,0.297,1.964,0.842,0.0,1.942,6.746,0.442,0,1.355,2.06,1.261,0.184,2.617,4.467,4.467,0.068,3.96,10.441,1,0.008,10.955,4.852,6.894,0.827,8,0.019,4,0.094,7.637,4.71,0,1,0.0,0.0,-0.029,9
5.0,4.03,0,5.293,0,0,6.26,7.744,8.31,9.564,5.148,0,2.876,4,0,0,4.876,2.876,0,6.746,11.339,12.764,0,0.0,0,0,4.055,0.298,1.963,0.82,0.0,1.942,6.746,0.441,0,1.341,2.06,1.261,0.209,2.62,4.467,4.467,0.074,3.961,10.481,1,0.009,11.001,4.883,6.897,0.832,9,0.018,4,0.095,8.126,4.745,0,1,0.0,0.0,-0.029,10
5.481,4.035,0,5.342,0,0,6.519,7.955,8.637,9.867,5.321,0,2.982,4,0,0,4.982,2.982,0,14.505,11.439,12.869,0,0.0,0,0,4.06,0.301,1.965,0.844,0.0,1.943,6.746,0.439,0,1.375,2.063,1.261,0.185,2.659,4.54,4.54,0.019,3.962,10.58,1,0.007,11.223,4.942,6.893,0.809,7,0.02,4,0.093,8.071,4.787,0,1,0.0,0.0,-0.022,10
5.538,4.042,0,5.434,0,0,6.737,8.13,8.869,10.078,5.389,0,3.065,4,0,0,5.065,3.065,0,22.265,11.597,13.03,0,0.0,0,0,4.066,0.303,1.965,0.864,0.0,1.944,6.746,0.436,0,1.377,2.065,1.261,0.195,2.717,4.611,4.611,-0.007,3.967,10.73,1,0.007,11.461,5.088,6.893,0.805,7,0.02,4,0.092,8.975,4.913,0,1,0.0,0.0,-0.018,10
8.367,4.134,1,6.328,5,1,7.677,9.083,10.296,11.638,6.152,3,3.947,15,3,3,5.947,3.947,7,51.919,12.252,13.718,4,3.869,3,4,4.157,0.254,2.038,1.19,153.832,2.015,16.618,0.41,3,1.543,2.14,1.596,-0.172,3.148,5.107,5.107,-0.102,4.049,11.247,3,0.073,12.093,5.799,4.135,0.878,0,0.071,0,0.14,2.486,5.323,2,8,5.687,8.021,0.037,21
8.745,4.13,1,6.244,5,1,7.539,8.972,10.18,11.536,6.103,5,3.937,15,5,5,5.937,3.937,5,36.614,12.159,13.621,5,8.593,3,4,4.154,0.248,2.041,1.196,151.155,2.017,10.138,0.416,3,1.529,2.139,1.602,-0.197,2.828,5.092,5.092,-0.107,4.047,11.157,4,0.07,12.006,5.733,4.125,0.898,0,0.069,0,0.126,2.354,5.22,2,7,5.638,7.947,0.043,21
8.276,4.188,1,6.306,5,1,7.729,9.128,10.345,11.687,6.2,3,3.959,15,3,3,5.959,3.959,5,45.439,12.311,13.78,4,4.471,3,4,4.189,0.259,2.045,1.187,154.231,2.024,10.138,0.404,3,1.579,2.142,1.608,-0.169,3.149,5.284,5.284,-0.108,4.092,11.302,4,0.04,12.208,5.799,4.743,0.859,0,0.077,0,0.129,2.329,5.318,2,8,5.687,8.044,0.032,21
7.319,4.113,1,5.631,2,1,6.773,8.176,9.135,10.388,5.517,2,3.378,10,2,2,5.378,3.378,8,29.01,11.518,12.962,2,4.219,1,3,4.13,0.271,2.065,0.895,198.992,2.051,18.301,0.429,1,1.47,2.144,1.371,0.096,2.789,4.739,4.739,0.038,4.056,10.584,1,-0.01,11.131,5.298,4.077,0.837,3,0.03,2,0.132,2.766,4.883,0,2,0.0,0.0,-0.025,24
7.071,4.113,1,5.74,2,1,6.783,8.184,9.139,10.391,5.52,2,3.378,10,2,2,5.378,3.378,8,39.183,11.556,13.001,2,3.995,1,3,4.13,0.28,2.065,0.889,221.274,2.051,18.301,0.429,1,1.448,2.144,1.371,0.121,2.791,4.74,4.74,-0.012,4.056,10.625,1,-0.009,11.162,5.357,4.078,0.846,3,0.029,2,0.129,3.341,4.927,0,2,0.0,0.0,-0.019,24
7.046,4.118,1,5.631,4,1,6.798,8.205,9.165,10.419,5.517,3,3.383,10,3,3,5.383,3.383,8,29.01,11.518,12.962,2,6.147,1,3,4.135,0.271,2.073,0.883,198.992,2.059,34.068,0.429,1,1.487,2.146,1.376,0.101,2.82,4.74,4.74,0.045,4.065,10.584,1,0.025,11.131,5.298,4.081,0.85,2,0.043,2,0.132,2.701,4.883,0,2,0.0,0.0,0.016,31
7.108,4.112,1,5.656,2,1,6.783,8.175,9.131,10.379,5.519,2,3.373,10,2,2,5.373,3.373,8,29.01,11.545,12.989,4,4.111,1,3,4.128,0.272,2.064,0.862,199.764,2.051,18.301,0.425,1,1.47,2.14,1.371,0.124,2.78,4.748,4.748,0.056,4.058,10.609,1,0.058,11.18,5.308,4.126,0.849,4,0.059,2,0.127,2.758,4.89,0,2,0.0,0.0,0.052,25
4.699,4.107,0,5.252,0,0,7.125,8.551,9.694,11.014,5.701,0,3.695,10,0,0,5.695,3.695,2,40.461,11.498,12.942,2,0.0,4,3,4.145,0.258,2.051,1.203,102.038,2.016,22.811,0.415,4,1.572,2.153,1.689,-0.192,2.53,4.705,4.705,-0.162,4.02,10.544,9,0.12,11.357,5.043,4.01,0.806,0,0.1,0,0.11,1.839,4.673,2,10,4.844,7.034,0.123,25
6.824,4.136,1,6.068,5,1,7.671,9.102,10.33,11.696,6.142,3,4.004,10,3,3,6.004,4.004,4,44.532,12.166,13.626,5,4.363,5,3,4.162,0.264,2.042,1.13,217.433,2.018,18.057,0.428,5,1.536,2.141,1.603,-0.138,2.902,5.113,5.113,-0.068,4.054,11.17,6,0.073,12.056,5.663,4.08,0.894,0,0.063,0,0.121,3.477,5.209,2,7,5.043,7.413,0.063,25
7.917,4.137,1,6.111,5,1,7.686,9.114,10.336,11.7,6.154,3,4.004,10,3,3,6.004,4.004,10,62.183,12.184,13.644,5,4.412,5,3,4.163,0.268,2.042,1.107,250.253,2.018,18.057,0.431,5,1.52,2.141,1.603,-0.11,2.902,5.113,5.113,-0.064,4.055,11.193,6,0.019,12.075,5.68,4.081,0.864,0,0.036,0,0.113,4.22,5.226,2,8,5.043,7.413,0.013,27
8.286,4.136,1,6.08,5,1,7.674,9.105,10.331,11.697,6.147,3,4.004,10,3,3,6.004,4.004,4,44.532,12.172,13.631,5,4.403,5,3,4.162,0.262,2.042,1.143,228.099,2.018,18.057,0.431,5,1.514,2.141,1.603,-0.153,2.902,5.113,5.113,-0.072,4.054,11.177,6,0.02,12.063,5.666,4.08,0.879,0,0.038,0,0.117,3.668,5.215,2,7,5.043,7.413,0.014,25
8.62,4.133,1,6.315,5,1,7.563,8.992,10.199,11.554,6.109,3,3.944,15,3,3,5.944,3.944,7,41.328,12.207,13.67,4,4.033,3,4,4.157,0.249,2.038,1.175,156.799,2.015,14.852,0.416,3,1.531,2.14,1.596,-0.171,2.841,5.1,5.1,-0.116,4.049,11.203,5,0.071,12.035,5.781,4.128,0.9,0,0.07,0,0.13,2.5,5.278,2,9,5.638,7.947,0.039,18
8.77,4.131,1,6.244,5,1,7.539,8.972,10.18,11.536,6.103,3,3.937,15,3,3,5.937,3.937,5,41.683,12.159,13.621,5,4.779,3,4,4.155,0.248,2.041,1.186,151.155,2.017,15.207,0.416,3,1.529,2.139,1.602,-0.179,2.828,5.092,5.092,-0.096,4.047,11.157,6,0.071,12.006,5.733,4.125,0.895,0,0.071,0,0.126,2.409,5.22,2,9,5.638,7.947,0.044,21
8.481,4.131,1,6.286,5,1,7.539,8.973,10.181,11.536,6.139,3,3.937,15,3,3,5.937,3.937,5,48.518,12.174,13.636,5,4.636,3,4,4.155,0.25,2.041,1.186,158.5,2.016,22.042,0.419,3,1.513,2.139,1.602,-0.176,2.828,5.092,5.092,-0.088,4.047,11.171,6,0.071,12.008,5.768,4.131,0.902,0,0.07,0,0.132,2.611,5.252,2,9,5.638,7.947,0.039,21
8.658,4.133,1,6.315,3,1,7.563,8.992,10.199,11.554,6.109,1,3.944,15,1,1,5.944,3.944,7,46.397,12.207,13.67,4,1.32,3,4,4.158,0.249,2.038,1.184,156.799,2.012,19.921,0.416,3,1.531,2.145,1.613,-0.171,2.841,5.095,5.095,-0.112,4.045,11.203,7,0.072,12.035,5.781,4.126,0.897,0,0.071,0,0.13,2.556,5.278,2,11,5.638,7.947,0.04,18
8.678,4.131,1,6.244,3,1,7.539,8.972,10.18,11.536,6.103,1,3.937,15,1,1,5.937,3.937,5,46.752,12.159,13.621,5,1.676,3,4,4.156,0.248,2.041,1.195,151.155,2.014,20.276,0.416,3,1.529,2.144,1.62,-0.179,2.828,5.087,5.087,-0.092,4.044,11.157,8,0.072,12.006,5.733,4.124,0.892,0,0.072,0,0.126,2.465,5.22,2,11,5.638,7.947,0.045,21
8.796,4.132,1,6.211,5,1,7.656,9.064,10.279,11.621,6.11,3,3.941,15,3,3,5.941,3.941,5,45.439,12.192,13.656,5,4.758,3,4,4.155,0.251,2.041,1.197,140.844,2.017,10.138,0.407,3,1.559,2.139,1.602,-0.182,3.147,5.099,5.099,-0.094,4.048,11.188,4,0.073,12.063,5.717,4.127,0.864,0,0.073,0,0.129,2.196,5.236,2,8,5.687,8.021,0.045,24
7.565,4.127,1,5.771,2,1,7.035,8.464,9.466,10.756,5.64,1,3.624,8,1,1,5.624,3.624,1,37.547,11.667,13.103,4,2.126,1,2,4.165,0.275,2.027,1.117,120.49,1.999,10.138,0.423,1,1.487,2.118,1.552,-0.117,2.891,4.749,4.749,-0.053,4.039,10.743,4,0.063,11.481,5.333,4.081,0.843,2,0.055,2,0.1,3.839,4.934,1,5,4.727,6.843,0.039,19
6.658,4.136,3,6.236,5,3,7.335,8.777,9.859,11.19,5.905,1,3.852,11,1,1,5.852,3.852,2,40.032,11.914,13.36,5,1.876,4,3,4.165,0.274,2.067,1.155,246.073,2.042,22.382,0.43,4,1.518,2.142,1.599,-0.131,2.798,4.949,4.949,-0.068,4.072,10.963,8,0.092,11.669,5.666,4.068,0.885,1,0.072,1,0.106,4.749,5.153,1,9,4.949,7.235,0.048,45
7.865,4.124,1,5.642,2,1,6.861,8.331,9.323,10.636,5.634,1,3.619,8,1,1,5.619,3.619,3,32.322,11.523,12.958,5,2.274,1,2,4.163,0.272,2.021,1.076,104.173,1.991,12.673,0.428,1,1.487,2.114,1.557,-0.095,2.602,4.743,4.743,-0.066,4.033,10.599,5,0.064,11.226,5.204,4.077,0.854,2,0.057,2,0.107,3.482,4.844,1,6,4.727,6.843,0.063,18
8.277,4.126,1,5.694,2,1,6.893,8.353,9.355,10.664,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.574,13.009,3,2.246,1,2,4.164,0.269,2.025,1.087,103.334,1.997,10.138,0.425,1,1.478,2.115,1.552,-0.119,2.721,4.749,4.749,-0.059,4.037,10.645,4,0.061,11.283,5.242,4.086,0.859,3,0.054,2,0.109,3.37,4.89,1,5,4.727,6.843,0.065,20
8.62,4.13,2,6.004,3,2,7.423,8.874,10.031,11.379,5.893,2,3.853,11,2,2,5.853,3.853,2,46.752,11.865,13.313,2,4.446,3,3,4.159,0.262,2.066,1.175,177.597,2.041,20.276,0.423,3,1.541,2.144,1.599,-0.177,2.695,4.952,4.952,-0.145,4.064,10.901,8,0.095,11.71,5.521,4.058,0.857,0,0.08,1,0.118,3.005,5.056,2,8,4.949,7.235,0.098,48
7.679,4.146,1,5.9,2,1,7.004,8.456,9.46,10.761,5.725,1,3.626,10,1,1,5.626,3.626,1,29.787,11.727,13.164,5,2.278,1,3,4.176,0.262,2.021,1.092,105.969,1.993,10.138,0.42,1,1.494,2.111,1.552,-0.122,2.943,4.757,4.757,-0.068,4.088,10.792,4,0.092,11.399,5.412,4.326,0.876,2,0.071,2,0.112,3.183,5.024,1,5,5.416,7.535,0.083,19
8.523,4.126,1,5.73,2,1,6.92,8.375,9.374,10.68,5.64,1,3.624,8,1,1,5.624,3.624,1,29.787,11.595,13.03,4,2.25,1,2,4.164,0.268,2.025,1.11,107.031,1.997,10.138,0.428,1,1.48,2.117,1.552,-0.127,2.757,4.749,4.749,-0.073,4.037,10.667,4,0.032,11.298,5.278,4.08,0.88,3,0.043,2,0.11,3.472,4.913,1,5,4.727,6.843,0.033,18
7.658,4.131,1,5.808,5,1,7.627,9.061,10.303,11.671,6.059,3,3.997,10,3,3,5.997,3.997,4,36.614,12.06,13.52,11,4.448,5,3,4.158,0.251,2.042,1.226,153.146,2.017,10.138,0.418,5,1.575,2.141,1.602,-0.217,2.894,5.1,5.1,-0.12,4.05,11.062,4,0.154,12.0,5.497,4.066,0.901,0,0.107,0,0.115,2.104,5.05,2,5,5.043,7.402,0.126,21
9.699,4.128,1,5.753,5,1,7.61,9.043,10.285,11.652,6.057,3,3.989,10,3,3,5.989,3.989,4,36.614,12.04,13.5,7,4.409,5,3,4.155,0.253,2.042,1.228,144.593,2.017,10.138,0.414,5,1.594,2.14,1.601,-0.229,2.872,5.098,5.098,-0.146,4.048,11.043,4,0.162,11.993,5.468,4.064,0.901,0,0.112,0,0.111,1.944,5.017,2,5,5.043,7.402,0.131,21
7.658,4.136,1,6.468,5,1,7.669,9.087,10.285,11.63,6.215,3,3.941,16,3,3,5.941,3.941,5,54.486,12.272,13.735,5,4.742,3,4,4.159,0.257,2.041,1.166,176.102,2.017,10.138,0.409,3,1.535,2.139,1.602,-0.157,3.147,5.102,5.102,-0.083,4.052,11.271,4,0.061,12.095,5.892,4.156,0.88,0,0.065,0,0.129,2.824,5.375,2,8,5.687,8.021,0.017,26
8.495,4.143,1,6.293,5,1,7.556,8.988,10.197,11.553,6.124,3,3.941,15,3,3,5.941,3.941,5,41.683,12.21,13.674,4,4.642,3,4,4.163,0.251,2.042,1.18,157.849,2.018,15.207,0.415,3,1.538,2.14,1.604,-0.172,2.841,5.118,5.118,-0.104,4.058,11.205,6,0.055,12.052,5.781,4.366,0.894,0,0.073,0,0.126,2.472,5.257,2,9,5.638,7.96,0.037,19
7.319,4.115,1,5.631,2,1,6.785,8.19,9.149,10.402,5.517,2,3.38,10,2,2,5.38,3.38,8,29.01,11.518,12.962,4,4.25,1,3,4.135,0.271,2.068,0.91,198.992,2.053,18.301,0.429,1,1.478,2.147,1.374,0.085,2.804,4.739,4.739,0.022,4.058,10.584,1,0.023,11.131,5.298,4.079,0.847,3,0.045,2,0.132,2.766,4.883,0,2,0.0,0.0,0.0,24
5.553,4.14,3,6.295,5,3,7.472,8.903,9.965,11.281,5.99,1,3.852,12,1,1,5.852,3.852,6,42.567,12.087,13.528,6,1.876,4,3,4.168,0.269,2.067,1.161,330.816,2.042,24.916,0.429,4,1.504,2.142,1.599,-0.14,2.988,4.949,4.949,-0.058,4.074,11.141,9,0.102,11.856,5.765,4.071,0.889,1,0.081,1,0.109,5.766,5.328,1,14,4.949,7.235,0.063,47
6.0,4.111,1,5.541,2,1,6.733,8.137,9.092,10.346,5.513,2,3.371,10,2,2,5.371,3.371,8,29.01,11.488,12.932,2,4.2,1,3,4.128,0.273,2.065,0.841,188.936,2.051,18.301,0.425,1,1.468,2.14,1.371,0.133,2.74,4.737,4.737,0.06,4.057,10.556,1,0.024,11.113,5.247,4.12,0.853,3,0.043,2,0.129,2.654,4.844,0,2,0.0,0.0,0.017,27
8.014,4.137,1,6.098,5,1,7.674,9.109,10.332,11.698,6.149,3,4.004,10,3,3,6.004,4.004,7,60.484,12.177,13.637,5,4.432,5,3,4.163,0.265,2.042,1.135,251.081,2.018,25.184,0.434,5,1.504,2.141,1.603,-0.137,2.902,5.113,5.113,-0.074,4.055,11.185,7,0.019,12.066,5.67,4.081,0.882,0,0.036,0,0.112,4.22,5.22,2,8,5.043,7.413,0.013,26
7.108,4.114,1,5.737,2,1,6.828,8.221,9.184,10.432,5.524,2,3.382,10,2,2,5.382,3.382,8,29.01,11.577,13.021,4,4.13,1,3,4.13,0.271,2.063,0.891,209.82,2.05,18.301,0.429,1,1.468,2.144,1.371,0.102,2.838,4.751,4.751,0.038,4.056,10.64,1,0.021,11.197,5.357,4.08,0.847,4,0.045,2,0.13,2.858,4.927,0,2,0.0,0.0,0.005,22
7.967,4.137,1,6.127,5,1,7.762,9.171,10.387,11.74,6.158,3,4.004,10,3,3,6.004,4.004,13,71.008,12.202,13.662,5,4.414,5,3,4.163,0.273,2.042,1.044,261.33,2.018,18.057,0.428,6,1.53,2.141,1.603,-0.048,2.929,5.113,5.113,-0.039,4.055,11.217,6,0.019,12.125,5.687,4.081,0.84,0,0.035,0,0.11,4.507,5.231,2,7,5.043,7.413,0.013,28
