pXC50,N.,SCBO,Sv,X.,nH,nX,nF,nBM,nSK,Se,nC,nBT,nAT,Si,MW,C.,O.,nHet,nCsp2
8.74,2.2,30.0,27.246,0.0,23,0,0,12,22,44.476,19,47,45,50.484,297.43,42.2,4.4,3,12
7.09,2.2,30.0,27.246,0.0,23,0,0,12,22,44.476,19,47,45,50.484,297.43,42.2,4.4,3,12
7.2,8.5,27.0,26.88,0.0,26,0,0,6,21,46.127,17,50,47,53.56,286.47,36.2,0.0,4,4
4.523,10.5,34.0,25.976,2.6,15,1,0,17,23,38.436,16,40,38,42.558,346.87,42.1,2.6,7,13
5.0,9.3,46.5,35.18,0.0,23,0,0,20,31,54.52,22,58,54,60.777,437.57,40.7,5.6,9,15
5.0,8.6,49.5,37.706,0.0,25,0,0,20,33,58.403,24,63,58,65.192,463.61,41.4,5.2,9,15
4.75,4.5,35.0,28.214,0.0,20,0,0,15,24,43.811,20,46,44,49.152,320.42,45.5,4.5,4,16
4.0,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
4.0,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
4.0,3.3,15.0,16.853,0.0,17,0,0,1,13,29.902,9,31,30,34.159,203.34,30.0,6.7,4,0
4.0,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
4.0,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
4.0,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
4.0,3.3,15.0,16.853,0.0,17,0,0,1,13,29.902,9,31,30,34.159,203.34,30.0,6.7,4,0
4.47,2.9,16.0,18.643,0.0,20,0,0,1,14,33.727,10,35,34,38.782,218.38,29.4,5.9,4,0
7.545,1.9,26.0,29.616,0.0,32,0,0,7,22,52.952,19,54,54,61.353,306.52,35.2,3.7,3,7
6.511,4.8,43.0,38.056,0.0,31,0,0,14,31,61.407,25,65,62,69.647,437.66,40.3,3.2,6,12
7.014,1.9,34.0,31.299,0.0,27,0,0,13,25,51.243,22,54,52,58.315,337.5,42.3,3.8,3,13
7.432,4.2,62.0,57.346,0.0,50,0,0,21,46,94.712,39,100,96,108.171,622.93,40.6,3.1,7,21
6.678,3.1,60.0,57.664,0.0,53,0,0,20,45,96.05,40,102,98,110.294,607.96,40.8,2.0,5,20
6.824,3.7,69.0,63.927,0.0,56,0,0,21,51,105.363,44,113,107,120.417,689.04,41.1,2.8,7,21
7.237,3.9,66.0,61.4,0.0,54,0,0,21,49,101.479,42,108,103,116.001,663.0,40.8,2.9,7,21
7.523,4.0,63.0,58.873,0.0,52,0,0,21,47,97.596,40,103,99,111.586,636.96,40.4,3.0,7,21
5.699,4.0,65.0,59.873,0.0,52,0,0,21,48,98.596,41,105,100,112.586,648.97,41.0,3.0,7,21
5.292,4.3,63.0,56.008,0.0,46,0,0,21,46,91.272,38,97,92,103.55,622.88,41.3,4.3,8,21
5.268,3.8,60.0,50.556,3.8,36,3,3,21,44,81.058,34,84,80,90.825,607.73,42.5,5.0,10,21
5.495,3.9,71.0,62.738,2.9,49,3,3,21,53,102.461,42,108,102,115.815,730.95,41.2,3.9,11,21
5.91,4.1,40.0,31.74,0.0,22,0,0,15,27,48.694,23,53,49,54.567,358.47,46.9,4.1,4,16
4.27,6.3,36.0,30.047,0.0,23,0,0,15,25,47.469,21,50,48,53.856,333.47,43.8,2.1,4,16
5.553,4.2,67.0,58.684,3.2,45,3,3,21,50,95.694,39,100,95,107.984,690.88,41.1,4.2,11,21
5.77,4.3,66.0,57.157,3.3,43,3,3,21,49,92.81,38,97,92,104.569,676.85,41.3,4.3,11,21
5.796,4.3,66.0,57.157,3.3,43,3,3,21,49,92.81,38,97,92,104.569,676.85,41.3,4.3,11,21
5.292,4.5,62.0,54.481,0.0,44,0,0,21,45,88.388,37,94,89,100.135,608.85,41.6,4.5,8,21
5.0,6.4,29.0,27.574,0.0,25,0,0,7,22,46.352,18,50,47,53.272,299.46,38.3,2.1,4,7
5.0,6.7,29.0,26.762,0.0,23,0,0,7,22,44.796,17,48,45,51.066,301.43,37.8,4.4,5,7
5.9,6.3,30.0,28.289,0.0,25,0,0,7,23,47.68,18,51,48,54.481,315.46,37.5,4.2,5,7
6.027,3.8,72.0,64.265,2.9,51,3,3,21,54,105.345,43,111,105,119.23,744.98,41.0,3.8,11,21
4.57,4.9,31.0,25.784,0.0,20,0,0,14,21,40.156,19,43,41,45.733,276.41,46.3,0.0,2,15
4.72,4.9,31.0,25.784,0.0,20,0,0,14,21,40.156,19,43,41,45.733,276.41,46.3,0.0,2,15
5.456,4.5,65.0,55.631,3.4,41,3,3,21,48,89.927,37,94,89,101.154,662.82,41.6,4.5,11,21
5.509,3.9,71.0,62.738,2.9,49,3,3,21,53,102.461,42,108,102,115.815,730.95,41.2,3.9,11,21
5.8,7.1,23.5,24.234,0.0,23,0,0,6,19,41.545,14,43,42,47.776,281.47,33.3,2.4,5,4
5.569,4.5,65.0,56.963,3.4,41,3,0,21,48,89.36,37,94,89,99.967,712.17,41.6,4.5,11,21
7.086,4.3,33.0,28.936,2.1,23,1,1,13,24,46.763,20,49,47,53.113,326.45,42.6,2.1,4,13
6.4,8.2,40.0,37.092,0.0,29,0,0,11,32,62.229,19,63,61,69.57,487.67,31.1,9.8,13,6
6.4,8.2,40.0,37.092,0.0,29,0,0,11,32,62.229,19,63,61,69.57,487.67,31.1,9.8,13,6
5.4,5.8,29.5,30.147,0.0,27,0,0,6,25,52.622,16,53,52,59.444,373.53,30.8,9.6,9,4
6.01,4.1,40.0,31.74,0.0,22,0,0,15,27,48.694,23,53,49,54.567,358.47,46.9,4.1,4,16
6.868,2.3,30.0,26.816,0.0,23,0,0,12,21,42.821,20,47,44,49.066,277.44,45.5,0.0,1,12
6.2,9.3,37.0,33.323,0.0,25,0,0,11,29,55.134,17,56,54,61.531,443.61,31.5,9.3,12,6
6.6,8.9,41.0,35.323,0.0,25,0,0,16,31,57.134,19,58,56,63.531,467.63,33.9,8.9,12,9
4.26,6.7,35.0,28.52,0.0,21,0,0,15,24,44.585,20,47,45,50.441,319.44,44.4,2.2,4,16
9.97,1.8,30.0,32.089,0.0,32,0,0,6,24,54.701,21,59,56,63.063,346.61,37.5,1.8,3,6
8.92,1.9,29.0,30.299,0.0,29,0,0,6,23,50.876,20,55,52,58.441,331.57,38.5,1.9,3,6
8.49,1.8,30.0,32.089,0.0,32,0,0,6,24,54.701,21,59,56,63.063,346.61,37.5,1.8,3,6
5.0,2.2,32.0,28.246,0.0,23,0,0,6,23,45.476,20,52,46,51.484,309.44,43.5,4.3,3,6
5.77,2.2,32.0,28.246,0.0,23,0,0,6,23,45.476,20,52,46,51.484,309.44,43.5,4.3,3,6
5.0,4.9,30.0,25.499,0.0,20,0,0,6,21,40.483,18,47,41,45.943,280.4,43.9,2.4,3,5
5.0,4.9,30.0,25.499,0.0,20,0,0,6,21,40.483,18,47,41,45.943,280.4,43.9,2.4,3,5
6.031,2.3,31.0,26.719,0.0,21,0,0,6,22,42.592,19,49,43,48.069,295.41,44.2,4.7,3,6
5.236,2.3,31.0,26.719,0.0,21,0,0,6,22,42.592,19,49,43,48.069,295.41,44.2,4.7,3,6
5.381,2.1,33.0,28.961,0.0,23,0,0,6,24,46.803,20,53,47,52.694,325.44,42.6,6.4,4,6
5.808,2.4,33.0,26.907,0.0,19,0,0,6,23,42.036,19,49,42,46.863,309.39,45.2,7.1,4,6
6.034,2.2,32.0,28.246,0.0,23,0,0,6,23,45.476,20,52,46,51.484,309.44,43.5,4.3,3,6
6.1,4.3,31.0,27.838,0.0,24,0,0,13,22,44.923,20,48,46,51.564,292.46,43.5,0.0,2,13
6.873,1.4,37.0,40.25,0.0,42,0,0,12,30,70.37,27,73,72,81.429,412.7,37.5,2.8,3,12
9.11,1.8,30.0,32.089,0.0,32,0,0,6,24,54.701,21,59,56,63.063,346.61,37.5,1.8,3,6
4.35,3.1,12.0,16.456,0.0,20,0,0,0,12,31.651,9,32,32,36.862,174.3,28.1,6.3,3,0
4.52,3.1,12.0,16.456,0.0,20,0,0,0,12,31.651,9,32,32,36.862,174.3,28.1,6.3,3,0
5.105,3.1,12.0,16.456,0.0,20,0,0,0,12,31.651,9,32,32,36.862,174.3,28.1,6.3,3,0
5.0,8.3,28.5,18.577,8.3,6,2,2,13,18,24.956,13,25,24,26.842,260.28,54.2,0.0,5,9
5.476,1.8,39.0,34.112,1.8,26,1,1,14,29,55.411,23,57,55,62.073,399.5,41.8,7.3,6,15
4.0,2.0,35.0,30.773,0.0,25,0,0,14,25,49.36,22,52,50,55.9,335.48,44.0,4.0,3,15
4.0,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
4.0,1.8,39.0,34.014,0.0,27,0,0,14,28,54.571,24,58,55,61.524,377.52,43.6,5.5,4,15
4.0,1.9,39.0,33.202,0.0,25,0,0,14,28,53.014,23,56,53,59.318,379.49,43.4,7.5,5,15
4.0,3.0,45.0,40.616,0.0,34,0,0,15,33,66.323,28,70,67,75.268,446.64,41.8,4.5,5,16
4.0,3.3,45.0,39.217,3.3,28,2,0,15,33,61.203,26,64,61,68.326,487.46,42.6,4.9,7,16
4.0,3.1,46.0,39.991,0.0,32,0,0,16,33,64.843,26,68,65,72.982,468.67,40.0,6.2,7,15
5.582,1.8,38.0,33.729,0.0,27,0,0,14,28,54.898,23,57,55,61.734,381.51,41.8,7.3,5,15
5.943,1.9,38.0,32.487,0.0,25,0,0,14,27,51.687,23,55,52,58.109,363.49,44.2,5.8,4,15
4.0,1.9,38.0,32.487,0.0,25,0,0,14,27,51.687,23,55,52,58.109,363.49,44.2,5.8,4,15
5.65,1.8,38.0,33.729,0.0,27,0,0,14,28,54.898,23,57,55,61.734,381.51,41.8,7.3,5,15
5.298,1.9,41.5,33.773,0.0,25,0,0,19,28,52.36,25,56,53,58.9,371.51,47.2,3.8,3,19
4.0,2.0,36.0,31.487,0.0,25,0,0,14,26,50.687,22,53,51,57.109,351.48,43.1,5.9,4,15
5.513,1.9,37.0,32.202,0.0,25,0,0,14,27,52.014,22,54,52,58.318,367.48,42.3,7.7,5,15
5.629,1.8,40.0,34.398,1.8,26,1,1,14,29,55.083,24,58,55,61.864,395.51,43.6,5.5,5,15
4.0,1.9,39.0,32.871,1.9,24,1,1,14,28,52.2,23,55,52,58.449,381.48,44.2,5.8,5,15
6.131,1.9,39.0,32.871,1.9,24,1,1,14,28,52.2,23,55,52,58.449,381.48,44.2,5.8,5,15
5.572,1.8,40.0,34.729,0.0,27,0,0,14,29,55.898,24,59,56,62.734,393.52,42.9,7.1,5,15
5.618,1.8,40.0,34.729,0.0,27,0,0,14,29,55.898,24,59,56,62.734,393.52,42.9,7.1,5,15
4.0,1.8,39.0,34.112,1.8,26,1,1,14,29,55.411,23,57,55,62.073,399.5,41.8,7.3,6,15
4.0,1.7,40.0,35.971,0.0,29,0,0,14,30,59.109,24,61,59,66.358,411.54,40.7,8.5,6,15
4.0,1.7,40.0,35.971,0.0,29,0,0,14,30,59.109,24,61,59,66.358,411.54,40.7,8.5,6,15
7.523,2.0,36.0,31.487,0.0,25,0,0,14,26,50.687,22,53,51,57.109,351.48,43.1,5.9,4,15
4.0,1.8,38.0,34.541,0.0,29,0,0,14,28,56.454,24,59,57,63.939,379.54,42.1,5.3,4,15
4.0,1.7,39.0,36.068,0.0,31,0,0,14,29,59.338,25,62,60,67.355,393.57,41.7,5.0,4,15
7.222,1.9,38.0,32.487,0.0,25,0,0,14,27,51.687,23,55,52,58.109,363.49,44.2,5.8,4,15
4.0,1.7,40.0,35.541,0.0,29,0,0,14,29,57.454,25,61,58,64.939,391.55,43.1,5.2,4,15
4.0,1.6,41.0,37.068,0.0,31,0,0,14,30,60.338,26,64,61,68.355,405.58,42.6,4.9,4,15
5.936,1.8,38.0,34.541,0.0,29,0,0,14,28,56.454,24,59,57,63.939,379.54,42.1,5.3,4,15
4.0,2.0,37.0,30.961,0.0,23,0,0,14,26,48.803,22,52,49,54.694,349.46,44.9,6.1,4,15
6.201,1.8,39.0,34.014,0.0,27,0,0,14,28,54.571,24,58,55,61.524,377.52,43.6,5.5,4,15
6.721,2.0,36.0,31.96,0.0,25,0,0,14,26,50.436,22,53,51,56.82,367.55,43.1,3.9,4,15
6.959,1.9,40.0,33.389,0.0,25,0,0,16,28,53.091,22,55,53,59.238,399.55,41.5,7.5,6,15
6.553,2.0,35.0,30.773,0.0,25,0,0,14,25,49.36,22,52,50,55.9,335.48,44.0,4.0,3,15
7.097,2.1,35.0,29.629,2.1,22,1,1,14,25,46.989,21,49,47,52.824,339.44,44.7,4.3,4,15
6.131,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
6.387,2.0,36.0,31.6,2.0,24,1,0,14,26,49.683,22,52,50,55.844,369.92,44.0,4.0,4,15
6.432,2.0,36.0,31.798,2.0,24,1,0,14,26,49.589,22,52,50,55.741,414.37,44.0,4.0,4,15
6.357,3.8,40.0,32.697,0.0,24,0,0,16,28,52.232,22,54,52,58.401,380.48,42.3,7.7,6,15
4.0,1.8,41.0,34.916,0.0,27,0,0,16,29,55.974,23,58,56,62.654,413.58,41.1,7.1,6,15
6.638,1.8,39.0,34.014,0.0,27,0,0,14,28,54.571,24,58,55,61.524,377.52,43.6,5.5,4,15
6.553,1.9,39.0,33.202,0.0,25,0,0,14,28,53.014,23,56,53,59.318,379.49,43.4,7.5,5,15
6.921,2.0,38.0,31.675,0.0,23,0,0,14,27,50.131,22,53,50,55.903,365.46,44.0,8.0,5,15
5.609,1.9,38.0,33.398,1.9,26,1,1,14,28,54.083,23,56,54,60.864,383.5,42.6,5.6,5,15
4.0,1.6,41.0,37.497,0.0,31,0,0,14,31,61.992,25,64,62,69.773,425.57,40.3,8.1,6,15
4.0,1.7,38.0,35.353,0.0,31,0,0,14,28,58.01,25,61,59,66.145,377.57,42.4,3.4,3,15
6.119,4.1,35.0,30.267,0.0,24,0,0,14,25,48.578,21,51,49,54.983,336.47,42.9,4.1,4,14
6.854,4.1,35.0,30.267,0.0,24,0,0,14,25,48.578,21,51,49,54.983,336.47,42.9,4.1,4,14
6.721,2.1,33.5,29.433,0.0,23,0,0,13,24,46.552,20,49,47,52.404,341.51,42.6,4.3,4,13
4.0,1.5,48.0,40.783,0.0,31,0,0,20,34,64.665,29,68,65,72.564,457.61,44.6,6.2,5,21
5.903,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
6.824,1.9,37.0,33.014,0.0,27,0,0,14,27,53.571,23,56,54,60.524,365.51,42.6,5.6,4,15
5.442,2.0,36.0,31.487,0.0,25,0,0,14,26,50.687,22,53,51,57.109,351.48,43.1,5.9,4,15
6.328,1.8,38.0,34.541,0.0,29,0,0,14,28,56.454,24,59,57,63.939,379.54,42.1,5.3,4,15
4.0,1.8,38.0,34.541,0.0,29,0,0,14,28,56.454,24,59,57,63.939,379.54,42.1,5.3,4,15
6.538,1.9,36.0,32.299,0.0,27,0,0,14,26,52.243,23,55,53,59.315,349.51,43.4,3.8,3,15
6.721,2.0,36.0,31.156,2.0,24,1,1,14,26,49.872,22,52,50,56.239,353.47,44.0,4.0,4,15
4.523,9.1,27.0,21.954,3.0,14,1,0,11,19,33.334,13,35,33,37.06,295.82,39.4,3.0,6,8
5.124,5.6,22.5,20.95,0.0,19,0,0,6,17,35.869,13,37,36,40.945,235.34,36.1,5.6,4,3
5.0,5.7,27.5,22.16,0.0,16,0,0,12,19,35.043,15,36,35,39.322,256.33,42.9,5.7,4,9
5.0,7.1,18.5,16.633,0.0,14,0,0,6,14,28.16,10,28,28,31.907,194.26,35.7,7.1,4,3
5.736,4.7,31.5,26.477,0.0,21,0,0,12,22,42.752,18,45,43,48.36,297.41,41.9,4.7,4,9
5.0,5.3,21.0,21.477,0.0,21,0,0,2,17,37.752,13,39,38,43.36,237.36,34.2,5.3,4,1
5.386,5.3,21.0,21.477,0.0,21,0,0,2,17,37.752,13,39,38,43.36,237.36,34.2,5.3,4,1
5.0,5.7,27.0,22.16,0.0,16,0,0,8,19,35.043,15,37,35,39.322,256.33,42.9,5.7,4,7
5.638,6.1,17.0,18.235,0.0,19,0,0,2,14,32.542,11,33,33,37.735,195.32,33.3,3.0,3,1
5.0,4.8,29.0,25.477,0.0,21,0,0,8,21,41.752,17,44,42,47.36,285.4,40.5,4.8,4,7
5.0,5.3,28.0,23.687,0.0,18,0,0,8,20,37.927,16,40,38,42.737,270.36,42.1,5.3,4,7
5.2,6.3,19.5,18.423,0.0,17,0,0,6,15,31.985,11,32,32,36.529,209.3,34.4,6.3,4,3
5.0,5.4,22.0,21.499,0.0,20,0,0,2,17,36.483,14,39,37,41.943,232.36,37.8,2.7,3,1
5.0,5.3,23.0,22.214,0.0,20,0,0,2,18,37.811,14,40,38,43.152,248.36,36.8,5.3,4,1
5.289,5.9,20.0,19.687,0.0,18,0,0,2,16,33.927,12,35,34,38.737,222.32,35.3,5.9,4,1
5.0,7.3,28.5,24.686,0.0,20,0,0,7,21,41.298,15,43,41,46.652,290.38,36.6,7.3,6,4
6.77,3.6,55.0,61.846,0.0,66,0,0,12,46,109.453,40,115,112,127.283,635.1,35.7,1.8,6,12
6.2,9.5,57.5,46.712,0.0,35,0,0,27,39,73.159,31,79,74,83.221,537.8,41.9,0.0,8,20
5.0,2.4,36.5,27.923,2.4,16,1,0,18,25,41.804,19,43,41,45.602,357.81,46.3,9.8,6,17
6.15,1.9,32.0,31.375,0.0,30,0,0,12,24,52.741,22,56,54,60.728,324.53,40.7,1.9,2,12
3.64,2.4,55.0,50.535,0.0,44,0,0,24,40,82.414,36,87,84,94.135,536.82,42.9,2.4,4,24
6.08,2.3,56.0,52.062,0.0,46,0,0,24,41,85.297,37,90,87,97.55,550.85,42.5,2.3,4,24
5.54,2.9,39.0,39.24,0.0,38,0,0,12,30,66.436,27,71,68,76.68,406.67,39.7,1.5,3,12
7.081,3.7,41.0,45.181,0.0,49,0,0,13,33,79.628,30,83,82,93.045,451.82,36.6,0.0,3,13
5.16,3.2,42.0,37.923,0.0,33,0,0,18,30,61.727,27,66,63,70.642,401.62,42.9,1.6,3,18
4.74,2.2,57.0,54.116,0.0,50,0,0,24,42,90.065,38,95,92,103.38,566.9,41.3,2.2,4,24
6.642,4.3,37.0,39.073,0.0,41,0,0,13,29,68.094,26,71,70,79.384,395.7,37.1,0.0,3,13
4.59,2.6,41.0,42.82,0.0,44,0,0,12,32,74.087,29,79,76,85.925,436.75,38.2,1.3,3,12
4.87,3.8,32.0,30.606,0.0,28,0,0,12,24,51.018,21,54,52,58.604,324.51,40.4,1.9,3,12
5.85,4.1,31.0,29.079,0.0,26,0,0,12,23,48.134,20,51,49,55.188,310.48,40.8,2.0,3,12
10.288,2.1,36.0,30.786,0.0,22,0,0,11,26,48.342,19,52,48,53.536,392.56,39.6,8.3,7,9
4.61,3.0,14.0,17.928,0.0,20,0,0,0,13,32.4,10,34,33,37.572,202.38,30.3,3.0,3,0
4.63,3.0,14.0,17.928,0.0,20,0,0,0,13,32.4,10,34,33,37.572,202.38,30.3,3.0,3,0
4.97,3.0,14.0,17.928,0.0,20,0,0,0,13,32.4,10,34,33,37.572,202.38,30.3,3.0,3,0
4.28,3.0,14.0,17.456,0.0,20,0,0,0,13,32.651,10,34,33,37.862,186.31,30.3,6.1,3,0
4.99,3.0,14.0,17.928,0.0,20,0,0,0,13,32.4,10,34,33,37.572,202.38,30.3,3.0,3,0
5.43,3.1,12.0,16.456,0.0,20,0,0,0,12,31.651,9,32,32,36.862,174.3,28.1,6.3,3,0
7.107,2.0,35.0,30.773,0.0,25,0,0,14,25,49.36,22,52,50,55.9,335.48,44.0,4.0,3,15
5.527,1.9,29.0,29.826,0.0,29,0,0,7,23,51.127,20,54,52,58.73,315.5,38.5,3.8,3,7
7.485,8.1,115.0,98.425,0.0,77,0,0,42,83,159.562,64,168,160,181.021,1124.54,40.0,3.8,19,39
5.0,9.5,34.0,27.128,2.4,19,1,0,16,23,41.8,18,45,42,47.259,326.86,42.9,0.0,5,13
7.757,4.0,91.0,30.508,1.6,60,2,2,34,65,124.432,52,131,125,140.499,900.05,41.6,3.2,13,35
5.0,6.5,33.0,28.875,2.2,22,1,0,13,24,45.792,19,48,46,51.8,343.89,41.3,2.2,5,13
6.292,6.5,19.0,18.16,0.0,16,0,0,2,15,31.043,11,32,31,35.322,208.29,35.5,6.5,4,1
5.301,4.5,61.0,53.766,0.0,44,0,0,21,44,87.061,37,93,88,98.925,592.85,42.0,3.4,7,21
6.382,3.8,49.0,56.792,0.0,62,0,0,12,42,101.686,36,105,104,118.453,583.02,34.6,1.9,6,12
6.405,1.7,30.0,33.407,0.0,35,0,0,2,25,58.778,22,63,60,67.976,345.58,36.7,3.3,3,3
5.98,4.1,40.0,31.74,0.0,22,0,0,15,27,48.694,23,53,49,54.567,358.47,46.9,4.1,4,16
4.57,4.5,35.0,28.214,0.0,20,0,0,15,24,43.811,20,46,44,49.152,320.42,45.5,4.5,4,16
4.0,10.0,19.5,18.599,0.0,15,0,0,6,15,29.76,10,31,30,33.826,241.42,33.3,0.0,5,4
4.28,6.3,36.0,30.047,0.0,23,0,0,15,25,47.469,21,50,48,53.856,333.47,43.8,2.1,4,16
6.285,8.2,46.0,42.987,0.0,38,0,0,14,35,72.403,27,76,73,83.052,478.71,37.0,2.7,8,13
4.18,6.7,35.0,28.52,0.0,21,0,0,15,24,44.585,20,47,45,50.441,319.44,44.4,2.2,4,16
5.77,3.2,45.0,38.749,0.0,30,0,0,17,32,61.632,26,66,62,69.358,450.65,41.9,4.8,6,15
4.52,4.5,35.0,28.214,0.0,20,0,0,15,24,43.811,20,46,44,49.152,320.42,45.5,4.5,4,16
5.0,9.5,34.0,26.683,2.4,19,1,1,16,23,41.989,18,45,42,47.655,310.41,42.9,0.0,5,13
5.0,8.3,35.0,29.354,0.0,24,0,0,16,24,47.243,20,51,48,54.145,320.48,41.7,0.0,4,13
5.0,8.9,37.0,28.977,6.7,19,3,3,16,26,45.898,19,48,45,51.749,360.42,42.2,0.0,7,13
4.27,6.7,35.0,28.52,0.0,21,0,0,15,24,44.585,20,47,45,50.441,319.44,44.4,2.2,4,16
5.0,8.7,35.0,28.542,0.0,22,0,0,16,24,45.687,19,49,46,51.939,322.45,41.3,2.2,5,13
5.0,8.7,35.0,29.014,0.0,22,0,0,16,24,45.436,19,49,46,51.65,338.52,41.3,0.0,5,13
5.0,7.7,43.0,33.354,0.0,24,0,0,22,28,51.243,24,56,52,58.145,368.52,46.2,0.0,4,19
5.0,7.8,36.0,30.88,0.0,26,0,0,16,25,50.127,21,54,51,57.56,334.51,41.2,0.0,4,13
5.0,9.5,34.0,26.683,2.4,19,1,1,16,23,41.989,18,45,42,47.655,310.41,42.9,0.0,5,13
4.745,4.5,36.0,28.214,0.0,20,0,0,16,24,43.811,20,48,44,49.152,320.42,45.5,4.5,4,14
6.225,6.2,49.0,40.559,1.5,31,1,1,22,34,64.618,28,69,65,73.355,458.63,43.1,1.5,6,19
5.0,8.7,36.0,28.827,0.0,22,0,0,17,24,45.36,20,49,46,51.73,318.46,43.5,0.0,4,15
5.956,3.6,43.0,35.658,3.6,26,2,2,19,30,55.716,26,59,56,63.074,404.54,46.4,0.0,4,20
5.086,3.8,42.0,33.697,0.0,24,0,0,17,29,53.232,23,57,53,59.401,392.49,43.4,7.5,6,15
5.378,4.1,40.0,31.455,0.0,22,0,0,17,27,49.022,22,53,49,54.777,362.46,44.9,6.1,5,15
5.411,3.8,41.0,32.982,0.0,24,0,0,17,28,51.905,23,56,52,58.192,376.49,44.2,5.8,5,15
5.762,3.8,41.0,32.982,0.0,24,0,0,17,28,51.905,23,56,52,58.192,376.49,44.2,5.8,5,15
5.328,8.3,15.5,14.106,0.0,12,0,0,5,12,24.276,8,25,24,27.491,168.22,33.3,8.3,4,3
6.959,6.7,17.5,17.16,0.0,16,0,0,5,14,30.043,10,31,30,34.322,196.28,33.3,6.7,4,3
6.543,1.4,48.0,44.46,0.0,39,0,0,19,35,72.545,32,77,74,82.806,469.72,43.2,2.7,3,19
6.009,3.1,18.0,18.38,0.0,17,0,0,2,15,32.153,11,33,32,36.448,211.29,34.4,9.4,4,3
4.0,4.7,22.0,23.982,0.0,24,0,0,2,19,42.905,14,44,43,49.192,268.4,32.6,7.0,5,3
5.83,3.2,45.0,38.749,0.0,30,0,0,17,32,61.632,26,66,62,69.358,450.65,41.9,4.8,6,15
5.65,3.4,44.0,36.75,0.0,28,0,0,17,31,59.0,25,63,59,66.232,420.55,42.4,6.8,6,15
4.88,3.4,11.0,15.401,0.0,18,0,0,0,11,28.516,8,29,29,33.157,176.34,27.6,3.4,3,0
6.594,2.2,27.0,26.773,0.0,25,0,0,8,21,45.36,18,47,46,51.9,287.44,39.1,4.3,3,9
7.201,2.0,30.0,29.299,0.0,27,0,0,8,23,49.243,20,52,50,56.315,313.48,40.0,4.0,3,9
4.95,3.2,45.0,38.277,0.0,30,0,0,17,32,61.883,26,66,62,69.647,434.58,41.9,6.5,6,15
4.772,2.7,24.0,22.192,0.0,19,0,0,8,18,36.709,15,38,37,41.654,245.35,40.5,5.4,3,9
6.48,2.0,35.0,30.773,0.0,25,0,0,14,25,49.36,22,52,50,55.9,335.48,44.0,4.0,3,15
6.669,1.9,31.0,30.826,0.0,29,0,0,8,24,52.127,21,55,53,59.73,327.51,39.6,3.8,3,9
6.326,1.7,38.0,35.353,0.0,31,0,0,14,28,58.01,25,61,59,66.145,377.57,42.4,3.4,3,15
6.577,2.2,27.0,26.773,0.0,25,0,0,8,21,45.36,18,47,46,51.9,287.44,39.1,4.3,3,9
6.628,1.6,33.0,35.933,0.0,37,0,0,8,27,62.661,24,65,64,72.391,371.62,37.5,3.1,3,9
5.876,2.5,25.0,23.719,0.0,21,0,0,8,19,39.592,16,41,40,45.069,259.38,40.0,5.0,3,9
5.683,5.9,32.5,30.101,0.0,27,0,0,12,24,50.236,20,53,51,57.687,325.5,39.2,2.0,4,10
4.508,2.3,33.0,27.719,0.0,21,0,0,14,23,43.592,20,46,44,49.069,307.42,45.5,4.5,3,15
7.267,2.0,30.0,29.299,0.0,27,0,0,8,23,49.243,20,52,50,56.315,313.48,40.0,4.0,3,9
6.294,1.9,29.0,29.826,0.0,29,0,0,8,23,51.127,20,53,52,58.73,315.5,38.5,3.8,3,9
6.075,1.8,37.0,33.826,0.0,29,0,0,14,27,55.127,24,58,56,62.73,363.54,42.9,3.6,3,15
5.953,1.6,33.0,35.933,0.0,37,0,0,8,27,62.661,24,65,64,72.391,371.62,37.5,3.1,3,9
5.805,1.7,38.0,35.353,0.0,31,0,0,14,28,58.01,25,61,59,66.145,377.57,42.4,3.4,3,15
5.37,1.9,34.0,31.299,0.0,27,0,0,13,25,51.243,22,54,52,58.315,337.5,42.3,3.8,3,13
6.712,1.8,30.0,31.353,0.0,31,0,0,8,24,54.01,21,56,55,62.145,329.53,38.2,3.6,3,9
8.069,1.7,25.0,31.767,0.0,38,0,0,6,22,57.948,21,60,60,68.18,304.6,35.0,0.0,1,5
7.2,8.2,47.0,43.979,0.0,36,0,0,12,37,73.654,24,76,73,83.105,552.8,32.9,6.8,13,8
5.804,2.3,33.0,27.719,0.0,21,0,0,14,23,43.592,20,46,44,49.069,307.42,45.5,4.5,3,15
6.466,2.0,28.0,28.299,0.0,27,0,0,8,22,48.243,19,50,49,55.315,301.47,38.8,4.1,3,9
