pXC50,nHM,nX,X.,nCL,nAB,nBM,nHet,nN,AMW,Me,N.,nDB,RBF,MW,Mp
6.444,1,0,0.0,0,30,34,8,3,7.776,0.998,3.7,4,0.093,629.83,0.7
6.854,1,0,0.0,0,30,34,8,3,7.895,0.999,3.8,4,0.084,615.8,0.704
7.244,1,0,0.0,0,30,34,7,2,8.038,0.999,2.7,4,0.09,586.75,0.714
7.0,2,0,0.0,0,29,33,9,3,8.291,1.002,4.0,4,0.1,621.83,0.717
4.456,1,0,0.0,0,23,24,4,0,7.792,0.994,0.0,1,0.138,428.58,0.712
7.42,0,0,0.0,0,6,9,6,0,6.733,1.004,0.0,3,0.186,390.52,0.623
5.081,0,0,0.0,0,24,25,3,0,7.428,0.992,0.0,1,0.138,408.52,0.7
4.143,0,0,0.0,0,24,26,3,0,7.67,0.994,0.0,2,0.125,406.5,0.712
7.5,1,3,6.0,1,18,20,11,4,9.498,1.043,8.0,2,0.075,474.88,0.693
5.6,2,1,2.0,1,12,16,9,2,8.739,1.022,4.0,4,0.115,436.95,0.688
5.7,1,1,2.0,1,18,20,7,3,8.438,1.011,6.0,2,0.094,421.91,0.702
5.7,2,1,2.0,1,12,16,9,2,8.739,1.022,4.0,4,0.115,436.95,0.688
4.0,2,2,6.3,2,12,14,4,0,9.599,1.015,0.0,2,0.121,307.18,0.749
7.2,2,1,1.9,1,17,19,8,2,8.788,1.014,3.8,2,0.127,456.98,0.711
5.0,0,0,0.0,0,6,7,6,0,6.215,0.996,0.0,1,0.203,422.62,0.606
8.451,2,1,2.0,1,17,19,9,3,8.98,1.019,5.9,2,0.111,457.97,0.71
4.886,2,2,3.7,2,18,21,6,0,8.692,1.01,0.0,3,0.143,469.38,0.716
4.721,1,1,1.6,1,6,7,7,0,6.919,1.005,0.0,1,0.206,429.0,0.621
7.392,2,1,1.6,1,29,30,6,2,8.469,0.998,3.2,1,0.121,525.1,0.735
8.35,2,1,2.2,1,23,24,5,0,9.151,1.007,0.0,1,0.122,420.93,0.755
6.553,2,1,2.2,1,23,24,6,1,9.376,1.012,2.2,1,0.125,421.92,0.755
5.0,0,0,0.0,0,23,24,6,1,7.644,1.004,1.6,1,0.118,481.58,0.685
5.0,0,0,0.0,0,0,1,5,0,5.692,0.991,0.0,1,0.222,358.58,0.583
5.0,0,0,0.0,0,6,7,5,0,6.009,0.99,0.0,1,0.197,420.65,0.607
5.462,0,1,1.6,0,6,7,6,0,6.415,1.001,0.0,1,0.2,410.58,0.608
5.959,2,0,0.0,0,5,6,7,0,7.062,0.999,0.0,1,0.217,416.66,0.64
5.523,0,0,0.0,0,29,31,5,2,7.407,0.992,2.7,2,0.115,540.7,0.696
5.0,0,0,0.0,0,6,7,5,0,6.069,0.991,0.0,1,0.191,406.62,0.608
4.721,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
4.0,0,0,0.0,0,12,15,2,0,7.343,0.992,0.0,3,0.135,264.34,0.694
9.15,1,1,2.0,1,23,24,5,1,8.358,1.005,2.0,1,0.113,417.91,0.717
5.7,1,4,9.5,0,17,18,9,2,10.839,1.048,4.8,1,0.136,455.25,0.705
6.212,1,1,1.7,1,6,9,7,0,7.327,1.009,0.0,3,0.186,424.96,0.638
5.7,1,7,14.6,0,17,18,12,2,11.193,1.069,4.2,1,0.12,537.28,0.687
6.47,1,1,2.3,0,17,20,9,3,10.143,1.031,6.8,3,0.152,446.28,0.704
5.87,1,1,2.4,0,17,18,6,2,9.554,1.012,4.8,1,0.136,401.28,0.71
6.0,1,1,2.2,1,23,24,7,3,9.019,1.018,6.7,1,0.125,405.86,0.724
4.732,1,0,0.0,0,17,19,6,1,7.349,0.996,1.5,2,0.162,477.67,0.675
9.23,1,1,2.1,1,23,24,5,1,8.593,1.008,2.1,1,0.12,403.88,0.725
4.699,2,1,1.9,1,16,20,8,1,8.679,1.016,1.9,4,0.107,459.98,0.701
5.495,1,1,1.7,1,12,14,6,1,7.413,1.002,1.7,2,0.167,429.98,0.661
8.95,1,3,7.1,1,17,18,8,2,9.353,1.038,4.8,1,0.136,392.81,0.695
5.071,2,0,0.0,0,17,22,6,1,8.714,1.004,2.1,5,0.143,409.56,0.734
5.046,1,2,4.3,1,16,18,6,1,8.508,1.016,2.1,2,0.1,399.87,0.697
5.071,2,0,0.0,0,17,22,6,1,8.714,1.004,2.1,5,0.143,409.56,0.734
7.69,2,3,7.1,2,17,18,8,2,9.744,1.034,4.8,1,0.136,409.26,0.717
5.718,2,0,0.0,0,23,28,8,1,8.396,1.006,1.5,5,0.162,545.72,0.715
5.7,1,1,1.9,0,17,18,6,2,8.47,1.0,3.7,1,0.125,457.4,0.683
5.95,3,3,7.1,2,17,18,8,2,11.194,1.027,4.8,1,0.136,470.16,0.751
6.89,2,2,4.8,0,17,18,7,2,11.433,1.017,4.8,1,0.136,480.17,0.742
5.42,2,1,1.6,0,18,21,9,2,8.976,1.01,3.3,3,0.159,547.51,0.692
7.0,1,0,0.0,0,23,25,9,3,8.129,1.013,5.1,2,0.145,479.6,0.683
7.3,3,2,3.7,2,23,25,11,4,9.619,1.026,7.4,2,0.14,519.44,0.723
5.5,1,0,0.0,0,18,22,9,3,7.81,1.008,4.6,3,0.164,507.66,0.674
7.89,1,0,0.0,0,18,21,8,2,7.413,1.003,3.0,3,0.145,496.68,0.662
7.54,2,1,1.6,0,18,21,9,2,8.774,1.008,3.1,3,0.167,561.54,0.687
6.62,1,0,0.0,0,18,22,9,3,7.81,1.008,4.6,3,0.164,507.66,0.674
5.85,2,1,1.8,1,18,21,7,2,8.161,1.003,3.6,3,0.138,457.03,0.697
6.3,2,2,3.7,1,23,25,9,3,9.0,1.019,5.6,2,0.123,486.0,0.712
5.97,1,0,0.0,0,18,21,7,2,7.544,1.001,3.3,3,0.145,452.62,0.673
5.84,2,1,2.0,1,18,21,8,3,8.775,1.013,6.1,3,0.137,429.96,0.709
4.523,0,3,4.5,0,6,7,8,0,6.874,1.014,0.0,1,0.191,460.59,0.605
7.4,2,1,1.7,1,23,25,9,3,8.587,1.013,5.2,2,0.131,498.04,0.702
7.4,3,2,3.6,2,23,25,10,3,9.426,1.021,5.5,2,0.138,518.45,0.724
6.3,2,2,3.7,1,23,25,9,3,9.0,1.019,5.6,2,0.123,486.0,0.712
6.77,1,0,0.0,0,18,21,7,2,7.544,1.001,3.3,3,0.145,452.62,0.673
7.18,1,1,1.6,0,18,21,9,2,7.822,1.012,3.1,3,0.152,500.64,0.665
6.87,1,1,1.8,0,18,21,7,2,7.867,1.007,3.6,3,0.138,440.58,0.68
6.5,2,1,1.8,1,23,25,8,3,8.457,1.007,5.3,2,0.133,482.04,0.706
6.23,1,0,0.0,0,18,21,8,2,7.682,1.007,3.3,3,0.159,468.62,0.669
7.9,1,0,0.0,0,15,16,5,2,8.119,1.003,5.4,1,0.103,300.41,0.7
6.523,0,0,0.0,0,0,3,5,0,5.886,0.991,0.0,3,0.185,382.6,0.596
5.155,1,0,0.0,0,23,27,11,3,7.944,1.012,3.9,4,0.138,603.75,0.675
9.0,1,1,2.7,1,15,16,6,2,8.616,1.019,5.4,1,0.103,318.78,0.691
10.2,1,3,7.5,0,15,16,8,2,9.21,1.039,5.0,1,0.095,368.41,0.687
7.54,2,2,4.8,1,17,18,7,2,10.374,1.019,4.8,1,0.136,435.72,0.73
6.8,1,1,2.5,1,12,13,5,1,7.995,1.009,2.5,1,0.146,319.81,0.677
9.5,1,1,2.6,1,11,12,5,0,8.126,1.015,0.0,1,0.154,308.78,0.672
8.9,1,1,2.6,1,15,16,5,1,8.363,1.013,2.6,1,0.1,317.79,0.693
5.046,1,6,7.1,0,23,27,18,3,9.14,1.049,3.6,4,0.135,767.76,0.665
8.0,1,1,2.4,1,17,18,6,2,8.496,1.014,4.8,1,0.136,356.83,0.698
7.4,1,1,1.9,1,23,24,6,3,8.15,1.002,5.7,1,0.125,431.95,0.706
5.7,1,1,2.6,0,17,18,7,3,10.217,1.022,7.9,1,0.15,388.24,0.718
8.7,1,1,2.4,1,17,18,5,0,8.496,1.014,0.0,1,0.136,356.82,0.703
7.8,2,1,2.6,1,17,18,5,0,9.202,1.012,0.0,1,0.146,358.86,0.743
6.65,1,0,0.0,0,18,21,6,2,7.546,0.998,3.6,3,0.138,422.59,0.681
5.663,2,2,4.0,1,16,20,9,1,9.279,1.03,2.0,4,0.094,463.94,0.707
6.848,2,2,4.0,1,16,20,9,1,9.279,1.03,2.0,4,0.094,463.94,0.707
8.347,0,0,0.0,0,0,4,6,1,6.313,1.0,1.8,4,0.214,353.51,0.602
7.921,1,3,3.8,0,30,34,11,2,8.56,1.02,2.5,4,0.094,684.78,0.699
5.0,0,0,0.0,0,6,7,6,0,6.215,0.996,0.0,1,0.203,422.62,0.606
4.0,0,0,0.0,0,0,3,5,1,5.957,0.992,1.8,3,0.228,339.53,0.597
4.0,0,0,0.0,0,17,19,2,0,7.588,0.993,0.0,2,0.1,288.36,0.711
5.0,0,0,0.0,0,18,20,3,0,7.028,0.99,0.0,2,0.158,386.52,0.677
5.96,1,4,8.9,0,17,18,9,2,10.428,1.042,4.4,1,0.128,469.28,0.698
5.495,2,1,1.8,1,11,13,7,1,7.927,1.005,1.8,2,0.175,436.01,0.677
6.147,0,0,0.0,0,6,7,6,0,6.364,1.0,0.0,1,0.206,394.56,0.608
5.357,2,3,7.1,1,16,17,6,1,10.398,1.018,2.4,1,0.089,436.72,0.736
5.936,2,2,4.2,1,16,19,8,1,9.082,1.024,2.1,3,0.098,435.93,0.706
5.495,0,0,0.0,0,12,14,5,1,6.82,0.996,1.7,2,0.167,395.54,0.646
10.0,1,3,5.3,0,23,25,9,2,9.744,1.026,3.5,2,0.117,555.4,0.709
4.886,0,0,0.0,0,0,2,5,1,5.789,0.99,1.7,2,0.237,341.55,0.589
4.886,1,0,0.0,0,11,13,8,5,7.302,0.999,9.1,2,0.193,401.59,0.654
4.886,1,0,0.0,0,6,9,6,1,7.124,1.0,1.9,3,0.204,377.55,0.648
7.081,3,0,0.0,0,23,26,7,1,8.416,0.997,1.6,3,0.169,521.77,0.729
6.854,1,0,0.0,0,30,34,8,2,8.145,1.004,2.7,4,0.101,602.75,0.711
4.886,0,0,0.0,0,6,9,5,1,6.44,0.994,1.7,3,0.186,373.54,0.625
5.301,0,0,0.0,0,6,7,6,1,6.247,0.996,1.6,1,0.203,393.58,0.607
5.081,0,0,0.0,0,24,25,3,0,7.285,0.991,0.0,1,0.131,422.55,0.694
5.585,2,0,0.0,0,29,32,7,1,8.39,1.001,1.5,3,0.143,553.74,0.728
7.4,2,1,1.9,1,17,19,8,2,8.788,1.014,3.8,2,0.127,456.98,0.711
7.2,2,1,2.6,1,21,22,6,2,9.707,1.015,5.3,1,0.098,368.86,0.763
7.7,2,1,1.6,1,23,25,9,4,8.243,1.006,6.5,2,0.123,511.09,0.694
5.0,1,0,0.0,0,6,9,7,0,6.847,0.999,0.0,3,0.175,424.52,0.635
4.0,0,3,5.2,0,6,9,8,1,7.371,1.021,1.7,3,0.186,427.51,0.622
7.5,3,2,3.4,2,23,25,10,3,9.181,1.018,5.2,2,0.148,532.48,0.717
5.23,1,3,4.0,0,22,26,12,3,8.21,1.023,4.0,4,0.128,615.73,0.666
5.495,0,1,1.7,0,12,14,6,1,7.13,1.005,1.7,2,0.167,413.53,0.645
5.523,3,0,0.0,0,23,26,7,1,8.243,0.995,1.5,3,0.176,535.8,0.723
4.886,1,0,0.0,0,23,24,4,0,7.792,0.994,0.0,1,0.138,428.58,0.712
7.9,1,1,1.8,1,17,18,7,3,7.642,1.004,5.4,1,0.138,427.97,0.667
4.0,0,3,5.2,0,6,9,8,1,7.371,1.021,1.7,3,0.186,427.51,0.622
8.0,1,1,1.8,1,24,26,6,1,8.428,1.008,1.8,2,0.119,471.96,0.715
8.2,1,1,1.7,1,24,26,6,1,8.237,1.006,1.7,2,0.129,485.99,0.709
6.6,1,1,2.3,1,18,19,5,1,8.36,1.008,2.3,1,0.13,367.85,0.706
6.0,2,2,4.1,2,24,25,5,0,9.17,1.009,0.0,1,0.115,449.34,0.749
7.7,1,1,2.0,1,24,25,4,0,8.467,1.003,0.0,1,0.115,414.9,0.731
6.1,1,1,2.0,1,24,25,4,0,8.467,1.003,0.0,1,0.115,414.9,0.731
8.3,1,2,4.2,1,24,25,6,1,9.039,1.018,2.1,1,0.118,433.88,0.73
6.9,1,1,2.0,1,24,25,4,0,8.467,1.003,0.0,1,0.115,414.9,0.731
7.0,1,1,1.9,1,24,25,4,0,8.249,1.0,0.0,1,0.109,428.93,0.723
8.0,1,1,1.6,1,24,26,6,1,8.065,1.004,1.6,2,0.123,500.02,0.703
8.4,1,1,1.7,1,24,26,7,1,8.366,1.011,1.7,2,0.143,501.99,0.705
6.8,1,1,2.0,1,18,19,5,1,7.998,1.002,2.0,1,0.111,407.92,0.698
7.1,0,1,2.0,0,24,25,4,0,8.132,1.007,0.0,1,0.115,398.45,0.713
7.4,1,2,4.2,1,24,25,6,1,9.039,1.018,2.1,1,0.118,433.88,0.73
5.413,3,4,7.8,2,22,26,11,2,10.537,1.043,3.9,4,0.111,537.39,0.744
6.5,1,1,2.0,1,24,25,4,0,8.467,1.003,0.0,1,0.115,414.9,0.731
6.0,1,1,1.9,1,24,25,4,0,8.249,1.0,0.0,1,0.109,428.93,0.723
6.0,1,1,1.9,1,24,25,4,0,8.249,1.0,0.0,1,0.109,428.93,0.723
7.6,1,3,7.3,1,18,19,7,1,9.507,1.037,2.4,1,0.14,389.8,0.712
7.1,1,4,9.8,1,18,19,8,1,9.946,1.049,2.4,1,0.14,407.79,0.711
7.4,2,2,4.9,2,18,19,6,1,9.47,1.02,2.4,1,0.14,388.26,0.736
7.9,1,4,8.3,1,24,25,8,1,9.789,1.04,2.1,1,0.118,469.86,0.727
7.4,2,2,4.9,2,18,19,6,1,9.47,1.02,2.4,1,0.14,388.26,0.736
8.1,2,3,7.3,2,18,19,7,1,9.909,1.032,2.4,1,0.14,406.25,0.734
7.798,1,1,2.1,1,18,19,5,1,8.125,1.005,2.1,1,0.122,381.88,0.699
7.3,2,3,6.3,1,24,25,7,1,10.683,1.023,2.1,1,0.118,512.77,0.758
7.7,2,3,6.3,2,24,25,7,1,9.757,1.025,2.1,1,0.118,468.32,0.747
5.197,4,2,3.8,2,26,29,10,2,10.292,1.024,3.8,3,0.123,545.49,0.768
7.6,3,3,7.3,3,18,19,7,1,10.31,1.027,2.4,1,0.14,422.7,0.757
7.0,1,1,2.1,1,12,13,5,1,7.657,1.003,2.1,1,0.122,359.88,0.672
5.0,2,5,9.8,1,22,26,12,2,10.567,1.057,3.9,4,0.111,538.93,0.724
5.0,2,4,7.8,1,22,26,11,2,10.215,1.047,3.9,4,0.111,520.94,0.725
5.274,3,5,9.8,2,22,26,12,2,10.89,1.053,3.9,4,0.111,555.38,0.742
4.936,3,5,8.6,2,12,18,12,2,9.887,1.041,3.4,6,0.098,573.45,0.709
7.1,1,1,1.4,1,23,24,8,4,7.697,1.001,5.8,1,0.123,531.1,0.68
7.9,1,1,1.5,1,23,24,7,4,7.575,0.996,5.9,1,0.125,515.1,0.683
7.6,1,1,1.8,1,17,18,7,3,7.642,1.004,5.4,1,0.138,427.97,0.667
7.9,1,1,1.4,1,23,24,7,4,7.453,0.995,5.6,1,0.12,529.13,0.679
6.9,1,1,1.6,1,23,24,7,4,7.787,1.0,6.6,1,0.141,475.03,0.687
7.9,1,1,1.6,1,23,24,7,4,7.642,0.998,6.3,1,0.149,489.06,0.683
8.1,1,1,1.6,1,23,24,7,4,7.642,0.998,6.3,1,0.134,489.06,0.683
6.2,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.138,455.05,0.658
6.9,1,1,1.5,1,17,18,7,4,7.18,0.995,6.0,1,0.129,481.09,0.66
7.0,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.138,455.05,0.658
6.8,1,1,1.5,1,17,18,7,4,7.18,0.995,6.0,1,0.129,481.09,0.66
5.161,4,2,3.3,2,16,22,10,2,9.436,1.015,3.3,6,0.092,575.57,0.737
6.8,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.154,455.05,0.658
6.3,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.123,495.12,0.657
5.854,1,2,3.2,0,12,18,10,2,8.332,1.023,3.2,6,0.108,516.61,0.673
4.545,3,2,4.2,2,16,17,7,2,9.071,1.009,4.2,1,0.098,435.4,0.727
4.545,3,2,4.2,2,16,17,7,2,9.071,1.009,4.2,1,0.098,435.4,0.727
5.0,3,4,7.8,2,22,26,11,2,10.537,1.043,3.9,4,0.111,537.39,0.744
7.1,1,1,1.7,1,17,18,7,4,7.35,0.998,6.7,1,0.145,441.02,0.661
8.3,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.138,455.05,0.658
7.4,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.123,495.12,0.657
7.0,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.11,495.12,0.657
8.2,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.123,495.12,0.657
6.9,1,1,1.6,1,17,18,7,4,7.427,0.998,6.6,1,0.109,453.03,0.667
7.3,1,1,1.4,1,17,18,7,4,6.905,0.992,5.6,1,0.149,497.14,0.649
7.3,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.123,495.12,0.657
8.2,1,1,1.5,1,17,18,7,4,7.18,0.995,6.0,1,0.129,481.09,0.66
7.0,1,1,1.6,1,17,18,7,4,7.298,0.996,6.3,1,0.119,467.06,0.663
7.1,1,1,1.6,1,17,18,7,4,7.298,0.996,6.3,1,0.104,467.06,0.663
7.3,1,1,1.4,1,17,18,7,4,7.073,0.993,5.7,1,0.11,495.12,0.657
7.3,1,1,1.6,1,17,18,8,4,7.36,1.001,6.3,1,0.167,471.05,0.655
7.5,1,1,1.8,1,17,18,7,3,7.642,1.004,5.4,1,0.138,427.97,0.667
7.0,1,1,2.1,1,18,19,5,1,8.125,1.005,2.1,1,0.143,381.88,0.699
7.1,1,2,4.9,1,18,19,6,1,9.069,1.024,2.4,1,0.14,371.81,0.714
7.5,1,1,2.3,1,12,13,5,1,7.86,1.006,2.3,1,0.13,345.85,0.678
7.0,1,2,4.9,1,18,19,6,1,9.069,1.024,2.4,1,0.14,371.81,0.714
6.7,1,1,2.6,1,12,13,5,1,8.363,1.013,2.6,1,0.15,317.79,0.693
7.2,2,3,6.3,2,24,25,7,1,9.757,1.025,2.1,1,0.118,468.32,0.747
7.45,2,3,7.3,2,18,19,7,1,9.909,1.032,2.4,1,0.14,406.25,0.734
7.2,0,1,2.0,0,24,25,4,0,8.132,1.007,0.0,1,0.115,398.45,0.713
8.4,1,3,6.3,1,24,25,7,1,9.414,1.029,2.1,1,0.118,451.87,0.728
6.3,0,0,0.0,0,24,25,3,0,7.586,0.994,0.0,1,0.109,394.49,0.707
8.0,1,1,2.1,1,24,25,5,1,8.664,1.007,2.1,1,0.118,415.89,0.731
8.699,1,1,1.6,1,24,26,6,1,8.065,1.004,1.6,2,0.138,500.02,0.703
6.3,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.154,455.05,0.658
7.7,0,0,0.0,0,24,25,3,0,7.764,0.996,0.0,1,0.115,380.46,0.714
7.4,1,1,1.8,1,23,24,7,3,8.105,1.006,5.3,1,0.133,461.98,0.695
6.6,1,1,1.5,1,17,18,8,4,7.31,1.0,5.9,1,0.127,497.09,0.657
5.848,1,2,3.5,0,27,31,9,2,9.098,1.025,3.5,4,0.098,518.57,0.719
5.863,2,5,9.8,1,22,26,12,2,10.567,1.057,3.9,4,0.111,538.93,0.724
7.3,1,1,1.5,1,17,18,8,4,7.31,1.0,5.9,1,0.127,497.09,0.657
8.1,1,1,1.6,1,17,18,7,4,7.223,0.996,6.3,1,0.154,455.05,0.658
7.45,1,1,1.4,1,17,18,9,4,7.255,1.003,5.6,1,0.178,515.11,0.646
8.1,1,1,1.5,1,17,18,8,4,7.31,1.0,5.9,1,0.127,497.09,0.657
8.5,0,0,0.0,0,0,4,5,0,6.185,0.996,0.0,4,0.211,352.52,0.604
4.602,1,0,0.0,0,11,12,7,3,7.939,1.01,7.1,1,0.114,333.45,0.67
4.6,3,2,4.5,2,17,18,9,4,9.895,1.022,9.1,1,0.085,435.36,0.741
4.699,6,5,10.0,4,21,25,12,2,11.847,1.042,4.0,4,0.113,592.34,0.798
6.444,4,3,5.4,2,26,30,10,2,10.241,1.024,3.6,4,0.1,573.52,0.767
5.099,6,4,8.7,4,21,24,13,3,12.289,1.049,6.5,3,0.143,565.3,0.802
5.091,4,2,4.3,2,21,25,9,2,10.456,1.022,4.3,4,0.12,491.44,0.776
6.65,4,3,6.7,3,17,19,8,1,10.418,1.024,2.2,2,0.128,468.8,0.765
5.252,1,3,5.5,0,17,19,8,1,8.61,1.024,1.8,2,0.103,473.55,0.69
6.3,1,3,5.3,0,22,23,10,5,8.73,1.023,8.8,1,0.098,497.59,0.694
5.138,2,1,2.2,1,17,19,6,1,8.887,1.01,2.2,2,0.128,399.92,0.727
6.341,4,3,6.7,3,17,19,8,1,10.418,1.024,2.2,2,0.128,468.8,0.765
5.674,2,1,2.0,1,17,19,6,1,8.392,1.004,2.0,2,0.113,427.98,0.711
6.202,4,3,7.1,3,17,19,8,1,10.828,1.029,2.4,2,0.136,454.77,0.778
5.302,1,3,5.5,0,17,19,8,1,8.61,1.024,1.8,2,0.103,473.55,0.69
5.262,1,3,5.6,0,17,19,8,1,8.547,1.024,1.9,2,0.107,461.54,0.685
5.652,2,1,2.0,1,17,19,6,1,8.392,1.004,2.0,2,0.113,427.98,0.711
5.461,1,3,5.6,0,17,19,8,1,8.547,1.024,1.9,2,0.107,461.54,0.685
6.42,0,0,0.0,0,0,3,5,0,6.009,0.994,0.0,3,0.203,354.54,0.597
4.31,3,1,1.6,1,28,32,8,2,9.166,1.006,3.3,4,0.123,559.14,0.753
5.77,3,0,0.0,0,23,26,7,1,8.416,0.997,1.6,3,0.169,521.77,0.729
5.066,1,0,0.0,0,18,19,3,0,7.383,0.987,0.0,1,0.17,376.55,0.7
4.0,3,0,0.0,0,17,22,9,1,9.367,1.019,2.1,5,0.14,449.61,0.731
5.432,3,0,0.0,0,23,26,7,1,8.606,0.999,1.7,3,0.161,507.74,0.736
6.086,3,0,0.0,0,23,26,7,1,8.416,0.997,1.6,3,0.169,521.77,0.729
5.337,2,0,0.0,0,23,26,8,1,8.117,1.004,1.5,3,0.174,535.73,0.701
4.886,3,0,0.0,0,29,32,9,1,8.096,0.998,1.2,3,0.195,671.96,0.71
5.089,4,2,5.0,2,17,21,8,1,10.959,1.027,2.5,4,0.119,438.37,0.793
4.824,2,0,0.0,0,23,26,9,2,8.257,1.007,3.1,3,0.162,536.72,0.7
5.553,2,0,0.0,0,23,26,9,1,8.402,1.011,1.6,3,0.179,537.7,0.702
5.745,2,0,0.0,0,23,26,8,1,7.83,1.0,1.4,3,0.16,563.79,0.691
6.114,1,0,0.0,0,24,28,8,3,7.672,0.999,4.1,4,0.077,567.76,0.688
6.699,1,0,0.0,0,30,34,8,3,8.024,1.001,4.0,4,0.088,601.77,0.709
7.328,1,0,0.0,0,30,34,7,2,7.905,0.998,2.6,4,0.099,600.78,0.709
6.921,1,0,0.0,0,30,34,8,3,7.895,0.999,3.8,4,0.096,615.8,0.704
7.796,1,0,0.0,0,30,34,7,2,7.905,0.998,2.6,4,0.086,600.78,0.709
6.398,1,0,0.0,0,30,34,8,3,7.776,0.998,3.7,4,0.105,629.83,0.7
6.824,1,0,0.0,0,30,34,8,2,8.145,1.004,2.7,4,0.101,602.75,0.711
6.658,1,0,0.0,0,24,28,8,3,7.672,0.999,4.1,4,0.103,567.76,0.688
4.292,1,0,0.0,0,36,40,8,3,7.757,0.996,3.3,4,0.103,705.93,0.705
4.967,2,0,0.0,0,29,33,10,3,8.711,1.01,4.3,4,0.107,609.77,0.725
7.301,1,3,3.8,0,30,34,11,2,8.56,1.02,2.5,4,0.094,684.78,0.699
7.77,1,0,0.0,0,30,34,8,3,7.776,0.998,3.7,4,0.093,629.83,0.7
