pXC50,nX,Mi,nBO,nSK,X.,SCBO,nF,nBT,Si,nAT,nDB,nN,MW,nCL,nHet,C.,nC,Sp,Se,Sv,N.,RBF,nAB,Me,nH,RBN,nHM,H.
6.633,3,1.144,42,40,4.1,52.0,3,76.0,84.619,74.0,4,3,561.66,0,11,39.2,29,47.046,75.501,45.744,4.1,0.132,12,1.02,34,10,0,45.9
6.088,4,1.136,53,50,4.8,69.0,3,87.0,95.401,84.0,7,4,735.24,1,16,40.5,34,56.466,86.658,55.209,4.8,0.138,18,1.032,34,12,2,40.5
7.244,4,1.144,56,54,4.1,70.0,3,99.0,110.978,97.0,8,5,802.35,1,19,36.1,35,62.426,99.949,60.767,5.2,0.152,12,1.03,43,15,2,44.3
6.815,3,1.155,33,33,4.8,40.0,3,63.0,72.789,63.0,4,3,473.55,0,11,34.9,22,38.523,64.734,37.69,4.8,0.175,6,1.028,30,11,0,47.6
6.699,0,1.146,36,36,0.0,43.0,0,72.0,82.521,72.0,7,4,512.63,0,13,31.9,23,43.296,73.491,41.948,5.6,0.194,0,1.021,36,14,0,50.0
6.807,3,1.151,38,37,4.1,45.0,3,74.0,84.035,73.0,4,3,527.65,0,11,35.6,26,44.807,74.385,43.27,4.1,0.162,6,1.019,36,12,0,49.3
5.301,3,1.151,38,37,3.9,44.0,3,78.0,88.656,77.0,3,3,527.7,0,10,35.1,27,46.876,77.825,44.609,3.9,0.154,6,1.011,40,12,0,51.9
9.699,2,1.125,41,38,3.2,53.0,0,66.0,70.881,63.0,6,3,606.55,2,15,36.5,23,43.801,65.327,42.133,4.8,0.106,12,1.037,25,7,4,39.7
6.301,0,1.116,57,53,0.0,73.0,0,106.0,113.862,102.0,4,1,736.02,0,10,42.2,43,68.972,101.705,64.268,1.0,0.16,24,0.997,49,17,1,48.0
10.959,2,1.12,36,34,3.8,47.0,0,55.0,59.343,53.0,5,1,532.38,2,13,39.6,21,37.074,55.607,36.565,1.9,0.164,12,1.049,19,9,3,35.8
10.886,2,1.128,41,39,2.9,53.0,0,70.0,76.711,68.0,6,3,622.6,2,15,35.3,24,46.324,70.094,44.187,4.4,0.157,12,1.031,29,11,4,42.6
7.387,0,1.137,32,31,0.0,39.0,0,65.0,72.77,64.0,4,3,431.59,0,8,35.9,23,39.711,64.196,37.54,4.7,0.154,6,1.003,33,10,0,51.6
9.398,2,1.141,46,44,2.4,57.0,2,86.0,95.818,84.0,5,4,614.76,0,12,38.1,32,53.091,85.185,51.15,4.8,0.163,12,1.014,40,14,0,47.6
9.222,0,1.137,36,35,0.0,44.0,0,71.0,79.604,70.0,5,3,489.63,0,10,35.7,25,43.381,70.734,41.497,4.3,0.169,6,1.01,35,12,0,50.0
7.131,0,1.124,27,26,0.0,33.0,0,50.0,55.082,49.0,6,1,421.61,0,10,32.7,16,33.051,50.014,30.666,2.0,0.12,0,1.021,23,6,3,46.9
4.06,0,1.134,42,40,0.0,52.0,0,82.0,90.723,80.0,4,4,552.74,0,10,37.5,30,50.455,80.276,47.857,5.0,0.159,12,1.003,40,13,0,50.0
4.678,0,1.132,43,40,0.0,54.0,0,81.0,88.308,78.0,3,4,550.72,0,10,38.5,30,49.694,78.392,47.33,5.1,0.136,16,1.005,38,11,0,48.7
5.469,0,1.127,43,40,0.0,55.0,0,80.0,86.81,77.0,4,3,547.71,0,9,40.3,31,49.688,77.29,47.309,3.9,0.138,16,1.004,37,11,0,48.1
5.367,0,1.128,38,36,0.0,47.5,0,73.0,80.105,71.0,4,3,513.72,0,9,38.0,27,46.12,71.156,43.254,4.2,0.151,11,1.002,35,11,1,49.3
6.495,0,1.123,33,31,0.0,40.0,0,58.0,62.916,56.0,7,1,491.66,0,12,33.9,19,37.722,57.553,35.623,1.8,0.103,0,1.028,25,6,3,44.6
5.252,0,1.132,43,40,0.0,55.0,0,80.0,87.182,77.0,4,5,547.72,0,10,39.0,30,49.483,77.283,47.11,6.5,0.138,16,1.004,37,11,0,48.1
4.658,0,1.133,39,37,0.0,49.0,0,75.0,82.683,73.0,4,4,508.68,0,9,38.4,28,46.478,73.181,44.088,5.5,0.147,12,1.002,36,11,0,49.3
4.921,0,1.132,44,41,0.0,56.0,0,83.0,90.597,80.0,4,5,561.75,0,10,38.8,31,51.245,80.167,48.637,6.3,0.133,16,1.002,39,11,0,48.8
7.31,0,1.144,39,37,0.0,48.5,0,74.0,82.348,72.0,4,7,513.67,0,12,34.7,25,44.972,72.72,43.099,9.7,0.149,11,1.01,35,11,0,48.6
4.097,0,1.138,39,37,0.0,48.5,0,76.0,84.182,74.0,4,5,511.69,0,10,36.5,27,46.483,74.283,44.11,6.8,0.145,11,1.004,37,11,0,50.0
6.569,0,1.131,38,36,0.0,47.5,0,72.0,79.188,70.0,4,4,514.71,0,10,37.1,26,45.364,70.374,42.749,5.7,0.153,11,1.005,34,11,1,48.6
8.796,0,1.136,38,37,0.0,46.0,0,79.0,88.64,78.0,5,3,515.72,0,9,35.9,28,48.211,78.058,45.362,3.8,0.177,6,1.001,41,14,0,52.6
6.387,0,1.144,39,37,0.0,48.5,0,74.0,82.348,72.0,4,7,513.67,0,12,34.7,25,44.972,72.72,43.099,9.7,0.149,11,1.01,35,11,0,48.6
8.921,0,1.137,39,37,0.0,47.0,0,77.0,85.308,75.0,5,4,514.69,0,10,36.0,27,46.694,75.392,44.33,5.3,0.143,6,1.005,38,11,0,50.7
5.602,3,1.148,35,33,5.5,45.5,3,57.0,63.128,55.0,3,3,465.47,0,11,40.0,22,35.478,57.2,35.583,5.5,0.14,15,1.04,22,8,0,40.0
5.959,3,1.152,30,28,6.3,38.0,3,50.0,55.294,48.0,3,3,395.42,0,9,39.6,19,30.807,49.661,30.627,6.3,0.1,10,1.035,20,5,0,41.7
4.125,0,1.113,29,26,0.0,40.0,0,43.0,44.535,40.0,3,2,350.35,0,7,47.5,19,27.852,41.142,27.778,5.0,0.093,16,1.029,14,4,0,35.0
7.553,3,1.147,35,33,5.4,46.5,3,58.0,64.208,56.0,2,4,460.5,0,10,41.1,23,36.574,57.647,36.175,7.1,0.103,15,1.029,23,6,0,41.1
6.456,3,1.15,32,30,6.0,41.5,3,52.0,57.504,50.0,2,3,423.43,0,10,40.0,20,32.262,51.989,32.341,6.0,0.115,15,1.04,20,6,0,40.0
7.721,3,1.147,36,34,5.2,46.5,3,60.0,66.543,58.0,3,3,479.5,0,11,39.7,23,37.239,60.083,37.11,5.2,0.117,15,1.036,24,7,0,41.4
5.0,3,1.122,39,36,5.4,50.5,0,59.0,62.818,56.0,3,5,568.9,3,13,41.1,23,40.92,57.818,39.377,8.9,0.136,17,1.032,20,8,4,35.7
7.658,3,1.149,33,31,6.1,43.5,3,51.0,56.298,49.0,3,3,437.41,0,11,40.8,20,31.955,51.432,32.529,6.1,0.118,15,1.05,18,6,0,36.7
4.036,0,1.115,30,27,0.0,41.0,0,46.0,47.95,43.0,3,2,364.38,0,7,46.5,20,29.614,44.025,29.304,4.7,0.109,16,1.024,16,5,0,37.2
7.62,3,1.139,42,39,4.8,55.5,3,66.0,71.753,63.0,3,3,543.54,0,12,42.9,27,41.693,65.411,41.824,4.8,0.136,21,1.038,24,9,0,38.1
7.569,3,1.151,33,31,5.9,42.0,3,53.0,58.713,51.0,4,3,439.43,0,11,39.2,20,32.716,53.316,33.056,5.9,0.113,10,1.045,20,6,0,39.2
6.469,3,1.148,35,33,5.5,45.5,3,57.0,63.128,55.0,3,3,465.47,0,11,40.0,22,35.478,57.2,35.583,5.5,0.14,15,1.04,22,8,0,40.0
8.018,3,1.139,43,40,4.5,56.5,3,70.0,76.307,67.0,3,3,577.54,0,13,40.3,27,44.898,69.152,43.802,4.5,0.129,21,1.032,27,9,1,40.3
6.292,3,1.149,33,31,6.1,43.5,3,51.0,56.298,49.0,3,3,437.41,0,11,40.8,20,31.955,51.432,32.529,6.1,0.118,15,1.05,18,6,0,36.7
6.137,3,1.152,33,31,6.0,43.5,3,52.0,57.587,50.0,3,4,436.43,0,11,40.0,20,32.506,52.207,32.836,8.0,0.115,15,1.044,19,6,0,38.0
7.77,3,1.139,39,36,5.0,51.5,3,63.0,68.334,60.0,2,3,499.53,0,10,43.3,26,39.784,61.756,39.395,5.0,0.111,21,1.029,24,7,0,40.0
8.18,3,1.137,39,36,5.3,53.5,3,60.0,64.793,57.0,2,4,494.51,0,10,45.6,26,38.813,58.763,38.648,7.0,0.1,21,1.031,21,6,0,36.8
6.678,4,1.148,31,29,8.7,40.5,3,48.0,52.823,46.0,2,3,427.84,1,10,41.3,19,30.904,48.102,30.927,6.5,0.104,15,1.046,17,5,1,37.0
7.824,3,1.138,42,39,4.8,56.5,3,66.0,71.673,63.0,4,3,563.6,0,13,41.3,26,42.341,65.487,42.012,4.8,0.121,21,1.039,24,8,1,38.1
6.0,4,1.151,31,29,8.3,39.0,3,50.0,55.238,48.0,3,3,429.86,1,10,39.6,19,31.665,49.985,31.454,6.3,0.1,10,1.041,19,5,1,39.6
6.097,0,1.119,26,24,0.0,36.0,0,42.0,44.741,40.0,2,2,324.36,0,6,45.0,18,27.159,40.698,26.59,5.0,0.119,16,1.017,16,5,0,40.0
6.377,0,1.107,29,26,0.0,42.0,0,44.0,45.405,41.0,2,3,341.39,0,5,51.2,21,29.495,41.262,28.655,7.3,0.068,22,1.006,15,3,0,36.6
4.469,0,1.11,30,27,0.0,43.0,0,47.0,48.82,44.0,2,3,355.42,0,5,50.0,22,31.256,44.145,30.181,6.8,0.064,22,1.003,17,3,0,38.6
6.032,0,1.11,30,27,0.0,43.0,0,47.0,48.82,44.0,2,3,355.42,0,5,50.0,22,31.256,44.145,30.181,6.8,0.064,22,1.003,17,3,0,38.6
4.538,0,1.11,30,27,0.0,43.0,0,47.0,48.82,44.0,2,3,355.42,0,5,50.0,22,31.256,44.145,30.181,6.8,0.064,22,1.003,17,3,0,38.6
5.409,1,1.106,30,27,2.4,43.0,0,44.0,45.349,41.0,2,3,375.83,1,6,51.2,21,30.352,41.585,29.482,7.3,0.068,22,1.014,14,3,1,34.1
5.215,1,1.106,30,27,2.4,43.0,0,44.0,45.349,41.0,2,3,375.83,1,6,51.2,21,30.352,41.585,29.482,7.3,0.068,22,1.014,14,3,1,34.1
4.959,0,1.114,32,29,0.0,47.0,0,46.0,47.907,43.0,4,4,386.39,0,8,48.8,21,30.648,44.134,30.579,9.3,0.087,22,1.026,14,4,0,32.6
5.229,1,1.116,30,27,2.4,43.0,1,44.0,45.745,41.0,2,3,359.38,0,6,51.2,21,29.432,41.774,29.038,7.3,0.068,22,1.019,14,3,0,34.1
5.092,1,1.116,30,27,2.4,43.0,1,44.0,45.745,41.0,2,3,359.38,0,6,51.2,21,29.432,41.774,29.038,7.3,0.068,22,1.019,14,3,0,34.1
5.745,0,1.112,31,28,0.0,44.0,0,48.0,50.03,45.0,2,3,371.42,0,6,48.9,22,31.71,45.473,30.896,6.7,0.083,22,1.011,17,4,0,37.8
4.42,0,1.107,31,28,0.0,46.0,0,45.0,46.488,42.0,2,4,366.4,0,6,52.4,22,30.739,42.48,30.149,9.5,0.067,22,1.011,14,3,0,33.3
5.509,0,1.103,28,25,0.0,40.5,0,41.0,41.91,38.0,2,3,347.42,0,6,50.0,19,28.381,38.454,27.315,7.9,0.073,21,1.012,13,3,1,34.2
4.481,0,1.11,33,29,0.0,46.0,0,48.0,48.824,44.0,2,3,385.4,0,7,50.0,22,31.404,44.916,31.084,6.8,0.063,22,1.021,15,3,0,34.1
4.602,0,1.103,34,30,0.0,49.5,0,51.0,51.82,47.0,2,3,391.45,0,5,53.2,25,34.256,47.145,33.181,6.4,0.059,27,1.003,17,3,0,36.2
5.509,0,1.114,30,27,0.0,43.0,0,46.0,47.903,43.0,2,4,356.41,0,6,48.8,21,30.5,43.363,29.676,9.3,0.065,22,1.008,16,3,0,37.2
6.398,0,1.114,24,22,0.0,34.0,0,38.0,40.116,36.0,2,2,294.33,0,5,47.2,17,24.943,36.487,24.348,5.6,0.105,16,1.014,14,4,0,38.9
4.284,0,1.116,25,23,0.0,35.0,0,41.0,43.531,39.0,2,2,308.36,0,5,46.2,18,26.705,39.371,25.875,5.1,0.098,16,1.01,16,4,0,41.0
6.387,0,1.116,25,23,0.0,35.0,0,41.0,43.531,39.0,2,2,308.36,0,5,46.2,18,26.705,39.371,25.875,5.1,0.098,16,1.01,16,4,0,41.0
4.444,0,1.116,25,23,0.0,35.0,0,41.0,43.531,39.0,2,2,308.36,0,5,46.2,18,26.705,39.371,25.875,5.1,0.098,16,1.01,16,4,0,41.0
5.77,1,1.113,25,23,2.8,35.0,0,38.0,40.06,36.0,2,2,328.77,1,6,47.2,17,25.801,36.811,25.176,5.6,0.105,16,1.023,13,4,1,36.1
4.721,1,1.113,25,23,2.8,35.0,0,38.0,40.06,36.0,2,2,328.77,1,6,47.2,17,25.801,36.811,25.176,5.6,0.105,16,1.023,13,4,1,36.1
5.77,1,1.124,25,23,2.8,35.0,1,38.0,40.456,36.0,2,2,312.32,0,6,47.2,17,24.881,37.0,24.731,5.6,0.105,16,1.028,13,4,0,36.1
5.244,1,1.124,25,23,2.8,35.0,1,38.0,40.456,36.0,2,2,312.32,0,6,47.2,17,24.881,37.0,24.731,5.6,0.105,16,1.028,13,4,0,36.1
4.42,0,1.113,26,24,0.0,38.0,0,39.0,41.199,37.0,2,3,319.34,0,6,48.6,18,26.188,37.705,25.843,8.1,0.103,16,1.019,13,4,0,35.1
6.032,0,1.11,23,21,0.0,32.5,0,35.0,36.621,33.0,2,2,300.36,0,6,45.5,15,23.83,33.68,23.008,6.1,0.114,15,1.021,12,4,1,36.4
4.553,0,1.116,28,25,0.0,38.0,0,42.0,43.535,39.0,2,2,338.34,0,7,46.2,18,26.852,40.142,26.778,5.1,0.095,16,1.029,14,4,0,35.9
5.796,0,1.121,25,23,0.0,35.0,0,40.0,42.614,38.0,2,3,309.35,0,6,44.7,17,25.949,38.589,25.369,7.9,0.1,16,1.015,15,4,0,39.5
7.051,0,1.112,23,21,0.0,33.0,0,35.0,36.701,33.0,2,2,280.3,0,5,48.5,16,23.182,33.604,22.821,6.1,0.086,16,1.018,12,3,0,36.4
6.886,0,1.114,24,22,0.0,34.0,0,38.0,40.116,36.0,2,2,294.33,0,5,47.2,17,24.943,36.487,24.348,5.6,0.079,16,1.014,14,3,0,38.9
6.26,0,1.117,25,23,0.0,35.0,0,39.0,41.325,37.0,2,2,310.33,0,6,45.9,17,25.398,37.814,25.063,5.4,0.103,16,1.022,14,4,0,37.8
6.509,0,1.107,22,20,0.0,31.5,0,32.0,33.206,30.0,2,2,286.33,0,6,46.7,14,22.068,30.796,21.482,6.7,0.094,15,1.027,10,3,1,33.3
6.398,0,1.116,25,23,0.0,35.0,0,41.0,43.531,39.0,2,2,308.36,0,5,46.2,18,26.705,39.371,25.875,5.1,0.122,16,1.01,16,5,0,41.0
6.108,0,1.118,26,24,0.0,36.0,0,44.0,46.946,42.0,2,2,322.39,0,5,45.2,19,28.466,42.254,27.402,4.8,0.114,16,1.006,18,5,0,42.9
5.721,0,1.12,27,25,0.0,37.0,0,45.0,48.156,43.0,2,2,338.39,0,6,44.2,19,28.921,43.582,28.116,4.7,0.133,16,1.014,18,6,0,41.9
5.721,0,1.112,24,22,0.0,33.5,0,38.0,40.036,36.0,2,2,314.39,0,6,44.4,16,25.591,36.564,24.535,5.6,0.132,15,1.016,14,5,1,38.9
6.155,0,1.123,26,24,0.0,36.0,0,43.0,46.03,41.0,2,3,323.38,0,6,43.9,18,27.71,41.473,26.896,7.3,0.116,16,1.012,17,5,0,41.5
6.62,0,1.116,25,23,0.0,35.0,0,41.0,43.531,39.0,2,2,308.36,0,5,46.2,18,26.705,39.371,25.875,5.1,0.098,16,1.01,16,4,0,41.0
6.187,0,1.118,26,24,0.0,36.0,0,44.0,46.946,42.0,2,2,322.39,0,5,45.2,19,28.466,42.254,27.402,4.8,0.091,16,1.006,18,4,0,42.9
6.119,0,1.12,27,25,0.0,37.0,0,45.0,48.156,43.0,2,2,338.39,0,6,44.2,19,28.921,43.582,28.116,4.7,0.111,16,1.014,18,5,0,41.9
6.161,0,1.112,24,22,0.0,33.5,0,38.0,40.036,36.0,2,2,314.39,0,6,44.4,16,25.591,36.564,24.535,5.6,0.105,15,1.016,14,4,1,38.9
6.292,0,1.123,26,24,0.0,36.0,0,43.0,46.03,41.0,2,3,323.38,0,6,43.9,18,27.71,41.473,26.896,7.3,0.093,16,1.012,17,4,0,41.5
6.585,3,1.143,27,25,8.3,37.0,3,38.0,41.135,36.0,2,2,348.3,0,8,47.2,17,24.756,38.025,25.498,5.6,0.105,16,1.056,11,4,0,30.6
6.337,3,1.142,28,26,7.7,38.0,3,41.0,44.55,39.0,2,2,362.33,0,8,46.2,18,26.517,40.909,27.025,5.1,0.098,16,1.049,13,4,0,33.3
6.051,3,1.144,29,27,7.5,39.0,3,42.0,45.76,40.0,2,2,378.33,0,9,45.0,18,26.972,42.236,27.74,5.0,0.119,16,1.056,13,5,0,32.5
6.292,3,1.141,26,24,9.1,35.5,3,35.0,37.64,33.0,2,2,354.33,0,9,45.5,15,23.642,35.218,24.158,6.1,0.114,15,1.067,9,4,1,27.3
6.469,3,1.148,28,26,7.9,38.0,3,40.0,43.633,38.0,2,3,363.32,0,9,44.7,17,25.762,40.127,26.519,7.9,0.1,16,1.056,12,4,0,31.6
5.319,0,1.128,18,17,0.0,25.0,0,30.0,32.701,29.0,2,2,232.26,0,5,41.4,12,19.182,29.604,18.821,6.9,0.1,10,1.021,12,3,0,41.4
6.398,0,1.129,19,18,0.0,26.0,0,33.0,36.116,32.0,2,2,246.29,0,5,40.6,13,20.943,32.487,20.348,6.3,0.121,10,1.015,14,4,0,43.8
6.745,0,1.129,20,19,0.0,27.0,0,36.0,39.531,35.0,2,2,260.32,0,5,40.0,14,22.705,35.371,21.875,5.7,0.139,10,1.011,16,5,0,45.7
6.319,0,1.127,23,21,0.0,30.0,0,41.0,43.946,39.0,2,2,286.36,0,5,41.0,16,25.466,39.254,24.402,5.1,0.098,10,1.007,18,4,0,46.2
4.658,0,1.112,21,19,0.0,30.0,0,35.0,36.697,33.0,1,2,250.32,0,3,48.5,16,23.034,32.833,21.918,6.1,0.029,16,0.995,14,1,0,42.4
5.0,0,1.109,20,18,0.0,29.0,0,32.0,33.282,30.0,1,2,236.29,0,3,50.0,15,21.273,29.949,20.392,6.7,0.031,16,0.998,12,1,0,40.0
6.0,0,1.106,20,19,0.0,25.5,0,33.0,35.378,32.0,3,1,315.47,0,7,37.5,12,23.881,32.615,21.888,3.1,0.152,5,1.019,13,5,3,40.6
5.032,0,1.119,25,22,0.0,31.5,0,42.0,43.658,39.0,1,1,299.35,0,5,43.6,17,25.915,39.48,25.095,2.6,0.0,11,1.012,17,0,0,43.6
4.699,0,1.116,22,20,0.0,28.0,0,38.0,40.159,36.0,3,0,272.32,0,4,44.4,16,23.909,36.378,23.074,0.0,0.0,6,1.011,16,0,0,44.4
5.521,0,1.12,24,22,0.0,31.0,0,39.0,41.452,37.0,4,1,301.32,0,6,43.2,16,24.608,37.924,24.283,2.7,0.026,6,1.025,15,1,0,40.5
5.538,0,1.129,60,56,0.0,76.0,0,109.0,118.511,105.0,7,5,767.96,0,14,40.0,42,67.87,105.894,65.13,4.8,0.11,18,1.009,49,12,0,46.7
4.152,1,1.13,11,11,5.6,16.0,1,18.0,20.339,18.0,2,0,174.21,0,4,38.9,7,12.54,18.778,12.107,0.0,0.111,6,1.043,7,2,1,38.9
9.0,3,1.154,39,38,4.2,47.0,3,72.0,81.912,71.0,5,4,542.62,0,13,35.2,25,43.745,73.047,42.953,5.6,0.153,6,1.029,33,11,0,46.5
4.807,0,1.125,17,16,0.0,22.0,0,30.0,32.618,29.0,2,1,219.26,0,4,41.4,12,18.938,29.385,18.327,3.4,0.067,6,1.013,13,2,0,44.8
4.991,0,1.126,20,19,0.0,26.0,0,33.0,36.037,32.0,3,1,263.27,0,6,40.6,13,20.847,33.04,20.756,3.1,0.061,6,1.032,13,2,0,40.6
5.585,0,1.124,20,19,0.0,27.0,0,33.0,35.957,32.0,4,1,283.33,0,7,37.5,12,21.494,33.116,20.943,3.1,0.061,6,1.035,13,2,1,40.6
4.807,0,1.112,25,23,0.0,34.0,0,38.0,40.037,36.0,3,1,311.31,0,6,47.2,17,24.847,37.04,24.756,2.8,0.079,12,1.029,13,3,0,36.1
6.469,0,1.141,54,51,0.0,64.0,0,109.0,120.919,106.0,7,7,709.99,0,14,34.9,37,65.495,106.21,61.797,6.6,0.138,6,1.002,55,15,0,51.9
5.469,0,1.136,30,28,0.0,37.0,0,50.0,54.538,48.0,7,2,416.45,0,12,33.3,16,30.602,50.178,30.404,4.2,0.12,0,1.045,20,6,1,41.7
4.398,0,1.134,25,24,0.0,30.0,0,46.0,51.036,45.0,5,1,359.44,0,9,33.3,15,28.449,46.305,27.48,2.2,0.152,0,1.029,21,7,1,46.7
5.398,0,1.134,25,24,0.0,30.0,0,46.0,51.036,45.0,5,1,359.44,0,9,33.3,15,28.449,46.305,27.48,2.2,0.152,0,1.029,21,7,1,46.7
5.155,0,1.123,38,35,0.0,49.0,0,66.0,70.78,63.0,5,2,500.62,0,10,39.7,25,41.739,64.058,40.082,3.2,0.136,12,1.017,28,9,1,44.4
6.222,0,1.114,26,24,0.0,32.0,0,47.0,50.119,45.0,3,1,363.54,0,6,40.0,18,31.279,45.073,28.808,2.2,0.149,6,1.002,21,7,2,46.7
4.611,0,1.114,22,20,0.0,29.0,0,35.0,36.747,33.0,4,1,291.35,0,6,42.4,14,23.04,33.789,22.229,3.0,0.114,6,1.024,13,4,1,39.4
5.0,0,1.123,38,35,0.0,49.0,0,66.0,70.78,63.0,5,2,500.62,0,10,39.7,25,41.739,64.058,40.082,3.2,0.136,12,1.017,28,9,1,44.4
6.155,0,1.123,38,35,0.0,49.0,0,66.0,70.78,63.0,5,2,500.62,0,10,39.7,25,41.739,64.058,40.082,3.2,0.136,12,1.017,28,9,1,44.4
5.523,0,1.114,26,24,0.0,32.0,0,47.0,50.119,45.0,3,1,363.54,0,6,40.0,18,31.279,45.073,28.808,2.2,0.149,6,1.002,21,7,2,46.7
6.523,0,1.123,38,35,0.0,49.0,0,66.0,70.78,63.0,5,2,500.62,0,10,39.7,25,41.739,64.058,40.082,3.2,0.136,12,1.017,28,9,1,44.4
4.288,0,1.121,18,17,0.0,24.5,0,31.0,33.618,30.0,1,1,231.27,0,4,43.3,13,19.938,30.385,19.327,3.3,0.065,11,1.013,13,2,0,43.3
4.106,1,1.123,30,28,2.3,41.5,0,46.0,49.395,44.0,3,5,437.97,1,11,38.6,17,32.114,45.269,30.614,11.4,0.13,17,1.029,16,6,3,36.4
4.282,0,1.113,29,27,0.0,42.5,0,42.0,44.538,40.0,6,3,383.41,0,9,45.0,18,28.744,41.436,28.459,7.5,0.071,11,1.036,13,3,1,32.5
4.12,1,1.112,31,29,2.3,43.0,0,45.0,47.817,43.0,6,3,451.94,1,11,41.9,18,32.011,44.72,31.001,7.0,0.133,12,1.04,14,6,3,32.6
8.0,3,1.148,46,44,3.7,57.5,3,84.0,94.161,82.0,6,5,641.79,0,15,35.4,29,51.921,83.992,50.215,6.1,0.131,11,1.024,38,11,1,46.3
6.699,0,1.115,101,93,0.0,131.0,0,173.0,183.926,165.0,3,0,1265.46,0,19,44.8,74,110.046,167.028,106.546,0.0,0.197,54,1.012,72,34,0,43.6
7.699,0,1.124,101,93,0.0,122.0,0,193.0,207.868,185.0,3,0,1281.67,0,18,40.5,75,118.205,185.537,112.099,0.0,0.176,36,1.003,92,34,0,49.7
4.708,1,1.097,39,34,2.0,52.0,0,54.0,53.734,49.0,5,2,511.0,1,10,49.0,24,37.767,50.502,36.506,4.1,0.056,16,1.031,15,3,3,30.6
6.0,0,1.127,95,90,0.0,116.0,0,175.0,191.634,170.0,3,0,1257.46,0,24,38.8,66,107.364,173.199,104.227,0.0,0.246,36,1.019,80,43,0,47.1
4.569,0,1.143,80,79,0.0,94.0,0,166.0,188.532,165.0,11,10,1151.63,0,26,32.1,53,101.649,166.33,95.614,6.1,0.217,6,1.008,86,36,2,52.1
5.081,0,1.114,80,74,0.0,105.0,0,132.0,140.355,126.0,4,0,1009.09,0,17,45.2,57,84.523,128.538,82.848,0.0,0.212,42,1.02,52,28,0,41.3
6.971,0,1.133,27,26,0.0,34.0,0,48.0,53.246,47.0,7,1,387.45,0,10,34.0,16,29.903,48.633,29.195,2.1,0.146,0,1.035,21,7,1,44.7
4.409,0,1.092,19,17,0.0,27.0,0,29.0,29.495,27.0,2,0,222.25,0,2,55.6,15,19.716,27.073,19.064,0.0,0.0,12,1.003,10,0,0,37.0
6.886,0,1.113,102,94,0.0,134.0,0,168.0,178.099,160.0,5,0,1279.39,0,21,45.6,73,107.671,163.032,105.395,0.0,0.214,54,1.019,66,36,0,41.3
6.523,0,1.133,40,39,0.0,48.5,0,87.0,97.4,86.0,3,3,557.89,0,9,34.9,30,55.097,85.159,50.113,3.5,0.184,11,0.99,47,16,1,54.7
4.745,0,1.133,40,39,0.0,48.5,0,87.0,97.4,86.0,3,3,557.89,0,9,34.9,30,55.097,85.159,50.113,3.5,0.184,11,0.99,47,16,1,54.7
4.796,0,1.132,39,38,0.0,47.5,0,84.0,93.985,83.0,3,3,543.86,0,9,34.9,29,53.336,82.276,48.586,3.6,0.179,11,0.991,45,15,1,54.2
4.42,0,1.137,35,35,0.0,41.0,0,80.0,90.985,80.0,3,3,507.83,0,9,32.5,26,50.336,79.276,45.586,3.8,0.2,6,0.991,45,16,1,56.3
4.337,3,1.16,31,32,4.3,34.0,3,69.0,81.174,70.0,3,3,485.7,0,12,28.6,20,42.625,71.047,39.682,4.3,0.203,0,1.015,38,14,1,54.3
4.409,0,1.129,32,31,0.0,39.5,0,68.0,75.617,67.0,2,2,444.71,0,7,35.8,24,43.83,66.312,39.742,3.0,0.147,11,0.99,36,10,1,53.7
4.87,0,1.122,52,49,0.0,66.5,0,107.0,116.642,104.0,3,3,678.09,0,7,40.4,42,69.234,102.039,62.79,2.9,0.168,23,0.981,55,18,1,52.9
4.8,0,1.136,39,38,0.0,48.5,0,83.0,93.135,82.0,4,4,524.78,0,8,36.6,30,51.069,81.388,47.481,4.9,0.181,11,0.993,44,15,0,53.7
4.292,0,1.141,34,34,0.0,41.0,0,76.0,86.72,76.0,4,4,474.72,0,8,34.2,26,46.307,75.505,42.954,5.3,0.197,6,0.993,42,15,0,55.3
4.77,0,1.144,39,37,0.0,44.0,0,84.0,93.843,82.0,5,5,519.77,0,10,32.9,27,49.529,81.818,46.217,6.1,0.119,0,0.998,45,10,0,54.9
9.222,0,1.139,38,36,0.0,45.0,0,76.0,84.308,74.0,4,4,502.68,0,10,35.1,26,45.694,74.392,43.33,5.4,0.145,6,1.005,38,11,0,51.4
4.125,0,1.129,54,50,0.0,67.5,0,100.0,108.388,96.0,5,4,686.88,0,12,39.6,38,61.648,96.581,58.867,4.2,0.13,17,1.006,46,13,0,47.9
6.678,3,1.167,26,26,6.0,30.0,3,50.0,58.334,50.0,4,3,379.43,0,10,32.0,16,29.784,51.756,29.395,6.0,0.12,0,1.035,24,6,0,48.0
5.0,3,1.119,33,31,6.3,43.5,0,50.0,53.695,48.0,2,4,499.83,3,11,41.7,20,35.699,49.505,34.114,8.3,0.14,17,1.031,17,7,4,35.4
8.17,1,1.143,36,34,1.6,46.5,1,63.0,69.734,61.0,5,6,470.56,0,11,37.7,23,39.165,62.152,38.166,9.8,0.159,11,1.019,27,10,0,44.3
7.354,1,1.14,35,33,1.7,45.5,1,61.0,67.236,59.0,5,5,455.54,0,10,39.0,23,38.159,60.051,37.144,8.5,0.131,11,1.018,26,8,0,44.1
