pXC50,nN,nBM,nAB,SCBO,MW,nBO,Sv,nSK,nCsp2,Se,Si,Sp,nHet,nAT,nBT,nH,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nB
5.1,6,18,16,36.0,346.46,26,26.906,24,12,42.643,47.82,28.159,9,42,44,18,15,8.249,35.7,42.9,1.015,1.139,0.67,0.641,14.3,0
5.1,4,23,22,45.0,410.43,33,32.165,30,20,48.341,53.543,32.381,8,47,50,17,22,8.733,46.8,36.2,1.029,1.139,0.689,0.684,8.5,0
6.7,5,29,28,56.0,523.55,41,38.756,37,25,56.032,61.301,38.972,11,54,58,17,26,9.695,48.1,31.5,1.038,1.135,0.722,0.718,9.3,0
6.2,4,20,20,35.0,290.4,25,25.773,22,14,39.592,44.9,27.353,4,40,43,18,18,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,0
7.5,7,29,27,57.5,525.69,42,43.034,38,24,65.28,72.979,45.211,10,65,69,27,28,8.088,43.1,41.5,1.004,1.123,0.696,0.662,10.8,0
5.1,4,13,11,30.5,286.74,22,21.735,20,11,31.593,34.807,22.381,6,31,33,11,14,9.25,45.2,35.5,1.019,1.123,0.722,0.701,12.9,0
7.2,6,24,22,47.0,432.55,34,34.433,31,20,51.527,57.235,35.921,9,51,54,20,22,8.481,43.1,39.2,1.01,1.122,0.704,0.675,11.8,0
5.1,2,19,18,38.0,346.46,28,30.74,26,18,47.694,53.567,32.534,4,48,50,22,22,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,0
5.1,3,18,17,31.5,263.32,22,22.413,20,16,33.051,36.78,23.279,4,33,35,13,16,7.979,48.5,39.4,1.002,1.115,0.705,0.679,9.1,0
7.6,6,28,27,51.5,458.56,37,36.101,33,23,52.712,58.365,37.404,9,52,56,19,24,8.818,46.2,36.5,1.014,1.122,0.719,0.694,11.5,0
5.2,2,16,16,27.0,226.25,19,18.58,17,13,27.393,30.076,18.966,4,27,29,10,13,8.38,48.1,37.0,1.015,1.114,0.702,0.688,7.4,0
5.1,5,17,15,37.5,339.39,28,27.412,25,12,42.793,47.611,27.96,8,42,45,17,17,8.081,40.5,40.5,1.019,1.134,0.666,0.653,11.9,0
5.1,2,15,12,34.0,326.4,25,25.535,23,16,37.564,41.036,26.591,6,37,39,14,17,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,0
5.1,4,17,16,32.0,345.22,23,23.46,21,14,34.382,38.12,24.637,6,34,36,13,15,10.154,44.1,38.2,1.011,1.121,0.725,0.69,11.8,0
5.1,4,8,6,23.0,234.29,17,19.149,17,6,31.48,35.488,19.739,6,31,31,14,11,7.558,35.5,45.2,1.015,1.145,0.637,0.618,12.9,0
5.1,5,17,16,36.0,323.41,27,25.116,23,12,36.447,40.282,26.176,7,36,40,13,16,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,0
5.8,9,28,26,67.0,621.82,52,53.239,46,21,85.152,96.341,55.836,12,85,91,39,34,7.316,40.0,45.9,1.002,1.133,0.657,0.626,10.6,0
7.3,5,26,26,47.0,397.52,34,34.563,30,20,52.789,59.438,36.336,6,53,57,23,24,7.5,45.3,43.4,0.996,1.121,0.686,0.652,9.4,0
5.1,4,17,15,34.5,310.39,25,26.203,23,12,41.247,46.318,27.262,6,41,43,18,17,7.57,41.5,43.9,1.006,1.13,0.665,0.639,9.8,0
6.2,2,17,16,30.0,272.32,21,20.435,19,14,28.654,31.127,21.097,5,28,30,9,14,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,0
5.1,3,20,18,46.0,439.47,35,34.912,32,20,53.334,59.085,35.353,8,52,55,20,24,8.451,46.2,38.5,1.026,1.136,0.68,0.671,5.8,0
8.0,7,21,18,52.0,590.56,40,42.016,37,17,66.047,73.655,44.233,13,65,68,28,24,9.086,36.9,43.1,1.016,1.133,0.681,0.646,10.8,0
5.1,3,20,18,39.0,345.43,28,29.708,26,20,45.029,50.235,31.017,5,45,47,19,21,7.676,46.7,42.2,1.001,1.116,0.689,0.66,6.7,0
5.1,6,23,22,47.0,438.48,35,34.539,32,17,53.36,59.41,34.909,10,52,55,20,22,8.432,42.3,38.5,1.026,1.142,0.671,0.664,11.5,0
6.0,5,18,16,39.0,407.97,29,31.292,27,12,49.516,55.511,33.296,9,49,51,22,18,8.326,36.7,44.9,1.011,1.133,0.68,0.639,10.2,0
5.1,6,21,21,42.5,378.45,32,30.914,28,15,47.636,53.445,31.756,8,47,51,19,20,8.052,42.6,40.4,1.014,1.137,0.676,0.658,12.8,0
5.1,8,23,22,48.0,428.55,36,36.1,32,18,56.211,63.517,37.591,9,56,60,24,23,7.653,41.1,42.9,1.004,1.134,0.671,0.645,14.3,0
5.1,5,21,18,47.0,425.58,35,37.617,32,21,58.556,66.268,39.858,6,59,62,27,26,7.213,44.1,45.8,0.992,1.123,0.676,0.638,8.5,0
5.1,5,24,23,44.5,387.45,32,31.893,29,21,47.534,52.947,32.75,7,47,50,18,22,8.244,46.8,38.3,1.011,1.127,0.697,0.679,10.6,0
5.1,4,12,11,26.5,282.38,20,21.532,19,8,34.625,38.954,22.631,7,34,35,15,12,8.305,35.3,44.1,1.018,1.146,0.666,0.633,11.8,0
5.2,4,13,12,25.0,212.23,18,16.854,16,11,24.502,27.033,17.0,5,24,26,8,11,8.843,45.8,33.3,1.021,1.126,0.708,0.702,16.7,0
6.3,6,22,22,42.0,402.82,31,29.071,28,17,42.705,46.899,29.029,10,41,44,13,18,9.825,43.9,31.7,1.042,1.144,0.708,0.709,14.6,0
6.0,5,30,28,56.0,475.61,39,39.223,35,25,55.982,61.943,41.222,7,56,60,21,28,8.493,50.0,37.5,1.0,1.106,0.736,0.7,8.9,0
5.2,5,18,17,42.5,417.43,33,31.901,30,15,49.771,55.251,31.841,10,48,51,18,20,8.696,41.7,37.5,1.037,1.151,0.663,0.665,10.4,0
5.5,4,29,28,54.0,462.59,39,40.31,35,26,60.781,67.979,42.307,6,61,65,26,29,7.583,47.5,42.6,0.996,1.114,0.694,0.661,6.6,0
5.1,3,23,22,40.0,327.41,28,28.467,25,20,41.818,46.611,29.801,4,42,45,17,21,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,0
5.1,3,15,15,28.5,259.31,21,19.261,18,10,27.687,30.079,19.858,6,27,30,9,12,9.604,44.4,33.3,1.025,1.114,0.735,0.713,11.1,0
5.1,6,27,27,45.5,366.46,32,31.289,28,21,45.912,51.481,32.603,6,46,50,18,22,7.967,47.8,39.1,0.998,1.119,0.709,0.68,13.0,0
5.1,2,12,12,30.0,296.45,24,27.552,22,11,45.251,51.773,29.841,3,46,48,24,19,6.445,41.3,52.2,0.984,1.126,0.649,0.599,4.3,0
5.1,4,19,16,40.0,386.52,29,31.158,27,14,49.418,55.278,32.887,8,49,51,22,19,7.888,38.8,44.9,1.009,1.128,0.671,0.636,8.2,0
5.1,4,19,17,39.5,312.35,27,25.908,24,14,36.269,39.863,26.523,5,36,39,12,19,8.676,52.8,33.3,1.007,1.107,0.737,0.72,11.1,0
5.1,3,13,12,27.0,255.35,20,22.467,19,12,35.818,40.611,23.801,4,36,37,17,15,7.093,41.7,47.2,0.995,1.128,0.661,0.624,8.3,0
5.1,6,17,16,38.0,366.52,29,32.111,27,13,52.774,60.351,34.103,7,53,55,26,20,6.915,37.7,49.1,0.996,1.139,0.643,0.606,11.3,0
7.0,5,16,16,30.0,287.78,22,22.569,20,12,34.251,38.512,23.693,6,34,36,14,14,8.464,41.2,41.2,1.007,1.133,0.697,0.664,14.7,0
6.3,5,27,27,46.5,383.46,33,32.178,29,21,47.207,52.738,33.296,6,47,51,18,23,8.159,48.9,38.3,1.004,1.122,0.708,0.685,10.6,0
6.2,0,13,12,26.0,244.26,19,20.02,18,14,30.611,33.329,20.386,4,30,31,12,14,8.142,46.7,40.0,1.02,1.111,0.68,0.667,0.0,0
5.7,2,19,16,35.0,332.43,24,24.195,22,14,34.756,37.541,25.477,7,34,36,12,15,9.777,44.1,35.3,1.022,1.104,0.749,0.712,5.9,0
5.1,3,17,16,30.0,271.72,21,20.714,19,14,29.491,32.309,21.375,5,29,31,10,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,0
5.1,2,13,12,24.0,212.27,17,18.392,16,12,27.949,31.282,19.273,3,28,29,12,13,7.581,46.4,42.9,0.998,1.117,0.688,0.657,7.1,0
6.3,6,24,22,46.0,418.52,33,32.906,30,20,48.643,53.82,34.159,9,48,51,18,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,0
5.5,9,28,26,65.0,591.79,50,50.997,44,21,80.941,91.716,53.62,11,81,87,37,33,7.306,40.7,45.7,0.999,1.132,0.662,0.63,11.1,0
5.1,2,19,17,40.5,358.47,30,31.74,27,18,48.694,54.567,33.534,4,49,52,22,23,7.316,46.9,44.9,0.994,1.114,0.684,0.648,4.1,0
5.1,1,15,12,32.0,283.25,23,21.703,21,15,31.273,33.206,21.324,6,30,32,9,15,9.442,50.0,30.0,1.042,1.107,0.711,0.723,3.3,0
5.5,4,26,26,46.0,400.54,33,33.202,29,20,48.88,54.444,35.216,6,49,53,20,23,8.174,46.9,40.8,0.998,1.111,0.719,0.678,8.2,0
5.1,6,25,25,46.5,410.42,34,31.485,30,16,47.592,52.579,31.387,10,46,50,16,20,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,0
5.1,2,15,12,33.0,310.4,24,24.82,22,16,36.236,39.827,26.137,5,36,38,14,17,8.622,47.2,38.9,1.007,1.106,0.726,0.689,5.6,0
5.5,4,16,16,26.0,230.67,18,16.967,16,11,23.498,25.768,17.404,5,23,25,7,11,10.029,47.8,30.4,1.022,1.12,0.757,0.738,17.4,0
5.1,1,9,6,24.0,267.35,18,18.647,17,10,26.771,28.627,19.71,6,26,27,9,11,10.283,42.3,34.6,1.03,1.101,0.758,0.717,3.8,0
5.4,2,12,10,26.0,303.18,19,19.422,18,10,27.116,28.884,20.33,7,26,27,8,11,11.661,42.3,30.8,1.043,1.111,0.782,0.747,7.7,0
5.1,6,23,22,43.0,390.51,31,31.191,28,19,46.316,51.61,32.705,8,46,49,18,20,8.489,43.5,39.1,1.007,1.122,0.711,0.678,13.0,0
6.4,5,24,22,53.0,481.67,39,40.804,35,20,61.632,69.188,43.506,7,62,66,27,28,7.769,45.2,43.5,0.994,1.116,0.702,0.658,8.1,0
5.2,4,29,28,55.0,497.03,40,41.137,36,26,61.105,67.923,43.165,7,61,65,25,29,8.148,47.5,41.0,1.002,1.113,0.708,0.674,6.6,0
7.6,4,16,16,33.0,294.39,25,25.488,22,12,39.92,45.109,26.807,5,40,43,18,17,7.36,42.5,45.0,0.998,1.128,0.67,0.637,10.0,0
5.2,4,18,17,39.5,400.31,30,27.261,28,15,41.112,44.732,25.671,11,38,40,10,17,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,0
5.1,3,11,6,31.0,287.67,22,20.09,20,12,27.378,28.898,19.761,7,26,28,6,13,11.064,50.0,23.1,1.053,1.111,0.76,0.773,11.5,0
7.1,6,16,16,35.0,342.87,27,27.644,24,11,43.12,48.84,29.222,7,43,46,19,17,7.974,39.5,44.2,1.003,1.136,0.68,0.643,14.0,0
5.1,3,17,16,30.0,271.72,21,20.714,19,14,29.491,32.309,21.375,5,29,31,10,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,0
5.1,2,16,16,29.0,270.38,21,22.106,19,13,32.909,36.617,23.682,4,33,35,14,15,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,0
5.1,4,19,16,39.0,372.49,28,29.632,26,14,46.534,51.863,31.125,8,46,48,20,18,8.098,39.1,43.5,1.012,1.127,0.677,0.644,8.7,0
5.8,5,23,22,43.0,436.34,31,31.535,28,20,46.251,51.449,33.165,7,46,49,18,21,9.486,45.7,39.1,1.005,1.118,0.721,0.686,10.9,0
5.5,5,23,22,52.0,491.59,40,40.625,36,20,63.792,71.572,41.949,9,63,67,27,27,7.803,42.9,42.9,1.013,1.136,0.666,0.645,7.9,0
5.1,2,15,12,33.0,294.33,23,24.348,22,15,36.487,40.116,24.943,5,36,37,14,17,8.176,47.2,38.9,1.014,1.114,0.693,0.676,5.6,0
7.5,6,28,27,53.5,484.63,39,39.486,35,23,59.294,66.065,41.443,9,59,63,24,26,8.214,44.1,40.7,1.005,1.12,0.702,0.669,10.2,0
5.1,2,19,18,36.0,318.4,26,27.687,24,18,41.927,46.737,29.012,4,42,44,18,20,7.581,47.6,42.9,0.998,1.113,0.691,0.659,4.8,0
5.4,2,17,16,30.0,272.32,21,20.435,19,14,28.654,31.127,21.097,5,28,30,9,14,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,0
6.9,6,13,12,34.0,340.48,27,29.584,25,11,48.891,55.936,31.341,7,49,51,24,18,6.949,36.7,49.0,0.998,1.142,0.64,0.604,12.2,0
6.2,3,23,22,41.0,349.36,29,27.706,26,20,39.96,43.875,27.915,6,39,42,13,20,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,0
5.1,1,17,16,30.0,273.3,21,20.129,19,14,27.88,29.838,20.546,5,27,29,8,14,10.122,51.9,29.6,1.033,1.105,0.761,0.746,3.7,0
5.6,5,22,21,40.5,347.41,29,28.697,26,17,43.465,48.402,29.506,7,43,46,17,19,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,0
5.1,1,12,10,26.0,330.59,19,18.071,17,10,23.036,23.868,19.057,6,22,24,5,11,15.027,50.0,22.7,1.047,1.085,0.866,0.821,4.5,0
5.1,1,14,12,32.0,356.59,24,23.282,22,15,31.473,33.035,23.75,7,30,32,8,15,11.886,50.0,26.7,1.049,1.101,0.792,0.776,3.3,0
7.2,4,22,22,42.0,392.92,31,32.369,28,18,49.011,54.883,34.188,6,49,52,21,22,8.019,44.9,42.9,1.0,1.12,0.698,0.661,8.2,0
5.1,4,23,22,43.0,370.49,31,32.542,28,20,49.687,55.939,34.33,5,50,53,22,23,7.41,46.0,44.0,0.994,1.119,0.687,0.651,8.0,0
5.1,2,19,18,37.0,332.43,27,29.214,25,18,44.811,50.152,30.773,4,45,47,20,21,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,0
5.1,6,21,21,36.5,416.25,26,25.552,23,15,36.214,40.371,27.739,7,36,39,13,16,11.562,44.4,36.1,1.006,1.121,0.771,0.71,16.7,0
5.1,3,20,18,41.0,395.49,30,31.279,28,20,46.618,51.495,32.603,7,46,48,18,21,8.598,45.7,39.1,1.013,1.119,0.709,0.68,6.5,0
5.1,4,13,11,34.5,348.37,27,27.016,25,10,43.414,48.077,27.108,9,42,44,17,16,8.295,38.1,40.5,1.034,1.145,0.645,0.643,9.5,0
5.1,5,14,12,32.0,317.76,23,23.471,22,11,35.022,38.515,23.841,8,34,35,12,14,9.346,41.2,35.3,1.03,1.133,0.701,0.69,14.7,0
5.1,8,22,20,41.0,386.46,29,26.502,26,14,37.505,40.66,27.011,12,36,39,10,14,10.735,38.9,27.8,1.042,1.129,0.75,0.736,22.2,0
5.1,3,16,15,38.5,365.52,30,32.815,27,12,53.563,60.896,35.063,5,54,57,27,22,6.769,40.7,50.0,0.992,1.128,0.649,0.608,5.6,0
5.3,5,21,21,38.5,315.41,28,27.268,24,15,40.811,45.983,28.597,5,41,45,17,19,7.693,46.3,41.5,0.995,1.122,0.697,0.665,12.2,0
5.1,4,23,22,47.0,414.5,35,34.971,31,20,53.342,59.358,36.239,7,53,57,22,24,7.821,45.3,41.5,1.006,1.12,0.684,0.66,7.5,0
5.1,4,21,18,49.0,460.53,37,37.928,34,21,58.88,65.192,38.909,9,58,61,24,25,7.94,43.1,41.4,1.015,1.124,0.671,0.654,6.9,0
5.1,5,10,10,24.0,363.19,19,20.487,18,6,32.651,36.707,22.404,8,32,33,14,10,11.35,31.3,43.8,1.02,1.147,0.7,0.64,15.6,0
5.9,5,18,17,32.5,283.29,23,21.786,21,14,32.0,35.286,21.705,7,31,33,10,14,9.138,45.2,32.3,1.032,1.138,0.7,0.703,16.1,0
5.6,2,17,16,31.0,290.31,22,20.819,20,14,29.167,31.466,21.034,6,28,30,8,14,10.368,50.0,28.6,1.042,1.124,0.751,0.744,7.1,0
5.1,3,15,12,34.0,348.2,25,24.783,23,15,35.025,37.878,25.449,7,34,36,11,16,10.241,47.1,32.4,1.03,1.114,0.748,0.729,8.8,0
5.5,8,20,18,52.0,500.67,41,42.922,37,18,69.072,78.388,45.091,10,69,73,32,27,7.256,39.1,46.4,1.001,1.136,0.653,0.622,11.6,0
5.5,6,15,15,24.5,218.27,17,15.316,15,8,21.687,23.91,15.682,7,21,23,6,8,10.394,38.1,28.6,1.033,1.139,0.747,0.729,28.6,0
5.1,7,22,22,45.0,419.56,34,35.801,31,16,57.061,64.98,37.591,8,57,60,26,23,7.361,40.4,45.6,1.001,1.14,0.659,0.628,12.3,0
5.9,4,20,20,31.0,234.28,21,19.666,18,14,28.058,31.239,20.307,4,28,31,10,14,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,0
5.7,4,23,22,42.0,439.36,30,30.174,27,20,42.342,46.455,32.046,7,42,45,15,20,10.461,47.6,35.7,1.008,1.106,0.763,0.718,9.5,0
5.1,3,19,18,38.0,347.45,28,30.235,26,18,46.912,52.651,31.779,5,47,49,21,21,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,0
5.1,4,23,22,43.0,388.53,31,32.202,28,20,47.88,53.444,34.216,6,48,51,20,22,8.094,45.8,41.7,0.997,1.113,0.713,0.671,8.3,0
5.5,3,16,16,31.0,281.39,23,24.993,21,12,39.702,45.026,26.563,4,40,42,19,17,7.035,42.5,47.5,0.993,1.126,0.664,0.625,7.5,0
5.8,5,18,17,35.5,333.3,26,24.079,24,14,35.909,39.381,23.341,9,34,36,10,15,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,0
5.1,6,25,25,46.5,410.42,34,31.485,30,16,47.592,52.579,31.387,10,46,50,16,20,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,0
8.1,5,16,16,35.0,343.85,27,27.337,24,11,42.345,47.551,28.671,7,42,45,18,17,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,0
6.1,6,24,22,47.0,416.48,34,33.96,31,20,51.778,57.524,34.728,9,51,54,20,22,8.166,43.1,39.2,1.015,1.128,0.681,0.666,11.8,0
5.5,7,29,27,52.5,419.48,36,34.499,32,22,49.458,54.774,35.301,8,49,53,17,24,8.561,49.0,34.7,1.009,1.118,0.72,0.704,14.3,0
5.1,2,19,18,34.0,288.37,24,25.445,22,18,37.716,42.112,26.796,3,38,40,16,19,7.589,50.0,42.1,0.993,1.108,0.705,0.67,5.3,0
7.9,6,28,27,54.5,500.63,40,40.201,36,23,60.622,67.275,41.898,10,60,64,24,26,8.344,43.3,40.0,1.01,1.121,0.698,0.67,10.0,0
5.1,6,22,21,41.5,360.46,30,30.531,27,16,47.123,53.106,31.819,7,47,50,20,20,7.669,42.6,42.6,1.003,1.13,0.677,0.65,12.8,0
5.6,4,13,12,26.0,338.12,19,18.171,17,11,24.571,26.754,19.659,6,24,26,7,11,14.088,45.8,29.2,1.024,1.115,0.819,0.757,16.7,0
5.1,6,21,21,42.5,380.44,32,30.583,28,14,46.821,52.576,31.239,8,46,50,18,20,8.27,43.5,39.1,1.018,1.143,0.679,0.665,13.0,0
5.1,3,9,6,35.0,381.44,29,28.377,26,10,44.458,49.044,28.995,9,43,46,17,17,8.871,39.5,39.5,1.034,1.141,0.674,0.66,7.0,0
5.2,3,16,15,29.5,275.33,21,20.457,19,12,29.756,32.625,21.102,6,29,31,10,13,9.494,44.8,34.5,1.026,1.125,0.728,0.705,10.3,0
5.1,4,17,16,32.0,300.77,23,23.262,21,14,34.476,38.223,24.142,6,34,36,13,15,8.846,44.1,38.2,1.014,1.124,0.71,0.684,11.8,0
5.1,3,12,11,30.5,319.82,24,25.536,22,10,40.353,45.179,26.875,6,40,42,18,16,7.995,40.0,45.0,1.009,1.129,0.672,0.638,7.5,0
5.1,7,22,21,46.5,415.55,35,35.606,31,16,55.992,63.434,37.347,8,56,60,25,23,7.421,41.1,44.6,1.0,1.133,0.667,0.636,12.5,0
5.4,6,21,18,46.0,460.54,34,34.772,32,17,54.578,60.409,35.529,12,53,55,21,20,8.689,37.7,39.6,1.03,1.14,0.67,0.656,11.3,0
5.6,5,24,22,55.0,525.78,41,45.911,38,20,72.167,81.849,49.552,7,73,76,35,31,7.202,42.5,47.9,0.989,1.121,0.679,0.629,6.8,0
5.1,6,22,22,45.0,424.5,34,34.351,31,16,53.916,60.615,35.216,9,53,56,22,22,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,0
6.6,8,34,33,68.5,616.81,51,51.109,45,28,77.149,86.308,53.739,11,77,83,32,34,8.011,44.2,41.6,1.002,1.121,0.698,0.664,10.4,0
5.1,3,14,11,34.5,331.43,26,26.083,23,11,40.549,44.95,27.358,7,40,43,17,16,8.286,40.0,42.5,1.014,1.124,0.684,0.652,7.5,0
5.1,4,23,22,41.0,344.4,29,28.676,26,19,42.363,46.903,29.5,6,42,45,16,20,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,0
5.8,4,23,22,42.0,340.41,30,28.961,26,20,42.036,46.694,30.046,5,42,46,16,21,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,0
6.0,4,23,22,45.0,406.45,33,32.828,30,20,49.971,55.283,33.415,8,49,52,19,22,8.295,44.9,38.8,1.02,1.128,0.682,0.67,8.2,0
5.1,4,18,17,37.5,362.34,28,26.826,26,15,40.902,44.922,26.313,9,39,41,13,17,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,0
5.1,3,15,12,36.0,347.32,27,25.805,25,15,38.8,42.424,25.307,8,37,39,12,17,9.387,45.9,32.4,1.049,1.147,0.684,0.697,8.1,0
5.1,4,13,11,30.5,378.19,22,22.224,20,11,31.338,34.584,24.182,6,31,33,11,14,12.2,45.2,35.5,1.011,1.116,0.78,0.717,12.9,0
5.1,4,23,22,42.0,354.49,30,31.827,27,20,48.36,54.73,33.875,4,49,52,22,23,7.234,46.9,44.9,0.987,1.117,0.691,0.65,8.2,0
7.3,5,24,22,48.0,449.55,35,35.321,32,21,52.822,58.492,36.614,9,52,55,20,23,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,0
5.1,4,19,16,40.0,387.24,29,27.804,26,17,39.127,42.376,28.455,8,38,41,12,18,10.191,47.4,31.6,1.03,1.115,0.749,0.732,10.5,0
5.4,5,24,22,50.0,455.63,36,38.277,33,20,57.749,64.773,40.745,7,58,61,25,26,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,0
5.1,5,22,21,40.5,345.44,29,29.509,26,17,45.022,50.607,30.813,6,45,48,19,20,7.676,44.4,42.2,1.0,1.125,0.685,0.656,11.1,0
5.8,6,25,22,53.0,466.59,38,39.826,35,21,61.101,68.561,41.557,8,61,64,26,27,7.649,44.3,42.6,1.002,1.124,0.681,0.653,9.8,0
6.0,5,24,22,50.0,455.63,36,38.277,33,20,57.749,64.773,40.745,7,58,61,25,26,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,0
5.5,5,19,18,36.0,325.33,26,25.027,24,16,37.211,40.911,24.921,8,36,38,12,16,9.037,44.4,33.3,1.034,1.136,0.692,0.695,13.9,0
5.1,5,17,16,34.0,317.33,25,24.222,23,12,37.28,41.456,24.165,8,36,38,13,15,8.815,41.7,36.1,1.036,1.152,0.671,0.673,13.9,0
5.1,4,18,17,39.5,400.31,30,27.261,28,15,41.112,44.732,25.671,11,38,40,10,17,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,0
6.4,6,24,22,46.0,418.52,33,32.906,30,20,48.643,53.82,34.159,9,48,51,18,21,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,0
5.1,3,23,23,39.5,327.41,28,28.467,25,20,41.818,46.611,29.801,4,42,45,17,21,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,0
6.5,6,17,16,39.0,384.91,30,30.885,27,12,48.331,54.465,32.438,8,48,51,21,19,8.019,39.6,43.8,1.007,1.135,0.676,0.643,12.5,0
6.9,5,16,16,34.0,329.82,26,25.81,23,11,39.462,44.136,26.909,7,39,42,16,16,8.457,41.0,41.0,1.012,1.132,0.69,0.662,12.8,0
7.8,6,28,27,53.5,488.59,39,38.343,35,23,56.923,62.99,39.62,10,56,60,21,25,8.725,44.6,37.5,1.016,1.125,0.707,0.685,10.7,0
7.4,4,18,17,37.5,356.81,28,27.172,25,16,39.873,43.978,27.841,7,39,42,14,18,9.149,46.2,35.9,1.022,1.128,0.714,0.697,10.3,0
5.5,6,28,27,50.5,424.5,36,35.246,32,22,52.451,58.315,36.273,8,52,56,20,24,8.163,46.2,38.5,1.009,1.121,0.698,0.678,11.5,0
5.1,3,15,12,33.0,313.76,24,23.955,22,15,34.702,37.934,24.591,6,34,36,12,16,9.228,47.1,35.3,1.021,1.116,0.723,0.705,8.8,0
5.1,4,18,17,36.5,366.75,27,25.412,25,15,37.014,40.242,24.955,9,35,37,10,16,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,0
6.7,6,18,16,41.0,420.97,31,31.787,28,11,49.734,55.594,33.54,10,49,52,21,18,8.591,36.7,42.9,1.015,1.135,0.684,0.649,12.2,0
5.1,5,25,25,41.5,345.46,29,27.928,25,17,40.003,44.488,29.483,6,40,44,15,19,8.636,47.5,37.5,1.0,1.112,0.737,0.698,12.5,0
5.4,6,8,6,32.0,376.62,27,34.745,27,8,62.192,72.427,37.91,7,63,63,36,20,5.978,31.7,57.1,0.987,1.15,0.602,0.552,9.5,0
6.1,5,14,12,38.0,391.8,29,28.143,27,11,42.887,46.559,27.966,11,41,43,14,16,9.556,39.0,34.1,1.046,1.136,0.682,0.686,12.2,0
5.1,4,23,22,43.0,473.8,31,31.001,28,19,42.665,46.399,32.904,8,42,45,14,20,11.281,47.6,33.3,1.016,1.105,0.783,0.738,9.5,0
9.4,4,25,24,55.0,466.58,42,40.025,35,19,61.109,68.189,41.762,7,61,68,26,28,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,0
5.1,3,25,24,63.0,611.75,50,52.023,45,25,82.618,92.019,54.142,10,82,87,37,35,7.46,42.7,45.1,1.008,1.122,0.66,0.634,3.7,0
6.4,6,19,17,49.5,474.62,39,40.594,35,17,65.196,73.6,42.534,9,65,69,30,26,7.302,40.0,46.2,1.003,1.132,0.654,0.625,9.2,0
5.2,5,18,17,34.5,331.76,25,24.14,23,15,35.207,38.645,24.324,8,34,36,11,15,9.758,44.1,32.4,1.036,1.137,0.715,0.71,14.7,0
5.6,7,20,18,47.0,455.49,36,35.229,33,18,54.647,61.038,35.398,11,53,56,20,22,8.594,41.5,37.7,1.031,1.152,0.668,0.665,13.2,0
5.9,5,18,17,31.5,265.3,22,21.402,20,14,31.487,34.947,21.767,6,31,33,11,14,8.558,45.2,35.5,1.016,1.127,0.702,0.69,16.1,0
6.4,8,35,34,70.0,612.77,52,52.118,46,30,79.141,88.933,54.336,10,79,85,33,36,7.757,45.6,41.8,1.002,1.126,0.688,0.66,10.1,0
5.1,4,17,16,33.0,335.21,24,24.089,22,14,34.8,38.167,25.0,7,34,36,12,15,9.859,44.1,35.3,1.024,1.123,0.735,0.709,11.8,0
5.1,3,22,22,40.0,361.5,29,30.181,26,18,44.778,49.946,32.211,5,45,48,19,21,8.033,46.7,42.2,0.995,1.11,0.716,0.671,6.7,0
5.1,5,23,22,45.0,401.53,33,32.697,29,19,48.098,53.527,34.461,7,48,52,19,22,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,0
