pXC50,nAB,nC,RBN,N.,nCsp2,MW,nSK,SCBO,nBM,nBO,nF,nDB,C.,Sv,Se,Sp,RBF,nAT,Si,nX,nBT,X.,nHet,nH
6.666,12,22,3,7.0,13,497.64,33,46.0,16,36,3,4,38.6,37.097,58.414,38.796,0.05,57.0,65.046,3,60.0,5.3,11,24
6.801,17,20,2,6.3,15,507.52,33,46.5,19,36,6,2,41.7,33.909,51.141,33.699,0.039,48.0,55.529,6,51.0,12.5,13,15
6.91,17,20,2,6.3,15,507.52,33,46.5,19,36,6,2,41.7,33.909,51.141,33.699,0.039,48.0,55.529,6,51.0,12.5,13,15
6.488,18,24,3,5.3,17,421.61,30,44.0,20,33,0,2,42.1,36.002,56.64,38.711,0.05,57.0,63.816,0,60.0,0.0,6,27
5.0,18,25,3,5.0,17,489.61,34,48.0,20,37,3,2,41.7,38.679,61.061,40.284,0.048,60.0,68.25,3,63.0,5.0,9,26
6.883,18,25,3,5.0,17,435.64,31,45.0,20,34,0,2,41.7,37.529,59.523,40.472,0.048,60.0,67.231,0,63.0,0.0,6,29
7.301,18,25,3,6.9,17,446.62,32,48.0,21,35,0,2,43.1,37.497,57.858,39.955,0.049,58.0,64.899,0,61.0,0.0,7,26
7.42,18,24,3,5.3,17,456.05,31,45.0,20,34,0,2,42.1,36.83,56.963,39.568,0.05,57.0,63.76,1,60.0,1.8,7,26
5.0,18,24,3,5.3,17,456.05,31,45.0,20,34,0,2,42.1,36.83,56.963,39.568,0.05,57.0,63.76,1,60.0,1.8,7,26
6.558,18,24,3,5.3,17,474.04,32,46.0,20,35,1,2,42.1,37.213,57.476,39.506,0.05,57.0,64.1,2,60.0,3.5,8,25
7.301,18,24,3,5.3,17,475.58,33,47.0,20,36,3,2,42.1,37.152,58.178,38.523,0.05,57.0,64.835,3,60.0,5.3,9,24
7.201,18,23,3,5.6,17,495.99,33,47.0,20,36,3,2,42.6,36.453,55.618,37.62,0.053,54.0,61.364,4,57.0,7.4,10,21
6.701,18,24,3,5.3,17,475.58,33,47.0,20,36,3,2,42.1,37.152,58.178,38.523,0.05,57.0,64.835,3,60.0,5.3,9,24
6.959,18,23,3,5.6,17,461.55,32,46.0,20,35,3,2,42.6,35.626,55.294,36.762,0.053,54.0,61.42,3,57.0,5.6,9,22
7.114,18,26,4,4.7,17,537.63,37,51.0,20,40,4,2,40.6,41.304,65.785,42.438,0.06,64.0,73.215,4,67.0,6.3,11,27
7.056,18,23,3,5.5,17,477.55,33,47.0,20,36,3,2,41.8,36.34,56.621,37.216,0.052,55.0,62.629,3,58.0,5.5,10,22
6.959,18,23,3,7.1,16,476.57,33,47.0,20,36,3,2,41.1,36.647,57.396,37.767,0.051,56.0,63.918,3,59.0,5.4,10,23
6.967,23,26,3,6.8,20,512.6,36,53.5,25,40,3,2,44.1,39.647,60.396,40.767,0.048,59.0,66.918,3,63.0,5.1,10,23
6.821,23,58,31,6.9,30,1106.48,80,104.5,32,84,0,9,36.5,95.009,159.763,99.95,0.19,159.0,180.902,0,163.0,0.0,22,79
7.0,21,83,61,10.7,36,1856.48,131,164.5,40,135,0,19,31.8,153.234,264.209,160.274,0.23,261.0,300.026,0,265.0,0.0,48,130
7.0,21,62,44,9.6,28,1285.76,92,116.5,32,95,0,11,33.0,109.508,189.22,115.251,0.23,188.0,215.675,0,191.0,0.0,30,96
7.0,21,84,61,10.6,36,1838.44,131,164.5,40,135,0,19,31.9,153.574,266.016,160.388,0.228,263.0,302.521,0,267.0,0.0,47,132
5.194,22,31,12,5.6,23,545.13,39,56.0,25,42,0,3,43.1,45.959,71.967,48.665,0.16,72.0,80.793,1,75.0,1.4,8,33
6.62,22,27,9,8.2,23,453.59,34,51.0,25,37,0,3,44.3,39.331,60.883,41.313,0.141,61.0,68.478,0,64.0,0.0,7,27
5.854,22,32,14,6.6,24,588.16,42,60.0,26,45,0,4,42.1,48.696,76.396,51.125,0.177,76.0,85.501,1,79.0,1.3,10,34
7.678,22,27,11,7.9,21,455.61,34,50.0,24,37,0,2,42.9,39.858,62.767,42.074,0.167,63.0,70.893,0,66.0,0.0,7,29
7.602,22,30,12,5.7,22,482.68,36,52.0,24,39,0,2,42.9,43.417,69.316,46.353,0.164,70.0,78.64,0,73.0,0.0,6,34
8.032,22,31,10,8.1,23,538.71,40,58.0,25,44,0,3,41.9,46.648,73.963,49.057,0.128,74.0,83.431,0,78.0,0.0,9,34
6.638,22,33,15,6.3,24,602.19,43,61.0,26,46,0,4,41.8,50.222,79.28,52.887,0.183,79.0,88.916,1,82.0,1.3,10,36
7.155,22,32,11,6.6,22,523.74,39,56.0,24,43,0,2,42.1,46.965,75.301,50.12,0.138,76.0,85.554,0,80.0,0.0,7,37
8.658,26,30,10,8.7,25,522.66,39,59.0,29,43,0,3,43.5,44.594,69.196,46.534,0.137,69.0,77.6,0,73.0,0.0,9,30
6.854,22,30,11,5.8,23,531.1,38,55.0,25,41,0,3,43.5,44.433,69.083,46.904,0.153,69.0,77.378,1,72.0,1.4,8,31
5.347,21,52,33,9.8,28,1132.47,80,104.5,32,83,0,11,34.0,92.363,155.155,96.268,0.212,153.0,174.948,0,156.0,0.0,28,73
8.959,27,57,32,8.9,33,1133.47,82,109.5,37,86,0,10,36.1,95.493,159.417,99.683,0.198,158.0,180.151,0,162.0,0.0,25,76
7.432,21,61,44,9.7,28,1303.8,92,116.5,32,95,0,11,32.8,109.168,187.413,115.138,0.233,186.0,213.18,0,189.0,0.0,31,94
7.678,22,28,11,6.3,22,454.62,34,50.0,24,37,0,2,43.8,40.364,63.549,42.83,0.164,64.0,71.81,0,67.0,0.0,6,30
5.921,22,32,14,6.6,24,553.72,41,59.0,26,44,0,4,42.1,47.868,76.072,50.267,0.177,76.0,85.557,0,79.0,0.0,9,35
7.62,21,25,10,8.3,20,445.57,33,48.5,23,36,0,2,41.7,38.046,60.211,39.767,0.159,60.0,67.687,0,63.0,0.0,8,27
5.194,26,130,85,9.4,49,2859.86,201,250.0,55,208,0,29,32.1,237.071,409.506,248.798,0.206,405.0,464.728,0,412.0,0.0,71,204
4.495,16,14,4,9.4,12,271.37,19,29.0,16,21,0,0,43.8,21.6,32.127,22.926,0.118,32.0,35.7,0,34.0,0.0,5,13
6.678,16,17,4,5.3,13,330.79,23,34.0,16,26,0,0,44.7,25.702,38.694,26.563,0.098,38.0,42.475,1,41.0,2.6,6,15
6.292,16,16,4,5.6,13,332.76,23,34.0,16,26,0,0,44.4,24.89,37.138,25.256,0.103,36.0,40.269,1,39.0,2.8,7,13
4.495,16,17,4,2.7,13,331.77,23,34.0,16,26,0,0,45.9,25.396,37.92,26.011,0.1,37.0,41.186,1,40.0,2.7,6,14
4.495,22,21,5,4.7,19,394.83,28,43.0,22,32,0,0,48.8,30.417,44.022,31.017,0.106,43.0,47.685,1,47.0,2.3,7,15
4.495,16,16,3,5.7,13,351.2,23,34.0,16,26,0,0,45.7,25.003,36.135,25.659,0.079,35.0,39.004,2,38.0,5.7,7,12
4.495,16,16,4,8.1,13,331.78,23,34.0,16,26,0,0,43.2,25.197,37.913,25.807,0.1,37.0,41.558,1,40.0,2.7,7,14
4.495,16,17,4,2.7,13,331.77,23,34.0,16,26,0,0,45.9,25.396,37.92,26.011,0.1,37.0,41.186,1,40.0,2.7,6,14
4.495,16,17,4,2.7,13,347.84,23,34.0,16,26,0,0,45.9,25.868,37.669,27.205,0.1,37.0,40.897,1,40.0,2.7,6,14
6.244,16,15,3,6.3,13,337.17,22,33.0,16,25,0,0,46.9,23.476,33.251,23.898,0.086,32.0,35.589,2,35.0,6.3,7,10
4.495,16,16,3,8.3,14,345.76,24,36.0,17,27,0,1,44.4,25.385,37.356,25.5,0.077,36.0,40.353,1,39.0,2.8,8,12
5.796,16,17,6,4.9,13,330.44,23,33.0,16,25,0,0,41.5,26.589,41.331,28.114,0.14,41.0,45.866,0,43.0,0.0,6,18
4.495,20,16,4,11.1,14,310.41,22,35.0,20,25,0,0,44.4,24.622,36.229,25.932,0.103,36.0,40.199,0,39.0,0.0,6,14
6.456,16,18,4,4.9,13,344.82,24,35.0,16,27,0,0,43.9,27.229,41.578,28.324,0.091,41.0,45.89,1,44.0,2.4,6,17
4.495,21,19,4,5.1,17,320.44,23,36.5,21,26,0,0,48.7,26.632,38.793,28.443,0.095,39.0,43.032,0,42.0,0.0,4,16
4.495,16,17,3,5.6,15,328.77,23,35.0,17,26,0,1,47.2,25.176,36.811,25.801,0.077,36.0,40.06,1,39.0,2.8,6,13
4.495,16,17,4,2.7,13,347.84,23,34.0,16,26,0,0,45.9,25.868,37.669,27.205,0.1,37.0,40.897,1,40.0,2.7,6,14
6.62,16,16,3,5.7,13,370.73,25,36.0,16,28,3,0,45.7,25.325,37.349,24.614,0.079,35.0,40.079,4,38.0,11.4,9,10
8.409,27,57,32,8.9,33,1117.47,81,108.5,37,85,0,10,36.3,94.778,158.09,99.228,0.199,157.0,178.941,0,161.0,0.0,24,76
6.42,16,16,4,5.6,13,348.83,23,34.0,16,26,0,0,44.4,25.363,36.887,26.449,0.103,36.0,39.98,1,39.0,2.8,7,13
4.495,16,15,4,6.1,13,306.36,21,31.0,16,23,2,0,45.5,22.872,33.934,23.557,0.114,33.0,37.297,2,35.0,6.1,6,12
8.678,22,30,11,5.8,23,496.66,37,54.0,25,40,0,3,43.5,43.605,68.76,46.046,0.153,69.0,77.434,0,72.0,0.0,7,32
8.108,22,31,11,5.6,23,540.67,40,58.0,25,44,0,3,43.1,46.035,72.414,47.955,0.145,72.0,80.853,0,76.0,0.0,9,32
7.337,22,29,11,6.0,22,468.65,35,51.0,24,38,0,2,43.3,41.89,66.432,44.591,0.157,67.0,75.225,0,70.0,0.0,6,32
8.854,22,27,10,9.4,22,484.61,36,53.0,25,39,0,3,42.2,41.068,64.312,42.773,0.149,64.0,72.185,0,67.0,0.0,9,28
7.495,22,29,11,7.4,22,497.65,37,54.0,25,40,0,3,42.6,43.1,67.978,45.29,0.155,68.0,76.517,0,71.0,0.0,8,31
7.824,22,27,10,7.9,22,455.61,34,50.0,24,37,0,2,42.9,39.858,62.767,42.074,0.152,63.0,70.893,0,66.0,0.0,7,29
8.222,22,27,10,7.9,22,490.05,35,51.0,24,38,0,2,42.9,40.686,63.091,42.932,0.152,63.0,70.837,1,66.0,1.6,8,28
8.538,22,28,11,6.3,22,489.06,35,51.0,24,38,0,2,43.8,41.191,63.872,43.688,0.164,64.0,71.754,1,67.0,1.6,7,29
5.569,22,27,9,8.2,23,488.03,35,52.0,25,38,0,3,44.3,40.159,61.207,42.171,0.141,61.0,68.422,1,64.0,1.6,8,26
7.77,22,29,12,6.0,22,468.65,35,51.0,24,38,0,2,43.3,41.89,66.432,44.591,0.171,67.0,75.225,0,70.0,0.0,6,32
9.721,22,28,10,7.7,23,518.06,37,54.0,25,40,0,3,43.1,42.4,65.418,44.387,0.147,65.0,73.046,1,68.0,1.5,9,28
6.509,22,33,11,6.4,23,551.75,41,59.0,25,45,0,3,42.3,48.68,77.629,51.574,0.134,78.0,87.763,0,82.0,0.0,8,37
6.149,22,33,15,7.4,24,582.77,43,61.0,26,46,0,4,40.7,50.416,81.058,53.035,0.179,81.0,91.471,0,84.0,0.0,10,38
8.824,21,25,9,8.6,21,443.55,33,49.5,24,36,0,3,43.1,37.519,58.327,39.006,0.148,58.0,65.272,0,61.0,0.0,8,25
7.102,26,32,11,6.8,25,535.7,40,60.0,29,44,0,3,43.8,46.627,72.861,49.052,0.143,73.0,81.933,0,77.0,0.0,8,33
8.509,22,28,10,7.7,23,483.62,36,53.0,25,39,0,3,43.1,41.573,65.094,43.529,0.147,65.0,73.102,0,68.0,0.0,8,29
8.398,22,29,11,6.0,22,503.09,36,52.0,24,39,0,2,43.3,42.718,66.756,45.449,0.157,67.0,75.169,1,70.0,1.5,7,31
5.102,27,31,10,7.4,27,535.72,39,59.5,30,43,0,3,45.6,45.045,67.843,47.722,0.139,68.0,75.813,0,72.0,0.0,8,29
7.244,26,34,14,7.5,26,592.76,44,65.0,30,48,0,4,42.5,50.89,80.174,53.273,0.167,80.0,90.055,0,84.0,0.0,10,36
7.523,22,33,11,5.2,22,522.75,39,56.0,24,43,0,2,42.9,47.471,76.083,50.876,0.136,77.0,86.47,0,81.0,0.0,6,38
5.409,16,17,5,7.1,12,329.46,23,33.0,16,25,0,0,40.5,26.895,42.105,28.665,0.114,42.0,47.155,0,44.0,0.0,6,19
