pXC50,nCsp2,nAB,nBM,H.,C.,Mv,Mi,Mp,SCBO,nS,AMW,nSK,MW
4.7,0,0,0,63.3,26.7,0.506,1.155,0.559,10.0,0,5.376,11,161.28
5.42,6,6,6,58.3,35.0,0.552,1.136,0.605,29.0,0,5.826,25,349.57
6.398,6,10,10,50.0,35.3,0.596,1.147,0.635,24.0,0,6.804,17,231.34
4.77,0,0,0,63.2,26.3,0.507,1.157,0.56,13.0,0,5.378,14,204.36
6.02,6,6,6,57.4,35.2,0.557,1.136,0.607,27.0,0,5.954,23,321.51
6.509,6,10,10,48.4,35.5,0.605,1.147,0.64,23.0,0,7.01,16,217.31
6.658,6,10,10,48.4,35.5,0.605,1.147,0.64,23.0,0,7.01,16,217.31
5.108,6,10,10,51.4,35.1,0.589,1.146,0.631,25.0,0,6.632,18,245.37
6.06,9,6,8,54.5,36.4,0.574,1.136,0.62,25.0,0,6.282,20,276.42
6.824,6,10,10,50.0,35.3,0.596,1.147,0.635,24.0,0,6.804,17,231.34
5.524,6,10,10,51.4,35.1,0.589,1.146,0.631,25.0,0,6.632,18,245.37
5.62,6,10,10,48.4,35.5,0.605,1.147,0.64,23.0,0,7.01,16,217.31
6.51,1,0,1,61.1,27.8,0.521,1.155,0.57,14.0,0,5.621,14,202.34
7.76,16,17,18,47.5,39.3,0.615,1.13,0.642,43.5,0,7.206,32,439.56
7.25,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
6.56,6,6,6,56.8,36.4,0.563,1.134,0.615,23.0,0,5.987,19,263.42
5.98,6,6,6,56.8,35.1,0.56,1.137,0.609,19.0,0,6.036,16,223.35
7.39,10,11,11,51.2,41.5,0.603,1.124,0.647,27.5,0,6.619,20,271.39
6.6,6,6,6,58.1,34.9,0.553,1.137,0.606,21.0,0,5.847,18,251.41
7.0,6,6,6,56.8,35.1,0.56,1.137,0.609,19.0,0,6.036,16,223.35
7.09,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
6.8,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
8.75,6,6,6,56.8,35.1,0.56,1.137,0.609,19.0,0,6.036,16,223.35
8.4,6,6,6,56.8,35.1,0.56,1.137,0.609,19.0,0,6.036,16,223.35
6.99,6,6,6,54.3,37.1,0.577,1.133,0.622,20.0,0,6.324,16,221.33
7.24,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
6.473,6,6,6,50.0,34.6,0.589,1.139,0.613,16.0,0,7.047,13,183.23
7.71,10,11,11,52.5,40.0,0.593,1.127,0.638,25.5,0,6.484,19,259.38
8.1,6,6,6,54.3,37.1,0.577,1.133,0.622,20.0,0,6.324,16,221.33
6.59,6,6,6,55.3,36.8,0.572,1.133,0.619,21.0,0,6.194,17,235.36
5.54,6,6,6,56.3,35.4,0.563,1.136,0.61,25.0,0,6.114,21,293.45
8.75,10,11,11,51.2,41.5,0.603,1.124,0.647,27.5,0,6.619,20,271.39
6.68,7,6,7,53.7,34.1,0.572,1.141,0.609,23.0,0,6.497,19,266.38
6.0,15,16,17,50.0,40.7,0.608,1.128,0.649,38.0,0,6.769,27,365.52
8.77,6,6,6,55.9,35.3,0.564,1.137,0.611,18.0,0,6.156,15,209.32
4.77,14,12,15,48.6,37.1,0.618,1.135,0.675,48.0,0,8.622,36,603.57
7.4,15,16,17,49.0,41.2,0.614,1.127,0.653,37.0,0,6.892,26,351.49
4.7,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
7.0,7,6,7,54.3,34.8,0.57,1.137,0.608,25.0,0,6.422,21,295.42
4.18,6,6,6,48.1,37.0,0.605,1.134,0.627,18.0,0,7.231,14,195.24
