pXC50,RBF,O.,Me,H.,nBM,nDB,nAB,Mv,Mp,AMW,Sp,Se,SCBO,nCsp2,nBO,nSK,Si,MW,Mi,nAT,nH,nO,RBN,Sv,nBT,C.
7.076,0.061,0.0,0.994,53.1,6,1,5,0.571,0.612,6.479,19.597,31.811,19.5,3,16,15,36.983,207.32,1.156,32,17,0,2,18.268,33,31.3
7.244,0.091,0.0,0.994,53.1,6,1,5,0.571,0.612,6.479,19.597,31.811,19.5,3,16,15,36.983,207.32,1.156,32,17,0,3,18.268,33,31.3
6.812,0.069,0.0,0.994,50.0,6,0,5,0.597,0.637,6.796,17.83,27.825,19.5,2,15,14,32.069,190.28,1.145,28,14,0,2,16.72,29,35.7
4.62,0.037,0.0,1.002,50.0,6,1,5,0.585,0.618,6.895,16.074,26.043,17.5,3,14,13,30.152,179.26,1.16,26,13,0,1,15.214,27,30.8
6.569,0.083,0.0,0.991,54.3,6,1,5,0.566,0.61,6.324,21.358,34.694,20.5,3,17,16,40.398,221.35,1.154,35,19,0,3,19.795,36,31.4
6.554,0.071,0.0,0.994,51.9,6,1,5,0.582,0.623,6.603,16.83,26.825,17.5,4,14,13,31.069,178.27,1.151,27,14,0,2,15.72,28,33.3
6.301,0.04,0.0,0.998,50.0,6,1,5,0.591,0.628,6.843,15.068,23.942,16.5,4,13,12,27.654,164.24,1.152,24,12,0,1,14.193,25,33.3
5.77,0.065,0.0,0.99,53.3,6,1,5,0.575,0.62,6.41,18.591,29.709,18.5,4,15,14,34.484,192.3,1.149,30,16,0,2,17.246,31,33.3
8.114,0.067,0.0,0.994,48.3,7,1,5,0.611,0.649,6.976,18.83,28.825,21.5,4,16,15,33.069,202.29,1.14,29,14,0,2,17.72,30,37.9
6.585,0.071,0.0,1.002,48.1,6,0,5,0.601,0.632,7.084,17.074,27.043,19.5,1,15,14,31.152,191.27,1.154,27,13,0,2,16.214,28,33.3
6.921,0.071,0.0,1.002,48.1,7,2,5,0.601,0.632,7.084,17.074,27.043,19.5,5,15,14,31.152,191.27,1.154,27,13,0,2,16.214,28,33.3
7.2,0.221,3.6,0.99,55.0,16,4,12,0.57,0.616,6.235,68.416,109.879,62.0,15,52,50,126.536,692.07,1.14,111,61,4,25,63.233,113,35.1
5.367,0.0,7.4,0.998,55.6,0,0,0,0.561,0.602,6.269,16.244,26.942,14.0,0,14,12,30.824,169.25,1.142,27,15,2,0,15.139,29,33.3
5.853,0.118,8.3,1.031,35.4,24,3,21,0.703,0.726,10.55,34.864,49.502,47.5,18,34,31,53.755,506.38,1.12,48,17,4,6,33.733,51,43.8
4.91,0.08,4.3,1.011,44.7,13,1,12,0.639,0.663,7.605,31.165,47.501,36.0,13,29,26,53.164,357.43,1.131,47,21,2,4,30.012,50,44.7
4.843,0.152,6.7,1.004,51.1,7,2,5,0.593,0.636,7.233,28.642,45.2,27.5,6,23,22,51.195,325.48,1.138,45,23,3,7,26.664,46,33.3
7.536,0.073,1.9,0.998,50.0,12,0,12,0.608,0.646,6.894,33.614,51.883,35.0,12,29,26,58.992,358.49,1.134,52,26,1,4,31.615,55,42.3
6.623,0.092,3.3,1.002,44.3,20,2,18,0.649,0.679,7.534,41.449,61.152,49.0,21,38,34,68.409,459.57,1.121,61,27,2,6,39.593,65,47.5
6.278,0.127,1.5,0.992,49.3,18,0,18,0.619,0.661,6.89,44.279,66.476,47.0,18,38,34,75.446,461.64,1.126,67,33,1,9,41.458,71,44.8
6.873,0.123,1.4,0.994,49.3,18,0,18,0.616,0.656,6.908,45.285,68.578,48.0,18,39,35,77.944,476.66,1.13,69,34,1,9,42.48,73,43.5
9.886,0.091,5.8,0.993,50.0,13,1,12,0.611,0.652,6.779,33.887,51.629,36.0,13,29,26,58.317,352.49,1.121,52,26,3,5,31.751,55,42.3
5.301,0.167,8.0,1.004,60.0,1,1,0,0.516,0.555,5.889,13.869,25.102,10.0,1,9,10,29.114,147.23,1.165,25,15,2,4,12.897,24,24.0
5.234,0.118,8.3,1.023,37.5,24,3,21,0.691,0.717,9.249,34.432,49.084,46.5,18,33,30,53.518,443.94,1.115,48,18,4,6,33.152,51,43.8
5.878,0.03,6.3,0.991,59.4,0,0,0,0.537,0.586,5.791,18.767,31.709,14.0,0,14,13,36.654,185.3,1.145,32,19,2,1,17.192,33,31.3
5.796,0.122,2.1,0.991,51.1,12,0,12,0.597,0.64,6.648,30.091,46.571,31.0,10,25,23,53.355,312.46,1.135,47,24,1,6,28.068,49,38.3
4.536,0.143,6.3,1.007,50.0,8,2,6,0.601,0.638,7.373,30.614,48.331,30.0,8,25,24,54.634,353.89,1.138,48,24,3,7,28.831,49,35.4
4.222,0.114,2.4,1.001,45.2,13,0,12,0.631,0.662,7.367,27.813,42.022,33.0,10,25,23,47.607,309.41,1.134,42,19,1,5,26.509,44,40.5
5.125,0.094,2.0,0.991,48.0,17,0,17,0.621,0.662,6.97,33.091,49.571,37.5,14,29,26,56.355,348.49,1.127,50,24,1,5,31.068,53,42.0
5.398,0.116,2.4,0.997,48.8,11,0,11,0.615,0.664,7.426,27.216,40.88,28.5,8,23,21,46.444,304.46,1.133,41,20,1,5,25.202,43,36.6
4.921,0.116,2.4,0.995,48.8,12,0,12,0.61,0.648,6.937,26.569,40.803,29.0,10,23,21,46.524,284.4,1.135,41,20,1,5,25.015,43,39.0
6.638,0.125,0.0,0.987,51.3,12,0,12,0.597,0.644,6.574,25.114,38.476,26.0,10,20,19,44.315,256.39,1.136,39,20,0,5,23.3,40,38.5
4.438,0.143,6.3,1.0,52.1,8,2,6,0.583,0.62,6.655,29.756,48.007,29.0,8,24,23,54.69,319.45,1.139,48,25,3,7,28.003,49,35.4
5.733,0.03,0.0,0.991,48.4,7,1,6,0.631,0.684,7.573,21.199,30.713,22.0,7,18,16,34.847,234.75,1.124,31,15,0,1,19.558,33,41.9
6.301,0.117,1.8,0.997,47.4,13,1,12,0.64,0.697,8.149,39.733,56.843,40.0,13,33,30,63.91,464.5,1.121,57,27,1,7,36.469,60,40.4
5.0,0.065,2.3,0.99,52.3,7,1,6,0.596,0.653,6.943,28.733,43.545,27.0,7,23,21,49.776,305.49,1.131,44,23,1,3,26.234,46,36.4
4.601,0.135,5.9,0.998,52.9,8,2,6,0.579,0.618,6.539,31.517,50.891,30.0,8,25,24,58.106,333.48,1.139,51,27,3,7,29.53,52,35.3
6.0,0.093,2.0,1.001,45.1,13,1,12,0.655,0.71,8.558,36.211,51.076,38.0,13,31,28,57.08,436.44,1.119,51,23,1,5,33.416,54,41.2
5.0,0.117,1.8,0.997,47.4,13,1,12,0.64,0.697,8.149,39.733,56.843,40.0,13,33,30,63.91,464.5,1.121,57,27,1,7,36.469,60,40.4
5.027,0.118,8.3,1.023,37.5,24,3,21,0.691,0.717,9.249,34.432,49.084,46.5,18,33,30,53.518,443.94,1.115,48,18,4,6,33.152,51,43.8
5.462,0.113,6.9,1.015,39.7,29,3,26,0.671,0.696,8.441,40.347,58.847,55.0,21,39,35,64.986,489.6,1.12,58,23,4,7,38.894,62,43.1
7.0,0.091,1.9,0.985,50.0,13,1,12,0.621,0.678,7.049,35.25,51.211,36.0,13,29,26,58.108,366.57,1.117,52,26,1,5,32.266,55,42.3
5.0,0.117,1.8,0.986,50.9,13,1,12,0.611,0.667,6.941,38.017,56.196,38.0,13,31,28,64.022,395.62,1.123,57,29,1,7,34.815,60,40.4
6.301,0.093,2.0,0.989,49.0,13,1,12,0.623,0.676,7.207,34.495,50.429,36.0,13,29,26,57.192,367.56,1.121,51,25,1,5,31.761,54,41.2
6.699,0.143,6.3,1.0,52.1,8,2,6,0.583,0.62,6.655,29.756,48.007,29.0,8,24,23,54.69,319.45,1.139,48,25,3,7,28.003,49,35.4
6.699,0.115,1.7,0.982,51.7,13,1,12,0.609,0.669,6.804,38.773,56.978,38.0,13,31,28,64.939,394.63,1.12,58,30,1,7,35.32,61,41.4
5.638,0.135,5.9,0.998,52.9,8,2,6,0.579,0.618,6.539,31.517,50.891,30.0,8,25,24,58.106,333.48,1.139,51,27,3,7,29.53,52,35.3
6.62,0.115,6.1,1.019,40.8,19,3,16,0.66,0.694,8.828,34.023,49.931,43.0,12,32,29,55.364,432.58,1.13,49,20,3,6,32.335,52,36.7
7.12,0.208,2.6,0.98,55.8,26,2,24,0.575,0.63,6.023,97.058,150.944,87.0,26,73,68,173.854,927.5,1.129,154,86,4,33,88.544,159,39.0
8.3,0.205,3.8,0.985,55.1,26,2,24,0.577,0.628,6.151,97.967,153.599,89.0,26,75,70,176.273,959.5,1.13,156,86,6,33,89.973,161,38.5
6.745,0.135,0.0,0.981,54.9,12,0,12,0.577,0.631,6.128,32.16,50.01,30.0,10,24,23,57.976,312.51,1.137,51,28,0,7,29.407,52,37.3
6.146,0.159,2.3,0.984,55.8,6,1,5,0.575,0.639,6.523,27.489,42.327,23.5,5,20,19,48.693,280.48,1.132,43,24,1,7,24.74,44,34.9
5.274,0.0,6.9,0.994,58.6,0,0,0,0.54,0.586,5.906,17.006,28.825,13.0,0,13,12,33.239,171.27,1.146,29,17,2,0,15.665,30,31.0
5.678,0.0,0.0,0.977,58.6,0,0,0,0.573,0.669,7.014,19.392,28.323,13.0,0,13,12,32.66,203.41,1.126,29,17,0,0,16.61,30,31.0
5.0,0.0,6.3,0.991,59.4,0,0,0,0.537,0.586,5.791,18.767,31.709,14.0,0,14,13,36.654,185.3,1.145,32,19,2,0,17.192,33,31.3
5.638,0.135,0.0,0.981,54.9,12,0,12,0.577,0.631,6.128,32.16,50.01,30.0,10,24,23,57.976,312.51,1.137,51,28,0,7,29.407,52,37.3
7.398,0.133,0.0,0.981,51.7,18,0,18,0.602,0.654,6.458,37.921,56.894,39.0,16,30,28,65.391,374.58,1.127,58,30,0,8,34.934,60,41.4
6.585,0.089,0.0,0.985,51.2,12,0,12,0.601,0.648,6.568,27.875,42.36,29.0,10,23,21,48.73,282.43,1.133,43,22,0,4,25.827,45,39.5
6.301,0.133,0.0,0.976,54.5,12,0,12,0.587,0.645,6.101,28.387,42.923,27.0,12,21,20,49.564,268.44,1.126,44,24,0,6,25.838,45,40.9
5.0,0.0,7.7,0.998,57.7,0,0,0,0.544,0.586,6.048,15.244,25.942,12.0,0,12,11,29.824,157.24,1.147,26,15,2,0,14.139,27,30.8
5.903,0.0,3.3,0.986,56.7,0,0,0,0.571,0.64,6.645,19.199,29.574,15.0,0,15,13,33.949,199.35,1.132,30,17,1,0,17.138,32,33.3
8.62,0.15,2.6,0.989,53.2,13,2,11,0.587,0.64,6.647,49.29,76.145,46.5,12,39,36,87.304,511.81,1.134,77,41,2,12,45.206,80,36.4
5.427,0.026,5.6,0.992,52.8,6,0,6,0.589,0.632,6.482,22.767,35.709,22.0,6,19,17,40.654,233.34,1.129,36,19,2,1,21.192,38,38.9
4.0,0.102,2.1,0.991,51.1,12,0,12,0.597,0.64,6.648,30.091,46.571,31.0,10,25,23,53.355,312.46,1.135,47,24,1,5,28.068,49,38.3
6.155,0.102,2.1,0.991,51.1,12,0,12,0.597,0.64,6.648,30.091,46.571,31.0,10,25,23,53.355,312.46,1.135,47,24,1,5,28.068,49,38.3
6.178,0.156,2.3,0.98,56.8,6,1,5,0.574,0.642,6.352,28.245,43.109,23.5,6,20,19,49.61,279.49,1.128,44,25,1,7,25.245,45,36.4
5.523,0.0,7.1,0.998,53.6,1,0,0,0.576,0.616,6.474,17.245,27.942,16.0,0,14,13,31.824,181.26,1.137,28,15,2,0,16.139,29,35.7
5.301,0.0,6.1,0.989,60.6,0,0,0,0.529,0.58,5.646,19.148,32.651,14.0,0,14,13,37.862,186.31,1.147,33,20,2,0,17.456,34,30.3
7.699,0.148,0.0,0.978,56.7,12,0,12,0.566,0.624,5.91,37.444,58.661,33.0,10,27,26,68.221,354.6,1.137,60,34,0,9,33.988,61,36.7
6.62,0.13,0.0,0.981,53.8,12,0,12,0.585,0.638,6.241,33.16,51.01,32.0,10,26,24,58.976,324.52,1.134,52,28,0,7,30.407,54,38.5
5.0,0.032,10.0,1.005,56.7,0,0,0,0.546,0.582,6.242,17.46,30.153,14.0,0,14,13,34.448,187.27,1.148,30,17,3,1,16.38,31,30.0
7.373,0.118,0.0,0.982,53.1,12,0,12,0.589,0.641,6.337,31.398,48.127,31.0,10,25,23,55.56,310.49,1.134,49,26,0,6,28.88,51,38.8
5.114,0.0,6.9,0.994,58.6,0,0,0,0.54,0.586,5.906,17.006,28.825,13.0,0,13,12,33.239,171.27,1.146,29,17,2,0,15.665,30,31.0
5.5,0.0,3.4,0.985,58.6,0,0,0,0.556,0.628,6.46,18.199,28.574,13.0,0,13,12,32.949,187.34,1.136,29,17,1,0,16.138,30,31.0
6.432,0.078,2.1,0.991,50.0,12,0,12,0.606,0.648,6.76,31.091,47.571,33.0,10,27,24,54.355,324.47,1.132,48,24,1,4,29.068,51,39.6
5.699,0.093,2.0,0.989,51.0,12,0,12,0.6,0.644,6.637,32.853,50.454,34.0,10,28,25,57.77,338.5,1.133,51,26,1,5,30.595,54,39.2
7.301,0.118,0.0,0.982,53.1,12,0,12,0.589,0.641,6.337,31.398,48.127,31.0,10,25,23,55.56,310.49,1.134,49,26,0,6,28.88,51,38.8
4.0,0.133,4.7,1.003,46.5,13,1,12,0.622,0.652,7.265,28.023,43.131,32.0,11,25,23,48.734,312.41,1.133,43,20,2,6,26.73,45,39.5
6.62,0.132,1.9,0.987,53.8,12,0,12,0.579,0.627,6.317,32.614,51.338,31.0,10,25,24,59.185,328.51,1.138,52,28,1,7,30.122,53,36.5
5.71,0.0,7.4,0.998,55.6,0,0,0,0.561,0.602,6.269,16.244,26.942,14.0,0,14,12,30.824,169.25,1.142,27,15,2,0,15.139,29,33.3
5.194,0.0,7.4,0.998,55.6,0,0,0,0.561,0.602,6.269,16.244,26.942,14.0,0,14,12,30.824,169.25,1.142,27,15,2,0,15.139,29,33.3
7.155,0.039,4.2,1.0,45.8,14,2,12,0.63,0.662,7.301,31.784,48.014,37.0,13,29,26,54.149,350.46,1.128,48,22,2,2,30.256,51,41.7
8.0,0.039,4.2,1.0,45.8,14,2,12,0.63,0.662,7.301,31.784,48.014,37.0,13,29,26,54.149,350.46,1.128,48,22,2,2,30.256,51,41.7
7.222,0.02,4.3,1.01,43.5,14,2,12,0.636,0.658,7.662,30.273,46.451,37.0,13,29,26,52.315,352.44,1.137,46,20,2,1,29.246,49,39.1
6.959,0.032,3.4,0.998,51.7,5,0,5,0.584,0.622,6.665,18.04,28.934,18.5,2,16,14,33.196,193.28,1.145,29,15,1,1,16.94,31,34.5
7.0,0.041,6.5,1.01,43.5,14,2,12,0.64,0.663,7.662,30.478,46.458,37.0,13,29,26,51.943,352.43,1.129,46,20,3,2,29.444,49,41.3
6.699,0.07,4.9,1.006,43.9,14,2,12,0.639,0.665,7.57,27.262,41.247,33.0,13,25,23,46.318,310.39,1.13,41,18,2,3,26.203,43,41.5
8.0,0.053,3.8,0.99,49.1,13,1,12,0.619,0.661,6.84,35.057,52.461,38.0,13,31,27,59.398,362.51,1.121,53,26,2,3,32.794,57,43.4
7.301,0.087,4.5,1.003,45.5,14,2,12,0.63,0.66,7.373,29.023,44.131,34.0,13,26,24,49.734,324.42,1.13,44,20,2,4,27.73,46,40.9
6.824,0.0,4.5,1.008,43.2,14,2,12,0.641,0.665,7.669,29.267,44.349,36.0,13,28,25,49.817,337.42,1.132,44,19,2,0,28.224,47,40.9
6.42,0.109,3.8,0.994,47.2,15,2,12,0.628,0.666,7.085,35.302,52.68,40.0,14,30,28,59.481,375.51,1.122,53,25,2,6,33.289,55,43.4
5.638,0.022,0.0,0.985,48.8,12,1,11,0.628,0.686,7.244,29.517,42.334,31.5,12,25,22,48.152,311.49,1.12,43,21,0,1,26.993,46,41.9
5.788,0.073,3.8,0.992,46.2,15,2,12,0.64,0.679,7.163,35.296,51.578,41.0,14,31,28,57.983,372.5,1.115,52,24,2,4,33.267,55,46.2
7.523,0.103,5.3,0.998,47.4,9,2,6,0.623,0.658,7.115,25.012,37.927,28.0,8,21,20,42.737,270.36,1.125,38,18,2,4,23.687,39,42.1
7.301,0.042,4.4,1.005,44.4,13,2,11,0.643,0.682,7.922,30.671,45.207,35.5,12,28,25,50.654,356.49,1.126,45,20,2,2,28.917,48,40.0
5.824,0.05,5.3,1.01,42.1,14,2,12,0.649,0.671,7.799,25.5,38.363,32.0,13,24,22,42.903,296.36,1.129,38,16,2,2,24.676,40,42.1
5.799,0.041,4.3,0.993,47.8,9,2,6,0.625,0.664,7.01,30.534,45.694,34.0,8,27,24,51.567,322.44,1.121,46,22,2,2,28.74,49,43.5
5.0,0.111,7.8,1.043,35.3,24,3,21,0.686,0.689,9.363,35.148,53.182,49.5,18,36,33,58.008,477.5,1.137,51,18,4,6,35.002,54,43.1
5.0,0.127,9.6,1.048,34.6,24,3,21,0.687,0.685,9.49,35.602,54.509,50.5,18,37,34,59.218,493.5,1.139,52,18,5,7,35.716,55,42.3
5.0,0.118,8.3,1.027,37.5,24,3,21,0.681,0.698,8.906,33.512,49.273,46.5,18,33,30,53.914,427.49,1.123,48,18,4,6,32.708,51,43.8
5.0,0.118,8.3,1.037,35.4,24,3,21,0.689,0.697,9.281,33.449,49.785,47.5,18,34,31,54.254,445.48,1.13,48,17,4,6,33.092,51,43.8
5.0,0.118,8.3,1.031,35.4,24,3,21,0.703,0.726,10.55,34.864,49.502,47.5,18,34,31,53.755,506.38,1.12,48,17,4,6,33.733,51,43.8
5.493,0.113,6.9,1.015,39.7,29,3,26,0.671,0.696,8.441,40.347,58.847,55.0,21,39,35,64.986,489.6,1.12,58,23,4,7,38.894,62,43.1
5.66,0.119,7.3,1.018,38.2,29,3,26,0.679,0.702,8.647,38.585,55.963,54.0,21,38,34,61.571,475.57,1.119,55,21,4,7,37.368,59,43.6
5.0,0.127,6.0,1.007,43.3,29,3,26,0.649,0.681,7.936,45.631,67.498,58.0,21,42,38,75.232,531.69,1.123,67,29,4,9,43.475,71,41.8
5.0,0.113,6.9,1.009,39.7,30,3,27,0.679,0.709,8.372,41.097,58.527,55.5,24,39,35,64.405,485.6,1.11,58,23,4,7,39.378,62,46.6
5.0,0.115,7.0,1.019,36.8,30,3,27,0.697,0.723,9.141,41.199,58.069,56.5,23,40,36,63.432,521.03,1.113,57,21,4,7,39.701,61,45.6
5.0,0.107,7.1,1.012,41.4,30,3,27,0.66,0.687,8.167,48.085,70.825,62.5,23,46,41,78.441,571.71,1.121,70,29,5,8,46.19,75,42.9
5.0,0.105,5.6,1.008,42.3,30,3,27,0.655,0.685,8.038,48.637,71.6,62.5,23,46,41,79.73,570.73,1.123,71,30,4,8,46.496,76,42.3
5.0,0.108,5.8,1.007,42.0,30,3,27,0.659,0.69,8.054,47.631,69.498,61.5,23,45,40,77.232,555.71,1.119,69,29,4,8,45.475,74,43.5
5.0,0.119,7.3,1.027,36.4,29,3,26,0.686,0.7,8.974,38.523,56.476,55.0,21,39,35,61.91,493.56,1.126,55,20,4,7,37.751,59,43.6
5.0,0.118,8.3,1.031,35.4,24,3,21,0.703,0.726,10.55,34.864,49.502,47.5,18,34,31,53.755,506.38,1.12,48,17,4,6,33.733,51,43.8
5.0,0.118,8.3,1.033,35.4,24,3,21,0.699,0.716,9.624,34.369,49.596,47.5,18,34,31,53.858,461.93,1.122,48,17,4,6,33.536,51,43.8
5.27,0.118,8.3,1.042,33.3,24,3,21,0.711,0.725,10.924,34.801,50.014,48.5,18,35,32,54.095,524.37,1.127,48,16,4,6,34.117,51,43.8
5.733,0.119,7.3,1.036,34.5,29,3,26,0.693,0.699,9.301,38.46,56.989,56.0,21,40,36,62.25,511.55,1.132,55,19,4,7,38.134,59,43.6
5.292,0.118,8.3,1.033,35.4,24,3,21,0.699,0.716,9.624,34.369,49.596,47.5,18,34,31,53.858,461.93,1.122,48,17,4,6,33.536,51,43.8
5.0,0.118,8.3,1.031,35.4,24,3,21,0.703,0.726,10.55,34.864,49.502,47.5,18,34,31,53.755,506.38,1.12,48,17,4,6,33.733,51,43.8
5.357,0.119,7.3,1.027,36.4,29,3,26,0.686,0.7,8.974,38.523,56.476,55.0,21,39,35,61.91,493.56,1.126,55,20,4,7,37.751,59,43.6
5.513,0.119,7.3,1.027,36.4,29,3,26,0.686,0.7,8.974,38.523,56.476,55.0,21,39,35,61.91,493.56,1.126,55,20,4,7,37.751,59,43.6
5.0,0.118,8.3,1.023,37.5,24,3,21,0.691,0.717,9.249,34.432,49.084,46.5,18,33,30,53.518,443.94,1.115,48,18,4,6,33.152,51,43.8
5.0,0.127,9.6,1.019,40.4,24,3,21,0.665,0.688,8.452,35.79,52.971,47.5,18,34,31,58.199,439.53,1.119,52,21,5,7,34.567,55,42.3
5.184,0.127,9.6,1.019,40.4,24,3,21,0.665,0.688,8.452,35.79,52.971,47.5,18,34,31,58.199,439.53,1.119,52,21,5,7,34.567,55,42.3
5.0,0.127,9.6,1.019,40.4,24,3,21,0.665,0.688,8.452,35.79,52.971,47.5,18,34,31,58.199,439.53,1.119,52,21,5,7,34.567,55,42.3
5.421,0.118,8.3,1.021,37.5,24,3,21,0.695,0.728,10.175,34.926,48.989,46.5,18,33,30,53.416,488.39,1.113,48,18,4,6,33.35,51,43.8
5.0,0.111,7.8,1.043,35.3,24,3,21,0.686,0.689,9.363,35.148,53.182,49.5,18,36,33,58.008,477.5,1.137,51,18,4,6,35.002,54,43.1
5.0,0.115,8.2,1.02,36.7,25,3,21,0.69,0.711,8.868,34.818,49.978,49.5,18,34,31,54.657,434.51,1.115,49,18,4,6,33.82,52,44.9
5.0,0.118,8.3,1.025,35.4,24,3,21,0.716,0.756,11.818,36.279,49.218,47.5,18,34,31,53.257,567.28,1.11,48,17,4,6,34.375,51,43.8
5.0,0.118,8.3,1.029,35.4,24,3,21,0.708,0.735,9.966,35.29,49.407,47.5,18,34,31,53.462,478.38,1.114,48,17,4,6,33.98,51,43.8
5.79,0.066,3.4,0.989,48.3,15,2,12,0.626,0.669,6.906,38.819,57.345,43.0,14,33,30,64.813,400.56,1.117,58,28,2,4,36.321,61,44.8
7.961,0.14,2.1,0.984,56.3,6,0,6,0.565,0.617,6.031,29.608,47.236,26.0,4,23,21,54.687,289.47,1.139,48,27,1,7,27.101,50,35.4
7.569,0.06,6.5,0.998,45.7,13,1,12,0.64,0.674,7.292,30.983,45.92,36.0,13,29,25,51.279,335.43,1.115,46,21,3,3,29.434,50,45.7
5.627,0.113,1.5,0.992,49.3,18,0,18,0.619,0.661,6.89,44.279,66.476,47.0,18,38,34,75.446,461.64,1.126,67,33,1,8,41.458,71,44.8
6.407,0.103,1.6,0.994,48.4,18,0,18,0.624,0.664,6.994,42.518,63.592,46.0,18,37,33,72.03,447.61,1.125,64,31,1,7,39.932,68,45.3
5.842,0.113,1.5,0.992,49.3,18,0,18,0.619,0.661,6.89,44.279,66.476,47.0,18,38,34,75.446,461.64,1.126,67,33,1,8,41.458,71,44.8
5.721,0.103,1.6,0.994,48.4,18,0,18,0.624,0.664,6.994,42.518,63.592,46.0,18,37,33,72.03,447.61,1.125,64,31,1,7,39.932,68,45.3
5.0,0.083,5.2,0.994,53.4,8,2,6,0.579,0.621,6.441,36.04,57.658,34.0,8,29,27,65.936,373.55,1.137,58,31,3,5,33.584,60,36.2
5.886,0.083,5.2,0.994,53.4,8,2,6,0.579,0.621,6.441,36.04,57.658,34.0,8,29,27,65.936,373.55,1.137,58,31,3,5,33.584,60,36.2
7.222,0.083,5.2,1.003,51.7,8,2,6,0.586,0.62,6.751,35.978,58.17,35.0,8,30,28,66.276,391.54,1.143,58,30,3,5,33.967,60,36.2
6.923,0.088,5.5,0.996,52.7,8,2,6,0.583,0.623,6.537,34.279,54.774,33.0,8,28,26,62.521,359.52,1.137,55,29,3,5,32.057,57,36.4
6.854,0.088,5.5,1.005,50.9,8,2,6,0.59,0.622,6.864,34.216,55.287,34.0,8,29,27,62.86,377.51,1.143,55,28,3,5,32.44,57,36.4
6.602,0.098,6.8,1.0,52.5,8,2,6,0.581,0.619,6.603,36.495,58.985,35.0,8,30,28,67.145,389.55,1.138,59,31,4,6,34.299,61,35.6
6.509,0.088,5.5,1.015,49.1,8,2,6,0.597,0.621,7.191,34.154,55.8,35.0,8,30,28,63.2,395.5,1.149,55,27,3,5,32.824,57,36.4
6.051,0.083,5.2,0.994,53.4,8,2,6,0.579,0.621,6.441,36.04,57.658,34.0,8,29,27,65.936,373.55,1.137,58,31,3,5,33.584,60,36.2
6.161,0.079,4.9,0.991,57.4,2,2,0,0.551,0.599,5.993,36.563,60.425,30.0,2,28,26,69.766,365.58,1.144,61,35,3,5,33.637,63,32.8
5.886,0.093,5.8,0.999,51.9,7,2,5,0.591,0.638,7.03,33.165,51.967,31.5,6,27,25,59.026,365.55,1.135,52,27,3,5,30.717,54,34.6
6.018,0.098,6.8,1.0,52.5,8,2,6,0.581,0.619,6.603,36.495,58.985,35.0,8,30,28,67.145,389.55,1.138,59,31,4,6,34.299,61,35.6
5.585,0.088,5.5,1.002,50.9,8,2,6,0.598,0.639,7.163,35.137,55.098,34.0,8,29,27,62.465,393.96,1.136,55,28,3,5,32.885,57,36.4
5.301,0.083,5.2,0.992,56.9,2,2,0,0.554,0.6,6.061,34.802,57.541,29.0,2,27,25,66.351,351.55,1.144,58,33,3,5,32.111,60,32.8
6.745,0.107,5.7,1.01,43.4,20,3,17,0.645,0.677,8.029,35.892,53.52,44.5,15,33,30,59.777,425.56,1.128,53,23,3,6,34.18,56,39.6
7.88,0.17,3.9,0.986,53.9,26,2,24,0.585,0.635,6.286,96.444,149.831,91.0,26,77,70,171.442,955.46,1.128,152,82,6,27,88.92,159,39.5
8.824,0.096,4.1,0.991,49.0,13,1,12,0.618,0.659,6.867,32.296,48.578,35.0,13,28,25,54.983,336.47,1.122,49,24,2,5,30.267,52,42.9
8.027,0.07,3.8,0.99,49.1,13,1,12,0.619,0.661,6.84,35.057,52.461,38.0,13,31,27,59.398,362.51,1.121,53,26,2,4,32.794,57,43.4
7.444,0.052,5.6,0.996,48.1,13,1,12,0.621,0.658,7.009,35.512,53.789,39.0,13,32,28,60.607,378.51,1.122,54,26,3,3,33.509,58,42.6
7.284,0.053,3.8,0.99,49.1,13,1,12,0.619,0.661,6.84,35.057,52.461,38.0,13,31,27,59.398,362.51,1.121,53,26,2,3,32.794,57,43.4
7.824,0.067,3.6,0.988,50.0,13,1,12,0.613,0.657,6.724,36.819,55.345,39.0,13,32,28,62.813,376.54,1.122,56,28,2,4,34.321,60,42.9
8.076,0.056,4.0,0.992,48.0,13,1,12,0.625,0.666,6.97,33.296,49.578,37.0,13,30,26,55.983,348.48,1.12,50,24,2,3,31.267,54,44.0
5.484,0.116,3.1,1.002,46.2,19,1,18,0.633,0.665,7.332,43.216,65.138,49.0,19,39,35,73.323,476.61,1.128,65,30,2,8,41.141,69,44.6
5.484,0.1,1.5,0.997,46.2,22,0,22,0.637,0.673,7.271,43.762,64.81,51.0,20,40,35,73.113,472.62,1.125,65,30,1,7,41.426,70,46.2
5.903,0.107,1.9,1.001,49.1,12,0,12,0.611,0.646,7.028,34.239,53.043,36.0,12,30,27,60.283,372.5,1.137,53,26,1,6,32.373,56,41.5
5.02,0.0,3.8,0.988,57.7,0,0,0,0.562,0.632,6.666,16.438,25.691,12.0,0,12,11,29.534,173.31,1.136,26,15,1,0,14.611,27,30.8
5.174,0.0,3.8,0.988,57.7,0,0,0,0.562,0.632,6.666,16.438,25.691,12.0,0,12,11,29.534,173.31,1.136,26,15,1,0,14.611,27,30.8
6.673,0.0,3.3,0.986,56.7,0,0,0,0.571,0.64,6.645,19.199,29.574,15.0,0,15,13,33.949,199.35,1.132,30,17,1,0,17.138,32,33.3
