pXC50,nDB,nS,nHM,nAB,nBM,C.,nCsp2,Mv,SCBO,Me,RBF,H.,nC,AMW,MW,Si,Se,nBO,nCL,nCsp3,Mi,Mp,N.,nAT,nB,nBR,nBT,nCsp,nF,nH
5.0,3,2,2,6,9,36.4,10,0.6,39.0,1.002,0.224,51.5,24,7.314,482.72,74.155,66.138,33,0,14,1.124,0.651,0.0,66,0,0,67,0,0,34
5.0,3,1,1,6,9,37.1,10,0.595,37.0,1.003,0.206,51.6,23,7.042,436.62,69.82,62.178,31,0,13,1.126,0.638,0.0,62,0,0,63,0,0,32
5.0,4,0,0,0,4,35.9,6,0.563,33.0,0.993,0.185,56.3,23,6.134,392.59,72.521,63.541,29,0,17,1.133,0.609,0.0,64,0,0,65,0,0,36
5.0,3,1,1,6,9,37.3,10,0.6,36.0,1.005,0.183,50.8,22,7.163,422.59,66.404,59.294,30,0,12,1.125,0.641,0.0,59,0,0,60,0,0,30
5.796,4,0,0,0,4,35.7,6,0.559,35.0,0.99,0.197,57.1,25,6.009,420.65,79.351,69.309,31,0,19,1.134,0.607,0.0,70,0,0,71,0,0,40
5.0,3,2,2,6,9,36.7,10,0.609,37.0,1.006,0.213,50.0,22,7.578,454.66,67.324,60.371,31,0,12,1.122,0.657,0.0,60,0,0,61,0,0,30
6.921,3,1,1,0,3,33.3,4,0.565,28.0,0.997,0.228,56.1,19,6.536,372.58,64.61,56.851,25,0,15,1.134,0.616,0.0,57,0,0,57,0,0,32
5.0,4,0,0,0,4,35.9,6,0.563,33.0,0.993,0.185,56.3,23,6.134,392.59,72.521,63.541,29,0,17,1.133,0.609,0.0,64,0,0,65,0,0,36
5.0,3,2,2,6,9,36.4,10,0.6,39.0,1.002,0.224,51.5,24,7.314,482.72,74.155,66.138,33,0,14,1.124,0.651,0.0,66,0,0,67,0,0,34
6.108,4,0,0,0,4,35.8,6,0.561,34.0,0.991,0.191,56.7,24,6.069,406.62,75.936,66.425,30,0,18,1.133,0.608,0.0,67,0,0,68,0,0,38
5.0,3,2,2,6,9,37.5,10,0.613,35.0,1.003,0.193,50.0,21,7.583,424.63,62.7,56.16,29,0,11,1.12,0.665,0.0,56,0,0,57,0,0,28
5.0,4,0,0,0,4,35.8,6,0.561,34.0,0.991,0.176,56.7,24,6.069,406.62,75.936,66.425,30,0,18,1.133,0.608,0.0,67,0,0,68,0,0,38
6.215,3,2,2,0,3,32.7,4,0.579,28.0,1.001,0.236,54.5,18,7.102,390.62,62.115,55.043,25,0,14,1.129,0.636,0.0,55,0,0,55,0,0,30
5.509,3,2,2,6,9,36.8,10,0.615,36.0,1.009,0.207,49.1,21,7.73,440.63,63.909,57.487,30,0,11,1.121,0.661,0.0,57,0,0,58,0,0,28
5.0,3,2,2,6,9,37.5,10,0.613,35.0,1.003,0.193,50.0,21,7.583,424.63,62.7,56.16,29,0,11,1.12,0.665,0.0,56,0,0,57,0,0,28
5.0,2,0,0,22,24,47.5,22,0.66,51.0,1.006,0.095,42.4,28,7.721,455.54,65.528,59.342,38,0,6,1.111,0.685,1.7,59,0,0,63,0,0,25
5.0,2,0,0,16,18,43.1,16,0.635,40.0,1.009,0.132,45.1,22,7.48,381.46,57.113,51.458,30,0,6,1.12,0.66,2.0,51,0,0,53,0,0,23
5.187,2,0,0,16,18,42.6,16,0.628,41.0,1.006,0.143,46.3,23,7.324,395.49,60.528,54.342,31,0,7,1.121,0.656,1.9,54,0,0,56,0,0,25
6.398,2,0,0,22,24,48.1,22,0.661,47.0,1.002,0.123,42.6,26,7.657,413.5,59.903,54.131,34,0,4,1.109,0.689,1.9,54,0,0,57,0,0,23
5.0,2,0,0,16,18,42.6,16,0.628,41.0,1.006,0.143,46.3,23,7.324,395.49,60.528,54.342,31,0,7,1.121,0.656,1.9,54,0,0,56,0,0,25
5.108,2,0,0,22,24,48.2,22,0.668,50.0,1.008,0.1,41.1,27,7.884,441.51,62.113,56.458,37,0,5,1.109,0.69,1.8,56,0,0,60,0,0,23
5.0,2,0,0,16,18,42.6,16,0.628,41.0,1.006,0.143,46.3,23,7.324,395.49,60.528,54.342,31,0,7,1.121,0.656,1.9,54,0,0,56,0,0,25
5.699,2,0,0,22,24,47.4,22,0.669,51.0,1.014,0.098,40.4,27,8.026,457.51,63.322,57.785,38,0,5,1.111,0.686,1.8,57,0,0,61,0,0,23
5.208,2,0,0,22,24,45.9,22,0.655,52.0,1.007,0.092,42.6,28,7.714,470.56,68.026,61.443,39,0,6,1.115,0.679,3.3,61,0,0,65,0,0,26
5.921,2,0,0,22,24,49.0,22,0.67,46.0,1.005,0.111,41.2,25,7.833,399.47,56.488,51.247,33,0,3,1.108,0.695,2.0,51,0,0,54,0,0,21
5.0,2,0,0,22,24,45.9,22,0.655,52.0,1.007,0.092,42.6,28,7.714,470.56,68.026,61.443,39,0,6,1.115,0.679,3.3,61,0,0,65,0,0,26
5.42,2,0,0,22,24,47.5,22,0.66,51.0,1.006,0.095,42.4,28,7.721,455.54,65.528,59.342,38,0,6,1.111,0.685,1.7,59,0,0,63,0,0,25
5.638,2,0,0,22,24,47.4,22,0.669,51.0,1.014,0.098,40.4,27,8.026,457.51,63.322,57.785,38,0,5,1.111,0.686,1.8,57,0,0,61,0,0,23
5.0,3,0,0,0,3,33.3,4,0.549,27.0,0.992,0.228,57.9,19,5.957,339.53,64.979,56.549,24,0,15,1.14,0.597,1.8,57,0,0,57,0,0,33
5.0,2,0,0,16,18,42.1,16,0.622,42.0,1.004,0.153,47.4,24,7.185,409.52,63.943,57.225,32,0,8,1.122,0.652,1.8,57,0,0,59,0,0,27
5.0,3,0,0,0,3,34.8,4,0.552,33.0,0.99,0.2,58.0,24,5.922,408.64,78.351,68.309,30,0,20,1.136,0.601,0.0,69,0,0,70,0,0,40
5.0,3,0,1,0,3,35.5,5,0.567,31.0,0.993,0.175,56.5,22,6.436,399.02,70.255,61.538,28,1,17,1.133,0.619,0.0,62,0,0,63,0,0,35
5.77,3,0,0,6,9,38.1,11,0.586,37.0,1.003,0.188,52.4,24,6.676,420.57,71.445,63.17,31,0,13,1.134,0.621,0.0,63,0,0,64,0,1,33
7.329,3,0,0,0,3,33.9,4,0.551,28.0,0.994,0.22,57.6,20,6.009,354.54,67.105,58.658,25,0,16,1.137,0.597,0.0,59,0,0,59,0,0,34
8.222,4,0,0,0,4,35.1,6,0.561,29.0,0.996,0.211,56.1,20,6.185,352.52,64.69,56.774,25,0,14,1.135,0.604,0.0,57,0,0,57,0,0,32
5.301,2,0,0,23,25,48.3,24,0.659,49.5,1.0,0.148,43.1,28,7.578,439.54,64.318,58.014,36,0,4,1.109,0.689,1.7,58,0,0,61,0,0,25
5.0,2,0,0,18,20,45.5,20,0.64,43.0,1.0,0.175,45.5,25,7.337,403.51,61.318,55.014,32,0,5,1.115,0.672,1.8,55,0,0,57,0,0,25
5.0,2,0,0,23,25,50.0,25,0.664,48.5,0.998,0.153,42.9,28,7.581,424.52,61.82,55.912,35,0,3,1.104,0.696,0.0,56,0,0,59,0,0,24
5.0,2,0,0,12,14,41.0,15,0.61,41.0,1.004,0.111,49.2,25,6.993,426.55,68.484,61.218,33,0,10,1.123,0.642,0.0,61,0,0,63,0,0,30
5.0,2,0,0,17,19,41.8,18,0.62,48.5,1.001,0.114,47.8,28,7.114,476.62,75.272,67.094,38,0,10,1.123,0.652,3.0,67,0,0,70,0,0,32
5.0,2,0,0,12,14,42.1,15,0.613,39.0,1.0,0.102,49.1,24,6.956,396.52,63.86,57.007,31,0,9,1.12,0.648,0.0,57,0,0,59,0,0,28
5.0,2,0,0,21,23,46.9,20,0.666,44.5,1.009,0.154,40.8,23,7.928,388.45,54.571,49.465,32,0,3,1.114,0.687,4.1,49,0,0,52,0,0,20
5.0,2,1,1,22,24,50.0,23,0.676,46.0,0.996,0.145,42.3,26,7.972,414.55,57.115,51.778,33,0,3,1.098,0.719,0.0,52,0,0,55,0,0,22
5.0,2,0,0,12,14,41.7,15,0.608,40.0,0.998,0.097,50.0,25,6.842,410.55,67.275,59.891,32,0,10,1.121,0.645,0.0,60,0,0,62,0,0,30
5.398,1,0,0,22,23,45.6,20,0.641,46.0,0.996,0.167,45.6,26,7.273,414.54,63.607,56.789,34,0,6,1.116,0.676,3.5,57,0,0,60,0,0,26
5.0,1,0,0,22,24,50.0,20,0.679,47.0,1.003,0.113,40.0,25,7.929,396.47,55.362,50.138,33,0,3,1.107,0.705,4.0,50,0,0,53,2,0,20
5.538,2,0,0,22,24,48.1,22,0.663,46.0,1.0,0.145,42.3,25,7.663,398.49,57.777,52.022,33,0,3,1.111,0.692,3.8,52,0,0,55,0,0,22
5.0,1,0,0,22,23,45.5,20,0.649,46.0,1.004,0.172,43.6,25,7.573,416.51,61.401,55.232,34,0,5,1.116,0.676,3.6,55,0,0,58,0,0,24
5.0,2,0,0,17,19,44.0,18,0.643,40.5,1.007,0.192,44.0,22,7.569,378.46,55.986,50.349,30,0,4,1.12,0.669,4.0,50,0,0,52,0,0,22
5.0,2,0,0,22,24,48.1,22,0.663,46.0,1.0,0.145,42.3,25,7.663,398.49,57.777,52.022,33,0,3,1.111,0.692,3.8,52,0,0,55,0,0,22
5.0,2,0,0,18,20,42.5,20,0.608,49.0,0.991,0.147,50.7,31,6.681,487.69,81.81,72.316,38,0,11,1.121,0.651,1.4,73,0,0,75,0,0,37
5.0,2,0,0,18,20,43.3,20,0.617,47.0,0.993,0.174,49.3,29,6.86,459.63,74.979,66.549,36,0,9,1.119,0.657,1.5,67,0,0,69,0,0,33
5.0,2,0,0,23,25,45.7,24,0.633,53.5,0.994,0.151,47.1,32,7.081,495.66,77.979,69.549,40,0,8,1.114,0.672,1.4,70,0,0,73,0,0,33
5.0,2,0,0,18,20,42.9,20,0.612,48.0,0.992,0.153,50.0,30,6.767,473.66,78.394,69.432,37,0,10,1.12,0.654,1.4,70,0,0,72,0,0,35
5.0,2,0,0,18,20,42.9,20,0.617,49.0,0.999,0.153,48.6,30,7.024,491.65,78.734,69.945,38,0,10,1.125,0.653,1.4,70,0,0,72,0,1,34
5.0,2,0,0,18,20,42.9,20,0.623,50.0,1.007,0.153,47.1,30,7.281,509.64,79.074,70.458,39,0,10,1.13,0.652,1.4,70,0,0,72,0,2,33
5.0,2,0,0,23,25,47.5,24,0.651,50.5,0.998,0.141,44.3,29,7.436,453.57,67.734,60.898,37,0,5,1.11,0.684,1.6,61,0,0,64,0,0,27
5.0,3,2,2,6,9,37.5,10,0.613,35.0,1.003,0.193,50.0,21,7.583,424.63,62.7,56.16,29,0,11,1.12,0.665,0.0,56,0,0,57,0,0,28
5.0,2,0,0,23,25,47.5,24,0.651,50.5,0.998,0.141,44.3,29,7.436,453.57,67.734,60.898,37,0,5,1.11,0.684,1.6,61,0,0,64,0,0,27
5.0,2,0,0,18,21,43.7,20,0.624,52.0,0.995,0.151,47.9,31,7.024,498.67,79.477,70.65,39,0,10,1.119,0.662,2.8,71,0,0,73,1,0,34
5.0,2,0,1,16,18,46.3,16,0.681,37.0,1.02,0.093,39.0,19,8.727,357.81,45.602,41.804,27,1,3,1.112,0.702,2.4,41,0,0,43,0,0,16
5.0,2,0,0,18,20,43.8,20,0.622,46.0,0.995,0.167,48.4,28,6.962,445.6,71.564,63.665,35,0,8,1.118,0.66,1.6,64,0,0,66,0,0,31
5.0,2,0,0,17,19,43.4,18,0.636,41.5,1.004,0.2,45.3,23,7.405,392.49,59.401,53.232,31,0,5,1.121,0.664,3.8,53,0,0,55,0,0,24
5.0,2,0,0,23,25,50.0,25,0.664,48.5,0.998,0.153,42.9,28,7.581,424.52,61.82,55.912,35,0,3,1.104,0.696,0.0,56,0,0,59,0,0,24
5.0,1,0,0,22,23,46.2,20,0.657,45.0,1.007,0.164,42.3,24,7.74,402.48,57.986,52.349,33,0,4,1.115,0.682,3.8,52,0,0,55,0,0,22
5.0,2,0,0,23,25,50.9,25,0.663,47.5,0.992,0.138,43.6,28,7.428,408.52,60.611,54.585,34,0,3,1.102,0.7,0.0,55,0,0,58,0,0,24
5.0,2,0,0,18,20,43.3,20,0.622,48.0,1.001,0.159,47.8,29,7.129,477.62,75.319,67.061,37,0,9,1.124,0.656,1.5,67,0,0,69,0,1,32
5.194,3,0,0,17,20,46.4,20,0.646,45.5,1.0,0.136,44.6,26,7.42,415.52,62.318,56.014,34,0,6,1.113,0.678,1.8,56,0,0,59,0,0,25
7.022,3,1,1,0,3,33.3,4,0.565,28.0,0.997,0.228,56.1,19,6.536,372.58,64.61,56.851,25,0,15,1.134,0.616,0.0,57,0,0,57,0,0,32
5.149,1,0,0,22,23,46.3,20,0.648,45.0,0.998,0.158,44.4,25,7.417,400.51,60.192,53.905,33,0,5,1.115,0.681,3.7,54,0,0,57,0,0,24
5.268,2,0,1,6,8,36.9,9,0.583,36.0,0.998,0.197,53.8,24,6.754,439.04,73.465,64.865,31,1,15,1.13,0.628,0.0,65,0,0,66,0,0,35
5.0,3,0,0,0,4,37.1,4,0.573,34.0,0.994,0.159,54.8,23,6.3,390.57,70.105,61.658,29,0,17,1.131,0.616,0.0,62,0,0,63,2,0,34
5.0,3,2,2,6,9,36.8,10,0.615,36.0,1.009,0.207,49.1,21,7.73,440.63,63.909,57.487,30,0,11,1.121,0.661,0.0,57,0,0,58,0,0,28
5.0,3,2,2,6,9,36.5,10,0.605,38.0,1.004,0.219,50.8,23,7.44,468.69,70.74,63.254,32,0,13,1.123,0.654,0.0,63,0,0,64,0,0,32
7.569,3,1,1,0,3,33.3,4,0.565,28.0,0.997,0.228,56.1,19,6.536,372.58,64.61,56.851,25,0,15,1.134,0.616,0.0,57,0,0,57,0,0,32
5.0,4,0,0,0,4,35.8,6,0.561,34.0,0.991,0.176,56.7,24,6.069,406.62,75.936,66.425,30,0,18,1.133,0.608,0.0,67,0,0,68,0,0,38
5.0,3,2,2,6,9,36.8,10,0.615,36.0,1.009,0.207,49.1,21,7.73,440.63,63.909,57.487,30,0,11,1.121,0.661,0.0,57,0,0,58,0,0,28
5.0,4,0,0,0,4,35.7,6,0.559,35.0,0.99,0.169,57.1,25,6.009,420.65,79.351,69.309,31,0,19,1.134,0.607,0.0,70,0,0,71,0,0,40
5.509,3,0,1,6,9,38.3,11,0.597,36.0,1.002,0.164,51.7,23,7.05,422.99,67.634,60.098,30,1,12,1.127,0.639,0.0,60,0,0,61,0,0,31
5.0,2,1,1,6,8,36.5,9,0.589,36.0,1.004,0.203,52.4,23,6.994,440.63,71.365,63.247,31,0,14,1.133,0.632,0.0,63,0,0,64,0,1,33
7.284,3,1,1,0,3,33.3,4,0.565,28.0,0.997,0.228,56.1,19,6.536,372.58,64.61,56.851,25,0,15,1.134,0.616,0.0,57,0,0,57,0,0,32
6.699,3,1,1,0,3,33.3,4,0.565,28.0,0.997,0.228,56.1,19,6.536,372.58,64.61,56.851,25,0,15,1.134,0.616,0.0,57,0,0,57,0,0,32
6.215,3,2,2,0,3,32.7,4,0.579,28.0,1.001,0.236,54.5,18,7.102,390.62,62.115,55.043,25,0,14,1.129,0.636,0.0,55,0,0,55,0,0,30
5.469,3,0,1,0,3,35.5,5,0.567,31.0,0.993,0.175,56.5,22,6.436,399.02,70.255,61.538,28,1,17,1.133,0.619,0.0,62,0,0,63,0,0,35
5.921,3,1,1,0,3,32.7,4,0.571,28.0,1.005,0.236,54.5,18,6.81,374.55,62.404,55.294,25,0,14,1.135,0.614,0.0,55,0,0,55,0,0,30
5.0,3,3,3,6,9,36.7,10,0.617,37.0,1.002,0.213,50.0,22,7.845,470.73,67.035,60.12,31,0,12,1.117,0.677,0.0,60,0,0,61,0,0,30
5.292,3,0,0,0,3,35.5,5,0.554,30.0,0.987,0.175,58.1,22,5.88,364.58,70.311,61.214,27,0,17,1.134,0.605,0.0,62,0,0,63,0,0,36
5.0,3,0,0,6,9,39.1,10,0.586,38.0,0.995,0.152,53.1,25,6.478,414.59,72.105,63.658,32,0,15,1.127,0.628,0.0,64,0,0,66,0,0,34
5.0,4,0,0,0,4,36.1,6,0.566,32.0,0.994,0.177,55.7,22,6.206,378.56,69.105,60.658,28,0,16,1.133,0.61,0.0,61,0,0,62,0,0,34
5.585,3,2,2,6,9,37.7,10,0.619,34.0,1.005,0.204,49.1,20,7.747,410.6,59.285,53.276,28,0,10,1.119,0.669,0.0,53,0,0,54,0,0,26
5.0,3,2,2,6,9,36.5,10,0.605,38.0,1.004,0.219,50.8,23,7.44,468.69,70.74,63.254,32,0,13,1.123,0.654,0.0,63,0,0,64,0,0,32
7.301,3,2,2,0,3,32.7,4,0.579,28.0,1.001,0.236,54.5,18,7.102,390.62,62.115,55.043,25,0,14,1.129,0.636,0.0,55,0,0,55,0,0,30
5.0,3,0,0,0,3,34.8,4,0.554,32.0,0.991,0.194,57.6,23,5.979,394.61,74.936,65.425,29,0,19,1.135,0.602,0.0,66,0,0,67,0,0,38
7.745,4,0,0,0,4,35.1,6,0.561,29.0,0.996,0.211,56.1,20,6.185,352.52,64.69,56.774,25,0,14,1.135,0.604,0.0,57,0,0,57,0,0,32
7.959,3,1,1,0,3,33.3,4,0.559,30.0,0.994,0.222,57.1,21,6.359,400.64,71.441,62.618,27,0,17,1.134,0.613,0.0,63,0,0,63,0,0,36
