pXC50,RBN,RBF,nH,MW,C.,SCBO,nC,Sp,nBO,Sv,nSK,N.,Se,Si,nBT,nAT,Mp,nCsp2,nF,Mv,nAB,nN,nBM,H.,Mi,nHet,AMW,nX
6.721,6,0.082,35,462.67,40.6,47.0,28,44.597,38,41.612,34,5.8,68.385,78.186,73,69,0.646,15,1,0.603,16,4,17,50.7,1.133,6,6.705,1
5.0,7,0.092,33,507.68,45.1,55.0,32,47.802,43,45.111,38,4.2,70.541,79.351,76,71,0.673,22,0,0.635,18,3,21,46.5,1.118,6,7.15,0
5.585,2,0.038,25,336.49,44.0,36.0,22,33.086,28,30.748,25,4.0,49.32,56.319,53,50,0.662,14,1,0.615,16,2,16,50.0,1.126,3,6.73,1
6.0,3,0.045,24,503.56,47.5,54.0,29,41.875,42,40.965,37,4.9,62.101,68.915,66,61,0.686,22,3,0.672,18,3,21,39.3,1.13,8,8.255,3
6.678,5,0.085,30,350.55,41.1,35.0,23,36.126,29,33.133,26,3.6,54.901,63.019,59,56,0.645,12,0,0.592,12,2,12,53.6,1.125,3,6.26,0
7.0,5,0.085,30,350.55,41.1,35.0,23,36.126,29,33.133,26,3.6,54.901,63.019,59,56,0.645,12,0,0.592,12,2,12,53.6,1.125,3,6.26,0
7.086,5,0.081,28,443.01,40.7,43.0,24,39.171,34,36.86,31,6.8,59.058,66.884,62,59,0.664,15,1,0.625,16,4,17,47.5,1.134,7,7.509,2
6.0,7,0.096,30,533.64,44.9,55.0,31,46.16,43,44.546,39,4.3,69.752,78.161,73,69,0.669,22,3,0.646,18,3,21,43.5,1.133,8,7.734,3
6.824,7,0.106,34,394.61,39.7,38.0,25,40.103,32,36.901,29,3.2,61.996,71.059,66,63,0.637,12,0,0.586,12,2,12,54.0,1.128,4,6.264,0
5.0,5,0.072,28,498.06,46.9,53.0,30,44.682,41,42.17,36,4.7,63.771,71.255,69,64,0.698,22,0,0.659,18,3,21,43.8,1.113,6,7.782,1
6.833,8,0.127,28,441.55,40.0,44.0,24,38.671,35,37.155,32,5.0,60.614,68.07,63,60,0.645,14,1,0.619,16,3,17,46.7,1.134,8,7.359,1
6.585,5,0.077,31,422.6,40.3,43.0,25,40.074,34,37.559,31,6.5,61.618,70.355,65,62,0.646,15,1,0.606,16,4,17,50.0,1.135,6,6.816,1
6.036,5,0.078,29,420.58,41.7,44.0,25,39.313,35,37.032,31,6.7,59.734,67.94,64,60,0.655,15,1,0.617,16,4,17,48.3,1.132,6,7.01,1
6.0,6,0.082,31,493.65,45.6,54.0,31,46.04,42,43.584,37,4.4,67.658,75.936,73,68,0.677,22,0,0.641,18,3,21,45.6,1.117,6,7.26,0
6.0,7,0.1,31,465.64,45.5,51.0,30,44.586,39,41.869,35,4.5,65.33,73.727,70,66,0.676,22,0,0.634,18,3,21,47.0,1.117,5,7.055,0
6.432,5,0.078,29,420.58,41.7,44.0,25,39.313,35,37.032,31,6.7,59.734,67.94,64,60,0.655,15,1,0.617,16,4,17,48.3,1.132,6,7.01,1
6.474,7,0.117,27,410.53,42.1,42.0,24,37.211,33,35.419,30,3.5,57.185,64.362,60,57,0.653,14,1,0.621,16,2,17,47.4,1.129,6,7.202,1
6.523,6,0.088,33,436.63,40.0,44.0,26,41.836,35,39.086,32,6.2,64.501,73.77,68,65,0.644,15,1,0.601,16,4,17,50.8,1.135,6,6.717,1
6.785,4,0.063,29,407.56,40.7,41.0,24,38.279,34,36.057,30,5.1,58.774,66.521,63,59,0.649,13,0,0.611,12,3,13,49.2,1.127,6,6.908,0
6.955,7,0.123,24,409.5,42.6,43.0,23,35.694,33,34.387,30,5.6,54.52,61.03,57,54,0.661,13,1,0.637,16,3,17,44.4,1.13,7,7.583,1
6.672,8,0.129,29,412.55,40.7,41.0,24,37.972,33,35.946,30,3.4,59.069,66.777,62,59,0.644,13,1,0.609,16,2,16,49.2,1.132,6,6.992,1
6.342,8,0.131,27,426.53,41.4,43.0,24,37.665,34,36.134,31,3.4,58.512,65.572,61,58,0.649,14,1,0.623,16,2,17,46.6,1.131,7,7.354,1
7.398,6,0.111,24,369.48,41.2,38.0,21,33.239,30,31.672,27,5.9,51.192,57.821,54,51,0.652,13,1,0.621,16,3,16,47.1,1.134,6,7.245,1
7.18,7,0.125,25,384.49,41.5,39.0,22,34.449,31,32.892,28,3.8,53.301,59.947,56,53,0.65,13,1,0.621,16,2,16,47.2,1.131,6,7.255,1
6.0,6,0.088,29,467.61,45.3,51.0,29,43.279,39,41.057,35,4.7,63.774,71.521,68,64,0.676,22,0,0.642,18,3,21,45.3,1.118,6,7.306,0
7.208,6,0.097,32,364.58,40.7,36.0,24,37.887,30,34.66,27,3.4,57.785,66.434,62,59,0.642,12,0,0.587,12,2,12,54.2,1.126,3,6.179,0
6.229,5,0.081,32,368.58,37.3,36.0,22,37.137,30,34.176,27,6.8,58.105,67.015,62,59,0.629,9,0,0.579,10,4,11,54.2,1.136,5,6.247,0
7.18,7,0.117,27,410.53,42.1,42.0,24,37.211,33,35.419,30,3.5,57.185,64.362,60,57,0.653,14,1,0.621,16,2,17,47.4,1.129,6,7.202,1
6.0,5,0.072,29,463.62,46.9,52.0,30,43.824,40,41.342,35,4.7,63.447,71.311,69,64,0.685,22,0,0.646,18,3,21,45.3,1.114,5,7.244,0
6.523,6,0.086,32,483.08,40.9,47.0,27,43.694,38,40.913,34,6.1,65.825,74.714,70,66,0.662,15,1,0.62,16,4,17,48.5,1.132,7,7.319,2
5.959,6,0.082,35,462.67,40.6,47.0,28,44.597,38,41.612,34,5.8,68.385,78.186,73,69,0.646,15,1,0.603,16,4,17,50.7,1.133,6,6.705,1
6.538,6,0.086,33,465.09,40.9,46.0,27,43.756,37,40.53,33,6.1,65.312,74.375,70,66,0.663,15,0,0.614,16,4,17,50.0,1.127,6,7.047,1
6.951,7,0.121,26,399.51,40.0,40.0,22,35.455,32,33.914,29,5.5,55.403,62.445,58,55,0.645,13,1,0.617,16,3,16,47.3,1.135,7,7.264,1
5.0,4,0.061,27,449.59,47.5,51.0,29,42.063,39,39.815,34,4.9,60.563,67.896,66,61,0.69,22,0,0.653,18,3,21,44.3,1.113,5,7.37,0
6.523,5,0.094,26,347.48,37.3,32.0,19,32.0,27,30.199,25,5.9,51.076,58.236,53,51,0.627,8,1,0.592,6,3,8,51.0,1.142,6,6.813,1
7.699,7,0.092,37,459.7,39.4,46.0,28,45.665,39,42.251,34,7.0,69.974,80.344,76,71,0.643,11,0,0.595,12,5,13,52.1,1.132,6,6.475,0
9.097,5,0.088,27,361.53,42.6,38.5,23,35.608,30,33.101,27,5.6,53.236,60.687,57,54,0.659,16,0,0.613,17,3,17,50.0,1.124,4,6.695,0
7.337,6,0.102,30,375.54,36.8,34.0,21,35.523,29,33.252,27,5.3,56.843,65.066,59,57,0.623,8,1,0.583,6,3,8,52.6,1.142,6,6.588,1
4.83,1,0.023,18,294.39,42.5,32.0,17,26.807,25,25.488,22,10.0,39.92,45.109,43,40,0.67,12,0,0.637,12,4,13,45.0,1.128,5,7.36,0
6.656,8,0.127,29,424.56,41.7,43.0,25,38.972,34,36.946,31,3.3,60.069,67.777,63,60,0.65,15,1,0.616,16,2,17,48.3,1.13,6,7.076,1
7.237,8,0.129,28,425.55,40.7,43.0,24,38.216,34,36.44,31,5.1,59.287,66.86,62,59,0.648,14,1,0.618,16,3,17,47.5,1.133,7,7.213,1
5.495,7,0.108,33,395.6,38.7,38.0,24,39.347,32,36.396,29,4.8,61.214,70.142,65,62,0.635,12,0,0.587,12,3,12,53.2,1.131,5,6.381,0
6.559,5,0.088,28,348.53,42.6,36.0,23,35.364,29,32.606,26,3.7,53.018,60.604,57,54,0.655,14,0,0.604,12,2,13,51.9,1.122,3,6.454,0
6.398,8,0.148,28,349.5,35.8,31.0,19,32.762,26,30.726,25,5.7,52.96,60.651,54,53,0.618,8,1,0.58,6,3,8,52.8,1.144,6,6.594,1
7.0,5,0.083,30,362.56,42.1,37.0,24,37.126,30,34.133,27,3.5,55.901,64.019,60,57,0.651,14,0,0.599,12,2,13,52.6,1.123,3,6.361,0
9.155,6,0.094,32,401.58,37.7,37.0,23,38.285,32,35.779,29,4.9,60.727,69.481,64,61,0.628,8,1,0.587,6,3,8,52.5,1.139,6,6.583,1
5.92,1,0.023,17,328.83,42.5,33.0,17,27.665,26,26.316,23,10.0,40.243,45.053,43,40,0.692,12,0,0.658,12,4,13,42.5,1.126,6,8.221,1
5.0,4,0.061,26,484.03,47.5,52.0,29,42.921,40,40.643,35,4.9,60.887,67.84,66,61,0.704,22,0,0.666,18,3,21,42.6,1.112,6,7.935,1
5.0,2,0.049,21,243.38,41.0,24.0,16,25.074,20,23.004,18,2.6,38.265,43.86,41,39,0.643,8,0,0.59,6,1,7,53.8,1.125,2,6.241,0
7.42,7,0.106,34,394.61,39.7,38.0,25,40.103,32,36.901,29,3.2,61.996,71.059,66,63,0.637,12,0,0.586,12,2,12,54.0,1.128,4,6.264,0
7.041,6,0.097,32,364.58,40.7,36.0,24,37.887,30,34.66,27,3.4,57.785,66.434,62,59,0.642,12,0,0.587,12,2,12,54.2,1.126,3,6.179,0
5.638,8,0.118,35,409.63,38.5,39.0,25,41.108,33,37.923,30,4.6,64.098,73.557,68,65,0.632,12,0,0.583,12,3,12,53.8,1.132,5,6.302,0
6.0,5,0.078,27,437.58,46.7,49.0,28,41.063,37,38.815,33,5.0,59.563,66.896,64,60,0.684,22,0,0.647,18,3,21,45.0,1.115,5,7.293,0
6.215,6,0.097,32,364.58,40.7,36.0,24,37.887,30,34.66,27,3.4,57.785,66.434,62,59,0.642,12,0,0.587,12,2,12,54.2,1.126,3,6.179,0
6.807,8,0.108,33,495.67,44.3,53.0,31,46.802,41,44.111,37,4.3,69.541,78.351,74,70,0.669,22,0,0.63,18,3,21,47.1,1.119,6,7.081,0
6.056,6,0.097,32,364.58,40.7,36.0,24,37.887,30,34.66,27,3.4,57.785,66.434,62,59,0.642,12,0,0.587,12,2,12,54.2,1.126,3,6.179,0
6.519,6,0.1,30,362.56,42.1,37.0,24,37.126,30,34.133,27,3.5,55.901,64.019,60,57,0.651,14,0,0.599,12,2,13,52.6,1.123,3,6.361,0
5.0,4,0.061,26,467.58,47.5,52.0,29,42.0,40,40.199,35,4.9,61.076,68.236,66,61,0.689,22,1,0.659,18,3,21,42.6,1.119,6,7.665,1
6.0,5,0.075,26,505.58,46.0,53.0,29,42.637,41,41.492,37,4.8,63.985,71.33,67,63,0.677,22,3,0.659,18,3,21,41.3,1.132,8,8.025,3
5.0,3,0.048,25,435.56,48.3,50.0,28,40.301,38,38.289,33,5.2,57.68,64.481,63,58,0.695,22,0,0.66,18,3,21,43.1,1.112,5,7.51,0
5.0,3,0.048,24,470.0,48.3,51.0,28,41.159,39,39.116,34,5.2,58.003,64.425,63,58,0.71,22,0,0.674,18,3,21,41.4,1.111,6,8.103,1
6.056,6,0.098,31,365.57,39.7,36.0,23,37.131,30,34.154,27,5.2,57.003,65.517,61,58,0.64,11,0,0.589,12,3,12,53.4,1.13,4,6.303,0
6.187,7,0.108,33,395.6,38.7,38.0,24,39.347,32,36.396,29,4.8,61.214,70.142,65,62,0.635,12,0,0.587,12,3,12,53.2,1.131,5,6.381,0
6.222,6,0.098,31,365.57,39.7,36.0,23,37.131,30,34.154,27,5.2,57.003,65.517,61,58,0.64,11,0,0.589,12,3,12,53.4,1.13,4,6.303,0
7.886,8,0.129,32,389.57,36.7,35.0,22,37.285,30,34.779,28,5.0,59.727,68.481,62,60,0.621,8,1,0.58,6,3,8,53.3,1.141,6,6.493,1
5.721,8,0.118,35,409.63,38.5,39.0,25,41.108,33,37.923,30,4.6,64.098,73.557,68,65,0.632,12,0,0.583,12,3,12,53.8,1.132,5,6.302,0
6.658,5,0.1,24,333.45,37.5,31.0,18,30.239,26,28.672,24,6.3,48.192,54.821,50,48,0.63,8,1,0.597,6,3,8,50.0,1.142,6,6.947,1
5.771,7,0.092,37,459.7,39.4,46.0,28,45.665,39,42.251,34,7.0,69.974,80.344,76,71,0.643,11,0,0.595,12,5,13,52.1,1.132,6,6.475,0
6.0,7,0.14,25,311.46,41.7,31.0,20,31.052,25,28.773,23,2.1,47.36,53.9,50,48,0.647,12,0,0.599,12,1,12,52.1,1.123,3,6.489,0
6.638,7,0.121,30,363.53,35.7,32.0,20,34.523,28,32.252,26,5.4,55.843,64.066,58,56,0.616,7,1,0.576,6,3,7,53.6,1.144,6,6.492,1
6.562,4,0.063,29,407.56,40.7,41.0,24,38.279,34,36.057,30,5.1,58.774,66.521,63,59,0.649,13,0,0.611,12,3,13,49.2,1.127,6,6.908,0
4.96,1,0.023,18,294.39,42.5,32.0,17,26.807,25,25.488,22,10.0,39.92,45.109,43,40,0.67,12,0,0.637,12,4,13,45.0,1.128,5,7.36,0
6.44,1,0.023,17,328.83,42.5,33.0,17,27.665,26,26.316,23,10.0,40.243,45.053,43,40,0.692,12,0,0.658,12,4,13,42.5,1.126,6,8.221,1
7.883,7,0.117,23,450.5,44.6,48.0,25,37.597,37,36.795,33,3.6,57.072,62.951,60,56,0.671,17,1,0.657,16,2,19,41.1,1.124,8,8.045,1
6.886,7,0.119,30,375.54,36.8,34.0,21,35.523,29,33.252,27,5.3,56.843,65.066,59,57,0.623,8,1,0.583,6,3,8,52.6,1.142,6,6.588,1
7.318,8,0.123,27,466.55,42.6,48.0,26,40.12,38,38.848,34,3.3,61.84,68.781,65,61,0.658,16,1,0.637,16,2,18,44.3,1.128,8,7.648,1
6.425,0,0.0,15,221.36,36.7,20.5,11,20.233,17,18.412,15,10.0,29.683,33.906,32,30,0.674,5,0,0.614,5,3,6,50.0,1.13,4,7.379,0
5.649,2,0.053,19,249.42,36.1,22.5,13,23.756,19,21.466,17,8.3,35.451,40.737,38,36,0.66,5,0,0.596,5,3,6,52.8,1.132,4,6.928,0
6.066,2,0.053,19,249.42,36.1,22.5,13,23.756,19,21.466,17,8.3,35.451,40.737,38,36,0.66,5,0,0.596,5,3,6,52.8,1.132,4,6.928,0
5.64,1,0.023,18,310.46,42.5,32.0,17,28.0,25,25.96,22,10.0,39.669,44.82,43,40,0.7,12,0,0.649,12,4,13,45.0,1.12,5,7.761,0
6.658,5,0.106,27,261.45,37.0,23.0,17,28.358,20,25.585,19,2.2,44.916,52.105,47,46,0.616,6,0,0.556,6,1,6,58.7,1.133,2,5.684,0
7.846,7,0.113,25,452.52,43.1,47.0,25,38.358,37,37.322,33,3.4,58.956,65.366,62,58,0.661,16,1,0.643,16,2,18,43.1,1.127,8,7.802,1
5.91,1,0.022,20,308.42,41.9,33.0,18,28.569,26,27.015,23,9.3,42.803,48.524,46,43,0.664,12,0,0.628,12,4,13,46.5,1.128,5,7.173,0
6.777,5,0.083,30,366.56,38.6,36.5,22,36.376,30,33.649,27,7.0,56.221,64.6,60,57,0.638,11,0,0.59,11,4,12,52.6,1.133,5,6.431,0
6.0,5,0.086,27,377.54,40.0,39.5,22,35.858,31,33.617,28,9.1,54.556,62.268,58,55,0.652,11,0,0.611,11,5,13,49.1,1.132,6,6.864,0
9.347,7,0.096,38,438.68,37.1,41.5,26,43.876,35,40.471,32,5.7,69.083,79.47,73,70,0.627,11,0,0.578,11,4,12,54.3,1.135,6,6.267,0
7.27,6,0.103,28,368.53,38.2,36.5,21,35.069,30,32.837,27,7.3,54.665,62.394,58,55,0.638,11,0,0.597,11,4,12,50.9,1.134,6,6.701,0
8.155,6,0.09,34,410.62,37.5,39.5,24,40.353,33,37.417,30,6.3,63.316,72.64,67,64,0.631,11,0,0.585,11,4,12,53.1,1.135,6,6.416,0
7.097,7,0.101,32,444.63,41.5,46.5,27,42.591,37,39.89,33,6.2,64.432,73.225,69,65,0.655,17,0,0.614,17,4,18,49.2,1.127,6,6.84,0
5.949,2,0.036,26,354.49,40.4,36.0,21,33.512,30,31.509,26,3.8,51.789,58.607,56,52,0.644,9,0,0.606,10,2,11,50.0,1.127,5,6.817,0
8.638,6,0.083,38,422.68,37.7,40.5,26,43.421,34,39.756,31,5.8,67.756,78.261,72,69,0.629,11,0,0.576,11,4,12,55.1,1.134,5,6.126,0
6.0,5,0.086,28,368.53,38.2,36.5,21,35.069,30,32.837,27,7.3,54.665,62.394,58,55,0.638,11,0,0.597,11,4,12,50.9,1.134,6,6.701,0
8.022,6,0.094,32,396.59,37.7,38.5,23,38.591,32,35.89,29,6.6,60.432,69.225,64,61,0.633,11,0,0.588,11,4,12,52.5,1.135,6,6.501,0
7.097,5,0.088,27,386.97,38.9,36.5,21,35.472,30,32.95,27,7.4,53.661,61.129,57,54,0.657,11,0,0.61,11,4,12,50.0,1.132,6,7.166,1
5.409,4,0.077,26,351.92,36.0,30.0,18,31.921,26,29.643,24,6.0,49.887,56.84,52,50,0.638,7,0,0.593,6,3,7,52.0,1.137,6,7.038,1
8.959,8,0.11,38,438.68,37.1,41.5,26,43.876,35,40.471,32,5.7,69.083,79.47,73,70,0.627,11,0,0.578,11,4,12,54.3,1.135,6,6.267,0
6.0,6,0.098,30,382.56,37.9,37.5,22,36.83,31,34.364,28,6.9,57.549,65.81,61,58,0.635,11,0,0.592,11,4,12,51.7,1.135,6,6.596,0
7.184,5,0.083,27,420.53,38.6,39.5,22,36.188,33,34.799,30,7.0,57.759,65.619,60,57,0.635,11,3,0.611,11,4,12,47.4,1.151,8,7.378,3
7.0,6,0.102,27,397.53,37.5,40.5,21,35.767,32,34.046,29,8.9,56.211,63.687,59,56,0.639,11,0,0.608,11,5,14,48.2,1.137,8,7.099,0
7.648,6,0.095,32,380.59,38.3,37.5,23,38.137,31,35.176,28,6.7,59.105,68.015,63,60,0.636,11,0,0.586,11,4,12,53.3,1.134,5,6.343,0
7.453,5,0.083,29,401.0,38.6,37.5,22,37.233,31,34.476,28,7.0,56.545,64.544,60,57,0.653,11,0,0.605,11,4,12,50.9,1.132,6,7.035,1
7.26,6,0.098,30,382.56,37.9,37.5,22,36.83,31,34.364,28,6.9,57.549,65.81,61,58,0.635,11,0,0.592,11,4,12,51.7,1.135,6,6.596,0
7.78,6,0.098,25,436.52,43.9,46.0,25,37.904,36,36.607,32,3.5,57.629,64.156,61,57,0.665,16,1,0.642,16,2,18,43.9,1.126,7,7.658,1
6.301,0,0.0,16,285.79,47.2,29.0,17,25.409,23,23.778,20,2.8,35.822,39.973,39,36,0.706,12,0,0.661,12,1,12,44.4,1.11,3,7.939,1
5.0,5,0.1,23,469.24,41.7,33.0,20,33.756,27,30.823,25,2.1,47.818,53.583,50,48,0.703,12,0,0.642,12,1,12,47.9,1.116,5,9.776,2
5.0,3,0.068,19,441.18,42.9,31.0,18,30.233,25,27.769,23,2.4,42.051,46.752,44,42,0.72,12,0,0.661,12,1,12,45.2,1.113,5,10.504,2
5.0,1,0.023,19,281.38,45.0,30.0,18,26.767,24,25.192,21,2.5,39.709,44.654,43,40,0.669,12,0,0.63,12,1,12,47.5,1.116,3,7.034,0
7.0,7,0.117,27,464.5,40.4,40.0,23,39.733,33,36.469,30,5.3,56.843,63.91,60,57,0.697,13,0,0.64,12,3,13,47.4,1.121,7,8.149,2
5.682,1,0.023,19,281.38,45.0,30.0,18,26.767,24,25.192,21,2.5,39.709,44.654,43,40,0.669,12,0,0.63,12,1,12,47.5,1.116,3,7.034,0
7.0,7,0.109,30,458.71,37.7,41.5,23,41.125,34,37.738,31,6.6,60.701,68.65,64,61,0.674,12,0,0.619,11,4,13,49.2,1.125,8,7.52,0
5.03,1,0.023,19,281.38,45.0,30.0,18,26.767,24,25.192,21,2.5,39.709,44.654,43,40,0.669,12,0,0.63,12,1,12,47.5,1.116,3,7.034,0
5.589,0,0.0,16,330.24,47.2,29.0,17,25.904,23,23.976,20,2.8,35.727,39.871,39,36,0.72,12,0,0.666,12,1,12,44.4,1.108,3,9.173,1
5.0,3,0.065,23,305.49,36.4,27.0,16,28.733,23,26.234,21,6.8,43.545,49.776,46,44,0.653,7,0,0.596,6,3,7,52.3,1.131,5,6.943,0
5.07,2,0.043,21,295.41,44.2,31.0,19,28.529,25,26.719,22,2.3,42.592,48.069,46,43,0.663,12,0,0.621,12,1,12,48.8,1.118,3,6.87,0
7.55,6,0.092,33,395.6,38.7,38.5,24,39.347,32,36.396,29,4.8,61.214,70.142,65,62,0.635,11,0,0.587,11,3,12,53.2,1.131,5,6.381,0
5.0,2,0.043,21,295.41,44.2,31.0,19,28.529,25,26.719,22,2.3,42.592,48.069,46,43,0.663,12,0,0.621,12,1,12,48.8,1.118,3,6.87,0
6.565,0,0.0,17,267.35,45.9,29.0,17,25.006,23,23.665,20,2.7,36.825,41.239,40,37,0.676,12,0,0.64,12,1,12,45.9,1.115,3,7.226,0
6.081,1,0.024,19,265.38,46.2,29.0,18,26.313,23,24.477,20,2.6,38.382,43.445,42,39,0.675,12,0,0.628,12,1,12,48.7,1.114,2,6.805,0
5.0,4,0.085,21,455.21,42.2,32.0,19,31.995,26,29.296,24,2.2,44.934,50.168,47,45,0.711,12,0,0.651,12,1,12,46.7,1.115,5,10.116,2
6.142,0,0.0,17,267.35,45.9,29.0,17,25.006,23,23.665,20,2.7,36.825,41.239,40,37,0.676,12,0,0.64,12,1,12,45.9,1.115,3,7.226,0
8.854,6,0.087,36,408.65,37.9,39.5,25,41.66,33,38.229,30,6.1,64.872,74.846,69,66,0.631,11,0,0.579,11,4,12,54.5,1.134,5,6.192,0
7.144,6,0.111,24,385.55,41.2,38.0,21,34.432,30,32.144,27,5.9,50.941,57.531,54,51,0.675,13,1,0.63,16,3,16,47.1,1.128,6,7.56,1
7.65,7,0.175,23,237.38,35.0,20.0,14,24.29,17,22.246,17,2.5,39.476,45.484,40,40,0.607,6,0,0.556,6,1,6,57.5,1.137,3,5.934,0
6.821,2,0.048,22,246.4,35.0,23.0,14,24.875,20,22.827,18,10.0,39.36,45.73,42,40,0.622,4,0,0.571,6,4,6,55.0,1.143,4,6.16,0
6.348,0,0.0,16,330.24,47.2,29.0,17,25.904,23,23.976,20,2.8,35.727,39.871,39,36,0.72,12,0,0.666,12,1,12,44.4,1.108,3,9.173,1
6.0,6,0.12,23,366.89,35.4,32.0,17,30.858,27,29.326,25,8.3,48.549,54.717,50,48,0.643,7,0,0.611,6,4,8,47.9,1.14,8,7.644,1
6.0,0,0.0,15,409.13,47.2,30.0,17,27.256,24,25.001,21,2.8,35.956,39.713,39,36,0.757,12,0,0.694,12,1,12,41.7,1.103,4,11.365,2
6.179,0,0.0,16,330.24,47.2,29.0,17,25.904,23,23.976,20,2.8,35.727,39.871,39,36,0.72,12,0,0.666,12,1,12,44.4,1.108,3,9.173,1
6.0,6,0.098,32,372.57,35.6,34.0,21,36.591,29,33.89,27,6.8,58.432,67.225,61,59,0.62,7,0,0.574,6,4,8,54.2,1.139,6,6.315,0
6.0,8,0.125,32,416.58,35.5,38.0,22,38.5,32,36.32,30,6.5,62.087,70.644,64,62,0.621,8,0,0.586,6,4,9,51.6,1.139,8,6.719,0
6.699,5,0.093,23,436.44,41.2,38.0,21,36.211,31,33.416,28,5.9,51.076,57.08,54,51,0.71,13,0,0.655,12,3,13,45.1,1.119,7,8.558,2
6.07,1,0.023,18,360.27,45.0,31.0,18,28.12,25,26.217,22,2.5,39.938,44.496,43,40,0.703,12,0,0.655,12,1,12,45.0,1.112,4,9.007,1
7.215,5,0.096,27,354.93,33.3,29.0,17,31.927,25,29.664,24,7.8,50.989,58.338,52,51,0.626,7,0,0.582,6,4,7,52.9,1.144,7,6.959,1
6.963,7,0.101,34,434.64,39.4,43.0,26,42.353,35,39.417,32,6.1,65.316,74.64,69,66,0.642,13,0,0.597,12,4,14,51.5,1.131,6,6.585,0
6.0,3,0.065,23,326.87,33.3,27.0,15,28.404,23,26.611,22,8.9,45.222,51.508,46,45,0.631,7,0,0.591,6,4,7,51.1,1.145,7,7.264,1
6.0,7,0.113,30,418.62,35.6,37.0,21,37.932,32,35.266,29,6.8,58.952,66.939,62,59,0.643,7,0,0.598,6,4,8,50.8,1.135,8,7.095,0
7.0,7,0.117,27,464.5,40.4,40.0,23,39.733,33,36.469,30,5.3,56.843,63.91,60,57,0.697,13,0,0.64,12,3,13,47.4,1.121,7,8.149,2
6.86,8,0.125,30,446.63,36.1,40.0,22,39.387,34,36.98,31,6.6,61.28,69.148,64,61,0.646,8,0,0.606,6,4,9,49.2,1.134,9,7.322,0
6.0,6,0.125,21,359.5,37.0,34.0,17,30.676,27,28.938,25,10.9,46.309,52.152,48,46,0.667,7,0,0.629,6,5,9,45.7,1.134,8,7.815,0
6.848,7,0.104,35,393.63,39.1,38.0,25,40.654,32,37.208,29,4.7,62.77,72.348,67,64,0.635,12,0,0.581,12,3,12,54.7,1.13,4,6.15,0
6.0,7,0.135,23,377.45,34.0,36.0,17,31.154,29,30.422,27,10.0,51.098,57.275,52,50,0.623,7,0,0.608,6,5,10,46.0,1.146,10,7.549,0
6.453,3,0.061,23,325.52,41.3,32.5,19,31.279,26,28.519,23,6.5,45.218,51.567,49,46,0.68,11,0,0.62,11,3,12,50.0,1.121,4,7.077,0
9.398,3,0.056,26,338.5,39.2,35.0,20,32.853,28,30.595,25,7.8,50.454,57.77,54,51,0.644,11,0,0.6,10,4,12,51.0,1.133,5,6.637,0
6.222,3,0.058,25,319.49,42.9,34.0,21,32.393,27,29.859,24,6.1,48.025,55.062,52,49,0.661,13,0,0.609,12,3,13,51.0,1.124,3,6.52,0
6.201,6,0.098,30,402.62,36.2,36.0,21,37.478,31,34.551,28,6.9,57.625,65.73,61,58,0.646,7,0,0.596,6,4,8,51.7,1.133,7,6.942,0
6.0,0,0.0,16,330.24,47.2,29.0,17,25.904,23,23.976,20,2.8,35.727,39.871,39,36,0.72,12,0,0.666,12,1,12,44.4,1.108,3,9.173,1
6.742,6,0.109,29,368.96,33.3,30.0,18,33.688,26,31.191,25,7.4,53.872,61.754,55,54,0.624,7,0,0.578,6,4,7,53.7,1.144,7,6.833,1
5.91,1,0.023,19,281.38,45.0,30.0,18,26.767,24,25.192,21,2.5,39.709,44.654,43,40,0.669,12,0,0.63,12,1,12,47.5,1.116,3,7.034,0
5.649,0,0.0,17,251.35,47.2,28.0,17,24.551,22,22.951,19,2.8,35.498,40.029,39,36,0.682,12,0,0.638,12,1,12,47.2,1.112,2,6.982,0
4.853,1,0.021,19,325.39,44.2,34.0,19,28.676,28,27.622,24,2.3,43.363,48.073,47,43,0.667,12,0,0.642,12,1,12,44.2,1.118,5,7.567,0
6.215,7,0.097,34,466.65,36.8,45.5,25,43.057,38,40.648,34,8.8,67.963,77.431,72,68,0.633,9,0,0.598,11,6,13,50.0,1.139,9,6.862,0
6.322,6,0.091,34,398.61,36.5,37.0,23,39.353,32,36.417,29,6.3,62.316,71.64,66,63,0.625,7,0,0.578,6,4,8,54.0,1.137,6,6.327,0
5.15,3,0.068,20,362.29,42.9,30.0,18,28.881,24,26.744,22,2.4,41.822,46.911,44,42,0.688,12,0,0.637,12,1,12,47.6,1.117,4,8.626,1
7.0,5,0.091,26,366.57,42.3,36.0,22,35.25,29,32.266,26,3.8,51.211,58.108,55,52,0.678,13,0,0.621,12,2,13,50.0,1.117,4,7.049,0
6.0,7,0.113,32,388.57,35.0,35.0,21,37.046,30,34.605,28,6.7,59.76,68.434,62,60,0.617,7,0,0.577,6,4,8,53.3,1.141,7,6.476,0
6.369,8,0.123,31,445.65,35.5,40.0,22,39.938,34,37.287,31,8.1,62.054,70.437,65,62,0.644,8,0,0.601,6,5,9,50.0,1.136,9,7.188,0
6.0,6,0.128,22,334.49,35.6,30.0,16,29.432,25,27.444,23,8.9,45.091,51.069,47,45,0.654,7,0,0.61,6,4,8,48.9,1.135,7,7.433,0
