pXC50,nN,nDB,O.,Sv,nSK,Se,Sp,nBO,Si,nBT,nAT,MW,Mi,nC,SCBO,nBM,N.
4.99,1,1,4.1,29.773,24,48.36,32.052,26,54.9,51,49,323.47,1.12,21,33.0,13,2.0
4.85,2,1,3.9,30.794,25,50.461,33.057,27,57.398,53,51,338.49,1.125,21,34.0,13,3.9
6.143,2,0,0.0,27.665,22,44.247,30.245,24,50.508,47,45,314.89,1.122,19,30.0,12,4.4
4.0,6,2,6.7,36.782,32,60.64,38.228,34,68.395,62,60,440.56,1.14,22,44.0,18,10.0
7.46,3,0,1.9,33.288,27,53.312,36.256,30,60.607,57,54,381.59,1.122,22,38.0,16,5.6
7.34,7,3,5.6,43.384,37,72.392,45.517,39,82.139,74,72,509.68,1.141,26,50.0,16,9.7
7.31,6,2,4.2,43.175,36,71.847,45.819,38,81.846,74,72,492.69,1.137,27,48.0,15,8.3
5.321,6,0,0.0,28.923,23,50.33,31.41,24,58.557,52,51,316.51,1.148,17,29.5,11,11.8
4.5,5,0,3.0,20.643,18,33.331,21.938,19,37.697,34,33,265.38,1.142,11,24.5,11,15.2
4.3,3,1,6.3,18.181,15,32.145,19.256,15,36.82,32,32,211.3,1.151,10,18.5,6,9.4
5.0,5,0,0.0,24.095,21,37.134,25.455,23,41.927,39,37,301.81,1.133,15,31.0,16,13.5
3.6,2,1,5.4,24.004,20,36.996,26.671,21,41.458,38,37,384.24,1.12,15,27.5,12,5.4
7.5,4,1,0.0,23.3,19,38.476,25.114,20,44.315,40,39,256.39,1.136,15,26.5,12,10.3
5.89,4,0,2.9,21.148,18,34.113,22.693,19,38.614,35,34,264.39,1.136,12,24.5,11,11.8
7.32,3,1,3.8,30.342,24,52.447,32.824,26,60.311,55,53,331.51,1.138,19,30.0,7,5.7
5.09,4,1,5.6,22.863,20,36.44,24.148,21,40.823,37,36,292.4,1.134,13,27.5,12,11.1
5.6,2,0,3.4,19.235,16,28.902,21.693,17,32.418,30,29,328.17,1.118,12,22.5,11,6.9
6.5,8,2,0.0,23.939,22,36.542,24.978,23,41.152,37,36,314.42,1.143,13,32.5,14,22.2
6.265,5,2,3.3,17.456,15,30.254,18.29,15,34.777,30,30,209.29,1.159,9,19.5,7,16.7
5.155,1,1,0.0,25.289,20,39.938,27.62,22,45.65,43,41,263.41,1.113,19,29.0,13,2.4
5.19,5,2,2.2,27.563,23,45.789,29.336,24,52.438,47,46,313.45,1.14,17,31.5,13,10.9
5.0,4,0,2.8,23.789,21,36.36,24.904,23,40.638,38,36,302.79,1.129,15,31.0,16,11.1
7.59,10,4,5.7,53.217,46,88.792,55.512,49,100.673,91,88,634.83,1.144,31,63.0,21,11.4
7.96,9,3,4.6,52.007,44,87.247,54.813,47,99.381,90,87,605.83,1.142,31,60.0,20,10.3
5.47,2,0,0.0,38.052,28,65.992,42.478,29,76.885,69,68,380.68,1.131,26,35.0,12,2.9
4.35,6,6,7.4,60.614,53,95.807,62.921,58,106.929,100,95,718.88,1.126,40,75.0,25,6.3
7.49,9,3,4.9,48.954,42,81.479,51.29,45,92.55,84,81,577.77,1.143,29,58.0,20,11.1
7.41,2,2,7.5,30.75,25,53.0,32.728,26,60.232,54,53,348.49,1.136,19,31.0,8,3.8
6.56,5,2,2.8,20.509,17,36.022,21.813,17,41.607,36,36,237.35,1.156,11,21.5,7,13.9
5.98,5,2,2.0,31.563,27,49.789,33.336,29,56.438,52,50,361.49,1.129,21,39.5,19,10.0
7.26,5,2,1.9,33.473,29,53.185,35.035,31,60.193,55,53,393.51,1.136,22,41.5,19,9.4
7.01,7,2,2.0,31.846,29,51.134,32.461,31,57.699,52,50,401.47,1.154,19,41.0,18,14.0
5.44,5,2,2.3,26.036,22,42.905,27.574,23,49.023,44,43,299.42,1.14,16,30.5,13,11.6
6.78,5,2,2.3,26.036,22,42.905,27.574,23,49.023,44,43,299.42,1.14,16,30.5,13,11.6
7.55,5,2,1.9,33.09,28,52.672,35.097,30,59.853,55,53,375.52,1.129,22,40.5,19,9.4
6.74,5,2,2.8,20.509,17,36.022,21.813,17,41.607,36,36,237.35,1.156,11,21.5,7,13.9
7.41,6,2,2.4,25.718,22,42.2,27.466,23,48.026,43,42,320.47,1.143,14,30.0,12,14.3
6.51,5,2,1.9,34.745,30,53.32,36.813,32,59.741,55,53,444.4,1.127,22,42.5,19,9.4
6.11,5,2,1.9,35.14,30,53.131,37.802,32,59.536,55,53,533.3,1.123,22,42.5,19,9.4
7.29,6,2,1.9,32.584,28,51.891,34.341,30,58.936,54,52,376.51,1.133,21,40.5,19,11.5
7.47,6,2,1.9,32.968,29,52.403,34.279,31,59.276,54,52,394.5,1.14,21,41.5,19,11.5
7.637,6,2,2.0,31.245,27,49.083,33.228,29,55.441,51,49,382.54,1.131,19,39.0,18,12.2
6.74,6,2,2.3,27.531,24,44.123,28.819,26,50.106,46,44,324.43,1.139,17,35.5,17,13.6
5.45,7,3,3.7,33.321,29,54.32,34.802,31,61.644,56,54,395.52,1.142,20,41.5,18,13.0
6.31,7,3,3.7,33.321,29,54.32,34.802,31,61.644,56,54,395.52,1.142,20,41.5,18,13.0
6.49,5,2,3.0,18.983,16,33.138,20.051,16,38.192,33,33,223.32,1.157,10,20.5,7,15.2
6.74,7,2,2.5,49.481,42,78.621,52.37,46,89.135,83,79,563.77,1.128,33,61.0,25,8.9
5.0,6,6,6.9,63.668,55,101.574,66.444,60,113.76,106,101,746.94,1.126,42,77.0,25,5.9
7.861,5,2,2.2,27.563,23,45.789,29.336,24,52.438,47,46,313.45,1.14,17,31.5,13,10.9
7.0,5,2,2.2,26.09,21,45.672,28.097,22,52.853,47,46,291.45,1.149,15,26.5,7,10.9
7.32,5,2,2.3,24.563,20,42.789,26.336,21,49.438,44,43,277.42,1.15,14,25.5,7,11.6
6.43,5,2,1.9,29.143,23,51.44,31.62,24,59.683,53,52,319.51,1.148,17,28.5,7,9.6
7.25,5,2,2.2,27.563,23,45.789,29.336,24,52.438,47,46,313.45,1.14,17,31.5,13,10.9
6.33,5,2,2.0,29.09,24,48.672,31.097,25,55.853,50,49,327.48,1.14,18,32.5,13,10.2
6.86,5,2,2.0,27.617,22,48.556,29.858,23,56.268,50,49,305.48,1.148,16,27.5,7,10.2
7.17,5,2,1.9,29.143,23,51.44,31.62,24,59.683,53,52,319.51,1.148,17,28.5,7,9.6
7.21,5,2,2.0,27.617,22,48.556,29.858,23,56.268,50,49,305.48,1.148,16,27.5,7,10.2
5.955,6,1,1.8,32.165,26,55.541,34.626,27,64.182,57,56,358.55,1.146,19,33.0,8,10.7
6.74,5,2,2.5,24.509,21,40.022,25.813,22,45.607,41,40,285.39,1.14,15,29.5,13,12.5
6.19,5,2,2.0,31.563,27,49.789,33.336,29,56.438,52,50,361.49,1.129,21,39.5,19,10.0
7.55,4,1,0.0,20.246,17,32.709,21.591,18,37.484,34,33,228.33,1.136,13,24.5,12,12.1
7.42,6,2,2.2,27.058,23,45.007,28.58,24,51.521,46,45,314.44,1.145,16,31.5,13,13.3
7.549,5,2,2.3,26.223,22,42.982,28.222,23,48.943,44,43,319.48,1.138,15,30.0,12,11.6
5.92,4,1,0.0,17.193,15,26.942,18.068,16,30.654,28,27,200.27,1.135,11,22.5,12,14.8
7.27,5,2,1.9,33.856,30,53.698,34.972,32,60.532,55,53,411.5,1.142,22,42.5,19,9.4
6.4,7,2,1.6,40.426,36,63.785,41.745,39,71.944,66,63,491.6,1.142,26,52.0,24,11.1
7.51,7,2,2.3,26.739,23,44.302,28.472,24,50.524,45,44,335.49,1.148,14,31.0,12,15.9
7.3,6,2,2.0,32.011,29,50.109,33.103,31,56.12,51,49,418.52,1.145,19,41.0,18,12.2
6.69,5,2,1.9,33.856,30,53.698,34.972,32,60.532,55,53,411.5,1.142,22,42.5,19,9.4
6.36,6,2,2.1,29.058,25,47.007,30.58,27,53.521,49,47,338.46,1.139,18,36.5,17,12.8
7.85,4,1,0.0,21.773,18,35.592,23.353,19,40.9,37,36,242.36,1.136,14,25.5,12,11.1
7.95,4,1,0.0,21.773,18,35.592,23.353,19,40.9,37,36,242.36,1.136,14,25.5,12,11.1
5.92,3,0,0.0,9.645,8,16.956,10.301,8,19.741,17,17,111.17,1.161,5,10.5,5,17.6
4.9,5,1,0.0,15.741,13,27.927,16.836,13,32.568,28,28,181.28,1.163,8,16.5,6,17.9
4.6,4,1,0.0,15.907,13,26.902,17.478,13,30.989,27,27,198.33,1.148,8,16.5,6,14.8
4.2,4,1,0.0,15.907,13,26.902,17.478,13,30.989,27,27,198.33,1.148,8,16.5,6,14.8
11.523,5,1,0.0,16.687,15,26.16,17.313,16,29.737,27,26,201.26,1.144,10,22.5,12,19.2
4.79,5,1,0.0,18.455,15,31.887,20.245,15,36.903,32,32,227.38,1.153,9,18.5,6,15.6
5.16,4,1,0.0,18.621,15,30.862,20.887,15,35.324,31,31,244.43,1.139,9,18.5,6,12.9
11.523,5,1,0.0,18.214,16,29.043,19.074,17,33.152,30,29,215.29,1.143,11,23.5,12,17.2
5.48,6,1,0.0,26.717,22,43.832,29.421,23,50.151,45,44,338.56,1.14,14,29.0,11,13.6
5.42,2,0,0.0,24.784,20,39.156,26.864,23,44.733,43,40,264.4,1.118,18,29.0,12,5.0
6.67,7,1,0.0,29.265,24,48.818,32.188,25,56.065,50,49,367.61,1.144,15,31.0,11,14.3
5.94,7,1,0.0,28.078,23,47.741,30.54,24,55.145,49,48,335.54,1.149,15,30.0,11,14.6
5.3,3,0,0.0,12.359,10,20.916,13.71,10,24.076,21,21,157.27,1.146,6,12.5,5,14.3
4.0,5,1,0.0,17.268,14,30.811,18.597,14,35.983,31,31,195.31,1.161,9,17.5,6,16.1
11.523,4,1,0.0,17.193,15,26.942,18.068,16,30.654,28,27,200.27,1.135,11,22.5,12,14.8
4.38,5,1,0.0,16.928,14,29.003,18.483,14,33.488,29,29,213.35,1.155,8,17.5,6,17.2
5.886,6,2,2.9,22.138,20,34.549,23.182,21,38.78,35,34,290.39,1.141,12,28.5,13,17.6
6.18,1,1,0.0,26.816,21,42.821,29.381,23,49.066,46,44,277.44,1.115,20,30.0,13,2.3
5.93,6,1,0.0,44.084,35,73.632,47.978,38,85.048,78,75,472.75,1.134,29,47.5,18,8.0
8.57,5,4,7.3,25.313,22,41.829,27.017,23,46.866,42,41,345.5,1.143,12,29.5,9,12.2
5.98,6,1,3.1,20.325,18,32.625,21.83,19,36.7,33,32,286.43,1.147,9,25.0,11,18.8
6.056,2,0,0.0,24.784,20,39.156,26.864,23,44.733,43,40,264.4,1.118,18,29.0,12,5.0
4.97,6,1,0.0,42.632,36,65.745,45.648,39,74.275,69,66,521.54,1.125,28,51.5,24,9.1
5.14,6,1,0.0,40.475,34,62.443,43.523,37,70.814,66,63,517.52,1.124,27,49.5,24,9.5
7.91,5,0,3.6,34.519,29,55.96,36.961,31,63.398,58,56,413.6,1.132,21,39.5,17,8.9
8.04,7,3,4.2,42.669,36,71.065,45.063,38,80.929,73,71,493.68,1.14,26,49.0,16,9.9
7.45,7,3,4.4,41.143,35,68.181,43.302,37,77.514,70,68,479.65,1.14,25,48.0,16,10.3
5.16,6,2,2.8,43.46,36,71.519,46.364,39,81.637,75,72,488.7,1.134,28,49.0,15,8.3
7.54,9,4,2.7,44.471,38,73.058,46.858,40,83.301,75,73,517.71,1.141,27,52.0,17,12.3
6.67,6,3,4.3,41.835,35,69.04,44.705,37,78.351,71,69,498.72,1.136,25,48.0,16,8.7
7.14,6,2,2.8,42.46,35,70.519,45.364,37,80.637,73,71,476.69,1.136,27,47.0,15,8.5
7.29,7,2,2.9,41.955,35,69.738,44.608,37,79.72,72,70,477.68,1.139,26,47.0,15,10.0
7.82,6,2,2.9,40.933,34,67.636,43.603,36,77.221,70,68,462.66,1.136,26,46.0,15,8.8
7.79,7,2,2.9,44.588,37,69.876,49.927,39,79.161,72,70,729.46,1.131,26,49.0,15,10.0
7.47,10,5,4.1,44.68,39,73.603,46.557,41,83.594,75,73,534.7,1.145,26,54.0,18,13.7
7.17,7,2,2.7,43.481,36,72.621,46.37,38,83.135,75,73,491.71,1.139,27,48.0,15,9.6
5.42,2,0,0.0,25.311,20,41.04,27.625,22,47.149,44,42,266.42,1.123,18,28.0,12,4.8
7.54,7,2,2.9,43.271,36,69.807,47.268,38,79.44,72,70,603.57,1.135,26,48.0,15,10.0
7.35,7,2,2.7,44.798,37,72.69,49.029,39,82.856,75,73,617.6,1.135,27,49.0,15,9.6
6.79,10,5,4.1,44.68,39,73.603,46.557,41,83.594,75,73,534.7,1.145,26,54.0,18,13.7
7.86,7,2,2.7,46.115,38,72.759,51.688,40,82.576,75,73,743.49,1.131,27,50.0,15,9.6
7.28,7,2,2.9,41.955,35,69.738,44.608,37,79.72,72,70,477.68,1.139,26,47.0,15,10.0
6.63,9,4,2.6,45.997,39,75.941,48.62,41,86.716,78,76,531.74,1.141,28,53.0,17,11.8
7.595,6,2,2.9,42.25,35,67.705,46.262,37,76.942,70,68,588.55,1.132,26,47.0,15,8.8
7.52,7,3,4.2,42.669,36,71.065,45.063,38,80.929,73,71,493.68,1.14,26,49.0,16,9.9
7.07,3,1,3.8,29.726,24,51.96,31.762,25,59.651,53,52,337.49,1.147,18,29.0,7,5.8
7.09,3,1,3.4,32.396,25,57.214,35.347,26,66.142,59,58,347.56,1.14,20,30.0,7,5.2
5.36,3,1,3.3,36.056,29,59.407,39.233,31,67.647,62,60,413.64,1.127,23,38.0,13,5.0
6.77,3,1,3.4,32.396,25,57.214,35.347,26,66.142,59,58,347.56,1.14,20,30.0,7,5.2
6.9,3,1,3.6,33.342,27,55.447,35.824,29,63.311,58,56,367.54,1.131,22,36.0,13,5.4
6.09,3,1,3.4,36.019,31,59.869,37.398,33,67.746,61,59,435.54,1.148,23,40.0,13,5.1
6.7,3,1,5.0,35.584,29,59.658,38.04,31,67.936,62,60,397.57,1.132,23,38.0,13,5.0
6.46,3,1,3.4,34.869,28,58.33,37.586,30,66.727,61,59,381.57,1.131,23,37.0,13,5.1
6.8,3,1,6.3,37.825,31,63.869,40.256,33,72.561,66,64,427.6,1.134,24,40.0,13,4.7
6.81,3,1,4.1,27.815,22,48.563,30.063,23,55.896,50,49,305.47,1.141,17,27.0,7,6.1
6.2,3,1,3.6,34.17,28,55.771,36.682,30,63.255,58,56,401.98,1.13,22,37.0,13,5.4
7.36,3,1,3.2,34.923,27,61.098,38.108,29,70.557,64,62,373.6,1.138,22,33.0,7,4.8
5.68,3,1,3.4,32.396,25,57.214,35.347,26,66.142,59,58,347.56,1.14,20,30.0,7,5.2
7.02,3,1,3.4,32.396,25,57.214,35.347,26,66.142,59,58,347.56,1.14,20,30.0,7,5.2
6.54,3,1,6.8,35.772,30,59.101,37.733,33,66.73,62,59,411.55,1.131,23,40.0,13,5.1
6.75,4,3,6.9,35.266,30,58.32,36.978,32,65.813,60,58,412.54,1.135,22,41.0,15,6.9
6.31,3,1,4.8,37.111,30,62.541,39.802,32,71.351,65,63,411.6,1.133,24,39.0,13,4.8
7.01,3,1,3.6,30.869,24,54.33,33.586,25,62.727,56,55,333.53,1.14,19,29.0,7,5.5
7.36,3,1,3.6,30.869,24,54.33,33.586,25,62.727,56,55,333.53,1.14,19,29.0,7,5.5
4.0,2,0,3.3,17.445,14,29.716,18.796,14,34.112,30,30,192.29,1.137,11,18.5,6,6.7
5.3,2,0,2.4,22.552,17,40.251,24.841,18,46.773,42,41,236.4,1.141,14,20.5,5,4.9
4.2,2,0,2.6,21.026,16,37.367,23.08,17,43.358,39,38,222.37,1.141,13,19.5,5,5.3
4.0,2,0,3.1,17.972,14,31.6,19.557,15,36.528,33,32,194.31,1.141,11,17.5,5,6.3
4.5,2,0,2.9,18.499,14,33.483,20.319,14,38.943,34,34,196.33,1.145,11,16.5,5,5.9
4.5,2,0,4.2,14.392,12,23.949,15.273,12,27.282,24,24,164.23,1.137,9,16.5,6,8.3
8.225,5,1,5.0,24.598,21,40.502,26.563,22,45.657,41,40,329.5,1.141,12,28.0,11,12.5
4.3,2,0,2.3,24.079,18,43.134,26.603,19,50.188,45,44,250.43,1.141,15,21.5,5,4.5
5.921,3,0,0.0,9.645,8,16.956,10.301,8,19.741,17,17,111.17,1.161,5,10.5,5,17.6
7.37,7,4,5.7,22.248,20,36.131,23.938,20,40.328,35,35,337.51,1.152,8,26.5,9,20.0
4.5,2,0,3.6,15.445,12,27.716,16.796,12,32.112,28,28,168.27,1.147,9,14.5,5,7.1
4.5,2,1,3.8,14.918,12,25.833,16.034,12,29.697,26,26,166.25,1.142,9,15.5,6,7.7
5.6,2,0,2.3,23.079,17,42.134,25.603,17,49.188,43,43,238.42,1.144,14,19.5,5,4.7
4.5,2,0,4.5,12.392,10,21.949,13.273,10,25.282,22,22,140.21,1.149,7,12.5,5,9.1
4.5,2,0,3.2,16.972,13,30.6,18.557,13,35.528,31,31,182.3,1.146,10,15.5,5,6.5
6.85,6,1,2.4,24.905,21,41.276,27.114,22,46.946,42,41,328.52,1.145,12,28.0,11,14.6
