pXC50,nC,Sp,nBT,nAT,Sv,nP,O.,nSK,Si,Me,nAB,Se,AMW,nH,nBO,nCsp2,nCsp3,nO,nHM,H.,nDB,SCBO,RBN,MW,nBM,Mv,nN,nHet,nTB,Mp
6.456,19,29.455,44,41,28.095,0,0.0,25,45.927,1.003,17,41.134,8.533,16,28,14,4,0,1,39.0,0,38.5,2,349.85,18,0.685,5,6,1,0.718
4.886,16,29.245,48,47,27.993,0,6.4,24,53.857,1.009,6,47.443,7.094,23,25,10,6,3,0,48.9,3,31.0,9,333.44,9,0.596,5,8,0,0.622
4.523,17,31.006,51,50,29.519,0,6.0,25,57.272,1.007,6,50.327,6.949,25,26,10,7,3,0,50.0,3,32.0,9,347.47,9,0.59,5,8,0,0.62
4.921,17,26.955,40,38,27.1,0,13.2,26,42.562,1.044,12,39.684,9.836,12,28,17,0,5,1,31.6,4,38.0,3,373.77,16,0.713,3,9,0,0.709
5.097,13,21.886,35,33,22.052,0,12.1,21,37.492,1.038,6,34.251,8.736,12,23,10,3,4,0,36.4,5,31.0,1,288.29,11,0.668,4,8,0,0.663
5.222,14,23.648,38,36,23.579,0,11.1,22,40.907,1.032,6,37.134,8.398,14,24,10,4,4,0,38.9,5,32.0,2,302.32,11,0.655,4,8,0,0.657
5.699,23,41.245,67,64,38.099,0,3.1,31,72.643,0.994,9,63.61,6.932,33,34,9,14,2,1,51.6,3,41.5,7,443.68,12,0.595,5,8,0,0.644
6.0,18,33.961,56,53,31.519,0,3.8,26,60.398,0.999,5,52.96,7.124,27,29,4,14,2,1,50.9,2,33.5,3,377.57,7,0.595,5,8,0,0.641
6.0,20,35.688,58,56,33.191,0,3.6,27,63.754,0.998,6,55.872,7.017,29,29,8,12,2,1,51.8,2,34.0,6,392.98,8,0.593,4,7,0,0.637
6.0,19,33.29,53,50,30.562,0,0.0,25,56.564,0.988,15,49.421,7.111,25,28,9,10,0,1,50.0,0,35.5,5,355.56,15,0.611,5,6,0,0.666
6.0,20,32.648,50,48,30.292,0,4.2,25,53.824,0.996,12,47.807,8.403,23,27,13,7,2,1,47.9,1,34.0,5,403.35,13,0.631,2,5,0,0.68
6.0,24,39.591,65,62,36.89,0,3.2,30,70.225,0.991,11,61.432,6.59,32,33,11,13,2,0,51.6,2,40.5,6,408.6,13,0.595,4,6,0,0.639
5.484,24,41.353,66,64,38.706,0,7.8,32,72.192,1.003,11,64.171,7.198,32,34,12,12,5,1,50.0,2,41.5,10,460.65,13,0.605,2,8,0,0.646
5.223,21,37.444,61,59,34.276,0,5.1,27,66.773,0.992,5,58.516,6.655,32,29,6,15,3,1,54.2,2,33.5,7,392.62,7,0.581,2,6,0,0.635
4.857,18,26.347,41,38,24.752,0,0.0,21,42.401,0.987,12,37.491,7.247,17,24,14,4,0,0,44.7,2,32.0,2,275.38,14,0.651,3,3,0,0.693
7.103,29,45.694,74,69,42.504,0,0.0,35,77.803,0.985,12,67.981,6.764,34,40,16,13,0,0,49.3,4,50.0,8,466.69,16,0.616,6,6,0,0.662
6.267,29,46.699,76,71,43.525,0,0.0,36,80.301,0.987,12,70.083,6.785,35,41,16,13,0,0,49.3,4,51.0,8,481.71,16,0.613,7,7,0,0.658
6.481,30,48.154,78,73,45.24,0,1.4,38,82.51,0.992,12,72.41,6.982,35,43,17,13,1,0,47.9,5,54.0,8,509.72,17,0.62,7,8,0,0.66
7.186,35,56.262,92,87,51.664,0,0.0,41,98.294,0.98,12,85.283,6.332,46,46,16,19,0,0,52.9,4,56.0,8,550.87,16,0.594,6,6,0,0.647
6.693,35,57.268,94,89,52.686,0,0.0,42,100.792,0.982,12,87.385,6.358,47,47,16,19,0,0,52.8,4,57.0,8,565.89,16,0.592,7,7,0,0.643
7.31,36,58.722,96,91,54.401,0,1.1,44,103.002,0.986,12,89.712,6.526,47,49,17,19,1,0,51.6,5,60.0,8,593.9,17,0.598,7,8,0,0.645
7.237,30,47.455,77,72,44.03,0,0.0,36,81.218,0.984,12,70.865,6.677,36,41,16,14,0,0,50.0,4,51.0,9,480.72,16,0.612,6,6,0,0.659
6.251,30,48.461,79,74,45.052,0,0.0,37,83.716,0.986,12,72.967,6.699,37,42,16,14,0,0,50.0,4,52.0,9,495.74,16,0.609,7,7,0,0.655
7.68,31,49.915,81,76,46.767,0,1.3,39,85.926,0.991,12,75.294,6.891,37,44,17,14,1,0,48.7,5,55.0,9,523.75,17,0.615,7,8,0,0.657
7.746,32,51.677,84,79,48.293,0,1.3,40,89.341,0.99,12,78.178,6.807,39,45,17,15,1,0,49.4,5,56.0,10,537.78,17,0.611,7,8,0,0.654
8.174,33,52.677,85,80,49.293,0,1.3,41,90.341,0.99,12,79.178,6.872,39,46,19,14,1,0,48.8,6,58.0,10,549.79,18,0.616,7,8,0,0.658
4.842,36,58.024,95,90,53.191,0,0.0,42,101.709,0.98,12,88.166,6.277,48,47,16,20,0,0,53.3,4,57.0,9,564.9,16,0.591,6,6,0,0.645
6.218,36,59.029,97,92,54.213,0,0.0,43,104.207,0.981,12,90.268,6.303,49,48,16,20,0,0,53.3,4,58.0,9,579.92,16,0.589,7,7,0,0.642
6.751,37,60.484,99,94,55.927,0,1.1,45,106.417,0.985,12,92.596,6.467,49,50,17,20,1,0,52.1,5,61.0,9,607.93,17,0.595,7,8,0,0.643
6.539,38,62.245,102,97,57.454,0,1.0,46,109.832,0.984,12,95.479,6.412,51,51,17,21,1,0,52.6,5,62.0,10,621.96,17,0.592,7,8,0,0.642
6.815,39,63.245,103,98,58.454,0,1.0,47,110.832,0.984,12,96.479,6.469,51,52,19,20,1,0,52.0,6,64.0,10,633.97,18,0.596,7,8,0,0.645
7.122,39,64.705,106,101,60.19,0,2.0,49,114.54,0.989,12,99.908,6.584,52,54,18,21,2,0,51.5,6,66.0,11,664.99,18,0.596,8,10,0,0.641
6.271,40,65.768,108,103,60.508,0,1.0,48,116.662,0.983,12,101.246,6.311,55,53,17,23,1,0,53.4,5,64.0,10,650.02,17,0.587,7,8,0,0.639
5.976,40,65.768,108,103,60.508,0,1.0,48,116.662,0.983,12,101.246,6.311,55,53,17,23,1,0,53.4,5,64.0,12,650.02,17,0.587,7,8,0,0.639
6.207,40,65.768,108,103,60.508,0,1.0,48,116.662,0.983,12,101.246,6.311,55,53,17,23,1,0,53.4,5,64.0,11,650.02,17,0.587,7,8,0,0.639
6.101,41,67.529,111,106,62.035,0,0.9,49,120.078,0.982,12,104.13,6.265,57,54,17,24,1,0,53.8,5,65.0,12,664.05,17,0.585,7,8,0,0.637
7.301,13,19.58,31,29,18.204,0,0.0,15,32.488,0.983,11,28.505,6.838,14,17,9,4,0,0,48.3,0,22.5,0,198.29,11,0.628,2,2,0,0.675
7.704,24,37.029,60,57,34.541,0,5.3,28,63.939,0.99,12,56.454,6.659,29,31,13,11,3,0,50.9,1,38.0,6,379.54,13,0.606,1,4,0,0.65
5.55,22,37.142,57,53,33.948,0,1.9,28,59.112,0.991,11,52.505,7.767,25,32,12,10,1,2,47.2,2,39.5,4,411.64,13,0.641,3,6,0,0.701
5.987,22,34.858,51,47,32.368,0,2.1,28,51.866,0.997,17,46.854,8.629,19,32,18,4,1,2,40.4,2,42.5,4,405.58,19,0.689,3,6,0,0.742
5.544,23,35.12,53,49,33.61,0,6.1,30,54.365,1.009,17,49.433,8.521,19,34,19,4,3,1,38.8,3,45.5,4,417.52,20,0.686,3,7,0,0.717
7.11,14,21.438,33,30,20.031,0,0.0,17,33.432,0.994,11,29.829,8.158,13,20,9,5,0,1,43.3,0,25.5,0,244.74,11,0.668,2,3,0,0.715
5.284,23,36.313,53,49,34.082,0,4.1,30,54.075,1.004,17,49.182,8.849,19,34,19,4,2,2,38.8,3,45.5,4,433.59,20,0.696,3,7,0,0.741
7.367,27,37.841,59,54,35.552,0,1.9,30,59.773,0.986,23,53.251,7.269,24,35,21,6,1,0,44.4,0,46.5,1,392.53,23,0.658,2,3,0,0.701
8.228,26,36.534,57,52,34.74,0,3.8,30,57.567,0.994,23,51.694,7.587,22,35,21,5,2,0,42.3,0,46.5,1,394.5,23,0.668,2,4,0,0.703
7.745,27,38.296,60,55,36.267,0,3.6,31,60.983,0.992,23,54.578,7.428,24,36,21,6,2,0,43.6,0,47.5,2,408.53,23,0.659,2,4,0,0.696
7.796,27,38.296,60,55,36.267,0,3.6,31,60.983,0.992,23,54.578,7.428,24,36,21,6,2,0,43.6,0,47.5,2,408.53,23,0.659,2,4,0,0.696
7.699,27,38.296,60,55,36.267,0,3.6,31,60.983,0.992,23,54.578,7.428,24,36,21,6,2,0,43.6,0,47.5,2,408.53,23,0.659,2,4,0,0.696
6.996,26,36.989,58,53,35.455,0,5.7,31,58.777,1.0,23,53.022,7.745,22,36,21,5,3,0,41.5,0,47.5,2,410.5,23,0.669,2,5,0,0.698
7.553,27,38.75,61,56,36.982,0,5.4,32,62.192,0.998,23,55.905,7.581,24,37,21,6,3,0,42.9,0,48.5,2,424.53,23,0.66,2,5,0,0.692
7.585,28,40.512,64,59,38.509,0,5.1,33,65.607,0.996,23,58.789,7.433,26,38,21,7,3,0,44.1,0,49.5,3,438.56,23,0.653,2,5,0,0.687
7.585,29,42.728,68,63,40.75,0,6.3,35,70.232,1.0,23,63.0,7.438,28,40,21,8,4,0,44.4,0,51.5,4,468.59,23,0.647,2,6,0,0.678
6.77,26,37.233,58,53,35.95,0,5.7,32,58.86,1.005,23,53.24,7.991,21,37,21,5,3,0,39.6,2,50.5,2,423.5,25,0.678,3,6,0,0.703
6.105,30,48.034,79,73,46.508,0,8.2,41,82.353,1.012,22,73.901,7.653,32,47,18,12,6,0,43.8,1,59.0,9,558.67,23,0.637,5,11,0,0.658
6.044,31,49.796,82,76,48.034,0,7.9,42,85.768,1.01,22,76.785,7.536,34,48,18,13,6,0,44.7,1,60.0,10,572.7,23,0.632,5,11,0,0.655
6.221,31,49.796,82,76,48.034,0,7.9,42,85.768,1.01,22,76.785,7.536,34,48,18,13,6,0,44.7,1,60.0,10,572.7,23,0.632,5,11,0,0.655
6.218,32,51.557,85,79,49.561,0,7.6,43,89.184,1.008,22,79.669,7.427,36,49,18,14,6,0,45.6,1,61.0,11,586.73,23,0.627,5,11,0,0.653
6.967,29,46.125,76,70,44.078,0,5.7,38,78.934,1.004,22,70.247,7.352,32,44,17,12,4,0,45.7,0,55.0,7,514.66,22,0.63,5,9,0,0.659
6.562,30,47.887,79,73,45.605,0,5.5,39,82.35,1.002,22,73.13,7.242,34,45,17,13,4,0,46.6,0,56.0,8,528.69,22,0.625,5,9,0,0.656
6.614,32,52.171,86,81,49.185,0,4.9,41,91.595,0.997,22,80.781,6.898,40,46,17,15,4,0,49.4,0,57.0,13,558.77,22,0.607,5,9,0,0.644
6.329,33,53.932,89,84,50.712,0,4.8,42,95.01,0.996,22,83.665,6.819,42,47,17,16,4,0,50.0,0,58.0,14,572.8,22,0.604,5,9,0,0.642
6.854,30,48.648,80,75,46.132,0,5.3,39,84.765,1.0,22,75.014,7.076,36,44,17,13,4,0,48.0,0,55.0,11,530.71,22,0.615,5,9,0,0.649
6.569,31,50.41,83,78,47.658,0,5.1,40,88.18,0.999,22,77.898,6.984,38,45,17,14,4,0,48.7,0,56.0,12,544.74,22,0.611,5,9,0,0.646
7.174,30,48.648,80,75,46.132,0,5.3,39,84.765,1.0,22,75.014,7.076,36,44,17,13,4,0,48.0,0,55.0,9,530.71,22,0.615,5,9,0,0.649
7.357,31,50.41,83,78,47.658,0,5.1,40,88.18,0.999,22,77.898,6.984,38,45,17,14,4,0,48.7,0,56.0,10,544.74,22,0.611,5,9,0,0.646
6.509,30,44.597,71,65,43.003,0,6.2,38,72.606,1.006,28,65.378,7.809,27,44,23,7,4,0,41.5,0,58.0,7,507.61,28,0.662,4,8,0,0.686
5.879,31,46.358,74,68,44.53,0,5.9,39,76.021,1.004,28,68.261,7.671,29,45,23,8,4,0,42.6,0,59.0,8,521.64,28,0.655,4,8,0,0.682
6.783,28,44.12,72,67,42.057,0,6.0,36,75.436,1.002,22,67.145,7.278,31,41,17,11,4,0,46.3,0,52.0,9,487.63,22,0.628,4,8,0,0.659
6.697,29,45.881,75,70,43.583,0,5.7,37,78.851,1.0,22,70.029,7.167,33,42,17,12,4,0,47.1,0,53.0,10,501.66,22,0.623,4,8,0,0.655
6.697,22,32.534,51,48,30.74,0,4.2,26,53.567,0.994,17,47.694,7.218,22,29,16,6,2,0,45.8,1,38.5,6,346.46,18,0.64,2,4,0,0.678
7.465,23,34.296,54,51,32.267,0,3.9,27,56.983,0.992,17,50.578,7.068,24,30,16,7,2,0,47.1,1,39.5,7,360.49,18,0.633,2,4,0,0.672
6.588,23,34.677,55,52,32.531,0,3.8,27,58.19,0.991,17,51.52,6.952,25,30,16,7,2,0,48.1,1,39.5,6,361.5,18,0.626,2,4,0,0.667
6.03,21,31.154,49,46,29.477,0,4.3,25,51.36,0.995,17,45.752,7.249,21,28,16,5,2,0,45.7,1,37.5,4,333.44,18,0.641,2,4,0,0.677
6.426,23,33.534,53,49,31.74,0,4.1,27,54.567,0.994,17,48.694,7.316,22,31,16,7,2,0,44.9,1,40.5,4,358.47,18,0.648,2,4,0,0.684
6.327,22,31.773,50,46,30.214,0,4.3,26,51.152,0.996,17,45.811,7.488,20,30,16,6,2,0,43.5,1,39.5,4,344.44,18,0.657,2,4,0,0.691
6.155,22,32.534,51,48,30.74,0,4.2,26,53.567,0.994,17,47.694,7.218,22,29,16,6,2,0,45.8,1,38.5,6,346.46,18,0.64,2,4,0,0.678
7.022,24,35.677,57,53,33.531,0,3.8,28,59.19,0.991,17,52.52,7.047,25,32,16,8,2,0,47.2,1,41.5,4,373.51,18,0.633,2,4,0,0.673
6.839,23,33.915,54,50,32.004,0,4.0,27,55.775,0.993,17,49.636,7.19,23,31,16,7,2,0,46.0,1,40.5,4,359.48,18,0.64,2,4,0,0.678
5.807,20,29.012,45,42,27.687,0,4.8,24,46.737,0.998,17,41.927,7.581,18,27,16,4,2,0,42.9,1,36.5,4,318.4,18,0.659,2,4,0,0.691
7.056,23,33.534,53,49,31.74,0,4.1,27,54.567,0.994,17,48.694,7.316,22,31,16,7,2,0,44.9,1,40.5,4,358.47,18,0.648,2,4,0,0.684
7.658,24,35.296,56,52,33.267,0,3.8,28,57.983,0.992,17,51.578,7.163,24,32,16,8,2,0,46.2,1,41.5,5,372.5,18,0.64,2,4,0,0.679
6.365,23,34.54,55,51,32.762,0,3.9,28,57.066,0.996,17,50.796,7.323,23,32,16,7,2,0,45.1,1,41.5,4,373.49,18,0.642,3,5,0,0.677
6.393,24,36.302,58,54,34.289,0,3.7,29,60.481,0.994,17,53.68,7.176,25,33,16,8,2,0,46.3,1,42.5,5,387.52,18,0.635,3,5,0,0.672
6.4,21,31.324,49,46,29.52,0,2.2,25,51.441,0.991,17,45.585,7.205,21,28,16,5,1,0,45.7,1,37.5,5,331.45,18,0.642,3,4,0,0.681
5.0,32,54.961,94,90,49.664,0,2.2,37,102.294,0.978,0,88.05,5.688,53,41,4,28,2,0,58.9,3,44.0,4,511.88,3,0.552,3,5,0,0.611
6.437,26,41.347,67,64,38.396,0,3.1,31,72.142,0.988,17,63.214,6.557,33,34,15,11,2,0,51.6,0,42.5,10,419.62,17,0.6,3,5,0,0.646
6.981,27,43.108,70,67,39.923,0,3.0,32,75.557,0.987,17,66.098,6.472,35,35,15,12,2,0,52.2,0,43.5,11,433.65,17,0.596,3,5,0,0.643
7.592,26,40.893,66,63,37.681,0,1.6,30,70.932,0.982,17,61.887,6.407,33,33,15,11,1,0,52.4,0,41.5,10,403.62,17,0.598,3,4,0,0.649
7.361,27,43.108,70,67,39.923,0,3.0,32,75.557,0.987,17,66.098,6.472,35,35,15,12,2,0,52.2,0,43.5,11,433.65,17,0.596,3,5,0,0.643
8.126,28,44.415,72,69,40.735,0,1.4,32,77.763,0.98,17,67.654,6.256,37,35,15,13,1,0,53.6,0,43.5,12,431.68,17,0.59,3,4,0,0.644
8.342,29,46.631,76,73,42.976,0,2.7,34,82.387,0.984,17,71.865,6.325,39,37,15,14,2,0,53.4,0,45.5,13,461.71,17,0.589,3,5,0,0.639
8.336,30,48.847,80,77,45.218,0,3.9,36,87.012,0.988,17,76.076,6.386,41,39,15,15,3,0,53.2,0,47.5,14,491.74,17,0.587,3,6,0,0.634
7.821,28,44.415,72,69,40.735,0,1.4,32,77.763,0.98,17,67.654,6.256,37,35,15,13,1,0,53.6,0,43.5,12,431.68,17,0.59,3,4,0,0.644
7.903,28,44.415,72,69,40.735,0,1.4,32,77.763,0.98,17,67.654,6.256,37,35,15,13,1,0,53.6,0,43.5,12,431.68,17,0.59,3,4,0,0.644
7.815,29,46.177,75,72,42.261,0,1.4,33,81.178,0.98,17,70.538,6.19,39,36,15,14,1,0,54.2,0,44.5,13,445.71,17,0.587,3,4,0,0.641
8.212,29,45.87,75,71,42.449,0,2.8,34,79.972,0.986,17,69.981,6.475,37,38,15,14,2,0,52.1,0,46.5,12,459.69,17,0.598,3,5,0,0.646
8.328,27,43.205,70,67,39.514,0,0.0,31,75.636,0.978,17,65.545,6.219,36,34,14,13,0,0,53.7,0,42.5,12,416.67,17,0.59,4,4,0,0.645
7.415,27,42.898,69,66,39.702,0,1.5,32,74.431,0.985,17,64.989,6.525,34,35,15,12,1,0,51.5,1,44.5,11,430.65,18,0.602,4,5,0,0.65
7.854,40,66.279,110,103,60.807,0,3.9,48,116.048,0.987,6,101.665,6.544,55,55,10,30,4,1,53.4,4,62.0,7,674.05,10,0.59,3,8,0,0.643
8.222,37,61.819,103,97,56.071,0,3.1,43,109.34,0.982,6,95.236,6.258,54,49,8,29,3,1,55.7,2,54.0,6,607.0,8,0.578,2,6,0,0.637
7.745,37,61.819,103,97,56.071,0,3.1,43,109.34,0.982,6,95.236,6.258,54,49,8,29,3,1,55.7,2,54.0,6,607.0,8,0.578,2,6,0,0.637
7.62,37,61.177,102,96,56.506,0,2.1,45,109.15,0.994,6,95.446,6.718,51,51,8,29,2,1,53.1,2,56.0,5,644.97,8,0.589,2,8,0,0.637
8.046,37,61.177,102,96,56.506,0,2.1,45,109.15,0.994,6,95.446,6.718,51,51,8,29,2,1,53.1,2,56.0,5,644.97,8,0.589,2,8,0,0.637
8.155,37,61.177,102,96,56.506,0,2.1,45,109.15,0.994,6,95.446,6.718,51,51,8,29,2,1,53.1,2,56.0,5,644.97,8,0.589,2,8,0,0.637
7.62,39,64.518,107,100,59.28,0,4.0,47,112.633,0.988,6,98.781,6.6,53,54,10,29,4,1,53.0,4,61.0,6,660.02,10,0.593,3,8,0,0.645
7.42,30,52.08,88,83,46.776,0,2.4,35,93.885,0.979,0,81.257,6.035,48,40,2,28,2,1,57.8,2,42.0,3,500.87,2,0.564,2,5,0,0.627
7.347,29,50.319,85,80,45.249,0,2.5,34,90.47,0.98,0,78.374,6.085,46,39,2,27,2,1,57.5,2,41.0,3,486.84,2,0.566,2,5,0,0.629
6.857,31,53.535,90,85,48.491,0,3.5,37,96.094,0.983,0,83.585,6.222,48,42,3,28,3,1,56.5,3,45.0,3,528.88,3,0.57,2,6,0,0.63
7.432,36,59.296,98,92,54.017,0,3.3,42,103.51,0.983,6,90.468,6.423,50,48,9,27,3,1,54.3,3,54.0,4,590.95,9,0.587,2,6,0,0.645
6.73,34,59.273,100,95,53.786,0,4.2,41,107.549,0.985,0,93.563,6.179,54,46,3,31,4,1,56.8,3,49.0,5,586.97,3,0.566,2,7,0,0.624
7.886,36,59.603,99,93,53.829,0,2.2,41,104.715,0.979,6,91.025,6.204,52,47,8,28,2,1,55.9,2,52.0,5,576.97,8,0.579,2,5,0,0.641
7.854,37,61.364,102,96,55.356,0,2.1,42,108.131,0.978,6,93.908,6.156,54,48,8,29,2,1,56.3,2,53.0,6,591.0,8,0.577,2,5,0,0.639
7.102,38,63.126,105,99,56.883,0,2.0,43,111.546,0.978,6,96.792,6.111,56,49,8,30,2,1,56.6,2,54.0,7,605.03,8,0.575,2,5,0,0.638
7.921,37,61.819,103,97,56.071,0,3.1,43,109.34,0.982,6,95.236,6.258,54,49,8,29,3,1,55.7,2,54.0,6,607.0,8,0.578,2,6,0,0.637
5.0,28,47.177,82,77,44.4,0,3.9,36,88.363,1.004,0,77.279,6.633,41,41,2,26,3,0,53.2,2,43.0,2,510.71,2,0.577,2,8,0,0.613
6.474,30,50.825,88,83,46.687,0,3.6,36,94.514,0.988,0,82.021,6.058,47,41,2,28,3,0,56.6,2,43.0,3,502.79,2,0.562,2,6,0,0.612
5.769,30,50.45,88,83,48.987,0,3.6,42,96.552,1.025,0,85.097,7.358,41,47,2,28,3,0,49.4,2,49.0,3,610.73,2,0.59,2,12,0,0.608
5.0,31,53.2,92,87,48.137,0,2.3,36,98.879,0.979,0,85.166,5.722,51,41,2,29,2,0,58.6,2,43.0,3,497.85,2,0.553,3,5,0,0.611
5.0,29,49.677,86,81,45.083,0,2.5,34,92.048,0.98,0,79.399,5.8,47,39,2,27,2,0,58.0,2,41.0,3,469.79,2,0.557,3,5,0,0.613
7.796,31,51.433,88,83,46.589,0,2.4,35,93.965,0.978,0,81.181,5.793,48,40,4,27,2,0,57.8,3,43.0,3,480.81,3,0.561,2,4,0,0.62
6.532,31,52.194,90,85,47.116,0,2.4,35,96.38,0.977,0,83.065,5.68,50,40,2,29,2,0,58.8,2,42.0,3,482.83,2,0.554,2,4,0,0.614
5.164,32,45.273,72,65,43.036,0,4.6,37,72.022,0.995,18,64.672,7.517,28,44,22,10,3,0,43.1,3,56.0,2,488.62,21,0.662,2,5,0,0.697
5.921,34,48.796,78,71,46.089,0,4.2,39,78.853,0.992,18,70.44,7.277,32,46,22,12,3,0,45.1,3,58.0,2,516.68,21,0.649,2,5,0,0.687
5.291,32,46.989,72,65,44.691,0,4.6,39,71.91,1.005,18,65.32,8.577,26,46,22,10,3,2,40.0,3,58.0,2,557.5,21,0.688,2,7,0,0.723
4.915,32,48.705,72,65,46.346,0,4.6,41,71.798,1.015,18,65.967,9.637,24,48,22,10,3,4,36.9,3,60.0,2,626.38,21,0.713,2,9,0,0.749
5.208,32,47.58,76,69,46.884,0,10.1,43,77.026,1.021,18,70.418,8.386,26,50,22,10,7,0,37.7,7,66.0,4,578.62,25,0.679,4,11,0,0.69
6.143,34,48.796,78,71,46.089,0,4.2,39,78.853,0.992,18,70.44,7.277,32,46,22,12,3,0,45.1,3,58.0,2,516.68,21,0.649,2,5,0,0.687
4.951,32,46.989,72,65,44.691,0,4.6,39,71.91,1.005,18,65.32,8.577,26,46,22,10,3,2,40.0,3,58.0,2,557.5,21,0.688,2,7,0,0.723
5.033,32,47.978,72,65,45.086,0,4.6,39,71.706,1.002,18,65.131,9.945,26,46,22,10,3,2,40.0,3,58.0,2,646.4,21,0.694,2,7,0,0.738
4.947,32,45.148,72,65,43.802,0,4.6,39,72.702,1.011,18,65.698,8.071,26,46,22,10,3,0,40.0,3,58.0,2,524.6,21,0.674,2,7,0,0.695
5.674,40,54.796,86,77,52.089,0,3.9,45,84.853,0.993,28,76.44,7.646,32,54,30,10,3,0,41.6,3,71.0,2,588.74,31,0.676,2,5,0,0.712
4.027,43,66.955,114,102,63.679,0,6.9,54,114.593,1.001,12,102.138,7.186,48,66,16,27,7,0,47.1,3,75.0,3,732.95,15,0.624,4,11,0,0.656
4.06,43,66.807,114,102,62.776,0,4.9,52,114.59,0.994,12,101.367,6.892,50,64,15,28,5,0,49.0,2,72.0,3,702.97,14,0.615,4,9,0,0.655
4.041,43,66.501,113,101,62.964,0,5.9,53,113.384,0.998,12,100.81,7.099,48,65,16,27,6,0,47.5,3,74.0,3,716.95,15,0.623,4,10,0,0.658
5.497,22,36.762,60,60,33.815,0,6.7,26,67.896,0.989,6,59.33,6.043,34,26,9,13,4,0,56.7,2,31.0,14,362.56,8,0.564,0,4,0,0.613
4.764,21,34.398,56,56,30.67,0,1.8,22,63.268,0.971,6,54.349,5.403,34,22,8,13,1,0,60.7,1,26.0,13,302.55,7,0.548,0,1,0,0.614
4.0,17,27.193,44,43,25.654,0,9.3,21,48.405,1.001,0,43.029,6.753,22,22,8,9,4,0,51.2,5,27.0,4,290.39,5,0.597,0,4,0,0.632
4.0,18,27.887,45,43,26.842,0,11.6,23,48.199,1.011,0,43.473,7.358,20,25,9,9,5,0,46.5,6,31.0,3,316.38,6,0.624,0,5,0,0.649
4.0,18,29.102,48,46,28.084,0,13.0,24,51.824,1.015,0,46.683,7.27,22,26,7,11,6,0,47.8,5,31.0,3,334.4,5,0.611,0,6,0,0.633
4.0,19,27.364,42,40,26.788,0,12.5,24,44.369,1.018,18,40.705,8.109,16,26,18,1,5,0,40.0,0,35.0,3,324.35,18,0.67,0,5,0,0.684
4.0,19,27.818,43,41,27.503,0,14.6,25,45.578,1.025,18,42.033,8.301,16,27,18,1,6,0,39.0,0,36.0,3,340.35,18,0.671,0,6,0,0.678
5.108,19,27.057,42,39,26.976,0,15.4,25,43.163,1.029,21,40.149,8.675,14,28,18,1,6,0,35.9,0,38.5,2,338.33,21,0.692,0,6,0,0.694
5.357,22,35.273,59,55,33.036,0,5.5,27,62.022,0.994,10,54.672,6.7,28,31,9,13,3,0,50.9,1,37.0,4,368.52,11,0.601,2,5,0,0.641
6.29,32,46.313,72,66,44.331,0,3.0,39,73.478,0.998,28,65.883,7.782,27,45,26,6,2,0,40.9,2,61.0,7,513.64,30,0.672,5,7,0,0.702
6.375,33,48.074,75,69,45.858,0,2.9,40,76.893,0.997,28,68.767,7.647,29,46,26,7,2,0,42.0,2,62.0,8,527.67,30,0.665,5,7,0,0.697
6.386,34,49.836,78,72,47.385,0,2.8,41,80.308,0.995,28,71.65,7.524,31,47,26,8,2,0,43.1,2,63.0,9,541.7,30,0.658,5,7,0,0.692
6.041,35,51.597,81,75,48.912,0,2.7,42,83.723,0.994,28,74.534,7.41,33,48,26,9,2,0,44.0,2,64.0,10,555.73,30,0.652,5,7,0,0.688
7.387,33,48.074,75,69,45.858,0,2.9,40,76.893,0.997,28,68.767,7.647,29,46,26,7,2,0,42.0,2,62.0,7,527.67,30,0.665,5,7,0,0.697
8.469,34,49.836,78,72,47.385,0,2.8,41,80.308,0.995,28,71.65,7.524,31,47,26,8,2,0,43.1,2,63.0,8,541.7,30,0.658,5,7,0,0.692
7.243,35,51.597,81,75,48.912,0,2.7,42,83.723,0.994,28,74.534,7.41,33,48,26,9,2,0,44.0,2,64.0,9,555.73,30,0.652,5,7,0,0.688
6.74,36,53.358,84,78,50.439,0,2.6,43,87.138,0.993,28,77.418,7.305,35,49,26,10,2,0,44.9,2,65.0,10,569.76,30,0.647,5,7,0,0.684
7.215,34,49.836,78,72,47.385,0,2.8,41,80.308,0.995,28,71.65,7.524,31,47,26,8,2,0,43.1,2,63.0,7,541.7,30,0.658,5,7,0,0.692
7.287,35,51.597,81,75,48.912,0,2.7,42,83.723,0.994,28,74.534,7.41,33,48,26,9,2,0,44.0,2,64.0,8,555.73,30,0.652,5,7,0,0.688
6.585,36,53.358,84,78,50.439,0,2.6,43,87.138,0.993,28,77.418,7.305,35,49,26,10,2,0,44.9,2,65.0,9,569.76,30,0.647,5,7,0,0.684
6.128,37,55.12,87,81,51.965,0,2.5,44,90.554,0.991,28,80.301,7.207,37,50,26,11,2,0,45.7,2,66.0,10,583.79,30,0.642,5,7,0,0.68
5.854,37,58.001,94,91,53.932,0,6.6,43,102.221,0.991,16,90.17,6.471,48,46,19,18,6,0,52.7,3,57.0,21,588.85,19,0.593,0,6,0,0.637
5.699,36,55.785,90,87,51.69,0,5.7,41,97.597,0.988,16,85.959,6.423,46,44,19,17,5,0,52.9,3,55.0,20,558.82,19,0.594,0,5,0,0.641
