pXC50,nHM,nCL,nAB,MW,nSK,nBO,Se,nC,nAT,nCsp3,Sp,nBM,Sv,SCBO,nHet
8.745,4,1,35,1013.81,69.0,75.0,126.748,50,126.0,15,86.063,42,80.734,99.5,19
8.252,3,1,35,977.75,68.0,75.0,125.345,51,125.0,16,84.961,40,79.832,97.5,17
9.046,4,1,35,985.75,67.0,73.0,120.981,48,120.0,13,82.54,42,77.68,97.5,19
6.585,4,2,35,899.06,61.0,67.0,110.261,46,110.0,12,76.62,39,71.628,88.5,15
6.567,3,1,35,932.62,64.0,70.0,114.359,47,113.0,13,77.336,39,73.477,91.5,17
7.77,3,1,35,889.63,62.0,68.0,111.156,47,111.0,12,77.006,40,72.295,91.5,15
8.959,3,1,35,962.6,66.0,72.0,115.13,47,113.0,12,77.484,40,74.38,94.5,19
8.824,4,2,35,929.04,63.0,69.0,111.032,46,110.0,11,76.768,40,72.531,91.5,17
7.337,3,1,35,837.55,58.0,64.0,103.389,43,103.0,10,71.484,39,67.241,85.5,15
6.959,3,1,35,837.55,58.0,64.0,103.389,43,103.0,10,71.484,39,67.241,85.5,15
6.678,3,1,35,851.58,59.0,65.0,106.272,44,106.0,11,73.245,39,68.768,86.5,15
6.854,3,1,35,851.58,59.0,65.0,106.272,44,106.0,11,73.245,39,68.768,86.5,15
6.456,3,1,35,838.53,58.0,64.0,102.614,43,102.0,10,70.932,39,66.935,85.5,15
8.42,4,1,35,958.68,65.0,71.0,114.432,45,113.0,11,78.262,42,74.121,95.5,20
7.721,3,1,35,907.65,63.0,69.0,114.367,47,114.0,12,78.222,40,73.537,91.5,16
8.125,3,1,35,991.78,69.0,76.0,128.228,52,128.0,17,86.722,40,81.359,98.5,17
7.602,4,1,29,931.67,62.0,68.0,113.537,43,112.0,17,75.989,33,71.686,86.5,19
7.721,4,1,30,928.66,62.0,68.0,112.436,44,111.0,16,75.984,34,71.664,87.0,18
7.481,4,1,30,946.65,63.0,69.0,112.948,44,111.0,16,75.921,34,72.047,88.0,19
7.456,4,1,30,942.69,63.0,69.0,115.319,45,114.0,17,77.745,34,73.191,88.0,18
4.363,3,0,6,400.34,22.0,23.0,36.651,15,36.0,4,27.347,10,25.253,30.0,7
4.157,4,0,6,432.41,23.0,24.0,37.727,15,37.0,4,28.994,10,26.44,31.0,8
4.87,2,0,6,377.57,25.0,26.0,47.956,19,48.0,8,33.04,10,30.335,33.0,6
4.674,2,0,6,349.51,23.0,24.0,42.189,17,42.0,6,29.517,10,27.281,31.0,6
5.71,2,0,18,487.68,34.0,37.0,58.84,28,59.0,5,42.801,22,39.862,50.0,6
5.545,3,0,16,487.42,29.0,32.0,44.753,21,44.0,2,34.352,20,32.274,44.0,8
4.848,3,0,12,448.38,26.0,28.0,40.651,19,40.0,2,31.347,16,29.253,38.0,7
4.155,3,0,6,441.4,25.0,27.0,42.636,17,42.0,6,31.114,10,28.801,34.0,8
-5.91,0,0,24,716.64,52.0,58.0,83.607,36,80.0,6,53.932,28,54.812,74.0,16
-5.89,2,0,17,511.62,35.0,38.0,57.374,24,56.0,5,39.892,21,38.468,50.5,11
6.77,1,0,28,483.52,35.0,39.0,53.211,27,52.0,0,38.472,30,37.712,55.0,8
5.585,0,0,18,392.43,29.0,31.0,49.8,23,49.0,3,33.341,20,32.557,42.0,6
6.538,0,0,29,476.5,36.0,40.0,56.8,30,56.0,0,40.341,31,39.557,56.5,6
5.876,1,0,16,2922.85,205.0,207.0,424.045,130,418.0,84,252.337,48,241.698,247.0,75
4.699,3,0,30,857.18,59.0,64.0,107.687,43,107.0,12,73.148,37,68.756,86.0,16
6.602,2,0,24,762.05,53.0,57.0,100.509,39,100.0,14,66.495,29,62.548,74.0,14
5.252,1,0,22,2585.24,182.0,185.0,359.071,111,352.0,60,215.32,53,208.556,227.0,71
4.381,0,0,12,272.32,20.0,21.0,36.378,16,36.0,3,23.909,13,23.074,28.0,4
5.469,0,0,18,364.42,27.0,29.0,47.473,22,47.0,3,31.887,19,30.842,39.0,5
5.367,4,0,24,841.08,57.0,62.0,94.476,42,93.0,8,67.637,32,64.18,82.0,15
4.674,4,0,24,885.14,60.0,65.0,101.571,44,100.0,10,71.614,32,67.948,85.0,16
-6.63,0,0,18,458.4,33.0,36.0,53.553,22,51.0,3,33.852,19,34.604,46.0,11
5.481,4,3,18,470.77,29.0,31.0,44.527,20,43.0,1,33.136,21,31.765,43.0,9
5.62,3,0,6,400.34,22.0,23.0,36.651,15,36.0,4,27.347,10,25.253,30.0,7
4.854,1,0,42,602.65,45.0,54.0,63.978,36,63.0,0,48.818,46,47.819,79.0,9
4.932,2,0,23,442.16,24.0,27.0,37.847,20,38.0,0,30.046,23,27.781,38.5,4
4.983,0,0,12,300.34,22.0,24.0,38.698,16,38.0,4,25.159,15,24.59,33.0,6
-6.64,0,0,18,442.4,32.0,35.0,52.225,22,50.0,3,33.398,19,33.889,45.0,10
7.137,2,0,18,667.98,46.0,49.0,90.97,34,91.0,15,59.824,23,55.591,63.0,12
6.636,2,0,18,639.92,44.0,47.0,85.203,32,85.0,13,56.302,23,52.538,61.0,12
6.783,2,0,24,804.09,56.0,61.0,105.719,41,105.0,16,69.711,29,65.789,78.0,15
5.201,2,0,24,551.66,38.0,41.0,61.443,27,60.0,2,43.136,29,41.664,58.0,11
5.77,0,0,12,240.22,18.0,20.0,26.844,14,26.0,0,18.864,14,18.966,28.0,4
5.703,2,0,24,634.79,44.0,47.0,75.338,31,74.0,5,51.398,30,49.312,65.0,13
5.796,2,0,24,724.98,51.0,55.0,91.421,38,91.0,10,62.546,31,59.032,75.0,13
6.155,2,0,18,698.01,48.0,51.0,95.181,35,95.0,16,62.04,23,57.833,65.0,13
6.456,2,0,24,717.96,50.0,54.0,90.716,37,90.0,10,61.239,30,57.921,72.0,13
6.032,2,0,24,732.02,51.0,55.0,96.298,38,96.0,13,64.279,29,60.306,72.0,13
4.301,2,0,24,743.0,52.0,57.0,94.632,38,94.0,12,63.762,30,60.274,75.0,14
6.921,2,0,24,785.14,55.0,60.0,106.723,42,107.0,17,71.114,29,66.193,77.0,13
5.928,3,1,24,734.41,50.0,54.0,90.527,37,90.0,10,62.159,30,58.365,72.0,13
5.523,2,0,18,712.04,49.0,52.0,98.065,36,98.0,17,63.802,23,59.36,66.0,13
6.699,2,0,18,738.08,51.0,55.0,101.948,38,102.0,19,66.563,23,61.886,69.0,13
6.347,3,1,24,734.41,50.0,54.0,90.527,37,90.0,10,62.159,30,58.365,72.0,13
5.886,2,0,30,779.08,55.0,60.0,101.072,42,101.0,11,68.83,35,64.613,80.0,13
5.276,2,0,24,700.96,49.0,53.0,89.421,36,89.0,10,60.546,30,57.032,71.0,13
6.337,2,0,24,788.1,55.0,60.0,104.385,40,104.0,15,69.052,29,64.876,77.0,15
6.523,3,1,24,766.46,52.0,56.0,96.621,38,96.0,13,65.137,29,61.133,73.0,14
6.699,2,0,24,746.05,52.0,56.0,99.181,39,99.0,14,66.04,29,61.833,73.0,13
6.301,3,1,24,766.46,52.0,56.0,96.621,38,96.0,13,65.137,29,61.133,73.0,14
7.0,2,0,24,750.01,52.0,56.0,96.81,38,96.0,13,64.216,29,60.689,73.0,14
6.72,2,0,24,679.88,47.0,51.0,85.098,34,84.0,9,56.892,29,54.112,68.0,13
6.678,2,0,24,767.97,53.0,57.0,94.625,38,93.0,11,62.875,30,60.214,75.0,15
9.0,3,1,30,813.52,56.0,61.0,101.396,42,101.0,11,69.688,35,65.44,81.0,14
6.444,2,0,36,855.18,61.0,67.0,110.839,48,111.0,11,76.353,41,71.666,90.0,13
6.77,2,0,30,847.08,59.0,64.0,105.494,43,104.0,12,70.404,35,67.289,84.0,16
6.602,2,0,24,730.0,51.0,55.0,94.414,38,94.0,11,63.517,30,59.779,73.0,13
4.301,2,0,24,787.06,55.0,60.0,101.727,40,101.0,14,67.739,30,64.042,78.0,15
5.77,2,0,24,702.98,49.0,53.0,91.305,36,91.0,11,61.307,29,57.559,70.0,13
5.487,2,0,24,634.84,44.0,47.0,78.778,32,78.0,7,53.466,29,50.651,64.0,12
6.135,2,0,18,681.96,47.0,51.0,90.414,34,90.0,15,59.517,23,55.779,65.0,13
7.125,2,0,18,653.9,45.0,48.0,84.647,32,84.0,12,55.995,24,52.726,63.0,13
4.301,2,2,12,577.58,39.0,43.0,74.57,29,74.0,15,48.983,14,46.224,51.0,10
5.9,2,0,18,639.92,44.0,47.0,85.203,32,85.0,13,56.302,23,52.538,61.0,12
5.91,2,0,24,648.87,45.0,48.0,81.661,33,81.0,8,55.228,29,52.177,65.0,12
7.036,2,0,18,653.95,45.0,48.0,88.087,33,88.0,14,58.063,23,54.064,62.0,12
7.155,2,0,24,762.05,53.0,57.0,100.509,39,100.0,14,66.495,29,62.548,74.0,14
6.398,2,0,24,662.85,46.0,49.0,81.105,33,80.0,7,54.921,30,52.365,67.0,13
5.0,2,0,24,648.82,45.0,48.0,78.222,32,77.0,6,53.159,30,50.839,66.0,13
6.499,2,0,24,776.08,54.0,58.0,103.392,40,103.0,15,68.256,29,64.074,75.0,14
6.717,2,0,18,568.78,39.0,42.0,71.567,28,71.0,9,48.25,23,45.409,56.0,11
6.917,2,0,24,776.03,54.0,58.0,99.952,39,99.0,13,66.188,30,62.736,76.0,15
5.481,2,0,30,809.11,57.0,62.0,105.283,43,105.0,12,71.046,35,66.854,82.0,14
6.409,2,0,30,809.11,57.0,62.0,105.283,43,105.0,12,71.046,35,66.854,82.0,14
6.222,2,0,24,717.96,50.0,54.0,90.716,37,90.0,10,61.239,30,57.921,72.0,13
4.301,2,0,24,716.96,50.0,54.0,90.749,36,90.0,10,61.0,30,57.747,72.0,14
6.022,2,0,24,733.01,51.0,55.0,95.516,37,95.0,12,63.523,29,59.801,72.0,14
5.533,2,0,24,757.03,53.0,58.0,97.516,39,97.0,13,65.523,30,61.801,76.0,14
5.658,2,0,18,596.84,41.0,44.0,77.334,30,77.0,11,51.773,23,48.463,58.0,11
6.027,2,0,24,717.01,50.0,54.0,94.189,37,94.0,12,63.069,29,59.086,71.0,13
6.469,0,0,12,340.4,25.0,27.0,45.473,20,45.0,5,29.887,14,28.842,35.0,5
5.129,3,0,6,414.37,23.0,24.0,39.534,16,39.0,5,29.108,10,26.78,31.0,7
-4.0,0,0,30,868.75,63.0,70.0,99.684,43,95.0,6,64.272,35,65.725,90.0,20
-6.16,0,0,18,564.53,41.0,46.0,67.531,29,65.0,6,43.591,21,43.899,58.0,12
5.77,4,0,24,797.02,54.0,59.0,87.382,40,86.0,6,63.659,32,60.412,79.0,14
5.367,4,0,24,782.99,53.0,58.0,84.498,39,83.0,5,61.898,32,58.885,78.0,14
6.523,0,0,15,317.42,24.0,27.0,42.702,20,43.0,3,29.563,18,27.993,37.5,4
6.387,1,0,18,3001.83,211.0,213.0,424.579,130,417.0,76,253.252,54,244.359,258.0,81
6.187,0,0,16,2813.65,199.0,201.0,407.106,125,401.0,77,242.013,50,232.744,243.0,74
7.959,1,0,5,2438.11,170.0,170.0,345.969,100,339.0,66,203.314,36,196.535,203.5,70
4.757,1,0,18,2562.25,180.0,182.0,359.736,110,353.0,62,214.837,48,207.588,221.0,70
6.523,1,0,28,3117.96,220.0,224.0,437.666,137,430.0,75,263.025,64,253.929,274.0,83
5.866,1,0,22,3041.86,214.0,217.0,427.899,131,420.0,75,255.502,58,246.875,264.0,83
4.651,1,0,5,1839.37,128.0,128.0,260.18,74,255.0,48,153.03,28,147.776,153.5,54
4.537,1,0,0,1834.42,127.0,126.0,267.518,77,263.0,56,156.444,21,149.985,147.0,50
7.959,2,0,28,3637.71,256.0,263.0,511.019,161,503.0,93,308.951,70,297.027,319.0,95
6.745,3,1,24,766.46,52.0,56.0,96.621,38,96.0,13,65.137,29,61.133,73.0,14
6.699,3,0,24,810.91,52.0,56.0,96.527,38,96.0,13,65.631,29,61.331,73.0,14
6.097,1,0,28,3101.96,219.0,223.0,436.339,137,429.0,75,262.57,64,253.214,273.0,82
6.142,2,0,24,621.79,43.0,46.0,75.12,31,74.0,6,51.154,29,48.817,63.0,12
-6.08,0,0,6,520.64,37.0,38.0,74.171,26,73.0,15,45.046,11,43.432,46.0,11
4.301,2,0,24,731.98,51.0,55.0,92.85,36,92.0,10,62.006,30,58.768,73.0,15
5.167,3,0,24,781.08,53.0,57.0,97.92,37,97.0,12,65.625,31,61.702,76.0,16
4.921,2,0,12,411.58,28.0,30.0,49.073,22,49.0,5,35.279,16,32.808,40.0,6
7.31,1,0,28,3161.0,223.0,227.0,442.088,137,434.0,74,265.28,65,256.466,278.0,86
4.851,1,0,5,2889.7,202.0,204.0,411.812,121,404.0,82,242.729,41,234.306,242.5,81
4.238,2,0,12,411.58,28.0,30.0,49.073,22,49.0,5,35.279,16,32.808,40.0,6
4.699,3,0,24,767.05,52.0,56.0,95.036,36,94.0,11,63.864,31,60.176,75.0,16
5.519,1,0,6,2879.6,201.0,202.0,405.823,119,397.0,77,238.558,42,231.354,241.0,82
5.078,0,0,0,1725.22,121.0,120.0,250.58,72,246.0,49,146.12,23,141.03,143.0,49
5.541,2,0,0,2952.77,204.0,203.0,419.761,121,411.0,85,245.882,36,237.309,239.0,83
5.807,1,0,21,2927.8,206.0,209.0,416.706,127,410.0,76,248.922,55,239.489,253.5,79
5.796,0,0,22,305.32,23.0,26.0,34.814,16,34.0,0,24.222,24,24.117,39.0,7
9.0,4,1,24,974.73,65.0,71.0,121.421,47,120.0,20,80.927,30,76.158,89.0,18
6.721,0,0,29,542.68,41.0,46.0,70.876,34,71.0,5,49.284,31,47.078,62.5,7
9.0,3,1,30,793.53,55.0,60.0,99.741,43,100.0,11,69.779,34,65.01,80.0,12
5.251,0,0,29,584.72,44.0,49.0,76.087,36,76.0,6,52.5,32,50.32,66.5,8
5.979,1,0,29,619.8,45.0,50.0,78.265,35,78.0,6,54.154,33,51.528,68.5,10
5.247,1,1,23,626.26,45.0,49.0,84.719,36,85.0,12,56.955,26,53.561,63.5,9
5.886,2,1,17,590.2,41.0,46.0,73.261,31,73.0,10,50.557,21,47.641,58.5,10
9.0,3,1,24,845.62,58.0,63.0,110.93,44,111.0,17,74.734,30,69.547,81.0,14
6.569,1,1,23,640.29,46.0,50.0,87.603,37,88.0,13,58.716,26,55.088,64.5,9
9.0,3,1,30,852.52,58.0,63.0,104.272,43,103.0,12,70.563,33,66.907,81.0,15
5.796,2,1,17,630.27,44.0,50.0,80.029,34,80.0,13,55.08,21,51.695,62.5,10
5.502,2,1,23,676.35,47.0,51.0,89.007,36,89.0,13,59.819,27,55.99,66.5,11
5.699,2,1,17,590.2,41.0,46.0,73.261,31,73.0,10,50.557,21,47.641,58.5,10
9.0,3,1,24,831.59,57.0,62.0,108.047,43,108.0,16,72.972,30,68.021,80.0,14
6.292,0,0,23,621.85,46.0,50.0,88.607,37,89.0,13,58.313,26,54.975,64.5,9
5.971,1,1,17,536.18,38.0,41.0,75.509,30,76.0,13,49.739,19,46.32,51.5,8
8.62,3,1,24,819.53,56.0,61.0,103.607,41,103.0,14,69.904,30,65.682,79.0,15
6.959,0,0,29,541.7,41.0,46.0,71.65,34,72.0,5,49.836,31,47.385,62.5,7
6.553,0,0,29,584.72,44.0,49.0,76.087,36,76.0,6,52.5,32,50.32,66.5,8
6.757,0,0,17,515.77,38.0,41.0,78.068,31,79.0,14,50.643,19,47.019,51.5,7
7.377,1,1,17,550.21,39.0,42.0,78.392,31,79.0,14,51.501,19,47.846,52.5,8
6.319,1,1,29,577.12,42.0,47.0,71.2,34,71.0,5,50.142,31,47.906,63.5,8
5.824,0,0,23,476.62,36.0,41.0,63.665,30,64.0,7,44.069,25,41.837,54.5,6
4.301,0,0,23,436.55,33.0,37.0,56.898,27,57.0,4,39.546,25,37.783,50.5,6
9.0,3,1,24,817.56,56.0,61.0,105.163,42,105.0,15,71.211,30,66.494,79.0,14
5.602,0,0,23,450.58,34.0,38.0,59.781,28,60.0,5,41.307,25,39.31,51.5,6
6.108,1,1,17,537.16,38.0,41.0,74.734,30,75.0,13,49.188,19,46.013,51.5,8
5.108,0,0,6,504.74,37.0,42.0,76.294,30,77.0,18,49.091,10,45.712,49.0,7
5.387,0,0,6,504.74,37.0,42.0,76.294,30,77.0,18,49.091,10,45.712,49.0,7
5.268,0,0,6,461.66,34.0,39.0,68.425,28,69.0,16,44.563,10,41.637,46.0,6
4.971,0,0,23,468.57,35.0,39.0,60.294,28,60.0,5,41.245,25,39.693,52.5,7
9.0,3,1,24,803.53,55.0,60.0,102.279,41,102.0,14,69.449,30,64.967,78.0,14
5.076,0,0,12,527.72,39.0,44.0,75.636,32,76.0,14,49.779,16,46.879,54.0,7
6.886,0,0,17,546.73,40.0,43.0,78.065,31,78.0,13,50.239,20,47.615,54.5,9
-4.0,0,0,12,306.29,22.0,24.0,37.476,15,36.0,3,23.511,12,23.691,30.0,7
9.0,3,1,24,845.62,58.0,63.0,110.93,44,111.0,17,74.734,30,69.547,81.0,14
5.523,0,0,23,468.57,35.0,39.0,60.294,28,60.0,5,41.245,25,39.693,52.5,7
5.721,0,0,23,464.61,35.0,39.0,62.665,29,63.0,6,43.069,25,40.837,52.5,6
5.114,0,0,23,478.64,36.0,40.0,65.549,30,66.0,7,44.83,25,42.364,53.5,6
5.328,0,0,18,290.38,22.0,24.0,39.607,20,40.0,2,27.762,18,26.171,33.0,2
6.796,1,1,17,536.18,38.0,41.0,75.509,30,76.0,13,49.739,19,46.32,51.5,8
6.155,1,1,17,522.15,37.0,40.0,72.625,29,73.0,12,47.978,19,44.793,50.5,8
4.77,0,0,11,1809.29,128.0,129.0,257.58,79,253.0,46,153.12,34,148.03,157.5,49
6.187,1,1,23,642.32,46.0,50.0,89.479,36,90.0,14,59.273,25,55.416,63.5,10
6.824,0,0,29,569.76,43.0,48.0,77.418,36,78.0,7,53.358,31,50.439,64.5,7
9.0,3,1,30,742.38,51.0,56.0,87.76,38,87.0,7,61.637,35,58.311,76.0,13
6.854,0,0,29,555.73,42.0,47.0,74.534,35,75.0,6,51.597,31,48.912,63.5,7
5.523,2,1,17,630.27,44.0,50.0,80.029,34,80.0,13,55.08,21,51.695,62.5,10
5.167,0,0,18,593.75,44.0,50.0,80.149,36,80.0,12,53.716,22,51.262,63.0,8
6.796,0,0,29,556.71,42.0,47.0,73.76,35,74.0,6,51.046,31,48.605,63.5,7
9.0,4,1,30,900.59,60.0,65.0,106.676,43,105.0,12,72.665,35,68.809,85.0,17
6.222,1,0,23,637.92,46.0,50.0,88.356,37,89.0,13,59.506,26,55.448,64.5,9
5.602,2,1,17,630.27,44.0,50.0,80.029,34,80.0,13,55.08,21,51.695,62.5,10
5.367,2,1,17,577.15,40.0,45.0,69.603,30,69.0,9,48.245,21,45.808,57.5,10
7.262,1,1,29,576.14,42.0,47.0,71.974,34,72.0,5,50.694,31,48.212,63.5,8
5.587,0,0,29,556.71,42.0,47.0,73.76,35,74.0,6,51.046,31,48.605,63.5,7
6.886,1,1,23,656.29,47.0,51.0,88.93,37,89.0,13,59.171,26,55.803,65.5,10
4.854,2,1,17,577.15,40.0,45.0,69.603,30,69.0,9,48.245,21,45.808,57.5,10
6.121,0,0,0,1739.25,122.0,121.0,253.464,73,249.0,50,147.882,23,142.557,144.0,49
5.921,2,2,12,566.57,39.0,44.0,72.072,31,72.0,13,49.279,16,46.292,54.0,8
9.0,3,1,30,855.56,59.0,65.0,106.607,44,106.0,13,72.904,35,68.682,85.0,15
9.0,4,1,30,846.62,57.0,62.0,105.138,43,105.0,12,72.853,35,67.659,82.0,14
6.678,0,0,29,556.71,42.0,47.0,73.76,35,74.0,6,51.046,31,48.605,63.5,7
5.553,0,0,10,1798.27,127.0,128.0,255.798,77,251.0,46,151.365,33,146.525,156.0,50
7.523,1,1,23,685.34,49.0,53.0,93.916,38,94.0,14,61.938,26,58.351,67.5,11
4.683,0,0,12,1835.33,130.0,131.0,261.464,81,257.0,46,155.882,35,150.557,160.0,49
4.525,1,0,0,1743.26,121.0,120.0,248.773,71,244.0,48,146.007,23,140.69,143.0,50
9.0,3,1,30,768.52,53.0,58.0,98.523,42,99.0,11,68.535,33,63.516,76.0,11
9.0,4,1,24,946.67,63.0,69.0,115.654,45,114.0,18,77.404,30,73.105,87.0,18
6.481,0,0,23,606.83,45.0,49.0,86.505,37,87.0,13,57.307,26,53.954,63.5,8
9.0,3,1,30,782.55,54.0,59.0,101.407,43,102.0,12,70.296,33,65.043,77.0,11
5.284,0,0,18,589.79,44.0,50.0,82.519,37,83.0,13,55.54,22,52.406,63.0,7
6.222,0,0,29,556.71,42.0,47.0,73.76,35,74.0,6,51.046,31,48.605,63.5,7
6.678,1,0,29,621.57,42.0,47.0,71.105,34,71.0,5,50.637,31,48.104,63.5,8
6.137,0,0,29,583.74,44.0,49.0,76.861,36,77.0,6,53.052,32,50.627,66.5,8
9.0,3,1,30,836.52,57.0,62.0,102.945,43,102.0,12,70.109,33,66.193,80.0,14
5.824,2,1,17,630.27,44.0,50.0,80.029,34,80.0,13,55.08,21,51.695,62.5,10
9.0,3,1,30,864.53,59.0,64.0,105.272,44,104.0,12,71.563,34,67.907,83.0,15
5.658,2,2,12,570.53,39.0,44.0,69.701,30,69.0,12,47.455,16,45.149,54.0,9
5.096,0,0,6,1804.23,127.0,127.0,254.569,75,249.0,46,149.512,31,145.428,155.0,52
5.697,0,0,17,472.69,35.0,38.0,70.199,29,71.0,12,46.114,19,42.944,48.5,6
6.959,0,0,29,526.68,40.0,45.0,69.549,34,70.0,5,48.83,31,46.364,61.5,6
6.523,0,0,22,518.6,38.0,41.0,68.872,30,68.0,8,45.057,24,43.62,54.0,8
5.854,0,0,23,518.71,39.0,44.0,72.316,33,73.0,10,49.353,25,46.417,57.5,6
6.097,0,0,29,512.65,39.0,44.0,66.665,33,67.0,4,47.069,31,44.837,60.5,6
6.42,1,1,17,551.2,39.0,42.0,77.61,30,78.0,13,50.745,19,47.341,52.5,9
5.638,0,0,23,468.57,35.0,39.0,60.294,28,60.0,5,41.245,25,39.693,52.5,7
4.762,1,0,17,525.49,34.0,37.0,63.105,26,63.0,9,42.637,19,40.104,47.5,8
5.213,0,0,11,1823.32,129.0,130.0,260.464,80,256.0,47,154.882,34,149.557,158.5,49
5.945,1,1,6,1793.67,125.0,125.0,252.02,75,247.0,46,149.217,29,144.331,151.0,50
6.338,0,0,34,700.84,52.0,57.0,92.61,42,92.0,8,62.114,36,59.77,76.0,10
6.31,2,2,34,741.66,52.0,57.0,87.491,40,86.0,6,60.307,36,58.372,76.0,12
5.237,0,0,21,329.39,25.0,28.0,40.254,19,40.0,0,28.29,23,27.456,40.5,6
6.149,0,0,22,656.84,48.0,53.0,92.378,38,92.0,16,59.637,24,56.824,66.0,10
6.155,0,0,34,696.8,52.0,59.0,88.843,42,88.0,8,60.591,36,58.717,78.0,10
6.174,0,0,34,728.9,54.0,59.0,98.378,44,98.0,10,65.637,36,62.824,78.0,10
4.097,0,0,22,462.58,34.0,37.0,64.218,28,64.0,8,42.148,22,40.191,48.0,6
6.824,0,0,34,672.78,50.0,55.0,86.843,40,86.0,6,58.591,36,56.717,74.0,10
6.319,0,0,34,586.72,44.0,49.0,77.985,38,78.0,6,53.671,34,51.244,66.0,6
5.357,2,2,34,741.66,52.0,57.0,87.491,40,86.0,6,60.307,36,58.372,76.0,12
6.155,0,0,34,728.9,54.0,59.0,98.378,44,98.0,10,65.637,36,62.824,78.0,10
5.939,0,0,12,240.22,18.0,20.0,26.844,14,26.0,0,18.864,14,18.966,28.0,4
-4.0,0,0,12,290.29,21.0,23.0,36.149,15,35.0,3,23.057,12,22.976,29.0,6
6.496,1,0,11,331.42,24.0,28.0,37.127,19,37.0,4,27.926,15,26.6,38.5,5
