pXC50,nAB,Sp,Me,Sv,nCsp2,nBM,nHet,Si,nAT,nH,Se,RBN,nC,C.,Mi,RBF,X.,nX,O.,nF,nBT,SCBO,AMW,N.,nCsp3,H.
6.558,12,30.591,1.032,30.385,12,14,8,52.67,46,18,47.451,4,20,43.5,1.145,0.083,6.5,3,4.3,3,48,39.0,8.465,6.5,7,39.1
6.78,11,34.472,1.04,34.561,12,14,10,60.63,53,21,55.098,7,22,41.5,1.144,0.127,5.7,3,9.4,3,55,43.5,8.499,3.8,9,39.6
6.357,11,33.148,1.045,33.002,11,14,11,56.008,49,18,51.182,6,20,40.8,1.143,0.118,6.1,3,8.2,3,51,42.5,9.255,6.1,8,36.7
7.33,16,34.239,1.031,33.572,14,18,9,55.59,49,18,50.527,4,22,44.9,1.134,0.077,6.1,3,4.1,3,52,45.0,9.092,6.1,7,36.7
6.489,11,31.239,1.033,30.572,10,13,9,52.59,46,18,47.527,4,19,41.3,1.143,0.083,6.5,3,4.3,3,48,38.5,8.902,6.5,8,39.1
7.237,17,35.051,1.036,35.121,15,19,10,59.377,52,19,53.88,5,23,44.2,1.142,0.091,5.8,3,5.8,3,55,47.5,8.778,7.7,7,36.5
6.799,17,35.051,1.036,35.121,15,19,10,59.377,52,19,53.88,5,23,44.2,1.142,0.091,5.8,3,5.8,3,55,47.5,8.778,7.7,7,36.5
5.301,11,29.858,1.029,29.799,15,17,8,48.033,43,15,44.244,2,20,46.5,1.117,0.043,0.0,0,11.6,0,47,43.5,8.776,7.0,5,34.9
5.0,12,27.767,0.993,26.192,15,14,3,45.654,41,19,40.709,4,19,46.3,1.114,0.093,0.0,0,4.9,0,43,32.0,7.156,2.4,4,46.3
5.013,11,26.654,0.997,24.853,13,13,4,42.159,38,17,37.902,4,17,44.7,1.109,0.1,0.0,0,5.3,0,40,30.5,7.879,2.6,4,44.7
6.465,6,27.341,1.027,26.869,8,8,6,48.088,42,18,43.131,1,18,42.9,1.145,0.022,7.1,3,4.8,3,45,32.0,8.033,2.4,10,42.9
7.26,0,31.569,0.981,28.805,5,3,2,56.232,50,28,49.025,1,20,40.0,1.125,0.019,0.0,0,4.0,0,53,28.0,6.01,0.0,15,56.0
7.77,0,36.853,0.978,33.385,5,3,2,66.477,59,34,57.676,4,23,39.0,1.127,0.065,0.0,0,3.4,0,62,31.0,5.806,0.0,18,57.6
7.317,6,24.96,1.017,23.794,10,9,5,37.712,34,13,34.589,1,16,47.1,1.109,0.027,5.9,2,5.9,0,37,30.0,9.476,2.9,6,38.2
5.796,24,58.313,1.005,55.264,26,28,11,98.77,88,41,88.461,18,36,40.9,1.122,0.198,0.0,0,8.0,0,91,66.0,7.499,3.4,10,46.6
5.594,11,27.404,1.023,27.084,12,15,7,44.824,40,15,40.916,2,18,45.0,1.121,0.045,0.0,0,10.0,0,44,38.5,8.434,7.5,6,37.5
7.421,0,45.66,0.974,41.019,5,3,2,83.553,74,44,72.094,9,28,37.8,1.129,0.117,0.0,0,2.7,0,77,36.0,5.577,0.0,23,59.5
7.77,0,42.137,0.975,37.966,5,3,2,76.723,68,40,66.327,7,26,38.2,1.128,0.099,0.0,0,2.9,0,71,34.0,5.657,0.0,21,58.8
5.359,6,32.506,1.044,32.836,9,10,11,57.587,50,19,52.207,3,20,40.0,1.152,0.057,6.0,3,8.0,3,53,42.0,8.729,8.0,10,38.0
5.417,11,35.602,1.025,35.116,13,16,10,60.986,54,22,55.323,4,22,40.7,1.129,0.069,0.0,0,11.1,0,58,46.5,8.12,7.4,9,40.7
4.983,6,34.267,1.039,34.363,9,10,11,61.002,53,21,55.091,3,21,39.6,1.151,0.054,5.7,3,7.5,3,56,43.0,8.499,7.5,11,39.6
8.151,6,24.972,1.059,25.74,8,10,9,43.76,38,13,40.236,2,16,42.1,1.152,0.049,7.9,3,10.5,3,41,35.0,9.324,5.3,8,34.2
5.876,11,35.602,1.025,35.116,13,16,10,60.986,54,22,55.323,4,22,40.7,1.129,0.069,0.0,0,11.1,0,58,46.5,8.12,7.4,9,40.7
5.301,6,32.506,1.044,32.836,9,10,11,57.587,50,19,52.207,3,20,40.0,1.152,0.057,6.0,3,8.0,3,53,42.0,8.729,8.0,10,38.0
5.45,6,30.932,1.017,30.159,9,10,8,53.152,47,20,47.785,3,19,40.4,1.131,0.06,0.0,0,8.5,0,50,38.0,7.839,8.5,9,42.6
5.378,6,30.932,1.017,30.159,9,10,8,53.152,47,20,47.785,3,19,40.4,1.131,0.06,0.0,0,8.5,0,50,38.0,7.839,8.5,9,42.6
7.721,0,49.183,0.973,44.073,5,3,2,90.384,80,48,77.861,11,30,37.5,1.13,0.133,0.0,0,2.5,0,83,38.0,5.51,0.0,25,60.0
6.722,12,32.529,1.045,33.068,15,16,10,53.547,47,15,49.112,2,22,46.8,1.139,0.039,6.4,3,6.4,3,51,47.0,9.37,8.5,6,31.9
5.444,24,47.779,1.028,46.488,25,27,12,77.609,69,27,70.963,12,30,43.5,1.125,0.167,4.3,3,8.7,2,72,60.0,8.944,2.9,5,39.1
4.932,24,47.046,1.009,44.894,25,27,9,76.986,69,30,69.614,12,30,43.5,1.116,0.167,0.0,0,8.7,0,72,57.0,7.923,2.9,5,43.5
6.57,6,45.836,0.984,42.175,11,9,4,81.015,72,39,70.872,5,29,40.3,1.125,0.066,0.0,0,4.2,0,76,43.0,6.246,1.4,18,54.2
5.301,23,41.955,0.998,39.497,20,24,7,66.899,60,26,59.858,6,27,45.0,1.115,0.094,0.0,0,3.3,0,64,50.5,7.844,6.7,7,43.3
5.301,23,42.591,1.015,41.09,21,25,10,68.531,61,24,61.916,5,27,44.3,1.123,0.077,1.6,1,4.9,1,65,54.5,8.486,8.2,6,39.3
5.301,23,44.353,1.012,42.617,21,25,10,71.947,64,26,64.8,6,28,43.8,1.124,0.088,1.6,1,4.7,1,68,55.5,8.307,7.8,7,40.6
7.268,11,35.165,1.002,33.138,10,13,7,59.923,53,25,53.105,4,21,39.6,1.131,0.073,1.9,1,3.8,0,55,38.5,7.565,7.5,10,47.2
6.757,6,28.779,0.998,27.235,7,9,5,49.651,44,21,43.912,3,18,40.9,1.128,0.067,0.0,0,4.5,0,45,32.0,7.078,6.8,9,47.7
7.495,6,28.392,1.0,26.568,7,8,5,48.511,43,21,43.018,3,17,39.5,1.128,0.068,2.3,1,4.7,0,44,29.0,7.462,4.7,9,48.8
7.155,6,29.296,0.991,27.267,7,8,4,51.983,46,24,45.578,3,18,39.1,1.13,0.064,0.0,0,4.3,0,47,29.0,6.531,4.3,10,52.2
6.9,6,29.108,1.024,28.417,7,8,7,53.002,46,21,47.116,3,18,39.1,1.152,0.064,6.5,3,4.3,3,47,32.0,7.705,4.3,10,45.7
6.793,6,28.392,1.0,26.568,7,8,5,48.511,43,21,43.018,3,17,39.5,1.128,0.068,2.3,1,4.7,0,44,29.0,7.462,4.7,9,48.8
6.285,6,28.54,0.995,26.762,6,8,5,51.066,45,23,44.796,3,17,37.8,1.135,0.065,0.0,0,4.4,0,46,29.0,6.698,6.7,10,51.1
7.086,12,32.642,1.007,31.084,11,14,7,54.093,48,21,48.338,4,20,41.7,1.127,0.08,2.1,1,4.2,0,50,38.0,8.019,8.3,8,43.8
7.125,11,31.642,1.007,30.084,10,13,7,53.093,47,21,47.338,4,19,40.4,1.13,0.082,2.1,1,4.3,0,49,36.5,7.934,8.5,8,44.7
7.377,11,31.642,1.007,30.084,10,13,7,53.093,47,21,47.338,4,19,40.4,1.13,0.082,2.1,1,4.3,0,49,36.5,7.934,8.5,8,44.7
7.699,11,33.404,1.004,31.611,10,13,7,56.508,50,23,50.222,4,20,40.0,1.13,0.077,2.0,1,4.0,0,52,37.5,7.738,8.0,9,46.0
7.523,11,32.097,1.014,30.799,9,13,8,54.302,48,21,48.665,4,19,39.6,1.131,0.08,2.1,1,6.3,0,50,37.5,8.102,8.3,9,43.8
7.796,16,35.648,1.008,34.105,13,18,8,58.591,52,22,52.44,4,22,42.3,1.127,0.073,1.9,1,3.8,0,55,44.0,8.153,9.6,8,42.3
7.161,16,37.409,1.006,35.632,13,18,8,62.006,55,24,55.323,4,23,41.8,1.127,0.069,1.8,1,3.6,0,58,45.0,7.963,9.1,9,43.6
6.866,11,37.381,1.006,35.379,10,13,8,64.548,57,27,57.316,7,22,38.6,1.132,0.119,1.8,1,5.3,0,59,40.5,7.561,7.0,11,47.4
6.866,11,35.62,1.008,33.852,10,13,8,61.133,54,25,54.432,6,21,38.9,1.132,0.107,1.9,1,5.6,0,56,39.5,7.721,7.4,10,46.3
7.229,11,35.62,1.008,33.852,10,13,8,61.133,54,25,54.432,6,21,38.9,1.132,0.107,1.9,1,5.6,0,56,39.5,7.721,7.4,10,46.3
7.046,11,36.409,1.006,34.632,10,14,8,61.006,54,24,54.323,6,22,40.7,1.13,0.107,1.9,1,3.7,0,56,42.5,7.888,9.3,10,44.4
6.788,11,37.625,1.009,35.874,11,14,9,64.631,57,26,57.534,6,22,38.6,1.134,0.102,1.8,1,5.3,0,59,42.5,7.789,8.8,10,45.6
6.759,11,39.387,1.007,37.4,11,14,9,68.046,60,28,60.418,6,23,38.3,1.134,0.097,1.7,1,5.0,0,62,43.5,7.633,8.3,11,46.7
6.842,16,35.796,1.004,34.299,12,18,8,61.145,54,24,54.218,4,22,40.7,1.132,0.07,0.0,0,3.7,0,57,44.0,7.491,11.1,9,44.4
4.301,12,22.841,1.023,21.433,13,13,5,31.718,29,10,29.68,4,14,48.3,1.094,0.133,6.9,2,6.9,0,30,27.0,10.8,0.0,1,34.5
5.461,12,31.983,0.998,30.434,16,15,4,52.279,47,21,46.92,4,22,46.8,1.112,0.08,0.0,0,6.4,0,50,38.0,7.392,2.1,6,44.7
4.301,12,30.529,0.991,28.719,15,14,3,50.069,45,21,44.592,4,21,46.7,1.113,0.083,0.0,0,4.4,0,48,35.0,7.098,2.2,6,46.7
4.301,12,30.012,1.006,27.899,14,15,6,45.499,41,17,41.233,2,18,43.9,1.11,0.045,2.4,1,4.9,0,44,36.0,9.886,4.9,4,41.5
4.301,11,24.154,1.017,23.568,13,13,5,40.242,36,15,36.596,3,16,44.4,1.118,0.079,0.0,0,11.1,0,38,30.5,7.926,2.8,3,41.7
5.0,11,21.108,1.035,20.777,10,13,8,32.661,29,9,30.007,1,12,41.4,1.126,0.031,0.0,0,6.9,0,32,30.5,9.908,17.2,2,31.0
5.444,17,28.631,1.02,27.831,16,19,8,43.491,39,13,39.774,2,18,46.2,1.115,0.047,0.0,0,5.1,0,43,40.5,9.319,12.8,2,33.3
5.229,17,28.568,1.033,28.214,16,19,9,43.831,39,12,40.287,2,18,46.2,1.124,0.047,2.6,1,5.1,1,43,41.5,9.78,12.8,2,30.8
5.328,17,28.568,1.033,28.214,16,19,9,43.831,39,12,40.287,2,18,46.2,1.124,0.047,2.6,1,5.1,1,43,41.5,9.78,12.8,2,30.8
5.0,17,28.568,1.033,28.214,16,19,9,43.831,39,12,40.287,2,18,46.2,1.124,0.047,2.6,1,5.1,1,43,41.5,9.78,12.8,2,30.8
7.022,17,29.387,1.014,28.336,17,19,7,44.408,40,14,40.556,2,19,47.5,1.11,0.045,0.0,0,5.0,0,44,40.5,9.061,10.0,2,35.0
5.921,18,31.898,1.003,30.347,20,20,5,47.242,43,16,43.12,2,22,51.2,1.099,0.043,0.0,0,4.7,0,47,42.0,8.662,4.7,2,37.2
5.0,17,26.495,1.007,25.655,16,18,5,42.405,38,15,38.262,2,18,47.4,1.116,0.049,0.0,0,5.3,0,41,35.5,8.036,7.9,2,39.5
5.0,17,26.432,1.02,26.038,16,18,6,42.745,38,14,38.774,2,18,47.4,1.125,0.049,2.6,1,5.3,1,41,36.5,8.509,7.9,2,36.8
5.0,17,28.068,1.041,28.331,16,18,8,46.839,41,14,42.683,2,19,46.3,1.142,0.045,7.3,3,4.9,3,44,39.5,9.106,7.3,3,34.1
5.0,17,28.006,1.054,28.715,16,18,9,47.179,41,13,43.196,2,19,46.3,1.151,0.045,9.8,4,4.9,4,44,40.5,9.545,7.3,3,31.7
5.0,17,27.943,1.066,29.098,16,18,10,47.519,41,12,43.709,2,19,46.3,1.159,0.045,12.2,5,4.9,5,44,41.5,9.984,7.3,3,29.3
5.347,17,28.864,1.061,29.542,16,18,10,47.123,41,12,43.52,2,19,46.3,1.149,0.045,12.2,5,4.9,4,44,41.5,10.385,7.3,3,29.3
5.0,17,29.767,1.047,30.241,16,18,9,50.594,44,15,46.08,2,20,45.5,1.15,0.043,9.1,4,4.5,4,47,41.5,9.213,6.8,4,34.1
5.194,17,35.205,1.004,33.697,17,20,6,59.401,53,24,53.232,8,23,43.4,1.121,0.145,0.0,0,7.5,0,55,42.5,7.405,3.8,6,45.3
5.0,11,24.159,1.019,23.59,11,14,6,41.741,37,16,37.698,5,15,40.5,1.128,0.132,0.0,0,10.8,0,38,30.5,7.793,5.4,4,43.2
5.0,11,25.921,1.015,25.116,11,14,6,45.156,40,18,40.582,5,16,40.0,1.129,0.122,0.0,0,10.0,0,41,31.5,7.559,5.0,5,45.0
5.184,17,31.682,1.01,30.643,17,20,6,52.571,47,20,47.465,6,21,44.7,1.119,0.122,0.0,0,8.5,0,49,40.5,7.754,4.3,4,42.6
5.0,17,33.443,1.007,32.17,17,20,6,55.986,50,22,50.349,7,22,44.0,1.12,0.135,0.0,0,8.0,0,52,41.5,7.569,4.0,5,44.0
5.21,11,35.728,1.0,33.75,11,14,6,63.232,56,28,56.0,7,22,39.3,1.129,0.121,0.0,0,7.1,0,58,38.5,6.866,3.6,11,50.0
5.31,17,33.137,1.016,32.358,18,21,7,54.78,49,20,49.793,6,22,44.9,1.118,0.118,0.0,0,10.2,0,51,43.5,8.009,4.1,4,40.8
5.164,17,34.239,1.024,33.26,17,22,9,55.91,50,20,51.196,7,21,42.0,1.118,0.135,0.0,0,12.0,0,52,45.5,8.57,4.0,4,40.0
5.0,17,31.682,1.01,30.643,17,20,6,52.571,47,20,47.465,6,21,44.7,1.119,0.122,0.0,0,8.5,0,49,40.5,7.754,4.3,4,42.6
5.03,17,29.921,1.013,29.116,17,20,6,49.156,44,18,44.582,5,20,45.5,1.117,0.109,0.0,0,9.1,0,46,39.5,7.964,4.5,3,40.9
5.21,17,30.228,1.003,28.928,16,19,5,50.362,45,20,45.138,5,20,44.4,1.119,0.106,0.0,0,6.7,0,47,37.5,7.476,4.4,4,44.4
5.169,17,31.228,1.003,29.928,17,20,5,51.362,46,20,46.138,5,21,45.7,1.117,0.104,0.0,0,6.5,0,48,39.5,7.575,4.3,4,43.5
5.0,17,28.012,0.998,26.687,16,19,4,45.737,41,18,40.927,4,19,46.3,1.116,0.093,0.0,0,4.9,0,43,35.5,7.473,4.9,3,43.9
5.293,17,30.529,0.991,28.719,17,18,3,50.069,45,21,44.592,5,21,46.7,1.113,0.106,0.0,0,4.4,0,47,35.5,7.098,2.2,4,46.7
5.0,17,31.773,0.996,30.214,17,19,4,51.152,46,20,45.811,5,22,47.8,1.112,0.104,0.0,0,4.3,0,48,39.5,7.488,4.3,4,43.5
5.0,17,33.347,1.025,32.89,17,19,7,55.587,49,19,50.232,5,23,46.9,1.134,0.098,6.1,3,4.1,3,51,43.5,8.417,4.1,5,38.8
5.0,17,29.347,0.988,27.752,16,19,3,45.401,41,17,40.491,3,21,51.2,1.107,0.07,0.0,0,0.0,0,43,38.5,7.595,7.3,3,41.5
5.658,17,28.591,0.993,27.246,15,19,4,44.484,40,16,39.709,3,20,50.0,1.112,0.071,0.0,0,0.0,0,42,38.5,7.81,10.0,3,40.0
5.0,17,29.449,1.001,28.074,15,19,5,44.428,40,15,40.033,3,20,50.0,1.111,0.071,2.5,1,0.0,0,42,39.5,8.671,10.0,3,37.5
7.427,17,30.807,0.998,29.488,15,19,5,49.109,44,18,43.92,4,21,47.7,1.116,0.087,0.0,0,2.3,0,46,40.5,7.782,9.1,4,40.9
7.517,17,31.665,1.006,30.316,15,19,6,49.053,44,17,44.243,4,21,47.7,1.115,0.087,2.3,1,2.3,0,46,41.5,8.565,9.1,4,38.6
6.403,17,29.904,1.009,28.789,15,19,6,45.638,41,15,41.36,4,20,48.8,1.113,0.093,2.4,1,2.4,0,43,40.5,8.85,9.8,3,36.6
5.0,17,29.904,1.009,28.789,15,19,6,45.638,41,15,41.36,4,20,48.8,1.113,0.093,2.4,1,2.4,0,43,40.5,8.85,9.8,3,36.6
6.979,6,22.063,1.047,22.31,7,8,7,39.341,34,13,35.582,2,14,41.2,1.157,0.057,8.8,3,5.9,3,35,28.0,8.773,5.9,6,38.2
6.575,6,27.04,1.04,27.078,8,9,8,48.381,42,17,43.676,4,17,40.5,1.152,0.093,7.1,3,7.1,3,43,33.0,8.437,4.8,8,40.5
6.199,11,29.29,1.044,29.594,9,13,10,51.962,45,17,46.996,4,18,40.0,1.155,0.085,6.7,3,6.7,3,47,38.5,8.764,8.9,8,37.8
7.114,17,36.75,1.041,37.031,15,19,11,63.132,55,20,57.276,5,24,43.6,1.148,0.086,7.3,4,5.5,4,58,49.5,8.881,7.3,8,36.4
7.149,17,35.051,1.036,35.121,15,19,10,59.377,52,19,53.88,5,23,44.2,1.142,0.091,5.8,3,5.8,3,55,47.5,8.778,7.7,7,36.5
6.883,6,26.83,1.038,26.858,7,9,8,47.254,41,16,42.567,4,17,41.5,1.153,0.095,7.3,3,4.9,3,42,34.0,8.57,7.3,8,39.0
6.58,6,26.04,1.041,26.078,7,8,8,47.381,41,17,42.676,4,16,39.0,1.156,0.095,7.3,3,7.3,3,42,31.0,8.35,4.9,8,41.5
6.452,6,27.801,1.035,27.605,7,8,8,50.796,44,19,45.56,4,17,38.6,1.154,0.089,6.8,3,6.8,3,45,32.0,8.1,4.5,9,43.2
6.119,6,29.563,1.031,29.132,7,8,8,54.211,47,21,48.443,4,18,38.3,1.153,0.083,6.4,3,6.4,3,48,33.0,7.881,4.3,10,44.7
6.338,6,27.801,1.035,27.605,7,8,8,50.796,44,19,45.56,4,17,38.6,1.154,0.089,6.8,3,6.8,3,45,32.0,8.1,4.5,9,43.2
6.431,6,29.563,1.031,29.132,7,8,8,54.211,47,21,48.443,5,18,38.3,1.153,0.104,6.4,3,6.4,3,48,33.0,7.881,4.3,10,44.7
7.167,6,26.114,1.012,25.009,7,9,6,42.764,38,16,38.469,4,16,42.1,1.125,0.103,2.6,1,5.3,0,39,31.0,8.363,7.9,7,42.1
5.481,12,20.932,1.009,20.305,13,13,3,33.119,30,12,30.284,1,15,50.0,1.104,0.031,0.0,0,10.0,0,32,27.0,8.009,0.0,2,40.0
6.486,17,37.711,0.996,35.423,16,19,6,61.714,55,25,54.778,5,24,43.6,1.122,0.088,1.8,1,1.8,0,57,43.5,7.654,7.3,7,45.5
6.349,17,38.165,1.002,36.137,16,19,7,62.923,56,25,56.105,6,24,42.9,1.124,0.103,1.8,1,3.6,0,58,44.5,7.803,7.1,7,44.6
5.31,17,37.404,1.004,35.611,16,19,7,60.508,54,23,54.222,4,24,44.4,1.121,0.07,1.9,1,3.7,0,57,45.5,8.055,7.4,7,42.6
5.745,17,36.858,1.01,35.325,16,19,8,60.717,54,23,54.549,6,23,42.6,1.124,0.107,1.9,1,5.6,0,56,44.5,8.129,7.4,6,42.6
5.0,17,27.284,1.0,26.135,15,18,4,43.741,39,16,39.003,3,19,48.7,1.122,0.073,2.6,1,0.0,1,41,35.5,7.83,7.7,3,41.0
5.959,17,28.142,1.008,26.963,15,18,5,43.685,39,15,39.327,3,19,48.7,1.12,0.073,5.1,2,0.0,1,41,36.5,8.713,7.7,3,38.5
5.0,17,28.858,1.034,28.812,15,18,7,48.175,42,15,43.425,3,20,47.6,1.147,0.068,9.5,4,0.0,4,44,39.5,8.89,7.1,4,35.7
5.0,17,28.142,1.008,26.963,15,18,5,43.685,39,15,39.327,3,19,48.7,1.12,0.073,5.1,2,0.0,1,41,36.5,8.713,7.7,3,38.5
6.567,17,26.835,1.021,26.151,15,18,6,41.479,37,13,37.771,3,18,48.6,1.121,0.077,5.4,2,2.7,1,39,36.5,9.238,8.1,2,35.1
5.104,17,26.381,1.012,25.436,15,18,5,40.27,36,13,36.443,2,18,50.0,1.119,0.053,5.6,2,0.0,1,38,35.5,9.05,8.3,2,36.1
5.48,17,29.904,1.005,28.489,15,18,5,47.1,42,17,42.211,4,20,47.6,1.121,0.091,4.8,2,0.0,1,44,37.5,8.425,7.1,4,40.5
7.452,17,28.597,1.016,27.677,15,18,6,44.894,40,15,40.654,3,19,47.5,1.122,0.071,5.0,2,2.5,1,42,37.5,8.895,7.5,3,37.5
5.0,17,30.665,1.006,29.316,16,19,6,48.053,43,17,43.243,4,20,46.5,1.118,0.089,2.3,1,2.3,0,45,39.5,8.485,9.3,3,39.5
6.37,17,30.665,1.006,29.316,16,19,6,48.053,43,17,43.243,4,20,46.5,1.118,0.089,2.3,1,2.3,0,45,39.5,8.485,9.3,3,39.5
5.0,17,30.665,1.006,29.316,16,19,6,48.053,43,17,43.243,4,20,46.5,1.118,0.089,2.3,1,2.3,0,45,39.5,8.485,9.3,3,39.5
5.443,17,32.426,1.003,30.842,16,19,6,51.468,46,19,46.127,4,21,45.7,1.119,0.083,2.2,1,2.2,0,48,40.5,8.237,8.7,4,41.3
5.199,17,34.188,1.0,32.369,16,19,6,54.883,49,21,49.011,4,22,44.9,1.12,0.078,2.0,1,2.0,0,51,41.5,8.019,8.2,5,42.9
5.285,17,34.642,1.007,33.084,16,19,7,56.093,50,21,50.338,6,22,44.0,1.122,0.115,2.0,1,4.0,0,52,42.5,8.178,8.0,5,42.0
5.523,17,36.097,1.013,34.799,16,19,8,58.302,52,21,52.665,4,23,44.2,1.121,0.073,1.9,1,5.8,0,55,45.5,8.402,7.7,6,40.4
5.0,17,30.364,1.018,29.525,15,19,8,48.346,43,16,43.789,4,19,44.2,1.124,0.089,2.3,1,4.7,0,45,40.5,8.88,11.6,3,37.2
5.367,17,35.648,1.008,34.105,15,19,8,58.591,52,22,52.44,5,22,42.3,1.127,0.093,1.9,1,3.8,0,54,43.5,8.153,9.6,6,42.3
5.149,17,30.364,1.018,29.525,15,19,8,48.346,43,16,43.789,4,19,44.2,1.124,0.089,2.3,1,4.7,0,45,40.5,8.88,11.6,3,37.2
6.8,12,34.409,1.049,34.945,15,15,11,60.97,53,20,55.611,5,22,41.5,1.15,0.091,7.5,4,9.4,4,55,44.0,8.838,3.8,7,37.7
5.538,12,49.12,0.981,44.755,13,13,4,89.261,79,45,77.523,12,30,38.0,1.13,0.15,0.0,0,3.8,0,80,42.0,5.921,1.3,17,57.0
5.0,12,46.262,0.989,42.637,12,12,5,84.766,75,42,74.192,12,28,37.3,1.13,0.158,0.0,0,6.7,0,76,40.0,6.116,0.0,16,56.0
6.959,12,33.722,1.053,34.39,12,14,12,60.891,52,19,54.749,2,21,40.4,1.171,0.037,11.5,6,1.9,6,54,44.0,9.066,9.6,8,36.5
5.921,12,34.364,1.029,33.955,12,14,10,61.081,53,22,54.538,3,21,39.6,1.152,0.055,5.7,3,3.8,3,55,42.0,8.179,9.4,8,41.5
5.0,12,49.569,0.984,45.449,14,14,4,88.972,79,44,77.748,12,31,39.2,1.126,0.15,0.0,0,5.1,0,80,44.0,6.085,0.0,17,55.7
5.471,12,48.671,0.978,44.062,12,12,4,89.55,79,46,77.297,12,29,36.7,1.134,0.15,0.0,0,2.5,0,80,40.0,5.757,2.5,17,58.2
5.932,12,46.052,0.988,42.417,13,13,5,83.64,74,41,73.083,12,28,37.8,1.13,0.16,0.0,0,5.4,0,75,41.0,6.158,1.4,15,55.4
6.167,12,33.91,1.023,33.24,12,14,9,59.872,52,22,53.21,2,21,40.4,1.151,0.037,5.8,3,1.9,3,54,41.0,8.028,9.6,8,42.3
6.854,12,32.148,1.027,31.713,12,14,9,56.457,49,20,50.327,2,20,40.8,1.152,0.039,6.1,3,2.0,3,51,40.0,8.234,10.2,7,40.8
6.699,12,33.392,1.031,33.208,12,15,10,57.54,50,19,51.545,2,21,42.0,1.151,0.038,6.0,3,2.0,3,52,44.0,8.569,12.0,7,38.0
6.658,12,35.557,1.024,34.427,12,14,10,60.792,53,22,54.287,3,21,39.6,1.147,0.055,5.7,3,1.9,3,55,42.0,8.482,9.4,8,41.5
6.721,12,34.364,1.029,33.955,12,14,10,61.081,53,22,54.538,3,21,39.6,1.152,0.055,5.7,3,3.8,3,55,42.0,8.179,9.4,8,41.5
5.0,12,32.603,1.033,32.428,12,15,10,57.666,50,20,51.654,2,20,40.0,1.153,0.038,6.0,3,4.0,3,52,42.0,8.389,10.0,7,40.0
6.77,18,30.614,1.032,30.617,19,20,7,48.63,43,14,44.356,3,22,51.2,1.131,0.065,7.0,3,2.3,3,46,44.0,9.149,7.0,2,32.6
6.428,12,26.614,1.035,26.617,13,14,7,44.63,39,14,40.356,2,18,46.2,1.144,0.049,7.7,3,2.6,3,41,36.0,8.855,7.7,4,35.9
6.533,12,24.853,1.041,25.09,13,14,7,41.215,36,12,37.472,2,17,47.2,1.145,0.053,8.3,3,2.8,3,38,35.0,9.203,8.3,3,33.3
7.218,18,29.858,1.037,30.111,18,20,8,47.713,42,13,43.574,3,21,50.0,1.136,0.067,7.1,3,2.4,3,45,44.0,9.39,9.5,2,31.0
6.231,18,29.858,1.037,30.111,18,20,8,47.713,42,13,43.574,3,21,50.0,1.136,0.067,7.1,3,2.4,3,45,44.0,9.39,9.5,2,31.0
6.521,18,29.858,1.037,30.111,18,20,8,47.713,42,13,43.574,3,21,50.0,1.136,0.067,7.1,3,2.4,3,45,44.0,9.39,9.5,2,31.0
6.41,18,29.858,1.037,30.111,18,20,8,47.713,42,13,43.574,3,21,50.0,1.136,0.067,7.1,3,2.4,3,45,44.0,9.39,9.5,2,31.0
6.488,18,32.375,1.027,32.143,19,20,7,52.045,46,16,47.24,3,23,50.0,1.131,0.061,6.5,3,2.2,3,49,45.0,8.857,6.5,3,34.8
6.9,23,32.847,1.026,32.493,20,25,9,49.013,44,13,45.124,4,22,50.0,1.114,0.083,2.3,1,4.5,0,48,49.5,9.747,13.6,1,29.5
6.737,23,34.608,1.021,34.019,20,25,9,52.429,47,15,48.007,4,23,48.9,1.116,0.078,2.1,1,4.3,0,51,50.5,9.423,12.8,2,31.9
6.706,18,37.29,1.034,37.295,20,21,9,61.425,54,19,55.847,3,26,48.1,1.137,0.053,7.4,4,3.7,4,57,51.0,8.916,5.6,5,35.2
6.783,18,37.932,1.012,36.86,20,21,7,61.615,55,22,55.636,4,26,47.3,1.12,0.069,1.8,1,5.5,1,58,49.0,8.064,5.5,5,40.0
7.099,18,35.233,1.005,33.95,18,20,6,56.86,51,21,51.24,4,24,47.1,1.115,0.074,0.0,0,5.9,0,54,45.0,7.833,5.9,5,41.2
5.108,12,32.148,1.027,31.713,12,14,9,56.457,49,20,50.327,2,20,40.8,1.152,0.039,6.1,3,2.0,3,51,40.0,8.234,10.2,7,40.8
6.886,12,33.91,1.023,33.24,12,14,9,59.872,52,22,53.21,2,21,40.4,1.151,0.037,5.8,3,1.9,3,54,41.0,8.028,9.6,8,42.3
6.328,12,35.819,1.034,35.669,13,15,11,63.291,55,22,56.865,4,22,40.0,1.151,0.07,5.5,3,5.5,3,57,45.0,8.391,9.1,8,40.0
5.301,0,32.785,0.986,30.046,3,2,3,59.856,53,30,52.236,2,20,37.7,1.129,0.036,0.0,0,5.7,0,56,28.0,6.009,0.0,17,56.6
5.752,0,34.853,0.977,31.385,2,1,2,64.477,57,34,55.676,2,21,36.8,1.131,0.033,0.0,0,3.5,0,60,27.0,5.589,0.0,19,59.6
6.764,0,33.188,0.985,30.159,4,2,3,58.591,52,29,51.232,1,20,38.5,1.127,0.018,1.9,1,3.8,0,55,28.0,6.48,0.0,16,55.8
