pXC50,nS,nH,nHM,nCsp2,nBM,MW,Se,Sp,Si,nDB,nAT
6.0,2,68,2,28,30,1061.44,143.388,91.228,161.539,8,142.0
6.0,2,95,3,43,45,1627.87,204.112,132.524,228.91,11,202.0
6.35,2,67,2,35,37,1122.47,147.614,95.677,165.25,9,146.0
6.595,2,99,3,38,40,1631.92,207.871,133.842,234.113,12,206.0
6.0,2,100,2,39,41,1566.04,212.784,133.546,239.02,13,210.0
6.488,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.0,0,30,0,16,18,418.59,60.549,39.83,68.81,2,61.0
5.0,0,29,0,13,16,395.55,57.774,37.279,65.521,0,58.0
5.0,0,31,0,13,16,421.59,61.658,40.04,69.936,0,62.0
5.0,0,24,0,13,16,369.48,51.192,33.239,57.821,0,51.0
5.0,1,28,1,13,18,460.61,60.723,39.08,67.943,2,60.0
6.0,2,110,2,44,46,1628.21,226.548,143.444,255.678,12,225.0
6.481,2,68,2,34,36,1093.47,146.068,94.978,163.958,8,145.0
6.419,2,73,2,35,37,1180.56,157.592,101.416,176.705,9,156.0
6.0,2,72,2,40,42,1169.57,155.835,102.501,174.788,8,155.0
7.886,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.149,3,75,3,43,47,1234.72,162.243,109.007,182.203,9,162.0
8.564,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.607,2,67,2,34,36,1110.46,146.614,94.677,164.25,8,145.0
6.199,2,106,2,52,53,1660.19,225.788,145.126,253.475,12,224.0
7.0,0,74,0,37,41,1123.46,156.886,100.217,176.945,9,156.0
7.0,2,69,2,36,40,1116.51,148.843,97.529,167.247,8,148.0
6.0,2,105,2,46,48,1669.17,225.653,143.075,253.349,14,223.0
6.305,2,66,2,33,36,1113.46,145.759,94.194,163.8,8,144.0
6.507,2,99,2,43,45,1515.03,207.701,132.177,233.894,11,206.0
6.428,2,70,2,37,41,1127.54,150.617,99.08,169.536,8,150.0
7.0,2,83,2,47,52,1342.81,179.675,118.564,201.944,9,179.0
8.013,2,68,3,36,37,1230.38,147.919,99.393,165.595,8,147.0
6.936,2,77,2,41,43,1256.66,167.359,108.938,187.536,9,166.0
6.14,2,67,2,35,37,1122.47,147.614,95.677,165.25,9,146.0
6.418,2,65,2,31,35,1102.44,143.977,92.438,161.883,8,142.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.9,2,76,2,41,46,1205.66,162.268,107.365,182.781,8,162.0
6.0,2,79,2,42,44,1314.71,173.89,112.404,194.742,10,172.0
6.0,2,102,2,45,47,1612.11,218.341,138.853,245.226,13,216.0
6.46,2,71,2,35,37,1166.53,154.708,99.654,173.29,9,153.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
7.39,2,70,2,36,40,1131.53,150.945,98.535,169.745,8,150.0
9.2,2,103,2,40,42,1595.09,217.77,136.314,244.934,14,215.0
8.086,2,66,2,34,36,1095.44,144.512,93.671,161.752,8,143.0
6.0,2,102,2,45,47,1612.11,218.341,138.853,245.226,13,216.0
6.0,2,97,3,43,45,1641.9,206.995,134.285,232.326,11,205.0
5.0,2,96,2,43,45,1501.98,204.042,129.865,229.19,11,202.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.767,2,72,2,41,46,1177.6,156.501,103.842,175.951,8,156.0
6.921,2,66,2,33,36,1113.46,145.759,94.194,163.8,8,144.0
7.957,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
5.0,2,102,2,45,47,1600.1,217.341,137.853,244.226,13,215.0
6.108,2,68,2,35,37,1137.49,149.716,96.683,167.749,9,148.0
6.7,0,54,0,26,28,823.06,114.756,73.194,129.211,6,114.0
6.57,2,65,2,31,35,1102.44,143.977,92.438,161.883,8,142.0
7.747,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
7.447,2,66,2,34,36,1095.44,144.512,93.671,161.752,8,143.0
6.157,2,68,3,36,37,1230.38,147.919,99.393,165.595,8,147.0
6.0,2,67,3,28,30,1187.33,143.457,93.887,161.26,8,142.0
6.0,2,96,2,43,45,1485.98,202.715,129.41,227.98,11,201.0
5.911,2,70,2,31,34,1051.48,144.297,93.83,162.954,7,144.0
7.237,3,72,5,33,36,1232.53,156.108,103.967,175.174,8,155.0
8.469,2,98,2,39,41,1524.0,207.573,130.331,233.396,13,205.0
7.42,2,67,3,37,41,1163.95,149.385,98.631,167.274,8,148.0
6.056,2,92,2,31,33,1421.85,193.93,120.251,217.778,11,191.0
9.18,2,104,2,41,43,1638.12,222.199,138.774,249.642,15,219.0
7.807,2,67,2,36,40,1102.48,145.959,95.768,163.832,8,145.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.0,2,97,2,44,46,1545.01,208.472,132.325,233.898,12,206.0
7.927,2,65,2,28,30,1032.39,138.403,88.461,155.626,8,137.0
5.807,2,77,2,46,48,1244.69,166.377,110.575,186.908,8,166.0
6.0,2,97,2,45,46,1497.0,204.497,131.166,229.897,11,203.0
9.5,0,72,0,39,41,1089.43,152.355,98.751,171.739,7,152.0
6.717,2,66,2,41,46,1135.51,147.85,98.558,165.705,8,147.0
7.353,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
8.0,2,66,2,34,36,1095.44,144.512,93.671,161.752,8,143.0
8.469,2,98,2,39,41,1524.0,207.573,130.331,233.396,13,205.0
6.112,2,110,2,45,47,1668.23,229.875,145.899,258.887,13,228.0
6.0,2,72,2,40,42,1185.57,157.163,102.955,175.998,8,156.0
6.0,2,134,2,46,48,1884.61,268.445,167.99,304.242,14,267.0
6.0,2,108,2,45,47,1654.2,226.991,144.137,255.472,13,225.0
6.629,2,70,2,37,41,1143.54,151.945,99.535,170.745,8,151.0
6.125,2,62,2,28,30,1003.34,133.417,85.694,149.712,8,132.0
6.0,2,98,2,38,40,1492.0,204.919,129.422,230.977,12,203.0
6.0,2,99,2,44,46,1527.04,208.701,133.177,234.894,11,207.0
7.959,2,79,2,37,39,1294.68,172.217,109.859,192.951,11,170.0
6.021,2,98,3,46,47,1680.94,211.097,137.291,236.824,12,209.0
6.0,2,64,4,29,31,1327.2,142.97,96.239,159.775,9,141.0
6.208,2,135,2,48,49,1895.63,270.227,169.746,306.159,14,269.0
6.614,2,74,2,41,46,1191.63,159.384,105.603,179.366,8,159.0
6.0,2,68,3,36,37,1230.38,147.919,99.393,165.595,8,147.0
7.0,2,79,2,43,47,1278.72,170.908,112.041,192.114,9,170.0
7.244,2,75,2,41,43,1242.63,164.475,107.177,184.121,9,163.0
6.0,2,97,2,45,46,1497.0,204.497,131.166,229.897,11,203.0
6.678,2,77,2,42,44,1300.68,171.006,110.643,191.327,10,169.0
8.174,2,67,2,36,37,1090.46,144.966,94.972,162.46,8,144.0
5.989,2,70,3,35,37,1292.42,154.777,102.313,173.011,9,153.0
9.1,2,106,2,41,43,1652.15,225.082,140.535,253.057,15,222.0
8.367,2,96,2,39,41,1509.97,204.69,128.569,229.981,13,202.0
5.0,2,106,2,43,45,1556.13,217.133,138.217,245.056,11,216.0
6.0,2,101,3,38,40,1645.95,210.755,135.603,237.528,12,209.0
6.0,2,105,2,50,52,1649.17,224.006,143.37,251.558,12,222.0
7.292,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.0,2,107,2,46,48,1683.2,228.537,144.836,256.764,14,226.0
6.0,2,67,2,35,37,1122.47,147.614,95.677,165.25,9,146.0
6.0,2,99,2,33,33,1522.98,208.33,128.245,234.313,15,205.0
6.0,2,100,2,39,41,1566.04,212.784,133.546,239.02,13,210.0
8.6,2,97,2,41,43,1581.01,211.446,132.484,236.898,15,208.0
9.1,0,66,0,39,41,1047.34,143.705,93.467,161.493,7,143.0
6.401,2,65,2,31,35,1102.44,143.977,92.438,161.883,8,142.0
6.0,2,103,3,38,40,1659.98,213.639,137.365,240.943,12,212.0
6.0,2,98,2,43,45,1516.01,206.926,131.626,232.605,11,205.0
6.026,2,68,2,30,32,1133.47,149.363,94.387,167.539,10,147.0
6.959,2,85,2,42,44,1356.8,182.541,117.688,204.987,10,181.0
6.231,2,68,2,35,37,1153.49,151.043,97.137,168.958,9,149.0
6.047,2,62,2,28,30,1003.34,133.417,85.694,149.712,8,132.0
7.171,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.0,2,122,2,45,47,1756.41,247.497,155.717,279.96,13,246.0
6.0,2,109,2,46,48,1697.23,231.42,146.598,260.18,14,229.0
6.0,2,72,2,40,42,1185.57,157.163,102.955,175.998,8,156.0
6.077,2,66,2,33,36,1113.46,145.759,94.194,163.8,8,144.0
6.352,2,88,2,48,50,1433.88,191.533,124.66,214.529,10,190.0
6.553,2,93,2,45,46,1468.94,198.73,127.643,223.067,11,197.0
6.0,2,85,2,42,44,1356.8,182.541,117.688,204.987,10,181.0
5.796,2,74,2,43,47,1203.64,160.384,106.603,180.366,8,160.0
6.955,2,58,2,33,36,1257.38,149.861,93.694,166.517,8,144.0
6.285,0,67,0,39,41,1018.34,142.159,92.768,160.201,7,142.0
8.521,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.011,2,96,2,45,48,1542.0,207.37,132.319,232.399,13,205.0
6.0,2,110,2,45,47,1668.23,229.875,145.899,258.887,13,228.0
6.21,2,96,3,43,45,1626.89,204.886,133.075,230.199,11,203.0
6.0,2,106,2,51,53,1692.2,228.435,145.831,256.266,13,226.0
6.0,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
6.394,0,56,0,26,28,809.08,115.312,73.501,130.417,6,115.0
8.469,2,67,2,36,37,1106.46,146.294,95.427,163.669,8,145.0
5.866,2,64,2,27,30,1033.38,137.621,87.705,154.709,8,136.0
6.317,2,72,3,42,46,1318.5,158.679,107.711,177.798,8,158.0
7.0,2,72,2,36,40,1145.56,153.828,100.296,173.16,8,153.0
8.8,0,62,0,38,40,975.26,134.29,88.239,150.872,6,134.0
6.272,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.0,2,106,2,45,47,1640.17,224.108,142.376,252.057,13,222.0
6.0,2,108,2,45,47,1654.2,226.991,144.137,255.472,13,225.0
6.0,2,100,2,38,40,1506.03,207.802,131.183,234.392,12,206.0
6.0,2,100,2,39,41,1566.04,212.784,133.546,239.02,13,210.0
6.421,2,68,2,41,46,1149.54,150.734,100.319,169.12,8,150.0
7.2,2,69,2,32,35,1096.48,147.17,94.984,165.456,8,146.0
6.178,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.0,2,66,2,29,31,1075.42,142.832,90.921,160.333,9,141.0
6.047,2,62,2,28,30,1003.34,133.417,85.694,149.712,8,132.0
6.767,2,72,2,41,46,1177.6,156.501,103.842,175.951,8,156.0
7.215,2,68,3,36,37,1230.38,147.919,99.393,165.595,8,147.0
5.0,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.462,2,96,2,43,45,1485.98,202.715,129.41,227.98,11,201.0
6.907,2,57,2,31,35,1246.36,148.079,91.938,164.601,8,142.0
6.0,2,107,2,50,52,1663.2,226.89,145.132,254.974,12,225.0
6.0,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
6.0,2,97,2,43,45,1501.0,204.817,130.416,230.479,11,203.0
6.301,2,106,2,51,53,1692.2,228.435,145.831,256.266,13,226.0
8.509,2,67,2,36,37,1106.46,146.294,95.427,163.669,8,145.0
9.2,2,104,2,41,43,1622.12,220.871,138.319,248.432,15,218.0
6.0,2,97,2,41,43,1581.01,211.446,132.484,236.898,15,208.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.0,2,107,3,50,52,1788.11,227.733,148.342,255.983,12,226.0
6.567,2,69,2,37,41,1145.53,151.13,99.018,169.875,8,150.0
6.135,2,69,2,32,35,1096.48,147.17,94.984,165.456,8,146.0
6.767,2,79,2,43,44,1282.7,171.243,111.7,191.951,9,170.0
6.678,3,79,3,40,46,1266.78,168.33,111.779,189.615,9,168.0
7.854,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
7.921,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
5.793,0,82,1,54,58,1317.13,178.199,118.422,200.257,8,178.0
6.854,2,65,2,28,30,1032.39,138.403,88.461,155.626,8,137.0
5.0,0,51,0,19,21,677.94,100.116,62.518,113.879,5,100.0
6.585,0,54,0,26,28,807.06,113.428,72.739,128.002,6,113.0
7.886,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
5.988,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
6.0,0,151,0,69,73,2211.91,313.445,199.155,353.85,17,312.0
6.086,2,71,2,28,30,1074.48,147.054,93.745,165.871,8,146.0
6.419,2,98,2,43,45,1500.01,205.599,131.172,231.396,11,204.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.574,0,65,0,39,41,1004.31,139.275,91.007,156.786,7,139.0
6.205,2,71,2,35,37,1166.53,154.708,99.654,173.29,9,153.0
7.854,2,69,2,36,37,1120.49,149.177,97.188,167.084,8,148.0
6.0,2,98,2,46,47,1556.03,210.253,134.081,235.814,12,208.0
6.538,2,105,3,51,53,1818.09,228.504,148.49,255.987,13,226.0
6.208,0,82,1,54,58,1317.13,178.199,118.422,200.257,8,178.0
6.0,2,111,2,46,48,1711.26,234.304,148.359,263.595,14,232.0
6.757,2,73,3,37,41,1190.04,156.708,103.461,176.31,8,156.0
5.755,2,75,2,43,47,1218.66,162.486,107.609,182.864,8,162.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.9,0,54,0,26,28,807.06,113.428,72.739,128.002,6,113.0
6.77,1,28,1,20,27,484.68,62.734,43.512,70.686,1,63.0
5.0,0,42,0,16,18,574.8,83.825,53.557,95.301,2,84.0
6.0,2,65,3,29,31,1201.31,142.901,93.58,160.054,9,141.0
6.0,2,96,2,43,45,1501.98,204.042,129.865,229.19,11,202.0
6.019,2,70,2,30,32,1163.5,153.574,96.603,172.164,10,151.0
6.654,2,78,2,36,38,1267.65,169.115,107.853,189.453,10,167.0
6.256,3,75,3,37,41,1231.7,161.857,106.95,182.041,8,161.0
6.77,2,58,2,33,36,1257.38,149.861,93.694,166.517,8,144.0
6.7,2,100,2,35,37,1562.02,212.432,131.251,238.811,15,209.0
6.0,2,67,2,34,36,1094.46,145.286,94.222,163.041,8,144.0
7.167,2,71,2,39,45,1166.58,154.719,102.086,174.034,8,154.0
6.87,2,76,2,41,43,1257.65,166.577,108.183,186.619,9,165.0
6.357,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
7.071,2,69,3,37,41,1161.98,150.941,99.938,169.48,8,150.0
6.0,2,101,3,38,40,1645.95,210.755,135.603,237.528,12,209.0
5.924,3,72,5,33,36,1232.53,156.108,103.967,175.174,8,155.0
7.244,2,66,4,33,36,1235.26,145.192,97.024,162.804,8,144.0
7.092,2,91,2,45,46,1454.91,195.846,125.882,219.652,11,194.0
6.0,2,100,2,39,41,1566.04,212.784,133.546,239.02,13,210.0
6.488,2,76,3,42,44,1426.57,171.075,113.302,191.047,10,169.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
8.8,2,102,2,41,43,1608.09,217.988,136.558,245.017,15,215.0
8.1,2,100,2,35,37,1562.02,212.432,131.251,238.811,15,209.0
8.7,0,74,0,39,41,1103.46,155.239,100.512,175.154,7,155.0
6.0,2,48,2,20,22,785.06,103.258,66.205,115.806,6,102.0
6.415,2,66,2,33,36,1113.46,145.759,94.194,163.8,8,144.0
6.043,2,59,2,33,35,978.32,128.777,85.018,144.38,7,128.0
8.097,2,67,2,28,30,1062.42,142.614,90.677,160.25,8,141.0
6.206,2,68,2,35,37,1153.49,151.043,97.137,168.958,9,149.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.0,2,77,2,36,38,1252.64,167.006,106.643,187.327,10,165.0
6.352,2,88,2,48,50,1433.88,191.533,124.66,214.529,10,190.0
7.0,3,75,4,37,41,1248.15,161.668,107.87,181.645,8,161.0
7.032,2,58,2,33,36,1257.38,149.861,93.694,166.517,8,144.0
6.147,2,105,2,50,52,1649.17,224.006,143.37,251.558,12,222.0
7.796,2,67,2,35,37,1138.47,148.941,96.131,166.46,9,147.0
6.0,2,102,2,45,47,1612.11,218.341,138.853,245.226,13,216.0
7.0,2,81,2,43,47,1292.75,173.792,113.802,195.529,9,173.0
6.538,2,68,3,38,41,1162.96,150.166,99.387,168.191,8,149.0
6.58,2,76,2,41,43,1257.65,166.577,108.183,186.619,9,165.0
6.0,2,100,2,39,41,1566.04,212.784,133.546,239.02,13,210.0
6.0,2,106,2,45,47,1640.17,224.108,142.376,252.057,13,222.0
7.292,2,66,4,33,36,1146.36,145.381,96.035,163.008,8,144.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
6.096,2,65,2,28,30,1056.41,140.403,90.461,157.626,8,139.0
6.0,2,67,2,28,30,1046.42,141.286,90.222,159.041,8,140.0
6.567,2,67,2,34,36,1094.46,145.286,94.222,163.041,8,144.0
6.0,2,100,2,45,46,1526.05,209.482,133.933,235.811,11,208.0
5.922,2,73,2,41,46,1192.62,158.603,104.848,178.449,8,158.0
6.0,2,105,3,45,47,1766.06,224.177,145.035,251.777,13,222.0
6.0,2,97,2,44,46,1545.01,208.472,132.325,233.898,12,206.0
6.271,2,97,3,46,47,1681.92,210.322,136.74,235.535,12,208.0
6.0,2,67,3,28,30,1187.33,143.457,93.887,161.26,8,142.0
6.0,2,66,2,29,31,1075.42,142.832,90.921,160.333,9,141.0
6.0,2,104,2,45,47,1626.14,221.224,140.615,248.641,13,219.0
9.2,2,102,2,41,43,1608.09,217.988,136.558,245.017,15,215.0
6.0,2,90,2,32,34,1435.83,193.374,119.944,216.572,12,190.0
5.86,2,64,2,27,30,1049.38,138.948,88.16,155.918,8,137.0
8.303,3,209,3,62,63,3159.1,437.063,266.405,493.024,35,430.0
8.569,3,207,3,60,62,3149.06,434.507,264.098,489.819,34,427.0
6.0,2,107,2,45,47,1639.19,224.882,142.927,253.346,13,223.0
6.288,0,35,0,17,19,489.68,70.745,45.813,80.348,3,71.0
8.041,0,46,0,23,25,646.91,93.265,61.626,105.922,3,94.0
6.0,2,99,2,45,46,1511.03,207.381,132.927,233.313,11,206.0
7.258,2,70,3,38,41,1192.99,154.377,101.603,172.815,8,153.0
7.721,2,68,2,35,37,1121.48,148.396,96.433,166.167,9,147.0
6.0,2,68,2,35,39,1197.5,154.697,99.046,172.377,11,152.0
6.18,2,72,3,37,39,1287.04,163.883,105.228,183.022,11,161.0
7.301,0,39,0,23,25,565.78,80.512,53.336,91.178,3,81.0
6.461,2,69,3,37,38,1197.97,153.923,100.302,172.108,9,152.0
7.721,2,64,2,35,37,1093.42,142.628,92.91,159.337,9,141.0
6.815,0,39,0,23,25,565.78,80.512,53.336,91.178,3,81.0
7.301,2,69,3,39,42,1239.0,157.21,102.791,175.736,9,155.0
6.301,0,41,0,29,31,627.85,87.396,59.097,98.593,3,88.0
6.593,2,74,3,29,31,1177.01,156.465,100.376,176.227,9,155.0
6.951,2,68,2,37,41,1177.51,153.043,99.137,170.958,9,151.0
7.268,0,39,0,29,31,613.82,84.512,57.336,95.178,3,85.0
7.444,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
6.159,0,43,0,29,31,641.88,90.279,60.859,102.009,3,91.0
6.924,0,44,0,24,26,648.88,91.708,60.319,103.716,4,92.0
6.345,2,69,2,28,30,1060.45,144.17,91.984,162.456,8,143.0
6.445,2,72,2,37,41,1205.57,158.81,102.66,177.788,9,157.0
5.55,0,31,0,19,19,491.63,67.239,44.222,75.821,1,67.0
5.98,0,32,0,19,21,484.65,67.76,45.046,76.434,3,68.0
6.041,0,37,0,23,25,551.75,77.629,51.574,87.763,3,78.0
6.523,0,39,0,23,25,565.78,80.512,53.336,91.178,3,81.0
6.52,0,36,0,19,21,524.72,74.527,49.569,84.265,3,75.0
6.398,0,32,0,17,19,476.63,67.087,43.5,75.644,3,67.0
5.57,0,31,0,19,19,475.63,65.912,43.768,74.612,1,66.0
6.395,0,39,0,23,25,565.78,80.512,53.336,91.178,3,81.0
6.0,2,95,2,41,44,1594.99,210.89,132.177,235.692,15,207.0
6.012,2,96,3,43,46,1607.47,211.115,134.433,236.423,13,208.0
6.79,0,34,1,23,25,572.16,75.069,50.671,84.292,3,75.0
6.0,2,100,3,44,45,1723.56,224.184,141.569,250.463,16,220.0
8.409,0,44,0,24,26,676.9,94.028,61.569,106.298,4,94.0
6.804,2,72,3,39,42,1251.04,160.908,105.069,180.021,9,159.0
6.0,2,91,3,38,42,1667.81,203.974,130.069,227.499,14,200.0
8.347,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
6.346,2,74,2,40,43,1347.66,172.316,110.285,191.995,14,169.0
7.046,2,69,3,39,42,1239.0,157.21,102.791,175.736,9,155.0
6.0,0,33,0,17,19,475.65,67.861,44.052,76.933,3,68.0
8.201,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
6.907,2,101,3,44,47,1678.56,221.312,140.416,247.961,14,218.0
6.81,2,70,3,39,42,1221.01,156.697,102.853,175.397,9,155.0
7.553,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
7.733,2,66,2,34,36,1079.44,143.185,93.217,160.543,8,142.0
7.523,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
6.5,1,47,1,23,27,726.0,99.098,65.188,111.759,5,99.0
7.921,2,68,2,35,37,1121.48,148.396,96.433,166.167,9,147.0
7.42,2,70,2,35,37,1135.51,151.279,98.194,169.582,9,150.0
7.161,2,70,2,35,37,1135.51,151.279,98.194,169.582,9,150.0
7.699,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
8.149,2,68,2,35,37,1121.48,148.396,96.433,166.167,9,147.0
7.161,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
6.6,0,37,0,23,25,551.75,77.629,51.574,87.763,3,78.0
6.74,0,35,0,23,25,537.72,74.745,49.813,84.348,3,75.0
8.222,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
7.347,2,64,2,35,37,1093.42,142.628,92.91,159.337,9,141.0
6.79,2,73,3,38,40,1326.08,167.985,108.234,187.52,12,165.0
6.921,2,70,3,39,42,1237.01,158.025,103.308,176.606,9,156.0
7.824,2,68,2,35,37,1121.48,148.396,96.433,166.167,9,147.0
6.979,0,39,0,27,30,601.81,83.512,56.336,94.178,3,84.0
8.081,2,74,3,40,41,1337.1,169.766,109.989,189.437,12,167.0
7.509,2,64,2,35,37,1093.42,142.628,92.91,159.337,9,141.0
6.082,2,69,3,39,42,1205.99,154.596,101.847,172.898,9,153.0
6.0,2,92,2,38,42,1541.92,203.904,127.41,227.778,14,200.0
7.268,2,71,3,40,43,1264.04,161.126,105.313,180.104,10,159.0
6.86,2,59,3,28,30,1023.76,130.85,84.586,146.613,8,129.0
6.585,1,43,1,23,27,685.93,92.33,60.665,103.929,5,92.0
6.991,2,69,3,39,42,1205.99,154.596,101.847,172.898,9,153.0
6.951,2,68,3,38,41,1178.96,151.494,99.842,169.4,8,150.0
7.056,2,113,3,44,47,1810.74,242.595,152.348,272.08,14,239.0
6.469,2,70,3,32,35,1128.95,149.05,97.149,167.606,8,148.0
6.474,2,70,3,36,38,1229.0,157.345,101.558,176.188,10,155.0
5.92,0,31,0,19,23,481.65,66.65,44.836,75.308,1,67.0
6.484,2,70,3,36,38,1229.0,157.345,101.558,176.188,10,155.0
6.0,2,98,3,40,40,1689.5,219.628,137.262,245.257,16,215.0
7.301,2,64,2,35,37,1093.42,142.628,92.91,159.337,9,141.0
7.854,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
7.276,2,66,2,35,37,1107.45,145.512,94.671,162.752,9,144.0
6.416,2,69,2,37,40,1208.53,156.472,100.597,174.666,11,154.0
6.0,2,93,2,37,39,1560.93,206.334,127.87,230.486,15,202.0
6.0,2,95,3,41,42,1584.43,208.341,131.882,233.134,13,205.0
6.0,2,61,2,28,30,1004.33,132.636,84.938,148.795,8,131.0
7.77,2,74,2,48,50,1271.67,166.039,110.512,185.785,10,165.0
6.289,2,72,3,40,42,1310.48,158.006,106.166,177.007,8,157.0
6.0,2,95,3,43,45,1627.87,204.112,132.524,228.91,11,202.0
7.7,0,71,0,34,36,1070.4,149.894,95.245,169.403,8,149.0
6.0,2,64,2,33,35,1021.4,136.646,89.546,153.709,7,136.0
5.79,0,31,0,19,23,497.65,67.978,45.29,76.517,1,68.0
6.0,2,105,3,38,40,1662.0,215.522,138.126,243.358,12,214.0
6.824,2,96,2,43,45,1485.98,202.715,129.41,227.98,11,201.0
6.154,2,63,3,33,35,1163.29,138.043,92.66,154.639,7,137.0
6.0,2,77,3,51,54,1449.64,173.875,118.694,194.336,9,173.0
6.167,2,66,2,36,37,1075.45,142.857,93.762,160.333,8,142.0
6.599,2,59,2,35,36,990.33,129.777,86.018,145.38,7,129.0
6.334,2,79,2,53,55,1334.77,175.588,117.791,196.532,9,175.0
7.143,2,73,2,40,42,1168.59,156.61,103.052,176.077,8,156.0
6.631,2,74,2,45,48,1263.65,165.366,108.967,184.994,9,164.0
7.222,2,80,2,41,43,1285.71,172.344,111.705,193.449,9,171.0
6.0,2,72,2,40,42,1169.57,155.835,102.501,174.788,8,155.0
6.0,2,59,2,35,36,990.33,129.777,86.018,145.38,7,129.0
6.463,2,74,3,43,44,1364.53,164.217,110.382,183.632,9,163.0
6.506,2,74,2,48,50,1271.67,166.039,110.512,185.785,10,165.0
6.0,2,105,2,50,52,1649.17,224.006,143.37,251.558,12,222.0
6.951,2,67,2,39,42,1174.5,151.941,99.131,169.46,9,150.0
6.801,2,75,2,43,44,1238.64,164.148,107.722,183.911,9,163.0
6.0,2,98,2,46,47,1556.03,210.253,134.081,235.814,12,208.0
6.0,2,75,2,43,44,1238.64,164.148,107.722,183.911,9,163.0
6.209,2,96,3,43,45,1626.89,204.886,133.075,230.199,11,203.0
6.103,2,84,2,41,43,1297.77,176.784,114.774,199.07,9,176.0
6.79,2,67,3,43,46,1259.42,149.483,102.728,167.26,7,149.0
6.0,2,98,2,43,45,1516.01,206.926,131.626,232.605,11,205.0
6.597,2,66,2,36,37,1075.45,142.857,93.762,160.333,8,142.0
5.433,0,41,0,18,19,539.79,80.068,52.643,91.384,3,81.0
5.53,0,41,0,18,19,539.79,80.068,52.643,91.384,3,81.0
7.5,0,56,0,26,28,809.08,115.312,73.501,130.417,6,115.0
5.51,1,34,1,20,23,514.75,70.392,48.0,79.56,2,71.0
5.9,1,38,1,20,23,554.82,77.159,52.523,87.39,2,78.0
7.509,0,47,0,18,23,645.89,94.021,59.54,106.839,3,94.0
