pXC50,nH,nS,nHM,nC,nAT,RBN,SCBO,nSK,nBM,nBO,nCsp2,nAB,nHet,nBT,Si,MW,Se,nCsp3,nN
8.495,79,2,2,65,172.0,20,126.0,93,44,99,42,34,28,178.0,194.742,1314.71,173.89,23,13
6.8,70,2,2,57,150.0,18,110.0,80,40,86,36,32,23,156.0,169.745,1131.53,150.945,21,12
5.38,67,0,0,58,142.0,17,105.0,75,41,81,39,34,17,148.0,160.201,1018.34,142.159,19,9
6.0,79,2,2,68,169.0,21,125.0,90,48,97,46,40,22,176.0,190.323,1258.72,169.261,22,11
6.0,99,2,2,77,206.0,21,141.5,107,46,113,45,35,30,212.0,233.313,1511.03,207.381,32,13
6.0,98,2,2,75,204.0,22,140.0,106,45,112,43,34,31,210.0,231.396,1500.01,205.599,32,14
6.0,105,2,2,83,222.0,25,156.0,117,52,124,50,40,34,229.0,251.558,1649.17,224.006,33,15
6.74,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
6.031,84,2,2,67,176.0,19,124.0,92,43,98,41,34,25,182.0,199.07,1297.77,176.784,26,12
6.0,104,2,2,76,216.0,21,145.0,112,41,118,39,28,36,222.0,245.851,1594.1,218.551,37,16
6.573,90,2,2,71,192.0,19,136.0,102,45,108,43,34,31,198.0,217.735,1443.89,194.064,28,14
8.886,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
6.585,48,0,0,40,98.0,20,69.0,50,28,55,24,28,10,103.0,110.384,680.92,97.81,16,4
8.62,78,2,2,64,168.0,19,122.0,90,43,96,41,34,26,174.0,190.034,1271.68,169.461,23,12
6.0,75,2,2,65,162.0,19,121.5,87,47,94,44,39,22,169.0,182.492,1218.65,162.494,21,11
6.0,98,2,2,77,210.0,22,149.0,112,47,119,45,34,35,217.0,238.396,1584.05,212.573,32,16
6.0,64,1,1,49,135.0,17,94.0,71,30,75,28,22,22,139.0,153.417,1001.3,136.552,21,10
8.745,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
6.199,71,2,2,59,153.0,18,112.5,82,41,88,38,33,23,159.0,172.871,1158.55,154.054,21,11
6.67,70,0,0,51,141.0,17,93.0,71,29,75,27,22,20,145.0,160.533,983.31,141.799,24,10
8.7,100,2,2,70,209.0,24,139.0,109,37,113,35,22,39,213.0,238.811,1562.02,212.432,35,18
8.268,67,2,2,55,146.0,14,107.0,79,37,84,35,28,24,151.0,165.25,1122.47,147.614,20,11
8.745,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
6.0,96,2,2,74,202.0,21,140.0,106,45,112,43,34,32,208.0,229.19,1501.98,204.042,31,14
6.0,98,2,2,75,204.0,21,140.0,106,45,112,43,34,31,210.0,231.396,1500.01,205.599,32,14
5.0,89,2,2,72,195.0,19,143.5,106,50,113,45,39,34,202.0,221.399,1496.92,197.603,27,17
6.0,75,3,3,62,161.0,20,117.5,86,41,93,37,33,24,168.0,182.041,1231.7,161.857,25,12
6.0,109,2,2,83,229.0,22,158.0,120,48,127,46,34,37,236.0,260.18,1697.23,231.42,37,17
6.0,100,2,2,72,205.0,25,136.0,105,40,110,38,28,33,210.0,233.392,1494.02,206.802,34,16
5.983,73,2,2,63,158.0,19,119.0,85,46,92,41,38,22,165.0,178.077,1192.61,158.61,22,11
6.0,60,2,2,43,125.0,14,84.0,65,24,68,22,16,22,128.0,142.297,941.27,126.534,21,10
5.77,44,0,0,35,86.0,17,57.0,42,22,46,20,22,7,90.0,96.763,572.81,85.396,15,2
6.301,51,0,0,42,101.0,20,69.0,50,28,55,26,28,8,106.0,113.507,677.96,100.148,16,3
5.871,50,0,0,42,100.0,20,69.0,50,28,55,26,28,8,105.0,112.218,678.94,99.374,16,2
5.699,50,0,0,42,100.0,20,69.0,50,28,55,26,28,8,105.0,112.218,678.94,99.374,16,2
7.0,48,0,0,39,97.0,20,67.5,49,27,54,23,27,10,102.0,109.384,668.91,96.81,16,4
5.523,42,0,0,32,83.0,17,55.5,41,21,45,17,21,9,87.0,93.929,562.78,82.832,15,4
5.699,43,0,0,33,83.0,17,52.0,40,18,43,18,18,7,86.0,93.474,549.77,82.621,15,1
6.444,49,0,0,41,99.0,20,69.0,50,28,55,25,28,9,104.0,111.301,679.93,98.592,16,3
6.051,49,0,0,41,99.0,20,69.0,50,28,55,25,28,9,104.0,111.301,679.93,98.592,16,3
5.721,50,0,0,42,100.0,20,69.0,50,28,55,26,28,8,105.0,112.218,678.94,99.374,16,2
5.921,48,0,1,41,99.0,20,70.0,51,28,56,25,28,10,104.0,111.245,714.37,98.916,16,3
5.9,51,0,0,42,102.0,20,70.0,51,28,56,25,28,9,107.0,114.716,693.96,101.476,17,3
5.0,31,0,0,28,65.0,8,49.0,34,22,38,19,22,6,69.0,73.355,458.63,64.618,9,4
6.097,49,0,0,39,99.0,21,68.5,50,27,55,22,27,11,104.0,111.882,683.93,98.912,17,5
5.0,35,0,0,29,71.0,8,51.0,36,19,40,18,16,7,75.0,80.138,485.69,70.418,11,5
5.606,41,0,0,33,81.0,7,56.0,40,19,45,18,16,7,86.0,91.384,539.79,80.068,15,5
6.0,48,1,1,36,101.0,10,70.0,53,22,56,20,16,17,104.0,114.886,752.99,102.181,16,8
5.0,43,0,0,32,88.0,17,60.0,45,21,47,19,16,13,90.0,100.218,621.82,88.581,13,7
6.0,56,0,0,44,115.0,11,80.0,59,28,63,26,22,15,119.0,130.417,809.08,115.312,18,8
7.08,51,0,0,36,100.0,21,64.0,49,21,51,19,16,13,102.0,113.879,677.94,100.116,17,7
5.0,38,0,0,30,72.0,10,48.5,34,21,38,17,21,4,76.0,81.052,454.72,70.428,13,4
5.921,21,1,4,23,54.0,8,48.0,33,23,36,19,22,10,57.0,60.376,564.37,54.516,4,6
7.854,23,0,3,21,54.0,10,42.5,31,18,33,15,17,10,56.0,61.081,526.3,54.651,6,6
6.0,18,1,4,21,50.0,7,47.0,32,23,35,18,22,11,53.0,56.044,551.33,50.851,3,7
5.854,27,1,4,23,60.0,12,44.5,33,18,35,15,17,10,62.0,67.622,570.43,60.167,8,6
6.754,23,1,3,21,56.0,11,46.5,33,20,35,15,17,12,58.0,63.452,508.48,57.043,6,7
5.0,31,1,1,25,63.0,9,46.0,32,21,35,15,20,7,66.0,71.019,449.68,62.4,10,5
5.495,56,0,0,44,115.0,11,80.0,59,28,63,26,22,15,119.0,130.417,809.08,115.312,18,8
6.879,29,1,4,24,63.0,13,45.5,34,18,36,15,17,10,65.0,71.037,584.46,63.051,9,6
6.928,27,1,2,22,57.0,11,41.5,30,18,32,15,17,8,59.0,64.319,487.52,56.636,7,6
5.416,22,0,1,26,54.0,7,50.5,32,28,36,24,27,6,58.0,60.172,439.98,53.785,2,5
7.131,25,1,1,25,58.0,9,50.0,33,26,37,19,26,8,62.0,65.402,460.63,58.036,6,6
6.64,57,2,2,45,122.0,12,87.0,65,29,69,27,22,20,126.0,138.174,932.25,123.221,18,9
5.177,22,0,0,27,57.0,7,53.5,35,28,39,24,27,8,61.0,64.663,473.54,57.883,3,5
5.0,27,0,0,24,57.0,6,44.5,30,22,33,18,21,6,60.0,64.268,401.56,56.556,6,5
5.0,21,0,0,26,55.0,6,52.5,34,28,38,24,27,8,59.0,62.117,457.52,55.814,2,5
6.0,57,2,2,45,122.0,12,87.0,65,29,69,27,22,20,126.0,138.174,932.25,123.221,18,9
5.3,25,0,0,27,58.0,8,51.5,33,28,37,24,27,6,62.0,64.853,435.57,57.672,3,5
5.0,23,0,0,28,59.0,7,54.5,36,28,40,24,27,8,63.0,66.789,488.55,59.992,4,4
7.137,43,0,0,40,91.0,13,70.0,48,31,53,29,28,8,96.0,102.009,641.88,90.279,11,5
6.0,61,2,2,43,127.0,15,85.0,66,24,69,22,16,23,130.0,144.795,956.29,128.636,21,11
8.886,66,2,2,54,143.0,14,104.0,77,36,82,34,28,23,148.0,161.752,1095.44,144.512,20,10
6.0,111,2,2,84,232.0,22,159.0,121,48,128,46,34,37,239.0,263.595,1711.26,234.304,38,17
6.0,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
6.0,99,2,2,77,207.0,21,142.5,108,46,114,45,35,31,213.0,234.522,1527.03,208.708,32,13
6.0,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
6.0,66,2,2,56,146.0,18,111.0,80,38,85,33,28,24,151.0,165.287,1127.5,147.17,21,14
6.0,74,2,2,64,160.0,19,120.5,86,47,93,43,39,22,167.0,180.366,1203.64,160.384,21,12
7.0,66,0,0,56,143.0,19,107.5,77,40,84,36,33,21,150.0,162.075,1051.34,144.025,20,12
8.959,68,2,2,55,148.0,15,108.0,80,37,85,35,28,25,153.0,167.749,1137.49,149.716,20,12
6.493,67,2,2,50,141.0,17,97.0,74,30,78,28,22,24,145.0,160.25,1062.42,142.614,22,11
6.155,98,2,3,75,206.0,21,142.0,108,45,114,43,34,33,212.0,233.615,1640.92,207.77,32,15
6.839,78,3,3,66,167.0,20,124.0,89,46,97,41,38,23,175.0,188.116,1263.77,167.228,25,12
6.0,69,2,2,58,150.0,18,111.5,81,41,87,37,33,23,156.0,169.875,1145.53,151.13,21,12
6.0,67,2,3,57,148.0,18,111.5,81,41,87,37,33,24,154.0,167.274,1163.95,149.385,20,12
6.0,106,2,2,83,223.0,25,156.0,117,52,124,50,40,34,230.0,252.847,1648.19,224.78,33,16
6.0,96,2,2,74,201.0,21,139.0,105,45,111,43,34,31,207.0,227.98,1485.98,202.715,31,14
9.0,73,2,2,58,156.0,15,111.0,83,37,88,35,28,25,161.0,176.705,1180.56,157.592,23,11
6.0,95,2,3,74,202.0,21,141.0,107,45,113,43,34,33,208.0,228.91,1627.87,204.112,31,14
8.284,67,2,2,55,146.0,14,107.0,79,37,84,35,28,24,151.0,165.25,1122.47,147.614,20,11
6.0,99,2,3,73,206.0,18,139.0,107,40,113,38,28,34,212.0,234.113,1631.92,207.871,35,16
6.0,100,2,2,74,210.0,21,143.0,110,41,116,39,28,36,216.0,239.02,1566.04,212.784,35,16
7.928,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
7.125,30,0,0,25,61.0,8,44.0,31,18,34,16,16,6,64.0,68.81,418.59,60.549,9,4
5.0,29,0,0,23,58.0,8,40.0,29,16,32,13,16,6,61.0,65.521,395.55,57.774,10,3
5.0,31,0,0,25,62.0,7,43.0,31,16,35,13,16,6,66.0,69.936,421.59,61.658,12,3
5.0,24,0,0,21,51.0,6,38.0,27,16,30,13,16,6,54.0,57.821,369.48,51.192,8,3
5.0,28,1,1,22,60.0,8,45.0,32,18,35,13,16,10,63.0,67.943,460.61,60.723,9,4
6.0,110,2,2,81,225.0,27,150.0,115,46,121,44,34,34,231.0,255.678,1628.21,226.548,37,16
8.745,68,2,2,55,145.0,14,104.0,77,36,82,34,28,22,150.0,163.958,1093.47,146.068,21,10
8.252,73,2,2,58,156.0,16,111.0,83,37,88,35,28,25,161.0,176.705,1180.56,157.592,23,11
6.0,72,2,2,61,155.0,15,114.0,83,42,89,40,34,22,161.0,174.788,1169.57,155.835,21,10
6.0,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
6.0,75,3,3,65,162.0,18,123.0,87,47,95,43,38,22,170.0,182.203,1234.72,162.243,22,11
8.959,67,2,2,54,145.0,14,105.0,78,36,83,34,28,24,150.0,164.25,1110.46,146.614,20,11
6.0,106,2,2,85,224.0,25,157.5,118,53,125,52,41,33,231.0,253.475,1660.19,225.788,33,14
8.155,74,0,0,60,156.0,15,113.0,82,41,88,37,32,22,162.0,176.945,1123.46,156.886,23,12
7.0,69,2,2,57,148.0,15,109.0,79,40,85,36,32,22,154.0,167.247,1116.51,148.843,21,11
6.0,105,2,2,81,223.0,22,156.0,118,48,125,46,34,37,230.0,253.349,1669.17,225.653,35,17
6.0,66,2,2,54,144.0,18,105.0,78,36,83,33,28,24,149.0,163.8,1113.46,145.759,21,12
6.0,99,2,2,75,206.0,21,141.0,107,45,113,43,34,32,212.0,233.894,1515.03,207.701,32,15
6.0,70,2,2,58,150.0,18,110.5,80,41,86,37,33,22,156.0,169.536,1127.54,150.617,21,12
7.209,83,2,2,71,179.0,18,134.5,96,52,104,47,43,25,187.0,201.944,1342.81,179.675,24,13
8.745,68,2,3,57,147.0,14,106.5,79,37,84,36,29,22,152.0,165.595,1230.38,147.919,21,9
9.046,77,2,2,64,166.0,18,121.0,89,43,95,41,34,25,172.0,187.536,1256.66,167.359,23,11
6.876,67,2,2,55,146.0,14,107.0,79,37,84,35,28,24,151.0,165.25,1122.47,147.614,20,11
6.0,65,2,2,52,142.0,18,103.5,77,35,82,31,27,25,147.0,161.883,1102.44,143.977,21,13
6.0,99,2,2,77,206.0,21,141.5,107,46,113,45,35,30,212.0,233.313,1511.03,207.381,32,13
6.173,76,2,2,64,162.0,20,120.0,86,46,93,41,38,22,169.0,182.781,1205.66,162.268,23,12
8.585,79,2,2,65,172.0,20,126.0,93,44,99,42,34,28,178.0,194.742,1314.71,173.89,23,13
6.0,102,2,2,79,216.0,22,151.0,114,47,121,45,34,35,223.0,245.226,1612.11,218.341,34,16
8.959,71,2,2,57,153.0,16,110.0,82,37,87,35,28,25,158.0,173.29,1166.53,154.708,22,11
9.155,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
9.155,66,2,2,54,142.0,14,103.0,76,36,81,34,28,22,147.0,160.543,1079.44,143.185,20,10
8.386,70,2,2,57,150.0,15,110.0,80,40,86,36,32,23,156.0,169.745,1131.53,150.945,21,12
9.7,103,2,2,75,215.0,24,145.0,112,42,117,40,28,37,220.0,244.934,1595.09,217.77,35,17
9.292,66,2,2,54,143.0,14,104.0,77,36,82,34,28,23,148.0,161.752,1095.44,144.512,20,10
6.0,102,2,2,79,216.0,22,151.0,114,47,121,45,34,35,223.0,245.226,1612.11,218.341,34,16
6.0,97,2,3,75,205.0,21,142.0,108,45,114,43,34,33,211.0,232.326,1641.9,206.995,32,14
5.0,96,2,2,74,202.0,21,140.0,106,45,112,43,34,32,208.0,229.19,1501.98,204.042,31,14
6.0,99,2,2,77,206.0,21,141.5,107,46,113,45,35,30,212.0,233.313,1511.03,207.381,32,13
6.0,72,2,2,62,156.0,18,118.0,84,46,91,41,38,22,163.0,175.951,1177.6,156.501,21,12
6.0,66,2,2,54,144.0,18,105.0,78,36,83,33,28,24,149.0,163.8,1113.46,145.759,21,12
6.0,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
5.0,102,2,2,78,215.0,23,149.0,113,47,119,45,34,35,221.0,244.226,1600.1,217.341,33,16
8.824,68,2,2,55,148.0,15,108.0,80,37,85,35,28,25,153.0,167.749,1137.49,149.716,20,12
6.0,54,0,0,44,114.0,11,82.0,60,28,65,26,22,16,119.0,129.211,823.06,114.756,18,8
6.072,65,2,2,52,142.0,18,103.5,77,35,82,31,27,25,147.0,161.883,1102.44,143.977,21,13
6.0,67,2,2,50,140.0,18,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
8.745,66,2,2,54,143.0,14,104.0,77,36,82,34,28,23,148.0,161.752,1095.44,144.512,20,10
7.678,68,2,3,57,147.0,14,106.5,79,37,84,36,29,22,152.0,165.595,1230.38,147.919,21,9
6.0,96,2,2,74,201.0,21,139.0,105,45,111,43,34,31,207.0,227.98,1485.98,202.715,31,14
6.0,70,2,2,54,144.0,15,99.5,74,34,79,31,27,20,149.0,162.954,1051.48,144.297,23,10
5.785,72,3,5,58,155.0,20,111.0,83,36,89,33,28,25,161.0,175.174,1232.53,156.108,25,12
8.77,98,2,2,72,205.0,24,139.0,107,41,112,39,28,35,210.0,233.396,1524.0,207.573,33,16
6.0,67,2,3,57,148.0,18,111.5,81,41,87,37,33,24,154.0,167.274,1163.95,149.385,20,12
6.0,92,2,2,65,191.0,26,126.0,99,33,104,31,22,34,196.0,217.778,1421.85,193.93,34,14
8.754,104,2,2,76,219.0,26,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
7.0,67,2,2,56,145.0,15,108.0,78,40,84,36,32,22,151.0,163.832,1102.48,145.959,20,11
6.0,99,2,2,77,206.0,22,141.5,107,46,113,45,35,30,212.0,233.313,1511.03,207.381,32,13
6.0,97,2,2,75,206.0,22,144.0,109,46,115,44,34,34,212.0,233.898,1545.01,208.472,31,15
6.0,65,2,2,49,137.0,17,95.0,72,30,76,28,22,23,141.0,155.626,1032.39,138.403,21,11
6.0,77,2,2,67,166.0,20,124.0,89,48,96,46,40,22,173.0,186.908,1244.69,166.377,21,11
6.0,97,2,2,76,203.0,21,140.5,106,46,112,45,35,30,209.0,229.897,1497.0,204.497,31,13
7.0,72,0,0,61,152.0,20,111.0,80,41,87,39,34,19,159.0,171.739,1089.43,152.355,22,10
5.804,66,2,2,59,147.0,17,115.0,81,46,88,41,38,22,154.0,165.705,1135.51,147.85,18,12
6.241,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
8.886,66,2,2,54,143.0,14,104.0,77,36,82,34,28,23,148.0,161.752,1095.44,144.512,20,10
8.77,98,2,2,72,205.0,24,139.0,107,41,112,39,28,35,210.0,233.396,1524.0,207.573,33,16
6.0,110,2,2,83,228.0,22,155.0,118,47,125,45,34,35,235.0,258.887,1668.23,229.875,38,16
6.0,72,2,2,61,156.0,17,115.0,84,42,90,40,34,23,162.0,175.998,1185.57,157.163,21,10
6.0,134,2,2,93,267.0,39,170.0,133,48,139,46,34,40,273.0,304.242,1884.61,268.445,47,20
6.0,108,2,2,82,225.0,22,154.0,117,47,124,45,34,35,232.0,255.472,1654.2,226.991,37,16
6.121,70,2,2,58,151.0,18,111.5,81,41,87,37,33,23,157.0,170.745,1143.54,151.945,21,12
9.076,62,2,2,48,132.0,12,93.0,70,30,74,28,22,22,136.0,149.712,1003.34,133.417,20,10
6.0,98,2,2,72,203.0,18,137.0,105,40,111,38,28,33,209.0,230.977,1492.0,204.919,34,16
5.0,99,2,2,76,207.0,23,142.5,108,46,114,44,35,32,213.0,234.894,1527.04,208.701,32,15
8.854,79,2,2,62,170.0,17,121.0,91,39,96,37,28,29,175.0,192.951,1294.68,172.217,25,13
6.18,98,2,3,77,209.0,21,146.5,111,47,117,46,35,34,215.0,236.824,1680.94,211.097,31,15
6.0,135,2,2,95,269.0,39,171.5,134,49,140,48,35,39,275.0,306.159,1895.63,270.227,47,19
6.138,74,2,2,63,159.0,19,119.0,85,46,92,41,38,22,166.0,179.366,1191.63,159.384,22,12
7.523,68,2,3,57,147.0,14,106.5,79,37,84,36,29,22,152.0,165.595,1230.38,147.919,21,9
7.445,79,2,2,66,170.0,19,126.0,91,47,98,43,38,25,177.0,192.114,1278.72,170.908,23,13
8.796,75,2,2,63,163.0,18,120.0,88,43,94,41,34,25,169.0,184.121,1242.63,164.475,22,11
6.0,97,2,2,76,203.0,21,140.5,106,46,112,45,35,30,209.0,229.897,1497.0,204.497,31,13
8.921,77,2,2,64,169.0,19,125.0,92,44,98,42,34,28,175.0,191.327,1300.68,171.006,22,13
7.387,67,2,2,56,144.0,14,104.5,77,37,82,36,29,21,149.0,162.46,1090.46,144.966,20,9
8.456,70,2,3,57,153.0,16,111.0,83,37,88,35,28,26,158.0,173.011,1292.42,154.777,22,11
9.7,106,2,2,77,222.0,26,150.0,116,43,121,41,28,39,227.0,253.057,1652.15,225.082,36,18
8.456,96,2,2,71,202.0,22,138.0,106,41,111,39,28,35,207.0,229.981,1509.97,204.69,32,16
5.0,106,2,2,79,216.0,24,144.0,110,45,116,43,34,31,222.0,245.056,1556.13,217.133,36,14
6.0,101,2,3,74,209.0,18,140.0,108,40,114,38,28,34,215.0,237.528,1645.95,210.755,36,16
6.0,105,2,2,83,222.0,25,156.0,117,52,124,50,40,34,229.0,251.558,1649.17,224.006,33,15
6.0,107,2,2,82,226.0,22,157.0,119,48,126,46,34,37,233.0,256.764,1683.2,228.537,36,17
6.815,67,2,2,55,146.0,14,107.0,79,37,84,35,28,24,151.0,165.25,1122.47,147.614,20,11
6.0,99,2,2,68,205.0,24,133.0,106,33,109,33,18,38,208.0,234.313,1522.98,208.33,35,17
6.0,100,2,2,74,210.0,21,143.0,110,41,116,39,28,36,216.0,239.02,1566.04,212.784,35,16
9.5,97,2,2,73,208.0,22,145.0,111,43,116,41,28,38,213.0,236.898,1581.01,211.446,32,17
7.0,66,0,0,58,143.0,18,108.0,77,41,84,39,34,19,150.0,161.493,1047.34,143.705,19,10
6.0,65,2,2,52,142.0,18,103.5,77,35,82,31,27,25,147.0,161.883,1102.44,143.977,21,13
6.668,103,2,3,75,212.0,18,141.0,109,40,115,38,28,34,218.0,240.943,1659.98,213.639,37,16
6.0,98,2,2,75,205.0,21,141.0,107,45,113,43,34,32,211.0,232.605,1516.01,206.926,32,14
6.059,68,2,2,51,147.0,19,104.0,79,32,83,30,22,28,151.0,167.539,1133.47,149.363,21,14
8.638,85,2,2,68,181.0,21,129.0,96,44,102,42,34,28,187.0,204.987,1356.8,182.541,26,13
8.523,68,2,2,55,149.0,15,109.0,81,37,86,35,28,26,154.0,168.958,1153.49,151.043,20,12
9.009,62,2,2,48,132.0,12,93.0,70,30,74,28,22,22,136.0,149.712,1003.34,133.417,20,10
6.0,67,2,2,50,140.0,17,96.0,73,30,77,28,22,23,144.0,159.041,1046.42,141.286,22,11
6.0,122,2,2,87,246.0,33,160.0,124,47,130,45,34,37,252.0,279.96,1756.41,247.497,42,18
6.0,109,2,2,83,229.0,22,158.0,120,48,127,46,34,37,236.0,260.18,1697.23,231.42,37,17
6.0,72,2,2,61,156.0,17,115.0,84,42,90,40,34,23,162.0,175.998,1185.57,157.163,21,10
6.0,66,2,2,54,144.0,18,105.0,78,36,83,33,28,24,149.0,163.8,1113.46,145.759,21,12
6.0,88,2,2,74,190.0,20,139.0,102,50,109,48,40,28,197.0,214.529,1433.88,191.533,26,12
5.0,93,2,2,74,197.0,20,138.5,104,46,110,45,35,30,203.0,223.067,1468.94,198.73,29,13
8.638,85,2,2,68,181.0,21,129.0,96,44,102,42,34,28,187.0,204.987,1356.8,182.541,26,13
6.0,74,2,2,64,160.0,19,120.5,86,47,93,43,39,22,167.0,180.366,1203.64,160.384,21,12
6.754,58,2,2,54,144.0,18,113.0,86,36,91,33,28,32,149.0,166.517,1257.38,149.861,21,12
5.58,67,0,0,58,142.0,17,105.0,75,41,81,39,34,17,148.0,160.201,1018.34,142.159,19,9
6.0,96,2,2,76,205.0,22,145.5,109,48,115,45,35,33,211.0,232.399,1542.0,207.37,31,14
6.0,110,2,2,83,228.0,22,155.0,118,47,125,45,34,35,235.0,258.887,1668.23,229.875,38,16
6.0,96,2,3,74,203.0,21,141.0,107,45,113,43,34,33,209.0,230.199,1626.89,204.886,31,15
6.312,106,2,2,84,226.0,26,160.0,120,53,127,51,40,36,233.0,256.266,1692.2,228.435,33,16
6.0,98,2,2,75,204.0,21,140.0,106,45,112,43,34,31,210.0,231.396,1500.01,205.599,32,14
8.854,104,2,2,76,219.0,22,149.0,115,43,120,41,28,39,224.0,249.642,1638.12,222.199,35,18
6.0,56,0,0,44,115.0,11,80.0,59,28,63,26,22,15,119.0,130.417,809.08,115.312,18,8
8.854,67,2,2,56,145.0,14,105.5,78,37,83,36,29,22,150.0,163.669,1106.46,146.294,20,9
6.0,64,2,2,48,136.0,17,95.0,72,30,76,27,22,24,140.0,154.709,1033.38,137.621,21,12
6.0,72,2,3,63,158.0,18,120.0,86,46,93,42,38,23,165.0,177.798,1318.5,158.679,21,11
7.305,72,2,2,58,153.0,15,111.0,81,40,87,36,32,23,159.0,173.16,1145.56,153.828,22,12
6.5,62,0,0,56,134.0,15,102.0,72,40,79,38,34,16,141.0,150.872,975.26,134.29,18,8
6.452,67,2,2,50,141.0,17,97.0,74,30,78,28,22,24,145.0,160.25,1062.42,142.614,22,11
6.0,106,2,2,81,222.0,22,153.0,116,47,123,45,34,35,229.0,252.057,1640.17,224.108,36,16
7.004,108,2,2,82,225.0,22,154.0,117,47,124,45,34,35,232.0,255.472,1654.2,226.991,37,16
6.0,100,2,2,73,206.0,18,138.0,106,40,112,38,28,33,212.0,234.392,1506.03,207.802,35,16
6.0,100,2,2,74,210.0,21,143.0,110,41,116,39,28,36,216.0,239.02,1566.04,212.784,35,16
6.0,68,2,2,60,150.0,17,116.0,82,46,89,41,38,22,157.0,169.12,1149.54,150.734,19,12
6.0,69,2,2,54,146.0,17,103.5,77,35,82,32,27,23,151.0,165.456,1096.48,147.17,22,11
8.456,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
9.009,62,2,2,48,132.0,12,93.0,70,30,74,28,22,22,136.0,149.712,1003.34,133.417,20,10
6.0,72,2,2,62,156.0,18,118.0,84,46,91,41,38,22,163.0,175.951,1177.6,156.501,21,12
7.921,68,2,3,57,147.0,14,106.5,79,37,84,36,29,22,152.0,165.595,1230.38,147.919,21,9
6.979,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
6.0,96,2,2,74,201.0,21,139.0,105,45,111,43,34,31,207.0,227.98,1485.98,202.715,31,14
6.0,57,2,2,52,142.0,18,111.5,85,35,90,31,27,33,147.0,164.601,1246.36,148.079,21,13
6.611,107,2,2,84,225.0,25,157.0,118,52,125,50,40,34,232.0,254.974,1663.2,226.89,34,15
6.0,98,2,2,75,204.0,21,140.0,106,45,112,43,34,31,210.0,231.396,1500.01,205.599,32,14
6.0,97,2,2,74,203.0,21,140.0,106,45,112,43,34,32,209.0,230.479,1501.0,204.817,31,15
6.0,106,2,2,84,226.0,26,160.0,120,53,127,51,40,36,233.0,256.266,1692.2,228.435,33,16
8.921,67,2,2,56,145.0,14,105.5,78,37,83,36,29,22,150.0,163.669,1106.46,146.294,20,9
10.0,104,2,2,76,218.0,25,148.0,114,43,119,41,28,38,223.0,248.432,1622.12,220.871,35,18
6.0,97,2,2,73,208.0,22,145.0,111,43,116,41,28,38,213.0,236.898,1581.01,211.446,32,17
6.0,99,2,2,77,206.0,21,141.5,107,46,113,45,35,30,212.0,233.313,1511.03,207.381,32,13
6.112,107,2,3,84,226.0,25,158.0,119,52,126,50,40,35,233.0,255.983,1788.11,227.733,34,16
6.0,69,2,2,58,150.0,18,111.5,81,41,87,37,33,23,156.0,169.875,1145.53,151.13,21,12
6.0,69,2,2,54,146.0,17,103.5,77,35,82,32,27,23,151.0,165.456,1096.48,147.17,22,11
8.009,79,2,2,66,170.0,18,123.5,91,44,97,43,35,25,176.0,191.951,1282.7,171.243,23,11
6.0,79,3,3,65,168.0,21,124.5,89,46,97,40,37,24,176.0,189.615,1266.78,168.33,25,13
9.276,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
8.036,69,2,2,57,148.0,14,106.5,79,37,84,36,29,22,153.0,167.084,1120.49,149.177,21,9
6.0,82,0,1,75,178.0,32,137.0,96,58,104,54,50,21,186.0,200.257,1317.13,178.199,21,11
6.0,65,2,2,49,137.0,17,95.0,72,30,76,28,22,23,141.0,155.626,1032.39,138.403,21,11
4.0,51,0,0,36,100.0,21,64.0,49,21,51,19,16,13,102.0,113.879,677.94,100.116,17,7
5.05,54,0,0,44,113.0,11,81.0,59,28,64,26,22,15,118.0,128.002,807.06,113.428,18,8
6.0,57,2,2,45,122.0,14,87.0,65,29,69,27,22,20,126.0,138.174,932.25,123.221,18,9
