pXC50,nHM,Si,nAT,nBT,Mp,C.,nCsp2,nN,SCBO,nBM,AMW,nDB,N.,Se,Sp,Mi,nC,nAB,nBO,Mv,nO,nS,nSK,MW,nH,RBF,H.,Sv,nHet,Me
5.229,1,72.214,63,65,0.64,36.5,13,2,47.0,15,8.454,3,3.2,65.48,40.313,1.146,23,12,38,0.631,7,1,36,532.59,27,0.154,42.9,39.759,13,1.039
5.347,1,65.384,57,59,0.645,36.8,13,2,45.0,15,8.851,3,3.5,59.712,36.79,1.147,21,12,36,0.644,7,1,34,504.53,23,0.136,40.4,36.705,13,1.048
5.444,1,62.969,55,57,0.655,38.2,14,2,46.0,16,9.137,4,3.6,57.829,36.028,1.145,21,12,36,0.658,7,1,34,502.51,21,0.105,38.2,36.178,13,1.051
5.585,1,62.759,55,57,0.665,40.0,13,2,47.0,16,9.064,3,3.6,57.502,36.574,1.141,22,12,36,0.663,6,1,34,498.52,21,0.123,38.2,36.463,12,1.045
5.0,1,60.759,53,55,0.652,37.7,13,2,43.0,15,8.953,3,3.8,55.502,34.574,1.146,20,12,34,0.65,6,1,32,474.5,21,0.109,39.6,34.463,12,1.047
5.0,1,67.59,59,61,0.646,37.3,13,2,45.0,15,8.518,3,3.4,61.269,38.097,1.146,22,12,36,0.636,6,1,34,502.56,25,0.115,42.4,37.517,12,1.038
6.0,1,67.571,60,63,0.655,38.3,13,2,44.0,15,7.677,3,3.3,60.731,39.284,1.126,23,12,35,0.623,6,1,32,460.6,28,0.127,46.7,37.367,9,1.012
5.0,1,67.361,60,62,0.664,40.0,13,2,45.0,16,7.61,3,3.3,60.403,39.83,1.123,24,12,34,0.628,5,1,32,456.61,28,0.113,46.7,37.652,8,1.007
5.0,1,73.401,65,67,0.643,36.9,13,2,44.0,15,7.333,3,3.1,65.498,41.807,1.129,24,12,35,0.606,6,1,33,476.65,32,0.134,49.2,39.421,9,1.008
5.0,1,72.192,64,66,0.646,37.5,13,2,43.0,15,7.198,3,3.1,64.171,41.353,1.128,24,12,34,0.605,5,1,32,460.65,32,0.106,50.0,38.706,8,1.003
5.699,1,74.61,66,68,0.64,36.4,13,2,45.0,15,7.464,3,3.0,66.825,42.262,1.13,24,12,36,0.608,7,1,34,492.65,32,0.147,48.5,40.135,10,1.013
6.114,1,70.986,63,66,0.652,38.1,13,2,45.0,15,7.534,3,3.2,63.614,41.046,1.127,24,12,36,0.617,6,1,33,474.63,30,0.121,47.6,38.894,9,1.01
5.0,2,63.87,57,59,0.682,38.6,13,2,48.0,18,8.642,5,3.5,58.367,38.864,1.121,22,12,35,0.653,7,2,33,492.62,24,0.119,42.1,37.215,11,1.024
5.357,1,55.119,49,52,0.667,38.8,13,2,41.0,15,8.581,3,4.1,50.524,32.693,1.125,19,12,32,0.653,7,1,29,420.48,20,0.096,40.8,31.975,10,1.031
5.699,1,60.534,54,57,0.675,40.7,13,2,46.0,16,8.491,3,3.7,55.407,36.455,1.121,22,12,35,0.657,7,1,32,458.53,22,0.105,40.7,35.501,10,1.026
5.62,1,66.574,59,62,0.651,37.3,13,2,45.0,15,8.111,3,3.4,60.502,38.432,1.128,22,12,36,0.632,8,1,33,478.57,26,0.129,44.1,37.27,11,1.025
6.0,1,62.95,56,60,0.665,39.3,13,2,45.0,15,8.224,3,3.6,57.291,37.216,1.124,22,12,36,0.643,7,1,32,460.55,24,0.1,42.9,36.028,10,1.023
5.222,1,66.365,59,63,0.661,39.0,13,2,46.0,15,8.044,3,3.4,60.174,38.977,1.125,23,12,37,0.637,7,1,33,474.58,26,0.095,44.1,37.555,10,1.02
5.0,1,63.965,56,59,0.659,39.3,13,2,45.0,15,8.652,3,3.6,58.058,36.881,1.142,22,12,36,0.648,5,1,33,484.54,23,0.102,41.1,36.275,11,1.037
5.0,1,56.135,49,51,0.66,38.8,13,2,41.0,15,9.071,3,4.1,51.291,32.358,1.146,19,12,32,0.658,5,1,30,444.47,19,0.098,38.8,32.222,11,1.047
5.0,1,66.38,58,60,0.649,37.9,13,2,44.0,15,8.389,3,3.4,59.941,37.642,1.144,22,12,35,0.635,5,1,33,486.56,25,0.1,43.1,36.802,11,1.033
5.0,1,62.965,55,57,0.652,38.2,13,2,43.0,15,8.591,3,3.6,57.058,35.881,1.145,21,12,34,0.641,5,1,32,472.53,23,0.105,41.8,35.275,11,1.037
5.0,2,68.51,60,62,0.662,36.7,13,2,46.0,15,8.91,3,3.3,62.345,39.744,1.142,22,12,37,0.645,6,2,35,534.63,25,0.145,41.7,38.704,13,1.039
5.0,1,57.344,50,52,0.656,38.0,13,2,42.0,15,9.209,3,4.0,52.618,32.813,1.147,19,12,33,0.659,6,1,31,460.47,19,0.115,38.0,32.937,12,1.052
5.398,1,65.175,57,60,0.655,38.6,13,2,46.0,15,8.781,3,3.5,59.385,37.335,1.143,22,12,37,0.649,6,1,34,500.54,23,0.117,40.4,36.99,12,1.042
5.222,1,70.673,62,65,0.667,40.3,18,3,53.0,21,8.897,3,4.8,64.487,41.341,1.14,25,18,41,0.661,6,1,38,551.59,24,0.123,38.7,41.012,13,1.04
6.767,2,50.62,45,46,0.676,35.6,7,2,34.0,10,8.545,3,4.4,45.945,30.432,1.125,16,6,26,0.638,5,2,25,384.52,20,0.109,44.4,28.732,9,1.021
5.301,0,50.452,45,48,0.684,44.4,17,3,44.0,17,9.097,5,6.7,46.898,30.767,1.121,20,12,33,0.694,7,0,30,409.38,15,0.083,33.3,31.229,10,1.042
6.674,1,66.444,59,61,0.662,39.0,13,3,45.0,16,7.756,3,5.1,59.622,39.074,1.126,23,12,34,0.63,5,1,32,457.6,27,0.115,45.8,37.147,9,1.011
5.518,1,60.322,53,54,0.642,34.0,8,4,39.0,11,8.01,4,7.5,54.283,34.012,1.138,18,6,30,0.619,6,1,29,424.53,24,0.111,45.3,32.83,11,1.024
6.441,1,65.239,58,60,0.668,39.7,14,3,47.0,17,8.131,4,5.2,59.065,38.767,1.125,23,12,35,0.644,6,1,33,471.58,25,0.1,43.1,37.335,10,1.018
5.301,1,46.977,42,45,0.708,45.2,16,3,41.0,16,9.519,4,7.1,43.567,29.716,1.119,19,12,31,0.705,5,0,28,399.81,14,0.067,33.3,29.627,9,1.037
5.674,1,57.823,51,52,0.647,35.3,8,3,38.0,11,8.03,4,5.9,52.182,33.006,1.134,18,6,29,0.624,6,1,28,409.51,23,0.096,45.1,31.808,10,1.023
6.545,1,59.029,52,53,0.641,34.6,7,3,36.0,10,7.606,3,5.8,52.738,33.313,1.135,18,6,28,0.608,5,1,27,395.53,25,0.113,48.1,31.62,9,1.014
4.611,1,50.7,45,46,0.662,37.8,13,2,35.0,15,8.099,3,4.4,45.869,29.784,1.127,17,12,26,0.634,5,1,25,364.46,20,0.152,44.4,28.545,8,1.019
6.943,2,53.039,47,48,0.667,34.0,7,2,38.0,12,8.862,5,4.3,48.6,31.341,1.128,16,6,28,0.642,7,2,27,416.52,20,0.104,42.6,30.162,11,1.034
5.945,2,65.783,58,59,0.649,32.8,7,3,42.0,12,8.166,5,5.2,59.353,37.631,1.134,19,6,32,0.617,7,2,31,473.63,27,0.136,46.6,35.764,12,1.023
5.31,1,77.69,69,72,0.657,39.1,16,3,50.5,20,7.416,3,4.3,69.272,45.358,1.126,27,17,39,0.619,5,1,36,511.7,33,0.111,47.8,42.727,9,1.004
4.523,1,59.47,52,54,0.654,38.5,13,1,43.0,15,9.144,3,1.9,54.727,34.023,1.144,20,12,34,0.657,7,1,32,475.48,20,0.111,38.5,34.157,12,1.052
6.745,1,60.08,53,55,0.655,37.7,13,2,41.0,15,8.274,3,3.8,54.476,34.699,1.134,20,12,32,0.636,6,1,30,438.52,23,0.109,43.4,33.697,10,1.028
5.31,1,70.86,63,66,0.664,39.7,16,3,48.5,20,7.677,3,4.8,63.505,41.835,1.125,25,17,37,0.63,5,1,34,483.64,29,0.121,46.0,39.674,9,1.008
4.523,1,61.867,55,57,0.654,38.2,13,1,41.0,15,7.919,3,1.8,56.073,35.972,1.125,21,12,32,0.628,7,1,30,435.54,25,0.105,45.5,34.534,9,1.02
5.515,0,33.199,30,31,0.701,50.0,15,1,26.0,14,7.443,2,3.3,29.731,21.029,1.107,15,12,18,0.663,1,0,17,223.29,13,0.097,43.3,19.897,2,0.991
5.339,0,36.614,33,34,0.691,48.5,15,1,27.0,14,7.192,2,3.0,32.614,22.79,1.11,16,12,19,0.649,1,0,18,237.32,15,0.088,45.5,21.424,2,0.988
5.462,1,33.143,30,31,0.73,50.0,15,1,27.0,14,8.591,2,3.3,30.054,21.887,1.105,15,12,19,0.691,1,0,18,257.73,12,0.097,40.0,20.725,3,1.002
5.475,1,34.352,31,32,0.721,48.4,15,1,28.0,14,8.83,2,3.2,31.382,22.341,1.108,15,12,20,0.692,2,0,19,273.73,12,0.094,38.7,21.439,4,1.012
5.447,1,34.352,31,32,0.721,48.4,15,1,28.0,14,8.83,2,3.2,31.382,22.341,1.108,15,12,20,0.692,2,0,19,273.73,12,0.094,38.7,21.439,4,1.012
6.542,1,66.444,59,61,0.662,39.0,13,3,45.0,16,7.756,3,5.1,59.622,39.074,1.126,23,12,34,0.63,5,1,32,457.6,27,0.115,45.8,37.147,9,1.011
6.044,1,74.567,66,68,0.656,37.9,14,4,50.0,17,7.798,4,6.1,66.934,43.296,1.13,25,12,38,0.627,6,1,36,514.66,30,0.103,45.5,41.41,11,1.014
6.069,1,66.448,59,61,0.665,39.0,14,3,48.0,17,8.264,4,5.1,60.393,39.222,1.126,23,12,36,0.645,7,1,34,487.58,25,0.115,42.4,38.05,11,1.024
4.886,0,63.196,56,59,0.662,41.1,17,4,48.5,20,8.33,3,7.1,57.651,37.057,1.128,23,17,37,0.658,7,0,34,466.49,22,0.153,39.3,36.83,11,1.029
5.31,1,67.444,60,63,0.668,40.0,16,3,47.5,20,7.827,3,5.0,60.622,40.074,1.124,24,17,36,0.636,5,1,33,469.61,27,0.111,45.0,38.147,9,1.01
6.569,2,59.684,53,55,0.672,37.7,13,2,41.0,15,8.584,3,3.8,54.287,35.619,1.126,20,12,32,0.644,6,1,30,454.97,23,0.109,43.4,34.141,10,1.024
6.238,1,73.361,65,67,0.661,38.5,15,4,52.0,18,8.133,5,6.2,66.378,42.989,1.129,25,12,39,0.64,7,1,37,528.64,28,0.104,43.1,41.598,12,1.021
6.07,1,81.481,72,75,0.654,37.5,14,5,54.0,17,7.718,4,6.9,72.92,47.063,1.132,27,12,42,0.624,6,1,39,555.72,33,0.08,45.8,44.958,12,1.013
5.854,2,54.98,49,51,0.68,38.8,13,1,40.0,15,9.019,3,2.0,50.629,33.307,1.122,19,12,31,0.659,7,1,29,441.92,20,0.118,40.8,32.308,10,1.033
5.31,0,72.228,64,67,0.652,40.6,17,4,47.5,19,7.228,2,6.3,64.203,41.739,1.129,26,17,37,0.622,4,0,34,462.6,30,0.104,46.9,39.793,8,1.003
5.31,1,84.52,75,78,0.652,38.7,16,3,52.5,20,7.197,3,4.0,75.04,48.881,1.127,29,17,41,0.61,5,1,38,539.76,37,0.128,49.3,45.781,9,1.001
5.31,1,66.155,59,62,0.67,40.7,16,2,47.5,20,7.976,3,3.4,59.847,39.523,1.121,24,17,36,0.641,6,1,33,470.59,26,0.129,44.1,37.84,9,1.014
4.886,3,54.924,49,51,0.697,38.8,13,1,41.0,15,9.722,3,2.0,50.953,34.165,1.121,19,12,32,0.676,7,1,30,476.36,19,0.118,38.8,33.135,11,1.04
6.301,1,66.448,59,61,0.665,39.0,14,3,48.0,17,8.264,4,5.1,60.393,39.222,1.126,23,12,36,0.645,7,1,34,487.58,25,0.098,42.4,38.05,11,1.024
4.921,1,58.451,52,54,0.658,38.5,13,1,40.0,15,8.106,3,1.9,53.189,34.21,1.124,20,12,31,0.635,7,1,29,421.51,23,0.111,44.2,33.007,9,1.023
6.377,1,60.08,53,55,0.655,37.7,13,2,41.0,15,8.274,3,3.8,54.476,34.699,1.134,20,12,32,0.636,6,1,30,438.52,23,0.109,43.4,33.697,10,1.028
6.166,1,71.152,63,65,0.659,38.1,14,4,49.0,17,7.947,4,6.3,64.051,41.534,1.129,24,12,37,0.633,6,1,35,500.63,28,0.092,44.4,39.883,11,1.017
4.0,1,42.949,39,41,0.723,48.7,17,1,33.0,15,7.883,3,2.6,38.574,28.199,1.101,19,12,24,0.67,1,1,22,307.44,17,0.122,43.6,26.138,3,0.989
5.31,1,67.444,60,63,0.668,40.0,16,3,47.5,20,7.827,3,5.0,60.622,40.074,1.124,24,17,36,0.636,5,1,33,469.61,27,0.111,45.0,38.147,9,1.01
5.553,2,54.98,49,51,0.68,38.8,13,1,40.0,15,9.019,3,2.0,50.629,33.307,1.122,19,12,31,0.659,7,1,29,441.92,20,0.118,40.8,32.308,10,1.033
5.102,2,54.98,49,51,0.68,38.8,13,1,40.0,15,9.019,3,2.0,50.629,33.307,1.122,19,12,31,0.659,7,1,29,441.92,20,0.118,40.8,32.308,10,1.033
4.0,2,33.272,30,31,0.733,43.3,10,1,25.0,9,9.393,3,3.3,30.458,21.989,1.109,13,6,19,0.688,2,1,18,281.78,12,0.129,40.0,20.626,5,1.015
6.341,1,71.152,63,65,0.659,38.1,14,4,49.0,17,7.947,4,6.3,64.051,41.534,1.129,24,12,37,0.633,6,1,35,500.63,28,0.108,44.4,39.883,11,1.017
4.523,3,54.924,49,51,0.697,38.8,13,1,41.0,15,9.722,3,2.0,50.953,34.165,1.121,19,12,32,0.676,7,1,30,476.36,19,0.118,38.8,33.135,11,1.04
5.31,1,74.275,66,69,0.661,39.4,16,3,49.5,20,7.54,3,4.5,66.389,43.597,1.125,26,17,38,0.624,5,1,35,497.67,31,0.116,47.0,41.2,9,1.006
5.31,1,70.86,63,66,0.664,39.7,16,3,48.5,20,7.677,3,4.8,63.505,41.835,1.125,25,17,37,0.63,5,1,34,483.64,29,0.106,46.0,39.674,9,1.008
5.31,1,81.105,72,75,0.654,38.9,16,3,51.5,20,7.302,3,4.2,72.156,47.12,1.126,28,17,40,0.615,5,1,37,525.73,35,0.12,48.6,44.254,9,1.002
5.31,1,68.361,61,64,0.669,41.0,16,2,47.5,20,7.682,3,3.3,61.403,40.83,1.121,25,17,36,0.634,5,1,33,468.62,28,0.125,45.9,38.652,8,1.007
4.194,1,41.949,38,40,0.716,47.4,15,1,31.0,14,7.774,2,2.6,37.574,27.199,1.104,18,12,23,0.662,1,1,21,295.43,17,0.1,44.7,25.138,3,0.989
6.921,1,55.036,49,51,0.662,38.8,13,1,39.0,15,8.316,3,2.0,50.305,32.449,1.123,19,12,30,0.642,7,1,28,407.48,21,0.098,42.9,31.48,9,1.027
4.721,1,61.867,55,57,0.654,38.2,13,1,41.0,15,7.919,3,1.8,56.073,35.972,1.125,21,12,32,0.628,7,1,30,435.54,25,0.105,45.5,34.534,9,1.02
5.31,1,77.69,69,72,0.657,39.1,16,3,50.5,20,7.416,3,4.3,69.272,45.358,1.126,27,17,39,0.619,5,1,36,511.7,33,0.125,47.8,42.727,9,1.004
5.31,1,84.52,75,78,0.652,38.7,16,3,52.5,20,7.197,3,4.0,75.04,48.881,1.127,29,17,41,0.61,5,1,38,539.76,37,0.128,49.3,45.781,9,1.001
5.31,1,67.444,60,63,0.668,40.0,16,3,47.5,20,7.827,3,5.0,60.622,40.074,1.124,24,17,36,0.636,5,1,33,469.61,27,0.127,45.0,38.147,9,1.01
5.31,1,67.444,60,63,0.668,40.0,16,3,47.5,20,7.827,3,5.0,60.622,40.074,1.124,24,17,36,0.636,5,1,33,469.61,27,0.111,45.0,38.147,9,1.01
5.31,1,81.105,72,75,0.654,38.9,16,3,51.5,20,7.302,3,4.2,72.156,47.12,1.126,28,17,40,0.615,5,1,37,525.73,35,0.133,48.6,44.254,9,1.002
5.31,1,81.105,72,75,0.654,38.9,16,3,51.5,20,7.302,3,4.2,72.156,47.12,1.126,28,17,40,0.615,5,1,37,525.73,35,0.12,48.6,44.254,9,1.002
6.09,1,69.946,62,64,0.665,38.7,15,4,51.0,18,8.3,5,6.5,63.494,41.227,1.128,24,12,38,0.646,7,1,36,514.61,26,0.094,41.9,40.071,12,1.024
5.31,1,70.86,63,66,0.664,39.7,16,3,48.5,20,7.677,3,4.8,63.505,41.835,1.125,25,17,37,0.63,5,1,34,483.64,29,0.121,46.0,39.674,9,1.008
4.658,1,58.451,52,54,0.658,38.5,13,1,40.0,15,8.106,3,1.9,53.189,34.21,1.124,20,12,31,0.635,7,1,29,421.51,23,0.111,44.2,33.007,9,1.023
5.31,1,75.275,67,70,0.666,40.3,18,3,51.5,21,7.607,4,4.5,67.389,44.597,1.124,27,17,39,0.63,5,1,36,509.68,31,0.129,46.3,42.2,9,1.006
5.31,1,70.86,63,66,0.664,39.7,16,3,48.5,20,7.677,3,4.8,63.505,41.835,1.125,25,17,37,0.63,5,1,34,483.64,29,0.121,46.0,39.674,9,1.008
5.959,1,60.08,53,55,0.655,37.7,13,2,41.0,15,8.274,3,3.8,54.476,34.699,1.134,20,12,32,0.636,6,1,30,438.52,23,0.109,43.4,33.697,10,1.028
5.31,1,64.029,57,60,0.672,40.4,16,3,46.5,20,7.993,3,5.3,57.738,38.313,1.123,23,17,35,0.642,5,1,32,455.58,25,0.117,43.9,36.62,9,1.013
5.31,1,70.86,63,66,0.664,39.7,16,3,48.5,20,7.677,3,4.8,63.505,41.835,1.125,25,17,37,0.63,5,1,34,483.64,29,0.121,46.0,39.674,9,1.008
6.449,1,67.405,60,63,0.688,41.7,18,5,55.0,23,8.693,4,8.3,61.502,41.256,1.123,25,18,40,0.672,6,1,37,521.6,23,0.095,38.3,40.324,12,1.025
5.31,1,69.571,62,65,0.666,40.3,16,2,48.5,20,7.816,3,3.2,62.731,41.284,1.122,25,17,37,0.635,6,1,34,484.62,28,0.123,45.2,39.367,9,1.012
5.31,1,77.69,69,72,0.657,39.1,16,3,50.5,20,7.416,3,4.3,69.272,45.358,1.126,27,17,39,0.619,5,1,36,511.7,33,0.111,47.8,42.727,9,1.004
5.31,1,74.275,66,69,0.661,39.4,16,3,49.5,20,7.54,3,4.5,66.389,43.597,1.125,26,17,38,0.624,5,1,35,497.67,31,0.116,47.0,41.2,9,1.006
6.943,2,47.127,42,43,0.699,38.1,13,2,35.0,15,10.222,3,4.8,43.214,29.375,1.122,16,12,26,0.668,5,1,25,429.32,17,0.116,40.5,28.044,9,1.029
5.626,2,59.372,53,54,0.692,39.6,13,2,42.0,16,9.348,3,3.8,53.865,36.659,1.12,21,12,31,0.653,5,1,30,495.43,23,0.13,43.4,34.624,9,1.016
6.222,1,63.495,56,58,0.651,37.5,13,2,42.0,15,8.081,3,3.6,57.36,36.46,1.134,21,12,33,0.629,6,1,31,452.55,25,0.103,44.6,35.224,10,1.024
4.036,1,32.119,29,30,0.713,44.8,11,1,23.0,9,7.977,3,3.4,28.807,20.676,1.108,13,6,17,0.658,1,1,16,231.34,13,0.1,44.8,19.084,3,0.993
6.509,1,63.155,56,58,0.652,37.5,13,2,41.0,15,7.76,3,3.6,56.847,36.523,1.128,21,12,32,0.622,6,1,30,434.56,26,0.103,46.4,34.84,9,1.015
5.78,2,69.701,62,64,0.68,38.7,13,3,47.0,16,8.879,3,4.8,62.734,42.188,1.124,24,12,36,0.64,5,1,34,550.52,28,0.109,45.2,39.699,10,1.012
5.796,1,62.239,55,57,0.65,36.4,12,3,41.0,15,7.919,3,5.5,56.065,35.767,1.132,20,12,32,0.624,6,1,30,435.55,25,0.105,45.5,34.335,10,1.019
4.495,0,40.239,36,37,0.667,44.4,13,1,27.0,10,7.093,4,2.8,35.825,24.006,1.118,16,6,20,0.63,2,0,19,255.34,17,0.135,47.2,22.665,3,0.995
6.509,2,60.024,53,55,0.671,37.7,13,2,42.0,15,8.924,3,3.8,54.8,35.557,1.133,20,12,33,0.651,6,1,31,472.96,22,0.109,41.5,34.524,11,1.034
5.796,1,57.906,51,53,0.652,35.3,11,4,40.0,15,8.285,3,7.8,52.4,33.25,1.135,18,12,31,0.633,6,1,29,422.51,22,0.113,43.1,32.303,11,1.027
6.066,2,59.684,53,55,0.672,37.7,13,2,41.0,15,8.584,3,3.8,54.287,35.619,1.126,20,12,32,0.644,6,1,30,454.97,23,0.109,43.4,34.141,10,1.024
4.945,0,29.917,27,29,0.695,48.1,13,0,28.0,13,9.637,1,0.0,28.498,18.773,1.108,13,12,21,0.718,6,0,19,260.21,8,0.0,29.6,19.396,6,1.055
6.284,2,58.767,52,54,0.67,36.5,12,3,41.0,15,8.768,3,5.8,53.505,34.864,1.13,19,12,32,0.647,6,1,30,455.96,22,0.111,42.3,33.636,11,1.029
4.796,1,65.74,59,62,0.691,44.1,22,2,53.0,26,8.349,4,3.4,59.963,40.761,1.114,26,22,38,0.666,6,1,35,492.59,24,0.129,40.7,39.313,9,1.016
4.523,2,38.376,35,37,0.765,48.6,15,1,31.0,14,10.294,2,2.9,34.92,26.79,1.096,17,12,23,0.704,1,1,21,360.29,14,0.108,40.0,24.636,4,0.998
5.585,1,64.365,57,59,0.649,36.8,13,2,42.0,15,7.905,3,3.5,58.174,36.977,1.129,21,12,33,0.624,7,1,31,450.56,26,0.119,45.6,35.555,10,1.021
5.108,2,57.167,51,52,0.693,39.2,13,2,42.0,16,9.753,3,3.9,52.309,35.352,1.121,20,12,31,0.663,6,1,30,497.4,21,0.135,41.2,33.812,10,1.026
6.102,1,66.91,59,61,0.648,37.3,13,2,43.0,15,7.908,3,3.4,60.243,38.222,1.134,22,12,34,0.623,6,1,32,466.58,27,0.098,45.8,36.75,10,1.021
5.824,1,69.986,62,64,0.646,37.1,13,2,43.0,15,7.462,3,3.2,62.614,40.046,1.129,23,12,34,0.611,6,1,32,462.62,30,0.109,48.4,37.894,9,1.01
6.168,1,66.91,59,61,0.648,37.3,13,2,43.0,15,7.908,3,3.4,60.243,38.222,1.134,22,12,34,0.623,6,1,32,466.58,27,0.098,45.8,36.75,10,1.021
5.494,2,53.751,48,49,0.7,39.6,13,2,41.0,16,10.07,3,4.2,49.425,33.591,1.12,19,12,30,0.673,6,1,29,483.37,19,0.122,39.6,32.285,10,1.03
5.305,0,65.192,58,62,0.671,43.1,18,4,49.5,20,7.94,3,6.9,58.88,38.909,1.124,25,17,38,0.654,5,0,34,460.53,24,0.081,41.4,37.928,9,1.015
6.538,1,68.654,61,64,0.664,39.3,16,3,48.5,20,7.961,3,4.9,61.949,40.529,1.125,24,17,37,0.637,6,1,34,485.61,27,0.094,44.3,38.862,10,1.016
5.792,2,52.542,47,48,0.705,40.4,13,2,40.0,16,9.944,3,4.3,48.098,33.137,1.118,19,12,29,0.672,5,1,28,467.37,19,0.125,40.4,31.57,9,1.023
5.362,0,79.813,71,76,0.678,43.7,24,6,64.5,28,8.178,5,8.5,72.294,48.137,1.124,31,23,48,0.665,6,0,43,580.65,28,0.092,39.4,47.212,12,1.018
6.593,1,66.91,59,61,0.648,37.3,13,2,43.0,15,7.908,3,3.4,60.243,38.222,1.134,22,12,34,0.623,6,1,32,466.58,27,0.098,45.8,36.75,10,1.021
5.638,1,73.401,65,67,0.643,36.9,13,2,44.0,15,7.333,3,3.1,65.498,41.807,1.129,24,12,35,0.606,6,1,33,476.65,32,0.104,49.2,39.421,9,1.008
6.77,1,68.654,61,64,0.664,39.3,16,3,48.5,20,7.961,3,4.9,61.949,40.529,1.125,24,17,37,0.637,6,1,34,485.61,27,0.094,44.3,38.862,10,1.016
6.161,1,66.571,59,61,0.649,37.3,13,2,42.0,15,7.603,3,3.4,59.731,38.284,1.128,22,12,33,0.616,6,1,31,448.59,28,0.098,47.5,36.367,9,1.012
5.959,2,62.183,55,57,0.666,36.4,12,3,42.0,15,8.545,3,5.5,56.389,36.625,1.131,20,12,33,0.639,6,1,31,469.99,24,0.105,43.6,35.162,11,1.025
5.305,0,76.727,68,72,0.658,41.2,18,5,52.5,20,7.377,3,7.4,68.305,44.745,1.128,28,17,41,0.63,4,0,37,501.64,31,0.083,45.6,42.815,9,1.004
5.292,1,60.08,53,55,0.655,37.7,13,2,41.0,15,8.274,3,3.8,54.476,34.699,1.134,20,12,32,0.636,6,1,30,438.52,23,0.109,43.4,33.697,10,1.028
5.305,0,30.495,27,28,0.662,40.7,9,2,24.0,9,8.675,3,7.4,28.047,17.875,1.129,11,6,18,0.667,4,0,17,234.23,10,0.036,37.0,18.009,6,1.039
6.703,1,66.571,59,61,0.649,37.3,13,2,42.0,15,7.603,3,3.4,59.731,38.284,1.128,22,12,33,0.616,6,1,31,448.59,28,0.098,47.5,36.367,9,1.012
5.305,1,73.235,65,69,0.674,40.0,18,5,55.5,22,8.272,5,7.7,66.269,43.779,1.127,26,17,42,0.652,6,1,38,537.65,27,0.087,41.5,42.378,12,1.02
6.0,2,49.229,44,46,0.702,40.9,15,2,39.0,16,9.293,4,4.5,45.309,30.881,1.119,18,12,29,0.678,5,1,27,408.89,17,0.109,38.6,29.846,9,1.03
6.0,2,67.598,60,63,0.673,38.3,15,3,47.0,16,8.467,4,5.0,61.273,40.386,1.127,23,12,37,0.645,6,1,34,508.04,26,0.111,43.3,38.689,11,1.021
6.0,2,49.205,44,46,0.697,38.6,13,2,37.5,15,8.966,4,4.5,45.062,30.671,1.118,17,11,28,0.664,5,2,26,394.51,18,0.109,40.9,29.205,9,1.024
6.0,2,71.013,63,66,0.669,38.1,15,3,48.0,16,8.287,4,4.8,64.156,42.148,1.127,24,12,38,0.638,6,1,35,522.07,28,0.121,44.4,40.216,11,1.018
4.523,0,47.156,42,44,0.665,42.9,14,2,34.0,14,7.771,2,4.8,42.582,27.921,1.123,18,12,26,0.646,4,0,24,326.38,18,0.114,42.9,27.116,6,1.014
5.305,0,82.936,74,79,0.678,44.6,25,5,63.5,27,7.807,4,6.8,74.632,50.199,1.121,33,23,48,0.656,5,0,43,577.69,31,0.089,41.9,48.529,10,1.009
4.032,1,41.162,37,38,0.697,43.2,13,1,31.0,11,8.578,5,2.7,37.673,25.801,1.112,16,6,23,0.669,4,1,22,317.39,15,0.158,40.5,24.755,6,1.018
6.112,1,66.571,59,61,0.649,37.3,13,2,42.0,15,7.603,3,3.4,59.731,38.284,1.128,22,12,33,0.616,6,1,31,448.59,28,0.098,47.5,36.367,9,1.012
5.716,1,80.69,72,75,0.672,41.7,19,3,56.0,22,7.607,3,4.2,72.272,48.358,1.121,30,18,42,0.635,5,1,39,547.73,33,0.107,45.8,45.727,9,1.004
5.814,2,52.542,47,48,0.705,40.4,13,2,40.0,16,9.944,3,4.3,48.098,33.137,1.118,19,12,29,0.672,5,1,28,467.37,19,0.125,40.4,31.57,9,1.023
5.305,0,69.896,62,66,0.665,41.9,18,5,50.5,20,7.638,3,8.1,62.538,41.222,1.127,26,17,39,0.641,4,0,35,473.58,27,0.076,43.5,39.761,9,1.009
5.305,0,53.654,48,51,0.686,45.8,18,3,43.5,20,8.113,3,6.3,48.683,32.926,1.118,22,17,32,0.67,4,0,29,389.44,19,0.078,39.6,32.138,7,1.014
4.0,1,37.501,34,36,0.792,50.0,15,3,35.0,18,11.801,1,8.8,34.12,26.938,1.103,17,16,24,0.727,1,0,22,401.22,12,0.083,35.3,24.73,5,1.004
4.0,2,36.996,34,37,0.805,52.9,17,3,39.0,22,9.808,1,8.8,33.993,27.358,1.088,18,20,26,0.751,0,2,23,333.46,11,0.081,32.4,25.546,5,1.0
5.911,2,55.957,50,51,0.698,40.0,13,2,41.0,16,9.628,3,4.0,50.982,34.898,1.119,20,12,30,0.662,5,1,29,481.4,21,0.118,42.0,33.097,9,1.02
5.305,0,84.142,75,80,0.673,44.0,24,5,61.5,26,7.516,3,6.7,75.189,50.506,1.122,33,23,47,0.645,4,0,42,563.71,33,0.1,44.0,48.341,9,1.003
