pXC50,Sp,nC,nBO,nAT,nBT,nSK,SCBO,Sv,MW,X.,nF,nH,Si,nCsp3,Se,O.,RBN,nN,N.,Mv,nHet,nCsp2,nDB,Mi,H.,nAB,AMW,Mp,RBF,nBM
7.638,57.683,36,47,90.0,95.0,42,56.5,53.105,568.88,0.0,0,48,101.546,20,88.501,2.2,10,4,4.4,0.59,6,16,1,1.128,53.3,17,6.321,0.641,0.105,18
7.796,57.165,36,48,88.0,93.0,43,59.5,53.073,579.86,0.0,0,45,99.214,19,86.836,2.3,9,5,5.7,0.603,7,16,1,1.127,51.1,17,6.589,0.65,0.097,19
8.921,59.29,36,49,94.0,98.0,45,58.5,55.444,620.89,1.1,1,49,106.72,20,93.552,4.3,12,4,4.3,0.59,9,16,1,1.135,52.1,17,6.605,0.631,0.122,18
9.0,56.103,35,47,87.0,91.0,43,58.5,52.456,585.84,1.1,1,44,98.554,18,86.348,2.3,10,5,5.7,0.603,8,16,1,1.133,50.6,17,6.734,0.645,0.11,19
8.357,56.921,36,48,88.0,94.0,42,57.5,52.578,566.86,0.0,0,46,99.131,20,86.617,2.3,9,4,4.5,0.597,6,16,1,1.126,52.3,17,6.442,0.647,0.096,18
9.097,54.859,34,45,86.0,90.0,41,54.5,50.961,560.83,1.2,1,45,97.471,18,85.13,2.3,10,4,4.7,0.593,7,16,1,1.133,52.3,17,6.521,0.638,0.111,18
9.523,59.62,38,50,92.0,97.0,45,62.0,55.488,610.89,1.1,1,47,103.886,18,91.014,2.2,11,4,4.3,0.603,7,20,1,1.129,51.1,22,6.64,0.648,0.113,23
9.523,59.836,37,50,94.0,99.0,45,59.5,55.73,616.9,1.1,1,49,106.511,21,93.225,3.2,13,4,4.3,0.593,8,16,1,1.133,52.1,17,6.563,0.637,0.131,18
7.796,60.62,39,52,93.0,99.0,46,64.0,56.488,622.9,1.1,1,47,104.886,19,92.014,2.2,9,4,4.3,0.607,7,20,1,1.128,50.5,22,6.698,0.652,0.091,23
8.959,55.313,34,46,87.0,91.0,42,55.5,51.676,576.83,1.1,1,45,98.68,18,86.457,3.4,10,4,4.6,0.594,8,16,1,1.134,51.7,17,6.63,0.636,0.11,18
8.921,53.609,34,45,83.0,88.0,40,54.5,49.745,541.8,0.0,0,43,93.427,18,81.959,3.6,9,3,3.6,0.599,6,16,1,1.126,51.8,17,6.528,0.646,0.102,18
9.301,65.12,40,53,103.0,108.0,48,62.5,60.31,658.99,1.0,1,55,116.756,24,101.875,2.9,12,4,3.9,0.586,8,16,1,1.134,53.4,17,6.398,0.632,0.111,18
8.921,55.859,35,47,87.0,92.0,42,56.5,51.961,572.84,1.1,1,45,98.471,19,86.13,2.3,11,4,4.6,0.597,7,16,1,1.132,51.7,17,6.584,0.642,0.12,18
8.824,57.495,36,50,90.0,95.0,45,59.5,54.255,622.85,3.3,3,45,102.566,20,90.039,2.2,10,4,4.4,0.603,9,16,1,1.14,50.0,17,6.921,0.639,0.105,18
9.222,59.836,37,50,94.0,99.0,45,59.5,55.73,616.9,1.1,1,49,106.511,21,93.225,3.2,12,4,4.3,0.593,8,16,1,1.133,52.1,17,6.563,0.637,0.121,18
7.939,57.683,36,47,90.0,95.0,42,56.5,53.105,568.88,0.0,0,48,101.546,20,88.501,2.2,9,4,4.4,0.59,6,16,1,1.128,53.3,17,6.321,0.641,0.095,18
9.155,58.773,36,49,93.0,97.0,45,58.5,55.113,622.88,2.2,2,48,105.85,20,92.737,3.2,13,4,4.3,0.593,9,16,1,1.138,51.6,17,6.698,0.632,0.134,18
9.699,59.62,38,50,92.0,97.0,45,62.0,55.488,610.89,1.1,1,47,103.886,18,91.014,2.2,11,4,4.3,0.603,7,20,1,1.129,51.1,22,6.64,0.648,0.113,23
9.301,65.597,42,56,101.0,107.0,50,68.5,61.256,678.97,1.0,1,51,113.926,20,100.108,3.0,12,4,4.0,0.606,8,22,1,1.128,50.5,23,6.722,0.649,0.112,24
8.886,56.103,35,47,87.0,91.0,43,58.5,52.456,585.84,1.1,1,44,98.554,18,86.348,2.3,11,5,5.7,0.603,8,16,1,1.133,50.6,17,6.734,0.645,0.121,19
8.959,57.143,34,45,92.0,96.0,41,51.5,52.542,566.89,1.1,1,51,104.717,24,90.781,2.2,10,4,4.3,0.571,7,10,1,1.138,55.4,11,6.162,0.621,0.104,12
9.301,60.597,37,49,96.0,100.0,45,58.5,56.256,618.92,1.0,1,51,108.926,21,95.108,3.1,14,4,4.2,0.586,8,16,1,1.135,53.1,17,6.447,0.631,0.14,18
7.108,57.683,36,47,90.0,95.0,42,56.5,53.105,568.88,0.0,0,48,101.546,20,88.501,2.2,10,4,4.4,0.59,6,16,1,1.128,53.3,17,6.321,0.641,0.105,18
8.456,57.415,34,48,89.0,93.0,44,59.5,53.578,624.9,1.1,1,45,100.81,18,88.861,4.5,11,4,4.5,0.602,10,16,3,1.133,50.6,17,7.021,0.645,0.118,20
9.523,62.381,40,52,96.0,101.0,47,64.5,58.015,636.93,1.0,1,49,108.301,18,94.897,2.1,12,4,4.2,0.604,7,22,1,1.128,51.0,23,6.635,0.65,0.119,24
9.398,61.904,38,49,98.0,102.0,45,58.5,57.068,616.95,1.0,1,53,111.132,22,96.665,2.0,11,4,4.1,0.582,7,16,1,1.134,54.1,17,6.295,0.632,0.108,18
7.481,57.83,36,49,90.0,95.0,44,59.5,54.008,598.86,0.0,0,46,101.55,19,89.272,4.4,11,4,4.4,0.6,8,17,2,1.128,51.1,17,6.654,0.643,0.116,19
8.398,53.194,33,46,81.0,86.0,41,55.5,49.735,579.22,2.5,1,40,91.585,17,80.687,2.5,8,4,4.9,0.614,8,16,1,1.131,49.4,17,7.151,0.657,0.093,18
8.824,53.097,33,44,83.0,87.0,40,53.5,49.434,546.8,1.2,1,43,94.056,17,82.247,2.4,10,4,4.8,0.596,7,16,1,1.133,51.8,17,6.588,0.64,0.115,18
9.046,54.859,34,45,86.0,90.0,41,54.5,50.961,560.83,1.2,1,45,97.471,18,85.13,2.3,11,4,4.7,0.593,7,16,1,1.133,52.3,17,6.521,0.638,0.122,18
9.046,58.319,36,49,91.0,95.0,45,60.5,54.697,615.87,1.1,1,46,103.179,19,90.559,3.3,11,5,5.5,0.601,9,16,1,1.134,50.5,17,6.768,0.641,0.116,19
9.699,59.62,38,50,92.0,97.0,45,62.0,55.488,610.89,1.1,1,47,103.886,18,91.014,2.2,10,4,4.3,0.603,7,20,1,1.129,51.1,22,6.64,0.648,0.103,23
9.301,56.95,35,49,90.0,94.0,45,58.5,53.969,626.84,3.3,3,45,102.775,19,90.366,3.3,11,4,4.4,0.6,10,16,1,1.142,50.0,17,6.965,0.633,0.117,18
9.301,58.319,36,49,91.0,95.0,45,60.5,54.697,615.87,1.1,1,46,103.179,19,90.559,3.3,12,5,5.5,0.601,9,16,1,1.134,50.5,17,6.768,0.641,0.126,19
8.921,54.097,34,46,84.0,89.0,41,55.5,50.434,558.81,1.2,1,43,95.056,18,83.247,2.4,11,4,4.8,0.6,7,16,1,1.132,51.2,17,6.652,0.644,0.124,18
9.301,56.768,35,49,89.0,94.0,44,58.5,53.391,604.84,1.1,1,45,100.89,19,88.785,4.5,11,4,4.5,0.6,9,16,1,1.134,50.6,17,6.796,0.638,0.117,18
9.398,57.012,35,48,90.0,94.0,44,57.5,53.586,608.85,2.2,2,46,102.435,19,89.854,3.3,12,4,4.4,0.595,9,16,1,1.138,51.1,17,6.765,0.633,0.128,18
9.155,63.359,39,52,100.0,105.0,47,61.5,58.783,644.96,1.0,1,53,113.341,23,98.992,3.0,13,4,4.0,0.588,8,16,1,1.133,53.0,17,6.45,0.634,0.124,18
9.097,62.359,38,50,99.0,103.0,46,59.5,57.783,632.95,1.0,1,53,112.341,22,97.992,3.0,14,4,4.0,0.584,8,16,1,1.135,53.5,17,6.393,0.63,0.136,18
5.754,44.421,25,36,65.0,67.0,34,44.0,41.097,570.4,4.6,0,31,73.37,12,65.192,3.1,9,4,6.2,0.632,9,13,2,1.129,47.7,12,8.775,0.683,0.134,14
6.745,43.16,25,35,66.0,68.0,33,44.0,40.157,517.52,1.5,0,33,74.691,12,65.872,4.5,9,4,6.1,0.608,8,13,3,1.132,50.0,12,7.841,0.654,0.132,15
4.769,43.16,25,35,66.0,68.0,33,44.0,40.157,517.52,1.5,0,33,74.691,12,65.872,4.5,8,4,6.1,0.608,8,13,3,1.132,50.0,12,7.841,0.654,0.118,15
6.538,44.921,26,36,69.0,71.0,34,45.0,41.684,531.55,1.4,0,35,78.106,13,68.756,4.3,9,4,5.8,0.604,8,13,3,1.132,50.7,12,7.704,0.651,0.127,15
5.25,46.682,27,37,72.0,74.0,35,46.0,43.211,545.58,1.4,0,37,81.521,14,71.639,4.2,9,4,5.6,0.6,8,13,3,1.132,51.4,12,7.577,0.648,0.122,15
6.886,42.659,24,35,62.0,64.0,33,43.0,39.571,556.37,4.8,0,29,69.954,11,62.309,3.2,9,4,6.5,0.638,9,13,2,1.128,46.8,12,8.974,0.688,0.141,14
4.67,43.659,25,37,63.0,66.0,34,45.0,40.571,568.38,4.8,0,29,70.954,12,63.309,3.2,9,4,6.3,0.644,9,13,2,1.126,46.0,12,9.022,0.693,0.136,14
4.912,40.137,23,35,57.0,60.0,32,43.0,37.517,540.32,5.3,0,25,64.124,10,57.542,3.5,6,4,7.0,0.658,9,13,2,1.125,43.9,12,9.479,0.704,0.1,14
5.47,38.892,22,32,56.0,58.0,30,39.0,36.022,515.31,5.4,0,26,63.041,10,56.323,3.6,7,3,5.4,0.643,8,12,1,1.126,46.4,12,9.202,0.695,0.121,13
6.886,46.415,28,39,66.0,69.0,36,49.0,43.076,591.41,4.5,0,30,73.871,10,66.091,3.0,9,3,4.5,0.653,8,18,1,1.119,45.5,18,8.961,0.703,0.13,19
7.417,46.966,28,39,67.0,70.0,36,49.0,43.383,590.43,4.5,0,31,75.16,10,66.865,1.5,9,4,6.0,0.648,8,18,1,1.122,46.3,18,8.812,0.701,0.129,19
7.398,47.637,30,44,70.0,74.0,40,54.0,45.727,592.53,7.1,3,30,79.464,12,71.283,2.9,7,3,4.3,0.653,10,18,1,1.135,42.9,18,8.465,0.681,0.095,19
7.523,46.33,29,44,68.0,72.0,40,54.0,44.915,594.5,7.4,3,28,77.258,11,69.727,4.4,7,3,4.4,0.661,11,18,1,1.136,41.2,18,8.743,0.681,0.097,19
7.301,46.637,29,42,69.0,72.0,39,52.0,44.727,580.52,7.2,3,30,78.464,11,70.283,2.9,9,3,4.3,0.648,10,18,1,1.137,43.5,18,8.413,0.676,0.125,19
7.0,47.881,30,44,70.0,73.0,41,56.0,46.222,605.53,7.1,3,29,79.547,11,71.501,2.9,9,4,5.7,0.66,11,18,1,1.136,41.4,18,8.65,0.684,0.123,20
7.301,47.881,30,44,70.0,73.0,41,56.0,46.222,605.53,7.1,3,29,79.547,11,71.501,2.9,9,4,5.7,0.66,11,18,1,1.136,41.4,18,8.65,0.684,0.123,20
6.921,47.495,29,43,69.0,72.0,40,53.0,45.555,614.96,8.7,3,29,78.408,11,70.607,2.9,9,3,4.3,0.66,11,18,1,1.136,42.0,18,8.912,0.688,0.125,19
7.222,47.495,29,43,69.0,72.0,40,53.0,45.555,614.96,8.7,3,29,78.408,11,70.607,2.9,9,3,4.3,0.66,11,18,1,1.136,42.0,18,8.912,0.688,0.125,19
7.398,46.574,29,43,69.0,72.0,40,53.0,45.111,598.51,8.7,4,29,78.804,11,70.796,2.9,9,3,4.3,0.654,11,18,1,1.142,42.0,18,8.674,0.675,0.125,19
6.854,45.659,27,39,65.0,68.0,36,49.0,42.571,592.4,4.6,0,29,72.954,10,65.309,3.1,9,4,6.2,0.655,9,17,1,1.122,44.6,18,9.114,0.702,0.132,19
6.013,45.659,27,39,65.0,68.0,36,49.0,42.571,592.4,4.6,0,29,72.954,10,65.309,3.1,9,4,6.2,0.655,9,17,1,1.122,44.6,18,9.114,0.702,0.132,19
6.721,47.421,28,40,68.0,71.0,37,50.0,44.097,606.43,4.4,0,31,76.37,11,68.192,2.9,9,4,5.9,0.648,9,17,1,1.123,45.6,18,8.918,0.697,0.127,19
6.854,47.421,28,40,68.0,71.0,37,50.0,44.097,606.43,4.4,0,31,76.37,11,68.192,2.9,9,4,5.9,0.648,9,17,1,1.123,45.6,18,8.918,0.697,0.127,19
5.42,47.421,28,40,68.0,71.0,37,50.0,44.097,606.43,4.4,0,31,76.37,11,68.192,2.9,9,4,5.9,0.648,9,17,1,1.123,45.6,18,8.918,0.697,0.127,19
6.658,47.421,28,40,68.0,71.0,37,50.0,44.097,606.43,4.4,0,31,76.37,11,68.192,2.9,9,4,5.9,0.648,9,17,1,1.123,45.6,18,8.918,0.697,0.127,19
7.222,47.642,29,43,71.0,74.0,40,53.0,45.749,595.54,7.0,3,31,80.962,12,72.385,2.8,9,4,5.6,0.644,11,17,1,1.14,43.7,18,8.388,0.671,0.122,19
7.301,47.642,29,43,71.0,74.0,40,53.0,45.749,595.54,7.0,3,31,80.962,12,72.385,2.8,9,4,5.6,0.644,11,17,1,1.14,43.7,18,8.388,0.671,0.122,19
7.398,47.642,29,43,71.0,74.0,40,53.0,45.749,595.54,7.0,3,31,80.962,12,72.385,2.8,9,4,5.6,0.644,11,17,1,1.14,43.7,18,8.388,0.671,0.122,19
6.854,46.739,28,43,68.0,71.0,40,53.0,45.05,615.95,8.8,3,28,77.491,11,69.825,2.9,9,4,5.9,0.662,12,17,1,1.14,41.2,18,9.058,0.687,0.127,19
7.155,46.739,28,43,68.0,71.0,40,53.0,45.05,615.95,8.8,3,28,77.491,11,69.825,2.9,9,4,5.9,0.662,12,17,1,1.14,41.2,18,9.058,0.687,0.127,19
7.699,46.739,28,43,68.0,71.0,40,53.0,45.05,615.95,8.8,3,28,77.491,11,69.825,2.9,9,4,5.9,0.662,12,17,1,1.14,41.2,18,9.058,0.687,0.127,19
7.523,47.193,28,44,69.0,72.0,41,54.0,45.764,631.95,8.7,3,28,78.701,11,71.152,4.3,10,4,5.8,0.663,13,17,1,1.141,40.6,18,9.159,0.684,0.139,19
8.0,49.483,28,43,71.0,74.0,40,55.0,46.516,626.05,4.2,0,31,79.811,11,72.018,5.6,10,4,5.6,0.655,12,17,3,1.124,43.7,18,8.818,0.697,0.135,21
7.523,45.881,28,42,68.0,71.0,39,52.0,44.222,581.51,7.4,3,29,77.547,11,69.501,2.9,9,4,5.9,0.65,11,17,1,1.14,42.6,18,8.552,0.675,0.127,19
6.886,47.455,29,46,71.0,74.0,43,56.0,46.899,649.51,11.3,6,28,81.981,12,73.923,2.8,9,4,5.6,0.661,14,17,1,1.155,39.4,18,9.148,0.668,0.122,19
7.398,47.125,29,44,69.0,72.0,41,56.0,45.717,606.52,7.2,3,28,78.63,11,70.72,2.9,9,5,7.2,0.663,12,17,1,1.14,40.6,18,8.79,0.683,0.125,20
5.979,49.551,30,46,74.0,77.0,43,57.0,48.178,639.55,6.8,3,31,84.381,12,76.04,5.4,11,4,5.4,0.651,13,18,2,1.14,41.9,18,8.643,0.67,0.143,20
9.0,58.075,36,49,91.0,96.0,44,58.5,54.203,602.87,1.1,1,47,103.096,20,90.341,3.3,12,4,4.4,0.596,8,16,1,1.133,51.6,17,6.625,0.638,0.125,18
8.959,52.972,33,46,83.0,87.0,42,55.5,50.201,582.78,3.6,3,41,94.735,17,83.272,2.4,10,4,4.8,0.605,9,16,1,1.141,49.4,17,7.021,0.638,0.115,18
8.377,55.921,35,46,87.0,92.0,41,55.5,51.578,554.85,0.0,0,46,98.131,19,85.617,2.3,9,4,4.6,0.593,6,16,1,1.128,52.9,17,6.378,0.643,0.098,18
9.222,56.887,35,50,90.0,94.0,46,59.5,54.353,644.83,4.4,4,44,103.115,19,90.879,3.3,11,4,4.4,0.604,11,16,1,1.146,48.9,17,7.165,0.632,0.117,18
9.398,61.597,38,51,97.0,102.0,46,60.5,57.256,630.93,1.0,1,51,109.926,22,96.108,3.1,13,4,4.1,0.59,8,16,1,1.133,52.6,17,6.504,0.635,0.127,18
9.301,58.075,36,49,91.0,96.0,44,58.5,54.203,602.87,1.1,1,47,103.096,20,90.341,3.3,10,4,4.4,0.596,8,16,1,1.133,51.6,17,6.625,0.638,0.104,18
8.886,61.597,38,51,97.0,102.0,46,60.5,57.256,630.93,1.0,1,51,109.926,22,96.108,3.1,13,4,4.1,0.59,8,16,1,1.133,52.6,17,6.504,0.635,0.127,18
9.046,58.836,36,48,93.0,97.0,44,57.5,54.73,604.89,1.1,1,49,105.511,20,92.225,3.2,12,4,4.3,0.588,8,16,1,1.135,52.7,17,6.504,0.633,0.124,18
9.097,60.597,37,49,96.0,100.0,45,58.5,56.256,618.92,1.0,1,51,108.926,21,95.108,3.1,13,4,4.2,0.586,8,16,1,1.135,53.1,17,6.447,0.631,0.13,18
7.883,52.342,32,44,82.0,86.0,40,53.5,48.929,547.79,1.2,1,42,93.139,17,81.465,2.4,10,5,6.1,0.597,8,15,1,1.136,51.2,17,6.68,0.638,0.116,18
9.398,58.773,36,49,93.0,97.0,45,58.5,55.113,622.88,2.2,2,48,105.85,20,92.737,3.2,13,4,4.3,0.593,9,16,1,1.138,51.6,17,6.698,0.632,0.134,18
8.886,53.035,33,45,83.0,87.0,41,54.5,49.818,564.79,2.4,2,42,94.395,17,82.759,2.4,10,4,4.8,0.6,8,16,1,1.137,50.6,17,6.805,0.639,0.115,18
8.638,58.006,36,53,92.0,96.0,49,62.5,56.315,696.83,7.6,7,43,106.34,20,93.974,2.2,10,4,4.3,0.612,13,16,1,1.156,46.7,17,7.574,0.631,0.104,18
9.222,58.648,36,51,93.0,97.0,47,60.5,55.88,658.86,4.3,4,46,106.53,20,93.763,3.2,13,4,4.3,0.601,11,16,1,1.145,49.5,17,7.085,0.631,0.134,18
8.886,62.359,38,50,99.0,103.0,46,59.5,57.783,632.95,1.0,1,53,112.341,22,97.992,3.0,13,4,4.0,0.584,8,16,1,1.135,53.5,17,6.393,0.63,0.126,18
9.155,61.597,38,51,97.0,102.0,46,60.5,57.256,630.93,1.0,1,51,109.926,22,96.108,3.1,12,4,4.1,0.59,8,16,1,1.133,52.6,17,6.504,0.635,0.118,18
9.301,54.796,34,46,86.0,90.0,42,55.5,51.345,578.82,2.3,2,44,97.811,18,85.643,2.3,10,4,4.7,0.597,8,16,1,1.137,51.2,17,6.73,0.637,0.111,18
9.523,56.95,35,49,90.0,94.0,45,58.5,53.969,626.84,3.3,3,45,102.775,19,90.366,3.3,12,4,4.4,0.6,10,16,1,1.142,50.0,17,6.965,0.633,0.128,18
8.886,63.177,39,54,96.0,101.0,49,68.5,59.105,686.97,1.0,1,47,108.225,17,95.745,4.2,12,4,4.2,0.616,10,22,3,1.127,49.0,23,7.156,0.658,0.119,26
8.638,61.938,37,52,96.0,101.0,47,63.5,57.632,664.97,1.0,1,49,108.64,21,95.628,4.2,11,4,4.2,0.6,10,16,3,1.132,51.0,17,6.927,0.645,0.109,20
9.097,62.359,38,50,99.0,103.0,46,59.5,57.783,632.95,1.0,1,53,112.341,22,97.992,3.0,15,4,4.0,0.584,8,16,1,1.135,53.5,17,6.393,0.63,0.146,18
9.097,60.597,37,49,96.0,100.0,45,58.5,56.256,618.92,1.0,1,51,108.926,21,95.108,3.1,12,4,4.2,0.586,8,16,1,1.135,53.1,17,6.447,0.631,0.12,18
9.0,57.558,36,49,90.0,95.0,44,58.5,53.871,604.86,2.2,2,46,102.226,20,89.526,2.2,10,4,4.4,0.599,8,16,1,1.136,51.1,17,6.721,0.64,0.105,18
9.155,64.597,41,54,100.0,105.0,49,66.5,60.256,666.96,1.0,1,51,112.926,19,99.108,3.0,14,4,4.0,0.603,8,22,1,1.129,51.0,23,6.67,0.646,0.133,24
8.444,55.103,33,48,84.0,88.0,44,62.0,52.044,620.84,0.0,0,40,94.643,14,84.352,7.1,12,4,4.8,0.62,11,19,5,1.127,47.6,18,7.391,0.656,0.136,23
7.0,50.427,31,43,76.0,80.0,39,55.0,47.066,547.78,0.0,0,37,85.311,12,75.712,5.3,10,3,3.9,0.619,8,19,3,1.123,48.7,18,7.208,0.664,0.125,21
7.435,52.188,32,44,79.0,83.0,40,56.0,48.593,561.81,0.0,0,39,88.726,13,78.596,5.1,10,3,3.8,0.615,8,19,3,1.123,49.4,18,7.112,0.661,0.12,21
7.8,53.182,35,46,80.0,86.0,40,58.0,49.283,532.79,0.0,0,40,89.676,15,78.639,1.3,6,4,5.0,0.616,5,20,1,1.121,50.0,22,6.66,0.665,0.07,23
9.45,52.705,33,43,82.0,87.0,38,52.0,48.336,512.81,0.0,0,44,92.507,19,80.407,1.2,6,4,4.9,0.589,5,14,1,1.128,53.7,16,6.254,0.643,0.069,17
5.65,52.705,33,43,82.0,87.0,38,52.0,48.336,512.81,0.0,0,44,92.507,19,80.407,1.2,6,4,4.9,0.589,5,14,1,1.128,53.7,16,6.254,0.643,0.069,17
5.5,54.785,36,50,82.0,88.0,44,64.0,51.9,590.78,0.0,0,38,91.889,14,81.738,4.9,6,4,4.9,0.633,8,22,3,1.121,46.3,22,7.205,0.668,0.068,25
5.75,52.398,33,44,81.0,86.0,39,54.0,48.524,526.79,0.0,0,42,91.301,18,79.85,2.5,6,4,4.9,0.599,6,15,2,1.127,51.9,16,6.504,0.647,0.07,18
5.5,50.177,33,42,76.0,81.0,37,52.0,46.261,493.75,0.0,0,39,85.178,14,74.538,1.3,7,3,3.9,0.609,4,19,1,1.121,51.3,18,6.497,0.66,0.086,19
5.5,51.938,34,43,79.0,84.0,38,53.0,47.788,507.78,0.0,0,41,88.593,15,77.421,1.3,8,3,3.8,0.605,4,19,1,1.121,51.9,18,6.428,0.657,0.095,19
5.6,52.324,35,47,78.0,84.0,41,59.0,49.164,547.75,0.0,0,37,87.182,14,77.309,3.8,6,3,3.8,0.63,6,21,3,1.118,47.4,18,7.022,0.671,0.071,21
5.5,51.876,34,46,78.0,84.0,40,57.0,48.471,534.76,0.0,0,38,87.47,14,77.083,2.6,6,4,5.1,0.621,6,20,2,1.121,48.7,18,6.856,0.665,0.071,20
6.4,51.421,34,45,77.0,83.0,39,57.0,47.756,518.76,0.0,0,38,86.261,14,75.756,1.3,6,4,5.2,0.62,5,20,1,1.12,49.4,22,6.737,0.668,0.072,23
6.59,52.427,34,46,79.0,85.0,40,58.0,48.777,533.78,0.0,0,39,88.759,14,77.858,1.3,6,5,6.3,0.617,6,20,1,1.124,49.4,22,6.757,0.664,0.071,23
6.6,54.188,35,47,82.0,88.0,41,59.0,50.304,547.81,0.0,0,41,92.175,15,80.741,1.2,7,5,6.1,0.613,6,20,1,1.124,50.0,22,6.681,0.661,0.08,23
7.0,52.995,35,49,80.0,86.0,43,61.0,50.433,586.76,3.8,3,37,90.695,15,80.177,1.3,6,4,5.0,0.63,8,20,1,1.134,46.3,22,7.334,0.662,0.07,23
5.8,57.501,36,50,86.0,92.0,44,64.0,53.426,610.89,0.0,0,42,96.43,16,85.254,3.5,7,4,4.7,0.621,8,20,3,1.121,48.8,22,7.103,0.669,0.076,25
8.0,53.12,35,47,80.0,86.0,41,59.0,49.666,550.78,1.3,1,39,90.016,15,79.152,1.3,6,4,5.0,0.621,6,20,1,1.125,48.8,22,6.885,0.664,0.07,23
7.7,52.427,34,46,79.0,85.0,40,58.0,48.777,533.78,0.0,0,39,88.759,15,77.858,1.3,6,5,6.3,0.617,6,19,1,1.124,49.4,22,6.757,0.664,0.071,23
6.6,53.637,35,47,81.0,87.0,41,59.0,49.998,548.79,0.0,0,40,90.886,15,79.967,2.5,7,4,4.9,0.617,6,20,1,1.122,49.4,22,6.775,0.662,0.08,23
5.7,55.398,36,48,84.0,90.0,42,60.0,51.524,562.82,0.0,0,42,94.301,16,82.85,2.4,8,4,4.8,0.613,6,20,1,1.123,50.0,22,6.7,0.66,0.089,23
8.05,54.944,36,47,83.0,89.0,41,59.0,50.81,546.82,0.0,0,42,93.091,16,81.523,1.2,7,4,4.8,0.612,5,20,1,1.122,50.6,22,6.588,0.662,0.079,23
6.75,53.12,35,47,80.0,86.0,41,59.0,49.666,550.78,1.3,1,39,90.016,15,79.152,1.3,6,4,5.0,0.621,6,20,1,1.125,48.8,22,6.885,0.664,0.07,23
7.8,54.898,35,48,80.0,86.0,42,60.0,50.938,601.67,2.5,0,38,89.564,15,79.287,1.3,6,4,5.0,0.637,7,20,1,1.12,47.5,22,7.521,0.686,0.07,23
7.5,53.057,35,48,80.0,86.0,42,60.0,50.049,568.77,2.5,2,38,90.356,15,79.665,1.3,6,4,5.0,0.626,7,20,1,1.129,47.5,22,7.11,0.663,0.07,23
8.3,54.04,35,47,80.0,86.0,41,59.0,50.11,567.23,1.3,0,39,89.62,15,78.963,1.3,6,4,5.0,0.626,6,20,1,1.12,48.8,22,7.09,0.676,0.07,23
5.5,54.756,36,50,83.0,89.0,44,62.0,51.959,600.79,3.6,3,39,94.111,16,83.061,1.2,6,4,4.8,0.626,8,20,1,1.134,47.0,22,7.238,0.66,0.067,23
7.75,55.398,36,48,84.0,90.0,42,60.0,51.524,562.82,0.0,0,42,94.301,16,82.85,2.4,7,4,4.8,0.613,6,20,1,1.123,50.0,22,6.7,0.66,0.078,23
6.721,42.83,28,36,65.0,68.0,33,46.0,40.064,445.63,1.5,1,32,73.272,9,64.399,1.5,7,3,4.6,0.616,5,19,1,1.127,49.2,18,6.856,0.659,0.103,19
5.699,51.711,30,41,81.0,84.0,38,50.0,47.646,541.83,0.0,0,43,91.557,17,80.363,4.9,10,3,3.7,0.588,8,13,3,1.13,53.1,12,6.689,0.638,0.119,15
7.678,55.103,33,48,84.0,88.0,44,62.0,52.044,620.84,0.0,0,40,94.643,14,84.352,7.1,12,4,4.8,0.62,11,19,5,1.127,47.6,18,7.391,0.656,0.136,23
7.337,50.733,31,41,77.0,80.0,38,53.0,46.878,533.8,0.0,0,39,86.517,12,76.269,3.9,10,3,3.9,0.609,7,19,3,1.124,50.6,18,6.932,0.659,0.125,21
7.42,48.972,30,40,74.0,77.0,37,52.0,45.351,519.77,0.0,0,37,83.102,11,73.385,4.1,10,3,4.1,0.613,7,19,3,1.123,50.0,18,7.024,0.662,0.13,21
5.638,51.171,35,42,76.0,80.0,38,55.0,47.24,502.75,0.0,0,38,84.68,10,74.436,1.3,9,2,2.6,0.622,3,25,1,1.114,50.0,24,6.615,0.673,0.113,25
8.0,52.495,32,42,80.0,83.0,39,54.0,48.405,547.83,0.0,0,41,89.932,13,79.152,3.8,11,3,3.8,0.605,7,19,3,1.124,51.3,18,6.848,0.656,0.133,21
8.046,53.949,33,45,82.0,86.0,41,57.0,50.12,575.84,0.0,0,41,92.141,14,81.479,4.9,11,3,3.7,0.611,8,19,3,1.124,50.0,18,7.022,0.658,0.128,21
5.658,44.506,29,36,66.0,69.0,33,46.0,41.014,461.09,1.5,0,33,73.793,10,64.992,1.5,8,2,3.0,0.621,4,19,1,1.118,50.0,18,6.986,0.674,0.116,19
7.659,50.728,32,41,76.0,79.0,38,54.0,46.857,530.79,0.0,0,38,85.018,11,75.167,3.9,11,2,2.6,0.617,6,21,4,1.119,50.0,18,6.984,0.667,0.139,22
7.208,46.415,30,37,71.0,74.0,34,47.0,42.735,455.7,0.0,0,37,79.763,11,69.654,1.4,9,3,4.2,0.602,4,19,1,1.123,52.1,18,6.418,0.654,0.122,19
8.276,54.648,33,47,83.0,87.0,43,61.0,51.329,604.84,0.0,0,40,93.434,14,83.025,6.0,11,4,4.8,0.618,10,19,5,1.126,48.2,18,7.287,0.658,0.126,23
6.18,43.586,29,36,66.0,69.0,33,46.0,40.57,444.64,1.5,1,33,74.189,10,65.181,1.5,8,2,3.0,0.615,4,19,1,1.124,50.0,18,6.737,0.66,0.116,19
