pXC50,nCsp2,nBM,SCBO,nCL,nBO,nC,Mi,Sv,MW,nO,Sp,nAB,nSK,nBT,Se,N.,O.,nHM,Si,nAT,nDB,C.,nN,X.,nX,Mp
5.012,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
5.0,14,17,38.5,0,29,19,1.12,27.896,335.39,3,28.71,15,25,46,42.473,7.1,7.1,0,47.03,42,2,45.2,3,0.0,0,0.684
6.51,20,23,41.5,0,29,20,1.1,26.821,328.34,3,27.182,21,25,41,37.604,5.4,8.1,0,40.701,37,2,54.1,2,0.0,0,0.735
4.301,20,23,45.5,0,33,21,1.128,29.498,396.34,3,28.756,21,29,44,42.025,5.0,7.5,0,45.135,40,2,52.5,2,7.5,3,0.719
6.192,20,23,43.5,1,31,21,1.102,29.176,376.81,3,29.801,21,27,44,40.811,5.0,7.5,1,44.06,40,2,52.5,2,2.5,1,0.745
6.822,20,23,42.5,0,30,20,1.108,27.843,343.36,3,28.188,21,26,43,39.705,7.7,7.7,0,43.199,39,2,51.3,3,0.0,0,0.723
6.659,20,23,42.5,0,30,20,1.109,27.205,346.33,3,27.119,21,26,41,38.116,5.4,8.1,0,41.041,37,2,54.1,2,2.7,1,0.733
7.26,20,23,42.5,1,30,20,1.099,27.649,362.78,3,28.04,21,26,41,37.927,5.4,8.1,1,40.645,37,2,54.1,2,2.7,1,0.758
7.221,20,23,42.5,0,30,20,1.103,27.536,344.34,4,27.636,21,26,42,38.931,5.3,10.5,0,41.91,38,2,52.6,2,0.0,0,0.727
7.201,20,23,45.5,1,33,23,1.106,32.229,404.87,3,33.324,21,29,50,46.578,4.3,6.5,1,50.89,46,2,50.0,2,2.2,1,0.724
6.239,20,23,45.5,0,33,21,1.128,29.498,396.34,3,28.756,21,29,44,42.025,5.0,7.5,0,45.135,40,2,52.5,2,7.5,3,0.719
7.172,20,23,42.5,0,30,20,1.103,27.536,344.34,4,27.636,21,26,42,38.931,5.3,10.5,0,41.91,38,2,52.6,2,0.0,0,0.727
7.153,20,23,42.5,0,30,20,1.108,27.843,343.36,3,28.188,21,26,43,39.705,7.7,7.7,0,43.199,39,2,51.3,3,0.0,0,0.723
4.798,20,23,42.5,0,30,20,1.109,27.205,346.33,3,27.119,21,26,41,38.116,5.4,8.1,0,41.041,37,2,54.1,2,2.7,1,0.733
5.481,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
5.405,20,23,42.5,0,30,20,1.108,27.843,343.36,3,28.188,21,26,43,39.705,7.7,7.7,0,43.199,39,2,51.3,3,0.0,0,0.723
6.57,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
5.743,20,24,45.5,0,31,21,1.1,28.316,353.35,3,28.426,21,27,42,38.822,7.9,7.9,0,41.784,38,2,55.3,3,0.0,0,0.748
7.62,20,23,43.5,1,31,20,1.106,28.67,377.8,3,29.046,21,27,43,40.029,7.7,7.7,1,43.143,39,2,51.3,3,2.6,1,0.745
4.911,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
4.699,19,22,41.5,0,30,21,1.108,28.875,344.39,3,29.705,21,26,46,42.371,4.8,7.1,0,46.531,42,1,50.0,2,0.0,0,0.707
7.799,20,23,43.5,1,31,20,1.106,28.67,377.8,3,29.046,21,27,43,40.029,7.7,7.7,1,43.143,39,2,51.3,3,2.6,1,0.745
6.31,20,23,43.5,2,31,20,1.097,28.476,397.22,3,28.898,21,27,41,38.251,5.4,8.1,2,40.589,37,2,54.1,2,5.4,2,0.781
7.639,20,23,43.5,1,31,20,1.101,28.364,378.78,4,28.494,21,27,42,39.255,5.3,10.5,1,41.854,38,2,52.6,2,2.6,1,0.75
7.42,18,22,40.0,0,28,18,1.108,25.316,317.32,3,25.426,20,24,39,35.822,8.6,8.6,0,38.784,35,2,51.4,3,0.0,0,0.726
6.209,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
7.278,20,23,45.5,1,33,23,1.106,32.229,404.87,3,33.324,21,29,50,46.578,4.3,6.5,1,50.89,46,2,50.0,2,2.2,1,0.724
7.736,20,23,43.5,1,31,20,1.101,28.364,378.78,4,28.494,21,27,42,39.255,5.3,10.5,1,41.854,38,2,52.6,2,2.6,1,0.75
7.552,20,23,43.5,2,31,20,1.097,28.476,397.22,3,28.898,21,27,41,38.251,5.4,8.1,2,40.589,37,2,54.1,2,5.4,2,0.781
6.59,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
7.539,20,23,44.5,0,32,21,1.114,29.446,376.36,4,29.335,21,28,45,42.327,4.9,9.8,0,45.665,41,2,51.2,2,2.4,1,0.715
6.77,20,23,47.5,1,35,25,1.11,35.283,432.93,3,36.847,21,31,56,52.345,3.8,5.8,1,57.721,52,2,48.1,2,1.9,1,0.709
7.051,20,23,42.5,0,30,20,1.103,27.536,344.34,4,27.636,21,26,42,38.931,5.3,10.5,0,41.91,38,2,52.6,2,0.0,0,0.727
6.239,19,23,41.5,0,29,19,1.105,26.316,329.33,3,26.426,21,25,40,36.822,8.3,8.3,0,39.784,36,2,52.8,3,0.0,0,0.734
7.379,20,23,43.5,1,31,20,1.101,28.364,378.78,4,28.494,21,27,42,39.255,5.3,10.5,1,41.854,38,2,52.6,2,2.6,1,0.75
7.012,20,23,41.5,0,29,20,1.1,26.821,328.34,3,27.182,21,25,41,37.604,5.4,8.1,0,40.701,37,2,54.1,2,0.0,0,0.735
6.888,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
5.0,18,23,52.0,0,40,26,1.141,41.999,507.63,3,43.478,22,37,70,67.81,10.4,4.5,0,76.438,67,1,38.8,7,1.5,1,0.649
6.588,20,23,44.5,0,32,22,1.108,30.59,372.4,4,31.159,21,28,48,44.698,4.5,9.1,0,48.741,44,2,50.0,2,0.0,0,0.708
7.822,20,23,44.5,1,32,21,1.104,29.89,392.81,4,30.256,21,28,45,42.138,4.9,9.8,1,45.269,41,2,51.2,2,2.4,1,0.738
7.481,20,23,43.5,0,31,21,1.098,29.535,374.44,3,30.591,21,27,45,41.564,4.9,7.3,1,45.036,41,2,51.2,2,0.0,0,0.746
7.639,20,23,42.5,0,30,20,1.096,27.846,407.23,3,28.534,21,26,41,37.833,5.4,8.1,1,40.542,37,2,54.1,2,2.7,1,0.771
4.301,20,23,45.5,0,33,21,1.128,29.498,396.34,3,28.756,21,29,44,42.025,5.0,7.5,0,45.135,40,2,52.5,2,7.5,3,0.719
5.921,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
6.081,21,24,45.5,0,32,22,1.103,30.063,370.38,4,30.398,21,28,46,42.814,4.8,9.5,0,46.325,42,3,52.4,2,0.0,0,0.724
7.888,20,23,42.5,0,30,20,1.092,28.138,454.23,3,29.841,21,26,41,37.673,5.4,8.1,1,40.421,37,2,54.1,2,2.7,1,0.807
7.23,20,23,46.5,1,34,24,1.108,33.756,418.9,3,35.085,21,30,53,49.462,4.1,6.1,1,54.306,49,2,49.0,2,2.0,1,0.716
5.0,11,18,36.0,0,26,15,1.139,26.906,346.46,2,28.159,16,24,44,42.643,14.3,4.8,1,47.82,42,2,35.7,6,0.0,0,0.67
5.0,7,12,33.0,0,25,16,1.142,26.531,312.42,1,27.819,10,23,45,43.123,14.0,2.3,0,49.106,43,1,37.2,6,0.0,0,0.647
5.0,20,23,43.0,0,31,21,1.129,30.893,375.44,1,31.75,22,28,49,46.534,10.9,2.2,0,51.947,46,1,45.7,5,2.2,1,0.69
5.0,18,23,40.5,0,29,18,1.127,27.665,346.38,2,27.989,23,26,43,40.8,15.0,5.0,0,45.069,40,0,45.0,6,0.0,0,0.7
5.921,19,25,53.0,0,40,26,1.112,36.665,439.5,4,37.688,24,33,61,54.567,5.6,7.4,0,60.069,54,1,48.1,3,0.0,0,0.698
5.169,26,32,68.0,0,51,35,1.113,48.793,570.69,4,50.739,30,43,81,73.203,5.5,5.5,0,81.228,73,2,47.9,4,0.0,0,0.695
5.0,14,17,41.5,0,33,22,1.133,34.718,475.4,2,36.597,17,30,57,54.523,7.4,3.7,1,61.161,54,0,40.7,4,3.7,2,0.678
5.0,10,15,28.5,0,21,14,1.138,22.268,255.36,0,23.597,15,19,38,35.811,13.9,0.0,0,40.983,36,0,38.9,5,0.0,0,0.655
7.47,20,23,50.5,1,38,27,1.117,39.358,476.01,3,41.375,21,34,64,60.214,5.0,5.0,1,67.05,60,2,45.0,3,1.7,1,0.69
7.125,20,23,53.5,1,41,28,1.117,41.072,504.02,4,42.83,21,36,67,62.542,4.8,6.5,1,69.259,62,2,45.2,3,1.6,1,0.691
7.62,20,23,55.5,1,43,30,1.119,44.126,532.08,4,46.353,21,38,73,68.309,4.4,5.9,1,76.089,68,2,44.1,3,1.5,1,0.682
5.0,25,30,58.5,0,43,28,1.139,41.756,529.57,1,42.159,29,39,65,62.53,11.5,1.6,0,69.453,61,1,45.9,7,4.9,3,0.691
7.588,20,23,53.5,1,41,27,1.118,40.26,505.99,5,41.523,21,36,65,60.985,5.0,8.3,1,67.053,60,2,45.0,3,1.7,1,0.692
6.796,20,25,57.5,1,43,28,1.115,42.974,552.09,5,44.932,21,38,69,64.945,4.7,7.8,2,71.388,64,4,43.8,3,1.6,1,0.702
7.721,20,23,56.5,1,44,30,1.12,44.841,548.08,5,46.807,21,39,74,69.636,4.3,7.2,1,77.299,69,2,43.5,3,1.4,1,0.678
5.0,24,26,52.0,1,38,25,1.121,35.797,476.89,2,35.995,24,34,53,50.596,8.2,4.1,1,54.942,49,2,51.0,4,6.1,3,0.735
5.0,16,18,38.0,0,29,20,1.13,30.971,366.46,3,32.239,18,27,51,49.342,8.2,6.1,0,55.358,49,0,40.8,4,0.0,0,0.658
7.62,20,23,55.5,1,43,29,1.119,43.314,534.05,5,45.046,21,38,71,66.752,4.5,7.6,1,73.884,66,2,43.9,3,1.5,1,0.683
7.481,20,24,55.5,1,42,28,1.114,42.26,536.09,4,44.477,21,37,68,63.618,4.8,6.3,2,70.179,63,3,44.4,3,1.6,1,0.706
7.456,20,23,52.5,1,40,27,1.116,39.546,489.99,4,41.068,21,35,64,59.658,5.1,6.8,1,65.844,59,2,45.8,3,1.7,1,0.696
7.444,20,23,53.5,1,41,29,1.117,41.884,502.05,3,44.137,21,36,69,64.098,4.7,4.7,1,71.465,64,2,45.3,3,1.6,1,0.69
7.822,20,23,56.5,1,44,29,1.121,44.029,550.05,6,45.5,21,39,72,68.08,4.5,9.0,1,75.093,67,2,43.3,3,1.5,1,0.679
7.824,21,24,55.5,1,42,28,1.118,41.567,517.02,4,43.074,21,37,67,62.76,6.5,6.5,1,69.342,62,3,45.2,4,1.6,1,0.695
7.242,20,23,54.5,1,42,28,1.119,41.787,520.02,5,43.284,21,37,68,63.869,4.8,7.9,1,70.468,63,2,44.4,3,1.6,1,0.687
7.588,20,23,49.5,1,37,25,1.117,37.019,463.95,4,38.307,21,33,59,55.774,5.5,7.3,1,61.429,55,2,45.5,3,1.8,1,0.696
7.301,20,23,52.5,1,40,28,1.116,40.358,488.02,3,42.375,21,35,66,61.214,4.9,4.9,1,68.05,61,2,45.9,3,1.6,1,0.695
5.0,20,23,39.5,0,28,20,1.116,27.323,331.37,1,27.978,23,25,42,39.447,7.7,2.6,0,43.535,39,0,51.3,3,2.6,1,0.717
6.292,15,18,49.5,2,39,26,1.129,41.755,530.5,3,44.006,17,36,68,65.625,7.7,4.6,2,73.405,65,0,40.0,5,3.1,2,0.677
5.0,7,11,33.0,0,27,17,1.131,30.157,380.59,2,32.841,10,25,51,49.051,8.2,4.1,2,55.404,49,1,34.7,4,0.0,0,0.67
5.0,25,29,61.0,0,45,32,1.116,44.858,515.66,2,47.074,26,39,74,67.767,7.4,2.9,0,75.893,68,3,47.1,5,0.0,0,0.692
5.585,19,20,41.0,2,30,20,1.112,29.616,397.28,1,30.762,18,27,44,41.684,9.8,2.4,2,45.582,41,2,48.8,4,4.9,2,0.75
5.0,17,19,47.5,1,37,24,1.135,38.257,485.99,3,39.563,17,34,62,60.047,8.5,5.1,1,66.971,59,2,40.7,5,3.4,2,0.671
4.301,19,20,40.0,0,29,21,1.116,29.488,342.43,1,30.807,18,26,47,43.92,9.1,2.3,0,49.109,44,2,47.7,4,0.0,0,0.7
4.481,19,20,45.0,0,34,24,1.123,35.498,416.52,3,37.0,18,31,58,55.225,7.3,5.5,0,61.773,55,2,43.6,4,0.0,0,0.673
6.004,19,20,41.0,0,30,22,1.118,31.015,356.46,1,32.569,18,27,50,46.803,8.5,2.1,0,52.524,47,2,46.8,4,0.0,0,0.693
4.301,19,20,42.0,3,31,20,1.11,30.444,431.72,1,31.619,18,28,44,42.007,9.8,2.4,3,45.526,41,2,48.8,4,7.3,3,0.771
4.569,19,20,41.0,0,30,20,1.119,29.391,360.4,3,29.955,18,27,46,43.691,9.3,7.0,0,48.113,43,2,46.5,4,0.0,0,0.697
4.301,19,20,43.0,2,32,21,1.116,31.858,427.31,2,32.977,18,29,48,45.894,8.9,4.4,2,50.206,45,2,46.7,4,4.4,2,0.733
4.301,19,20,42.0,2,31,21,1.114,31.143,411.31,1,32.523,18,28,47,44.567,9.1,2.3,2,48.997,44,2,47.7,4,4.5,2,0.739
4.301,19,20,44.0,1,33,21,1.138,31.465,430.84,1,31.478,18,30,47,45.782,9.1,2.3,1,50.072,44,2,47.7,4,9.1,4,0.715
6.387,19,20,41.0,1,30,21,1.115,30.316,376.87,1,31.665,18,27,47,44.243,9.1,2.3,1,49.053,44,2,47.7,4,2.3,1,0.72
6.854,19,20,43.0,2,32,20,1.116,31.046,429.28,3,31.671,18,29,46,44.338,9.3,7.0,2,48.001,43,2,46.5,4,4.7,2,0.737
4.301,19,20,45.0,2,34,22,1.119,34.099,457.34,3,35.193,18,31,52,50.105,8.2,6.1,2,54.831,49,2,44.9,4,4.1,2,0.718
5.066,19,20,42.0,3,31,20,1.11,30.444,431.72,1,31.619,18,28,44,42.007,9.8,2.4,3,45.526,41,2,48.8,4,7.3,3,0.771
6.387,19,20,41.0,0,30,20,1.107,30.012,486.18,1,31.75,18,27,44,41.494,9.8,2.4,2,45.377,41,2,48.8,4,4.9,2,0.774
6.848,20,21,57.0,2,45,31,1.125,47.808,594.59,3,50.529,18,41,78,74.392,6.8,4.1,2,83.236,74,3,41.9,5,2.7,2,0.683
7.022,20,21,57.0,2,45,30,1.125,46.996,596.56,4,49.222,18,41,76,72.836,6.9,5.6,2,81.03,72,3,41.7,5,2.8,2,0.684
7.398,20,21,50.0,2,38,24,1.121,38.056,515.38,5,38.864,18,35,58,56.644,7.3,9.1,2,61.665,55,3,43.6,4,3.6,2,0.707
6.602,20,21,47.0,2,35,22,1.121,34.594,470.34,3,35.438,18,32,52,50.324,10.2,6.1,2,54.914,49,3,44.9,5,4.1,2,0.723
6.237,19,20,42.0,0,31,22,1.119,31.73,372.46,2,33.023,18,28,51,48.131,8.3,4.2,0,53.734,48,2,45.8,4,0.0,0,0.688
4.886,14,17,37.5,0,28,18,1.118,26.369,321.36,3,26.949,15,24,43,39.589,7.7,7.7,0,43.614,39,2,46.2,3,0.0,0,0.691
5.0,14,20,40.0,0,30,19,1.137,29.828,370.42,3,30.415,20,27,49,46.971,8.7,6.5,0,52.283,46,0,41.3,4,2.2,1,0.661
5.442,21,24,45.5,0,32,22,1.103,30.063,370.38,4,30.398,21,28,46,42.814,4.8,9.5,0,46.325,42,3,52.4,2,0.0,0,0.724
7.379,18,22,40.0,0,28,18,1.094,25.482,334.37,3,26.068,20,24,38,34.796,5.9,8.8,1,37.206,34,2,52.9,2,0.0,0,0.767
4.519,20,23,43.5,0,31,21,1.098,29.535,374.44,3,30.591,21,27,45,41.564,4.9,7.3,1,45.036,41,2,51.2,2,0.0,0,0.746
7.7,20,23,43.5,0,31,20,1.104,28.868,422.25,3,29.54,21,27,43,39.934,7.7,7.7,1,43.041,39,2,51.3,3,2.6,1,0.757
7.458,20,23,43.5,0,31,20,1.091,28.872,486.12,3,29.887,21,27,41,38.062,5.4,8.1,2,40.384,37,2,54.1,2,5.4,2,0.808
6.349,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
6.088,19,23,41.5,0,29,19,1.105,26.316,329.33,3,26.426,21,25,40,36.822,8.3,8.3,0,39.784,36,2,52.8,3,0.0,0,0.734
6.679,20,23,42.5,0,30,20,1.108,27.843,343.36,3,28.188,21,26,43,39.705,7.7,7.7,0,43.199,39,2,51.3,3,0.0,0,0.723
7.109,20,23,41.5,0,29,20,1.087,26.987,345.39,3,27.824,21,25,40,36.578,2.8,8.3,1,39.123,36,2,55.6,1,0.0,0,0.773
5.553,19,22,40.5,0,29,20,1.106,27.348,330.36,3,27.943,21,25,43,39.487,5.1,7.7,0,43.116,39,1,51.3,2,0.0,0,0.716
4.301,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
6.743,18,22,40.0,0,28,18,1.108,25.316,317.32,3,25.426,20,24,39,35.822,8.6,8.6,0,38.784,35,2,51.4,3,0.0,0,0.726
5.0,18,22,41.0,0,30,22,1.121,31.542,358.48,1,33.33,22,27,52,48.687,8.2,2.0,0,54.939,49,0,44.9,4,0.0,0,0.68
4.301,20,23,41.5,0,29,20,1.1,26.821,328.34,3,27.182,21,25,41,37.604,5.4,8.1,0,40.701,37,2,54.1,2,0.0,0,0.735
5.364,21,24,45.5,0,32,22,1.103,30.063,370.38,4,30.398,21,28,46,42.814,4.8,9.5,0,46.325,42,3,52.4,2,0.0,0,0.724
6.242,26,29,51.5,0,36,26,1.096,33.875,404.44,3,34.705,27,31,52,47.371,4.3,6.4,0,51.531,47,2,55.3,2,0.0,0,0.738
5.959,20,24,45.5,0,32,21,1.101,30.25,390.44,4,31.046,21,28,46,42.891,4.8,9.5,1,46.245,42,3,50.0,2,0.0,0,0.739
7.31,20,23,44.5,2,32,20,1.1,29.191,413.22,4,29.352,21,28,42,39.578,5.3,10.5,2,41.798,38,2,52.6,2,5.3,2,0.772
6.522,20,25,46.5,0,32,20,1.108,28.745,373.34,5,28.335,21,28,43,40.476,7.7,12.8,0,43.203,39,4,51.3,3,0.0,0,0.727
7.349,20,23,43.5,1,31,20,1.101,28.364,378.78,4,28.494,21,27,42,39.255,5.3,10.5,1,41.854,38,2,52.6,2,2.6,1,0.75
7.301,20,23,44.5,1,32,22,1.104,30.702,390.84,3,31.563,21,28,47,43.694,4.7,7.0,1,47.475,43,2,51.2,2,2.3,1,0.734
7.96,20,23,42.5,1,30,20,1.099,27.649,362.78,3,28.04,21,26,41,37.927,5.4,8.1,1,40.645,37,2,54.1,2,2.7,1,0.758
6.639,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
4.301,19,22,40.5,0,29,20,1.106,27.348,330.36,3,27.943,21,25,43,39.487,5.1,7.7,0,43.116,39,1,51.3,2,0.0,0,0.716
6.291,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
7.721,20,23,44.5,0,32,21,1.112,30.084,373.39,4,30.404,21,28,47,43.916,7.0,9.3,0,47.824,43,2,48.8,3,0.0,0,0.707
6.796,21,24,45.5,0,32,21,1.108,29.557,371.37,4,29.642,21,28,45,42.033,7.3,9.8,0,45.409,41,3,51.2,3,0.0,0,0.723
4.398,26,29,51.5,0,36,26,1.096,33.875,404.44,3,34.705,27,31,52,47.371,4.3,6.4,0,51.531,47,2,55.3,2,0.0,0,0.738
5.0,11,15,41.0,0,32,18,1.15,32.661,441.51,4,33.222,12,30,53,52.872,9.8,7.8,1,58.665,51,3,35.3,5,3.9,2,0.651
5.793,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
7.552,20,23,43.5,2,31,20,1.097,28.476,397.22,3,28.898,21,27,41,38.251,5.4,8.1,2,40.589,37,2,54.1,2,5.4,2,0.781
6.019,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
6.822,20,23,42.5,0,30,21,1.103,28.348,342.37,3,28.943,21,26,44,40.487,5.0,7.5,0,44.116,40,2,52.5,2,0.0,0,0.724
6.822,20,23,47.5,1,35,25,1.11,35.283,432.93,3,36.847,21,31,56,52.345,3.8,5.8,1,57.721,52,2,48.1,2,1.9,1,0.709
5.634,26,29,51.5,0,36,26,1.096,33.875,404.44,3,34.705,27,31,52,47.371,4.3,6.4,0,51.531,47,2,55.3,2,0.0,0,0.738
7.123,20,23,43.5,0,31,22,1.105,29.875,356.4,3,30.705,21,27,47,43.371,4.7,7.0,0,47.531,43,2,51.2,2,0.0,0,0.714
6.06,20,23,43.5,0,31,21,1.105,29.063,358.37,4,29.398,21,27,45,41.814,4.9,9.8,0,45.325,41,2,51.2,2,0.0,0,0.717
5.354,20,23,43.5,0,31,21,1.11,29.369,357.39,3,29.949,21,27,46,42.589,7.1,7.1,0,46.614,42,2,50.0,3,0.0,0,0.713
7.743,20,23,44.5,2,32,20,1.1,29.191,413.22,4,29.352,21,28,42,39.578,5.3,10.5,2,41.798,38,2,52.6,2,5.3,2,0.772
7.149,19,20,43.0,2,32,21,1.109,32.33,443.38,1,34.171,18,29,48,45.644,8.9,2.2,3,49.917,45,2,46.7,4,4.4,2,0.759
7.57,20,23,45.5,0,33,22,1.11,31.304,388.4,5,31.614,21,29,49,46.025,4.4,11.1,0,49.95,45,2,48.9,2,0.0,0,0.703
7.481,20,23,42.5,1,30,20,1.093,27.342,363.76,4,27.489,21,26,40,37.153,2.8,11.1,1,39.356,36,2,55.6,1,2.8,1,0.764
6.481,20,23,42.5,0,30,20,1.109,27.205,346.33,3,27.119,21,26,41,38.116,5.4,8.1,0,41.041,37,2,54.1,2,2.7,1,0.733
4.431,19,22,39.5,0,28,20,1.103,26.633,314.36,2,27.489,21,24,42,38.16,5.3,5.3,0,41.907,38,1,52.6,2,0.0,0,0.723
5.394,20,23,41.5,0,29,20,1.1,26.821,328.34,3,27.182,21,25,41,37.604,5.4,8.1,0,40.701,37,2,54.1,2,0.0,0,0.735
8.87,17,16,38.0,0,28,18,1.101,25.638,338.28,7,24.989,12,25,38,36.709,0.0,20.0,0,38.542,35,4,51.4,0,0.0,0,0.714
7.31,20,23,49.5,1,37,26,1.116,37.831,461.98,3,39.614,21,33,61,57.331,5.3,5.3,1,63.634,57,2,45.6,3,1.8,1,0.695
7.745,20,23,52.5,1,40,27,1.12,40.787,508.01,5,42.284,21,36,66,62.869,4.8,8.1,1,69.468,62,2,43.5,3,1.6,1,0.682
7.337,20,25,57.5,1,43,27,1.119,42.469,553.08,5,44.176,21,38,68,64.163,6.3,7.9,2,70.471,63,4,42.9,4,1.6,1,0.701
7.431,20,23,53.5,1,41,28,1.117,41.072,504.02,4,42.83,21,36,67,62.542,4.8,6.5,1,69.259,62,2,45.2,3,1.6,1,0.691
7.699,20,23,53.5,1,41,28,1.112,41.545,520.09,3,44.023,21,36,67,62.291,4.8,4.8,2,68.97,62,2,45.2,3,1.6,1,0.71
7.239,20,23,50.5,1,38,26,1.118,38.546,477.98,4,40.068,21,34,62,58.658,5.2,6.9,1,64.844,58,2,44.8,3,1.7,1,0.691
4.303,17,19,45.5,0,35,25,1.124,37.245,433.55,4,38.972,17,32,62,59.218,5.1,6.8,0,66.315,59,2,42.4,3,0.0,0,0.661
8.048,20,23,46.5,1,34,23,1.109,32.944,420.87,4,33.779,21,30,51,47.905,4.3,8.5,1,52.1,47,2,48.9,2,2.1,1,0.719
6.743,20,24,45.5,0,31,21,1.1,28.316,353.35,3,28.426,21,27,42,38.822,7.9,7.9,0,41.784,38,2,55.3,3,0.0,0,0.748
5.735,14,11,31.0,0,23,15,1.107,21.923,286.25,6,21.534,6,21,33,32.382,0.0,19.4,0,34.332,31,5,48.4,0,0.0,0,0.695
6.96,20,23,44.5,0,32,21,1.112,30.084,373.39,4,30.404,21,28,47,43.916,7.0,9.3,0,47.824,43,2,48.8,3,0.0,0,0.707
5.013,19,20,41.0,0,30,20,1.131,28.728,364.38,1,28.921,18,27,44,42.062,9.8,2.4,0,46.373,41,2,48.8,4,4.9,2,0.705
5.0,15,14,39.0,1,31,21,1.118,31.691,401.87,5,32.75,12,28,51,48.898,2.1,10.4,1,53.641,48,2,43.8,1,2.1,1,0.682
6.721,20,21,47.0,2,35,23,1.12,35.406,468.37,2,36.744,18,32,54,51.88,9.8,3.9,2,57.12,51,3,45.1,5,3.9,2,0.72
5.824,19,20,41.0,1,30,20,1.115,29.504,378.84,2,30.358,18,27,45,42.687,9.5,4.8,1,46.847,42,2,47.6,4,2.4,1,0.723
7.046,20,21,48.0,2,36,23,1.122,36.121,484.37,3,37.199,18,33,55,53.207,9.6,5.8,2,58.329,52,3,44.2,5,3.8,2,0.715
7.522,20,23,54.5,1,42,29,1.118,42.599,518.05,4,44.591,21,37,70,65.425,4.6,6.2,1,72.674,65,2,44.6,3,1.5,1,0.686
5.0,21,24,45.5,0,33,22,1.114,31.391,384.42,3,31.955,23,29,49,45.691,8.9,6.7,0,50.113,45,1,48.9,4,0.0,0,0.71
6.369,20,23,41.5,0,29,20,1.095,26.515,329.32,4,26.631,21,25,40,36.829,2.8,11.1,0,39.412,36,2,55.6,1,0.0,0,0.74
5.0,11,13,34.5,2,27,16,1.136,27.879,382.28,2,28.983,11,25,44,42.996,11.9,4.8,2,47.705,42,2,38.1,5,4.8,2,0.69
5.0,20,22,61.5,2,48,32,1.121,50.216,641.67,4,53.387,17,43,82,77.578,5.2,5.2,3,86.282,77,5,41.6,4,2.6,2,0.693
7.209,20,23,54.5,2,42,28,1.119,42.207,537.48,3,44.239,21,37,68,63.64,6.3,4.8,2,70.492,63,2,44.4,4,3.2,2,0.702
7.032,26,29,55.5,0,40,29,1.108,39.477,461.55,3,40.995,27,35,63,58.123,5.2,5.2,0,64.275,58,2,50.0,3,0.0,0,0.707
6.96,20,23,48.5,2,36,24,1.113,35.605,468.36,3,36.949,21,32,55,51.887,5.9,5.9,2,56.748,51,2,47.1,3,3.9,2,0.724
7.229,23,28,55.0,2,40,26,1.11,38.099,505.38,3,39.193,26,35,58,54.105,7.5,5.7,2,58.831,53,2,49.1,4,3.8,2,0.739
6.523,20,23,52.5,0,40,28,1.121,40.552,468.6,3,42.523,21,35,68,62.992,6.3,4.8,0,70.604,63,2,44.4,4,0.0,0,0.675
7.0,20,23,48.5,1,36,25,1.115,36.304,447.95,3,37.852,21,32,58,54.447,5.6,5.6,1,60.219,54,2,46.3,3,1.9,1,0.701
6.553,20,23,46.5,0,34,24,1.115,33.95,399.48,3,35.233,21,30,55,51.24,5.9,5.9,0,56.86,51,2,47.1,3,0.0,0,0.691
