pXC50,nS,nHM,N.,nN,nHet,O.,nDB,MW,C.,Mi,Sp
6.921,1,2,10.5,2,6,10.5,2,206.67,31.6,1.133,13.71
5.052,0,0,0.0,0,5,9.4,3,370.48,41.5,1.122,34.171
8.187,2,2,7.5,3,9,10.0,4,355.48,35.0,1.127,27.46
8.538,3,4,17.2,5,14,13.8,4,387.86,27.6,1.145,22.108
5.06,0,0,0.0,0,4,18.2,2,192.18,45.5,1.114,14.864
7.051,1,1,14.3,3,6,9.5,2,187.25,28.6,1.147,13.858
7.149,1,1,5.1,2,6,7.7,3,284.42,33.3,1.135,24.875
9.347,3,3,14.8,4,11,14.8,4,320.41,29.6,1.127,20.307
6.932,1,1,9.1,2,6,13.6,2,212.25,36.4,1.127,15.307
5.208,0,0,0.0,0,4,20.0,3,190.16,50.0,1.104,14.102
5.409,1,1,5.6,2,6,8.3,2,314.39,44.4,1.112,25.591
5.367,0,0,2.2,1,4,6.7,0,301.42,40.0,1.127,28.745
6.963,0,0,10.3,7,8,1.5,1,493.67,42.6,1.128,45.631
5.144,0,0,0.0,0,4,23.5,1,154.13,41.2,1.123,11.102
