pXC50,nBO,Sp,nBT,Se,nAT,nN,nC,nH,Sv,MW,nSK,Si,O.,nCsp3,SCBO,nHet,C.,Mi,RBN,Mv,nDB,N.
6.11,25,24.228,39,36.767,36,5,15,14,23.839,299.34,22,41.117,2.8,4,33.0,7,41.7,1.142,2,0.662,0,13.9
6.672,25,23.472,38,35.985,35,6,14,13,23.334,300.33,22,40.2,2.9,3,33.0,8,40.0,1.149,2,0.667,0,17.1
6.848,26,25.989,42,39.651,39,5,16,16,25.366,313.37,23,44.532,2.6,5,34.0,7,41.0,1.142,2,0.65,0,12.8
6.559,26,28.267,45,43.349,43,5,17,19,27.224,325.41,24,48.817,4.7,4,35.0,7,39.5,1.135,6,0.633,1,11.6
5.444,33,34.358,52,47.694,48,5,24,19,32.795,377.48,29,53.398,0.0,1,47.5,5,50.0,1.112,4,0.683,1,10.4
5.523,26,26.074,39,36.043,36,5,18,13,25.214,299.36,23,40.152,0.0,1,38.5,5,50.0,1.115,2,0.7,0,13.9
6.721,28,27.847,45,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,5,38.0,7,41.5,1.136,2,0.653,0,17.1
6.79,26,25.023,40,37.76,37,7,15,14,24.64,311.36,23,42.489,0.0,3,36.0,8,40.5,1.148,2,0.666,0,18.9
6.469,25,25.841,41,38.029,38,6,16,16,24.762,292.38,22,43.066,0.0,3,35.0,6,42.1,1.133,2,0.652,0,15.8
7.237,27,27.75,45,42.534,42,5,17,18,26.893,327.4,24,47.947,2.4,6,35.0,7,40.5,1.142,2,0.64,0,11.9
6.714,26,25.233,41,38.869,38,6,15,15,24.861,314.36,23,43.615,2.6,4,34.0,8,39.5,1.148,2,0.654,0,15.8
6.289,26,25.233,41,38.869,38,6,15,15,24.861,314.36,23,43.615,2.6,4,34.0,8,39.5,1.148,2,0.654,0,15.8
6.752,30,33.552,55,52.0,52,5,20,25,31.805,367.5,27,59.062,3.8,9,38.0,7,38.5,1.136,5,0.612,0,9.6
5.721,27,29.483,48,46.56,46,5,17,21,28.466,343.43,25,52.441,6.5,6,35.0,8,37.0,1.14,5,0.619,0,10.9
5.432,27,28.051,44,41.138,41,5,18,17,26.983,319.4,24,46.192,2.4,3,37.5,6,43.9,1.127,3,0.658,0,12.2
7.229,27,28.051,44,41.138,41,5,18,17,26.983,319.4,24,46.192,2.4,3,37.5,6,43.9,1.127,2,0.658,0,12.2
5.745,27,27.699,42,39.353,39,6,17,15,26.59,338.83,24,44.01,0.0,3,37.5,7,43.6,1.128,2,0.682,0,15.4
6.015,28,28.603,46,41.912,42,6,18,18,27.289,318.42,24,47.481,0.0,5,38.0,6,42.9,1.131,2,0.65,0,14.3
4.143,25,25.086,40,37.247,37,7,15,15,24.257,293.37,22,42.149,0.0,3,35.0,7,40.5,1.139,2,0.656,0,18.9
6.903,27,27.296,43,40.356,40,6,17,16,26.477,320.39,24,45.275,2.5,3,38.0,7,42.5,1.132,3,0.662,1,15.0
7.824,26,24.682,40,38.094,37,5,15,14,24.554,315.34,23,42.326,5.4,4,34.0,8,40.5,1.144,2,0.664,0,13.5
7.31,26,24.682,40,38.094,37,5,15,14,24.554,315.34,23,42.326,5.4,4,34.0,8,40.5,1.144,2,0.664,0,13.5
7.131,28,29.512,48,45.418,45,5,18,20,28.42,341.43,25,51.362,2.2,7,36.0,7,40.0,1.141,2,0.632,0,11.1
4.432,25,27.267,44,42.349,42,5,16,19,26.224,313.4,23,47.817,4.8,5,33.0,7,38.1,1.138,4,0.624,0,11.9
6.987,26,29.029,47,45.232,45,5,17,21,27.751,327.43,24,51.232,4.4,6,34.0,7,37.8,1.138,5,0.617,0,11.1
5.62,26,27.722,45,43.676,43,5,16,19,26.939,329.4,24,49.026,7.0,5,34.0,8,37.2,1.14,6,0.626,0,11.6
6.398,26,26.841,42,39.029,39,6,17,16,25.762,304.39,23,44.066,0.0,3,36.5,6,43.6,1.13,2,0.661,0,15.4
6.344,29,29.603,47,42.912,43,6,19,18,28.289,330.43,25,48.481,0.0,5,39.5,6,44.2,1.127,2,0.658,0,14.0
7.046,24,23.318,36,33.262,33,6,15,12,22.709,276.33,21,37.235,0.0,1,34.5,6,45.5,1.128,1,0.688,0,18.2
5.695,25,25.841,41,38.029,38,6,16,16,24.762,292.38,22,43.066,0.0,3,35.0,6,42.1,1.133,2,0.652,0,15.8
6.351,28,28.603,46,41.912,42,6,18,18,27.289,318.42,24,47.481,0.0,5,38.0,6,42.9,1.131,2,0.65,0,14.3
5.702,28,28.756,47,44.636,44,6,17,19,27.914,342.42,25,50.445,2.3,6,36.0,8,38.6,1.146,3,0.634,0,13.6
6.764,35,33.245,52,49.072,48,8,21,17,32.903,416.46,31,54.612,2.1,2,48.5,10,43.8,1.138,4,0.685,0,16.7
6.164,25,25.756,42,40.785,40,7,14,17,25.213,315.38,23,45.983,5.0,5,33.0,9,35.0,1.15,4,0.63,0,17.5
6.903,23,25.051,40,38.138,38,5,15,17,23.983,283.37,21,43.192,2.6,4,31.0,6,39.5,1.137,3,0.631,0,13.2
5.9,23,24.296,39,37.356,37,6,14,16,23.477,284.36,21,42.275,2.7,3,31.0,7,37.8,1.143,2,0.635,0,16.2
4.0,26,26.836,41,37.927,38,5,18,15,25.741,301.38,23,42.568,0.0,1,37.0,5,47.4,1.12,2,0.677,0,13.2
4.0,25,25.074,38,35.043,35,5,17,13,24.214,287.35,22,39.152,0.0,0,36.0,5,48.6,1.119,2,0.692,0,14.3
6.125,25,25.836,40,36.927,37,5,17,15,24.741,289.37,22,41.568,0.0,2,35.5,5,45.9,1.123,2,0.669,0,13.5
5.606,32,34.796,56,53.218,53,6,21,24,33.299,392.51,29,60.145,3.8,7,43.0,8,39.6,1.135,4,0.628,1,11.3
5.987,35,37.557,61,57.101,57,6,23,26,35.826,418.55,31,64.561,3.5,9,46.0,8,40.4,1.133,4,0.629,1,10.5
5.0,45,52.557,87,82.825,83,6,31,42,49.47,562.79,41,94.301,4.8,16,54.5,10,37.3,1.136,10,0.596,1,7.2
7.959,34,33.608,51,47.869,47,5,21,17,32.599,419.5,30,52.531,6.4,2,49.0,9,44.7,1.118,4,0.694,2,10.6
7.114,41,42.023,69,64.632,64,8,25,28,40.584,488.61,36,72.767,4.7,10,51.0,11,39.1,1.137,5,0.634,1,12.5
5.695,29,29.926,48,45.683,45,3,19,19,29.138,353.41,26,50.654,8.9,6,37.0,7,42.2,1.126,4,0.648,2,6.7
5.0,40,47.466,76,72.923,73,6,27,36,44.362,524.76,37,82.766,4.1,11,51.0,10,37.0,1.134,11,0.608,2,8.2
5.0,31,33.455,49,45.996,46,4,22,18,31.675,386.51,28,51.029,2.2,1,44.0,6,47.8,1.109,5,0.689,2,8.7
7.538,33,33.273,53,49.451,49,6,21,20,32.246,388.47,29,55.315,4.1,4,44.0,8,42.9,1.129,4,0.658,0,12.2
8.222,31,32.483,52,49.56,49,5,20,21,31.466,379.46,28,55.441,6.1,5,40.0,8,40.8,1.131,5,0.642,0,10.2
4.301,34,33.148,50,50.32,48,4,21,16,33.422,464.86,32,54.906,6.3,2,45.0,11,43.8,1.144,5,0.696,2,8.3
4.523,36,40.068,62,59.603,59,7,22,26,37.862,488.07,33,66.923,3.4,8,45.5,11,37.3,1.134,7,0.642,1,11.9
5.0,29,29.864,44,43.64,42,4,17,15,29.154,457.71,27,47.653,7.1,3,38.0,10,40.5,1.135,6,0.694,1,9.5
6.62,30,28.784,44,41.793,41,8,18,14,28.466,358.4,27,46.441,2.4,1,43.0,9,43.9,1.133,5,0.694,0,19.5
6.292,26,24.574,39,36.683,36,9,14,13,24.246,307.36,23,41.315,0.0,1,36.5,9,38.9,1.148,3,0.674,0,25.0
8.921,34,34.046,48,46.68,45,4,20,14,32.976,476.97,31,50.236,6.7,1,48.0,11,44.4,1.116,5,0.733,3,8.9
6.276,42,43.745,69,66.49,65,4,27,27,42.415,544.65,38,73.958,4.6,9,53.5,11,41.5,1.138,7,0.653,1,6.2
5.0,42,41.762,68,61.109,61,4,28,26,40.025,466.58,35,68.189,4.9,9,55.0,7,45.9,1.118,2,0.656,1,6.6
4.0,20,21.063,31,28.84,29,3,15,11,20.171,233.29,18,32.156,0.0,0,30.0,3,51.7,1.109,0,0.696,0,10.3
4.409,19,19.301,28,25.956,26,3,14,9,18.645,219.26,17,28.741,0.0,0,29.0,3,53.8,1.105,0,0.717,0,11.5
4.0,20,21.063,31,28.84,29,3,15,11,20.171,233.29,18,32.156,0.0,0,30.0,3,51.7,1.109,0,0.696,0,10.3
4.389,17,17.301,26,23.956,24,3,12,9,16.645,195.24,15,26.741,0.0,0,25.0,3,50.0,1.114,1,0.694,0,12.5
4.955,18,17.438,25,23.469,23,5,10,7,16.821,229.29,16,25.827,0.0,0,26.0,6,43.5,1.123,1,0.731,0,21.7
4.079,18,17.205,26,24.509,24,2,12,8,17.053,212.22,16,26.661,8.3,0,26.0,4,50.0,1.111,1,0.711,0,8.3
4.367,18,16.796,26,24.494,24,6,10,8,16.655,212.24,16,27.405,0.0,0,26.0,6,41.7,1.142,1,0.694,0,25.0
4.079,18,17.756,27,25.284,25,3,12,9,17.359,211.24,16,27.95,4.0,0,26.0,4,48.0,1.118,1,0.694,0,12.0
5.194,19,19.733,32,30.378,30,3,12,13,19.128,231.28,17,33.99,6.7,4,24.0,5,40.0,1.133,1,0.638,2,10.0
4.921,17,17.523,29,27.269,27,4,10,12,16.908,204.26,15,30.863,3.7,4,22.0,5,37.0,1.143,1,0.626,0,14.8
4.745,16,17.83,28,27.68,27,2,9,12,17.008,228.3,15,30.621,11.1,5,19.5,6,33.3,1.134,2,0.63,1,7.4
4.434,19,18.773,31,29.589,29,6,10,12,18.424,232.28,17,33.445,3.4,4,24.5,7,34.5,1.153,1,0.635,0,20.7
5.292,18,18.949,27,25.033,25,3,12,9,17.832,227.31,16,27.661,0.0,0,26.0,4,48.0,1.106,1,0.713,0,12.0
5.051,18,18.949,27,25.033,25,3,12,9,17.832,227.31,16,27.661,0.0,0,26.0,4,48.0,1.106,1,0.713,0,12.0
5.187,19,20.159,29,27.142,27,2,13,10,19.052,242.32,17,29.787,3.7,0,27.0,4,48.1,1.103,1,0.706,0,7.4
5.167,19,17.347,26,25.124,24,5,9,7,17.251,249.28,17,27.246,8.3,1,26.5,8,37.5,1.135,3,0.719,0,20.8
7.699,31,31.523,51,48.771,48,8,18,20,30.762,380.46,28,54.896,4.2,5,40.0,10,37.5,1.144,5,0.641,0,16.7
6.301,29,29.62,48,46.073,45,7,15,19,28.642,377.48,26,51.528,6.7,7,37.0,11,33.3,1.145,3,0.636,2,15.6
5.0,35,37.915,62,59.832,59,4,23,27,36.65,442.54,32,67.153,6.8,9,43.5,9,39.0,1.138,6,0.621,3,6.8
8.367,38,38.682,58,55.254,54,4,24,20,37.369,499.0,34,60.562,5.6,4,51.5,10,44.4,1.122,5,0.692,2,7.4
7.398,30,29.546,46,43.676,43,8,18,16,28.993,360.42,27,48.857,2.3,1,42.0,9,41.9,1.136,4,0.674,1,18.6
7.959,32,32.313,51,48.662,48,9,19,19,31.541,389.47,29,54.77,2.1,2,44.0,10,39.6,1.141,4,0.657,1,18.8
7.149,31,31.307,49,46.56,46,8,19,18,30.52,374.45,28,52.272,2.2,2,43.0,9,41.3,1.136,4,0.663,1,17.4
6.051,31,31.307,49,46.56,46,8,19,18,30.52,374.45,28,52.272,2.2,2,43.0,9,41.3,1.136,4,0.663,1,17.4
6.62,31,30.091,47,43.349,43,8,19,16,29.278,356.43,27,48.647,0.0,1,44.0,8,44.2,1.131,3,0.681,0,18.6
6.495,31,29.336,46,42.567,42,9,18,15,28.773,357.42,27,47.73,0.0,1,44.0,9,42.9,1.136,3,0.685,0,21.4
5.337,27,26.336,42,39.567,39,9,15,15,25.773,321.39,24,44.73,0.0,2,37.5,9,38.5,1.147,3,0.661,0,23.1
6.276,29,26.211,42,40.592,39,9,15,13,26.54,357.37,26,45.41,0.0,2,39.5,11,38.5,1.164,3,0.681,0,23.1
5.886,26,24.023,38,35.909,35,8,14,12,23.94,308.34,23,40.026,2.9,1,36.5,9,40.0,1.144,3,0.684,0,22.9
6.569,31,29.336,46,42.567,42,9,18,15,28.773,357.42,27,47.73,0.0,1,44.0,9,42.9,1.136,3,0.685,0,21.4
6.161,26,24.574,39,36.683,36,9,14,13,24.246,307.36,23,41.315,0.0,1,36.5,9,38.9,1.148,3,0.674,0,25.0
5.481,27,26.336,42,39.567,39,9,15,15,25.773,321.39,24,44.73,0.0,2,37.5,9,38.5,1.147,3,0.661,0,23.1
6.854,30,29.0,46,44.003,43,8,17,16,28.708,364.41,27,49.066,4.7,2,41.5,10,39.5,1.141,4,0.668,1,18.6
6.149,27,28.063,46,43.342,43,7,16,19,27.025,325.42,24,49.189,2.3,6,35.0,8,37.2,1.144,3,0.628,0,16.3
6.051,27,26.336,42,39.567,39,9,15,15,25.773,321.39,24,44.73,0.0,2,37.5,9,38.5,1.147,4,0.661,0,23.1
5.398,29,27.58,43,40.785,40,10,16,14,27.268,346.4,26,45.813,0.0,2,41.5,10,40.0,1.145,5,0.682,0,25.0
5.237,30,29.341,46,43.669,43,10,17,16,28.794,360.43,27,49.229,0.0,3,42.5,10,39.5,1.145,6,0.67,0,23.3
5.337,29,28.336,44,41.567,41,9,17,15,27.773,345.41,26,46.73,0.0,2,41.5,9,41.5,1.14,5,0.677,0,22.0
6.959,28,24.449,39,37.709,36,9,14,11,25.013,343.34,25,41.995,0.0,1,38.5,11,38.9,1.167,3,0.695,0,25.0
7.959,31,30.546,47,44.676,44,8,19,16,29.993,372.43,28,49.857,2.3,2,44.0,9,43.2,1.133,5,0.682,0,18.2
8.523,28,27.54,43,40.574,40,7,17,15,26.972,333.39,25,45.358,2.5,1,39.0,8,42.5,1.134,3,0.674,0,17.5
6.444,27,27.086,42,39.247,39,7,17,15,26.257,317.39,24,44.149,0.0,1,38.0,7,43.6,1.132,3,0.673,0,17.9
9.398,29,27.995,44,41.902,41,7,17,15,27.687,349.39,26,46.568,4.9,1,40.0,9,41.5,1.136,3,0.675,0,17.1
5.0,26,27.603,44,40.912,41,6,17,18,26.289,306.41,23,46.481,0.0,7,35.5,6,41.5,1.134,4,0.641,0,14.6
6.357,39,43.029,66,62.392,62,4,26,27,40.566,511.09,35,69.468,4.8,8,50.5,9,41.9,1.12,7,0.654,1,6.5
8.77,37,40.716,61,58.734,58,3,25,24,38.733,498.04,34,64.764,6.9,6,48.5,9,43.1,1.117,4,0.668,3,5.2
5.0,43,47.392,72,69.52,69,6,30,29,45.422,557.1,40,77.544,4.3,6,58.5,10,43.5,1.124,11,0.658,2,8.7
9.097,34,32.648,48,46.924,45,6,19,14,32.305,460.91,31,50.898,6.7,1,48.0,12,42.2,1.131,5,0.718,3,13.3
5.046,41,46.017,72,69.829,69,7,26,31,43.798,560.54,38,78.402,4.3,9,51.0,12,37.7,1.136,8,0.635,1,10.1
8.0,41,42.336,64,58.789,59,5,30,23,40.563,469.58,36,65.438,1.7,4,58.0,6,50.8,1.109,3,0.688,1,8.5
5.0,40,45.273,70,65.618,66,6,28,30,42.352,498.71,36,74.102,1.5,7,52.5,8,42.4,1.123,7,0.642,1,9.1
5.0,40,44.836,71,66.65,67,5,29,31,42.385,481.65,36,75.308,3.0,7,53.0,7,43.3,1.124,6,0.633,2,7.5
5.0,51,53.569,87,83.418,82,4,34,36,52.097,634.74,46,92.987,7.3,13,63.5,12,41.5,1.134,12,0.635,4,4.9
5.509,42,44.296,70,67.265,66,5,27,28,42.722,543.67,38,75.247,3.0,9,53.5,11,40.9,1.14,7,0.647,1,7.6
5.0,37,42.841,69,65.752,66,6,26,32,40.406,460.64,34,74.806,3.0,12,47.5,8,39.4,1.133,6,0.612,3,9.1
5.0,37,39.557,61,58.956,58,4,24,24,38.115,480.59,34,65.112,8.6,5,49.0,10,41.4,1.123,8,0.657,1,6.9
5.0,28,30.569,48,44.803,45,4,20,20,29.015,332.44,25,50.524,2.2,4,38.0,5,44.4,1.123,3,0.645,2,8.9
6.728,32,33.04,55,51.436,51,7,19,23,31.794,381.49,28,58.229,3.9,9,40.0,9,37.3,1.142,3,0.623,0,13.7
9.187,35,33.37,56,53.789,52,7,19,21,33.275,433.47,31,60.117,5.8,9,43.0,12,36.5,1.156,3,0.64,0,13.5
7.469,38,35.006,59,57.698,55,7,20,21,35.569,483.48,34,64.212,5.5,10,46.0,14,36.4,1.167,4,0.647,0,12.7
8.699,37,35.586,60,58.0,56,7,20,23,35.517,463.5,33,64.742,7.1,10,45.0,13,35.7,1.156,4,0.634,0,12.5
8.77,37,36.137,61,58.774,57,8,20,24,35.823,462.52,33,66.031,5.3,10,45.0,13,35.1,1.158,4,0.628,0,14.0
8.222,46,47.762,72,67.898,67,6,30,26,45.751,589.14,41,75.18,3.0,5,62.5,11,44.8,1.122,7,0.683,2,9.0
8.229,38,37.705,54,51.16,50,4,25,16,36.601,490.97,34,55.522,4.0,0,54.5,9,50.0,1.11,5,0.732,2,8.0
8.222,38,37.705,54,51.16,50,4,25,16,36.601,490.97,34,55.522,4.0,0,54.5,9,50.0,1.11,5,0.732,2,8.0
8.222,41,42.455,65,62.342,61,6,25,24,40.939,543.07,37,68.974,4.9,6,54.5,12,41.0,1.131,8,0.671,2,9.8
8.252,41,43.762,67,63.898,63,6,26,26,41.751,541.1,37,71.18,3.2,7,54.5,11,41.3,1.13,6,0.663,2,9.5
8.357,38,37.926,57,54.473,53,5,23,19,36.864,499.99,34,59.645,5.7,4,51.5,11,43.4,1.125,5,0.696,2,9.4
7.959,39,42.432,69,65.592,65,8,23,30,40.297,498.68,35,74.102,4.6,12,48.0,12,35.4,1.14,5,0.62,1,12.3
8.367,38,41.222,67,63.483,63,9,22,29,39.077,483.67,34,71.976,3.2,11,47.0,12,34.9,1.142,5,0.62,1,14.3
8.62,39,42.983,70,66.367,66,9,23,31,40.604,497.7,35,75.391,3.0,12,48.0,12,34.8,1.142,5,0.615,1,13.6
8.824,40,44.745,73,69.25,69,9,24,33,42.131,511.73,36,78.806,2.9,13,49.0,12,34.8,1.142,5,0.611,1,13.0
8.252,38,40.671,66,62.709,62,8,22,28,38.771,484.65,34,70.687,4.8,11,47.0,12,35.5,1.14,5,0.625,1,12.9
8.174,39,42.432,69,65.592,65,8,23,30,40.297,498.68,35,74.102,4.6,12,48.0,12,35.4,1.14,5,0.62,1,12.3
8.301,40,44.194,72,68.476,68,8,24,32,41.824,512.71,36,77.517,4.4,13,49.0,12,35.3,1.14,5,0.615,1,11.8
6.77,29,30.96,43,42.382,41,5,16,14,29.104,499.32,27,46.046,9.8,2,42.0,11,39.0,1.123,5,0.71,5,12.2
5.469,28,28.301,43,42.313,41,5,16,15,27.787,373.43,26,46.325,9.8,2,41.0,10,39.0,1.13,5,0.678,5,12.2
6.0,29,29.654,43,42.542,41,5,16,14,28.813,452.32,27,46.167,9.8,2,42.0,11,39.0,1.126,5,0.703,5,12.2
6.0,29,29.654,43,42.542,41,5,16,14,28.813,452.32,27,46.167,9.8,2,42.0,11,39.0,1.126,5,0.703,5,12.2
6.824,29,29.654,43,42.542,41,5,16,14,28.813,452.32,27,46.167,9.8,2,42.0,11,39.0,1.126,5,0.703,5,12.2
6.0,29,30.063,46,45.196,44,5,17,17,29.314,387.46,27,49.74,9.1,3,42.0,10,38.6,1.13,5,0.666,5,11.4
6.0,29,30.063,46,45.196,44,5,17,17,29.314,387.46,27,49.74,9.1,3,42.0,10,38.6,1.13,5,0.666,5,11.4
6.0,29,30.063,46,45.196,44,5,17,17,29.314,387.46,27,49.74,9.1,3,42.0,10,38.6,1.13,5,0.666,5,11.4
6.155,29,30.063,46,45.196,44,5,17,17,29.314,387.46,27,49.74,9.1,3,42.0,10,38.6,1.13,5,0.666,5,11.4
6.0,30,31.824,49,48.08,47,5,18,19,30.841,401.49,28,53.156,8.5,4,43.0,10,38.3,1.131,6,0.656,5,10.6
6.0,32,29.875,46,46.734,44,5,17,14,30.464,441.43,30,50.759,9.1,3,45.0,13,38.6,1.154,5,0.692,5,11.4
6.0,35,35.824,54,52.08,51,5,22,19,34.841,449.53,32,57.156,7.8,2,51.0,10,43.1,1.121,6,0.683,5,9.8
7.046,29,29.159,43,42.636,41,5,16,14,28.615,407.87,27,46.269,9.8,2,42.0,11,39.0,1.129,5,0.698,5,12.2
6.0,32,32.824,51,49.08,48,5,19,19,31.841,413.5,29,54.156,8.3,5,45.0,10,39.6,1.128,6,0.663,5,10.4
6.0,30,31.063,47,46.196,45,5,18,17,30.314,399.47,28,50.74,8.9,2,44.0,10,40.0,1.128,6,0.674,6,11.1
7.387,30,30.301,45,44.313,43,5,18,15,29.787,397.45,28,48.325,9.3,2,45.0,10,41.9,1.124,5,0.693,5,11.6
6.161,32,31.972,49,48.851,47,5,18,17,31.744,431.47,30,53.159,12.8,3,46.0,12,38.3,1.131,7,0.675,6,10.6
6.0,31,30.761,47,46.742,45,6,17,16,30.524,416.46,29,51.033,11.1,2,45.0,12,37.8,1.134,6,0.678,6,13.3
6.0,32,32.523,50,49.625,48,6,18,18,32.05,430.49,30,54.448,10.4,3,46.0,12,37.5,1.134,6,0.668,6,12.5
6.0,33,34.284,53,52.509,51,6,19,20,33.577,444.52,31,57.863,9.8,4,47.0,12,37.3,1.135,6,0.658,6,11.8
7.31,30,29.546,44,43.531,42,6,17,14,29.282,398.44,28,47.408,9.5,2,45.0,11,40.5,1.129,5,0.697,5,14.3
5.602,31,29.483,44,44.044,42,6,17,13,29.665,416.43,29,47.748,9.5,2,46.0,12,40.5,1.137,5,0.706,5,14.3
6.0,30,30.517,47,46.524,45,5,17,17,30.029,403.46,28,50.95,11.1,3,43.0,11,37.8,1.132,6,0.667,5,11.1
6.0,29,28.756,44,43.64,42,5,16,15,28.502,389.43,27,47.535,11.9,2,42.0,11,38.1,1.132,5,0.679,5,11.9
6.0,32,31.972,49,48.851,47,5,18,17,31.744,431.47,30,53.159,12.8,3,46.0,12,38.3,1.131,7,0.675,6,10.6
6.237,29,27.784,41,40.647,39,6,16,12,27.755,384.41,27,43.993,10.3,1,44.0,11,41.0,1.128,5,0.712,5,15.4
6.046,30,29.546,44,43.531,42,6,17,14,29.282,398.44,28,47.408,9.5,2,45.0,11,40.5,1.129,5,0.697,5,14.3
6.357,31,31.307,47,46.414,45,6,18,16,30.809,412.47,29,50.823,8.9,3,46.0,11,40.0,1.129,6,0.685,5,13.3
6.509,32,33.068,50,49.298,48,6,19,18,32.336,426.5,30,54.239,8.3,4,47.0,11,39.6,1.13,7,0.674,5,12.5
6.658,29,29.654,43,42.542,41,5,16,14,28.813,452.32,27,46.167,9.8,2,42.0,11,39.0,1.126,5,0.703,5,12.2
6.292,31,31.307,47,46.414,45,6,18,16,30.809,412.47,29,50.823,8.9,3,46.0,11,40.0,1.129,5,0.685,5,13.3
6.0,32,33.068,50,49.298,48,6,19,18,32.336,426.5,30,54.239,8.3,4,47.0,11,39.6,1.13,6,0.674,5,12.5
6.0,33,34.83,53,52.182,51,6,20,20,33.862,440.53,31,57.654,7.8,5,48.0,11,39.2,1.13,7,0.664,5,11.8
6.0,30,31.415,46,45.425,44,5,17,16,30.339,466.35,28,49.582,9.1,3,43.0,11,38.6,1.127,5,0.69,5,11.4
8.032,31,31.307,47,46.414,45,6,18,16,30.809,412.47,29,50.823,8.9,3,46.0,11,40.0,1.129,6,0.685,5,13.3
7.495,37,37.068,55,53.298,52,6,23,18,36.335,474.54,34,58.239,7.7,2,55.0,11,44.2,1.12,7,0.699,5,11.5
6.745,34,35.835,55,54.283,53,7,20,21,34.884,455.55,32,60.152,7.5,5,49.0,12,37.7,1.135,8,0.658,5,13.2
6.959,36,39.358,61,60.051,59,7,22,25,37.937,483.61,34,66.983,6.8,7,51.0,12,37.3,1.135,10,0.643,5,11.9
8.0,38,39.051,61,59.494,58,7,22,23,38.125,497.59,35,65.777,8.6,7,53.0,13,37.9,1.134,8,0.657,5,12.1
7.051,38,40.358,63,61.051,60,7,23,25,38.937,495.62,35,67.983,6.7,8,53.0,12,38.3,1.133,8,0.649,5,11.7
7.268,32,31.761,48,47.742,46,6,18,16,31.524,428.47,30,52.033,10.9,3,47.0,12,39.1,1.131,7,0.685,5,13.0
5.699,27,28.392,42,40.658,40,5,17,15,27.358,353.44,25,44.906,5.0,2,40.0,8,42.5,1.123,4,0.684,3,12.5
6.0,30,29.546,44,43.531,42,6,17,14,29.282,398.44,28,47.408,9.5,2,45.0,11,40.5,1.129,5,0.697,5,14.3
6.0,30,29.546,44,43.531,42,6,17,14,29.282,398.44,28,47.408,9.5,2,45.0,11,40.5,1.129,5,0.697,5,14.3
7.0,30,29.546,44,43.531,42,6,17,14,29.282,398.44,28,47.408,9.5,2,45.0,11,40.5,1.129,5,0.697,5,14.3
6.0,31,32.614,49,47.971,47,6,19,18,31.621,410.5,29,53.029,6.4,3,45.0,10,40.4,1.128,5,0.673,4,12.8
6.0,34,32.426,49,49.509,47,6,19,15,32.771,464.47,32,54.048,6.4,3,48.0,13,40.4,1.15,5,0.697,4,12.8
6.0,28,29.398,44,42.76,42,6,17,16,28.379,368.46,26,47.405,4.8,2,41.0,9,40.5,1.129,4,0.676,3,14.3
6.0,30,30.301,45,44.313,43,5,18,15,29.787,397.45,28,48.325,9.3,2,44.0,10,41.9,1.124,5,0.693,4,11.6
6.398,31,32.063,48,47.196,46,5,19,17,31.314,411.48,29,51.74,8.7,3,45.0,10,41.3,1.125,6,0.681,4,10.9
7.229,29,29.637,43,41.876,41,6,18,14,28.852,378.45,27,45.989,4.9,2,44.0,9,43.9,1.122,4,0.704,3,14.6
6.699,31,32.71,48,47.273,46,5,18,17,31.501,431.54,29,51.66,8.7,3,46.0,11,39.1,1.123,5,0.685,5,10.9
7.456,31,29.966,45,45.08,43,5,18,14,30.034,421.44,29,49.341,4.7,3,44.0,11,41.9,1.147,4,0.698,3,11.6
6.0,28,30.154,45,43.542,43,5,18,17,28.885,367.47,26,48.322,4.7,3,41.0,8,41.9,1.124,4,0.672,3,11.6
6.509,28,28.33,42,41.171,40,5,17,14,27.741,371.43,26,45.246,5.0,2,41.0,9,42.5,1.131,4,0.694,3,12.5
6.638,28,29.25,42,40.982,40,5,17,14,28.185,387.88,26,44.85,5.0,2,41.0,9,42.5,1.121,4,0.705,3,12.5
6.745,28,29.745,42,40.887,40,5,17,14,28.383,432.33,26,44.748,5.0,2,41.0,9,42.5,1.119,4,0.71,3,12.5
6.387,29,27.784,41,40.647,39,6,16,12,27.755,384.41,27,43.993,10.3,1,44.0,11,41.0,1.128,5,0.712,5,15.4
7.886,31,31.307,47,46.414,45,6,18,16,30.809,412.47,29,50.823,8.9,3,46.0,11,40.0,1.129,6,0.685,5,13.3
7.409,32,33.068,50,49.298,48,6,19,18,32.336,426.5,30,54.239,8.3,4,47.0,11,39.6,1.13,6,0.674,5,12.5
6.921,30,27.722,41,41.16,39,6,16,11,28.138,402.4,28,44.333,10.3,1,45.0,12,41.0,1.137,5,0.721,5,15.4
7.62,30,28.642,41,40.971,39,6,16,11,28.583,418.85,28,43.937,10.3,1,45.0,12,41.0,1.127,5,0.733,5,15.4
7.658,31,30.0,45,44.858,43,6,17,14,29.997,414.44,29,48.618,11.6,2,46.0,12,39.5,1.131,6,0.698,5,14.0
7.62,32,32.313,49,48.516,47,7,18,17,31.83,427.49,30,53.322,8.5,3,47.0,12,38.3,1.135,6,0.677,5,14.9
8.066,29,28.443,43,42.127,41,6,18,14,28.38,362.38,27,46.279,7.3,2,43.0,9,43.9,1.129,4,0.692,4,14.6
7.796,28,26.682,40,39.244,38,6,17,12,26.853,348.35,26,42.864,7.9,1,42.0,9,44.7,1.128,4,0.707,4,15.8
