pXC50,nN,Mi,nCsp2,H.,Mp,nCL,C.,nAB,Mv,N.,nBM,Sp,nSK,nC,nBO,SCBO,nCsp3,Sv,MW,X.,RBF,nAT
8.301,3,1.124,13,51.7,0.663,0,40.0,12,0.606,5.0,13,39.779,29,24,32,39.0,11,36.341,409.65,0.0,0.063,60
6.1,3,1.158,3,55.0,0.603,0,30.0,5,0.559,15.0,5,12.063,9,6,9,11.5,3,11.171,125.2,0.0,0.1,20
6.244,4,1.131,15,45.6,0.674,1,42.1,16,0.637,7.0,17,38.409,31,24,35,44.0,9,36.333,440.99,3.5,0.082,57
6.181,1,1.119,12,51.2,0.66,0,43.9,12,0.61,2.4,12,27.074,20,18,22,28.0,6,25.004,267.4,0.0,0.07,41
7.5,1,1.118,13,50.9,0.659,0,43.9,12,0.611,1.8,13,37.574,28,25,32,39.0,12,34.826,375.55,0.0,0.049,57
7.4,1,1.115,13,49.1,0.669,0,45.5,12,0.624,1.8,13,36.813,28,25,33,40.0,12,34.299,373.53,0.0,0.033,55
7.5,1,1.115,13,49.1,0.669,0,45.5,12,0.624,1.8,13,36.813,28,25,33,40.0,12,34.299,373.53,0.0,0.033,55
8.2,1,1.116,13,49.0,0.668,0,45.1,12,0.623,2.0,13,34.052,26,23,30,37.0,10,31.773,347.49,0.0,0.036,51
6.5,1,1.117,13,50.0,0.663,0,44.4,12,0.617,1.9,13,35.813,27,24,31,38.0,11,33.299,361.52,0.0,0.052,54
6.7,1,1.113,15,48.1,0.674,0,46.2,12,0.63,1.9,14,35.052,27,24,31,39.0,9,32.773,359.5,0.0,0.036,52
7.0,1,1.115,15,47.2,0.67,0,45.3,12,0.632,1.9,14,35.506,28,24,32,40.0,9,33.487,375.5,0.0,0.035,53
7.3,1,1.115,15,47.2,0.67,0,45.3,12,0.632,1.9,14,35.506,28,24,32,40.0,9,33.487,375.5,0.0,0.035,53
7.1,1,1.119,13,49.1,0.659,0,43.6,12,0.618,1.8,13,36.267,28,24,32,39.0,11,34.014,377.52,0.0,0.034,55
6.8,1,1.125,13,47.3,0.658,0,43.6,12,0.625,1.8,13,36.205,29,24,33,40.0,11,34.398,395.51,1.8,0.034,55
6.9,1,1.119,13,49.1,0.659,0,43.6,12,0.618,1.8,13,36.267,28,24,32,39.0,11,34.014,377.52,0.0,0.034,55
7.3,1,1.116,13,46.9,0.668,0,44.9,12,0.632,2.0,13,32.745,26,22,30,37.0,9,30.961,349.46,0.0,0.038,49
7.1,1,1.113,16,46.3,0.676,0,46.3,12,0.639,1.9,15,36.506,29,25,33,42.0,9,34.487,387.51,0.0,0.034,54
6.0,1,1.116,14,44.4,0.682,1,44.4,12,0.649,1.9,14,36.818,30,24,34,42.0,10,35.03,425.94,1.9,0.034,54
6.7,1,1.118,14,44.4,0.687,0,44.4,12,0.649,1.9,14,37.091,30,24,34,42.0,10,35.058,425.56,1.9,0.034,54
6.7,1,1.116,14,44.4,0.682,1,44.4,12,0.649,1.9,14,36.818,30,24,34,42.0,10,35.03,425.94,1.9,0.034,54
7.7,1,1.118,13,50.9,0.659,0,43.9,12,0.611,1.8,13,37.574,28,25,32,39.0,12,34.826,375.55,0.0,0.033,57
7.6,1,1.119,13,51.7,0.656,0,43.3,12,0.606,1.7,13,39.336,29,26,33,40.0,13,36.353,389.58,0.0,0.047,60
7.4,1,1.124,13,49.1,0.658,0,43.9,12,0.618,1.8,13,37.512,29,25,33,40.0,12,35.209,393.54,1.8,0.033,57
7.3,1,1.12,13,50.0,0.656,0,43.1,12,0.613,1.7,13,38.029,29,25,33,40.0,12,35.541,391.55,0.0,0.032,58
7.3,1,1.119,13,51.7,0.656,0,43.3,12,0.606,1.7,13,39.336,29,26,33,40.0,13,36.353,389.58,0.0,0.031,60
7.3,1,1.118,13,50.9,0.659,0,43.9,12,0.611,1.8,13,37.574,28,25,32,39.0,12,34.826,375.55,0.0,0.033,57
7.4,1,1.115,15,49.1,0.669,0,45.5,12,0.624,1.8,14,36.813,28,25,32,40.0,10,34.299,373.53,0.0,0.034,55
7.4,1,1.121,15,47.3,0.668,0,45.5,12,0.631,1.8,14,36.75,29,25,33,41.0,10,34.683,391.52,1.8,0.034,55
7.65,1,1.115,15,49.1,0.669,0,45.5,12,0.624,1.8,14,36.813,28,25,32,40.0,10,34.299,373.53,0.0,0.034,55
6.1,1,1.124,13,49.1,0.658,0,43.9,12,0.618,1.8,13,37.512,29,25,33,40.0,12,35.209,393.54,1.8,0.033,57
7.8,1,1.116,15,50.0,0.665,0,44.8,12,0.618,1.7,14,38.574,29,26,33,41.0,11,35.826,387.56,0.0,0.048,58
6.8,1,1.115,15,49.1,0.669,0,45.5,12,0.624,1.8,14,36.813,28,25,32,40.0,10,34.299,373.53,0.0,0.034,55
6.0,6,1.134,13,50.0,0.647,0,39.1,11,0.605,9.4,14,41.387,32,25,36,44.5,12,38.692,432.63,0.0,0.088,64
7.2,1,1.119,13,49.1,0.659,0,43.6,12,0.618,1.8,13,36.267,28,24,32,39.0,11,34.014,377.52,0.0,0.034,55
7.0,2,1.122,13,50.0,0.657,0,42.9,12,0.613,3.6,13,36.819,28,24,32,39.0,11,34.321,376.54,0.0,0.033,56
8.0,1,1.118,13,50.0,0.661,0,44.0,12,0.615,2.0,13,33.052,25,22,28,35.0,9,30.773,335.48,0.0,0.075,50
7.6,1,1.118,13,50.0,0.661,0,44.0,12,0.615,2.0,13,33.052,25,22,28,35.0,9,30.773,335.48,0.0,0.075,50
8.4,1,1.117,12,53.2,0.663,0,44.7,12,0.603,2.1,12,31.143,22,21,25,31.0,9,28.343,291.47,0.0,0.02,47
7.8,1,1.117,13,50.0,0.663,0,44.4,12,0.617,1.9,13,35.813,27,24,31,38.0,11,33.299,361.52,0.0,0.034,54
7.9,1,1.118,13,50.9,0.659,0,43.9,12,0.611,1.8,13,37.574,28,25,32,39.0,12,34.826,375.55,0.0,0.033,57
4.33,3,1.13,9,45.7,0.676,1,40.0,10,0.637,8.6,11,23.659,19,14,21,27.0,5,22.294,277.78,2.9,0.027,35
6.0,2,1.122,18,47.5,0.705,0,44.1,18,0.645,3.4,18,41.603,31,26,35,44.0,8,38.069,434.65,3.4,0.063,59
6.301,3,1.125,11,50.0,0.657,0,42.0,10,0.611,6.0,12,32.847,25,21,29,36.0,10,30.574,335.49,0.0,0.019,50
6.063,3,1.152,3,50.0,0.628,0,33.3,5,0.591,16.7,5,11.301,9,6,10,12.5,3,10.645,123.18,0.0,0.053,18
5.097,1,1.122,12,52.7,0.647,0,41.8,12,0.597,1.8,12,35.574,26,23,29,35.0,11,32.826,351.53,0.0,0.086,55
5.0,1,1.119,12,50.0,0.658,0,43.5,12,0.614,2.2,12,30.29,23,20,26,32.0,8,28.246,309.44,0.0,0.061,46
5.854,3,1.125,11,50.0,0.657,0,42.0,10,0.611,6.0,12,32.847,25,21,29,36.0,10,30.574,335.49,0.0,0.019,50
5.72,7,1.154,3,53.2,0.615,0,31.9,6,0.572,14.9,6,28.893,22,15,25,28.0,12,26.891,303.47,0.0,0.06,47
6.04,4,1.14,11,46.7,0.65,0,40.0,12,0.621,8.9,13,29.267,24,18,26,33.0,7,27.925,328.43,2.2,0.128,45
7.796,3,1.128,9,51.4,0.669,0,37.8,11,0.607,8.1,11,24.756,18,14,19,24.5,5,22.466,261.43,0.0,0.158,37
5.0,1,1.12,12,51.0,0.654,0,42.9,12,0.608,2.0,12,32.052,24,21,27,33.0,9,29.773,323.47,0.0,0.058,49
4.83,6,1.138,10,53.7,0.627,0,36.6,12,0.58,7.3,12,51.41,38,30,43,49.0,20,47.567,520.8,0.0,0.057,82
5.0,2,1.125,10,47.4,0.658,0,42.1,11,0.623,5.3,12,25.012,20,16,22,28.5,6,23.687,270.36,0.0,0.175,38
6.309,5,1.132,19,47.6,0.643,0,39.0,12,0.614,6.1,19,52.699,43,32,46,59.0,13,50.351,589.76,0.0,0.129,82
7.16,2,1.121,13,52.2,0.661,0,43.5,12,0.605,4.3,13,30.387,22,20,24,31.0,7,27.838,292.46,0.0,0.104,46
5.834,1,1.125,13,45.7,0.676,1,43.5,12,0.64,2.2,13,31.086,25,20,27,34.0,7,29.457,361.87,4.3,0.125,46
5.4,2,1.139,5,61.2,0.606,0,34.7,6,0.539,4.1,6,29.671,19,17,19,22.0,12,26.418,262.49,0.0,0.245,49
5.4,3,1.144,3,60.0,0.603,0,33.3,5,0.542,6.7,5,27.154,18,15,19,21.5,12,24.386,249.45,0.0,0.196,45
5.7,3,1.143,3,61.4,0.6,0,33.3,5,0.535,5.3,5,34.2,22,19,23,25.5,16,30.493,305.57,0.0,0.224,57
4.5,2,1.116,9,44.8,0.727,1,41.4,11,0.663,6.9,11,21.085,16,12,17,22.5,3,19.218,252.79,3.4,0.133,29
5.5,3,1.124,15,51.0,0.661,0,42.9,17,0.609,6.1,17,32.393,24,21,26,34.5,6,29.859,319.49,0.0,0.137,49
4.9,2,1.139,5,60.5,0.608,0,34.9,6,0.543,4.7,6,26.148,17,15,17,20.0,10,23.364,234.43,0.0,0.233,43
4.7,3,1.128,9,40.7,0.724,2,40.7,11,0.68,11.1,11,19.54,16,11,17,22.5,2,18.353,256.15,7.4,0.107,27
4.5,2,1.139,5,60.0,0.61,0,35.0,6,0.546,5.0,6,24.387,16,14,16,19.0,9,21.838,220.4,0.0,0.225,40
4.2,2,1.118,9,48.3,0.698,0,41.4,11,0.634,6.9,11,20.228,15,12,16,21.5,3,18.391,218.35,0.0,0.133,29
6.0,3,1.147,3,61.7,0.594,0,31.9,5,0.53,6.4,5,27.915,18,15,18,20.5,12,24.913,251.47,0.0,0.255,47
6.6,3,1.146,3,62.3,0.593,0,32.1,5,0.528,5.7,5,31.438,20,17,20,22.5,14,27.966,279.53,0.0,0.264,53
4.0,2,1.135,3,50.0,0.684,0,31.3,5,0.613,12.5,5,10.943,8,5,8,10.5,2,9.81,128.22,0.0,0.125,16
6.4,3,1.146,3,62.0,0.594,0,32.0,5,0.529,6.0,5,29.677,19,16,19,21.5,13,26.439,265.5,0.0,0.26,50
4.5,2,1.115,9,46.2,0.71,0,42.3,11,0.649,7.7,11,18.466,14,11,15,20.5,2,16.864,204.32,0.0,0.111,26
6.796,4,1.133,11,51.0,0.644,0,39.2,10,0.6,7.8,12,32.853,25,20,28,35.0,9,30.595,338.5,0.0,0.056,51
5.4,3,1.143,3,60.8,0.602,0,33.3,5,0.538,5.9,5,30.677,20,17,21,23.5,14,27.439,277.51,0.0,0.212,51
5.0,3,1.133,9,55.8,0.633,0,38.5,11,0.575,5.8,11,32.915,23,20,25,30.5,11,29.913,311.52,0.0,0.13,52
5.4,2,1.139,5,61.2,0.606,0,34.7,6,0.539,4.1,6,29.671,19,17,19,22.0,12,26.418,262.49,0.0,0.245,49
4.9,2,1.153,9,37.9,0.691,0,41.4,11,0.674,6.9,11,20.04,18,12,19,24.5,3,19.541,272.32,10.3,0.1,29
5.1,2,1.139,5,60.5,0.608,0,34.9,6,0.543,4.7,6,26.148,17,15,17,20.0,10,23.364,234.43,0.0,0.233,43
6.0,2,1.139,5,61.2,0.606,0,34.7,6,0.539,4.1,6,29.671,19,17,19,22.0,12,26.418,262.49,0.0,0.245,49
5.6,3,1.147,3,61.4,0.594,0,31.8,5,0.531,6.8,5,26.154,17,14,17,19.5,11,23.386,237.44,0.0,0.25,44
6.051,6,1.139,16,49.4,0.635,0,37.9,17,0.602,6.9,19,55.256,44,33,48,58.5,17,52.38,606.82,1.1,0.132,87
6.757,1,1.114,12,51.4,0.672,0,45.9,12,0.615,2.7,12,24.858,18,17,20,26.0,5,22.763,237.37,0.0,0.077,37
5.0,5,1.125,21,45.6,0.666,0,42.6,23,0.634,7.4,24,45.29,37,29,41,53.5,8,43.1,497.65,0.0,0.083,68
6.0,4,1.123,19,46.7,0.668,0,43.3,21,0.631,6.7,22,40.069,32,26,36,47.5,7,37.837,428.58,0.0,0.094,60
6.863,1,1.112,12,50.0,0.679,0,47.1,12,0.625,2.9,12,23.097,17,16,19,25.0,4,21.236,223.34,0.0,0.056,34
7.602,1,1.114,12,51.4,0.672,0,45.9,12,0.615,2.7,12,24.858,18,17,20,26.0,5,22.763,237.37,0.0,0.051,37
4.97,3,1.118,16,43.6,0.687,0,46.2,12,0.653,7.7,15,26.801,22,18,24,33.0,2,25.467,291.38,0.0,0.122,39
9.376,1,1.121,12,52.0,0.664,1,42.0,12,0.608,2.0,12,33.216,24,21,26,32.0,9,30.412,343.93,2.0,0.115,50
8.377,2,1.119,19,48.4,0.675,1,43.8,18,0.628,3.1,19,43.199,33,28,36,46.0,9,40.202,463.06,1.6,0.104,64
9.497,1,1.116,14,50.0,0.668,0,45.2,12,0.619,2.4,13,28.074,21,19,23,30.0,5,26.004,279.41,0.0,0.068,42
9.0,3,1.133,11,52.3,0.638,0,38.6,12,0.592,6.8,12,28.086,21,17,22,28.0,6,26.047,285.43,0.0,0.156,44
5.9,3,1.134,10,52.2,0.627,0,37.3,10,0.587,4.5,12,42.017,32,25,35,42.0,15,39.352,441.63,0.0,0.143,67
5.0,3,1.134,10,51.6,0.629,0,37.5,10,0.591,4.7,12,40.256,31,24,34,41.0,14,37.825,427.6,0.0,0.134,64
5.0,3,1.132,9,50.0,0.646,0,39.5,10,0.605,7.9,11,24.563,19,15,21,27.0,6,22.993,257.37,0.0,0.05,38
5.0,3,1.133,9,51.2,0.642,0,39.0,10,0.598,7.3,11,26.324,20,16,22,28.0,7,24.52,271.4,0.0,0.047,41
5.0,4,1.137,9,45.9,0.667,1,37.8,10,0.63,10.8,11,24.665,20,14,22,28.0,5,23.316,292.8,2.7,0.051,37
6.0,4,1.137,8,45.9,0.667,1,37.8,10,0.63,10.8,11,24.665,20,14,22,28.0,6,23.316,292.8,2.7,0.051,37
9.0,1,1.106,13,46.3,0.706,0,46.3,11,0.65,2.4,13,28.961,22,19,25,32.5,6,26.665,309.46,0.0,0.0,41
5.624,1,1.126,6,51.2,0.659,0,44.2,6,0.609,2.3,6,28.319,21,19,26,29.0,13,26.2,283.42,2.3,0.083,43
5.089,1,1.11,20,42.1,0.699,1,47.4,18,0.667,1.8,20,39.818,33,27,37,48.0,7,38.03,461.97,1.8,0.098,57
5.0,1,1.105,20,40.0,0.722,1,47.3,18,0.685,1.8,20,39.705,33,26,37,48.0,6,37.69,480.01,1.8,0.102,55
8.143,3,1.125,12,51.1,0.658,0,42.2,12,0.607,6.7,13,29.631,22,19,24,31.0,7,27.332,293.45,0.0,0.128,45
7.387,3,1.126,12,52.1,0.654,0,41.7,12,0.601,6.3,13,31.393,23,20,25,32.0,8,28.859,307.48,0.0,0.14,48
7.62,3,1.133,12,48.9,0.657,0,42.2,12,0.616,6.7,13,29.569,23,19,25,32.0,7,27.716,311.44,2.2,0.128,45
7.886,3,1.133,12,50.0,0.653,0,41.7,12,0.609,6.3,13,31.33,24,20,26,33.0,8,29.242,325.47,2.1,0.12,48
7.495,4,1.125,12,47.8,0.671,0,43.5,12,0.627,8.7,14,30.875,24,20,26,35.0,7,28.827,318.46,0.0,0.125,46
6.963,4,1.125,12,49.0,0.666,0,42.9,12,0.619,8.2,14,32.637,25,21,27,36.0,8,30.354,332.49,0.0,0.137,49
7.041,3,1.147,12,47.1,0.646,0,41.2,12,0.618,5.9,13,32.966,27,21,29,36.0,9,31.536,375.48,5.9,0.132,51
8.367,3,1.122,12,48.8,0.671,0,44.2,12,0.623,7.0,13,28.87,22,19,25,32.0,7,26.805,291.43,0.0,0.109,43
8.553,3,1.123,12,50.0,0.666,0,43.5,12,0.616,6.5,13,30.631,23,20,26,33.0,8,28.332,305.46,0.0,0.102,46
7.31,3,1.13,12,46.5,0.67,0,44.2,12,0.632,7.0,13,28.807,23,19,26,33.0,7,27.189,309.42,2.3,0.109,43
5.337,3,1.137,12,44.2,0.668,0,44.2,12,0.641,7.0,13,28.745,24,19,27,34.0,7,27.572,327.41,4.7,0.109,43
6.604,3,1.138,12,45.7,0.663,0,43.5,12,0.633,6.5,13,30.506,25,20,28,35.0,8,29.099,341.44,4.3,0.102,46
7.979,3,1.13,12,47.8,0.665,0,43.5,12,0.624,6.5,13,30.569,24,20,27,34.0,8,28.716,323.45,2.2,0.102,46
8.092,3,1.121,16,48.1,0.67,0,44.2,17,0.626,5.8,18,34.847,27,23,30,39.5,7,32.574,359.51,0.0,0.127,52
8.174,3,1.115,16,48.1,0.693,0,44.2,17,0.636,5.8,18,36.04,27,23,30,39.5,7,33.046,375.58,0.0,0.127,52
7.319,4,1.119,15,47.1,0.692,0,43.1,17,0.638,7.8,18,35.285,27,22,30,39.5,7,32.541,376.57,0.0,0.13,51
6.79,4,1.125,15,47.1,0.668,0,43.1,17,0.629,7.8,18,34.091,27,22,30,39.5,7,32.068,360.5,0.0,0.13,51
8.056,5,1.128,15,48.1,0.666,0,42.3,17,0.623,9.6,18,34.643,27,22,30,39.5,7,32.375,359.52,0.0,0.127,52
7.553,5,1.128,15,49.1,0.662,0,41.8,17,0.616,9.1,18,36.404,28,23,31,40.5,8,33.902,373.55,0.0,0.121,55
7.857,4,1.121,17,48.1,0.674,0,44.4,18,0.627,7.4,19,36.398,28,24,31,41.0,7,33.88,370.54,0.0,0.123,54
8.31,4,1.121,17,48.1,0.674,0,44.4,18,0.627,7.4,19,36.398,28,24,31,41.0,7,33.88,370.54,0.0,0.123,54
7.607,5,1.125,16,47.2,0.673,0,43.4,18,0.63,9.4,19,35.643,28,23,31,41.0,7,33.375,371.53,0.0,0.125,53
7.818,3,1.127,12,52.5,0.646,0,40.7,12,0.596,5.1,13,38.131,28,24,31,38.0,12,35.154,377.58,0.0,0.113,59
9.09,2,1.12,13,50.0,0.679,1,43.5,12,0.623,4.3,13,31.245,23,20,25,32.0,7,28.665,326.9,2.2,0.104,46
5.0,2,1.116,9,19.0,0.812,0,57.1,11,0.812,9.5,13,17.057,17,12,18,27.5,0,17.05,246.25,9.5,0.0,21
7.398,1,1.121,18,53.9,0.647,0,42.1,18,0.592,1.3,18,49.143,35,32,38,47.0,14,44.987,471.74,0.0,0.114,76
8.14,2,1.129,13,51.0,0.655,0,42.9,12,0.607,4.1,13,32.086,24,21,26,33.0,8,29.748,324.48,2.0,0.118,49
5.0,3,1.147,3,56.7,0.612,0,33.3,5,0.558,10.0,5,18.347,13,10,14,16.5,7,16.752,179.3,0.0,0.065,30
7.8,4,1.125,20,51.1,0.658,1,41.3,18,0.608,4.3,20,60.54,45,38,50,61.0,18,55.932,627.34,1.1,0.113,92
9.6,3,1.122,14,45.5,0.686,1,43.2,12,0.644,6.8,14,30.182,24,19,26,34.0,5,28.348,341.87,2.3,0.109,44
8.0,3,1.123,14,46.8,0.68,1,42.6,12,0.636,6.4,14,31.944,25,20,27,35.0,6,29.875,355.9,2.1,0.122,47
9.801,3,1.121,14,45.8,0.686,1,43.8,12,0.643,6.3,14,32.944,26,21,29,37.0,7,30.875,367.91,2.1,0.078,48
10.0,3,1.125,14,48.1,0.66,0,42.3,12,0.621,5.8,14,34.302,27,22,30,38.0,8,32.289,363.5,0.0,0.091,52
9.801,3,1.124,14,46.9,0.664,0,42.9,12,0.628,6.1,14,32.54,26,21,29,37.0,7,30.762,349.47,0.0,0.077,49
8.3,3,1.125,14,49.1,0.656,0,41.8,12,0.615,5.5,14,36.063,28,23,31,39.0,9,33.815,377.53,0.0,0.103,55
9.5,3,1.129,14,45.8,0.667,0,43.8,12,0.634,6.3,14,32.023,26,21,29,37.0,7,30.43,351.46,2.1,0.078,48
9.699,3,1.123,14,49.0,0.664,0,43.1,12,0.619,5.9,14,33.847,26,22,29,37.0,8,31.574,347.5,0.0,0.074,51
6.4,3,1.125,14,51.7,0.652,0,41.7,12,0.603,5.0,14,39.131,29,25,32,40.0,11,36.154,389.59,0.0,0.079,60
6.2,3,1.124,15,46.3,0.662,0,42.6,12,0.63,5.6,15,35.756,29,23,32,41.0,8,34.003,391.51,0.0,0.105,54
5.8,3,1.123,15,45.1,0.667,0,43.1,12,0.637,5.9,15,33.995,28,22,31,40.0,7,32.477,377.48,0.0,0.093,51
9.3,3,1.129,14,45.8,0.667,0,43.8,12,0.634,6.3,14,32.023,26,21,29,37.0,7,30.43,351.46,2.1,0.078,48
8.801,3,1.121,14,45.8,0.686,1,43.8,12,0.643,6.3,14,32.944,26,21,29,37.0,7,30.875,367.91,2.1,0.078,48
8.699,3,1.125,14,48.1,0.66,0,42.3,12,0.621,5.8,14,34.302,27,22,30,38.0,8,32.289,363.5,0.0,0.091,52
9.1,3,1.123,14,49.0,0.664,0,43.1,12,0.619,5.9,14,33.847,26,22,29,37.0,8,31.574,347.5,0.0,0.074,51
9.6,3,1.136,14,43.8,0.666,0,43.8,12,0.642,6.3,14,31.961,27,21,30,38.0,7,30.814,369.45,4.2,0.078,48
5.8,3,1.127,14,48.2,0.652,0,41.1,12,0.617,5.4,14,36.517,29,23,32,40.0,9,34.53,393.53,0.0,0.102,56
7.1,3,1.132,8,53.7,0.636,0,38.9,6,0.586,5.6,8,34.37,25,21,28,33.0,13,31.627,339.53,0.0,0.07,54
7.5,3,1.123,14,49.0,0.664,0,43.1,12,0.619,5.9,14,33.847,26,22,29,37.0,8,31.574,347.5,0.0,0.093,51
8.801,3,1.134,8,54.0,0.632,0,38.0,6,0.582,6.0,8,31.608,23,19,25,30.0,11,29.101,313.49,0.0,0.115,50
9.5,3,1.121,14,45.8,0.686,1,43.8,12,0.643,6.3,14,32.944,26,21,29,37.0,7,30.875,367.91,2.1,0.078,48
8.2,3,1.121,14,45.8,0.686,1,43.8,12,0.643,6.3,14,32.944,26,21,29,37.0,7,30.875,367.91,2.1,0.078,48
9.0,3,1.121,14,45.8,0.686,1,43.8,12,0.643,6.3,14,32.944,26,21,29,37.0,7,30.875,367.91,2.1,0.059,48
7.2,3,1.122,14,47.1,0.68,1,43.1,12,0.635,5.9,14,34.705,27,22,30,38.0,8,32.401,381.94,2.0,0.093,51
8.6,3,1.122,14,47.1,0.68,1,43.1,12,0.635,5.9,14,34.705,27,22,30,38.0,8,32.401,381.94,2.0,0.056,51
7.3,4,1.124,20,50.6,0.66,1,41.6,18,0.611,4.5,20,58.779,44,37,49,60.0,17,54.405,613.31,1.1,0.106,89
7.8,4,1.125,20,51.6,0.656,1,41.1,18,0.605,4.2,20,62.302,46,39,51,62.0,19,57.459,641.37,1.1,0.12,95
7.7,4,1.126,20,52.0,0.654,1,40.8,18,0.602,4.1,20,64.063,47,40,52,63.0,20,58.986,655.4,1.0,0.126,98
7.4,4,1.126,20,51.1,0.657,1,40.9,18,0.607,4.5,20,57.779,43,36,47,58.0,16,53.405,601.3,1.1,0.163,88
7.4,4,1.126,20,51.6,0.654,1,40.7,18,0.604,4.4,20,59.54,44,37,48,59.0,17,54.932,615.33,1.1,0.158,91
7.8,4,1.125,20,51.6,0.656,1,41.1,18,0.605,4.2,20,62.302,46,39,51,62.0,19,57.459,641.37,1.1,0.14,95
8.5,4,1.127,20,52.5,0.643,0,40.4,18,0.595,4.0,20,63.66,47,40,52,63.0,20,58.873,636.96,0.0,0.144,99
7.9,4,1.127,20,52.1,0.645,0,40.6,18,0.597,4.2,20,61.898,46,39,51,62.0,19,57.346,622.93,0.0,0.139,96
7.9,4,1.126,20,52.0,0.654,1,40.8,18,0.602,4.1,20,64.063,47,40,52,63.0,20,58.986,655.4,1.0,0.146,98
7.6,4,1.125,20,51.6,0.656,1,41.1,18,0.605,4.2,20,62.302,46,39,51,62.0,19,57.459,641.37,1.1,0.14,95
6.854,5,1.131,17,45.6,0.65,0,39.7,12,0.625,7.4,16,44.199,37,27,41,51.0,10,42.529,505.63,0.0,0.083,68
7.387,5,1.132,17,46.5,0.647,0,39.4,12,0.621,7.0,16,45.961,38,28,42,52.0,11,44.056,519.66,0.0,0.08,71
6.593,5,1.132,17,46.5,0.647,0,39.4,12,0.621,7.0,16,45.961,38,28,42,52.0,11,44.056,519.66,0.0,0.093,71
6.893,5,1.132,17,47.3,0.645,0,39.2,12,0.616,6.8,16,47.722,39,29,43,53.0,12,45.583,533.69,0.0,0.09,74
6.893,5,1.132,17,48.1,0.643,0,39.0,12,0.612,6.5,16,49.483,40,30,44,54.0,13,47.11,547.72,0.0,0.086,77
6.824,5,1.132,17,48.8,0.641,0,38.8,12,0.608,6.3,16,51.245,41,31,45,55.0,14,48.637,561.75,0.0,0.083,80
6.276,5,1.132,17,46.5,0.647,0,39.4,12,0.621,7.0,16,45.961,38,28,42,52.0,11,44.056,519.66,0.0,0.08,71
7.155,5,1.131,17,47.9,0.647,0,39.7,12,0.615,6.8,16,47.267,38,29,42,52.0,12,44.868,517.69,0.0,0.078,73
7.268,5,1.131,17,48.7,0.645,0,39.5,12,0.61,6.6,16,49.029,39,30,43,53.0,13,46.395,531.72,0.0,0.088,76
7.125,5,1.132,17,50.0,0.641,0,39.0,12,0.603,6.1,16,52.552,41,32,45,55.0,15,49.449,559.78,0.0,0.081,82
7.076,4,1.126,19,45.7,0.656,0,41.4,12,0.629,5.7,17,45.955,38,29,42,53.0,10,44.035,516.65,0.0,0.081,70
6.268,4,1.126,19,45.7,0.656,0,41.4,12,0.629,5.7,17,45.955,38,29,42,53.0,10,44.035,516.65,0.0,0.081,70
7.036,4,1.127,19,46.6,0.654,0,41.1,12,0.624,5.5,17,47.716,39,30,43,54.0,11,45.562,530.68,0.0,0.078,73
6.488,4,1.126,19,44.8,0.66,0,41.8,12,0.634,6.0,17,44.193,37,28,41,52.0,9,42.508,502.62,0.0,0.07,67
7.201,4,1.126,19,45.7,0.656,0,41.4,12,0.629,5.7,17,45.955,38,29,42,53.0,10,44.035,516.65,0.0,0.068,70
6.71,4,1.126,19,47.2,0.656,0,41.7,12,0.623,5.6,17,47.262,38,30,42,53.0,11,44.847,514.68,0.0,0.079,72
6.87,4,1.126,19,48.0,0.654,0,41.3,12,0.618,5.3,17,49.023,39,31,43,54.0,12,46.374,528.71,0.0,0.076,75
6.815,4,1.126,19,47.2,0.656,0,41.7,12,0.623,5.6,17,47.262,38,30,42,53.0,11,44.847,514.68,0.0,0.066,72
5.625,1,1.124,7,46.8,0.664,0,44.7,6,0.63,2.1,7,31.228,25,21,31,35.0,14,29.629,339.44,2.1,0.094,47
5.74,3,1.122,13,48.8,0.671,0,44.2,16,0.623,7.0,16,28.87,22,19,25,33.0,6,26.805,291.43,0.0,0.065,43
5.0,3,1.123,13,50.0,0.666,0,43.5,16,0.616,6.5,16,30.631,23,20,26,34.0,7,28.332,305.46,0.0,0.061,46
5.331,3,1.125,13,48.9,0.661,0,42.6,16,0.618,6.4,16,31.086,24,20,27,35.0,7,29.047,321.46,0.0,0.08,47
6.121,3,1.13,13,46.5,0.67,0,44.2,16,0.632,7.0,16,28.807,23,19,26,34.0,6,27.189,309.42,2.3,0.065,43
6.921,3,1.118,13,46.5,0.703,0,44.2,16,0.647,7.0,16,30.222,23,19,26,34.0,6,27.831,370.32,2.3,0.065,43
5.799,3,1.145,13,43.5,0.662,0,43.5,16,0.641,6.5,16,30.444,26,20,29,37.0,7,29.482,359.43,6.5,0.061,46
6.387,3,1.122,13,48.8,0.671,0,44.2,16,0.623,7.0,16,28.87,22,19,25,33.0,6,26.805,291.43,0.0,0.065,43
5.5,3,1.123,13,50.0,0.666,0,43.5,16,0.616,6.5,16,30.631,23,20,26,34.0,7,28.332,305.46,0.0,0.061,46
6.11,3,1.13,13,46.5,0.67,0,44.2,16,0.632,7.0,16,28.807,23,19,26,34.0,6,27.189,309.42,2.3,0.065,43
5.0,3,1.145,13,43.5,0.662,0,43.5,16,0.641,6.5,16,30.444,26,20,29,37.0,7,29.482,359.43,6.5,0.061,46
6.548,3,1.13,13,47.8,0.665,0,43.5,16,0.624,6.5,16,30.569,24,20,27,35.0,7,28.716,323.45,2.2,0.061,46
