pXC50,nCsp2,nC,SCBO,nBO,MW,Mv,nSK,nH,RBF,nBT,nBM,Se,nAT,nCsp3,H.,C.,nAB
7.818,13,25,41.0,33,425.64,0.611,30,31,0.094,64,14,60.414,61,12,50.8,41.0,12
9.495,14,26,41.0,33,423.67,0.604,30,33,0.091,66,14,61.97,63,12,52.4,41.3,12
6.824,21,38,63.0,51,622.88,0.609,46,46,0.103,97,21,91.272,92,17,50.0,41.3,18
6.745,21,34,60.0,48,607.73,0.632,44,36,0.095,84,21,81.058,80,13,45.0,42.5,18
7.319,21,42,71.0,59,730.95,0.615,53,49,0.093,108,21,102.461,102,21,48.0,41.2,18
5.91,16,23,40.0,31,358.47,0.648,27,22,0.075,53,15,48.694,49,7,44.9,46.9,12
4.26,16,21,36.0,27,333.47,0.626,25,23,0.1,50,15,47.469,48,5,47.9,43.8,12
5.39,12,39,54.0,48,621.07,0.553,45,64,0.196,112,12,106.57,109,27,58.7,35.8,12
7.036,21,39,67.0,55,690.88,0.618,50,45,0.1,100,21,95.694,95,18,47.4,41.1,18
7.538,21,38,66.0,54,676.85,0.621,49,43,0.103,97,21,92.81,92,17,46.7,41.3,18
7.387,21,38,66.0,54,676.85,0.621,49,43,0.093,97,21,92.81,92,17,46.7,41.3,18
6.319,21,37,62.0,50,608.85,0.612,45,44,0.096,94,21,88.388,89,16,49.4,41.6,18
7.7,7,18,29.0,25,299.46,0.587,22,25,0.04,50,7,46.352,47,11,53.2,38.3,6
6.7,7,17,29.0,25,301.43,0.595,22,23,0.042,48,7,44.796,45,10,51.1,37.8,6
6.2,7,18,30.0,26,315.46,0.589,23,25,0.039,51,7,47.68,48,11,52.1,37.5,6
7.959,21,43,72.0,60,744.98,0.612,54,51,0.099,111,21,105.345,105,22,48.6,41.0,18
4.65,15,19,31.0,23,276.41,0.629,21,20,0.093,43,14,40.156,41,4,48.8,46.3,12
4.92,15,19,31.0,23,276.41,0.629,21,20,0.093,43,14,40.156,41,4,48.8,46.3,12
7.377,21,37,65.0,53,662.82,0.625,48,41,0.096,94,21,89.927,89,16,46.1,41.6,18
7.509,21,42,71.0,59,730.95,0.615,53,49,0.102,108,21,102.461,102,21,48.0,41.2,18
7.4,4,14,23.5,20,281.47,0.577,19,23,0.163,43,6,41.545,42,10,54.8,33.3,5
6.921,21,37,65.0,53,712.17,0.64,48,41,0.096,94,21,89.36,89,16,46.1,41.6,18
6.854,13,20,33.0,26,326.45,0.616,24,23,0.082,49,13,46.763,47,7,48.9,42.6,12
4.398,11,17,30.5,24,314.5,0.614,22,22,0.13,46,12,43.436,44,6,50.0,38.6,11
8.6,6,19,40.0,34,487.67,0.608,32,29,0.254,63,11,62.229,61,13,47.5,31.1,10
7.6,6,19,40.0,34,487.67,0.608,32,29,0.254,63,11,62.229,61,13,47.5,31.1,10
6.1,4,16,29.5,26,373.53,0.58,25,27,0.245,53,6,52.622,52,12,51.9,30.8,5
5.77,16,23,40.0,31,358.47,0.648,27,22,0.075,53,15,48.694,49,7,44.9,46.9,12
6.384,12,20,30.0,24,277.44,0.609,21,23,0.085,47,12,42.821,44,8,52.3,45.5,12
7.1,6,17,37.0,31,443.61,0.617,29,25,0.232,56,11,55.134,54,11,46.3,31.5,10
6.8,9,19,41.0,33,467.63,0.631,31,25,0.276,58,16,57.134,56,10,44.6,33.9,16
4.47,16,20,35.0,26,319.44,0.634,24,21,0.106,47,15,44.585,45,4,46.7,44.4,12
7.99,6,21,30.0,27,346.61,0.573,24,32,0.051,59,6,54.701,56,15,57.1,37.5,6
5.98,6,20,29.0,26,331.57,0.583,23,29,0.055,55,6,50.876,52,14,55.8,38.5,6
6.55,6,21,30.0,27,346.61,0.573,24,32,0.051,59,6,54.701,56,15,57.1,37.5,6
5.64,12,41,56.0,50,649.13,0.551,47,68,0.203,118,12,112.337,115,29,59.1,35.7,12
5.0,15,25,42.0,33,406.57,0.609,30,30,0.111,63,17,59.556,60,10,50.0,41.7,16
5.542,15,26,44.0,35,436.6,0.606,32,32,0.119,67,17,63.767,64,11,50.0,40.6,16
6.01,6,20,32.0,29,309.44,0.614,23,23,0.077,52,6,45.476,46,14,50.0,43.5,6
6.328,6,20,32.0,29,309.44,0.614,23,23,0.077,52,6,45.476,46,14,50.0,43.5,6
5.631,6,21,34.0,31,339.47,0.61,25,25,0.089,56,6,49.687,50,15,50.0,42.0,6
5.529,5,18,30.0,27,280.4,0.622,21,20,0.064,47,6,40.483,41,13,48.8,43.9,6
5.952,5,18,30.0,27,280.4,0.622,21,20,0.064,47,6,40.483,41,13,48.8,43.9,6
6.289,6,19,31.0,28,295.41,0.621,22,21,0.061,49,6,42.592,43,13,48.8,44.2,6
6.181,6,19,31.0,28,295.41,0.621,22,21,0.061,49,6,42.592,43,13,48.8,44.2,6
5.909,6,20,33.0,30,325.44,0.616,24,23,0.075,53,6,46.803,47,14,48.9,42.6,6
5.885,6,19,33.0,30,309.39,0.641,23,19,0.041,49,6,42.036,42,13,45.2,45.2,6
5.09,5,17,29.0,26,266.37,0.631,20,18,0.045,44,6,37.6,38,12,47.4,44.7,6
6.164,6,20,32.0,29,309.44,0.614,23,23,0.077,52,6,45.476,46,14,50.0,43.5,6
6.39,13,20,31.0,24,292.46,0.605,22,24,0.104,48,13,44.923,46,7,52.2,43.5,12
6.59,12,27,37.0,31,412.7,0.559,30,42,0.164,73,12,70.37,72,15,58.3,37.5,12
6.47,6,21,30.0,27,346.61,0.573,24,32,0.051,59,6,54.701,56,15,57.1,37.5,6
4.38,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
4.34,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
4.5,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
5.0,9,13,28.5,19,260.28,0.774,18,6,0.0,25,13,24.956,24,1,25.0,54.2,11
4.0,15,23,39.0,31,399.5,0.62,29,26,0.14,57,14,55.411,55,8,47.3,41.8,12
4.0,15,23,38.0,30,381.51,0.613,28,27,0.14,57,14,54.898,55,8,49.1,41.8,12
4.0,19,25,41.5,31,371.51,0.637,28,25,0.107,56,19,52.36,53,6,47.2,47.2,17
5.241,15,23,39.0,31,381.48,0.632,28,24,0.109,55,14,52.2,52,8,46.2,44.2,12
5.724,15,23,38.0,30,363.49,0.625,27,25,0.109,55,14,51.687,52,8,48.1,44.2,12
4.979,15,24,39.0,31,377.52,0.618,28,27,0.121,58,14,54.571,55,9,49.1,43.6,12
4.939,15,24,38.0,30,379.54,0.606,28,29,0.153,59,14,56.454,57,9,50.9,42.1,12
6.648,8,16,30.0,24,337.91,0.632,22,20,0.045,44,11,41.985,42,8,47.6,38.1,10
6.54,8,15,30.0,24,339.88,0.643,22,18,0.048,42,11,40.429,40,7,45.0,37.5,10
6.512,8,14,27.0,21,311.87,0.632,20,18,0.051,39,11,38.102,38,6,47.4,36.8,10
6.38,8,14,28.0,22,327.87,0.634,21,18,0.125,40,11,39.429,39,6,46.2,35.9,10
6.032,8,17,32.0,26,366.96,0.619,24,23,0.082,49,11,46.971,47,9,48.9,36.2,10
5.851,8,17,31.0,25,351.94,0.624,23,22,0.064,47,11,44.869,45,9,48.9,37.8,10
6.971,14,18,36.0,27,375.91,0.668,25,18,0.089,45,17,43.429,43,4,41.9,41.9,16
6.909,14,17,36.0,27,381.86,0.699,25,14,0.073,41,17,40.243,39,3,35.9,43.6,16
7.112,8,13,27.0,21,295.82,0.665,19,14,0.057,35,11,33.334,33,5,42.4,39.4,10
6.221,13,17,35.0,26,360.9,0.671,24,17,0.07,43,17,41.32,41,4,41.5,41.5,16
7.213,13,17,35.0,26,360.9,0.671,24,17,0.07,43,17,41.32,41,4,41.5,41.5,16
6.681,13,16,34.0,25,346.87,0.684,23,15,0.075,40,17,38.436,38,3,39.5,42.1,16
6.173,13,17,35.0,26,360.9,0.671,24,17,0.07,43,17,41.32,41,4,41.5,41.5,16
6.45,13,16,34.0,25,346.87,0.684,23,15,0.075,40,17,38.436,38,3,39.5,42.1,16
5.862,13,17,35.0,26,360.9,0.671,24,17,0.07,43,17,41.32,41,4,41.5,41.5,16
6.892,13,17,35.0,26,360.9,0.671,24,17,0.093,43,17,41.32,41,4,41.5,41.5,16
4.522,13,17,35.0,26,360.9,0.671,24,17,0.093,43,17,41.32,41,4,41.5,41.5,16
6.072,13,17,35.0,26,360.9,0.671,24,17,0.093,43,17,41.32,41,4,41.5,41.5,16
6.531,12,15,34.0,25,347.86,0.688,23,14,0.077,39,17,37.654,37,3,37.8,40.5,16
6.569,12,15,34.0,25,347.86,0.688,23,14,0.077,39,17,37.654,37,3,37.8,40.5,16
6.091,12,15,34.0,25,347.86,0.688,23,14,0.077,39,17,37.654,37,3,37.8,40.5,16
6.489,12,15,34.0,25,347.86,0.688,23,14,0.077,39,17,37.654,37,3,37.8,40.5,16
7.094,14,18,38.0,29,389.89,0.688,26,16,0.067,45,17,42.873,42,4,38.1,42.9,16
6.969,14,17,34.0,25,345.88,0.679,23,16,0.073,41,17,39.218,39,3,41.0,43.6,16
6.803,14,17,36.0,27,381.86,0.699,25,14,0.073,41,17,40.243,39,3,35.9,43.6,16
6.803,14,17,35.0,26,380.32,0.7,24,15,0.073,41,17,39.542,39,3,38.5,43.6,16
6.982,14,18,35.0,26,359.91,0.667,24,18,0.068,44,17,42.102,42,4,42.9,42.9,16
6.748,14,17,35.0,26,380.32,0.7,24,15,0.073,41,17,39.542,39,3,38.5,43.6,16
6.602,11,14,32.5,24,352.9,0.704,22,13,0.081,37,16,35.629,35,3,37.1,40.0,15
5.759,14,18,38.0,29,413.88,0.694,27,15,0.068,44,17,43.64,42,4,35.7,42.9,16
4.522,14,19,37.0,28,388.96,0.65,26,21,0.082,49,17,47.087,47,5,44.7,40.4,16
5.0,14,17,35.0,26,361.88,0.68,24,16,0.071,42,17,40.545,40,3,40.0,42.5,16
4.522,14,18,36.0,27,375.91,0.668,25,18,0.089,45,17,43.429,43,4,41.9,41.9,16
7.282,8,14,29.0,23,325.85,0.654,21,16,0.051,39,11,37.545,37,6,43.2,37.8,10
5.699,8,13,28.0,22,311.82,0.667,20,14,0.056,36,11,34.662,34,5,41.2,38.2,10
6.832,8,13,26.0,20,297.84,0.642,19,16,0.056,36,11,35.218,35,5,45.7,37.1,10
4.5,6,10,18.0,15,231.14,0.648,14,12,0.037,27,6,26.153,26,4,46.2,38.5,6
7.824,8,22,36.0,31,385.56,0.586,28,31,0.081,62,8,58.658,59,14,52.5,37.3,6
6.495,8,21,36.0,31,387.53,0.592,28,29,0.083,60,8,57.101,57,13,50.9,36.8,6
7.538,8,23,38.0,33,397.57,0.593,29,31,0.078,64,8,59.658,60,15,51.7,38.3,6
5.227,3,13,22.5,18,235.34,0.582,17,19,0.081,37,6,35.869,36,8,52.8,36.1,5
5.961,3,10,18.5,14,194.26,0.594,14,14,0.107,28,6,28.16,28,5,50.0,35.7,5
5.223,9,18,31.5,24,297.41,0.616,22,21,0.089,45,12,42.752,43,7,48.8,41.9,11
5.774,1,13,21.0,18,237.36,0.565,17,21,0.077,39,2,37.752,38,10,55.3,34.2,0
6.166,3,11,19.5,15,209.3,0.576,15,17,0.094,32,6,31.985,32,6,53.1,34.4,5
5.219,1,12,20.0,17,222.32,0.579,16,18,0.086,35,2,33.927,34,9,52.9,35.3,0
4.301,14,25,43.0,35,437.59,0.608,32,31,0.091,66,14,62.985,63,11,49.2,39.7,12
6.699,14,24,41.0,33,408.54,0.616,30,28,0.098,61,14,58.0,58,10,48.3,41.4,12
4.921,13,25,40.0,33,408.59,0.598,30,32,0.108,65,13,61.44,62,12,51.6,40.3,12
6.523,13,23,40.0,33,426.65,0.639,29,26,0.068,59,13,54.614,55,10,47.3,41.8,12
5.347,14,20,34.0,26,322.44,0.625,24,22,0.125,48,14,45.694,46,6,47.8,43.5,12
4.377,15,18,33.0,24,276.36,0.661,21,16,0.05,40,17,36.716,37,3,43.2,48.6,16
4.108,15,19,35.0,26,306.39,0.651,23,18,0.068,44,17,40.927,41,4,43.9,46.3,16
4.155,13,17,37.5,27,324.37,0.66,24,16,0.07,43,18,40.691,40,4,40.0,42.5,15
4.027,14,21,35.0,27,336.54,0.626,24,24,0.098,51,16,47.0,48,7,50.0,43.8,16
5.699,14,22,40.0,32,395.5,0.624,29,25,0.088,57,14,54.334,54,8,46.3,40.7,12
6.699,14,23,40.0,32,394.51,0.622,29,26,0.103,58,14,55.116,55,9,47.3,41.8,12
5.796,14,21,36.0,28,334.45,0.633,25,22,0.08,50,14,46.694,47,7,46.8,44.7,12
4.022,14,19,33.0,25,308.48,0.642,22,20,0.067,45,16,41.232,42,5,47.6,45.2,16
5.854,14,22,37.0,29,348.48,0.625,26,24,0.075,53,14,49.578,50,8,48.0,44.0,12
6.155,13,24,41.0,34,440.68,0.633,30,28,0.065,62,13,57.498,58,11,48.3,41.4,12
4.959,15,25,41.0,33,422.64,0.617,30,30,0.127,63,14,59.305,60,10,50.0,41.7,12
5.52,24,42,63.0,51,651.04,0.582,48,58,0.229,109,24,103.919,106,18,54.7,39.6,24
6.0,14,38,57.0,49,635.0,0.569,46,58,0.178,107,14,102.574,104,24,55.8,36.5,12
5.56,12,40,55.0,49,635.1,0.552,46,66,0.2,115,12,109.453,112,28,58.9,35.7,12
5.0,24,41,62.0,50,637.01,0.585,47,56,0.226,106,24,101.035,103,17,54.4,39.8,24
5.37,14,39,58.0,50,649.03,0.567,47,60,0.182,110,14,105.457,107,25,56.1,36.4,12
6.09,14,40,59.0,51,663.06,0.566,48,62,0.186,113,14,108.341,110,26,56.4,36.4,12
5.0,14,41,60.0,52,677.09,0.564,49,64,0.19,116,14,111.224,113,27,56.6,36.3,12
5.0,26,42,67.0,53,679.0,0.597,50,54,0.215,107,26,102.806,104,16,51.9,40.4,24
6.13,12,38,53.0,47,607.04,0.555,44,62,0.193,109,12,103.686,106,26,58.5,35.8,12
6.762,7,24,32.0,28,373.64,0.552,27,39,0.179,67,7,64.545,66,17,59.1,36.4,6
6.8,20,31,57.5,44,537.8,0.631,39,35,0.089,79,27,73.159,74,11,47.3,41.9,27
5.0,17,19,36.5,27,357.81,0.681,25,16,0.116,43,18,41.804,41,2,39.0,46.3,17
6.54,12,22,32.0,26,324.53,0.581,24,30,0.107,56,12,52.741,54,10,55.6,40.7,12
3.79,24,36,55.0,43,536.82,0.602,40,44,0.172,87,24,82.414,84,12,52.4,42.9,24
6.21,24,37,56.0,44,550.85,0.598,41,46,0.178,90,24,85.297,87,13,52.9,42.5,24
5.93,12,27,39.0,33,406.67,0.577,30,38,0.099,71,12,66.436,68,15,55.9,39.7,12
6.987,13,30,41.0,34,451.82,0.551,33,49,0.193,83,13,79.628,82,17,59.8,36.6,12
4.64,18,27,42.0,33,401.62,0.602,30,33,0.106,66,18,61.727,63,9,52.4,42.9,18
4.95,24,38,57.0,45,566.9,0.588,42,50,0.158,95,24,90.065,92,14,54.3,41.3,24
6.917,13,26,37.0,30,395.7,0.558,29,41,0.169,71,13,68.094,70,13,58.6,37.1,12
5.57,12,29,41.0,35,436.75,0.563,32,44,0.089,79,12,74.087,76,17,57.9,38.2,12
5.01,12,21,32.0,26,324.51,0.589,24,28,0.111,54,12,51.018,52,9,53.8,40.4,12
5.93,12,20,31.0,25,310.48,0.593,23,26,0.118,51,12,48.134,49,8,53.1,40.8,12
10.4,9,19,36.0,30,392.56,0.641,26,22,0.096,52,11,48.342,48,10,45.8,39.6,10
7.157,15,22,35.0,27,335.48,0.615,25,25,0.135,52,14,49.36,50,7,50.0,44.0,12
5.102,7,20,29.0,25,315.5,0.574,23,29,0.093,54,7,51.127,52,13,55.8,38.5,6
8.131,13,21,32.0,25,325.49,0.594,24,27,0.173,52,13,50.243,51,8,52.9,41.2,12
8.195,39,64,115.0,91,1124.54,0.615,83,77,0.173,168,42,159.562,160,25,48.1,40.0,36
5.0,13,18,34.0,26,326.86,0.646,23,19,0.067,45,16,41.8,42,5,45.2,42.9,16
8.201,35,52,91.0,71,900.05,0.609,65,60,0.168,131,34,124.432,125,17,48.0,41.6,28
5.0,13,19,33.0,26,343.89,0.628,24,22,0.083,48,13,45.792,46,6,47.8,41.3,12
6.654,1,11,19.0,16,208.29,0.586,15,16,0.063,32,2,31.043,31,8,51.6,35.5,0
5.77,21,37,61.0,49,592.85,0.611,44,44,0.097,93,21,87.061,88,16,50.0,42.0,18
6.71,12,36,49.0,43,583.02,0.546,42,62,0.276,105,12,101.686,104,24,59.6,34.6,12
7.96,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
5.74,16,23,40.0,31,358.47,0.648,27,22,0.075,53,15,48.694,49,7,44.9,46.9,12
4.83,16,20,35.0,26,320.42,0.641,24,20,0.13,46,15,43.811,44,4,45.5,45.5,12
4.0,4,10,19.5,16,241.42,0.62,15,15,0.065,31,6,29.76,30,6,50.0,33.3,5
4.33,16,21,36.0,27,333.47,0.626,25,23,0.1,50,15,47.469,48,5,47.9,43.8,12
8.35,13,27,46.0,38,478.71,0.589,35,38,0.118,76,14,72.403,73,14,52.1,37.0,12
4.67,16,20,35.0,26,319.44,0.634,24,21,0.106,47,15,44.585,45,4,46.7,44.4,12
8.7,15,26,45.0,36,450.65,0.625,32,30,0.091,66,17,61.632,62,11,48.4,41.9,16
4.9,16,20,35.0,26,320.42,0.641,24,20,0.13,46,15,43.811,44,4,45.5,45.5,12
5.0,13,18,34.0,26,310.41,0.635,23,19,0.067,45,16,41.989,42,5,45.2,42.9,16
5.0,13,20,35.0,27,320.48,0.612,24,24,0.078,51,16,47.243,48,7,50.0,41.7,16
5.0,13,19,37.0,29,360.42,0.644,26,19,0.063,48,16,45.898,45,6,42.2,42.2,16
4.61,16,20,35.0,26,319.44,0.634,24,21,0.106,47,15,44.585,45,4,46.7,44.4,12
8.337,7,22,30.0,26,345.58,0.557,25,35,0.164,61,7,58.778,60,15,58.3,36.7,6
7.183,7,21,29.0,25,331.55,0.559,24,33,0.155,58,7,55.894,57,14,57.9,36.8,6
6.26,14,18,31.0,24,331.89,0.662,22,18,0.095,42,13,39.782,40,4,45.0,45.0,12
6.68,7,23,31.0,27,359.61,0.554,26,37,0.172,64,7,61.661,63,16,58.7,36.5,6
8.824,7,20,28.0,24,317.52,0.562,23,31,0.145,55,7,53.01,54,13,57.4,37.0,6
5.0,13,19,35.0,27,322.45,0.62,24,22,0.082,49,16,45.687,46,6,47.8,41.3,16
5.0,13,19,35.0,27,338.52,0.631,24,22,0.082,49,16,45.436,46,6,47.8,41.3,16
5.0,19,24,43.0,32,368.52,0.641,28,24,0.071,56,22,51.243,52,5,46.2,46.2,22
5.0,13,21,36.0,28,334.51,0.605,25,26,0.093,54,16,50.127,51,8,51.0,41.2,16
5.0,13,18,34.0,26,310.41,0.635,23,19,0.067,45,16,41.989,42,5,45.2,42.9,16
5.76,1,22,31.0,28,343.56,0.567,25,33,0.0,61,2,56.894,58,19,56.9,37.9,0
8.345,13,23,38.0,31,364.5,0.618,27,26,0.035,57,13,52.629,53,10,49.1,43.4,12
5.081,1,10,15.0,14,183.28,0.556,13,17,0.065,31,1,29.825,30,9,56.7,33.3,0
4.6,10,18,33.0,26,311.42,0.619,23,21,0.064,47,12,43.912,44,8,47.7,40.9,10
6.05,1,22,31.0,28,343.56,0.567,25,33,0.0,61,2,56.894,58,19,56.9,37.9,0
5.012,14,20,36.0,28,320.42,0.641,24,20,0.021,48,16,43.811,44,6,45.5,45.5,16
5.73,19,28,49.0,38,458.63,0.624,34,31,0.116,69,22,64.618,65,9,47.7,43.1,22
5.0,15,20,36.0,27,318.46,0.627,24,22,0.082,49,17,45.36,46,5,47.8,43.5,16
5.247,20,26,43.0,33,404.54,0.637,30,26,0.102,59,19,55.716,56,6,46.4,46.4,18
5.22,15,23,42.0,33,392.49,0.636,29,24,0.07,57,17,53.232,53,8,45.3,43.4,16
5.43,15,22,40.0,31,362.46,0.642,27,22,0.057,53,17,49.022,49,7,44.9,44.9,16
6.76,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
6.333,15,23,41.0,32,376.49,0.634,28,24,0.054,56,17,51.905,52,8,46.2,44.2,16
5.831,15,23,41.0,32,376.49,0.634,28,24,0.054,56,17,51.905,52,8,46.2,44.2,16
6.62,3,8,15.5,13,168.22,0.588,12,12,0.04,25,5,24.276,24,5,50.0,33.3,5
6.51,19,32,48.0,38,469.72,0.601,35,39,0.13,77,19,72.545,74,13,52.7,43.2,18
7.95,13,21,35.0,28,338.46,0.617,25,24,0.038,52,13,48.745,49,8,49.0,42.9,12
5.585,3,11,18.0,16,211.29,0.574,15,17,0.061,33,2,32.153,32,8,53.1,34.4,0
8.658,12,25,40.0,33,426.68,0.595,30,34,0.09,67,13,63.072,64,13,53.1,39.1,12
4.0,3,14,22.0,20,268.4,0.558,19,24,0.091,44,2,42.905,43,11,55.8,32.6,0
6.18,1,10,15.0,14,183.28,0.556,13,17,0.097,31,1,29.825,30,9,56.7,33.3,0
5.0,6,10,18.0,14,175.26,0.604,13,13,0.074,27,7,25.723,26,4,50.0,38.5,6
6.339,1,15,21.0,20,251.41,0.553,18,25,0.067,45,1,42.36,43,14,58.1,34.9,0
5.638,1,11,20.0,19,316.63,0.629,18,16,0.114,35,1,35.007,34,10,47.1,32.4,0
6.347,7,14,28.0,22,276.32,0.627,20,16,0.105,38,9,36.698,36,7,44.4,38.9,6
8.52,15,26,45.0,36,450.65,0.625,32,30,0.106,66,17,61.632,62,11,48.4,41.9,16
4.456,14,19,33.0,25,292.41,0.631,22,20,0.067,45,16,41.483,42,5,47.6,45.2,16
8.7,15,25,44.0,35,420.55,0.623,31,28,0.095,63,17,59.0,59,10,47.5,42.4,16
6.281,9,18,27.0,22,287.44,0.582,21,25,0.149,47,8,45.36,46,9,54.3,39.1,6
6.964,9,20,30.0,25,313.48,0.586,23,27,0.096,52,8,49.243,50,11,54.0,40.0,6
9.0,15,26,45.0,36,434.58,0.617,32,30,0.106,66,17,61.883,62,11,48.4,41.9,16
4.62,14,19,35.0,27,306.39,0.651,23,18,0.044,45,16,40.927,41,5,43.9,46.3,16
4.885,9,15,24.0,19,245.35,0.6,18,19,0.105,38,8,36.709,37,6,51.4,40.5,6
5.759,15,22,35.0,27,335.48,0.615,25,25,0.135,52,14,49.36,50,7,50.0,44.0,12
6.776,9,21,31.0,26,327.51,0.582,24,29,0.109,55,8,52.127,53,12,54.7,39.6,6
6.022,15,25,38.0,30,377.57,0.599,28,31,0.164,61,14,58.01,59,10,52.5,42.4,12
6.183,9,18,27.0,22,287.44,0.582,21,25,0.149,47,8,45.36,46,9,54.3,39.1,6
6.247,9,24,33.0,28,371.62,0.561,27,37,0.2,65,8,62.661,64,15,57.8,37.5,6
5.491,9,16,25.0,20,259.38,0.593,19,21,0.122,41,8,39.592,40,7,52.5,40.0,6
4.198,10,20,32.5,26,325.5,0.59,24,27,0.132,53,12,50.236,51,10,52.9,39.2,11
4.507,15,20,33.0,25,307.42,0.63,23,21,0.109,46,14,43.592,44,5,47.7,45.5,12
7.208,9,20,30.0,25,313.48,0.586,23,27,0.096,52,8,49.243,50,11,54.0,40.0,6
5.693,9,20,29.0,24,315.5,0.574,23,29,0.17,53,8,51.127,52,11,55.8,38.5,6
5.557,15,24,37.0,29,363.54,0.604,27,29,0.155,58,14,55.127,56,9,51.8,42.9,12
5.673,9,24,33.0,28,371.62,0.561,27,37,0.2,65,8,62.661,64,15,57.8,37.5,6
5.622,15,25,38.0,30,377.57,0.599,28,31,0.164,61,14,58.01,59,10,52.5,42.4,12
5.09,13,22,34.0,27,337.5,0.602,25,27,0.13,54,13,51.243,52,9,51.9,42.3,12
6.21,9,21,30.0,25,329.53,0.57,24,31,0.179,56,8,54.01,55,12,56.4,38.2,6
6.975,5,21,25.0,22,304.6,0.529,22,38,0.25,60,6,57.948,60,16,63.3,35.0,6
8.492,8,24,47.0,40,552.8,0.602,37,36,0.211,76,12,73.654,73,16,49.3,32.9,10
4.0,8,23,43.0,36,490.77,0.602,33,34,0.171,70,12,66.789,67,15,50.7,34.3,10
5.074,15,20,33.0,25,307.42,0.63,23,21,0.109,46,14,43.592,44,5,47.7,45.5,12
6.364,9,19,28.0,23,301.47,0.578,22,27,0.16,50,8,48.243,49,10,55.1,38.8,6
6.242,7,20,28.0,24,317.52,0.562,23,31,0.164,55,7,53.01,54,13,57.4,37.0,6
5.097,7,14,24.0,18,266.77,0.622,18,17,0.114,35,8,35.091,35,5,48.6,40.0,6
5.409,8,18,38.0,31,420.62,0.628,28,24,0.127,55,12,52.371,52,10,46.2,34.6,10
6.305,1,9,17.0,14,179.25,0.593,13,13,0.074,27,2,26.051,26,7,50.0,34.6,0
5.505,13,24,35.0,28,348.58,0.585,26,32,0.117,60,13,56.458,58,11,55.2,41.4,12
5.07,13,21,33.0,26,322.49,0.602,24,26,0.115,52,13,49.134,50,8,52.0,42.0,12
5.7,13,21,33.0,26,338.56,0.611,24,26,0.115,52,13,48.883,50,8,52.0,42.0,12
4.57,14,20,34.0,26,321.46,0.618,24,23,0.122,49,14,46.469,47,6,48.9,42.6,12
5.49,13,21,32.0,25,306.49,0.599,23,26,0.098,51,13,47.807,49,8,53.1,42.9,12
6.19,13,20,32.0,25,310.45,0.613,23,23,0.104,48,13,45.436,46,7,50.0,43.5,12
6.08,13,21,33.0,26,340.93,0.616,24,25,0.118,51,13,48.131,49,8,51.0,42.9,12
6.18,13,21,32.0,25,306.49,0.599,23,26,0.118,51,13,47.807,49,8,53.1,42.9,12
5.85,13,21,32.0,25,306.49,0.599,23,26,0.098,51,13,47.807,49,8,53.1,42.9,12
5.72,13,23,35.0,28,332.53,0.602,25,28,0.089,56,13,51.69,53,10,52.8,43.4,12
5.91,13,22,34.0,27,318.5,0.607,24,26,0.094,53,13,48.807,50,9,52.0,44.0,12
5.13,13,19,30.0,23,278.43,0.612,21,22,0.111,45,13,42.04,43,6,51.2,44.2,12
6.0,13,22,33.0,26,320.52,0.594,24,28,0.111,54,13,50.69,52,9,53.8,42.3,12
4.33,14,20,34.0,26,321.46,0.618,24,23,0.122,49,14,46.469,47,6,48.9,42.6,12
7.222,21,41,64.0,52,650.99,0.592,48,54,0.151,106,21,100.479,102,20,52.9,40.2,18
5.38,13,22,35.0,28,334.5,0.609,25,26,0.093,54,13,50.134,51,9,51.0,43.1,12
5.0,13,23,41.0,34,444.03,0.61,31,30,0.063,64,13,60.974,61,10,49.2,37.7,12
5.0,13,23,41.0,34,444.03,0.61,31,30,0.063,64,13,60.974,61,10,49.2,37.7,12
6.41,12,20,32.0,26,325.51,0.624,23,23,0.061,49,12,45.225,46,8,50.0,43.5,12
7.2,6,15,34.0,28,399.55,0.629,26,21,0.204,49,11,48.04,47,9,44.7,31.9,10
6.06,12,20,32.0,26,325.51,0.624,23,23,0.061,49,12,45.225,46,8,50.0,43.5,12
6.52,12,21,33.0,27,340.55,0.61,24,26,0.057,53,12,49.051,50,9,52.0,42.0,12
7.79,12,21,33.0,27,340.55,0.61,24,26,0.057,53,12,49.051,50,9,52.0,42.0,12
7.47,6,21,30.0,27,346.61,0.573,24,32,0.051,59,6,54.701,56,15,57.1,37.5,6
5.92,6,20,29.0,26,331.57,0.583,23,29,0.055,55,6,50.876,52,14,55.8,38.5,6
6.8,9,19,41.0,33,467.63,0.631,31,25,0.276,58,16,57.134,56,10,44.6,33.9,16
6.03,6,20,29.0,26,331.57,0.583,23,29,0.055,55,6,50.876,52,14,55.8,38.5,6
8.414,7,18,30.0,26,318.43,0.594,23,24,0.1,50,7,47.072,47,11,51.1,38.3,6
