pXC50,X.,RBF,nX,RBN,nHM,nAB,nBM,Mp,C.,N.,nCL,nN,AMW,Mv,nF,MW,SCBO
5.0,0.0,0.1,0,6,0,17,19,0.671,42.9,8.9,0,5,7.42,0.639,0,415.54,45.5
5.0,0.0,0.079,0,5,0,11,14,0.664,43.1,5.2,0,3,7.199,0.63,0,417.55,44.5
5.0,0.0,0.091,0,6,0,11,14,0.66,42.6,4.9,0,3,7.075,0.624,0,431.58,45.5
5.0,0.0,0.119,0,7,0,17,19,0.672,42.9,10.7,0,6,7.117,0.632,0,398.56,44.5
5.0,0.0,0.119,0,7,0,17,19,0.672,42.9,10.7,0,6,7.117,0.632,0,398.56,44.5
6.638,0.0,0.021,0,1,0,11,12,0.658,42.2,6.7,0,3,6.521,0.607,0,293.45,31.5
7.398,2.1,0.059,1,3,0,12,12,0.651,41.7,4.2,0,2,7.134,0.618,1,342.45,34.0
6.345,0.0,0.047,0,2,0,12,13,0.683,47.5,2.5,0,1,6.935,0.637,0,277.39,31.0
6.129,3.1,0.029,1,1,1,12,12,0.708,46.9,3.1,1,1,8.117,0.664,0,259.75,26.0
7.324,2.4,0.022,1,1,1,11,12,0.684,42.9,7.1,1,3,7.473,0.634,0,313.86,31.5
6.903,0.0,0.022,0,1,0,11,12,0.664,42.9,7.1,0,3,6.653,0.614,0,279.42,30.5
8.309,0.0,0.025,0,1,2,10,11,0.72,40.5,8.1,0,3,8.202,0.652,0,303.49,29.0
4.0,0.0,0.111,0,7,0,6,9,0.64,39.0,5.1,0,3,6.975,0.606,0,411.55,40.0
5.0,1.7,0.094,1,6,1,17,19,0.677,41.7,8.3,1,5,8.0,0.648,0,480.01,48.5
4.0,1.8,0.102,1,6,1,6,9,0.661,40.0,5.5,1,3,7.563,0.625,0,415.96,39.0
5.0,0.0,0.113,0,8,0,17,19,0.653,40.3,7.5,0,5,7.308,0.624,0,489.63,50.5
5.0,3.6,0.083,2,5,2,17,19,0.701,42.9,8.9,2,5,8.65,0.669,0,484.42,47.5
5.0,2.2,0.082,1,4,1,11,13,0.671,39.1,10.9,1,5,8.128,0.643,0,373.88,36.5
5.0,0.0,0.09,0,6,0,17,19,0.659,41.3,7.9,0,5,7.295,0.628,0,459.6,48.5
5.0,2.6,0.071,1,3,1,6,7,0.663,38.5,7.7,1,3,7.893,0.629,0,307.81,28.0
4.87,0.0,0.077,0,3,0,6,6,0.619,36.8,2.6,0,1,6.194,0.572,0,235.36,21.0
4.238,0.0,0.077,0,3,0,6,6,0.619,36.8,2.6,0,1,6.194,0.572,0,235.36,21.0
5.346,5.2,0.097,3,6,0,6,9,0.64,39.7,5.2,0,3,7.75,0.624,3,449.52,42.0
6.097,0.0,0.0,0,0,0,12,12,0.67,44.7,2.6,0,1,7.457,0.642,0,283.35,30.0
5.0,3.6,0.083,2,5,2,17,19,0.701,42.9,8.9,2,5,8.65,0.669,0,484.42,47.5
4.839,0.0,0.122,0,5,0,5,5,0.61,35.0,5.0,0,2,5.51,0.546,0,220.4,19.5
5.0,0.0,0.143,0,8,0,12,14,0.65,38.9,11.1,0,6,7.01,0.613,0,378.53,39.0
5.0,0.0,0.143,0,8,0,12,14,0.65,38.9,11.1,0,6,7.01,0.613,0,378.53,39.0
7.281,0.0,0.153,0,9,0,12,14,0.647,38.6,10.5,0,6,6.887,0.608,0,392.56,40.0
5.0,0.0,0.121,0,7,0,12,14,0.65,39.3,10.7,0,6,6.724,0.606,0,376.56,39.0
6.419,2.0,0.135,1,7,1,12,14,0.675,40.0,12.0,1,6,7.659,0.634,0,382.94,38.0
5.0,5.7,0.127,3,7,0,12,14,0.65,39.6,11.3,0,6,7.858,0.633,3,416.5,41.0
5.0,0.0,0.14,0,7,0,12,14,0.654,37.5,16.7,0,8,7.302,0.622,0,350.48,37.0
5.0,0.0,0.137,0,7,0,12,14,0.656,38.8,14.3,0,7,7.132,0.62,0,349.49,37.0
5.252,0.0,0.077,0,4,0,16,17,0.652,38.8,10.2,0,5,7.826,0.636,0,383.45,40.0
6.0,3.3,0.081,2,5,2,6,7,0.644,35.0,6.7,2,4,7.124,0.589,0,427.47,34.0
4.301,0.0,0.111,0,6,0,6,7,0.615,35.8,3.8,0,2,6.01,0.563,0,318.51,28.0
7.659,2.4,0.022,1,1,2,11,11,0.699,40.5,7.1,1,3,7.95,0.639,0,333.92,30.5
6.829,0.0,0.022,0,1,1,11,11,0.679,40.5,7.1,0,3,7.13,0.619,0,299.48,29.5
7.211,2.4,0.022,1,1,1,11,11,0.677,40.5,7.1,0,3,7.559,0.628,1,317.47,30.5
6.848,1.6,0.127,1,8,1,12,12,0.648,39.3,3.3,1,2,6.574,0.59,0,401.04,36.0
8.022,4.3,0.041,2,2,1,12,12,0.678,43.5,4.3,1,2,7.498,0.631,1,344.89,33.0
6.0,0.0,0.098,0,5,0,6,7,0.616,36.0,4.0,0,2,6.09,0.566,0,304.48,27.0
6.0,0.0,0.089,0,4,0,6,7,0.62,36.4,4.5,0,2,6.282,0.574,0,276.42,25.0
6.0,0.0,0.037,0,1,0,6,7,0.643,38.5,7.7,0,2,7.394,0.619,0,192.24,19.0
5.573,0.0,0.075,0,5,0,16,17,0.651,41.3,4.8,0,3,6.883,0.612,0,433.6,45.0
5.0,1.7,0.094,1,6,1,17,19,0.677,41.7,8.3,1,5,8.0,0.648,0,480.01,48.5
5.754,0.0,0.059,0,2,0,6,6,0.62,36.4,3.0,0,1,6.767,0.587,0,223.3,20.0
8.845,5.3,0.025,2,1,2,12,12,0.759,44.7,2.6,1,1,10.887,0.674,0,413.7,29.0
8.244,0.0,0.0,0,0,1,11,11,0.693,43.2,2.7,0,1,7.768,0.645,0,287.41,28.5
8.18,0.0,0.02,0,1,1,11,11,0.673,41.3,2.2,0,1,7.163,0.618,0,329.5,31.5
8.638,0.0,0.023,0,1,1,11,11,0.685,42.5,2.5,0,1,7.536,0.634,0,301.44,29.5
6.777,0.0,0.059,0,2,0,6,6,0.62,36.4,3.0,0,1,6.767,0.587,0,223.3,20.0
5.818,0.0,0.0,0,0,1,11,11,0.693,43.2,2.7,0,1,7.768,0.645,0,287.41,28.5
6.092,0.0,0.02,0,1,1,11,11,0.673,41.3,2.2,0,1,7.163,0.618,0,329.5,31.5
6.194,0.0,0.043,0,2,1,11,11,0.679,41.9,2.3,0,1,7.337,0.626,0,315.47,30.5
6.102,0.0,0.023,0,1,1,11,11,0.685,42.5,2.5,0,1,7.536,0.634,0,301.44,29.5
5.0,0.0,0.038,0,2,0,10,10,0.645,40.8,4.1,0,2,6.336,0.593,0,310.48,32.0
5.0,0.0,0.1,0,6,0,12,13,0.65,42.1,1.8,0,1,6.659,0.606,0,379.54,38.0
6.194,0.0,0.043,0,2,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
7.245,2.2,0.042,1,2,1,12,12,0.684,42.2,2.2,0,1,9.029,0.648,0,406.3,34.0
5.538,0.0,0.074,0,4,0,12,12,0.646,41.2,2.0,0,1,6.97,0.612,0,355.47,35.0
5.554,0.0,0.058,0,3,0,12,12,0.654,42.9,2.0,0,1,6.601,0.608,0,323.47,33.0
5.703,0.0,0.061,0,3,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
4.699,0.0,0.023,0,1,0,16,16,0.68,46.3,4.9,0,2,6.742,0.629,0,276.41,32.0
7.301,0.0,0.026,0,1,0,12,12,0.667,44.4,2.8,0,1,7.093,0.63,0,255.34,27.0
3.5,0.0,0.051,0,2,0,5,5,0.618,35.1,8.1,0,3,5.929,0.562,0,219.37,20.5
5.523,0.0,0.123,0,8,0,17,18,0.655,41.9,4.8,0,3,6.735,0.611,0,417.6,43.5
7.62,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
4.699,0.0,0.022,0,1,0,12,12,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
5.432,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
5.18,0.0,0.042,0,2,0,12,12,0.663,44.4,2.2,0,1,6.521,0.612,0,293.44,31.0
4.936,0.0,0.059,0,3,0,12,12,0.658,43.8,2.1,0,1,6.406,0.605,0,307.47,32.0
5.215,0.0,0.0,0,0,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
5.081,0.0,0.022,0,1,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
4.967,0.0,0.0,0,0,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
4.222,0.0,0.067,0,4,0,18,18,0.675,46.4,1.8,0,1,6.885,0.63,0,385.54,42.0
5.367,0.0,0.043,0,2,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
5.0,0.0,0.08,0,4,0,12,13,0.666,44.7,2.1,0,1,6.839,0.622,0,321.45,34.0
8.611,2.2,0.042,1,2,1,12,12,0.713,42.2,2.2,0,1,10.073,0.655,0,453.3,34.0
6.62,0.0,0.071,0,3,0,12,12,0.656,42.5,2.5,0,1,7.134,0.623,0,285.37,29.0
5.0,0.0,0.218,0,24,0,12,13,0.622,38.3,0.9,0,1,5.627,0.559,0,602.05,54.0
5.319,0.0,0.023,0,1,0,12,12,0.678,46.2,2.6,0,1,7.573,0.651,0,295.36,32.0
4.444,0.0,0.0,0,0,0,12,12,0.686,47.2,2.8,0,1,7.815,0.663,0,281.33,31.0
4.764,0.0,0.043,0,2,0,12,12,0.659,43.2,2.3,0,1,7.077,0.623,0,311.41,32.0
4.0,0.0,0.022,0,1,0,12,12,0.672,45.2,2.4,0,1,7.366,0.641,0,309.39,33.0
4.201,0.0,0.042,0,2,0,12,12,0.654,42.2,2.2,0,1,7.276,0.626,0,327.41,33.0
4.903,0.0,0.043,0,2,0,17,17,0.674,45.5,2.3,0,1,7.668,0.65,0,337.4,36.5
6.398,0.0,0.0,0,0,0,12,12,0.678,46.2,2.6,0,1,7.573,0.651,0,295.36,32.0
6.097,2.3,0.085,1,4,0,12,13,0.67,45.5,2.3,0,1,7.396,0.639,1,325.41,34.0
7.722,0.0,0.0,0,0,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
5.847,0.0,0.12,0,6,0,10,14,0.659,43.8,0.0,0,0,7.384,0.633,0,354.43,37.0
5.44,0.0,0.02,0,1,0,18,18,0.703,51.1,2.2,0,1,6.921,0.651,0,311.45,37.0
6.0,0.0,0.108,0,8,0,6,7,0.623,37.1,4.3,0,3,6.081,0.571,0,425.68,39.0
6.0,0.0,0.036,0,1,0,6,6,0.631,37.0,7.4,0,2,6.602,0.59,0,178.26,17.0
5.0,2.4,0.067,1,3,1,16,16,0.69,42.9,9.5,1,4,7.782,0.646,0,326.86,34.0
6.0,0.0,0.069,0,2,0,6,8,0.633,35.7,10.7,0,3,7.402,0.612,0,207.26,21.0
5.0,2.4,0.116,1,5,1,6,7,0.682,35.7,4.8,0,2,9.626,0.614,0,404.28,26.0
5.0,0.0,0.059,0,4,0,16,17,0.655,42.2,4.7,0,3,6.494,0.604,0,415.63,44.0
5.523,1.8,0.103,1,6,0,12,14,0.655,41.8,5.5,0,3,7.191,0.622,1,395.52,40.0
6.128,0.0,0.107,0,6,0,16,16,0.657,43.4,1.9,0,1,6.595,0.609,0,349.51,37.0
5.215,0.0,0.095,0,6,1,17,19,0.685,42.4,6.8,0,4,7.841,0.648,0,462.62,47.5
6.721,0.0,0.041,0,2,1,15,16,0.694,42.2,8.9,0,4,7.833,0.649,0,352.5,37.5
6.0,4.2,0.04,1,1,1,6,6,0.664,33.3,16.7,1,4,8.278,0.626,0,198.68,17.0
6.0,3.8,0.037,1,1,0,6,6,0.635,38.5,7.7,0,2,6.933,0.599,1,180.25,17.0
7.337,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
5.465,0.0,0.059,0,4,0,16,17,0.655,42.2,4.7,0,3,6.494,0.604,0,415.63,44.0
6.0,0.0,0.088,0,3,0,6,6,0.623,36.4,6.1,0,2,6.252,0.575,0,206.32,19.0
6.0,10.3,0.033,3,1,0,6,6,0.626,37.9,6.9,0,2,7.94,0.617,3,230.26,20.0
5.131,0.0,0.048,0,3,0,10,12,0.641,39.0,6.8,0,4,6.688,0.599,0,394.57,40.0
6.156,0.0,0.044,0,2,0,12,12,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
5.871,0.0,0.045,0,2,0,12,12,0.674,46.3,2.4,0,1,6.425,0.617,0,263.41,29.0
5.0,0.0,0.083,0,6,0,16,17,0.649,41.2,4.4,0,3,6.554,0.602,0,445.66,46.0
6.0,0.0,0.036,0,1,0,6,7,0.66,40.7,11.1,0,3,6.936,0.618,0,187.27,20.0
5.0,0.0,0.086,0,7,0,10,12,0.621,35.9,6.4,0,5,6.176,0.571,0,481.76,45.0
6.0,0.0,0.056,0,2,0,6,6,0.625,37.1,5.7,0,2,5.839,0.565,0,204.35,19.0
5.18,0.0,0.092,0,6,1,10,12,0.655,37.7,6.6,0,4,7.256,0.611,0,442.64,42.0
5.0,0.0,0.049,0,3,1,15,16,0.671,40.4,7.0,0,4,7.169,0.619,0,408.62,41.5
6.975,2.7,0.0,1,0,1,12,12,0.712,45.9,2.7,0,1,9.358,0.667,0,346.24,30.0
5.0,0.0,0.079,0,3,0,6,6,0.624,37.8,2.7,0,1,5.929,0.568,0,219.36,20.0
5.333,0.0,0.074,0,2,0,6,7,0.643,38.5,7.7,0,2,7.394,0.619,0,192.24,19.0
5.0,2.4,0.07,1,3,1,6,7,0.65,36.6,7.3,1,3,7.557,0.611,0,309.83,27.0
6.155,0.0,0.0,0,0,0,12,12,0.68,47.4,2.6,0,1,6.563,0.625,0,249.38,28.0
8.672,2.5,0.048,1,2,2,12,14,0.727,45.0,5.0,1,2,8.622,0.675,0,344.89,33.0
4.425,1.9,0.07,1,4,1,12,13,0.671,42.6,3.7,1,2,7.092,0.619,0,382.97,37.0
4.055,0.0,0.07,0,4,0,12,13,0.655,42.6,3.7,0,2,6.454,0.604,0,348.53,36.0
6.144,0.0,0.0,0,0,0,12,12,0.688,48.6,2.9,0,1,6.724,0.635,0,235.35,27.0
5.0,2.4,0.067,1,3,0,16,16,0.668,42.9,9.5,0,4,7.391,0.635,1,310.41,34.0
5.914,0.0,0.023,0,1,0,12,12,0.669,45.0,2.5,0,1,7.034,0.63,0,281.38,30.0
5.709,0.0,0.111,0,6,0,12,13,0.659,43.1,3.9,0,2,6.559,0.609,0,334.5,35.0
5.0,0.0,0.078,0,4,0,16,16,0.659,41.7,8.3,0,4,6.677,0.612,0,320.48,35.0
5.0,6.7,0.063,3,3,0,16,16,0.66,42.2,8.9,0,4,8.009,0.644,3,360.42,37.0
7.854,0.0,0.043,0,2,1,11,11,0.679,41.9,2.3,0,1,7.337,0.626,0,315.47,30.5
5.85,0.0,0.044,0,2,0,12,12,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
8.092,0.0,0.067,0,3,0,12,13,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
4.971,0.0,0.026,0,1,0,12,12,0.667,44.4,2.8,0,1,7.093,0.63,0,255.34,27.0
5.0,0.0,0.082,0,4,0,16,16,0.659,41.3,8.7,0,4,7.01,0.62,0,322.45,35.0
7.194,0.0,0.026,0,1,0,12,12,0.667,44.4,2.8,0,1,7.093,0.63,0,255.34,27.0
5.553,0.0,0.067,0,3,0,12,13,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
5.726,2.3,0.067,1,3,1,12,13,0.695,44.2,2.3,0,1,8.705,0.645,0,374.3,32.0
5.0,0.0,0.082,0,4,1,16,16,0.685,41.3,8.7,0,4,7.359,0.631,0,338.52,35.0
6.706,0.0,0.025,0,1,0,12,12,0.666,44.7,2.6,0,1,6.668,0.618,0,253.37,27.0
5.0,0.0,0.071,0,4,0,22,22,0.685,46.2,7.7,0,4,7.087,0.641,0,368.52,43.0
6.553,0.0,0.037,0,2,1,11,11,0.674,42.0,2.0,0,1,7.111,0.619,0,355.54,34.5
5.0,0.0,0.102,0,5,0,12,13,0.663,44.7,2.1,0,1,6.201,0.603,0,291.47,31.0
7.706,0.0,0.067,0,3,0,12,13,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
6.038,0.0,0.043,0,2,0,12,12,0.659,43.2,2.3,0,1,7.077,0.623,0,311.41,32.0
4.903,0.0,0.111,0,6,1,12,15,0.674,41.2,3.9,0,2,7.54,0.631,0,384.54,39.0
5.0,0.0,0.093,0,5,0,16,16,0.655,41.2,7.8,0,4,6.559,0.605,0,334.51,36.0
7.155,0.0,0.0,0,0,1,11,11,0.703,44.1,2.9,0,1,8.041,0.657,0,273.38,27.5
5.79,2.0,0.111,1,6,1,12,13,0.676,43.1,3.9,1,2,7.234,0.626,0,368.94,36.0
7.284,0.0,0.041,0,2,1,11,11,0.673,41.3,2.2,0,1,7.163,0.618,0,329.5,31.5
5.805,2.0,0.111,1,6,2,12,15,0.691,41.2,3.9,1,2,8.215,0.647,0,418.98,40.0
7.658,0.0,0.061,0,3,1,11,11,0.673,41.3,2.2,0,1,7.163,0.618,0,329.5,31.5
6.161,0.0,0.091,0,5,1,11,11,0.663,40.4,1.9,0,1,6.876,0.606,0,357.56,33.5
5.0,2.4,0.067,1,3,0,16,16,0.668,42.9,9.5,0,4,7.391,0.635,1,310.41,34.0
7.873,2.6,0.025,1,1,1,12,12,0.736,44.7,2.6,0,1,9.981,0.652,0,379.26,28.0
6.824,0.0,0.019,0,1,1,11,11,0.674,42.0,2.0,0,1,7.111,0.619,0,355.54,34.5
8.367,2.9,0.0,1,0,2,11,11,0.728,44.1,2.9,1,1,9.054,0.681,0,307.82,28.5
7.108,0.0,0.02,0,1,1,11,11,0.673,41.3,2.2,0,1,7.163,0.618,0,329.5,31.5
7.523,0.0,0.036,0,2,0,6,6,0.633,39.2,2.0,0,1,6.46,0.589,0,329.48,31.0
5.0,0.0,0.061,0,3,0,6,7,0.636,40.4,2.1,0,1,5.733,0.572,0,269.47,26.0
5.585,1.7,0.145,1,9,0,12,14,0.645,41.7,1.7,0,1,6.859,0.608,1,411.56,40.0
4.535,0.0,0.028,0,1,0,10,10,0.65,41.2,5.9,0,2,6.304,0.596,0,214.34,23.0
8.629,2.9,0.027,1,1,1,12,12,0.697,45.7,2.9,1,1,7.822,0.651,0,273.78,27.0
7.627,0.0,0.02,0,1,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
5.788,2.7,0.026,1,1,1,12,12,0.684,43.2,2.7,1,1,8.264,0.654,0,305.78,29.0
4.52,0.0,0.022,0,1,0,12,14,0.67,41.9,11.6,0,5,7.475,0.64,0,321.42,35.0
5.523,0.0,0.026,0,1,0,12,12,0.661,43.2,2.7,0,1,7.334,0.632,0,271.34,28.0
4.717,2.9,0.027,1,1,1,12,12,0.697,45.7,2.9,1,1,7.822,0.651,0,273.78,27.0
6.747,2.4,0.07,1,3,1,12,12,0.681,43.9,2.4,1,1,7.362,0.63,0,301.84,29.0
5.0,2.4,0.163,1,7,1,12,12,0.715,42.9,2.4,0,1,9.031,0.622,0,379.31,27.0
6.047,2.4,0.0,1,0,1,12,12,0.689,45.2,2.4,1,1,7.473,0.639,0,313.85,31.0
5.377,0.0,0.02,0,1,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
5.779,0.0,0.02,0,1,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
7.139,0.0,0.0,0,0,0,12,12,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
6.4,0.0,0.135,0,10,0,18,20,0.656,42.3,4.2,0,3,6.841,0.615,0,485.68,50.0
5.0,0.0,0.104,0,5,0,12,12,0.655,43.5,2.2,0,1,6.075,0.594,0,279.46,29.0
5.0,3.4,0.067,1,2,1,11,12,0.694,41.4,10.3,1,3,8.611,0.663,0,249.72,24.5
5.0,0.0,0.082,0,4,0,16,17,0.671,43.5,8.7,0,4,6.923,0.627,0,318.46,36.0
5.033,0.0,0.053,0,2,0,12,12,0.667,44.4,2.8,0,1,7.093,0.63,0,255.34,27.0
4.699,0.0,0.105,0,4,0,16,16,0.676,44.4,8.3,0,3,6.982,0.632,0,251.36,29.0
8.721,2.4,0.0,1,0,1,12,12,0.689,45.2,2.4,1,1,7.473,0.639,0,313.85,31.0
5.0,4.8,0.163,2,7,2,12,12,0.693,42.9,2.4,2,1,7.674,0.63,0,322.3,28.0
4.824,0.0,0.043,0,2,1,11,11,0.669,37.2,11.6,0,5,7.337,0.616,0,315.49,30.5
6.521,2.9,0.027,1,1,1,12,12,0.697,45.7,2.9,1,1,7.822,0.651,0,273.78,27.0
5.0,0.0,0.041,0,2,0,12,12,0.658,43.5,2.2,0,1,6.727,0.614,0,309.44,32.0
5.301,0.0,0.0,0,0,0,6,6,0.637,39.4,3.0,0,1,6.646,0.596,0,219.31,21.0
5.62,1.8,0.153,1,9,0,12,14,0.649,42.1,1.8,0,1,6.974,0.613,1,397.53,39.0
5.824,0.0,0.091,0,3,0,12,12,0.664,43.8,3.1,0,1,7.166,0.629,0,229.3,24.0
6.0,0.0,0.081,0,5,0,6,6,0.614,36.7,1.7,0,1,5.76,0.557,0,345.58,30.0
5.721,2.4,0.07,1,3,1,12,12,0.681,43.9,2.4,1,1,7.362,0.63,0,301.84,29.0
5.712,0.0,0.157,0,8,0,12,12,0.636,40.0,2.0,0,1,6.27,0.586,0,313.48,30.0
5.762,0.0,0.0,0,0,0,12,12,0.663,44.2,2.3,0,1,6.87,0.621,0,295.41,31.0
4.0,0.0,0.094,0,3,1,5,5,0.645,32.3,9.7,0,3,6.818,0.579,0,211.37,17.5
4.0,0.0,0.05,0,2,0,12,12,0.676,45.9,2.7,0,1,7.226,0.64,0,267.35,29.0
5.0,0.0,0.023,0,1,0,12,12,0.664,43.9,2.4,0,1,7.253,0.632,0,297.38,31.0
5.62,0.0,0.023,0,1,0,12,13,0.667,41.5,12.2,0,5,7.156,0.629,0,293.41,32.0
8.71,2.3,0.021,1,1,2,12,12,0.708,43.2,4.5,1,2,7.84,0.644,0,344.94,32.0
4.69,0.0,0.028,0,1,0,10,10,0.65,41.2,5.9,0,2,6.304,0.596,0,214.34,23.0
4.32,0.0,0.022,0,1,0,12,14,0.67,41.9,11.6,0,5,7.475,0.64,0,321.42,35.0
5.733,2.9,0.027,1,1,1,12,12,0.697,45.7,2.9,1,1,7.822,0.651,0,273.78,27.0
6.67,2.4,0.023,1,1,1,12,13,0.688,41.5,12.2,1,5,7.996,0.649,0,327.85,33.0
7.852,2.4,0.023,1,1,2,12,13,0.722,43.9,7.3,1,3,8.388,0.666,0,343.91,33.0
5.678,0.0,0.058,0,3,1,12,15,0.671,38.8,8.2,0,4,7.888,0.636,0,386.52,39.0
5.553,4.3,0.041,2,2,0,12,12,0.658,43.5,4.3,0,2,7.14,0.622,2,328.44,33.0
6.26,0.0,0.022,0,1,0,12,13,0.664,41.9,9.3,0,4,7.173,0.628,0,308.42,33.0
7.73,0.0,0.179,0,14,0,12,12,0.619,36.8,2.6,0,2,6.194,0.572,0,470.72,42.0
6.49,2.0,0.074,1,4,0,12,14,0.666,45.1,2.0,0,1,7.166,0.631,1,365.48,38.0
6.516,2.1,0.02,1,1,1,12,14,0.693,45.8,4.2,1,2,7.311,0.639,0,350.92,36.0
5.62,0.0,0.088,0,5,0,12,12,0.645,40.7,3.7,0,2,6.528,0.599,0,352.52,35.0
5.87,0.0,0.073,0,4,0,12,13,0.655,42.3,3.8,0,2,6.74,0.611,0,350.5,36.0
6.032,6.1,0.058,3,3,1,12,15,0.667,38.8,8.2,0,4,8.99,0.659,3,440.49,42.0
6.42,1.7,0.113,1,7,0,12,14,0.653,42.4,3.4,0,2,6.925,0.614,1,408.56,41.0
8.19,0.0,0.143,0,11,0,12,12,0.626,37.8,2.7,0,2,6.334,0.58,0,468.7,43.0
7.863,2.7,0.051,1,2,1,12,12,0.733,43.2,2.7,0,1,10.736,0.667,0,397.23,29.0
5.347,1.5,0.086,1,6,0,21,22,0.662,41.5,9.2,0,6,7.517,0.635,1,488.62,52.5
7.499,0.0,0.036,0,2,0,6,6,0.633,39.2,2.0,0,1,6.46,0.589,0,329.48,31.0
8.519,0.0,0.044,0,2,0,6,6,0.622,37.2,2.3,0,1,6.451,0.58,0,277.4,25.0
6.509,0.0,0.07,0,3,0,12,12,0.651,41.5,2.4,0,1,7.35,0.625,0,301.37,30.0
8.336,0.0,0.051,0,2,0,12,12,0.661,43.2,2.7,0,1,7.334,0.632,0,271.34,28.0
5.0,0.0,0.085,0,5,0,12,12,0.643,41.1,1.8,0,1,6.563,0.599,0,367.53,36.0
5.6,0.0,0.075,0,4,0,6,7,0.633,39.2,2.0,0,1,6.46,0.589,0,329.48,31.0
7.851,0.0,0.063,0,3,0,6,6,0.62,37.0,2.2,0,1,6.335,0.576,0,291.43,26.0
4.301,0.0,0.114,0,5,0,6,6,0.619,37.2,2.3,0,1,5.754,0.559,0,247.42,22.0
6.39,0.0,0.061,0,2,0,6,7,0.647,40.6,3.1,0,1,7.29,0.62,0,233.29,23.0
5.523,1.8,0.083,1,5,0,22,23,0.689,46.4,8.9,0,5,7.599,0.656,1,425.55,49.0
5.0,0.0,0.043,0,2,0,12,13,0.671,45.5,2.3,0,1,6.987,0.63,0,307.42,33.0
6.309,2.3,0.067,1,3,1,12,13,0.683,44.2,2.3,1,1,7.671,0.641,0,329.85,32.0
7.921,4.4,0.042,2,2,1,12,13,0.693,46.7,2.2,1,1,7.597,0.645,1,341.88,34.0
6.21,0.0,0.045,0,2,0,12,13,0.677,46.3,2.4,0,1,7.156,0.639,0,293.39,32.0
8.022,4.3,0.041,2,2,1,12,12,0.678,43.5,4.3,1,2,7.498,0.631,1,344.89,33.0
5.796,1.4,0.077,1,6,0,27,29,0.681,44.4,9.7,0,7,7.829,0.657,1,563.69,63.5
7.0,1.5,0.086,1,6,0,21,22,0.659,40.0,12.3,0,8,7.517,0.632,1,488.63,52.5
6.0,0.0,0.083,0,3,0,6,7,0.629,37.1,5.7,0,2,6.695,0.591,0,234.33,22.0
5.705,0.0,0.045,0,2,0,12,13,0.677,46.3,2.4,0,1,7.156,0.639,0,293.39,32.0
6.469,0.0,0.045,0,2,0,12,12,0.674,46.3,2.4,0,1,6.425,0.617,0,263.41,29.0
7.638,4.7,0.043,2,2,1,12,14,0.707,48.8,2.3,1,1,7.904,0.663,1,339.86,35.0
5.538,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
6.277,0.0,0.042,0,2,0,12,12,0.663,44.4,2.2,0,1,6.521,0.612,0,293.44,31.0
7.996,2.3,0.067,1,3,1,12,13,0.695,44.2,2.3,0,1,8.705,0.645,0,374.3,32.0
6.013,2.3,0.043,1,2,1,12,12,0.695,44.2,2.3,0,1,8.705,0.645,0,374.3,32.0
5.301,2.8,0.0,1,0,1,12,12,0.706,47.2,2.8,1,1,7.939,0.661,0,285.79,29.0
5.398,0.0,0.024,0,1,0,12,13,0.681,46.2,5.1,0,2,7.138,0.64,0,278.38,31.0
5.317,0.0,0.043,0,2,0,12,13,0.671,45.5,2.3,0,1,6.987,0.63,0,307.42,33.0
5.0,0.0,0.118,0,6,0,12,12,0.651,42.9,2.0,0,1,5.99,0.589,0,293.49,30.0
5.335,0.0,0.023,0,1,0,12,13,0.677,46.3,2.4,0,1,7.156,0.639,0,293.39,32.0
4.777,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
