pXC50,Sp,nAT,nBT,Sv,Si,Se,nC,H.,AMW,C.,Me,Mi,Mp,Mv,MW,N.,nAB
6.161,36.233,51,54,35.238,56.412,52.094,24,37.3,8.814,47.1,1.021,1.106,0.71,0.691,449.51,2.0,16
6.0,33.188,48,51,33.981,54.384,50.447,23,31.3,9.508,47.9,1.051,1.133,0.691,0.708,456.4,4.2,23
5.721,29.398,41,44,29.063,45.325,41.814,21,34.1,8.741,51.2,1.02,1.105,0.717,0.709,358.37,4.9,17
4.745,34.228,49,52,32.928,54.362,49.138,24,40.8,7.846,49.0,1.003,1.109,0.699,0.672,384.46,4.1,18
4.301,20.722,29,31,20.085,31.993,29.174,15,37.9,8.182,51.7,1.006,1.103,0.715,0.693,237.27,3.4,17
6.0,37.995,55,58,36.477,61.275,55.123,26,41.8,7.737,47.3,1.002,1.114,0.691,0.663,425.52,5.5,18
4.403,20.659,29,31,20.468,32.333,29.687,15,34.5,8.802,51.7,1.024,1.115,0.712,0.706,255.26,3.4,17
6.523,37.239,54,57,35.971,60.358,54.342,25,40.7,7.898,46.3,1.006,1.118,0.69,0.666,426.51,7.4,18
4.301,37.239,54,57,35.971,60.358,54.342,25,40.7,7.898,46.3,1.006,1.118,0.69,0.666,426.51,7.4,18
4.921,39.756,58,61,38.003,64.69,58.007,27,43.1,7.578,46.6,1.0,1.115,0.685,0.655,439.55,5.2,18
4.62,24.04,33,35,23.649,36.645,33.927,16,33.3,9.538,48.5,1.028,1.11,0.728,0.717,314.74,6.1,17
4.854,24.898,33,35,24.476,36.589,34.251,16,30.3,10.581,48.5,1.038,1.109,0.754,0.742,349.18,6.1,17
4.699,33.137,49,51,32.358,54.78,49.793,22,40.8,8.009,44.9,1.016,1.118,0.676,0.66,392.44,4.1,12
4.963,36.29,52,54,33.851,58.115,52.276,21,44.2,8.262,40.4,1.005,1.118,0.698,0.651,429.61,5.8,11
4.602,29.614,43,45,29.304,47.95,44.025,20,37.2,8.474,46.5,1.024,1.115,0.689,0.681,364.38,4.7,12
6.284,49.296,72,75,47.41,80.567,72.934,31,41.7,8.149,43.1,1.013,1.119,0.685,0.658,586.72,5.6,17
4.883,35.426,48,50,32.634,53.332,48.294,20,41.7,9.968,41.7,1.006,1.111,0.738,0.68,478.47,6.3,11
6.409,52.818,78,81,50.463,87.398,78.701,33,43.6,7.882,42.3,1.009,1.12,0.677,0.647,614.78,5.1,17
4.602,34.529,49,51,32.324,54.7,49.393,20,42.9,8.481,40.8,1.008,1.116,0.705,0.66,415.58,6.1,11
4.602,35.318,49,51,33.104,54.574,49.283,21,40.8,8.665,42.9,1.006,1.114,0.721,0.676,424.59,8.2,11
4.602,35.426,48,50,32.634,53.332,48.294,20,41.7,9.968,41.7,1.006,1.111,0.738,0.68,478.47,6.3,11
4.602,34.932,48,50,32.437,53.435,48.389,20,41.7,9.042,41.7,1.008,1.113,0.728,0.676,434.02,6.3,11
4.824,34.898,52,54,33.885,58.196,52.676,23,42.3,7.817,44.2,1.013,1.119,0.671,0.652,406.47,3.8,12
6.585,49.051,72,75,46.915,80.484,72.716,31,43.1,7.968,43.1,1.01,1.118,0.681,0.652,573.72,4.2,17
4.602,32.881,48,50,31.137,53.78,48.316,20,43.8,7.99,41.7,1.007,1.12,0.685,0.649,383.51,6.3,11
5.509,42.943,59,62,40.059,65.533,59.454,25,40.7,8.894,42.4,1.008,1.111,0.728,0.679,524.74,6.8,16
4.752,37.744,54,56,35.566,60.325,54.603,22,42.6,8.474,40.7,1.011,1.117,0.699,0.659,457.62,5.6,11
5.321,51.057,75,78,48.937,83.982,75.818,32,42.7,8.01,42.7,1.011,1.12,0.681,0.652,600.75,5.3,17
6.222,50.159,74,78,48.234,82.481,74.421,34,43.2,7.631,45.9,1.006,1.115,0.678,0.652,564.68,2.7,28
4.301,47.381,74,77,45.497,83.604,74.734,29,47.3,7.266,39.2,1.01,1.13,0.64,0.615,537.67,4.1,12
5.372,40.79,63,65,40.104,71.153,64.527,25,42.9,7.898,39.7,1.024,1.129,0.647,0.637,497.55,4.8,12
5.629,37.75,58,60,37.42,65.915,59.796,24,41.4,8.181,41.4,1.031,1.136,0.651,0.645,474.5,3.4,17
