pXC50,MW,SCBO,nSK,nBO,nAB,Sp,nBM,Se,nAT,nCsp2,Si,nHet,nO,nC,nBT,nS,O.,Mi,RBF,RBN,N.,Sv,nDB,nH,AMW,C.
4.034,418.54,52.5,32,37,31,38.125,31,53.68,54,23,60.311,6,0,26,59,0,0.0,1.117,0.068,4,11.1,36.343,0,22,7.751,48.1
4.034,552.75,56.0,38,42,22,46.517,25,67.541,67,20,75.199,10,3,28,71,2,4.5,1.122,0.113,8,6.0,43.836,3,29,8.25,41.8
4.034,391.55,40.5,29,32,17,38.029,17,57.454,58,16,64.939,4,3,25,61,0,5.2,1.12,0.115,7,1.7,35.541,0,29,6.751,43.1
4.034,370.25,39.0,25,28,22,28.756,22,38.582,38,18,42.084,6,1,19,41,0,2.6,1.107,0.098,4,7.9,27.595,0,13,9.743,50.0
4.034,341.47,34.0,24,26,12,29.665,14,43.105,43,14,48.155,6,2,18,45,1,4.7,1.12,0.067,3,7.0,27.895,2,19,7.941,41.9
4.034,531.72,55.0,38,43,22,46.216,23,68.232,68,18,76.94,10,1,28,73,1,1.5,1.131,0.055,4,10.3,43.757,1,30,7.819,41.2
4.034,446.61,46.0,33,36,18,41.08,19,62.869,63,17,71.391,8,2,25,66,0,3.2,1.133,0.121,8,9.5,38.88,1,30,7.089,39.7
4.034,363.43,36.0,25,27,12,28.267,15,43.204,42,13,47.368,9,5,16,44,1,11.9,1.128,0.114,5,7.1,27.513,3,17,8.653,38.1
4.034,369.55,35.5,27,30,11,36.79,11,57.338,58,10,65.355,4,3,23,61,0,5.2,1.127,0.098,6,1.7,34.068,0,31,6.372,39.7
4.034,552.65,58.5,38,42,27,42.381,30,60.662,59,24,65.957,12,5,26,63,2,8.5,1.118,0.111,7,6.8,41.158,3,21,9.367,44.1
4.034,403.55,44.0,30,33,22,37.341,22,55.741,56,18,63.398,6,0,24,59,0,0.0,1.132,0.102,6,8.9,35.285,0,26,7.206,42.9
4.034,343.47,33.5,25,26,11,31.756,13,50.007,50,12,56.69,6,3,19,51,0,6.0,1.134,0.157,8,6.0,30.003,2,25,6.869,38.0
4.034,400.46,46.0,30,33,22,34.682,24,50.465,50,22,55.571,6,4,24,53,0,8.0,1.111,0.094,5,4.0,33.643,2,20,8.009,48.0
4.034,300.44,29.5,22,23,11,29.296,12,45.578,46,11,51.983,4,2,18,47,0,4.3,1.13,0.128,6,4.3,27.267,1,24,6.531,39.1
4.034,448.57,53.0,34,39,28,40.341,28,57.891,58,22,64.936,7,1,27,63,0,1.7,1.12,0.079,5,10.3,38.584,0,24,7.734,46.6
4.034,443.62,43.0,31,34,12,39.381,15,60.178,60,13,67.65,8,4,23,63,1,6.7,1.128,0.095,6,5.0,36.959,3,29,7.394,38.3
4.034,418.53,46.0,30,33,22,35.154,24,49.392,49,21,54.784,7,1,23,52,1,2.0,1.118,0.096,5,8.2,33.585,2,19,8.541,46.9
4.034,458.56,43.5,33,35,11,39.852,14,63.865,63,13,71.275,9,7,24,65,0,11.1,1.131,0.154,10,3.2,38.422,3,30,7.279,38.1
4.034,308.41,34.0,23,25,16,28.773,17,42.811,43,15,48.152,4,2,19,45,0,4.7,1.12,0.111,5,4.7,27.214,1,20,7.172,44.2
4.034,321.5,33.0,24,27,12,33.358,12,49.916,51,12,57.105,2,1,22,54,0,2.0,1.12,0.056,3,2.0,30.585,0,27,6.304,43.1
4.106,324.46,34.0,24,26,16,31.296,16,47.578,48,14,53.983,4,2,20,50,0,4.2,1.125,0.14,7,4.2,29.267,0,24,6.76,41.7
4.034,326.48,32.0,24,25,12,32.057,13,49.461,50,13,56.398,4,2,20,51,0,4.0,1.128,0.157,8,4.0,29.794,1,26,6.53,40.0
4.034,570.74,57.0,39,43,22,46.455,25,68.054,67,20,75.538,11,3,28,71,2,4.5,1.127,0.113,8,6.0,44.219,3,28,8.519,41.8
4.034,374.26,36.5,26,28,17,23.114,17,37.236,34,14,39.945,10,2,16,36,0,5.9,1.175,0.056,2,5.9,24.933,0,8,11.008,47.1
4.034,408.59,40.0,30,32,12,39.796,14,61.44,62,14,69.853,5,3,25,64,0,4.8,1.127,0.141,9,3.2,37.089,2,32,6.59,40.3
4.034,562.82,57.0,39,43,22,50.103,25,72.796,73,20,81.689,9,3,30,77,2,4.1,1.119,0.117,9,5.5,46.506,3,34,7.71,41.1
6.542,261.4,24.0,19,20,6,26.29,7,41.476,42,7,47.484,3,2,16,43,0,4.8,1.131,0.116,5,2.4,24.246,1,23,6.224,38.1
5.462,393.52,32.0,26,27,6,32.489,8,53.069,52,6,59.878,8,3,18,53,1,5.8,1.152,0.132,7,1.9,30.878,2,26,7.568,34.6
8.602,203.27,22.0,15,16,10,18.279,11,28.051,28,9,31.78,4,1,11,29,0,3.6,1.135,0.103,3,10.7,17.413,1,13,7.26,39.3
5.0,441.63,42.0,32,35,10,42.017,12,66.752,67,10,75.976,7,4,25,70,0,6.0,1.134,0.143,10,4.5,39.352,2,35,6.591,37.3
5.0,427.6,41.0,31,34,10,40.256,12,63.869,64,10,72.561,7,4,24,67,0,6.3,1.134,0.134,9,4.7,37.825,2,33,6.681,37.5
5.0,246.25,27.5,17,18,11,17.057,13,22.073,21,9,23.426,5,0,12,22,1,0.0,1.116,0.0,0,9.5,17.05,0,4,11.726,57.1
4.034,334.91,30.0,22,23,12,28.62,13,40.876,41,12,46.179,6,0,16,42,1,0.0,1.126,0.119,5,9.8,26.315,1,19,8.169,39.0
4.034,526.15,51.0,36,39,18,46.307,21,67.941,68,19,76.215,8,3,28,71,1,4.4,1.121,0.127,9,4.4,43.125,3,32,7.737,41.2
4.034,454.04,40.5,30,32,11,38.239,14,58.502,58,11,65.594,9,4,21,60,1,6.9,1.131,0.133,8,5.2,35.786,3,28,7.828,36.2
4.034,361.31,30.0,22,23,12,29.432,13,42.596,43,13,48.2,4,1,18,44,0,2.3,1.121,0.136,6,4.7,27.051,1,21,8.403,41.9
4.034,334.91,30.0,22,23,12,28.62,13,40.876,41,12,46.179,6,0,16,42,1,0.0,1.126,0.119,5,9.8,26.315,1,19,8.169,39.0
4.034,532.56,59.0,38,42,22,41.148,28,59.851,58,24,64.329,11,8,27,62,1,13.8,1.109,0.129,8,3.4,40.689,6,20,9.182,46.6
4.034,425.6,42.0,30,33,16,38.165,17,56.967,57,15,64.026,7,3,23,60,1,5.3,1.123,0.117,7,5.3,35.717,1,27,7.467,40.4
4.034,339.31,25.0,20,21,6,28.194,7,42.48,43,7,48.615,4,1,16,44,0,2.3,1.131,0.091,4,4.7,25.578,1,23,7.891,37.2
4.034,592.79,48.0,40,43,6,57.268,8,89.683,91,8,103.926,9,0,31,94,0,0.0,1.142,0.128,12,7.7,51.921,2,51,6.514,34.1
4.034,300.47,29.0,21,22,12,27.762,13,40.552,41,12,46.235,5,0,16,42,1,0.0,1.128,0.119,5,9.8,25.487,1,20,7.329,39.0
4.034,326.35,30.5,23,24,11,25.586,12,41.349,40,11,46.171,7,2,16,41,0,5.0,1.154,0.122,5,5.0,25.364,1,17,8.159,40.0
4.034,387.6,35.5,27,29,11,36.472,12,55.523,56,11,63.231,6,2,21,58,1,3.6,1.129,0.138,8,5.4,33.529,1,29,6.921,37.5
4.034,386.55,43.0,29,32,22,36.648,22,54.447,55,17,62.142,6,0,23,58,0,0.0,1.13,0.121,7,10.9,34.396,0,26,7.028,41.8
4.034,343.56,32.0,23,24,12,31.165,14,43.411,44,14,49.072,5,0,18,45,2,0.0,1.115,0.156,7,6.8,28.18,2,21,7.808,40.9
4.034,378.3,31.0,23,24,12,29.131,13,43.142,43,12,48.492,6,2,17,44,0,4.7,1.128,0.136,6,7.0,27.26,1,20,8.798,39.5
4.034,260.36,33.0,20,23,20,25.341,20,35.389,36,15,39.903,2,0,18,39,0,0.0,1.108,0.0,0,5.6,23.73,0,16,7.232,50.0
4.034,351.59,29.0,23,24,6,32.142,8,47.505,48,8,54.112,6,1,17,49,2,2.1,1.127,0.143,7,6.3,28.948,2,25,7.325,35.4
4.034,327.42,34.0,24,25,12,29.233,15,45.24,45,13,50.86,6,3,18,46,0,6.7,1.13,0.152,7,6.7,27.95,3,21,7.276,40.0
4.034,373.95,31.0,24,25,6,31.262,9,48.407,48,7,54.554,8,3,16,49,1,6.3,1.137,0.102,5,6.3,29.018,3,24,7.791,33.3
4.034,548.74,47.0,39,44,0,50.841,3,83.385,83,4,94.019,9,9,30,88,0,10.8,1.133,0.057,5,0.0,48.023,3,44,6.611,36.1
4.034,332.51,30.5,23,24,11,30.944,12,46.654,47,11,52.903,5,2,18,48,1,4.3,1.126,0.167,8,4.3,28.454,1,24,7.075,38.3
4.034,314.5,30.0,22,23,12,29.523,13,43.436,44,12,49.65,5,0,17,45,1,0.0,1.128,0.111,5,9.1,27.014,1,22,7.148,38.6
4.034,337.5,34.0,25,27,12,33.813,13,51.243,52,13,58.315,3,2,22,54,0,3.8,1.121,0.13,7,1.9,31.299,1,27,6.49,42.3
4.034,393.58,39.0,29,32,12,38.586,13,59.33,60,11,67.727,5,2,24,63,0,3.3,1.129,0.127,8,5.0,35.869,1,31,6.56,40.0
4.034,406.57,41.5,30,32,17,39.034,18,59.556,60,17,67.438,5,3,25,62,0,5.0,1.124,0.129,8,3.3,36.562,1,30,6.776,41.7
4.034,300.32,37.5,23,26,17,25.932,20,35.284,35,20,38.119,3,3,20,38,0,8.6,1.089,0.026,1,0.0,25.305,3,12,8.581,57.1
4.034,754.95,81.0,56,62,28,68.194,33,102.254,102,32,114.178,11,7,45,108,0,6.9,1.119,0.111,12,3.9,65.152,5,46,7.401,44.1
4.034,813.15,83.0,60,66,24,77.865,29,119.105,120,26,135.247,11,5,49,126,0,4.2,1.127,0.151,19,5.0,72.926,5,60,6.776,40.8
4.034,403.57,42.5,30,33,17,38.824,18,58.447,59,16,66.311,5,2,25,62,0,3.4,1.124,0.129,8,5.1,36.342,1,29,6.84,42.4
4.034,544.68,58.0,39,43,18,46.08,24,67.723,67,23,74.943,10,5,29,71,1,7.5,1.119,0.099,7,6.0,44.168,6,28,8.13,43.3
4.034,375.56,39.5,28,30,17,37.37,18,56.12,57,17,64.102,4,1,24,59,0,1.8,1.125,0.119,7,5.3,34.627,1,29,6.589,42.1
4.034,342.56,32.0,24,25,12,33.046,13,49.203,50,12,56.48,5,0,19,51,1,0.0,1.13,0.118,6,8.0,30.068,1,26,6.851,38.0
4.034,427.6,47.0,32,35,22,40.62,23,60.44,61,19,68.683,6,1,26,64,0,1.6,1.126,0.125,8,8.2,38.143,1,29,7.01,42.6
4.034,482.02,47.0,34,36,18,41.591,20,62.425,62,20,69.674,8,4,26,64,0,6.5,1.124,0.156,10,4.8,39.599,2,28,7.775,41.9
4.034,643.85,57.0,46,53,6,58.824,7,95.581,95,7,107.557,11,10,35,102,0,10.5,1.132,0.078,8,1.1,55.813,1,49,6.777,36.8
4.034,419.99,44.0,30,34,16,38.466,18,55.56,56,17,62.631,5,1,25,60,0,1.8,1.118,0.083,5,5.4,35.928,2,26,7.5,44.6
4.034,300.83,30.5,20,22,17,25.085,17,32.905,33,14,36.352,4,0,16,35,1,0.0,1.102,0.057,2,6.1,23.218,0,13,9.116,48.5
4.034,298.37,32.5,22,24,15,26.466,16,40.254,40,13,44.946,5,3,17,42,0,7.5,1.124,0.119,5,5.0,25.402,1,18,7.459,42.5
4.034,758.86,91.0,56,63,48,72.262,52,94.159,96,52,104.585,4,2,52,103,0,2.1,1.089,0.107,11,0.0,66.34,4,40,7.905,54.2
4.034,449.7,43.0,33,35,12,45.631,14,70.865,72,15,81.387,5,2,28,74,0,2.8,1.13,0.122,9,4.2,41.976,2,39,6.246,38.9
4.034,473.27,32.0,24,26,6,30.381,9,41.058,40,7,44.805,10,2,14,42,2,5.0,1.12,0.071,3,7.5,27.763,3,16,11.832,35.0
4.034,365.52,37.0,27,29,12,35.063,14,53.563,54,14,60.896,5,2,22,56,0,3.7,1.128,0.125,7,5.6,32.815,2,27,6.769,40.7
4.034,338.49,34.0,25,27,12,33.057,13,50.461,51,13,57.398,4,2,21,53,0,3.9,1.125,0.113,6,3.9,30.794,1,26,6.637,41.2
4.034,509.76,55.0,38,42,26,50.427,26,75.858,77,21,86.759,6,1,32,81,0,1.3,1.127,0.123,10,6.5,46.777,0,39,6.62,41.6
4.034,315.4,31.0,23,27,6,28.438,7,44.247,44,7,49.488,5,4,18,48,0,9.1,1.125,0.021,1,2.3,27.149,1,21,7.168,40.9
4.034,482.46,39.5,28,31,15,34.881,16,48.622,48,12,53.542,9,3,19,51,2,6.3,1.115,0.118,6,6.3,32.349,1,20,10.051,39.6
4.034,354.49,36.0,26,29,10,33.512,12,51.789,52,11,58.607,5,3,21,55,0,5.8,1.127,0.091,5,3.8,31.509,2,26,6.817,40.4
4.034,481.67,53.0,35,40,22,43.506,24,61.632,62,21,69.188,7,1,28,67,1,1.6,1.116,0.075,5,8.1,40.804,2,27,7.769,45.2
5.0,190.32,18.0,14,15,6,20.103,6,31.272,32,5,36.318,2,0,12,33,0,0.0,1.135,0.061,2,6.3,18.257,0,18,5.947,37.5
4.796,309.83,27.0,21,23,6,26.637,7,41.236,41,7,46.595,6,2,15,43,0,4.9,1.136,0.07,3,7.3,25.063,1,20,7.557,36.6
5.0,305.15,28.0,18,20,16,20.114,16,27.614,27,12,30.29,6,1,12,29,0,3.7,1.122,0.034,1,14.8,19.406,0,9,11.302,44.4
5.817,240.29,28.0,18,20,16,20.523,16,30.269,30,12,33.863,5,1,13,32,0,3.3,1.129,0.063,2,13.3,19.908,0,12,8.01,43.3
5.0,260.7,28.0,18,20,16,19.619,16,27.709,27,12,30.392,6,1,12,29,0,3.7,1.126,0.034,1,14.8,19.208,0,9,9.656,44.4
7.6,537.86,54.0,40,44,18,56.222,19,85.072,87,19,97.839,4,1,36,91,0,1.1,1.125,0.143,13,3.4,51.369,1,47,6.182,41.4
6.3,580.82,65.0,44,48,30,57.387,32,82.647,84,33,93.304,4,2,40,88,0,2.4,1.111,0.159,14,2.4,53.482,2,40,6.915,47.6
6.0,567.73,65.0,43,48,30,52.802,32,75.541,76,32,84.351,6,3,37,81,0,3.9,1.11,0.136,11,3.9,50.111,2,33,7.47,48.7
4.034,339.52,33.0,25,26,12,34.574,13,53.127,54,13,60.73,3,2,22,55,0,3.7,1.125,0.164,9,1.9,31.826,1,29,6.287,40.7
5.2,491.68,54.0,37,40,24,47.347,26,69.214,70,26,78.142,5,2,32,73,0,2.9,1.116,0.164,12,4.3,44.396,2,33,7.024,45.7
7.5,512.81,51.0,38,41,18,52.705,19,80.407,82,18,92.507,5,1,33,85,0,1.2,1.128,0.165,14,4.9,48.336,1,44,6.254,40.2
6.4,506.75,54.0,38,41,24,50.421,25,74.756,76,25,85.261,5,1,33,79,0,1.3,1.122,0.152,12,5.3,46.756,1,38,6.668,43.4
4.034,398.52,39.0,29,31,12,36.211,14,56.185,56,14,63.362,6,3,23,58,0,5.4,1.131,0.138,8,3.6,34.419,2,27,7.116,41.1
6.7,489.76,53.0,37,41,24,50.722,24,74.21,76,24,84.969,3,0,34,80,0,0.0,1.118,0.138,11,3.9,46.547,0,39,6.444,44.7
7.6,518.76,56.0,39,42,24,51.421,26,75.756,77,26,86.261,5,1,34,80,0,1.3,1.12,0.163,13,5.2,47.756,2,38,6.737,44.2
7.3,537.75,62.0,41,45,30,52.654,32,74.77,76,32,84.348,4,1,37,80,0,1.3,1.11,0.15,12,3.9,49.208,2,35,7.076,48.7
5.5,407.66,39.0,30,32,12,42.415,13,65.654,67,13,75.763,4,1,26,69,0,1.5,1.131,0.145,10,4.5,38.735,1,37,6.084,38.8
7.699,203.27,22.0,15,16,10,18.279,11,28.051,28,9,31.78,4,1,11,29,0,3.6,1.135,0.103,3,10.7,17.413,1,13,7.26,39.3
6.6,553.83,58.0,40,43,24,53.279,27,77.941,79,26,88.307,6,2,34,82,1,2.5,1.118,0.171,14,3.8,49.163,3,39,7.011,43.0
7.6,517.77,56.0,39,42,24,52.177,26,76.538,78,27,87.178,4,1,35,81,0,1.3,1.118,0.16,13,3.8,48.261,2,39,6.638,44.9
6.9,489.76,53.0,37,41,24,50.722,24,74.21,76,24,84.969,3,0,34,80,0,0.0,1.118,0.138,11,3.9,46.547,0,39,6.444,44.7
4.034,533.56,53.0,37,39,12,39.824,20,62.491,60,17,67.661,14,10,23,62,1,16.7,1.128,0.177,11,5.0,39.667,8,23,8.893,38.3
4.034,533.56,53.0,37,39,12,39.824,20,62.491,60,17,67.661,14,10,23,62,1,16.7,1.128,0.177,11,5.0,39.667,8,23,8.893,38.3
7.5,512.81,51.0,38,41,18,52.705,19,80.407,82,18,92.507,5,1,33,85,0,1.2,1.128,0.165,14,4.9,48.336,1,44,6.254,40.2
4.035,231.37,22.0,17,19,6,24.074,6,37.265,38,6,42.86,2,1,15,40,0,2.6,1.128,0.0,0,2.6,22.004,0,21,6.089,39.5
4.034,327.44,34.0,23,25,16,27.904,17,40.222,40,14,44.74,6,2,17,42,1,5.0,1.119,0.071,3,7.5,26.369,1,17,8.186,42.5
4.034,374.65,32.0,26,29,0,38.296,3,58.745,60,4,67.769,4,1,22,63,1,1.7,1.129,0.048,3,3.3,34.374,3,34,6.244,36.7
4.034,489.67,49.5,36,40,17,46.017,18,70.752,71,16,79.976,7,4,29,75,0,5.6,1.126,0.093,7,4.2,43.352,1,35,6.897,40.8
7.9,512.81,51.0,38,41,18,52.705,19,80.407,82,18,92.507,5,1,33,85,0,1.2,1.128,0.165,14,4.9,48.336,1,44,6.254,40.2
8.2,511.82,51.0,38,41,18,53.461,19,81.188,83,19,93.424,4,1,34,86,0,1.2,1.126,0.163,14,3.6,48.842,1,45,6.167,41.0
7.1,531.8,57.0,40,44,24,53.938,25,79.421,81,25,90.593,4,1,36,85,0,1.2,1.118,0.153,13,3.7,49.788,1,41,6.565,44.4
4.034,408.45,44.5,30,32,15,33.387,19,51.113,50,15,56.362,9,5,21,52,0,10.0,1.127,0.154,8,8.0,32.874,3,20,8.169,42.0
4.034,492.35,49.0,32,35,22,36.279,25,50.913,50,23,55.496,8,4,24,53,0,8.0,1.11,0.132,7,6.0,35.163,3,18,9.847,48.0
9.0,460.66,48.0,33,38,16,41.512,18,60.734,61,15,68.686,8,1,25,66,1,1.6,1.126,0.061,4,9.8,38.825,2,28,7.552,41.0
4.034,304.37,35.5,23,25,17,27.25,19,39.043,39,18,43.322,4,2,19,41,0,5.1,1.111,0.098,4,5.1,26.16,2,16,7.804,48.7
4.034,291.35,30.0,20,21,6,23.04,12,33.789,33,12,36.747,6,4,14,34,1,12.1,1.114,0.088,3,3.0,22.229,6,13,8.829,42.4
6.641,423.57,42.5,31,34,11,38.529,14,60.094,60,13,68.102,8,3,23,63,0,5.0,1.135,0.111,7,8.3,36.573,3,29,7.059,38.3
4.034,476.23,40.0,29,30,12,28.784,16,44.894,42,14,48.309,12,5,17,43,0,11.9,1.15,0.14,6,7.1,29.501,4,13,11.339,40.5
4.034,402.54,40.5,27,29,17,32.012,20,45.727,45,16,50.368,9,3,18,47,2,6.7,1.119,0.128,6,8.9,30.292,3,18,8.945,40.0
4.034,310.81,33.5,22,24,17,26.449,18,37.033,37,16,41.428,5,0,17,39,0,0.0,1.12,0.077,3,10.8,25.074,1,15,8.4,45.9
6.143,273.42,26.0,20,23,6,27.086,6,42.469,43,5,48.856,4,1,16,46,0,2.3,1.136,0.087,4,7.0,25.047,0,23,6.359,37.2
5.0,378.46,42.0,28,31,16,33.443,19,50.349,50,15,55.986,6,4,22,53,0,8.0,1.12,0.113,6,4.0,32.17,3,22,7.569,44.0
5.301,450.72,39.0,31,33,6,42.978,9,68.487,69,7,78.6,8,3,23,71,1,4.3,1.139,0.141,10,5.8,39.373,3,38,6.532,33.3
6.682,330.51,37.0,25,28,16,34.148,17,49.807,51,16,56.979,2,0,23,54,0,0.0,1.117,0.093,5,3.9,31.364,1,26,6.481,45.1
5.77,555.47,48.0,33,37,22,42.966,22,59.701,60,18,67.162,6,1,27,64,0,1.7,1.119,0.109,7,5.0,39.327,0,27,9.258,45.0
5.0,461.38,37.0,26,29,16,35.506,16,49.421,50,12,55.992,5,1,21,53,0,2.0,1.12,0.094,5,6.0,31.891,0,24,9.228,42.0
5.236,460.39,37.0,26,29,16,36.262,16,50.203,51,13,56.909,4,1,22,54,0,2.0,1.116,0.093,5,3.9,32.396,0,25,9.027,43.1
5.0,353.48,37.0,26,29,16,32.785,16,49.865,50,12,56.611,5,1,21,53,0,2.0,1.132,0.094,5,6.0,30.957,0,24,7.07,42.0
5.0,335.49,36.0,25,28,16,32.847,16,49.352,50,12,56.272,4,1,21,53,0,2.0,1.125,0.094,5,6.0,30.574,0,25,6.71,42.0
5.0,364.53,38.0,27,30,16,35.819,16,54.345,55,13,61.813,4,2,23,58,0,3.6,1.124,0.103,6,3.6,33.321,0,28,6.628,41.8
5.0,368.94,37.0,26,29,16,34.461,16,50.458,51,13,57.132,4,1,22,54,0,2.0,1.12,0.093,5,3.9,31.907,0,25,7.234,43.1
5.0,352.49,37.0,26,29,16,33.54,16,50.647,51,13,57.528,4,1,22,54,0,2.0,1.128,0.093,5,3.9,31.463,0,25,6.912,43.1
6.658,298.49,29.0,21,23,12,29.273,12,42.116,43,12,48.069,3,0,18,45,1,0.0,1.118,0.067,3,4.7,26.498,0,22,6.942,41.9
5.107,309.44,32.0,23,29,6,30.29,6,45.476,46,6,51.484,3,2,20,52,0,4.3,1.119,0.077,4,2.2,28.246,0,23,6.727,43.5
5.0,280.4,30.0,21,27,6,27.319,6,40.483,41,5,45.943,3,1,18,47,0,2.4,1.121,0.064,3,4.9,25.499,0,20,6.839,43.9
5.0,309.44,32.0,23,29,6,30.29,6,45.476,46,6,51.484,3,2,20,52,0,4.3,1.119,0.077,4,2.2,28.246,0,23,6.727,43.5
5.0,260.28,28.5,18,19,11,18.818,13,24.956,24,9,26.842,5,0,13,25,1,0.0,1.118,0.0,0,8.3,18.577,0,6,10.845,54.2
8.523,228.32,24.5,17,19,11,21.796,11,32.716,33,10,37.112,3,1,14,35,0,3.0,1.125,0.029,1,6.1,20.445,0,16,6.919,42.4
5.0,357.81,36.5,25,27,17,28.773,18,41.804,41,17,45.602,6,4,19,43,0,9.8,1.112,0.116,5,2.4,27.923,1,16,8.727,46.3
5.523,508.62,46.0,36,40,6,42.864,9,69.25,68,10,78.414,10,2,26,72,0,2.9,1.153,0.056,4,5.9,41.477,3,32,7.48,38.2
5.0,419.32,37.0,26,28,10,30.625,14,45.68,45,13,51.157,9,2,17,47,0,4.4,1.137,0.128,6,13.3,29.271,4,19,9.318,37.8
6.298,294.15,23.0,18,19,6,20.176,7,30.28,29,7,33.554,7,0,11,30,0,0.0,1.157,0.067,2,10.3,19.647,1,11,10.143,37.9
6.618,247.38,23.0,18,19,6,24.324,7,38.585,39,7,44.441,4,1,14,40,0,2.6,1.14,0.15,6,7.7,22.52,1,21,6.343,35.9
6.754,247.38,23.0,18,19,6,24.324,7,38.585,39,7,44.441,4,1,14,40,0,2.6,1.14,0.15,6,7.7,22.52,1,21,6.343,35.9
7.432,309.4,33.0,23,26,12,28.017,13,42.029,42,13,47.235,5,2,18,45,0,4.8,1.125,0.067,3,7.1,26.708,1,19,7.367,42.9
8.745,294.15,23.0,18,19,6,20.176,7,30.28,29,7,33.554,7,0,11,30,0,0.0,1.157,0.067,2,10.3,19.647,1,11,10.143,37.9
6.907,271.45,26.0,20,22,6,28.393,7,44.025,45,7,51.062,3,0,17,47,0,0.0,1.135,0.085,4,6.7,25.859,1,25,6.032,37.8
6.401,207.28,20.0,15,16,6,18.523,7,29.12,29,7,33.326,4,0,11,30,0,0.0,1.149,0.067,2,10.3,17.608,1,14,7.148,37.9
7.654,289.74,24.0,19,20,6,21.534,7,34.167,33,7,38.234,7,1,12,34,0,3.0,1.159,0.088,3,9.1,21.061,1,14,8.78,36.4
7.64,225.7,20.0,15,16,6,18.137,7,27.374,27,7,30.724,5,1,10,28,0,3.7,1.138,0.036,1,11.1,17.241,1,12,8.359,37.0
8.0,219.32,21.0,16,17,6,20.801,7,32.818,33,7,37.611,4,1,12,34,0,3.0,1.14,0.059,2,9.1,19.467,1,17,6.646,36.4
8.023,323.48,34.0,24,27,10,31.847,12,48.352,49,11,55.272,4,1,20,52,0,2.0,1.128,0.058,3,6.1,29.574,2,25,6.602,40.8
5.0,190.27,20.0,14,15,10,18.034,10,27.833,28,8,31.697,3,1,11,29,0,3.6,1.132,0.069,2,7.1,16.918,0,14,6.795,39.3
5.0,326.86,34.0,23,26,16,28.972,16,41.8,42,13,47.259,5,0,18,45,0,0.0,1.125,0.067,3,9.5,27.128,0,19,7.782,42.9
5.335,246.39,24.0,18,19,10,25.08,10,39.367,40,8,45.358,3,1,15,41,0,2.5,1.134,0.122,5,5.0,23.026,0,22,6.16,37.5
4.201,395.52,40.0,29,32,12,36.0,14,55.076,55,14,62.236,6,2,23,58,0,3.6,1.132,0.103,6,5.5,34.199,2,26,7.191,41.8
5.495,172.25,20.0,13,15,10,16.818,10,24.622,25,8,28.073,2,0,11,27,0,0.0,1.123,0.0,0,8.0,15.677,0,12,6.89,44.0
5.0,212.27,25.5,16,18,15,19.273,15,27.949,28,11,31.282,3,1,13,30,0,3.6,1.117,0.033,1,7.1,18.392,0,12,7.581,46.4
7.969,209.7,19.0,14,15,6,17.682,7,26.047,26,7,29.515,4,0,10,27,0,0.0,1.135,0.037,1,11.5,16.526,1,12,8.065,38.5
5.832,259.71,22.0,17,18,6,19.318,7,29.956,29,7,33.61,6,0,11,30,0,0.0,1.159,0.067,2,10.3,18.819,1,12,8.956,37.9
7.074,209.7,19.0,14,15,6,17.682,7,26.047,26,7,29.515,4,0,10,27,0,0.0,1.135,0.037,1,11.5,16.526,1,12,8.065,38.5
8.3,195.67,18.0,13,14,6,15.921,7,23.164,23,7,26.1,4,0,9,24,0,0.0,1.135,0.0,0,13.0,14.999,1,10,8.507,39.1
5.553,175.26,18.0,13,14,6,16.824,7,25.723,26,7,29.571,3,0,10,27,0,0.0,1.137,0.037,1,11.5,15.698,1,13,6.741,38.5
6.815,203.32,20.0,15,16,6,20.347,7,31.491,32,7,36.401,3,0,12,33,0,0.0,1.138,0.091,3,9.4,18.752,1,17,6.354,37.5
6.094,189.29,19.0,14,15,6,18.586,7,28.607,29,7,32.986,3,0,11,30,0,0.0,1.137,0.067,2,10.3,17.225,1,15,6.527,37.9
7.62,175.26,18.0,13,14,6,16.824,7,25.723,26,7,29.571,3,0,10,27,0,0.0,1.137,0.037,1,11.5,15.698,1,13,6.741,38.5
7.476,294.15,23.0,18,19,6,20.176,7,30.28,29,7,33.554,7,0,11,30,0,0.0,1.157,0.067,2,10.3,19.647,1,11,10.143,37.9
8.201,244.14,20.0,15,16,6,18.54,7,26.371,26,7,29.459,5,0,10,27,0,0.0,1.133,0.037,1,11.5,17.353,1,11,9.39,38.5
7.06,225.27,21.0,16,17,6,18.461,7,29.632,29,7,33.666,5,0,11,30,0,0.0,1.161,0.067,2,10.3,17.992,1,13,7.768,37.9
6.987,175.26,18.0,13,14,6,16.824,7,25.723,26,7,29.571,3,0,10,27,0,0.0,1.137,0.037,1,11.5,15.698,1,13,6.741,38.5
6.05,181.64,17.0,12,13,6,14.159,7,20.28,20,7,22.685,4,0,8,21,0,0.0,1.134,0.0,0,15.0,13.472,1,8,9.082,40.0
8.187,230.11,19.0,14,15,6,16.779,7,23.487,23,7,26.044,5,0,9,24,0,0.0,1.132,0.0,0,13.0,15.826,1,9,10.005,39.1
8.699,230.11,19.0,14,15,6,16.779,7,23.487,23,7,26.044,5,0,9,24,0,0.0,1.132,0.0,0,13.0,15.826,1,9,10.005,39.1
