pXC50,AMW,nHet,N.,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nB
7.004,8.042,9,6.7,43.3,41.7,1.02,1.14,0.665,0.65,482.55,18,60,0
6.928,7.733,8,6.9,43.1,43.1,1.011,1.13,0.667,0.645,448.54,18,58,0
6.577,7.426,8,8.3,41.7,45.0,1.004,1.128,0.663,0.634,445.57,18,60,0
7.959,7.583,8,6.6,42.6,44.3,1.008,1.13,0.663,0.638,462.57,18,61,0
7.678,7.769,8,6.9,41.4,44.8,1.003,1.123,0.679,0.642,450.61,17,58,0
7.854,8.173,10,6.6,42.6,41.0,1.025,1.141,0.661,0.651,498.55,18,61,0
6.602,8.042,9,6.7,43.3,41.7,1.02,1.14,0.665,0.65,482.55,18,60,0
6.751,7.423,7,6.9,43.1,44.8,1.002,1.124,0.668,0.638,430.55,18,58,0
5.98,7.429,8,6.5,41.9,45.2,1.005,1.126,0.661,0.633,460.58,18,62,0
7.44,7.583,8,6.6,42.6,44.3,1.008,1.13,0.663,0.638,462.57,18,61,0
6.086,7.894,8,4.9,44.3,42.6,1.016,1.137,0.666,0.647,481.56,18,61,0
7.658,7.583,8,6.6,42.6,44.3,1.008,1.13,0.663,0.638,462.57,18,61,0
7.745,8.196,10,8.5,42.4,40.7,1.024,1.144,0.663,0.652,483.54,18,59,0
6.785,7.426,8,8.3,41.7,45.0,1.004,1.128,0.663,0.634,445.57,18,60,0
7.48,7.769,8,6.9,41.4,44.8,1.003,1.123,0.679,0.642,450.61,17,58,0
10.523,8.476,11,10.0,43.3,38.3,1.027,1.143,0.673,0.666,508.55,23,60,0
7.626,8.295,11,9.5,42.9,39.7,1.024,1.143,0.669,0.659,522.58,23,63,0
6.638,7.643,8,6.7,43.3,43.3,1.007,1.123,0.67,0.646,458.56,18,60,0
6.398,7.288,7,6.6,42.6,45.9,1.0,1.125,0.664,0.632,444.58,18,61,0
6.804,7.719,9,6.5,41.9,43.5,1.013,1.131,0.66,0.64,478.57,18,62,0
7.304,8.15,11,10.9,42.2,40.6,1.02,1.145,0.667,0.653,521.6,23,64,0
8.398,8.321,11,11.5,42.6,39.3,1.023,1.145,0.671,0.66,507.57,23,61,0
7.222,7.302,8,6.2,41.5,46.2,1.003,1.127,0.658,0.628,474.61,18,65,0
7.31,7.429,8,6.5,41.9,45.2,1.005,1.126,0.661,0.633,460.58,18,62,0
8.569,7.288,7,6.6,42.6,45.9,1.0,1.125,0.664,0.632,444.58,18,61,0
7.678,8.968,10,10.6,40.4,38.3,1.032,1.148,0.682,0.668,421.49,17,47,0
8.427,8.026,10,8.3,41.7,41.7,1.021,1.139,0.661,0.647,481.55,18,60,0
7.481,7.719,9,6.5,41.9,43.5,1.013,1.131,0.66,0.64,478.57,18,62,0
7.796,7.429,8,6.5,41.9,45.2,1.005,1.126,0.661,0.633,460.58,18,62,0
8.189,7.726,9,8.3,41.7,43.3,1.012,1.134,0.662,0.64,463.56,18,60,0
8.699,8.0,9,8.3,41.7,43.3,1.009,1.127,0.677,0.648,480.01,18,60,0
8.222,7.295,8,7.9,41.3,46.0,1.001,1.129,0.659,0.628,459.6,18,63,0
7.558,7.288,7,6.6,42.6,45.9,1.0,1.125,0.664,0.632,444.58,18,61,0
6.807,7.719,9,6.5,41.9,43.5,1.013,1.131,0.66,0.64,478.57,18,62,0
6.987,8.299,11,6.5,41.9,40.3,1.03,1.142,0.658,0.652,514.55,18,62,0
7.602,8.326,11,8.3,41.7,40.0,1.029,1.145,0.66,0.653,499.54,18,60,0
7.092,8.326,11,8.3,41.7,40.0,1.029,1.145,0.66,0.653,499.54,18,60,0
7.215,7.501,7,6.8,44.1,44.1,1.002,1.122,0.674,0.644,442.56,18,59,0
7.46,7.426,8,8.3,41.7,45.0,1.004,1.128,0.663,0.634,445.57,18,60,0
7.699,7.364,7,6.5,43.5,45.2,1.0,1.123,0.67,0.638,456.59,18,62,0
5.0,7.799,8,7.0,43.9,42.1,1.01,1.123,0.675,0.653,444.53,18,57,0
8.523,8.152,11,7.9,41.3,41.3,1.026,1.145,0.656,0.646,513.57,18,63,0
5.0,8.676,11,10.5,43.9,36.8,1.031,1.143,0.677,0.675,494.52,23,57,0
6.975,8.173,11,9.8,41.0,41.0,1.025,1.147,0.658,0.648,498.56,18,61,0
6.602,7.643,8,6.7,43.3,43.3,1.007,1.123,0.67,0.646,458.56,18,60,0
