pXC50,nC,nSK,MW,Sv,SCBO,Sp,nBO,Se,nO,N.,nAB,O.,nBM,nCsp2,Si,nHet,nAT,nBT,nH,nS,nCL,nDB,RBN,AMW,C.,H.,Me,Mi
5.9,29,35,467.67,42.197,51.0,45.143,40,67.207,1,7.4,22,1.5,22,18,76.514,6,68,73,33,0,0,0,7,6.877,42.6,48.5,0.988,1.125
9.0,16,23,330.86,26.644,33.0,28.222,25,42.12,0,14.3,16,0.0,16,11,47.84,7,42,44,19,0,1,0,5,7.878,38.1,45.2,1.003,1.139
5.9,21,27,359.41,29.896,41.5,30.71,30,44.473,3,6.8,23,6.8,23,21,49.03,6,44,47,17,0,0,0,4,8.168,47.7,38.6,1.011,1.114
5.9,22,26,346.46,30.74,38.0,32.534,28,47.694,2,4.2,18,4.2,19,18,53.567,4,48,50,22,0,0,1,5,7.218,45.8,45.8,0.994,1.116
5.9,20,28,379.4,29.749,44.5,29.926,32,44.163,1,11.6,25,2.3,25,17,48.872,8,43,47,15,0,0,0,3,8.823,46.5,34.9,1.027,1.137
9.5,19,26,370.93,30.697,37.0,32.745,29,48.887,0,12.2,16,0.0,16,11,55.671,7,49,52,23,0,1,0,4,7.57,38.8,46.9,0.998,1.136
5.9,21,30,410.41,31.684,45.0,31.591,33,47.6,3,8.7,22,6.5,23,20,52.207,9,46,49,16,0,0,1,4,8.922,45.7,34.8,1.035,1.135
9.4,24,31,409.54,35.364,48.5,37.131,35,53.781,0,13.0,27,0.0,27,21,60.81,7,54,58,23,0,0,0,5,7.584,44.4,42.6,0.996,1.126
5.9,27,34,457.63,40.385,49.0,42.836,37,64.65,2,7.7,16,3.1,19,15,73.308,7,65,68,31,0,0,2,7,7.04,41.5,47.7,0.995,1.128
5.9,19,27,364.42,29.387,41.0,29.995,30,44.752,1,13.6,22,2.3,22,16,50.03,8,44,47,17,0,0,0,6,8.282,43.2,38.6,1.017,1.137
5.4,17,25,374.88,27.691,38.0,29.006,27,40.764,2,10.0,18,5.0,20,16,44.767,8,40,42,15,1,1,2,5,9.372,42.5,37.5,1.019,1.119
9.2,22,27,351.44,30.268,44.5,31.597,31,43.811,0,11.4,27,0.0,27,21,48.983,5,44,48,17,0,0,0,4,7.987,50.0,38.6,0.996,1.113
5.9,20,26,344.4,28.676,41.0,29.5,30,42.363,2,9.5,16,4.8,19,17,46.903,6,42,46,16,0,0,3,3,8.2,47.6,38.1,1.009,1.117
5.9,23,35,497.58,38.324,52.0,39.256,38,59.502,6,8.6,16,10.3,22,18,65.405,12,58,61,23,1,0,6,8,8.579,39.7,39.7,1.026,1.128
6.9,21,28,379.51,32.805,39.0,34.552,30,53.0,2,9.4,12,3.8,15,14,60.062,7,53,55,25,0,0,3,5,7.161,39.6,47.2,1.0,1.133
6.1,11,20,320.46,21.217,33.0,22.739,24,28.724,0,21.4,18,0.0,18,8,31.165,9,28,32,8,3,0,0,0,11.445,39.3,28.6,1.026,1.113
6.3,21,28,374.49,32.058,42.5,33.58,31,50.007,1,12.0,21,2.0,22,16,56.521,7,50,53,22,0,0,1,5,7.49,42.0,44.0,1.0,1.13
5.9,19,25,334.41,28.203,38.0,29.262,28,43.247,2,9.3,16,4.7,17,13,48.318,6,43,46,18,0,0,0,3,7.777,44.2,41.9,1.006,1.124
5.9,21,30,426.92,33.268,44.0,34.375,33,50.843,1,12.0,22,2.0,22,16,56.805,9,50,53,20,0,1,0,6,8.538,42.0,40.0,1.017,1.136
6.9,15,21,283.37,23.983,31.5,25.051,24,38.138,1,13.2,15,2.6,15,9,43.192,6,38,41,17,0,0,0,3,7.457,39.5,44.7,1.004,1.137
5.9,15,22,303.41,25.751,30.0,27.029,24,43.232,2,11.6,10,4.7,11,7,49.232,7,43,45,21,0,0,1,3,7.056,34.9,48.8,1.005,1.145
8.1,20,25,348.86,28.601,39.0,30.211,28,41.916,0,9.5,22,0.0,22,18,46.844,5,42,45,17,0,1,0,4,8.306,47.6,40.5,0.998,1.115
5.9,22,30,410.43,32.165,45.0,32.381,33,48.341,1,8.5,22,2.1,23,20,53.543,8,47,50,17,0,0,1,3,8.733,46.8,36.2,1.029,1.139
5.9,18,22,290.4,25.773,35.0,27.353,25,39.592,0,10.0,20,0.0,20,14,44.9,4,40,43,18,0,0,0,2,7.26,45.0,45.0,0.99,1.122
5.9,28,38,525.69,43.034,57.5,45.211,42,65.28,2,10.8,27,3.1,29,24,72.979,10,65,69,27,1,0,2,6,8.088,43.1,41.5,1.004,1.123
5.9,14,20,286.74,21.735,30.5,22.381,22,31.593,1,12.9,11,3.2,13,11,34.807,6,31,33,11,0,1,1,1,9.25,45.2,35.5,1.019,1.123
5.9,22,31,432.55,34.433,47.0,35.921,34,51.527,2,11.8,22,3.9,24,20,57.235,9,51,54,20,1,0,2,4,8.481,43.1,39.2,1.01,1.122
5.9,22,26,346.46,30.74,38.0,32.534,28,47.694,2,4.2,18,4.2,19,18,53.567,4,48,50,22,0,0,1,5,7.218,45.8,45.8,0.994,1.116
5.9,16,20,263.32,22.413,31.5,23.279,22,33.051,1,9.1,17,3.0,18,16,36.78,4,33,35,13,0,0,1,2,7.979,48.5,39.4,1.002,1.115
5.9,13,17,226.25,18.58,27.0,18.966,19,27.393,2,7.4,16,7.4,16,13,30.076,4,27,29,10,0,0,0,1,8.38,48.1,37.0,1.015,1.114
7.1,17,23,326.4,25.535,34.0,26.591,25,37.564,3,5.4,12,8.1,15,16,41.036,6,37,39,14,1,0,3,3,8.822,45.9,37.8,1.015,1.109
5.9,15,21,345.22,23.46,32.0,24.637,23,34.382,1,11.8,16,2.9,17,14,38.12,6,34,36,13,0,0,1,3,10.154,44.1,38.2,1.011,1.121
9.1,16,22,316.82,25.316,32.0,26.665,24,39.243,1,10.3,16,2.6,16,12,44.053,6,39,41,17,0,1,0,6,8.124,41.0,43.6,1.006,1.13
7.9,24,30,397.52,34.563,47.0,36.336,34,52.789,1,9.4,26,1.9,26,20,59.438,6,53,57,23,0,0,0,6,7.5,45.3,43.4,0.996,1.121
5.9,17,23,310.39,26.203,34.5,27.262,25,41.247,2,9.8,15,4.9,17,12,46.318,6,41,43,18,0,0,2,4,7.57,41.5,43.9,1.006,1.13
7.5,18,25,336.38,27.391,37.0,27.955,27,41.691,3,9.8,18,7.3,19,17,46.113,7,41,43,16,0,0,1,6,8.204,43.9,39.0,1.017,1.125
5.9,24,32,439.47,34.912,46.0,35.353,35,53.334,2,5.8,18,3.8,20,20,59.085,8,52,55,20,0,0,2,3,8.451,46.2,38.5,1.026,1.136
6.3,24,37,590.56,42.016,52.0,44.233,40,66.047,4,10.8,18,6.2,21,17,73.655,13,65,68,28,1,0,3,8,9.086,36.9,43.1,1.016,1.133
5.9,21,26,345.43,29.708,39.0,31.017,28,45.029,2,6.7,18,4.4,20,20,50.235,5,45,47,19,0,0,2,4,7.676,46.7,42.2,1.001,1.116
5.9,22,32,438.48,34.539,47.0,34.909,35,53.36,2,11.5,22,3.8,23,17,59.41,10,52,55,20,0,0,1,6,8.432,42.3,38.5,1.026,1.142
9.0,18,27,407.97,31.292,39.0,33.296,29,49.516,2,10.2,16,4.1,18,12,55.511,9,49,51,22,1,1,2,7,8.326,36.7,44.9,1.011,1.133
5.9,20,28,378.45,30.914,42.5,31.756,32,47.636,1,12.8,21,2.1,21,15,53.445,8,47,51,19,0,0,0,4,8.052,42.6,40.4,1.014,1.137
5.9,23,32,428.55,36.1,48.0,37.591,36,56.211,1,14.3,22,1.8,23,18,63.517,9,56,60,24,0,0,1,5,7.653,41.1,42.9,1.004,1.134
6.9,16,24,321.35,25.114,38.0,25.262,27,36.876,0,19.4,22,0.0,22,16,41.073,8,36,39,12,0,0,0,4,8.926,44.4,33.3,1.024,1.141
5.9,22,29,387.45,31.893,44.5,32.75,32,47.534,1,10.6,23,2.1,24,21,52.947,7,47,50,18,0,0,1,3,8.244,46.8,38.3,1.011,1.127
6.7,18,28,402.82,29.071,42.0,29.029,31,42.705,1,14.6,22,2.4,22,17,46.899,10,41,44,13,0,1,0,4,9.825,43.9,31.7,1.042,1.144
8.1,16,22,297.4,25.509,31.0,26.813,24,41.022,1,12.2,12,2.4,13,11,46.607,6,41,43,19,0,0,1,3,7.254,39.0,46.3,1.001,1.137
5.9,20,30,417.43,31.901,42.5,31.841,33,49.771,2,10.4,17,4.2,18,15,55.251,10,48,51,18,0,0,1,3,8.696,41.7,37.5,1.037,1.151
5.9,29,35,462.59,40.31,54.0,42.307,39,60.781,2,6.6,28,3.3,29,26,67.979,6,61,65,26,0,0,1,8,7.583,47.5,42.6,0.996,1.114
5.9,21,25,327.41,28.467,40.0,29.801,28,41.818,1,7.1,22,2.4,23,20,46.611,4,42,45,17,0,0,1,4,7.795,50.0,40.5,0.996,1.11
8.801,22,28,366.46,31.289,45.5,32.603,32,45.912,0,13.0,27,0.0,27,21,51.481,6,46,50,18,0,0,0,4,7.967,47.8,39.1,0.998,1.119
5.9,19,27,386.52,31.158,40.0,32.887,29,49.418,3,8.2,16,6.1,19,14,55.278,8,49,51,22,1,0,3,7,7.888,38.8,44.9,1.009,1.128
8.6,14,20,287.78,22.569,30.0,23.693,22,34.251,0,14.7,16,0.0,16,12,38.512,6,34,36,14,0,1,0,4,8.464,41.2,41.2,1.007,1.133
9.4,23,29,383.46,32.178,46.5,33.296,33,47.207,0,10.6,27,0.0,27,21,52.738,6,47,51,18,0,0,0,4,8.159,48.9,38.3,1.004,1.122
5.9,21,30,418.52,32.906,46.0,34.159,33,48.643,2,12.5,22,4.2,24,20,53.82,9,48,51,18,1,0,2,4,8.719,43.8,37.5,1.013,1.121
5.9,33,44,591.79,50.997,65.0,53.62,50,80.941,2,11.1,26,2.5,28,21,91.716,11,81,87,37,0,0,2,5,7.306,40.7,45.7,0.999,1.132
5.9,23,27,358.47,31.74,40.5,33.534,30,48.694,2,4.1,17,4.1,19,18,54.567,4,49,52,22,0,0,2,3,7.316,46.9,44.9,0.994,1.114
6.5,13,16,210.25,17.865,26.0,18.512,18,26.065,1,7.7,16,3.8,16,13,28.867,3,26,28,10,0,0,0,1,8.087,50.0,38.5,1.003,1.11
5.9,20,30,410.42,31.485,46.5,31.387,34,47.592,2,13.0,25,4.3,25,16,52.579,10,46,50,16,0,0,0,4,8.922,43.5,34.8,1.035,1.143
5.9,17,22,310.4,24.82,33.0,26.137,24,36.236,2,5.6,12,5.6,15,16,39.827,5,36,38,14,1,0,3,3,8.622,47.2,38.9,1.007,1.106
6.7,11,16,230.67,16.967,26.0,17.404,18,23.498,0,17.4,16,0.0,16,11,25.768,5,23,25,7,0,1,0,1,10.029,47.8,30.4,1.022,1.12
7.0,11,17,267.35,18.647,24.0,19.71,18,26.771,3,3.8,6,11.5,9,10,28.627,6,26,27,9,2,0,3,2,10.283,42.3,34.6,1.03,1.101
6.3,11,18,303.18,19.422,26.0,20.33,19,27.116,2,7.7,10,7.7,12,10,28.884,7,26,27,8,1,2,2,2,11.661,42.3,30.8,1.043,1.111
5.9,20,28,390.51,31.191,43.0,32.705,31,46.316,1,13.0,22,2.2,23,19,51.61,8,46,49,18,1,0,1,3,8.489,43.5,39.1,1.007,1.122
5.9,28,35,481.67,40.804,53.0,43.506,39,61.632,1,8.1,22,1.6,24,20,69.188,7,62,66,27,1,0,1,4,7.769,45.2,43.5,0.994,1.116
5.9,29,36,497.03,41.137,55.0,43.165,40,61.105,2,6.6,28,3.3,29,26,67.923,7,61,65,25,0,1,1,8,8.148,47.5,41.0,1.002,1.113
7.9,17,22,294.39,25.488,33.0,26.807,25,39.92,1,10.0,16,2.5,16,12,45.109,5,40,43,18,0,0,0,2,7.36,42.5,45.0,0.998,1.128
5.9,17,28,400.31,27.261,39.5,25.671,30,41.112,1,10.5,17,2.6,18,15,44.732,11,38,40,10,0,0,1,2,10.534,44.7,26.3,1.082,1.177
6.9,21,31,449.55,33.26,51.0,34.494,35,47.062,3,10.9,26,6.5,29,21,51.036,10,46,50,15,2,0,3,5,9.773,45.7,32.6,1.023,1.109
9.5,17,24,342.87,27.644,35.0,29.222,27,43.12,0,14.0,16,0.0,16,11,48.84,7,43,46,19,0,1,0,3,7.974,39.5,44.2,1.003,1.136
5.9,14,19,271.72,20.714,30.0,21.375,21,29.491,1,10.3,16,3.4,17,14,32.309,5,29,31,10,0,1,1,2,9.37,48.3,34.5,1.017,1.114
5.9,15,19,270.38,22.106,29.0,23.682,21,32.909,1,6.1,16,3.0,16,13,36.617,4,33,35,14,1,0,0,4,8.193,45.5,42.4,0.997,1.11
5.9,18,26,372.49,29.632,39.0,31.125,28,46.534,3,8.7,16,6.5,19,14,51.863,8,46,48,20,1,0,3,6,8.098,39.1,43.5,1.012,1.127
5.9,21,28,436.34,31.535,43.0,33.165,31,46.251,1,10.9,22,2.2,23,20,51.449,7,46,49,18,0,0,1,3,9.486,45.7,39.1,1.005,1.118
6.1,27,36,491.59,40.625,52.0,41.949,40,63.792,2,7.9,22,3.2,23,20,71.572,9,63,67,27,0,0,1,6,7.803,42.9,42.9,1.013,1.136
8.3,19,26,345.39,28.171,41.0,28.745,29,41.582,2,12.2,22,4.9,23,18,45.986,7,41,44,15,0,0,1,4,8.424,46.3,36.6,1.014,1.122
5.9,26,35,484.63,39.486,53.5,41.443,39,59.294,2,10.2,27,3.4,28,23,66.065,9,59,63,24,1,0,1,6,8.214,44.1,40.7,1.005,1.12
5.9,20,24,318.4,27.687,36.0,29.012,26,41.927,2,4.8,18,4.8,19,18,46.737,4,42,44,18,0,0,1,5,7.581,47.6,42.9,0.998,1.113
6.1,14,19,272.32,20.435,30.0,21.097,21,28.654,1,7.1,16,3.6,17,14,31.127,5,28,30,9,1,0,1,2,9.726,50.0,32.1,1.023,1.112
7.2,18,25,340.48,29.584,34.0,31.341,27,48.891,1,12.2,12,2.0,13,11,55.936,7,49,51,24,0,0,1,5,6.949,36.7,49.0,0.998,1.142
5.9,20,26,349.36,27.706,41.0,27.915,29,39.96,1,7.7,22,2.6,23,20,43.875,6,39,42,13,0,0,1,3,8.958,51.3,33.3,1.025,1.125
7.0,16,23,306.33,24.092,36.0,24.256,25,34.774,0,17.6,18,0.0,19,15,38.575,7,34,36,11,0,0,0,4,9.01,47.1,32.4,1.023,1.135
5.9,19,26,347.41,28.697,40.5,29.506,29,43.465,2,11.6,21,4.7,22,17,48.402,7,43,46,17,0,0,1,5,8.079,44.2,39.5,1.011,1.126
5.9,11,17,330.59,18.071,26.0,19.057,19,23.036,2,4.5,10,9.1,12,10,23.868,6,22,24,5,1,1,2,0,15.027,50.0,22.7,1.047,1.085
9.1,22,28,392.92,32.369,42.0,34.188,31,49.011,1,8.2,22,2.0,22,18,54.883,6,49,52,21,0,1,0,6,8.019,44.9,42.9,1.0,1.12
6.4,23,28,370.49,32.542,43.0,34.33,31,49.687,1,8.0,22,2.0,23,20,55.939,5,50,53,22,0,0,1,7,7.41,46.0,44.0,0.994,1.119
5.9,21,25,332.43,29.214,37.0,30.773,27,44.811,2,4.4,18,4.4,19,18,50.152,4,45,47,20,0,0,1,5,7.387,46.7,44.4,0.996,1.114
8.1,16,23,416.25,25.552,36.5,27.739,26,36.214,0,16.7,21,0.0,21,15,40.371,7,36,39,13,0,0,0,3,11.562,44.4,36.1,1.006,1.121
5.9,21,28,395.49,31.279,41.0,32.603,30,46.618,2,6.5,18,4.3,20,20,51.495,7,46,48,18,1,0,2,5,8.598,45.7,39.1,1.013,1.119
6.4,12,18,240.3,19.709,28.0,20.318,20,30.262,0,20.0,16,0.0,16,11,34.235,6,30,32,12,0,0,0,2,8.01,40.0,40.0,1.009,1.141
5.9,14,22,317.76,23.471,32.0,23.841,23,35.022,2,14.7,12,5.9,14,11,38.515,8,34,35,12,0,1,1,3,9.346,41.2,35.3,1.03,1.133
5.9,14,26,386.46,26.502,41.0,27.011,29,37.505,2,22.2,20,5.6,22,14,40.66,12,36,39,10,2,0,2,5,10.735,38.9,27.8,1.042,1.129
7.9,19,25,329.39,27.456,40.0,28.29,28,40.254,1,12.5,22,2.5,23,19,44.777,6,40,43,15,0,0,1,4,8.235,47.5,37.5,1.006,1.119
5.9,24,31,414.5,34.971,47.0,36.239,35,53.342,3,7.5,22,5.7,23,20,59.358,7,53,57,22,0,0,1,7,7.821,45.3,41.5,1.006,1.12
5.9,25,34,460.53,37.928,49.0,38.909,37,58.88,5,6.9,18,8.6,21,21,65.192,9,58,61,24,0,0,3,6,7.94,43.1,41.4,1.015,1.124
5.9,10,18,363.19,20.487,24.0,22.404,19,32.651,2,15.6,10,6.3,10,6,36.707,8,32,33,14,0,0,0,4,11.35,31.3,43.8,1.02,1.147
5.9,14,21,283.29,21.786,32.5,21.705,23,32.0,1,16.1,17,3.2,18,14,35.286,7,31,33,10,0,0,1,2,9.138,45.2,32.3,1.032,1.138
5.9,16,23,348.2,24.783,34.0,25.449,25,35.025,2,8.8,12,5.9,15,15,37.878,7,34,36,11,0,2,3,5,10.241,47.1,32.4,1.03,1.114
6.1,8,15,218.27,15.316,24.5,15.682,17,21.687,0,28.6,15,0.0,15,8,23.91,7,21,23,6,1,0,0,0,10.394,38.1,28.6,1.033,1.139
5.9,23,31,419.56,35.801,45.0,37.591,34,57.061,0,12.3,22,0.0,22,16,64.98,8,57,60,26,0,0,0,7,7.361,40.4,45.6,1.001,1.14
5.9,14,18,234.28,19.666,31.0,20.307,21,28.058,0,14.3,20,0.0,20,14,31.239,4,28,31,10,0,0,0,1,8.367,50.0,35.7,1.002,1.116
5.9,20,27,439.36,30.174,42.0,32.046,30,42.342,1,9.5,22,2.4,23,20,46.455,7,42,45,15,1,0,1,3,10.461,47.6,35.7,1.008,1.106
5.9,21,26,347.45,30.235,38.0,31.779,28,46.912,2,6.4,18,4.3,19,18,52.651,5,47,49,21,0,0,1,6,7.393,44.7,44.7,0.998,1.12
6.7,17,21,281.39,24.993,31.0,26.563,23,39.702,1,7.5,16,2.5,16,12,45.026,4,40,42,19,0,0,0,3,7.035,42.5,47.5,0.993,1.126
5.9,15,24,333.3,24.079,35.5,23.341,26,35.909,1,14.7,17,2.9,18,14,39.381,9,34,36,10,0,0,1,2,9.803,44.1,29.4,1.056,1.158
6.3,13,17,223.25,18.359,27.5,18.756,19,26.284,1,11.5,17,3.8,17,13,28.95,4,26,28,9,0,0,0,1,8.587,50.0,34.6,1.011,1.113
5.9,20,30,410.42,31.485,46.5,31.387,34,47.592,2,13.0,25,4.3,25,16,52.579,10,46,50,16,0,0,0,4,8.922,43.5,34.8,1.035,1.143
9.0,17,24,343.85,27.337,35.0,28.671,27,42.345,1,11.9,16,2.4,16,11,47.551,7,42,45,18,0,1,0,3,8.187,40.5,42.9,1.008,1.132
8.9,24,32,419.48,34.499,52.5,35.301,36,49.458,1,14.3,27,2.0,29,22,54.774,8,49,53,17,0,0,1,5,8.561,49.0,34.7,1.009,1.118
5.6,19,22,288.37,25.445,34.0,26.796,24,37.716,1,5.3,18,2.6,19,18,42.112,3,38,40,16,0,0,1,4,7.589,50.0,42.1,0.993,1.108
5.9,26,36,500.63,40.201,54.5,41.898,40,60.622,3,10.0,27,5.0,28,23,67.275,10,60,64,24,1,0,1,7,8.344,43.3,40.0,1.01,1.121
7.2,20,27,360.46,30.531,41.5,31.819,30,47.123,1,12.8,21,2.1,22,16,53.106,7,47,50,20,0,0,1,6,7.669,42.6,42.6,1.003,1.13
5.9,11,17,338.12,18.171,26.0,19.659,19,24.571,1,16.7,12,4.2,13,11,26.754,6,24,26,7,0,0,1,0,14.088,45.8,29.2,1.024,1.115
5.9,13,19,275.33,20.457,29.5,21.102,21,29.756,1,10.3,15,3.4,16,12,32.625,6,29,31,10,1,0,1,2,9.494,44.8,34.5,1.026,1.125
5.9,23,31,415.55,35.606,46.5,37.347,35,55.992,1,12.5,21,1.8,22,16,63.434,8,56,60,25,0,0,1,4,7.421,41.1,44.6,1.0,1.133
5.9,20,32,460.54,34.772,46.0,35.529,34,54.578,4,11.3,18,7.5,21,17,60.409,12,53,55,21,1,0,3,8,8.689,37.7,39.6,1.03,1.14
5.9,22,31,424.5,34.351,45.0,35.216,34,53.916,1,11.3,22,1.9,22,16,60.615,9,53,56,22,0,0,0,6,8.009,41.5,41.5,1.017,1.144
7.0,16,23,331.43,26.083,34.5,27.358,26,40.549,3,7.5,11,7.5,14,11,44.95,7,40,43,17,1,0,3,4,8.286,40.0,42.5,1.014,1.124
5.9,21,26,340.41,28.961,42.0,30.046,30,42.036,1,9.5,22,2.4,23,20,46.694,5,42,46,16,0,0,1,3,8.105,50.0,38.1,1.001,1.112
5.9,22,30,406.45,32.828,45.0,33.415,33,49.971,3,8.2,22,6.1,23,20,55.283,8,49,52,19,0,0,1,4,8.295,44.9,38.8,1.02,1.128
5.9,17,26,362.34,26.826,37.5,26.313,28,40.902,2,10.3,17,5.1,18,15,44.922,9,39,41,13,0,0,1,3,9.291,43.6,33.3,1.049,1.152
5.9,17,25,347.32,25.805,36.0,25.307,27,38.8,2,8.1,12,5.4,15,15,42.424,8,37,39,12,0,0,3,5,9.387,45.9,32.4,1.049,1.147
5.9,23,27,354.49,31.827,42.0,33.875,30,48.36,0,8.2,22,0.0,23,20,54.73,4,49,52,22,0,0,1,5,7.234,46.9,44.9,0.987,1.117
5.9,23,32,449.55,35.321,48.0,36.614,35,52.822,2,9.6,22,3.8,24,21,58.492,9,52,55,20,1,0,2,5,8.645,44.2,38.5,1.016,1.125
5.9,18,26,387.24,27.804,40.0,28.455,29,39.127,2,10.5,16,5.3,19,17,42.376,8,38,41,12,0,2,3,5,10.191,47.4,31.6,1.03,1.115
5.9,26,33,455.63,38.277,50.0,40.745,36,57.749,1,8.6,22,1.7,24,20,64.773,7,58,61,25,1,0,1,3,7.856,44.8,43.1,0.996,1.117
5.9,26,33,455.63,38.277,50.0,40.745,36,57.749,1,8.6,22,1.7,24,20,64.773,7,58,61,25,1,0,1,4,7.856,44.8,43.1,0.996,1.117
9.4,16,24,325.33,25.027,36.0,24.921,26,37.211,2,13.9,18,5.6,19,16,40.911,8,36,38,12,0,0,1,5,9.037,44.4,33.3,1.034,1.136
5.9,15,23,317.33,24.222,34.0,24.165,25,37.28,1,13.9,16,2.8,17,12,41.456,8,36,38,13,0,0,1,4,8.815,41.7,36.1,1.036,1.152
5.9,17,28,400.31,27.261,39.5,25.671,30,41.112,1,10.5,17,2.6,18,15,44.732,11,38,40,10,0,0,1,2,10.534,44.7,26.3,1.082,1.177
5.9,21,30,418.52,32.906,46.0,34.159,33,48.643,2,12.5,22,4.2,24,20,53.82,9,48,51,18,1,0,2,4,8.719,43.8,37.5,1.013,1.121
5.9,21,25,327.41,28.467,39.5,29.801,28,41.818,1,7.1,23,2.4,23,20,46.611,4,42,45,17,0,0,0,5,7.795,50.0,40.5,0.996,1.11
9.1,19,27,384.91,30.885,39.0,32.438,30,48.331,1,12.5,16,2.1,17,12,54.465,8,48,51,21,0,1,1,4,8.019,39.6,43.8,1.007,1.135
9.5,16,23,329.82,25.81,34.0,26.909,26,39.462,1,12.8,16,2.6,16,11,44.136,7,39,42,16,0,1,0,3,8.457,41.0,41.0,1.012,1.132
5.9,25,35,488.59,38.343,53.5,39.62,39,56.923,2,10.7,27,3.6,28,23,62.99,10,56,60,21,1,0,1,6,8.725,44.6,37.5,1.016,1.125
5.9,18,25,356.81,27.172,37.5,27.841,28,39.873,1,10.3,17,2.6,18,16,43.978,7,39,42,14,0,1,1,2,9.149,46.2,35.9,1.022,1.128
9.1,24,32,424.5,35.246,50.5,36.273,36,52.451,2,11.5,27,3.8,28,22,58.315,8,52,56,20,0,0,1,6,8.163,46.2,38.5,1.009,1.121
5.9,16,22,313.76,23.955,33.0,24.591,24,34.702,2,8.8,12,5.9,15,15,37.934,6,34,36,12,0,1,3,5,9.228,47.1,35.3,1.021,1.116
5.9,16,25,366.75,25.412,36.5,24.955,27,37.014,1,11.4,17,2.9,18,15,40.242,9,35,37,10,0,1,1,2,10.479,45.7,28.6,1.058,1.15
9.6,18,28,420.97,31.787,41.0,33.54,31,49.734,2,12.2,16,4.1,18,11,55.594,10,49,52,21,1,1,2,5,8.591,36.7,42.9,1.015,1.135
7.7,14,21,297.37,22.589,33.0,23.415,24,32.564,1,15.6,16,3.1,17,12,35.867,7,32,35,11,1,0,1,1,9.293,43.8,34.4,1.018,1.121
5.9,19,25,345.46,27.928,41.5,29.483,29,40.003,0,12.5,25,0.0,25,17,44.488,6,40,44,15,1,0,0,3,8.636,47.5,37.5,1.0,1.112
5.9,20,28,473.8,31.001,43.0,32.904,31,42.665,1,9.5,22,2.4,23,19,46.399,8,42,45,14,1,1,1,4,11.281,47.6,33.3,1.016,1.105
5.9,26,35,474.62,40.594,49.5,42.534,39,65.196,3,9.2,17,4.6,19,17,73.6,9,65,69,30,0,0,2,6,7.302,40.0,46.2,1.003,1.132
9.4,15,23,331.76,24.14,34.5,24.324,25,35.207,1,14.7,17,2.9,18,15,38.645,8,34,36,11,0,1,1,3,9.758,44.1,32.4,1.036,1.137
5.9,22,33,455.49,35.229,47.0,35.398,36,54.647,1,13.2,18,1.9,20,18,61.038,11,53,56,20,0,0,2,4,8.594,41.5,37.7,1.031,1.152
6.9,19,23,301.37,25.94,36.0,27.04,26,37.934,1,7.9,18,2.6,19,18,42.196,4,38,41,15,0,0,1,1,7.931,50.0,39.5,0.998,1.11
5.9,14,20,265.3,21.402,31.5,21.767,22,31.487,1,16.1,17,3.2,18,14,34.947,6,31,33,11,0,0,1,2,8.558,45.2,35.5,1.016,1.127
5.9,36,46,612.77,52.118,70.0,54.336,52,79.141,1,10.1,34,1.3,35,30,88.933,10,79,85,33,0,0,1,8,7.757,45.6,41.8,1.002,1.126
5.9,15,22,335.21,24.089,33.0,25.0,24,34.8,1,11.8,16,2.9,17,14,38.167,7,34,36,12,0,2,1,3,9.859,44.1,35.3,1.024,1.123
5.9,21,26,361.5,30.181,40.0,32.211,29,44.778,1,6.7,22,2.2,22,18,49.946,5,45,48,19,1,0,0,6,8.033,46.7,42.2,0.995,1.11
5.9,22,29,401.53,32.697,45.0,34.461,33,48.098,1,10.4,22,2.1,23,19,53.527,7,48,52,19,1,0,1,2,8.365,45.8,39.6,1.002,1.115
9.5,21,30,427.99,34.96,42.0,36.966,33,56.2,1,12.5,16,1.8,17,12,63.794,9,56,59,26,0,1,1,6,7.643,37.5,46.4,1.004,1.139
6.3,16,22,297.31,23.511,33.0,23.671,24,34.891,2,8.8,12,5.9,15,15,38.329,6,34,36,12,0,0,3,5,8.744,47.1,35.3,1.026,1.127
5.9,23,32,435.56,36.516,46.0,38.046,35,58.389,1,12.1,22,1.7,22,16,66.189,9,58,61,26,0,0,0,8,7.51,39.7,44.8,1.007,1.141
8.1,22,27,351.44,30.268,44.5,31.597,31,43.811,0,11.4,27,0.0,27,21,48.983,5,44,48,17,0,0,0,4,7.987,50.0,38.6,0.996,1.113
5.9,28,36,497.67,41.518,54.0,43.961,40,62.96,2,7.9,22,3.2,24,20,70.398,8,63,67,27,1,0,1,4,7.9,44.4,42.9,0.999,1.117
5.9,25,33,454.6,37.245,51.5,39.228,37,55.083,1,10.9,27,1.8,28,23,61.441,8,55,59,22,1,0,1,4,8.265,45.5,40.0,1.002,1.117
5.9,13,19,258.25,20.009,28.5,19.875,21,30.047,4,6.9,11,13.8,13,11,32.495,6,29,31,10,0,0,2,2,8.905,44.8,34.5,1.036,1.121
5.9,23,31,420.54,35.494,45.0,37.04,34,56.287,1,10.7,22,1.8,22,16,63.691,8,56,59,25,0,0,0,7,7.51,41.1,44.6,1.005,1.137
5.9,12,18,371.57,19.504,27.5,21.273,20,25.676,1,12.0,11,4.0,13,12,27.615,6,25,27,7,0,1,2,1,14.863,48.0,28.0,1.027,1.105
